[00:00:09.488 --> 00:00:11.169]  Vulnerable has no price.
[00:25:45.897 --> 00:25:48.338]  They say swine flu could trigger a global pandemic.
[00:25:48.378 --> 00:25:50.360]  Now they're saying it basically is about to be one.
[00:25:50.860 --> 00:25:52.721]  Administration declares flu emergency.
[00:25:52.761 --> 00:25:53.802]  The White House has announced it.
[00:25:54.202 --> 00:25:57.825]  They've confirmed 20 plus cases in the United States and growing.
[00:25:58.265 --> 00:26:00.747]  Now, we're going to Santiago right now.
[00:26:01.748 --> 00:26:03.189]  I just want to make it clear first.
[00:26:04.650 --> 00:26:06.051]  Somebody is lying because
[00:26:06.869 --> 00:26:13.153]  The reports we get from Mexico, and what's coming out in local newspapers, is that people are vomiting and sick all over Mexico.
[00:26:14.113 --> 00:26:17.595]  From southern Mexico right up to northern Mexico, right up to the Texas border.
[00:26:18.156 --> 00:26:19.657]  San Antonio's got cases.
[00:26:20.017 --> 00:26:22.698]  A town north of San Antonio, about New Braunfels, has got cases.
[00:26:22.978 --> 00:26:25.440]  They've confirmed they're shutting down multiple Texas schools.
[00:26:26.184 --> 00:26:31.927]  That's going on, but nobody has died, though some people are at hospitals in South Texas, like San Antonio.
[00:26:32.307 --> 00:26:34.329]  You can just Google that, San Antonio hospitals.
[00:26:34.829 --> 00:26:38.491]  Have patients, quarantine, people are quarantined in some of their homes.
[00:26:38.811 --> 00:26:40.252]  They've had family members that have gotten it.
[00:26:41.139 --> 00:26:51.521]  And it's over 20 cases in California and Texas right now, and now it's in Italy, it's in Spain, it's in Israel, it's in Canada, it's all over the place.
[00:26:52.221 --> 00:26:55.882]  The latest news is posted at InfoWars.com and PrisonPlanet.com.
[00:26:56.642 --> 00:26:59.023]  And so, somebody is lying here.
[00:27:01.343 --> 00:27:09.325]  Because either it is just 80 people dead, and that really is terrible for them, but that's not unusual for a big flu outbreak.
[00:27:10.464 --> 00:27:18.791]  Just because this is a bird, swine, human flu, and it kills some people, well, if you got tens of thousands that get sick, some are gonna die, especially elderly.
[00:27:19.452 --> 00:27:26.858]  What's scary is, just like the Spanish flu outbreak in 1918 that killed over 40 million, it's hitting young, healthy people.
[00:27:28.179 --> 00:27:30.061]  And that's what the 76 one did, too.
[00:27:30.782 --> 00:27:33.404]  And then the government came out with a vaccine that killed a bunch of people.
[00:27:34.722 --> 00:27:36.263]  So, let's go to Santiago.
[00:27:36.643 --> 00:27:38.003]  Santiago from Mexico City.
[00:27:38.023 --> 00:27:39.244]  He says lots of sick people.
[00:27:39.684 --> 00:27:41.465]  Santiago, thank you for calling in.
[00:27:41.505 --> 00:27:42.685]  Let us know exactly what's happening.
[00:27:43.886 --> 00:27:54.610]  I am calling right now from Valle de Bravo, which is approximately 100 miles outside of La Federal.
[00:27:54.670 --> 00:27:56.251]  I'm very, very fortunate.
[00:27:56.311 --> 00:27:57.532]  I speak fluent English.
[00:27:58.974 --> 00:28:02.416]  My family evacuated to by the rubble yesterday.
[00:28:02.436 --> 00:28:15.044]  The symptoms that we have seen first hand are basically it comes down to a common flu type in the initial onset, but then the problem occurs where you have blood and a very bad type of mucus.
[00:28:16.064 --> 00:28:21.368]  And you know, I'm presently, you know, I took the antibiotics and we're very fortunate enough to have, you know,
[00:28:22.961 --> 00:28:34.167]  We have the money to take care of ourselves, as far as my family goes, and I feel very much obligated to call and let you know and your listeners that this has been going on for two weeks approximately, leading up to this last week.
[00:28:34.187 --> 00:28:34.587]  That's right.
[00:28:34.607 --> 00:28:36.248]  The Mexican government now says March 18th.
[00:28:36.268 --> 00:28:37.288]  They were already aware of it.
[00:28:37.308 --> 00:28:37.689]  Go ahead.
[00:28:37.849 --> 00:28:48.574]  Well, I'm an IT professional, and basically, it was a common cold initially, and then it escalated day by day.
[00:28:53.032 --> 00:28:53.492]  So you got it?
[00:28:53.512 --> 00:28:54.653]  You're saying you got sick?
[00:28:54.673 --> 00:29:00.118]  Yeah, well, the really bad flu, as you know, that killed 40-plus million people in 1918, and stay there, Santiago, I want to come right back to you, it was respiratory.
[00:29:20.302 --> 00:29:21.063]  That's what this is.
[00:29:21.143 --> 00:29:25.787]  It's actually, it's all in the lungs, so if I sound congested, um... All right, stay there, sir.
[00:29:25.807 --> 00:29:26.888]  Can you hold for three minutes?
[00:29:26.908 --> 00:29:27.148]  No problem.
[00:29:27.168 --> 00:29:28.189]  All right, we'll put you on hold.
[00:29:28.209 --> 00:29:31.672]  We'll come right back to Santiago, right outside Mexico City when we get back.
[00:29:33.238 --> 00:29:34.118]  Spring is here.
[00:29:34.359 --> 00:29:35.159]  Growing season.
[00:29:35.319 --> 00:29:37.320]  The economy is not getting any better.
[00:29:37.520 --> 00:29:38.920]  In fact, it's getting worse.
[00:29:39.241 --> 00:29:39.921]  Think about it.
[00:29:40.201 --> 00:29:44.062]  At this rate, how will your life be in a month or even a year?
[00:29:44.303 --> 00:29:47.744]  Maybe you've been putting things off, but the time to act is now.
[00:29:47.984 --> 00:29:50.565]  You need to get your seeds before it's too late.
[00:29:50.825 --> 00:30:02.690]  At OrganicaSeed.com, you'll find one of the largest online selections of heirloom seeds, survival seed packs, as well as the giant vegetable seed collections that can feed you and your family for years.
[00:30:02.930 --> 00:30:03.451]  I think so.
[00:30:31.979 --> 00:30:37.866]  How would you like to finally be debt-free without paying another cent to creditors and not have to file bankruptcy?
[00:30:38.166 --> 00:30:41.611]  DebtCrisisSolutions.com can help free you from the debt trap.
[00:30:41.771 --> 00:30:46.517]  This is not a debt settlement program which has tax consequences or debt consolidation.
[00:30:46.657 --> 00:30:50.122]  With our program, there are no more payments to creditors or collectors.
[00:30:50.342 --> 00:30:50.862]  We're good to go.
[00:31:06.087 --> 00:31:06.907]  We're good to go.
[00:31:31.912 --> 00:31:33.334]  So you want to stop smoking?
[00:31:33.394 --> 00:31:34.495]  Well, here's what I want you to do.
[00:31:34.655 --> 00:31:37.417]  Go to a drugstore and take a stop smoking product off the shelf.
[00:31:37.538 --> 00:31:41.381]  Go to the cashier, tell him you don't want to pay for the product, you just want to take it home and try it.
[00:31:41.521 --> 00:31:45.065]  And if, and only if, you stop smoking, will you then come back and pay for it.
[00:31:45.305 --> 00:31:47.247]  Most likely, if you try this, you'd be arrested.
[00:31:47.307 --> 00:31:51.191]  But as silly as this sounds, this is exactly what the smoke-free free trial offer is.
[00:31:51.611 --> 00:31:58.380]  Smoke Free is a complete all-natural stop smoking system and when you call today they'll send you a 30-day supply of the program absolutely free.
[00:31:58.680 --> 00:32:06.711]  This program eliminates withdrawals and cravings and includes a 30-day supply of the Smoke Free Capsules, a guide to living smoke-free book, and audio support program.
[00:32:07.111 --> 00:32:12.155]  Capsule holder and a bottle of weight loss capsules just in case you're worried about gaining weight while you're trying to quit.
[00:32:12.335 --> 00:32:17.859]  To find out if you qualify for this free trial offer, join the tens of thousands who have quit for life with Smoke Free.
[00:32:18.039 --> 00:32:18.579]  Call 1-800-426-6186 today!
[00:32:18.599 --> 00:32:18.919]  That's 1-800-426-6186.
[00:32:18.939 --> 00:32:20.701]  This is a limited time offer, so call 1-800-426-6186 now!
[00:32:31.468 --> 00:32:32.728]  Hi, this is Alex Jones.
[00:32:32.788 --> 00:32:38.110]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:32:38.370 --> 00:32:42.971]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[00:32:43.371 --> 00:32:48.453]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:32:48.953 --> 00:32:53.634]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:32:54.178 --> 00:32:56.099]  They call it a Survival Seed Bank.
[00:32:56.479 --> 00:33:01.101]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:33:01.281 --> 00:33:02.181]  And here's the best part.
[00:33:02.401 --> 00:33:05.163]  These seeds have not been genetically modified in any way.
[00:33:05.183 --> 00:33:08.764]  And you actually get enough seeds to plant a full acre crisis garden.
[00:33:09.104 --> 00:33:11.925]  So visit them today at SurvivalSeedBank.com.
[00:33:12.286 --> 00:33:14.166]  That's SurvivalSeedBank.com.
[00:33:14.506 --> 00:33:15.427]  Or give them a call at 877-327-0365.
[00:33:15.447 --> 00:33:15.667]  That's 877-327-0365.
[00:33:23.300 --> 00:33:27.809]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:33:28.149 --> 00:33:30.534]  This is Alex Jones for survivalseedbank.com.
[00:33:31.610 --> 00:33:34.051]  The GCN Radio Network.
[00:33:34.432 --> 00:33:37.333]  Providing the world with hard-hitting talk radio.
[00:33:37.893 --> 00:33:38.634]  GCN.
[00:33:39.054 --> 00:33:41.095]  Great talk radio starts here.
[00:33:41.995 --> 00:33:54.322]  Bottom line, we've got psychopathic, eugenicist, New World Order control freaks that think we're a cancer on the precious earth.
[00:33:55.242 --> 00:33:56.643]  We've got to have our numbers reduced.
[00:33:58.504 --> 00:34:00.365]  And we know they've developed weaponized flus.
[00:34:00.385 --> 00:34:01.566]  They've released them in the past.
[00:34:02.207 --> 00:34:05.469]  They've tested chemical biologicals on every major population of the planet.
[00:34:06.489 --> 00:34:09.852]  And so, when something like this happens, we have to look at it very, very closely.
[00:34:12.313 --> 00:34:20.599]  But, on its face, if they're telling the truth that it's only 80 deaths in Mexico of thousands and thousands and thousands that have this flu,
[00:34:21.732 --> 00:34:24.253]  You know, they're saying it's only a couple thousand people that have it.
[00:34:24.333 --> 00:34:25.273]  That's ridiculous.
[00:34:25.333 --> 00:34:29.133]  I mean, they're saying people are sick all over Mexico and only 80 deaths.
[00:34:29.173 --> 00:34:35.415]  Well, then, it's bad if you're that 80, you know, those 80 people, but overall, flu always kills people.
[00:34:35.455 --> 00:34:37.435]  Then why is the media hyping it?
[00:34:37.575 --> 00:34:38.575]  Why all the fear?
[00:34:38.875 --> 00:34:41.416]  Why is the White House declaring a health emergency?
[00:34:41.816 --> 00:34:43.076]  Why is all this going on?
[00:34:43.316 --> 00:34:44.697]  Why am I getting calls from Mexico?
[00:34:44.737 --> 00:34:46.577]  There are people vomiting and sick all over.
[00:34:47.117 --> 00:34:50.981]  Okay, going back to Santiago right outside Mexico City.
[00:34:51.362 --> 00:34:53.764]  He got it a few weeks ago, but got better.
[00:34:54.185 --> 00:35:00.812]  Specifically Santiago, from what you're seeing around you, is the media covering this up or is the media telling the truth?
[00:35:01.132 --> 00:35:04.236]  What's really going on from your vantage point, sir?
[00:35:06.790 --> 00:35:10.292]  Absolutely, there's a complete media washout.
[00:35:10.772 --> 00:35:14.734]  For example, myself and my family went to Valle de Bravo.
[00:35:14.894 --> 00:35:16.055]  We were evacuated yesterday.
[00:35:16.075 --> 00:35:24.079]  The IT company that I work for, I cannot mention, but they will not be in, we will not be at work tomorrow.
[00:35:24.479 --> 00:35:25.920]  There's been a mandatory one week
[00:35:27.221 --> 00:35:30.364]  Stay as far as we're not going to be going to inside our offices.
[00:35:31.245 --> 00:35:33.787]  The office was sick approximately 10 days ago.
[00:35:34.828 --> 00:35:47.780]  We are given the proper medication, the forms of penicillin in the states, amoxicillin, but it's a state of right now complete disarray and there's a very foreboding panic in the streets.
[00:35:47.940 --> 00:35:49.001]  That's what we left, my family.
[00:35:49.461 --> 00:35:51.022]  We're good to go.
[00:36:11.964 --> 00:36:12.464]  It's not.
[00:36:12.805 --> 00:36:15.426]  The question is the degree and severity of the sickness.
[00:36:15.466 --> 00:36:17.768]  There's different symptoms, which I was getting at.
[00:36:17.888 --> 00:36:27.514]  It is respiratory, and there's blood mixed with very dark forms of mucus, and I'm sorry to be so upfront with your listeners.
[00:36:27.534 --> 00:36:33.017]  No, no, that's important, but I'm getting calls from Mexico saying that it's just people all over the place vomiting.
[00:36:33.797 --> 00:36:36.079]  I mean, are you witnessing any of that?
[00:36:36.894 --> 00:36:38.698]  That was witnessed unfortunately by myself.
[00:36:38.778 --> 00:36:39.600]  It's going on.
[00:36:39.620 --> 00:36:44.029]  Okay, well then it seems that the media isn't overplaying this.
[00:36:45.332 --> 00:36:47.116]  It is a concern, but at the same time...
[00:36:48.447 --> 00:37:06.991]  Then, if it's so widespread and just a flu that makes people sick, then 80 deaths out of hundreds of thousands that are probably really sick is not that big of a deal, unless they're lying and more people than 80 have died, as some doctors are telling the BBC and others out of Mexico City.
[00:37:07.671 --> 00:37:10.312]  Are you hearing from anybody that they're covering up the number of deaths?
[00:37:10.712 --> 00:37:11.633]  No, I don't think so.
[00:37:26.214 --> 00:37:35.625]  As far as, you know, breaking down a culture and a people and whatever you call it, to be civilized humanity, that's exactly what's happened in that city.
[00:37:36.046 --> 00:37:44.075]  And that's why we have evacuated and... Do you think Santiago, calling from outside Mexico City, do you think this strengthens the government that was on the verge of collapsing?
[00:37:44.616 --> 00:37:46.478]  Or does this weaken the government?
[00:37:48.081 --> 00:37:51.925]  Well, this absolutely gives them the power to do what they like.
[00:37:53.227 --> 00:38:00.114]  As I'm sure you're aware of, the people of Mexico are extremely oppressed, and this is something right now that could escalate further.
[00:38:01.276 --> 00:38:02.477]  People are very, very sick right now.
[00:38:02.617 --> 00:38:04.679]  I mean, it's not just 3,000, it's millions.
[00:38:07.617 --> 00:38:13.261]  And they've passed emergency powers to forcibly quarantine, forcibly medicate, and to lock down cities.
[00:38:13.762 --> 00:38:19.886]  Incidentally, the new powers were declared as well in the United States this morning, but with little fanfare.
[00:38:19.926 --> 00:38:30.133]  But the health emergency clauses and executive orders that have already been signed in decades past have now been implemented and are now in force for martial law.
[00:38:30.534 --> 00:38:31.995]  If you read the executive orders,
[00:38:32.755 --> 00:38:34.936]  That is basically what this states.
[00:38:35.016 --> 00:38:36.497]  Now, will they exercise it?
[00:38:36.857 --> 00:38:44.720]  The White House is saying this is just a formality, but it will take us several weeks for this flu to run its course, and I guess we're going to find out.
[00:38:44.740 --> 00:38:58.826]  That's what I was calling mainly because I wanted to let you know, you know, somebody who looks at their calendar every single day, this started about at least 11, 10, 11 days ago, and these symptoms were like a regular flu in the office, and
[00:39:00.376 --> 00:39:08.918]  Everybody that came down with us, fortunately, was able to get the proper treatment, but then it became a very spooky scenario.
[00:39:09.098 --> 00:39:12.439]  And, you know, it's very, very rough right now.
[00:39:12.459 --> 00:39:20.242]  You know, the head of the museum that Obama first visited this week when he shook hands with the curator, he died of this flu, the AP is reporting.
[00:39:20.482 --> 00:39:21.862]  Do you know anybody that's died?
[00:39:22.992 --> 00:39:23.533]  Me personally?
[00:39:23.793 --> 00:39:24.033]  Yes.
[00:39:25.154 --> 00:39:25.675]  I do not know.
[00:39:25.855 --> 00:39:27.357]  I cannot... That is good news!
[00:39:27.457 --> 00:39:32.682]  Because I would imagine if you say everybody... When you say everybody's sick, are you saying 80%, 90%?
[00:39:32.762 --> 00:39:42.072]  Oh no, I'd say probably 7 out of 10 people you speak to have had the regular flu.
[00:39:42.092 --> 00:39:43.253]  That's why it's so deceiving.
[00:39:44.756 --> 00:39:56.678]  The actual culture, I mean, there's so many strata of culture in Mexico City, and there are many people that do not have access, because they don't have the money to purchase and get access to proper treatment.
[00:39:56.698 --> 00:39:59.759]  No, I got it, because people are poor, the flu really spreads bad down there.
[00:39:59.799 --> 00:40:00.559]  Very, very true.
[00:40:00.679 --> 00:40:13.722]  So, I mean, I personally do not know people because of my fortunate circle of those that I mingle with, and that's why I felt obligated to call you, because there is something very severe happening, and this started about 10, 11 days ago.
[00:40:15.469 --> 00:40:18.070]  Okay, so in closing, Santiago, we appreciate your call.
[00:40:18.090 --> 00:40:19.591]  We've got more calls from Mexico.
[00:40:19.971 --> 00:40:27.634]  Specifically, though, what is your overall feeling just a few days into this really becoming a worldwide, you know, number one story?
[00:40:27.914 --> 00:40:36.617]  People panicking all over the world, buying mask up off the shelves, buying Tamiflu off the shelves that Rumsfeld and Bush and Obama own the stock in.
[00:40:36.657 --> 00:40:38.138]  That's in the news today.
[00:40:38.158 --> 00:40:41.960]  I mean, what's your gut feeling on what's really happening?
[00:40:42.000 --> 00:40:42.880]  Is this media hype?
[00:40:43.400 --> 00:40:46.283]  Or are they actually covering up how severe it is?
[00:41:01.474 --> 00:41:01.734]  I think so.
[00:41:17.759 --> 00:41:20.961]  Okay, well thank you, Santiago.
[00:41:21.001 --> 00:41:22.881]  Last question, we're going to have more calls in Mexico.
[00:41:23.442 --> 00:41:31.065]  Specifically, I've seen the President, I've confirmed, he's on TV talking about he's going to get a vaccine for everybody.
[00:41:31.826 --> 00:41:34.227]  There's no way they can already have a vaccine unless they
[00:41:35.545 --> 00:41:49.830]  I had been involved in this flu and when you look at the chances of 1 out of 99 or the numbers are even higher but I've been reading what doctors have been saying to have a mutagen that's part animal, part human, the swine human.
[00:41:49.870 --> 00:41:54.892]  Now they're saying it's bird flu, swine flu and human flu from Europe, Asia and North America.
[00:41:55.793 --> 00:41:59.054]  This has all the tell-tale signs and I'm seeing doctors on record saying this.
[00:42:00.063 --> 00:42:22.881]  of a designer virus and then as you and I've started my show last night and people were calling in from Mexico thinking what I was already thinking but not saying that people in Mexico are just spontaneously saying the government is doing this or hyping this to again pose as the savior, use this as an excuse to kind of just blast society down so all they've got is the state to cling to.
[00:42:23.522 --> 00:42:24.983]  What are other people saying around you?
[00:42:25.023 --> 00:42:27.305]  Are they thinking the government is involved in this?
[00:42:29.664 --> 00:42:40.032]  It's a very hard question you put me in to answer because I work with professionals that don't necessarily believe the same thoughts that you and your listeners believe.
[00:42:41.073 --> 00:42:47.278]  However, they are very upset because they realize the severity of this sickness could end up
[00:42:48.243 --> 00:42:49.043]  We're good to go.
[00:43:17.845 --> 00:43:18.806]  Wow, okay.
[00:43:18.926 --> 00:43:20.867]  So, thank you Santiago for that report.
[00:43:21.427 --> 00:43:24.108]  Steve in Tepic, Mexico.
[00:43:24.488 --> 00:43:26.529]  You are on as soon as we come back.
[00:43:28.290 --> 00:43:29.291]  Everybody else, stay with us.
[00:43:29.371 --> 00:43:29.731]  We'll be back.
[00:43:31.693 --> 00:43:39.799]  This year, many of us will have to make the tough decision on what to cut back on and what's essential as we prepare for an uncertain future.
[00:43:39.959 --> 00:43:44.362]  In these troubled times, one of the most important things your family can have is good health.
[00:43:44.522 --> 00:43:49.045]  Some of the contributors to poor health are parasites, viruses, toxins, and heavy metals.
[00:43:49.185 --> 00:43:50.586]  It's a documented fact.
[00:43:50.786 --> 00:43:58.069]  About 80% of all Americans and 85% of people around the world suffer from internal parasites and parasitic infection.
[00:43:58.230 --> 00:44:10.075]  Now, you can fight internal parasites, heavy metals, and high cholesterol naturally and safely by mixing fossilized phytoplankton powder, also known as FPP, with your favorite beverage once a day.
[00:44:10.335 --> 00:44:13.997]  FPP is now available to you from FreshwaterOrganics.com.
[00:44:14.597 --> 00:44:17.000]  A two-month supply starts at just $17.
[00:44:17.741 --> 00:44:21.266]  FPP is so affordable you can't afford to do without.
[00:44:21.466 --> 00:44:24.730]  Visit FreshwaterOrganics.com or call them toll-free at 888-949-3570.
[00:44:24.770 --> 00:44:24.971]  That's 888-949-3570.
[00:44:31.766 --> 00:44:34.088]  Are you concerned for the safety of your loved ones?
[00:44:34.388 --> 00:44:37.570]  Listen closely to this message from Pepperspray.com.
[00:44:38.011 --> 00:44:40.853]  Every 22 seconds a violent crime is committed.
[00:44:41.153 --> 00:44:45.296]  America has changed and your personal safety is your first priority.
[00:44:45.577 --> 00:44:46.197]  Be smart.
[00:44:46.397 --> 00:44:47.038]  Be safe.
[00:44:47.358 --> 00:44:49.720]  Trust Pepperspray instead of your luck.
[00:44:49.980 --> 00:44:56.205]  Pepperspray.com is the only website you'll ever need for all of your non-lethal self-defense supplies.
[00:44:56.525 --> 00:45:02.307]  Pepperspray.com carries one of the largest assortments of pepper spray and personal safety products on the web.
[00:45:02.527 --> 00:45:04.948]  From big to small, we have it all.
[00:45:05.208 --> 00:45:08.989]  Pepper spray, mace, animal repellents, stun guns, and tasers.
[00:45:09.250 --> 00:45:15.652]  Pepperspray.com also carries a large assortment of products for personal, home, child, and pet safety.
[00:45:15.972 --> 00:45:20.554]  Enter SAFE in the coupon box and you'll receive a special discount off of your order.
[00:45:20.854 --> 00:45:21.834]  So what are you waiting
[00:45:21.834 --> 00:45:22.574]  What are you waiting for?
[00:45:22.594 --> 00:45:24.275]  Go to Pepperspray.com.
[00:45:24.475 --> 00:45:26.435]  That's Pepperspray.com.
[00:45:26.595 --> 00:45:30.937]  Or call 1-800-908-9988 today.
[00:45:30.957 --> 00:45:35.938]  Do you have more than $15,000 in credit card debt?
[00:45:36.098 --> 00:45:42.880]  Before you spend another dollar on minimum payments, call American Debt Specialists right now and find out how much of your debt can be eliminated.
[00:45:43.060 --> 00:45:44.261]  That's right, eliminated.
[00:45:44.421 --> 00:45:47.262]  Call 800-237-7042.
[00:45:47.442 --> 00:45:51.483]  While the government is bailing out the credit card companies, we're here to make sure you get help too.
[00:45:51.923 --> 00:45:55.044]  Just one call could reduce your credit card debt by as much as 60%.
[00:45:56.765 --> 00:45:55.044]  60%!
[00:45:57.105 --> 00:46:01.747]  We'll bring you peace of mind with reduced debt and just one low monthly payment that fits your budget.
[00:46:02.067 --> 00:46:05.069]  It's simple, legal, and we'll get the job done for you fast.
[00:46:05.149 --> 00:46:05.949]  It was amazing.
[00:46:06.069 --> 00:46:10.391]  They helped me consolidate all my credit card debt into one low monthly payment.
[00:46:10.571 --> 00:46:12.372]  Now, we don't have to file for bankruptcy.
[00:46:12.572 --> 00:46:15.753]  Managing one payment is giving me my life back.
[00:46:16.073 --> 00:46:20.840]  For a free debt evaluation and to learn how you can save thousands right now, call 800-237-7660.
[00:46:20.860 --> 00:46:21.060]  That's 1-800-237-7660.
[00:46:21.080 --> 00:46:21.121]  800-237-7660.
[00:46:32.222 --> 00:46:33.083]  You are a rebel.
[00:46:33.383 --> 00:46:33.783]  Admit it.
[00:46:34.124 --> 00:46:36.906]  You refuse to read the directions when assembling a new item.
[00:46:37.086 --> 00:46:39.168]  You won't ask for directions when you're lost.
[00:46:39.488 --> 00:46:43.191]  Once in a while, you drive in the carpool lane with only you in the car.
[00:46:43.431 --> 00:46:45.093]  Your neighbors call you a crackpot.
[00:46:45.473 --> 00:46:47.655]  And you can count your real friends on one hand.
[00:46:49.793 --> 00:46:54.855]  He failed math, quit school, and his rebel ideas led to some of the world's most amazing discoveries.
[00:46:55.115 --> 00:46:59.697]  Edison rebelled against the dark, failed over a thousand times, then invented the light bulb.
[00:46:59.777 --> 00:47:04.378]  George Washington rebelled against an entire country, and led the creation of a new one.
[00:47:04.538 --> 00:47:07.620]  Now, Alex Jones is working to save that very country.
[00:47:07.760 --> 00:47:09.160]  So go ahead, be a rebel.
[00:47:09.320 --> 00:47:11.921]  Put in a food supply from efoodsdirect.com.
[00:47:12.141 --> 00:47:15.082]  Everyone will realize you were not a nutcase after all.
[00:47:15.262 --> 00:47:16.483]  efoodsdirect.com.
[00:47:19.699 --> 00:47:22.420]  Are you tired of searching for great talk radio?
[00:47:22.480 --> 00:47:23.020]  Search no more!
[00:47:23.101 --> 00:47:24.061]  We are the GCN Radio Network!
[00:47:24.141 --> 00:47:25.502]  Evil minds that plot destruction!
[00:47:25.542 --> 00:47:25.882]  Sorcerers!
[00:47:48.610 --> 00:48:06.180]  Sorcerer of death's construction, in the fields the bodies burning, as the war machine keeps turning, death and hatred
[00:48:12.033 --> 00:48:17.999]  All right, ladies and gentlemen.
[00:48:18.019 --> 00:48:21.943]  The New World Order... All right, let me give you an actual document.
[00:48:21.963 --> 00:48:22.684]  Would you like to hear it?
[00:48:24.176 --> 00:48:37.765]  September 20th, 2001, Rebuilding America's Defenses, written by the Vice President, before he was Vice President, Dick Cheney, called for the use of race-specific bioweapons on third world populations.
[00:48:38.265 --> 00:48:44.009]  And even the Austin American Statesman wrote a rebuke, saying, what are you, Adolf Hitler, basically?
[00:48:45.715 --> 00:48:48.617]  Okay, folks, it's time to grow up and realize what we're dealing with now.
[00:48:48.657 --> 00:48:50.398]  Look, I believe this is just fear-mongering.
[00:48:50.438 --> 00:48:51.799]  It is a bad flu.
[00:48:51.839 --> 00:48:52.799]  Gets you very sick.
[00:48:53.480 --> 00:48:55.781]  Any bad flu is gonna kill a certain amount of people.
[00:48:57.182 --> 00:48:58.042]  I got the flu one time.
[00:48:58.082 --> 00:49:00.964]  I was sick for a week and lost like 20 pounds when I was a teenager.
[00:49:01.564 --> 00:49:04.086]  And literally was hallucinating four or five days into it.
[00:49:04.726 --> 00:49:08.028]  And I had to go to the doctor and get shot up with some stuff so I quit throwing up.
[00:49:08.408 --> 00:49:09.889]  You get dehydrated, that's what kills you.
[00:49:11.088 --> 00:49:13.289]  I guess they shot me up with Finnegran, I think they called it.
[00:49:13.489 --> 00:49:15.609]  That end of the nausea right there, and I could finally eat.
[00:49:16.049 --> 00:49:17.350]  But I was weak for weeks after.
[00:49:19.890 --> 00:49:23.911]  But this is clearly... I'm 95% there that it's manufactured.
[00:49:24.711 --> 00:49:26.952]  By the way, is Dr. D going to be on next hour, a little bit?
[00:49:27.772 --> 00:49:28.032]  Okay.
[00:49:28.812 --> 00:49:32.473]  Yeah, let's have him on at the last 20 minutes or so, real fast, to pop in.
[00:49:32.493 --> 00:49:33.213]  He's a medical doctor.
[00:49:33.473 --> 00:49:37.614]  I got a bunch of medical doctors lined up for the weekday show, coming up, who've been talking about this.
[00:49:37.654 --> 00:49:39.455]  Now, my earlier issue was,
[00:49:40.558 --> 00:49:41.819]  I've been covering bird flu.
[00:49:42.200 --> 00:49:46.904]  Paul, uh, Jaron, have I not been lately saying I feel bird flu's in the cards?
[00:49:47.024 --> 00:49:50.447]  I've, I, I, I mean, it's not like I'm psychic here.
[00:49:50.467 --> 00:49:52.248]  I study the enemy.
[00:49:52.308 --> 00:49:53.309]  I study their propaganda.
[00:49:53.389 --> 00:49:55.011]  I've seen them hyping bird flu.
[00:49:55.031 --> 00:49:58.954]  Uh, Baxter was mixing it in with the regular vaccines.
[00:49:59.315 --> 00:50:01.336]  You can't make stuff up like this.
[00:50:01.957 --> 00:50:07.422]  And then suddenly all these people are dying in Europe of bird flu and taking the vaccines and the media kind of just sleeps in under the rug.
[00:50:08.584 --> 00:50:10.286]  And I feel a tremor in the force.
[00:50:10.326 --> 00:50:13.109]  The last time I felt it was in the presence of my old master.
[00:50:14.310 --> 00:50:16.613]  And so something is going on.
[00:50:17.454 --> 00:50:18.575]  And I'm right here in Texas.
[00:50:19.256 --> 00:50:21.018]  I mean, they're shutting down schools here and there.
[00:50:21.078 --> 00:50:23.000]  There's cases more and more popping up in Texas.
[00:50:23.440 --> 00:50:24.882]  This is only just beginning.
[00:50:25.242 --> 00:50:28.225]  Whether it's a deadly flu or a moderate flu or a no-big-deal flu.
[00:50:28.905 --> 00:50:43.978]  But, you know, here they say it's no big deal, and, you know, it isn't going to kill you, but in Mexico they're saying it's killed 80-something people, and that's the conservative number, and doctors are saying it's in the hundreds and hundreds and hundreds, and every caller I get says it's really bad, and everybody they know, or 70%, are sick!
[00:50:44.879 --> 00:50:48.862]  Let's go to Steve in... How do I pronounce that?
[00:50:51.324 --> 00:50:52.765]  Topeak, Mexico.
[00:50:53.426 --> 00:50:54.867]  Steve, you are on the air, sir.
[00:50:54.907 --> 00:50:55.648]  Tell us what's going on.
[00:50:56.568 --> 00:50:58.050]  How's it going, Alex?
[00:50:58.090 --> 00:50:58.731]  This is Steve.
[00:50:58.851 --> 00:51:01.334]  I called you last night concerning the Aztec Anuj.
[00:51:01.874 --> 00:51:02.515]  Yes, that's right.
[00:51:02.535 --> 00:51:10.484]  You're married to a Mexican lady living down in Mexico, and you're telling me that, and I did confirm that he's on TV, the President's signal where we've got a vaccine for you.
[00:51:10.745 --> 00:51:11.586]  What's the latest info?
[00:51:12.662 --> 00:51:12.962]  Correct.
