[00:00:14.178 --> 00:00:15.299]  Today, that's 1-800-426-6186.
[00:23:30.988 --> 00:23:32.448]  So we'll get to that coming up.
[00:23:32.528 --> 00:23:33.288]  Very, very important.
[00:23:33.649 --> 00:23:35.609]  Eric in California, you're on the air.
[00:23:35.629 --> 00:23:36.210]  Thanks for holding.
[00:23:37.470 --> 00:23:38.531]  Alex, how are you doing?
[00:23:38.671 --> 00:23:39.011]  Hey, buddy.
[00:23:39.031 --> 00:23:39.331]  Welcome.
[00:23:40.191 --> 00:23:41.132]  Hey, great news, Alex.
[00:23:42.641 --> 00:23:49.048]  Late last year, I did some work for Dave Mustaine and Megadeth on their new studio.
[00:23:50.229 --> 00:23:52.251]  So I got to know Dave a little bit.
[00:23:53.112 --> 00:23:57.036]  I didn't try to press him for conversation and all that, but I expected his time.
[00:23:57.696 --> 00:24:04.483]  But about a week and a half ago, I dropped by the studio and just kind of sat down with him for about a half hour and talked about various things.
[00:24:07.395 --> 00:24:12.798]  I had mentioned the fact that he'd been on your show, interviewed by you, and if you'd like to do it again.
[00:24:12.818 --> 00:24:17.201]  And he said he's got to talk to his manager and go through all the proper channels and whatnot.
[00:24:17.221 --> 00:24:19.042]  Maybe you might want to call him up.
[00:24:19.882 --> 00:24:24.104]  Set that up, because they're getting ready to send out a new album this fall.
[00:24:25.245 --> 00:24:32.909]  And he had one more song to write, and I asked him if he had seen A Bomb Deception yet, and he hadn't, so I gave him a copy.
[00:24:32.929 --> 00:24:33.910]  I had some on my truck.
[00:24:34.938 --> 00:24:41.543]  Also gave him a copy of, uh, Freedom Fascism, 9-11 Road to Tyranny, Terror Storm, and Endgame.
[00:24:43.364 --> 00:24:50.729]  So, uh, sometime this week I'm gonna follow up with him and, uh, see if he'd like to collaborate on a project to reach out to youth.
[00:24:51.810 --> 00:24:56.313]  Because this is something that's very, very deep in my heart.
[00:24:56.433 --> 00:25:03.318]  Yeah, I had Dave Mustang on, uh, because the music is all about One World Government, New World Order, and I remember listening to it,
[00:25:03.960 --> 00:25:04.640]  Not yet.
[00:25:04.700 --> 00:25:07.901]  He said he was going to watch Obama Deception that night.
[00:25:34.096 --> 00:25:36.398]  And they might inspire his last song.
[00:25:36.418 --> 00:25:38.379]  So I'm definitely going to follow up.
[00:25:38.479 --> 00:25:42.962]  I've actually got some lyrical ideas that I'd like to bounce off of him.
[00:25:43.002 --> 00:25:44.323]  But that's not why I went.
[00:25:44.363 --> 00:25:46.524]  I just wanted to talk to him.
[00:25:46.544 --> 00:25:47.005]  That's great.
[00:25:47.525 --> 00:25:48.846]  Well, listen, that's how we network.
[00:25:48.866 --> 00:25:49.687]  So stay in touch.
[00:25:49.747 --> 00:25:51.027]  And I appreciate it, Bubba.
[00:25:51.408 --> 00:25:52.809]  I will keep you in touch.
[00:25:52.849 --> 00:25:52.969]  Sure.
[00:25:52.989 --> 00:25:53.389]  Go ahead, Eric.
[00:25:53.849 --> 00:25:54.150]  What else?
[00:25:54.950 --> 00:25:55.450]  Absolutely.
[00:25:55.591 --> 00:25:56.071]  Yeah, you bet.
[00:25:56.151 --> 00:25:57.432]  I'll be talking to him this week.
[00:25:57.732 --> 00:25:58.452]  Hey, thanks a lot, man.
[00:25:58.492 --> 00:25:59.113]  I appreciate it.
[00:25:59.153 --> 00:25:59.413]  Yeah.
[00:25:59.473 --> 00:26:02.095]  You know, the person I'm proudest of waking up is Bruce Willis.
[00:26:03.291 --> 00:26:07.312]  But Bruce is a private guy, so I'm not going to get into it or talk about it.
[00:26:07.832 --> 00:26:12.294]  But according to Bruce, you won't be seeing him work for the neocons anymore.
[00:26:12.314 --> 00:26:13.654]  He still doesn't like the Democrats.
[00:26:15.055 --> 00:26:17.515]  But, well, I can talk about what is known.
[00:26:17.936 --> 00:26:23.497]  I had Rick Linklater on about two years ago when A Scanner Darkly came out, filmed my men with Keanu Reeves, Winona Ryder, and Woody Harrelson.
[00:26:25.798 --> 00:26:29.499]  Who's the guy from, I don't, who's the, I mean, I met him a bunch.
[00:26:30.159 --> 00:26:31.280]  No, I know Keanu good.
[00:26:32.406 --> 00:26:34.708]  I always have, I always call him Morton Downey Jr.
[00:26:35.609 --> 00:26:36.369]  Robert Downey Jr.
[00:26:36.389 --> 00:26:40.533]  It's not Morton Downey Jr., the guy with the talk show in the 80s screaming and people smoking cigarettes.
[00:26:40.553 --> 00:26:41.473]  Yeah, Robert Downey Jr.
[00:26:42.734 --> 00:26:43.675]  Anyways, I'm in that movie.
[00:26:44.656 --> 00:26:46.217]  Pretty big part, but anyway, side issue.
[00:26:46.798 --> 00:26:47.638]  I never tried to be in it.
[00:26:47.698 --> 00:26:48.759]  Rick Linklater's just a great guy.
[00:26:48.779 --> 00:26:50.921]  Well, I did try once I heard I had a chance to be in it.
[00:26:50.941 --> 00:26:52.182]  I said, absolutely put me in it.
[00:26:52.562 --> 00:26:55.785]  Great guy, Tommy Pallotta and Rick Linklater put me in it.
[00:26:55.805 --> 00:26:59.448]  I don't want to talk about myself all day, so I want to hurry and get back to your calls, but the point is,
[00:27:00.666 --> 00:27:06.350]  I had Rick on about two years ago to promote A Scanner Darkly, and I wasn't bringing up 9-11 to Rick.
[00:27:06.930 --> 00:27:09.792]  And he started saying he thought 9-11 was an inside job on the air.
[00:27:10.452 --> 00:27:11.893]  A lot of courage, you know, big director.
[00:27:13.334 --> 00:27:16.716]  School of Rock, Days of Confused, you know, list goes on and on.
[00:27:19.157 --> 00:27:29.624]  And so I had him on about that, and he said, yeah, I gave your videos to Bruce Willis, and he watched them and came back, and he sent me some of the emails Bruce had sent him.
[00:27:30.393 --> 00:27:31.834]  Saying, yeah, this has really woken me up.
[00:27:31.894 --> 00:27:33.355]  Now I understand the left-right paradigm.
[00:27:33.375 --> 00:27:34.897]  I understand both parties are controlled.
[00:27:35.937 --> 00:27:43.723]  And then I had a chance later to talk to... Well, I'm just going to leave it at that.
[00:27:43.743 --> 00:27:47.746]  The point is, I had a private conversation with somebody after that, about six months later.
[00:27:48.107 --> 00:27:50.729]  And then people didn't believe Rick Linklater when he said it on air.
[00:27:51.029 --> 00:27:53.251]  The Neocon website said, there's no way that's true.
[00:27:53.271 --> 00:27:54.732]  You know, Michelle Malkin and people.
[00:27:56.573 --> 00:27:57.274]  And then...
[00:27:58.430 --> 00:28:05.114]  He was in Vanity Fair when a big movie came out about a year ago and he said, yeah, the same people that killed Kennedy are running things today.
[00:28:05.154 --> 00:28:08.136]  And I don't believe in the left-right paradigm anymore and all this stuff.
[00:28:09.237 --> 00:28:12.178]  So that is very, very exciting.
[00:28:12.218 --> 00:28:16.381]  I mean, you know, I didn't get into this to meet Charlie Sheen, who I think is the coolest person in Hollywood.
[00:28:16.401 --> 00:28:17.241]  You got to know him in person.
[00:28:17.261 --> 00:28:17.922]  I know him really well.
[00:28:19.002 --> 00:28:19.703]  You've got to know
[00:28:22.261 --> 00:28:23.582]  Well, I'm not going to start dropping names.
[00:28:23.602 --> 00:28:28.445]  There's a lot of folks that are fans of the show that tune in and I talk to that want to be private.
[00:28:28.465 --> 00:28:29.345]  I'm just going to leave it at that.
[00:28:30.786 --> 00:28:31.147]  You know what?
[00:28:31.167 --> 00:28:32.007]  Let's go back to your calls.
[00:28:32.067 --> 00:28:33.148]  Walt in California.
[00:28:33.208 --> 00:28:33.908]  Walt, you're on the air.
[00:28:33.948 --> 00:28:34.329]  Go ahead.
[00:28:35.369 --> 00:28:35.950]  All right.
[00:28:36.210 --> 00:28:37.230]  Can you hear me OK, Alex?
[00:28:37.250 --> 00:28:37.711]  Yes, sir.
[00:28:37.831 --> 00:28:38.211]  I can.
[00:28:38.251 --> 00:28:38.591]  Welcome.
[00:28:40.032 --> 00:28:41.133]  You probably remember me.
[00:28:41.413 --> 00:28:46.296]  I marched with you in the cold, freezing rain in New York City with my brother, 911.
[00:28:49.949 --> 00:28:53.530]  Bullhorning and we bullhorned the Federal Reserve.
[00:28:53.550 --> 00:28:54.771]  That was 2007.
[00:28:54.871 --> 00:28:59.452]  We bullhorned the Federal Reserve, Larry Silverstein's building, the new Building 7, all of it.
[00:28:59.472 --> 00:29:01.152]  Yeah, it was good to be there with you.
[00:29:01.173 --> 00:29:04.714]  It was so cold and you and I, you know, talked several times.
[00:29:04.774 --> 00:29:06.894]  We sat down and talked.
[00:29:07.554 --> 00:29:10.415]  We huddled up in the alleyway and kept each other warm.
[00:29:11.616 --> 00:29:12.256]  Just joking.
[00:29:12.516 --> 00:29:13.076]  Hey, hold on.
[00:29:13.116 --> 00:29:13.436]  Stay there.
[00:29:13.456 --> 00:29:14.357]  I'll come back to you, man.
[00:29:14.637 --> 00:29:15.537]  Hold on just a second.
[00:29:16.488 --> 00:29:17.610]  We gotta do the news here.
[00:29:17.630 --> 00:29:18.311]  It's very important.
[00:29:18.351 --> 00:29:19.172]  Important messages.
[00:29:19.453 --> 00:29:20.674]  Class commercial messages.
[00:29:20.714 --> 00:29:21.395]  Straight ahead.
[00:29:21.936 --> 00:29:22.858]  Alton Fair Isle.
[00:29:23.138 --> 00:29:24.540]  It's the G. Gordon Liddy Show.
[00:29:24.800 --> 00:29:25.301]  Stay with us.
[00:29:34.236 --> 00:29:38.079]  Today, we cannot afford to ignore the current state of our country.
[00:29:38.280 --> 00:29:41.182]  The economy, job layoffs, mass foreclosures.
[00:29:41.442 --> 00:29:45.746]  And now, we are all at risk of being exposed to this new flu pandemic.
[00:29:45.966 --> 00:29:50.530]  The Center for Disease Control has declared a public health emergency across the United States.
[00:29:50.790 --> 00:29:52.251]  What can you do to prepare yourself?
[00:29:52.452 --> 00:29:54.693]  The answer is ZeroFlu.com.
[00:29:54.934 --> 00:29:58.497]  ZeroFlu.com offers you the very best at air purifiers.
[00:29:58.697 --> 00:30:02.500]  These revolutionary air purifiers protect up to 3,000 square feet of your home.
[00:30:02.520 --> 00:30:03.220]  We're good to go.
[00:30:28.590 --> 00:30:36.553]  Hi, this is Peter Kronschnabel with Midas Resources.
[00:30:36.713 --> 00:30:40.394]  As you know, government spending is at an all-time high and inflation is on the rise.
[00:30:40.494 --> 00:30:43.155]  What are you doing right now to protect yourself financially?
[00:30:43.315 --> 00:30:50.518]  As the economy continues to deteriorate due to corporate greed and government intervention, more people will lose their jobs and worse, their life savings.
[00:30:50.658 --> 00:30:50.998]  We're good.
[00:31:07.105 --> 00:31:11.106]  If you've been thinking about investing in the physical possession of precious metals, I can help.
[00:31:11.246 --> 00:31:16.488]  Call me today, Peter Kranchnobel, at 800-686-2237, extension 108.
[00:31:17.048 --> 00:31:21.970]  And I will take the time personally to put together a portfolio designed to protect what you've worked so hard for.
[00:31:22.090 --> 00:31:25.851]  Call Peter, 800-686-2237, extension 108.
[00:31:26.552 --> 00:31:29.053]  You've worked hard your whole life, and I want to work hard for you.
[00:31:29.193 --> 00:31:29.653]  Call 800-686-2237, extension 108.
[00:31:33.923 --> 00:31:34.804]  Ah, springtime.
[00:31:35.244 --> 00:31:40.427]  Now that you've planted your organic garden, how will you keep the bugs away without using toxic chemicals and poisons?
[00:31:40.767 --> 00:31:45.230]  Well, the answer is all-natural insecticides from FreshwaterOrganics.com.
[00:31:45.370 --> 00:31:51.113]  These revolutionary insecticides start with the same organic product that we use in FPP to kill parasites.
[00:31:51.353 --> 00:31:59.638]  We then add a small amount of pyrethrin from chrysanthemum flowers and a mild attractant to offer you the most effective insecticide available anywhere.
[00:31:59.958 --> 00:32:02.641]  It can even be applied up to the day of harvest.
[00:32:02.941 --> 00:32:09.147]  Our natural insecticides work in the home, on plants, and in your garden, killing pests mechanically, not with poisons.
[00:32:09.427 --> 00:32:13.411]  So pests can't develop an immunity, and they won't harm your children or pets.
[00:32:13.792 --> 00:32:17.195]  It's effective against white flies, moths, bedbugs, fleas,
[00:32:17.535 --> 00:32:18.095]  I think so.
[00:32:33.903 --> 00:32:36.544]  Companies continue to lay off thousands of people.
[00:32:37.125 --> 00:32:40.106]  Unemployment is the highest it's been in over 30 years.
[00:32:40.466 --> 00:32:43.868]  Statistics prove that in a recession, crime rates go up.
[00:32:44.248 --> 00:32:50.432]  Everyone needs something for that extra edge to prevent becoming a victim in these difficult and trying times.
[00:32:50.832 --> 00:32:55.874]  You need to prepare yourself with DPS pepper spray, available at MrDefense.com.
[00:32:56.034 --> 00:33:02.738]  DPS is the strongest pepper spray in the market and is the same spray used by hundreds of law enforcement agencies from around the world.
[00:33:03.058 --> 00:33:03.939]  Need something more?
[00:33:04.159 --> 00:33:07.803]  The Scorpion Stun Gun is a great way to take down a potential attacker.
[00:33:08.103 --> 00:33:16.171]  Mr. Defense also carries the largest selection of air tasers, knives, self-defense keychains, swords, batons, survival, spy, and tactical gear.
[00:33:16.411 --> 00:33:20.756]  Mention this ad and receive 10% off of your order and a free self-defense keychain.
[00:33:21.036 --> 00:33:23.517]  I can't get enough of that Jimi Hendrix.
[00:33:23.537 --> 00:33:25.098]  I think this song says it all.
[00:33:53.242 --> 00:34:06.868]  Alright, I'm in a phone blitz and I'm getting into the most hardcore news I've covered in a while.
[00:34:07.869 --> 00:34:13.351]  I mean, I already knew they were training little kids in public school, the Boy Scouts and others, to take on American gun owners.
[00:34:13.371 --> 00:34:14.952]  I mean, I had that in government documents.
[00:34:15.952 --> 00:34:19.894]  But to have it right in the New York Times is just amazing with all these sickening photographs of it.
[00:34:20.529 --> 00:34:24.812]  That's coming up in a breakdown of the 2009-2010 Bilderberg Group agenda.
[00:34:25.553 --> 00:34:32.898]  And this is like looking into a crystal ball in the past, so you'll want to stay tuned for that to know what's coming up on the agenda of Spectre.
[00:34:32.918 --> 00:34:34.919]  That's the best way to describe it.
[00:34:35.420 --> 00:34:38.522]  The bad international private crime syndicate above governments.
[00:34:38.922 --> 00:34:41.684]  The only problem is the intelligence agencies work for Spectre.
[00:34:42.445 --> 00:34:47.909]  And they play the intelligence agencies off against the host nations and their own populations.
[00:34:48.009 --> 00:34:49.570]  That's the big mind trick.
[00:34:50.305 --> 00:34:56.130]  It isn't MI6 and the KGB, the FSB today that are fighting with each other.
[00:34:56.230 --> 00:34:58.111]  They work for Spectre, ladies and gentlemen.
[00:34:58.491 --> 00:34:59.993]  Truth is stranger than fiction.
[00:35:00.333 --> 00:35:03.115]  Call it the Bilderberg Group, call it Spectre, call it whatever you want.
[00:35:03.515 --> 00:35:04.857]  It's the Global Crime Syndicate.
[00:35:04.897 --> 00:35:05.837]  It's the New World Order.
[00:35:06.138 --> 00:35:07.499]  Okay, Walt, I'll get serious here.
[00:35:08.219 --> 00:35:09.941]  Go ahead and make your point, sir.
[00:35:10.781 --> 00:35:11.202]  Okay.
[00:35:11.502 --> 00:35:13.063]  All right.
[00:35:13.103 --> 00:35:19.148]  CPS came to our house on Mother's Day and stole our six-day-old
[00:35:19.887 --> 00:35:20.908]  They'd be away from us.
[00:35:21.969 --> 00:35:23.450]  Well, you know, they've got quotas.
[00:35:23.510 --> 00:35:25.111]  I covered that last Thursday on the show.
[00:35:25.131 --> 00:35:25.952]  I'm sorry to hear that.
[00:35:26.512 --> 00:35:27.353]  They've got quotas.
[00:35:27.613 --> 00:35:28.874]  They do it outside the law.
[00:35:29.074 --> 00:35:29.834]  Tell us what happened.
[00:35:30.735 --> 00:35:47.127]  Well, what happened was there were absolute false allegations made against me concerning child custody for my wife's other two children from another husband, okay?
[00:35:49.204 --> 00:35:55.411]  We were in Florida, and her sister and her mother are completely insane.
[00:35:55.431 --> 00:35:57.994]  They tried to commit suicide multiple times.
[00:35:58.255 --> 00:35:59.176]  It's documented.
[00:35:59.216 --> 00:35:59.877]  It's proven.
[00:36:00.097 --> 00:36:00.978]  See, that's the problem.
[00:36:00.998 --> 00:36:09.268]  The state uses people tattling on each other, and the TV shows and the sitcoms train people to tattle on each other and do this.
[00:36:10.294 --> 00:36:21.165]  Uh, you know, the biggest culprits, the hospitals, or, you know, they catch marijuana in your blood so they seize all your kids and they don't tell you that you were basically in a jail cell when you came in to have a baby and that it would all be used against you.
[00:36:21.185 --> 00:36:27.471]  Uh, or, or your child falls off the jungle gym in front of witnesses and breaks a finger so they take him.
[00:36:27.511 --> 00:36:29.934]  But in the case of families ratting each other out,
[00:36:30.589 --> 00:36:37.530]  What the families don't know is when they make something up to get the children, most of the time the state doesn't give them the children to begin with.
[00:36:37.550 --> 00:36:42.391]  A lot of grandparents do this to get the kids and then they get freaked out when it doesn't happen.
[00:36:42.431 --> 00:36:43.251]  That's what it is.
[00:36:43.271 --> 00:36:45.332]  It's grandparents and the sister.
[00:36:46.052 --> 00:36:49.753]  But let me guess, let me guess, the sister and the grandkids haven't gotten the baby?
[00:36:51.273 --> 00:36:52.933]  Yeah, they got the baby now too.
[00:36:53.433 --> 00:36:55.194]  Well listen, that's better than nothing.
[00:36:55.594 --> 00:36:56.834]  Usually they don't get the baby.
[00:36:57.358 --> 00:36:58.359]  No, they got them all.
[00:36:58.439 --> 00:36:59.359]  You don't get it.
[00:36:59.460 --> 00:37:03.502]  I mean, they're horrible people, okay?
[00:37:03.983 --> 00:37:12.889]  And for them to be, for those children to be in their possession is worse than anything we could ever have... Well listen, you just have to get a lawyer that's a specialist in this.
[00:37:12.909 --> 00:37:16.151]  There's some organizations... I'm out here and I'm sequestering help.
[00:37:16.231 --> 00:37:19.634]  I want to hire Harry Shapiro and Patrick Clancy.
[00:37:19.654 --> 00:37:21.075]  They're two experts, okay?
[00:37:21.195 --> 00:37:22.196]  I'm flat broke.
[00:37:22.796 --> 00:37:25.258]  I'm tossthekitty at yahoo.com.
[00:37:26.076 --> 00:37:28.679]  And on MySpace, toss the key.
[00:37:28.959 --> 00:37:31.843]  I'm the one that wrote the song, 9-11 was an inside job.
[00:37:32.203 --> 00:37:34.005]  Okay?
[00:37:34.105 --> 00:37:35.807]  I have been a longtime patriot.
[00:37:37.499 --> 00:37:41.480]  You know, the only thing that I'm guilty of was leaving my wife for another woman.
[00:37:41.580 --> 00:37:42.540]  I'm guilty of that.
[00:37:42.780 --> 00:37:45.121]  But I shouldn't lose my baby over this.
[00:37:45.401 --> 00:37:46.361]  And we're destroyed.
[00:37:46.421 --> 00:37:47.761]  It's destroying us.
[00:37:48.081 --> 00:37:49.781]  Well, sir, let me stop, okay?
[00:37:49.881 --> 00:37:51.162]  I appreciate your call, okay?
[00:37:51.642 --> 00:37:57.703]  I can sit here and I can take 150 phone calls straight every hour of people who just had their kids taken, okay?
[00:37:58.383 --> 00:37:59.983]  They take over a million children a year.
[00:38:00.063 --> 00:38:02.264]  Most of them don't even go to somebody else in the family.
[00:38:02.984 --> 00:38:03.984]  I understand that.
[00:38:04.941 --> 00:38:08.943]  I understand they wanted the other two kids, and so now they've gotten your baby.
[00:38:09.523 --> 00:38:11.344]  And I understand it's criminal and it's sick.
[00:38:11.684 --> 00:38:13.625]  You're going to have to fight it out in the courts.
[00:38:14.165 --> 00:38:17.447]  And what's got to be defeated is these fake criminal family courts.
[00:38:17.467 --> 00:38:26.711]  Everybody's heard about them, where the private adoption agencies and stuff get caught paying the judges under the table millions, and where they have actual orders for blonde-haired and blue-eyed kids.
[00:38:26.771 --> 00:38:29.293]  I had a state senator on earlier this week covering it.
[00:38:29.533 --> 00:38:30.293]  We gave your thing out.
[00:38:30.333 --> 00:38:31.414]  I'd like to help you, sir.
[00:38:32.614 --> 00:38:33.355]  It's just that...
[00:38:34.941 --> 00:38:36.102]  I know how this operates.
[00:38:36.142 --> 00:38:38.063]  It's why I cover it every week on the show.
[00:38:38.783 --> 00:38:42.625]  But it is an innumerable amount of people that we would have to help.
[00:38:42.705 --> 00:38:44.306]  We have to change the system.
[00:38:45.106 --> 00:38:48.528]  And I know you're wanting to hire some type of specialist lawyers or something.
[00:38:48.968 --> 00:38:57.152]  You need to get with the big think tanks and websites that are experts on how to go after the criminal CPS system.
[00:38:57.893 --> 00:38:58.193]  Okay?
[00:38:58.968 --> 00:39:03.549]  And so, the way this criminal system works is it sides with whoever makes the false allegation.
[00:39:03.889 --> 00:39:07.850]  And the family courts aren't real courts, so you have trouble facing your own accuser.
[00:39:07.870 --> 00:39:09.130]  And there's no judge or jury.
[00:39:09.550 --> 00:39:16.412]  All there is is a big, fat, pedophile judge, nine times out of ten, that's sitting there getting kickbacks on money for how many kids they grab.
[00:39:16.712 --> 00:39:20.773]  And I understand your pain, and it's hard for me to sit there and listen to it, because it's very upsetting.
[00:39:20.793 --> 00:39:22.433]  That's why I cover it on the show every week.
[00:39:22.773 --> 00:39:24.353]  But all I can do is give out info.
[00:39:24.673 --> 00:39:27.294]  We're almost powerless when it comes to helping individuals.
[00:39:28.240 --> 00:39:29.721]  We've got to change the system.
[00:39:30.221 --> 00:39:36.905]  And if people wake up universally and realize what a criminal racket the family court system is, then we can start changing it.
[00:39:37.265 --> 00:39:38.666]  Let's talk to Stephen in Texas.
[00:39:38.706 --> 00:39:40.147]  Stephen, you're on the air.
[00:39:40.187 --> 00:39:40.608]  Go ahead.
[00:39:41.768 --> 00:39:44.130]  Yeah, hey, good afternoon, Alex.
[00:39:44.210 --> 00:39:46.371]  First of all, two things I want to cover real quick.
[00:39:46.391 --> 00:39:47.852]  First of all, about the Boy Scouts.
[00:39:49.176 --> 00:40:07.648]  I was in the Boy Scouts for years, and I consider it no coincidence that now what you're bringing out about the Boy Scouts, and what you brought out about Hitler's youth brigades, that our beloved Governor Rick Perry not long ago came out with a book promoting the Boy Scouts.
[00:40:08.468 --> 00:40:20.603]  So, I don't consider that he was defending them against, like, the homosexuals who were trying to infiltrate him, but I see this as a deeper agenda where it's no coincidence that, you know, just not too long ago he came out of this book.
[00:40:21.023 --> 00:40:23.827]  In other words, to give a positive spin on the Boy Scouts,
[00:40:24.627 --> 00:40:26.409]  In the direction they're going now.
[00:40:26.429 --> 00:40:27.410]  You see what I'm getting at?
[00:40:27.690 --> 00:40:36.076]  No, and again, the Boy Scouts admittedly were set up to train youth for military induction and for camping and preparation.
[00:40:36.516 --> 00:40:38.178]  They admit that, and that's fine and dandy.
[00:40:39.058 --> 00:40:43.001]  But what Hitler did in 1933 is they had the German Boy Scouts.
[00:40:43.081 --> 00:40:44.923]  That was the kinder folk.
[00:40:45.703 --> 00:40:48.305]  And this is mainline history for those that don't know.
[00:40:48.786 --> 00:40:49.606]  And I appreciate your call.
[00:40:49.646 --> 00:40:50.307]  It's a fine point.
[00:40:50.327 --> 00:40:51.928]  I'm going to start getting into that in the next segment.
[00:40:53.430 --> 00:40:58.272]  And they took over the Boy Scouts, and at first had it just normal Boy Scouts, and then turned it into paramilitary training.
[00:40:58.852 --> 00:41:07.095]  And then they set up the Hitlerjugend out of that, and just a few years later, those 12, 13, 14, 15 year olds, in 1913, I mean in 1933, by 1940, 1941, 42, with the war raging, you know, they were now 20, 21, 22 years old, and were fully indoctrinated.
[00:41:07.115 --> 00:41:11.076]  And that's what this is all about, and that is what is happening here.
[00:41:21.715 --> 00:41:24.097]  You know, torture, secret arrest, youth brigades.
[00:41:24.557 --> 00:41:26.379]  But ladies and gentlemen, it's not just that.
[00:41:27.179 --> 00:41:30.922]  We now know what the global uniform is for these youth.
[00:41:32.083 --> 00:41:37.627]  And Barack Obama has released a Secure Corps video with them doing military drills.
[00:41:37.687 --> 00:41:40.309]  Ladies and gentlemen, this is off the charts.
[00:41:40.389 --> 00:41:41.871]  It's up on InfoWars.com.
[00:41:42.451 --> 00:41:43.292]  You can see it right now.
[00:41:43.312 --> 00:41:46.014]  We're going to play the audio coming up in the next segment when I detail all of this.
[00:41:46.767 --> 00:41:47.828]  George in Texas.
[00:41:48.268 --> 00:42:08.384]  Oh, by the way, Walt, who called earlier, Walt, send an email to RobD at Infowars.com with all the facts of the case written out, because just to come on here and kind of talk about what happened to you, or to start naming people in an extended family, I need to see the documentation first.
[00:42:08.424 --> 00:42:11.306]  I need to consider you for being a guest on the show.
[00:42:12.127 --> 00:42:14.769]  That's how we do that when we do shows on the CPS.
[00:42:15.530 --> 00:42:19.252]  Because it's a very, very serious situation.
[00:42:19.753 --> 00:42:21.113]  Okay, so I appreciate your call.
[00:42:21.834 --> 00:42:24.455]  Let's go ahead and talk to George in Texas.
[00:42:24.476 --> 00:42:25.196]  George, go ahead.
[00:42:25.876 --> 00:42:26.417]  Thank you, Alex.
[00:42:26.437 --> 00:42:27.317]  Thank you for taking my call.
[00:42:27.597 --> 00:42:27.978]  Thank you.
[00:42:28.418 --> 00:42:39.905]  You know, the thing is, I talked to a few military, and you know, the thing is, I started to find out that a lot of the children being taken are from fathers that are deployed overseas, and they're not there to protect their homes.
[00:42:40.305 --> 00:42:43.307]  Yes, the CPS does take a lot of the military's children.
[00:42:44.685 --> 00:42:47.026]  And the government recruiting arms are doing a lot of that.
[00:42:47.066 --> 00:42:53.809]  No, this is all... Folks, they make the troops pay for plane tickets back home and their meals when they're in hospitals.
[00:42:54.329 --> 00:42:59.111]  This government is degenerate, but they wrap themselves in the flag and say, we're patriotic.
[00:42:59.431 --> 00:43:02.252]  Go along with the police state or you don't like the police and military.
[00:43:02.532 --> 00:43:06.074]  Police and military, you are dog meat to the New World Order.
[00:43:06.374 --> 00:43:08.855]  Henry Kissinger wrote a book calling you dumb animals.
[00:43:11.446 --> 00:43:11.966]  Yes, Mark.
[00:43:12.166 --> 00:43:13.607]  Alex, can I ask you one more thing?
[00:43:13.627 --> 00:43:15.428]  When are you going to get Mark Kornke on again?
[00:43:15.988 --> 00:43:18.169]  You know, I might get Mark on sometime.
[00:43:18.489 --> 00:43:19.729]  You know, we've had Mark on before.
[00:43:19.769 --> 00:43:21.110]  He hasn't invited me on his show, though.
[00:43:22.110 --> 00:43:26.552]  Listen, we're going to go ahead and go to break and come back with more phone calls.
[00:43:27.512 --> 00:43:31.834]  And I've always defended Mark, and then one day I heard him on the air with some caller, horrible guy, saying things about me.
[00:43:31.854 --> 00:43:38.356]  He didn't really defend me, so I've kind of gotten... How would you like to finally be debt-free without paying another cent to creditors and
[00:43:41.374 --> 00:43:42.014]  I don't think so.
[00:43:58.882 --> 00:44:04.065]  We also provide mortgage modification services which can lower your mortgage payments without refinancing.
[00:44:04.346 --> 00:44:08.208]  If you're facing foreclosure or are in the foreclosure process, we can help.
[00:44:08.388 --> 00:44:11.510]  Finally, proven debt solutions that work for the people.
[00:44:11.710 --> 00:44:13.772]  Become debt free in 90 days.
[00:44:13.992 --> 00:44:16.193]  Doing nothing doesn't make the debt go away.
[00:44:16.394 --> 00:44:20.696]  Call Debt Crisis Solutions today and speak to an advisor absolutely free.
[00:44:20.897 --> 00:44:21.097]  Call 718-615-0123.
[00:44:25.259 --> 00:44:40.048]  If you've always wanted to experience the amazing benefits from using oil of oregano, the time to act is now!
[00:44:40.288 --> 00:44:46.732]  With so many places to choose from, where can you be 100% certain you're getting the highest quality oil for your dollar?
[00:44:46.912 --> 00:44:48.173]  The answer is simple.
[00:44:48.373 --> 00:44:49.714]  PureBulk.com!
[00:44:49.894 --> 00:44:54.317]  PureBulk.com brings you ultra-pure, non-diluted oil of oregano with
[00:44:54.477 --> 00:44:54.857]  Absolutely free!
[00:45:19.679 --> 00:45:22.960]  Just enter promotional code IODINE at website checkout.
[00:45:23.120 --> 00:45:24.621]  Visit purebulk.com.
[00:45:24.741 --> 00:45:26.501]  That's purebulk.com.
[00:45:26.661 --> 00:45:27.242]  Or call 406-251-3270.
[00:45:27.262 --> 00:45:27.462]  406-251-3270 today!
[00:45:36.377 --> 00:45:40.420]  If you owe the IRS, you can't make the problem go away without professional help.
[00:45:40.881 --> 00:45:43.843]  But with the help of Dan Pilla, you can get your problem solved.
[00:45:44.243 --> 00:45:48.727]  Hi, I'm Dan Pilla, and I've been solving tax debt problems for 30 years, and I can help you too.
[00:45:49.107 --> 00:45:53.751]  We can stabilize IRS collection action and get your tax debt reduced, sometimes completely eliminated.
