[00:00:00.009 --> 00:00:01.470]  The War on Corruption.
[00:40:40.701 --> 00:40:45.943]  I hate to say this about a police force of which I don't have much experience, but they don't seem very good.
[00:40:55.706 --> 00:41:03.890]  It's a mix in Soviet Russia, Communist China, Nazi Germany, East Germany, of people who look like they're 14 years old, as I've seen the photos, with pot-bellied thugs.
[00:41:04.290 --> 00:41:07.052]  This is tyranny, and he always has morons working for it.
[00:41:07.352 --> 00:41:09.153]  So, so, where are you now?
[00:41:09.193 --> 00:41:10.333]  Let's go talk to him right now.
[00:41:11.594 --> 00:41:15.115]  You were saying you were... They've gone now.
[00:41:15.176 --> 00:41:16.636]  There was a guy on a motorcycle.
[00:41:16.656 --> 00:41:17.797]  He's circled off.
[00:41:17.857 --> 00:41:18.577]  I headed towards him.
[00:41:19.238 --> 00:41:21.158]  He's circled off, so he'll be replaced in a minute.
[00:41:21.939 --> 00:41:23.560]  It's perfectly unbelievable.
[00:41:24.972 --> 00:41:27.433]  I wrote today, it's like being in my own episode of Equalizer.
[00:41:27.513 --> 00:41:29.273]  It's just extraordinary.
[00:41:29.293 --> 00:41:37.515]  You know, what are you going to do when the media says, hold on, let me stop you Mr. Skelton, what are you going to do when newspapers say you're a liar, Bilderberg doesn't exist, and none of this happened?
[00:41:39.336 --> 00:41:40.616]  Well, I think I would refute that.
[00:41:41.496 --> 00:41:42.496]  And they'll call you a kook.
[00:41:42.556 --> 00:41:45.817]  They'll say Greece doesn't exist.
[00:41:46.798 --> 00:41:47.438]  You understand?
[00:41:47.458 --> 00:41:48.418]  That's how they operate.
[00:41:48.438 --> 00:41:49.078]  I'm not kidding.
[00:41:49.898 --> 00:41:52.299]  You know I get emails saying there's no European Union?
[00:41:54.750 --> 00:41:59.091]  Oh yeah, these people... Limbaugh says that the CFR doesn't exist.
[00:42:00.571 --> 00:42:01.071]  Oh my goodness.
[00:42:01.811 --> 00:42:03.392]  Anyways, I'm going to shut up, Mr. Skelton.
[00:42:03.412 --> 00:42:04.072]  You're on with us.
[00:42:04.452 --> 00:42:05.832]  Tell us what it's been like today.
[00:42:06.072 --> 00:42:07.072]  You say you've talked to him.
[00:42:07.092 --> 00:42:07.752]  Please continue.
[00:42:09.093 --> 00:42:14.374]  Well, I was just going to say that for about 15-20 minutes, it was very exciting.
[00:42:14.734 --> 00:42:16.574]  I've got to confess, it was very exciting.
[00:42:16.614 --> 00:42:18.074]  I was being followed along.
[00:42:18.114 --> 00:42:19.655]  I managed to double back through a cafe.
[00:42:19.695 --> 00:42:20.855]  I managed to make my tail.
[00:42:21.215 --> 00:42:22.195]  I managed to talk to them.
[00:42:23.184 --> 00:42:24.926]  Uh, I would make them admit they were policemen.
[00:42:25.046 --> 00:42:25.946]  I took their photograph.
[00:42:25.986 --> 00:42:26.587]  They didn't like that.
[00:42:27.327 --> 00:42:31.090]  And, um, uh, but hopefully that photograph has been published now on the Guardian website.
[00:42:31.391 --> 00:42:32.291]  No, that's the spirit.
[00:42:32.311 --> 00:42:33.172]  That's the spirit.
[00:42:34.133 --> 00:42:35.914]  But, you know, and then it was great.
[00:42:36.214 --> 00:42:37.375]  And then I went to the, uh, great.
[00:42:37.395 --> 00:42:37.815]  It wasn't great.
[00:42:37.856 --> 00:42:38.676]  Obviously I've been followed.
[00:42:39.016 --> 00:42:40.417]  But, um, then I went to the police station.
[00:42:40.458 --> 00:42:41.178]  I said, can you stop?
[00:42:41.558 --> 00:42:42.299]  They were very nice.
[00:42:42.479 --> 00:42:43.840]  And, uh, and they said, yes.
[00:42:43.960 --> 00:42:44.401]  And do you know what?
[00:42:44.481 --> 00:42:45.802]  And now I'm, I'm annoyed.
[00:42:46.102 --> 00:42:47.643]  I'm curious and I feel threatened.
[00:42:49.004 --> 00:42:51.246]  I feel like I've been criminalized.
[00:42:51.386 --> 00:42:52.066]  I'm walking around.
[00:42:52.146 --> 00:42:52.687]  I'm, I'm,
[00:42:53.123 --> 00:43:00.666]  To the best of my knowledge, I'm a decent, upstanding citizen, and I've been criminalized by the presence of Bilderberg here.
[00:43:01.306 --> 00:43:06.188]  They have put pressure onto the local police to follow me around, and that's just not fair.
[00:43:06.208 --> 00:43:10.770]  They can check me out, they know who I am, and can they not make a rational decision on that?
[00:43:10.870 --> 00:43:11.450]  No, they can't.
[00:43:11.830 --> 00:43:20.594]  They've got to harass me at a very low level, but it's very... it's just constant, and you know, I'm really disheartened by it.
[00:43:20.734 --> 00:43:21.094]  I really am.
[00:43:21.513 --> 00:43:31.436]  Well, I'm reading some of the headlines of your latest dispatches, the London Guardian, as they were on screen, and it sounds almost apologetic, like, our man is sorry he's causing so much trouble.
[00:43:32.156 --> 00:43:33.937]  Why is that the spin?
[00:43:33.997 --> 00:43:39.158]  So it's bad secret police keep kidnapping you every day and taking you away?
[00:43:39.178 --> 00:43:40.859]  I mean, you were kidnapped twice.
[00:43:40.879 --> 00:43:44.200]  You know, when George Bush, at a press conference, ordered me kidnapped for an hour?
[00:43:45.040 --> 00:43:46.481]  And then they threw me out on the side of the highway.
[00:43:46.521 --> 00:43:47.341]  That was kidnapping.
[00:43:47.381 --> 00:43:51.923]  I mean, you've been kidnapped, and instead, it looks like the newspaper's apologizing for you.
[00:43:51.943 --> 00:43:53.983]  Well, no, that's me apologizing.
[00:43:54.003 --> 00:43:54.323]  That's me.
[00:43:54.343 --> 00:43:54.964]  That's my words.
[00:43:55.044 --> 00:44:09.029]  And I'm saying, the point I'm making in that piece, the point I'm making is that, you know, I'm coming at this, you know, obviously, as an English guy, middle class, you know, well brought up,
[00:44:09.873 --> 00:44:11.294]  Uh, by my middle class parents.
[00:44:11.314 --> 00:44:13.195]  That won't help you, they know you're in the know.
[00:44:13.355 --> 00:44:21.119]  The way I want to deal with this is to be polite, gentlemanly, I want to shake hands and say no hard feelings, awfully sorry, can't believe I got you into this.
[00:44:21.740 --> 00:44:26.202]  Everyone, you know, it's a terrible situation, sorry everyone, oh well, let's have a cup of tea, right?
[00:44:26.302 --> 00:44:29.564]  Now that's, that's basically my, the way I've been trying to handle it.
[00:44:29.944 --> 00:44:36.788]  You know, I've been very nice, I'm going to be fair mate, I'm still nice, but you know, I haven't had that returned back to me, and I'm,
[00:44:37.446 --> 00:44:38.528]  I feel let down by that.
[00:44:39.349 --> 00:44:51.848]  That's me being naive, I know, and I know you'll shout at me now, but I did kind of expect them to play the game in a kind of honourable way and to say, OK, we know who you are.
[00:44:52.606 --> 00:44:54.568]  So we're going to leave you alone, you're not a threat.
[00:44:54.988 --> 00:44:58.551]  Listen, they're imploding the government by design, Mr. Skelton.
[00:44:58.891 --> 00:45:08.019]  DynCorp and Halliburton in the Financial Times of London, BBC, Chicago Tribune run giant child kidnapping rings.
[00:45:08.299 --> 00:45:19.509]  The CPS right here in Austin puts bounties out for what adoption agencies, what type of kids they want, and go out literally scoping kids out in public school to steal.
[00:45:19.909 --> 00:45:24.132]  I mean, Mr. Skelton, the government is completely criminal worldwide.
[00:45:24.332 --> 00:45:25.833]  They're not going to be gentlemanly.
[00:45:25.853 --> 00:45:27.374]  I mean, are you kidding?
[00:45:27.714 --> 00:45:28.455]  These are criminals.
[00:45:29.415 --> 00:45:34.559]  Well, I'd like to make a distinction between, I'm afraid to speak of the whole neighborhood of dogs barking.
[00:45:34.639 --> 00:45:35.760]  I apologize for that.
[00:45:36.400 --> 00:45:44.125]  I'd like to try and make a distinction, or maintain a distinction, between the local police who are under pressure by, you know, Bilderberg being here.
[00:45:44.205 --> 00:45:46.447]  And they obviously are under pressure, I know that, I appreciate that.
[00:45:47.020 --> 00:45:47.581]  I don't think so.
[00:46:13.143 --> 00:46:16.651]  Playing around with their guns and their motorcycles, following me, thinking it's such a funny game.
[00:46:16.992 --> 00:46:17.553]  Isn't this brilliant?
[00:46:17.573 --> 00:46:18.455]  We've got them under surveillance.
[00:46:19.077 --> 00:46:23.387]  They're playing the... They're playing the big government's game, and they're playing the Bilderberg game, and it's...
[00:46:24.400 --> 00:46:25.681]  That's just infuriating.
[00:46:26.021 --> 00:46:29.083]  You just want to shake them and say, for God's sake, you're following the wrong person.
[00:46:54.540 --> 00:46:59.502]  I mean, look, the military and police are there to guard the criminal elite.
[00:46:59.822 --> 00:47:04.605]  Just like in Nazi Germany, you could say their police and military might not all have been bad guys.
[00:47:05.005 --> 00:47:09.947]  In fact, a lot of them were nice guys bouncing babies on their knees when they were at home at night and cleaning the dishes.
[00:47:10.367 --> 00:47:13.149]  But during the day, they were lining up families in pits and shooting them.
[00:47:13.530 --> 00:47:17.232]  And let me tell you, this following order is to spy on Americans without warrants.
[00:47:17.533 --> 00:47:23.097]  And this following order is to arrest now hundreds of citizens for photographing police in England under terror charges.
[00:47:23.657 --> 00:47:27.961]  And you can't buy seeds now under EU law because you're a terrorist.
[00:47:28.701 --> 00:47:30.283]  Sir, we're going into bondage.
[00:47:30.383 --> 00:47:33.447]  That's what happens 99% of the time.
[00:47:33.847 --> 00:47:44.120]  That's why the Magna Carta and Bill of Rights and things like that created the new renaissance of liberty, and that's why these enemies of freedom are defecating all over them, and that's why they're enemies!
[00:47:44.540 --> 00:47:45.941]  They're enemies of everything good.
[00:47:46.001 --> 00:47:49.302]  These are Nazi-como-Nazis.
[00:47:49.602 --> 00:47:50.443]  Whatever you want to call them.
[00:47:50.463 --> 00:47:51.083]  They're scum.
[00:47:51.123 --> 00:47:51.703]  They're filth.
[00:47:51.743 --> 00:47:52.444]  They're trash.
[00:47:52.804 --> 00:47:57.046]  And we need to address them for what they are, instead of apologizing.
[00:47:57.626 --> 00:48:06.850]  You know, I've watched the famous footage of people in Soviet Russia being rounded up, or people in Germany, or people being rounded up in China, and they're always apologetic to the police as they're being taken to their deaths.
[00:48:07.271 --> 00:48:09.552]  I'm not going to be apologetic to criminals.
[00:48:09.792 --> 00:48:11.433]  I don't care how many uniforms they've got.
[00:48:11.473 --> 00:48:11.773]  Go ahead.
[00:48:13.726 --> 00:48:25.913]  Well, I was just going to continue your thought, but to say that what I think I've learned so far is that where I put my head above the parapet here is that I've become, in inverted commas, a member of the press.
[00:48:26.434 --> 00:48:27.914]  You know, I'm not really a reporter.
[00:48:28.035 --> 00:48:33.198]  I'm, you know, I work writing stuff for things, but I'm not, you know, I might be a writer, but I'm not a reporter.
[00:48:33.238 --> 00:48:39.461]  But I tell you what, as soon as I have a camera and as soon as I'm filing copy somewhere, anywhere, I become a threat.
[00:48:39.581 --> 00:48:40.342]  I become a voice.
[00:48:40.622 --> 00:48:42.283]  And they hate, they prefer the voiceless.
[00:48:42.779 --> 00:48:44.001]  And they hate someone with a voice.
[00:48:44.342 --> 00:48:52.073]  And I just think, we're living in a sort of brief period, I don't know how long, in an age where it's technologically possible for everyone to become a reporter.
[00:48:52.093 --> 00:48:53.235]  Well let me tell you what happened.
[00:48:53.795 --> 00:48:55.017]  You know, for everyone to stick a lens.
[00:48:58.146 --> 00:49:06.673]  And that's why the British government is saying photography in public is an act of terrorism because they don't want it.
[00:49:06.693 --> 00:49:07.354]  And I agree with you.
[00:49:07.594 --> 00:49:11.817]  The power of the citizen press, not just the London Guardian reporter, is incredible.
[00:49:12.118 --> 00:49:13.278]  Now, let me expand on that.
[00:49:13.999 --> 00:49:15.941]  The Bilderberg Group made the cold-blooded decision.
[00:49:15.961 --> 00:49:19.386]  When they drive into events with blackened windows, they hold newspapers up to their faces.
[00:49:19.686 --> 00:49:23.991]  Because they know they're engaging in criminal acts and taking over nations.
[00:49:24.432 --> 00:49:26.634]  Now, you're there, this is happening.
[00:49:26.674 --> 00:49:30.980]  They made a cold-blooded decision, because I've been told they've arrested and detained a bunch of people, and I want you to tell us about that.
[00:49:32.179 --> 00:49:33.460]  They've made the cold-blooded decision.
[00:49:33.500 --> 00:49:34.780]  This is kind of taking the gloves off.
[00:49:34.880 --> 00:49:40.683]  I've never seen it where they're just arresting and detaining people en masse two-plus miles away, according to Tucker.
[00:49:40.883 --> 00:49:48.147]  So they've made a conscious decision to get all the bad publicity because they don't want anybody seeing who is at that meeting.
[00:49:48.707 --> 00:49:49.907]  Now, tell us your take on that.
[00:49:51.588 --> 00:49:55.690]  Well, you know, their job would be made a lot harder if more people were here, I have to say.
[00:49:59.578 --> 00:50:03.542]  Please don't think I'm being self-righteous at all in saying that I think it's important that I'm here.
[00:50:03.742 --> 00:50:05.564]  I think it's important that Jim Tucker's here.
[00:50:05.584 --> 00:50:09.127]  It's important that, you know, the guy I just spoke to from Romania, he's here.
[00:50:09.767 --> 00:50:15.352]  It's important that Bernie, who went out on the boat to try and get in the air to take photographs of them from the sea, is here.
[00:50:15.392 --> 00:50:16.333]  I think it's all important.
[00:50:17.655 --> 00:50:18.495]  And you know what?
[00:50:19.736 --> 00:50:24.661]  We might be entering an age where everyone has to just change what they do a little bit and
[00:50:25.086 --> 00:50:26.347]  Become a little bit more active.
[00:50:26.467 --> 00:50:27.888]  And you know, just a little bit.
[00:50:28.088 --> 00:50:28.729]  Just a little bit.
[00:50:29.049 --> 00:50:31.271]  Just pick up a camera a bit more often.
[00:50:31.371 --> 00:50:32.251]  Write something a bit more.
[00:50:32.271 --> 00:50:32.852]  There goes one of them.
[00:50:33.352 --> 00:50:33.832]  You've done it.
[00:50:33.852 --> 00:50:35.534]  Oh, another one.
[00:50:36.414 --> 00:50:38.196]  Another secret policeman who's shown up now.
[00:50:38.276 --> 00:50:38.516]  Yeah.
[00:50:39.477 --> 00:50:40.658]  Now he's circled off.
[00:50:40.718 --> 00:50:42.379]  I think it's because I'm doing a lot of walking.
[00:50:42.399 --> 00:50:43.520]  They're getting bored of walking after me.
[00:50:46.286 --> 00:50:49.089]  Stay there.
[00:50:49.109 --> 00:50:49.930]  We're going to come back, sir.
[00:50:49.950 --> 00:50:56.736]  We're going to come back because I want you to tell us what you've seen, if you got out in the ocean, what happened, who else you've seen being detained or arrested.
[00:50:57.537 --> 00:51:00.039]  He's Charlie Skelton, Bilderberg 2009.
[00:51:00.120 --> 00:51:02.702]  Exclusive coverage right here at the tip of the spear.
[00:51:03.122 --> 00:51:04.204]  It is the InfoWar.
[00:51:04.624 --> 00:51:05.565]  I am Alex Jones.
[00:51:07.347 --> 00:51:09.188]  Heart disease is on the rise.
[00:51:09.328 --> 00:51:14.509]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:51:14.690 --> 00:51:16.030]  But the symptoms are there.
[00:51:16.290 --> 00:51:24.473]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:51:24.693 --> 00:51:30.415]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:51:30.595 --> 00:51:32.376]  My blood pressure has normalized.
[00:51:32.416 --> 00:51:34.576]  My diabetes has totally improved.
[00:51:34.737 --> 00:51:38.978]  Everyone is telling me now how much healthier I look, and I'm telling everyone how much healthier I feel.
[00:51:39.138 --> 00:51:41.279]  I recommend Heart and Body Extract to everyone.
[00:51:41.359 --> 00:51:49.182]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:51:49.562 --> 00:51:49.942]  We're good.
[00:52:07.293 --> 00:52:12.600]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:52:13.101 --> 00:52:20.130]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:52:20.675 --> 00:52:26.898]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:52:27.259 --> 00:52:29.100]  Well, Obama's already fudging.
[00:52:29.240 --> 00:52:31.661]  He's fudged since day one of this election.
[00:52:31.741 --> 00:52:42.687]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:52:43.306 --> 00:52:44.607]  It's not about left or right.
[00:52:44.967 --> 00:52:46.368]  It's about a one world government.
[00:52:46.829 --> 00:52:53.194]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:52:53.754 --> 00:53:01.540]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:53:02.021 --> 00:53:03.162]  The Obama Deception.
[00:53:03.582 --> 00:53:04.783]  The people strike back.
[00:53:06.733 --> 00:53:07.574]  Attention gardeners!
[00:53:07.634 --> 00:53:09.996]  This is an urgent GCN self-reliance update.
[00:53:10.236 --> 00:53:14.560]  GCN has just discovered a new bioactive superfood for garden plants, flowers, and herbs.
[00:53:14.780 --> 00:53:22.647]  It's called ProtoGrow and it's so effective at producing rapid plant growth that it seems to almost force plants to grow like crazy under practically any soil and light conditions.
[00:53:22.967 --> 00:53:25.791]  Now here's the best part for our listeners who garden for self-reliance.
[00:53:26.072 --> 00:53:33.623]  Proto-Gro's unique blend of sea nutrients maximizes mineral uptake and dramatically increases bloom set, creating maximum plant growth in minimum time.
[00:53:33.723 --> 00:53:39.311]  Proto-Gro works by providing geometric keys which have the capacity to actually unlock the genetic code for nutritional uptake in plants.
[00:53:39.531 --> 00:53:45.072]  ProtoGro's full-spectrum plant fertility means fruits and vegetables with extraordinary taste and up to 10 times the nutritional value.
[00:53:45.352 --> 00:53:48.673]  And if you want to double or triple the potency of herbs or wheatgrass, you can.
[00:53:48.913 --> 00:53:52.273]  If you want to grow nutritionalized superfoods with non-hybrids, it's now easy.
[00:53:52.493 --> 00:53:57.534]  GCN listeners who want to grow Dirt Chief Superfoods should visit the ProtoGro website at growlikecrazy.com.
[00:53:57.574 --> 00:54:00.435]  That's www.growlikecrazy.com or call 877-327-0365.
[00:54:00.455 --> 00:54:00.655]  That's 877-327-0365.
[00:54:09.150 --> 00:54:15.184]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:54:15.785 --> 00:54:18.772]  It's Alex Jones, and the GCN Radio Network.
[00:54:31.368 --> 00:54:32.709]  All right, Charles Skelton.
[00:54:32.729 --> 00:54:34.211]  I've been all over the map here.
[00:54:34.231 --> 00:54:35.812]  It just upsets me to hear what's happening to you.
[00:54:36.172 --> 00:54:40.376]  Give us a brief, and I appreciate your time, London Guardian reporter joining us from Bilderberg 2009.
[00:54:40.897 --> 00:54:41.777]  A chronological thing.
[00:54:41.817 --> 00:54:42.758]  So you tried to go out in a boat.
[00:54:42.798 --> 00:54:43.419]  What happened there?
[00:54:43.439 --> 00:54:45.921]  What have you heard about other reporters being arrested?
[00:54:45.941 --> 00:54:48.724]  Tucker says they're all coming back to meet him at 7, 8 o'clock at night.
[00:54:49.224 --> 00:54:55.069]  He had just talked to him when he came on the show with us, and he said there's a whole bunch of people getting arrested and detained miles away.
[00:54:55.089 --> 00:54:56.451]  He said two and a half miles away.
[00:54:56.811 --> 00:54:57.532]  What can you tell us?
[00:54:58.826 --> 00:55:15.110]  Well, I've only briefly spoken to a couple of them, and the Romanian guy, who I believe has provided you some footage already today, he has been detained, and he managed to record them, I think, whilst being detained.
[00:55:15.630 --> 00:55:26.492]  And Bernie, who I'm afraid I don't know his second name, but I think he's from the American Free Press, he went out on the boat, but he said they didn't get within, you know, three miles before the Greek Navy came along and turned the boat around.
[00:55:27.737 --> 00:55:29.878]  So now you can't even get out in the public harbor.
[00:55:30.118 --> 00:55:31.659]  I mean, now you can't even go out in the public harbor.
[00:55:31.699 --> 00:55:33.980]  It's like the gods have landed, that's the end of it.
[00:55:35.000 --> 00:55:35.220]  Yeah.
[00:55:35.660 --> 00:55:41.083]  I mean, the point that's fascinating about that is that here's a... Oh, I don't know what that alarm is throwing at me.
[00:55:42.063 --> 00:55:50.787]  What's fascinating is that here's a situation where the... You know, people out in the boat are being turned away by the Greek Navy from approaching within three miles of a hotel.
[00:55:51.367 --> 00:55:52.647]  And it's still not being reported on.
[00:55:52.667 --> 00:55:53.308]  And it's this...
[00:55:54.798 --> 00:55:55.999]  I don't quite understand.
[00:55:56.379 --> 00:56:02.183]  You know, I'm going to come away from this conference with that one question foremost in my mind.
[00:56:02.563 --> 00:56:06.006]  I don't understand why it's not being talked about in the press.
[00:56:06.026 --> 00:56:13.471]  And I know the easy answer is to say that there's a blanket pressure from the top of each of these newspapers and media outlets.
[00:56:13.931 --> 00:56:14.251]  You know what?
[00:56:14.291 --> 00:56:15.092]  Maybe that's the case.
[00:56:15.472 --> 00:56:15.952]  I don't know.
[00:56:16.252 --> 00:56:20.895]  But even so, even from within and from below, and where is it?
[00:56:21.016 --> 00:56:21.396]  Anywhere?
[00:56:21.716 --> 00:56:22.937]  You know, you put Bilderberg into
[00:56:23.584 --> 00:56:29.506]  Google News, and it's prisonplanet.com, prisonplanet, prisonplanet, the Guardian, prisonplanet, that one article in the Times, and that's about it.
[00:56:29.526 --> 00:56:31.707]  You know, and that's depressing.
[00:56:32.147 --> 00:56:33.388]  Is that the best that we can do?
[00:56:33.408 --> 00:56:36.529]  Is that the best reporting that we can put together as a globe?
[00:56:37.410 --> 00:56:38.370]  Jesus, it's pathetic.
[00:56:39.346 --> 00:56:45.428]  Well, we're getting millions of people... No, no, millions of people are googling Bilderberg and they're finding Prison Planet.
[00:56:45.748 --> 00:56:47.808]  So, see, that backfires on the mainstream media.
[00:56:48.128 --> 00:56:56.250]  That's why we're seeing some reportage now from some mainstream media because they're losing so much credibility and media market share.
[00:56:56.610 --> 00:56:59.931]  See, the media has denied all this existed until about six, seven years ago.
[00:57:00.451 --> 00:57:02.632]  Now they go, OK, they want world government.
[00:57:03.072 --> 00:57:06.974]  And they've had Momby Yod of your own paper come out and say, yeah, we need world government.
[00:57:06.994 --> 00:57:07.995]  He said that yesterday.
[00:57:08.055 --> 00:57:10.996]  And yeah, you know, and people that are against it are kind of kooks.
[00:57:11.036 --> 00:57:13.037]  So go ahead and, you know, don't let them have free speech.
[00:57:13.057 --> 00:57:14.818]  You know, that's kind of where this goes.
[00:57:14.838 --> 00:57:18.200]  Then other reporters said this didn't exist all these years.
[00:57:18.640 --> 00:57:20.421]  They don't want to admit they're wrong.
[00:57:20.461 --> 00:57:24.904]  So it is pressure with the Financial Times of London owned by Bilderberg Group member Mr. Wolf.
[00:57:25.824 --> 00:57:30.906]  With the Wall Street Journal and stuff, with News Corp, a Bilderberg Group member, he's certainly been there.
[00:57:31.546 --> 00:57:32.746]  There's members and there's guests.
[00:57:32.826 --> 00:57:34.647]  Rupert Murdoch.
[00:57:35.387 --> 00:57:43.189]  They do have a news blackout on all of this, but we've exposed it so much that now it just discredits them.
[00:57:43.249 --> 00:57:44.090]  But you're right.
[00:57:44.410 --> 00:57:49.991]  Having people for two and a half mile, three mile radiuses arrested, you know, that's big news right there alone.
[00:57:51.072 --> 00:57:52.152]  Where do you see this going?
[00:57:54.215 --> 00:57:56.456]  Well, I think you're absolutely right about credibility.
[00:57:56.596 --> 00:58:09.162]  I think that, you know, with enough different voices all standing here and pointing at it and going, look, whatever else is happening, whatever you say about it, whether it's good or bad, these limousines did just pull up.
[00:58:09.242 --> 00:58:11.023]  These helicopters are circling above.
[00:58:11.403 --> 00:58:13.884]  There are armed people with machine guns there.
[00:58:13.904 --> 00:58:16.526]  There are some people in there and they are discussing something.
[00:58:17.046 --> 00:58:18.747]  Is that not a news story?
[00:58:18.887 --> 00:58:19.667]  Is that not news?
[00:58:19.767 --> 00:58:21.248]  And I think that if you're not covering that,
[00:58:21.880 --> 00:58:32.243]  And you're deciding to just put an extra page in the paper, you know, to cover some soap opera or whatever, or sports event, then you have to lose credibility.
[00:58:32.383 --> 00:58:42.805]  Surely, you know, if you have any, any, you know, shred of self-respect as a news editor, surely you're giving it some place.
[00:58:42.825 --> 00:58:45.066]  Thank goodness the time is limited.
[00:58:45.086 --> 00:58:45.566]  Absolutely.
[00:58:45.606 --> 00:58:45.966]  Stay there.
[00:58:48.482 --> 00:58:50.502]  Thank you for listening to GCN.
[00:58:51.082 --> 00:58:54.443]  Be sure to visit GCNlive.com today.
[00:58:56.804 --> 00:58:57.384]  Hello, friends.
[00:58:57.444 --> 00:58:58.404]  This is Alex Jones.
[00:58:58.504 --> 00:59:03.125]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:59:03.225 --> 00:59:06.005]  We need to be independent, and food and water is the key.
[00:59:06.205 --> 00:59:09.066]  You'll never have to stand in a bread line if you have your own bread.
[00:59:09.246 --> 00:59:15.087]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[00:59:15.327 --> 00:59:18.269]  No one is going to take care of your family in the final equation but you.
[00:59:18.550 --> 00:59:25.475]  You know efoodsdirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:59:25.555 --> 00:59:28.678]  And they do it at almost half the cost of last year's grocery prices.
[00:59:28.838 --> 00:59:29.038]  Call 1-800-409-5633.
[00:59:29.098 --> 00:59:30.379]  Or on the web, go to efoodsdirect.com.
[00:59:33.962 --> 00:59:40.063]  Visit efoodsdirect.com and look over the fine list of high-quality, prescribed, and dehydrated foods they have to offer.
[00:59:40.224 --> 00:59:44.084]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:59:44.104 --> 00:59:45.965]  Again, 1-800-409-5633 or on the web at efoodsdirect.com.
[00:59:45.985 --> 00:59:46.985]  Take action today.
[00:59:47.045 --> 00:59:48.826]  The first step is getting storable food.
[00:59:59.395 --> 01:00:01.337]  Waging war on corruption.
[01:00:01.797 --> 01:00:04.659]  Alex Jones on the GCN Radio Network.
[01:00:11.204 --> 01:00:11.845]  Big Brother.
[01:00:12.505 --> 01:00:13.566]  Mainstream media.
[01:00:14.267 --> 01:00:15.428]  Government cover-ups.
[01:00:16.028 --> 01:00:16.849]  You want answers?
[01:00:17.609 --> 01:00:18.550]  Well, so does he.
[01:00:19.191 --> 01:00:22.854]  He's Alex Jones on the GCN Radio Network.
[01:00:23.354 --> 01:00:25.696]  And now, live from Austin, Texas,
[01:00:26.585 --> 01:00:27.426]  Alex Jones.
[01:00:28.226 --> 01:00:29.527]  We are back live.
[01:00:29.587 --> 01:00:34.331]  The Goldenberg Group is now into day number two, then day three tomorrow, into Sunday.
[01:00:34.351 --> 01:00:36.753]  We'll have a big report for you, 4 to 6 p.m.
[01:00:36.833 --> 01:00:40.755]  Central Standard Time, abbreviated Sunday Edition.
[01:00:41.736 --> 01:00:45.798]  We'll probably have reports again from the final day of Bilderberg as it's breaking up and leaving.
[01:00:46.219 --> 01:00:50.701]  You can be two miles away, three miles away trying to get them coming in on the highway or leaving.
[01:00:50.741 --> 01:00:55.484]  We'll see on Sunday if people get arrested even trying to videotape the gods leaving.
[01:00:56.004 --> 01:00:59.967]  Because the men in black limousines with helicopters and troops, they don't exist.
[01:01:00.027 --> 01:01:01.948]  The World Bankers meeting with the royalty.
[01:01:02.628 --> 01:01:09.394]  When we get their own documents that Jim Tucker's stolen from them before and things, openly bragging about world government, none of that exists.
[01:01:09.434 --> 01:01:13.818]  So, got to tell the public, there just happens to be army and police out here arresting you.
[01:01:13.858 --> 01:01:15.840]  If you come near, nothing's going on.
[01:01:15.900 --> 01:01:16.461]  Go away.
[01:01:17.482 --> 01:01:19.483]  We're talking in this segment and a little bit into the next.
[01:01:19.523 --> 01:01:23.887]  We'll be gone by ten after we have several other guests and a bunch of other news we're going to be covering.
[01:01:24.668 --> 01:01:28.851]  But I appreciate Charlie Skelton with The Guardian being nice and coming on.
[01:01:28.871 --> 01:01:34.074]  You know, I saw his first report back on Monday or Tuesday saying, I'm going to Bilderberg to see if it exists.
[01:01:34.114 --> 01:01:37.676]  And we kind of said, look, they're going to send this comedy writer there to make fun of it.
[01:01:37.996 --> 01:01:39.297]  Then I found out his wife's a listener.
[01:01:39.337 --> 01:01:39.937]  He's a listener.
[01:01:40.558 --> 01:01:43.299]  And that, you know, that it was his idea to go to Bilderberg.
