[00:00:07.035 --> 00:00:12.279]  We are live at PrisonPlanet.tv every day during the four hour radio show.
[00:25:43.157 --> 00:25:52.464]  Now, I'm telling you, that's rogue government, because you've got these international bankers who have created more fiat currency than all the wealth in all the world.
[00:25:52.904 --> 00:25:55.026]  They've created thousands of trillions.
[00:25:55.066 --> 00:25:57.587]  It's all fiat, it's all bull, it isn't real.
[00:25:57.688 --> 00:26:03.232]  But, it has value to your local governments, they will take it, they will send police, they will do whatever it takes to get that money.
[00:26:04.793 --> 00:26:07.655]  And because people won't give up their real assets for the fiat money.
[00:26:09.366 --> 00:26:21.305]  The globalists need to force take over the economy and force take over the nouveau riche and old wealth that isn't part of the elite and so it's saying we're coming in forcibly taking your land and if we don't want to we won't even pay you.
[00:26:22.199 --> 00:26:25.442]  This is, property rights is the foundation of any free society.
[00:26:25.462 --> 00:26:26.342]  It is the most basic.
[00:26:26.402 --> 00:26:27.383]  Slaves can't own property.
[00:26:28.064 --> 00:26:30.866]  And you know, they watered that down with a property tax.
[00:26:30.886 --> 00:26:34.289]  You know, you pay a daily rent on your land, it isn't really your land.
[00:26:34.809 --> 00:26:37.291]  People put up with that crap in the last hundred years.
[00:26:37.551 --> 00:26:41.154]  Now, it's, oh, we're putting environmental restrictions on.
[00:26:41.334 --> 00:26:42.835]  Oh, we're going to force you to sell.
[00:26:43.056 --> 00:26:45.598]  Oh, we're going to, again, this is only part of it.
[00:26:46.917 --> 00:26:51.840]  Alright, we're coming back and we're going to Lance, Jim, Cullen, and others.
[00:26:52.641 --> 00:26:58.664]  And then I'm going to get into Nancy Pelosi saying don't have children, the economy, and a lot more.
[00:26:58.724 --> 00:26:59.145]  Stay with us.
[00:26:59.165 --> 00:27:00.125]  This is GCN Radio.
[00:27:03.579 --> 00:27:06.860]  The United States is bankrupt and the bankers want you bankrupt also.
[00:27:07.120 --> 00:27:09.481]  How would you like to be debt free in 90 days?
[00:27:09.601 --> 00:27:10.261]  Guaranteed!
[00:27:10.641 --> 00:27:17.283]  DebtCrisisSolutions.com has helped tens of thousands out of debt since 1993 and will free you from the debt trap.
[00:27:17.563 --> 00:27:25.286]  DebtCrisisSolutions.com legally guarantees to put an end to wage garnishment, bank levies and liens and you won't pay one dime to creditors.
[00:27:25.526 --> 00:27:33.357]  With Debt Crisis Solutions Program, you'll also restore your credit history and be protected from legal action without making one more payment to creditors.
[00:27:33.637 --> 00:27:40.827]  DebtCrisisSolutions.com specializes in credit report restoration, preventing wage garnishment and bank levies, liens and judgments.
[00:27:41.227 --> 00:27:41.928]  Thanks for watching!
[00:28:03.713 --> 00:28:08.018]  Rough roads might be ahead for the economy, but your vehicle doesn't have to experience them.
[00:28:08.278 --> 00:28:10.881]  Can't afford a new vehicle or even an expensive repair?
[00:28:11.161 --> 00:28:17.728]  Now you can take care of your vehicle with Protecta Engine Oil Booster by SFR, which is a fully synthetic oil booster.
[00:28:17.948 --> 00:28:21.712]  Protecta Engine Oil Booster fortifies your motor oil to help your engine last longer.
[00:28:21.892 --> 00:28:28.014]  Protecta Engine Oil Booster has been tested by independent laboratories and proven in over 1 million vehicles worldwide.
[00:28:28.254 --> 00:28:32.636]  We'll give you enough Protecta Engine Oil Booster for 5 complete oil changes for only $22.95.
[00:28:32.876 --> 00:28:36.217]  That's enough for 2 vehicles for up to 1 year.
[00:28:36.498 --> 00:28:38.298]  Start taking care of your vehicle today.
[00:28:38.598 --> 00:28:41.560]  Take advantage of this limited time offer and receive free shipping.
[00:28:41.740 --> 00:28:45.241]  Protecta Engine Oil Booster is the last defense against engine wear.
[00:28:45.441 --> 00:28:49.682]  Go to oilcompanysecret.com or call 1-888-873-7371.
[00:28:50.042 --> 00:28:55.103]  That's oilcompanysecret.com or 888-873-7371.
[00:28:55.863 --> 00:28:57.823]  Satisfaction guaranteed or your money back.
[00:28:58.003 --> 00:29:03.044]  Call 888-873-7371 or visit oilcompanysecret.com.
[00:29:03.644 --> 00:29:10.026]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:29:10.406 --> 00:29:12.086]  The enemy struck America on September 11th.
[00:29:13.041 --> 00:29:14.082]  But who is the enemy?
[00:29:14.583 --> 00:29:15.103]  Bin Laden.
[00:29:15.383 --> 00:29:16.364]  This is his M.O.
[00:29:16.384 --> 00:29:17.686]  We have to look to the Middle East.
[00:29:17.726 --> 00:29:19.407]  We have to look to Osama Bin Laden.
[00:29:19.748 --> 00:29:26.494]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:29:26.895 --> 00:29:27.335]  Some U.S.
[00:29:27.375 --> 00:29:33.020]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:29:33.721 --> 00:29:37.222]  I'm aware that some Israeli citizens have been detained.
[00:29:37.523 --> 00:29:40.024]  Either you are with us, or you are with the terrorists.
[00:30:06.032 --> 00:30:28.764]  You have six weeks to accept our offer that's under market for your land or your house or private interest with governmental power.
[00:30:29.765 --> 00:30:30.345]  We'll take it.
[00:30:31.426 --> 00:30:32.126]  Take it or leave it.
[00:30:33.575 --> 00:30:38.319]  It's not eminent domain, it's not to build a new highway, it's because bankers want it.
[00:30:38.779 --> 00:30:53.870]  They have unlimited fiat made-up money that you back up with your tax dollars and you pay your taxes, all your income taxes, to go to the offshore Federal Reserve so they can point that money right back at you as a weapon of consolidation and control.
[00:30:54.151 --> 00:31:02.297]  And then they teach you under the new eugenics system of humans are bad, bad for the earth, to accept having a lower standard of living, and that's Obama's new change.
[00:31:03.746 --> 00:31:05.127]  Let's go ahead and go back to your calls.
[00:31:06.228 --> 00:31:09.651]  Let's talk to... Who did I just talk to last, John?
[00:31:13.694 --> 00:31:15.016]  Lance in California.
[00:31:15.036 --> 00:31:15.736]  You're on the air.
[00:31:16.897 --> 00:31:17.418]  Hi, Alex.
[00:31:17.558 --> 00:31:18.218]  Can you hear me?
[00:31:18.559 --> 00:31:19.199]  Loud and clear.
[00:31:19.860 --> 00:31:20.520]  Okay, great.
[00:31:21.441 --> 00:31:22.562]  Thanks for taking my call.
[00:31:23.383 --> 00:31:26.926]  Look, I'm not, for one, that thinks there's a demon behind every bush.
[00:31:27.972 --> 00:31:39.817]  I'm objective, but I saw something I haven't really heard a lot of comments on in regards to the inauguration or coronation or whatever of Barack Hussein Obama last week.
[00:31:41.157 --> 00:31:42.778]  First of all, I'm a single parent.
[00:31:43.138 --> 00:31:44.719]  I've been that way for nine years.
[00:31:44.759 --> 00:31:45.659]  I've got four kids.
[00:31:45.799 --> 00:31:47.700]  Two of them have recently moved out.
[00:31:51.653 --> 00:31:56.677]  This inauguration, I have a child that is in high school and another one in grade school.
[00:31:56.697 --> 00:31:59.439]  So they had him watch the inauguration and brainwash them?
[00:32:00.119 --> 00:32:00.920]  Exactly.
[00:32:00.980 --> 00:32:21.034]  And just not only that, Alex, I found out that it happened to a lot of people and I wanted you to comment on how wide was this done because it appeared to me, from what I found out, it was massively pre-planned and my son even had a nice little packet on how wonderful Joe Biden and Barack is.
[00:32:22.380 --> 00:32:23.580]  It just really bothered me.
[00:32:23.620 --> 00:32:29.062]  That was a real red flag for me as a parent because I've never seen that done with any of my other children.
[00:32:29.162 --> 00:32:31.883]  I've never gone to see something like that.
[00:32:31.903 --> 00:32:33.183]  It's never been done in America.
[00:32:33.203 --> 00:32:34.923]  It was only done with Hitler, Stalin, and Mao.
[00:32:35.323 --> 00:32:37.204]  It is the opposite of a free society, sir.
[00:32:37.624 --> 00:32:42.045]  They are running with government money and production what's got to be a billion dollar program.
[00:32:42.125 --> 00:32:44.886]  It's on every TV, every radio, newsprint.
[00:32:45.896 --> 00:32:54.446]  Join usaservice.org, which is separate from government, is a group under Barack Obama, but being advertised as join the government.
[00:32:55.087 --> 00:33:06.000]  Every major school district in the nation, through federal curriculum, and schools are saying they're adopting the Obama curriculum, and that is literally the worship of Barack Obama
[00:33:06.420 --> 00:33:08.821]  And that he will save you, and packets of info.
[00:33:08.861 --> 00:33:09.661]  It was all over the news.
[00:33:10.121 --> 00:33:12.562]  In fact, I saw that last week.
[00:33:12.602 --> 00:33:13.682]  Never even got to it on air.
[00:33:13.702 --> 00:33:15.763]  Well, actually, I did mention it, and show the article.
[00:33:16.603 --> 00:33:23.305]  One of many, where it said that they're all forced to watch it, and then hear how great it is, and hear how this is our new dear leader.
[00:33:24.526 --> 00:33:28.207]  And again, governments, presidents never had their own private army.
[00:33:28.547 --> 00:33:33.008]  They've never had billboards as if, you know, announcing him.
[00:33:33.028 --> 00:33:34.929]  I mean, they have that in North Korea.
[00:33:35.609 --> 00:33:38.331]  And so, but America's never lived under real hardcore tyranny.
[00:33:38.351 --> 00:33:40.071]  They lived under corruption and some bad presidents.
[00:33:40.572 --> 00:33:45.554]  But see, we're going into receivership now, so they need this messianic leader to get everybody in line.
[00:33:46.355 --> 00:33:48.596]  And I haven't seen the packets.
[00:33:48.636 --> 00:33:52.818]  I read that they were given information about the historic president and the feds printed it up.
[00:33:54.059 --> 00:33:55.740]  Notice how he changed the look of the website.
[00:33:56.000 --> 00:34:00.902]  Whitehouse.gov to match USA Service and his other private sites.
[00:34:00.922 --> 00:34:03.924]  They're all unifying it in a unified front.
[00:34:04.644 --> 00:34:08.646]  And they're going to now make the children federally serve us.
[00:34:08.906 --> 00:34:12.067]  And this was on Change.gov until the news reported and they pulled it off.
[00:34:12.087 --> 00:34:14.448]  But it's in Emanuel's book and Obama's spoken about it.
[00:34:14.468 --> 00:34:16.169]  And Obama people email me saying it isn't true.
[00:34:16.189 --> 00:34:17.550]  And we have all the screenshots.
[00:34:18.170 --> 00:34:27.533]  Saying your children will be basically taken from you for hours every week to go serve under whatever Obama says they must serve in, or they're going to be expelled.
[00:34:27.573 --> 00:34:32.134]  It's like there's no law you've got to take vaccines, but if you don't they kick you out, then they trigger a law for truancy.
[00:34:32.394 --> 00:34:35.115]  Well now they're going to kick you out if you don't serve or not give you your diploma.
[00:34:35.375 --> 00:34:36.116]  So this is slavery.
[00:34:36.136 --> 00:34:36.696]  Do you understand?
[00:34:36.716 --> 00:34:39.897]  I will not be silent because... Stay there, stay there.
[00:34:39.937 --> 00:34:40.557]  Back in 70 seconds.
[00:34:40.637 --> 00:34:41.877]  I want you to mail me that back.
[00:34:42.318 --> 00:34:42.678]  Stay with us.
[00:34:42.698 --> 00:34:46.239]  Thank you for listening to GCN.
[00:34:47.515 --> 00:34:51.777]  Be sure to visit GCNlive.com today.
[00:34:53.097 --> 00:34:54.678]  Hello friends, this is Alex Jones.
[00:34:54.798 --> 00:34:59.420]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:34:59.540 --> 00:35:02.261]  We need to be independent, and food and water is the key.
[00:35:02.501 --> 00:35:05.362]  You'll never have to stand in a bread line if you have your own bread.
[00:35:05.542 --> 00:35:10.264]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[00:35:10.484 --> 00:35:11.425]  If you simply prepare.
[00:35:11.605 --> 00:35:14.567]  No one is going to take care of your family in the final equation but you.
[00:35:14.847 --> 00:35:21.753]  You know efoodsdirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:35:21.853 --> 00:35:24.975]  And they do it at almost half the cost of last year's grocery prices.
[00:35:25.135 --> 00:35:25.315]  Call 1-800-409-5633.
[00:35:25.395 --> 00:35:26.676]  Or on the web, go to efoodsdirect.com.
[00:35:30.259 --> 00:35:36.344]  Visit eFoodsDirect.com and look over the fine list of high quality, prescribed, and dehydrated foods they have to offer.
[00:35:36.524 --> 00:35:39.846]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:35:39.866 --> 00:35:40.987]  Again, 1-800-409-5633 or on the web at eFoodsDirect.com.
[00:35:41.007 --> 00:35:41.688]  Take action today.
[00:35:41.708 --> 00:35:42.929]  The first step is getting storable food.
[00:35:55.959 --> 00:35:57.863]  Waging war on corruption.
[00:35:58.344 --> 00:36:01.169]  Alex Jones on the GCN Radio Network.
[00:36:15.862 --> 00:36:17.203]  Lansing, California.
[00:36:17.783 --> 00:36:20.165]  The PO Box is up on InfoWars.com.
[00:36:20.185 --> 00:36:21.066]  Please mail us that.
[00:36:21.086 --> 00:36:23.107]  You can block out your son's name if you'd like.
[00:36:23.648 --> 00:36:26.089]  Tell folks about the packets that they were given.
[00:36:26.970 --> 00:36:30.132]  And again, you can just Google, Schools Adopt Obama Curriculum.
[00:36:30.172 --> 00:36:31.913]  You can read about it nationwide.
[00:36:32.814 --> 00:36:34.635]  Again, showing the federal control.
[00:36:34.655 --> 00:36:36.477]  That's what the federal standardization is about.
[00:36:36.517 --> 00:36:37.697]  It's all been federal for a long time.
[00:36:38.098 --> 00:36:39.379]  But see, they call it the Patriot Act.
[00:36:39.439 --> 00:36:40.259]  It's unpatriotic.
[00:36:40.519 --> 00:36:42.221]  They call it the Landowners Bill of Rights.
[00:36:42.881 --> 00:36:44.523]  But it's not a bill of rights.
[00:36:44.543 --> 00:36:46.044]  It takes your rights, fraudulently.
[00:36:47.105 --> 00:36:53.671]  They call all these things one thing, but it's the opposite.
[00:36:53.691 --> 00:36:55.833]  They call the school districts independent school districts.
[00:36:56.294 --> 00:36:56.954]  They're not independent.
[00:36:56.974 --> 00:36:57.815]  They're federally controlled.
[00:37:01.799 --> 00:37:04.421]  Let's go ahead and go back to Lansing, California.
[00:37:04.642 --> 00:37:05.963]  Do you have that packet in front of you?
[00:37:07.046 --> 00:37:14.413]  You know, I think my son had to turn it in the following day, actually, but I do remember some of the statements it just made.
[00:37:14.493 --> 00:37:15.574]  Well, that's even worse.
[00:37:15.634 --> 00:37:16.414]  That's even worse.
[00:37:16.995 --> 00:37:31.668]  In England, now in the U.S., they have them fill out dossiers in most public schools in the 6th or 7th grade with a deputized BATF local sheriff, deputy, or police officer paid by the feds to be that they have them write dossiers on their home life, and that's never given to the parents.
[00:37:31.768 --> 00:37:33.449]  But, I'm sorry, I was interrupting.
[00:37:33.469 --> 00:37:33.730]  Go ahead.
[00:37:34.545 --> 00:37:35.488]  No, that's okay Alex.
[00:37:35.588 --> 00:37:39.098]  I was just saying, yeah, my son did have to return it so...
[00:37:39.790 --> 00:37:44.872]  Hopefully I will get it back, but I don't get a lot of work that he does back from the teacher.
[00:37:45.192 --> 00:37:51.175]  Well, now the Army is recruiting the young people under federal law.
[00:37:51.215 --> 00:37:54.516]  The recruiters have offices in many of the schools and they're there pushing the kids.
[00:37:54.536 --> 00:38:00.518]  They were caught in Denver, they were caught in Houston, they were caught in Detroit, they were caught in New York.
[00:38:00.858 --> 00:38:01.579]  It's been all over the news.
[00:38:01.619 --> 00:38:02.579]  I see it every few weeks.
[00:38:02.879 --> 00:38:04.440]  And then the parents record them.
[00:38:05.160 --> 00:38:12.508]  Because they'll call their 16-year-old and say, if you don't sign an agreement that when you're 17 or 18 you go in the military, I'm going to have you arrested.
[00:38:12.548 --> 00:38:15.271]  It's the law you sign that agreement when there's no law.
[00:38:15.672 --> 00:38:16.693]  In fact, people don't believe me.
[00:38:16.713 --> 00:38:17.273]  Pull that up.
[00:38:18.395 --> 00:38:20.797]  Google recruiter threatens teen with jail.
[00:38:21.858 --> 00:38:26.860]  And I think that was one of the headlines out of Houston, and you can hear him on the phone going, I'll have you arrested!
[00:38:27.120 --> 00:38:28.740]  You have to sign this agreement!
[00:38:29.281 --> 00:38:31.301]  Now again, it's like, I'll have you arrested!
[00:38:31.481 --> 00:38:33.002]  You gotta take these vaccines!
[00:38:33.382 --> 00:38:35.203]  It's a new criminal government!
[00:38:35.343 --> 00:38:37.083]  They're a bunch of lying scumbags!
[00:38:37.263 --> 00:38:38.484]  And everybody should be angry!
[00:38:38.884 --> 00:38:40.144]  They're taking your children from you!
[00:38:40.444 --> 00:38:43.385]  I've got what they give the children in Austin schools right here!
[00:38:43.405 --> 00:38:46.206]  I'm gonna get into this later with the Army, but go ahead.
[00:38:47.027 --> 00:38:50.648]  No, I was just gonna say, we should be getting angry, and
[00:38:51.309 --> 00:39:00.795]  And what's happening is I notice there's a lot of character assassination from the other side instead of just confronting and discussing the facts as they are.
[00:39:00.915 --> 00:39:11.863]  And I like to compare what's happening to the general American public in general to the, you've probably heard of the frog that is placed in a pot of water and you turn on the
[00:39:13.021 --> 00:39:21.409]  The heat real slow, you don't go fast, but that frog will not jump out, but it will boil to death as the heat is slowly turned up.
[00:39:22.282 --> 00:39:23.382]  Absolutely good to hear from you.
[00:39:23.662 --> 00:39:28.243]  For PrisonPlanet.tv viewers, 2009, fill your life with endless possibilities.
[00:39:28.883 --> 00:39:34.864]  So in the public schools, they offer them $40,000 signing bonus to sign up for this.
[00:39:34.904 --> 00:39:37.865]  Now, an economy where they can't even get a job flipping hamburgers right now.
[00:39:38.245 --> 00:39:50.387]  I've seen reports where, in one case in Las Vegas, and there was another case I saw in Salt Lake City, where 1,000 people show up at a McDonald's for a $7 an hour job, as if you could live on that.
[00:39:50.427 --> 00:39:50.767]  Look at this.
[00:39:51.667 --> 00:39:53.969]  Fill your life with endless possibilities, Army.
[00:39:54.770 --> 00:40:00.236]  But see, even if they destroy the economy, if we had strong families, we could all live in houses together like the illegal aliens do and make it.
[00:40:00.676 --> 00:40:01.817]  But see, they're not going to allow that.
[00:40:01.837 --> 00:40:06.602]  They're going to destroy the economy and make you join the youth brigades, make you join the Army, make you join the military.
[00:40:06.622 --> 00:40:09.385]  I'm going to go through this and we take some calls when we get back.
[00:40:10.706 --> 00:40:13.008]  But, I mean, this is just absolutely sickening.
[00:40:13.868 --> 00:40:14.669]  What's going on?
[00:40:15.329 --> 00:40:19.872]  By the way, folks, they shoot you up with enough vaccines to kill an elephant once you join the military.
[00:40:19.912 --> 00:40:22.274]  Just that alone, and they use experimental vaccines on you.
[00:40:22.514 --> 00:40:23.915]  That's a violation of federal law.
[00:40:24.715 --> 00:40:33.101]  They're supposed to give you consent, but they have a little waiver in there if it's for, you know, research purposes or riot control.
[00:40:34.402 --> 00:40:38.084]  So we'll go over that as well when we get back after this quick break.
[00:40:38.124 --> 00:40:39.065]  Long segment coming up.
[00:40:39.405 --> 00:40:40.766]  We're going to get to Cullen.
[00:40:42.423 --> 00:40:47.145]  Jim, John, Patrick, and many others that are patiently holding 1-800-259-9231.
[00:40:48.425 --> 00:40:50.466]  Don't forget, InfoWars.com.
[00:40:50.486 --> 00:40:58.769]  Click on the Listen page, and there is the free podcast right there on the site at InfoWars.com or PrisonPlanet.com.
[00:40:58.789 --> 00:41:00.710]  Subscribe for the free podcast.
[00:41:00.730 --> 00:41:01.810]  I'm going to make that easier to find.
[00:41:01.830 --> 00:41:02.831]  It's kind of hard to find right now.
[00:41:03.471 --> 00:41:08.254]  Lead a superior life by drinking Superior Life brand ionized water.
[00:41:08.574 --> 00:41:12.536]  A couple of soft drinks each day, a few slices of pizza, last night's cheeseburgers.
[00:41:12.837 --> 00:41:18.720]  These acidic foods will make you tired, overweight and cause numerous negative health problems in the short and long term.
[00:41:19.120 --> 00:41:25.364]  An acidic environment is created in the body causing fuzzy memory and that all day low energy feeling.
[00:41:25.624 --> 00:41:29.527]  These are the early signs of your body telling you that it's not getting the proper care it needs.
[00:41:29.807 --> 00:41:31.648]  We are truly a junk food nation.
[00:41:32.108 --> 00:41:40.634]  Drinking ionized water will help you drop the weight, feel better, actually become hydrated, and can improve the quality of your life.
[00:41:40.934 --> 00:41:42.415]  It's all about the pH.
[00:41:42.876 --> 00:41:45.037]  Disease cannot thrive in an alkaline body.
[00:41:45.337 --> 00:41:47.679]  What can a Life Brand Water Ionizer do for you?
[00:41:48.139 --> 00:41:48.419]  Call 800-276-9601.
[00:41:48.459 --> 00:41:48.639]  That's 800-276-9601.
[00:41:53.923 --> 00:41:58.665]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:41:58.865 --> 00:42:01.586]  The enemy struck America on September 11th.
[00:42:12.679 --> 00:42:13.700]  But who is the enemy?
[00:42:14.221 --> 00:42:14.721]  Bin Laden.
[00:42:15.021 --> 00:42:16.002]  This is his M.O.
[00:42:16.022 --> 00:42:17.324]  We have to look to the Middle East.
[00:42:17.384 --> 00:42:19.026]  We have to look to Osama Bin Laden.
[00:42:19.386 --> 00:42:26.133]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:42:26.533 --> 00:42:26.974]  Some U.S.
[00:42:27.014 --> 00:42:32.660]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:42:33.360 --> 00:42:36.842]  I'm aware that some Israeli citizens have been detained.
[00:42:36.862 --> 00:42:47.107]  Bin Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:42:47.327 --> 00:42:48.088]  Fabled enemies.
[00:42:48.568 --> 00:42:55.832]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[00:42:56.312 --> 00:42:59.674]  Either you are with us or you are with the terrorists.
[00:43:03.186 --> 00:43:06.489]  Aging doesn't only show in your face, but it can be felt in your body.
[00:43:06.850 --> 00:43:11.334]  You feel tired, your joints and muscles ache, and your mind seems clouded and forgetful.
[00:43:11.554 --> 00:43:16.118]  It's time to stop the aging clock with a proven system brought to you by NutraMedical.com.
[00:43:16.499 --> 00:43:22.024]  Anti-Age Max uses a revolutionary formula to turn back the hands of time on the inside and out.
[00:43:22.244 --> 00:43:26.248]  Combine Anti-Age Max with Nutra-Trala to protect against cellular damage.
[00:43:26.608 --> 00:43:33.178]  And Collagen Max to regenerate healthy bones, ligaments, joints, and improve the collagen and elastin to your skin's appearance.
[00:43:33.598 --> 00:43:37.764]  It is possible to look and feel youthful again when you give your body what it needs.
[00:43:38.365 --> 00:43:39.387]  Anti-Age Max.
[00:43:40.219 --> 00:43:44.423]  Dr. Bill's Anti-Age Max is available now by calling 888-212-8871.
[00:43:44.663 --> 00:43:48.367]  That's 888-212-8871.
[00:43:48.807 --> 00:43:51.350]  Or order online at Nutrimedical.com.
[00:43:51.550 --> 00:43:54.332]  That's N-U-T-R-I-Medical.com.
[00:43:54.713 --> 00:43:55.974]  Nutrimedical.com.
[00:43:56.314 --> 00:44:02.280]  Your source for the most powerful nutraceuticals and wellness protocols from a doctor you can trust.
[00:44:03.211 --> 00:44:08.256]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[00:44:08.617 --> 00:44:10.919]  Because there's a war on for your mind.
[00:44:20.981 --> 00:44:26.007]  Alright, I want to blitz through your calls because I want to get into what the military recruiters are doing to our young people.
[00:44:26.047 --> 00:44:28.770]  I want to get into Pelosi and the one-child policy and the rest of it.
[00:44:29.291 --> 00:44:32.394]  Right now, let's go to Jim in West Virginia.
[00:44:32.434 --> 00:44:33.235]  You're on the air, Jim.
[00:44:33.255 --> 00:44:33.556]  Welcome.
[00:44:34.389 --> 00:44:35.970]  Yeah, here's more property seizure.
[00:44:36.031 --> 00:44:38.292]  Just about as bad, if not worse than anything else.
[00:44:38.333 --> 00:44:39.534]  You want to wake up your favorite yuppie?
[00:44:39.794 --> 00:44:42.316]  Do a program on the International Property Maintenance Code.
[00:44:42.336 --> 00:44:45.919]  It's actually the International Property Seizure Code.
[00:44:46.139 --> 00:44:55.267]  And that's why you think you've got local government, but internationally they set the code on how to steal property, how to take over, how to fine and feed people for three inch grass.
[00:44:55.307 --> 00:44:57.910]  That's all internationally written up through zoning.
[00:44:57.930 --> 00:44:58.230]  Go ahead.
[00:44:58.410 --> 00:44:59.571]  Yes, it's in black and white.
[00:44:59.611 --> 00:45:01.571]  It's the second biggest financial scam in U.S.
[00:45:01.611 --> 00:45:01.832]  history.
[00:45:01.852 --> 00:45:03.852]  It's about five times bigger than the bankrupt bailout.
[00:45:03.872 --> 00:45:05.193]  It's hidden in plain sight for years.
[00:45:05.693 --> 00:45:09.095]  International Property Maintenance Code.
[00:45:09.115 --> 00:45:10.575]  That's all under Agenda 21.
[00:45:10.615 --> 00:45:14.617]  The U.N., people say, doesn't have any power.
[00:45:15.057 --> 00:45:18.739]  What they do is they set global policy, like when Bush signed back onto UNESCO.
[00:45:19.059 --> 00:45:21.000]  That put our schools publicly under U.N.
[00:45:21.020 --> 00:45:21.460]  curriculum.
[00:45:21.480 --> 00:45:21.780]  Go ahead.
[00:45:22.400 --> 00:45:22.941]  Download it.
[00:45:23.101 --> 00:45:23.381]  Read it.
[00:45:23.481 --> 00:45:24.501]  I can fast forward you on it.
[00:45:24.541 --> 00:45:25.762]  I can leave my phone number up there.
[00:45:26.164 --> 00:45:29.185]  And there's a deeper, this is collateralization, grabbing real estate.
[00:45:29.526 --> 00:45:32.127]  Imminent domain appails besides the IPMC.
[00:45:32.247 --> 00:45:40.671]  Well that's because when they bankrupt the nation, they forcibly take the land, so they've got to assess it and bring in the predatory rules, so under color of law they can do it.
[00:45:40.711 --> 00:45:41.831]  Tell folks briefly about it.
[00:45:42.452 --> 00:45:46.153]  Okay, real quick, like the code official is the sole interpreter of the code.
[00:45:46.674 --> 00:45:51.336]  Anything the code official says is, every day that a fraction occurs is a separate mandatory misdemeanor.
[00:45:51.869 --> 00:45:54.772]  Anything the code official says is not in good working order, BAM!
[00:45:55.032 --> 00:45:58.035]  It's $500,000 a day and or a month in jail for every day this occurs.
[00:45:58.155 --> 00:45:59.817]  Anything the code official says is not... Now let's stop there!
[00:46:00.217 --> 00:46:04.281]  They've passed these illegal criminal predatory rules, now they're slowly getting you ready for it.
[00:46:04.541 --> 00:46:10.226]  Where you hear about cities where they do home inspections every month to make sure the inside of the house you supposedly own is in order.
[00:46:10.507 --> 00:46:13.309]  Or three inch grass, $2,000 a day fines.
[00:46:13.329 --> 00:46:14.390]  They're now phasing...
[00:46:15.271 --> 00:46:17.172]  These end on everybody.
[00:46:17.652 --> 00:46:19.473]  And again, it's all done through maritime.
[00:46:19.513 --> 00:46:21.273]  It's all done through administrative law.
[00:46:21.654 --> 00:46:23.574]  It's done, and there's no recourse.
[00:46:24.295 --> 00:46:25.515]  It's just total fraud.
[00:46:25.775 --> 00:46:26.235]  Go ahead.
[00:46:26.836 --> 00:46:30.297]  It is not a law which is passed by a legislature, signed by a chief executive officer.
[00:46:30.417 --> 00:46:31.257]  It is a code.
[00:46:31.618 --> 00:46:35.799]  And this is the code that regional government will use to control people.
[00:46:35.819 --> 00:46:40.341]  That's why they set up these regional governments, where five, six counties are together, three, four states are together.
[00:46:40.721 --> 00:46:44.363]  In these FEMA regions, they then instruct the cities what to do.
[00:46:44.423 --> 00:46:44.643]  Go ahead.
[00:46:45.265 --> 00:46:47.968]  It is a code that is adopted by jurisdiction.
[00:46:48.288 --> 00:46:51.250]  And they can prevent you from entering your house.
[00:46:51.310 --> 00:46:54.273]  Also, anything the code official says is an unsanitary condition.
[00:46:54.293 --> 00:46:57.176]  Dog droppings, puddles, anything he says is a noxious weed.
[00:46:57.216 --> 00:46:58.237]  Define noxious weed.
[00:46:58.677 --> 00:47:00.619]  I did a show with Jerry Brownfield.
[00:47:00.659 --> 00:47:02.580]  Got more reaction than anything he's done in 20 or 30 years.
[00:47:02.641 --> 00:47:03.581]  About two and a half years ago.
[00:47:03.601 --> 00:47:04.342]  What's your name?
[00:47:04.362 --> 00:47:04.522]  Jim.
[00:47:09.454 --> 00:47:11.035]  Jim, I'm familiar with what you're talking about.
[00:47:11.075 --> 00:47:13.056]  It's All Agenda 21, but you sound articulate.
[00:47:13.076 --> 00:47:14.016]  Maybe you should be a guest.
[00:47:14.176 --> 00:47:17.357]  Email Aaron with two A's at InfoWars.com.
[00:47:17.717 --> 00:47:19.258]  Obviously, we have to have a guest with her full name.
[00:47:19.638 --> 00:47:21.159]  Send me links to the code you want to cover.
