[00:00:14.446 --> 00:00:16.989]  8-8-7-6-6-6-0-6-6 today.
[00:25:19.589 --> 00:25:19.949]  Here it is.
[00:25:20.449 --> 00:25:27.411]  I highly doubt that they're targeting the Eastside or the Mexican community, but I kind of think it's a good thing if they did.
[00:25:27.471 --> 00:25:30.012]  The Todd and Don Show, weekday mornings at 10.
[00:25:30.272 --> 00:25:44.035]  It takes care of those damn thugs that are running around with guns, pointing them at the cops, and then our chicken city council gives them money, let them abort those kids, that's one less gang member we have to worry about, one less illegal that's dropping a baby.
[00:25:44.155 --> 00:25:50.037]  The Todd and Don Show, weekday mornings at 10, on News Radio 590, KLVJ.
[00:25:50.857 --> 00:25:52.038]  Now, I've covered that.
[00:25:52.138 --> 00:25:58.480]  Now, this is only the news that I printed in 5 minutes.
[00:25:58.740 --> 00:26:02.862]  Right before showtime, I decided to go ahead and go in this direction, because of driving, and I heard that promo.
[00:26:03.422 --> 00:26:05.603]  And I just printed these in 5 minutes.
[00:26:05.923 --> 00:26:07.744]  That means I searched the articles and printed them.
[00:26:07.964 --> 00:26:08.964]  I have like 8 of them here.
[00:26:10.919 --> 00:26:11.799]  How do these tie together?
[00:26:12.260 --> 00:26:15.381]  Bad CPS bill deserves a good veto.
[00:26:16.841 --> 00:26:23.604]  This article reports, and I've got the bill here, SB 1064.
[00:26:24.164 --> 00:26:26.225]  This is in Texas again, but it's happening all over the country.
[00:26:27.585 --> 00:26:30.709]  Because the globalists internationally write these bills and have their lobbies pass them locally.
[00:26:31.109 --> 00:26:33.732]  That CPS no longer needs a warrant, probable cause, anything.
[00:26:33.752 --> 00:26:37.676]  They can just come steal your kids without even telling you or a judge or anybody.
[00:26:37.937 --> 00:26:45.025]  Before they would get these fake little family court things swore out by these judges that on CNN they report get
[00:26:45.723 --> 00:26:55.529]  Campaign donations from the child kidnapping foundations that sell these kids out for $200,000, $300,000, $400,000, $500,000 sometimes for a blonde-haired, blue-eyed kid.
[00:26:55.909 --> 00:27:02.192]  And I had a senator on a few weeks ago reporting about how they have public bounties in Georgia for blonde-haired, blue-eyed kids.
[00:27:02.773 --> 00:27:03.593]  This is on record!
[00:27:04.094 --> 00:27:11.758]  They literally go out, find an excuse, find a bruise on a first-grade, blonde-haired, blue-eyed girl's leg because some rich family in Connecticut wants them.
[00:27:12.338 --> 00:27:14.359]  And in a couple weeks, she's there.
[00:27:14.419 --> 00:27:15.420]  Mommy and Daddy don't get her.
[00:27:17.276 --> 00:27:18.417]  Now how does that tie into this?
[00:27:18.577 --> 00:27:19.097]  Listen to this.
[00:27:19.237 --> 00:27:20.798]  Obama's elite agenda.
[00:27:20.918 --> 00:27:22.558]  Black abortion for profit.
[00:27:24.239 --> 00:27:25.800]  That's out of a whole bunch of mainstream news.
[00:27:25.820 --> 00:27:26.500]  We'll go over that.
[00:27:27.400 --> 00:27:28.081]  Another site.
[00:27:28.181 --> 00:27:29.421]  Klan Parenthood.
[00:27:30.402 --> 00:27:36.404]  Remember last year it came out that people would call up Klan Parenthood and say, yeah, I want to donate money to abort just black babies.
[00:27:36.424 --> 00:27:39.025]  And they start getting excited going, oh yeah, that's what we're here for.
[00:27:39.745 --> 00:27:41.506]  And this week, I'm going to go get all those clips again.
[00:27:41.526 --> 00:27:43.267]  I'm going to do a whole hour on this.
[00:27:44.187 --> 00:27:45.408]  Maybe two hours on this.
[00:27:46.024 --> 00:27:48.485]  And Margaret Sanger quotes and the rest of it.
[00:27:50.186 --> 00:28:00.690]  And then how does that tie into the Financial Times of London headline of a week ago of billionaires meet in secret to promote world population reduction?
[00:28:03.812 --> 00:28:05.112]  See, how does all this tie together?
[00:28:10.374 --> 00:28:13.796]  I'm gonna go over this in the next segment and take your calls, but here is the issue.
[00:28:15.697 --> 00:28:22.503]  To the racist whites who have this attitude of, look, just abort the black and hispanic babies.
[00:28:22.603 --> 00:28:25.085]  Kill all the children on the east side of Austin.
[00:28:26.906 --> 00:28:28.848]  And then I heard other callers this week saying the same thing.
[00:28:28.868 --> 00:28:29.729]  I mean, these are psychos.
[00:28:34.011 --> 00:28:39.712]  And this is an attitude I've heard from CPS and quote liberals over and over again is, well we gotta abort all these brown babies.
[00:28:39.772 --> 00:28:40.552]  Nobody wants them.
[00:28:40.592 --> 00:28:41.853]  What, are you gonna adopt them?
[00:28:42.373 --> 00:28:42.833]  It's funny.
[00:28:43.153 --> 00:28:47.254]  There are more requests every year for adoption than there are children.
[00:28:49.774 --> 00:28:52.555]  And they don't tell all these mothers, hey go ahead and have the baby and then adopt it.
[00:28:52.615 --> 00:28:54.335]  No, they tell them, go ahead and kill that baby.
[00:28:54.595 --> 00:28:59.416]  But then if the woman goes ahead and has the baby, they then come in and try to CPS and kidnap the kid.
[00:29:00.191 --> 00:29:00.991]  To keep it in the market.
[00:29:01.011 --> 00:29:04.153]  That's kind of like the big cartels in the 20s and 30s.
[00:29:04.273 --> 00:29:04.973]  This is on record.
[00:29:05.193 --> 00:29:06.153]  Congressional testimony.
[00:29:06.874 --> 00:29:09.855]  The big companies that were shipping in heroin, opium, cocaine.
[00:29:10.415 --> 00:29:10.855]  Coca-Cola.
[00:29:10.875 --> 00:29:11.695]  That's why it's called Coke.
[00:29:12.556 --> 00:29:14.997]  They were losing their monopoly shipping coke and heroin in.
[00:29:15.377 --> 00:29:20.359]  So they made it illegal so they could use the police to knock out their competition and jack up the price.
[00:29:21.759 --> 00:29:23.420]  Kind of like they don't want you knowing about
[00:29:24.289 --> 00:29:30.988]  How you can give your baby up for adoption instead of abort it, because they want to make sure the level of adopted kids stays down, so they can kidnap them and get more money.
[00:29:32.489 --> 00:29:34.351]  Heart disease is on the rise.
[00:29:34.491 --> 00:29:41.176]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:29:41.436 --> 00:29:49.623]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:29:49.843 --> 00:29:55.568]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:29:55.748 --> 00:29:57.528]  My blood pressure has normalized.
[00:29:57.589 --> 00:29:59.749]  My diabetes has totally improved.
[00:29:59.769 --> 00:30:04.130]  Everyone is telling me now how much healthier I look, and I'm telling everyone how much healthier I feel.
[00:30:04.290 --> 00:30:06.391]  I recommend Heart and Body Extract to everyone.
[00:30:06.511 --> 00:30:13.853]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:30:13.933 --> 00:30:14.253]  I'm healthy.
[00:30:32.526 --> 00:30:40.932]  Of the three million plus edible food plants that grow on earth, no other single plant can compare with the nutritional value of the powder, seeds, and oil of the hemp plant.
[00:30:41.233 --> 00:30:46.917]  At hempusa.org, we ship worldwide these nutritional products with free shipping to the US and Canada.
[00:30:47.217 --> 00:30:53.762]  At hempusa.org, we want to educate our listeners that edible hemp is not marijuana and is certified THC-free.
[00:30:54.304 --> 00:30:57.585]  Our powder is 50% protein and does not contain gluten.
[00:30:57.705 --> 00:30:59.966]  Gluten impairs the cells from absorbing nutrients.
[00:31:00.146 --> 00:31:06.507]  This nutrient-dense food can be stored up to five years when vacuum packed and is priced affordably to be used as a storable food.
[00:31:06.747 --> 00:31:10.068]  HempUSA.org is a bulk shipper starting with five pounds and up.
[00:31:10.268 --> 00:31:14.129]  To allow this food to work for you, call 908-691-2608 or go to HempUSA.org and order today.
[00:31:17.330 --> 00:31:20.274]  The body will react and heal itself given the proper nutrition.
[00:31:20.494 --> 00:31:22.576]  This superfood will be your greatest asset.
[00:31:22.696 --> 00:31:26.060]  So try it today, store it today, and change your life.
[00:31:26.361 --> 00:31:31.386]  Call 908-691-2608 or order from hempusa.org.
[00:31:32.127 --> 00:31:37.073]  You've probably heard about the incredible, powerful, and natural antioxidants found in red wine.
[00:31:42.739 --> 00:31:43.259]  I think so.
[00:32:07.276 --> 00:32:07.576]  I think so.
[00:32:31.571 --> 00:32:32.472]  Ah, springtime.
[00:32:32.892 --> 00:32:38.095]  Now that you've planted your organic garden, how will you keep the bugs away without using toxic chemicals and poisons?
[00:32:38.415 --> 00:32:42.877]  Well, the answer is all-natural insecticides from FreshwaterOrganics.com.
[00:32:43.037 --> 00:32:48.781]  These revolutionary insecticides start with the same organic product that we use in FPP to kill parasites.
[00:32:49.021 --> 00:32:57.325]  We then add a small amount of pyrethrin from chrysanthemum flowers and a mild attractant to offer you the most effective insecticide available anywhere.
[00:32:57.645 --> 00:33:00.287]  It can even be applied up to the day of harvest.
[00:33:00.587 --> 00:33:11.077]  Our natural insecticides work in the home, on plants, and in your garden, killing pests mechanically, not with poisons, so pests can't develop an immunity and they won't harm your children or pets.
[00:33:11.458 --> 00:33:20.967]  It's effective against white flies, moths, bedbugs, fleas, roaches, crickets, and more, and safe enough to use on your pets, ridding them of fleas and other pests.
[00:33:21.287 --> 00:33:23.609]  Order now from Freshwaterorganics.com or call 888-949-3570.
[00:33:23.629 --> 00:33:23.989]  888-949-3570 today!
[00:33:24.009 --> 00:33:26.571]  Are you tired of searching for great talk radio?
[00:33:26.631 --> 00:33:27.131]  Search no more!
[00:33:50.220 --> 00:33:51.782]  No, things aren't what they used to be.
[00:33:51.882 --> 00:33:57.929]  Foreign offshore banks are using the government to grab General Motors, cut it up in pieces.
[00:33:58.650 --> 00:34:08.642]  They're selling almost the entire company to the Russians, the Italians, the Chinese, the folks down in Brazil.
[00:34:09.378 --> 00:34:13.420]  And you're paying for it as taxpayers to have the companies spun off.
[00:34:13.500 --> 00:34:17.042]  Saturn, Hummer, it's all being hacked up in pieces.
[00:34:17.102 --> 00:34:18.383]  Chrysler's going to Fiat.
[00:34:18.703 --> 00:34:20.884]  And you're paying to have it shipped overseas.
[00:34:21.284 --> 00:34:25.206]  It's like you pay with tax rebates to companies to leave the United States.
[00:34:25.246 --> 00:34:33.611]  So that's why Blackwater and Halliburton and all these big patriotic companies that had to have no-bid contracts during the Iraq War.
[00:34:34.311 --> 00:34:35.892]  They're defending America.
[00:34:36.352 --> 00:34:37.393]  Red, white, and blue!
[00:34:39.528 --> 00:34:41.469]  So we'll go over all of that coming up as well.
[00:34:44.551 --> 00:34:47.032]  But it is June 7th, Sunday, June 7th, 2009.
[00:34:47.072 --> 00:35:02.221]  You know, let's talk facts here about how modern science that we know, developed in the 17th, 18th, 19th, and 20th century, starting with
[00:35:08.757 --> 00:35:23.105]  Lord Malthus, Sir Malthus, saying that they need to exterminate the majority of the British population and figure out how to spread plagues on them, how to put them in compact cities and kill them because the population was overpopulated.
[00:35:24.645 --> 00:35:24.986]  That was in 1750.
[00:35:25.726 --> 00:35:29.308]  Thereabouts that he first published.
[00:35:31.249 --> 00:35:37.272]  And then Darwin comes along and says the same thing and the social Darwinists pick up with that and his cousin
[00:35:38.769 --> 00:36:02.656]  Sir Francis Galton comes out and creates the theory of eugenics, which the royals just loved, saying the elites are better bred, and the masters of the planet, and the mere fact that they're in control gives them divine right of kings, that they got in control, and most of the Wedgwood, Galton, Darwin family would die, like they'd have five sons and four of them would die, because they were all intermarried.
[00:36:03.116 --> 00:36:06.577]  They were all marrying each other's first cousins, because they thought they were the master race.
[00:36:07.383 --> 00:36:13.284]  So the scientific elite were all intermarrying for hundreds of years, just like the royalty was intermarrying.
[00:36:13.805 --> 00:36:15.285]  It's all delusions of grandeur.
[00:36:16.925 --> 00:36:23.307]  Totally mentally ill, like some, you know, breed of German pointer dog, or chow, you know, it's been overbred.
[00:36:24.327 --> 00:36:31.469]  Just endlessly breeding the dog, it'll just sit there in the corner shaking and urinating on itself and yipping and yapping with delusions of grandeur.
[00:36:31.809 --> 00:36:32.929]  That's who runs things.
[00:36:33.670 --> 00:36:35.070]  Just inbred filth.
[00:36:37.418 --> 00:36:46.481]  And so by the 1890s, eugenics is adopted as law in England, law in the United States, law in France and Germany and even Mexico.
[00:36:47.261 --> 00:36:50.942]  And by 1920, 34 states in the U.S., it's law.
[00:36:51.922 --> 00:36:56.383]  The police drop by with social workers and people would say, I have a right to a trial.
[00:36:56.663 --> 00:36:57.444]  I have a right to a jury.
[00:36:57.484 --> 00:37:01.985]  You can't take me because I'm poor and sterilize me.
[00:37:02.694 --> 00:37:03.495]  You can't.
[00:37:04.135 --> 00:37:08.258]  So they set up family courts and health departments.
[00:37:08.919 --> 00:37:11.221]  It was a doctor in a lab coat that came.
[00:37:11.981 --> 00:37:16.805]  And so they said, oh yes, you have a Bill of Rights, but not when it's for medical reasons.
[00:37:17.105 --> 00:37:25.352]  And then the local uppities in the towns would say, yes, sterilize that white trash and sterilize those blacks and Mexicans and Chinese.
[00:37:26.813 --> 00:37:29.675]  And on the books, they took a half a million white women
[00:37:30.826 --> 00:37:42.273]  They took millions of blacks, but good records of that weren't kept, and they took the majority of the Native American population, still going on today, and they say, you want healthcare, we gotta do a procedure, and they sterilize you.
[00:37:43.874 --> 00:37:49.257]  And then see, a lot of people are listening right now all over the country, going, yeah, yeah, there's too many people, yeah, yeah, yeah.
[00:37:49.377 --> 00:37:49.677]  See?
[00:37:50.218 --> 00:37:51.198]  You've been taught that.
[00:37:51.698 --> 00:37:53.860]  And the issue is, what I'm gonna tell you, here's the big kicker.
[00:37:54.380 --> 00:37:55.981]  You're being sterilized too, dummy.
[00:37:57.529 --> 00:38:02.934]  You're drinking sodium fluoride that attacks every gland in the body and attacks reproduction and massively increases cancer.
[00:38:03.894 --> 00:38:04.475]  Just Google.
[00:38:05.416 --> 00:38:07.117]  Cancer Research Sodium Fluoride.
[00:38:07.137 --> 00:38:07.878]  You'll be reading U.S.
[00:38:07.898 --> 00:38:09.259]  government documents in the 20s.
[00:38:10.079 --> 00:38:12.521]  That's where Hitler and Stalin got the idea to put it in the water.
[00:38:12.822 --> 00:38:16.405]  That's in Pulitzer Prize winning books on World War II.
[00:38:18.506 --> 00:38:19.807]  That they would put it in the water supply.
[00:38:20.228 --> 00:38:21.709]  I know you were taught to laugh about it.
[00:38:22.069 --> 00:38:23.010]  I know it's funny.
[00:38:23.090 --> 00:38:23.791]  Yes.
[00:38:24.251 --> 00:38:26.353]  You've been drinking a deadly toxin.
[00:38:26.972 --> 00:38:27.953]  A deadly sedative.
[00:38:28.873 --> 00:38:29.494]  That's why.
[00:38:29.974 --> 00:38:32.435]  But you've got enough of your humanity left to listen to me.
[00:38:32.796 --> 00:38:33.776]  Listen to me carefully.
[00:38:33.876 --> 00:38:36.258]  You can shake off the drugs you're on.
[00:38:36.518 --> 00:38:38.099]  They forcibly medicate you through the water.
[00:38:38.339 --> 00:38:39.680]  They shoot you up with the mercury.
[00:38:40.000 --> 00:38:40.560]  Don't believe me?
[00:38:40.601 --> 00:38:41.161]  Just Google.
[00:38:42.682 --> 00:38:47.065]  Three times increase in Alzheimer's after three flu shots.
[00:38:47.205 --> 00:38:48.465]  You'll see government studies.
[00:38:49.326 --> 00:38:51.027]  They've increased the mercury in the flu shot.
[00:38:52.688 --> 00:38:57.449]  So see, you're saying kill everybody in the black side of the Mexican side of town.
[00:38:57.489 --> 00:39:00.790]  You're saying kill, kill, kill, because they're all gang member scum.
[00:39:01.450 --> 00:39:02.711]  Just like you heard the woman earlier.
[00:39:07.072 --> 00:39:19.035]  But then you don't understand that when you really read the eugenics documents, they say we're going to sell the well-to-do and middle-class whites on doing this to blacks and others, but our real target is them, the eugenicists of you.
[00:39:20.060 --> 00:39:24.863]  Because they are of superior bloodline and may challenge our hegemonic world dictatorship.
[00:39:25.123 --> 00:39:31.886]  So we have to actually target most, just like a farmer would do, you know, trimming the trees, is the way they describe it.
[00:39:32.226 --> 00:39:36.549]  Bad sons, the little baby trees coming up underneath the tree, underneath the crepe myrtle or the oak.
[00:39:37.369 --> 00:39:43.212]  We have to kill most of them and then select the only best ones we want for interbreeding with ourselves.
[00:39:45.153 --> 00:39:48.495]  So see, you're driving around going, yeah, kill the Mexicans and blacks.
[00:39:49.349 --> 00:39:50.370]  But see, you don't know.
[00:39:50.690 --> 00:39:57.036]  You've already been hit by, write this down, write this down as you drive down the road, soft kill weapon.
[00:39:57.997 --> 00:40:11.009]  And when you get home today, if you still know how to type that in, and you're not too busy watching sports and acting tough, soft kill weapon, and you'll read Pentagon documents, silent weapons for quiet wars.
[00:40:11.570 --> 00:40:15.113]  It's a very quiet war, what they're doing to you right now, what they're doing to me.
[00:40:19.727 --> 00:40:23.331]  And the technocrats and most of the minions who are even in on this think they're immune.
[00:40:23.592 --> 00:40:33.263]  But you'll always notice a research scientist, somebody involved at higher levels who's got a big piece of the puzzle and knows what they're a part of but still believes in it, you'll notice nothing but distilled water.
[00:40:33.723 --> 00:40:35.906]  Nothing but properly, nothing but organic food.
[00:40:36.406 --> 00:40:38.067]  They've engineered these foods by design.
[00:40:38.167 --> 00:40:50.076]  Every major GMO crop has been studied, and they are specifically selecting it to create different interactions in the body that sterilize all rodent populations.
[00:40:50.116 --> 00:40:52.178]  Guinea pigs, rats, rabbits, doesn't matter.
[00:40:52.218 --> 00:40:54.920]  And that's why women are going sterile, men are going sterile.
[00:40:54.940 --> 00:40:55.500]  That's a fact.
[00:40:55.921 --> 00:40:57.582]  You're being hit, and hit hard.
[00:40:57.802 --> 00:41:00.244]  And I'm sorry, laughing and giggling about it,
[00:41:01.613 --> 00:41:02.774]  Doesn't change it.
[00:41:02.814 --> 00:41:04.215]  Men, that's why you're effeminate.
[00:41:04.515 --> 00:41:05.976]  That's why you look like women.
[00:41:06.457 --> 00:41:08.498]  Even if you try to run and exercise and lift weights.
[00:41:09.078 --> 00:41:11.120]  Your testosterone's been massively reduced.
[00:41:11.640 --> 00:41:14.662]  You're under chemical and biological attack.
[00:41:16.043 --> 00:41:18.545]  That's why we're all turning into ninnies.
[00:41:19.286 --> 00:41:25.210]  And the women are hyper-feminine, and that's why they're getting breast cancer, which is generally hormonally triggered.
[00:41:25.350 --> 00:41:26.231]  You can look at those studies.
[00:41:27.412 --> 00:41:30.574]  Now, having your breast rot off painfully and dying isn't fun.
[00:41:31.624 --> 00:41:34.887]  You might want to end all your fake liberal and conservative baloney ideology.
[00:41:35.087 --> 00:41:36.949]  Let me tell you something, the big secret.
[00:41:38.270 --> 00:41:41.293]  The real racists are smart folks.
[00:41:41.793 --> 00:41:44.415]  They don't run around wearing white hoods and burning crosses.
[00:41:45.096 --> 00:41:47.058]  They act like loving liberals.
[00:41:48.579 --> 00:41:53.623]  That's why black high schools all over the country and elementary schools are called Margaret Sanger Elementary.
[00:41:54.264 --> 00:41:58.848]  I went to a predominantly black school in kindergarten by White Rock Lake.
[00:42:01.041 --> 00:42:03.102]  And it was Margaret Sanger Elementary.
[00:42:06.104 --> 00:42:06.684]  Big joke!
[00:42:07.484 --> 00:42:09.986]  That her statues out front many of the black schools.
[00:42:10.266 --> 00:42:10.906]  It's a big joke!
[00:42:11.126 --> 00:42:13.368]  She called blacks sub-human that had to be exterminated.
[00:42:13.548 --> 00:42:15.168]  She called them weeds, animals.
[00:42:15.228 --> 00:42:19.351]  You can read her famous letters to the big...
[00:42:21.027 --> 00:42:39.444]  Procter and Gamble Family Foundation, and Nicole Gates and others, where she's saying, yes, we've got to pose as if we're liberals that love the blacks, and we're going to break up their families and pay their women not to have men in the houses, and we're going to drug them, and we're hiring all these black leaders and black doctors so they'll trust us and take the injections.
[00:42:42.046 --> 00:42:44.607]  Oh yeah, you can Google that and read it online, but don't just believe that.
[00:42:44.967 --> 00:42:52.768]  Send off to the different universities, the main ones in Missouri, and get actual photocopies of it from the library.
[00:42:53.708 --> 00:42:58.589]  Have that come in the mail to you and open it up from the university archives and read it like we did for Endgame.
[00:43:00.070 --> 00:43:00.970]  When I made that film.
[00:43:02.510 --> 00:43:03.711]  And then know it for yourself.
[00:43:03.771 --> 00:43:10.432]  And then, then you get upset if you're a talk show host telling about this and you're riding down the road getting made fun of by other talk show hosts.
[00:43:11.241 --> 00:43:13.222]  See, because then it's not funny anymore.
[00:43:13.843 --> 00:43:15.224]  Then you're not in Kansas anymore.
[00:43:15.424 --> 00:43:17.725]  Then it's not all a big joke anymore, see?
[00:43:17.745 --> 00:43:25.470]  Now when we come back, I'm going to keep rolling with this information, then your calls and a bunch of news on the economy and a lot more coming up.
[00:43:25.550 --> 00:43:28.552]  InfoWars.com and PrisonPlanet.com are the websites.
[00:43:28.832 --> 00:43:29.373]  Stay with us.
[00:43:32.498 --> 00:43:38.462]  If you've always wanted to experience the amazing benefits from using oil of oregano, the time to act is now!
[00:43:38.722 --> 00:43:45.166]  With so many places to choose from, where can you be 100% certain you're getting the highest quality oil for your dollar?
[00:43:45.346 --> 00:43:46.606]  The answer is simple.
[00:43:46.806 --> 00:43:48.127]  PureBulk.com!
[00:43:48.327 --> 00:43:52.750]  PureBulk.com brings you ultra-pure, non-diluted oil of oregano with
[00:43:52.790 --> 00:43:53.190]  We're good to go!
[00:44:16.903 --> 00:44:17.864]  Absolutely free!
[00:44:18.104 --> 00:44:21.405]  Just enter promotional code IODINE at website checkout.
[00:44:21.545 --> 00:44:23.066]  Visit purebulk.com.
[00:44:23.186 --> 00:44:24.927]  That's purebulk.com.
[00:44:25.107 --> 00:44:25.607]  Or call 406-251-3270.
[00:44:25.627 --> 00:44:25.907]  406-251-3270 today!
[00:44:34.076 --> 00:44:38.101]  If you owe the IRS, you can't make the problem go away without professional help.
[00:44:38.582 --> 00:44:41.545]  But with the help of Dan Pilla, you can get your problem solved.
[00:44:41.946 --> 00:44:46.431]  Hi, I'm Dan Pilla, and I've been solving tax debt problems for 30 years, and I can help you too.
[00:44:46.812 --> 00:44:51.458]  We can stabilize IRS collection action and get your tax debt reduced, sometimes completely eliminated.
[00:44:51.958 --> 00:45:03.489]  And if you received a 1099 from a bank because of mortgage or other debt forgiveness, the vast majority of the time, I can show you how to completely erase it so you pay no taxes on what the IRS will consider to be taxable income.
[00:45:03.809 --> 00:45:06.652]  Call us for a free consultation to discuss the many possibilities.
[00:45:07.112 --> 00:45:07.513]  Call 1-800-34-NO-TAX.
[00:45:07.533 --> 00:45:07.913]  That's 1-800-34-N-O-T-A-X.
[00:45:07.933 --> 00:45:10.575]  Or go to my website at TaxHelpOnline.com.
[00:45:16.781 --> 00:45:21.627]  Dan Pilla has been protecting taxpayers from the IRS for three decades, and he can help you.
[00:45:22.087 --> 00:45:22.828]  Call us today, 800-346-6829.
[00:45:23.068 --> 00:45:23.509]  That's 800-34-NO-TAX.
[00:45:23.529 --> 00:45:25.551]  Hi, this is Steve Schenke, EFOOTS.com.
[00:45:38.803 --> 00:45:39.343]  We're good to go!
[00:46:02.930 --> 00:46:03.230]  I think so.
[00:46:31.986 --> 00:46:33.507]  Alex Jones here with a question.
[00:46:33.687 --> 00:46:35.147]  What does humidity mean to you?
[00:46:35.428 --> 00:46:37.649]  Most people think of hot and sticky summer days.
[00:46:38.109 --> 00:46:42.851]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:46:43.251 --> 00:46:46.092]  That's why I'd like you to visit acolablue.com.
[00:46:46.432 --> 00:46:49.974]  Acolablue is a state-of-the-art atmospheric water generator.
[00:46:50.334 --> 00:47:02.348]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[00:47:02.888 --> 00:47:04.890]  Finally, drinking water that you control.
[00:47:04.910 --> 00:47:06.212]  I use one every day.
[00:47:06.632 --> 00:47:09.075]  Say goodbye to expensive water delivery services.
[00:47:09.375 --> 00:47:10.336]  You're listening to GCN.
[00:47:38.312 --> 00:48:00.107]  So when you read Margaret Sanger and hundreds of other top eugenicists, federal government chiefs, state governors,
[00:48:01.204 --> 00:48:05.287]  It's all their letters back and forth to each other and even handbooks they published for social working.
[00:48:05.667 --> 00:48:11.991]  Social working was founded to carry out racial hygiene, to spy on the community, to go around and kidnap people's children.
[00:48:12.711 --> 00:48:14.492]  That's why we always hear the stories about Hitler.
[00:48:14.712 --> 00:48:16.393]  Hitler would take Germans' children.
[00:48:16.934 --> 00:48:19.935]  The state would steal their kids and Russia would steal people's kids.
[00:48:20.416 --> 00:48:28.000]  Russia picked up, the communists picked up the same eugenics plan, which was again funded by the Rockefellers and the Rothschilds on record.
[00:48:28.340 --> 00:48:29.061]  I mean, if you just
[00:48:29.719 --> 00:48:30.900]  Go to the encyclopedia.
[00:48:30.960 --> 00:48:39.328]  I don't just mean Wikipedia, because it's inaccurate a lot, but actually what Wikipedia has on the Rockefeller Foundation is accurate, because I've bought their books.
[00:48:39.388 --> 00:48:41.811]  I've actually read their minutes, the congressional testimony.
[00:48:43.172 --> 00:48:52.621]  But you can go to other online encyclopedias and read and then link through to the Rockefeller Foundation's own federal filings.
[00:48:54.071 --> 00:48:55.611]  Where it's all eugenics.
[00:48:55.732 --> 00:48:57.352]  The whole foundation's for eugenics.
[00:48:57.732 --> 00:48:59.733]  And how they funded the Soviets and the Nazis.
[00:49:00.033 --> 00:49:01.473]  The Kaiser-Wilhelm Institute.
[00:49:02.053 --> 00:49:05.314]  How they funded the Human Genome Project at Cold Springs Harbor.
[00:49:05.494 --> 00:49:06.675]  The birthplace of U.S.
[00:49:06.755 --> 00:49:07.175]  eugenics.
[00:49:07.595 --> 00:49:09.475]  The head of it had to step down last year, remember?
[00:49:10.496 --> 00:49:11.236]  Dr. Watson.
[00:49:13.036 --> 00:49:14.697]  For saying blacks weren't human on the news.
[00:49:16.496 --> 00:49:20.058]  They're not trying to find out all your genetic codes because they want to be sweet to you, folks.
[00:49:20.118 --> 00:49:33.525]  They're finding out for race-specific bioweapons, as even the Austin American Statesman reported two years ago about Dick Cheney in a policy report saying, we need to deploy race-specific bioweapons to kill certain races.
[00:49:34.405 --> 00:49:42.610]  And the Austin American Statesman finally wrote a good story and said, why is Dick Cheney talking about wiping out certain races?
[00:49:44.386 --> 00:49:49.948]  And they even got weird African black leaders that go to these conferences and talk about wiping out most of the blacks.
[00:49:50.788 --> 00:49:55.110]  But I guess they get all this money and all this power from the globalists, so I guess they get off on it.
[00:49:55.850 --> 00:49:58.991]  I mean, this is serious business.
[00:49:59.051 --> 00:50:02.352]  And you know, I read this a week ago on air, but I'm going to cover it again right now.
[00:50:02.812 --> 00:50:03.873]  ABC News covered it.
[00:50:03.893 --> 00:50:10.895]  Tomorrow I'm going to play a clip of it where they describe them as superheroes and put David Rockefeller's head on Superman.
[00:50:10.915 --> 00:50:13.436]  I'm going to play that tomorrow on PrisonPlanet.tv.
[00:50:15.472 --> 00:50:17.393]  So you can actually see it, not just the audio of it.
[00:50:18.054 --> 00:50:28.402]  Dealing with this about, oh, all these world leaders met secretly at the Rockefeller Foundation at their university because they care so much and want to help African children.
[00:50:29.162 --> 00:50:39.029]  Meanwhile, you actually read what the Times of London, interviewing the head of the foundation for the article, they admit, no, it was how to reduce population.
[00:50:39.370 --> 00:50:41.791]  That's how they're helping the little children.
[00:50:42.852 --> 00:50:43.933]  And you find out how they're doing it,
[00:50:44.921 --> 00:50:48.844]  It's breaking up their families, having CPS kidnapping their kids, drugging their kids.
[00:50:49.464 --> 00:50:55.248]  In my film, Endgame, I have the head for the state, for psychiatry, testifying before the legislature.
[00:50:56.169 --> 00:51:08.157]  Representative Susanna Hupp, a great lady, she says, well, why are 68 percent, this is in the film Endgame, she goes, this is Texas testimony, they said, why are 68 percent of the foster kids on multiple psychotropic drugs?
[00:51:09.137 --> 00:51:10.438]  They said, they have bad genes.
[00:51:11.299 --> 00:51:13.020]  We're having to do this because they have bad genes.
[00:51:13.100 --> 00:51:13.740]  That's just made up.
[00:51:13.780 --> 00:51:14.401]  There's no test.
[00:51:15.680 --> 00:51:19.964]  We put two-thirds plus of the kids.
[00:51:20.144 --> 00:51:24.188]  68% is over two-thirds of the kids on psychotropic drugs.
[00:51:28.052 --> 00:51:28.713]  Now listen to this.
