[00:00:00.009 --> 00:00:02.750]  Go to GCNlive.com to order online now.
[00:52:27.057 --> 00:52:36.764]  Andrew Neal and Luke Meyer, weather's still about 15 after, then they've got to leave in the middle of a segment to go down and speak at the end of a second screening of their already critically acclaimed new film, New World Order.
[00:52:38.285 --> 00:52:40.346]  Andrew, you had a question for me during the break.
[00:52:40.567 --> 00:52:53.276]  Yeah, I was just, you're playing on your show now, you're playing THX, and we heard you talk a lot, and in fact I think you even mentioned the Matrix in your movie, and that guy there in the Nerve article kind of like, you know,
[00:52:53.996 --> 00:52:54.396]  I don't think so.
[00:53:10.382 --> 00:53:13.263]  I was, you guys were asking me, what is the Washington Monument?
[00:53:13.863 --> 00:53:17.564]  And the masons and other people say it is a spiritual talisman.
[00:53:17.584 --> 00:53:18.885]  They believe architecture is sacred.
[00:53:18.905 --> 00:53:24.707]  I've had top masons on university publications and put out books about sacred geometry and numbers.
[00:53:25.007 --> 00:53:31.949]  And so I was explaining in the clip, but I think it's shortened for time, that I don't believe Ghostbusters is real.
[00:53:33.015 --> 00:53:40.701]  The Ghostbusters didn't get the idea of the building and the first Ghostbusters being a spiritual antenna out of the blue sky.
[00:53:40.821 --> 00:53:48.706]  They got that from studying the occult and Zool the God and the Pyramid God and other dimensions.
[00:53:48.766 --> 00:53:51.168]  This is what the high-level masons believe.
[00:53:51.849 --> 00:53:53.230]  And so I was using that as an analogy.
[00:53:53.270 --> 00:53:57.012]  It's like George Lucas in M.A.T.H.X1138 that we just played a little clip of behind me here.
[00:53:57.993 --> 00:54:02.857]  He said that was kind of his remake, redo, college film that he then redid with Robert Duvall as his first big film.
[00:54:04.037 --> 00:54:13.204]  Off, and see, I'm going to burn all our time answering this question, but it's complex, that that was a remake of Brave New World, Aldous Huxley, 1933.
[00:54:13.704 --> 00:54:22.891]  Well, Huxley gave speeches at Berkeley and said, my brother was involved in eugenics, this is their real plan, to chip everybody and control everybody, and his brother ran the United Nations UNESCO board.
[00:54:23.371 --> 00:54:31.499]  So see, they're putting what they're really doing out, and then George Lucas, with Revenge of the Sith, I said, this is a political statement about government-sponsored terror and George Bush in 9-11.
[00:54:31.759 --> 00:54:39.186]  Lucas basically came out and said, yes, this is how they stage events, this is how they're setting up a worldwide dictatorship, and said this is a political message.
[00:54:39.867 --> 00:54:41.428]  And he said that about the first Star Wars.
[00:54:41.848 --> 00:54:45.511]  And there was even some cut scenes about, you know, slaving for the greater good of the Empire.
[00:54:45.911 --> 00:54:51.515]  And the general public not getting involved, staying on the farm, not going out and taking up their destiny to fight tyranny.
[00:54:51.935 --> 00:54:53.996]  So it's not just me, you know, saying that.
[00:54:54.257 --> 00:54:56.718]  That's actually what the filmmakers themselves were saying.
[00:54:56.918 --> 00:54:57.639]  Yeah, definitely, man.
[00:54:57.659 --> 00:55:00.441]  I think it's one of the most, you know, powerful, you know,
[00:55:01.181 --> 00:55:30.151]  Potential usages of fiction you know that you can discuss you know real things or or potential realities that I think people see coming in the future and I don't know I just I always enjoyed like your references to those movies and and how they were kind of part of part of the main reason the main reason I do it in summation is people have heard of Ghostbusters they've seen Matrix they've got that idea of there's another reality okay and and that and it's so much of what we've been told or taught is disinformation and so I use those as kind of a way
[00:55:30.971 --> 00:55:35.073]  As a cliche, just like you guys use the term conspiracy theorist, just so you can communicate.
[00:55:35.153 --> 00:55:36.053]  Yeah.
[00:55:36.113 --> 00:55:44.277]  It was actually one of my favorite parts of shooting with you was a lot of the armchair philosophizing that we did.
[00:55:44.337 --> 00:55:49.420]  I remember at one point, I think one of my favorite quotes was, we're a combination of crazy killer apes
[00:55:50.260 --> 00:55:50.941]  I don't
[00:56:10.140 --> 00:56:19.445]  From a lot of the generally accepted realities that are around us, and you then, for that reason, have a different perspective on the world.
[00:56:19.505 --> 00:56:22.006]  And it was really interesting to be around that.
[00:56:22.326 --> 00:56:37.294]  And I think that, you know, whether people, you know, they watch this movie, they agree with everything you say or not, I think the most important thing is that you're a voice out here that is questioning, you know, in that old kind of like corny bumper sticker, question authority, you know, Jack McClane still wears that.
[00:56:37.754 --> 00:56:39.155]  On his on his cops uniform.
[00:56:39.175 --> 00:56:44.357]  I mean, I think it's a very important thing in a democracy for voices to be out there asking questions.
[00:56:44.377 --> 00:56:49.960]  And you don't have to agree with everything that you say, but at least it provokes research.
[00:56:50.000 --> 00:56:52.601]  It provokes people thinking about what they're being fed.
[00:56:53.001 --> 00:57:02.846]  And so, you know, what I hope is that at least to some extent that comes through in the film and that and that and that there's that, you know, your voice in society.
[00:57:02.866 --> 00:57:03.546]  Final segment.
[00:57:03.626 --> 00:57:04.446]  You got it right.
[00:57:04.686 --> 00:57:08.307]  Everyone knows that omega-3 should be an essential part of our daily diet.
[00:57:08.367 --> 00:57:14.009]  With so many different methods of consumption, how do you choose a simple yet effective way to get your daily intake?
[00:57:14.109 --> 00:57:18.150]  The friendly, knowledgeable folks at North American Nutrition have the answer.
[00:57:18.430 --> 00:57:20.730]  Nature's gem, premium omega-3.
[00:57:20.890 --> 00:57:26.732]  Unlike other flaxseed, our golden flax is grown on our farm in northern Minnesota, providing cooler temperatures
[00:57:26.752 --> 00:57:27.112]  I'm good.
[00:57:44.292 --> 00:57:46.153]  In the New World Order's war against humanity,
[00:58:08.300 --> 00:58:10.402]  Barack Obama is the tip of the spear.
[00:58:10.923 --> 00:58:17.931]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:58:18.493 --> 00:58:24.678]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:58:25.078 --> 00:58:26.920]  Well, Obama's already fudging.
[00:58:27.060 --> 00:58:29.462]  He's fudged since day one in this election.
[00:58:29.562 --> 00:58:40.511]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:58:41.131 --> 00:58:42.432]  It's not about left or right.
[00:58:42.813 --> 00:58:44.174]  It's about a one-world government.
[00:58:44.651 --> 00:58:50.976]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:58:51.556 --> 00:58:59.341]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:58:59.822 --> 00:59:00.983]  The Obama Deception.
[00:59:01.403 --> 00:59:02.584]  The people strike back.
[00:59:04.306 --> 00:59:05.827]  Alex Jones here with a question.
[00:59:06.007 --> 00:59:07.469]  What does humidity mean to you?
[00:59:07.749 --> 00:59:09.991]  Most people think of hot and sticky summer days.
[00:59:10.431 --> 00:59:15.175]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:59:15.575 --> 00:59:18.438]  That's why I'd like you to visit acolablue.com.
[00:59:18.758 --> 00:59:22.261]  Acolablue is a state-of-the-art atmospheric water generator.
[00:59:22.668 --> 00:59:34.653]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[00:59:35.213 --> 00:59:37.194]  Finally, drinking water that you control.
[00:59:37.214 --> 00:59:38.515]  I use one every day.
[00:59:38.955 --> 00:59:41.396]  Say goodbye to expensive water delivery services.
[00:59:41.656 --> 00:59:42.376]  We're good to go.
[01:00:09.241 --> 01:00:13.444]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:14.064 --> 01:00:14.884]  You want answers?
[01:00:15.665 --> 01:00:16.485]  Well, so does he.
[01:00:17.206 --> 01:00:20.828]  He's Alex Jones on the GCN Radio Network.
[01:00:21.408 --> 01:00:25.511]  And now, live from Austin, Texas, Alex Jones.
[01:00:26.911 --> 01:00:34.156]  Well, I'll say this, they are great filmmakers, and their film, The New World Order, comes out here in just a few weeks.
[01:00:35.515 --> 01:00:37.665]  And I can't wait till it's out on DVD as well.
[01:00:37.685 --> 01:00:38.810]  New World Order.
[01:00:38.930 --> 01:00:39.714]  See, think, film.
[01:00:41.454 --> 01:00:45.497]  New World Order, themovie.com, Luke Meyer and Andrew Neil.
[01:00:46.518 --> 01:00:57.586]  Gentlemen, in the 5, 6, 7 minutes we've got left here, again I just want to thank you for making the film, taking the risk making the film, and again, tell folks when it's going to be premiering on the Independent Film Channel.
[01:00:58.286 --> 01:01:05.672]  It's going to be on VOD, on IFC VOD in mid to late April, and then it will be premiering in May on the regular channel.
[01:01:06.012 --> 01:01:09.755]  And they should put a good bit of publicity into it, it should be a good run.
[01:01:10.535 --> 01:01:11.036]  Are you kidding?
[01:01:11.076 --> 01:01:13.943]  I did five interviews with him in the last three weeks.
[01:01:14.444 --> 01:01:16.609]  Yeah, no, I think IFC is really excited about the movie.
[01:01:16.629 --> 01:01:20.218]  They're really behind it and I think it will be a good rollout, you know?
[01:01:21.055 --> 01:01:21.635]  I think it's cool.
[01:01:21.655 --> 01:01:24.858]  I mean, you know, it might be a good question for you.
[01:01:26.199 --> 01:01:33.104]  Like, do you think this is the first time that something like this about the topic has come out in the mainstream media?
[01:01:33.384 --> 01:01:40.088]  I think this perspective, I mean, usually it's some stuff suit lying, saying they're my friend, when I know that they do, it's a hit piece specialist.
[01:01:40.489 --> 01:01:45.572]  Like the guy from History Channel did the hit piece and, you know, betrayed Michael Jackson or whatever, and I'm no fan of him, so fine.
[01:01:45.592 --> 01:01:47.774]  But I said, look, I know it's a hit piece, and it was a hit piece.
[01:01:47.994 --> 01:01:48.815]  Just don't insult me.
[01:01:49.355 --> 01:01:51.656]  And so I've never seen one that wasn't a hit piece.
[01:01:52.517 --> 01:01:53.377]  And so this is a first.
[01:01:53.417 --> 01:01:55.078]  I mean, I really, you know, want to commend you guys.
[01:01:55.578 --> 01:01:59.560]  But I also... Were you pretty sure that when we were doing it that we were going to do that?
[01:01:59.580 --> 01:02:12.326]  I remember we had a lot of discussions and I felt bad during the whole thing because I felt like I couldn't convince you that we were, you know, going to try to be fair and to show what we thought was fair.
[01:02:12.386 --> 01:02:18.249]  Well, I thought that you guys would rationalize yourselves and kind of put us in a bad light.
[01:02:19.853 --> 01:02:25.876]  And let's say you did it one degree, I thought it would be 10 or 15 degrees of that, a lot more of that.
[01:02:25.896 --> 01:02:29.078]  It was a little bit of what I suspected, but in a way that's who we are.
[01:02:29.098 --> 01:02:31.359]  We're goofy, we do funny things.
[01:02:32.140 --> 01:02:33.741]  But no, I was pleasantly surprised.
[01:02:33.961 --> 01:02:40.204]  I liked you guys because we spent a lot of time together off and on here in Austin and in Dallas and in Virginia.
[01:02:41.565 --> 01:02:43.186]  So I wanted to believe you were telling the truth.
[01:02:43.786 --> 01:02:46.607]  I just couldn't let myself be suckered in, in case.
[01:02:47.688 --> 01:02:51.789]  But I mean, I certainly let my guard down, because I'm around cameras so much, I can't put a guard on.
[01:02:51.929 --> 01:02:52.450]  Yeah, yeah.
[01:02:52.850 --> 01:02:55.231]  But instead of talking about myself, we've got about five, six minutes.
[01:02:55.311 --> 01:02:58.592]  Gentlemen, closing comments about the film New World Order.
[01:02:59.073 --> 01:03:01.794]  First, Luke Meyer, and then Mr. Neal.
[01:03:03.414 --> 01:03:04.195]  Closing comments.
[01:03:05.970 --> 01:03:15.538]  Well, I hope a lot of people get a chance to see this film because I do think that it opens up a discussion about what is generally a pretty closed topic.
[01:03:15.818 --> 01:03:23.104]  Just the way the thing was in the Nerve.com article where, you know, people walk into something with an opinion and they just stick to it.
[01:03:24.165 --> 01:03:34.353]  I think this film allows people to kind of see things on a deeper level, to see the quote-unquote conspiracy, you know, subculture, I don't know what you want to call it.
[01:03:35.237 --> 01:03:37.577]  People that question the official fiction.
[01:03:37.817 --> 01:03:38.158]  Yeah.
[01:03:38.558 --> 01:03:43.058]  Yeah, I mean, so often it feels to me like the world breaks down into two camps.
[01:03:43.238 --> 01:03:48.119]  There's people that are screaming on one side about, you know, this is what's happening, this is how it's going to be.
[01:03:48.359 --> 01:03:51.720]  There's people on the other side screaming, they're kooks, they're wackos.
[01:03:52.020 --> 01:03:56.301]  What I hope is, at least to some extent, this film will bridge that gap a little bit.
[01:03:56.561 --> 01:04:03.642]  People from both sides, either be it, you know, people who are, you know, in the conspiracy, into the conspiracy genre,
[01:04:04.262 --> 01:04:08.646]  Um, or maybe you could call it just alternative political views will watch this.
[01:04:09.006 --> 01:04:19.535]  And then people from the other side, you know, either be it, you know, uh, kind of mainline Democrats, Republicans and, and, and all of, and, and all of those peoples with their ideologies will watch it.
[01:04:19.595 --> 01:04:26.560]  And hopefully it will bridge that gap a little bit, you know, and, and, and, and, and, you know, I, you know, I, I, I, I know you, um,
[01:04:28.021 --> 01:04:30.143]  You know, you comment on the goofiness a little bit.
[01:04:30.323 --> 01:04:37.809]  In a way, I hope that, too, makes it a bit more accessible to some people who may generally just not watch it all in a way.
[01:04:37.889 --> 01:04:39.830]  Like, humor sometimes can draw people in.
[01:04:40.110 --> 01:04:41.311]  It can get people connected to human beings.
[01:04:41.331 --> 01:04:44.854]  No, I mean, Tommy Pilato, who I respect, said that he thought it was positive and humanizes.
[01:04:44.874 --> 01:04:45.515]  Yeah, yeah.
[01:04:45.595 --> 01:04:47.156]  And I want you to comment on this in closing.
[01:04:47.396 --> 01:04:48.597]  There are really four camps.
[01:04:48.617 --> 01:04:49.818]  This is an oversimplification.
[01:04:50.178 --> 01:04:54.481]  Two camps on the conspiracy side, as people would call it, and two camps on the establishment side.
[01:04:55.362 --> 01:05:07.410]  On the bad guy side, you have the status quo people, that when it came out that hospitals in Austin were stealing people's corneas after they died, and organs, they said it was a conspiracy theory to the nurses, and then it came out and folks got convicted.
[01:05:08.191 --> 01:05:13.374]  Or when you say a vaccine's killing people, they call it a conspiracy theory, oh, you know, so it's kind of a denial.
[01:05:13.394 --> 01:05:15.175]  I mean, they said that the mafia didn't exist.
[01:05:15.496 --> 01:05:20.479]  J. Edgar Hoover, he was being blackmailed, said it's a conspiracy theory and lacosanosure doesn't exist.
[01:05:20.959 --> 01:05:22.280]  And then you look like a fool afterwards.
[01:05:22.580 --> 01:05:31.366]  So you have those that are just covering up, then you have those who are just kind of mainstream, want to think everything is okay, want to think the world is working fine.
[01:05:31.807 --> 01:05:33.108]  So that's on the side in denial.
[01:05:33.508 --> 01:05:41.313]  Then on our side, the conspiracy side, you've got real researchers, people who understand human history, that are putting out real information, may not present it perfectly, you know, whatever.
[01:05:41.934 --> 01:05:46.537]  You've got folks that really care and are telling the truth, and are doing something very historical and important, and are the real revolutionaries.
[01:05:46.917 --> 01:05:51.100]  Then you've got kooks that talk only about flying saucers, chupacabras, things that are shocking.
[01:05:51.241 --> 01:05:52.722]  They call themselves conspiracy terrorists.
[01:05:52.942 --> 01:05:56.765]  They're really just fiction writers claiming their fiction is real.
[01:05:57.145 --> 01:05:59.027]  And so, those are the four camps.
[01:05:59.227 --> 01:05:59.667]  Yeah.
[01:05:59.747 --> 01:06:01.469]  Actually, it's funny.
[01:06:01.629 --> 01:06:05.672]  That's a really interesting... I kind of wish I'd gotten that on camera during the doc.
[01:06:05.772 --> 01:06:10.896]  That's a very clear way of explaining all these conflicting ideologies, you know?
[01:06:11.177 --> 01:06:14.339]  We ran into... I'll tell you, we ran into a lot of reptile talk.
[01:06:14.639 --> 01:06:16.421]  We ran into a lot of alien talk.
[01:06:16.621 --> 01:06:17.921]  Yeah, you were nice not to put that in.
[01:06:17.981 --> 01:06:20.422]  Well, no, I mean, I think... You put one brain chip comment in.
[01:06:20.842 --> 01:06:38.288]  Yeah, well, I mean, you know, I think there are a lot of people in the world that are worried about chipping and, like, we heard a lot of talk about it amongst many people we spoke to, but, like, by and large, I think we avoided that stuff and tried to stay with the socio-political... No, I know, you could have made us look a lot crazier because there's a bunch of crazies.
[01:06:38.649 --> 01:06:40.789]  But, I mean, you're going to have crazies that question reality.
[01:06:41.049 --> 01:06:41.209]  Yeah.
[01:06:41.289 --> 01:06:42.790]  And, see, the media can always point at them.
[01:06:42.950 --> 01:07:00.639]  Well yeah, and I think often people that, you know, if you tend to have the intelligence or the inclination to look outside the mainline view, you know, there can be collateral damage there, which means that you may come to the wrong conclusion when you leave the mainline reality.
[01:07:00.960 --> 01:07:08.904]  But what's important to me is that, you know, people do try to leave that mainline reality, do try to question what they're fed.
[01:07:09.624 --> 01:07:12.808]  And listen to dissenting voices.
[01:07:12.868 --> 01:07:14.890]  I think it's an important part of a democracy.
[01:07:14.970 --> 01:07:16.953]  So I hope that it continues forward.
[01:07:18.923 --> 01:07:24.045]  Yeah, I just wish you luck down here with the show and hopefully we'll see you in New York again soon, yeah?
[01:07:24.505 --> 01:07:25.126]  Absolutely.
[01:07:25.746 --> 01:07:28.727]  I want to thank Luke Meyer and Andrew Neil for being in studio with us.
[01:07:28.747 --> 01:07:29.747]  They're with C-Think.
[01:07:29.768 --> 01:07:31.048]  The film is The New World Order.
[01:07:31.608 --> 01:07:37.391]  And I want to, in late May, a few weeks after this comes out, I want to get the reviews then.
[01:07:37.411 --> 01:07:43.733]  I want to have you on the phone, both of you, and perhaps we can get Davis on as well, to spend a whole hour...
[01:07:46.034 --> 01:07:51.621]  I don't think Davis is one for the cameras of the press, but we'll ask him and see what he says.
[01:07:51.641 --> 01:07:54.344]  Well, it's not like he's Cousin It or something.
[01:07:54.384 --> 01:07:57.428]  No, no, no, he's just, you know, he's camera shy.
[01:07:57.588 --> 01:07:58.770]  He's too busy chasing a lady.
[01:07:59.751 --> 01:08:02.174]  Everywhere I go this guy is like, hey baby, how you doing?
[01:08:02.814 --> 01:08:04.955]  No, I mean, go watch the movie, make up your own mind, and hopefully
[01:08:24.045 --> 01:08:31.974]  Hopefully the good discussion out there in the blogosphere and in the papers and in the media will be stimulated by this thing.
[01:08:32.274 --> 01:08:36.579]  I just want to thank you, because I don't think we ever did thank you for your involvement in the film.
[01:08:36.619 --> 01:08:39.182]  You gave us a lot of time and a lot of access to your life.
[01:08:39.562 --> 01:08:39.962]  Oh, thank you.
[01:08:40.022 --> 01:08:43.964]  I mean, even if it was a hit piece, which it isn't, people then really find out who we really are.
[01:08:44.224 --> 01:08:45.505]  So it actually helps the movement.
[01:08:45.525 --> 01:08:48.626]  And that's what the, I don't want to tell the establishment, hit pieces actually help us.
[01:08:48.947 --> 01:08:51.788]  I don't know what this fair piece is going to do, but I think overall it's going to be positive.
[01:08:52.088 --> 01:08:52.268]  Good.
[01:08:52.368 --> 01:08:53.109]  So thank you, gentlemen.
[01:08:53.129 --> 01:08:54.569]  I want to thank you for including me.
[01:08:54.789 --> 01:08:54.989]  Yeah.
[01:08:55.030 --> 01:08:55.490]  Thanks, Alex.
[01:08:55.790 --> 01:08:55.990]  Thanks.
[01:08:56.450 --> 01:08:56.990]  Good to be here.
[01:08:58.595 --> 01:09:03.997]  Yeah, well, I'm still on air, but the cab is out there if you want to catch it, or you can stay two more minutes until the break.
[01:09:04.537 --> 01:09:04.978]  Oh, okay.
[01:09:04.998 --> 01:09:06.318]  Well, we'll leave now.
[01:09:06.358 --> 01:09:08.639]  We'll see you hopefully for dinner, yeah?
[01:09:08.679 --> 01:09:09.359]  Yeah, sure, guys.
[01:09:09.399 --> 01:09:10.460]  I'll see you at what, 8 o'clock or 8.30?
[01:09:10.600 --> 01:09:10.860]  8 o'clock.
[01:09:11.040 --> 01:09:11.260]  Okay.
[01:09:11.400 --> 01:09:13.221]  All right, gentlemen, take care.
[01:09:14.441 --> 01:09:15.942]  Hey, Davis, Davis, and Davis.
[01:09:16.943 --> 01:09:19.504]  Hey, listen, I wanted to be known that I didn't call you Pumpkinhead on that.
[01:09:19.864 --> 01:09:21.164]  All right, good, good, good, good.
[01:09:21.664 --> 01:09:22.145]  That's funny.
[01:09:22.545 --> 01:09:24.566]  Yeah, I think you put the special Pumpkinhead lens on.
[01:09:24.586 --> 01:09:27.607]  I mean, hell, I'm a little husky, but my God, gentlemen.
[01:09:29.028 --> 01:09:30.469]  No, the joke was Davis, Davis, and Davis.
[01:09:30.529 --> 01:09:31.550]  I kept calling them all Davis.
[01:09:32.932 --> 01:09:33.832]  See you guys, take care.
[01:09:33.852 --> 01:09:35.774]  Alright, good having those filmmakers here.
[01:09:36.074 --> 01:09:54.210]  By the way, Burmese just ran in here and told me that basically Opie and Andy, which is a huge radio show, Bubba the Love Sponge, Howard Stern, all these kind of pop sensation radio shows are talking about the Obama deception.
[01:09:55.490 --> 01:10:00.492]  And there are, no exaggeration, I spent about an hour last night trying to track a bunch of them just on YouTube.
[01:10:00.972 --> 01:10:09.095]  There are over a hundred versions of the Obama Deception free on YouTube, and almost every one of them looks like unmitigated trash.
[01:10:09.715 --> 01:10:16.778]  Because everybody raced Wednesday night when I released it early to grab it as fast as they could in the lowest quality, so they grabbed the lowest quality one.
[01:10:17.018 --> 01:10:21.140]  Then they uploaded it in the lowest quality to race to get it up, and those are the ones with
[01:10:22.100 --> 01:10:25.581]  I mean, one version has like a million views between the twelve parts.
[01:10:25.821 --> 01:10:29.242]  A million views, and it looks like absolute hammered crud.
[01:10:29.582 --> 01:10:39.024]  But, the version that changed the channel, that's the name of, uh, he's got a director's account, and he always uploads our films, and so we're linking to him.
[01:10:39.084 --> 01:10:46.846]  It's up at about a hundred thousand right now, just since we linked to it yesterday from ten thousand, and it looks like it's about to be the top link, and it's the whole film in one place.
[01:10:48.123 --> 01:10:50.225]  So please, it's going megaviral.
[01:10:50.245 --> 01:10:52.326]  I've never had a film go this viral this fast.
[01:10:52.747 --> 01:10:54.308]  I mean, I feel like I'm riding a rocket here.
[01:10:54.368 --> 01:10:58.992]  I feel like I just strapped myself to a missile and we can feel destiny here.
[01:10:59.032 --> 01:11:10.020]  This film is hitting big time and waking a lot of Obama supporters up and waking a lot of conservatives up because they watch the Obama deception and they find out
[01:11:11.101 --> 01:11:12.441]  That it's not a left-right thing.
[01:11:12.481 --> 01:11:13.962]  That both parties are controlled.
[01:11:14.202 --> 01:11:17.443]  That the bankers are engineering the collapse with all their own documents and quotes.
[01:11:18.163 --> 01:11:23.324]  And then they understand Obama's just a sad puppet, a sad front man, a sad minion.
[01:11:24.305 --> 01:11:27.065]  And it's just causing huge awakenings right now.
[01:11:27.586 --> 01:11:28.546]  So I'm very excited.
[01:11:29.466 --> 01:11:41.031]  I want to also beg listeners and viewers out there, if the Obama deception touched you and you want it to touch others, get the high quality DVD, order the hard copy, super high quality at InfoWars.com or by calling 888-253-3139.
[01:11:41.512 --> 01:11:46.694]  You can get it as low as $8 when you buy them in bulk or $19.95 for a single copy.
[01:11:47.094 --> 01:11:50.736]  InfoWars.com or 888-253-3139.
[01:11:51.016 --> 01:11:55.178]  Burn high quality DivX copies, QuickTime copies, you name it, to disk.
[01:11:55.618 --> 01:11:57.139]  Very easy to do at
[01:11:57.699 --> 01:11:58.901]  PrisonPlanet.tv.
[01:11:58.922 --> 01:12:02.749]  Get a membership there and get the live TV show with Simulcast and Burma's 9 to Midnight.
[01:12:02.789 --> 01:12:03.290]  PrisonPlanet.tv.
[01:12:04.804 --> 01:12:07.966]  Before you throw away your used batteries, you need to listen to this.
[01:12:08.326 --> 01:12:10.067]  Now, going green can save money.
[01:12:10.247 --> 01:12:15.590]  Go green and save money by giving life to your used batteries by charging them with the Renaissance Charger.
[01:12:15.810 --> 01:12:23.535]  The Renaissance Charger uses a new revolutionary battery charging technology that effectively extends the life of new batteries and gives new life to used batteries.
[01:12:23.835 --> 01:12:33.140]  Invented by legendary audio genius John Bedini, this unique and patented charging system rejuvenates the electrochemical plate structure in the battery without additives.
[01:12:33.420 --> 01:12:36.464]  Increasing capacity and maintaining cell integrity.
[01:12:36.624 --> 01:12:41.529]  Renaissance Charge offers a full line of products made in the USA for all types and sizes of batteries.
[01:12:41.830 --> 01:12:47.036]  Find out why our customers tell us the Renaissance Charger is the only battery charger they will ever use.
[01:12:47.356 --> 01:12:48.037]  Save your money!
[01:12:48.457 --> 01:12:49.438]  Save the environment?
[01:12:49.778 --> 01:12:51.158]  Visit us online at r-charge.com.
[01:12:51.198 --> 01:12:52.059]  That's r-charge.com.
[01:12:52.099 --> 01:12:52.739]  Or call us at 989-637-4179.
[01:12:52.779 --> 01:12:53.259]  That's 989-637-4179.
[01:12:53.299 --> 01:12:54.400]  Be a part of the revolution today!
[01:12:54.420 --> 01:12:57.241]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[01:13:11.378 --> 01:13:16.739]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[01:13:17.259 --> 01:13:23.461]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[01:13:23.761 --> 01:13:25.581]  Well, Obama's already fudging.
[01:13:25.741 --> 01:13:28.122]  He's fudged since day one of this election.
[01:13:28.202 --> 01:13:39.084]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[01:13:41.377 --> 01:13:42.638]  It's not about left or right.
[01:13:43.039 --> 01:13:44.440]  It's about a one world government.
[01:13:44.901 --> 01:13:51.247]  This film documents who Obama works for, the lies he is told, and his real agenda.
[01:13:51.828 --> 01:13:59.596]  Get your copy of The Obama Deception today at Infowars.com or download it in super high quality at PrisonPlanet.tv.
[01:14:00.097 --> 01:14:01.238]  The Obama Deception.
[01:14:01.658 --> 01:14:02.860]  The people strike back.
[01:14:06.050 --> 01:14:08.012]  Are you wondering about your retirement portfolio?
[01:14:08.393 --> 01:14:14.379]  Are you confident that the financial advisor is experienced enough to combat climbing interest rates, taxes, and inflation?
[01:14:14.639 --> 01:14:18.563]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[01:14:18.784 --> 01:14:25.611]  When you subscribe to The International Forecaster, you get Robert Chapman's 45 years of experience and concise investment recommendations.
[01:14:25.931 --> 01:14:31.479]  Who needs sugar-coated excuses when you can get the cold hard facts and proven investment leads you can't get anywhere else?
[01:14:31.839 --> 01:14:39.209]  For a free introductory copy to Robert Chapman's International Forecaster, subscribe now at the internationalforecaster.com or call 877-479-8178.
[01:14:42.637 --> 01:14:43.338]  Thanks for watching.
[01:15:04.534 --> 01:15:11.763]  Yourfoodstorage.com has been helping families prepare with the lowest priced, highest quality, storable food for over a decade.
[01:15:11.924 --> 01:15:16.109]  And right now, a one-year food supply that feeds 4 to 5 people is only $39.95.
[01:15:16.189 --> 01:15:21.156]  That's right, a one-year supply that feeds 4 to 5 people for under $4,000.
[01:15:25.009 --> 01:15:25.630]  We're good to go.
[01:15:43.189 --> 01:15:43.930]  I don't know.
[01:16:11.335 --> 01:16:21.962]  Oh yeah, it's the tip of the spear, the front lines of the Info War as we wage war on corruption and crash the lies and disinformation.
[01:16:22.002 --> 01:16:24.303]  Here is the Obama Deception DVD.
[01:16:24.323 --> 01:16:28.326]  I hadn't thought to show folks these live at PrisonPlanet.tv.
[01:16:34.970 --> 01:16:36.911]  But it is out, ladies and gentlemen.
[01:16:37.692 --> 01:16:39.313]  It is now available.
[01:16:41.138 --> 01:16:42.459]  We are back live.
[01:16:42.479 --> 01:16:46.943]  The good old Ace of Spades.
[01:16:50.692 --> 01:16:57.676]  Okay, folks, we're going to start taking your calls in the next segment at 1-800-259-9231.
[01:16:58.016 --> 01:17:11.324]  But have your question and comment ready, because I'm going to make each caller keep it to a minute, myself to a minute answer, so we have time to get to a lot of people before a guest on the deadly nature of vaccines and all the developments there joins us coming up the last hour and a half of the show.
[01:17:11.344 --> 01:17:13.506]  Got a lot of news to cover as well.
[01:17:13.526 --> 01:17:13.586]  1-800-259-9231.
[01:17:17.708 --> 01:17:30.889]  I was just talking to Jaron Neihardt, who's one of the directors for the PrisonPlanet.tv show, when I'm live during the day and when Burmese is live for all three hours, nine to midnight, at InfoWars.com and the GCN Radio Network.
[01:17:32.065 --> 01:17:37.872]  And he said this is perfect for his family, who are Obama supporters, because they knew Bush was a tyrant.
[01:17:37.952 --> 01:17:48.926]  Because the film starts with showing all the horrible things Bush did, showing him making jokes about no WMDs here, no weapons there, and we cut to images of dead Iraqi children and men and women.
