[00:00:00.069 --> 00:00:00.709]  Corruption.
[00:24:10.415 --> 00:24:14.836]  He was out handing out flyers that had the Gadsden flag on it.
[00:24:15.457 --> 00:24:18.118]  That's this symbol.
[00:24:18.158 --> 00:24:21.719]  It's the coiled snake that says, don't tread on me.
[00:24:22.459 --> 00:24:24.140]  And it had just some bullet points on it.
[00:24:25.620 --> 00:24:35.314]  With the subsection of the health care bill, where it takes over your bank account, takes money right out of your paycheck, rations care, I mean, it's not Republicans saying this, it's in the bill!
[00:24:35.334 --> 00:24:37.578]  What do you think they have in England and Canada?
[00:24:39.554 --> 00:24:45.080]  And they come over, and he's being nice, and they punch him in the nose and scream, what are you doing here, N-Word?
[00:24:45.980 --> 00:24:48.423]  And the image of white people and black people.
[00:24:48.823 --> 00:24:52.407]  White guys lead the attack, screaming, what are you doing here, N-Word?
[00:24:53.208 --> 00:24:54.829]  Being cheered by blacks.
[00:24:55.410 --> 00:24:58.973]  See, as long as you're for Obama, you can beat up a black guy if you're white and scream N-Word.
[00:24:58.993 --> 00:25:00.455]  And they're like, high five!
[00:25:00.495 --> 00:25:01.015]  Yeah, baby!
[00:25:01.035 --> 00:25:03.218]  Because it's about worshipping Obama.
[00:25:04.781 --> 00:25:06.922]  And all over the country, it's now confirmed.
[00:25:06.962 --> 00:25:08.463]  It's even coming on mainstream news.
[00:25:09.003 --> 00:25:12.025]  The media last week said, oh, it's all stage Republican lobbyists.
[00:25:12.385 --> 00:25:14.246]  Republican lobbyists are going, what are you talking about?
[00:25:14.426 --> 00:25:16.708]  They tried to blame the Libertarian Party of Austin.
[00:25:17.368 --> 00:25:20.250]  That's like two guys, you know, they're volunteers that run it.
[00:25:20.270 --> 00:25:21.250]  It's got a lot of members.
[00:25:21.730 --> 00:25:27.374]  With going to Lloyd Doggett's event, when it was only Democrats that got mailed the flyer.
[00:25:27.874 --> 00:25:31.356]  We know that because somebody here in this office, wife is a registered Democrat.
[00:25:33.607 --> 00:25:36.669]  So, I mean, it's incredible, folks.
[00:25:36.749 --> 00:25:37.750]  The people are mad.
[00:25:37.790 --> 00:25:38.811]  Aren't you mad out there?
[00:25:39.291 --> 00:25:40.492]  Aren't you sick of all this?
[00:25:41.092 --> 00:25:42.573]  Aren't you tired of what's happening?
[00:25:43.814 --> 00:25:58.144]  Aren't you tired of seeing your jobs being lost and your buying power going down and everything shutting down here in about $23.7 trillion that Bush and Obama sold us out for and now Obama's people want more because they're the ones that engineered all this?
[00:25:59.833 --> 00:26:04.936]  Yes, his management team are the very bankers that changed the laws in 96 through 99.
[00:26:05.156 --> 00:26:06.557]  That's admitted even by them.
[00:26:07.678 --> 00:26:08.999]  It's bipartisan looting.
[00:26:09.379 --> 00:26:10.359]  It's all a big joke.
[00:26:11.380 --> 00:26:13.061]  And here's the big news.
[00:26:14.242 --> 00:26:15.803]  People are saying, oh, settle down.
[00:26:15.983 --> 00:26:16.583]  Some people are.
[00:26:16.883 --> 00:26:27.310]  It's no big deal that YouTube now says your videos are racist and that they've banned a bunch of your videos and are probably going to ban your channel that reaches conservatively.
[00:26:28.348 --> 00:26:29.549]  A half million people a week.
[00:26:30.149 --> 00:26:34.430]  Now that's only one of many channels we've got, but it feeds all the other channels.
[00:26:34.451 --> 00:26:38.832]  People grab it off prisonplanet.tv, we put it there, people grab that and post it all over the world.
[00:26:39.633 --> 00:26:45.255]  Obama Deceptions had over 20 plus million views, but that's on a separate channel.
[00:26:46.297 --> 00:26:47.878]  We don't put all our eggs in one basket.
[00:26:48.419 --> 00:26:51.621]  And we support other people that upload our videos because of the censorship.
[00:26:51.641 --> 00:27:09.395]  But YouTube is saying that they took the videos down because if any of their brown shirt minions say that something's racist, when there's no mention of Obama being black, being white, being polka-dotted, what's crazy is they shouldn't take it down even if it is racist.
[00:27:10.424 --> 00:27:12.825]  It was not calling for violence, but it didn't even have that in it.
[00:27:13.185 --> 00:27:18.626]  These were calm videos where I said, hey folks, there's some links over here in the sidebar.
[00:27:20.606 --> 00:27:34.570]  We show you Cornyn and Perry and all these other Republicans being booed off by Republicans and Ron Paul being standing ovation at CPAC, the big Republican conference, a few months ago when he says we don't need to have more wars.
[00:27:35.490 --> 00:27:37.432]  You know, it's wrong to kill Iraqis.
[00:27:38.053 --> 00:27:44.300]  You see, what happens if Democrats see all the Republicans standing up going, we don't want to kill Iraqis, and cheering Ron Paul?
[00:27:45.001 --> 00:27:47.684]  We find out that we all love liberty and freedom together.
[00:27:48.064 --> 00:27:50.227]  We all find out the bankers own both parties.
[00:27:51.909 --> 00:27:53.611]  And those are the videos they're shutting down.
[00:27:54.807 --> 00:28:05.735]  They're not shutting down the spoof video that's got 150,000 views that I did Friday here on the TV show as the Joker, making fun of Obama, wanting to shut down the Obama Joker posters.
[00:28:06.155 --> 00:28:06.836]  No, they don't mind.
[00:28:07.656 --> 00:28:08.357]  They're leaving that up.
[00:28:08.737 --> 00:28:16.222]  What they don't want is where I'm calm, cool, and collected, going, hey, let's all be friends, Republicans and Democrats.
[00:28:16.262 --> 00:28:18.083]  Let's just abolish the Federal Reserve.
[00:28:18.324 --> 00:28:19.685]  Let's just audit it at least.
[00:28:20.585 --> 00:28:21.867]  Let's just come together.
[00:28:22.608 --> 00:28:23.649]  Let's all be friends.
[00:28:23.689 --> 00:28:24.990]  Can't we all just get along?
[00:28:25.210 --> 00:28:25.851]  Uh-uh!
[00:28:26.191 --> 00:28:27.112]  That is racist!
[00:28:27.153 --> 00:28:28.154]  See, that's what's incredible.
[00:28:28.454 --> 00:28:34.140]  But luckily, people have already copied those videos, so people are now going, this is the video that's racist?
[00:28:34.961 --> 00:28:40.027]  Because we have screenshots where they took it down, and we can point to people that posted it on their channels?
[00:28:41.209 --> 00:28:42.930]  They are scared of unity.
[00:28:43.450 --> 00:28:46.051]  They want to say, racist, now give me your guns.
[00:28:46.431 --> 00:28:47.631]  Racist, give me your paycheck.
[00:28:48.051 --> 00:28:50.992]  Racist, you're a racist if you don't do what I say.
[00:28:51.212 --> 00:28:52.433]  It's a new religion.
[00:28:52.713 --> 00:28:58.055]  They're just beating white liberals over the head and everybody else to submit to big government.
[00:28:58.735 --> 00:29:02.876]  Meanwhile, they're arresting the black people, putting them in prison, shooting them up with deadly vaccines.
[00:29:03.177 --> 00:29:04.017]  Business goes on.
[00:29:05.865 --> 00:29:10.826]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:29:11.066 --> 00:29:14.847]  Number one, new climate legislation could easily double or triple your electric bill.
[00:29:15.087 --> 00:29:20.688]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:29:20.988 --> 00:29:25.849]  It's true, total government control of electricity in the name of smart grid technology is coming.
[00:29:26.049 --> 00:29:32.410]  Number three, in some areas of the country the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:29:32.590 --> 00:29:35.811]  Number four, the hurricane and dangerous summer storm season is here again.
[00:29:35.811 --> 00:29:35.951]  I think?
[00:30:06.206 --> 00:30:08.809]  Hello, this is Alex Jones with some important questions.
[00:30:09.209 --> 00:30:14.174]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:30:14.555 --> 00:30:16.277]  My answer would be all I can get.
[00:30:16.597 --> 00:30:21.422]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:30:21.602 --> 00:30:22.563]  How much do you want?
[00:30:22.783 --> 00:30:23.524]  When do you want it?
[00:30:23.905 --> 00:30:25.506]  Now or after the battle starts?
[00:30:25.807 --> 00:30:26.627]  When will you need it?
[00:30:26.868 --> 00:30:28.890]  Can you buy it without proper identification?
[00:30:29.070 --> 00:30:30.151]  Will there be any food?
[00:30:30.391 --> 00:30:31.732]  Will it make your children sick?
[00:30:31.912 --> 00:30:36.995]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[00:30:37.175 --> 00:30:40.377]  You wipe out all these problems if you have a good food supply.
[00:30:40.778 --> 00:30:44.240]  Food is your ammunition to fight for your freedom and your life.
[00:30:44.580 --> 00:30:45.561]  How much will you need?
[00:30:45.801 --> 00:30:46.421]  We don't know.
[00:30:46.702 --> 00:30:47.622]  How much do you want?
[00:30:47.822 --> 00:30:48.563]  All you can get.
[00:30:48.743 --> 00:30:49.583]  I'm Alex Jones.
[00:30:49.844 --> 00:30:52.606]  I want all of you good guys to live to fight another day.
[00:30:52.886 --> 00:30:54.647]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[00:30:54.667 --> 00:30:55.588]  Again that number 1-800-409-5633.
[00:31:05.233 --> 00:31:09.237]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[00:31:09.477 --> 00:31:11.259]  Do you really know what's in your tap water?
[00:31:11.479 --> 00:31:19.768]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:31:20.008 --> 00:31:25.233]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:31:25.553 --> 00:31:27.175]  Now what are you going to do about it?
[00:31:27.395 --> 00:31:33.741]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:31:33.921 --> 00:31:44.691]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere and uses state-of-the-art carbon filtration, reverse osmosis, and ultra-violent light sterilization techniques.
[00:31:44.972 --> 00:31:45.492]  That's right.
[00:31:45.752 --> 00:31:48.055]  Clean water, right from the air you breathe.
[00:31:48.315 --> 00:31:49.896]  Order today by calling 1-800-691-8255.
[00:31:52.459 --> 00:32:10.330]  The illusion created by the power elite is a lie that covers even the food they want you to eat.
[00:32:10.471 --> 00:32:12.432]  Will you continue to be their profit center?
[00:32:12.532 --> 00:32:14.854]  Buying their processed food that makes you sick?
[00:32:14.874 --> 00:32:16.835]  Go to the doctor and buy their drugs?
[00:32:17.255 --> 00:32:18.616]  You don't have to cooperate.
[00:32:18.876 --> 00:32:19.917]  There is a solution.
[00:32:20.137 --> 00:32:28.162]  Inner Health Botanicals, a company that my wife and I just love, have been providing products for the last five years that give you the perfect solution to this madness.
[00:32:28.583 --> 00:32:35.647]  Try their Inner Food with 20 organic ingredients full of dense nutrition that gives you the energy you need and will keep you well.
[00:32:36.027 --> 00:32:41.671]  It even won the award for Best Superfood of 2009 from our friend Mike Adams, the health major.
[00:32:42.071 --> 00:32:47.655]  I love their Nutri-Cafe, great organic coffee infused with herbal extracts to boost your immune system.
[00:32:48.075 --> 00:32:51.880]  Try all of their truly honest products that will keep you alive and healthy.
[00:32:52.221 --> 00:32:59.190]  Go to enerfood.com or give them a call right now.
[00:32:59.210 --> 00:32:59.370]  866-762-9238.
[00:32:59.691 --> 00:33:03.015]  Click on their banner at infowars.com to see all the available discounts.
[00:33:06.847 --> 00:33:08.448]  Welcome, everybody, I'm Neil Cavuto.
[00:33:08.488 --> 00:33:11.950]  Well, from pushing and shoving to reports now of intimidation.
[00:33:12.471 --> 00:33:16.533]  Town hall tempers are flaring and now unions are mobilizing in Missouri.
[00:33:16.893 --> 00:33:22.617]  Protesters claim that union members were being led into town hall as they were locked out.
[00:33:23.157 --> 00:33:26.039]  My next guest says he got roughed up outside that meeting.
[00:33:26.460 --> 00:33:30.922]  Kenneth Gladney says that he was attacked while passing out Don't Tread on Me flags.
[00:33:31.343 --> 00:33:32.784]  He's joined by his attorney,
[00:33:33.874 --> 00:33:34.455]  David Brown.
[00:33:34.695 --> 00:33:36.176]  Gentlemen, welcome to both of you.
[00:33:37.457 --> 00:33:40.300]  Ken, first of all to you, how are you doing right now?
[00:33:42.782 --> 00:33:46.566]  I'm in some pain, but I'm okay.
[00:33:46.726 --> 00:33:47.026]  I'm okay.
[00:33:47.046 --> 00:33:53.993]  I'm still kind of shaking up and just kind of upset about the whole thing.
[00:33:54.013 --> 00:33:56.916]  Alright, Ken, can you tell me what happened?
[00:34:02.605 --> 00:34:03.907]  Welcome back ladies and gentlemen.
[00:34:03.947 --> 00:34:09.618]  You see the camera doesn't lie and the police arrested the thugs that attacked him.
[00:34:10.038 --> 00:34:13.725]  But what's sick is literally hundreds of reports are pouring in.
[00:34:14.810 --> 00:34:20.654]  Where you have ragtag libertarians, conservatives, liberals that have figured out Obama's a liar.
[00:34:20.995 --> 00:34:24.277]  People showing up to say Obama don't have indefinite detention.
[00:34:24.757 --> 00:34:25.798]  They're beating them up.
[00:34:26.158 --> 00:34:29.701]  Now if you don't want Obama to go into Pakistan, they run up and call you a racist.
[00:34:30.341 --> 00:34:33.343]  If you're black, they run up and scream racist and then beat you and then...
[00:34:34.329 --> 00:34:38.593]  Black people stand by clapping as white people beat black people and scream the n-word.
[00:34:38.633 --> 00:34:42.636]  I mean, these videos are coming out of women being attacked, savaged.
[00:34:43.136 --> 00:34:45.979]  In some cases, the police are backing up the union thugs.
[00:34:46.519 --> 00:34:48.821]  In other cases, they're doing the right thing.
[00:34:49.822 --> 00:34:51.123]  This happened outside St.
[00:34:51.163 --> 00:34:51.443]  Louis.
[00:34:51.463 --> 00:34:57.468]  Remember during the campaign we played the newscast where the police went on the news and said, if you talk bad about Obama, we're going to arrest you?
[00:34:57.488 --> 00:35:01.732]  I mean, that's 180 degrees the opposite of what our country's founded on.
[00:35:02.526 --> 00:35:06.407]  And I stood up to Bush when he had the free speech zones and tried to restrict free speech.
[00:35:06.867 --> 00:35:12.729]  I'm standing up against this now and I've made videos about how Republicans and Democrats are being booed off the stage.
[00:35:13.129 --> 00:35:14.149]  Americans are mad.
[00:35:14.790 --> 00:35:16.150]  We're going into a depression here.
[00:35:16.850 --> 00:35:23.512]  But the media only makes it about people protesting Democrats to get the two parties fighting with each other.
[00:35:24.712 --> 00:35:26.213]  Now I had two videos removed.
[00:35:27.608 --> 00:35:29.754]  That were viral on the front page of YouTube.
[00:35:30.416 --> 00:35:32.321]  Hundreds of thousands of hits a day is what they were getting.
[00:35:33.484 --> 00:35:34.925]  Hundreds of thousands of views a day.
[00:35:34.945 --> 00:35:40.510]  A lot of you probably saw it on the front page of YouTube yesterday, where I was pointing this out, saying, let's come together.
[00:35:40.990 --> 00:35:43.593]  People saying it's racist to not want a carbon tax.
[00:35:44.133 --> 00:35:49.417]  They're using a political weapon, creating racism, pointing it out, to get everybody fighting with each other.
[00:35:50.038 --> 00:35:51.899]  And most Obama supporters are waking up.
[00:35:51.919 --> 00:35:55.783]  His approval rating's gone from 84 down to the mid-40s now.
[00:35:56.103 --> 00:35:59.646]  The media spins it and says, well, it's at 50, but most polls show about 44 to 45.
[00:36:00.286 --> 00:36:01.648]  So they're panicking now.
[00:36:03.191 --> 00:36:07.255]  And most of his supporters are waking up, but a lot of them are getting aggressive.
[00:36:07.295 --> 00:36:13.120]  And folks, I've been running into longtime friends that suddenly look at me like I'm Adolf Hitler.
[00:36:14.161 --> 00:36:15.281]  I mean, and, and, and...
[00:36:16.405 --> 00:36:19.809]  I've had to stand up to them, and then they kind of shake out of it because they're so self-righteous.
[00:36:20.030 --> 00:36:32.244]  As soon as I stand up to them and say, you know I stood up against George Bush, you know that's a load of bull, you know you've been... Then they start kind of... And I go, this is a Don King fight, where the establishment owns both fighters, Republican and Democrat.
[00:36:32.425 --> 00:36:33.466]  But side issue.
[00:36:34.755 --> 00:36:49.848]  We found out that the Acorn Connected Groups, because we even see who's bragging they file complaints on their channels, we have them listed in the article up on InfoWars.com, we discovered they're filing fake complaints saying we're calling for violence and for hate crimes.
[00:36:50.734 --> 00:36:56.998]  We're not even talking about race in these videos, except saying let's all come together, black, white, everybody be friends.
[00:36:57.698 --> 00:36:58.699]  They don't want that.
[00:36:59.019 --> 00:37:00.480]  Now how telling is that?
[00:37:00.520 --> 00:37:06.203]  I want to go to Kenneth Gladney, and I appreciate his lawyer, David B. Brown.
[00:37:06.223 --> 00:37:08.645]  We had him on first, even before Fox and other channels.
[00:37:09.125 --> 00:37:11.087]  Friday, but there's been new development since then.
[00:37:11.728 --> 00:37:14.751]  Who wants to comment first on the points I made and then go through?
[00:37:15.211 --> 00:37:22.158]  Now it's clear we have White House memos saying, report on neighbors, tell us if anybody's criticizing Obama.
[00:37:22.999 --> 00:37:28.564]  They're saying people are on thin ice, talk show hosts may get shut down in press conferences.
[00:37:29.064 --> 00:37:31.046]  I mean, this is really starting to freak me out.
[00:37:31.527 --> 00:37:33.449]  Who'd like to comment on this craziness first?
[00:37:34.682 --> 00:37:41.131]  Well, you know, there's been a pattern of events last week and months before that.
[00:37:41.732 --> 00:37:49.604]  It's kind of ironic that over this past year there have been no real reports of violence at any Tea Party events.
[00:37:50.559 --> 00:37:59.327]  There's been no real reports of violence prior to last week of any violence at any town hall meetings held by any representatives.
[00:38:00.448 --> 00:38:11.759]  But then starting Tuesday, when HCAN, which is the Healthcare for America Now organization, which is comprised of ACORN and
[00:38:15.640 --> 00:38:29.713]  AFL-CIO, SEIU, and a number of other organizations have come down with a memo instructing activists to contact elected officials before events to plan ways to preempt any type of opposition.
[00:38:29.733 --> 00:38:33.937]  And when they say opposition, they mean people who want to exercise their freedom of speech.
[00:38:35.318 --> 00:38:40.183]  Once that went down, there's a report from the AP
[00:38:41.494 --> 00:38:50.081]  That David Axelrod and Jim Messina had traveled to the Capitol for their presentation to Democratic Senators regarding these town halls.
[00:38:50.602 --> 00:39:02.551]  The Senators saw videos of disruptions at events held by the House members and were told to organize these events more carefully, as well as work with labor unions and other friendly groups to generate enthusiasm.
[00:39:02.952 --> 00:39:07.335]  Then Messina comes out with and says, if you get hit, we will punch you back twice as hard.
[00:39:08.176 --> 00:39:10.178]  And this is only stirring up and inflaming
[00:39:10.874 --> 00:39:11.415]  I don't know.
[00:39:27.932 --> 00:39:36.778]  And they're also putting out videos since Doggett got confronted seven days ago, eight days ago, last Saturday, where they show Doggett and say it was all fake.
[00:39:37.058 --> 00:39:37.959]  There's one problem.
[00:39:38.559 --> 00:39:50.247]  I randomly, because I live in South Austin, Southwest Austin, I randomly, one of my dad's employees was there, who's a Democrat, she got a letter, and my neighbor was there grocery-stopping at Randall's and saw it.
[00:39:50.647 --> 00:39:51.688]  It wasn't staged.
[00:39:52.028 --> 00:39:54.450]  These were Austinites who were angry
[00:39:56.667 --> 00:39:58.048]  You know what's incredible about this?
[00:39:59.409 --> 00:40:03.172]  Is that they're now beating people up and the first report spun this...
[00:40:04.549 --> 00:40:17.356]  In a nebulous fashion, like it might have been your client's fault, and they're now trying to say your client attacked four people, even though there's multiple video angles of this, and the police arrested the people that cold-bloodedly attacked him.
[00:40:17.876 --> 00:40:29.683]  Tell us what happened to your client, Mr. Brown, who's about to be on with us, he's on with us right now, Kenneth Bladney, and then we'll get it directly from the person who was assaulted by people in their Union uniforms.
[00:40:30.327 --> 00:40:38.449]  Well, Kenneth was just trying to make a little money that day and he was out there selling these Gadsden flags, the Tea Party flags.
[00:40:39.450 --> 00:40:46.331]  Kenneth is, and they try to paint him as a conservative, and Kenneth is an independent.
[00:40:46.491 --> 00:40:48.372]  Kenneth has his own thoughts and an individual.
[00:40:48.812 --> 00:40:52.393]  He doesn't subscribe to the beliefs of any party.
[00:40:52.473 --> 00:40:55.094]  He's outside of that context there.
[00:40:56.283 --> 00:40:57.624]  Kenneth was just doing his job.
[00:40:57.664 --> 00:41:02.368]  He was viciously attacked by one member who called him the N-word.
[00:41:02.408 --> 00:41:10.094]  He went to the ground after he was punched and then he was pummeled by two other SEIU members and another person.
[00:41:10.774 --> 00:41:13.477]  And Kenneth weighs, I think, about 149 pounds.
[00:41:13.597 --> 00:41:25.386]  So when they spin it and they say that he attacked four people and they probably weigh an aggregate of over 800 pounds with eight arms to his two arms.
[00:41:26.007 --> 00:41:29.249]  When he's trying to make a living, they're the ones that have them playing passion.
[00:41:30.009 --> 00:41:32.010]  Kevin was there to try to make a living.
[00:41:32.070 --> 00:41:34.311]  So for them to... So that's another issue.
[00:41:34.331 --> 00:41:37.833]  The media, now that's clear, said he was handing out flyers with flags on them.
[00:41:38.853 --> 00:41:41.395]  He was there neutrally just selling some flags.
[00:41:41.815 --> 00:41:43.816]  It's like a guy selling hot dogs at the baseball game.
[00:41:43.836 --> 00:41:47.298]  That's like the guy that got killed at the G20 selling newspapers.
[00:41:48.157 --> 00:41:51.040]  And the cops got caught covering up when they beat his brains in.
[00:41:51.060 --> 00:41:53.223]  It's like the guy selling hot dogs.
[00:41:53.243 --> 00:41:55.986]  He might not even care if the Yankees or the Red Sox win.
[00:41:56.026 --> 00:41:57.448]  He just wants to sell his hot dogs.
[00:41:57.468 --> 00:41:58.309]  And that's where Kenneth was.
[00:41:58.329 --> 00:42:03.455]  And I think Kenneth could elaborate more on his mindset and what he saw.
[00:42:03.795 --> 00:42:06.156]  Let's bring Kenneth up, who is a black American.
[00:42:07.097 --> 00:42:09.958]  And man, these big guys, I mean, I'm a good sized guy.
[00:42:09.998 --> 00:42:14.361]  These were like huge guys, just are wailing and slamming him in the ground.
[00:42:14.381 --> 00:42:15.741]  Thank God.
[00:42:16.081 --> 00:42:16.842]  They were pretty big.
[00:42:16.862 --> 00:42:17.862]  They were pretty big guys.
[00:42:18.663 --> 00:42:20.003]  And screaming the N-word at you.
[00:42:20.043 --> 00:42:20.964]  Tell folks what happened.
[00:42:21.246 --> 00:42:29.750]  Yeah, well, like I stated before, I was there just setting up, getting ready to hand out my flags and my buttons and stuff like that.
[00:42:30.290 --> 00:42:41.655]  So one guy from the union, I was talking to a pastor's wife, and one guy from the union, he stepped up and said, who in the F is giving out this stuff here?
[00:42:42.116 --> 00:42:45.517]  And I said, sir, this is my merchandise, and would you like a flag?
[00:42:45.557 --> 00:42:46.638]  I even offered him a flag.
[00:42:52.265 --> 00:42:53.266]  Stay there, stay there, sir.
[00:42:53.307 --> 00:42:53.707]  We got a break.
[00:42:53.727 --> 00:42:54.969]  I want to come right back to you.
[00:42:55.470 --> 00:43:01.919]  Brutally, racially assaulted, and the media spun it, and now they're getting sued, and they're going to jail.
[00:43:05.728 --> 00:43:10.713]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:43:10.933 --> 00:43:14.717]  Number one, new climate legislation could easily double or triple your electric bill.
[00:43:14.958 --> 00:43:20.564]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:43:20.864 --> 00:43:25.729]  It's true, total government control of electricity in the name of smart grid technology is coming.
[00:43:25.929 --> 00:43:26.390]  Number three,
[00:43:26.830 --> 00:43:32.277]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:43:33.118 --> 00:43:35.781]  The hurricane and dangerous summer storm season is here again.
[00:43:36.042 --> 00:43:40.247]  Every year, thousands of families lose their power from weather-related outages.
[00:43:40.547 --> 00:43:44.172]  A solar power generator provides powerful backup insurance and peace of mind.
[00:43:44.392 --> 00:43:49.878]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[00:43:50.118 --> 00:43:54.682]  You can get more information at www.mysolarbackup.com.
[00:43:54.823 --> 00:43:56.364]  That's mysolarbackup.com.
[00:43:56.604 --> 00:43:58.927]  Remember, the government doesn't own the sun yet.
[00:43:59.167 --> 00:44:01.810]  So go to mysolarbackup.com or call toll free 877-327-0365.
[00:44:05.333 --> 00:44:06.433]  This is Alex Jones.
[00:44:06.713 --> 00:44:08.494]  Have you heard of the Millionaire Patriot?
[00:44:08.694 --> 00:44:09.374]  Well, you should.
[00:44:09.674 --> 00:44:13.916]  He has a free handgun and five days of firearms training waiting for you.
[00:44:14.156 --> 00:44:14.656]  That's right.
[00:44:14.976 --> 00:44:23.439]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[00:44:23.639 --> 00:44:24.900]  All for pennies on the dollar.
[00:44:25.000 --> 00:44:26.140]  Plus, if you act fast.
[00:44:26.340 --> 00:44:31.963]  The Millionaire Patriot will give you a free Springfield Armory XV pistol in the caliber of your choice.
[00:44:32.323 --> 00:44:38.847]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:44:39.227 --> 00:44:44.410]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:44:44.730 --> 00:44:45.891]  This is real.
[00:44:46.191 --> 00:44:46.931]  Don't miss out.
[00:44:47.251 --> 00:44:55.635]  Secure a Front Sight Defensive Handgun Course plus a 30 state concealed weapons permit for pennies on the dollar and get your free handgun.
[00:44:55.815 --> 00:44:57.996]  Go to FrontSight.com today.
[00:44:58.176 --> 00:45:01.677]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:45:01.878 --> 00:45:04.779]  Go to FrontSight.com for your training and free gun.
[00:45:05.984 --> 00:45:08.587]  Hello, this is Alex Jones with some important questions.
[00:45:08.987 --> 00:45:13.952]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:45:14.312 --> 00:45:16.054]  My answer would be all I can get.
[00:45:16.374 --> 00:45:21.199]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:45:21.379 --> 00:45:22.300]  How much do you want?
[00:45:22.540 --> 00:45:23.301]  When do you want it?
[00:45:23.661 --> 00:45:25.262]  Now or after the battle starts?
[00:45:25.542 --> 00:45:26.383]  When will you need it?
[00:45:26.623 --> 00:45:28.684]  Can you buy it without proper identification?
[00:45:28.824 --> 00:45:29.925]  Will there be any food?
[00:45:30.165 --> 00:45:31.506]  Will it make your children sick?
[00:45:31.686 --> 00:45:36.770]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[00:45:36.970 --> 00:45:40.152]  You wipe out all these problems if you have a good food supply.
[00:45:40.552 --> 00:45:44.015]  Food is your ammunition to fight for your freedom and your life.
[00:45:44.355 --> 00:45:45.336]  How much will you need?
[00:45:45.576 --> 00:45:46.196]  We don't know.
[00:45:46.476 --> 00:45:47.397]  How much do you want?
[00:45:47.597 --> 00:45:48.317]  All you can get.
[00:45:48.337 --> 00:45:49.358]  I'm Alex Jones.
[00:45:49.618 --> 00:45:52.379]  I want all of you good guys to live to fight another day.
[00:45:52.659 --> 00:45:54.440]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[00:45:54.460 --> 00:45:55.360]  Again, that number 1-800-409-5633.
[00:46:04.983 --> 00:46:10.150]  The illusion created by the power elite is a lie that covers even the food they want you to eat.
[00:46:10.290 --> 00:46:14.676]  Will you continue to be their profit center, buying their processed food that makes you sick?
[00:46:14.836 --> 00:46:16.679]  Go to the doctor and buy their drugs?
[00:46:17.119 --> 00:46:18.461]  You don't have to cooperate.
[00:46:18.721 --> 00:46:19.763]  There is a solution.
[00:46:19.983 --> 00:46:28.009]  Inner Health Botanicals, a company that my wife and I just love, have been providing products for the last five years that give you the perfect solution to this madness.
[00:46:28.410 --> 00:46:35.475]  Try their Inner Food with 20 organic ingredients full of dense nutrition that gives you the energy you need and will keep you well.
[00:46:35.876 --> 00:46:41.480]  It even won the award for Best Superfood of 2009 from our friend Mike Adams, the health major.
[00:46:41.920 --> 00:46:47.505]  I love their Nutri-Cafe, great organic coffee infused with herbal extracts to boost your immune system.
[00:46:48.085 --> 00:46:48.765]  I was a highway man.
[00:47:17.859 --> 00:47:18.679]  Ladies and gentlemen,
[00:47:44.281 --> 00:47:48.265]  President Obama wrote on letterhead from the U.S.
[00:47:48.305 --> 00:47:56.614]  Senate to his cousin Odinga, the Muslim leader who was attacking black Christians, the majority, black on black, to create violence.
[00:47:56.654 --> 00:48:01.560]  This is public, mainstream news, and to create riots to force the government to share power with him.
[00:48:04.110 --> 00:48:06.051]  I didn't believe a lot of the stuff I heard about Obama.
[00:48:06.331 --> 00:48:11.073]  I even got attacked for saying, oh, he's not that bad during the election until I started seeing him flip-flop.
[00:48:11.413 --> 00:48:12.814]  Now I'm telling you, I'm scared of him.
[00:48:13.014 --> 00:48:15.215]  These people mean business.
