[00:00:00.009 --> 00:00:02.670]  That's at SuperiorLifeWater.com.
[00:31:57.560 --> 00:32:03.023]  I'm not totally hostile to him by any means, except when it came to Afghanistan.
[00:32:03.798 --> 00:32:07.901]  And when he was talking about Iraq, this is what he had to say.
[00:32:08.522 --> 00:32:18.110]  I'm quoting now from his website, "...the scale of our deployments in Iraq continues to set back our ability to finish the fight in Afghanistan."
[00:32:18.710 --> 00:32:31.240]  Well, it's very clear since then that Obama means to not just to fight in Afghanistan, but to escalate in Afghanistan, and I think you've already said that
[00:32:31.638 --> 00:32:38.241]  That's a war which is going nowhere, and our presence is making things worse, not better.
[00:32:39.342 --> 00:32:47.165]  And any sane person looking at that war knows that you're even thinking of trying to finish it.
[00:32:48.106 --> 00:32:49.866]  First of all, you're not going to succeed.
[00:32:49.946 --> 00:32:50.847]  The Russians didn't.
[00:32:50.927 --> 00:32:51.807]  The British didn't.
[00:32:52.327 --> 00:32:54.689]  Nobody has ever succeeded in doing this.
[00:32:55.149 --> 00:32:57.650]  But if you're going to try, you're going to have to put
[00:32:58.342 --> 00:33:01.523]  There are vastly more troops there than there are now.
[00:33:02.264 --> 00:33:13.949]  We are destabilizing Pakistan, which is one of the shakiest constitutional governments in the region, and is one with nuclear weapons.
[00:33:14.009 --> 00:33:24.313]  So what we are doing has increased the chances that Islamic fundamentalists may end up with a state of Pakistan and nuclear weapons to boot.
[00:33:25.432 --> 00:33:32.326]  This is where I think Obama needs to be reined in, and I don't see that coming from Congress.
[00:33:32.918 --> 00:33:44.027]  No, I don't see that either, and I see it as a redistribution of forces, getting people out of an unpopular war in Iraq, only to put them into Afghanistan and create the same kind of quagmire situation.
[00:33:44.407 --> 00:33:46.168]  So we still have our presence in the Middle East.
[00:33:46.208 --> 00:33:49.811]  I mean, to me, this is really about building a Eurasian Union.
[00:33:49.971 --> 00:33:55.135]  It's what the PNAC guys talked about in Rebuilding America's Defenses, and having a presence there.
[00:33:55.736 --> 00:33:59.558]  I feel like Iran is probably the most unstable block there, but they haven't been able to
[00:34:00.419 --> 00:34:04.200]  Really propagate a reason for us to go in there with the American people.
[00:34:04.400 --> 00:34:06.700]  You know, again, Pakistan's being demonized at the moment.
[00:34:07.080 --> 00:34:13.682]  You know, most people in this country are still behind a war in Afghanistan and Iraq because they still think the boogeyman Osama Bin Laden is out there.
[00:34:13.722 --> 00:34:18.423]  They just reiterated that by putting out an audio tape of him taking the Palestinian plight.
[00:34:18.443 --> 00:34:28.345]  So anybody who disagrees with Israeli force on the Gaza Strip is automatically, you know, associated with the deepest, darkest villain there is out there.
[00:34:30.125 --> 00:34:31.226]  I don't see us leaving, Peter.
[00:34:31.706 --> 00:34:32.867]  I see us being there.
[00:34:32.907 --> 00:34:57.425]  Well, I think, eventually, I see us losing and leaving like Vietnam, but it took, you know, it took a decade, really, after America realized it couldn't win before the Vietnam War was over, and an awful lot of people died, and even Americans died under Nixon, who won on the campaign of ending the war.
[00:34:58.197 --> 00:35:09.181]  So, we're used to presidents who campaign on ending the war, who make things worse, and yes, I fear it here.
[00:35:09.341 --> 00:35:17.444]  I don't, by the way, I'm not accusing Obama of being a cynic who is out to deceive the American people.
[00:35:17.564 --> 00:35:20.605]  I just see him as somebody hedged in by these forces.
[00:35:22.120 --> 00:35:23.901]  Who want that war.
[00:35:23.921 --> 00:35:33.344]  The underlying fact is that American oil companies have now invested a great deal in the oil and gas of Central Asia.
[00:35:34.244 --> 00:35:37.486]  And they need ways of getting it out.
[00:35:37.686 --> 00:35:41.007]  And they have one insecure pipeline going through Georgia.
[00:35:41.047 --> 00:35:44.068]  And we saw the trouble there last fall.
[00:35:44.808 --> 00:35:50.090]  And they would like very much to have a gas and an oil pipeline through Afghanistan.
[00:35:51.273 --> 00:35:53.474]  It's not going to happen by putting U.S.
[00:35:53.534 --> 00:35:59.478]  troops there, because that is just increasing the tension in the country.
[00:36:00.179 --> 00:36:05.983]  And, you know, the P-Net goal has been bought by the U.S.
[00:36:06.083 --> 00:36:06.363]  Army.
[00:36:06.784 --> 00:36:13.529]  Their stated mission is full-spectrum dominance in the world, and part of that is this
[00:36:14.837 --> 00:36:26.026]  Continuity of Operations mission for the Army here is to have full spectrum dominance in the United States, because obviously if you want to dominate the world, you're going to have to dominate this country too.
[00:36:26.767 --> 00:36:37.175]  And these are still things that are not fully implemented, and what the people listening to this program have to do is to alert their friends and their neighbors
[00:36:37.867 --> 00:36:40.051]  That, you know, the real role of the U.S.
[00:36:40.151 --> 00:36:42.856]  Army is to protect the American people.
[00:36:43.016 --> 00:36:45.641]  It is not to control the American people.
[00:36:45.721 --> 00:36:49.949]  That's a revolutionary change and it should be challenged and it should be stopped.
[00:36:50.623 --> 00:36:51.784]  I absolutely agree with you there.
[00:36:52.664 --> 00:36:56.446]  My question is, do you think that conscription could actually happen under this administration?
[00:36:56.826 --> 00:37:03.549]  Tom Blankley, editor over at the Washington Times, has been parading around the media now for the last few years talking about conscription.
[00:37:03.929 --> 00:37:10.852]  I've got a clip of him on Pat Buchanan's MSNBC show, where he's talking about it in the summer of 07, saying, well, the time for that debate
[00:37:11.372 --> 00:37:13.893]  Isn't now, it'll be under a new administration.
[00:37:14.513 --> 00:37:17.754]  Lo and behold, we get that new administration in a week before they're inaugurated.
[00:37:17.794 --> 00:37:29.157]  The same guy, Blankly, puts out a book called American Grit, where again, he's calling for conscription of 18 to 25 year olds, three months in a boot camp, and two years mandatory service.
[00:37:29.257 --> 00:37:33.918]  And this is echoed by Obama's new chief of staff, Rahm Emanuel.
[00:37:33.958 --> 00:37:37.319]  He was just on C-SPAN over the summer talking about this same program.
[00:37:37.639 --> 00:37:38.559]  Is it going to happen?
[00:37:38.619 --> 00:37:40.240]  Is there a possibility of it happening here?
[00:37:40.902 --> 00:37:53.367]  Well, again, I'm reluctant to predict, because the big block to it happening is that we will go back to the America of the 1960s and you will have a new anti-war movement.
[00:37:53.967 --> 00:38:04.251]  And this was the big issue when America went into Iraq in 2003, and the generals were absolutely right.
[00:38:04.291 --> 00:38:05.431]  It should have been done with 500,000 troops.
[00:38:07.666 --> 00:38:17.955]  And Rumsfeld said, that's ridiculous, we can use our new sophisticated weapons and win it quickly with only 120,000.
[00:38:18.015 --> 00:38:21.838]  And of course, he was wrong.
[00:38:22.218 --> 00:38:28.283]  But the reason that they didn't want to go to 500,000 troops is that they would have needed to have a draft for that.
[00:38:29.044 --> 00:38:32.466]  And that's why I'm not going to predict that we'll get a draft.
[00:38:32.546 --> 00:38:34.208]  We're going to get people who say,
[00:38:34.821 --> 00:39:03.597]  If you want to maintain all these missions, you're going to have to have a draft, and particularly because one thing is certain is that Iraq has had very negative impact on recruitment for the army, but the civilian people are very terrified of creating a situation where, once again, they are forcing young Americans to protect themselves by getting involved in the anti-war movement.
[00:39:04.830 --> 00:39:06.430]  Peter, where can people get your information?
[00:39:06.470 --> 00:39:09.811]  I know you write for 911truth.org a lot, and you're on blogging.
[00:39:09.831 --> 00:39:13.012]  I have my own website.
[00:39:13.673 --> 00:39:14.833]  I used to put things in it.
[00:39:14.933 --> 00:39:32.758]  Now it's mostly just connection to... I've written quite a lot of articles on the internet recently, and my own website is basically just a kind of gateway to going into... it's hot-linked to all these other articles.
[00:39:33.414 --> 00:39:34.976]  Uh, be careful listening to this.
[00:39:35.056 --> 00:39:37.759]  It's simple, but it's important to get it right.
[00:39:38.440 --> 00:39:53.676]  www.peterdalescott.net Or, if you want, you could do .org, but do not do peterdalescott.com because that's a hostile network, and so please remember peterdalescott.net.
[00:39:54.588 --> 00:39:56.770]  Basically just attackers trying to use your good name?
[00:39:57.170 --> 00:39:59.232]  It's a funny, I don't quite know what it is.
[00:39:59.252 --> 00:40:05.238]  PeterDalescott.com was opened up in Kenya by a company that's now in Belize.
[00:40:05.739 --> 00:40:11.364]  The only things it has on it that have anything to do with me are negative reviews of my books.
[00:40:13.101 --> 00:40:17.383]  Yeah, how dare you try to expose light on the darkness over the past 30 to 40 years.
[00:40:17.403 --> 00:40:18.743]  You've been at this forever, haven't you?
[00:40:18.763 --> 00:40:20.564]  I mean, literally 30 or 40 years.
[00:40:20.584 --> 00:40:40.692]  Well, the Vietnam War started, and then because of that I saw a connection between the Vietnam War and... It really happened after Kennedy was assassinated, so I got drawn into that, and again, you know, I don't think we'll ever really have a chance of rational government in this country until
[00:40:41.385 --> 00:40:50.552]  People on high admit that Kennedy wasn't just killed by a disgruntled ex-Marine called Lee Harvey Oswald.
[00:40:50.672 --> 00:41:00.520]  Everybody knows it, but officially that even, you know, Nixon said that the Warren Report was the biggest scam, biggest hoax ever perpetrated on the American people.
[00:41:00.820 --> 00:41:03.642]  That's on one of the tapes we've got out of the White House.
[00:41:04.062 --> 00:41:08.986]  But officially, of course, it's still the official doctrine that Lee Harvey Oswald did it.
[00:41:09.186 --> 00:41:10.067]  He acted alone.
[00:41:10.552 --> 00:41:15.654]  And with 9-11, 19 crazy Arabs did it and they acted alone.
[00:41:17.475 --> 00:41:25.418]  You look at one of these, what I call deep events, deep events, the ones which we know there's more to it than meets the eye.
[00:41:26.418 --> 00:41:35.722]  I'm struck how much continuity of modus operandi there is between the Kennedy assassination and 9-11.
[00:41:36.886 --> 00:41:43.267]  And I have references to those articles that are on the internet that you can get through my website.
[00:41:44.181 --> 00:41:52.466]  Yeah, there definitely does seem to be a lot of interplayers, players involved in both the Kennedy assassination and 9-11 as well.
[00:41:52.726 --> 00:41:58.510]  And, you know, in the mainstream media, at least last week, they were saying, oh, 9-11 conspiracy theorists might be right.
[00:41:58.550 --> 00:42:04.894]  There's this new document where this mob boss takes entire credit through an FBI asset for the Kennedy assassination.
[00:42:04.914 --> 00:42:10.577]  Well, a mob boss couldn't call the Secret Service off the car, and you can see that in the video.
[00:42:10.597 --> 00:42:11.278]  So, obviously,
[00:42:11.598 --> 00:42:14.861]  He couldn't have planned the parade route, is the most obvious thing.
[00:42:15.041 --> 00:42:26.793]  The Bob Boss of Carlos Marcello, he could not have planned the parade route through Dallas, which took this unexplained little detour to go underneath the Texas School Book Depository.
[00:42:28.089 --> 00:42:32.371]  And again, he couldn't have called off those two Secret Service agents, and you can see that right in the video.
[00:42:32.431 --> 00:42:36.173]  Folks, come on, this is a government blackout from start to finish.
[00:42:36.993 --> 00:42:40.515]  Use some mob players to get rid of some people, to provide cover.
[00:42:40.535 --> 00:42:43.976]  You know, don't buy it if the mainstream media is putting it out there.
[00:42:44.016 --> 00:42:45.097]  Look into it for yourself.
[00:42:45.557 --> 00:42:47.317]  Final segment with Peter Dale Scott.
[00:42:47.938 --> 00:42:48.958]  It's the Alex Jones Show.
[00:42:49.038 --> 00:42:52.180]  Infowars.com, PrisonPlanet.tv, and TruthNews.us.
[00:43:07.503 --> 00:43:12.327]  The new multipolar inline and portable water system new from HempUSA.org.
[00:43:12.547 --> 00:43:20.954]  Now you can restructure and degas your water supply from any source rendering chemicals harmless to the human body by polarizing the molecular structure.
[00:43:21.174 --> 00:43:25.877]  Imagine a softer smoother water with increased oxygen that helps the nervous system and brain.
[00:43:26.098 --> 00:43:32.903]  There are no filters to buy and it can be taken anywhere making it our number one new product from HempUSA.org.
[00:43:33.143 --> 00:43:39.367]  This water system will descale all piping, hot water heaters, and appliances due to heavy buildup of hard minerals.
[00:43:39.527 --> 00:43:50.393]  Detoxification may result with restructured water by easily entering the fine capillaries of the human body by dissolving stones and toxins, with extreme positive effects on plants, vegetables, and fruits.
[00:43:50.453 --> 00:43:55.336]  Improved taste, color, size, and yield with approximately 30% less water usage.
[00:43:55.476 --> 00:43:58.998]  There are multiple sizes also available for farms and commercial use.
[00:43:59.218 --> 00:44:02.742]  Visit hempusa.org or call 908-691-2608.
[00:44:03.003 --> 00:44:05.566]  That's 908-691-2608.
[00:44:05.666 --> 00:44:13.695]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:44:14.056 --> 00:44:15.718]  The enemy struck America on September 11th.
[00:44:16.693 --> 00:44:17.713]  But who is the enemy?
[00:44:18.233 --> 00:44:18.734]  Bin Laden.
[00:44:19.034 --> 00:44:20.014]  This is his M.O.
[00:44:20.034 --> 00:44:21.334]  We have to look to the Middle East.
[00:44:21.414 --> 00:44:23.015]  We have to look to Osama Bin Laden.
[00:44:23.395 --> 00:44:30.137]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:44:30.537 --> 00:44:30.977]  Some U.S.
[00:44:31.017 --> 00:44:36.679]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:44:37.359 --> 00:44:40.842]  I'm aware that some Israeli citizens have been detained.
[00:44:40.862 --> 00:44:42.863]  Either you are with us, or you are with the terrorists.
[00:45:07.305 --> 00:45:10.609]  The United States is bankrupt and the bankers want you bankrupt also.
[00:45:10.849 --> 00:45:13.212]  How would you like to be debt free in 90 days?
[00:45:13.332 --> 00:45:13.992]  Guaranteed!
[00:45:14.393 --> 00:45:21.040]  DebtCrisisSolutions.com has helped tens of thousands out of debt since 1993 and will free you from the debt trap.
[00:45:21.320 --> 00:45:29.029]  DebtCrisisSolutions.com legally guarantees to put an end to wage garnishment, bank levies and liens and you won't pay one dime to creditors.
[00:45:29.269 --> 00:45:37.092]  With Debt Crisis Solutions Program, you'll also restore your credit history and be protected from legal action without making one more payment to creditors.
[00:45:37.352 --> 00:45:44.556]  DebtCrisisSolutions.com specializes in credit report restoration, preventing wage garnishment and bank levies, liens, and judgments.
[00:45:44.956 --> 00:45:47.097]  Doing nothing doesn't make the debt go away.
[00:45:47.277 --> 00:45:49.838]  Become debt-free in 90 days, guaranteed.
[00:45:50.018 --> 00:45:53.039]  Call Debt Crisis Solutions now for a free consultation at 718-615-0123.
[00:45:53.079 --> 00:45:53.259]  That's 718-615-0123.
[00:45:58.462 --> 00:46:03.385]  615-0123 or visit them online at DebtCrisisSolutions.com.
[00:46:03.486 --> 00:46:06.348]  That's DebtCrisisSolutions.com today!
[00:46:34.497 --> 00:46:35.897]  Alright folks, we are back!
[00:46:36.218 --> 00:46:38.919]  It is the Alex Jones Show, final segment with Peter Dale Scott.
[00:46:38.959 --> 00:46:41.320]  Peterdalescott.net or .org.
[00:46:43.393 --> 00:46:50.038]  In the last few minutes, Peter, I really want to get your take on some of the appointments, some of the administrative officials in this.
[00:46:50.098 --> 00:46:52.199]  I mean, we've got Rahm Emanuel, Chief of Staff.
[00:46:52.560 --> 00:46:55.382]  Gates is going to stay on for at least another year, they're telling us.
[00:46:55.422 --> 00:46:59.625]  John Kerry, just appointed as the head of the Foreign Relations Committee.
[00:46:59.645 --> 00:47:02.247]  What do you think about this new administration?
[00:47:03.347 --> 00:47:09.792]  Well, you know, I see a mix of hopeful and depressing features about it.
[00:47:10.328 --> 00:47:24.736]  I, you know, I'm 80 years old and I've seen a lot of new administrations and I expect them to lean in one direction to assure one constituency and another to reassure another.
[00:47:24.756 --> 00:47:32.180]  I think the one that was most predictable and upsets me the most is Rahm Emanuel as Chief of Staff.
[00:47:33.541 --> 00:47:39.064]  And that's because I've spent the last six or seven or eight years
[00:47:40.734 --> 00:47:45.758]  campaigning to have a genuine investigation of 9-11.
[00:47:47.700 --> 00:47:57.407]  And in 2006, we had a number of people in the Democratic primaries who were saying the same thing, and many of them could have been elected, like Colonel Bowman, for example.
[00:47:58.268 --> 00:48:07.215]  And Rahm Emanuel and Senator Schumer went full out to campaign against those people in the Democratic
[00:48:07.642 --> 00:48:19.367]  Primaries, even at the cost of losing the seat, because the candidate who defeated, the good candidate, was then defeated by a Republican.
[00:48:19.507 --> 00:48:33.793]  On the economic side, you have both Geithner, assuming that he's going to get confirmed, which is not clear, and I'm certainly not happy that Lawrence Summers is the chairman of the Economic Advisors
[00:48:34.298 --> 00:48:40.403]  But what's more important here is not the people that he put in to reassure the bankers, because he has to do that.
[00:48:40.984 --> 00:48:43.486]  It's the people he didn't put in to balance them.
[00:48:43.766 --> 00:48:59.158]  And we could have had Stiglitz, we could have had Paul Krugman, we could have had Jamie Galbraith, or a number of good Democratic economists who were challenging the way the bailout went.
[00:48:59.819 --> 00:49:02.201]  And I'm disappointed that they're not him.
[00:49:02.842 --> 00:49:19.810]  I do think that the abuses of the Justice Department will be basically, I have no opinions really about Holder, but underneath him, the new counsel of the legal office inside Justice, a very good person.
[00:49:21.391 --> 00:49:27.034]  I think the idea that they get someone from outside the CIA, Panetta, I think is a good idea.
[00:49:30.178 --> 00:49:41.788]  Democrats, in particular, have trouble getting their nominees for head of CIA approved, and Carter had this trouble, and Kennedy had this trouble.
[00:49:42.868 --> 00:49:44.430]  I think Panetta will get in.
[00:49:44.470 --> 00:49:56.200]  He is an outsider, and he will get further, I think, than Stanfield Turner was able to, who was Carter's nominee, who was a very honest man.
[00:49:56.864 --> 00:50:00.906]  And the CIA just ignored him, really, and ran circles around him.
[00:50:00.966 --> 00:50:03.307]  I think Panetta's probably a good choice.
[00:50:03.387 --> 00:50:06.308]  So, you see, I'm not giving a very clear picture.
[00:50:06.328 --> 00:50:08.869]  And I think we shouldn't have a clear picture.
[00:50:08.929 --> 00:50:23.656]  I think we've got to give Obama his hundred days and see if he can be like Roosevelt and really get the country started up again, or whether he's going to be like Jimmy Carter and just face confusion and chaos in Washington.
[00:50:24.636 --> 00:50:25.937]  Well, thank you so much for joining us.
[00:50:25.997 --> 00:50:30.739]  It's peterdalescott.org or peterdalescott.net.
[00:50:30.819 --> 00:50:32.099]  It's the Alex Jones Show.
[00:50:32.500 --> 00:50:33.440]  We'll be back after this.
[00:50:33.540 --> 00:50:39.223]  Infowars.com or join me right now via the streaming video at PrisonPlanet.tv.
[00:50:49.587 --> 00:50:50.748]  Thank you for listening to GCN.
[00:50:52.059 --> 00:50:54.381]  Be sure to visit GCNlive.com today!
[00:51:14.798 --> 00:51:15.738]  If you simply prepare.
[00:51:15.938 --> 00:51:18.860]  No one is going to take care of your family in the final equation but you.
[00:51:19.180 --> 00:51:26.063]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:51:26.163 --> 00:51:29.284]  And they do it at almost half the cost of last year's grocery prices.
[00:51:29.444 --> 00:51:29.704]  Call 1-800-409-5633.
[00:51:32.125 --> 00:51:34.367]  Or on the web, go to eFoodsDirect.com.
[00:51:34.587 --> 00:51:40.651]  Visit eFoodsDirect.com and look over the fine list of high-quality, prescribed, and dehydrated foods they have to offer.
[00:51:40.851 --> 00:51:44.594]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:51:44.614 --> 00:51:46.095]  Again, 1-800-409-5633, or on the web at eFoodsDirect.com.
[00:51:46.135 --> 00:51:46.575]  Take action today.
[00:51:46.595 --> 00:51:48.576]  The first step is getting storable food.
[00:52:00.094 --> 00:52:01.995]  Waging war on corruption.
[00:52:02.475 --> 00:52:05.436]  Alex Jones on the GCN Radio Network.
[00:52:17.059 --> 00:52:18.539]  We are back, ladies and gentlemen.
[00:52:18.899 --> 00:52:23.581]  The fourth and final hour of this worldwide broadcast.
[00:52:24.764 --> 00:52:25.744]  It's the Alex Jones Show.
[00:52:25.824 --> 00:52:26.684]  I am Jason Bermas.
[00:52:26.724 --> 00:52:27.905]  I've been sitting in all week.
[00:52:28.025 --> 00:52:29.785]  Don't worry, you get Alex back on Sunday.
[00:52:31.046 --> 00:52:35.267]  We're about to have Webster Griffin Tarpley on the program after 5 After.
[00:52:35.447 --> 00:52:45.249]  Author of the recent books, Barack H. Obama, The Unauthorized Biography, and of course, Barack Obama, The Postmodern Coup, which you can get at Infowars.com right now.
[00:52:47.125 --> 00:52:57.209]  I'm gonna fly through some phone calls in this first five minutes and then we'll take some phone calls for Webster Tarpley, hopefully on topic, at about 45 past the hour in the last 15 minutes.
[00:52:58.209 --> 00:53:01.510]  Alright, let's see where we're at.
[00:53:01.530 --> 00:53:03.491]  Let's go to John in Ohio.
[00:53:03.551 --> 00:53:04.411]  John, what's on your mind?
[00:53:05.512 --> 00:53:12.874]  Yes, Jason, before I get to my point, I'd ask that you have Tarpley talk about the Middle East.
[00:53:12.914 --> 00:53:14.535]  I heard his last Saturday program
[00:53:15.607 --> 00:53:18.910]  And he didn't talk about it, but sometimes there's a delay.
[00:53:18.930 --> 00:53:20.951]  They play the wrong week.
[00:53:21.212 --> 00:53:33.181]  But at any rate, I think that I appreciate a lot of what Professor Scott has done over the years, especially his research into the CIA involvement, the Kennedy assassination, and the Vietnam War.
[00:53:34.182 --> 00:53:41.527]  But I think he's typical of many people who are saying, please give him a chance after Obama has shown
[00:53:44.113 --> 00:53:51.456]  That he is nothing but a stooge for the worst Wall Street and war industry interest, and he's done this.
[00:53:51.957 --> 00:54:05.643]  He's shown where he's at, even before these rotten appointments like Gates and Dennis Ross, this ultra-Zionist, and the even more ultra-Zionist rabbit warmonger Rahm Emanuel.
[00:54:06.223 --> 00:54:10.265]  He's called for increasing the troops so long ago by 100,000.
[00:54:10.305 --> 00:54:10.805]  He's called for
[00:54:12.881 --> 00:54:18.684]  He's voted for every hundreds of billions of dollars for this rotten war against Iraq.
[00:54:19.605 --> 00:54:30.691]  He's voted for the FISA, spying, or the negation of the FISA, and giving total immunity to Bush, a reinstatement of the Patriot Act.
[00:54:31.112 --> 00:54:40.537]  We know where he stands, and I think people are going to have to, I don't know if it's too late, at his inauguration, punch this bubble, this cult-like Kool-Aid Jim Jones bubble around him,
[00:54:41.300 --> 00:54:56.661]  And especially in this latest genocide and ethnic cleansing that he is supporting, not only by his silence, but trotting out his surrogate David Axelrod to justify the genocide that Israel is perpetrating against
[00:54:57.364 --> 00:54:59.025]  I guess the poor Palestinian people.
[00:54:59.045 --> 00:55:06.730]  Well, I don't think there is much of an argument against the fact that he's put in a hawk-like administration.
[00:55:06.770 --> 00:55:10.733]  Rahm Emanuel is extremely hawk-like.
[00:55:11.033 --> 00:55:15.476]  You know, it's just people like Peter Del Scott, people like Ray McGovern.
[00:55:15.636 --> 00:55:16.917]  They're left-leaning.
[00:55:16.937 --> 00:55:22.721]  They're still able to get on stage with the likes of Michael Moore at some of these book signings.
[00:55:22.741 --> 00:55:23.721]  I don't think he's left-leaning.
[00:55:25.066 --> 00:55:39.374]  To make excuses for this guy, there are people on the genuine left like WSW.org or even Counterpunch.com, the Coburn site.
[00:55:40.395 --> 00:55:45.057]  And these people are totally opposed from the point of view of the left.
[00:55:45.618 --> 00:55:53.122]  And I think unless people don't keep on saying, give him a chance when he's leading us into even bigger wars,
[00:55:53.735 --> 00:55:54.095]  I think?
[00:56:08.792 --> 00:56:10.613]  Insight war against Iraq, Iran...
[00:56:38.872 --> 00:56:40.213]  And this isn't even the cover of Spider-Man.
[00:56:40.273 --> 00:56:42.395]  Right here is the new global elite, Obama.
[00:56:42.555 --> 00:56:48.861]  But on the cover of Spider-Man, and it sells out in less than a day, I gotta buy a comic book that has a price tag of 4 bucks for 80 on eBay?
[00:56:49.702 --> 00:56:52.944]  Yeah, it's pretty dangerous, this cult-like Obama mentality.
[00:56:52.964 --> 00:56:54.546]  We'll be back with Webster Griffin Tarpley.
[00:56:54.566 --> 00:56:56.788]  It's the Alex Jones Show, InfoWars.com.
[00:57:08.248 --> 00:57:08.708]  Attention!
[00:57:09.029 --> 00:57:11.710]  This is an extremely urgent self-reliant news bulletin.
[00:57:12.070 --> 00:57:18.514]  If you have ever wanted to produce your own cheaper-than-dirt survival food, this is going to be the most important message you will ever hear.
[00:57:19.155 --> 00:57:19.875]  Curious why?
[00:57:20.636 --> 00:57:30.562]  This network has just learned of a new video course that reveals the secrets of how to safely prepare and store all types of survival foods in an event of social unrest and food shortages here in the U.S.
[00:57:31.082 --> 00:57:33.485]  Grain shortages and hunger are spreading across the globe.
[00:57:33.805 --> 00:57:35.887]  Will troops guard the food supplies in the U.S.
[00:57:35.927 --> 00:57:36.408]  this fall?
[00:57:36.909 --> 00:57:37.429]  Don't wait.
[00:57:37.830 --> 00:57:41.453]  Learn the food shortage skills that can keep you and your family alive in a crisis.
[00:57:41.794 --> 00:57:44.617]  Get the details at FoodShortageUSA.com.
[00:57:45.117 --> 00:57:46.699]  That's FoodShortageUSA.com.
[00:57:47.820 --> 00:57:52.123]  Or you can call toll-free 877-327-0365.
[00:57:52.523 --> 00:57:53.844]  Don't wait for empty shelves.
[00:57:54.324 --> 00:57:57.586]  Go to foodshortageusa.com while you still have time.
[00:57:58.186 --> 00:58:04.229]  www.foodshortageusa.com or toll-free at 877-327-0365.
[00:58:04.249 --> 00:58:06.691]  Act now!
[00:58:06.711 --> 00:58:14.035]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:58:14.415 --> 00:58:16.096]  The enemy struck America on September 11th.
[00:58:17.034 --> 00:58:18.115]  But who is the enemy?
[00:58:18.575 --> 00:58:19.096]  Bin Laden.
[00:58:19.396 --> 00:58:20.296]  This is his ammo.
[00:58:20.336 --> 00:58:21.677]  We have to look to the Middle East.
[00:58:21.738 --> 00:58:23.419]  We have to look to Osama Bin Laden.
[00:58:23.739 --> 00:58:30.504]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:58:30.884 --> 00:58:31.345]  Some U.S.
[00:58:31.385 --> 00:58:37.009]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:58:37.709 --> 00:58:41.172]  I'm aware that some Israeli citizens have been detained.
[00:58:41.192 --> 00:58:43.374]  Either you are with us, or you are with the terrorists.
[00:59:07.495 --> 00:59:13.138]  Doctors around the world claim that cancer and other diseases cannot live in a pH-balanced alkaline environment.
[00:59:13.338 --> 00:59:18.480]  But as you know, most people are overly acidic due to stress, acidic diet, and lack of exercise.
[00:59:18.760 --> 00:59:23.842]  pH balance is the foundation of energy abundance and perfect health, as well as prevention of disease.
[00:59:24.142 --> 00:59:27.704]  People who alkalize the water they drink experience normalized blood sugar.
[00:59:27.984 --> 00:59:29.705]  Mental clarity and loss of weight.
[00:59:30.025 --> 00:59:32.766]  It was intended for human beings to drink alkaline water.
[00:59:32.986 --> 00:59:36.027]  But due to modern way of life, most people are overly acidic.
[00:59:36.267 --> 00:59:39.789]  The fact is that disease simply cannot exist in an alkaline environment.
[00:59:40.049 --> 00:59:44.591]  Fat accumulates if a person consumes too much acid on a regular basis and doesn't neutralize it.
[00:59:44.871 --> 00:59:45.651]  Do your part.
[00:59:45.911 --> 00:59:48.172]  Alkalize and supercharge your body now!
[00:59:48.532 --> 00:59:54.655]  AlkaVision Plasma pH Drops contain a special mineral salt concentrate that raises the pH of the water you drink
[00:59:54.975 --> 00:59:56.096]  All right, folks, we are back.
[00:59:56.116 --> 00:59:57.297]  It is the Alex Jones Show.
[00:59:57.317 --> 00:59:58.958]  I'm Jason Bermas, sitting in all week.
[00:59:59.019 --> 01:00:00.600]  Remember, Alex will be back on Sunday.
[01:00:24.821 --> 01:00:25.561]  I'm a filmmaker.
[01:00:26.202 --> 01:00:28.703]  I've put together quite a few 9-11 documentaries.
[01:00:28.763 --> 01:00:33.905]  My latest being Fabled Enemies really goes into the international intelligence organization that carried out 9-11.
[01:00:34.145 --> 01:00:39.747]  Of course, we have new 9-11 documents, many still being withheld, but released at the end of this presidency.
[01:00:40.087 --> 01:00:43.049]  All the transcripts from the declassified
[01:00:44.329 --> 01:00:45.289]  Interviews that they held.
[01:00:45.309 --> 01:00:50.291]  You can get Fabled Enemies right now at InfoWars.com or become a PrisonPlanet.TV subscriber.
[01:00:50.651 --> 01:00:55.753]  See all of my films, all of Alex's films, and this broadcast's last two hours via the web.
[01:00:56.353 --> 01:01:00.115]  Alright, we are now joined with perhaps Obama's harshest critic.
[01:01:01.525 --> 01:01:06.527]  Webster Griffin Tarpley, author and lecturer, and he's got two books out right now about Obama.
