[00:00:00.784 --> 00:00:02.966]  He's the T-Rex of political talk.
[00:27:08.809 --> 00:27:27.641]  Also, these threat fusions, FEMA centers, they're building separate command centers in every city and then in even rural areas in the counties, where the local police departments, it'll even be two or three counties or several cities, move into one building with the feds and the National Guard, which has now been federalized under
[00:27:29.648 --> 00:27:35.592]  What Homeland Security has openly announced, 20,000 regular troops to be on the streets, the National Guard to now be totally federal.
[00:27:35.952 --> 00:27:40.615]  Governors, it says, serve at their pleasure as dual-hatted officers of the U.S.
[00:27:40.695 --> 00:27:41.236]  military.
[00:27:42.216 --> 00:27:50.202]  And so this is a NORTHCOM military dictatorship over the United States with clergy response teams and other community leaders.
[00:27:50.622 --> 00:27:54.925]  They're controlling the population, telling them that they can trust the military.
[00:27:55.905 --> 00:27:58.887]  Now, I mean, that's like right out of Red Dawn or something.
[00:27:58.907 --> 00:28:03.331]  That's really what happened in the Soviet Union and Nazi Germany and East Germany under Mao Zedong.
[00:28:03.371 --> 00:28:06.933]  This is the classic, most hardcore system.
[00:28:07.414 --> 00:28:13.278]  In Germany, they had clergy leaders and others tell people to go to the work camps for their safety.
[00:28:14.139 --> 00:28:17.041]  You know, they don't announce this is a concentration camp or even a death camp.
[00:28:17.301 --> 00:28:18.622]  They go, oh, it's for your safety.
[00:28:18.642 --> 00:28:19.683]  Well, there's been some rioting.
[00:28:19.963 --> 00:28:24.487]  So with that background, Congressman Hamburg, can you specifically speak to what I was just talking about?
[00:28:26.229 --> 00:28:41.213]  Well, you know, again, one of the things that Ron Paul points out is that in Iceland and Greece, we have already had citizen riots in response to the economic meltdowns that are occurring.
[00:28:42.374 --> 00:28:53.017]  And of course, the last time I was on with you, it was the day after Representative Brad Sherman had stood up on the House floor
[00:28:53.935 --> 00:29:13.722]  And I think in a one-minute speech he had talked about how he had been warned by administration officials, and this was later corroborated by, I think it was Senator Imhoff, that threats were actually being made that martial law could be instituted if the bailout bills weren't passed.
[00:29:14.163 --> 00:29:20.745]  So we've got that, we've got what you mentioned about the battle-hardened brigades
[00:29:21.401 --> 00:29:23.462]  Uh, now being stationed in the United States.
[00:29:23.482 --> 00:29:28.384]  There's a brigade now, I believe they're still stationed in Georgia, although they may have been moved to Colorado.
[00:29:28.944 --> 00:29:50.612]  And plans, uh, uh, currently being implemented to install two more brigades of, uh, of soldiers who are trained in, uh, containing civil unrest and, uh, checkpointing, uh, transportation facilities and, you know, basically, uh, dealing with, uh, civilian disorder.
[00:29:51.334 --> 00:29:52.295]  Locking down cities.
[00:29:52.335 --> 00:29:54.076]  Let me just add the caveat to back you up.
[00:29:54.637 --> 00:29:57.940]  This third brigade, and now they've actually expanded it to four.
[00:29:58.840 --> 00:30:01.383]  And then suddenly they're saying maybe they're going to double that in a year.
[00:30:01.463 --> 00:30:01.703]  So it's 20,000, 40,000.
[00:30:02.003 --> 00:30:04.906]  They've got to be combat ready, they're saying.
[00:30:06.027 --> 00:30:11.191]  The Army War College came out and said that their new mission is engaging the American people for civil unrest.
[00:30:11.211 --> 00:30:14.774]  Police agencies announced, like Phoenix, we're ready to do battle with you.
[00:30:15.355 --> 00:30:17.757]  So just amazing declarations, really a war
[00:30:18.397 --> 00:30:37.061]  against the people and this third brigade is the cream of the army from Fallujah, from areas of Baghdad, where as you just said, where they lock people down, so they have done the raids in homes, the gun confiscations, they are bringing the cream as the cadre to train the other brigades.
[00:30:37.721 --> 00:30:38.561]  Please comment on that.
[00:30:39.981 --> 00:30:45.443]  Well, I'm not sure what to say about it, it's very frightening.
[00:30:45.683 --> 00:30:47.323]  Another thing I want to throw in there
[00:30:48.015 --> 00:31:13.771]  Is that since at least September 14, 2001, a few days after the so-called 9-11 terrorist attack, the United States has been under a state of national emergency, which allows the federal government to put into place these continuity of government provisions, which allow for martial law to be instituted.
[00:31:14.272 --> 00:31:15.572]  Now, the last time
[00:31:16.912 --> 00:31:22.555]  That state of national emergency was reinstituted, was on August 28th of 2008.
[00:31:24.616 --> 00:31:35.503]  I have heard nothing that indicates to me, and I keep looking for it and I keep asking about it, that that state of emergency has been rescinded by President Obama.
[00:31:36.143 --> 00:31:46.589]  As far as I know, this country is now in its, well I guess it's still the seventh year, but getting close to the eighth year of a continuous
[00:31:47.253 --> 00:31:55.115]  Continually reinstituted on an annual basis, State of National Emergency.
[00:31:55.855 --> 00:32:11.318]  The Congress, when a State of National Emergency is declared under United States law, Congress is supposed to reconsider that State of Emergency on a six month basis and either rescind it or continue it.
[00:32:11.898 --> 00:32:15.379]  That has never occurred and we're talking about now
[00:32:16.175 --> 00:32:17.635]  You know, seven or eight years.
[00:32:18.656 --> 00:32:45.801]  So, for people to believe that this country is operating in a democratic framework when we're under a state of emergency with continuity of government procedures in effect and brigades of the Northern Command within the continental United States with posse comitatus basically having been, you know, thrown out the window with a continuation of rendition and, you know, all the rest of this stuff, you know,
[00:32:46.941 --> 00:32:57.940]  I don't know what people are smoking, but they should start to wake up and smell the reality of what we're dealing with here.
[00:32:59.062 --> 00:33:03.385]  Congressman, I'm always impressed by how informed you are.
[00:33:03.826 --> 00:33:15.915]  Probably next to Ron Paul, you're about the only person I get on air who is always aware of every point I bring up, every news article I bring up, because I'm constantly trying to keep track three, four hours a day, and I don't find half the stuff.
[00:33:15.935 --> 00:33:19.578]  You know, I find it later, and I'm always angry, because so much bad is happening.
[00:33:19.778 --> 00:33:21.379]  People think I'm putting a bad face on things.
[00:33:21.419 --> 00:33:27.284]  No, it's far worse than I always predict, looking at the evidence, than it turns out it really was.
[00:33:29.005 --> 00:33:51.958]  That said, did you see one of the former, did you see the article where one of the former Fed Governors told Bloomberg that other Fed members he knows that are on the Board of Governors now are calling the New York Fed and the private Federal Reserve Board and saying let us know what's happening with the bailout and they tell them War Powers Act has been enacted
[00:33:53.174 --> 00:33:57.595]  We are under martial law, and so we don't even have to tell you that.
[00:33:58.195 --> 00:34:10.439]  And then that dovetails with Congressman Sherman and others we've interviewed here, and Senator Inhofe, on record, saying that they were threatened with physical martial law on October 1st, 2nd, and 3rd if they didn't pass the bailout.
[00:34:10.499 --> 00:34:16.101]  So clearly, with that national emergency, integrated with the John Warner Defense Authorization Act, PDD 51,
[00:34:17.661 --> 00:34:28.264]  enemy, combatant designations, the Military Commissions Act, with all of this nexusing in, we are under the military dictatorship of NORTHCOM.
[00:34:28.344 --> 00:34:29.664]  I mean, there's no other way to cut it.
[00:34:31.045 --> 00:34:37.847]  No, and it's in direct violation of statutes that have been part of this country for 200 years.
[00:34:38.687 --> 00:34:45.749]  But, unfortunately, the great majority of our population is blissfully unaware, and what we need is a
[00:34:47.702 --> 00:35:07.967]  There's a huge number of Paul Revere's out there riding around saying that the fascists have come and they have alighted in our cities and our towns and they are robbing this country of whatever hope of liberty that we ever hope to exercise as citizens.
[00:35:09.667 --> 00:35:16.209]  I just hope there's more programs like yours out there and that people will start to wake up.
[00:35:17.421 --> 00:35:21.907]  As one of our great patriots said, eternal vigilance is the price of liberty.
[00:35:23.149 --> 00:35:27.414]  Without an informed public, democracy is dead.
[00:35:28.175 --> 00:35:31.399]  Well, I agree with you and Congressman, in the last few minutes we have with you.
[00:35:33.182 --> 00:35:34.644]  Let's put the cherry on top here.
[00:35:37.008 --> 00:35:38.230]  We're under the War Powers Act.
[00:35:38.250 --> 00:35:39.171]  We're under NORTHCOM.
[00:35:40.092 --> 00:35:42.696]  Previously, they would have a CENTCOM.
[00:35:43.638 --> 00:35:45.200]  They would have a SOUTHCOM.
[00:35:45.300 --> 00:35:49.626]  They would have areas that were under the military control in the empire.
[00:35:50.227 --> 00:35:53.311]  And now we have NORTHCOM over the heart of the empire, the homeland.
[00:35:53.752 --> 00:35:54.793]  I mean, look at all these terms.
[00:35:54.813 --> 00:35:55.754]  Look at the nomenclature.
[00:35:55.794 --> 00:35:57.476]  This is a long strategic program.
[00:35:57.696 --> 00:36:02.662]  We know these FEMA camps didn't just pop up this week as they're saying, oh, for the economic emergency.
[00:36:02.922 --> 00:36:08.989]  They've been slowly preparing for this for decades with the shadow government, the parallel government, the national security government.
[00:36:10.129 --> 00:36:13.391]  The National Security Dictatorship that Peter Dale Scott talks so much about.
[00:36:13.851 --> 00:36:15.692]  Isn't Obama the cherry on top?
[00:36:15.732 --> 00:36:16.773]  The messianic leader.
[00:36:16.953 --> 00:36:17.853]  We're in a crisis.
[00:36:17.873 --> 00:36:19.274]  This unpopular president has left.
[00:36:19.594 --> 00:36:20.315]  He comes in.
[00:36:20.395 --> 00:36:20.955]  He's slick.
[00:36:21.015 --> 00:36:21.555]  He loves us.
[00:36:21.595 --> 00:36:22.095]  He cares.
[00:36:22.416 --> 00:36:23.916]  But he needs dictatorial power.
[00:36:24.236 --> 00:36:25.337]  They're putting up billboards.
[00:36:25.377 --> 00:36:30.760]  They're running government PSAs about him, like he's God, saying join his USA.
[00:36:31.400 --> 00:36:32.321]  Well, who could do it better?
[00:36:32.341 --> 00:36:35.423]  It would have to be somebody who met the qualifications.
[00:37:01.758 --> 00:37:03.198]  The way that Barack Obama does.
[00:37:03.298 --> 00:37:13.260]  And again, I think anyone with a critical mind has to ask themselves, where did this man come from?
[00:37:13.800 --> 00:37:25.902]  You know, as wonderful as he appears and intelligent and all the rest, you don't go from the Illinois State Senate to the President of the United States unless you've got some very extraordinary backing.
[00:37:26.822 --> 00:37:30.803]  And there was somewhere along the line in the Barack Obama story, and again, I go back
[00:37:31.707 --> 00:37:35.789]  Business International Corporation, which is where Obama went after Columbia.
[00:37:36.329 --> 00:37:39.690]  Which, you know, you can look it up in Wikipedia and they'll tell you it's the CIA front.
[00:37:40.031 --> 00:37:47.474]  There was some point at which Obama was recruited and trained to be a certain type of political figure.
[00:37:47.594 --> 00:37:57.638]  And I'm not saying that when they trained him, you know, back, you know, when he had just finished undergraduate school, before he even went to Harvard, that they knew that he would be this person.
[00:37:57.678 --> 00:38:00.099]  I think the CIA recruits and trains
[00:38:01.063 --> 00:38:10.986]  Scores, if not hundreds of young people for these types of jobs, and they don't know exactly who is the one that's going to emerge.
[00:38:11.046 --> 00:38:12.067]  They've got a pool of candidates.
[00:38:12.087 --> 00:38:20.749]  You know, Bill Clinton was recruited by the British CIA Section Chief, who now, from our own research, ran the Kennedy assassination.
[00:38:21.270 --> 00:38:22.890]  And that's now declassified.
[00:38:23.110 --> 00:38:25.251]  So we know Clinton and Hillary were both CIA.
[00:38:25.651 --> 00:38:26.971]  It's funny you bring that up.
[00:38:29.440 --> 00:38:30.861]  I didn't know this until about a week ago.
[00:38:30.921 --> 00:38:38.303]  Did you know that Obama's first job after college was with Henry Kissinger at Kissinger and Associates?
[00:38:38.623 --> 00:38:39.523]  That's above CIA.
[00:38:39.643 --> 00:38:46.186]  I mean, this is the guy who's kind of the gopher for the ultra-elite over every major president since Richard Nixon.
[00:38:46.226 --> 00:38:55.769]  I mean, can you specifically... I mean, is that a good thing on Obama's resume that the uber gopher of the globalist was his handler out of college?
[00:38:57.099 --> 00:39:01.202]  Well, no, but it tells you a lot about who Barack Obama is.
[00:39:01.982 --> 00:39:13.610]  We saw the confirmation of that when Obama became president, and we watched him pick the people who would surround him in his cabinet.
[00:39:14.271 --> 00:39:22.376]  And a lot of people said, well, he's just got the old LBJ strategy of it's better to have ball inside the tent than outside the tent.
[00:39:24.212 --> 00:39:33.017]  You know, there's just too many globalists, too many corporatists, too many imperialists in the cabinet to make you believe.
[00:39:33.137 --> 00:39:38.359]  I mean, you just have to be a Pollyanna to believe that this is going to end well.
[00:39:39.160 --> 00:39:42.161]  Congressman, give out your website for folks that want to visit.
[00:39:42.201 --> 00:39:46.103]  Yes, voiceoftheenvironment.org.
[00:39:46.924 --> 00:39:47.984]  Voiceoftheenvironment.org.
[00:39:48.044 --> 00:39:50.686]  We'll put that up on the television screen for folks.
[00:39:51.006 --> 00:39:52.086]  Voiceoftheenvironment.org.
[00:39:52.506 --> 00:39:53.147]  In closing,
[00:39:54.646 --> 00:39:57.128]  You're still pushing to bring Bush to justice.
[00:39:57.188 --> 00:39:58.789]  I mean, that's one of the big things with Obama.
[00:39:59.509 --> 00:40:00.590]  He's not saying a peep.
[00:40:00.650 --> 00:40:15.440]  In fact, in his speech after he was sworn in, he turned to Bush and thanked him for the great job he'd done, which I thought was thoroughly disgusting after he talked about how evil Bush was and ran on Bush's crimes, only to flip-flop and wallow in all of them, and it seems to accelerate them.
[00:40:15.460 --> 00:40:23.025]  So, your final comments on bringing Bush to justice and how that segues into, isn't that another big test of Obama?
[00:40:23.505 --> 00:40:27.768]  Will he do anything to anybody in the Bush Administration, or will he protect them?
[00:40:29.490 --> 00:40:40.438]  Well, you know, the question I have is how much political capital will Obama expend to stop an investigation and a prosecution?
[00:40:40.918 --> 00:40:47.383]  I mean, we're already seeing the beginnings of that with this whole issue around Karl Rove and Harriet Meyers, and we found out that
[00:40:47.915 --> 00:41:10.612]  Fred Fielding, I think it was on January 16th, just before the end of the Bush administration, wrote letters to Karl Rove's attorney and Harriet Meyer's attorney informing them that they had full immunity in perpetuity for any prosecution for actions they had taken.
[00:41:11.113 --> 00:41:12.814]  So it looked as if
[00:41:14.741 --> 00:41:31.592]  Bush and his people are operating on this whole new theory, which has never really been tested in American history, that a president can continue, you know, it's almost like, you know, exerting power from beyond the grave.
[00:41:31.832 --> 00:41:43.560]  I mean, here is someone who has no constitutional authority anymore, basically telling the government that you cannot touch people who served in my administration.
[00:41:44.176 --> 00:41:47.319]  So in your words, is Obama already protecting Bush?
[00:41:48.119 --> 00:41:48.399]  Go ahead.
[00:41:48.479 --> 00:41:49.380]  Excuse me?
[00:41:49.841 --> 00:41:51.702]  Clearly it looks like Obama is going to protect Bush.
[00:41:54.524 --> 00:41:54.985]  I don't know.
[00:41:55.905 --> 00:41:56.266]  I don't know.
[00:41:56.386 --> 00:42:01.510]  All I'm saying is that I don't think Obama will expend a lot of political capital to fight.
[00:42:02.270 --> 00:42:11.177]  You know, say if Congress comes up with a commission, which is what this guy Steve Cohen, who's a congressman from Memphis, Tennessee, is talking about.
[00:42:11.237 --> 00:42:12.138]  You know, they're going to file
[00:42:12.500 --> 00:42:20.802]  They're going to file a bill, and they're going to try to set up a commission whose purpose is to investigate and perhaps prosecute the crimes of the Bush administration.
[00:42:21.062 --> 00:42:22.302]  We'll see how far that goes.
[00:42:24.502 --> 00:42:25.202]  Absolutely.
[00:42:25.542 --> 00:42:28.383]  I think it's worth looking at Steve Cohen though.
[00:42:28.463 --> 00:42:32.504]  I saw him on TV last week, and I've got to say, the guy's a straight shooter.
[00:42:33.304 --> 00:42:39.825]  And I don't think John Conyers, you know, it's going to come through the Judiciary Committee, and I don't see John Conyers stopping it.
[00:42:40.535 --> 00:42:44.018]  Alright, we're going to get Congressman Cohn on the show then if he'll do it.
[00:42:44.558 --> 00:42:49.302]  Congressman Dan Hamburg, thank you so much for all your time and get better from that cold.
[00:42:49.342 --> 00:42:50.843]  We'll talk to you as soon as this unfolds.
[00:42:51.444 --> 00:42:52.044]  My pleasure.
[00:42:52.665 --> 00:42:53.546]  Thank you so much.
[00:42:54.546 --> 00:42:57.629]  Alright, we'll be right back with your phone calls, a ton of news and a lot more.
[00:42:57.669 --> 00:42:58.690]  We're simulcasting live.
[00:43:01.095 --> 00:43:03.256]  Break the law and you're caught on film.
[00:43:03.756 --> 00:43:08.338]  Practically impossible for police to spot plates that have been treated with a reflective spray.
[00:43:08.798 --> 00:43:10.659]  The reflection blinded our camera.
[00:43:10.739 --> 00:43:11.899]  We are under the microscope.
[00:43:12.080 --> 00:43:15.921]  Red light cameras and speed cameras are in place to make money, not for your safety.
[00:43:16.081 --> 00:43:19.463]  But you don't have to be defenseless against these unconstitutional devices.
[00:43:19.743 --> 00:43:22.804]  Have a fighting chance with SprayYourPlate.com's Photoblocker.
[00:43:23.004 --> 00:43:28.966]  When properly applied, this revolutionary product has proven itself to be the most effective device available against traffic cameras.
[00:43:29.207 --> 00:43:34.429]  Invisible to the naked eye, your license plate, when flashed, will be overexposed and unreadable to the cameras.
[00:43:34.649 --> 00:43:35.249]  Save your money!
[00:43:35.409 --> 00:43:37.030]  Go to SprayYourPlate.com.
[00:43:37.170 --> 00:43:38.890]  That's SprayYourPlate.com.
[00:43:39.090 --> 00:43:44.953]  And check out the newscast showing the Photoblocker in action, proving that the SprayYourPlate's Photoblocker works against traffic cameras.
[00:43:45.113 --> 00:43:47.434]  Go to SprayYourPlate.com or call 1-800-276-9601.
[00:43:50.755 --> 00:43:51.256]  That's 1-800-276-9601.
[00:43:51.896 --> 00:43:55.900]  Don't give your money to the state.
[00:43:56.040 --> 00:43:56.681]  Spray your plate.
[00:43:56.961 --> 00:43:59.163]  And when the cameras flash, you'll save some cash.
[00:44:00.364 --> 00:44:06.770]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:44:07.130 --> 00:44:08.812]  The enemy struck America on September 11th.
[00:44:09.944 --> 00:44:10.784]  Who is the enemy?
[00:44:11.305 --> 00:44:11.805]  Bin Laden.
[00:44:12.105 --> 00:44:13.085]  This is his ammo.
[00:44:13.105 --> 00:44:14.446]  We have to look to the Middle East.
[00:44:14.486 --> 00:44:16.146]  We have to look to Osama Bin Laden.
[00:44:16.466 --> 00:44:23.229]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:44:23.609 --> 00:44:24.049]  Some U.S.
[00:44:24.089 --> 00:44:29.751]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:44:30.451 --> 00:44:33.974]  I'm aware that some Israeli citizens have been detained.
[00:44:34.334 --> 00:44:36.936]  Either you are with us, or you are with the terrorists.
[00:45:00.160 --> 00:45:09.908]  SouthSummit.com is the place for top name brand knives such as Kershaw, Spyderco, Cold Steel, Gerber, K-Bar, Boker, Leatherman, and more.
[00:45:10.088 --> 00:45:14.031]  South Summit has one of the largest selections of self-defense products on the web.
[00:45:14.171 --> 00:45:23.999]  Knives, stun guns, police batons, pepper spray, LED flashlights, emergency kits, binoculars, and tactical gear are just some of the great products found on SouthSummit.com.
[00:45:24.079 --> 00:45:28.623]  Receive discounted prices on camping and preparedness products from Camelbak, Kelty, and Eureka.
[00:45:28.863 --> 00:45:35.127]  Check out our water storage barrels, water purification systems, and Mountain House freeze-dried foods that have a 30-year shelf life.
[00:45:35.227 --> 00:45:39.570]  Keep an eye on your family and keep them safe with our do-it-yourself spy camera systems.
[00:45:39.810 --> 00:45:43.612]  Mention that you heard this ad on the radio and you'll receive a free LED flashlight with your order.
[00:45:43.832 --> 00:45:45.654]  Visit SouthSummit.com.
[00:45:45.714 --> 00:45:46.934]  That's South Summit.
[00:45:47.215 --> 00:45:49.216]  S-U-M-M-I-T.
[00:45:49.436 --> 00:45:51.117]  SouthSummit.com.
[00:45:51.277 --> 00:45:52.458]  Or call toll-free
[00:45:53.218 --> 00:45:55.560]  1-800-234-8654.
[00:45:55.620 --> 00:45:56.240]  That's 1-800-234-8654.
[00:45:56.260 --> 00:46:08.089]  Alright, let's go right back into this segment quick here, because I want to go to your phone calls here.
[00:46:08.109 --> 00:46:16.075]  For the balance of this hour and the whole next hour, I'm going to take a ton of your calls at 800-259-9231.
[00:46:16.735 --> 00:46:21.699]  And we're also going to cover some news I haven't detailed yet on several very, very serious issues.
[00:46:23.587 --> 00:46:26.490]  All right, first up, I want to tell you about preparedness.
[00:46:26.530 --> 00:46:28.932]  We believe in preparedness here.
[00:46:29.772 --> 00:46:33.536]  And one great place to check out is MySolarBackup.com.
[00:46:33.896 --> 00:46:42.103]  They have a great unit, an emergency power backup kit, which consists of the power source, 1800 power plant, and a high-efficiency solar panel designed to provide endless
[00:46:42.483 --> 00:46:43.003]  Electricity.
[00:46:43.023 --> 00:46:43.304]  That's right.
[00:46:43.344 --> 00:46:44.525]  It generates free electricity.
[00:46:44.925 --> 00:46:50.069]  Remember, too, that gas generators need gas, but in a blackout, gas pumps can't pump gas because they run on electricity.
[00:46:50.469 --> 00:46:54.372]  The solar generator is like having a silent power plant hidden in your home.
[00:46:54.412 --> 00:46:55.873]  Take them up in Kentucky and other states.
[00:46:56.293 --> 00:46:57.054]  Totally locked down.
[00:46:57.074 --> 00:46:59.836]  It's sunny days out there, but everything's covered with snow.
[00:46:59.856 --> 00:47:02.138]  If they had a couple of these units, they could run your whole house.
[00:47:02.158 --> 00:47:04.259]  But with one, you could heat at least one room.
[00:47:05.140 --> 00:47:06.201]  And that could save you.
[00:47:06.241 --> 00:47:09.464]  See, I mean, it's just important to have this type of stuff in these crazy times.
[00:47:09.484 --> 00:47:12.566]  Because once things completely break down, if they do, you won't be able to get these systems.
[00:47:12.886 --> 00:47:13.487]  It'll be very hard.
[00:47:13.507 --> 00:47:14.748]  877-327-0365 is the toll-free number.
[00:47:14.788 --> 00:47:15.248]  MySolarBackup.com.
[00:47:15.268 --> 00:47:15.308]  877-327-0365.
[00:47:15.368 --> 00:47:15.669]  A great unit.
[00:47:23.775 --> 00:47:38.167]  Also on the subject of preparedness, you could hook your little solar power system up to the Ecola Blue, and it runs off solar, or right out of the wall, produces 7.5 gallons a day, about 3.5 gallons even in the driest climates.
[00:47:38.727 --> 00:47:42.570]  It's like 2% humidity here in this office, and it's still producing about a gallon and a half a day.
[00:47:42.590 --> 00:47:43.411]  We've got one here in the office.
[00:47:44.571 --> 00:47:49.256]  I mean, there's almost nothing in here, but it's getting enough for us to all, you know, drink out of it.
[00:47:49.416 --> 00:47:51.439]  The other office would fill up every day, like seven gallons.
[00:47:51.459 --> 00:47:53.181]  This one's so much bigger and drier for some reason.
[00:47:53.201 --> 00:47:53.902]  But side issue!
[00:47:54.923 --> 00:47:55.423]  Here's the number.
[00:47:56.485 --> 00:48:10.678]  Okola Blue, 800-691-6043, 800-691-6043, or the website okolablue.com, big fat banners up on infowars.com and prisonplanet.com.
[00:48:11.379 --> 00:48:14.182]  Then it goes through seven internal filters after it grabs the air
[00:48:15.532 --> 00:48:16.032]  God bless you, Alex.
[00:48:16.072 --> 00:48:16.992]  You're doing the Lord's work.
[00:48:17.012 --> 00:48:18.393]  Hey, I just have two points of interest to make.
[00:48:44.545 --> 00:48:44.845]  I can.
[00:48:45.205 --> 00:48:45.846]  Sure.
[00:48:45.986 --> 00:49:04.876]  First one is, you know, here in California we're suffering a budget crisis, and I just wish that more Californians would wake up and find out about the comprehensive annual finance reports that they have, that they forced them to take their money out of their offshore bank accounts and
[00:49:05.649 --> 00:49:07.972]  Balance the budget and not force us to pay any more taxes.
[00:49:07.992 --> 00:49:08.332]  That's right.
[00:49:08.372 --> 00:49:11.856]  For those that don't know, the Pentagon that took over the U.S.
[00:49:11.936 --> 00:49:25.712]  in 1947, now publicly taking over, the receiver arm of the foreign banks, they took the Chicago mobs model they'd had for decades called Chicago 1313, where they took on average about 65 percent, now it's up to almost 80,
[00:49:27.173 --> 00:49:31.635]  It's like 67% on average nationally, and they take city, county, water district, school district money.
[00:49:32.096 --> 00:49:36.558]  It's put into a double set of books, not for pension investments, but separately.
[00:49:37.098 --> 00:49:41.760]  And then all they were talking about is the budget, instead of talking about the real set of books.
[00:49:41.800 --> 00:49:44.862]  And every county, city, state, every federal agency has one.
[00:49:45.382 --> 00:49:53.273]  And the bankers use that money to then buy up infrastructure, but now so they don't have to pay the counties and cities the money back, they're bankrupting the shell corporations.
[00:49:53.293 --> 00:50:00.102]  These big banks, these big brokerage firms, they were the fronts telling the cities and counties, invest here, we'll pay off your politicians later.
[00:50:00.342 --> 00:50:01.964]  It's totally criminal, but it's totally legal.
[00:50:02.925 --> 00:50:05.026]  And no one will talk about it, but I made a film about it.
[00:50:06.707 --> 00:50:07.968]  But all the documents are public.
[00:50:07.988 --> 00:50:11.689]  Just Google Comprehensive Annual Financial Report and you can read it.
[00:50:12.770 --> 00:50:15.931]  And then they have to blow out all the big corporations.
[00:50:15.951 --> 00:50:17.052]  People see those falling.
[00:50:17.072 --> 00:50:18.312]  They think the elites are really in trouble.
[00:50:18.593 --> 00:50:22.615]  Just like Enron, they've already moved all the real assets and cash out the back door.
[00:50:23.715 --> 00:50:24.335]  It's the globalists.
[00:50:24.355 --> 00:50:28.637]  They're money laundering, drug dealing bankers who literally own the printing presses that issue the money.
[00:50:29.098 --> 00:50:30.578]  And you write your IRS check to them.
[00:50:30.658 --> 00:50:31.639]  It's to the Federal Reserve.
[00:50:32.339 --> 00:50:32.920]  Was that your point?
[00:50:32.960 --> 00:50:33.481]  You have one more.
[00:50:33.501 --> 00:50:34.362]  I got one more.
[00:50:34.803 --> 00:50:35.183]  One more.
[00:50:35.203 --> 00:50:36.164]  Straight ahead when we come back.
[00:50:36.184 --> 00:50:36.905]  Fourth hour.
[00:50:42.172 --> 00:50:44.255]  Thank you for listening to GCN.
[00:50:44.796 --> 00:50:47.940]  Be sure to visit GCNlive.com today.
[00:50:50.404 --> 00:50:51.965]  Hello friends, this is Alex Jones.
[00:50:52.085 --> 00:50:56.747]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:50:56.827 --> 00:50:59.589]  We need to be independent, and food and water is the key.
[00:50:59.789 --> 00:51:02.651]  You'll never have to stand in a bread line if you have your own bread.
[00:51:02.831 --> 00:51:08.674]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[00:51:08.914 --> 00:51:11.817]  No one is going to take care of your family in the final equation but you.
[00:51:12.158 --> 00:51:19.045]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:51:19.145 --> 00:51:22.268]  And they do it at almost half the cost of last year's grocery prices.
[00:51:22.428 --> 00:51:22.689]  Call 1-800-409-5633.
[00:51:25.091 --> 00:51:27.353]  Or on the web, go to eFoodsDirect.com.
[00:51:27.553 --> 00:51:33.639]  Visit eFoodsDirect.com and look over the fine list of high-quality, prescribed, and dehydrated foods they have to offer.
[00:51:33.819 --> 00:51:37.142]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:51:37.182 --> 00:51:38.324]  Again, 800-409-5633, or on the web at eFoodsDirect.com.
[00:51:38.344 --> 00:51:38.984]  Take action today.
[00:51:39.004 --> 00:51:40.225]  The first step is getting storable food.
[00:51:53.200 --> 00:51:55.101]  Waging war on corruption.
[00:51:55.581 --> 00:51:58.342]  Alex Jones, on the GCM Radio Network.
[00:51:58.362 --> 00:52:10.207]  See, how this works is, the global engineers, they're in control because they're smart,
[00:52:22.349 --> 00:52:23.810]  They're just totally ruthless and criminal.
[00:52:24.091 --> 00:52:25.172]  We're a bunch of naive sheep.
[00:52:25.932 --> 00:52:33.379]  What they do is, they have unfunded mandates, federal laws on the states and the counties and the cities, with regulations and control.
[00:52:33.779 --> 00:52:35.721]  That ups the huge budgets of the states.
[00:52:36.161 --> 00:52:44.069]  Then they get the states, the counties, the cities, every other governmental and quasi-governmental district to invest in offshore investments.
[00:52:44.289 --> 00:52:47.271]  And the lie was, then they'll just take the profit from those and put them in budget.
[00:52:47.532 --> 00:52:48.112]  But they never do.
[00:52:49.253 --> 00:52:57.448]  Then the cities in the last few years, they started in Orange County, and then with the state investment fund about five years ago, they said, we want your money, and they said, you can't have it.
[00:52:58.280 --> 00:53:01.581]  And that's really one of the things that started things imploding, but that was by design.
[00:53:02.121 --> 00:53:04.341]  And now they're going to get the money out, and it's gone.
[00:53:04.681 --> 00:53:09.562]  Now that they're way over budget, they want some of the comprehensive annual financial report, mafia, you know, books.
[00:53:09.903 --> 00:53:11.303]  And they're saying, it isn't there for you.
[00:53:11.783 --> 00:53:12.323]  You don't get it.
[00:53:13.283 --> 00:53:14.704]  Because the market's gone down.
[00:53:14.744 --> 00:53:16.024]  These companies are insolvent.
[00:53:16.384 --> 00:53:19.785]  The banks and brokerage firms and investment houses won't say how much money they've got.
