[00:00:00.197 --> 00:00:01.318]  The GCN Radio Network.
[00:27:19.787 --> 00:27:25.373]  And they don't need us prompting them to do it, or us to do all the stuff behind the scenes.
[00:27:25.834 --> 00:27:31.740]  People need to realize, way back in the 60s, we were practicing terrorism on Cuba.
[00:27:32.870 --> 00:27:34.891]  We were blowing up ships in their bay.
[00:27:34.971 --> 00:27:37.433]  We were attempting to assassinate their leaders.
[00:27:38.073 --> 00:27:41.776]  We were doing all these acts of terrorism, but we failed.
[00:27:41.796 --> 00:27:46.339]  You know, one of the things that irks me, I sit outside the country and watch the U.S.
[00:27:46.399 --> 00:27:48.941]  now, and Alex, our ego is unbelievable.
[00:27:49.601 --> 00:27:51.362]  We can never admit we're wrong.
[00:27:52.203 --> 00:27:54.064]  And it's like our way or the highway.
[00:27:55.265 --> 00:27:58.247]  And I just don't think in the world today you can live that way.
[00:28:00.253 --> 00:28:02.680]  Well, I agree with you, Jesse Ventura.
[00:28:03.061 --> 00:28:07.474]  My issue, as we get ready to go to break here in a few minutes, I want to go ahead and start asking this question now.
[00:28:08.865 --> 00:28:13.728]  When you were down here in Austin back in October, you made the point that Obama was already fudging.
[00:28:13.768 --> 00:28:21.874]  That Obama was already going back from saying, day one I bring in the troops to 16 months, 21 months, now 50,000 indefinitely.
[00:28:21.894 --> 00:28:25.957]  And I know as bad as Bush and Cheney were, you want to give him benefit of the doubt.
[00:28:26.257 --> 00:28:28.058]  But what I'm seeing is slick deception.
[00:28:28.458 --> 00:28:32.021]  He says he wants to stay taunt with Iran, but increases covert operations.
[00:28:32.061 --> 00:28:33.842]  And I have that mainstream news today.
[00:28:34.322 --> 00:28:35.003]  He says
[00:28:35.543 --> 00:28:38.284]  I'm computer illiterate so that you're going off into places like Star Trek for me.
[00:28:56.931 --> 00:29:09.622]  No, I understand that, Governor, but the point is that I'm telling you, Barack Obama, going with your earlier instincts of saying he's already fudging, I'm telling you, this guy says one thing and does another.
[00:29:09.662 --> 00:29:11.243]  Well, let's remember something.
[00:29:11.923 --> 00:29:13.745]  He's still just a Democrat.
[00:29:15.787 --> 00:29:16.807]  Always remember that.
[00:29:17.048 --> 00:29:21.491]  And there are them and the Republicans, they control the whole game.
[00:29:22.472 --> 00:29:24.934]  And they don't allow anyone else into the game.
[00:29:26.368 --> 00:29:30.771]  And so, bear that in mind.
[00:29:30.891 --> 00:29:36.175]  Like on the whole torture issue, the reason they want to move on is because they're both caught.
[00:29:36.775 --> 00:29:43.140]  And so, even if the Democrats didn't order the torture, they knew what was going on and they condoned it, which is just as bad.
[00:29:43.440 --> 00:29:45.201]  That's why they want to move on.
[00:29:45.241 --> 00:29:46.262]  I know you've got to go to break.
[00:29:46.362 --> 00:29:47.002]  I hear the music.
[00:29:47.303 --> 00:29:52.126]  Yeah, let's finish up with torture when we come back, then take phone calls and get into a host of other issues with Governor Jesse Mintero.
[00:29:53.604 --> 00:29:56.592]  We're on the march, the empire's on the run.
[00:29:57.535 --> 00:30:00.202]  Alex Jones and the GCN Radio Network.
[00:30:03.385 --> 00:30:12.071]  Many human illnesses can be attributed to the fact that soil in the United States no longer provides plants with the mineral elements which are essential to human nourishment.
[00:30:12.491 --> 00:30:17.194]  Studies have shown that a majority of Americans are seriously deficient in basic minerals.
[00:30:17.655 --> 00:30:22.298]  Deficiency in any one or more important minerals actually results in disease.
[00:30:22.698 --> 00:30:25.380]  Go to AmericanSuperfoods.com today!
[00:30:25.720 --> 00:30:25.980]  I'm good.
[00:30:39.932 --> 00:30:40.893]  We're good to go.
[00:31:03.857 --> 00:31:09.421]  This is Alex Jones and I want to tell you again about a company that has supported us in the truth movement for years.
[00:31:09.721 --> 00:31:10.882]  Inner Health Botanicals.
[00:31:11.022 --> 00:31:15.005]  This company produces the highest quality superfood around called InnerFood.
[00:31:15.305 --> 00:31:16.846]  My wife just loves the stuff.
[00:31:17.167 --> 00:31:22.030]  And now the health ranger Mike Adams has awarded InnerFood his Editor's Choice Award.
[00:31:22.349 --> 00:31:22.869]  We're good to go.
[00:31:42.992 --> 00:31:45.193]  A truly healthy coffee that tastes great.
[00:31:45.413 --> 00:31:47.674]  And take it from me, folks, it really does taste great.
[00:31:47.874 --> 00:31:49.634]  Don't forget to try their other great products.
[00:31:49.974 --> 00:31:55.436]  Go to www.enerfood.com.
[00:31:55.656 --> 00:32:00.118]  That's www.enerfood.com.
[00:32:00.318 --> 00:32:03.219]  Or just click on their banner on infowars.com for special pricing.
[00:32:04.534 --> 00:32:09.536]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:32:09.736 --> 00:32:13.537]  Number one, new climate legislation could easily double or triple your electric bill.
[00:32:13.777 --> 00:32:19.360]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:32:19.660 --> 00:32:24.521]  It's true, total government control of electricity in the name of smart grid technology is coming.
[00:32:24.742 --> 00:32:28.763]  Number three, in some areas of the country the power grid is dangerously overloaded.
[00:32:29.003 --> 00:32:31.066]  Especially with the high demand summer months ahead.
[00:32:31.086 --> 00:32:34.870]  Folks, I really believe in the solar power generators offered by Solutions From Science.
[00:32:47.125 --> 00:32:47.625]  We're good.
[00:33:16.306 --> 00:33:18.046]  Okay, Jesse Ventura is our guest.
[00:33:18.086 --> 00:33:21.267]  Got about 45 minutes left with him, and I want to go to your phone calls.
[00:33:21.307 --> 00:33:28.709]  I've got a million questions I want to ask, but I know you've probably got better questions than I. I'm always amazed by how great the listeners' questions are.
[00:33:28.729 --> 00:33:31.469]  Governor, during the break, we were talking about torture again.
[00:33:31.549 --> 00:33:33.250]  Torture, torture, torture is on your mind.
[00:33:33.890 --> 00:33:42.452]  And in my film, the first 9-11 film that was put out back in 2002, 9-11 and the Road to Tyranny, I show the Washington Post headline.
[00:33:43.112 --> 00:33:46.014]  Where it says, we're torturing their children.
[00:33:46.074 --> 00:33:51.516]  We're interrogating, putting pressure on people's children to make them answer questions.
[00:33:51.556 --> 00:33:54.938]  And then with Khalid Sheikh Mohammed and others, they admit they threatened his kids.
[00:33:54.978 --> 00:33:57.960]  And then now, General Tegumbu's own army report, U.S.
[00:33:58.020 --> 00:33:58.220]  Army,
[00:33:59.160 --> 00:34:00.121]  MSNBC headline.
[00:34:00.141 --> 00:34:01.262]  In fact, pull that up, folks.
[00:34:01.382 --> 00:34:02.763]  Army Report, children raped.
[00:34:03.184 --> 00:34:04.905]  Cy Hirsch of New Yorker Magazine.
[00:34:05.586 --> 00:34:08.508]  They've confirmed that they torture people's children in front of them.
[00:34:08.548 --> 00:34:17.095]  So, as you were saying, it's light years ahead of just Guantanamo Bay and insects and sleep deprivation and waterboarding.
[00:34:17.736 --> 00:34:26.543]  You know, Alex, I would really, and I would do this on my own dime, I would go out, like they say, they won't release these photographs to the public.
[00:34:27.512 --> 00:34:32.216]  I would go out there and I, I, will they let me go in and see them?
[00:34:35.499 --> 00:34:38.642]  Well, I remember a week and a half ago you first broke down here on air that you would do that.
[00:34:38.682 --> 00:34:47.650]  You know, I would love to go out there to bring me to a room where these photographs are that none of us are being allowed to see because I think I'm qualified.
[00:34:47.730 --> 00:34:48.531]  I was a mayor.
[00:34:48.631 --> 00:34:49.552]  I was a governor.
[00:34:50.313 --> 00:34:53.756]  When I was in the Navy, I had a top secret security clearance.
[00:34:54.699 --> 00:34:58.441]  You know, so I think, you know, I'm 57 years old going on 58.
[00:34:59.161 --> 00:35:00.302]  I think that I'm an adult.
[00:35:00.922 --> 00:35:17.329]  And I think that as a tax-paying citizen, that I should have the right to be able to walk in there, view these photographs that, you know, we can't put out because we don't want them splattered all over every newspaper in America to get the Muslim world that much more angry at us.
[00:35:17.749 --> 00:35:24.032]  Which the bottom line, of course, is if we hadn't behaved in this manner, we wouldn't have to worry about this, would we, Alex?
[00:35:24.272 --> 00:35:29.795]  I was about to say that's like saying we can't show the Nazi or Soviet atrocities because it might anger the world.
[00:35:30.175 --> 00:35:33.036]  We have to show this so that it doesn't continue to happen.
[00:35:33.216 --> 00:35:41.620]  But that's the whole issue is they have to be released because the neocons and others are still out there defending all of this and Obama does double speak.
[00:35:41.920 --> 00:35:44.361]  Well, let's start and chip away at it.
[00:35:44.442 --> 00:35:46.823]  Let's see if we can get me out there to see them.
[00:35:48.043 --> 00:35:49.184]  You trust me, don't you?
[00:35:49.949 --> 00:35:59.496]  Yes, Jesse, I think you should... Well, then, let's go from that route and say, okay, since the general public, we should be able to send a couple of representatives from the general public.
[00:35:59.777 --> 00:36:00.057]  I agree.
[00:36:00.077 --> 00:36:02.158]  Let's send Ron Paul, too.
[00:36:02.679 --> 00:36:04.920]  Well, but Ron's still elected.
[00:36:07.182 --> 00:36:11.946]  Let's send two people who are not elected, a couple of people that are just regular citizens.
[00:36:12.886 --> 00:36:16.469]  Well, I know this, man down low... Take us into the room.
[00:36:17.030 --> 00:36:18.611]  I promise I won't throw up.
[00:36:19.890 --> 00:36:22.672]  I have a pretty strong stomach, if it's that bad.
[00:36:22.692 --> 00:36:36.560]  And, you know, let me go in and view these and when I come out, I'll come on your show and anybody else's show and hold a press conference and state unequivocally, you know, is there a problem here?
[00:36:37.233 --> 00:36:40.335]  Well, Mancow, talk show host who we interviewed, is coming on tomorrow.
[00:36:41.096 --> 00:36:43.617]  He was waterboarded last week and lasted six seconds.
[00:36:43.637 --> 00:36:46.239]  They say the average person lasts 18 seconds.
[00:36:46.299 --> 00:36:47.380]  You've been waterboarded.
[00:36:47.720 --> 00:36:49.161]  Yes, I laughed.
[00:36:49.281 --> 00:36:51.202]  I saw Mancow's thing on the internet.
[00:36:51.242 --> 00:36:52.163]  My wife brought it up.
[00:36:52.922 --> 00:36:54.703]  And I loved it.
[00:36:54.983 --> 00:36:56.984]  I mean, I didn't love it that he was waterboarding.
[00:36:57.084 --> 00:36:59.385]  I loved the fact that he had the courage.
[00:36:59.425 --> 00:37:07.608]  He took the position that waterboarding was, you know, we should allow him to do it because it's saving lives and it does this and it does that, which is not true.
[00:37:08.188 --> 00:37:15.011]  Because any information you get from somebody being tortured is not, you know, good information.
[00:37:15.051 --> 00:37:15.812]  It's not sound.
[00:37:15.832 --> 00:37:18.873]  They're going to say whatever it is they have to say to stop the torture.
[00:37:20.004 --> 00:37:23.186]  And, uh, Mancow got waterboarded.
[00:37:23.206 --> 00:37:24.567]  He wasn't strapped down.
[00:37:24.848 --> 00:37:26.749]  They should have did it the way they did it to us.
[00:37:27.489 --> 00:37:36.136]  You were strapped down, your arms and legs, your head was put in where you couldn't move it, and generally somebody dropped a knee into your stomach so you couldn't get a breath of air.
[00:37:37.417 --> 00:37:38.978]  Then they start waterboardin' ya.
[00:37:39.818 --> 00:37:41.720]  Well, he was allowed to just lay there.
[00:37:42.180 --> 00:37:43.561]  They started to waterboard him.
[00:37:43.601 --> 00:37:45.903]  He could break it off any time he felt like it.
[00:37:45.923 --> 00:37:47.564]  He lasted six whole seconds.
[00:37:48.510 --> 00:37:51.492]  And it took him about three or four minutes to compose himself.
[00:37:52.113 --> 00:37:56.756]  And when he did, he said that it was 20 times worse than what he ever imagined it to be.
[00:37:56.776 --> 00:37:59.158]  And he definitely said it was torture.
[00:37:59.598 --> 00:38:00.939]  Jesse, I've got the answer.
[00:38:01.119 --> 00:38:04.461]  If you want to get publicity on this torture, this would be huge.
[00:38:04.582 --> 00:38:08.845]  You need, and we can hire the crew, even come up to Minnesota and have the news there do it.
[00:38:10.012 --> 00:38:13.298]  Have you waterboarded to show people and challenge media people?
[00:38:13.358 --> 00:38:14.720]  I've been waterboarded.
[00:38:14.800 --> 00:38:16.223]  I'm not getting waterboarded.
[00:38:16.243 --> 00:38:16.924]  No, I know.
[00:38:17.124 --> 00:38:18.667]  Okay, then you can do the waterboard.
[00:38:18.707 --> 00:38:19.669]  I don't need it.
[00:38:19.909 --> 00:38:23.555]  I don't... if... look at... Alex, I went to BOTS.
[00:38:24.634 --> 00:38:27.177]  Basic underwater demolition SEAL training.
[00:38:27.798 --> 00:38:34.084]  A friend of mine just emailed me, who likewise went to a different SEAL school than I did, and he said it was torture.
[00:38:34.525 --> 00:38:35.946]  He also went through BUDS.
[00:38:36.046 --> 00:38:38.129]  He was class 56, I was class 58.
[00:38:39.330 --> 00:38:40.892]  We served together overseas.
[00:38:41.997 --> 00:38:50.342]  If two guys who went through Navy SEAL training are telling you that it's torture, isn't that believable enough?
[00:38:50.362 --> 00:38:53.703]  Well everybody knows it's torture, but that's the issue of these control freaks.
[00:38:54.084 --> 00:38:59.967]  Like Karl Rove told the news media years ago that he controls reality, that they are history's actors.
[00:39:00.487 --> 00:39:11.130]  They are saying here, no it's not torture and it's okay if we do it to non-citizens, but the Military Commissions Act and the Enemy Combatant Act states they can secretly strip a U.S.
[00:39:11.170 --> 00:39:14.111]  citizen of their rights and then do it to us.
[00:39:14.171 --> 00:39:17.432]  Remember, they swore the Patriot Act wouldn't be used against U.S.
[00:39:17.452 --> 00:39:21.914]  citizens, and now they admit that every state has used it thousands and thousands of times.
[00:39:21.954 --> 00:39:22.854]  But going back, Jesse,
[00:39:23.234 --> 00:39:24.674]  Because I've got to get this question out to you.
[00:39:24.734 --> 00:39:26.215]  I'm saying you're angry about torture.
[00:39:26.575 --> 00:39:27.355]  I'm angry about it.
[00:39:27.795 --> 00:39:33.416]  You ought to challenge all these media people that have been promoting it as a good idea and not as torture.
[00:39:33.776 --> 00:39:38.978]  You ought to challenge them to go on national television and that you would waterboard them.
[00:39:38.998 --> 00:39:39.578]  That was the point.
[00:39:39.598 --> 00:39:43.799]  No, I would not waterboard them because I'm not a professional.
[00:39:44.279 --> 00:39:48.080]  What you need to do is get one of these Sears School instructors to do it.
[00:39:51.344 --> 00:39:53.306]  I've only been the recipient of it.
[00:39:53.526 --> 00:40:00.716]  I would not want to be the one doing it because I'm not trained to do it.
[00:40:00.776 --> 00:40:05.062]  When they did it to all of us, there was a doctor right there.
[00:40:05.919 --> 00:40:10.041]  So, for them to say that this is not dangerous is a lie.
[00:40:10.521 --> 00:40:14.002]  Because how do you know what the person's heart condition is like?
[00:40:14.522 --> 00:40:17.283]  Are they giving them physicals before they do it to them?
[00:40:17.883 --> 00:40:19.504]  I agree with you, but let me go further.
[00:40:19.564 --> 00:40:26.266]  Like when I said that Dick Cheney, I could get him to confess to the Sharon Tate murders, I don't believe that anymore.
[00:40:26.626 --> 00:40:30.768]  Because I thought about it and realized Cheney's got that weak heart to begin with.
[00:40:31.288 --> 00:40:32.628]  He would never last it.
[00:40:32.668 --> 00:40:33.989]  I don't think it would kill him.
[00:40:34.893 --> 00:40:35.994]  And that's the point.
[00:40:37.957 --> 00:40:42.021]  When they're doing this to people, they haven't even charged them with a crime.
[00:40:43.082 --> 00:40:46.747]  And yet we're torturing them, supposedly, to get information from them.
[00:40:47.167 --> 00:40:48.689]  That's what the Nazis did.
[00:40:49.149 --> 00:40:51.192]  That's what, you know, and now we're doing it.
[00:40:51.412 --> 00:40:53.955]  Well, then again, we invade countries now, don't we?
[00:40:54.761 --> 00:40:57.642]  But that's the point I'm trying to make, is a challenge.
[00:40:57.662 --> 00:40:58.882]  You could MC it, fine.
[00:40:59.122 --> 00:41:02.283]  Because I couldn't get the attention to be able to do this.
[00:41:02.544 --> 00:41:13.127]  What about having an event where you challenge all these media whores that have been on air, there's dozens of them, saying that it isn't torture, where you publicly go on the air on all these stations you're going on,
[00:41:13.587 --> 00:41:17.370]  Well, you know what, I'd rather do it with our head government officials who really can make the change.
[00:41:32.768 --> 00:41:41.094]  Doing it to media people like Hannity and people like that, all that's going to do is build their ratings and help for their nonsense positions.
[00:41:41.394 --> 00:41:42.675]  I would rather do it at all.
[00:41:43.156 --> 00:41:49.040]  I'd rather get in and see the photos, Alex, and be able to come out and report to the general people what I saw.
[00:41:49.420 --> 00:41:50.601]  Well, let me tell you what the Army saw.
[00:41:51.081 --> 00:41:52.222]  And guys, pull it up on screen.
[00:41:52.902 --> 00:41:53.963]  Have you seen the Army report?
[00:41:53.983 --> 00:41:55.104]  It's almost gotten no attention.
[00:41:55.544 --> 00:41:58.606]  MSNBC, New Yorker Magazine, three years ago reported on it.
[00:41:58.947 --> 00:42:05.491]  The Army's own report admits they tortured children by design, including sodomizing them in front of their parents.
[00:42:06.032 --> 00:42:12.276]  Well, I find that, you know, that's another charge that I would have to see to believe.
[00:42:13.717 --> 00:42:14.577]  I've got to see it.
[00:42:15.358 --> 00:42:17.820]  I'll tell you what, I'm going to... And if there's photographs of this,
[00:42:20.237 --> 00:42:21.180]  I'm old enough.
[00:42:22.022 --> 00:42:23.467]  I've seen enough in my life.
[00:42:23.547 --> 00:42:24.249]  I can take it.
[00:42:24.610 --> 00:42:25.995]  I won't lose sleep over it.
[00:42:26.832 --> 00:42:27.392]  Hopefully.
[00:42:28.313 --> 00:42:29.514]  Okay, here it is, Jesse.
[00:42:29.574 --> 00:42:35.977]  I mean, right now we're... I'm not doubting you, Alex, but again, I've got, you know, I got to go, I want to go see this stuff.
[00:42:35.997 --> 00:42:37.218]  No, no, I fully understand.
[00:42:37.238 --> 00:42:38.199]  I think it's a good idea.
[00:42:38.219 --> 00:42:40.740]  People should call Obama and tell him, let you in there to see him.
[00:42:40.760 --> 00:42:46.043]  But Congress has been allowed to see this, and they said it included children being raped, but that it shouldn't be released.
[00:42:46.403 --> 00:42:54.228]  Okay, if you Google Cy Hirst children raped, you'll get New Yorker Magazine and others, and we've got these up on screen.
[00:42:54.648 --> 00:42:56.329]  You know what I think is better, Alex?
[00:42:56.409 --> 00:43:04.732]  We need to wake up America over the fact that this is going on and that it's unacceptable and they better speak out about it.
[00:43:04.852 --> 00:43:05.772]  No, that's my point!
[00:43:05.892 --> 00:43:07.333]  How do we get attention to it?
[00:43:07.413 --> 00:43:09.734]  We point this out like you're doing.
[00:43:09.754 --> 00:43:13.375]  I mean, you're really one of the only people that's been on national news even challenging this.
[00:43:13.435 --> 00:43:19.898]  And I see your point that you feel like you're the normal person going, you don't torture people, this is America.
[00:43:20.318 --> 00:43:22.519]  And then the media is acting like you're the weirdo.
[00:43:22.919 --> 00:43:31.942]  Oh yeah, and not only that, but even people behind the scenes are telling me that this is okay to do, because it's saving lives.
[00:43:33.703 --> 00:43:44.847]  And I'm trying to say, well, but there's a bigger picture than even that, you know, that if you believe even that we're saving lives, we still have to stand for something.
[00:43:45.967 --> 00:43:50.129]  And not only that, but aren't the terrorists winning then, Alex?
[00:43:51.542 --> 00:43:54.884]  I mean, they can't beat us militarily, we all know that.
[00:43:55.865 --> 00:44:04.410]  But if they can change America, and they can turn us into some sort of fascist, torturing country, well then they're winning.
[00:44:05.120 --> 00:44:10.586]  Well look, you've come out and questioned the official fairytale of 9-11.
[00:44:10.626 --> 00:44:12.347]  You know the official story is impossible.
[00:44:12.748 --> 00:44:17.933]  You know they staged the Gulf of Tonkin and they blew up Cuban airliners and blamed it on different groups.
[00:44:18.313 --> 00:44:21.196]  It's in Army Manual put out in 2004.
[00:44:21.236 --> 00:44:24.519]  They teach captains now how to stage false flag terror attacks.
[00:44:25.200 --> 00:44:33.606]  And so, you know, this whole excuse that we've got to listen to you with wiretaps to keep you safe from Al-Qaeda, and it comes out they've been doing it for decades before 9-11.
[00:44:33.726 --> 00:44:37.268]  I mean, it's all a big excuse to set up tyranny.
[00:44:37.528 --> 00:44:39.570]  Do you know what happened to me today, Alex?
[00:44:40.090 --> 00:44:40.330]  What?
[00:44:40.931 --> 00:44:54.740]  The normal line that I use, because whenever I do national media, when I come back, whether it's a book tour or whatever it is, my home phones always go goofy and so does my wife's computer.
[00:44:56.181 --> 00:45:05.927]  And sure enough, I'm doing the media stuff on the paperback book, and today the normal line that I always do my interviews on was dead.
[00:45:06.667 --> 00:45:10.810]  And I almost missed an interview this morning because I didn't know it was dead.
[00:45:13.151 --> 00:45:19.255]  And when I found out, of course, we were able to call up and we did the interview a half hour late.
[00:45:20.256 --> 00:45:23.097]  But that happens to me every time I go national.
[00:45:23.157 --> 00:45:25.439]  Anytime I start doing these national shows,
[00:45:26.187 --> 00:45:28.949]  My telephones start going bonkers at my house.
[00:45:29.309 --> 00:45:32.512]  Is that why you said you've added extra backup phone lines now?
[00:45:33.333 --> 00:45:34.013]  Uh, no.
[00:45:34.834 --> 00:45:36.795]  I have them all just for purposes.
[00:45:36.855 --> 00:45:42.199]  Like, the one that I've been using for doing all my media is my fax line.
[00:45:43.220 --> 00:45:46.243]  Because if I pick up the phone quick, they don't get the fax machine.
[00:45:47.363 --> 00:45:47.684]  You know?
[00:45:47.844 --> 00:45:53.388]  And that's what I do, because I sit right by my desk, and when it rings, the light goes on, and that's the one I use.
[00:45:54.129 --> 00:45:55.710]  And, well, that one was dead today.
[00:45:57.386 --> 00:45:58.207]  Yeah, it's amazing.
[00:45:58.247 --> 00:46:03.412]  In fact, when you were governor, you said you had the phone guy out after, and they said, oh yeah, I've never seen anything like this.
[00:46:03.512 --> 00:46:11.300]  Oh yeah, when they have me hooked up, you get a red phone in your house, that if it's even knocked off the hook, of course the local police come, which is good.
[00:46:12.021 --> 00:46:16.466]  You know, you want that ability to be protected, even though you've still got protection there.
[00:46:17.125 --> 00:46:18.967]  Well, for those that don't remember, you know, I'm a
[00:46:32.659 --> 00:46:35.803]  You know, I'm like a red-headed stepchild in this country.
[00:46:35.883 --> 00:46:47.121]  I got elected not with money, and I got elected on ideas, and I beat the status quo, and it scared a lot of people, so I would assume they want to know what I'm doing.
[00:46:47.858 --> 00:46:49.079]  Well, that's what I was about to say.
[00:46:49.099 --> 00:46:56.284]  For the people that are in denial, the CIA visited you and twenty-something of them your first day in office.
[00:46:56.304 --> 00:46:56.805]  I don't know.
[00:46:56.865 --> 00:46:58.166]  It wasn't my first day, though.
[00:46:58.206 --> 00:46:58.686]  It was a few weeks ago.
[00:46:58.706 --> 00:47:00.067]  Your second day or whatever, whatever.
[00:47:00.087 --> 00:47:00.368]  I don't know.
[00:47:00.388 --> 00:47:05.131]  It was a couple weeks in office, but... And I under... You know, now I know why they did it.
[00:47:06.946 --> 00:47:09.448]  Because all their questions dealt with how I got elected.
[00:47:10.288 --> 00:47:14.912]  They didn't see me coming, so they were, in hindsight, trying to learn what happened.
[00:47:14.972 --> 00:47:20.916]  I don't know if that's to prevent it in the future, or whether it's to be able to understand it in the future.
[00:47:20.956 --> 00:47:23.918]  I'm not really sure to what it'll be used for.
[00:47:25.011 --> 00:47:32.115]  Well, that was my point, was that soon after being elected, you were visited by 20 plus members of the CIA who wouldn't tell you why they were there.
[00:47:32.516 --> 00:47:38.299]  So according to what my memory serves, you basically said, look, I'm not going to answer your questions and left because of that.
[00:47:38.659 --> 00:47:44.883]  That shows how... We had a question and answer period, but I just, you know, had to give them a hard time about it.
[00:47:45.163 --> 00:47:49.485]  But didn't you ask him from memory that, hey, you're not supposed to be operating domestically?
[00:47:49.505 --> 00:47:50.786]  Well, that was my first question.
[00:47:50.866 --> 00:47:59.370]  I asked him why they operate within the United States when their mission statement says that they're only supposed to be operational outside the United States.
[00:47:59.450 --> 00:48:00.711]  Why would they be inside it?
[00:48:01.671 --> 00:48:03.733]  And you really can't get an answer from them.
[00:48:03.753 --> 00:48:04.713]  They hem and haw.
[00:48:05.714 --> 00:48:12.437]  And I guess because they're federal and I was only a governor, they didn't feel required to give me an answer.
[00:48:13.100 --> 00:48:16.521]  Well, no, they were breaking the law, so they didn't want to comment because you were hitting the nail on the head.
[00:48:16.541 --> 00:48:16.681]  Okay.
[00:48:16.702 --> 00:48:23.084]  Look, I'm going to ask you these... Alex, I'm trying to... No, I mean, that was it.
[00:48:23.124 --> 00:48:24.245]  I mean, you had them right between the eyes.
[00:48:24.885 --> 00:48:26.926]  Look, here's the bottom line.
[00:48:26.946 --> 00:48:28.767]  The very part, Alex, was this.
[00:48:29.467 --> 00:48:34.909]  When I looked around the room at these 23 people, oh, they're your neighbors.
[00:48:36.650 --> 00:48:39.191]  And what I mean by that is they're all ages.
[00:48:39.955 --> 00:48:45.357]  They look like the woman down the street that comes out and sweeps her step off in the morning.
[00:48:45.718 --> 00:48:48.119]  That didn't look like James Bond in Casino Royale.
[00:48:48.179 --> 00:48:50.800]  They look nothing like Sean Connery.
[00:48:51.460 --> 00:48:53.421]  They look... I guess I'm dating myself.
[00:48:53.981 --> 00:48:59.203]  They look nothing like the quintessential secret agent that you would imagine.
[00:48:59.243 --> 00:49:03.105]  They didn't even look like Howard Hunt for that matter.
[00:49:04.215 --> 00:49:04.595]  You know?
[00:49:05.155 --> 00:49:07.976]  They looked like that was, to me, the real eye-opener.
[00:49:08.196 --> 00:49:11.177]  Well, Governor, have you noticed... Looking at who they were.
[00:49:11.197 --> 00:49:17.278]  I mean, have you noticed all the radio and TV ads recruiting this giant domestic CIA?
[00:49:17.718 --> 00:49:20.059]  They are recruiting for domestic operations.
[00:49:20.119 --> 00:49:24.340]  Northcom is announcing that they're going to have military operations in the United States.
[00:49:25.420 --> 00:49:26.701]  Well, I don't know.
[00:49:27.001 --> 00:49:28.341]  You know, what do we do, Alex?
[00:49:29.201 --> 00:49:31.202]  Re-enlist and take back the military?
[00:49:31.222 --> 00:49:32.142]  I'm too old.
[00:49:32.930 --> 00:49:34.813]  Well, this is my point.
[00:49:34.913 --> 00:49:39.240]  I believe you're a moral person, and by that, you follow what you think is right.
[00:49:39.801 --> 00:49:41.965]  And you're not here to be bought off.
[00:49:41.985 --> 00:49:43.167]  You're not here to compromise.
[00:49:43.207 --> 00:49:45.150]  You do what Jesse Ventura thinks is right.
[00:49:46.337 --> 00:49:47.798]  I'm telling you, I studied Obama.
[00:49:48.058 --> 00:49:51.619]  This guy is a velvet glove George Bush over the iron fist.
[00:49:52.379 --> 00:49:55.020]  And he's saying they're going to continue to hold people secretly.
[00:49:55.420 --> 00:49:58.321]  He's saying no rights for detainees.
[00:49:58.401 --> 00:50:01.562]  He is looting us with the foreign banks just as much as George Bush did.
[00:50:02.242 --> 00:50:06.164]  Down the road, what is it going to take for you to start speaking out against Obama?
[00:50:06.444 --> 00:50:09.845]  Down the road, it'll be about a year from now.
[00:50:10.632 --> 00:50:16.556]  Because I've got to give him his due for at least more than 100 days, Alex.
[00:50:16.596 --> 00:50:24.322]  I've got to see what happens and give him at least a year because I can't imagine what it was like to step into that.
[00:50:25.743 --> 00:50:31.407]  And what he probably knows, just like when I became governor,
[00:50:32.686 --> 00:50:41.393]  After 100 days as governor, I was probably 50% smarter than I was prior to being elected governor.
[00:50:43.394 --> 00:50:48.918]  But I still was probably another 25% away from knowing everything.
[00:50:51.120 --> 00:50:56.444]  So I've got to give him a little bit more time before I would harshly criticize him.
[00:50:57.025 --> 00:50:58.706]  Well, and it's the lying, though, Governor.
[00:50:58.726 --> 00:51:00.806]  He just... Well, I just... Stay there.
[00:51:00.826 --> 00:51:01.186]  Gotta break.
[00:51:01.226 --> 00:51:01.466]  Gotta break.
[00:51:01.486 --> 00:51:02.867]  We'll get your tag on the other side.
[00:51:03.527 --> 00:51:04.928]  It is a big idea.
[00:51:04.948 --> 00:51:07.068]  A new world order.
[00:51:07.769 --> 00:51:12.550]  In the near future, Earth is dominated by a powerful world government.
[00:51:12.670 --> 00:51:14.831]  It's known as the Bilderberg Group.
[00:51:15.491 --> 00:51:17.752]  Could their objective be world domination?
[00:51:18.272 --> 00:51:20.693]  For thousands of years, their dark order grew.
[00:51:21.457 --> 00:51:28.792]  Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:51:31.797 --> 00:51:36.781]  For the first time in history, the elite's plan for world government is blown wide open.
[00:51:37.261 --> 00:51:40.663]  You will learn the secret that drives the entire New World Order agenda.
[00:52:01.317 --> 00:52:03.918]  Hey folks, Alex Jones here.
[00:52:04.098 --> 00:52:09.080]  I'm sending out a special alert to all those out there listening with credit card debt and struggling to make payments.
