[00:00:00.009 --> 00:00:00.409]  Congruent.
[00:47:16.786 --> 00:47:17.006]  Yeah.
[00:47:17.426 --> 00:47:30.736]  I mean, what's fascinating, and it's such an obvious point that it's been made many times, but it's worth making again, is if these guys were doing something benign, if they were trying to organise a softball game or how to cure cancer, they'd do it in an upstairs room at Starbucks.
[00:47:31.076 --> 00:47:35.079]  You know, there's no need to hide good acts away from the public.
[00:47:35.319 --> 00:47:36.920]  There's no need to hide good intentions.
[00:47:37.741 --> 00:47:45.346]  You know, it's such an obvious point, but I don't, you know, they've got a police helicopter flying around and there's tinted windows and
[00:47:45.954 --> 00:47:47.635]  And, you know, why?
[00:47:48.696 --> 00:47:56.321]  Well, we all know why, but if it was all so benign, I get the feeling it would be, you know, just a little bit softer around the edges.
[00:47:56.662 --> 00:47:58.083]  How would you like being shot at?
[00:47:59.423 --> 00:48:04.327]  Well, it's, you know, I pretty much got my fingers crossed that doesn't happen.
[00:48:05.548 --> 00:48:06.328]  Well, they do that.
[00:48:06.348 --> 00:48:09.410]  They also call your wife just in case they do it.
[00:48:09.711 --> 00:48:11.192]  This happens to everybody's wives.
[00:48:12.032 --> 00:48:13.013]  They'll call up and go,
[00:48:15.495 --> 00:48:17.297]  Hi, is Charlie there?
[00:48:19.479 --> 00:48:20.580]  No, I'm serious.
[00:48:20.920 --> 00:48:21.901]  I'd call her before they do it.
[00:48:22.662 --> 00:48:24.684]  They do this to most reporters.
[00:48:24.704 --> 00:48:25.164]  No, it's serious.
[00:48:25.224 --> 00:48:27.787]  I understand, but it sounds like a joke when I do it.
[00:48:27.807 --> 00:48:29.168]  The point is, hi, is Charlie there?
[00:48:29.489 --> 00:48:30.530]  No, he's not going to leave a message.
[00:48:30.950 --> 00:48:32.111]  Well, yeah, who's this?
[00:48:32.271 --> 00:48:33.953]  Well, this is his wife, Mrs. Skelton.
[00:48:34.473 --> 00:48:35.334]  That's impossible.
[00:48:35.374 --> 00:48:39.739]  I'm pregnant with his baby and we're engaged.
[00:48:40.629 --> 00:48:43.791]  And then the woman will start crying and saying, well, I'll give you my number, you know.
[00:48:44.352 --> 00:48:49.555]  And then they'll call up, if you have a little dog in the backyard, they'll say, I'm watching your little white dog right now.
[00:48:50.116 --> 00:48:51.037]  You're like, excuse me?
[00:48:51.597 --> 00:48:56.440]  And then your wife looks out the window and the dog's there and goes, yeah, and that's when I'm going to stab you and rape you.
[00:48:57.461 --> 00:48:58.722]  So, I mean, it's the government.
[00:48:58.742 --> 00:49:00.703]  They're watching the dog while they do it.
[00:49:00.723 --> 00:49:01.664]  I mean, it's real, bud.
[00:49:01.704 --> 00:49:03.165]  These people call your women up.
[00:49:04.412 --> 00:49:08.815]  So, I just want you to know, these are hardcore criminals you're dealing with.
[00:49:08.876 --> 00:49:09.976]  I mean, take Zbigniew Brzezinski.
[00:49:09.996 --> 00:49:17.482]  He wrote a book two years ago bragging that what we already knew, he funded Pol Pot to kill 35% of the Cambodian population.
[00:49:18.003 --> 00:49:23.307]  These guys, these guys, Mr. Skelton, write books bragging about who they've murdered.
[00:49:24.127 --> 00:49:24.768]  You understand, Sokes?
[00:49:24.948 --> 00:49:28.471]  It's a very interesting point, what you're making there.
[00:49:28.791 --> 00:49:31.313]  A lot of the documentation, a lot of the ideology
[00:49:32.254 --> 00:49:36.478]  Behind, you know, the shift towards globalization.
[00:49:37.198 --> 00:49:38.039]  It's been printed.
[00:49:38.079 --> 00:49:39.180]  It's out in the open.
[00:49:39.220 --> 00:49:40.241]  It's kind of so big.
[00:49:40.381 --> 00:49:44.825]  The point I was making, I think, in one of my pieces, it is so big and so much out in the open, people don't see it.
[00:49:44.845 --> 00:49:46.346]  They're not reading the right books.
[00:49:46.366 --> 00:49:50.189]  They're not seeing the thinking that's behind it, which is, you know, it's been published.
[00:49:50.809 --> 00:49:52.811]  You know, there are papers, there are books, you know.
[00:49:54.532 --> 00:49:56.914]  The ideology is out there for everyone to see.
[00:49:57.315 --> 00:49:58.736]  And also, you know, if you can
[00:49:59.511 --> 00:50:03.734]  For one moment, take your eyes off, you know, American Idol and The X Factor.
[00:50:04.715 --> 00:50:09.759]  You can see changes happening ever so slightly, incrementally, all the time, around you.
[00:50:10.079 --> 00:50:20.848]  But the problem is, people just don't have to... It's becoming... I genuinely think it's psychologically impossible for a lot of people to notice and to think and to see.
[00:50:22.069 --> 00:50:22.329]  I do.
[00:50:22.589 --> 00:50:23.910]  And that's one of the great horrors.
[00:50:25.491 --> 00:50:27.593]  They've rendered us stupid.
[00:50:27.984 --> 00:50:38.669]  Well, most reporters get those calls that actually go to Bilderberg, so I'm just giving you a warning to let her know, since you're online, to just laugh it off when they call.
[00:50:38.709 --> 00:50:39.869]  Okay, so she's listening.
[00:50:40.149 --> 00:50:42.390]  Now, we appreciate your time.
[00:50:42.690 --> 00:50:46.592]  Do you have a website, books, writings, stuff you want to point people at?
[00:50:48.733 --> 00:50:51.894]  Apart from yours?
[00:50:54.068 --> 00:50:56.210]  No, do you know what?
[00:50:56.230 --> 00:50:58.292]  I might start writing some more things on this subject.
[00:50:58.352 --> 00:51:01.855]  This is the first time I've tackled this subject in any way.
[00:51:02.256 --> 00:51:08.702]  And, you know, certainly I didn't set out to Athens thinking I'd be detained twice by the police.
[00:51:09.082 --> 00:51:10.744]  So, you know, I might write some more.
[00:51:10.784 --> 00:51:11.985]  Then again, I don't want my dog threatened.
[00:51:12.660 --> 00:51:14.904]  So, you know, I might just go back to writing jokes about anyone.
[00:51:14.924 --> 00:51:16.646]  Well, no, they're not threatening the dog.
[00:51:16.867 --> 00:51:23.076]  They will tell you, oh, you're there, just made yourself, it looks like, is that coffee or tea you're making there?
[00:51:23.116 --> 00:51:23.497]  Hello?
[00:51:23.597 --> 00:51:23.997]  Excuse me?
[00:51:24.017 --> 00:51:26.621]  You've got the, and you're like, wondering how they're looking at you.
[00:51:26.641 --> 00:51:27.903]  And it's like, that's right.
[00:51:28.484 --> 00:51:30.945]  Bitch, I'm going to stab you and rape you to death.
[00:51:30.986 --> 00:51:31.626]  How's that sound?
[00:51:32.046 --> 00:51:37.309]  So I'm saying, and they'll say it just like that, so I'm just trying to give you an idea who these people are.
[00:51:37.409 --> 00:51:40.051]  I'm telling you, Mr. Skelton, I've been down the rabbit hole.
[00:51:40.091 --> 00:51:41.031]  You're starting to go down it.
[00:51:41.452 --> 00:51:45.494]  And you've opened up your first step into a wider world.
[00:51:45.854 --> 00:51:47.555]  And there's good things and there's bad things about it.
[00:51:47.995 --> 00:51:50.037]  But I'm just letting the listeners know, too.
[00:51:50.737 --> 00:51:53.078]  For folks, you ever wonder about the New World Order and who they are?
[00:51:53.378 --> 00:51:55.039]  These are murdering criminals.
[00:51:55.560 --> 00:52:00.402]  And these are the bankers, we have this from inside Bilderberg, that are engineering the financial collapse.
[00:52:00.442 --> 00:52:02.323]  We said that three years ago today.
[00:52:03.444 --> 00:52:06.866]  We said they were going to engineer it, how they would do it, what they do with the stock market.
[00:52:07.226 --> 00:52:08.247]  We broke it all down.
[00:52:08.407 --> 00:52:09.667]  They rule the planet.
[00:52:10.568 --> 00:52:12.209]  And so we are here.
[00:52:12.589 --> 00:52:13.570]  This is happening.
[00:52:13.870 --> 00:52:15.891]  This is going on right now.
[00:52:16.751 --> 00:52:18.913]  And so I just
[00:52:19.813 --> 00:52:22.474]  I just want you to know that this is very, very serious.
[00:52:22.534 --> 00:52:24.815]  And the cop on the beat, he's just taking you to jail.
[00:52:24.855 --> 00:52:25.896]  He's probably not a bad guy.
[00:52:25.916 --> 00:52:26.696]  He's on a power trip.
[00:52:27.376 --> 00:52:29.277]  That cop is compartmentalized too.
[00:52:29.577 --> 00:52:30.898]  His family's being destroyed.
[00:52:30.998 --> 00:52:32.158]  His future's being destroyed.
[00:52:32.459 --> 00:52:36.340]  His world's being destroyed by the very bankers he's criminally protecting.
[00:52:36.360 --> 00:52:41.903]  You know, he has to break a law and violate your free speech under the EU Charter and the laws of Greece.
[00:52:43.063 --> 00:52:45.404]  They break the law and keep taking you to jail.
[00:52:45.464 --> 00:52:46.825]  Beat the rap, can't beat the ride.
[00:52:47.265 --> 00:52:50.887]  So they're committing crimes to destroy their own futures.
[00:52:53.248 --> 00:52:54.668]  I've just thought of a book I'd like to recommend.
[00:52:55.589 --> 00:52:56.149]  What book is that?
[00:52:57.310 --> 00:52:58.190]  Well, it's a little bit odd.
[00:52:58.270 --> 00:53:06.454]  You might think me recommending it, but I picked up a copy of the diaries of Goebbels, the German propagandist from World War II.
[00:53:06.994 --> 00:53:09.615]  One of the most evil men of all time.
[00:53:10.100 --> 00:53:23.040]  But also one of those brilliant psychologists and these papers were rescued after the war and almost by chance and what's revealed in his diaries is just one of the early exponents of propaganda
[00:53:23.507 --> 00:53:31.132]  of mind manipulation, of the population control, giving and taking, guiding the public mind, and it's an extraordinary read.
[00:53:31.432 --> 00:53:37.536]  And I recommend everyone to just have a look at it, because you read it and you go, my God, this guy is, you know, he's one of the groundbreakers there.
[00:53:37.677 --> 00:53:39.278]  He's one of the groundbreakers.
[00:53:39.338 --> 00:53:41.679]  Well, you know who he cited?
[00:53:42.760 --> 00:53:44.261]  He cited Edward Bernays.
[00:53:45.802 --> 00:53:47.043]  I heard that today, actually, from him.
[00:53:47.895 --> 00:53:49.376]  Yes, you were reading them.
[00:53:49.777 --> 00:53:51.358]  I've actually read part of those.
[00:53:51.398 --> 00:53:53.540]  I didn't have time to read the whole book.
[00:53:53.801 --> 00:53:54.481]  Which book do you have?
[00:53:54.521 --> 00:53:58.345]  There's two books that I know of that have the writings of... Do you know what?
[00:53:58.405 --> 00:53:58.725]  I don't know.
[00:53:58.786 --> 00:54:00.507]  It's an old... It's an old Catholic book.
[00:54:00.527 --> 00:54:03.330]  Joseph Goimbel's The Nazi Propaganda Galleiter.
[00:54:03.690 --> 00:54:04.051]  Stay there.
[00:54:04.071 --> 00:54:05.232]  Let's do one more segment if you can do it.
[00:54:05.825 --> 00:54:10.927]  Have you ever read the ingredients in your skin creams, personal hygiene products, vitamins, or herbal supplements?
[00:54:11.207 --> 00:54:19.491]  Did you know that most skin creams, body lotions, shampoos, and toothpastes contain chemical additives such as sodium lauryl sulfate, the same type of detergent used in dish soap?
[00:54:19.771 --> 00:54:23.072]  Did you know that many multivitamin supplements are made from synthetic vitamins?
[00:54:23.352 --> 00:54:26.293]  Do your herbal remedies have unwanted additives and fillers?
[00:54:26.574 --> 00:54:28.714]  Have you ever tested your body's pH level?
[00:54:29.075 --> 00:54:31.796]  Make the change to organic health and beauty products.
[00:54:32.056 --> 00:54:34.797]  Visit 2bnatural.com and order today!
[00:54:35.117 --> 00:54:35.758]  We're good to go.
[00:54:51.215 --> 00:54:55.597]  Use coupon code RADIO for 15% discount and free alkaline food chart.
[00:54:55.797 --> 00:54:58.018]  Call 1-888-417-1375.
[00:54:58.258 --> 00:55:05.281]  That's 1-888-417-1375 to order or request your free catalog.
[00:55:06.221 --> 00:55:11.543]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:55:12.063 --> 00:55:19.046]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well funded.
[00:55:19.620 --> 00:55:25.783]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:55:26.203 --> 00:55:28.043]  Well, Obama's already fudging.
[00:55:28.184 --> 00:55:30.604]  He's fudged since day one in this election.
[00:55:30.685 --> 00:55:41.469]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:55:42.248 --> 00:55:43.529]  It's not about left or right.
[00:55:43.909 --> 00:55:45.329]  It's about a one world government.
[00:55:45.769 --> 00:55:52.092]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:55:52.692 --> 00:56:00.475]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:56:00.955 --> 00:56:02.095]  The Obama Deception.
[00:56:02.515 --> 00:56:03.716]  The people strike back.
[00:56:05.783 --> 00:56:09.789]  Less than a century ago, half of the American public grew much of their own food.
[00:56:10.069 --> 00:56:14.174]  Today, it's been estimated that only 1% of Americans still grow their own food.
[00:56:14.455 --> 00:56:18.740]  During the Great Depression, over 18 million people suffered from starvation.
[00:56:18.941 --> 00:56:20.583]  And as America continues down its
[00:56:20.623 --> 00:56:21.563]  We're good to go.
[00:56:38.510 --> 00:56:39.850]  Get Seeds.net.
[00:56:40.150 --> 00:56:46.872]  Each order includes over 14,000 non-GMO, chemical-free seeds that will provide you with food for years.
[00:56:47.172 --> 00:56:50.252]  Call 877-394-6657 to get 100 varieties of our heirloom seeds for just $49.
[00:56:50.332 --> 00:56:53.173]  Once again, that's Get Seeds.net or call 877-394-6657 to establish your own food supply today.
[00:57:21.260 --> 00:57:23.141]  Look, Charlie Skelton, you're a smart guy.
[00:57:23.161 --> 00:57:24.242]  Writer for The London Guardian.
[00:57:24.282 --> 00:57:26.304]  Writer for a lot of big publications.
[00:57:27.044 --> 00:57:28.305]  I'm not here preaching at you.
[00:57:28.585 --> 00:57:30.006]  I'm just telling you, I've been there.
[00:57:30.026 --> 00:57:30.647]  I've seen it.
[00:57:31.507 --> 00:57:34.129]  I can't believe how evil the globalist are, but they revel.
[00:57:34.590 --> 00:57:37.672]  They one-up each other on who is the most ruthless, who is the most corrupt.
[00:57:39.113 --> 00:57:42.055]  And Edward Bernays and Joseph Goebbels, that's 80-year-old stuff.
[00:57:43.216 --> 00:57:45.237]  You know, when they were really in their heydays.
[00:57:46.718 --> 00:57:49.941]  And it's all being used today, but even more sophisticated, they fuse
[00:57:51.047 --> 00:58:03.934]  More than a hundred different types of propaganda together, where I can't even articulate it, I can just behold it and go, when I'm watching television, I mean, that's how scientific it is, and the wordsmithing and the twisting and the tactics.
[00:58:05.041 --> 00:58:06.802]  And, uh, but you're talking about Goebbels.
[00:58:06.842 --> 00:58:07.703]  That is good to read.
[00:58:07.723 --> 00:58:09.965]  I definitely want to have you back up in the near future.
[00:58:09.985 --> 00:58:11.386]  I want to get you up for 15, 20 minutes tomorrow.
[00:58:11.406 --> 00:58:12.346]  I won't keep you for 10 hours.
[00:58:12.687 --> 00:58:13.867]  Your cell bill's huge.
[00:58:14.428 --> 00:58:15.729]  Uh, you know, it's 50 bucks or something.
[00:58:15.749 --> 00:58:16.249]  Send me a bill.
[00:58:16.269 --> 00:58:16.869]  I'll pay for it.
[00:58:16.889 --> 00:58:17.950]  So I appreciate you.
[00:58:18.270 --> 00:58:20.892]  We were going to try to call your hotel, but you, uh, got detained.
[00:58:20.912 --> 00:58:22.834]  And luckily we thought to get your cell phone earlier.
[00:58:22.854 --> 00:58:27.757]  Uh, and I know I've been, you know, preaching at you, but, but you're there, arrested twice, released again.
[00:58:28.317 --> 00:58:29.218]  Have they won?
[00:58:29.238 --> 00:58:31.260]  I mean, are you not going back now?
[00:58:32.921 --> 00:58:34.922]  You know, to the Bilderberg group meeting.
[00:58:35.423 --> 00:58:47.411]  I mean, I guess you could go buy a 100-pound, 200-pound digital Zoom, a little bit better Sony, one that has like a 50 zoom or something, and maybe have taxis drive by and take photos.
[00:58:47.852 --> 00:58:48.872]  Digitals are good at that.
[00:58:48.953 --> 00:58:51.935]  Don't let them stop you just because they've arrested you twice.
[00:58:51.995 --> 00:58:53.296]  Now, that's easy to say.
[00:58:53.956 --> 00:58:57.579]  I was only arrested once for 16 hours and didn't like it, or 15, 16, whatever.
[00:58:59.020 --> 00:59:00.221]  But, I mean, where are you going from here?
[00:59:01.027 --> 00:59:02.750]  It's a good question, have they won?
[00:59:03.732 --> 00:59:04.733]  Partially they have today.
[00:59:04.934 --> 00:59:09.462]  I was intimidated enough not to go up to the gates of the hotel today.
[00:59:09.482 --> 00:59:13.028]  I was well away from it when I was detained for the second time.
[00:59:13.815 --> 00:59:20.218]  Uh, because, and I was saying, you know, I was laughing through gritted teeth with the policewoman who was going, I can't believe you're back again.
[00:59:20.619 --> 00:59:22.559]  And I was saying, look, I was trying not to be.
[00:59:23.020 --> 00:59:25.381]  I was trying not to be detained.
[00:59:25.601 --> 00:59:28.122]  But see, I would have told her, it's your problem!
[00:59:28.743 --> 00:59:31.044]  What is this, Nazi Germany or Soviet Russia?
[00:59:32.702 --> 00:59:42.349]  I mean, folks, they're already censoring the internet, they're setting that up, the same way China phased it in, the free speech zones, that started in Russia, then China.
[00:59:43.190 --> 00:59:46.573]  Listen, if you study this, Mr. Skelton, you're there reading propaganda documents right now.
[00:59:47.253 --> 00:59:48.654]  They phased this stuff in.
[00:59:48.894 --> 00:59:51.376]  If you're reading Goebbels' diaries, you see he talks about that.
[00:59:53.238 --> 01:00:01.404]  Yeah, I mean, information is the key thing, the holding back or sharing of information.
[01:00:02.014 --> 01:00:11.999]  You know, insofar as the internet allows a sharing of viewpoints, of differing viewpoints and of information, different information, you know, the key word being different, you know, that's great.
[01:00:12.159 --> 01:00:14.620]  I don't know how long that difference is going to last.
[01:00:14.680 --> 01:00:28.907]  And I'd like to make a serious point here, which is that, you know, it's very difficult to categorise the alternative media and people with alternative viewpoints as one thing, whereas Bilderberg, they're sitting there and they are strategising and they, you know,
[01:00:29.520 --> 01:00:31.781]  There is whatever you might think is happening.
[01:00:32.081 --> 01:00:40.585]  Whatever you characterize the Build-A-Bed meeting as, you have to agree that some strategizing, some ideas, some forward thinking is being done.
[01:00:40.625 --> 01:00:42.825]  I mean, whether you think it's benign, malign, whatever.
[01:00:43.226 --> 01:00:45.386]  So this kind of strategy... Oh no, power brokers!
[01:00:45.687 --> 01:00:46.487]  Yeah, I know, I know.
[01:00:46.687 --> 01:00:49.588]  They don't get together and talk about power.
[01:00:50.789 --> 01:00:52.149]  Sure, I know.
[01:00:52.449 --> 01:00:58.932]  But, you know, on the point of, you know, you turn it around and you see what people like you and other alternative voices are saying.
[01:00:59.605 --> 01:01:12.033]  It's very difficult to strategize against that kind of serious big money strategizing that's going on their side.
[01:01:12.053 --> 01:01:16.035]  One of the difficult things is that people have differences of opinion and people disagree.
[01:01:16.075 --> 01:01:19.798]  I disagree with my wife about aspects of September 11th, for example.
[01:01:19.818 --> 01:01:20.578]  I disagree about
[01:01:23.094 --> 01:01:24.075]  Thank you for listening to GCN.
[01:01:50.578 --> 01:01:52.921]  Be sure to visit GCNlive.com today.
[01:01:55.545 --> 01:02:04.216]  Many human illnesses can be attributed to the fact that soil in the United States no longer provides plants with the mineral elements which are essential to human nourishment.
[01:02:04.276 --> 01:02:08.402]  Studies have shown that a majority of Americans are seriously deficient.
[01:02:08.732 --> 01:02:08.832]  Yeah!
[01:02:30.040 --> 01:02:30.840]  We're good to go.
[01:02:58.579 --> 01:03:00.520]  Waging war on corruption.
[01:03:00.980 --> 01:03:03.841]  Alex Jones on the GCN Radio Network.
[01:03:10.203 --> 01:03:10.883]  Big Brother.
[01:03:11.524 --> 01:03:12.604]  Mainstream media.
[01:03:13.284 --> 01:03:14.405]  Government cover-ups.
[01:03:15.045 --> 01:03:15.865]  You want answers?
[01:03:16.625 --> 01:03:17.606]  Well, so does he.
[01:03:18.186 --> 01:03:21.887]  He's Alex Jones on the GCN Radio Network.
[01:03:22.367 --> 01:03:26.429]  And now, live from Austin, Texas, Alex Jones.
[01:03:31.328 --> 01:03:36.611]  Charlie Skelton, who writes for one of the biggest newspapers in the world, is covering Bilderberg, The London Guardian.
[01:03:36.951 --> 01:03:45.136]  In five more minutes with him, the total phone blitz and news blitz coming up, and a guest about the government kidnapping children en masse.
[01:03:45.276 --> 01:03:57.363]  A state representative will be joining us, but I want to be clear and also let you know now what you've stepped into, Mr. Skelton, because we're not making this up.
[01:03:58.584 --> 01:04:00.525]  You'll probably be stuck on a no-fly list now.
[01:04:02.196 --> 01:04:03.757]  And this is how the globalists operate.
[01:04:04.377 --> 01:04:04.998]  It's unnamed.
[01:04:05.018 --> 01:04:07.540]  They won't tell you why you're on it for the rest of your life.
[01:04:08.480 --> 01:04:10.362]  With Interpol, UK, US.
[01:04:12.163 --> 01:04:18.007]  You're on file for daring to work for a big newspaper and go cover world leaders meeting to set the future of the world.
[01:04:18.647 --> 01:04:20.228]  With all the big bank ministers in secret.
[01:04:20.688 --> 01:04:22.350]  With helicopters and guys with machine guns.
[01:04:22.810 --> 01:04:24.811]  Now think about how butt backwards that is.
[01:04:25.752 --> 01:04:30.195]  You know, here we are trying to cover this and they make it like we're the bad guys.
[01:04:31.991 --> 01:04:41.318]  You know, they make us go to the airports and thumb scan and face scan and take our shoes off and be body scanned and be searched and ask questions, but then they just fly in private jet, helicoptered in.
[01:04:41.338 --> 01:04:46.381]  The police and military we pay for, then protect them to carry out their crimes against our nation.
[01:04:46.401 --> 01:04:46.962]  And there's no doubt.
[01:04:47.002 --> 01:04:53.707]  I mean, one Bilderberg group member I know is under indictment and he's involved grabbing the Texas power plants and he's Pakistani.
[01:04:54.067 --> 01:04:56.669]  He's involved grabbing the roads and the NAFTA highways.
[01:04:56.709 --> 01:05:00.492]  I mean, these guys come in, buy off governments and have the governments hand them everything.
[01:05:01.371 --> 01:05:02.992]  Same thing the Nazis did that you were mentioning.
[01:05:03.712 --> 01:05:07.893]  So, that's how they operate and now they have these new hate lists.
[01:05:08.514 --> 01:05:12.715]  And now they want to put American gun owners on lists without ever saying why you can't own a gun.
[01:05:12.735 --> 01:05:17.357]  I mean, this is tyranny and we have to go ahead and just recognize it and deal with it.
[01:05:17.617 --> 01:05:23.779]  Any final comments on that and any other observations about where they're meeting, the security they've got at Bilderberg 2009 in Athens, Greece?
[01:05:27.812 --> 01:05:32.094]  Well, as for that, I might keep my distance a little bit more, even to tomorrow.
[01:05:32.454 --> 01:05:34.956]  Maybe it's one drop of it, so I'll stay a little bit clear.
[01:05:35.256 --> 01:05:36.136]  No, no, it's too late!
[01:05:36.236 --> 01:05:36.636]  Too late!
[01:05:36.656 --> 01:05:38.177]  They've already arrested you twice.
[01:05:38.717 --> 01:05:43.059]  That was just to bring you in and identify you and get you in the slave grid.
[01:05:43.119 --> 01:05:44.160]  Now you just gotta fight them.
[01:05:45.240 --> 01:05:45.581]  Go ahead.
[01:05:46.641 --> 01:05:56.786]  Well, you remind me, one last thing I would say, when you're talking, I thought about the writings, when they're written down, the writings of Bill Hicks.
[01:05:57.781 --> 01:06:07.327]  The late, great comedian, who in his stand-up routines was making some very, very serious points about exactly what you're talking about.
[01:06:07.667 --> 01:06:16.572]  And one of the things he said, for example, about the assassination of Kennedy, whatever you think about it, is he said, you know, he wants to talk about the assassination of Kennedy.
[01:06:17.252 --> 01:06:19.253]  Other people are saying, now, come on, that's past history.
[01:06:19.273 --> 01:06:20.194]  And he's going, come on, man.
[01:06:21.024 --> 01:06:22.245]  The president who was killed.
[01:06:22.465 --> 01:06:23.386]  Can we not talk about it?
[01:06:23.906 --> 01:06:24.667]  Same thing with 9-11.
[01:06:25.007 --> 01:06:31.192]  I talked to my brother about it and he goes, my brother goes, bless him, he goes, you know, that's eight years ago, you know, come on, we've moved on.
[01:06:31.232 --> 01:06:32.773]  And I'm going, no, hang on.
[01:06:33.274 --> 01:06:34.414]  There are questions to be asked.
[01:06:34.454 --> 01:06:35.195]  This is a big thing.
[01:06:35.235 --> 01:06:42.841]  So, you know, asking questions, I think that's the, it's such an important thing to ask questions, even if, you know, even if you find out it is.
[01:06:43.360 --> 01:06:45.442]  X, Y, and Z. Have you been told?
[01:06:45.542 --> 01:06:45.762]  Good!
[01:06:46.022 --> 01:06:49.385]  You know, I'd love to find out that things happened as I'm told.
[01:06:49.445 --> 01:06:54.129]  It would mean the people weren't lying to me.
[01:06:54.329 --> 01:07:01.195]  They also told us 9-11 was the foundation of the police state and giving up our rights and the world was different and we had to invade all these countries, so...
[01:07:02.316 --> 01:07:03.497]  They're always invoking 9-11.
[01:07:04.337 --> 01:07:11.762]  And then when we try to go, well, wait, governments have staged terror, and this looks like it's staged, oh, that's ridiculous, that's old news, don't discuss it, it's a dead issue.
[01:07:12.223 --> 01:07:17.346]  Again, they're trying to set the agenda, set the parameters of the debate, get outside the box.
[01:07:17.626 --> 01:07:20.328]  I got Tucker on at 8 o'clock your time tomorrow.
[01:07:20.448 --> 01:07:24.651]  It's 9-04, Greece time, where you're at, Mr. Skelton.
[01:07:24.951 --> 01:07:27.673]  What time can you come on the show?
[01:07:27.713 --> 01:07:30.215]  What time can you come on tomorrow for 10-15 minutes for an update?
[01:07:31.864 --> 01:07:32.885]  Uh, anytime at all.
[01:07:33.365 --> 01:07:34.025]  Uh, I'm free and easy.
[01:07:34.045 --> 01:07:36.186]  Well, I say free, but as long as I'm not under arrest.
[01:07:36.526 --> 01:07:37.147]  Anytime at all.
[01:07:37.447 --> 01:07:42.349]  Let's have you on at, uh... Let's have you on at 8.30 tomorrow.
[01:07:42.369 --> 01:07:43.710]  Okay.
[01:07:43.750 --> 01:07:47.232]  Would you like us to call your room, or would you like us to call your cell phone?
[01:07:49.172 --> 01:07:49.833]  Uh, I...
[01:07:50.478 --> 01:07:50.978]  Do you know?
[01:07:51.018 --> 01:07:51.659]  I don't know.
[01:07:51.699 --> 01:07:52.660]  Probably the cell phone status.
[01:07:53.140 --> 01:07:57.223]  Well, we're linking to your articles up at InfoWars.com and PrisonPlanet.com and The Guardian.
[01:07:57.884 --> 01:08:00.586]  And we're glad that you're joining the team.
[01:08:00.946 --> 01:08:02.387]  We really appreciate you, Mr. Skelton.
[01:08:02.407 --> 01:08:03.148]  You have a lot of courage.
[01:08:05.530 --> 01:08:10.594]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[01:08:11.127 --> 01:08:19.314]  Check out SupernaturalSilver.com today, or visit the link on InfoWars.com to find out more about this incredible new silver compound.
[01:08:19.414 --> 01:08:26.239]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[01:08:26.519 --> 01:08:31.223]  This new silver solution liquid form was shown to be a powerful preventative
[01:08:31.499 --> 01:08:32.340]  We're good to go.
[01:08:53.519 --> 01:08:56.720]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[01:08:56.760 --> 01:09:01.522]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[01:09:19.807 --> 01:09:26.031]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[01:09:26.331 --> 01:09:28.232]  Well, Obama's already fudging.
[01:09:28.372 --> 01:09:30.794]  He's fudged since day one in this election.
[01:09:30.874 --> 01:09:41.821]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[01:09:42.461 --> 01:09:43.742]  It's not about left or right.
[01:09:44.122 --> 01:09:45.503]  It's about a one-world government.
[01:09:45.982 --> 01:09:52.309]  This film documents who Obama works for, the lies he is told, and his real agenda.
[01:09:52.889 --> 01:10:00.677]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[01:10:01.158 --> 01:10:02.299]  The Obama Deception.
[01:10:02.739 --> 01:10:03.921]  The people strike back.
[01:10:06.115 --> 01:10:09.497]  More than 700 chemicals have been found in our drinking water.
[01:10:09.637 --> 01:10:14.841]  And did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[01:10:15.041 --> 01:10:19.804]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[01:10:20.004 --> 01:10:30.972]  The KDF Dual Media Shower Filter works with both hot and cold water, and it's designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[01:10:31.252 --> 01:10:36.818]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons, or one year, whichever comes first.
[01:10:36.998 --> 01:10:43.085]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
