[00:00:00.429 --> 00:00:00.970]  Impossible.
[00:23:14.471 --> 00:23:20.655]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:23:20.955 --> 00:23:22.796]  Well, Obama's already fudging.
[00:23:22.936 --> 00:23:25.338]  He's fudged since day one in this election.
[00:23:25.398 --> 00:23:35.144]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs,
[00:23:35.604 --> 00:23:36.325]  That's fascist.
[00:23:38.586 --> 00:23:39.867]  It's not about left or right.
[00:23:40.247 --> 00:23:41.648]  It's about a one world government.
[00:23:42.108 --> 00:23:48.432]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:23:49.012 --> 00:23:56.817]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:23:57.277 --> 00:23:58.438]  The Obama Deception.
[00:23:58.838 --> 00:24:00.119]  The people strike back.
[00:24:01.780 --> 00:24:04.362]  Companies continue to lay off thousands of people.
[00:24:04.989 --> 00:24:07.951]  Unemployment is the highest it's been in over 30 years.
[00:24:08.331 --> 00:24:11.732]  Statistics prove that in a recession, crime rates go up.
[00:24:12.093 --> 00:24:18.296]  Everyone needs something for that extra edge to prevent becoming a victim in these difficult and trying times.
[00:24:18.676 --> 00:24:23.718]  You need to prepare yourself with DPS pepper spray, available at MrDefense.com.
[00:24:23.899 --> 00:24:30.622]  DPS is the strongest pepper spray in the market and is the same spray used by hundreds of law enforcement agencies from around the world.
[00:24:30.922 --> 00:24:31.803]  Need something more?
[00:24:32.004 --> 00:24:35.668]  The Scorpion Stun Gun is a great way to take down a potential attacker.
[00:24:35.969 --> 00:24:44.040]  Mr. Defense also carries the largest selection of air tasers, knives, self-defense keychains, swords, batons, survival, spy, and tactical gear.
[00:24:44.280 --> 00:24:48.626]  Mention this ad and receive 10% off of your order and a free self-defense keychain.
[00:24:48.826 --> 00:24:52.308]  Visit MrDefense.com, that's MRDefense.com or call 1-800-313-6400.
[00:24:52.348 --> 00:24:54.049]  That's 1-800-313-6400 for all of your self-defense needs today!
[00:25:29.289 --> 00:25:31.410]  Alright, folks, we are back at the Alex Jones Show.
[00:25:31.450 --> 00:25:32.151]  I'm Jason Burmess.
[00:25:32.231 --> 00:25:41.156]  Remember, I do a show nine to midnight, five nights a week, central time here at PrisonPlanet.tv and InfoWars.com.
[00:25:42.337 --> 00:25:48.780]  Michael, you were saying, you know, you were the guy at the bank that sent you overseas to somebody else, and you were pro-globalism.
[00:25:48.800 --> 00:25:49.761]  Why don't you expand on that?
[00:25:50.281 --> 00:25:51.462]  Well, not precisely.
[00:25:52.062 --> 00:25:54.124]  I'm part of a consulting group that
[00:25:55.496 --> 00:25:58.838]  Essentially, it looks at jobs in the U.S.
[00:25:59.098 --> 00:26:08.783]  and Canada that are typically unwanted and economically not viable for most people in this country.
[00:26:10.564 --> 00:26:23.430]  We look at options for corporations to be able to find an alternative for shareholders in order to reduce costs and hopefully pass some of those savings on to consumers in America on Main Street.
[00:26:24.779 --> 00:26:36.522]  This has been going on for a long time, and I'm not being critical of the globalization issue.
[00:26:36.842 --> 00:26:45.185]  I do understand that there needs to be certain people in charge of it, but my point is that globalization in itself is not a bad idea.
[00:26:45.205 --> 00:26:49.746]  The people who are in charge of it and their intent, absolutely.
[00:26:50.219 --> 00:27:01.319]  Can influence the outcome of that, but by fear of some of the rhetoric that goes on the internet and elsewhere about globalization.
[00:27:02.000 --> 00:27:05.442]  It's actually going to, you know, take us away from the benefits of it.
[00:27:05.462 --> 00:27:06.503]  I absolutely agree.
[00:27:06.543 --> 00:27:07.723]  What are the benefits of it?
[00:27:07.743 --> 00:27:08.444]  That's what I want to know.
[00:27:08.464 --> 00:27:10.725]  The benefits of globalization are really, really simple.
[00:27:11.145 --> 00:27:22.751]  Other than sharing information, you know, openly and freely sharing information, I feel like, you know, obviously there are certain things that you'll have to import or export from places because you just can't get them anywhere else.
[00:27:23.012 --> 00:27:28.455]  But it seems like you can almost build infrastructure anywhere within countries.
[00:27:28.575 --> 00:27:29.095]  But go ahead.
[00:27:29.815 --> 00:27:31.456]  Yeah, no, no, I totally agree.
[00:27:31.476 --> 00:27:43.467]  I think the issue is when you take a look at war and you take a look at the things we've been fighting over for, you know, centuries, which involve territory, a whole bunch of stuff.
[00:27:43.507 --> 00:27:47.390]  It's all been about people living.
[00:27:47.770 --> 00:27:54.416]  It's been about people being able to say, hey, I can go to the store, I can buy stuff, I have some kind of capital or some kind of currency.
[00:27:54.912 --> 00:28:05.441]  That I can go and do stuff with, and I agree that there's issues with the currency and the way that it's controlled, but at the end of the day, cooperation amongst people is critical for the world.
[00:28:06.281 --> 00:28:17.731]  And this is the delineator that I see between the truth movement and, you know, the powers that be, which probably are quite evil and have ill intent.
[00:28:18.511 --> 00:28:19.232]  I don't deny that.
[00:28:20.093 --> 00:28:23.956]  What I'm saying is, unless people on the right side of the movement
[00:28:24.580 --> 00:28:25.180]  I don't
[00:28:39.062 --> 00:28:43.566]  Then we're in bigger trouble than we are with these guys at the top.
[00:28:57.438 --> 00:28:57.798]  That's right.
[00:29:19.626 --> 00:29:26.850]  This is the reason that people were given AIDS in this country and yours through Factor VIII injections from Bayer and nothing is done.
[00:29:27.130 --> 00:29:34.215]  It's because when you listen to somebody who's not even at the top like Ted Turner talking about a sustainable community and globalism, it means killing a bunch of us.
[00:29:34.475 --> 00:29:35.255]  I thank you for the call.
[00:29:35.295 --> 00:29:40.318]  That's my biggest fear is that this eugenics and this sustainability is in part with globalism.
[00:29:42.339 --> 00:29:44.922]  Am I against building a more global internet?
[00:29:45.522 --> 00:29:46.563]  Not as long as it's free.
[00:29:46.903 --> 00:29:50.547]  You know, I would love to have more communications with people overseas.
[00:29:50.567 --> 00:29:53.730]  You know, a decoder or, you know, a language translator.
[00:29:53.770 --> 00:29:56.192]  You know, not have to use Rosetta Stone to understand everything.
[00:29:56.212 --> 00:29:58.093]  I would love all that stuff, but is it plausible?
[00:29:58.854 --> 00:30:02.497]  And when you see what their steps are, it's just like a, you know, zeitgeist addendum.
[00:30:03.598 --> 00:30:07.202]  In the second half of that, he's talking about all these great technologies that do exist.
[00:30:07.967 --> 00:30:11.831]  You know, wind, solar, electromagnetics, all that stuff's real.
[00:30:12.351 --> 00:30:17.857]  But the elite aren't going to give it to us en masse until they can control it and make a profit on it.
[00:30:18.823 --> 00:30:24.967]  And really have consolidated their power in such a way that there are less of us to consume that stuff, because they don't want challenges to their power.
[00:30:25.348 --> 00:30:33.113]  I mean, on the surface, Addendum looks like this one-world society where we're all going to love each other, but when you start getting into it, they want a one-world hive mind.
[00:30:33.333 --> 00:30:35.034]  Watch the World Wide Mind out of PBS.
[00:30:35.074 --> 00:30:37.276]  It gives you a good idea of what they want there.
[00:30:37.676 --> 00:30:43.540]  You know, all of us with a brain chip, you know, in cyberspace, communicating each other telepathically.
[00:30:43.840 --> 00:30:45.842]  I mean, this is really what they discuss.
[00:30:46.522 --> 00:30:51.325]  And if you think that's going to be for the general populace because they love us so much, it's not.
[00:30:51.805 --> 00:30:54.207]  You know, they want to offer us this utopia globalism.
[00:30:54.267 --> 00:30:55.788]  It's not what they have in mind for us.
[00:30:56.108 --> 00:30:57.509]  And you know what they do have in mind for us?
[00:30:57.529 --> 00:31:00.510]  This story is over at PrisonPlanet.com, InfoWars.com.
[00:31:01.191 --> 00:31:02.652]  I almost forgot to talk about it.
[00:31:02.672 --> 00:31:05.473]  This is a document out of New York State, nonetheless.
[00:31:05.633 --> 00:31:06.714]  All this stuff out of New York.
[00:31:07.514 --> 00:31:07.735]  April 4, 2007.
[00:31:07.795 --> 00:31:09.336]  So this document is about two years old.
[00:31:12.330 --> 00:31:20.214]  They're in the process of updating and collecting some very important information to our database regarding bio-attacks and massive disasters.
[00:31:20.234 --> 00:31:25.276]  You see, this is to cemeteries seeing if they can house massive graves.
[00:31:25.836 --> 00:31:26.937]  We're talking 950 people per acre.
[00:31:26.957 --> 00:31:27.937]  Let me repeat that.
[00:31:27.957 --> 00:31:28.697]  950 dead bodies per acre.
[00:31:32.399 --> 00:31:39.740]  And they're talking about thousands and thousands of acres and they want to know whether these cemeteries can hold all these people.
[00:31:40.041 --> 00:31:43.621]  Why are they getting ready for mass death if they don't have it in mind for us?
[00:31:44.001 --> 00:31:45.182]  I don't think they're killing themselves.
[00:31:45.822 --> 00:31:47.982]  All these people that say there are too many people in the world right here.
[00:31:48.322 --> 00:31:51.683]  Look, this is that Clinton administration official.
[00:31:52.183 --> 00:31:53.283]  Someone under Hillary right here.
[00:31:54.223 --> 00:31:56.824]  Earth's population already exceeds limits.
[00:31:57.204 --> 00:31:57.244]  Oh!
[00:31:58.670 --> 00:32:03.771]  Oh, and the reason we have all this global warming, too many people doing too much stuff according to Ted Turner.
[00:32:03.792 --> 00:32:05.012]  We're going to turn to cannibals.
[00:32:05.332 --> 00:32:08.033]  Eight degrees hotter, no crops, nuclear war.
[00:32:09.373 --> 00:32:09.913]  Ridiculous.
[00:32:09.973 --> 00:32:13.034]  It's all an excuse to bring in this globalist agenda.
[00:32:14.174 --> 00:32:15.415]  All right, let's go to our next caller.
[00:32:15.455 --> 00:32:17.415]  Let's go to David in Indiana.
[00:32:17.455 --> 00:32:18.296]  David, you're on the line.
[00:32:19.576 --> 00:32:20.276]  Yeah, hello.
[00:32:21.136 --> 00:32:21.457]  Hello.
[00:32:22.197 --> 00:32:22.557]  Yes, sir.
[00:32:24.037 --> 00:32:26.378]  Yeah, I've been an info warrior now for about 12 years.
[00:32:27.415 --> 00:32:33.439]  And the first film I've seen 12 years ago was by David Wagner called Barbed Wire Over America.
[00:32:35.019 --> 00:32:46.066]  And basically that's when I realized that everything that I've been taught in public school and everything that I've had as my belief system was basically false.
[00:32:47.046 --> 00:32:54.991]  And that public school is nothing but an instrument of mind control to brainwash young people and that's what
[00:32:55.946 --> 00:32:59.967]  Obama, he's gonna use that national service just like Hitler did.
[00:33:00.894 --> 00:33:07.535]  He's going to use it the same way Hitler did, and basically have a Hitler Youth Corps.
[00:33:07.975 --> 00:33:11.136]  I totally agree with you, and I think people need to understand this.
[00:33:11.476 --> 00:33:17.877]  You know, whereas in George Bush and his administration, when they wanted people to get behind them, they didn't use Bush as an image.
[00:33:17.917 --> 00:33:19.738]  They used the flag after 9-11.
[00:33:19.958 --> 00:33:23.318]  And everybody saw the red, white, and blue all over, and that was their symbol.
[00:33:23.338 --> 00:33:27.499]  What's really scary is with this guy, with Obama, it's not the flag they're using.
[00:33:27.819 --> 00:33:29.040]  It's the Obama logo.
[00:33:29.320 --> 00:33:30.020]  It's his face.
[00:33:30.220 --> 00:33:31.021]  It's his swagger.
[00:33:31.101 --> 00:33:31.881]  It's his attitude.
[00:33:32.321 --> 00:33:38.404]  It's literally a youth that is being indoctrinated, not into an idea, but into a person.
[00:33:38.884 --> 00:33:43.166]  And I can't agree with you more that, you know, these schools are nothing but indoctrination centers.
[00:33:43.206 --> 00:33:45.287]  And it is a real big kick to the chest.
[00:33:45.327 --> 00:33:51.450]  It knocks the wind out of you when you start to realize how much brainwashing has gone on in your individual life.
[00:33:54.042 --> 00:33:56.404]  Yeah, and Obama, he's nothing but a demagogue.
[00:33:56.444 --> 00:34:00.446]  He's parading around like he's the champion of the common people, the middle class.
[00:34:01.026 --> 00:34:03.348]  And he's just another agent of the New World Order.
[00:34:03.408 --> 00:34:07.391]  He's finishing the job that George W. Bush didn't finish.
[00:34:07.991 --> 00:34:13.094]  He's giving this economy the final shove over the cliff so they can starve us into submission.
[00:34:13.655 --> 00:34:17.377]  Because what they're going to do in this country, they're going to try to starve us into submission
[00:34:18.089 --> 00:34:24.254]  With fear and with bad economics and all them tactics to get us to go along with their program.
[00:34:24.294 --> 00:34:31.419]  Well, they're offering, and I thank you for the call, they're offering full-time service through this Give Act for those people who don't have jobs that want to join.
[00:34:31.740 --> 00:34:33.161]  So this is going to be the new jobs.
[00:34:33.181 --> 00:34:35.883]  You know, it's not just the Department of Homeland Security that's going to expand.
[00:34:35.943 --> 00:34:37.044]  It's not just the Youth Corps.
[00:34:37.324 --> 00:34:40.427]  It's these jobs for national service.
[00:34:41.587 --> 00:34:42.968]  Full-time volunteerism.
[00:34:43.803 --> 00:34:49.187]  Well, you can't be a full-time volunteer without some kind of an income, so obviously this isn't really going to be volunteerism.
[00:34:49.227 --> 00:34:54.952]  It's going to be new bureaucracies set up to worship this administration and its ideals.
[00:34:55.012 --> 00:34:56.093]  I mean, that's the bottom line.
[00:34:56.473 --> 00:34:57.754]  All right, let's jump to our next caller.
[00:34:57.794 --> 00:34:59.316]  Let's go to Juan in New York.
[00:34:59.396 --> 00:35:00.156]  Juan, you're on the line.
[00:35:01.217 --> 00:35:01.838]  Hey, Jason.
[00:35:01.878 --> 00:35:02.458]  What's going on?
[00:35:02.838 --> 00:35:03.219]  How you doing?
[00:35:03.879 --> 00:35:04.240]  All right.
[00:35:04.860 --> 00:35:13.027]  I mean, I called because, you know, I'm trying to do the right thing here and disseminate information amongst people that I know.
[00:35:14.301 --> 00:35:17.802]  And uh, you know, just the people at work and my family members.
[00:35:18.283 --> 00:35:24.305]  It seems that, you know, the mainstream media has really got these people's minds in a stranglehold.
[00:35:24.965 --> 00:35:39.230]  Every time I, when I talk to like an older individual at work, he tells me, you know, he's receptive to some of my ideas, but then he reversed to the, uh, to the Limbaugh line that it's all the Democrats doing this.
[00:35:39.731 --> 00:35:40.671]  And I keep trying to,
[00:35:41.457 --> 00:35:44.960]  Uh, come across the people by telling them they're both the same people.
[00:35:45.000 --> 00:35:45.701]  You can't tell.
[00:35:46.161 --> 00:35:50.725]  I mean, uh, I just need some, I just need some guidance.
[00:35:51.052 --> 00:35:53.032]  You need some ammo for the Info War, right?
[00:35:53.573 --> 00:35:55.533]  How do I break this left-right paradigm?
[00:35:55.593 --> 00:36:00.674]  How do I tell them that both the Democrats and the Republicans are controlled without them scoffing at me?
[00:36:00.734 --> 00:36:03.255]  First of all, you're probably at a disadvantage because you're a younger guy.
[00:36:03.275 --> 00:36:04.335]  You sound like a younger guy.
[00:36:04.675 --> 00:36:07.196]  And everybody who's older, they already think they know it all.
[00:36:07.216 --> 00:36:10.277]  They don't want some young punk telling them what's going on.
[00:36:10.677 --> 00:36:11.337]  What I would do
[00:36:11.937 --> 00:36:12.337]  I think so.
[00:36:33.234 --> 00:36:36.839]  Try to explain to the guy that Clinton was brought up by Bush Sr.
[00:36:36.919 --> 00:36:40.864]  He ran cocaine for him in the 80s through the Iran-Contra scandal.
[00:36:41.024 --> 00:36:42.686]  You've got to break these barrier lines.
[00:36:42.806 --> 00:36:49.014]  I think that YouTube videos and movies, since nobody reads anymore, really do speak the best language.
[00:36:49.034 --> 00:36:50.555]  But if you're talking to some older people...
[00:36:51.937 --> 00:37:05.308]  I just, I don't have it here in front of me, but there was this CFR document from May of 2008 laying out this entire plan for global governance, basically all the economic stuff that just happened to the G20 and explained to him, hey, this is an organization of both sides.
[00:37:05.668 --> 00:37:07.310]  They predicted this thing was going to happen.
[00:37:07.350 --> 00:37:08.150]  They engineered it.
[00:37:08.471 --> 00:37:09.852]  It's right here in black and white.
[00:37:09.932 --> 00:37:11.153]  Please take the time to read it.
[00:37:11.453 --> 00:37:12.494]  You just got to be persistent.
[00:37:12.554 --> 00:37:15.657]  Not everybody's going to turn around in a day or a week or a month or a year.
[00:37:15.937 --> 00:37:17.158]  Sometimes it takes a long time.
[00:37:17.198 --> 00:37:18.159]  I thank you for the call, Juan.
[00:37:18.599 --> 00:37:21.200]  All right, let's jump to Chris in Louisiana.
[00:37:21.260 --> 00:37:22.340]  Chris, you're online.
[00:37:23.320 --> 00:37:24.340]  Hi, how you doing?
[00:37:24.621 --> 00:37:25.021]  Good, man.
[00:37:26.481 --> 00:37:33.163]  Look, I just wanted to call, I was calling, I've watched Endgames and the Obama deception recently.
[00:37:33.183 --> 00:37:33.763]  Uh-huh.
[00:37:34.683 --> 00:37:44.465]  And they really opened up my eyes to a lot of things that I see going on in the management of our natural resources here in South Louisiana.
[00:37:45.086 --> 00:37:45.206]  Mm-hmm.
[00:37:47.648 --> 00:37:55.386]  I'm wondering, like, what is it that someone that lives in South Louisiana can do to curtail some of this raping of the environment?
[00:37:55.745 --> 00:37:59.607]  Well, first of all, you've got to find out what legislation is passed in your area.
[00:37:59.627 --> 00:38:09.233]  You know, in Tennessee, they're already putting in this $2 billion carbon credit system because they believe the carbon credit is inevitable and we're going to have it.
[00:38:09.253 --> 00:38:10.593]  So you have to fight things like that.
[00:38:10.853 --> 00:38:16.216]  You know, when they're trying to tax you on the flatulence of your cattle or your livestock.
[00:38:16.236 --> 00:38:20.279]  Yeah, that's a big issue in South Vermilion Parish here.
[00:38:21.400 --> 00:38:32.085]  Well, you have to get some... You're a constituent of these other people, so you have to get a local representative, somebody in your Congress or State Senate, to propose some kind of legislation that's going to help you.
[00:38:32.365 --> 00:38:33.246]  And then you have to publicize.
[00:38:33.266 --> 00:38:34.566]  You have to get your neighbors on board.
[00:38:34.587 --> 00:38:36.547]  You have to say, look, this is really what they're doing.
[00:38:36.768 --> 00:38:44.331]  I mean, they just passed another bill, this big Land Grab Act, which was an amalgamation of 160 other conservation bills.
[00:38:44.711 --> 00:38:49.714]  In this G20 communique, they openly state that climate change is irreversible.
[00:38:50.074 --> 00:38:50.154]  And
[00:39:09.804 --> 00:39:10.504]  Get behind it.
[00:39:10.704 --> 00:39:12.485]  Go to your city council meeting.
[00:39:12.805 --> 00:39:14.226]  Go say, this is what we want.
[00:39:14.286 --> 00:39:15.286]  Go vote on these things.
[00:39:15.647 --> 00:39:17.287]  Just become more proactive.
[00:39:17.507 --> 00:39:20.309]  You'd be surprised what you can do when you leave your house.
[00:39:20.349 --> 00:39:21.449]  I thank you for the call, Juan.
[00:39:22.530 --> 00:39:23.330]  That was Chris, I'm sorry.
[00:39:23.350 --> 00:39:24.410]  I thank you for the call, Chris.
[00:39:24.691 --> 00:39:26.952]  Let's jump to Brad in New Hampshire.
[00:39:26.972 --> 00:39:27.652]  Brad, you're on the line.
[00:39:28.332 --> 00:39:29.233]  Hey, how you doing, Jason?
[00:39:29.533 --> 00:39:29.753]  Good.
[00:39:30.893 --> 00:39:34.735]  I'd just like to touch base on what you were saying about population control.
[00:39:35.255 --> 00:39:39.257]  I don't think people get the magnitude of what these people are about to do.
[00:39:40.009 --> 00:39:42.671]  I mean, they want to kill 80% of us.
[00:39:43.412 --> 00:39:45.534]  And you know, this is no delusion, nothing crazy.
[00:39:45.894 --> 00:39:47.656]  I mean, they've stated it in their documents.
[00:39:48.196 --> 00:39:52.600]  Alex has said it a million times, you've said it a million times, but people still don't get it.
[00:39:55.356 --> 00:40:02.305]  We can play video clip after video clip of all these people talking about a sustainable society, talking about how there's too many people in the world already.
[00:40:02.826 --> 00:40:04.048]  I don't know what doesn't click.
[00:40:04.468 --> 00:40:07.893]  Look, they put AIDS in the Factor VIII.
[00:40:07.993 --> 00:40:12.679]  They put cancer viruses, SV40, in the polio vaccines.
[00:40:13.100 --> 00:40:13.620]  We're good to go.
[00:40:37.034 --> 00:40:40.338]  And they're cutting it with a poisonous heavy metal called mercury.
[00:40:40.619 --> 00:40:41.179]  I don't know.
[00:40:41.420 --> 00:40:42.741]  You gotta be brain dead.
[00:40:42.761 --> 00:40:47.027]  I mean, we almost had this argument with Tarpley at one point when he was here, you know.
[00:40:47.447 --> 00:40:49.951]  Oh, there's a boogeyman behind every corner, Tarpley.
[00:40:49.971 --> 00:40:52.073]  I go, listen, Tarpley, it's not a mistake.
[00:40:52.634 --> 00:40:59.516]  That they send out a bird flu vaccination to 14 other nations and it's killing a ferret.
[00:41:12.839 --> 00:41:14.720]  Well, Jason, here's another point I'd like to make.
[00:41:14.740 --> 00:41:17.501]  I was living in Hampton, New Hampshire, and right next to Hampton is the Seabrook Power Plant.
[00:41:38.189 --> 00:41:44.390]  And every night, all of a sudden, I'd see a helicopter light flashing out on the edge of a place called Boar's Head.
[00:41:44.950 --> 00:41:45.891]  They'd fire a flare.
[00:41:46.491 --> 00:41:50.551]  They'd square around the flare a few times and then just take off.
[00:41:51.532 --> 00:41:55.152]  And I saw this night after night after night for months.
[00:41:55.873 --> 00:42:00.193]  And then maybe a year later, I was driving through Portsmouth at night with my girlfriend.
[00:42:00.213 --> 00:42:01.834]  Somebody actually saw it with me for once.
[00:42:03.703 --> 00:42:05.624]  All of a sudden, I see this helicopter light come on.
[00:42:05.845 --> 00:42:09.327]  You know, there was nothing in the sky, and all of a sudden, the flashing light and the red light come on.
[00:42:09.808 --> 00:42:14.591]  They fire a flare, and this was right over the old Air Force base that we had up here.
[00:42:14.611 --> 00:42:15.172]  Mm-hmm.
[00:42:15.752 --> 00:42:16.833]  So what do you suspect this is?
[00:42:18.975 --> 00:42:19.335]  I don't know.
[00:42:19.355 --> 00:42:28.982]  I think they're checking wind direction for a possible attack on the Seabrook plant, or... You know, I just think it's funny that they would do something like this near the Seabrook plant.
[00:42:30.003 --> 00:42:30.243]  Mm-hmm.
[00:42:30.323 --> 00:42:31.124]  Oh, that sounds interesting, yeah.
[00:42:32.605 --> 00:42:38.587]  You know, that's usually the prevailing wind in the direction which they shot it from, which is usually a southwest wind sweeping across that way.
[00:42:39.287 --> 00:42:40.447]  Brad, I thank you for the call.
[00:42:40.487 --> 00:42:41.567]  It's the Alex Jones Show.
[00:42:41.587 --> 00:42:42.608]  We'll be back after this.
[00:42:42.648 --> 00:42:45.508]  We're live right now, folks, over at ThePrisonPlanet.tv.
[00:42:45.548 --> 00:42:48.489]  Get a membership, watch the Obama Deception, Fabled Enemies, today!
[00:42:48.889 --> 00:42:49.269]  And this!
[00:42:50.070 --> 00:42:51.370]  Back after this, InfoWars.com.
[00:43:02.748 --> 00:43:04.190]  Are you embarrassed by your legs?
[00:43:04.590 --> 00:43:06.292]  Are your legs sore and irritated?
[00:43:06.573 --> 00:43:09.777]  Millions of women suffer from leg pain due to varicose veins.
[00:43:10.037 --> 00:43:14.683]  When varicose veins prevent you from living and enjoying your everyday life, you need VaniLuxe.
[00:43:14.983 --> 00:43:20.250]  VaniLuxe is a dietary tool formulated to restore naturally beautiful legs from the inside out.
[00:43:20.470 --> 00:43:28.332]  As part of your healthy lifestyle, Vaniolux promotes antioxidant action throughout your body to calm varicose veins and support fit legs for life.
[00:43:28.613 --> 00:43:34.414]  Vaniolux has helped women all over the world relieve varicose vein pain and restore the confidence to bare their legs.
[00:43:34.774 --> 00:43:39.016]  Now it's your chance to benefit with Vaniolux free when you call 1-888-VANIOLUX.
[00:43:39.936 --> 00:43:42.318]  In the New World Order's war against humanity,
[00:44:05.712 --> 00:44:07.837]  Barack Obama is the tip of the spear.
[00:44:08.338 --> 00:44:15.392]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:44:15.916 --> 00:44:22.102]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:44:22.442 --> 00:44:24.324]  Well, Obama's already fudging.
[00:44:24.464 --> 00:44:26.886]  He's fudged since day one in this election.
[00:44:26.967 --> 00:44:37.937]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:44:38.547 --> 00:44:39.827]  It's not about left or right.
[00:44:40.207 --> 00:44:41.608]  It's about a one world government.
[00:44:42.068 --> 00:44:48.390]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:44:48.970 --> 00:44:56.772]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:44:57.232 --> 00:44:58.392]  The Obama Deception.
[00:44:58.813 --> 00:45:00.013]  The people strike back.
[00:45:01.946 --> 00:45:12.034]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh nutritious vegetables will make it to your dinner table?
[00:45:12.514 --> 00:45:13.575]  Garden in a can!
[00:45:13.935 --> 00:45:17.498]  Garden in a can is your source for premium long-term storable seeds.
[00:45:18.079 --> 00:45:19.840]  Garden in a can is ready when you are.
[00:45:20.100 --> 00:45:22.382]  Plant them now or store them for when you really need them.
[00:45:22.863 --> 00:45:31.865]  There are 16 large hermetically sealed non-hybrid open pollinated packets of seeds along with detailed planting instructions sealed in a can for ultimate long-term protection.
[00:45:32.532 --> 00:45:33.533]  Garden in a Can.
[00:45:33.953 --> 00:45:34.793]  It's that simple.
[00:45:35.154 --> 00:45:37.015]  Fresh, healthy, easy.
[00:45:37.555 --> 00:45:41.498]  Only $69.95 for over a half acre of safe fresh vegetables.
[00:45:41.898 --> 00:45:42.798]  Ready when you are.
[00:45:43.459 --> 00:45:47.081]  Stop procrastinating and start preparing with Garden in a Can.
[00:45:47.541 --> 00:45:50.643]  For more details visit GardenInACan.com today.
[00:45:51.023 --> 00:45:53.545]  That's GardenInACan.com or call 866-598-7396.
[00:45:53.565 --> 00:45:53.605]  866-598-7396.
[00:46:18.417 --> 00:46:19.939]  We are back!
[00:46:20.099 --> 00:46:24.845]  The Alex Jones Show.
[00:46:24.945 --> 00:46:27.488]  I'm Jason Burmas sitting in.
[00:46:28.129 --> 00:46:29.671]  Looking for a love train, folks!
[00:46:35.417 --> 00:46:35.618]  Hey!
[00:46:39.130 --> 00:46:42.011]  See, if that was what globalism was all about, I'd be all about it.
[00:46:42.031 --> 00:46:44.492]  We'd be joining hands, we'd be a big disco party.
[00:46:44.752 --> 00:46:46.172]  That's not what globalism is about.
[00:46:46.192 --> 00:46:55.476]  It's about people, like, their hands turning yellow as they die and they cough things up and they realize that they've been poisoned by the eugenicists, by the globalists.
[00:46:55.556 --> 00:46:56.276]  That's what it's about.
[00:46:56.296 --> 00:46:58.817]  I wanna play this clip.
[00:46:59.858 --> 00:47:03.485]  Coming up at the 8 after break, I'll do a little intro into it.
[00:47:03.545 --> 00:47:06.450]  Max Keiser was on Paris TV and it's a long clip.
[00:47:06.470 --> 00:47:09.615]  We're probably going to play the whole thing because everything he says is relative.
[00:47:09.856 --> 00:47:12.540]  He not only brings up the controlled coup d'etat,
[00:47:13.626 --> 00:47:16.069]  through the financial institutions that just happened.
[00:47:16.529 --> 00:47:21.314]  But he relates it to 9-11 and the collapse of Building 7 and the Twin Towers.
[00:47:22.255 --> 00:47:24.718]  Basically, it's the controlled demolition coup d'etat.
[00:47:25.018 --> 00:47:28.041]  And that article is over at theinfowarrior.com.
[00:47:28.082 --> 00:47:30.784]  We do about, you know, we do one or two blogs a day over there.
[00:47:31.385 --> 00:47:39.048]  I'll try to hit up the important information, but Max Keiser killed, and he killed so much that we're going to be having him on the Jones Show, I believe, on Monday.
[00:47:39.428 --> 00:47:46.931]  He'll be joining us, and then he'll be on my program, The Info Warrior, which is the nighttime program, 9 to 12 Central, on Wednesday.
[00:47:47.531 --> 00:47:48.471]  Very important stuff.
[00:47:48.591 --> 00:47:54.994]  All right, let's take a couple calls in this final segment of the third hour, and then we're going to go right into the fourth hour.
[00:47:55.874 --> 00:47:57.155]  And Max Keiser's clip.
[00:47:57.175 --> 00:48:00.497]  I mean, folks, he breaks it down so eloquently.
[00:48:00.757 --> 00:48:05.320]  And when I heard him say it was a controlled demolition coup d'etat, I just could not.
[00:48:05.501 --> 00:48:07.082]  He's like, this is all being controlled.
[00:48:07.122 --> 00:48:08.282]  I don't think you understand.
[00:48:08.302 --> 00:48:09.243]  They're gutting the dollar.
[00:48:09.263 --> 00:48:12.966]  I don't want to do a bad impersonation of him, but he's got that kind of a voice.
[00:48:13.326 --> 00:48:13.506]  All right.
[00:48:13.526 --> 00:48:16.788]  Let's go to, I believe we are on Joshua in California.
[00:48:17.389 --> 00:48:17.949]  Josh, you're up.
[00:48:18.970 --> 00:48:19.630]  Oh, hey, Jason.
