[00:00:04.195 --> 00:00:09.617]  The web, efoodsdirect.com, 800-409-5633.
[00:24:24.600 --> 00:24:27.083]  Yeah, we've interviewed him several times.
[00:24:27.223 --> 00:24:29.145]  Maricopa County Sheriff Joe Arpaio.
[00:24:29.206 --> 00:24:31.528]  Love him or hate him, he is enforcing immigration law.
[00:24:31.949 --> 00:24:39.997]  And all over the country, I've interviewed scores of sheriffs and police chiefs where they'll arrest illegal aliens for drunk driving or 10 people being in a van without seatbelts or whatever.
[00:24:40.338 --> 00:24:42.280]  You know, no ID, weapons, whatever.
[00:24:43.341 --> 00:24:44.963]  And they just release them.
[00:24:46.167 --> 00:24:48.428]  I'm sure you've all seen that in the newspaper, how they release them.
[00:24:48.868 --> 00:24:54.070]  But instead, they're going to actually, they're going after Arpaio, a former FBI agent in his own right.
[00:24:54.731 --> 00:25:06.376]  The Justice Department has launched an investigation of the Maricopa County Sheriff's Office in Arizona following requests by Congressional Democrats and allegations by liberal activists that the department has violated the civil rights of illegal aliens.
[00:25:06.756 --> 00:25:13.719]  Representative John Conyers, who won't go after Bush for his crimes, Gerald Nadler and others requested the investigation.
[00:25:14.625 --> 00:25:29.530]  And it focuses on Sheriff Joe Arpaio and dozens of officers under his command who are trained for the Department of Homeland Security's Immigration and Customs Enforcement Agreements of cooperation in communities to enhance safety and security, which partners with federal and local law enforcement to enforce immigration laws.
[00:25:30.615 --> 00:25:30.675]  Yes.
[00:25:46.866 --> 00:25:53.772]  Drug cartels, they want to ban most semi-automatic rifles, ban gun shows, further register American citizens.
[00:25:53.832 --> 00:25:55.173]  It's from the Associated Press.
[00:25:55.673 --> 00:25:57.435]  You know, Mexico has a total gun ban.
[00:25:57.755 --> 00:25:59.496]  They have one of the highest crime rates in the world.
[00:25:59.516 --> 00:26:01.578]  I think the highest now, as of last year.
[00:26:01.598 --> 00:26:03.199]  That's right, it's the highest now.
[00:26:04.000 --> 00:26:04.981]  State Department's reported.
[00:26:05.621 --> 00:26:09.224]  And, you know, Chicago and New York have the highest crime rates in our country with total gun bans.
[00:26:09.865 --> 00:26:13.808]  And actually, when you read their reports saying the majority of guns
[00:26:14.264 --> 00:26:15.885]  They find cartels with them from the U.S.
[00:26:16.266 --> 00:26:19.228]  That's low-level gangbangers selling drugs here in the U.S.
[00:26:19.628 --> 00:26:25.172]  When you read the reports on Mexico from the State Department, they're buying them from the Mexican military and police.
[00:26:25.432 --> 00:26:26.393]  They're fully auto.
[00:26:26.753 --> 00:26:33.699]  In fact, in this AP article, they have the Attorney General Holder last week, Monday, bad-mouthing the Second Amendment.
[00:26:33.719 --> 00:26:41.905]  Remember, he debated and filed a brief last year for a gun control group before he was even Attorney General.
[00:26:41.925 --> 00:26:43.566]  He was previously Deputy Attorney General under Clinton.
[00:26:44.534 --> 00:26:45.115]  It's not true.
[00:27:02.938 --> 00:27:03.999]  They just know the public's ignorant.
[00:27:04.019 --> 00:27:08.481]  You know, every day on the news they show polar bears on floating ice and say they can't swim.
[00:27:08.501 --> 00:27:10.782]  It's the best swimming mammal there is.
[00:27:11.042 --> 00:27:12.162]  They go out there to hunt seals.
[00:27:12.403 --> 00:27:14.544]  But they know the public's uninformed.
[00:27:14.924 --> 00:27:15.884]  So they'll tell you they're drowning.
[00:27:15.964 --> 00:27:16.585]  Okay, whatever.
[00:27:16.625 --> 00:27:18.766]  Their population's actually exploded to record levels.
[00:27:18.786 --> 00:27:19.506]  But, you know, so what?
[00:27:20.907 --> 00:27:21.607]  Back to the border.
[00:27:21.667 --> 00:27:23.928]  Homeland Security plans for violence on U.S.
[00:27:23.968 --> 00:27:24.288]  border.
[00:27:24.348 --> 00:27:25.789]  This out of the Associated Press.
[00:27:26.789 --> 00:27:29.651]  Talk about how the border's basically collapsing and Mexico's collapsing.
[00:27:29.671 --> 00:27:30.172]  Their answer?
[00:27:30.192 --> 00:27:31.212]  Disarm the American people.
[00:27:31.232 --> 00:27:35.376]  Yeah, that's a wonderful idea, so then only the criminals will have guns.
[00:27:35.456 --> 00:27:39.258]  Big story we broke four days ago at InfoWars.com.
[00:27:39.459 --> 00:27:48.946]  Two different state police officers out of California and Missouri sent me federally written Threat Integration Fusion Center documents where they list Ron Paul, Libertarian Party, Bob Barr,
[00:27:50.240 --> 00:27:53.521]  People that believe in North American Union as a dangerous terrorist.
[00:27:53.541 --> 00:27:56.102]  They said followers of Ron Paul want to kill police.
[00:27:56.342 --> 00:27:58.683]  But it says, you know, don't release these documents.
[00:27:58.703 --> 00:27:59.364]  These are secret.
[00:27:59.384 --> 00:28:00.944]  And then we put it out.
[00:28:01.464 --> 00:28:06.586]  And with the phone number to the state police offices where they issued these, but it was federally written, people didn't believe it.
[00:28:06.686 --> 00:28:09.107]  So we've since updated it with the names.
[00:28:09.367 --> 00:28:10.628]  We called up the state police.
[00:28:11.963 --> 00:28:15.306]  And we've got Captain Hull and Holtz and all of them.
[00:28:15.826 --> 00:28:17.207]  There, you can call the phone number.
[00:28:17.267 --> 00:28:18.148]  You can talk to them.
[00:28:18.508 --> 00:28:19.088]  It's real.
[00:28:19.189 --> 00:28:19.969]  It really happened.
[00:28:20.790 --> 00:28:21.891]  This is really going on.
[00:28:21.931 --> 00:28:23.412]  This is how they're brainwashing police.
[00:28:24.332 --> 00:28:26.694]  So, stop living in denial out there.
[00:28:27.975 --> 00:28:30.697]  Meanwhile, Ron Paul, he really is a congressman.
[00:28:30.757 --> 00:28:32.058]  Congressman really does exist.
[00:28:32.118 --> 00:28:33.299]  Congress really does exist.
[00:28:33.599 --> 00:28:34.720]  Madoff really does exist.
[00:28:35.361 --> 00:28:38.483]  The $9.7 trillion stolen in the bailout really does exist.
[00:28:39.434 --> 00:28:42.757]  They're openly announcing a world government bank that will control everything we do.
[00:28:42.817 --> 00:28:43.778]  That really does exist.
[00:28:44.798 --> 00:28:45.699]  I really do exist.
[00:28:45.739 --> 00:28:48.261]  I mean, there really are threats to our liberty in history.
[00:28:48.862 --> 00:28:52.164]  Ron Paul, culprits of financial collapse, should be arrested.
[00:28:53.125 --> 00:29:03.674]  Congressman Ron Paul says the people responsible for the economic crisis should not be hailed as saviors and given more power to fix the problem they created, but arrested and criminally prosecuted.
[00:29:04.454 --> 00:29:17.463]  Paul told the Alex Jones Show that the only way the Private Fellow Reserve could be brought under control would be the result of a mass uprising, noting that there is a lot more awareness in Washington about the Fed's contribution to the economic crisis.
[00:29:17.743 --> 00:29:22.586]  He's also introduced a bill to abolish the Private Fellow Reserve and audit the Private Fellow Reserve.
[00:29:22.606 --> 00:29:24.327]  I was speaking on my show a few days ago.
[00:29:24.347 --> 00:29:25.488]  A weekday show.
[00:29:25.868 --> 00:29:31.112]  Okay, we're going to come back, take your phone calls, and get into a bunch of other, even more important news.
[00:29:31.132 --> 00:29:31.592]  Stay with us.
[00:29:32.675 --> 00:29:36.318]  Everyone knows that Omega-3 should be an essential part of our daily diet.
[00:29:36.379 --> 00:29:42.004]  With so many different methods of consumption, how do you choose a simple yet effective way to get your daily intake?
[00:29:42.124 --> 00:29:46.167]  The friendly, knowledgeable folks at North American Nutrition have the answer.
[00:29:46.468 --> 00:29:48.750]  Nature's Gem Premium Omega-3.
[00:29:48.930 --> 00:29:54.735]  Unlike other flaxseed, our golden flax is grown on our farm in northern Minnesota, providing cooler temperatures
[00:29:54.755 --> 00:29:55.515]  We're good to go.
[00:30:12.324 --> 00:30:14.225]  Nature's Gem Golden Flax is pure.
[00:30:14.365 --> 00:30:17.748]  There is nothing added and nothing taken away and non-GMO.
[00:30:17.888 --> 00:30:20.210]  We offer a 100% money back guarantee.
[00:30:20.330 --> 00:30:23.992]  Order Nature's Gem Premium Golden Flax today at GoldenFlax.com.
[00:30:24.152 --> 00:30:25.914]  Golden F-L-A-X.com.
[00:30:26.074 --> 00:30:26.534]  Or call 800-387-5516.
[00:30:26.594 --> 00:30:26.774]  That's 800-387-5516.
[00:30:26.814 --> 00:30:27.495]  Free shipping included.
[00:30:34.420 --> 00:30:36.100]  Life Change Tea sets the standard.
[00:30:36.240 --> 00:30:39.521]  Have you heard on radio all the new teas with funny names?
[00:30:39.781 --> 00:30:42.922]  Louis stars, celebrities endorsing these products and so on?
[00:30:43.342 --> 00:30:44.462]  Have you checked the results?
[00:30:44.942 --> 00:30:48.083]  Not the pictures of the bikini babes and such, but the results.
[00:30:48.323 --> 00:30:53.524]  Have you checked their pricing and the funky three-month contracts and all that stuff?
[00:30:53.664 --> 00:30:54.804]  Have you checked their results?
[00:30:54.824 --> 00:30:55.884]  Oh, that's right, I said that.
[00:30:55.924 --> 00:30:58.185]  Did you check the ingredients and you check for caffeine?
[00:30:58.385 --> 00:30:58.905]  Yeah!
[00:30:59.645 --> 00:31:01.486]  Life Change Tea is the real deal.
[00:31:01.506 --> 00:31:06.149]  Not a new yippee-yi-yay tea, but a tea if you drink it daily, it'll change your life.
[00:31:06.569 --> 00:31:07.830]  And it will clean your body.
[00:31:08.030 --> 00:31:09.071]  Our middle name is Results.
[00:31:09.351 --> 00:31:11.573]  You can pay more and you can have a celebrity smile.
[00:31:11.753 --> 00:31:12.573]  Or you can get Results.
[00:31:12.813 --> 00:31:13.234]  Your call.
[00:31:13.394 --> 00:31:15.375]  Or should I say, make the call.
[00:31:15.615 --> 00:31:16.116]  Get the tee at 928-308-0408.
[00:31:16.136 --> 00:31:16.316]  That's 928-308-0408.
[00:31:16.376 --> 00:31:17.577]  Or you can order online at GetTheTee.com.
[00:31:17.597 --> 00:31:18.097]  That's GetTheTee.com.
[00:31:18.117 --> 00:31:19.198]  Order now for real results.
[00:31:33.078 --> 00:31:35.458]  This year, millions of people will lose electricity.
[00:31:35.819 --> 00:31:39.819]  Ice storms, earthquakes, flooding, or hurricanes could leave you without power for days.
[00:31:40.259 --> 00:31:44.160]  Anyone that's ever been in a blackout knows that the first thing you need is a flashlight.
[00:31:44.580 --> 00:31:46.481]  That's why you need the Paclite.
[00:31:46.761 --> 00:31:51.201]  The Paclite is powered by a 9-volt battery and lasts up to 1,200 hours.
[00:31:51.561 --> 00:31:57.843]  It's so small, it fits right in your pocket and glows in the dark, making it easy to find when you need it most.
[00:31:58.443 --> 00:31:59.643]  One Florida customer says,
[00:32:00.123 --> 00:32:08.188]  My Paclite has lasted through four hurricanes in two years, over 30 days without electricity, and I'm still using the same battery.
[00:32:08.728 --> 00:32:12.850]  The Paclite comes with a 25 year warranty and prices start at just $12.99.
[00:32:13.371 --> 00:32:16.252]  It's time for you to be prepared with a Paclite.
[00:32:16.712 --> 00:32:18.593]  Visit us at 9voltlite.com.
[00:32:18.974 --> 00:32:20.755]  That's 9voltlite.com.
[00:32:21.115 --> 00:32:23.316]  Or call us today, toll free at 877-715-4448.
[00:32:26.858 --> 00:32:30.283]  That's 877-715-4448.
[00:32:30.383 --> 00:32:35.790]  It's a new year full of uncertainties.
[00:32:36.370 --> 00:32:38.874]  People are being laid off in record numbers.
[00:32:39.454 --> 00:32:43.620]  The price of food continues to rise and the economy continues to falter.
[00:32:44.361 --> 00:32:46.143]  You know that you need to prepare.
[00:32:46.484 --> 00:32:49.527]  And maybe you've been putting it off, but the time to act is now.
[00:32:49.887 --> 00:32:52.851]  That's why you need to visit OrganicaSeed.com.
[00:32:53.191 --> 00:33:04.544]  At OrganicaSeed.com, you'll find one of the largest online selections of heirloom seeds and survival seed packs, as well as the giant vegetable seed collections that can feed you and your family for years.
[00:33:04.964 --> 00:33:11.447]  Imagine growing your very own fresh vegetables, wheatgrass, fruits, herbs, rice, tea, coffee, and tobacco.
[00:33:11.747 --> 00:33:17.490]  With detailed growing guides available to you at no charge, you can maximize your harvest and investment.
[00:33:17.790 --> 00:33:18.510]  And the best part?
[00:33:18.830 --> 00:33:21.091]  All orders ship within 24 hours.
[00:33:21.552 --> 00:33:24.273]  So head over to OrganicaSeed.com.
[00:33:24.553 --> 00:33:29.095]  That's O-R-G-A-N-I-C-A-Seed.com.
[00:33:29.515 --> 00:33:31.216]  OrganicaSeed.com today!
[00:33:34.269 --> 00:33:35.469]  You are listening to GCN.
[00:33:35.489 --> 00:33:38.470]  Visit GCNlive.com today.
[00:33:59.776 --> 00:34:02.137]  All right, ladies and gentlemen, we are back live.
[00:34:02.177 --> 00:34:03.838]  Thank you for joining us on this Sunday edition.
[00:34:03.878 --> 00:34:04.999]  Your calls are coming up.
[00:34:05.519 --> 00:34:07.340]  Folks all across the country and the planet.
[00:34:08.140 --> 00:34:12.963]  The toll-free number to join us is 877-590-5525.
[00:34:16.025 --> 00:34:17.825]  Some of the other news I have here in front of me.
[00:34:18.166 --> 00:34:24.169]  Governor Perry, who's about as conservative as Mao Zedong, rejects $555 million in federal stimulus money.
[00:34:29.119 --> 00:34:31.160]  $787 billion.
[00:34:31.500 --> 00:34:38.341]  And I know that at least, in the reports I saw, $60 billion of that was going to Texas.
[00:34:39.301 --> 00:34:45.182]  They take our state money, they take it to Washington, they send back a few pennies of it, and then call it free federal money.
[00:34:45.222 --> 00:34:49.963]  And I hear all these newscasts, the feds are saying this is the only money we get and that we're bad.
[00:34:50.383 --> 00:34:52.563]  But we're lucky they're there, basically.
[00:34:52.983 --> 00:34:53.884]  Meanwhile, it's our money.
[00:34:54.404 --> 00:34:55.844]  And then Perry does this stunt.
[00:34:59.008 --> 00:35:09.270]  He engages in this stunt where he comes out and says, I'm rejecting $555 million of it because it's very unpopular.
[00:35:09.811 --> 00:35:11.371]  So he's trying to, again, look conservative.
[00:35:11.751 --> 00:35:25.054]  From the center of a Houston hardware store, Governor Rick Perry ignited a debate about Texas job cuts, business taxes, and President Barack Obama's so-called economic stimulus program Thursday by rejecting the federal government's offer of $555 million in aid to the unemployed.
[00:35:29.972 --> 00:35:39.697]  The action now moves the legislature, which can bypass Perry and take the offer as long as it changes state laws and blocks Republican Perry's potential veto.
[00:35:40.758 --> 00:35:43.119]  Democratic lawmakers said they will try that.
[00:35:44.940 --> 00:35:49.383]  So, you know, he's taken billions of it, but he's turning back five hundred and something million of it.
[00:35:51.744 --> 00:35:55.286]  You know, they've created two new income taxes on business owners.
[00:35:55.866 --> 00:35:58.688]  They always say Texas doesn't have an income tax, so it made business floodier.
[00:35:59.269 --> 00:36:00.330]  Well, we do have one now.
[00:36:02.192 --> 00:36:03.833]  And I own a business, small business.
[00:36:03.853 --> 00:36:09.859]  You know, that's my studio and TV studio and the film production studio we've got in South Austin.
[00:36:10.459 --> 00:36:11.760]  I got like 20 employees now.
[00:36:12.781 --> 00:36:19.648]  And just bureaucrats show up at your office and they demand to be let in without warrants or anything.
[00:36:19.888 --> 00:36:22.150]  We say no, but then they just magically assess you.
[00:36:23.778 --> 00:36:26.419]  And they just say, oh, this computer's worth $50,000.
[00:36:26.579 --> 00:36:29.861]  It could be a literal $500 computer.
[00:36:30.461 --> 00:36:35.904]  And we've got some of those little cheap e-machines and stuff, just for basic stuff.
[00:36:36.324 --> 00:36:37.785]  They go, no, that computer's worth $10,000.
[00:36:38.225 --> 00:36:41.847]  And they just guesstimate.
[00:36:41.867 --> 00:36:45.348]  And this has been going on for four years.
[00:36:45.448 --> 00:36:46.829]  So this year, we let them in.
[00:36:46.849 --> 00:36:49.791]  And they said, oh, that couch has got to be worth $10,000.
[00:36:54.617 --> 00:36:57.218]  Oh, this stack of videotapes, what's that worth, $1,000?
[00:36:57.658 --> 00:37:15.762]  And so then you have to go prove and hold receipts and spend all your time bookkeeping just to prove that your $1,000 computer didn't cost $10,000, or your $500 computer didn't cost $6,000, or God forbid you actually have a $4,000, $5,000 editing computer for film.
[00:37:16.182 --> 00:37:17.162]  We've got quite a few of those.
[00:37:17.242 --> 00:37:20.103]  Oh, that's got to be a $20,000 machine!
[00:37:21.083 --> 00:37:23.984]  And then they want a percentage, just like Massachusetts,
[00:37:24.631 --> 00:37:27.274]  Of everything in your office, it is a property tax.
[00:37:27.854 --> 00:37:28.815]  A business property tax.
[00:37:29.055 --> 00:37:32.339]  But now they have a business franchise tax that's really an income tax.
[00:37:33.159 --> 00:37:44.050]  And they look at your gross, and they do a calculation with what you keep, and so you gotta give all your federal income tax stuff to them, and it's just bureaucrats, bureaucrats.
[00:37:45.071 --> 00:37:45.952]  It's disgusting.
[00:37:47.000 --> 00:37:50.321]  Meanwhile, the businesses are shutting down and everything else is leaving the country.
[00:37:50.801 --> 00:37:55.823]  There's just more and more police and more and more bureaucrats and more and more checkpoints and more and more fines and fees and regulations.
[00:37:55.883 --> 00:37:59.805]  It's just really disgusting to have this going on.
[00:38:00.045 --> 00:38:04.246]  And they're talking about some type of new regional EMS tax.
[00:38:05.967 --> 00:38:08.027]  Well, you're for saving people when they're hurt, aren't you?
[00:38:08.047 --> 00:38:08.748]  It has nothing to do with that.
[00:38:08.788 --> 00:38:12.989]  Like, we're for the lottery.
[00:38:13.349 --> 00:38:14.530]  It'll be for education.
[00:38:16.007 --> 00:38:19.709]  The pittance goes towards that, and then all the poor people go and dump their paycheck on every week.
[00:38:20.369 --> 00:38:22.611]  I mean, it just goes on and on, the scams.
[00:38:22.631 --> 00:38:27.373]  We have a mafia government that engages in stunts like Perry.
[00:38:28.134 --> 00:38:32.976]  You know, Ron Paul has said properly, and he's right, he votes against the bills, the spending bills.
[00:38:33.757 --> 00:38:38.079]  But then once the money's being served out, he gets record amounts of money to South Texas.
[00:38:38.580 --> 00:38:39.300]  What's the point?
[00:38:39.904 --> 00:38:41.245]  The money's going to go somewhere else.
[00:38:41.465 --> 00:38:42.705]  He votes against the bill.
[00:38:43.185 --> 00:38:54.089]  But then when the money is going to be served out anyways, he actually tries to get it down to South Texas for shrimp and other fisheries to try to restock the ocean so we can have some business down there left for people.
[00:38:55.310 --> 00:38:57.231]  And he put it out, we need more earmarks.
[00:38:57.611 --> 00:38:59.611]  An earmark just says what it's supposed to be spent on in a bill.
[00:39:00.572 --> 00:39:05.734]  You know, you have the $9.7 trillion, according to Bloomberg and AP, stolen so far by the offshore private banks.
[00:39:06.254 --> 00:39:07.554]  Yeah, it's $9.7 trillion, not $700 billion.
[00:39:09.818 --> 00:39:12.218]  I was watching Fox News today, and they were saying it was $2 billion.
[00:39:13.019 --> 00:39:21.700]  That's Bloomberg's lawsuit from four and a half months ago, a few weeks into the bailout, where the federal government said, we're not going to let you know how much money we've spent on the $2 billion.
[00:39:22.000 --> 00:39:23.180]  It's now $9.7 billion.
[00:39:23.440 --> 00:39:25.461]  But see, the media is still debating that $2 trillion number.
[00:39:26.341 --> 00:39:29.001]  I was watching Fox right before it went on air, and they were having a special on it.
[00:39:29.181 --> 00:39:29.901]  Some of you might have seen it.
[00:39:30.342 --> 00:39:31.762]  And it was just more disinformation.
[00:39:32.122 --> 00:39:34.182]  In the name of whistleblowing, they're whitewashing.
[00:39:34.202 --> 00:39:35.062]  You understand how that works?
[00:39:35.803 --> 00:39:38.483]  So, it's bad.
[00:39:40.879 --> 00:39:42.800]  It's real bad, and Ron Paul wants earmarks.
[00:39:42.840 --> 00:39:44.842]  He wants to know where that money's going.
[00:39:44.862 --> 00:39:46.402]  But oh no, we can't have earmarks.
[00:39:46.422 --> 00:39:47.723]  I mean, they train the public.
[00:39:50.625 --> 00:39:52.646]  180 degrees from what reality is.
[00:39:53.867 --> 00:39:56.249]  An earmark just means that it's listed where it's going to be spent.
[00:39:57.349 --> 00:39:58.750]  And is there pork associated with that?
[00:39:59.150 --> 00:39:59.971]  You bet your butt.
[00:40:01.432 --> 00:40:08.216]  But the media always talks about these, you know, pork barrel projects of bridges, or wooden arrows, or sports stadiums.
[00:40:09.283 --> 00:40:16.246]  Hey, that's fascism, because they give it to their cronies, you know, the contracts, and it's kind of socialism as far as the jobs go.
[00:40:16.766 --> 00:40:33.092]  But it's a lot better than just, hey, here's $9.7 trillion to foreign banks and we don't know where it is, so instead they've got us debating all day the $787 million stimulus instead of the $9.7 trillion banker hijacking that they call a bailout.
[00:40:34.373 --> 00:40:35.613]  We knew this was going to come out.
[00:40:35.733 --> 00:40:36.773]  I told you so.
[00:40:36.814 --> 00:40:37.894]  It's now come out that the
[00:40:38.667 --> 00:40:47.331]  Shooter in Alabama was in some weird government training program with the military and the police as an auxiliary, and was in psychiatric care, probably on medication.
[00:40:47.771 --> 00:40:55.694]  And the AP reports the German shooter was in psychiatric care and was on a serotonin reuptake inhibitor of the Prozac class.
[00:40:55.934 --> 00:40:56.915]  They won't say what drug.
[00:40:57.475 --> 00:41:00.276]  Because I've never seen a case where it doesn't come out where they aren't.
[00:41:00.956 --> 00:41:06.919]  That chimpanzee that ripped the woman's jaw off and eyeballs out, he was on a Prozac drug.
[00:41:08.183 --> 00:41:09.864]  I forget which one, but it's the same thing.
[00:41:09.924 --> 00:41:13.746]  It's like, a McDonald's is a Burger King, a Prozac is a Luvox.
[00:41:13.827 --> 00:41:14.247]  I mean, you know.
[00:41:16.268 --> 00:41:17.569]  In fact, let me get the exact drug.
[00:41:17.649 --> 00:41:20.371]  Google, uh, chimpanzee was on drugs.
[00:41:20.451 --> 00:41:22.912]  And then just shot in my ear with the name of it, because I can't remember.
[00:41:22.932 --> 00:41:25.914]  I just want to give out the actual name of the quote, antidepressant.
[00:41:26.174 --> 00:41:29.676]  When I went on the inserts of those by law, it admits it causes psychotic breaks.
[00:41:30.677 --> 00:41:35.160]  Oh, gee, every shooter and every chimpanzee that murders people is on these.
[00:41:36.864 --> 00:41:37.644]  But everything's okay.
[00:41:37.684 --> 00:41:38.965]  Let's just ban the guns.
[00:41:39.445 --> 00:41:41.966]  Let's not have people running around on the loony pills.
[00:41:43.807 --> 00:41:44.727]  Oh yeah, they're real happy.
[00:41:44.747 --> 00:41:46.468]  Until they have a bad trip.
[00:41:47.729 --> 00:41:48.889]  Serotonin reuptake inhibitor.
[00:41:49.509 --> 00:41:50.070]  Xanax.
[00:41:50.130 --> 00:41:52.070]  Yeah, the chimpanzee was on Xanax.
[00:41:52.090 --> 00:41:52.371]  Thank you.
[00:41:52.391 --> 00:41:53.411]  That's one of the really strong ones.
[00:41:54.051 --> 00:41:55.032]  Even stronger than Prozac.
[00:41:55.092 --> 00:41:55.652]  Okay, thank you.
[00:41:55.932 --> 00:41:58.093]  I thought that, but I wanted to double check.
[00:42:00.914 --> 00:42:01.775]  But it goes on here.
[00:42:01.815 --> 00:42:05.136]  The Associated Press confirms the story widely published across the world.
[00:42:06.041 --> 00:42:17.466]  Police investigator Siegfried Mahler states, on the record, that the shooter underwent severe treatment sessions for depression in a psychiatric clinic and was prescribed a session of outpatient therapy, which he never began.
[00:42:17.547 --> 00:42:21.769]  Thus, the shooter was on psychiatric medications and then quit using them.
[00:42:21.789 --> 00:42:24.050]  This created a classic antidepressant withdrawal crisis.
[00:42:24.510 --> 00:42:29.372]  Oh yeah, they'll make you go cuckoo for Cocoa Puffs and chop your children's arms off.
[00:42:29.432 --> 00:42:31.873]  Every time you hear about that... I've talked about this before.
[00:42:32.394 --> 00:42:32.994]  I mean, every time...
[00:42:34.266 --> 00:42:35.427]  Yeah, that was a Dallas case.
[00:42:35.447 --> 00:42:37.408]  You were working at a news station at the time.
[00:42:37.428 --> 00:42:38.689]  I remember she was on that.
[00:42:38.729 --> 00:42:41.491]  But they had another woman chop her baby's arms off in Houston.
[00:42:41.511 --> 00:42:41.951]  She was on it.
[00:42:42.432 --> 00:42:43.993]  And the woman that drowned her kids was on it.
[00:42:44.333 --> 00:42:45.454]  And the women that killed their kids.
[00:42:46.074 --> 00:42:46.815]  They're always on it.
[00:42:47.495 --> 00:43:03.827]  Because it's very rare to have people, or simians for that matter, and we're certainly somewhat similar to chimpanzees, don't do things like this unless they're hopped up on hallucinogens.
[00:43:06.189 --> 00:43:11.854]  But, um, that's just some of the news and information I have here in front of me.
[00:43:11.874 --> 00:43:16.198]  Okay, I promise we're going to Sean, Dan, Brian, Scott, Matt, many others, as soon as we come back.
[00:43:16.558 --> 00:43:19.941]  And then later in the next hour, I'll tell you about my new film, The Obama Deception.
[00:43:20.321 --> 00:43:24.385]  It's out right now at PrisonPlanet.tv in super high quality, or order the DVD.
[00:43:24.885 --> 00:43:27.187]  Start shipping tomorrow at InfoWars.com.
[00:43:27.588 --> 00:43:31.771]  This is the preeminent film exposing Obama as a New World Order frontman.
[00:43:31.811 --> 00:43:32.232]  Stay with us.
[00:43:32.552 --> 00:43:37.134]  Phase One of the Insiders' plan for a One World Government has been initiated with the recent bailout.
[00:43:37.475 --> 00:43:44.658]  International bankers and power brokers have engineered the current crisis to create a new currency and a new World Bank to act as savior.
[00:43:44.919 --> 00:43:46.319]  But we've only seen the beginning.
[00:43:46.519 --> 00:43:50.421]  Their next engineered crisis will be on a scale never before seen in modern times.
[00:43:50.682 --> 00:43:54.283]  Shortages and empty shelves will spread fear and panic across the land.
[00:43:54.524 --> 00:43:58.606]  The Insiders have discovered that they must control two things to seize total power.
[00:43:58.986 --> 00:44:00.947]  Phase One is a One World Currency.
[00:44:01.267 --> 00:44:01.787]  We're good to go.
[00:44:32.589 --> 00:44:36.874]  Rough roads might be ahead for the economy, but your vehicle doesn't have to experience them.
[00:44:37.154 --> 00:44:39.758]  Can't afford a new vehicle or even an expensive repair?
[00:44:40.038 --> 00:44:46.606]  Now you can take care of your vehicle with Protecta Engine Oil Booster by SFR, which is a fully synthetic oil booster.
[00:44:46.806 --> 00:44:50.571]  Protecta Engine Oil Booster fortifies your motor oil to help your engine last longer.
[00:44:50.751 --> 00:44:56.873]  Protecta Engine Oil Booster has been tested by independent laboratories and proven in over 1 million vehicles worldwide.
[00:44:57.113 --> 00:45:01.494]  We'll give you enough Protecta Engine Oil Booster for 5 complete oil changes for only $22.95.
[00:45:01.854 --> 00:45:05.075]  That's enough for 2 vehicles for up to 1 year.
[00:45:05.355 --> 00:45:07.176]  Start taking care of your vehicle today.
[00:45:07.456 --> 00:45:10.397]  Take advantage of this limited time offer and receive free shipping.
[00:45:10.597 --> 00:45:14.098]  Protecta Engine Oil Booster is the last defense against engine wear.
[00:45:14.298 --> 00:45:16.959]  Go to oilcompanysecret.com or call 1-888-873-7371.
[00:45:16.979 --> 00:45:17.899]  That's oilcompanysecret.com or 888-873-7371.
[00:45:17.919 --> 00:45:19.220]  Satisfaction guaranteed or your money back.
[00:45:19.260 --> 00:45:21.441]  Call 888-873-7371 or visit oilcompanysecret.com.
[00:45:33.070 --> 00:45:40.212]  We know identity scams have grown in the past six months because identity thieves are working overtime taking advantage of this economic crisis.
[00:45:40.733 --> 00:45:42.613]  I'm Todd Davis, CEO of LifeLock.
[00:45:42.753 --> 00:45:47.795]  I talk to people every day about identity theft and I know a lot of you are scared and nervous.
[00:45:48.135 --> 00:45:49.936]  I'm here to tell you, you don't have to be.
[00:45:50.197 --> 00:45:58.343]  Another identity is stolen every three seconds, but you can have the security and peace of mind that comes with being protected by LifeLock for just pennies a day.
[00:45:58.583 --> 00:46:07.770]  LifeLock is number one in identity theft protection because we work to stop identity theft before it happens, or we fix it at our expense up to one million dollars.
[00:46:08.070 --> 00:46:09.892]  Don't spend another minute worrying.
[00:46:10.152 --> 00:46:11.253]  Call LifeLock now.
[00:46:11.493 --> 00:46:13.235]  Get instant protection by calling 1-800-605-4229.
[00:46:13.255 --> 00:46:14.977]  Call right now and you'll also get 30 days absolutely free.
[00:46:15.037 --> 00:46:15.598]  That's 1-800-605-4229.
[00:46:15.758 --> 00:46:18.060]  Get the peace of mind LifeLock provides today.
[00:46:18.081 --> 00:46:19.462]  Use promo code FREEMONK.
[00:46:19.482 --> 00:46:19.662]  Call 1-800-605-4229.
[00:46:19.682 --> 00:46:19.863]  Again, 1-800-605-4229.
[00:46:32.719 --> 00:46:40.804]  This year, many of us will have to make the tough decision on what to cut back on and what's essential as we prepare for an uncertain future.
[00:46:40.964 --> 00:46:45.346]  In these troubled times, one of the most important things your family can have is good health.
