[00:00:00.089 --> 00:00:01.010]  Punch it!
[00:24:52.769 --> 00:24:52.949]  269-216-9767 today!
[00:25:14.380 --> 00:25:25.209]  You know, I've been so busy covering North Korea, breaking the armistice, saying they're basically in a state of war, so busy covering the economy, I haven't even gotten to Soda Mayor.
[00:25:28.345 --> 00:25:31.487]  Who is a Hispanic supremacist.
[00:25:31.847 --> 00:25:35.629]  You know, whites have got white supremacists, blacks have got black nationalist supremacists.
[00:25:36.149 --> 00:25:41.532]  She is on record saying that a Hispanic woman can make better decisions than old white males in 2001.
[00:25:41.712 --> 00:25:44.133]  But we'll get to that clip later.
[00:25:44.153 --> 00:25:45.034]  That's mainstream news.
[00:25:45.074 --> 00:25:46.595]  I'm sure you've all heard about it a million times.
[00:25:48.195 --> 00:25:49.196]  She's anti-gun.
[00:25:51.857 --> 00:25:54.779]  And it just never ends, you know.
[00:25:55.888 --> 00:25:59.291]  We shouldn't be hearing about race from a judge.
[00:26:01.654 --> 00:26:03.476]  But that's who the global bankers hire.
[00:26:03.516 --> 00:26:05.217]  They just hire anybody that hates this country.
[00:26:06.599 --> 00:26:10.242]  And they love it.
[00:26:10.282 --> 00:26:14.426]  They love it that Obama creates all this racial tension and creates a racial debate.
[00:26:15.087 --> 00:26:18.651]  And then he has his Attorney General come out and say Americans are racist cowards.
[00:26:19.770 --> 00:26:20.711]  You know, they pimp it.
[00:26:20.771 --> 00:26:23.133]  They use it to divide and conquer the population.
[00:26:23.433 --> 00:26:24.093]  They love it.
[00:26:24.114 --> 00:26:26.696]  You know, they know she made all these racist comments.
[00:26:26.736 --> 00:26:27.336]  They know that.
[00:26:27.576 --> 00:26:28.597]  That's why they want her there.
[00:26:28.837 --> 00:26:30.679]  They want to freak everybody out, everybody fighting.
[00:26:30.899 --> 00:26:36.844]  Now, we can't have a Hispanic American man or woman or a white guy or a black guy who's actually a constitutionalist.
[00:26:38.065 --> 00:26:39.946]  Just everything is about what color somebody is.
[00:26:40.026 --> 00:26:41.628]  I mean, this country is in deep trouble.
[00:26:41.728 --> 00:26:42.869]  It's just going to get worse and worse.
[00:26:43.869 --> 00:26:45.811]  Let's continue with your phone calls here.
[00:26:46.432 --> 00:26:48.113]  Let's talk to Dave in Michigan.
[00:26:48.133 --> 00:26:48.934]  Dave, you're on the air.
[00:26:48.994 --> 00:26:49.274]  Welcome.
[00:26:50.342 --> 00:26:50.922]  Yeah, hi Alex.
[00:26:51.023 --> 00:27:07.434]  I was calling about last night's Jason Verma show when he came on air and was literally almost having a heart attack about this Supreme Court decision about no lawyers, no Miranda rights, and I was kind of surprised not to see any headlines on in-fours or PrisonPlanet.com this morning about that.
[00:27:07.874 --> 00:27:09.375]  I was really hoping that you could go into that.
[00:27:10.456 --> 00:27:14.299]  Yeah, like I said, people don't understand how small we are.
[00:27:14.559 --> 00:27:16.981]  I've got Aaron Dykes, Kurt Nemo,
[00:27:18.799 --> 00:27:22.483]  Paul Watson and Steve Watson are the four people we've got that right.
[00:27:22.523 --> 00:27:25.046]  They've got to update websites, do customer service.
[00:27:25.066 --> 00:27:29.029]  I mean, we're a small... I mean, I've got 20 employees and I can barely pay them.
[00:27:29.350 --> 00:27:36.116]  I mean, it takes a lot of money to do that and pay for the bandwidth and everything else that we do, and people just keep asking me to do this and do that.
[00:27:36.276 --> 00:27:40.400]  I did mention the Supreme Court, and I did say that was coming up.
[00:27:41.241 --> 00:27:42.382]  I don't know.
[00:27:58.743 --> 00:28:03.644]  Armistice being broken, so a state of war being between those two countries on paper.
[00:28:04.504 --> 00:28:13.166]  And what's happening in Pakistan and Iran and Israel saying they're getting ready to hit Iran and the United States and NATO and Israel launching a sneak attack on Russia on 888.
[00:28:13.567 --> 00:28:16.447]  I mean, we're in and GM saying they're about to go bankrupt.
[00:28:17.408 --> 00:28:21.148]  You know, I also wanted some time when I saw this last night to research it.
[00:28:22.809 --> 00:28:27.430]  And so I happen to have Cornell University Law School
[00:28:28.948 --> 00:28:32.390]  Sixth Amendment right to counsel, police interrogation, Miranda rights.
[00:28:33.751 --> 00:28:40.935]  And it's dealing with this ruling and it's saying that's not exactly what it does.
[00:28:41.015 --> 00:28:42.536]  So that was in my stack.
[00:28:42.556 --> 00:28:43.857]  But you're on air, sir.
[00:28:43.897 --> 00:28:45.058]  Do you have any comments about this?
[00:28:46.027 --> 00:28:49.369]  Yeah, well that's good news and I didn't mean to complain about...
[00:29:16.467 --> 00:29:18.107]  Craig Roberts told me I could post his stuff.
[00:29:18.427 --> 00:29:22.868]  Ron Paul told me we can post his stuff under our name, though my webmasters don't ever do that for some reason.
[00:29:24.208 --> 00:29:26.109]  We need more writers.
[00:29:26.409 --> 00:29:27.549]  We're a small organization.
[00:29:27.589 --> 00:29:28.849]  And listen, I'm not bitching at you.
[00:29:28.869 --> 00:29:30.409]  I'm trying to explain.
[00:29:30.990 --> 00:29:32.130]  I'm frustrated too.
[00:29:33.290 --> 00:29:35.930]  I didn't know there was 180 plus sponsors.
[00:29:36.130 --> 00:29:37.471]  It was 179 last week.
[00:29:37.731 --> 00:29:40.611]  Now it's over 180 for the Audit the Fed bill.
[00:29:41.631 --> 00:29:43.792]  People had to call up and say, didn't you know it went up through 179?
[00:29:46.696 --> 00:29:49.737]  Everybody thinks I'm omnipresent, and I'm not.
[00:29:49.777 --> 00:29:51.297]  I'm a regular guy, man.
[00:29:52.037 --> 00:29:53.078]  I'm a regular guy.
[00:29:53.418 --> 00:29:55.178]  But go ahead, your points.
[00:29:56.938 --> 00:29:58.119]  Well, that was basically it.
[00:29:58.199 --> 00:30:03.920]  I mean, I did some, I tried to find it on Google News, did some searching myself, and I couldn't come up with the article.
[00:30:03.960 --> 00:30:07.301]  But I'm looking forward to, you know, Jason coming on and discussing it with you.
[00:30:07.821 --> 00:30:13.882]  And also, all the other points that you're hitting on today are just mind-blowing and very informative.
[00:30:13.942 --> 00:30:15.963]  So, appreciate all your hard work, Alex.
[00:30:16.800 --> 00:30:17.460]  Thank you, sir.
[00:30:17.621 --> 00:30:19.842]  Yeah, no, I wasn't whining back at the listener.
[00:30:20.082 --> 00:30:25.806]  I'm just saying, we got a money bomb coming up June 11th, and I haven't even really plugged this thing.
[00:30:25.826 --> 00:30:26.707]  I haven't even talked about it.
[00:30:26.987 --> 00:30:30.929]  We need people to go sign up with the email to pledge that you're going to give.
[00:30:31.370 --> 00:30:33.531]  Go to InfoWars.com, PrisonPlanet.com.
[00:30:33.551 --> 00:30:34.352]  There's big banners.
[00:30:34.632 --> 00:30:36.553]  The website's InfoWarsMoneyBomb.com.
[00:30:36.573 --> 00:30:38.795]  Let's put that up on screen for folks, please.
[00:30:39.415 --> 00:30:40.856]  InfoWarsMoneyBomb.com.
[00:30:40.876 --> 00:30:46.320]  If you just go back to InfoWars.com, you can click on the banner right there, guys, and just punch that up for people.
[00:30:47.560 --> 00:30:50.222]  But, yeah, there it is.
[00:30:52.143 --> 00:30:52.864]  And we've raised $25,000.
[00:30:53.464 --> 00:31:00.028]  We said if people want to just go ahead and give now, go ahead and do it, but we're going to try to raise a quarter million dollars.
[00:31:00.068 --> 00:31:00.829]  Sounds like a lot.
[00:31:01.149 --> 00:31:02.610]  That's nothing.
[00:31:02.850 --> 00:31:04.891]  That barely pays for our bandwidth in a year.
[00:31:05.252 --> 00:31:10.915]  And I don't like having to get up here and spend all my time, even though I have great sponsors, talking about sponsors, pushing it.
[00:31:11.155 --> 00:31:13.597]  But do you know what radio stations have to raise to be on the air?
[00:31:13.617 --> 00:31:14.958]  You know what networks have to raise?
[00:31:15.418 --> 00:31:16.119]  We're good to go.
[00:31:24.841 --> 00:31:40.328]  I gotta be honest, though, I almost didn't do this Money Bomb because I thought, do I even want to get that money and then try to hire a couple more people because it creeps me out having to find out who's an agent, who isn't, going through the infiltrators, you know, and I'm not scared of them coming in here and setting me up and doing something.
[00:31:40.348 --> 00:31:42.909]  I'm scared of not being able to finish my work.
[00:31:43.410 --> 00:31:45.651]  I mean, I'm in real cloak and dagger type stuff, folks.
[00:31:46.071 --> 00:31:47.491]  I'm living in the real world.
[00:31:47.511 --> 00:31:48.652]  Let me tell you, it isn't pretty.
[00:31:48.992 --> 00:31:52.714]  I mean, it's pretty outside, there's a lot of great things in life, but the new world order isn't pretty.
[00:31:53.434 --> 00:31:58.295]  And so, go sign up to donate on June 11th, or you can donate now.
[00:31:58.355 --> 00:31:59.956]  We have a PayPal and credit card right there.
[00:31:59.976 --> 00:32:02.216]  You can also call the toll-free number.
[00:32:02.296 --> 00:32:05.097]  Is the toll-free number listed up there?
[00:32:05.117 --> 00:32:05.377]  888-253-3139.
[00:32:05.657 --> 00:32:09.098]  Or go buy the books, the videos, the materials.
[00:32:09.158 --> 00:32:11.959]  I mean, I tell people, make copies of my films, give them to people.
[00:32:12.239 --> 00:32:14.539]  PrisonPlanet.tv, 15 cents a day.
[00:32:14.759 --> 00:32:17.280]  We just keep upgrading it, making it better and better.
[00:32:18.480 --> 00:32:20.481]  You can download all the films, burn them to disk.
[00:32:20.821 --> 00:32:21.381]  PrisonPlanet.tv.
[00:32:23.376 --> 00:32:27.858]  You know, I wish I could spend all my time writing and making films and doing this.
[00:32:27.918 --> 00:32:47.588]  I spend most of my time fiddling with taxes, fiddling with regulations, new bureaucrats that created like three new agencies with the state of Texas that come and harass us and demand to audit things and bureaucrats stomping around like they own everything and I'm a slave and dealing with dirty tricks people are pulling and dealing with, you know,
[00:32:48.778 --> 00:32:51.819]  The power getting turned off at my house because I forget to pay a bill.
[00:32:52.159 --> 00:32:54.479]  I mean, I am a regular guy, folks.
[00:32:55.519 --> 00:32:59.200]  And just to get control of my life, I've had to stop doing as many radio interviews.
[00:32:59.260 --> 00:33:00.780]  I turn down two or three interviews a day now.
[00:33:01.500 --> 00:33:02.801]  And those people never call back.
[00:33:03.261 --> 00:33:06.061]  Those are contacts that are dead because I turned them down.
[00:33:06.861 --> 00:33:12.383]  They always get scorned because I don't see my children even two or three hours a day unless I cancel these interviews.
[00:33:12.763 --> 00:33:13.763]  I don't get the bills paid.
[00:33:15.595 --> 00:33:17.458]  Deal with employees fighting with each other.
[00:33:17.478 --> 00:33:18.699]  You know, it's all the crap.
[00:33:19.120 --> 00:33:20.822]  And I'm not complaining.
[00:33:21.143 --> 00:33:23.426]  But I don't work at some big corporation.
[00:33:23.626 --> 00:33:24.707]  I am InfoWars.
[00:33:25.268 --> 00:33:26.069]  I deal with it all.
[00:33:27.122 --> 00:33:32.885]  I deal with egomaniacs in this movement, because all of society is mentally ill and very sick right now, and very worldly.
[00:33:33.465 --> 00:33:41.530]  Constant attacks, constant infighting, and I've learned to just turn the other cheek, take it, even though I'm not wrong, I'm wrong, just good, I'll be the bad guy.
[00:33:41.830 --> 00:33:48.233]  Because we gotta beat the New World Order before they start World War III, before they release a real superflu, before they nuke a city.
[00:33:48.614 --> 00:33:50.755]  This isn't a game, this is real!
[00:33:51.857 --> 00:33:59.845]  And a lot of you out there that are sucking your thumbs and ninnying and engaging all the baloney, as things get worse and worse, you're going to wish you had taken action.
[00:34:00.606 --> 00:34:03.089]  But we still have time to stop this if people grow up.
[00:34:04.610 --> 00:34:06.132]  You've got to get on the road, though, folks.
[00:34:06.312 --> 00:34:09.215]  And again, there is no neutral position here.
[00:34:09.335 --> 00:34:11.037]  Doing nothing is a decision.
[00:34:11.918 --> 00:34:13.360]  Doing nothing has consequences.
[00:34:14.577 --> 00:34:16.258]  Either join evil or join good.
[00:34:16.338 --> 00:34:21.360]  But don't make excuses of your police or military or news people or government bureaucrats.
[00:34:21.460 --> 00:34:22.440]  You know this is evil.
[00:34:22.700 --> 00:34:23.961]  You know things are getting worse.
[00:34:24.041 --> 00:34:25.401]  You know there's corruption in place.
[00:34:25.861 --> 00:34:29.443]  And a lot of people, as they get scared, they decide to join the evil.
[00:34:29.483 --> 00:34:32.524]  They decide to do whatever they're told just to hold on.
[00:34:32.544 --> 00:34:37.225]  A lot of times as things get worse, some people wake up and take action, but just as many
[00:34:38.846 --> 00:34:40.606]  Throw themselves down before the evil.
[00:34:40.867 --> 00:34:42.047]  They become buffaloed.
[00:34:42.107 --> 00:34:42.967]  They roll over.
[00:34:43.527 --> 00:34:45.748]  I'm not rolling over, and I know I'm good.
[00:34:46.208 --> 00:34:47.108]  I know I'm real.
[00:34:47.468 --> 00:34:50.229]  I know I'm not perfect, but I'm doing the best job I can.
[00:34:51.189 --> 00:34:54.070]  I frustratedly get mad that my body gets tired.
[00:34:54.090 --> 00:35:03.793]  I frustratedly get mad that some days I don't want to work 14, 15, 16 hours a day, because I know this is a short life, and I know we're facing pure evil, and I don't have any
[00:35:06.314 --> 00:35:08.036]  Diversions or delusions about that.
[00:35:08.497 --> 00:35:09.879]  And I realize what we're facing.
[00:35:10.660 --> 00:35:17.169]  And I realize more and more that fighting the New World Order, changing the system we live in, is about an inside job.
[00:35:17.269 --> 00:35:18.451]  Like the Don Henley song says.
[00:35:19.272 --> 00:35:20.754]  It's an inside job just like it always is.
[00:35:22.026 --> 00:35:23.187]  I've got to change who I am.
[00:35:23.267 --> 00:35:24.568]  You've got to change who you are.
[00:35:25.229 --> 00:35:29.472]  You know, it doesn't even hurt my feelings with somebody I've lifted up and built and promoted.
[00:35:29.492 --> 00:35:33.896]  I mean, I don't know of anybody, except a very few people that haven't stabbed me in the back.
[00:35:34.376 --> 00:35:37.238]  Very few, like a Jason Bermas, a Jack McClam, a few others.
[00:35:37.679 --> 00:35:43.684]  Almost everyone is so obsessed with my success and my celebrity, which is a curse, really.
[00:35:43.704 --> 00:35:50.970]  You know, it's got the blessings because I can reach out and reach a lot of people, but it has the curse in that man is so fallen and people are so petty
[00:35:51.690 --> 00:35:57.612]  That all these people I tried to build up and tried to give platforms, they don't appreciate it, they hate me for it.
[00:35:58.012 --> 00:36:12.398]  When I was only looking for soldiers, I was only looking for captains, I was only looking for generals, I was only looking for people to try to raise up as I was risen up by others to be part of the big win against tyranny.
[00:36:13.414 --> 00:36:15.356]  And you know, it doesn't hurt me when I'm attacked.
[00:36:15.416 --> 00:36:16.638]  It hurts me for them.
[00:36:16.658 --> 00:36:19.280]  The megalomania, the power trips.
[00:36:19.320 --> 00:36:21.303]  And then I see in them myself.
[00:36:21.683 --> 00:36:23.805]  I see in them what I've been in the past.
[00:36:23.885 --> 00:36:25.347]  I see in them the mistakes I've made.
[00:36:25.647 --> 00:36:32.735]  I see in them how, you know, we all grow and so then you can't even really hate them.
[00:36:33.925 --> 00:36:37.668]  Now the New World Order I do really hate because they're conscious of what they're doing.
[00:36:37.728 --> 00:36:39.029]  They understand human nature.
[00:36:39.069 --> 00:36:40.170]  They understand wisdom.
[00:36:40.390 --> 00:36:52.559]  And they've decided to bend that wisdom towards dominating innocent people and doing horrible things that hurt innocence and hurt beauty and hurt creativity and hurt the human spirit that's meant to be uplifted and grow and build things.
[00:36:54.080 --> 00:37:02.566]  And I just really feel sad for those that are missing out on what life's really all about because I am discovering such fulfillment and
[00:37:07.028 --> 00:37:12.411]  I'm just changing as a person where I almost enjoy taking the blame.
[00:37:12.431 --> 00:37:13.912]  I almost enjoy being hated.
[00:37:14.152 --> 00:37:23.578]  Because I understand that that spirit of being humble is really not even the strongest spirit, even though it is.
[00:37:24.239 --> 00:37:26.160]  It's just that that's what I was meant to be.
[00:37:26.500 --> 00:37:27.401]  I'm home now.
[00:37:28.421 --> 00:37:30.062]  I've always been a good-natured person.
[00:37:30.403 --> 00:37:32.284]  You say, oh, that dog's a good-natured old dog.
[00:37:33.314 --> 00:37:34.514]  I'm a sweet person.
[00:37:35.414 --> 00:37:38.055]  And I always grew up thinking everybody was like me.
[00:37:38.095 --> 00:37:40.035]  Everybody was sweet and loving and had a big heart.
[00:37:40.275 --> 00:37:41.576]  And they don't, ladies and gentlemen.
[00:37:42.056 --> 00:37:43.316]  We're a very sick society.
[00:37:43.356 --> 00:37:46.317]  We're so cold-blooded, we'll kill 51 million babies.
[00:37:47.017 --> 00:37:47.557]  And counting.
[00:37:48.157 --> 00:37:48.877]  And be proud of it.
[00:37:49.797 --> 00:37:50.938]  And make excuses about it.
[00:37:50.958 --> 00:37:53.038]  You know, you can make excuses all day, that's murder.
[00:37:53.238 --> 00:37:57.319]  You can make excuses all day about the police turning into police state, but we all know it is.
[00:37:57.659 --> 00:38:01.540]  You can make excuses all day about the foreign bankers raping us and robbing us, but we know it is.
[00:38:03.887 --> 00:38:09.310]  Now, let's call Burmas in because the caller was talking about how he talked about it last night.
[00:38:09.510 --> 00:38:10.570]  I saw this last night.
[00:38:10.590 --> 00:38:11.931]  I actually printed it off Drudge.
[00:38:12.271 --> 00:38:15.333]  The caller was saying he... Burmas just ran off.
[00:38:15.353 --> 00:38:16.093]  He was waiting to come in here.
[00:38:18.274 --> 00:38:20.055]  The... Yeah, come on in.
[00:38:20.495 --> 00:38:25.117]  How many times... The caller is saying he can't find it.
[00:38:25.177 --> 00:38:26.618]  Let me read to you the headline.
[00:38:26.938 --> 00:38:31.100]  Supreme Court rules police can initiate suspects questioning.
[00:38:32.856 --> 00:38:46.499]  And it says, by a 5-4 vote, the conservative majority, they're not conservatives, overhaul a 23-year-old Supreme Court decision that barred the police from initiating questioning after a defendant asserted their right to an attorney and an arraignment or similar proceeding.
[00:38:47.619 --> 00:38:58.882]  See, because the police were so corrupt in the 70s and stuff and all this happened that they passed laws and had rulings that the police just can't say because they put a gun to your head or intimidated you that you said you committed the murder or whatever.
[00:39:00.502 --> 00:39:06.887]  In 1986 decision held that once a defendant invoked a right to counsel, only the suspect and not the police can initiate the contact.
[00:39:07.368 --> 00:39:11.931]  That's saying don't start interrogations on people without people's counsel.
[00:39:11.951 --> 00:39:13.993]  And that goes back to the Bill of Rights and Constitution.
[00:39:14.333 --> 00:39:16.775]  That would be conservative would be to keep that.
[00:39:17.396 --> 00:39:17.636]  See?
[00:39:17.656 --> 00:39:26.062]  And it goes on, expanding the power of police to question suspects, but it does not change the landmark 66 ruling barring the police from questioning
[00:39:26.923 --> 00:39:33.788]  A suspect, who invoked the right to remain silent or have a lawyer present, initially waived his right to a lawyer and was questioned by the police.
[00:39:34.188 --> 00:39:35.970]  He told several conflicting stories.
[00:39:36.010 --> 00:39:42.514]  Several days later, he appeared in court in a preliminary hearing and told a local judge appointed a lawyer to represent him, who could not afford an attorney.
[00:39:42.534 --> 00:39:46.397]  And how this works is they say, look at these criminals, we need to get tough on them.
[00:39:46.437 --> 00:39:48.559]  But you get Nazi Germany, you get Soviet Russia.
[00:39:48.999 --> 00:39:55.344]  You take people's due process and their protections away, you get a tyranny, which is always the greatest threat to liberty.
[00:39:55.984 --> 00:39:58.326]  Throughout history, so the founders knew to protect that.
[00:39:58.366 --> 00:40:07.513]  It sounds crazy the way the media advertises it and the way they act, but really we need these and better ten guilty men to go free than one innocent man go to prison.
[00:40:07.754 --> 00:40:15.079]  Now the attitude the feds have said, oh it doesn't matter if around the country, you know, over a third of the people on death row are totally innocent or maybe half.
[00:40:15.980 --> 00:40:17.942]  You know, a few innocent people are going to go to the
[00:40:19.093 --> 00:40:21.455]  Lethal injection, so that we are all safe.
[00:40:21.515 --> 00:40:23.097]  See, that's Napoleonic.
[00:40:23.357 --> 00:40:23.998]  That's tyranny.
[00:40:24.218 --> 00:40:31.224]  That's the flip side, the opposite of the Renaissance, of the Magna Carta, of Mosaic Law, of freedom.
[00:40:32.225 --> 00:40:35.188]  But we did pull up a Cornell Law University.
[00:40:35.208 --> 00:40:41.253]  They're saying it doesn't quite get rid of you being able to say, I'm not talking to you until I see my attorney.
[00:40:42.454 --> 00:40:47.777]  It's saying if the police can trick you to talk, they can now use it as admissible.
[00:40:47.797 --> 00:40:49.118]  But it is a pretty big deal.
[00:40:49.138 --> 00:40:49.979]  Jason, your comments on that?
[00:40:49.999 --> 00:40:51.639]  Yeah, you know, it really fired me up, Alex.
[00:40:51.679 --> 00:40:52.380]  I couldn't believe it.
[00:40:52.420 --> 00:40:55.181]  Because now the cops are just going to say, oh, he said he didn't need a lawyer.
[00:40:55.362 --> 00:41:01.305]  You know, it's going to be the cops' word against yours when they interrogate you, and it's going to be... Well, it's like rulings saying you don't have a Fourth Amendment now.
[00:41:01.445 --> 00:41:01.926]  Yeah, yeah.
[00:41:02.006 --> 00:41:04.990]  And then on top of that, they always make it look like it was so close.
[00:41:05.091 --> 00:41:06.012]  Oh, it's 5-4.
[00:41:06.192 --> 00:41:09.617]  When was the last time we saw a 9-0 or a 7-2 ruling?
[00:41:09.798 --> 00:41:10.879]  It's always 5-4.
[00:41:10.899 --> 00:41:13.724]  Oh, we were this close to keeping your civil liberties.
[00:41:13.804 --> 00:41:15.446]  Oh, but the liberals are protecting you.
[00:41:15.506 --> 00:41:17.009]  They want to ban your free speech, but...
[00:41:17.449 --> 00:41:19.130]  They'll allow you to not have to answer questions.
[00:41:19.170 --> 00:41:20.672]  It's all a dog and pony show.
[00:41:20.752 --> 00:41:21.252]  Exactly.
[00:41:21.292 --> 00:41:22.493]  And I was just so upset.
[00:41:22.553 --> 00:41:32.741]  I can't believe that if I get, you know, pulled over, detained, and I say, I'm not talking to you until I get my lawyer here, they'll just be like, okay, and just, you know, throw me to the side, maybe hit me with a baton.
[00:41:32.781 --> 00:41:34.443]  Oh, he came in with a... But you know, they already do that.
[00:41:34.463 --> 00:41:36.905]  I know a lot of people get thrown in jail for months without lawyers.
[00:41:36.925 --> 00:41:37.485]  Yeah, exactly.
[00:41:37.906 --> 00:41:38.746]  No, that's happening on paper.
[00:41:39.727 --> 00:41:40.508]  You know, that's the problem.
[00:41:40.528 --> 00:41:42.430]  They're making a Supreme Court decision about it.
[00:41:42.450 --> 00:41:43.551]  Yes, are police corrupt?
[00:41:43.571 --> 00:41:43.731]  Yes.
[00:41:43.751 --> 00:41:44.592]  Have they done this before?
[00:41:44.632 --> 00:41:44.792]  Yes.
[00:41:44.852 --> 00:41:46.454]  But now they're saying, it's okay, police.
[00:41:46.694 --> 00:41:47.815]  You can get away with this now.
[00:41:48.215 --> 00:41:53.961]  Hey, what about Loraza Mecha, member of the new Supreme Court nominee?
[00:41:54.501 --> 00:41:56.924]  I mean, this lady has come right out.
[00:41:57.124 --> 00:41:57.785]  Here's her quote.
[00:41:57.905 --> 00:42:02.709]  I would hope that a wise Latino woman with the richness of her experiences
[00:42:03.618 --> 00:42:28.238]  would more often than not reach a better conclusion than a white male hasn't lived that life and and there's and that's what judge said this is out of the new york times uh... said uh... and it goes on and she's a member of loraza and there's even more disturbing quote on the third page but you know what loraza means it means for our race everything for those outside the race nothing folks i don't care if you're hispanic or whatever i'm sick of the fact that a massive percentage
[00:42:29.350 --> 00:42:45.935]  of hispanics have been filled with this idea that get the gringos haha our race is the god grace we had uh... mayor here he had uh... as long day and said we are the subject of the race and it says whether born from experience inherent psychological cultural differences
[00:42:46.295 --> 00:42:52.762]  She said, for jurists who are women and non-white, our gender and national origins may and will make a difference in our judging.
[00:42:53.222 --> 00:42:57.747]  So, yeah, this is like a commissar who's going to inject race into this.
[00:42:58.087 --> 00:43:00.210]  This is what creates the racism, folks.
[00:43:00.230 --> 00:43:00.950]  Stay there, Jason.
[00:43:01.191 --> 00:43:01.871]  Race pimps!
[00:43:02.771 --> 00:43:05.515]  If being prepared doesn't apply to you, disregard the next minute.
[00:43:05.955 --> 00:43:08.598]  We're way beyond a question of if and when it's upon us.
[00:43:09.039 --> 00:43:13.564]  When you can't safely touch anything and a cough or sneeze can shut down your school or business.
[00:43:13.945 --> 00:43:21.054]  How would you or could you disinfect a school bus, office, locker room, place of worship or your entire home and do it in just minutes?
[00:43:21.724 --> 00:43:30.489]  Go to hazard.com and see the 8-minute video that is guaranteed to show how our unique application process can do really big jobs that you never could do before.
[00:43:31.009 --> 00:43:33.351]  H-A-Z-A-R-I-D.
[00:43:33.851 --> 00:43:37.513]  Total protection kits kill viruses, bacteria, mold, and much more.
[00:43:38.114 --> 00:43:40.415]  And they do it for less cost than what you're currently using.
[00:43:41.024 --> 00:43:44.066]  Don't risk facing shipping bottlenecks and possible shortages.
[00:43:44.606 --> 00:43:49.888]  Act now to ensure prompt delivery and to receive our two-for-one double product special.
[00:43:50.048 --> 00:43:51.529]  You can't buy Hazurid in stores.
[00:43:52.009 --> 00:43:54.811]  Order online at Hazurid.com or call 800-675-0323.
[00:43:54.851 --> 00:43:55.031]  That's 800-675-0323.
[00:44:02.048 --> 00:44:03.389]  Hey folks, Alex Jones here.
[00:44:03.569 --> 00:44:08.550]  I'm sending out a special alert to all those out there listening with credit card debt and struggling to make payments.
[00:44:08.951 --> 00:44:11.031]  I'm going to give you a very important phone number.
[00:44:11.372 --> 00:44:20.435]  Due to a declining economy and credit crisis, you now have the power to settle your debt and lower your payments by up to 60% or more by calling the bailout group.
[00:44:20.855 --> 00:44:27.597]  This program has already settled over 100 million dollars of debt and are saving individual consumers thousands of dollars.
[00:44:27.917 --> 00:44:34.059]  Folks, if you are struggling with credit card debt and those excessive interest payments, the time is now to take advantage of this opportunity.
[00:44:34.239 --> 00:44:37.900]  Call the bailout group today at 1-800-324-6554.
[00:44:38.180 --> 00:44:40.721]  I hope our listeners take advantage of this.
[00:44:40.961 --> 00:44:46.322]  The call is free and in 10 minutes they will show you how much you can save right over the phone with one simple call.
[00:44:46.562 --> 00:44:48.683]  Let the bailout group bail you out of debt.
[00:44:48.943 --> 00:44:53.205]  Reduce your payments by up to 60% and save you thousands of dollars today.
[00:44:53.445 --> 00:44:55.665]  That number again is 1-800-324-6554.
[00:44:55.685 --> 00:44:57.226]  800-324-6554.
[00:44:57.906 --> 00:45:01.427]  The Bailout Group.
[00:45:01.927 --> 00:45:02.488]  You worry.
[00:45:02.628 --> 00:45:04.708]  If you don't, you don't understand the situation.
[00:45:04.988 --> 00:45:05.249]  Hi.
[00:45:05.509 --> 00:45:08.010]  Summer's coming and now's the time to learn self-sufficiency.
[00:45:08.310 --> 00:45:12.551]  If you're going to eat from nature's bounty of wild edible plants, remember, there's a learning curve.
[00:45:12.851 --> 00:45:15.032]  Experience is the best teacher, but that means time.
[00:45:15.312 --> 00:45:18.333]  To speed it up, you'll need to build on the wisdom of a teacher who has lived it.
[00:45:18.673 --> 00:45:19.074]  We're good.
[00:45:35.610 --> 00:45:41.596]  This three-pronged learning system will take you from spectator to scholar to gourmet survivalist in weeks, not years.
[00:45:41.936 --> 00:45:44.078]  Folks, I can vouch that Linda's the real deal.
[00:45:44.298 --> 00:45:45.979]  She's my mom and I watched her do it.
[00:45:46.400 --> 00:45:50.603]  So go to upthefield.com or call 888-51-EAT-FREE.
[00:45:51.064 --> 00:45:51.704]  Start now.
[00:45:51.985 --> 00:45:52.946]  Knowledge is power.
[00:45:53.686 --> 00:45:54.507]  Better take action.
[00:45:54.707 --> 00:45:55.648]  I think a storm's coming.
[00:46:10.798 --> 00:46:16.064]  A key European Union Bilderberg Group document has just surfaced.
[00:46:16.124 --> 00:46:17.366]  Great article by a listener.
[00:46:17.866 --> 00:46:19.328]  Posted at InfoWars.com.
[00:46:19.348 --> 00:46:23.573]  Aaron's going to pop in for like five minutes coming up, and then I'm going to continue with your phone calls.
[00:46:25.814 --> 00:46:35.178]  For everybody that is patiently holding, and we're going to be talking to Jason Vermas finishing up, just a moment about this horrid Supreme Court nominee.
[00:46:35.198 --> 00:46:51.426]  I mean, could I just have a Hispanic Supreme Court judge that doesn't believe Texas and California belong to Mexico and doesn't believe that the plan of San Diego should, I mean, if she's part of La Raza, for the race everything, for those that said the race nothing, she believes the implementation of the plan of San Diego.
[00:46:52.406 --> 00:46:55.527]  And I mean, you know, again, if you don't know what that is, Google it.
[00:46:55.887 --> 00:46:59.149]  Guys, Google the plan of San Diego, and people will see it on screen.
[00:46:59.209 --> 00:47:01.290]  University of Texas, University of Mexico City.
