[00:00:06.000 --> 00:00:06.441]  Watch me!
[00:29:43.325 --> 00:29:45.585]  And take it from me folks, it really does taste great.
[00:29:45.786 --> 00:29:47.546]  Don't forget to try their other great products.
[00:29:47.886 --> 00:29:49.467]  Go to www.
[00:29:58.835 --> 00:30:06.903]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:30:07.103 --> 00:30:10.887]  Number one, new climate legislation could easily double or triple your electric bill.
[00:30:11.127 --> 00:30:11.367]  Number 2.
[00:30:11.807 --> 00:30:16.731]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:30:17.031 --> 00:30:17.471]  It's true.
[00:30:17.671 --> 00:30:21.894]  Total government control of electricity in the name of smart grid technology is coming.
[00:30:22.094 --> 00:30:22.614]  Number 3.
[00:30:23.015 --> 00:30:28.478]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:30:28.638 --> 00:30:29.139]  Number 4.
[00:30:29.319 --> 00:30:31.981]  The hurricane and dangerous summer storm season is here again.
[00:30:32.221 --> 00:30:35.643]  Every year, thousands of families lose their power from weather-related outages.
[00:30:35.883 --> 00:30:36.083]  Number 5.
[00:30:36.744 --> 00:30:40.346]  A solar power generator provides powerful backup insurance and peace of mind.
[00:30:40.566 --> 00:30:46.071]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[00:30:46.291 --> 00:30:50.874]  You can get more information at www.mysolarbackup.com.
[00:30:50.995 --> 00:30:52.556]  That's mysolarbackup.com.
[00:30:52.776 --> 00:30:55.118]  Remember, the government doesn't own the sun yet.
[00:30:55.358 --> 00:30:58.000]  So go to mysolarbackup.com or call toll free 877-327-0365.
[00:31:01.564 --> 00:31:02.665]  This is Alex Jones.
[00:31:02.946 --> 00:31:04.728]  Have you heard of the Millionaire Patriot?
[00:31:04.948 --> 00:31:05.569]  Well, you should.
[00:31:05.589 --> 00:31:10.174]  He has a free handgun and five days of firearms training waiting for you.
[00:31:10.414 --> 00:31:10.895]  That's right.
[00:31:11.235 --> 00:31:19.685]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[00:31:19.885 --> 00:31:21.166]  All for pennies on the dollar.
[00:31:21.246 --> 00:31:22.388]  Plus, if you act fast.
[00:31:22.588 --> 00:31:28.210]  The Millionaire Patriot will give you a free Springfield Armory XV pistol in the caliber of your choice.
[00:31:28.571 --> 00:31:35.073]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:31:35.454 --> 00:31:40.656]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:31:40.976 --> 00:31:42.117]  This is real.
[00:31:42.437 --> 00:31:43.178]  Don't miss out.
[00:31:43.498 --> 00:31:51.885]  Secure a Front Sight Defensive Handgun Course plus a 30 state concealed weapons permit for pennies on the dollar and get your free handgun.
[00:31:52.065 --> 00:31:54.227]  Go to FrontSight.com today.
[00:31:54.427 --> 00:31:57.930]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:31:58.130 --> 00:32:01.033]  Go to FrontSight.com for your training and free gun.
[00:32:01.906 --> 00:32:03.467]  Hello friends, this is Alex Jones.
[00:32:03.587 --> 00:32:08.208]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:32:08.328 --> 00:32:11.069]  We need to be independent, and food and water is the key.
[00:32:11.270 --> 00:32:14.151]  You'll never have to stand in a bread line if you have your own bread.
[00:32:14.331 --> 00:32:20.173]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[00:32:20.413 --> 00:32:23.336]  No one is going to take care of your family in the final equation but you.
[00:32:23.636 --> 00:32:30.563]  You know, efoodsdirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:32:30.643 --> 00:32:33.746]  And they do it at almost half the cost of last year's grocery prices.
[00:32:33.906 --> 00:32:34.106]  Call 1-800-409-5633.
[00:32:34.166 --> 00:32:35.808]  Or on the web, go to efoodsdirect.com.
[00:32:39.071 --> 00:32:45.133]  Visit efoodsdirect.com and look over the fine list of high-quality, freeze-dried, and dehydrated foods they have to offer.
[00:32:45.313 --> 00:32:49.054]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:32:49.074 --> 00:32:50.574]  Again, 1-800-409-5633 or on the web at efoodsdirect.com.
[00:32:50.594 --> 00:32:51.034]  Take action today.
[00:32:51.054 --> 00:32:52.895]  The first step is getting storable food.
[00:33:24.209 --> 00:33:27.511]  There's a man going around taking names.
[00:33:28.992 --> 00:33:32.414]  And he decides who to free and who to blame.
[00:33:34.555 --> 00:33:37.377]  Everybody won't be treated all the same.
[00:33:39.252 --> 00:33:42.196]  There'll be a golden letter reaching down.
[00:33:42.216 --> 00:33:44.660]  You know what Revelation talks about?
[00:33:44.740 --> 00:33:49.006]  How the kings of the earth traffic in the souls of men.
[00:33:50.919 --> 00:33:58.644]  And, you know, you read the old fables, and it describes kingdoms that were under spells, where they couldn't see corruption, couldn't see lies.
[00:33:58.684 --> 00:34:03.408]  And once you've committed to lies, little lies, then you start buying into the bigger ones.
[00:34:03.468 --> 00:34:04.428]  Torture's okay.
[00:34:04.488 --> 00:34:05.829]  Secret arrest is okay.
[00:34:06.550 --> 00:34:09.492]  You know, we're the good guys, but we're a country that loves death and destruction.
[00:34:10.272 --> 00:34:15.616]  And when you read the psychologists, the psychologists, the, the, the,
[00:34:17.366 --> 00:34:26.879]  The sociologist, the anthropologist, the psychiatrist, the Edward Bernays 80, 90 years ago, they all brag how we're dumb slaves.
[00:34:26.899 --> 00:34:32.587]  They all brag how they're programming us, how they're manipulating us, how they control everything we do.
[00:34:33.348 --> 00:34:41.516]  They're on incredible power trips, and they put on this fake liberal facade, but they're a bunch of cold-blooded trash breaking up the family.
[00:34:41.616 --> 00:34:45.180]  All their major textbooks that we've shown you here say the family's their enemy.
[00:34:45.460 --> 00:34:49.204]  You know, and people say, oh, they want to break the family up, or oh, they want to dumb us down.
[00:34:49.624 --> 00:34:52.086]  That isn't just a figment of imagination.
[00:34:52.126 --> 00:34:57.592]  That's not just a statement or a verbal fancy.
[00:34:59.696 --> 00:35:00.556]  It's the reality.
[00:35:01.337 --> 00:35:08.880]  And it's a group of humans setting up a predatory system where they engage in their predator hunting mode against their own people.
[00:35:09.221 --> 00:35:12.722]  And they're breeding us and dumbing us down to be more easily controlled.
[00:35:12.742 --> 00:35:13.863]  That's what David Icke is talking about.
[00:35:13.903 --> 00:35:16.264]  I just took two years of RTF.
[00:35:16.784 --> 00:35:17.685]  Radio, television, film.
[00:35:17.705 --> 00:35:30.514]  The first textbook was all about subliminal messages on radio 80 years ago and TV 60 years ago and in movie theaters and how the billboards have it and how they use sex to sell and how they're hitting the reptilian brain.
[00:35:31.134 --> 00:35:35.817]  This is a fact and so they're feeding through this virtual matrix
[00:35:36.678 --> 00:35:37.378]  And that's what it is.
[00:35:37.719 --> 00:35:39.900]  It's not a physical matrix with us in tanks.
[00:35:40.420 --> 00:35:53.648]  It's our brain in a tank inside this bodysuit being programmed by the false world, by the image makers of television in Madison Avenue, to keep us off the real world and the whole universe around us.
[00:35:53.968 --> 00:35:58.150]  Through fear, through the desire for money, sex, survival, all of this.
[00:35:58.471 --> 00:36:02.833]  But when you do what Christ said and turn loose, he that gives up his life gains his life.
[00:36:02.893 --> 00:36:04.194]  He that tries to save it loses it.
[00:36:05.558 --> 00:36:13.166]  That means when you're ready to give it all up and just don't care anymore and stop letting that program totally control you, then you go to the next level.
[00:36:13.346 --> 00:36:26.159]  And that doesn't mean we don't bounce back and forth between the higher mind, the cerebral cortex, where they say the cognitive and the soul's dwelling, and if you don't believe that, fine, that's your issue, and the animal brain.
[00:36:26.419 --> 00:36:27.581]  Regardless, through this
[00:36:29.011 --> 00:36:56.677]  Electrochemical computer, we are being programmed and manipulated, and the establishment brags about it, and they put compulsions and mental blocks in you, through culture, through television, through the jokes they make on TV, that then are repeated by people on the ground, giving it reality, in this plane of existence, not in the cyber world, the make-believe TV world, that's now becoming reality, that it's not kosher to talk about these things, and so people are in a prison for their mind.
[00:36:56.717 --> 00:36:57.817]  David Icke, please continue.
[00:36:59.390 --> 00:37:11.102]  I've just been ticking off little things, issues that you brought up, and they come under one heading, reptilian brain.
[00:37:12.043 --> 00:37:15.206]  From the reptilian brain we get all the survival mechanisms, yes, which
[00:37:16.371 --> 00:37:23.177]  Break out into multiple different expressions of what the brain perceives to be necessary to survive from.
[00:37:23.697 --> 00:37:25.218]  But we get cold-blooded behavior.
[00:37:25.679 --> 00:37:28.081]  We get the desire for power over.
[00:37:28.401 --> 00:37:30.162]  Power over comes from survival.
[00:37:30.743 --> 00:37:34.886]  The idea that if you have power over, then you've got a much greater chance of survival.
[00:37:35.266 --> 00:37:38.969]  It's one where the reptilian brains, where we get a ritualistic behavior.
[00:37:39.010 --> 00:37:39.710]  I mean, these guys
[00:37:40.971 --> 00:37:41.431]  Of course, it's
[00:37:59.955 --> 00:38:00.656]  We're good to go.
[00:38:14.103 --> 00:38:18.648]  Uh, the survival mechanisms and how they play out through problem-reaction-solution.
[00:38:19.108 --> 00:38:25.314]  When they say, oh, swine flu, pandemic, what are they saying that to?
[00:38:25.694 --> 00:38:34.022]  They're saying it to the survival responses in the reptilian brain of, oh my god, survival, do something, yes, compulsory vaccination, yes, anything.
[00:38:34.482 --> 00:38:39.627]  Terrorism, oh yes, war on terror, weapons of mass destruction, yes, invade Iraq, oh yes,
[00:38:39.887 --> 00:38:52.932]  Oh my god, it's all through the reptilian brain, because they understand how it works, and we need to understand how it works, because once we do that, the defense mechanisms start to go up, and also we can start to observe our own behavior.
[00:38:53.312 --> 00:39:01.275]  When we're reacting to things in an emotional way without calm thinking, then
[00:39:02.162 --> 00:39:03.023]  We can stop.
[00:39:03.063 --> 00:39:06.265]  I mean, I've been working on this for years now in myself.
[00:39:06.605 --> 00:39:11.768]  You get halfway through a sentence and you stop and you think, no, that's the reptilian brain being activated.
[00:39:12.068 --> 00:39:19.873]  And what you're doing as you do that, as you recognize it, is you're stopping it having that reactive power over you that it had before.
[00:39:20.213 --> 00:39:25.997]  And you move into other parts of the brain in terms of the way that you filter reality and information.
[00:39:27.613 --> 00:39:29.355]  And those get more developed.
[00:39:29.375 --> 00:39:38.541]  You start seeing the universe more and more through the higher levels of the brain, and then knowledge just explosively opens where you can't even describe it.
[00:39:38.561 --> 00:39:46.726]  Well, how can you accumulate real knowledge and awareness when you're spending the day reacting emotionally all the time?
[00:39:47.147 --> 00:39:52.530]  And I would say to people, because I'm not sitting cross-legged on a mountain here saying, here, I'm the Buddha.
[00:39:52.630 --> 00:39:54.692]  I'm telling you all how it is, and I'm perfect.
[00:39:55.132 --> 00:39:59.457]  We all are in these biological computers.
[00:39:59.697 --> 00:40:03.721]  The question is, are we going to let them live us or are we going to live them?
[00:40:03.781 --> 00:40:06.344]  Are we going to live life or are we going to allow life to live us?
[00:40:06.404 --> 00:40:10.128]  Because most people allow life to live them because of these reactive processes.
[00:40:10.348 --> 00:40:16.453]  Well, that's what John Carpenter is saying is they live, the controllers, we sleep.
[00:40:16.913 --> 00:40:20.996]  We're sleeping when we're in the reptilian brain, also tied into sleep.
[00:40:21.436 --> 00:40:22.697]  We are unconscious.
[00:40:22.717 --> 00:40:23.758]  We're really dead.
[00:40:24.318 --> 00:40:25.159]  And they live.
[00:40:25.219 --> 00:40:26.600]  It's all a big joke to them.
[00:40:27.509 --> 00:40:56.300]  Yeah, and if we can start to take control of our reactions, and when you kind of come from this point of view, and you just observe yourself for a few days, just observe yourself and the way you react, and you'll see how many conflicts between individuals, arguments, emotional responses that are right over the top, and the way that we immediately react to something instead of saying, hold on a second,
[00:40:57.313 --> 00:40:58.214]  Take a deep breath.
[00:40:58.254 --> 00:41:00.976]  Let's just calmly look at this before we start making instant decisions.
[00:41:01.856 --> 00:41:09.081]  When you do that, you realize how many times a day the reptilian brain decides your decisions for you.
[00:41:09.361 --> 00:41:11.803]  It's unbelievable the number of times it happens.
[00:41:11.883 --> 00:41:24.431]  And collectively, of course, there's a collective version of this where you have the mob rule and all the rest of it, where the reptilian brain is manipulated collectively to have a collective response and emotional reaction.
[00:41:24.511 --> 00:41:27.033]  And we've got to get control of the computer system.
[00:41:27.533 --> 00:41:29.055]  Alright, let me expand on that.
[00:41:46.806 --> 00:42:01.105]  Because it's been scientifically proven, as you know, but for listeners who may not, by thousands of universities for over a hundred years, that mice and other animals know when a hurricane or an earthquake is coming days or sometimes weeks beforehand
[00:42:01.846 --> 00:42:18.921]  They can also do double-blind studies where there's a 20-foot wall, you can't hear what's going on in the next room, but if people are agitated in the next room or being hurt, brainwaves, you know, go into a pattern of this array or being upset yourself, kind of that
[00:42:20.198 --> 00:42:48.927]  100th monkey and the the system is trying to suppress this awakening or you know I mean just in scientific terms from people being you know in a higher level when it comes to the use of their brain so that's why they're putting the fluoride in the water that's why they're injecting us with mercury that's why they're feeding us the GMO food all of this that's what the television's dumbing everything down lowering everything down how do you see this battle shaking out
[00:42:50.889 --> 00:42:59.689]  Well, if we don't become conscious and get out of control by computer programs, then it's going to go on.
[00:43:01.820 --> 00:43:07.382]  This is Alex Jones, and I want to tell you again about a company that has supported us and the Truth Movement for years.
[00:43:07.682 --> 00:43:08.842]  Inner Health Botanicals.
[00:43:08.982 --> 00:43:12.963]  This company produces the highest quality superfood around, called Inner Food.
[00:43:13.263 --> 00:43:14.804]  My wife just loves the stuff.
[00:43:15.124 --> 00:43:21.406]  And now, the health ranger Mike Adams has awarded Inner Food his Editor's Choice Award for Best Superfood of 2009.
[00:43:22.566 --> 00:43:25.107]  InnerFood is loaded with 20 great organic ingredients.
[00:43:25.428 --> 00:43:26.908]  No fillers, no sweeteners.
[00:43:27.169 --> 00:43:29.950]  It would be impossible to blend this up for a better price.
[00:43:30.190 --> 00:43:31.611]  And their formula really works.
[00:43:31.891 --> 00:43:34.452]  This is the real thing for the great health you need.
[00:43:34.713 --> 00:43:35.973]  Try the NutriCafe.
[00:43:36.193 --> 00:43:40.636]  Their great organic coffee infused with polysaccharides that boost the immune system.
[00:43:40.976 --> 00:43:43.137]  A truly healthy coffee that tastes great.
[00:43:43.397 --> 00:43:45.658]  And take it from me folks, it really does taste great.
[00:43:45.859 --> 00:43:47.620]  Don't forget to try their other great products.
[00:43:47.940 --> 00:43:50.241]  Go to www.innerfood.com.
[00:43:58.903 --> 00:44:05.745]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[00:44:05.985 --> 00:44:07.786]  Do you really know what's in your tap water?
[00:44:07.986 --> 00:44:16.248]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:44:16.508 --> 00:44:21.712]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:44:22.052 --> 00:44:23.653]  Now what are you going to do about it?
[00:44:23.914 --> 00:44:30.258]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:44:30.438 --> 00:44:34.962]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere.
[00:44:35.202 --> 00:44:35.602]  That's right.
[00:45:01.667 --> 00:45:02.767]  This is Alex Jones.
[00:45:03.047 --> 00:45:04.828]  Have you heard of the Millionaire Patriot?
[00:45:05.048 --> 00:45:05.728]  Well, you should.
[00:45:06.008 --> 00:45:10.270]  He has a free handgun and five days of firearms training waiting for you.
[00:45:10.510 --> 00:45:10.990]  That's right.
[00:45:11.310 --> 00:45:19.773]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[00:45:19.973 --> 00:45:21.234]  All for pennies on the dollar.
[00:45:21.334 --> 00:45:22.474]  Plus, if you act fast.
[00:45:22.694 --> 00:45:28.316]  The Millionaire Patriot will give you a free Springfield Armory XD pistol in the caliber of your choice.
[00:45:28.676 --> 00:45:35.179]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:45:35.559 --> 00:45:40.741]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:45:41.081 --> 00:45:42.222]  This is real.
[00:45:42.542 --> 00:45:43.283]  Don't miss out.
[00:45:43.583 --> 00:45:51.969]  Secure a Front Sight Defensive Handgun Course plus a 30 state concealed weapons permit for pennies on the dollar and get your free handgun.
[00:45:52.170 --> 00:45:54.331]  Go to FrontSight.com today.
[00:45:54.531 --> 00:45:58.034]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:45:58.234 --> 00:46:01.136]  Go to FrontSight.com for your training and free gun.
[00:46:01.917 --> 00:46:06.921]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:46:07.142 --> 00:46:10.945]  Number one, new climate legislation could easily double or triple your electric bill.
[00:46:11.165 --> 00:46:16.770]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:46:17.070 --> 00:46:21.934]  It's true, total government control of electricity in the name of smart grid technology is coming.
[00:46:22.134 --> 00:46:22.595]  Number three,
[00:46:23.035 --> 00:46:28.497]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:46:29.337 --> 00:46:31.998]  The hurricane and dangerous summer storm season is here again.
[00:46:32.239 --> 00:46:36.460]  Every year, thousands of families lose their power from weather-related outages.
[00:46:36.760 --> 00:46:40.402]  A solar power generator provides powerful backup insurance and peace of mind.
[00:46:40.602 --> 00:46:46.104]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[00:46:46.344 --> 00:46:49.445]  You can get more information at www.solutionsfromscience.com.
[00:46:49.505 --> 00:46:50.908]  MySolarBackup.com.
[00:46:51.028 --> 00:46:52.591]  That's MySolarBackup.com.
[00:46:52.811 --> 00:46:55.156]  Remember, the government doesn't own the sun yet.
[00:46:55.376 --> 00:46:58.021]  So go to MySolarBackup.com or call toll free 877-327-0365.
[00:47:14.250 --> 00:47:16.472]  He's the T-Rex of political talk.
[00:47:17.033 --> 00:47:19.795]  Alex Jones on the GCN Radio Network.
[00:47:30.124 --> 00:47:31.884]  We're talking to the folks involved with the 2012 film.
[00:47:31.904 --> 00:47:32.745]  That's all I can say.
[00:47:32.885 --> 00:47:35.385]  I'm not even allowed to show the revision numbers of this.
[00:47:35.405 --> 00:47:36.766]  But I have the 2012 script with Woody Harrelson.
[00:47:36.786 --> 00:47:37.706]  I will just tell you that.
[00:47:37.726 --> 00:47:38.806]  That just came in the mail.
[00:47:38.866 --> 00:47:40.446]  I want to thank folks for that.
[00:47:40.466 --> 00:47:41.587]  Going back to David Icke.
[00:47:57.919 --> 00:48:03.543]  You got cut off there talking about the frequency, talking about how the globalists, the controllers keep us dialed into one point.
[00:48:04.263 --> 00:48:12.869]  How do you see their New World Order plan, their goals, to build this extermination grid, this planetary government, then carry out the population reduction?
[00:48:13.389 --> 00:48:19.713]  To me, it looks like things aren't going well for them, and we're having victory after victory, and that there's an awakening accelerating.
[00:48:20.073 --> 00:48:22.195]  Do you think I'm too close?
[00:48:23.015 --> 00:48:27.881]  To the fact that we are going to win in the end and that I have a lot of faith because I'm deeper into this.
[00:48:28.401 --> 00:48:35.890]  And is that distorting my vision, in your opinion, that so many others aren't awake yet or are going deeper into the control?
[00:48:35.910 --> 00:48:37.532]  I mean, do you get the point I'm making?
[00:48:38.152 --> 00:48:52.380]  Yeah, I've never doubted that it would turn out fine in the end, but the nature of the manipulation and the programming means that a lot of people have got to go a long way down the road before they actually see it.
[00:48:53.060 --> 00:49:00.784]  And it's a case of how deeply programmed you are before you actually see it and start to realize what's happening.
[00:49:01.305 --> 00:49:07.148]  And what I've seen over the last 20 years is an exponential curve without any question
[00:49:07.748 --> 00:49:08.209]  I think so.
[00:49:08.229 --> 00:49:08.489]  I think so.
[00:49:32.149 --> 00:49:43.913]  And it was named Truth Vibrations because it was based on the fact that I was understanding at the time that there was a vibrational change coming that was going to act like an alarm clock.
[00:49:43.973 --> 00:49:45.033]  It was going to wake them up.
[00:49:45.113 --> 00:49:48.214]  It was going to tease open their minds so consciousness could enter.
[00:49:48.674 --> 00:49:52.315]  And at the time, of course, I'm thinking, well, there's no evidence of this whatsoever.
[00:49:52.335 --> 00:49:53.596]  And there wasn't for a few years.
[00:49:53.936 --> 00:49:59.242]  But with the turn into the 21st century, I'm seeing it happening more and more and more.
[00:49:59.722 --> 00:50:00.683]  And it needs to happen.
[00:50:00.803 --> 00:50:03.747]  This is the way we're going to turn this around.
[00:50:04.087 --> 00:50:11.335]  But they're going to push it obviously as much as they can to get their structure in place.
[00:50:11.375 --> 00:50:15.479]  But I do sense a feeling of increasing panic.
[00:50:16.480 --> 00:50:40.699]  Every day they take to do it more and more people are waking up and I'm very optimistic not that there's not going to be some enormous Real big challenges to come but but I'm getting more and more optimistic and you know We it's a phrase I use from time to time life tends to give us our greatest gifts brilliantly disguised as our worst nightmares and
[00:50:41.275 --> 00:50:50.704]  You know, sometimes what appears to be our worst nightmare turns out to be our greatest gift, like massive ridicule for me in the early 1990s right up to, you know, almost the year 2000.
[00:50:50.744 --> 00:51:00.834]  I went through incredible ridicule in Britain, but it set me free because it set me free of concern about what people thought of me, which allowed me to open my mind and allow consciousness in.
[00:51:01.494 --> 00:51:10.556]  And some of these challenges, you know, which we don't like, I mean, who does, are actually going to wake a lot of people up and set them free.
[00:51:10.836 --> 00:51:17.237]  There's a line in a song which goes, freedom's just another word for nothing left to lose.
[00:51:17.257 --> 00:51:24.258]  And you know, when we think we've got something to lose, that reptilian brain survival mechanism is controlling us.
[00:51:24.278 --> 00:51:26.799]  Oh my goodness, yes, anything, I don't want to lose this, anything.
[00:51:27.339 --> 00:51:31.463]  But when you lose it, then you go, well, hold on a second, what have I actually lost?
[00:51:31.483 --> 00:51:33.244]  This is okay, I can deal with this.
[00:51:33.584 --> 00:51:34.865]  And actually, life's nicer.
[00:51:34.886 --> 00:51:45.454]  And it's funny that people, I talk to so many people who lived through the Second World War in Britain who say life was much nicer during the war, because people were nicer to each other and all the rest of it.
[00:51:45.474 --> 00:51:54.342]  They never had much, and they were helping each other because they never had much, in ways that as soon as the war was over, every man for himself, all that stopped, and my goodness me, as it stopped.
[00:51:54.502 --> 00:52:00.524]  And it also made them enjoy things more because they had less... They smelled the roses.
[00:52:00.564 --> 00:52:04.925]  They smelled the roses because they thought they didn't know how long the roses were going to be there to be smelled.
[00:52:05.566 --> 00:52:10.507]  And, you know, there's so many challenges, Alex, which, and I've had some big ones in my life.
[00:52:10.527 --> 00:52:11.167]  We all have.
[00:52:11.587 --> 00:52:19.390]  When I look back, I think I didn't like it at the time, but I wouldn't change a thing because I am what I am, not despite that, but to a large extent because of it.
[00:52:19.830 --> 00:52:20.910]  Well, there's that, John.
[00:52:38.988 --> 00:52:55.285]  Absolutely and the point I was going to add is that so many people in these pyramidal power structures, they are just as imprisoned as lowly little minions of the system and more and more I'm talking to people who think of themselves as the elite and they're beginning to realize
[00:52:55.905 --> 00:52:56.766]  This is a prison.
[00:52:57.066 --> 00:52:59.589]  They're beginning to realize they're drinking sodium fluoride.
[00:52:59.609 --> 00:53:00.690]  Their kids are drinking it.
[00:53:00.970 --> 00:53:05.936]  They're beginning to realize that this system affects everybody.
[00:53:06.456 --> 00:53:14.584]  And they're beginning to realize that the television and the culture and the dumbing down is taking their children from them and destroying their own destiny.
[00:53:15.265 --> 00:53:28.692]  So I'd like you to speak to that, and then I want to bring up Rolling Stone Magazine that I just happened to see laying there on the Commons table at the Emmes building where I was doing the Sunday radio show, syndicated show.
[00:53:29.012 --> 00:53:41.779]  I want to break this down, what Ray Kurzweil is saying, and we've got our vision of the future, liberty, freedom, you know, dynamic human spirit, a new renaissance, you know, to the power of a trillion, versus
[00:53:42.819 --> 00:53:46.746]  Versus their renaissance, a very dark renaissance in their own words.
[00:53:47.427 --> 00:53:51.453]  They just say that it's beautiful, but clearly it's quite ugly.
[00:53:51.774 --> 00:53:53.397]  But I mean, can you speak to the point I just made?
[00:53:55.285 --> 00:54:13.309]  That's a point I make as often as I can because we go back to the sheep policing the herd, the sheep policing themselves, because when you're talking about people in full awareness of this agenda and in full support of
[00:54:13.649 --> 00:54:14.009]  I don't
[00:54:29.295 --> 00:54:30.235]  We're good to go.
[00:54:55.706 --> 00:55:15.082]  And so they've got, right across the system, people in dark suits and their like, who are administering this system, and are welded to it in terms of their subordination to it, or don't rock the boat, or don't step out of line, don't say anything.
[00:55:15.102 --> 00:55:19.166]  They get to dominate those under them, and they get dominated from those above them.
[00:55:19.386 --> 00:55:20.507]  It's a psycho system.
[00:55:20.687 --> 00:55:21.307]  Yes it is.
[00:55:22.428 --> 00:55:33.159]  What we need to do, this is a very important area, is to get those people to actually, again, look around them, take a deep breath, and just look at it again.
[00:55:33.179 --> 00:55:43.168]  And by connecting dots, you can let people who are in those systems realize how their dot connects with everyone else's.
[00:55:43.208 --> 00:55:45.330]  But stopping them realizing that is how they're
[00:55:45.550 --> 00:55:45.950]  I don't know.
[00:55:45.970 --> 00:55:46.371]  I don't know.
[00:56:14.531 --> 00:56:28.774]  and administered around the world to build this police state is done by people who are themselves and their children and grandchildren are going to be subjected to that police state that they're helping to build.
[00:56:28.794 --> 00:56:42.837]  They're building it for their own families, you know, and they need to start stepping out of that pyramid because when they do and refusing to play a part in it because when they do the pyramid collapses because they're holding it up
[00:56:43.257 --> 00:56:44.578]  Let me throw a point in here, David.
[00:56:45.378 --> 00:56:45.638]  Exactly.
[00:56:45.658 --> 00:56:46.418]  Let me throw a point in.
[00:56:46.458 --> 00:56:49.220]  I mean, talk about how it's all a facade and all a matrix illusion.
[00:56:49.540 --> 00:57:02.125]  Look at the world banking system out of fiat currency with a handful of less than 15 families who rule the planet because they bought off governments to say that they issued the backing of the money.
[00:57:02.545 --> 00:57:04.446]  I mean, it's all just a fraud.
[00:57:04.466 --> 00:57:08.768]  And then out of that, what they're doing right now economically, trying to bankrupt things,
[00:57:09.068 --> 00:57:13.469]  So we have to defend, depend on the state, and have to be under their control.
[00:57:13.769 --> 00:57:15.169]  Looks like a desperate gamble.
[00:57:15.669 --> 00:57:22.050]  Yeah, we have to say, we have to say, no, we're not building our own prison anymore, and then something fantastic happens.
[00:57:22.291 --> 00:57:27.331]  We stop building our own prison, and the next thing is, the prison isn't being built, and there is no prison.
[00:57:27.372 --> 00:57:33.853]  Look how many people work for the banking system, and administer it, and make it happen, compared with the number of people that own it.
[00:57:33.913 --> 00:57:34.893]  It's fantastic.
[00:57:36.587 --> 00:57:38.468]  David Icke, let's come back and talk about solutions.
[00:57:38.548 --> 00:57:40.609]  And at the bottom of the hour, start taking phone calls.
[00:57:40.669 --> 00:57:41.849]  I'm also going to get into this.
[00:57:43.710 --> 00:57:46.411]  They say the elite are going to live forever in Rolling Stone.
[00:57:46.611 --> 00:57:48.232]  Oh, I thought I heard that in Endgame.
[00:57:48.432 --> 00:57:49.352]  We'll break it down.
[00:57:49.813 --> 00:57:50.493]  FallWars.com.
[00:57:52.605 --> 00:57:54.166]  Hello friends, this is Alex Jones.
[00:57:54.266 --> 00:57:58.848]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:57:59.008 --> 00:58:01.749]  We need to be independent, and food and water is the key.
[00:58:01.969 --> 00:58:04.830]  You'll never have to stand in a bread line if you have your own bread.
[00:58:05.030 --> 00:58:08.652]  You'll never have to go to the Superdome and beg for FEMA to take care of your family.
[00:58:08.832 --> 00:58:14.037]  In any emergency, if you simply prepare, no one is going to take care of your family in the final equation but you.
[00:58:14.337 --> 00:58:21.263]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:58:21.323 --> 00:58:24.466]  And they do it at almost half the cost of last year's grocery prices.
