[00:00:00.069 --> 00:00:02.871]  Alex Jones on the GCN Radio Network.
[00:27:12.260 --> 00:27:20.688]  But the public's finding all the statements of Obama thanking his supporters for putting up his picture on stop signs, which is illegal.
[00:27:20.728 --> 00:27:21.609]  We haven't called for that.
[00:27:22.090 --> 00:27:23.571]  We've said do it in legal and lawful areas.
[00:27:24.292 --> 00:27:26.354]  They're aware that this is hypocrisy.
[00:27:26.694 --> 00:27:32.438]  They're aware that Bush was shown as a vampire and as a joker by yours truly as well, not just the media.
[00:27:32.818 --> 00:27:39.363]  And there was none of this ninnying and hand-wringing at the demigod, the fuhrer, the one, the chosen one.
[00:27:40.784 --> 00:27:46.989]  And so what happened is the public saw them ripping him down all over and went crazy and put up 10 times, 20 times more.
[00:27:47.549 --> 00:27:49.050]  So it's out of my hands now.
[00:27:49.451 --> 00:27:50.632]  It's way past the contest.
[00:27:50.652 --> 00:27:53.494]  We'll announce the winner and show you the videos Friday.
[00:27:54.946 --> 00:27:57.527]  Videos are still pouring in, hundreds and hundreds of videos.
[00:27:59.168 --> 00:28:01.049]  It's unbelievable, the people putting the posters up.
[00:28:01.369 --> 00:28:18.798]  Webster, before we get into the second front opening up against the Obamanoids and the globalist establishment, is it important to pull down his image and to defile him as the image of our Lord and Savior, so that he can't be this tool to carry out this agenda?
[00:28:19.718 --> 00:28:24.561]  Is it American to put up posters of him in a bad light, or should we be arrested for that?
[00:28:26.440 --> 00:28:38.714]  I think it's a tremendous tradition of democratic expression to engage in political caricature, and that can become quite vigorous and quite robust.
[00:28:38.934 --> 00:28:46.483]  And again, I would vote for the fascist one, because I think that is the one that is technically accurate.
[00:28:47.183 --> 00:28:52.404]  And the most damaging, because remember, Obama lives on left cover.
[00:28:53.005 --> 00:29:06.628]  He's got to be seen as a progressive, a leftist, he's got to be seen as a friend of the masses, somebody who cares about the poor, who cares about the people who don't have health insurance, who cares about people who are denied medical care.
[00:29:06.908 --> 00:29:09.129]  This is the key to his entire racket.
[00:29:09.810 --> 00:29:21.195]  And I've talked to leftists and they say, we have to be nice to Obama because we're going to court him and curry favor with him and we're going to get our little cause advanced, whatever it is that they're interested in.
[00:29:21.255 --> 00:29:23.096]  And I always say, this is exactly wrong.
[00:29:23.616 --> 00:29:28.598]  The way you deal with Obama, from the left in particular, is you criticize him mercilessly.
[00:29:28.618 --> 00:29:29.599]  You expose him.
[00:29:29.939 --> 00:29:30.779]  You attack him.
[00:29:31.039 --> 00:29:32.160]  You caricature him.
[00:29:32.200 --> 00:29:35.941]  You tear away this aura and show him for what he is.
[00:29:35.961 --> 00:29:37.382]  In other words, political realism.
[00:29:37.982 --> 00:29:45.047]  Since he needs that left cover, if you begin to strip away the left cover, then he's got to do something.
[00:29:45.348 --> 00:29:46.708]  He's got to give you concessions.
[00:29:46.769 --> 00:29:48.009]  He's got to throw you a shock.
[00:29:48.810 --> 00:30:01.259]  The lesbian, gay, transgender people, when they were boycotting a fundraiser that Obama had set up so they would come and give him money, they found that they were able to get concessions from Obama immediately.
[00:30:01.599 --> 00:30:06.323]  He gave them same-sex marriage partner rights for certain federal employees.
[00:30:07.063 --> 00:30:10.324]  In a limited way, but certainly it was a step forward for them.
[00:30:10.665 --> 00:30:12.365]  And I think that's paradigmatic.
[00:30:12.845 --> 00:30:23.890]  If you're the peace movement and you want to do something about these war policies, the only thing to do is get into the field and begin to criticize Obama, attack him, right?
[00:30:24.050 --> 00:30:26.331]  From the point of view of the media, vilify him, certainly.
[00:30:27.951 --> 00:30:28.892]  The same thing with Bush.
[00:30:29.432 --> 00:30:32.113]  And Webster, Webster, and show the hypocrisy.
[00:30:32.573 --> 00:30:34.133]  They have the CPAC meeting this year.
[00:30:34.213 --> 00:30:35.093]  Ron Paul spoke.
[00:30:35.513 --> 00:30:38.694]  All your most staunch Republican supporters there.
[00:30:39.074 --> 00:30:45.215]  They were cheering and standing, the majority of them, when he said it's not Republican to have wars.
[00:30:45.635 --> 00:30:46.836]  These wars were wrong.
[00:30:47.216 --> 00:30:49.236]  Showing most Republicans aren't pro-war.
[00:30:49.616 --> 00:30:51.017]  That illusion shattering.
[00:30:51.417 --> 00:30:52.857]  Same thing with Democrats now.
[00:30:52.917 --> 00:30:56.758]  They've got to stand up at how outrageous total number of troops
[00:30:57.578 --> 00:31:01.201]  In countries is up, total number of dead is going back up again.
[00:31:01.221 --> 00:31:03.142]  How did you know this though?
[00:31:03.162 --> 00:31:09.047]  Because back during the campaign you said, left cover is what he needs.
[00:31:09.607 --> 00:31:11.388]  Only an attack from the left will help.
[00:31:11.709 --> 00:31:13.150]  He will love a limbaugh.
[00:31:13.590 --> 00:31:15.372]  He will make Limbaugh his enemy.
[00:31:15.652 --> 00:31:29.584]  And then it turned out, White House memos came out that they love making it about Limbaugh as they run against him, discredited with the Viagra and the Hillbilly heroin, the Oxycontin, all the weirdness.
[00:31:30.505 --> 00:31:32.987]  Certainly people like Limbaugh Hannity are viewed as ogres.
[00:31:49.383 --> 00:31:55.311]  By probably two-thirds, maybe somewhat less than two-thirds now.
[00:31:57.334 --> 00:32:01.700]  I disagree with them totally, especially on economics, but that's another story.
[00:32:02.804 --> 00:32:11.131]  If you can play yourself, if it's a choice between Obama and Limbaugh, then Obama's going to win by 70-30 or 80-20 or whatever it is.
[00:32:11.552 --> 00:32:14.154]  It's going to be a small and vocal minority that will go with Limbaugh.
[00:32:14.594 --> 00:32:18.978]  So as long as you can define that as the universe of discourse, then Obama wins.
[00:32:19.418 --> 00:32:24.722]  Now the critical thing about the second front, Obama is in Phoenix, Arizona today, I believe.
[00:32:24.803 --> 00:32:26.864]  This is the Veterans of Foreign Wars Convention.
[00:32:27.144 --> 00:32:30.027]  There is an anti-war protest contingent there.
[00:32:30.487 --> 00:32:32.227]  So, I think the palm goes to them.
[00:32:32.368 --> 00:32:40.410]  I think this is, as far as I can see, the first significant anti-war demonstration anywhere is taking place in Phoenix, Arizona today.
[00:32:40.490 --> 00:32:42.150]  So, hats off to those guys.
[00:32:42.790 --> 00:32:43.750]  I hope they're vigorous.
[00:32:44.390 --> 00:32:51.012]  Generally, it takes a while for people to realize the cynicism and the warmonger commitment of Obama.
[00:32:51.072 --> 00:32:54.333]  Remember, Obama ran as the biggest warmonger.
[00:32:54.833 --> 00:32:56.275]  Bigger than McCain.
[00:32:56.456 --> 00:32:57.377]  Bigger than Hillary.
[00:32:57.797 --> 00:32:58.538]  Bigger than Bush.
[00:32:58.639 --> 00:33:05.448]  He was the one who said, I want the unilateral bombing of Northwest Pakistan with no consultation of the government.
[00:33:05.468 --> 00:33:08.653]  We want to kill Pakistanis on their own territory.
[00:33:09.173 --> 00:33:10.014]  But it's worse than that.
[00:33:10.515 --> 00:33:11.836]  He didn't just run as a big warmonger.
[00:33:12.096 --> 00:33:19.399]  He, early on, got the poll position and got noticed and came to the fore by being super anti-war.
[00:33:19.519 --> 00:33:21.380]  I'm going to end the Iraq War immediately.
[00:33:21.400 --> 00:33:27.202]  Then it was 16 months and 23 months and then they rewrote cities so bases wouldn't be in the cities.
[00:33:27.242 --> 00:33:27.903]  A semantical...
[00:33:28.843 --> 00:33:29.183]  Game.
[00:33:29.483 --> 00:33:33.065]  He rotated troops out of Iraq, those that did leave, to Afghanistan.
[00:33:33.105 --> 00:33:35.445]  Now he's replacing the troops in Iraq.
[00:33:35.685 --> 00:33:39.107]  So duplicity, lying, twisting, all the things you've talked about.
[00:33:39.467 --> 00:33:44.969]  Then he flip-flopped right into the campaign the last few months saying, I'm going to be where we need to be.
[00:33:45.009 --> 00:33:48.690]  And as you said, now a huge new war in Afghanistan.
[00:33:48.730 --> 00:33:50.271]  Is that over those pipelines?
[00:33:50.771 --> 00:33:53.832]  Or, I mean, they've got to know it's a war they're not going to win.
[00:33:55.051 --> 00:33:58.034]  No, it's not a war to win, it's a war to create chaos.
[00:33:58.094 --> 00:34:08.004]  And remember, the escalation of Afghanistan is a function of the plan to destroy Pakistan, to break it up into mini-states and micro-states, right?
[00:34:08.024 --> 00:34:15.352]  The five components, Sindh, Punjab, Balochistan, Pashtunistan, Waziristan, or tribal areas, whatever you want to call that.
[00:34:15.792 --> 00:34:18.515]  And the goal there is that this is a Chinese ally.
[00:34:18.595 --> 00:34:25.121]  Remember, the battlefield is now the Indian Ocean, from Africa to Bangladesh to Pakistan, over to Thailand, right?
[00:34:25.141 --> 00:34:28.664]  We got Tsu Chi in Burma, and an anti-Chinese function.
[00:34:28.985 --> 00:34:32.969]  So the idea is anybody who is friendly with China is now a target.
[00:34:33.309 --> 00:34:39.495]  Anybody who wants normal commercial relations, wants to sell oil, sell minerals, sell strategic raw materials,
[00:34:39.875 --> 00:34:43.576]  Do deals with the Chinese, you become an enemy of civilization.
[00:34:43.616 --> 00:34:47.037]  You become an effective terrorist, except now you're going to be more than a terrorist.
[00:34:47.057 --> 00:34:48.678]  You're going to be a human rights abuser.
[00:34:48.918 --> 00:34:50.638]  You're going to be a nuclear proliferator.
[00:34:51.399 --> 00:34:53.779]  You're going to be a humanitarian disaster.
[00:34:53.819 --> 00:34:55.160]  So, that's the targeting.
[00:34:55.740 --> 00:34:56.920]  Okay, stay there Webster.
[00:34:56.960 --> 00:35:19.886]  We're going to get back into what's happening geopolitically in about five minutes, but I wanted, since you brought up the fact of, it's great that she was considering, you'd heard, going out and speaking out, because now that archetypal image of Cindy Sheehan to expose the foundation, big money run, fake war movement, and to expose Obama for what he is, she's put out a press release
[00:35:20.766 --> 00:35:24.848]  Cindy Sheehan to lead protests against wars near Obama's vacation spot on Martha's Vineyard.
[00:35:25.088 --> 00:35:28.130]  Let's get this up on InfoWars.com and PrisonPlanet.com.
[00:35:28.610 --> 00:35:31.352]  Guys, please have Rob Dew tell the webmasters to post this.
[00:35:31.772 --> 00:35:36.735]  And everybody, go there and expose him as a warmonger.
[00:35:37.515 --> 00:35:39.736]  Cindy Sheehan, great to have you pop in with us today.
[00:35:40.457 --> 00:35:42.378]  Hey Alex, always nice to be on with you.
[00:35:43.058 --> 00:35:43.998]  Always good to have you here.
[00:35:44.018 --> 00:35:46.620]  Okay, in a nutshell, tell us where you're going and what you're doing.
[00:35:48.893 --> 00:36:04.799]  I heard back in June that Obama would be vacationing on Martha's Vineyard in August, so we've been trying to put together a protest against him, and finally everything came together this weekend where it looks like we'll be able to go out there.
[00:36:05.340 --> 00:36:14.283]  Part of the problem, and I heard you guys talking about it a little bit, is that the so-called anti-war movement doesn't want to have anything focused
[00:36:14.858 --> 00:36:21.401]  On Obama against the occupations and the wars of Afghanistan, Pakistan, and Iraq.
[00:36:21.521 --> 00:36:23.522]  And, you know, Iraq's not over yet.
[00:36:23.822 --> 00:36:30.185]  And so, anyway, we've been, we've come up against some considerable resistance from the left.
[00:36:30.365 --> 00:36:37.909]  But then, over this past week, when it looks like, oh, you know, this big debate about healthcare and, you know, all these
[00:36:38.889 --> 00:36:45.232]  Um, you know, the right playing into the hands of the Democratic Party that doesn't want to give a public option for health care.
[00:36:45.792 --> 00:36:48.873]  And so it looks like the White House is caving into that.
[00:36:48.893 --> 00:37:03.640]  And I'm like, well, why don't we on the left, the anti-war left, go out and exert pressure on him to start bringing the troops on from the Middle East and actually to, you know, enforce some kind of same foreign policy instead of
[00:37:04.355 --> 00:37:09.438]  I think that of course the wars are for chaos, but the wars are also for profit.
[00:37:09.959 --> 00:37:16.363]  So we have to exert the same kind of pressure, because if Obama can fold to the right, why can't he also fold to the left?
[00:37:16.803 --> 00:37:28.591]  Well, Cindy Sheehan, of course, lost her son over in Iraq, and is one of the big iconic images the last six, seven years, exposing these fraudulent wars of hegemon.
[00:37:32.242 --> 00:37:40.666]  How do we expose the fact that the anti-war movement is foundation funded and demand that they stand up to Obama?
[00:37:40.706 --> 00:37:42.947]  I mean, I guess we do what you're doing.
[00:37:43.427 --> 00:37:50.330]  Go out and expose that fraud or any other ideas of how we can get that done?
[00:37:50.350 --> 00:37:55.852]  Well, I certainly think that we have to remain consistent and pure.
[00:37:56.374 --> 00:37:56.574]  I don't
[00:38:16.404 --> 00:38:27.091]  Um, false debates going on, so we need to redirect it where the debate needs to be, and that's ending this empire, this military-industrial empire.
[00:38:27.111 --> 00:38:32.994]  And, um, we can't get anything else done in this country until that happens.
[00:38:33.534 --> 00:38:41.939]  And so hopefully when I go out to Martha's Vineyard, like when I went to Crawford, Texas, the press will be there, people will start being able to hear that message.
[00:38:42.320 --> 00:38:44.561]  There's many people on the so-called left
[00:38:45.336 --> 00:38:48.598]  I still think Obama is some kind of a peace person.
[00:38:48.618 --> 00:38:58.603]  So we really, that really needs to be exposed, and that myth... Well, that's because his election, obviously, has been used to totally get all these issues off the table.
[00:38:59.263 --> 00:39:00.263]  It's la-la land.
[00:39:00.684 --> 00:39:08.888]  The establishment craftily did that, making the war like it was just Bush's and not the establishment that controls both these presidents.
[00:39:08.928 --> 00:39:11.249]  But Cindy, overall, and I want to get Webster's comment on this,
[00:39:12.432 --> 00:39:15.755]  Well, you know, that's a concern that we always have to worry about.
[00:39:41.744 --> 00:40:10.826]  That doesn't mean that we quit our activism or quit speaking the truth to the power, that we have to go forward and we have to, first of all, I support 100% the 9-11 Truth Movement and I support the ballot initiative in New York City to get a new investigation going, but that's one thing that needs to be exposed over and over and over again, is how our governments do have these
[00:40:12.682 --> 00:40:13.142]  I don't know.
[00:40:13.162 --> 00:40:14.823]  I don't know who caused 9-11.
[00:40:14.843 --> 00:40:15.964]  I know you guys know.
[00:40:16.304 --> 00:40:17.364]  I don't know who caused it.
[00:40:17.664 --> 00:40:23.567]  But over and over and over again, we have these so-called disasters that get us into one war after the other.
[00:40:23.587 --> 00:40:24.527]  But not just wars.
[00:40:24.947 --> 00:40:27.568]  Having our civil liberties taken away here at home.
[00:40:27.788 --> 00:40:30.930]  We just have to keep talking about it.
[00:40:31.050 --> 00:40:35.532]  We can't let them get away with another event like that.
[00:40:35.892 --> 00:40:36.412]  Well, Ms.
[00:40:36.432 --> 00:40:38.293]  Sheehan, you know that
[00:40:40.856 --> 00:40:43.537]  It came out about Gulf of Tonkin and all these other staged events.
[00:40:43.597 --> 00:40:46.619]  It's an Army Manual.
[00:40:49.500 --> 00:40:55.803]  Miss Cindy, I'm thinking about staged events though.
[00:40:56.063 --> 00:40:57.003]  We know about Gulf of Tonkin.
[00:40:57.023 --> 00:40:58.044]  We know about other events.
[00:40:59.565 --> 00:41:03.066]  We know Cheney did want to blow up US ships and blame it on Iran.
[00:41:05.339 --> 00:41:12.015]  I think we defeat their false flag by pointing out that they may engage in false flag.
[00:41:15.649 --> 00:41:22.253]  And by not letting them play us off against each other in the left-right paradigm, which is very, very hard to do as they polarize things.
[00:41:22.293 --> 00:41:24.914]  Webster, any questions or comments for Cindy Sheehan?
[00:41:25.615 --> 00:41:26.915]  I think that's wonderful news.
[00:41:26.975 --> 00:41:29.837]  And the only question I have is, Cindy, how can people support you?
[00:41:29.897 --> 00:41:30.837]  Is there a website?
[00:41:30.917 --> 00:41:31.938]  Is there a PayPal?
[00:41:32.438 --> 00:41:35.420]  How can people link up and how can they support you financially?
[00:41:35.920 --> 00:41:38.462]  That's an awesome, awesome question.
[00:41:38.502 --> 00:41:40.303]  You can go to CindySheehanSoFox.com.
[00:41:40.403 --> 00:41:42.044]  There's a donate button.
[00:41:43.440 --> 00:41:50.446]  And if you do use PayPal, my account is Cindy at CindyCNSoapbox.com.
[00:41:53.368 --> 00:42:01.435]  And we just have to use all the tools that we have to expose the, you know, the robber class that I call them.
[00:42:01.735 --> 00:42:11.663]  It's all about the robber class, and it's all about this divide, and Bush and Obama are both members of it, and it's not about the person
[00:42:14.395 --> 00:42:14.916]  Exactly.
[00:42:14.956 --> 00:42:21.626]  The President, the personality becomes the distraction, the diversion from the real debate and the real issues.
[00:42:21.926 --> 00:42:27.775]  Well, hopefully we can get you to pop in then when you're out there demonstrating from Martha's Vineyard.
[00:42:28.055 --> 00:42:29.337]  Thank you so much, Cindy Sheehan.
[00:42:29.357 --> 00:42:30.499]  We'll get it up on the website.
[00:42:31.892 --> 00:42:32.352]  God bless you.
[00:42:32.372 --> 00:42:32.712]  Take care.
[00:42:32.772 --> 00:42:32.972]  Bye-bye.
[00:42:54.534 --> 00:43:02.055]  AirAndAqua.com is your one-stop shop for some of the most affordable air and water purification systems available on the market today.
[00:43:02.295 --> 00:43:10.537]  AirAndAqua.com knows exactly what doesn't belong in our air and our water, and they know exactly how to help you rid your home or office of these harmful toxins.
[00:43:10.857 --> 00:43:15.398]  Did you know that your skin actually absorbs more chlorine while you shower than from the water you drink?
[00:43:15.618 --> 00:43:19.318]  AirAndAqua.com can help you eliminate dangerous chlorine from your water.
[00:43:19.558 --> 00:43:23.699]  AirAndAqua.com carries atmospheric water generators, glass water bottles,
[00:43:23.979 --> 00:43:24.559]  We're good to go!
[00:43:54.799 --> 00:43:56.200]  It is a big idea.
[00:43:56.220 --> 00:43:58.341]  A New World Order.
[00:43:59.041 --> 00:44:03.602]  In the near future, Earth is dominated by a powerful world government.
[00:44:03.943 --> 00:44:06.744]  It's known as the Bilderberg Group.
[00:44:06.784 --> 00:44:09.004]  Could their objective be world domination?
[00:44:09.565 --> 00:44:12.005]  For thousands of years, their dark order grew.
[00:44:12.746 --> 00:44:20.068]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:44:23.089 --> 00:44:28.072]  For the first time in history, the elite's plan for world government is blown wide open.
[00:44:28.513 --> 00:44:32.015]  You will learn the secret that drives the entire New World Order agenda.
[00:44:32.375 --> 00:44:34.877]  Bill of Rights is making great progress toward a world government.
[00:44:34.957 --> 00:44:36.098]  Most people have no idea.
[00:44:36.118 --> 00:44:36.898]  They're not after money.
[00:44:36.918 --> 00:44:37.999]  They have all the money they need.
[00:44:38.199 --> 00:44:38.900]  They're after power.
[00:44:38.920 --> 00:44:40.040]  That's what they're after these years.
[00:44:40.341 --> 00:44:44.864]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[00:44:45.084 --> 00:44:48.566]  Or watch it online right now at PrisonPlanet.tv.
[00:44:49.006 --> 00:44:49.527]  Endgame.
[00:44:49.807 --> 00:44:51.368]  Blueprint for global enslaving.
[00:44:51.868 --> 00:44:52.909]  You have been warned.
[00:44:53.029 --> 00:44:54.851]  We're good.
[00:45:10.350 --> 00:45:21.258]  You will receive seeds to grow tomatoes, carrots, beans, broccoli, cucumbers, peppers, onions, cabbage, lettuce, pumpkins, spinach, peas, wheatgrass, and much more.
[00:45:21.498 --> 00:45:22.258]  And the best part?
[00:45:22.559 --> 00:45:27.422]  You will receive almost 6,000 seeds that you can save and replant each season for only $79.
[00:45:28.883 --> 00:45:33.226]  This means that these vegetables will only cost you about one penny for each one you grow.
[00:45:33.546 --> 00:45:38.649]  And in this economy, saving money is always welcome, especially when it comes to our food supply.
[00:45:38.929 --> 00:45:42.331]  Order now and these seeds will be shipped to you absolutely free.
[00:45:42.591 --> 00:45:46.453]  To learn more and to place your order, visit ejseed.com.
[00:45:46.633 --> 00:45:50.055]  That's the letter E, the letter J. Seed.com.
[00:45:50.315 --> 00:45:51.956]  EJseed.com.
[00:45:52.316 --> 00:45:52.857]  Order now!
[00:45:55.221 --> 00:45:55.703]  Uh huh.
[00:46:03.622 --> 00:46:09.064]  In 1814, we took a little trip along with Colonel Jackson down to mighty Mississippi.
[00:46:09.084 --> 00:46:14.225]  We took a little bacon and we took a little beans and we caught the bloody British in a town in New Orleans.
[00:46:14.525 --> 00:46:17.006]  We fired our guns and the British kept a-comin'.
[00:46:17.226 --> 00:46:23.368]  There wasn't... Again, I do hope everybody visits InfoWars.com to get their Obama Joker posters.
[00:46:23.408 --> 00:46:25.989]  We also have one as Bush as the Joker.
[00:46:26.969 --> 00:46:38.317]  I haven't gone this far yet, but I would guess that Tarpley does agree that Obama as Hitler might be a fair comparison, or maybe Obama as Mussolini.
[00:46:40.378 --> 00:46:42.400]  Mussolini is the adequate one.
[00:46:42.880 --> 00:46:46.423]  Yeah, we'll have you back up next week to really get into solutions, I promise.
[00:46:46.463 --> 00:46:48.144]  If you can do it, we'll set the tone up right.
[00:46:48.624 --> 00:46:55.189]  But let me just stress, if I could, that Cindy Sheehan is a great voice and a great cause, and now
[00:46:56.158 --> 00:47:01.205]  Any peace activist in New England, if you're in Boston, if you're in New York City, you know what to do.
[00:47:01.665 --> 00:47:07.914]  It's time to make tracks towards Martha's Vineyard and exercise your First Amendment rights.
[00:47:08.721 --> 00:47:11.263]  And protest these wars.
[00:47:11.984 --> 00:47:14.126]  And don't be fooled by left cover.
[00:47:14.286 --> 00:47:20.332]  And the way to do this is not to be exaggeratedly deferential.
[00:47:20.352 --> 00:47:28.239]  You know, please, dear Mr. President, we know you're a peace angel, but you haven't had time to listen to our pathetic little bleeding cries.
[00:47:29.136 --> 00:47:32.679]  Which is what the AWOL peace people have done, right?
[00:47:32.699 --> 00:47:34.160]  The people who have just disappeared.
[00:47:34.760 --> 00:47:44.327]  Now we've got the genuine leader of this movement coming forward, I think, quite effectively, saying that this has gone far enough and it's time to take a stand.
[00:47:44.747 --> 00:47:46.228]  This is really going to hurt Obama.
[00:47:46.308 --> 00:47:48.289]  Because how do you demonize Cindy Sheehan?
[00:47:48.670 --> 00:47:53.013]  You're not going to be able to say, you know, come out with this load of insult.
[00:47:53.073 --> 00:47:55.895]  She was demonized by the neocons back in 2005, 2006.
[00:47:58.136 --> 00:47:58.777]  What are they going to do?
[00:47:58.817 --> 00:48:00.218]  Demonize her now from the left?
[00:48:00.598 --> 00:48:01.299]  It doesn't work.
[00:48:01.359 --> 00:48:05.803]  So this is a significant factor now in Obama's predicament.
[00:48:05.823 --> 00:48:08.505]  Well, Webster, what they're going to do is, they're going to ignore.
[00:48:10.424 --> 00:48:11.965]  Well, look, the U.S.
[00:48:12.025 --> 00:48:18.711]  media may ignore her up to a point, but remember, the world media will be there.
[00:48:18.751 --> 00:48:23.275]  The Russians, the Chinese, Al Jazeera, they're going to be highly interested.
[00:48:23.355 --> 00:48:31.882]  So this is going to have a worldwide effect, and I think that then kicks over back into the U.S., because when it becomes a story around the world, they can't ignore it here.
[00:48:32.463 --> 00:48:33.924]  Yeah, that's what I was trying to say there.
[00:48:35.529 --> 00:48:43.573]  We also, though, have to, as activists getting past these political labels, say no and be involved here as well.
[00:48:43.913 --> 00:48:58.259]  Webster, I carry all four of your books for listeners, and we have the book on the economic cataclysm, we have the two books on Obama, and the book Synthetic Terror, all available at InfoWars.com or by calling toll-free 888-253-3139.
[00:48:59.460 --> 00:49:01.200]  Webster, as always, thank you so much.
[00:49:01.240 --> 00:49:02.941]  Webster's in our film, The Obama Deception.
[00:49:03.261 --> 00:49:04.622]  He's in the new film coming out.
[00:49:05.382 --> 00:49:07.427]  Uh, in, uh, October.
[00:49:07.767 --> 00:49:09.932]  So again, Webster, thank you so much for spending time with us.
[00:49:09.952 --> 00:49:10.312]  Bye-bye.
[00:49:10.633 --> 00:49:10.913]  You bet.
[00:49:10.934 --> 00:49:11.274]  Take care.
[00:49:11.314 --> 00:49:11.915]  There goes Webster.
[00:49:13.228 --> 00:49:19.413]  Okay, we had Alan Keyes last week, and he rescheduled a couple times.
[00:49:19.533 --> 00:49:20.033]  Very busy.
[00:49:20.954 --> 00:49:23.756]  Our next guest rescheduled a couple times on us.
[00:49:23.816 --> 00:49:25.678]  We'll see if they show up for the show.
[00:49:26.538 --> 00:49:30.922]  They haven't rescheduled, so I believe we're about to have them on after we go to break here and come back.
[00:49:31.522 --> 00:49:37.827]  I do want to get one more sponsor out of the way that made today's show possible, and then we'll come back with our guest.
[00:49:37.887 --> 00:49:39.669]  And in the last 30 minutes, I'm going to get into the flu.
[00:49:42.591 --> 00:49:43.692]  And all the other things that are happening.
[00:49:44.513 --> 00:49:45.233]  Acolablue.
[00:49:45.314 --> 00:49:46.475]  Acolablue.com.
[00:49:47.135 --> 00:49:50.198]  The super high quality atmospheric water generator.
[00:49:50.658 --> 00:49:53.781]  Did you know you can be drinking fresh, clean water made right from the air you breathe?
[00:49:54.102 --> 00:49:56.003]  No, this isn't something out of a science fiction book.
[00:49:56.063 --> 00:49:57.004]  Our sponsor, Acolablue.
[00:49:57.881 --> 00:49:58.741]  We're good to go.
[00:50:18.336 --> 00:50:19.276]  Thank you for listening to GCN.
[00:50:19.296 --> 00:50:22.398]  Be sure to visit GCNlive.com today.
[00:50:44.261 --> 00:50:46.863]  Hello, this is Alex Jones with some important questions.
[00:50:47.264 --> 00:50:52.248]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:50:52.609 --> 00:50:54.350]  My answer would be all I can get.
[00:50:54.650 --> 00:50:59.475]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:50:59.655 --> 00:51:00.576]  How much do you want?
[00:51:00.816 --> 00:51:01.577]  When do you want it?
[00:51:01.957 --> 00:51:03.559]  Now or after the battle starts?
[00:51:03.839 --> 00:51:04.660]  When will you need it?
[00:51:04.920 --> 00:51:06.983]  Can you buy it without proper identification?
[00:51:07.123 --> 00:51:08.224]  Will there be any food?
[00:51:08.464 --> 00:51:09.806]  Will it make your children sick?
[00:51:09.986 --> 00:51:15.051]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[00:51:15.251 --> 00:51:18.395]  You wipe out all these problems if you have a good food supply.
[00:51:18.835 --> 00:51:22.337]  Food is your ammunition to fight for your freedom and your life.
[00:51:22.637 --> 00:51:23.638]  How much will you need?
[00:51:23.878 --> 00:51:24.498]  We don't know.
[00:51:24.778 --> 00:51:25.679]  How much do you want?
[00:51:25.879 --> 00:51:26.619]  All you can get.
[00:51:26.819 --> 00:51:27.660]  I'm Alex Jones.
[00:51:27.900 --> 00:51:30.662]  I want all of you good guys to live to fight another day.
[00:51:30.962 --> 00:51:32.723]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[00:51:32.743 --> 00:51:33.643]  Again, that number 1-800-409-5633.
[00:51:46.818 --> 00:51:48.744]  Waging War on Corruption!
[00:51:49.205 --> 00:51:51.994]  Alex Jones on the GCN Radio Network!
[00:52:07.708 --> 00:52:12.553]  Ladies and gentlemen, I really enjoy doing this syndicated radio show because I get to talk to so many neat people.
[00:52:13.334 --> 00:52:14.335]  And the new book is out.
[00:52:14.375 --> 00:52:15.416]  It's already a bestseller.
[00:52:15.776 --> 00:52:19.180]  Buzz Aldrin, Magnificent Desolation.
[00:52:20.683 --> 00:52:23.585]  And he really doesn't need much of an introduction.
[00:52:23.645 --> 00:52:30.350]  What a doctor, colonel in the military, one of the first guys to walk on the moon with Neil Armstrong.
[00:52:30.711 --> 00:52:31.411]  Just amazing.
[00:52:32.092 --> 00:52:33.853]  And I got his book about two weeks ago.
[00:52:33.893 --> 00:52:34.994]  I've read almost all of it.
[00:52:35.534 --> 00:52:37.716]  One of the best books by an astronaut I've read.
[00:52:37.776 --> 00:52:41.679]  I love the name, Magnificent Desolation.
[00:52:41.719 --> 00:52:46.442]  Here it is as we simulcast on the internet as well for the Prison Planet TV viewers.
[00:52:48.043 --> 00:52:49.665]  Buzz Aldrin, it's great to have you here with us.
[00:52:50.897 --> 00:52:52.378]  I am happy to be with you.
[00:52:53.199 --> 00:52:53.999]  Life is great.
[00:52:54.079 --> 00:52:59.023]  The sun is beginning to shine here in foggy LA.
[00:53:00.484 --> 00:53:02.706]  Absolutely, out there in Los Angeles.
[00:53:02.906 --> 00:53:04.207]  There is so much to get into.
[00:53:04.507 --> 00:53:07.449]  Why the name, Magnificent Desolation?
[00:53:09.231 --> 00:53:17.637]  Well, I wasn't given the challenge or really the opportunity of a formalized utterance on
[00:53:18.927 --> 00:53:22.070]  I'm joining Neil on the surface of the moon.
