[00:00:00.009 --> 00:00:00.129]  It's
[00:31:12.003 --> 00:31:13.304]  Alex, good to talk to you.
[00:31:13.384 --> 00:31:16.387]  Thank you very much for all the great work that you do.
[00:31:18.028 --> 00:31:39.806]  Here in Iowa, I've been trying to spread your message for the better part of the last six, seven years, and telling people in Iowa that the new world order and world government and world banking is stepping up to the plate now in just blatant efforts to dominate our society and take the rights away, and people here don't believe me.
[00:31:40.975 --> 00:31:42.876]  I give them basic facts.
[00:31:42.956 --> 00:31:46.438]  Most of the stuff I get from you and listen to what you say and research what you say.
[00:31:47.999 --> 00:31:52.441]  With what's going on in Arcadia, the news here won't report on it.
[00:31:52.501 --> 00:31:54.362]  The news here hasn't really said anything.
[00:31:54.842 --> 00:31:57.603]  The newspaper up there is the first time I've seen it.
[00:32:00.024 --> 00:32:01.665]  You talked earlier about coming up here.
[00:32:01.805 --> 00:32:05.987]  If you come up here, I would love to do everything I can to help you out and work
[00:32:06.417 --> 00:32:08.458]  Whatever you need done up here to prepare for that.
[00:32:08.538 --> 00:32:17.682]  I'm an actor, director, and producer, so I have access to... Well, just so you know what I do when I go to these events, because we have feds coming up saying, hey, you want to attack and kill some police?
[00:32:17.722 --> 00:32:18.402]  I've got weapons.
[00:32:18.442 --> 00:32:19.563]  And I go, come on, fed.
[00:32:20.023 --> 00:32:20.883]  I'm nonviolent.
[00:32:20.943 --> 00:32:21.924]  Don't try to set me up.
[00:32:21.964 --> 00:32:24.145]  And then I start filming them, and they freak out and run off.
[00:32:24.685 --> 00:32:26.266]  So what I do is I kind of isolate myself.
[00:32:26.306 --> 00:32:27.747]  I say hi to anybody that shows up.
[00:32:27.887 --> 00:32:30.008]  I want folks doing their own stories, their own camera work.
[00:32:30.328 --> 00:32:31.769]  If folks want to give us footage, that's great.
[00:32:32.209 --> 00:32:37.792]  But I trust you, it's just I have to isolate myself when I go into one of these situations, so we're not set up.
[00:32:38.313 --> 00:32:45.777]  I normally get two or three, because we've been broken into, hotel rooms, and I sleep in different ones, and then close them and move to another place.
[00:32:45.817 --> 00:32:50.379]  I've got to barricade the door at night, because we've had them come and steal our money, rob things, try to plant things on us.
[00:32:50.399 --> 00:32:51.420]  I mean, this is real, folks.
[00:32:52.436 --> 00:32:55.737]  So I don't want to get into, you know, the things we do, but you can ask the guys.
[00:32:56.117 --> 00:32:57.478]  You know, I get two, three hotel rooms.
[00:32:57.498 --> 00:32:58.878]  It costs money, but we have to do it.
[00:32:58.898 --> 00:33:01.759]  I mean, it's very, very serious.
[00:33:02.059 --> 00:33:04.360]  They pull fire alarms and stuff in the hotels we're in.
[00:33:04.800 --> 00:33:07.881]  You know, come up to us and say, hmm, people are trying to pull fire alarms.
[00:33:07.901 --> 00:33:10.622]  And then you, you know, go up to your room and they pull the fire alarm.
[00:33:10.922 --> 00:33:12.042]  I mean, this is the kind of thing they do.
[00:33:12.082 --> 00:33:15.323]  But yes, I mean, look, it's in the Army times.
[00:33:15.343 --> 00:33:17.024]  They're training troops to take over America.
[00:33:17.324 --> 00:33:19.705]  You're saying you show that to people and they're still in denial?
[00:33:20.385 --> 00:33:22.145]  They, you know, it's denial.
[00:33:22.205 --> 00:33:22.645]  They know it.
[00:33:22.685 --> 00:33:23.186]  They see it.
[00:33:23.246 --> 00:33:24.346]  You can show them the facts.
[00:33:24.426 --> 00:33:29.467]  The people here are great people, yes, but they are very timid and very sheepish.
[00:33:30.347 --> 00:33:36.928]  And they would much rather, you know, turn around and pretend like something isn't there than have to step up to the plate.
[00:33:38.108 --> 00:33:43.009]  And that's what we've been trying to do up here is tell people what's going on.
[00:33:43.029 --> 00:33:47.050]  And what I've told them is I'm afraid it's going to be too late by the time you guys realize
[00:33:47.617 --> 00:33:48.640]  It's time to stand up.
[00:33:48.680 --> 00:33:51.568]  I mean, they're already going to be, your house is going to be taken out from under you.
[00:33:52.082 --> 00:33:57.045]  Your bank account's gonna be swallowed up by the time you'll step up and say, hey, maybe we should do something.
[00:33:57.726 --> 00:34:01.848]  Now, this is acclimation, so when they really do it, the public will stand down.
[00:34:01.868 --> 00:34:03.229]  I appreciate your call.
[00:34:03.269 --> 00:34:04.730]  Let's jam in another call here.
[00:34:04.770 --> 00:34:06.932]  Thank you, John, for the offer of aid.
[00:34:06.952 --> 00:34:08.693]  Nathan in Iowa.
[00:34:08.733 --> 00:34:09.634]  Nathan, you're on the air.
[00:34:10.454 --> 00:34:10.834]  Hey, Alex.
[00:34:10.854 --> 00:34:11.515]  Nice to talk to you.
[00:34:11.535 --> 00:34:12.555]  Good to talk to you.
[00:34:12.615 --> 00:34:17.018]  I'm pretty freaked out right now since I'm here in the state of Iowa and I'm hearing all this stuff.
[00:34:17.078 --> 00:34:19.260]  I just heard the news on your radio the other day.
[00:34:20.718 --> 00:34:30.424]  And, uh, yeah, I got my calendar clear and I'm gonna go up to, uh, Arcadia, I think, on, uh, I think it's Saturday the 4th, it said in the article, and I'm gonna bring my video camera up there and see if I can put it together.
[00:34:30.444 --> 00:34:43.792]  Well, we need to go, people need to knock door to door and explain this is for gun confiscation, and people need to protest, stay there, and tell the troops, we don't want you coming to our door and saying we'd like to do a gun sweep, ma'am, in your home, you know, training to take over gun shops.
[00:34:44.853 --> 00:34:51.776]  And that's what this is, to go into the gun shops, get the list of firearms from the bad gun dealer, and go out and find out where they are.
[00:34:51.797 --> 00:34:53.317]  I mean, this is what they're doing.
[00:34:54.178 --> 00:34:55.398]  Stay with us, ladies and gentlemen.
[00:34:55.438 --> 00:34:56.799]  It's going on all over the country.
[00:34:56.839 --> 00:34:58.500]  Marines are running checkpoints, you name it.
[00:35:01.221 --> 00:35:03.202]  It's a new year full of uncertainties.
[00:35:03.802 --> 00:35:06.304]  People are being laid off in record numbers.
[00:35:06.884 --> 00:35:11.046]  The price of food continues to rise, and the economy continues to falter.
[00:35:11.798 --> 00:35:13.539]  You know that you need to prepare.
[00:35:13.919 --> 00:35:16.940]  And maybe you've been putting it off, but the time to act is now.
[00:35:17.300 --> 00:35:20.301]  That's why you need to visit OrganicaSeed.com.
[00:35:20.621 --> 00:35:31.985]  At OrganicaSeed.com, you'll find one of the largest online selections of heirloom seeds and survival seed packs, as well as the giant vegetable seed collections that can feed you and your family for years.
[00:35:32.405 --> 00:35:38.808]  Imagine growing your very own fresh vegetables, wheatgrass, fruits, herbs, rice, tea, coffee, and tobacco.
[00:35:39.548 --> 00:35:40.048]  I think so.
[00:35:59.181 --> 00:36:04.368]  Have you ever read the ingredients in your skin creams, personal hygiene products, vitamins, or herbal supplements?
[00:36:04.608 --> 00:36:13.579]  Did you know that most skin creams, body lotions, shampoos, and toothpastes are full of chemical additives such as sodium lauryl sulfate, the same type of detergent used in dish soap?
[00:36:13.820 --> 00:36:17.204]  Did you know that most multivitamin supplements are made from synthetic vitamins?
[00:36:17.244 --> 00:36:17.604]  I think so.
[00:36:39.179 --> 00:36:41.900]  Visit t-o-b-e-natural.com.
[00:36:41.940 --> 00:36:44.740]  That's t-o-b-e-natural.com.
[00:36:45.140 --> 00:36:46.480]  2bnatural.com.
[00:36:46.620 --> 00:36:49.321]  Use coupon code GCN and receive a 10% discount.
[00:36:49.481 --> 00:36:51.681]  Call 1-888-417-1375.
[00:36:51.941 --> 00:36:55.322]  That's 1-888-417-1375.
[00:36:56.122 --> 00:36:58.522]  To order or request your free catalog today.
[00:36:58.542 --> 00:37:02.323]  A day unlike any other in the long course of American history.
[00:37:02.423 --> 00:37:05.524]  A terrorist act of war against this country.
[00:37:05.884 --> 00:37:07.544]  The enemy struck America on September 11th.
[00:37:08.536 --> 00:37:09.556]  But who is the enemy?
[00:37:10.076 --> 00:37:10.577]  Bin Laden.
[00:37:10.877 --> 00:37:11.857]  This is his M.O.
[00:37:11.877 --> 00:37:13.177]  We have to look to the Middle East.
[00:37:13.217 --> 00:37:14.918]  We have to look to Osama Bin Laden.
[00:37:15.238 --> 00:37:21.980]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:37:22.380 --> 00:37:22.820]  Some U.S.
[00:37:22.860 --> 00:37:28.502]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:37:29.202 --> 00:37:32.705]  I'm aware that some Israeli citizens have been detained.
[00:37:32.725 --> 00:37:35.527]  Either you are with us, or you are with the terrorists.
[00:38:00.706 --> 00:38:04.177]  In these uncertain times, safety and precaution are key.
[00:38:04.678 --> 00:38:06.263]  Don't rely on others for protection.
[00:38:06.687 --> 00:38:07.127]  We're good to go!
[00:38:34.292 --> 00:38:34.772]  I think so.
[00:39:07.084 --> 00:39:09.066]  Now we got Jake from Australia wants to talk to you guys.
[00:39:09.086 --> 00:39:12.268]  We'll get to him, but first we're covering this Iowa situation.
[00:39:14.050 --> 00:39:16.032]  Let's go back to Nathan in Iowa.
[00:39:16.392 --> 00:39:23.719]  Nathan, how close are you to Arcadia and the other town where they're going to be having the martial law takeover drill, gun confiscation drill, house to house, shutting the town down with checkpoints?
[00:39:24.757 --> 00:39:29.922]  Actually, I'm in South Central Iowa, about 45 minutes south of Des Moines, the capital.
[00:39:30.682 --> 00:39:31.523]  Where's the best place to meet him?
[00:39:31.543 --> 00:39:33.185]  It's probably about 200 miles from where I live at.
[00:39:38.655 --> 00:39:43.196]  You know, getting up there and getting the footage and seeing what they're really doing up there is pretty important.
[00:39:43.756 --> 00:39:52.558]  Well, we've seen Marines and Army come up with police and the Marines and the Army will have guns and they'll say, turn your camera off, which is just absolute high treason against the First Amendment.
[00:39:52.578 --> 00:39:54.698]  You've got major lawsuits that happens.
[00:39:54.798 --> 00:40:01.640]  I'm also going up there and I am going to legally go after any of these traitors to America that try to violate my First Amendment.
[00:40:02.276 --> 00:40:03.596]  Yeah, I'm not afraid.
[00:40:03.696 --> 00:40:05.457]  I'll go up there and stick the camera in their face.
[00:40:05.497 --> 00:40:06.697]  It's my constitutional right.
[00:40:07.157 --> 00:40:11.338]  Have you seen a Police Day 2000 where they walk over with machine guns?
[00:40:11.418 --> 00:40:12.238]  I mean, I'm not talking M16s.
[00:40:12.298 --> 00:40:13.379]  It's the big ones.
[00:40:14.139 --> 00:40:16.619]  Yeah, I actually have pretty much all of your videos.
[00:40:16.639 --> 00:40:18.380]  I've been listening to you for about seven years now.
[00:40:18.900 --> 00:40:20.860]  I'm just saying for listeners, I'm not making it up.
[00:40:21.281 --> 00:40:27.182]  I had the Army walk over to me in Belton and tell me to turn my cameras off and start threatening us.
[00:40:27.262 --> 00:40:29.283]  And we said, we're not turning our cameras off.
[00:40:30.543 --> 00:40:31.123]  Yeah, exactly.
[00:40:33.092 --> 00:40:38.836]  And then the mayor blew up cars in the town and announced that they'd been hit by a terrorist, and at the end said it was just a drill.
[00:40:38.856 --> 00:40:39.656]  See, it's psych warfare.
[00:40:39.676 --> 00:40:41.778]  I'm sorry, go ahead.
[00:40:41.798 --> 00:40:42.318]  That's all I have.
[00:40:42.338 --> 00:40:43.579]  I hope to see you up there when I go up there.
[00:40:43.619 --> 00:40:45.000]  I'll be up there on Saturday the 4th.
[00:40:45.380 --> 00:40:51.664]  Yeah, I want to finish the Obama deception and just work 8 hours a day for a while and finally spend time with my family, but it doesn't look like I can.
[00:40:52.865 --> 00:40:54.986]  The revolution is on.
[00:40:55.046 --> 00:40:56.467]  They're the revolutionaries taking over.
[00:40:58.328 --> 00:41:01.530]  Let's go to Brian in Montreal.
[00:41:01.550 --> 00:41:02.291]  Brian, go ahead.
[00:41:04.591 --> 00:41:04.831]  Yes, sir.
[00:41:04.851 --> 00:41:07.192]  Have you been in an urban warfare drill, or do you have a comment on this?
[00:41:07.212 --> 00:41:17.737]  No, but I have a nephew that is in the reserves, and he's always going over to the states to do some work, to do inter-training with a lot of these little drills that they run.
[00:41:18.317 --> 00:41:27.461]  Oh, by the way, it's in the Toronto Star and other papers that they've signed a deal, and Congress said last year, we're not involved in this, we make war, we fund you, we're your boss.
[00:41:27.481 --> 00:41:31.743]  They said, no you're not, it's under PDD 51, but they will use Canadian and Mexican troops in the U.S.
[00:41:32.704 --> 00:41:33.084]  On record!
[00:41:34.301 --> 00:41:47.457]  And one of the things that I came across this week, I actually contacted a friend on Facebook, and it's funny because he was a bully back in school days too, and now he claims that he works for the federal law enforcement in the United States.
[00:41:48.041 --> 00:41:52.764]  And he's up here training our law enforcement, I imagine, on how to kick in doors and things like that.
[00:41:52.784 --> 00:42:00.249]  Oh no, that's been on the news that the Texas State Police are up there training the folks in Canada on how to set up checkpoints and violate rights.
[00:42:00.269 --> 00:42:01.010]  Thanks for the call, sir.
[00:42:02.110 --> 00:42:05.633]  What would Australians do if they tried to use foreign troops in Australia?
[00:42:07.534 --> 00:42:08.595]  It's hard to say, Alex.
[00:42:08.675 --> 00:42:14.939]  I mean, I'd hate to say that Australians would just bow down and let it happen, but I suspect that's probably the case.
[00:42:15.657 --> 00:42:19.279]  It depends on which foreign troops, if we're talking about American soldiers or English soldiers.
[00:42:20.180 --> 00:42:20.560]  Hard to say.
[00:42:20.580 --> 00:42:24.823]  There's a lot of history there with American military and Australian military working together.
[00:42:25.724 --> 00:42:27.705]  Anything else, though, I think people would be very suspicious.
[00:42:27.945 --> 00:42:29.607]  Yeah, MacArthur ran to Australia.
[00:42:30.247 --> 00:42:36.191]  Let's go ahead and talk to, but because the Aussies were armed, the Japanese dare not invade.
[00:42:37.032 --> 00:42:38.633]  Let's talk to Gary in Indiana.
[00:42:39.213 --> 00:42:41.074]  Gary, what's your take on all this?
[00:42:42.115 --> 00:42:43.396]  Sir, thanks for taking my call.
[00:42:43.796 --> 00:42:44.757]  The reason I called today
[00:42:45.470 --> 00:42:47.311]  This isn't just happening in Iowa.
[00:42:48.031 --> 00:42:55.314]  Just yesterday, my wife received a letter from the United States District Court, Southern District of Indiana, Laura A. Briggs, Clerk of the Court.
[00:42:55.774 --> 00:42:57.554]  It's a 28-page questionnaire.
[00:42:58.035 --> 00:43:00.656]  Number 50 is, are there guns in your home?
[00:43:00.896 --> 00:43:01.536]  Yes or no?
[00:43:02.076 --> 00:43:11.459]  If the answer is yes, please indicate whether you or another member of your household own guns, how many guns are owned, what kinds of guns are owned, handgun, rifle, shotgun, semi-automatic, etc.
[00:43:13.433 --> 00:43:20.539]  I think the reason for this is about a little over a year ago, the ATF telephoned me on my company cell phone, which is an unpublished number.
[00:43:20.579 --> 00:43:27.565]  If I called you on that phone, it would give you my company name, not me, and indicated they were at my house and needed to investigate some firearms I owned.
[00:43:28.265 --> 00:43:30.227]  So I collected my wife.
[00:43:30.487 --> 00:43:31.168]  I drove home.
[00:43:31.408 --> 00:43:34.270]  On the way, I called a deputy sheriff friend of mine, asked him to meet me there.
[00:43:34.791 --> 00:43:39.615]  When I arrived at my house, there were two sheriff cars and an ATF agent and my friend.
[00:43:40.069 --> 00:43:51.398]  They went inside the ATF agent and questioned me about a couple of handguns I had purchased years and years before and I produced records showing that I had traded them into a gun dealer and he indicated they had been used in crime.
[00:43:51.418 --> 00:43:57.683]  And then he started questioning, he had a stack of paperwork on me asking me questions about other handguns I had purchased.
[00:43:57.823 --> 00:44:01.046]  I had recently purchased a pair of handguns and when you purchase two guns at a time
[00:44:01.579 --> 00:44:04.741]  In Indiana, they have to send a multiple purchase form to the government.
[00:44:05.061 --> 00:44:06.061]  He had that on hand.
[00:44:06.101 --> 00:44:11.384]  He wanted to inspect the guns to make sure... That's what the states do, is they collect the registration data.
[00:44:11.444 --> 00:44:15.566]  Now, under the census, back in 2000, it was one in six homes.
[00:44:15.646 --> 00:44:16.166]  I got one.
[00:44:16.246 --> 00:44:17.607]  It was a 49 question.
[00:44:18.067 --> 00:44:21.589]  And then I think it was one in 20 got a multi-hundred question.
[00:44:21.609 --> 00:44:23.230]  And it would ask you, do you own firearms?
[00:44:23.610 --> 00:44:26.591]  And now Obama's announced under the census, it's going to be monthly.
[00:44:26.611 --> 00:44:29.032]  And they claim under law, you've got to answer all the questions.
[00:44:29.072 --> 00:44:29.653]  When you don't,
[00:44:30.653 --> 00:44:38.900]  The Constitution says you've got to answer it every ten years, just how many people live there, for apportionment of your state representatives to the legislature.
[00:44:39.261 --> 00:44:39.581]  That's it.
[00:44:39.601 --> 00:44:43.604]  For representation, how many state reps, how many federal reps your state gets.
[00:44:44.665 --> 00:44:45.546]  Just amazing, sir.
[00:44:45.666 --> 00:44:46.026]  Stay there.
[00:44:46.046 --> 00:44:47.487]  I want to hear the rest of the story when we get back.
[00:44:49.849 --> 00:44:50.730]  We're on the march.
[00:44:51.230 --> 00:44:52.832]  The Empire's on the run.
[00:44:53.773 --> 00:44:56.435]  Alex Jones and the GCN Radio Network.
[00:45:00.663 --> 00:45:01.884]  Hi, this is Steve Schenk.
[00:45:02.184 --> 00:45:03.324]  eFoods does it again.
[00:45:03.565 --> 00:45:08.347]  The 3-Day Responder provides one adult with three days worth of healthy, delicious, easy-fix food.
[00:45:08.667 --> 00:45:16.812]  The price of the 3-Day Responder is almost ridiculous at $21.95 for actually 12 meals plus snacks.
[00:45:17.332 --> 00:45:24.976]  When you taste the food in the 3-Day Responder, you'll understand why families trust eFoods Direct to provide healthy, delicious food for every need.
[00:45:25.377 --> 00:45:29.299]  Whether you're hunting, playing, or responding to an emergency, the food in the 3-Day
[00:45:31.186 --> 00:45:31.866]  We're good to go!
[00:45:59.565 --> 00:46:01.606]  May I have everybody's attention, please?
[00:46:01.726 --> 00:46:04.126]  I've come with a message of information.
[00:46:04.146 --> 00:46:06.727]  9-11 was an inside job.
[00:46:06.747 --> 00:46:07.947]  Do you like being a puppet, sir?
[00:46:07.967 --> 00:46:09.588]  Do you like being a puppet for the New World Order?
[00:46:09.688 --> 00:46:12.489]  How do the American people know that 9-11 was a state?
[00:46:12.509 --> 00:46:16.750]  It wasn't engineered by you, David Rockefeller, the Trilateral Commission, the CFR?
[00:46:16.810 --> 00:46:17.770]  Do you listen?
[00:46:25.881 --> 00:46:30.672]  Seven years after the attacks of September 11th, a global awakening has taken place.
[00:46:30.733 --> 00:46:31.855]  An inside job.
[00:46:34.520 --> 00:46:35.661]  How dare you?
[00:46:36.963 --> 00:46:42.027]  If you know that there's treason going on, you can be held accountable for treason yourself.
[00:46:42.047 --> 00:46:44.450]  All hell is breaking loose on 6th Avenue.
[00:46:44.510 --> 00:46:51.076]  And if the government has not told the truth in five years, we will be here on the 10th anniversary of... Truth Rising.
[00:46:51.417 --> 00:46:53.979]  Download the film at PrisonPlanet.tv right now.
[00:46:54.239 --> 00:46:56.241]  Or get the DVD at Infowars.com.
[00:46:56.521 --> 00:46:58.984]  It's now time to take the revolution to the next level.
[00:46:59.654 --> 00:47:05.316]  Did you know that pH balance is one of the most important factors in maintaining high energy and vibrant health?
[00:47:05.596 --> 00:47:10.378]  Most experts agree that the water you drink should be at a pH level of 9 or higher.
[00:47:10.618 --> 00:47:15.580]  Plasma pH drops combine a unique formula of the most alkaline minerals and elements.
[00:47:15.801 --> 00:47:19.242]  This product is a one-of-a-kind in its strength and effectiveness.
[00:47:19.722 --> 00:47:20.002]  I think so.
[00:47:42.119 --> 00:47:42.720]  I think so.
[00:48:22.071 --> 00:48:32.180]  Alright, we're going to go back to your calls to Australia and other places dealing with the gun confiscation drills going on all over the country, not just Iowa.
[00:48:33.381 --> 00:48:42.349]  We have a state rep coming on from Texas who's introduced a bill for sovereignty next hour for about 20 minutes and we have, it looks like the military is going to be coming on.
[00:48:42.870 --> 00:48:44.992]  Looks like we've got them coming on, so we'll see if that happens.
[00:48:45.012 --> 00:48:48.195]  I don't want to say more than that until we get them on.
[00:48:49.977 --> 00:48:50.757]  For obvious reasons.
[00:48:51.938 --> 00:48:54.058]  Folks will try to stop him from going on.
[00:48:55.018 --> 00:48:56.259]  But who cares, whatever.
[00:48:57.319 --> 00:48:58.579]  That is coming up.
[00:48:58.939 --> 00:49:08.882]  But I want to go to Rob Freeman, because we're going to get the fellow on from the 7-7 ripple effect who made the film, who mailed it out to a bunch of people.
[00:49:09.562 --> 00:49:11.364]  Good afternoon, Alex.
[00:49:11.504 --> 00:49:12.504]  It's nice to be with you.
[00:49:12.544 --> 00:49:14.046]  Actually, as we speak,
[00:49:37.731 --> 00:49:45.738]  Anthony John Hill has been released and he was actually ransomed for the sum of €3,500.
[00:49:48.080 --> 00:50:01.831]  Again, this is for sending out a DVD to a judge in England about the trial on the three helpers of the 7-7 London bombings.
[00:50:04.202 --> 00:50:12.325]  And for people that aren't aware, that particular trial wound up in a mistrial last year and it's currently being retried.
[00:50:12.405 --> 00:50:28.732]  So knowing that nothing on this planet happens for no reason, certainly the timing is of interest that this particular arrest of Anthony John Hill would take place at the same time that this retrial is going on.
[00:50:29.582 --> 00:50:42.053]  And now what's happening, so we have Double Jeopardy, his film shows the mainstream media reports, and I remember that Scotland Yard was killing some of the Arabs that figured out it was a set-up, and this was on the news, but then it all was shut down.
[00:50:42.533 --> 00:50:44.975]  Very powerful film, and it backfired.
[00:50:45.015 --> 00:50:52.141]  Now it's in a bunch of British and Irish and Scottish newspapers, and it's just exploding all over the web.
[00:50:53.022 --> 00:50:53.562]  Go ahead, sir.
[00:50:54.803 --> 00:50:56.565]  Yeah, you're correct.
[00:50:57.836 --> 00:51:02.758]  The interesting thing is that the people that were gunned down were actually the suicide bombers.
[00:51:03.619 --> 00:51:18.886]  And that's what the film lets everybody know, that it was reported on mainstream media that they were gunning down, I believe in Canary Wharf, or if I don't have the place exactly correct.
[00:51:20.547 --> 00:51:25.489]  These were the suicide bombers that were supposedly on the trains that they never caught.
[00:51:26.457 --> 00:51:28.938]  And they were the ones that were gunned down.
[00:51:29.878 --> 00:51:44.304]  So, you know, you've got that anomaly, but to me, one of the more interesting things is, and this fits in with 9-1-1 and what you've gone through trying to get the truth out to people.
[00:51:45.484 --> 00:51:50.206]  There's some interesting similarities there that should let everybody know that there is a new world order.
[00:51:50.626 --> 00:51:53.547]  It is not isolated to the United States.
[00:51:56.329 --> 00:52:00.515]  One of those things is the mock drills.
[00:52:02.418 --> 00:52:09.109]  If you wouldn't mind me focusing on that for just a moment, there were mock drills going on
[00:52:10.427 --> 00:52:11.928]  On the day of 9-1-1.
[00:52:12.428 --> 00:52:16.070]  Of the exact targets, the exact same place, exact same time being attacked.
[00:52:16.871 --> 00:52:19.592]  And yeah, we've covered that in TerrorStorm.
[00:52:19.652 --> 00:52:24.455]  It's covered even better because, you know, TerrorStorm just focuses on that for about 30 minutes, you know, in the 7-7 ripple effect.
[00:52:24.495 --> 00:52:35.962]  But just for time constraints, I mean, you can get into that if you'd like, but I really want to talk about Anthony and what he's dealing with right now and where these charges are going.
[00:52:36.002 --> 00:52:37.923]  But go ahead and into the drills briefly.
[00:52:39.591 --> 00:52:47.818]  Yeah, real briefly, the same exact scenario played out in Great Britain with the London bombings.
[00:52:48.278 --> 00:52:51.641]  There were mock drills going on the same day in the same places.
[00:52:52.581 --> 00:53:04.351]  And, you know, this should be a clear sign to people what they're dealing with, who the real terrorists are, so that everybody can put this in perspective and understand
[00:53:05.183 --> 00:53:12.526]  Why these things happen, and really the reason that all this is happening to Anthony John Hill right now is because he's exposed.
[00:53:12.986 --> 00:53:22.230]  Well, the establishment is now outlawed photographing police in England, but they've got six million cameras in London alone photographing somebody hundreds of times per day as they walk around.
[00:53:22.270 --> 00:53:23.771]  This is blown up in their face, though!
[00:53:24.031 --> 00:53:26.512]  Now everybody's watching 7-7, the ripple effect.
[00:53:27.912 --> 00:53:32.614]  Oh yeah, absolutely, and they're the most heavily surveilled people on the planet right now.
[00:53:33.174 --> 00:53:34.375]  But you don't photograph police?
[00:53:36.294 --> 00:53:36.774]  Just amazing.
[00:53:36.834 --> 00:53:38.036]  Okay, what's happening to Anthony Hill?
[00:53:38.056 --> 00:53:39.136]  Where is this going right now?
[00:53:39.176 --> 00:53:42.079]  Last time I heard, they want to extradite him to England for charges.
[00:53:42.099 --> 00:53:44.221]  He's been grabbed in Ireland.
[00:53:44.241 --> 00:53:44.921]  Where is this going?
[00:53:46.343 --> 00:53:56.471]  Well, the charge is perverting the course of justice, and that's for sending this DVD to the judge so that he could know the truth while a trial was going on.
[00:53:56.972 --> 00:54:02.016]  This DVD was of a, in case people don't know, the listeners don't know,
[00:54:02.594 --> 00:54:07.638]  The 7-7 ripple effect was released on the 5th of November in 2007.
[00:54:07.718 --> 00:54:10.761]  This trial happened in May of 2008.
[00:54:12.062 --> 00:54:16.526]  So this DVD that went out was free information available on the web.
[00:54:16.666 --> 00:54:18.627]  And it had been available on the web for 6 months.
[00:54:20.436 --> 00:54:25.158]  Really nothing, you know, new there and of course it's up to anybody to watch it.
[00:54:39.793 --> 00:54:43.594]  Well, it is reported that he sent it to the jury foreman.
[00:54:44.454 --> 00:54:48.416]  I have not been able to confirm that with him personally.
[00:54:48.496 --> 00:54:49.916]  Okay, well here's the big question.
[00:54:50.296 --> 00:54:52.917]  He said he could be on the show today, right when he got out.
[00:54:52.997 --> 00:54:54.678]  Why is he not answering his phone?
[00:54:54.698 --> 00:54:55.618]  Do you know how he's doing?
[00:54:57.058 --> 00:54:58.419]  Or has he been told not to talk?
[00:54:59.319 --> 00:55:02.820]  Well, actually he has, and I wanted to discuss that too briefly.
[00:55:03.240 --> 00:55:05.261]  There were several conditions to his bail.
[00:55:05.971 --> 00:55:09.933]  And I want to give this to you because this is really important to get out.
[00:55:10.774 --> 00:55:13.795]  One of the conditions was surrendering his passport.
[00:55:14.756 --> 00:55:21.139]  Two, was he is forbidden to discuss 7-7 with anybody in England and Wales.
[00:55:23.181 --> 00:55:23.821]  Okay?
[00:55:23.881 --> 00:55:29.804]  So his free speech under the Magna Carta, which has been extended all over Europe and the United States, that's what our Bill of Rights is, is gone.
[00:55:29.844 --> 00:55:30.965]  He's not allowed.
[00:55:31.265 --> 00:55:31.945]  You talk to him.
[00:55:31.965 --> 00:55:32.746]  This is directly from him.
[00:55:34.599 --> 00:55:34.759]  Correct.
[00:55:35.599 --> 00:55:39.041]  He told you he is forbidden from discussing 7-7 in England and Wales.
[00:55:39.061 --> 00:55:39.421]  Go ahead.
[00:55:40.822 --> 00:55:42.282]  I have spoken directly to him.
[00:55:42.542 --> 00:55:45.263]  This actually came directly from his solicitor.
[00:55:45.283 --> 00:55:47.084]  Okay?
[00:55:47.244 --> 00:55:51.426]  Which, for people in the United States that aren't aware, a solicitor is a lawyer.
[00:55:52.526 --> 00:55:53.647]  So, an attorney.
[00:55:54.267 --> 00:55:54.807]  Embarrassing.
[00:55:54.827 --> 00:56:04.311]  So this is directly from, yes, it's directly from his solicitor, and he also has a third requirement that he has to sign in three times
[00:56:04.924 --> 00:56:08.666]  At a Garda station, which is the Irish police.
[00:56:08.966 --> 00:56:11.487]  And they're going ahead with the charges against him?
[00:56:13.248 --> 00:56:14.589]  That's the other interesting thing.
[00:56:14.769 --> 00:56:17.991]  He has actually only been held on an EU arrest warrant.
[00:56:18.331 --> 00:56:18.771]  That's it.
[00:56:19.432 --> 00:56:20.232]  Under Interpol?
[00:56:22.433 --> 00:56:29.777]  Yes, there's been no British warrant produced and there has been no search warrant produced for the things that they confiscated from him.
[00:56:31.274 --> 00:56:38.518]  Well they're complete morons because this film was already very popular and I talked about on air how great it was and now it's going supernova.
[00:56:38.978 --> 00:56:41.299]  So everybody go get 7-7 Ripple Effect on the web.
[00:56:41.339 --> 00:56:42.780]  They're trying to take it down on a lot of sites.
[00:56:43.080 --> 00:56:46.782]  They're very upset by this because it proves exactly what they did.
[00:56:47.942 --> 00:56:49.343]  And that's why they want to shut the web down.
[00:56:50.423 --> 00:56:55.306]  Well and not only that but you know it for people that don't know much about him
[00:56:56.638 --> 00:57:14.123]  This is the same man who spent the last 10 years trying to raise the Ark of the Covenant in Ireland and knows the exact location of the entrance to the subterranean mergay down to a 6 foot by 6 foot square of grass.
