[00:00:04.699 --> 00:00:06.180]  Thank you, Mr. Chairman.
[01:07:22.827 --> 01:07:24.229]  Isn't it time to make a change?
[01:07:24.729 --> 01:07:25.930]  Maybe a life change?
[01:07:26.310 --> 01:07:28.472]  Get rid of toxins and chemicals.
[01:07:29.113 --> 01:07:30.513]  GetTheTee.com.
[01:07:30.653 --> 01:07:34.334]  Log on to GetTheTee.com and order your protection today.
[01:07:34.614 --> 01:07:36.095]  Our testimonies tell the truth.
[01:07:36.415 --> 01:07:37.855]  GetTheTee.com.
[01:07:38.235 --> 01:07:39.516]  Or you can call us at 928-308-0408.
[01:07:39.556 --> 01:07:39.936]  That's 928-308-0408.
[01:07:39.956 --> 01:07:46.037]  Cleanse from toxins and chemicals, lose some weight, and get free from unhealthy living.
[01:07:46.197 --> 01:07:47.778]  Order today at GetTheTee.com.
[01:08:01.855 --> 01:08:15.568]  Ladies and gentlemen, this is breaking news!
[01:08:16.048 --> 01:08:20.212]  Do you know why my crew is not live with us right now?
[01:08:20.252 --> 01:08:21.554]  Why they're out of contact?
[01:08:21.814 --> 01:08:24.997]  They are under sustained LRAD sound cannon attack.
[01:08:25.017 --> 01:08:25.938]  You know they roll these out
[01:08:26.750 --> 01:08:28.771]  At tea parties in California and other places.
[01:08:28.831 --> 01:08:30.731]  First time I saw them was 2004 in New York.
[01:08:31.252 --> 01:08:38.754]  They have the National Guard engaging American citizens right now with deadly acoustic weapons that damage the middle ear.
[01:08:39.134 --> 01:08:41.675]  They might just talk to them all.
[01:08:41.975 --> 01:08:43.636]  In fact, get Mike Nelson in here right now.
[01:08:43.936 --> 01:08:44.937]  And they go, we can't hear you.
[01:08:44.997 --> 01:08:45.617]  It's painful.
[01:08:47.785 --> 01:08:50.948]  And we're text messaging him, telling him just to call in right now.
[01:08:51.869 --> 01:08:53.850]  But it's blindingly loud.
[01:08:54.551 --> 01:08:55.652]  Get Mike in here right now.
[01:08:55.712 --> 01:08:56.312]  Mike heard it.
[01:08:57.113 --> 01:09:07.863]  This is happening right now in Pittsburgh, Pennsylvania, while the G20 and mainstream news is getting rid of the dollar, bringing in world government against everybody right now.
[01:09:10.044 --> 01:09:11.546]  Mike Nelson just talked to
[01:09:13.893 --> 01:09:18.695]  He said that they can't hear anything that I'm saying because they're under sound weapon
[01:09:39.642 --> 01:09:39.943]  I don't know.
[01:09:52.842 --> 01:09:54.564]  And then I hear a voice every so often.
[01:09:54.584 --> 01:09:56.927]  A voice saying, get back, get back!
[01:09:56.988 --> 01:09:57.869]  To leave the area.
[01:09:58.149 --> 01:10:00.152]  But you, you... Holy mackerel!
[01:10:00.192 --> 01:10:01.674]  Put on CNN right now!
[01:10:01.694 --> 01:10:04.137]  But I can't hear... I'll guarantee you this is going to be on the news.
[01:10:04.457 --> 01:10:10.986]  We've got reporters in the zone right now in Pittsburgh, Pennsylvania as the bastard bankers totally take everything over.
[01:10:11.627 --> 01:10:12.647]  Are they texting you back?
[01:10:12.687 --> 01:10:14.048]  I mean, we've got to get them on now!
[01:10:14.388 --> 01:10:15.388]  No one's texted me back.
[01:10:15.749 --> 01:10:16.549]  Oh, man!
[01:10:17.109 --> 01:10:20.410]  We should have had the operating procedure that if they got hit with a sound weapon, immediately call in.
[01:10:20.430 --> 01:10:23.872]  Tell them in the text, get out of the area, and then call in.
[01:10:24.852 --> 01:10:24.972]  Ah!
[01:10:25.012 --> 01:10:27.293]  Well, no doubt they've got video of this incredible event.
[01:10:27.973 --> 01:10:28.293]  Oh, man!
[01:10:28.493 --> 01:10:31.975]  Dr. Sherry Tinpenny, I tell you, this brings new meaning to the word info war.
[01:10:33.015 --> 01:10:35.236]  Wow, Alex, that's pretty scary, isn't it?
[01:10:36.936 --> 01:10:40.758]  I'm telling you, I'm telling you, I mean, my life is like a Twilight Zone episode.
[01:10:41.511 --> 01:10:54.758]  Alex, do you know, have you heard reports from other parts of the world, I mean other than the U.S., are these sorts of things, these sound wave technologies, these mandatory vaccines, the FEMA camps, all this other stuff, in other countries are these the same?
[01:10:54.998 --> 01:10:56.059]  Simultaneously.
[01:10:56.679 --> 01:11:02.003]  The Air Force said, well, we can't use this in Iraq in 2004 until we use it in America.
[01:11:02.343 --> 01:11:04.945]  So they started using it here, then saying it was no big deal.
[01:11:05.305 --> 01:11:07.167]  Now they're rolling out microwave guns.
[01:11:07.807 --> 01:11:11.070]  We've gotten confirmed reports, and I saw this in Denver, but it was in a police area.
[01:11:11.390 --> 01:11:14.993]  When they saw me videoing it, they brought it in a garage.
[01:11:15.313 --> 01:11:16.734]  They have microwave guns.
[01:11:17.514 --> 01:11:19.076]  Big, big, mounted on Humvees.
[01:11:23.807 --> 01:11:29.053]  Listen, this is such a police state there that they tried to talk to the military and talk to a spokesman last night.
[01:11:29.674 --> 01:11:33.698]  Defense Link put a press release out and they said, no, we're not going to talk to you, get out of here.
[01:11:34.419 --> 01:11:41.667]  Then they got their license number, had the police pose as Alamo rental car people from the county there, Allegheny County in Pennsylvania.
[01:11:41.687 --> 01:11:42.348]  They called them.
[01:11:43.542 --> 01:11:45.764]  And said, oh, your car's got no brakes.
[01:11:45.824 --> 01:11:46.405]  Bring it in.
[01:11:46.425 --> 01:11:48.687]  And they said, well, we're in the coordinate G20.
[01:11:48.707 --> 01:11:49.608]  We're news reporters.
[01:11:50.168 --> 01:11:51.610]  We can't get out till tomorrow.
[01:11:51.630 --> 01:11:58.075]  And they said, well, that's fine, because I'm a police officer with the Army and FBI, and you've all been put on terror list, and your life's over, boy.
[01:11:58.095 --> 01:12:01.639]  And we know you're a terrorist, and you were sneaking around the military base and ran.
[01:12:02.119 --> 01:12:03.520]  All lies, Sherry.
[01:12:03.841 --> 01:12:06.143]  Just, I mean, and they just think of us as dirt.
[01:12:08.055 --> 01:12:12.478]  Well, and here's the thing, Alex, is that you say, they just think of us.
[01:12:12.818 --> 01:12:14.259]  They are our neighbors.
[01:12:14.740 --> 01:12:17.061]  They are people who live in our communities.
[01:12:17.522 --> 01:12:20.043]  Their job is working for the other side.
[01:12:20.404 --> 01:12:24.206]  We have to get through to these people that, wait a minute, I'm your friend.
[01:12:24.306 --> 01:12:25.107]  I'm your neighbor.
[01:12:25.407 --> 01:12:26.148]  I'm an American.
[01:12:26.268 --> 01:12:29.310]  I vote for presidents and people just like you do.
[01:12:29.670 --> 01:12:30.611]  Why are you doing this?
[01:12:31.781 --> 01:12:33.362]  I mean, there has to be a way.
[01:12:33.402 --> 01:12:34.782]  We have to learn from history.
[01:12:35.122 --> 01:12:43.326]  That, you know, when Nazi people, when Germans started assaulting fellow Germans, I mean, all the Jews that they dragged away were all Germans.
[01:12:43.826 --> 01:12:45.326]  And that they hurt other Germans.
[01:12:45.567 --> 01:12:48.488]  I mean, we've got to let people, get true to them.
[01:12:48.628 --> 01:12:51.569]  Stand there and say, wait a minute, you're in America, why are you doing this?
[01:12:52.478 --> 01:13:03.286]  And I think that passive resistance, handing out flyers and trying to, when you're standing there in the gap, if it comes to that, to remember that, to remind these people that, hey, we're on the same team.
[01:13:03.546 --> 01:13:07.989]  It should be us against the people that are telling you what to do, not you against me.
[01:13:08.470 --> 01:13:10.631]  We should be doing this differently.
[01:13:10.731 --> 01:13:11.952]  Why are you doing this?
[01:13:12.533 --> 01:13:14.214]  And I think that we have got to start
[01:13:15.163 --> 01:13:16.784]  Using those passive-resistance tools.
[01:13:16.824 --> 01:13:25.006]  We have to use all the mind games that they try to play on us and turn the tables around and get people to understand that we're all Americans.
[01:13:25.506 --> 01:13:29.987]  And if who's ever giving those orders against Americans, that's the enemy.
[01:13:30.327 --> 01:13:31.888]  Not the person standing in front of you.
[01:13:32.549 --> 01:13:44.454]  And somehow, I don't have all the answers, Alex, and I know you don't either, but we've got to come up with some solutions for people who may be standing in the gap of what can they do in that moment in terms of resistance other than violence.
[01:13:44.655 --> 01:13:45.415]  What else can they do?
[01:13:46.345 --> 01:13:47.286]  Well, I want to say this.
[01:13:47.346 --> 01:13:52.310]  Approximately eight minutes ago, we got on the phone with Douglas and he said, I can hear nothing.
[01:13:52.330 --> 01:13:53.451]  They're using sound weapons.
[01:13:53.471 --> 01:13:54.491]  They're telling us to disperse.
[01:13:54.551 --> 01:14:00.176]  Mike Nelson heard the wah and the troops stopping every 30 seconds, you know, saying disperse, disperse.
[01:14:00.196 --> 01:14:00.696]  We've got them.
[01:14:00.916 --> 01:14:01.857]  Let's go to live now.
[01:14:01.957 --> 01:14:03.158]  Here they are from Pittsburgh.
[01:14:03.278 --> 01:14:03.959]  G20 under attack.
[01:14:05.820 --> 01:14:06.881]  Wait, Mike just said they had them.
[01:14:09.003 --> 01:14:09.743]  Put them on the system.
[01:14:10.404 --> 01:14:11.865]  That's why we punch them up.
[01:14:12.543 --> 01:14:13.183]  Can you hear me, Alex?
[01:14:13.464 --> 01:14:14.004]  Yes, yes.
[01:14:14.044 --> 01:14:14.965]  Is this Rob Dood?
[01:14:15.405 --> 01:14:20.488]  Yeah, we're on 33rd and Liberty in kind of a downtown part of Pittsburgh.
[01:14:21.028 --> 01:14:25.852]  We just passed a, they had a block, a tree blocked off and they were using a sonic weapon on us.
[01:14:25.972 --> 01:14:33.096]  They were using it to broadcast and then they would ramp up the signal for a brief second to let them know that they could, you know, blow some eardrums out.
[01:14:33.116 --> 01:14:33.837]  It got pretty loud.
[01:14:34.657 --> 01:14:37.940]  And, uh, people were crouching down behind, uh... Who were they using this on?
[01:14:37.980 --> 01:14:39.702]  Was this on a protest, or just you?
[01:14:39.722 --> 01:14:41.163]  No, this was a protest.
[01:14:41.323 --> 01:14:42.244]  This was a protest.
[01:14:42.264 --> 01:14:49.650]  We were walking with the protesters downtown, and, um... Tell me you've got video of this, the first time U.S.
[01:14:49.690 --> 01:14:51.612]  military uses weapons on the U.S.
[01:14:51.932 --> 01:14:53.013]  since, like, Kent State.
[01:14:53.313 --> 01:14:56.416]  You're telling me you guys had camera rolling under attack?
[01:14:57.020 --> 01:14:59.442]  We had camera rolling while the sonic weapons were going off.
[01:14:59.622 --> 01:15:03.565]  Oh my god, you gotta send somebody back up to grab it, upload it to YouTube.
[01:15:04.146 --> 01:15:05.227]  Did we get, oh my god.
[01:15:05.827 --> 01:15:08.409]  You guys are definitely getting hazard pay for this.
[01:15:09.710 --> 01:15:13.533]  You have definitely earned stripes in the Info War that I've never even gotten.
[01:15:13.834 --> 01:15:16.356]  You got a medal on your chest that I haven't gotten, I'm envious.
[01:15:16.856 --> 01:15:17.176]  Man.
[01:15:17.296 --> 01:15:17.937]  It's pretty wild.
[01:15:18.097 --> 01:15:18.818]  It's pretty wild right now.
[01:15:18.858 --> 01:15:20.519]  It seems like everybody dispersed though.
[01:15:20.539 --> 01:15:24.062]  And I saw it happen and one group, the largest group, went through an alleyway.
[01:15:24.082 --> 01:15:29.467]  Well, why don't you go back and film the troops with pleasure up there with their gun?
[01:15:30.267 --> 01:15:30.928]  Okay.
[01:15:31.128 --> 01:15:31.748]  All right.
[01:15:31.788 --> 01:15:33.190]  I mean, listen, do whatever you want.
[01:15:33.230 --> 01:15:34.931]  They're dropping right past me right now.
[01:15:35.011 --> 01:15:35.652]  Get them on tape.
[01:15:35.952 --> 01:15:36.793]  With the gun.
[01:15:38.197 --> 01:15:38.978]  There were two of them.
[01:15:39.018 --> 01:15:42.902]  They were using them to broadcast messages in Spanish and English.
[01:15:42.942 --> 01:15:44.144]  That's the engine right now.
[01:15:44.164 --> 01:15:45.185]  You can hear it pass to me.
[01:15:45.245 --> 01:15:53.654]  And there's a guy sitting on top, and they were broadcasting a message from the chief of police that we were in an unlawful, uh, march, and they said, don't arrest anybody.
[01:15:53.674 --> 01:15:54.955]  It doesn't matter if you're press or not.
[01:15:55.476 --> 01:15:59.080]  And they didn't disperse, and then they started, like, launching the, uh, the weapon.
[01:15:59.830 --> 01:16:04.316]  So, people don't have a permit at March, violating the First Amendment, you don't need to have a permit.
[01:16:04.336 --> 01:16:08.142]  What was the March doing when you were attacked, and was it National Guard or police?
[01:16:08.602 --> 01:16:09.704]  It was police.
[01:16:09.744 --> 01:16:11.266]  Everybody has police on their chest.
[01:16:12.047 --> 01:16:13.108]  I haven't seen... I do see...
[01:16:14.139 --> 01:16:18.845]  There weren't dark outfits, you know, the Darth Vader looking outfits, and then they have the camo.
[01:16:18.865 --> 01:16:26.394]  But the news is reporting, and you guys say you talked to National Guard this morning, you were saying they're together, and the National Guard are in like a police uniform.
[01:16:26.414 --> 01:16:32.402]  The National Guard was not armed at all in terms of with billy clubs or anything, but they were working with police to cordon off areas.
[01:16:33.081 --> 01:16:33.921]  And they had Humvees.
[01:16:34.341 --> 01:16:39.663]  Right now, I'm looking at a line of police stretched on there in full riot gear, too.
[01:16:40.023 --> 01:16:42.064]  The police I'm seeing now are in full riot gear.
[01:16:42.144 --> 01:16:44.905]  Are they the police, though, wearing the National Guard bottoms?
[01:16:45.585 --> 01:16:45.845]  No.
[01:16:46.005 --> 01:16:49.266]  No, they're all wearing dark, although there are some.
[01:16:49.286 --> 01:16:50.646]  They look like Border Patrol.
[01:16:50.746 --> 01:16:51.987]  I've seen Border Patrol here, too.
[01:16:52.547 --> 01:16:55.468]  They have the dark green Border Patrol uniforms.
[01:16:55.488 --> 01:16:58.689]  So, federal police in the middle of Pennsylvania.
[01:16:59.549 --> 01:17:02.650]  Again, and Dr. Sherry Timpeny, I'm going to come back to you in the next segment, okay?
[01:17:04.098 --> 01:17:04.218]  Sure.
[01:17:04.258 --> 01:17:05.522]  Okay, we'll put you on hold for five minutes.
[01:17:05.542 --> 01:17:06.865]  Okay, I'm gonna shut up.
[01:17:06.945 --> 01:17:09.532]  Give me a complete report of what happened to you.
[01:17:10.296 --> 01:17:28.740]  Okay, we were walking down Liberty Street, and right as we were getting to 34th, they had the street blocked off, and they were talking to us through the little sound cannon thing, and then they would press them, you know, just into a beep, and we'd be like, beep, beep, beep, beep, beep, but it would get really loud for a split second, and then they would turn it down, and then bring it back up again, and then turn it down, just to let you know that they could do that.
[01:17:28.960 --> 01:17:35.321]  You know, it was definitely a show of force, and there's probably, I'm looking at about 300 military right now.
[01:17:35.762 --> 01:17:37.322]  And Douglas said it was painful.
[01:17:40.330 --> 01:17:41.291]  Was it painful?
[01:17:42.232 --> 01:17:43.393]  Um, it got loud.
[01:17:43.413 --> 01:17:45.394]  It didn't get loud to where it was painful, but it got loud.
[01:17:45.474 --> 01:17:46.875]  And you know they could turn it up louder.
[01:17:46.995 --> 01:17:54.722]  They were throwing it up at us just to let us know when people started crouching down behind cars and mailboxes because they thought they were going to do the real thing on us.
[01:17:54.782 --> 01:17:55.282]  What were they?
[01:17:55.302 --> 01:17:57.344]  I think they did do the real thing on you, buddy.
[01:17:57.364 --> 01:18:00.426]  That's what Douglas said, but do always as a cheerful person.
[01:18:01.127 --> 01:18:03.229]  Uh, do, uh, whatever.
[01:18:03.629 --> 01:18:09.694]  The point is, uh, Rob, specifically, what were they broadcasting in English?
[01:18:10.798 --> 01:18:12.040]  Uh, and I have that on tape.
[01:18:12.061 --> 01:18:21.055]  Basically what they're saying is that we're in an unlawful assembly and the chief police orders to disperse and if we don't disperse, you'll be arrested and they may use non-lethal means.
[01:18:21.076 --> 01:18:21.897]  Non-lethal means?
[01:18:24.227 --> 01:18:26.368]  Hey, I want to be clear about this.
[01:18:26.688 --> 01:18:28.468]  They were shooting you guys with this.
[01:18:28.508 --> 01:18:30.129]  Douglas was saying it was hurting.
[01:18:30.149 --> 01:18:30.669]  What was this like?
[01:18:48.095 --> 01:18:50.036]  The decibel level was very, very high.
[01:18:50.156 --> 01:18:52.458]  One moment, I was covering the front of the protest.
[01:18:52.798 --> 01:18:54.840]  The next moment, my eardrums were blasting.
[01:18:55.120 --> 01:19:03.145]  And as that happened, I basically turned around, saw about 40 riot police assisted by military, and I ran up and I got all the footage I could.
[01:19:03.165 --> 01:19:04.426]  Every once in a while, I'd have to take a few steps back.
[01:19:04.446 --> 01:19:04.927]  There you go.
[01:19:05.007 --> 01:19:06.368]  Assisted by military.
[01:19:06.388 --> 01:19:09.150]  So this is the military attacking the American people.
[01:19:09.430 --> 01:19:11.771]  Because in every news article I see, they're together.
[01:19:12.031 --> 01:19:13.993]  So that's key for the article Watson's doing.
[01:19:14.273 --> 01:19:15.474]  The military was with them.
[01:19:16.187 --> 01:19:16.807]  Yeah, absolutely.
[01:19:16.828 --> 01:19:18.549]  I mean, they were in military fatigue.
[01:19:19.269 --> 01:19:20.730]  SWAT is also here.
[01:19:21.331 --> 01:19:29.916]  I got a good shot of one of the military personnel who was at the top of the sound decibel thing on top of the Pittsburgh paddy wagon.
[01:19:31.357 --> 01:19:33.138]  There's no doubt that there's military here, Alex.
[01:19:33.239 --> 01:19:41.404]  Earlier today, me and Rob Duke filmed a convoy of about seven to eight trucks and vans with National Guard logos on them.
[01:19:41.504 --> 01:19:43.606]  I approached some military earlier today.
[01:19:44.366 --> 01:19:44.666]  Stay there!
[01:19:44.726 --> 01:19:45.126]  Stay there!
[01:19:45.166 --> 01:19:47.427]  We're coming back to you in just a moment.
[01:19:47.487 --> 01:19:48.568]  It's Dr. Sherry Tinpenny.
[01:19:48.588 --> 01:19:50.649]  I want to talk to Burmas when we get back.
[01:19:50.669 --> 01:19:50.889]  Stay there.
[01:19:50.909 --> 01:19:52.110]  I'm going to talk to you during the break, Burmas.
[01:20:01.081 --> 01:20:08.144]  Attention landscapers, house painters, carpet cleaners, pet sitters, gutter cleaners, and anyone who has their own home service business.
[01:20:08.364 --> 01:20:11.586]  Would you love to build a huge and loyal customer base fast?
[01:20:11.786 --> 01:20:12.666]  Well, now you can.
[01:20:12.926 --> 01:20:14.907]  Introducing the Magic Yellow Flyer.
[01:20:15.107 --> 01:20:23.331]  The Magic Yellow Flyer marketing system is the most effective and inexpensive way to build a referral-only service business in a short period of time.
[01:20:23.531 --> 01:20:26.492]  Get new customers and build a solid customer base.
[01:20:26.792 --> 01:20:30.357]  Throw away all of the other ineffective and expensive advertising methods.
[01:20:30.617 --> 01:20:32.240]  You need the Magic Yellow Flyer.
[01:20:32.380 --> 01:20:37.146]  Corporate America is destroying our country and it's time to rebuild the backbone of America.
[01:20:37.347 --> 01:20:41.913]  No matter what business you're in, the Magic Yellow Flyer marketing system will work for you.
[01:20:42.213 --> 01:20:43.254]  Don't have a home business?
[01:20:43.474 --> 01:20:49.099]  The Magic Yellow Flyer comes with 15 hot home businesses that you can start at a minimum cost.
[01:20:49.360 --> 01:20:51.381]  Visit MagicYellowFlyer.com.
[01:20:51.562 --> 01:20:53.804]  That's MagicYellowFlyer.com.
[01:20:53.984 --> 01:20:57.147]  Put the Magic Yellow Flyer to work for you today.
[01:20:57.427 --> 01:20:59.068]  Visit MagicYellowFlyer.com.
[01:21:00.891 --> 01:21:02.572]  Our beloved Republic is on her knees.
[01:21:02.892 --> 01:21:06.353]  The forces of globalism are destroying national sovereignty worldwide.
[01:21:06.513 --> 01:21:08.373]  But in Liberty's darkest hour, there is hope.
[01:21:08.973 --> 01:21:11.734]  The first time in modern history, the people are beginning to wake up.
[01:21:12.034 --> 01:21:17.556]  It is essential that patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[01:21:17.816 --> 01:21:21.757]  We have a short time frame to fully awaken and energize the people to meet this threat.
[01:21:22.097 --> 01:21:27.041]  In the Info War, PrisonPlanet.TV is a powerful weapon in the battle to regain our freedom.
[01:21:27.321 --> 01:21:30.103]  PrisonPlanet.TV is a vault of forbidden information.
[01:21:30.403 --> 01:21:37.268]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[01:21:37.668 --> 01:21:43.512]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[01:21:43.673 --> 01:21:48.216]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[01:21:48.536 --> 01:21:51.037]  The Info War is waiting for you to set it free.
[01:21:51.377 --> 01:21:53.058]  Join PrisonPlanet.tv.
[01:21:53.458 --> 01:21:55.199]  Burn the info bombs to disk.
[01:21:55.459 --> 01:21:57.260]  Put them on the file sharing networks.
[01:21:57.600 --> 01:21:59.021]  Bring down the New World Order.
[01:21:59.421 --> 01:22:00.782]  PrisonPlanet.tv.
[01:22:01.682 --> 01:22:05.364]  Have you ever felt like the United States government knows way too much about your financial affairs?
[01:22:05.764 --> 01:22:11.206]  I continue to hear stories about property seizures, frozen bank accounts, confiscation of stocks and bonds.
[01:22:11.646 --> 01:22:12.727]  It makes me wonder if the U.S.
[01:22:12.767 --> 01:22:16.809]  citizen will ever again have the right to life, liberty, and the pursuit of happiness.
[01:22:17.469 --> 01:22:30.780]  Unfortunately, with the Drug and Money Laundering Act, the IRS Revenue Ruling 6045 of 1984, and the Trading with the Enemy Act in Franklin D. Roosevelt's Executive Order of 1933, some precious metal holdings are subject to government intervention.
[01:22:31.280 --> 01:22:36.585]  For this reason, Midas Resources has prepared a report explaining the boundaries of trading precious metals privately.
[01:22:36.885 --> 01:22:42.709]  Whether if you have any intention of trading with Midas Resources or not, I have instructed my representatives to give this report out free.
[01:22:43.510 --> 01:22:45.311]  Call for your free copy at 1-800-686-2237.
[01:22:46.372 --> 01:22:49.534]  When investing, always proceed with caution.
[01:22:49.975 --> 01:22:53.157]  Again, call 1-800-686-2237.
[01:22:53.637 --> 01:22:57.180]  Exercise your legal right to trade metals privately.
[01:22:57.200 --> 01:23:07.607]  1-800-686-2237. eCigarettesNational.com would like to introduce an alternative to smoking regular cigarettes to all GCN listeners.
[01:23:10.247 --> 01:23:10.848]  We're good to go!
[01:23:32.851 --> 01:23:36.332]  So, get rid of the ashtrays, the smell, and the smoke.
[01:23:36.552 --> 01:23:39.693]  Learn more by visiting eCigarettesNational.com.
[01:23:39.873 --> 01:23:43.454]  That's the letter E. CigarettesNational.com.
[01:23:43.675 --> 01:23:45.475]  eCigarettesNational.com.
[01:23:45.635 --> 01:23:49.636]  And use coupon code GCN and receive 10% off your order.
[01:23:49.777 --> 01:23:50.257]  Or call 1-888-329-7064.
[01:23:50.277 --> 01:23:50.537]  1-888-329-7064 today.
[01:23:50.677 --> 01:23:51.957]  To purchase, you must be 18 or older.
[01:24:00.860 --> 01:24:04.064]  Okay, ladies and gentlemen, ladies and gentlemen, we just went live, cutting out a break.
[01:24:04.104 --> 01:24:05.526]  Go back to Jason, listen to this.
[01:24:07.227 --> 01:24:08.729]  Go back to him, we just had the sirens.
[01:24:11.252 --> 01:24:12.013]  Jason, are you there?
[01:24:13.915 --> 01:24:14.776]  What on earth just happened?
[01:24:14.796 --> 01:24:19.962]  It was total bedlam, riot police, tear gas masks, they were closing in on... Jason!
[01:24:23.616 --> 01:24:24.856]  Well, where on earth did he just go?
[01:24:24.876 --> 01:24:27.817]  We just heard blaring sirens and riot police coming at him.
[01:24:28.778 --> 01:24:30.438]  Sherry Tenpenny, you were on hold.
[01:24:30.478 --> 01:24:31.198]  You heard all that.
[01:24:31.399 --> 01:24:32.659]  Did you hear that total bedlam?
[01:24:32.999 --> 01:24:33.399]  I did.
[01:24:34.059 --> 01:24:34.880]  They're closing in.
[01:24:35.740 --> 01:24:36.640]  Text message them all.
[01:24:36.740 --> 01:24:37.320]  Get out of there.
[01:24:37.360 --> 01:24:38.721]  They're going to arrest everybody.
[01:24:38.981 --> 01:24:39.601]  Get out of there.
[01:24:39.881 --> 01:24:40.521]  Send the message.
[01:24:40.581 --> 01:24:41.582]  Evacuate immediately.
[01:24:41.622 --> 01:24:42.662]  Get out of there with the video.
[01:24:42.722 --> 01:24:43.762]  Get out of there right now.
[01:24:43.782 --> 01:24:45.783]  This has happened to me in New York and other places.
[01:24:45.863 --> 01:24:46.323]  Get out.
[01:24:46.663 --> 01:24:47.784]  I told Bermas to get out.
[01:24:48.104 --> 01:24:48.864]  Bermas, are you there?
[01:24:52.853 --> 01:24:53.313]  Jason!
[01:24:55.214 --> 01:25:07.679]  Okay, hang up and let's try one more time to talk to him and then let's, let's... Jason, are you there?
[01:25:11.921 --> 01:25:15.002]  Put his, put his phone live on air to see if it's still live.
[01:25:15.442 --> 01:25:19.664]  No, there's no way it was... Dr. Tenpenny, what did you hear right before his phone went dead as we went live?
[01:25:21.706 --> 01:25:26.109]  I heard him say that everybody had their gas masks on and they were asking everybody to leave the area.
[01:25:26.149 --> 01:25:28.970]  It sounded like they were going to start using gas there.
[01:25:29.190 --> 01:25:33.673]  And the police, he said, at the last thing, were coming from three ways, blocking a man.
[01:25:35.734 --> 01:25:36.395]  That's what they do.
[01:25:36.475 --> 01:25:37.715]  They corner you and then attack.
[01:25:40.657 --> 01:25:41.738]  Is that Burmese's phone?
[01:25:42.378 --> 01:25:43.098]  It's still connected?
[01:25:45.700 --> 01:25:47.321]  He must have jumped into a business or something.
[01:25:47.341 --> 01:25:47.801]  That's smart.
[01:25:48.658 --> 01:25:53.279]  Okay, call Douglas, call Du, call their, call, call, call Douglas' phone.
[01:25:53.839 --> 01:25:55.180]  Don't go, guys, I'm talking now.
[01:25:55.220 --> 01:25:57.501]  If you want to call me, you have to call me on my phone.
[01:25:57.721 --> 01:25:58.741]  Burmese, I can hear you!
[01:26:01.582 --> 01:26:02.002]  Burmese!
[01:26:02.022 --> 01:26:03.062]  Alright, thanks, man.
[01:26:03.402 --> 01:26:03.562]  Bye.
[01:26:04.042 --> 01:26:04.463]  Burmese!
[01:26:05.223 --> 01:26:05.923]  Burmese, we're here!
[01:26:15.589 --> 01:26:17.572]  Okay, the DoPhone went dead, but it's not dead.
[01:26:17.592 --> 01:26:18.534]  We're on it right now.
[01:26:19.315 --> 01:26:21.478]  Tell him to talk to us.
[01:26:21.999 --> 01:26:27.366]  I'm doing well, man.
[01:26:27.407 --> 01:26:27.867]  Good.
[01:26:28.408 --> 01:26:29.470]  They don't know that they're on air.
[01:26:36.278 --> 01:26:37.359]  We're transferring them right now.
[01:26:37.399 --> 01:26:39.020]  We'll keep this phone live in case we lose them.
[01:26:39.281 --> 01:26:40.562]  Dr. Tempeni, I apologize.
[01:26:40.582 --> 01:26:42.083]  This is all happening the day you're on with us.
[01:26:42.363 --> 01:26:43.684]  Oh, that's fine, Alex.
[01:26:43.704 --> 01:26:45.345]  I mean, breaking news is breaking news.
[01:26:45.746 --> 01:26:46.706]  What do you think of this?
[01:26:46.726 --> 01:26:50.769]  I think it's really... I think it's really scary.
[01:26:50.789 --> 01:26:55.433]  I'm in, Alex.
[01:26:55.473 --> 01:26:55.973]  You can hear me.
[01:26:56.754 --> 01:26:58.816]  Okay, Burmess, your phone was still connected.
[01:26:58.836 --> 01:27:00.337]  You just couldn't hear audio from us.
[01:27:01.708 --> 01:27:03.830]  Well, the battery went dead on dues.
[01:27:03.910 --> 01:27:06.031]  I tried to make a call back.
[01:27:06.531 --> 01:27:13.916]  You said they were coming down the streets from three ways and there was blaring sirens and then it went dead.
[01:27:13.976 --> 01:27:14.537]  What happened?
[01:27:15.317 --> 01:27:17.679]  That was a convoy of police officers.
[01:27:17.759 --> 01:27:18.580]  I started to film them.
[01:27:18.600 --> 01:27:19.660]  They went down the one street.
[01:27:19.680 --> 01:27:20.361]  They're now gone.
[01:27:20.381 --> 01:27:26.445]  We still have, it looks like four or five streets filled up with police officers.
[01:27:26.765 --> 01:27:27.626]  Listen to me carefully.
[01:27:28.126 --> 01:27:29.627]  Do you have Due and Douglas with you?
[01:27:30.327 --> 01:27:32.968]  No, they've already gone down about three blocks.
[01:27:33.628 --> 01:27:33.968]  Leave!
[01:27:34.128 --> 01:27:36.809]  I want you to leave until I get in contact with them.
[01:27:36.889 --> 01:27:38.129]  Get out of there with the video.
[01:27:38.369 --> 01:27:41.370]  They will take our cameras, take the video, and then break them.
[01:27:41.410 --> 01:27:42.530]  They always give them back broken.
