[00:00:00.009 --> 00:00:00.069]  Wow.
[00:38:24.180 --> 00:38:30.722]  Then, he was instrumental in the first bailout as a senator, not having it read, saying we have to have it or it'll be a depression on Monday morning.
[00:38:30.983 --> 00:38:31.903]  And then when they passed it,
[00:38:32.503 --> 00:38:47.792]  It wasn't what they said it was, and then now, this week, last week, with the federalization bill, really called the stimulus package, he said it's got to be passed, no one can read it, they weren't allowed to read it, it passed, and he said, I'm going on vacation for four days, I'll sign it later.
[00:38:48.052 --> 00:38:49.093]  Talk about gangster!
[00:38:49.933 --> 00:38:54.556]  I mean, just like, you idiots, you didn't get a chance to read it now, you took my bait.
[00:38:55.617 --> 00:38:55.817]  I know.
[00:38:56.457 --> 00:38:59.319]  And once again, the public are overruled and everything.
[00:38:59.339 --> 00:39:00.300]  There's no input.
[00:39:00.320 --> 00:39:02.101]  There's no inquiry.
[00:39:02.762 --> 00:39:07.485]  I don't think the machinery to even set up an inquiry is there as to why they keep passing these bills without reading them.
[00:39:08.446 --> 00:39:15.271]  But they've snuck in so much into the last omnibus bill that they put through, including the tracking and tracing of everybody in the U.S.
[00:39:15.671 --> 00:39:17.833]  Psychological records for gun control, yeah.
[00:39:17.853 --> 00:39:22.316]  Psychological and also to do with your health records and your DNA and everything else.
[00:39:22.396 --> 00:39:23.477]  And then notice...
[00:39:23.737 --> 00:39:42.615]  Notice in Canada and in Austin, Texas and all over there suddenly announcing all over the world on the same day, oh we've been finding people not guilty who were in prison because of DNA and the police chiefs come out and say we need to take everybody's DNA every time they're given a misdemeanor because it'll save people.
[00:39:42.655 --> 00:39:48.380]  They don't tell you police have been caught thousands of times using DNA samples to plant them on people.
[00:39:48.641 --> 00:39:48.781]  Yes.
[00:39:49.540 --> 00:39:49.740]  Yes.
[00:39:50.180 --> 00:39:51.180]  That's the easiest thing to do.
[00:39:51.521 --> 00:39:55.282]  Corruption is all... You see, deception is the way that governments have always operated.
[00:39:55.342 --> 00:39:56.982]  It's always by deception.
[00:39:57.402 --> 00:40:00.023]  There's nothing they can... They will tell you that you didn't take his truth.
[00:40:00.463 --> 00:40:02.184]  Unfortunately, that's the way it really is.
[00:40:02.224 --> 00:40:04.264]  That's the hard reality of life.
[00:40:04.344 --> 00:40:05.925]  It's... They're born liars.
[00:40:06.005 --> 00:40:10.706]  Hey, why do you think the Austin police chief's trying to cozy up to us while he's pushing all of this?
[00:40:12.663 --> 00:40:15.166]  I don't know what his particular event will be.
[00:40:15.366 --> 00:40:21.673]  I think it might end up like O'Brien when I'm in the prison cell and the door opens and he walks in and I go, they got you too?
[00:40:21.693 --> 00:40:23.835]  And he goes, yeah, they got me a long time ago.
[00:40:24.436 --> 00:40:24.937]  That's right.
[00:40:25.477 --> 00:40:25.898]  That's right.
[00:40:26.498 --> 00:40:26.959]  And they do.
[00:40:28.380 --> 00:40:30.983]  These people do belong, unfortunately, to associations.
[00:40:32.124 --> 00:40:35.047]  Uh, again, there's all the brotherhood methods, etc.
[00:40:35.087 --> 00:40:38.449]  They're all fraternity members and they do stand up for each other.
[00:40:38.469 --> 00:40:42.453]  They do know how to keep secrets because it helps them on their career.
[00:40:43.053 --> 00:40:52.621]  So we have a lot of this corruption too, to be, uh, you cannot have a free society when you have fraternities or foundations with their own secret mandates.
[00:40:54.423 --> 00:40:54.983]  No, you can't.
[00:40:55.003 --> 00:40:56.544]  They always overthrow the society.
[00:40:56.665 --> 00:40:59.146]  Let's go to the calls here for Ellen Watt.
[00:40:59.566 --> 00:41:00.927]  Cut into TheMatrix.com.
[00:41:01.588 --> 00:41:02.969]  Robin in Ohio.
[00:41:03.009 --> 00:41:03.709]  You're on the air.
[00:41:04.770 --> 00:41:05.130]  Hello?
[00:41:05.691 --> 00:41:06.251]  Yes, Robin.
[00:41:06.911 --> 00:41:08.092]  Hey, how you doing, Alex?
[00:41:08.152 --> 00:41:09.833]  It's nice to talk to you.
[00:41:09.873 --> 00:41:14.056]  Hey, you guys are all across the board, and I'm totally with you.
[00:41:14.997 --> 00:41:19.360]  It's just amazing, Alex.
[00:41:19.520 --> 00:41:21.361]  I sent you a gift, a t-shirt.
[00:41:21.741 --> 00:41:24.183]  With my license plate, World Trade Center 7 on it.
[00:41:24.423 --> 00:41:26.184]  But I push you every day.
[00:41:27.365 --> 00:41:28.565]  Push your documentaries.
[00:41:28.906 --> 00:41:29.706]  I do everything.
[00:41:29.766 --> 00:41:31.227]  I engage people every day.
[00:41:31.908 --> 00:41:35.430]  And you're a real strong inspiration.
[00:41:36.110 --> 00:41:38.752]  But I wanted to share one thing, and I'll get off the horn.
[00:41:40.093 --> 00:41:41.574]  Golf War Illness is real.
[00:41:41.634 --> 00:41:44.936]  It's a November 18th article from McClatchy.
[00:41:46.812 --> 00:41:57.378]  A lot of us already knew about the pyrobromide stigmite tablets that we had to take when we were over in Iraq, but never realized they sprayed us with pesticides.
[00:41:58.049 --> 00:41:58.529]  Yeah, that's right.
[00:41:58.549 --> 00:42:04.235]  They sprayed a cyanide-based pesticide in the tanks and in the barracks, knowing what it would do.
[00:42:04.315 --> 00:42:09.139]  See, with globalists in their own documents, and Alan can speak to this, don't like the military.
[00:42:09.540 --> 00:42:15.986]  And so after they're done using you, they're going to psychologically not let them own guns, that's now being announced, phasing that in.
[00:42:16.867 --> 00:42:21.251]  They give the inoculations that are soft kill, that are designed to kill the troops within 20 to 25 years.
[00:42:22.652 --> 00:42:31.797]  They have them around the D.U., which their own admissions say is going to kill anybody that breathes it, just from the particulate size and poison level alone.
[00:42:32.317 --> 00:42:37.960]  And so absolutely, they're now admitting they're going to take the pensions of World War II, Korean War, and Vietnam vets.
[00:42:38.940 --> 00:42:40.601]  And so, trashing the troops.
[00:42:41.021 --> 00:42:43.843]  They also blew up the Camasilla chemical weapons dump.
[00:42:44.503 --> 00:42:46.884]  And, you know, the troops have nerve damage from that.
[00:42:47.004 --> 00:42:48.305]  Antibiotic weapon was released.
[00:42:48.325 --> 00:42:49.346]  We're not sure by who.
[00:42:49.706 --> 00:42:51.587]  The microplasm incognitus.
[00:42:52.267 --> 00:42:58.248]  Those little microplasms that live inside bacteria, and they were carrying a HIV-like autoimmune system.
[00:42:58.268 --> 00:43:00.969]  MD Anderson confirmed this within them.
[00:43:01.409 --> 00:43:07.770]  Strangely enough, my dad, when he was at UT in advanced programs, they were teaching him then about microplasms as bio-weapons.
[00:43:07.790 --> 00:43:08.230]  Stay with us.
[00:43:09.831 --> 00:43:13.272]  In these uncertain times, safety and precaution are key.
[00:43:13.792 --> 00:43:15.372]  Don't rely on others for protection.
[00:43:15.802 --> 00:43:19.143]  Protect yourself and your family with products from Pepperspray.com.
[00:43:19.403 --> 00:43:24.504]  Pepperspray.com carries the largest assortment of pepper spray and personal safety devices on the web.
[00:43:24.764 --> 00:43:28.185]  From home safety to nighttime safety we have the products you need.
[00:43:28.505 --> 00:43:38.647]  Order the Discreet Pepper Mace Baton, which relies on a powerful pepper formula that upon direct contact with an attacker's eyes, forces them to slam shut, causing an intense burning sensation.
[00:43:39.067 --> 00:43:41.868]  This refillable unit is designed to be carried as a key ring.
[00:43:42.188 --> 00:43:43.068]  Easily accessible
[00:43:43.268 --> 00:43:43.889]  We're good to go.
[00:44:08.081 --> 00:44:10.103]  May I have everybody's attention, please?
[00:44:10.243 --> 00:44:12.645]  I've come with a message of information.
[00:44:12.665 --> 00:44:15.267]  9-11 was an inside job.
[00:44:15.287 --> 00:44:16.448]  Do you like being a puppet, sir?
[00:44:16.468 --> 00:44:18.109]  Do you like being a puppet for the New World Order?
[00:44:18.189 --> 00:44:21.031]  How do the American people know that 9-11 was a stage?
[00:44:21.071 --> 00:44:24.714]  Was it engineered by you, David Rockefeller, the Trilateral Commission, the CFR?
[00:44:34.351 --> 00:44:39.244]  Seven years after the attacks of September 11th, a global awakening has taken place.
[00:44:43.032 --> 00:44:44.073]  How dare you?
[00:44:44.513 --> 00:44:50.538]  If you know that there's treason going on, you can be held accountable for treason yourself.
[00:44:50.698 --> 00:44:53.341]  All hell is breaking loose on 6th Avenue.
[00:44:53.441 --> 00:44:59.846]  And if the government has not told the truth in five years, we will be here on the 10th anniversary of... Truth Rising.
[00:44:59.906 --> 00:45:02.468]  Download the film at PrisonPlanet.tv right now.
[00:45:02.748 --> 00:45:04.730]  Or get the DVD at Infowars.com.
[00:45:05.010 --> 00:45:07.532]  It's now time to take the revolution to the next level.
[00:45:09.334 --> 00:45:11.956]  What will happen when the grocery stores are empty?
[00:45:12.475 --> 00:45:14.776]  What are you going to do once your food is gone?
[00:45:15.396 --> 00:45:19.238]  What will you do when the dollar is worthless and your family needs to eat?
[00:45:19.658 --> 00:45:24.620]  Growing your own food is the only way to have real self-sufficiency and peace of mind.
[00:45:25.060 --> 00:45:32.883]  GetSeeds.net is offering an amazing special on 100 different varieties of heirloom vegetable seeds with a complete range of crops.
[00:45:33.303 --> 00:45:38.628]  That's 100 packets of non-hybrid seeds for only $49 with free shipping.
[00:45:38.889 --> 00:45:41.932]  You will have the comfort of knowing that you are truly prepared.
[00:45:42.332 --> 00:45:45.135]  These affordable prices are our way to pay it forward.
[00:45:45.315 --> 00:45:50.460]  So in turn, GetSeeds.net asks you to share these seeds of life with the less fortunate.
[00:45:50.700 --> 00:45:55.563]  Go to GetSeeds.net and get 100 seed packets for only $49 with free shipping or call 877-394-6657.
[00:45:55.583 --> 00:45:56.644]  That's 877-394-6657 or go to GetSeeds.net.
[00:46:21.159 --> 00:46:25.043]  Yeah, I mean, look at the statistics.
[00:46:25.083 --> 00:46:38.114]  Gulf War I vets are hundreds of times more likely to die of cancer and all sorts of other horrible ailments.
[00:46:46.963 --> 00:46:51.426]  For over a decade, major universities and scientific institutions have done autopsies on them.
[00:46:52.747 --> 00:46:55.129]  The Marines, the Army forces, will shrivel up.
[00:46:55.490 --> 00:46:59.493]  They'll be in wheelchairs and they'll tell them, you're not sick, you're Prozac, you're mentally ill.
[00:47:01.554 --> 00:47:05.257]  Then they put them on databases so they can't buy firearms, even though there's no law to do that.
[00:47:05.737 --> 00:47:07.559]  They just go to do the instant check and can't get them.
[00:47:07.579 --> 00:47:08.900]  And then they die.
[00:47:08.920 --> 00:47:10.381]  They go in coffins, they go in the ground.
[00:47:11.142 --> 00:47:12.042]  Mission accomplished.
[00:47:12.082 --> 00:47:13.543]  Get rid of the troops after you've used them.
[00:47:14.711 --> 00:47:24.733]  And, uh, just like the police and military and the rescue workers on 9-11, their lungs full of asbestos, uh, major, you know, institutions did the CAT scans, it's there, they're dying.
[00:47:25.313 --> 00:47:28.434]  I mean, I've interviewed these policing people and you'll try to call them a month later and they're dead.
[00:47:28.974 --> 00:47:29.674]  And we'll have them on.
[00:47:29.714 --> 00:47:34.435]  People that are in Truth Rising, a bunch of them that you see at that press conference at the Capitol trying to get funding, they're dead.
[00:47:35.256 --> 00:47:37.096]  Government says, hey, there was no dust, not bad for you.
[00:47:37.356 --> 00:47:38.176]  You're not going to get treatment.
[00:47:39.016 --> 00:47:41.517]  Um, this is done scientifically, isn't it, Allen?
[00:47:42.722 --> 00:48:00.887]  Yes, because after the Vietnam War, in fact during it, the government did surveys into the aftermath of the war, especially with the protests back home, they were afraid that young people who were very fit, well-trained in military strategy could get formed within civilian life, within civilian street.
[00:48:01.527 --> 00:48:01.827]  I think?
[00:48:19.867 --> 00:48:20.387]  I don't think so.
[00:48:42.874 --> 00:48:47.075]  And the sergeants would actually inspect their mouths to make sure they swallowed them.
[00:48:47.415 --> 00:48:51.176]  So there's a lot of experimentation going on as well within the military.
[00:48:51.197 --> 00:48:53.477]  They don't even know what pills they're taking or what they're for.
[00:48:53.617 --> 00:48:54.718]  It's experiments for sure.
[00:48:54.918 --> 00:48:57.658]  And now we have evidence they're giving the police the soft kill weapons.
[00:48:58.279 --> 00:48:59.119]  Don't laugh, police.
[00:48:59.139 --> 00:49:01.219]  You better investigate this if you care about your own life.
[00:49:02.220 --> 00:49:04.941]  Does that go along the lines of what you were bringing up, Robin?
[00:49:05.241 --> 00:49:06.221]  What happened to you in the Gulf War?
[00:49:07.061 --> 00:49:07.822]  Well, yes, sir.
[00:49:07.942 --> 00:49:31.322]  Actually, what happened to myself, my platoon leader's wife worked at the hospital in Clarksville, Tennessee, home of the 101st Airborne Division, and over a sat phone, she called him and said, whatever you do, do not take those because they've never been approved by the FDA at that point.
[00:49:32.183 --> 00:49:36.764]  And the only military in the world that actually took those was the Israeli military.
[00:49:37.864 --> 00:49:43.206]  And so I pretty much ceased and desisted after five, uh, five tablets.
[00:49:44.106 --> 00:49:45.046]  So I was done.
[00:49:45.506 --> 00:49:57.789]  So, but the Camasea thing, the 101st Airborne, uh, it was a guy in my squad that called the entire division, Michael Williams, Brooklyn, New York, uh, to mop level four.
[00:49:58.325 --> 00:50:03.207]  Because his M8 detector went off, and then 14 minutes later they said, uh, stand down.
[00:50:03.227 --> 00:50:08.550]  That's right, they blew up the chemical weapons dump and then told people, stand down, take your mask off.
[00:50:09.270 --> 00:50:09.810]  Yes, sir.
[00:50:10.190 --> 00:50:19.635]  That actually occurred, and I had a conversation with David Von Kleist of ThePowerHour.com, and he said, you know what was odd, Robin?
[00:50:21.875 --> 00:50:26.078]  14,000 detectors, according to the Army Times, just malfunctioned that day.
[00:50:26.098 --> 00:50:29.641]  That's right, the Army Times reported 14,000 detectors malfunctioned.
[00:50:30.062 --> 00:50:32.784]  Nerve gas hit them, and a nice soft kill.
[00:50:32.804 --> 00:50:35.166]  A lot of them are dead or in wheelchairs.
[00:50:35.546 --> 00:50:36.787]  Sorry to hear that happen to you.
[00:50:36.827 --> 00:50:37.288]  Take care.
[00:50:37.308 --> 00:50:38.569]  Appreciate you.
[00:50:38.589 --> 00:50:40.791]  Just remember who did it to you, the New World Order eugenicist.
[00:50:41.231 --> 00:50:43.733]  Alan Watt, do five more minutes with us and take some final calls.
[00:50:44.014 --> 00:50:45.235]  Then Bob Dacey in studio.
[00:50:50.157 --> 00:50:51.718]  Thank you for listening to GCN.
[00:50:52.639 --> 00:50:55.000]  Be sure to visit GCNlive.com today.
[00:50:58.062 --> 00:50:58.642]  Hello, friends.
[00:50:58.682 --> 00:50:59.643]  This is Alex Jones.
[00:50:59.743 --> 00:51:04.366]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:51:04.486 --> 00:51:07.248]  We need to be independent, and food and water is the key.
[00:51:07.468 --> 00:51:10.330]  You'll never have to stand in a bread line if you have your own bread.
[00:51:10.510 --> 00:51:15.233]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[00:51:15.433 --> 00:51:16.354]  If you simply prepare.
[00:51:16.574 --> 00:51:19.496]  No one is going to take care of your family in the final equation but you.
[00:51:19.816 --> 00:51:26.700]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:51:26.800 --> 00:51:29.922]  And they do it at almost half the cost of last year's grocery prices.
[00:51:30.082 --> 00:51:31.623]  Call 1-800-409-5633 or on the web go to eFoodsDirect.com
[00:51:35.225 --> 00:51:41.292]  Visit efoodsdirect.com and look over the fine list of high-quality, pre-scribed, and dehydrated foods they have to offer.
[00:51:41.492 --> 00:51:45.237]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:51:45.277 --> 00:51:46.758]  Again, 800-409-5633, or on the web at efoodsdirect.com.
[00:51:46.778 --> 00:51:47.199]  Take action today.
[00:51:47.239 --> 00:51:49.061]  The first step is getting storable food.
[00:52:00.791 --> 00:52:02.711]  Waging war on corruption.
[00:52:03.191 --> 00:52:06.052]  Alex Jones on the GCN Radio Network.
[00:52:12.433 --> 00:52:13.073]  Big Brother.
[00:52:13.733 --> 00:52:14.793]  Mainstream media.
[00:52:15.514 --> 00:52:16.614]  Government cover-ups.
[00:52:17.274 --> 00:52:18.074]  You want answers?
[00:52:18.834 --> 00:52:19.794]  Well, so does he.
[00:52:20.394 --> 00:52:24.075]  He's Alex Jones on the GCN Radio Network.
[00:52:24.595 --> 00:52:28.656]  And now, live from Austin, Texas, Alex Jones.
[00:52:35.222 --> 00:52:38.463]  Final segment with Alan Watt cutting through the Matrix.com.
[00:52:38.503 --> 00:52:46.865]  Don't forget, you can pre-order The Obama Deception at TheObamaDeception.net or by linking through at PresentPlanet.com and Infowars.com on the banners on the main page.
[00:52:47.246 --> 00:52:52.067]  The film will ship out coming up on the 15th of March.
[00:52:52.867 --> 00:52:55.468]  And he is their front man to carry through their New World Order.
[00:52:55.788 --> 00:52:58.549]  We need to expose Obama as a treacherous hoax.
[00:52:59.189 --> 00:53:01.670]  Hey Alex, I'm just really excited to be on your show right now.
[00:53:01.690 --> 00:53:03.771]  I've been trying to get in for like three days.
[00:53:23.635 --> 00:53:27.500]  I actually wanted to hit a few points, and I just wanted to talk about double-think today.
[00:53:27.520 --> 00:53:30.343]  I think that's a big friggin' issue.
[00:53:30.663 --> 00:53:34.608]  A reason why people don't want to listen to you when you say the truth.
[00:53:35.149 --> 00:53:36.510]  It's a big issue.
[00:53:37.571 --> 00:53:43.839]  I used to listen to your show, but then I kind of stopped, and I've just been picking up now that Barack Obama's in office, because I know
[00:53:44.403 --> 00:53:47.125]  I'm a black man myself, and I know that this is just dangerous.
[00:53:47.145 --> 00:53:52.570]  This is dangerous psych warfare on not only the black community, just America and the world in general.
[00:53:52.931 --> 00:53:53.951]  So I just wanted to talk about it.
[00:53:56.033 --> 00:54:02.799]  I watched three things on television the other day, and I don't watch television that much, so this just stuck out to me.
[00:54:03.240 --> 00:54:10.126]  I don't know if you've seen it, but eAssurance.com, the insurance company, they have a commercial out talking about Earth Hour.
[00:54:10.286 --> 00:54:11.527]  I don't know if you know about that.
[00:54:11.977 --> 00:54:15.800]  But they want people to turn off all their lights for one hour all around the world.
[00:54:16.340 --> 00:54:27.369]  So it's just one of those, you know... Yeah, and it came out that Enron would do that in California, saying there was no power to create the perception of artificial scarcity so that people would accept higher prices.
[00:54:27.409 --> 00:54:30.432]  It's all about training us to have less resources.
[00:54:30.532 --> 00:54:31.733]  Alan Watt, can you speak to that?
[00:54:32.817 --> 00:54:37.583]  Yes, they want to cut us back drastically from our present power consumption, and not all energy in fact.
[00:54:38.104 --> 00:54:44.993]  And it goes in with Agenda 21 of the United Nations, where they want us all living in compact cities, really overcrowded cities.
[00:54:45.752 --> 00:54:45.912]  I think?
[00:55:04.830 --> 00:55:19.760]  And they say they've got to have their phony environmental takeover because they want to actually control new energy so they can suppress the really good new clean industries and that no one will suspect them of that because they're, quote, the people that want the clean new industries.
[00:55:19.820 --> 00:55:20.621]  It's all on record, Alan.
[00:55:21.141 --> 00:55:30.350]  It's on record and Maurice Strong, who has been up at the head of the World Bank and a whole bunch of hats he wears at the UN, came over to Ontario, Canada in the 80s.
[00:55:30.870 --> 00:55:34.794]  He set up the infrastructure to privatize Ontario Hydro, this electric company.
[00:55:35.399 --> 00:55:47.663]  And he said at the time that in the future there'll be very little private electricity use for the general people, and he set up the infrastructure to set up big generators to keep the plants and factories and offices going.
[00:55:48.063 --> 00:55:52.525]  The general population were to live at the very basic minimum level of power.
[00:55:53.005 --> 00:55:54.125]  And that was back in the 80s.
[00:55:54.225 --> 00:55:56.486]  And he, of course, is Mr. Rockefeller's front man.
[00:55:56.906 --> 00:56:02.072]  Because of your feudal serf and totally poor, that is a mode of control.
[00:56:02.092 --> 00:56:06.738]  I mean, Mexico has triple the resources we have, and they have more billionaires per capita than any nation.
[00:56:07.059 --> 00:56:08.200]  That's done by design.
[00:56:08.260 --> 00:56:10.943]  This is neo-serfdom and feudalism.
[00:56:11.284 --> 00:56:14.247]  I appreciate your call, Solomon Dale, Matt, Glenn and others, and Drew.
[00:56:14.588 --> 00:56:16.390]  You'll have a chance to talk with myself and Bob Dacey.
[00:56:16.690 --> 00:56:19.772]  I want to get you back up for a full two hours in the next few weeks, Alan Watt.
[00:56:20.032 --> 00:56:23.095]  Hope folks will go check out your website, CuttingThroughTheMatrix.com.
[00:56:23.335 --> 00:56:28.518]  We really appreciate your just amazing analysis and your research, and Godspeed.
[00:56:29.059 --> 00:56:30.220]  Thanks for having me on, Alex.
[00:56:30.885 --> 00:56:31.466]  You bet, folks.
[00:56:31.506 --> 00:56:33.267]  Be sure and check out ComingToTheMatrix.com.
[00:56:33.347 --> 00:56:37.330]  And I've done two hours and five minutes, and I've really just started plugging.
[00:56:37.630 --> 00:56:40.112]  The film is coming out, The Obama Deception.
[00:56:40.132 --> 00:56:43.675]  Go check out the trailer and the new Obamadeception.net website.
[00:56:43.755 --> 00:56:48.619]  TheObamadeception.net, ladies and gentlemen, and pre-order it today on DVD.
[00:56:49.100 --> 00:56:54.204]  And it'll be out for PrisonPlanet.tv folks, and ripped the four corners of the earth on March 15th.
[00:56:54.264 --> 00:56:57.366]  It's up to you to make this film go mega viral.
[00:56:57.807 --> 00:57:00.369]  I want it to be the biggest viral video in history.
[00:57:00.689 --> 00:57:02.010]  Breaking our previous records.
[00:57:02.290 --> 00:57:02.791]  Stay with us.
[00:57:08.315 --> 00:57:18.423]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh nutritious vegetables will make it to your dinner table?
[00:57:18.903 --> 00:57:19.964]  Garden in a can.
[00:57:20.324 --> 00:57:23.887]  Garden in a can is your source for premium long-term storable seeds.
[00:57:24.468 --> 00:57:26.229]  Garden in a can is ready when you are.
[00:57:26.489 --> 00:57:28.771]  Plant them now or store them for when you really need them.
[00:57:29.231 --> 00:57:38.274]  There are 16 large hermetically sealed non-hybrid open pollinated packets of seeds along with detailed planting instructions sealed in a can for ultimate long-term protection.
[00:57:38.914 --> 00:57:39.914]  Garden in a can.
[00:57:40.334 --> 00:57:41.175]  It's that simple.
[00:57:41.535 --> 00:57:41.835]  Fresh.
[00:57:42.235 --> 00:57:42.615]  Healthy.
[00:57:43.095 --> 00:57:43.395]  Easy.
[00:57:43.935 --> 00:57:47.877]  Only $69.95 for over a half acre of safe fresh vegetables.
[00:57:48.277 --> 00:57:49.157]  Ready when you are.
[00:57:49.827 --> 00:57:53.472]  Stop procrastinating and start preparing with Garden In A Can.
[00:57:53.913 --> 00:57:57.018]  For more details visit GardenInACan.com today.
[00:57:57.398 --> 00:57:59.922]  That's GardenInACan.com or call 866-598-7396.
[00:57:59.942 --> 00:57:59.982]  866-598-7396.
[00:58:07.324 --> 00:58:08.985]  Our beloved Republic is on her knees.
[00:58:09.286 --> 00:58:12.708]  The forces of globalism are destroying national sovereignty worldwide.
[00:58:12.888 --> 00:58:14.750]  But in Liberty's darkest hour, there is hope.
[00:58:15.210 --> 00:58:18.093]  For the first time in modern history, the people are beginning to wake up.
[00:58:18.393 --> 00:58:23.877]  It is essential that patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[00:58:24.137 --> 00:58:27.500]  We have a short time frame to fully awaken and energize the people to meet
[00:58:28.360 --> 00:58:33.282]  In the Info War, PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[00:58:33.562 --> 00:58:36.324]  PrisonPlanet.tv is a vault of forbidden information.
[00:58:36.604 --> 00:58:43.446]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[00:58:43.827 --> 00:58:49.649]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[00:58:49.809 --> 00:58:54.311]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[00:58:54.591 --> 00:58:57.134]  The Info War is waiting for you to set it free.
[00:58:57.494 --> 00:58:59.135]  Join PrisonPlanet.tv.
[00:58:59.536 --> 00:59:01.338]  Burn the info bombs to disk.
[00:59:01.518 --> 00:59:03.320]  Put them on the file sharing networks.
[00:59:03.660 --> 00:59:05.081]  Bring down the New World Order.
[00:59:05.442 --> 00:59:06.162]  PrisonPlanet.tv
[00:59:07.421 --> 00:59:13.085]  Did you know that pH balance is one of the most important factors in maintaining high energy and vibrant health?
[00:59:13.365 --> 00:59:18.129]  Most experts agree that the water you drink should be at a pH level of 9 or higher.
[00:59:18.149 --> 00:59:23.352]  Plasma pH drops combine a unique formula of the most alkaline minerals and elements.
[00:59:23.572 --> 00:59:27.015]  This product is a one-of-a-kind in its strength and effectiveness.
[00:59:27.495 --> 00:59:35.659]  Using plasma pH drops is one of the best ways to make your water alkaline while helping you get rid of acid and regaining your health and energy.
[00:59:36.000 --> 00:59:40.982]  With just 10 drops, you can raise the pH level of the water you drink up to the pH of 10.
[00:59:41.803 --> 00:59:47.546]  Alkalizing water helps the body rid itself of acidic waste and increases the oxygen content of your body.
[00:59:47.786 --> 00:59:50.107]  Disease organisms like bacteria and cancer
[00:59:50.387 --> 00:59:52.808]  Cannot survive in an alkaline environment.
[00:59:53.048 --> 00:59:58.691]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to AlkaVision.com.
[00:59:58.791 --> 01:00:01.012]  That's A-L-K-A Vision dot com.
[01:00:01.272 --> 01:00:06.255]  Or call 269-344-3420 today.
[01:00:06.275 --> 01:00:11.277]  He's the T-Rex of political talk.
[01:00:11.818 --> 01:00:14.639]  Alex Jones on the GCN Radio Network.
[01:00:21.676 --> 01:00:31.202]  Well, for the next 50 minutes, maybe longer, we'll have him ride shotgun and he's got time when Mike Romero is joining us via video cam, coming up in 52 minutes at PrisonPlanet.tv.
[01:00:31.242 --> 01:00:33.844]  He'll be joining us as well.
[01:00:35.045 --> 01:00:39.668]  I wanted to have Bob Dacey here in studio today, because we always enjoy having Bob here.
[01:00:39.688 --> 01:00:41.329]  He also sits in sometimes when I'm out of town.
[01:00:41.629 --> 01:00:44.892]  Plus, we have the Independent Film Channel here and an Australian TV crew.
[01:00:45.952 --> 01:00:50.614]  As well is about to arrive, so why not just intensify the level of the circus?
[01:00:51.354 --> 01:00:58.216]  Bob, I wanted to get you here today to mainly not just talk about media, mainstream media lies, or how mainstream media is bought and paid for by global corporations that have an agenda.
[01:00:58.656 --> 01:01:08.760]  I wanted to get into how they're trying to regulate and shut down the Internet with Internet 2, how the mainstream media is really desperately trying right now.
[01:01:09.600 --> 01:01:13.763]  To restrict the web, and if you think they'll be successful in that.
[01:01:13.803 --> 01:01:24.111]  But just out of the gates, Barack Obama, he's been in office now right at a month, and in fact it'll be a month tomorrow since he got in in January.
[01:01:24.691 --> 01:01:25.872]  20th now, it's now February.
[01:01:28.934 --> 01:01:39.528]  Nineteenth, where you see that going, and if you see the Obamanoids, the Bushoids, it took them a while to wake up to the fact that he was a globalist and a front man and running nothing.
[01:01:39.949 --> 01:01:46.197]  Will the Obamanoids, now that he has betrayed everything he said he would do, are they going to wake up?
[01:01:46.824 --> 01:01:47.885]  Alex, thank you for having me on.
[01:01:47.905 --> 01:01:50.047]  I appreciate being able to come down here again.
[01:01:50.227 --> 01:01:53.751]  As far as Obama is concerned, you know, the thing about him, he hit the ground running.
[01:01:54.351 --> 01:02:01.018]  You know, he was brought up in the Brzezinski Rockefeller School.
[01:02:01.058 --> 01:02:02.359]  He's their boy.
[01:02:02.379 --> 01:02:04.882]  I hate to use the word boy, but he is their boy.
[01:02:07.183 --> 01:02:10.025]  He's kind of like Bill Clinton without the sexual baggage.
[01:02:10.085 --> 01:02:11.345]  He was definitely their boy.
[01:02:11.365 --> 01:02:16.068]  All of these presidents since Kennedy are their minions.
[01:02:16.208 --> 01:02:20.410]  He's taken the used car salesman to a new level, actually.
[01:02:21.090 --> 01:02:21.891]  He's so slick.
[01:02:22.031 --> 01:02:23.652]  He's slicker than Slick Willie ever was.
[01:02:24.252 --> 01:02:28.393]  Because he doesn't have all that baggage from being the governor of Arkansas.
[01:02:28.513 --> 01:02:28.793]  You know?
[01:02:29.333 --> 01:02:31.633]  All the ladies and all that other stuff.
