[00:00:00.529 --> 00:00:03.510]  Seminal film, Endgame, Blueprint for Global Enslavement.
[00:26:48.342 --> 00:27:05.479]  They're going to cover their own operation and that they're fixing it and exactly what we said they were doing with the chemtrails with the barium and aluminum dioxide, now that's what they propose in the Wall Street Journal and Atlantic Monthly and other publications and in AP that they're going to do to save us.
[00:27:05.999 --> 00:27:11.640]  How did we just imagine the chemtrails were barium salts and aluminum dioxide with all these climatologists we had on?
[00:27:11.920 --> 00:27:17.022]  And then Dr. Kaufman, it ends up magically, they go, oh yeah, we've been doing secret test programs.
[00:27:17.422 --> 00:27:21.123]  All this giant global level terraforming was just a test.
[00:27:22.443 --> 00:27:23.263]  Isn't that amazing?
[00:27:23.283 --> 00:27:24.844]  Isn't that amazing?
[00:27:24.924 --> 00:27:33.866]  You know, I talked about the Wildlands Project and what the Convention on Biological Diversity was going to do for five years before it was finally introduced in the U.S.
[00:27:33.926 --> 00:27:34.206]  Senate.
[00:27:34.964 --> 00:27:46.039]  Nobody believed a word I said and here it is now 10 years after the fact or 15 years after the fact now and it's full-blown is doing everything that I said it was going to do back in the late 1980s.
[00:27:47.473 --> 00:28:01.868]  Uh, you and I have both done this, where we have predicted, based on what we've seen, the papers and so forth, of what they're planning behind the scenes, that sooner or later, within 5 to 12 to 15 years, it's going to be mainstream.
[00:28:02.409 --> 00:28:06.273]  And you can't get people to believe it because it wasn't published in the New York Times.
[00:28:08.075 --> 00:28:08.516]  Amazing.
[00:28:08.536 --> 00:28:15.405]  We've got a long segment coming up and I want you to talk about the fact that we can beat this and fight it because you've done that single-handedly before.
[00:28:15.425 --> 00:28:19.390]  You've been doing this for decades and you did warn about the wetlands.
[00:28:19.411 --> 00:28:23.256]  Now we have the Water Quality Restoration Act.
[00:28:23.496 --> 00:28:24.176]  We're on the march.
[00:28:24.196 --> 00:28:24.697]  The empire's on the run.
[00:28:24.717 --> 00:28:26.317]  Alex Jones and the GCN Radio Network.
[00:28:51.752 --> 00:28:55.735]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[00:28:55.995 --> 00:28:57.776]  Do you really know what's in your tap water?
[00:28:57.996 --> 00:29:06.261]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:29:06.501 --> 00:29:11.745]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:29:12.065 --> 00:29:13.686]  Now what are you going to do about it?
[00:29:13.926 --> 00:29:20.249]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:29:20.429 --> 00:29:31.194]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere, and uses state-of-the-art carbon filtration, reverse osmosis, and ultra-violent light sterilization techniques.
[00:29:31.474 --> 00:29:31.994]  That's right.
[00:29:32.254 --> 00:29:34.555]  Clean water, right from the air you breathe.
[00:29:34.815 --> 00:29:36.396]  Order today by calling 1-800-691-8255.
[00:29:38.337 --> 00:29:38.998]  We're good to go.
[00:29:51.650 --> 00:29:52.751]  This is Alex Jones.
[00:29:53.032 --> 00:29:54.834]  Have you heard of the Millionaire Patriot?
[00:29:55.034 --> 00:29:55.675]  Well, you should.
[00:29:56.015 --> 00:30:00.280]  He has a free handgun and five days of firearms training waiting for you.
[00:30:00.500 --> 00:30:00.981]  That's right.
[00:30:01.321 --> 00:30:09.771]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[00:30:09.971 --> 00:30:11.232]  All for pennies on the dollar.
[00:30:11.332 --> 00:30:12.474]  Plus, if you act fast.
[00:30:12.674 --> 00:30:18.296]  The Millionaire Patriot will give you a free Springfield Armory XD pistol in the caliber of your choice.
[00:30:18.656 --> 00:30:25.179]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:30:25.559 --> 00:30:30.721]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:30:31.061 --> 00:30:32.222]  This is real.
[00:30:32.523 --> 00:30:33.263]  Don't miss out.
[00:30:33.584 --> 00:30:41.953]  Secure a Front Sight Defensive Handgun Course plus a 30 state concealed weapons permit for pennies on the dollar and get your free handgun.
[00:30:42.153 --> 00:30:44.315]  Go to FrontSight.com today.
[00:30:44.515 --> 00:30:48.019]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:30:48.219 --> 00:30:51.122]  Go to FrontSight.com for your training and free gun.
[00:30:51.903 --> 00:30:56.885]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:30:57.105 --> 00:31:00.907]  Number one, new climate legislation could easily double or triple your electric bill.
[00:31:01.147 --> 00:31:06.730]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:31:07.030 --> 00:31:11.892]  It's true, total government control of electricity in the name of smart grid technology is coming.
[00:31:12.112 --> 00:31:18.475]  Number three, in some areas of the country the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:31:18.635 --> 00:31:21.596]  Number four, the hurricane and dangerous summer storm season is here
[00:31:21.596 --> 00:31:21.936]  We're good.
[00:32:18.216 --> 00:32:28.922]  Ladies and gentlemen, you cannot accuse the establishment of not thinking big.
[00:32:29.463 --> 00:32:35.706]  Terraforming the planet, controlling the weather, and then keeping us like ignorant savages that don't even know what the sun is.
[00:32:37.487 --> 00:32:41.830]  And then Holdren talking about putting up satellites and blocking out the sun and all this craziness.
[00:32:43.089 --> 00:32:46.590]  The point is they want to play God, they want you to live in an engineered society.
[00:32:46.970 --> 00:32:54.112]  There's an article out of a mainstream magazine in the 1940s, We Can Control the Weather, and it describes exactly how they do it.
[00:32:54.772 --> 00:32:57.732]  And there is a massive program of this going on.
[00:32:57.752 --> 00:33:04.234]  This is 1944, and just incredible.
[00:33:04.754 --> 00:33:05.754]  Absolutely incredible.
[00:33:06.054 --> 00:33:07.255]  And it gets into cloud seating.
[00:33:08.195 --> 00:33:08.975]  I want to play
[00:33:11.249 --> 00:33:15.853]  The White House Czar, a clip from the Associated Press.
[00:33:15.893 --> 00:33:18.976]  This is not Alex Jones saying this.
[00:33:19.076 --> 00:33:25.142]  I want to play this clip of John P. Holdren, the eugenicist.
[00:33:25.262 --> 00:33:26.884]  And he is a eugenicist, there's no doubting.
[00:33:27.861 --> 00:33:32.745]  Just like in Endgame, I accused the head of the Human Genome Project of being a eugenicist because I'd read his writings.
[00:33:33.526 --> 00:33:34.967]  No one had ever publicly called him one.
[00:33:35.388 --> 00:33:41.233]  And then a year after Endgame came out, it came out that Mr. Watson said blacks weren't human, were basically subhuman.
[00:33:42.810 --> 00:33:48.034]  And now it's come out they are taking your blood at birth for 36 years illegally for the Human Genome Project.
[00:33:48.114 --> 00:33:49.475]  It's a giant eugenics front.
[00:33:49.955 --> 00:33:56.219]  Sure, they can get some secondary science from it and I think it's fine, but they're using it for race-specific bioweapon development.
[00:33:56.239 --> 00:34:11.730]  We're going to get Dr. Michael Coffin's take on that and some of the things he's been fighting in this Clean Water Restoration Act that federalizes anything that has water above or below ground, puddles of water, and the Rewilding Act and these wilderness corridors on the rivers.
[00:34:12.930 --> 00:34:16.552]  That's all coming up, but here is Holdren to the AP.
[00:34:16.592 --> 00:34:23.975]  And notice on the video in the background by the American flag on the shelf is Ecoscience, the textbook he wrote for government.
[00:34:24.375 --> 00:34:29.137]  A plan of a planetary tyranny to sterilize you.
[00:34:29.417 --> 00:34:29.838]  Here it is.
[00:34:30.700 --> 00:34:35.522]  We have to look at it very carefully because we might get desperate enough to want to use it.
[00:34:36.342 --> 00:34:40.383]  The danger, of course, with geoengineering is one I was referring to a moment ago.
[00:34:40.423 --> 00:34:58.449]  We don't understand the system well enough to predict its responses in detail, and that means there's always a danger if you try to engineer the system on a large scale, that you will do something that has side effects that are worse than the dimension of the problem you're trying to cure with the geoengineering in the first place.
[00:34:59.729 --> 00:35:03.712]  There are a variety of schemes that have been discussed for geoengineering.
[00:35:03.732 --> 00:35:20.642]  A classic example is injecting reflecting particles into Earth orbit that would deflect some of the sunlight that would otherwise be warming the Earth and in that way try to produce a cooling effect to offset the heating effect of carbon dioxide and other greenhouse gases.
[00:35:20.702 --> 00:35:21.683]  Alright, let's stop right there.
[00:35:22.503 --> 00:35:26.386]  You can watch the rest of the clip up on InfoWars.com and PrisonPlanet.com, but understand
[00:35:27.721 --> 00:35:36.106]  For over a decade, we found some government documents about high altitude spraying, these aerosol campaigns, people call them chemtrails.
[00:35:36.166 --> 00:35:42.529]  We got called kooks, and there are some kooks that point at a regular ice trail and say it is a trail when it isn't.
[00:35:43.010 --> 00:35:48.072]  But trails at 2,000 feet don't condensate and sit there and get bigger for five hours.
[00:35:48.733 --> 00:35:52.415]  Real ice trails, real contrails disappear in just a few minutes.
[00:35:53.055 --> 00:35:55.476]  There's a massive program going on, and they admit it!
[00:35:55.937 --> 00:36:06.622]  Now, if you just Google these terms, all these universities, Department of Energy, NASA brags, oh look, the Earth's 20% darker, satellite photos of the whole country covered.
[00:36:07.082 --> 00:36:14.106]  They really are Revenge of the Nerds scientists who happen to be eugenicists on wild power trips, Dr. Michael Kaufman.
[00:36:17.006 --> 00:36:19.147]  Again, there's no question of that.
[00:36:19.167 --> 00:36:20.847]  It's just phenomenal.
[00:36:20.867 --> 00:36:30.950]  When you get back to the chemtrail issues, I'm not an expert on chemtrails, but what I do know is that they're a high enough elevation that they actually form kind of a cirrus cloud formation.
[00:36:30.990 --> 00:36:35.411]  Now, if you know the politics and the science of global warming, man-caused global warming,
[00:36:36.111 --> 00:36:39.694]  This is what they have predicted right from the very beginning.
[00:36:39.714 --> 00:36:42.857]  It's inherited in every single climate model that there is.
[00:36:43.458 --> 00:36:45.439]  It's at about 6 miles in elevation.
[00:36:45.940 --> 00:36:50.604]  What you'll find is that more cirrus clouds are formed, which trap the heat.
[00:36:51.044 --> 00:36:52.946]  It's a positive feedback mechanism.
[00:36:52.966 --> 00:36:55.368]  I can make it even more complicated than that and you won't understand it.
[00:36:55.868 --> 00:36:57.930]  No, the Earth needs this as its shield.
[00:36:58.690 --> 00:37:00.032]  Go ahead and give people the science.
[00:37:00.894 --> 00:37:08.417]  It basically says that with... Now, first of all, you have to understand that carbon dioxide itself cannot trap much more heat.
[00:37:09.077 --> 00:37:10.498]  Very, very small percentage.
[00:37:10.518 --> 00:37:12.038]  A couple percent, and that's about it.
[00:37:12.438 --> 00:37:18.221]  Because the wavelengths, the wavebands that it traps heat in, are already saturated.
[00:37:18.321 --> 00:37:20.041]  So it cannot do much more.
[00:37:20.101 --> 00:37:28.724]  Therefore, the little that it does do, they claim, are going to create more clouds, more thunderstorms, which when they decay, they create more cirrus clouds.
[00:37:29.125 --> 00:37:29.885]  Cirrus clouds
[00:37:30.465 --> 00:37:37.251]  Trap the heat, low elevation rain clouds reflect the heat, Earth to the Sun, just the opposite of the negative feedback.
[00:37:37.671 --> 00:37:43.996]  In the positive feedback, in cirrus clouds, the radiation emitted by the Earth is trapped again and remitted down.
[00:37:44.196 --> 00:37:49.020]  That means that the upper atmosphere heats faster than the Earth's surface.
[00:37:49.080 --> 00:37:56.226]  And this is well explained in our second DVD, the Emerging Science, Global Warming Emerging Science DVD that Alex now has.
[00:37:57.287 --> 00:37:57.487]  It is
[00:37:58.167 --> 00:37:59.748]  Absolutely night and day.
[00:37:59.828 --> 00:38:08.113]  What the models predict was going to happen the last 40 to 50 years, and what has actually happened, they're not the same at all.
[00:38:08.153 --> 00:38:13.355]  Explain this to me though, because there's other big major films like the great global warming swindle.
[00:38:13.676 --> 00:38:17.678]  They have all these climatologists and scientists and physicists from around the world
[00:38:18.118 --> 00:38:19.239]  Literally the top names.
[00:38:19.579 --> 00:38:23.102]  There's now 37,000 of them have sent a letter and petition to the government.
[00:38:23.403 --> 00:38:24.584]  The government won't even read it.
[00:38:24.764 --> 00:38:26.045]  Won't allow them in testimony.
[00:38:26.505 --> 00:38:32.070]  Only Al Gore who lies and says he invented everything from Kitty Hawk to, you know, to fire.
[00:38:34.412 --> 00:38:35.633]  is the only expert up there.
[00:38:35.853 --> 00:38:39.715]  He openly owns one of the carbon companies and said, what's wrong with me making money?
[00:38:40.035 --> 00:38:50.542]  I mean, it's the outrageousness of this, but also they say it's not just the heat from the sun, it's that different type of nuclei, particles, come into the atmosphere.
[00:38:50.562 --> 00:38:51.583]  Can you explain that?
[00:38:52.034 --> 00:38:59.722]  Yes, there's two and it's explained in much better graphics than it did in the first one in this new Emerging Science DVD.
[00:38:59.802 --> 00:39:06.429]  It really shows very clearly, it's not the total amount of energy that the sun emits, but the kind of energy.
[00:39:06.990 --> 00:39:14.558]  You have incoming cosmic radiation from exposing supernovae from out in the galaxy and so forth that eventually get to Earth.
[00:39:15.265 --> 00:39:30.810]  Those, and it's been shown in experiments now, to be correct, those cosmic radiation particles, when they enter the Earth's surface, or enter the Earth's atmosphere, they start to condense out and ionize and create water droplets.
[00:39:31.310 --> 00:39:41.773]  When they create water droplets, clouds eventually form, and when you have clouds, low elevation clouds, if you've ever flown an airplane above these clouds, it is a bright white.
[00:39:42.113 --> 00:39:44.894]  That's because the sun is reflecting off of those clouds,
[00:39:45.094 --> 00:40:03.405]  Now let me understand, so it's almost like just the space rays, not just the sun's rays, and this whole spectrum of different particles come in like microscopic meteorites and create almost an energy field which then generates the nuclei to allow the raindroplets to form.
[00:40:03.465 --> 00:40:05.847]  So it's a beautiful engine.
[00:40:06.087 --> 00:40:07.027]  It's not a crime.
[00:40:07.447 --> 00:40:09.309]  And carbon dioxide is what plants breathe.
[00:40:09.349 --> 00:40:10.930]  It's not a chemical weapon that'll...
[00:40:12.751 --> 00:40:15.972]  Absolutely.
[00:40:17.533 --> 00:40:23.256]  In fact, we can probably have three to four hundred percent increase in our carbon dioxide and the earth would be much better off for it.
[00:40:23.776 --> 00:40:27.038]  Both plant productivity, food production, and it will not hurt us.
[00:40:27.378 --> 00:40:37.223]  In fact, I've seen those studies that during some of the warming periods with the dinosaurs were the most plentiful that it was many times higher and that the earth was much more tropical.
[00:40:37.867 --> 00:40:38.570]  Yeah, absolutely.
[00:40:38.631 --> 00:40:42.507]  Probably about 10 times greater concentration during that period of time.
[00:40:43.580 --> 00:41:00.130]  Uh, and the earth was much more tropical, vegetation was flourishing and abundant, and every time, in fact we have, the science has actually shown that there's been a 12% increase in food production, global food production, because of the increased carbon dioxide we've had the last 50 years.
[00:41:00.511 --> 00:41:09.376]  There's nothing negative about carbon dioxide, it's all positive, but yet they're calling it a pollutant, and because it's a pollutant, then they can control our lives.
[00:41:11.787 --> 00:41:23.570]  I've done the dihydrogen monoxide joke with people at restaurants on the street, and I tend to go out with a camera and do it, because you can say, hey, we need to restrict carbon dioxide, right?
[00:41:23.630 --> 00:41:24.550]  And they go, yes, it's evil.
[00:41:24.830 --> 00:41:26.831]  And I go, what about dihydrogen monoxide?
[00:41:26.871 --> 00:41:27.751]  It's in the water.
[00:41:28.391 --> 00:41:32.432]  And almost every adult, even people in suits downtown, will go, yes, ban it.
[00:41:32.972 --> 00:41:33.632]  It's water.
[00:41:33.812 --> 00:41:38.054]  I assure the viewers, people that support this, that water is not bad.
[00:41:39.054 --> 00:41:39.634]  Absolutely.
[00:41:40.459 --> 00:41:41.639]  You know, it is amazing.
[00:41:42.220 --> 00:41:47.862]  We have been so sensitized in our educational process that anything chemical is bad for us.
[00:41:47.922 --> 00:41:51.883]  Well, I'm afraid anything that we eat, drink, or otherwise is chemical.
[00:41:52.423 --> 00:42:05.988]  And the fact that we have this aversion to the name chemical is ingrained in us in our educational process, in the television ads, all the rest of it, so that we just recoil away from it.
[00:42:06.649 --> 00:42:07.371]  And we shouldn't.
[00:42:07.511 --> 00:42:11.019]  We have to understand what it is and then treat it accordingly.
[00:42:11.468 --> 00:42:12.809]  What about the brainwashing?
[00:42:12.829 --> 00:42:31.044]  Did you know that there are scores of video games where the zombies are carbon dioxide blobs and the kids shoot them and it's just total brainwashing in the schools and the New York Times reports that kids go home and write mock tickets to their mother because they take a hot bath and the mother goes, I'm glad they're ordering me around.
[00:42:31.465 --> 00:42:33.967]  They're turning us into a total Stasi society.
[00:42:34.207 --> 00:42:38.351]  What about the Green Bill with the home inspections and the federal language about
[00:42:39.172 --> 00:42:44.024]  uh... they can kick you out of your house no judge no jury just i mean this is total tyranny
[00:42:44.637 --> 00:42:51.719]  It is total tyranny, and you and I have, and others, have been warning the people for 15 years or more about this very thing.
[00:42:52.299 --> 00:43:02.681]  It's now right in front of us, and we have a last opportunity to stop it by calling your Congressmen and Senators and saying, no, I'm going to throw you out of office if you vote for these things.
[00:43:03.061 --> 00:43:04.222]  And there's just not one thing.
[00:43:04.262 --> 00:43:05.562]  There's a dozen of them out there.
[00:43:06.142 --> 00:43:10.363]  It would be best if we just shut down Congress and they didn't do anything for four years.
[00:43:10.823 --> 00:43:11.204]  I agree.
[00:43:11.244 --> 00:43:15.328]  Now, for those that don't know, dihydrogen monoxide is the scientific term for water.
[00:43:15.968 --> 00:43:18.731]  And I was just making the point that ask your friends or family.
[00:43:19.592 --> 00:43:21.314]  But put it in a carbon dioxide debate.
[00:43:21.334 --> 00:43:28.021]  Say, for the environment, shouldn't we have a carbon tax on dihydrogen monoxide?
[00:43:28.281 --> 00:43:30.243]  You could also give them the scientific name for salt.
[00:43:30.684 --> 00:43:32.786]  And nine times out of ten, they'll say, ban it.
[00:43:33.883 --> 00:43:34.063]  Right.
[00:43:34.784 --> 00:43:36.385]  Now, you said there's about a dozen.
[00:43:37.066 --> 00:43:51.818]  There's the climate change bill, the carbon tax bills, the Clean Water Restoration Act, there's the rewilding, all these things you warned about, they're now trying to ram through right now because they think Obama's got control of the entire government.
[00:43:52.079 --> 00:43:54.461]  Tell us about some of the things that they're trying to push through.
[00:43:55.270 --> 00:43:59.831]  Well, I think that the water bill, the Clean Water Bill reenactment is really dangerous.
[00:43:59.911 --> 00:44:10.695]  It basically puts, you're talking about our economy with the Clean Cap and Trade legislation, with the water, you're taking control over water, which you need every single day to live.
[00:44:11.495 --> 00:44:18.057]  And if the federal government controls the water of every acre of land in the United States, it controls you and I, period.
[00:44:18.117 --> 00:44:20.818]  I mean, it controls our crop production, it controls everything.
[00:44:21.645 --> 00:44:32.153]  And as a consequence, you look at what these bills do, and every single one of them draws control over a basic thing in our society that we need to have to live.
[00:44:32.794 --> 00:44:36.357]  And once that is done, then the federal government basically controls us.
[00:44:36.837 --> 00:44:38.418]  You have no choice in the matter.
[00:44:38.498 --> 00:44:45.764]  You have to do what they say, just like they did in the old Soviet Union, or you're thrown out of your house, you're prevented from buying food, you name it.
[00:44:46.305 --> 00:44:47.926]  And I'm not saying it's going to happen next year.
[00:44:48.547 --> 00:44:49.948]  But they have that potential.
[00:44:49.988 --> 00:44:52.910]  They have the right to do it now once these laws pass.
[00:44:53.331 --> 00:45:01.617]  And there has been no time in all of history where a bad bill like that has been passed, legislation in the Roman Empire or whatever, that it hasn't been abused.
[00:45:02.281 --> 00:45:10.364]  Well listen, I have the head of City Year, federally funded, these youth brigades in red and black uniforms.
[00:45:10.584 --> 00:45:14.086]  People can Google City Year and watch them doing their chanting and drilling.
[00:45:14.706 --> 00:45:19.828]  And where everything's so bankrupt now, you have to get a job with the government out of high school doing this.
[00:45:20.328 --> 00:45:31.353]  And it says, I have national newscasts saying, they're going to have quasi-governmental groups, mainly young, stupid, ignorant, power-tripping young people,
[00:45:32.233 --> 00:45:42.218]  And it already has shown them on the news that say climate police out shouting people down like Mao Zedong's youth brigades.
[00:45:42.238 --> 00:45:43.919]  Actually that's how they're modeled.
[00:45:44.279 --> 00:45:46.980]  And they even have little blue Obama books that they carry.
[00:45:47.040 --> 00:45:52.583]  And just like in China, I'm not making this up, I have the newscast, waving them as they scream at you.
[00:45:52.963 --> 00:45:55.825]  And already in Austin, if you park an SUV by Barton Springs,
[00:45:56.545 --> 00:45:58.025]  They are slashing tires.
[00:45:58.466 --> 00:45:59.866]  They're out there enforcing.
[00:45:59.886 --> 00:46:03.467]  I mean, folks, I'm not kidding when I say they're already here.
[00:46:03.787 --> 00:46:08.628]  And I have the head of city here saying they're going to use them to enforce on us.
[00:46:09.129 --> 00:46:11.429]  I mean, this is nightmarish, Dr. Kaufman.
[00:46:11.809 --> 00:46:12.149]  It is.
[00:46:12.309 --> 00:46:13.730]  Brownshirts under Hitler.
[00:46:14.670 --> 00:46:17.271]  The Red Brigade in China.
[00:46:17.311 --> 00:46:18.011]  You name it.
[00:46:19.034 --> 00:46:23.438]  We're following the same pattern of all these despots in the past.
[00:46:23.518 --> 00:46:24.498]  Can't we see that?
[00:46:24.519 --> 00:46:27.041]  You know, we have been worrying about it for years.
[00:46:27.850 --> 00:46:32.153]  Decades even, and here it is, it's at our doorstep, and everybody's yawning.
[00:46:32.413 --> 00:46:37.476]  Well, not everybody in this audience, I doubt that, but for the most part, society is yawning.
[00:46:37.676 --> 00:46:40.417]  And I just cannot believe how they could be missing.
[00:46:41.018 --> 00:46:43.739]  You know, everything is going to work out alright, honey, don't worry about it.
[00:46:44.200 --> 00:46:44.800]  It's going to work out.
[00:46:44.840 --> 00:46:46.741]  But those people will never do anything like that.
[00:46:47.302 --> 00:46:48.382]  Well, I'm sorry, folks.
[00:46:48.522 --> 00:46:54.586]  History shows that those people will do exactly what we're talking about, given the opportunity, and they are creating that opportunity right now.
[00:46:55.100 --> 00:47:10.547]  Well, they say they're going to wall off all the major NAFTA highways and keep, what, half the... I mean, you've put together the maps off their own documents where half the country's off limits to us, and everywhere they get control, they are rewilding.
[00:47:10.567 --> 00:47:14.048]  They are, all over the West, harassing people off their own property.
[00:47:14.088 --> 00:47:15.589]  I mean, this is going on.
[00:47:16.443 --> 00:47:16.723]  It is.
[00:47:16.863 --> 00:47:17.464]  It really is.
[00:47:17.904 --> 00:47:29.132]  We haven't heard a lot about it in the major urban areas because they have deliberately, basically compartmentalized everything in this country so that we do not hear what's going on in another part of the country.
[00:47:29.632 --> 00:47:34.315]  I go and talk to different groups in different parts of the country and they think that they're the only ones this is happening to.
[00:47:34.675 --> 00:47:36.176]  It's happening to everyone.
[00:47:36.857 --> 00:47:39.278]  And we need to... Our property rights are being destroyed.
[00:47:39.318 --> 00:47:46.183]  You have the Kelo case back in 2005 that basically changed the Fifth Amendment from public use to public purpose.
[00:47:46.723 --> 00:47:49.904]  Well, I've got it here in my folders.
[00:47:49.924 --> 00:47:51.304]  I'm digging around for it right now.
[00:47:51.364 --> 00:47:53.024]  I'll probably find it in the break.
[00:48:16.528 --> 00:48:18.990]  Hundreds of articles a week saying babies are bad.
[00:48:19.010 --> 00:48:20.631]  They have a big carbon footprint.
[00:48:20.931 --> 00:48:23.413]  We need to ban having babies or put taxes on them.
[00:48:23.833 --> 00:48:26.175]  And Australia is actually trying to pass laws.
[00:48:26.475 --> 00:48:29.517]  They're getting rid of the baby credits in California.
[00:48:30.177 --> 00:48:37.182]  They're in women's magazines telling women marriage isn't good, breaking up with your family's good, don't have kids.
[00:48:37.622 --> 00:48:39.664]  I mean, this is a real culture of death.
[00:48:40.084 --> 00:48:41.825]  But humans have a hunger for life.
[00:48:42.305 --> 00:48:44.167]  I think they're going to have trouble implementing this.
[00:48:44.227 --> 00:48:46.028]  I mean, they're in power is what I'm saying.
[00:48:46.608 --> 00:48:51.790]  And it's one thing to pass the laws, it's another thing to be able to actually put this stuff into place.
[00:48:52.310 --> 00:48:54.091]  Yeah, that is very true, and it's amazing.
[00:48:54.631 --> 00:49:03.734]  Last year, maybe 14-15 months ago, 80% of the population here in the United States believed that global warming was generally caused by man.
[00:49:04.814 --> 00:49:06.275]  Maybe they weren't a die-hard believer, but 80%.
[00:49:07.705 --> 00:49:10.486]  That's down to 44% now.
[00:49:10.506 --> 00:49:17.650]  And people are beginning to wake up, and it's been programs like this and others that are starting to really sink home.
[00:49:17.690 --> 00:49:27.914]  When they start to see Obama doing all these things, and they've heard, you know, our crazy comments and so forth over the last few years, all of a sudden they start to see it happening.
[00:49:27.934 --> 00:49:29.455]  They say, oh my gosh, maybe they're right.
[00:49:30.135 --> 00:49:31.976]  You look at the healthcare.
[00:49:32.777 --> 00:49:38.962]  Sixty percent of the American people, two-thirds, do not want to have the present health care in the House of Representatives passed.
[00:49:39.262 --> 00:49:41.964]  And that's when they don't even know how bad it really is.
[00:49:41.985 --> 00:49:43.786]  Dr. Michael Kauffman, stay there.
[00:49:43.806 --> 00:49:45.527]  Let's talk more about this good news, though.
[00:49:45.868 --> 00:49:47.129]  The people are waking up.
[00:49:47.149 --> 00:49:52.953]  That's why the establishment's kind of flipping out now in an orgy of propaganda in an attempt to batter us into control.
[00:49:53.814 --> 00:49:55.615]  It's the world's oldest natural antibiotic.
[00:49:55.775 --> 00:49:59.857]  This very special mineral has been used for centuries by most cultures throughout the world.
[00:50:00.037 --> 00:50:11.463]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water without use of animal protein, nitrates, or saline solutions.
[00:50:11.703 --> 00:50:22.189]  Because our colloidal silver is made up of nano-sized particles, it can be better utilized at the cellular level, and germs can't mutate to be resistant like they can to modern-day antibiotics.
[00:50:22.469 --> 00:50:22.989]  I think so.
[00:50:52.728 --> 00:50:58.053]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:50:58.753 --> 00:51:04.118]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:51:04.638 --> 00:51:10.804]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:51:11.124 --> 00:51:12.965]  Well, Obama's already fudging.
[00:51:13.085 --> 00:51:15.487]  He's fudged since day one in this election.
[00:51:15.567 --> 00:51:26.513]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:51:28.754 --> 00:51:30.035]  It's not about left or right.
[00:51:30.435 --> 00:51:31.816]  It's about a one-world government.
[00:51:32.296 --> 00:51:38.520]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:51:39.173 --> 00:51:46.944]  Get your copy of the Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:51:47.445 --> 00:51:48.586]  The Obama Deception.
[00:51:49.027 --> 00:51:50.208]  The people strike back!
[00:51:52.210 --> 00:51:56.493]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[00:51:56.733 --> 00:52:01.615]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[00:52:01.836 --> 00:52:03.156]  Hi folks, Alex Jones here.
[00:52:03.336 --> 00:52:06.818]  Why not go back to basics and be safe with Calbin Pure Soaps?
[00:52:06.939 --> 00:52:12.121]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
[00:52:12.362 --> 00:52:18.125]  Marty Schachter founded Calbin Soap Company in 1947 and provided products for health institutions.
[00:52:18.465 --> 00:52:20.887]  Now, Calvin Soaps are available to you and me.
[00:52:20.967 --> 00:52:23.288]  Triple concentrated for all your cleaning needs.
[00:52:23.488 --> 00:52:25.650]  From bathing and laundry to dishes, hair and more.
[00:52:25.930 --> 00:52:26.950]  No harsh chemicals.
[00:52:27.130 --> 00:52:28.071]  No animal testing.
[00:52:28.311 --> 00:52:29.632]  I use them and love them.
[00:52:29.652 --> 00:52:31.233]  Knowing they're all natural and safe.
[00:52:31.533 --> 00:52:32.574]  And I save big time.
[00:52:32.954 --> 00:52:34.175]  Call Calvin Pure Soap at 1-800-340-7091.
[00:52:34.195 --> 00:52:34.395]  That's 1-800-340-7091.
[00:52:34.435 --> 00:52:36.036]  Or log on to 5starsoap.com now for a free catalog.
[00:52:44.381 --> 00:53:06.470]  Folks, I want you to go to InfoWars.com, the online video bookstore, and I want you to get my film, Endgame, Blueprint for Global Enslavement, to understand who the Agenesis are, who the Globals are, what their master plan is.
