[00:00:00.009 --> 00:00:01.530]  Federal Agents!
[00:21:43.976 --> 00:21:49.118]  And that's exactly what the Clergy Response Team, as it's called, helped accomplish in New Orleans.
[00:21:49.638 --> 00:21:56.140]  Jeff, the primary thing that we say to anybody is let's cooperate and get this thing over with, and then we'll settle the differences once the crisis is over.
[00:21:56.460 --> 00:22:02.362]  Such clergy response teams would walk a tightrope between the needs of the government versus the wishes of the public.
[00:22:02.862 --> 00:22:09.504]  In a lot of cases, these clergy would already be known in the neighborhoods in which they're helping to diffuse that situation.
[00:22:09.524 --> 00:22:10.044]  I had him on.
[00:22:10.064 --> 00:22:17.386]  For the clergy, one of the biggest tools that they will have in helping calm the public down or obey the law is the Bible itself.
[00:22:17.826 --> 00:22:18.426]  Specifically...
[00:22:18.846 --> 00:22:19.807]  Now, what is the law?
[00:22:19.847 --> 00:22:23.272]  There's no Constitution, no Bill of Rights, you're going to a FEMA camp, we're taking your guns.
[00:22:23.392 --> 00:22:29.720]  And the Patriots are like, we helped deal with it here in Katrina.
[00:22:29.860 --> 00:22:30.381]  They did it.
[00:22:30.581 --> 00:22:33.305]  And remember, this didn't exist when we broke this year and a half before this.
[00:22:33.846 --> 00:22:35.007]  We have the secret documents.
[00:22:35.568 --> 00:22:36.609]  Ten times worse than this.
[00:22:37.230 --> 00:22:38.630]  Well, the newscast is misleading.
[00:22:38.710 --> 00:22:43.392]  She said that the Posse Comitatus Act was been repealed or no longer in effect.
[00:22:43.412 --> 00:22:43.972]  That's not true.
[00:22:44.092 --> 00:22:45.172]  Well, they blew holes in it.
[00:22:45.192 --> 00:22:46.752]  You could drive a Death Star through it.
[00:22:46.772 --> 00:22:49.273]  But it has not officially been repealed.
[00:22:50.733 --> 00:22:53.454]  They just enacted through executive orders.
[00:22:53.534 --> 00:22:53.894]  Fiat.
[00:22:54.174 --> 00:22:54.795]  Fiat, right.
[00:22:54.915 --> 00:22:55.375]  Through Fiat.
[00:22:55.415 --> 00:22:56.175]  That's freedom.
[00:22:57.535 --> 00:22:57.915]  It's freedom.
[00:22:57.935 --> 00:23:03.197]  You know, I had that big lawyer on yesterday and he said, yes, arguing with police is a terrorist act now, punishable by 20 years in prison.
[00:23:03.237 --> 00:23:04.077]  That's in the Patriot Act.
[00:23:04.480 --> 00:23:05.300]  It's just talking!
[00:23:05.440 --> 00:23:12.124]  I mean, it's disgusting.
[00:23:12.164 --> 00:23:15.406]  Hey, cops, you think a corrupt system like this is going to let you have your pension funds?
[00:23:16.026 --> 00:23:17.687]  This is the world you want your children living in?
[00:23:18.247 --> 00:23:20.068]  I guess I do, to find Al-Qaeda.
[00:23:22.529 --> 00:23:25.531]  Then overnight, they swing the whole apparatus against the people.
[00:23:26.656 --> 00:23:27.136]  Romans.
[00:23:27.616 --> 00:23:27.977]  Romans 13.
[00:23:28.037 --> 00:23:30.558]  Because the government's established all the law.
[00:23:31.318 --> 00:23:31.618]  You know?
[00:23:31.858 --> 00:23:33.559]  And that's what we believe in the Christian faith.
[00:23:33.579 --> 00:23:34.800]  That's what's stated in the scripture.
[00:23:35.400 --> 00:23:44.244]  Civil rights advocates believe the amount of public cooperation may depend largely on how long they expect the suspension of their rights might last.
[00:23:45.264 --> 00:23:46.905]  Jeff Ferrell, KSLA News 12 reporting.
[00:23:47.745 --> 00:23:55.149]  According to Tuberville, during Hurricane Katrina, the clergy response team provided 38 chaplains a day, around the clock, at eight different camps.
[00:23:56.255 --> 00:23:58.197]  Oh, eight different camps, Kurt.
[00:23:58.977 --> 00:23:59.898]  Once again, misleading.
[00:23:59.978 --> 00:24:04.121]  He said, depending on how long it lasts.
[00:24:04.201 --> 00:24:05.562]  Well, tyranny lasts forever.
[00:24:06.403 --> 00:24:08.104]  That's what they're saying.
[00:24:08.164 --> 00:24:11.446]  Just let us do what we want now, and then things will be okay later.
[00:24:11.466 --> 00:24:13.287]  That isn't how it works.
[00:24:13.548 --> 00:24:14.328]  It's not how it works.
[00:24:14.488 --> 00:24:15.649]  Historically, it's not how it works.
[00:24:15.689 --> 00:24:17.190]  Well, Hitler used the clergy.
[00:24:17.250 --> 00:24:17.871]  Stalin did.
[00:24:17.891 --> 00:24:18.491]  So did Mao.
[00:24:18.811 --> 00:24:19.792]  There was approved churches.
[00:24:19.812 --> 00:24:22.214]  It was just ones that weren't approved, they went after.
[00:24:26.880 --> 00:24:28.241]  Romans 13 doesn't say that.
[00:24:28.541 --> 00:24:31.802]  I mean, I guess Hitler was good then, Stalin, Mao, we shouldn't have fought King George III.
[00:24:32.702 --> 00:24:36.463]  Right, well, you have to read that scripture in the context of the rest of the Bible.
[00:24:36.483 --> 00:24:42.786]  I mean, it's just, they take it out, stick it out there and say, you know, the government is of the Lord and whatever the government does is kosher.
[00:24:42.826 --> 00:24:43.666]  It's not true.
[00:24:45.567 --> 00:24:47.167]  All governments are of the Lord.
[00:24:48.908 --> 00:24:50.428]  I mean, Christ, what did he do?
[00:24:50.448 --> 00:24:54.050]  He fought against the established order in Palestine, you know?
[00:24:55.236 --> 00:24:56.697]  What did all the other disciples do?
[00:24:56.737 --> 00:24:57.618]  Most of them got killed.
[00:24:58.058 --> 00:24:58.258]  Right.
[00:24:58.538 --> 00:24:58.978]  They were crucified.
[00:24:58.998 --> 00:25:00.039]  They were in prison.
[00:25:00.099 --> 00:25:01.400]  I mean, because they did what they said.
[00:25:01.420 --> 00:25:07.824]  I mean, can you imagine the Apostle Paul running around with the clergy response teams going, do what the Romans say.
[00:25:08.244 --> 00:25:13.147]  You know, worship whatever they... go to the FEMA camps or any of them.
[00:25:13.968 --> 00:25:14.548]  Right, right.
[00:25:14.628 --> 00:25:15.128]  Well, I mean...
[00:25:16.488 --> 00:25:20.130]  Once again, it just shows they can get away with this because people are ignorant.
[00:25:20.190 --> 00:25:21.391]  They do not know history.
[00:25:21.711 --> 00:25:23.472]  They do not even know the Bible, per se.
[00:25:23.872 --> 00:25:31.757]  They just buy this, and they look towards television to give them the news, and they believe whatever's told on television.
[00:25:31.897 --> 00:25:35.239]  There's at least 26,000 of these preachers that are under secret contract.
[00:25:35.999 --> 00:25:38.322]  To brainwash you beforehand and then after.
[00:25:38.822 --> 00:25:45.770]  And I'm telling you folks, if your preacher's going, Romans 13 of the Lord, firearms are not good, go to emergency centers when it's needed.
[00:25:45.950 --> 00:25:49.034]  We've got all these TV preachers saying it after this happened.
[00:25:49.074 --> 00:25:50.055]  They're reading a script.
[00:25:50.756 --> 00:25:53.519]  In fact, people have done videos of preacher after preacher saying the same thing.
[00:25:54.537 --> 00:25:55.837]  That crisis is coming.
[00:25:56.117 --> 00:25:57.378]  Do what the government says.
[00:25:57.958 --> 00:26:00.058]  You may have to go to emergency centers.
[00:26:00.078 --> 00:26:02.039]  I mean, how creepy is this, Kurt?
[00:26:02.059 --> 00:26:06.760]  This is like a nightmare science fiction novel about some dystopia takeover of America.
[00:26:06.780 --> 00:26:08.240]  It's George Orwell in slow motion.
[00:26:09.941 --> 00:26:11.841]  Leading up to total tyranny.
[00:26:14.322 --> 00:26:20.243]  Kurt, why don't you just support Homeland Security and let the foreign bankers take over and turn your guns in, Kurt?
[00:26:21.594 --> 00:26:23.855]  I mean, come on, the government wants to help you.
[00:26:23.875 --> 00:26:25.215]  They're not run by made-offs.
[00:26:26.256 --> 00:26:29.457]  They're run by good people that want to help you.
[00:26:30.337 --> 00:26:30.737]  Right.
[00:26:30.877 --> 00:26:31.597]  It's of the Lord.
[00:26:31.637 --> 00:26:32.898]  That's what the scripture teaches.
[00:26:34.378 --> 00:26:36.239]  Why don't you repent and worship government?
[00:26:37.039 --> 00:26:39.480]  Kneel down right now before Obama.
[00:26:40.480 --> 00:26:41.481]  Messiah Obama.
[00:26:41.701 --> 00:26:42.481]  It's of the Lord.
[00:26:45.239 --> 00:26:47.502]  Kurt, we're worried about your soul right now.
[00:26:47.562 --> 00:26:49.284]  It's unbelievable that people buy this.
[00:26:49.504 --> 00:26:51.826]  Kurt, you need to turn your children over to the government.
[00:26:52.868 --> 00:26:56.692]  In the FEMA training manuals, the preachers are there to go, ma'am, let them take your child.
[00:26:56.752 --> 00:27:02.378]  Now, ma'am, the Lord says, the Lord, the Lord, the Lord, the Lord.
[00:27:05.248 --> 00:27:06.749]  Alex Jones here with a question.
[00:27:06.950 --> 00:27:08.391]  What does humidity mean to you?
[00:27:08.691 --> 00:27:10.933]  Most people think of hot and sticky summer days.
[00:27:11.373 --> 00:27:16.117]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:27:16.517 --> 00:27:19.360]  That's why I'd like you to visit acolablue.com.
[00:27:19.700 --> 00:27:23.163]  Acolablue is a state-of-the-art atmospheric water generator.
[00:27:23.607 --> 00:27:35.590]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[00:27:36.151 --> 00:27:38.151]  Finally, drinking water that you control.
[00:27:38.451 --> 00:27:39.452]  I use one every day.
[00:27:39.872 --> 00:27:45.333]  Say goodbye to expensive water delivery services and storing five-gallon bottles of water in your home.
[00:27:45.553 --> 00:27:51.315]  The Ecola Blue 28 is shipped right to your home ready to make close to seven gallons a day right out of the box.
[00:27:51.935 --> 00:27:53.717]  They have a 30-day money-back guarantee.
[00:27:54.058 --> 00:27:57.221]  Call Ecola Blue right now at 866-585-4044.
[00:27:57.401 --> 00:27:59.604]  That's 866-585-4044.
[00:27:59.704 --> 00:28:04.329]  Or visit Ecola Blue at E-C-O-L-O-B-L-U-E.com today.
[00:28:04.349 --> 00:28:11.476]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:28:11.857 --> 00:28:13.519]  The enemy struck America on September 11th.
[00:28:14.491 --> 00:28:15.492]  But who is the enemy?
[00:28:16.032 --> 00:28:16.513]  Bin Laden.
[00:28:16.833 --> 00:28:17.814]  This is his MO.
[00:28:17.834 --> 00:28:19.175]  We have to look to the Middle East.
[00:28:19.195 --> 00:28:20.817]  We have to look to Osama Bin Laden.
[00:28:21.197 --> 00:28:27.943]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:28:28.343 --> 00:28:28.784]  Some U.S.
[00:28:28.824 --> 00:28:34.509]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:28:35.149 --> 00:28:38.652]  I'm aware that some Israeli citizens have been detained.
[00:28:38.672 --> 00:28:41.654]  Either you are with us, or you are with the terrorists.
[00:29:05.370 --> 00:29:07.230]  Heart disease is on the rise.
[00:29:07.350 --> 00:29:12.512]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:29:12.712 --> 00:29:14.032]  But the symptoms are there.
[00:29:14.312 --> 00:29:22.474]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:29:22.694 --> 00:29:28.435]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:29:28.615 --> 00:29:30.397]  My blood pressure has normalized.
[00:29:30.437 --> 00:29:32.619]  My diabetes has totally improved.
[00:29:32.639 --> 00:29:36.982]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:29:37.162 --> 00:29:39.284]  I recommend Heart and Body Extract to everyone.
[00:29:39.384 --> 00:29:46.931]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:29:47.011 --> 00:29:48.052]  We're good to go.
[00:30:12.293 --> 00:30:15.655]  By the way, I am going to not be doing the radio show tomorrow.
[00:30:15.775 --> 00:30:16.695]  Bob Dacey will be here.
[00:30:16.735 --> 00:30:19.217]  We've got Max Keiser and some other big guests on with him.
[00:30:19.797 --> 00:30:20.717]  And Kurt Nimmo.
[00:30:21.338 --> 00:30:24.039]  While he's here in town, he'll have a good discussion.
[00:30:24.079 --> 00:30:28.922]  Fourth hour, he'll be in the studio on prisonplanet.tv with Bob Dacey.
[00:30:29.302 --> 00:30:32.244]  Remember, Jim Jones said, drink the Kool-Aid with the arsenic.
[00:30:32.444 --> 00:30:34.645]  He was the government in that little community.
[00:30:35.085 --> 00:30:36.326]  And he said, it's of the Lord.
[00:30:38.007 --> 00:30:42.509]  I mean, I just can't get over them going, it's of the Lord to go to the FEMA camp, Kurt.
[00:30:44.009 --> 00:30:45.490]  These people don't know what the Lord is.
[00:30:45.610 --> 00:30:48.110]  It's amazing.
[00:30:48.150 --> 00:30:49.431]  It really is amazing.
[00:30:49.871 --> 00:30:53.392]  The depth of brainwashing on a societal level.
[00:30:54.733 --> 00:30:58.374]  Kurt, I want to go to some phone calls from Neil, Maggie, Paul, Ronnie, Wilson, and others.
[00:30:58.434 --> 00:31:00.054]  But anything else you want to add before we go to those calls?
[00:31:00.195 --> 00:31:00.955]  Let's go to the calls.
[00:31:01.135 --> 00:31:02.935]  Let's go to Neil in South Dakota.
[00:31:03.436 --> 00:31:06.377]  Neil, you need to worship all governments, including Ahmed Dinejid.
[00:31:06.417 --> 00:31:07.357]  It's of the Lord.
[00:31:10.026 --> 00:31:10.246]  Hello.
[00:31:10.646 --> 00:31:11.207]  Hello, Neil.
[00:31:11.947 --> 00:31:12.648]  Hey, how are you?
[00:31:12.668 --> 00:31:16.471]  I've got a question about the gun control stuff you were talking about earlier.
[00:31:16.571 --> 00:31:17.091]  Yes, sir.
[00:31:18.112 --> 00:31:19.633]  The victim disarmament, yes.
[00:31:20.133 --> 00:31:20.854]  Yes, exactly.
[00:31:22.135 --> 00:31:36.565]  You had mentioned that they're not getting my semi-auto, I'm not going to go for fingerprinting, etc., and as I recall, I apologize, I'm a little bit nervous here, you mentioned that they're not going to get the stuff from you, but as I recall, you've got some young kids, so
[00:31:37.245 --> 00:31:44.330]  How do you reconcile the fact that you've got to take care of your kids and yet, you know, make a shot or take them to a camp trying to resist?
[00:31:44.490 --> 00:31:48.313]  Well, this isn't just Australia where they disarm people so they can start stealing their land.
[00:31:48.353 --> 00:31:51.295]  They killed the real Crocodile Dundee like ten years ago.
[00:31:51.335 --> 00:31:52.436]  He wouldn't turn his guns in.
[00:31:52.816 --> 00:31:54.037]  This is a hardcore tyranny.
[00:31:54.077 --> 00:31:56.919]  So if they get the guns, they're taking you to the camp anyways.
[00:31:57.619 --> 00:32:00.141]  And so I'm always someone who's calling against violence.
[00:32:00.701 --> 00:32:04.344]  It's not a radical statement, though, to say that they're taking people to camps and forcibly taking them.
[00:32:04.604 --> 00:32:05.265]  That's tyranny.
[00:32:06.085 --> 00:32:10.192]  And it's the natural law that this is the illegitimate government run by foreign bankers.
[00:32:10.793 --> 00:32:14.218]  And all I'm saying, and we as a people need to say, no, you're criminal.
[00:32:14.599 --> 00:32:19.706]  No, you know, if they do pass these illegal laws, we need to turn out, protest, call Congress and
[00:32:21.109 --> 00:32:38.587]  Can you imagine when they do it, everybody lining up, turning them in, the images of that on the news, there's going to be shootouts, they're going to make examples of people, kill people in their houses, and go, well, it's the law, SWAT team guys on the news going, good job, red leader, you did a great job, just watch me shoot him ten times, I'm such a man!
[00:32:38.607 --> 00:32:39.968]  I mean, that's where it's going.
[00:32:42.040 --> 00:32:43.443]  If they succeed, the country's dead.
[00:32:44.003 --> 00:32:48.391]  The guns are the final insurance policy and they're coming for them.
[00:32:48.571 --> 00:32:51.115]  But let's stop the legislation now, Kurt.
[00:32:52.148 --> 00:32:54.249]  Well, what is there, 86 million guns in this country?
[00:32:54.490 --> 00:32:57.352]  Oh no, there's 150 million gun owners on average owning two guns.
[00:32:57.852 --> 00:33:00.574]  So there's more than 300 million guns and that's what's known.
[00:33:00.594 --> 00:33:01.714]  That's what the government says there is.
[00:33:02.295 --> 00:33:09.800]  So this whole plan will have to depend on people actually willingly turning in their guns.
[00:33:10.040 --> 00:33:10.841]  Well, here's the deal.
[00:33:11.201 --> 00:33:12.241]  The bills are all introduced.
[00:33:12.982 --> 00:33:21.368]  To ban all semi-autos, to make you go get a federal register, federal license, making a right of privilege, licenses to do something that would be illegal.
[00:33:22.498 --> 00:33:33.916]  uh... and uh... they're doing it and and and uh... it's happening and psychological testing and everything else i mean remember uh... during the debates for the vice presidents
[00:33:35.191 --> 00:33:42.514]  Biden, the guy on the YouTube, who was a YouTube reporter for CNN, you know, they've got citizen reporters, said, here's my AR-15, this is my baby, you're not going to take it, are you?
[00:33:42.934 --> 00:33:45.995]  And he said, yes, I'm going to take that gun.
[00:33:46.055 --> 00:33:47.956]  You're mentally ill for wanting to have that.
[00:33:48.216 --> 00:33:52.138]  See, it's mentally ill to them, but it's not to see a slave with a gun, because that's not a slave.
[00:33:52.378 --> 00:33:53.178]  It's very upsetting.
[00:33:53.198 --> 00:33:56.780]  They're all like, oh man, God, I can't wait to disarm that wild human.
[00:33:57.160 --> 00:33:58.521]  I can't wait to have him under my control.
[00:33:58.541 --> 00:34:01.942]  And he's just like, yes, you're mentally ill and you wouldn't be able to own a gun.
[00:34:02.182 --> 00:34:03.103]  Well, that's part of the process.
[00:34:03.123 --> 00:34:04.404]  Wanting a gun is mentally ill.
[00:34:04.444 --> 00:34:05.144]  It's in the bill!
[00:34:05.285 --> 00:34:05.945]  Right, right.
[00:34:06.265 --> 00:34:07.386]  And that's part of the process.
[00:34:07.606 --> 00:34:08.227]  H.R.
[00:34:08.247 --> 00:34:08.227]  45.
[00:34:09.228 --> 00:34:12.510]  Is brainwashing people into thinking that owning a firearm is mental illness.
[00:34:13.191 --> 00:34:13.591]  Hey, Alex.
[00:34:14.032 --> 00:34:14.252]  Yes, sir.
[00:34:14.272 --> 00:34:18.355]  I can jump in real quick here and just make sure I stated my question properly.
[00:34:18.855 --> 00:34:31.586]  As someone, you know, as a father who has young children, say, you know, personalizing it in your case, how do you reconcile the fact that you've got to take care of your kids, and yet they're coming to take away your guns and stuff like that, and you want to protect your kids, yet you can't really give up your guns?
[00:34:32.668 --> 00:34:33.709]  Look, it's real simple.
[00:34:34.009 --> 00:34:36.291]  These bastards want our guns to make us slaves.
[00:34:36.691 --> 00:34:39.593]  I'm going to protect my family, and I'm not giving them my guns.
[00:34:40.094 --> 00:34:43.016]  Like they say, come and take it in Gonzales, Texas.
[00:34:43.977 --> 00:34:51.342]  Thank you for listening to GCN.
[00:34:51.382 --> 00:34:52.543]  Visit GCNlive.com today.
[00:34:55.182 --> 00:34:56.744]  Hello friends, this is Alex Jones.
[00:34:56.864 --> 00:35:01.431]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:35:01.611 --> 00:35:04.355]  We need to be independent, and food and water is the key.
[00:35:04.575 --> 00:35:07.419]  You'll never have to stand in a bread line if you have your own bread.
[00:35:07.619 --> 00:35:12.346]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[00:35:12.546 --> 00:35:13.487]  If you simply prepare.
[00:35:13.687 --> 00:35:16.610]  No one is going to take care of your family in the final equation but you.
[00:35:16.930 --> 00:35:23.816]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. Coli, Salmonella, genetic alteration or Chinese imports.
[00:35:23.916 --> 00:35:27.039]  And they do it at almost half the cost of last year's grocery prices.
[00:35:27.199 --> 00:35:28.741]  Call 1-800-409-5633 or on the web go to eFoodsDirect.com
[00:35:32.324 --> 00:35:38.410]  Visit efoodsdirect.com and look over the fine list of high-quality, prescribed, and dehydrated foods they have to offer.
[00:35:38.590 --> 00:35:42.333]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:35:42.353 --> 00:35:43.694]  Again, 1-800-409-5633 or on the web at efoodsdirect.com.
[00:35:43.714 --> 00:35:44.315]  Take action today.
[00:35:44.355 --> 00:35:46.137]  The first step is getting scorable food.
[00:35:57.856 --> 00:35:59.757]  Waging war on corruption.
[00:36:00.238 --> 00:36:03.159]  Alex Jones on the GCN Radio Network.
[00:36:06.822 --> 00:36:18.669]  You know, I'm very sad all these things are happening, but in a way, we know the battle needs to be joined.
[00:36:19.529 --> 00:36:21.671]  This country's been rotting slowly for a long time.
[00:36:22.151 --> 00:36:23.252]  They gotta be making their move.
[00:36:24.474 --> 00:36:31.562]  What did General Chesty Puller say when they were surrounded in North Korea by like 15 times their number?
[00:36:31.582 --> 00:36:33.565]  I said, sir, we're completely surrounded.
[00:36:33.605 --> 00:36:35.487]  He said, well, that makes our situation a lot easier.
[00:36:36.749 --> 00:36:38.110]  Makes our logistics a lot better.
[00:36:38.130 --> 00:36:39.111]  Don't let any of them escape.
[00:36:41.354 --> 00:36:44.277]  But we do outnumber the New World Order millions to one.
[00:36:46.132 --> 00:36:48.253]  And again, a lot of police and military don't like what's happening.
[00:36:48.273 --> 00:36:56.616]  They need to draw the line in the sand mentally and ask themselves, FEMA camps, foreign troops, gun confiscation, is this what you want to sign your soul, your one life onto?
[00:36:58.297 --> 00:36:59.638]  Do you stand with the Republic?
[00:37:04.319 --> 00:37:07.041]  They need to get out of their lethargy and start investigating.
[00:37:07.061 --> 00:37:09.001]  They need to learn the truth.
[00:37:09.662 --> 00:37:11.723]  Unfortunately, a lot of people are intellectually lazy.
[00:37:11.743 --> 00:37:15.164]  They just go to CNN and Fox News and buy whatever they tell them.
[00:37:16.383 --> 00:37:17.824]  That's one of the major problems.
[00:37:18.825 --> 00:37:24.409]  Speaking of buying, we're really trying to build up capital here to expand to do more during this maximum time.
[00:37:24.689 --> 00:37:25.910]  It's all about the information.
[00:37:25.930 --> 00:37:31.314]  It's all about funds to get better servers, make more videos, hire more staff, make the websites better, more writers.
[00:37:32.165 --> 00:37:33.065]  We just got these in.
[00:37:33.085 --> 00:37:35.606]  I noticed there was a pile of them on the desk and Kurt got one for himself.
[00:37:35.926 --> 00:37:37.967]  Kurt, tell us about the Attorney Response Team hat.
[00:37:38.608 --> 00:37:39.848]  Nice hat.
[00:37:39.888 --> 00:37:40.468]  High quality?
[00:37:40.628 --> 00:37:41.569]  That's a handsome hat.
[00:37:41.589 --> 00:37:43.129]  It says Infowars.com on the back.
[00:37:43.670 --> 00:37:43.890]  Right.
[00:37:44.690 --> 00:37:45.470]  Look at that sucker.
[00:37:45.510 --> 00:37:48.711]  That is one handsome hat, Kurt.
[00:37:50.892 --> 00:37:53.033]  There's a banner hat on Infowars.com.
[00:37:53.053 --> 00:37:54.334]  Just click it and you'll go to the ad.
[00:37:54.354 --> 00:37:55.914]  You've had the ladies chasing you around wearing that.
[00:37:55.954 --> 00:37:56.555]  I sure did.
[00:38:00.681 --> 00:38:02.282]  Oh man, I can't believe it's all real.
[00:38:02.342 --> 00:38:08.765]  I mean, I knew intellectually it was all real, but to just see them in the Wall Street Journal and the Financial Times going, world government's good, it's going to save you.
[00:38:09.805 --> 00:38:10.925]  I mean, it's just incredible.
[00:38:14.347 --> 00:38:18.669]  Yes, I was looking at myself on the monitor over there.
[00:38:19.169 --> 00:38:20.470]  I was admiring myself.
[00:38:22.148 --> 00:38:23.008]  No, you're absolutely right.
[00:38:23.228 --> 00:38:31.251]  And if you look at the stimulus bill and the way they've been selling its so-called stimulus bill, you know, corporate media is really slick.
[00:38:31.331 --> 00:38:34.072]  They're really pushing it as, you know, it's going to help us.
[00:38:34.092 --> 00:38:37.714]  It's going to help us when it's actually just going to increase the national debt astronomically.
[00:38:38.334 --> 00:38:42.876]  And facilitate the banker collapse even more, and far sooner.
[00:38:43.716 --> 00:38:46.698]  Well, the last caller made a great point that I haven't even mentioned about the victim disarmament.
[00:38:47.318 --> 00:38:53.901]  Chicago, New York, places where they have total gun bans, have two, three, four, five times the national average, depending on which year it is, it changes.
[00:38:54.141 --> 00:38:55.882]  But it's always, I mean, it's a hellhole!
[00:38:56.422 --> 00:38:59.984]  And the cops openly are shaking everybody down, it's admittedly mafia.
[00:39:00.004 --> 00:39:02.765]  I mean, why would mafia run cities want your guns?
[00:39:03.615 --> 00:39:05.977]  Well, obviously, so that you can't resist them.
[00:39:05.997 --> 00:39:07.298]  But I'll tell you what, I live in Chicago.
[00:39:07.679 --> 00:39:09.700]  A lot of people have guns in the inner city.
[00:39:10.041 --> 00:39:11.402]  They're illegal, but they have guns.
[00:39:11.542 --> 00:39:14.264]  And that's why they want the National Guard to do door-to-door gun checks.
[00:39:16.607 --> 00:39:18.248]  Total constitutional violation.
[00:39:18.348 --> 00:39:18.708]  Totally.
[00:39:19.329 --> 00:39:19.990]  On numerous levels.
[00:39:20.670 --> 00:39:21.751]  Well, they just can't wait.
[00:39:21.791 --> 00:39:23.553]  They want to target the good people of America.
[00:39:24.209 --> 00:39:48.746]  and uh... they were i mean they were doing it but they're probably over all ranchers got a handgun you know in the glove compartment jail right here in texas will say was an officer choose to say i don't like that and they get get the old i think it's cowboy hat off get the old man and it's been on the news and take him to jail the judge goes you're going to jail more is that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that
[00:39:49.875 --> 00:39:51.596]  They love their security, their guns.
[00:39:52.256 --> 00:39:55.837]  Notice how the government also is building up armaments against us while going after our guns.
[00:39:55.877 --> 00:39:59.958]  But the good news is, Kurt, 44% increase, broken all-time record.
[00:40:00.178 --> 00:40:00.398]  Right.
[00:40:00.738 --> 00:40:01.398]  And that's classic.
[00:40:01.458 --> 00:40:07.040]  I mean, look at Germany before Hitler's dictatorship or during his ascent after the Enabling Act.
[00:40:07.060 --> 00:40:08.260]  That's precisely what they did.
[00:40:08.821 --> 00:40:10.001]  First they registered the guns.
[00:40:10.041 --> 00:40:11.281]  They made you register your gun.
[00:40:11.561 --> 00:40:14.942]  They made you go to a hunting club and put your guns in their facility.
[00:40:15.303 --> 00:40:16.583]  And then they just confiscated them.
[00:40:16.943 --> 00:40:19.425]  That's precisely what's unrolling now, here in the United States.
[00:40:19.745 --> 00:40:22.607]  Yup, and then they started having, but then everything was okay.
[00:40:23.287 --> 00:40:24.188]  Of course everything was okay.
[00:40:24.208 --> 00:40:26.409]  The government was nice after that.
[00:40:26.429 --> 00:40:29.972]  As long as you didn't oppose the government.
[00:40:29.992 --> 00:40:32.514]  When a government wants your guns, folks, they're planning bad stuff.
[00:40:32.534 --> 00:40:33.154]  That's right.
[00:40:34.508 --> 00:40:35.089]  It's real simple.
[00:40:35.109 --> 00:40:36.430]  I mean, I got a family.
[00:40:36.670 --> 00:40:37.511]  I'm on the radio.
[00:40:37.531 --> 00:40:42.117]  You think I want to be on air saying, lock and load, you know, this is it, this is the republic?
[00:40:42.717 --> 00:40:45.180]  Every day I've got to make the decision to commit fully to this.
[00:40:45.701 --> 00:40:50.266]  There's so many people, and you've pointed this out constantly, out there who believe that guns are evil.
[00:40:52.272 --> 00:40:54.634]  Well, they are evil in the hands of evil government.
[00:40:54.934 --> 00:40:55.135]  Right.
[00:40:55.175 --> 00:40:58.458]  But I'm saying the mere presence of this piece of hardware is evil.
[00:40:58.698 --> 00:40:58.878]  Yeah.
[00:40:59.098 --> 00:41:00.560]  He's the writer at InfoWars.com.
[00:41:00.580 --> 00:41:02.201]  We'll be back in tomorrow live.
[00:41:02.522 --> 00:41:03.963]  In studio, he is Kurt Nemo.
[00:41:04.063 --> 00:41:04.964]  I'm Alex Jones.
[00:41:06.425 --> 00:41:07.606]  Hi, this is Steve Shank.
[00:41:07.927 --> 00:41:09.088]  eFoods does it again.
[00:41:09.188 --> 00:41:14.072]  The 3-Day Responder provides one adult with three days worth of healthy, delicious, easy-fix food.
[00:41:14.433 --> 00:41:15.534]  The price of the 3-Day Responder
[00:41:18.979 --> 00:41:22.540]  $21.95 for actually 12 meals plus snacks.
[00:41:23.061 --> 00:41:30.705]  When you taste the food in the 3-Day Responder, you'll understand why families trust eFoods Direct to provide healthy, delicious food for every need.
