[00:00:00.134 --> 00:00:02.339]  In Texas, Alex Jones.
[00:22:52.345 --> 00:22:59.974]  At less than 2 cents per gallon, Berkey water filters purify treated and untreated water, remove dangerous chlorine, fluoride, and contaminants.
[00:23:01.681 --> 00:23:07.203]  Big Berkey Water Filters are powerful enough to purify stagnant pond water, making them perfect for rainwater collection systems.
[00:23:07.483 --> 00:23:12.005]  From the smallest to the largest systems, BigBerkeyWaterFilters.com has what you need.
[00:23:12.325 --> 00:23:18.507]  With your system purchase, you'll receive a shower filter, a fluoride filter, or two sport Berkey bottles absolutely free.
[00:23:18.787 --> 00:23:28.231]  BigBerkeyWaterFilters.com would like to offer GCN listeners 5% off all ceramic filter systems and ship all orders over $50 free of charge.
[00:23:28.531 --> 00:23:30.792]  Visit BigBerkeyWaterFilters.com
[00:23:31.072 --> 00:23:36.033]  That's Big Berkey Water Filters dot com or call 1-877-99-BERKEY.
[00:23:36.213 --> 00:23:40.574]  That's 1-877-99-B-E-R-K-E-Y today.
[00:23:46.275 --> 00:23:48.096]  Don't want no shackles on me.
[00:23:50.176 --> 00:23:54.157]  I sit down with Big Brother and the National ID.
[00:23:55.865 --> 00:24:04.268]  Yeah, they got their cashless society control grid going into place, their carbon tax grid, their Patriot Act compliance grid.
[00:24:04.308 --> 00:24:05.448]  Total bondage.
[00:24:06.149 --> 00:24:14.011]  And private interest owned the whole police state and environmental grid as they forced the whole economy through bureaucracy into their hands.
[00:24:15.912 --> 00:24:18.793]  This is 21st century tyranny.
[00:24:19.914 --> 00:24:20.934]  Let's go back to your calls.
[00:24:22.711 --> 00:24:25.052]  Let's talk to Craig in New York.
[00:24:25.092 --> 00:24:25.753]  Craig, go ahead.
[00:24:26.874 --> 00:24:27.754]  Hey, Alex.
[00:24:27.854 --> 00:24:28.855]  Just one little thing.
[00:24:28.895 --> 00:24:31.336]  You were talking about the lifted profits body.
[00:24:31.436 --> 00:24:34.298]  It was Joseph that was lifted out of Egypt during the exodus.
[00:24:34.398 --> 00:24:37.740]  But anyway, I work in the office right now, but I'm done teaching.
[00:24:38.240 --> 00:24:43.744]  And I noticed in international shipping, they're starting to put SDR value on all the packages on the U.S.
[00:24:43.784 --> 00:24:44.464]  Postal Service.
[00:24:45.325 --> 00:24:47.386]  It has an exchange rate of about $4 to $1.
[00:24:47.866 --> 00:24:49.167]  And I've never seen that before.
[00:24:49.627 --> 00:24:50.768]  So bad Chapman isn't on.
[00:24:50.788 --> 00:24:52.189]  I have no idea when they started that.
[00:24:53.786 --> 00:25:06.746]  Well, for those that don't know, they're not just issuing SDRs, they've created a bunch of other special global currencies that are above physical or paper money level that are just exchanged between banks.
[00:25:07.106 --> 00:25:09.049]  So they've already made the world currency.
[00:25:09.890 --> 00:25:12.092]  And that's already operating, and they admit they are.
[00:25:12.512 --> 00:25:21.941]  Now they're setting up the new bank of the world that will regulate every facet of our lives through the carbon tax, through the regional Federal Reserve Banks, and through the other systems.
[00:25:23.062 --> 00:25:26.164]  But I didn't know that they were already on international shipping.
[00:25:26.605 --> 00:25:31.669]  You're saying they've already stopped having it in dollar denominations, and it's in SDRs?
[00:25:32.510 --> 00:25:33.691]  I think it's an exchange rate.
[00:25:33.731 --> 00:25:37.434]  Obviously, if you were, let's say, the Prison Planet store would send something to Canada.
[00:25:38.266 --> 00:25:39.308]  And you use the U.S.
[00:25:39.349 --> 00:25:50.150]  Postal Service for shipping, you would pay with your credit card or whatever you use, let's say $18, and it's for $80 value, the value has been converted for SDRs, I assume for accounting purposes.
[00:25:51.308 --> 00:25:51.748]  Amazing!
[00:25:51.788 --> 00:26:07.371]  Wait a minute, you're telling me they're already officially converting not to Euros or not to loonies or not to pounds, like you'll see on the back of a paperback book, or a hardbook, hardcover, $12 U.S., $14 Canadian.
[00:26:07.751 --> 00:26:09.671]  You're saying now it's got SDR.
[00:26:10.552 --> 00:26:14.832]  Well, as of a week ago, $80 equaled exactly $25.04 in SDRs.
[00:26:18.681 --> 00:26:19.542]  And anyone could do it.
[00:26:20.183 --> 00:26:25.829]  I have to send out these packages, and anyone could go to USPS, send something to Canada, and that's what you're dealing with.
[00:26:25.909 --> 00:26:26.910]  It's right there on the front.
[00:26:27.351 --> 00:26:28.091]  Hey, do me a favor.
[00:26:28.131 --> 00:26:28.692]  Thank you, sir.
[00:26:28.712 --> 00:26:29.493]  I appreciate that.
[00:26:29.553 --> 00:26:30.614]  Call Tim in here, please.
[00:26:31.235 --> 00:26:32.036]  Go get him right now.
[00:26:34.058 --> 00:26:39.844]  Look, I remember two years ago, because I'm an employer, and I have the...
[00:26:41.246 --> 00:26:50.232]  Texas Employment Commission, they come and arrest you if you don't fill out all these forms on your employees and be tracked by them, and then they report to the Department of Labor.
[00:26:50.853 --> 00:26:57.438]  And it said, you don't report to the Department of Labor anymore, it said you report to this North American Union Agency.
[00:26:58.278 --> 00:27:00.940]  And the state said, no longer report to us, you report to this.
[00:27:01.260 --> 00:27:02.661]  It's a quasi-governmental group.
[00:27:03.342 --> 00:27:07.945]  So, and then Jerome Corsi had a story on it, World Net Daily, and in Human Events.
[00:27:10.854 --> 00:27:11.634]  It's really happening.
[00:27:12.594 --> 00:27:22.416]  But I'm going to ask our shipping guy if, right now on air, you know the other day I called my wife in here to talk to Webster Tarpley in Italian and French.
[00:27:22.796 --> 00:27:23.816]  She was going, I can't hear him.
[00:27:24.256 --> 00:27:24.956]  I can't hear him.
[00:27:25.877 --> 00:27:30.277]  And I wonder why she was talking over him and her headset wasn't plugged in.
[00:27:30.757 --> 00:27:36.398]  So my wife's sitting there not even able to talk to Tarpley, but I think they still had somewhat of a conversation with me saying, how do you say this?
[00:27:36.418 --> 00:27:36.998]  How do you say that?
[00:27:37.378 --> 00:27:40.299]  Hey, Tim, we just had a caller saying that when he ships UPS to Canada,
[00:27:40.879 --> 00:27:44.961]  It's no longer saying a loonie conversion or a pound conversion.
[00:27:45.441 --> 00:27:46.701]  It is a SDR.
[00:27:47.442 --> 00:27:52.544]  That's those new international bank special reserve drawing rights.
[00:27:53.544 --> 00:27:56.285]  Special drawing rights is this new made-up global currency.
[00:27:56.305 --> 00:28:00.227]  See, because they're going to skip right past world currencies to directly to biometrics.
[00:28:00.267 --> 00:28:03.828]  You thumbprint, you face scan, and then it's whatever your regional currency is.
[00:28:04.128 --> 00:28:05.309]  It can even be a MasterCard.
[00:28:05.689 --> 00:28:09.732]  That's why they're now having Wells Fargo get the illegal aliens without IDs.
[00:28:09.772 --> 00:28:13.054]  They give them a card and the government accepts that to get a driver's license.
[00:28:13.494 --> 00:28:15.095]  So it's just everything will be a card.
[00:28:16.196 --> 00:28:17.777]  Private corporations can issue cards.
[00:28:18.277 --> 00:28:22.339]  Everything will be money because it'll all be tied to your face scan thumbprint.
[00:28:22.680 --> 00:28:23.320]  So it won't matter.
[00:28:23.340 --> 00:28:25.601]  But can you check into what he was saying?
[00:28:25.621 --> 00:28:26.602]  Do you know anything about that, Tim?
[00:28:26.722 --> 00:28:27.983]  No, I've not heard about that.
[00:28:28.351 --> 00:28:29.452]  I will check into it right now.
[00:28:29.472 --> 00:28:30.172]  I will look into that.
[00:28:30.212 --> 00:28:32.293]  On ours it shows, I'm pretty sure it's US dollars.
[00:28:48.393 --> 00:28:55.957]  I don't understand, or maybe he's talking about the Postal Service, not... Check our postals, because we just pay UPS here in dollars, and then it goes up there.
[00:28:55.977 --> 00:28:56.778]  Right, exactly.
[00:28:56.878 --> 00:29:03.701]  Yeah, because I know when we ship to Canada, they go to the... Canada's one of the countries that they go to two central hubs.
[00:29:03.721 --> 00:29:04.942]  Yeah, because they search everything.
[00:29:04.982 --> 00:29:05.462]  Exactly.
[00:29:05.522 --> 00:29:06.383]  It's such a free country.
[00:29:06.423 --> 00:29:06.783]  Yeah.
[00:29:07.464 --> 00:29:10.785]  So free, they tear through every package with pleasure and smash the goods half the time.
[00:29:11.206 --> 00:29:12.786]  They wear little black Nazi outfits.
[00:29:13.367 --> 00:29:14.207]  Just freedom everywhere.
[00:29:14.267 --> 00:29:14.648]  Thank you.
[00:29:15.108 --> 00:29:16.028]  Thank you so much, Tim.
[00:29:16.048 --> 00:29:16.669]  There goes Tim.
[00:29:17.725 --> 00:29:19.886]  Brugier, here in the office.
[00:29:21.648 --> 00:29:22.868]  He hadn't drunk enough fluoride.
[00:29:22.908 --> 00:29:25.410]  He soon will love the New World Order.
[00:29:26.311 --> 00:29:28.012]  We'll be right back.
[00:29:28.032 --> 00:29:28.392]  Stay with us.
[00:29:31.974 --> 00:29:32.875]  We're on the march.
[00:29:33.375 --> 00:29:34.976]  The Empire's on the run.
[00:29:35.897 --> 00:29:38.599]  Alex Jones and the GCN Radio Network.
[00:29:41.673 --> 00:29:46.975]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[00:29:47.515 --> 00:29:55.898]  Check out SupernaturalSilver.com today or visit the link on InfoWars.com to find out more about this incredible new silver compound.
[00:29:56.098 --> 00:30:02.880]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[00:30:03.220 --> 00:30:05.221]  This new technology has proven itself.
[00:30:05.421 --> 00:30:05.841]  We're good to go.
[00:30:29.941 --> 00:30:33.223]  Click on the link and check out the uses for New Silver Solution.
[00:30:33.623 --> 00:30:38.306]  Order this extra line of defense today by going to SupernaturalSilver.com.
[00:30:38.446 --> 00:30:40.608]  That's SupernaturalSilver.com today.
[00:30:41.168 --> 00:30:46.731]  This is Alex Jones and I want to tell you again about a company that has supported us in the truth movement for years.
[00:30:47.031 --> 00:30:48.192]  Inner Health Botanicals.
[00:30:48.332 --> 00:30:52.295]  This company produces the highest quality superfood around, called Inner Food.
[00:30:52.615 --> 00:30:54.176]  My wife just loves the stuff.
[00:30:54.476 --> 00:30:59.419]  And now, the health ranger, Mike Adams, has awarded Inner Food his Editor's Choice Award.
[00:30:59.699 --> 00:31:00.740]  Or best superfood of 2009.
[00:31:01.521 --> 00:31:04.463]  Inner food is loaded with 20 great organic ingredients.
[00:31:04.783 --> 00:31:06.265]  No fillers, no sweeteners.
[00:31:06.525 --> 00:31:09.287]  It would be impossible to blend this up for a better price.
[00:31:09.527 --> 00:31:10.968]  And their formula really works.
[00:31:11.249 --> 00:31:13.791]  This is the real thing for the great health you need.
[00:31:14.051 --> 00:31:15.312]  Try the NutriCafe.
[00:31:15.552 --> 00:31:19.916]  Their great organic coffee infused with polysaccharides that boosts the immune system.
[00:31:20.316 --> 00:31:22.498]  A truly healthy coffee that tastes great.
[00:31:22.738 --> 00:31:24.980]  And take it from me folks, it really does taste great.
[00:31:25.200 --> 00:31:26.942]  Don't forget to try their other great products.
[00:31:27.262 --> 00:31:32.748]  Go to www.enerfood.com.
[00:31:32.968 --> 00:31:37.412]  That's www.enerfood.com.
[00:31:37.613 --> 00:31:40.536]  Or just click on their banner on infowars.com for special pricing.
[00:31:41.274 --> 00:31:46.276]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:31:46.496 --> 00:31:50.277]  Number one, new climate legislation could easily double or triple your electric bill.
[00:31:50.517 --> 00:31:56.119]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:31:56.419 --> 00:32:01.261]  It's true, total government control of electricity in the name of smart grid technology is coming.
[00:32:01.481 --> 00:32:01.921]  Number three,
[00:32:02.381 --> 00:32:07.826]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:32:08.687 --> 00:32:11.350]  The hurricane and dangerous summer storm season is here again.
[00:32:11.590 --> 00:32:15.794]  Every year, thousands of families lose their power from weather-related outages.
[00:32:16.114 --> 00:32:19.718]  A solar power generator provides powerful backup insurance and peace of mind.
[00:32:19.958 --> 00:32:25.443]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[00:32:25.683 --> 00:32:30.247]  You can get more information at www.mysolarbackup.com.
[00:32:30.387 --> 00:32:31.928]  That's mysolarbackup.com.
[00:32:32.148 --> 00:32:34.490]  Remember, the government doesn't own the sun yet.
[00:32:34.730 --> 00:32:37.372]  So go to mysolarbackup.com or call toll-free 877-327-0365.
[00:32:51.107 --> 00:32:52.108]  People come and go.
[00:32:52.128 --> 00:32:54.809]  Our lives are out, out.
[00:32:56.210 --> 00:32:56.890]  Like a candle.
[00:32:59.271 --> 00:33:01.793]  And may you bury me under the old apple tree, son.
[00:33:01.853 --> 00:33:03.374]  They touch your sweet lips again.
[00:33:03.414 --> 00:33:08.756]  Yeah, the seasons don't fear the reaper.
[00:33:15.558 --> 00:33:30.543]  But to see a republic fall, and to see it fall with scientific tyranny, to see the rending and tearing, the raw and quartering of my beloved nation, is very, very painful.
[00:33:35.164 --> 00:33:37.225]  Alright, thank you for joining us.
[00:33:39.605 --> 00:33:58.582]  I want to go back to your phone calls, but I need to go ahead and get into the news dealing with the outlandish criminal behavior of the private run-for-profit Federal Reserve, and then a recap of the global climate bill.
[00:33:58.702 --> 00:34:02.205]  Because when I say global, it's to pay taxes internationally to a private new bank of the world.
[00:34:02.545 --> 00:34:05.568]  In fact, let's see that debate right now going on in C-SPAN for a moment.
[00:34:08.800 --> 00:34:10.261]  Here's a Democrat saying how great it is.
[00:34:25.248 --> 00:34:39.734]  You and others have expressed concern about this issue, and this matter will be determined by the work of the Financial Services Committee and the Agricultural Committee.
[00:34:40.154 --> 00:34:41.895]  That's weasel waxman.
[00:34:42.395 --> 00:34:47.557]  Once they agree on the issue that's within their jurisdiction... You know, that's another good point.
[00:34:47.597 --> 00:34:51.159]  We're going to be popping in throughout the next hour and a half.
[00:34:51.179 --> 00:34:52.439]  We have a left in transmission.
[00:34:52.479 --> 00:34:53.840]  I may even go into overdrive today.
[00:34:55.103 --> 00:34:58.924]  Talking about this, because there's only a few talking points that Democrats have.
[00:34:58.984 --> 00:35:02.105]  It's, this'll give us millions of jobs, this'll kickstart the economy.
[00:35:02.205 --> 00:35:07.007]  No, it's a managed economy, $2,500 to $2,800 per person to start with.
[00:35:07.287 --> 00:35:09.468]  We can't see the whole bill, that's the old bill.
[00:35:09.828 --> 00:35:12.089]  It's five, six times and growing longer.
[00:35:12.449 --> 00:35:14.569]  Hundreds of pages being added a day secretly.
[00:35:14.929 --> 00:35:15.970]  Nobody can see it.
[00:35:16.670 --> 00:35:35.561]  In there is a global carbon tax, satellite tracker boxes in the cars that tax you by the mile, huge taxes on electricity, gasoline, oil, plastics, everything made from it, home inspections federally, other bills racing through like the Clean Water Restoration Act, total federal jurisdiction over every square foot of the U.S.
[00:35:35.881 --> 00:35:37.422]  for above or below ground water.
[00:35:37.502 --> 00:35:38.763]  Everything's got water under the ground.
[00:35:39.203 --> 00:35:39.923]  Total control.
[00:35:40.223 --> 00:35:41.124]  No more Bill of Rights.
[00:35:41.164 --> 00:35:42.585]  Come on your property without warrants.
[00:35:43.005 --> 00:35:44.546]  New bureaucracies being set up.
[00:35:46.075 --> 00:35:49.057]  And don't forget who invented all of this.
[00:35:49.157 --> 00:35:49.858]  It was Enron.
[00:35:51.058 --> 00:35:53.400]  Enron came up with a carbon trading scheme.
[00:35:53.840 --> 00:36:09.171]  Enron were the money laundering, drug dealing, scam artist fronts who would, in California, set up a fake energy trading company and give the state reps tours, it came out in the news, of computers hooked up to fake algorithms with fake trading.
[00:36:09.391 --> 00:36:12.233]  They just set the prices every day and would rip people off
[00:36:12.873 --> 00:36:34.950]  During that one summer, back in 2001-2002, for a couple billion dollars a week, extra money they were stealing, just in California, and it came out in their memos, they would turn the power off for a few hours, because their memos said, not having power creates the perception of artificial scarcity, so then when we turn the power back on, and tell them it's going to cost three or four times, they'll believe it!
[00:36:37.395 --> 00:36:38.637]  This is the criminals!
[00:36:38.857 --> 00:36:48.873]  Just like diamonds are actually semi-precious, but they control where they're dug out, and governments control them with payoffs, through the De Beers and Oppenheimers, and so they are...
[00:36:49.847 --> 00:36:53.969]  Truly scarce in Main Street, but in the real world they're not.
[00:36:54.669 --> 00:36:55.269]  Same fraud.
[00:36:55.489 --> 00:36:57.470]  Turn their power off, they'll accept higher prices.
[00:36:57.830 --> 00:37:00.731]  Same thing the IMF and World Bank have been caught doing in their own memos.
[00:37:01.472 --> 00:37:11.356]  BBC reported back in 2002, all over the world, when they take over third world country, they turn the water, turn the power off for a while, to jack up prices, and then to also cause rioting.
[00:37:12.636 --> 00:37:14.137]  So the people will accept higher prices.
[00:37:14.337 --> 00:37:16.998]  Because if they triple prices, then when they cut them back,
[00:37:18.274 --> 00:37:20.675]  By half, they've still accepted an increase.
[00:37:21.155 --> 00:37:24.517]  It's all psychological games that are being played with you.
[00:37:25.957 --> 00:37:28.198]  So you tune in randomly, they're talking about carbon taxes.
[00:37:30.219 --> 00:37:32.800]  And these are derivatives.
[00:37:35.233 --> 00:37:44.297]  I seek clarification of two provisions in section 788 of the bill relative to the forest lands and forestry sector.
[00:37:44.857 --> 00:37:54.802]  Specifically on page 198, line 14 of the bill, I'd like to know if the agricultural sector language includes forest lands and forestry sector.
[00:37:55.462 --> 00:38:08.100]  Also on page 199, line 22 of the bill, I'd like to know, does the term projects include sustainable forest practices such as avoided deforestation agreement?
[00:38:09.405 --> 00:38:23.511]  I want to thank the gentleman for his work on improving the definition of biomass in this bill, and ensure him that just as with many USBA conservation programs, forest land fully qualifies for this energy incentive program, and it's our intent that it be included in this section.
[00:38:23.531 --> 00:38:25.132]  Alright, that's enough from that punk.
[00:38:26.433 --> 00:38:34.776]  And again, you've seen them grab GM, grab Chrysler, and then they openly on the open market say, give campaign contributions to the Democratic Party.
[00:38:35.317 --> 00:38:35.977]  This is on record.
[00:38:37.219 --> 00:38:39.280]  And you might get to keep your dealership open.
[00:38:39.520 --> 00:38:42.261]  You got a $15 million, a $5 million dealership.
[00:38:42.501 --> 00:38:45.722]  Those are two cases that have been covered in Congress in Minnesota.
[00:38:46.803 --> 00:38:47.663]  Two different dealerships.
[00:38:47.703 --> 00:38:49.864]  And they said, no, you're Republicans, you don't get to keep them open.
[00:38:50.464 --> 00:38:53.145]  Give us your list, move out, we own it, you're done.
[00:38:54.966 --> 00:38:56.487]  Ninety-year-old dealership in one case.
[00:38:58.107 --> 00:38:59.128]  This is just mafia.
[00:39:00.088 --> 00:39:02.129]  And if you're a globalist company, you can do whatever you want.
[00:39:03.493 --> 00:39:05.195]  But if you're not, it's over for you.
[00:39:05.816 --> 00:39:08.921]  And so it's 1,300 plus pages and they say they added 300 more.
[00:39:09.361 --> 00:39:15.470]  So we're not, the bills they're just now seeing and getting, because they're about to vote on it, we're not even allowed to see this.
[00:39:15.870 --> 00:39:18.895]  And Congress no way can read all of it, and they're adding more every minute.
[00:39:20.356 --> 00:39:25.777]  And notice, I've been watching this, and I've seen Congress, watched Congress a lot, Republicans aren't even being given the copies.
[00:39:25.797 --> 00:39:26.977]  They're going, what's in it?
[00:39:27.017 --> 00:39:27.617]  We don't know.
[00:39:27.918 --> 00:39:38.220]  And the Democrats, who are about to vote for it, they say, well let me check my district, because it's all sorts of scams and control, where you've got to go to the imperial lords locally and make payoffs to even be able to do business.
[00:39:38.600 --> 00:39:39.940]  This is just mafia control.
[00:39:40.300 --> 00:39:45.001]  So the Democrats are the few getting up going, well I'm going to vote for it, but does this take all the land in my district?
[00:39:45.796 --> 00:39:46.236]  For you?
[00:39:46.877 --> 00:39:48.058]  Well, only a little bit of it.
[00:39:48.518 --> 00:39:50.300]  Bob, we're going to leave you alone for now.
[00:39:50.340 --> 00:39:53.062]  Just let us skin these bastards, alright?
[00:39:55.524 --> 00:39:56.745]  I mean, this is hardcore.
[00:39:58.126 --> 00:40:01.389]  Give these creatures a call right now.
[00:40:01.409 --> 00:40:01.469]  1-800-833-6354.
[00:40:01.489 --> 00:40:01.549]  1-800-833-6354.
[00:40:10.632 --> 00:40:11.513]  Call these criminals.
[00:40:11.573 --> 00:40:13.134]  Call their home districts as well.
[00:40:13.414 --> 00:40:18.478]  And tell their secretaries and people, just say, I'm going to come do whatever it takes to get you out of office, you criminal.
[00:40:19.199 --> 00:40:20.660]  And mainly the Democrats.
[00:40:20.740 --> 00:40:21.781]  Call the Democrats.
[00:40:22.081 --> 00:40:23.483]  They've got a lot of whore Republicans.
[00:40:23.883 --> 00:40:26.885]  You can Google, Republican says he's going to vote for climate bill.
[00:40:27.326 --> 00:40:28.066]  Greenhouse bill.
[00:40:28.387 --> 00:40:31.349]  And you'll find, you'll see a whole bunch of articles with the ones that are out there pushing it.
[00:40:31.389 --> 00:40:33.130]  Call those little creatures up.
[00:40:33.951 --> 00:40:36.193]  And stand up to them.
[00:40:36.273 --> 00:40:38.295]  Up on InfoWars.com, up on screen.
[00:40:39.485 --> 00:40:44.367]  We'll put up the numbers for everybody for you as well.
[00:40:45.687 --> 00:40:53.870]  So, alright, let me go ahead and get into this now, and then I'm going to get back into that, and I'm going to take calls for the rest of the show after this, but I hope listeners want to talk about the climate bill.
[00:40:54.450 --> 00:41:01.172]  What you find out is, 1,300 we know, 3,000 added, but not the exact number, but it's probably going to be 1,600 to 800 pages.
[00:41:05.285 --> 00:41:07.307]  Just like they didn't read the Patriot Act before passage.
[00:41:07.347 --> 00:41:08.107]  They wouldn't allow it.
[00:41:08.247 --> 00:41:10.529]  One hour before passage, they released the full bill.
[00:41:11.130 --> 00:41:13.091]  And then the next day, on the internet, released it.
[00:41:13.571 --> 00:41:15.493]  I mean, that right there, they can't pass this.
[00:41:15.753 --> 00:41:21.638]  But we gotta do it, or the Earth is gonna... the polar bears are all gonna drown, and the cities... I mean, I've seen the newscast.
[00:41:22.398 --> 00:41:30.605]  I sent you guys a Discovery Channel Monday, but we never played it, where they're going, Houston will flood, everyone will die, they've gotta build a domed city over Houston, or we're all dead.
[00:41:33.155 --> 00:41:33.716]  People don't believe me.
[00:41:33.736 --> 00:41:37.839]  Just Google Dome City over Houston for global warming and we can at least put it on screen.
[00:41:38.039 --> 00:41:41.682]  We don't have time to play the newscasts because I've got too much to cover.
[00:41:41.962 --> 00:41:43.264]  I mean, it's like we're all going to die.
[00:41:43.284 --> 00:41:44.905]  They're teaching the kids we're all going to die.
[00:41:45.185 --> 00:41:46.486]  We've got to reduce world population.
[00:41:46.506 --> 00:41:47.947]  We've got to pay 80% taxes.
[00:41:48.328 --> 00:41:56.274]  We've got to work as slaves for the government where the kids are learning to grow gardens during one hour of school and then that's sold by the school for money for the school.
[00:41:56.775 --> 00:41:59.097]  Service is forced service to the state.
[00:42:00.325 --> 00:42:03.687]  It all sounds reasonable, oh how sweet the kids are growing tomatoes.
[00:42:03.807 --> 00:42:06.088]  I mean this is getting so sick.
[00:42:09.490 --> 00:42:11.051]  And I know why people get fooled by Glenn Beck.
[00:42:11.091 --> 00:42:19.376]  I was watching him yesterday here in the office and he was admitting that the big oil companies, energy companies, and big banks are behind the global warming, that it's a big Enron scam.
[00:42:19.936 --> 00:42:20.616]  Totally true.
[00:42:20.916 --> 00:42:21.537]  Great guy.
[00:42:23.078 --> 00:42:28.641]  Until you realize he also says arrest 9-11 truthers, ban free speech, arrest Ron Paul supporters, there's no FEMA camp.
[00:42:28.661 --> 00:42:28.801]  See,
[00:42:29.878 --> 00:42:31.439]  They tell him what he can and can't say.
[00:42:31.459 --> 00:42:33.040]  I guess they're like, it's going to pass, don't worry.
[00:42:33.700 --> 00:42:34.981]  Go ahead and act like you're against it.
[00:42:36.882 --> 00:42:42.185]  What I hate is his going back and forth and him laughing at us.
[00:42:42.685 --> 00:42:43.866]  I'd love to love Glenn Beck.
[00:42:43.926 --> 00:42:45.006]  I'd love to love these guys.
[00:42:45.466 --> 00:42:47.648]  I just know it's a load of baloney.
[00:42:48.008 --> 00:42:53.411]  Because all of Rupert Murdoch's other companies, Rupert Murdoch admits, we played the video here, he put out a corporate press release.
[00:42:54.551 --> 00:43:01.396]  Showing all his movies, all his TV shows, and all his news articles, saying global warming's real, and it's going, Hi, I'm Rupert Murdoch.
[00:43:02.237 --> 00:43:04.098]  We're going to have a global tax, and I believe in it.
[00:43:04.338 --> 00:43:06.100]  And here's what I've been doing to make sure that happens.
[00:43:06.460 --> 00:43:08.441]  And then at Davos, he admits he tries to manipulate.
[00:43:08.722 --> 00:43:13.365]  So then there's this one guy, Beck, doing it, to kind of just grab the audience of patriots.
[00:43:15.467 --> 00:43:16.127]  Ah, it's just sick.
[00:43:17.748 --> 00:43:18.049]  Okay.
[00:43:19.790 --> 00:43:20.951]  Let me go ahead and
[00:43:24.019 --> 00:43:29.383]  I'm going to kind of prepare myself and get into this because I know this needs to go mega-viral, this video.
[00:43:29.904 --> 00:43:34.267]  Because I know everything we do on this TV show ends up going mega-viral, but I want this to go particularly mega-viral.
[00:43:34.287 --> 00:43:36.549]  Let me focus for one moment and then launch into it.
[00:43:37.489 --> 00:43:38.390]  Shifting gears mentally.
[00:43:43.474 --> 00:43:45.656]  Ron Paul has over 245 sponsors.
[00:43:45.676 --> 00:43:46.156]  If he gets 290, that is a
[00:43:52.811 --> 00:44:02.057]  Absolute majority in the House that will pass a bill to audit the private, run-for-profit Federal Reserve that we didn't have until 1913.
[00:44:02.337 --> 00:44:07.481]  When Ron Paul and other congressmen are on TV saying, audit the Fed or get rid of the Fed, he also has a bill to abolish it.
[00:44:07.741 --> 00:44:09.842]  They always say, well, how will we have taxes?
[00:44:10.143 --> 00:44:11.424]  How will America operate?
[00:44:11.684 --> 00:44:12.764]  How will we have money?
[00:44:13.585 --> 00:44:16.367]  How will the country survive?
[00:44:16.787 --> 00:44:18.268]  How will we be able to do anything?
[00:44:18.308 --> 00:44:22.411]  And Ron Paul's always at the Capitol, and he says, well, the Capitol I'm sitting in was built
[00:44:23.312 --> 00:44:28.417]  Before we had the Federal Reserve, we didn't have an income tax until 1913 when the Federal Reserve to pay the private bank.
[00:44:31.000 --> 00:44:34.163]  Income tax wasn't 1% until the 1950s.
[00:44:35.204 --> 00:44:40.349]  Not one red cent of the money paid to the IRS goes to run the country.
[00:44:40.630 --> 00:44:41.651]  That's all the other taxes.
[00:44:43.547 --> 00:44:49.028]  This is all taxes on the debt to the private banks that issue it through their holding company, the Federal Reserve.
[00:44:49.468 --> 00:44:52.909]  And the news just kind of moves on, knowing the public that's too complex for them.
[00:44:53.889 --> 00:45:01.391]  But the issue is, even if the Federal Reserve is good, which it's obviously not, it's not above the law.
[00:45:01.511 --> 00:45:12.453]  Congress isn't above the law, the courts aren't above the law, the President isn't above the law, the Congress is supposed to have oversight over the courts, over the President, and over the coining and issuance of money and finance.
[00:45:13.311 --> 00:45:16.434]  Now, Congress has given up its authority over trade to the World Trade Organization.
[00:45:16.755 --> 00:45:19.117]  It's giving up its authority to the Federal Reserve right now.
[00:45:20.638 --> 00:45:28.486]  It did that first part of that with the October banker bailout that gave them secrecy and unlimited funds, and they've stolen $14.8 trillion according to Bloomberg.
[00:45:28.827 --> 00:45:35.553]  Now they want to set up a new bank of the world, the Federal Reserve, the local governorship, same legislation word for word being passed in Europe right now.
[00:45:36.394 --> 00:45:38.355]  And so, we're trying to audit the Fed.
[00:45:38.395 --> 00:45:43.297]  They're trying to fully take over anything connected to finance or that affects the economy.
[00:45:43.577 --> 00:45:50.299]  And they say in their own words, from a restaurant to a car dealership, from a factory to a private school.
[00:45:51.900 --> 00:46:02.803]  Martial law, total control, just as the executive orders state, where the federal government can reorganize people into youth brigades, or work brigades, take over land, take over transportation, take over manufacturing.
[00:46:03.263 --> 00:46:12.546]  All those illegitimate executive powers concentrated illegitimately in the presidency since the National Security Act of 47, expanded by each subsequent president.
[00:46:13.026 --> 00:46:14.927]  The forced inoculation laws, all of it.
[00:46:15.127 --> 00:46:16.087]  That's coming up next hour.
[00:46:17.248 --> 00:46:17.868]  Big news there.
