[00:00:06.152 --> 00:00:11.395]  Set off all ceramic filter systems and ship all orders over $50 free of charge.
[00:24:54.831 --> 00:24:59.413]  So women out there that think your butt's too big, your waist is too big, stop feeling inadequate.
[00:24:59.473 --> 00:25:01.214]  Stop listening to the establishment.
[00:25:01.843 --> 00:25:07.826]  Make you feel inadequate so you don't respect yourself, so you'll be an insecure person that can be manipulated by the media and the culture.
[00:25:08.267 --> 00:25:11.048]  A culture of death, by design to make you weak.
[00:25:12.009 --> 00:25:15.271]  Public policy to break down the family, break down society.
[00:25:16.471 --> 00:25:20.613]  Nine times out of ten in surveys they do with women, they say, why do you leave your husband or why do you start fights with him?
[00:25:21.074 --> 00:25:26.577]  Oh, because I think I'm ugly and he, you know, doesn't empower me and I'm bored and my life isn't good and I'm a princess.
[00:25:27.315 --> 00:25:28.696]  You're not supposed to be a princess.
[00:25:28.996 --> 00:25:32.438]  You're supposed to live on this planet and help other people and build something.
[00:25:32.898 --> 00:25:40.042]  And leave it a better planet when you die than when you first got here.
[00:25:40.342 --> 00:25:41.183]  Same thing for men.
[00:25:41.523 --> 00:25:47.626]  Men think their whole life is supposed to be about partying and enjoyment and lots of sex and lots of women and no responsibility.
[00:25:47.846 --> 00:25:50.148]  And we wonder why everything's falling apart.
[00:25:50.548 --> 00:25:52.649]  This planet's been a hard planet to live on.
[00:25:52.989 --> 00:25:54.170]  Our ancestors had to fight
[00:25:54.935 --> 00:25:59.660]  With every ounce of energy they had just to survive and then to build civilizations.
[00:26:00.641 --> 00:26:07.669]  And as soon as they built a civilization and our numbers grew, then we had to fight with each other for different powerful groups always trying to enslave us.
[00:26:08.430 --> 00:26:15.938]  And now in the modern day, we've been convinced by Madison Avenue and the mainstream media and the mapmakers of the mind, the political
[00:26:16.937 --> 00:26:24.179]  Controllers, the engineers of society and our psyches that, oh, don't be involved, don't have responsibilities, be a big kid for your whole life.
[00:26:24.499 --> 00:26:25.359]  Don't be involved.
[00:26:25.419 --> 00:26:27.600]  Let the establishment, let the experts run things.
[00:26:27.860 --> 00:26:30.861]  Just accept the way the world's set up around you like it's a rat maze.
[00:26:31.161 --> 00:26:32.961]  Don't ever try to change the world around you.
[00:26:33.161 --> 00:26:34.882]  Don't ever try to leave your mark in any way.
[00:26:35.082 --> 00:26:43.204]  Just regurgitate and conform into these little boxes and then be scared to death to ever get out of that little comfort zone bubble.
[00:26:43.604 --> 00:26:48.031]  Don't ever talk about politics or don't ever say anything that might be strange to your neighbor.
[00:26:48.372 --> 00:26:51.957]  Oh my God, if your neighbor's a little strange, never talk to them.
[00:26:51.978 --> 00:26:55.824]  So we're all isolated watching the glowing television sets at night.
[00:26:56.380 --> 00:27:05.005]  You go to a restaurant and there's TVs everywhere and your wife, your children, you, all you stop talking, all you do is watch the TVs or play on your iPhones.
[00:27:05.646 --> 00:27:20.835]  We're losing our humanity being sucked in to these media devices that are pre-programmed by the establishment with their images and their messages to distort what true human development and society is supposed to be all about.
[00:27:22.577 --> 00:27:25.959]  People say, well you're on the media, you're on the internet, you make films, you're on the radio.
[00:27:26.379 --> 00:27:31.762]  Absolutely, and I make those films and I explain that this is kind of a culture jamming.
[00:27:33.183 --> 00:27:38.226]  Or that I'm going in there trying to warn people and wake them up using the establishment's own medium.
[00:27:39.686 --> 00:27:49.072]  And I will go further that all the major studies that we've sourced and cited here show that reading actually increases your IQ and your critical thinking and so does listening to radio.
[00:27:49.112 --> 00:27:49.712]  And why is that?
[00:27:50.481 --> 00:28:00.367]  Because with reading, your brain has to interpret the symbols and then reconstruct them in your mind and create a three-dimensional hologram to image.
[00:28:00.387 --> 00:28:02.488]  If I say yellow bicycle, you see yellow bicycle.
[00:28:02.508 --> 00:28:04.989]  If I say Marilyn Monroe, you see Marilyn Monroe.
[00:28:05.009 --> 00:28:10.012]  If I say Gulfstream jet, your brain has to then analyze for a few seconds and pull up a Gulfstream jet.
[00:28:10.532 --> 00:28:11.833]  If I say NFL,
[00:28:14.491 --> 00:28:16.113]  Then you have to conjure up NFL.
[00:28:16.133 --> 00:28:19.776]  If I say Roger Stalbach, you've got to conjure up Roger Stalbach.
[00:28:19.796 --> 00:28:23.200]  But if you're watching TV, it's all done for you.
[00:28:23.760 --> 00:28:26.583]  So with reading and radio, you have to develop it.
[00:28:26.943 --> 00:28:28.605]  All the studies, Google it.
[00:28:28.805 --> 00:28:30.887]  Studies show radio and reading increase IQ.
[00:28:31.147 --> 00:28:33.049]  And you will see the government universities own studies.
[00:28:33.329 --> 00:28:34.010]  And they know that.
[00:28:36.673 --> 00:28:37.754]  That's why people that read,
[00:28:38.951 --> 00:28:44.413]  Books and magazines and even newspapers make more money, they have higher IQs, they're more fulfilled, they're more happy.
[00:28:44.613 --> 00:28:54.957]  That's why radio, talk radio listeners, they're not perfect, but statistically they have higher IQs, higher education, they're more fulfilled.
[00:28:56.238 --> 00:29:00.720]  You see, we're always here fighting with the mainstream media, which has all its lies and disinformation in it.
[00:29:01.600 --> 00:29:03.401]  And talk radio and print's got it in it too.
[00:29:04.601 --> 00:29:06.962]  But think about how most of the public doesn't even read the newspaper.
[00:29:07.719 --> 00:29:08.939]  They don't even watch the news.
[00:29:09.000 --> 00:29:10.280]  If they do, it's for five minutes.
[00:29:10.700 --> 00:29:14.141]  When somebody like Michael Jackson dies, it's a diversion.
[00:29:14.542 --> 00:29:15.462]  It's a distraction.
[00:29:15.722 --> 00:29:19.723]  Don't let that guy enter into your psyche as an archetype and take over your mind.
[00:29:20.184 --> 00:29:23.745]  Push Batboy, who had a poor, pathetic life.
[00:29:24.594 --> 00:29:29.662]  Out of your mind and move on to real issues like total tyranny coming down on you and your family.
[00:29:30.223 --> 00:29:31.505]  Break your mental chains.
[00:29:31.806 --> 00:29:33.769]  We'll be right back with key analysis and math.
[00:29:34.069 --> 00:29:39.097]  Studies have shown that many people do not get the proper vitamins and minerals necessary to maintain good health.
[00:29:39.217 --> 00:29:39.718]  With so many
[00:29:43.855 --> 00:29:45.975]  The answer is simple.
[00:29:46.236 --> 00:29:47.536]  PureBulk.com.
[00:29:47.796 --> 00:29:56.660]  PureBulk.com has over 150 bulk wholesale nutritional products in stock, including vitamins, super antioxidants, amino acids, and herbal extracts.
[00:29:56.900 --> 00:30:06.244]  PureBulk.com's products contain no fillers, no additives, no fancy retail packaging, and no minimum purchase, allowing you to save 50 to 90% over store-bought supplements.
[00:30:06.504 --> 00:30:11.606]  PureBulk.com carries atomic iodine, red wine extract, gingko biloba, oil of oregano,
[00:30:11.846 --> 00:30:20.394]  Natural Coffee Caffeine, L-Arginine, Resveratrol, Hyaluronic Acid, Creatine, Curcumin, Pine Bark Extract, Grape Seed Extract, and more.
[00:30:20.574 --> 00:30:24.417]  For prices, additional products, and more information, visit PureBulk.com.
[00:30:24.617 --> 00:30:26.179]  That's PureBulk.com.
[00:30:26.439 --> 00:30:26.819]  Or call 406-251-3270.
[00:30:26.879 --> 00:30:27.880]  That's 406-251-3270 today.
[00:30:33.999 --> 00:30:42.384]  Of the 3 million plus edible food plants that grow on earth, no other single plant can compare with the nutritional value of the powder, seeds, and oil of the hemp plant.
[00:30:42.704 --> 00:30:48.388]  At hempusa.org, we ship worldwide these nutritional products with free shipping to the US and Canada.
[00:30:48.688 --> 00:30:55.292]  At hempusa.org, we want to educate our listeners that edible hemp is not marijuana and is certified THC-free.
[00:30:55.792 --> 00:30:59.074]  Our powder is 50% protein and does not contain gluten.
[00:30:59.195 --> 00:31:01.436]  Gluten impairs the cells from absorbing nutrients.
[00:31:01.616 --> 00:31:07.979]  This nutrient-dense food can be stored up to five years when vacuum-packed and is priced affordably to be used as a storable food.
[00:31:08.219 --> 00:31:11.541]  HempUSA.org is a bulk shipper starting with five pounds and up.
[00:31:11.741 --> 00:31:18.404]  To allow this food to work for you, call 908-691-2608 or go to HempUSA.org and order today.
[00:31:18.804 --> 00:31:21.745]  The body will react and heal itself given the proper nutrition.
[00:31:21.965 --> 00:31:25.067]  This superfood will be your greatest asset, so try it today!
[00:31:25.447 --> 00:31:27.508]  Store it today and change your life.
[00:31:27.808 --> 00:31:32.831]  Call 908-691-2608 or order from hempusa.org.
[00:31:33.252 --> 00:31:33.792]  You worry.
[00:31:33.932 --> 00:31:36.013]  If you don't, you don't understand the situation.
[00:31:36.313 --> 00:31:36.573]  Hi.
[00:31:36.834 --> 00:31:39.315]  Summer's coming and now's the time to learn self-sufficiency.
[00:31:39.615 --> 00:31:43.858]  If you're going to eat from nature's bounty of wild edible plants, remember, there's a learning curve.
[00:31:44.158 --> 00:31:46.339]  Experience is the best teacher, but that means time.
[00:31:46.619 --> 00:31:49.641]  To speed it up, you'll need to build on the wisdom of a teacher who has lived it.
[00:31:49.961 --> 00:31:51.702]  Author Linda Runyon is that teacher.
[00:31:51.902 --> 00:31:54.423]  Her Wild Food Knowledge Package is the crash course.
[00:31:54.683 --> 00:31:58.105]  The DVD gives you a three-hour overview of her world directly from her.
[00:31:58.405 --> 00:32:02.506]  The book gives you an in-depth reference with all of the insider know-how you'll ever need.
[00:32:02.827 --> 00:32:06.608]  And her Wild Cards are your portable summary and cheat sheet for your fieldwork.
[00:32:06.908 --> 00:32:12.891]  This three-pronged learning system will take you from spectator to scholar to gourmet survivalist in weeks, not years.
[00:32:13.251 --> 00:32:15.373]  Folks, I can vouch that Linda's the real deal.
[00:32:15.593 --> 00:32:17.275]  She's my mom, and I watched her do it.
[00:32:17.715 --> 00:32:21.899]  So go to offthefield.com or call 888-51-EAT-FREE.
[00:32:22.380 --> 00:32:23.020]  Start now.
[00:32:23.280 --> 00:32:24.221]  Knowledge is power.
[00:32:25.002 --> 00:32:25.803]  Better take action.
[00:32:26.003 --> 00:32:26.964]  I think a storm's coming.
[00:32:33.240 --> 00:32:43.330]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh, nutritious vegetables will make it to your dinner table?
[00:32:43.810 --> 00:32:44.851]  Garden in a Can.
[00:32:45.231 --> 00:32:48.775]  Garden in a Can is your source for premium, long-term, storable seeds.
[00:32:49.355 --> 00:32:51.137]  Garden in a Can is ready when you are.
[00:32:51.377 --> 00:32:53.699]  Plant them now or store them for when you really need them.
[00:32:54.140 --> 00:33:03.208]  There are 16 large, hermetically sealed, non-hybrid, open-pollinated packets of seeds, along with detailed planting instructions sealed in a can for ultimate long-term protection.
[00:33:03.829 --> 00:33:04.830]  Garden in a Can.
[00:33:05.250 --> 00:33:06.091]  It's that simple.
[00:33:06.451 --> 00:33:06.752]  Fresh.
[00:33:07.152 --> 00:33:07.532]  Healthy.
[00:33:08.013 --> 00:33:08.333]  Easy.
[00:33:08.854 --> 00:33:12.797]  Only $69.95 for over a half acre of safe, fresh vegetables.
[00:33:13.198 --> 00:33:14.079]  Ready when you are.
[00:33:14.739 --> 00:33:18.382]  Stop procrastinating and start preparing with Garden In A Can.
[00:33:18.822 --> 00:33:21.924]  For more details, visit GardenInACan.com today.
[00:33:22.304 --> 00:33:23.045]  That's GardenInACan.com.
[00:33:23.065 --> 00:33:23.485]  Or call 866-598-7396.
[00:33:23.505 --> 00:33:23.565]  866-598-7396.
[00:33:23.605 --> 00:33:24.526]  The GCN Radio Network.
[00:33:24.566 --> 00:33:26.207]  Providing the world with hard-hitting talk radio.
[00:33:26.227 --> 00:33:26.287]  GCN.
[00:33:26.307 --> 00:33:27.308]  Great talk radio starts here.
[00:33:45.588 --> 00:33:57.414]  Okay, so I want to apologize to all the listeners.
[00:33:57.474 --> 00:34:04.197]  I'm not going to talk about somebody so drugged out of their mind they couldn't walk most of the time.
[00:34:09.429 --> 00:34:12.571]  He had all sorts of people's kids in a bed with him giving them wine.
[00:34:12.591 --> 00:34:18.614]  I'm sorry, I'm not going to talk about how great he is or how good a dancer he is or how sad it is that he's dead.
[00:34:19.575 --> 00:34:22.436]  Because the mainstream media wants to cram this down our throats.
[00:34:22.516 --> 00:34:32.101]  That circus for four hours as the press conference built up and helicopters picking him up like he was Jesus rising, you know, back into heaven.
[00:34:32.662 --> 00:34:34.683]  I mean, this is ridiculous.
[00:34:36.109 --> 00:34:41.652]  And I am just tired of being assaulted and assailed with images of Michael Jackson.
[00:34:41.752 --> 00:34:43.413]  I can't stand Michael Jackson.
[00:34:44.073 --> 00:34:47.515]  I remember when he was really big, in the early 1980s, when I was like 8, 9, 10 years old.
[00:34:47.575 --> 00:34:47.795]  I'm 35 now.
[00:34:50.248 --> 00:34:54.609]  And the neighborhood kids were running around dressed like Michael Jackson with glitter gloves on.
[00:34:54.949 --> 00:34:59.070]  And I wasn't some little kid who was hip, or cool, or into the cool clothes.
[00:34:59.250 --> 00:35:00.210]  I just was cool.
[00:35:00.490 --> 00:35:02.350]  And I was like, that guy is a twit.
[00:35:02.810 --> 00:35:03.930]  That guy's embarrassing.
[00:35:04.230 --> 00:35:06.051]  Your sequined glove looks stupid.
[00:35:07.571 --> 00:35:09.071]  I've never liked Michael Jackson.
[00:35:09.711 --> 00:35:15.172]  And I'd see these full-grown women at office parties my parents would take me to, and I was like 10, going, don't you just love Michael Jackson?
[00:35:15.412 --> 00:35:16.092]  Don't you just love him?
[00:35:16.112 --> 00:35:17.453]  And I'd go, no, and they'd get all angry.
[00:35:17.873 --> 00:35:19.373]  I mean, what is it with you freaks?
[00:35:20.208 --> 00:35:22.430]  So some kind of weirdo Michael Jackson cult?
[00:35:22.830 --> 00:35:27.154]  I don't like your cult, and I don't like seeing Batboy on the news every day.
[00:35:27.174 --> 00:35:28.936]  Alright, that's it.
[00:35:31.097 --> 00:35:32.399]  Ladies and gentlemen, here's the issue.
[00:35:32.679 --> 00:35:35.101]  The country is going to hell in a handbasket.
[00:35:35.982 --> 00:35:38.524]  I've done these sources on air, you can Google it.
[00:35:39.265 --> 00:35:40.926]  Real inflation, over 20%.
[00:35:41.587 --> 00:35:44.609]  The different brokerage firms and banks that gauge it, they've got it at 20.4, 20.8, 20.9.
[00:35:48.931 --> 00:35:49.631]  In fact, Google that.
[00:35:49.651 --> 00:35:50.732]  I want to give them an actual headline.
[00:35:50.752 --> 00:35:51.412]  I forgot to bring it.
[00:35:51.452 --> 00:35:55.373]  Just Google for everybody and print it for me during the break, and I'll cover it next segment.
[00:35:55.453 --> 00:35:57.534]  Just so people can see I don't just throw this out.
[00:35:57.614 --> 00:35:58.795]  Real inflation above 20%.
[00:35:59.535 --> 00:36:03.676]  That'll give you hundreds of headlines, but just print me two big mainstream headlines on that for them.
[00:36:03.696 --> 00:36:04.917]  I'll give that to them later.
[00:36:06.377 --> 00:36:11.839]  So the issue here is you got the cooked government with cooked numbers telling you that it's 10%.
[00:36:12.459 --> 00:36:16.521]  No, ladies and gentlemen, it's over 20, and every top economist I have on
[00:36:17.719 --> 00:36:29.128]  Former head of the Treasury Department, head of policy, former Wall Street Journal editor, Dr. Paul Craig Roberts, and all these other people, Joseph Stiglitz, Nobel Prize winner, Chief Economist, World Bank.
[00:36:29.449 --> 00:36:30.489]  They all say the same thing.
[00:36:30.910 --> 00:36:36.294]  It's at least 20%, and they're talking about 30% in another year?
[00:36:36.895 --> 00:36:37.895]  They're talking about 25% by early 2010.
[00:36:38.176 --> 00:36:42.219]  I can't believe I just said that.
[00:36:42.239 --> 00:36:44.421]  I can't believe 2009 is already halfway over.
[00:36:49.761 --> 00:36:52.802]  The point here is, this economy is in free fall.
[00:36:54.543 --> 00:36:59.485]  The federal government is openly abolishing the entire Bill of Rights and Constitution in front of everybody's eyes.
[00:37:02.286 --> 00:37:15.171]  The left that was so upset about Bush and warrantless secret detention and warrantless wiretapping and lying about WMDs and wars and everything else he was doing in the Patriot Act suddenly love it when Obama's doing it.
[00:37:16.751 --> 00:37:18.992]  And after I take some calls, I'm gonna go over
[00:37:20.698 --> 00:37:22.819]  The real news.
[00:37:22.959 --> 00:37:23.680]  The crisis.
[00:37:23.740 --> 00:37:24.440]  The takeover.
[00:37:24.800 --> 00:37:25.561]  This is it.
[00:37:25.921 --> 00:37:27.742]  Total complete blanket amnesty.
[00:37:28.062 --> 00:37:30.083]  Total complete carbon taxes passed.
[00:37:30.403 --> 00:37:47.593]  Now they're going to try to pass total amnesty, the health care takeover, the gun grab takeover, the police state takeover, the takeover of the entire United States, every square inch of land being federalized under this Clean Water Restoration Act.
[00:37:48.610 --> 00:37:49.390]  I'm not kidding!
[00:37:49.450 --> 00:37:50.511]  I'm not exaggerating!
[00:37:50.551 --> 00:37:57.353]  Last week, we had the local news people in here reporting on it, and the state officials are running around saying it's a total federal takeover.
[00:37:57.413 --> 00:37:58.213]  Read the bill!
[00:38:00.814 --> 00:38:16.298]  You know, we told you this whole global warming hype was about a tax, and they said, no it's not, no it's not, and then wouldn't let anybody read the bill until 30 minutes before, when the minority leader, Bonner, demanded to see the bill, and then he did an illegal filibuster
[00:38:17.295 --> 00:38:20.117]  Because in the House, only leaders can do a filibuster.
[00:38:20.698 --> 00:38:25.642]  Waxman tried to say it was unauthorized, but they said, no, actually it is authorized, so it's not illegal, but they implied it was.
[00:38:26.062 --> 00:38:27.564]  The Senate, anybody can filibuster.
[00:38:29.225 --> 00:38:31.327]  And God knows we need one, ladies and gentlemen.
[00:38:32.548 --> 00:38:34.109]  And then he starts reading through the bill.
[00:38:34.149 --> 00:38:35.651]  It was worse than even we thought.
[00:38:35.671 --> 00:38:37.052]  Now I've had a chance to look at it!
[00:38:37.812 --> 00:38:39.494]  All 1,300 pages!
[00:38:40.134 --> 00:38:42.937]  It was over 1,500, then they pulled some out, added some in.
[00:38:45.799 --> 00:38:46.239]  That's right.
[00:38:46.459 --> 00:38:53.782]  The Congress wasn't allowed to read it until 30 minutes before, and then one copy, because the minority leader demanded it, was given to him.
[00:38:53.862 --> 00:38:55.683]  He's handed it on the floor, and he goes, okay.
[00:38:56.303 --> 00:38:57.183]  They go, you have two minutes.
[00:38:57.223 --> 00:38:58.684]  He goes, no, I've got to read this.
[00:38:58.984 --> 00:39:03.626]  We've got the video, the whole hour where he filibustered on Infowars.com.
[00:39:03.646 --> 00:39:06.487]  Go watch it, where he's reading the stinking thing.
[00:39:07.167 --> 00:39:11.529]  I should just air that here today, so Americans can hear him reading from it.
[00:39:11.829 --> 00:39:12.889]  Home inspectors.
[00:39:13.389 --> 00:39:14.990]  Everything selectively enforced.
[00:39:15.799 --> 00:39:17.920]  Ladies and gentlemen, it is so off the charts.
[00:39:18.381 --> 00:39:21.783]  They're saying 2,500 to 2,800 more per person in the country.
[00:39:21.863 --> 00:39:22.864]  It's way more than that.
[00:39:23.144 --> 00:39:25.766]  Because it allows these unelected boards to do whatever they want.
[00:39:27.347 --> 00:39:29.648]  Including taxing human respiration.
[00:39:29.688 --> 00:39:33.811]  Did you know you put off two and a half pounds on average of carbon dioxide a day?
[00:39:35.000 --> 00:39:35.980]  It's what plants breathe.
[00:39:36.281 --> 00:39:37.141]  It's the life cycle.
[00:39:37.381 --> 00:39:38.742]  They're taxing the life cycle.
[00:39:38.822 --> 00:39:42.804]  It is the sickest, most diabolical tax ever thought of.
[00:39:43.004 --> 00:39:46.185]  So I'm going to go over the entire takeover next hour in detail.
[00:39:46.505 --> 00:39:47.866]  Right now, let's go to your phone calls.
[00:39:48.206 --> 00:39:50.367]  Barbara in Alabama, you're on the air.
[00:39:52.248 --> 00:39:52.528]  Hello.
[00:39:52.970 --> 00:39:53.671]  Yes, go ahead.
[00:39:54.131 --> 00:39:56.513]  Okay, well, this is Scott in Washington State.
[00:39:56.694 --> 00:39:59.116]  Okay, well, they got me the phone lines wrong, but just go ahead, Scott.
[00:39:59.236 --> 00:40:11.007]  Okay, yeah, I wanted to share with you a little bit of my experience when I tried to call those numbers that you guys gave out, telling them to say no on that 2454.
[00:40:11.767 --> 00:40:18.654]  Yeah, for those that don't know, and then they changed the bill number again last minute, that was the total complete
[00:40:19.469 --> 00:40:27.973]  Gigantic, thousand-plus page secret bill that no one could read until 30 minutes before, and one copy was given to the opposition.
[00:40:28.734 --> 00:40:32.416]  And it is worse than we even said.
[00:40:32.576 --> 00:40:34.257]  Total dictatorship.
[00:40:35.097 --> 00:40:38.159]  The Soviet Union wasn't this harsh over everything we do.
[00:40:38.619 --> 00:40:39.940]  And yes, tell folks what happened.
[00:40:40.220 --> 00:40:41.000]  I've been getting calls.
[00:40:41.060 --> 00:40:44.442]  Most people got laughed at when they called the Congress, but go ahead.
[00:40:45.054 --> 00:40:53.399]  Well, first of all, I called the switchboard in Washington, and it asked you for your area code to type in, you know, who your representative is.
[00:40:53.479 --> 00:40:55.980]  I knew what it was, but I typed it in anyway.
[00:40:56.000 --> 00:40:59.282]  You should be able to talk to whoever you want, by the way, but now they're trying to shut people off, yeah.
[00:40:59.742 --> 00:41:12.309]  Yeah, and then it patches you through to a number, and then I got this, well, the number you just called has been disconnected, so it gave me, well, it didn't route me back, but it gave me my local number to the local office.
[00:41:12.349 --> 00:41:13.730]  Yeah, let me be clear, exactly.
[00:41:14.250 --> 00:41:23.597]  What they do now is they just constantly, because a number be working for five minutes and it wouldn't be, they admit they have hundreds of numbers and they just keep flipping them back and forth.
[00:41:24.037 --> 00:41:27.919]  But I've talked to people I know who called who just got laughed at and hung up on.
[00:41:27.959 --> 00:41:28.300]  Go ahead.
[00:41:29.220 --> 00:41:34.144]  So anyway, so then I called the local number and I got a hold of one of the staffers or anyway.
[00:41:34.724 --> 00:41:41.729]  First the guy tries to tell me, because I told him about the, you know, the hundreds of pages that were flipped in and the fact that this was not
[00:41:42.384 --> 00:41:43.586]  Made available to the public.
[00:41:43.626 --> 00:41:47.291]  Well, first the guy tries to tell me, you know, that those reports were over-exaggerated.
[00:41:47.311 --> 00:41:47.712]  Now, stop.
[00:41:47.732 --> 00:41:48.413]  That's what I was about to say.
[00:41:48.433 --> 00:41:49.454]  They always lie.
[00:41:49.474 --> 00:41:52.018]  In fact, I'm surprised he just didn't say that wasn't true.
[00:41:52.538 --> 00:41:59.268]  It doesn't matter if they have the Speaker of the House on the podium saying, we're not going to give it to you.
[00:42:00.833 --> 00:42:03.376]  They are lying, degenerate scum!
[00:42:03.416 --> 00:42:04.256]  I'm sorry, go ahead.
[00:42:05.077 --> 00:42:07.399]  Well, he tried to tell me it was only 300 pages.
[00:42:07.459 --> 00:42:10.942]  Well, he was off by about a thousand pages, at least.
[00:42:11.042 --> 00:42:14.826]  It's only 300 and we only slipped in 300 and nobody can read it.
[00:42:15.366 --> 00:42:18.009]  I'm surprised they didn't laugh at you and say, sir, there's no Congress.
[00:42:18.569 --> 00:42:19.410]  You're mentally ill.
[00:42:20.146 --> 00:42:35.421]  And then he tried to tell me, well, they had been debating on it for weeks, and I told him, I said, well, according to the sources I got, that's not what I heard, and how come it hasn't been made available to the public, if this is such a wonderful bill, which, well, wasn't my main objective.
[00:42:35.461 --> 00:42:36.422]  Well, what did he say?
[00:42:36.482 --> 00:42:37.103]  More lies?
[00:42:37.823 --> 00:42:41.347]  Well, no, he said, well, you know, I'll take that in note, you know, and
[00:42:41.747 --> 00:42:42.868]  Well, look at what Bush did.
[00:42:42.888 --> 00:42:47.111]  Look at how Bush rushed the Patriot Act through while the Capitol was under anthrax attack to where nobody could even read it.
[00:42:47.151 --> 00:42:49.113]  All these really bad bills are passed.
[00:43:10.938 --> 00:43:12.859]  Uh, when they don't let people read the bill.
[00:43:13.159 --> 00:43:14.699]  So how did the conversation end, quickly?
[00:43:15.460 --> 00:43:26.683]  Oh, well basically that, what I just said, that he said that, you know, he'd take my name and number and that, you know, he was gonna, the congressman was gonna send out some kind of a... Yeah, so basically he pushed you off.
[00:43:27.163 --> 00:43:28.724]  Look, the Congress is criminal.
[00:43:29.304 --> 00:43:30.404]  They know they're criminal.
[00:43:30.644 --> 00:43:31.645]  We'll break it down when we get back.
[00:43:31.665 --> 00:43:32.445]  More calls, stay with me.
[00:43:33.680 --> 00:43:36.522]  Did you know that you can be tracked and traced when you're online?
[00:43:36.782 --> 00:43:44.667]  With identity theft and cyber crimes on the rise, your passwords, your identity, and even your physical location can be revealed to complete strangers.
[00:43:44.907 --> 00:43:48.590]  Would you like to surf the internet anonymously and not have to worry about these threats?
[00:43:48.850 --> 00:43:52.773]  Well, now you can by visiting patriotinternet.com for about $2 per month.
[00:43:53.513 --> 00:44:01.558]  PatriotInternet.com will conceal your IP address and your physical location, allowing you to browse the web, send emails, and instant message anonymously.
[00:44:01.718 --> 00:44:05.780]  PatriotInternet.com will bypass filters, block sites, and keyword blocking.
[00:44:06.020 --> 00:44:09.162]  You can also bypass logging by your router and your ISP.
[00:44:09.382 --> 00:44:16.006]  With PatriotInternet.com, there is no software to install and uses 128-bit encryption for your protection.
[00:44:16.246 --> 00:44:17.707]  When using wireless hotspots,
[00:44:17.987 --> 00:44:24.353]  PatriotInternet.com shields your information from identity thieves and is compatible with Windows, Mac, and Linux.
[00:44:24.634 --> 00:44:30.539]  Protect your identity and your freedom with anonymous internet access from PatriotInternet.com.
[00:44:30.760 --> 00:44:32.982]  Visit PatriotInternet.com today!
[00:44:34.127 --> 00:44:35.989]  The world appears to be on the brink of collapse.
[00:44:36.289 --> 00:44:43.155]  Experts say a pinch of heirloom vegetable seed could soon be the most valuable resource on earth because it will provide healthy food now and every year after.
[00:44:43.435 --> 00:44:49.280]  Survivalistseeds.com now has the heirloom garden seed time capsule, allowing you to store your seeds for the future anywhere.
[00:44:49.400 --> 00:45:03.929]  Even underground for 100 years, the Heirloom Garden Seed Time Capsule can withstand 3 tons of weight, is 100% roto-proof, waterproof, and comes with a whopping 6,000 healthy vegetable seeds from 20 varieties that will grow anywhere in the USA, unless you trust the government.
[00:45:03.989 --> 00:45:09.292]  The Heirloom Garden Seed Time Capsule and Heirloom Seeds from survivalistseeds.com is your long-term food solution.
[00:45:09.512 --> 00:45:14.074]  Our competition charges $0.10 to $1.25 per seed for these same heirloom varieties.
[00:45:14.134 --> 00:45:21.798]  But you can now have a head of lettuce, a bundle of carrots, a basket of tomatoes, a giant watermelon, and 16 other varieties for about a penny a seed each!
[00:45:21.818 --> 00:45:22.518]  Be prepared!
[00:45:22.598 --> 00:45:27.740]  Buy your heirloom seeds today from SurvivalistSeeds.com and have food insurance for your family forever!
[00:45:27.840 --> 00:45:29.601]  Visit SurvivalistSeeds.com.
[00:45:29.661 --> 00:45:31.842]  SurvivalistSeeds.com is owned by Big John Lipscomb.
[00:45:34.253 --> 00:45:39.278]  You've probably heard about the incredible, powerful, and natural antioxidants found in red wine.
[00:45:39.599 --> 00:45:43.663]  Unfortunately, not everyone is able to drink a glass of wine each day.
[00:45:44.064 --> 00:45:48.229]  Now, you don't have to drink even a single drop, thanks to NuRev.
[00:45:48.489 --> 00:45:54.436]  NuRev is America's number one anti-aging supplement, thanks to its active ingredient resveratrol.
[00:45:54.676 --> 00:46:06.301]  Resveratrol is the main nutrient found in red wine and has been proven to help slow down the aging process, help you lose weight, override an unhealthy lifestyle, boost your energy level, and so much more.
[00:46:06.701 --> 00:46:11.563]  New Rev has been the subject of some of the most exciting anti-aging research in decades.
[00:46:11.883 --> 00:46:12.183]  I think so.
[00:46:34.278 --> 00:46:36.881]  Hello, this is Alex Jones with some important questions.
[00:46:37.301 --> 00:46:42.267]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:46:42.627 --> 00:46:44.369]  My answer would be all I can get.
[00:46:44.669 --> 00:46:49.495]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:46:49.675 --> 00:46:50.596]  How much do you want?
[00:46:50.856 --> 00:46:51.596]  When do you want it?
[00:46:51.976 --> 00:46:53.577]  Now or after the battle starts?
[00:46:53.857 --> 00:46:54.678]  When will you need it?
[00:46:54.918 --> 00:46:56.999]  Can you buy it without proper identification?
[00:46:57.139 --> 00:46:58.239]  Will there be any food?
