[00:00:52.809 --> 00:00:53.669]  Look at this article.
[00:33:17.992 --> 00:33:18.913]  If you simply prepare.
[00:33:19.113 --> 00:33:22.095]  No one is going to take care of your family in the final equation but you.
[00:33:22.356 --> 00:33:29.261]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, Salmonella, genetic alteration, or Chinese imports.
[00:33:29.341 --> 00:33:32.464]  And they do it at almost half the cost of last year's grocery prices.
[00:33:32.624 --> 00:33:34.505]  Call 1-800-409-5633 or on the web go to eFoodsDirect.com
[00:33:37.768 --> 00:33:43.830]  Visit efoodsdirect.com and look over the fine list of high-quality, prescribed, and dehydrated foods they have to offer.
[00:33:44.030 --> 00:33:47.351]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:33:47.391 --> 00:33:48.532]  Again, 800-409-5633, or on the web at efoodsdirect.com.
[00:33:48.552 --> 00:33:49.192]  Take action today.
[00:33:49.212 --> 00:33:50.432]  The first step is getting storable food.
[00:34:00.774 --> 00:34:06.760]  If you've always wanted to experience the amazing benefits from using oil of oregano, the time to act is now!
[00:34:07.000 --> 00:34:13.447]  With so many places to choose from, where can you be 100% certain you're getting the highest quality oil for your dollar?
[00:34:13.607 --> 00:34:14.889]  The answer is simple.
[00:34:15.069 --> 00:34:16.430]  PureBulk.com.
[00:34:16.610 --> 00:34:21.035]  PureBulk.com brings you ultra-pure, non-diluted oil of oregano with
[00:34:21.135 --> 00:34:21.935]  We're good to go.
[00:34:45.183 --> 00:34:46.144]  Absolutely free!
[00:34:46.384 --> 00:34:49.687]  Just enter promotional code IODINE at website checkout.
[00:34:49.827 --> 00:34:51.349]  Visit purebulk.com.
[00:34:51.469 --> 00:34:52.550]  That's purebulk.com.
[00:34:52.710 --> 00:34:53.210]  Or call 406-251-3270.
[00:34:53.230 --> 00:34:53.511]  406-251-3270 today!
[00:34:53.551 --> 00:34:54.732]  He's the T-Rex of political talk.
[00:34:54.892 --> 00:34:56.133]  Alex Jones on the GCN Radio Network.
[00:35:14.560 --> 00:35:17.682]  Okay, we got a guest coming up on the economy and I want to take more of your calls.
[00:35:17.742 --> 00:35:20.724]  We'll also have open phones in the fourth hour and a ton of news I haven't gotten to.
[00:35:21.265 --> 00:35:22.946]  But I'm not here to bash cops.
[00:35:23.386 --> 00:35:27.169]  It doesn't help me if I just bash cops in the military all day.
[00:35:27.489 --> 00:35:32.613]  But the military, constitutionally and historically, can't be used domestically in law enforcement.
[00:35:32.853 --> 00:35:34.134]  Northcom's announced they are.
[00:35:34.594 --> 00:35:37.457]  They're putting them in major police departments, small departments.
[00:35:37.717 --> 00:35:39.799]  They're saying they're going to take on the American people.
[00:35:40.099 --> 00:35:44.022]  Then the DHS reports say the number one threat is veterans and conservatives and gun owners.
[00:35:44.543 --> 00:35:46.564]  Fox is saying, oh, look at Von Brun.
[00:35:47.325 --> 00:35:49.086]  We deserve to do DHS.
[00:35:49.146 --> 00:35:49.687]  It's right.
[00:35:49.727 --> 00:35:50.728]  The veterans are bad.
[00:35:51.008 --> 00:35:54.391]  They're teaching all the local departments that the vets are all going to be bombing them soon.
[00:35:54.711 --> 00:35:56.332]  Why would vets be bombing you soon?
[00:35:56.692 --> 00:35:59.615]  What is it the government's going to do so bad that vets would start bombing?
[00:36:01.314 --> 00:36:04.876]  See, you're an illegitimate government, and you're getting ready for war with the people.
[00:36:05.396 --> 00:36:11.778]  And this brainwashed vet, who thinks he's God, almost runs an ambulance off the road.
[00:36:12.019 --> 00:36:13.739]  The ambulance instantly gets over.
[00:36:14.280 --> 00:36:14.820]  Instantly!
[00:36:15.040 --> 00:36:16.581]  Here comes the car, 90 miles an hour.
[00:36:17.061 --> 00:36:18.161]  That ambulance is over.
[00:36:19.542 --> 00:36:26.925]  And then he drives recklessly through a neighborhood, chases the ambulance down, gets out,
[00:36:28.297 --> 00:36:31.241]  And starts yelling at him, telling him, you didn't get over quick.
[00:36:31.281 --> 00:36:34.245]  And the head EMT goes, you ran up on us.
[00:36:34.726 --> 00:36:35.287]  We got over.
[00:36:35.968 --> 00:36:37.630]  Play it from the time he jumps out again.
[00:36:37.650 --> 00:36:39.092]  And we're going to mute.
[00:36:39.172 --> 00:36:39.773]  We haven't edited this.
[00:36:39.793 --> 00:36:40.915]  We're going to mute the cuss words.
[00:36:40.935 --> 00:36:42.977]  So they're in there trying their best to mute it.
[00:36:43.658 --> 00:36:44.059]  Here we go.
[00:36:44.299 --> 00:36:44.740]  Here's the video.
[00:36:54.216 --> 00:36:54.476]  Now.
[00:36:55.216 --> 00:36:55.516]  There!
[00:36:55.757 --> 00:36:56.077]  Now!
[00:36:56.797 --> 00:36:57.417]  Oh, you now.
[00:36:57.437 --> 00:36:58.097]  What's the problem?
[00:36:58.117 --> 00:36:58.778]  What's going on?
[00:36:58.898 --> 00:37:00.198]  I'm talking to the driver.
[00:37:00.238 --> 00:37:01.118]  No, no, I'm talking to you.
[00:37:01.138 --> 00:37:01.658]  I'm the medic.
[00:37:01.678 --> 00:37:03.239]  No, you better get back in that ambulance.
[00:37:03.339 --> 00:37:04.419]  I'm talking to the driver.
[00:37:04.479 --> 00:37:05.840]  I'm in charge of this unit, sir.
[00:37:05.860 --> 00:37:06.220]  Okay.
[00:37:06.240 --> 00:37:07.380]  My name is Maurice White.
[00:37:07.420 --> 00:37:08.681]  I'm a critical care paramedic.
[00:37:08.801 --> 00:37:14.443]  I'm going to give you a ticket from failure to yield, and when I go by you saying what's going on, you don't need to give me no hand gestures now.
[00:37:14.463 --> 00:37:15.443]  I ain't going to put up with it.
[00:37:15.823 --> 00:37:16.644]  You understand me?
[00:37:16.924 --> 00:37:19.286]  And I won't put up with you talking to my driver like that.
[00:37:19.306 --> 00:37:20.426]  I ain't listening to you, buddy!
[00:37:20.547 --> 00:37:23.028]  You get your ass back in that ambulance, or I'll take you in!
[00:37:23.068 --> 00:37:24.169]  I'm talking to the driver!
[00:37:24.229 --> 00:37:25.010]  Only if you would.
[00:37:25.030 --> 00:37:25.850]  Come over here, Paul.
[00:37:25.870 --> 00:37:26.851]  No, we got a patient.
[00:37:26.931 --> 00:37:28.973]  No, we got a patient in this joint, right now.
[00:37:29.013 --> 00:37:35.317]  Okay, you want to go ahead and pull over to the side of the road when there's an emergency vehicle behind you?
[00:37:35.437 --> 00:37:37.939]  I did not run up on you quickly.
[00:37:37.959 --> 00:37:39.740]  I did not run up on you quickly, buddy.
[00:37:39.760 --> 00:37:40.301]  Yes, you did.
[00:37:40.321 --> 00:37:43.483]  You better get back in that ambulance before you get your butts in jail now.
[00:37:43.563 --> 00:37:44.344]  You understand me?
[00:37:44.884 --> 00:37:46.445]  We've got to get my patient to the hospital.
[00:37:46.465 --> 00:37:47.545]  You can take him to jail.
[00:37:47.565 --> 00:37:48.225]  We'll discuss this, okay?
[00:37:48.265 --> 00:37:48.486]  No, no.
[00:37:48.506 --> 00:37:49.406]  I've got a patient in this... Hey!
[00:37:49.466 --> 00:37:49.546]  Hey!
[00:37:49.586 --> 00:37:49.646]  Hey!
[00:37:49.686 --> 00:37:49.826]  Hey!
[00:37:49.846 --> 00:37:49.906]  Hey!
[00:37:49.926 --> 00:37:49.986]  Hey!
[00:37:50.046 --> 00:37:50.106]  Hey!
[00:37:50.126 --> 00:37:50.186]  Hey!
[00:37:50.226 --> 00:37:50.326]  Hey!
[00:37:50.346 --> 00:37:50.406]  Hey!
[00:37:50.426 --> 00:37:50.486]  Hey!
[00:37:50.506 --> 00:37:50.606]  Hey!
[00:37:50.626 --> 00:37:50.687]  Hey!
[00:37:50.747 --> 00:37:50.807]  Hey!
[00:37:50.847 --> 00:37:50.987]  Hey!
[00:37:51.047 --> 00:37:51.147]  Hey!
[00:37:51.207 --> 00:37:51.347]  Hey!
[00:37:51.367 --> 00:37:51.467]  Hey!
[00:37:51.547 --> 00:37:51.647]  Hey!
[00:37:51.667 --> 00:37:51.767]  Hey!
[00:37:51.807 --> 00:37:51.907]  Hey!
[00:37:51.947 --> 00:37:52.067]  Hey!
[00:37:52.107 --> 00:37:52.207]  Hey!
[00:37:52.227 --> 00:37:52.307]  Hey!
[00:37:52.407 --> 00:37:52.507]  Hey!
[00:37:52.567 --> 00:37:52.767]  Hey!
[00:37:52.787 --> 00:37:52.927]  Hey!
[00:37:52.947 --> 00:37:53.047]  Hey!
[00:37:53.148 --> 00:37:53.268]  Hey!
[00:37:53.288 --> 00:37:53.368]  Hey!
[00:37:53.388 --> 00:37:53.468]  Hey!
[00:37:53.488 --> 00:37:53.568]  Hey!
[00:37:53.648 --> 00:37:53.708]  Hey!
[00:37:53.728 --> 00:37:53.808]  Hey!
[00:37:53.828 --> 00:37:53.888]  Hey!
[00:37:53.968 --> 00:37:54.068]  Hey!
[00:37:54.148 --> 00:37:54.228]  Hey!
[00:37:54.248 --> 00:37:54.328]  Hey!
[00:37:54.348 --> 00:37:54.428]  Hey!
[00:37:54.508 --> 00:37:54.568]  Hey!
[00:37:54.588 --> 00:37:54.668]  Hey!
[00:37:54.708 --> 00:37:54.768]  Hey!
[00:37:54.808 --> 00:37:54.928]  Hey!
[00:37:54.948 --> 00:37:55.028]  Hey!
[00:37:55.108 --> 00:37:55.228]  Hey!
[00:37:55.308 --> 00:37:55.428]  Hey!
[00:37:55.509 --> 00:37:55.629]  Hey!
[00:37:55.649 --> 00:37:55.729]  Hey!
[00:37:55.749 --> 00:37:55.809]  Hey!
[00:37:55.829 --> 00:37:55.929]  Hey!
[00:37:55.969 --> 00:37:56.049]  Hey!
[00:37:56.129 --> 00:37:56.229]  Hey!
[00:37:56.249 --> 00:37:56.329]  Hey!
[00:37:56.429 --> 00:37:56.509]  Hey!
[00:37:56.529 --> 00:37:56.589]  Hey!
[00:37:56.609 --> 00:37:56.689]  Hey!
[00:37:56.749 --> 00:37:56.869]  Hey!
[00:37:56.889 --> 00:37:56.949]  Hey!
[00:37:56.969 --> 00:37:57.029]  Hey!
[00:37:57.049 --> 00:37:57.149]  Hey!
[00:37:57.209 --> 00:37:57.309]  Hey!
[00:37:57.529 --> 00:37:57.589]  Hey!
[00:37:57.609 --> 00:37:57.689]  Hey!
[00:37:57.709 --> 00:37:57.789]  Hey!
[00:37:57.890 --> 00:37:57.950]  Hey!
[00:37:57.970 --> 00:37:58.090]  Hey!
[00:37:58.130 --> 00:37:58.270]  Hey!
[00:37:58.310 --> 00:37:58.370]  Hey!
[00:37:58.430 --> 00:37:58.550]  Hey!
[00:37:58.610 --> 00:37:58.750]  Hey!
[00:37:58.770 --> 00:37:58.830]  Hey!
[00:37:58.870 --> 00:37:59.050]  Hey!
[00:37:59.110 --> 00:37:59.170]  Hey!
[00:37:59.190 --> 00:37:59.370]  Hey!
[00:37:59.410 --> 00:37:59.550]  Hey!
[00:37:59.570 --> 00:37:59.630]  Hey!
[00:38:00.250 --> 00:38:00.431]  Hey!
[00:38:00.451 --> 00:38:00.551]  Hey!
[00:38:00.591 --> 00:38:00.691]  Hey!
[00:38:00.711 --> 00:38:00.771]  Hey!
[00:38:00.791 --> 00:38:00.911]  Hey!
[00:38:00.951 --> 00:38:01.051]  Hey!
[00:38:01.091 --> 00:38:01.171]  Hey!
[00:38:01.211 --> 00:38:01.331]  Hey!
[00:38:01.411 --> 00:38:01.631]  Hey!
[00:38:01.651 --> 00:38:01.731]  Hey!
[00:38:01.751 --> 00:38:01.851]  Hey!
[00:38:01.871 --> 00:38:01.991]  Hey!
[00:38:02.031 --> 00:38:02.151]  Hey!
[00:38:02.171 --> 00:38:02.231]  Hey!
[00:38:02.271 --> 00:38:02.411]  Hey!
[00:38:03.172 --> 00:38:03.332]  Hey!
[00:38:03.372 --> 00:38:03.432]  Hey!
[00:38:03.452 --> 00:38:03.512]  Hey
[00:38:14.144 --> 00:38:15.489]  He's totally controlled.
[00:38:15.931 --> 00:38:17.536]  He's, I've got a patient, sir.
[00:38:19.203 --> 00:38:20.527]  We can do this at the hospital.
[00:38:22.703 --> 00:38:28.927]  No, it's all about him and his weird lawyer is in the paper saying that he didn't follow an order and they didn't get out of his way.
[00:38:29.547 --> 00:38:30.588]  You guys are cuckoo!
[00:38:30.608 --> 00:38:32.929]  Do you really believe the crap you're shoveling in people?
[00:38:33.650 --> 00:38:44.757]  You're trying to run an ambulance off the road, driving around like a maniac in neighborhoods, and then you assault people and choke them and all this stuff, and then they're the ones that are bad?
[00:38:46.912 --> 00:38:48.753]  I mean, you people are out of your minds.
[00:38:49.653 --> 00:38:50.933]  But you work for criminal bankers.
[00:38:50.953 --> 00:38:54.335]  They put you in power to carry out criminal activity against the people.
[00:38:54.575 --> 00:38:55.635]  And you're doing a great job.
[00:38:55.915 --> 00:38:56.916]  You're out of your mind.
[00:38:57.436 --> 00:38:59.236]  The sick part is these cops don't even think they're evil.
[00:38:59.436 --> 00:39:00.817]  They really believe they're on baloney.
[00:39:01.537 --> 00:39:04.238]  But the good cops out there, they're ashamed of you.
[00:39:04.638 --> 00:39:07.739]  And it's too bad you're tarnishing their name and the sacrifices they make.
[00:39:08.120 --> 00:39:11.241]  You are a shame to everybody.
[00:39:11.261 --> 00:39:12.001]  Let's go ahead and play it.
[00:39:12.810 --> 00:39:14.351]  Before you get your butt to jail now.
[00:39:14.431 --> 00:39:15.231]  You understand me?
[00:39:15.272 --> 00:39:17.273]  We gotta get my patient to the hospital.
[00:39:17.313 --> 00:39:18.814]  You can take him to jail.
[00:39:18.834 --> 00:39:19.694]  We'll discuss this, okay?
[00:39:19.734 --> 00:39:20.014]  Discuss?
[00:39:20.054 --> 00:39:20.735]  Come here, Paul.
[00:39:20.775 --> 00:39:20.955]  No, no.
[00:39:20.995 --> 00:39:23.717]  I got a patient in this... Get your ass... Turn around!
[00:39:24.037 --> 00:39:24.257]  Hey!
[00:39:24.297 --> 00:39:24.437]  Hey!
[00:39:24.517 --> 00:39:24.777]  Hey!
[00:39:24.857 --> 00:39:24.957]  Hey!
[00:39:25.058 --> 00:39:25.318]  Hey!
[00:39:25.398 --> 00:39:25.658]  Hey!
[00:39:25.718 --> 00:39:25.818]  Hey!
[00:39:25.838 --> 00:39:25.918]  Hey!
[00:39:25.998 --> 00:39:26.158]  Hey!
[00:39:26.218 --> 00:39:26.338]  Hey!
[00:39:26.418 --> 00:39:26.518]  Hey!
[00:39:26.558 --> 00:39:26.679]  Hey!
[00:39:26.739 --> 00:39:26.819]  Hey!
[00:39:26.859 --> 00:39:26.939]  Hey!
[00:39:27.019 --> 00:39:27.199]  Hey!
[00:39:27.339 --> 00:39:27.559]  Hey!
[00:39:27.679 --> 00:39:27.839]  Hey!
[00:39:27.879 --> 00:39:28.199]  Hey!
[00:39:28.440 --> 00:39:28.580]  Hey!
[00:39:28.600 --> 00:39:28.660]  Hey!
[00:39:28.780 --> 00:39:29.000]  Hey!
[00:39:29.060 --> 00:39:29.160]  Hey!
[00:39:29.180 --> 00:39:29.260]  Hey!
[00:39:29.320 --> 00:39:29.420]  Hey!
[00:39:29.520 --> 00:39:29.660]  Hey!
[00:39:29.680 --> 00:39:29.780]  Hey!
[00:39:29.860 --> 00:39:29.981]  Hey!
[00:39:30.041 --> 00:39:30.281]  Hey!
[00:39:30.361 --> 00:39:30.541]  Hey!
[00:39:30.561 --> 00:39:30.641]  Hey!
[00:39:30.681 --> 00:39:30.761]  Hey!
[00:39:30.881 --> 00:39:31.141]  Hey!
[00:39:31.281 --> 00:39:31.381]  Hey!
[00:39:31.401 --> 00:39:31.622]  Hey!
[00:39:31.702 --> 00:39:32.042]  Hey!
[00:39:32.062 --> 00:39:32.122]  Hey!
[00:39:32.202 --> 00:39:32.342]  Hey!
[00:39:32.402 --> 00:39:32.542]  Hey!
[00:39:32.582 --> 00:39:32.762]  Hey!
[00:39:32.842 --> 00:39:33.002]  Hey!
[00:39:33.102 --> 00:39:33.263]  Hey!
[00:39:33.343 --> 00:39:33.603]  Hey!
[00:39:33.663 --> 00:39:33.883]  Hey!
[00:39:33.923 --> 00:39:34.003]  Hey!
[00:39:34.023 --> 00:39:34.183]  Hey!
[00:39:34.243 --> 00:39:34.303]  Hey!
[00:39:34.463 --> 00:39:34.643]  Hey!
[00:39:34.784 --> 00:39:34.984]  Hey!
[00:39:35.064 --> 00:39:35.164]  Hey!
[00:39:35.184 --> 00:39:35.344]  Hey!
[00:39:35.424 --> 00:39:35.604]  Hey!
[00:39:35.684 --> 00:39:35.784]  Hey!
[00:39:35.864 --> 00:39:36.064]  Hey!
[00:39:36.084 --> 00:39:36.164]  Hey!
[00:39:36.304 --> 00:39:36.545]  Hey!
[00:39:36.565 --> 00:39:36.625]  Hey!
[00:39:36.685 --> 00:39:36.845]  Hey!
[00:39:36.905 --> 00:39:37.025]  Hey!
[00:39:37.045 --> 00:39:37.205]  Hey!
[00:39:37.225 --> 00:39:37.325]  Hey!
[00:39:37.405 --> 00:39:37.565]  Hey!
[00:39:37.665 --> 00:39:37.765]  Hey!
[00:39:37.825 --> 00:39:38.005]  Hey!
[00:39:38.126 --> 00:39:38.246]  Hey!
[00:39:38.286 --> 00:39:38.446]  Hey!
[00:39:38.486 --> 00:39:38.686]  Hey!
[00:39:38.786 --> 00:39:38.886]  Hey!
[00:39:38.906 --> 00:39:39.026]  Hey!
[00:39:39.086 --> 00:39:39.266]  Hey!
[00:39:39.286 --> 00:39:39.526]  Hey!
[00:39:39.626 --> 00:39:39.807]  Hey!
[00:39:39.867 --> 00:39:40.027]  Hey!
[00:39:40.167 --> 00:39:40.387]  Hey!
[00:39:40.467 --> 00:39:40.527]  Hey!
[00:39:40.607 --> 00:39:40.727]  Hey!
[00:39:40.807 --> 00:39:40.867]  Hey!
[00:39:40.887 --> 00:39:41.067]  Hey!
[00:39:41.127 --> 00:39:41.287]  Hey!
[00:39:41.308 --> 00:39:41.408]  Hey!
[00:39:41.588 --> 00:39:41.828]  Hey!
[00:39:41.908 --> 00:39:42.108]  Hey!
[00:39:42.248 --> 00:39:43.929]  Now here's the EMT.
[00:39:44.289 --> 00:39:48.851]  As they're choking him, another cop's running around now.
[00:40:11.127 --> 00:40:15.711]  And we have the video up close of that from the handheld camera, the cell phone camera.
[00:40:16.052 --> 00:40:20.456]  He's calmly being choked and they're saying, turn down, you know, submit, don't fight back, while they're choking him.
[00:40:20.796 --> 00:40:24.119]  And he's sitting there calmly with his hands going, you're the one choking me, calm down.
[00:40:24.420 --> 00:40:25.401]  He's the real man.
[00:40:25.701 --> 00:40:28.063]  He's the guy on the right who put up with your crap.
[00:40:28.804 --> 00:40:32.748]  I don't know if I can handle somebody shoving me around, attacking me, acting all nuts in my face.
[00:40:33.871 --> 00:40:43.838]  And the cop starts assaulting him, and the big black guy's just controlling him with ease, going, now stop that, until the next cop shows up and he figures out, these cops are about to kill me, I better let them go ahead and hurt me.
[00:40:43.858 --> 00:40:49.541]  And he goes, okay, go ahead and hurt me, and they get off on the cult of torturing him, and you see them getting off on it.
[00:40:49.561 --> 00:40:51.663]  I mean, you guys are out of your minds.
[00:40:52.143 --> 00:40:53.164]  And then finally, another...
[00:40:54.574 --> 00:40:59.917]  Higher-level state police shows up and tells them stop it because it's obviously very embarrassing and insane.
[00:41:00.797 --> 00:41:03.138]  Finally, a state trooper with half a brain shows up here in the background.
[00:41:03.378 --> 00:41:04.419]  Okay, that's enough, let him go.
[00:41:05.720 --> 00:41:08.861]  But the two lunatics that first show up, they're just out of their minds!
[00:41:11.783 --> 00:41:13.343]  Out of your minds!
[00:41:14.724 --> 00:41:15.885]  Out of your minds!
[00:41:18.203 --> 00:41:24.408]  Don't you even care about yourselves driving around at 90 miles an hour on windy, hilly roads with rotten shoulders in Oklahoma?
[00:41:25.268 --> 00:41:26.629]  As bad as the roads in East Texas?
[00:41:26.990 --> 00:41:31.493]  And the ambulance pulls over instantly for you and that's not good enough?
[00:41:31.873 --> 00:41:33.935]  You flip out because you're showing off for your wife?
[00:41:34.395 --> 00:41:36.657]  You've got PTSD, guaranteed.
[00:41:36.677 --> 00:41:37.557]  You're out of your mind.
[00:41:37.878 --> 00:41:42.501]  Admit you did wrong and start being a man instead of acting like a big baby.
[00:41:44.202 --> 00:41:46.284]  Because you're going to lose all the respect you got with the people.
[00:41:47.642 --> 00:41:49.022]  And it's not going to go well for the police.
[00:41:49.142 --> 00:41:50.043]  I'm just telling you right now.
[00:41:50.103 --> 00:41:52.943]  The people are getting sick of your red coat activities.
[00:41:54.324 --> 00:41:58.145]  Alright, I apologize about getting our guest on ten minutes late, but I wanted to finish that video.
[00:42:01.286 --> 00:42:04.026]  Perhaps at the end of the show we'll play a clip of him choking him up close.
[00:42:04.527 --> 00:42:07.948]  But Thomas Woods, author of Meltdown, is on with us for the rest of the hour.
[00:42:12.025 --> 00:42:14.367]  We appreciate him coming on the show.
[00:42:14.927 --> 00:42:18.490]  He is a senior fellow with the Lubbock-Von Mies Institute with Ron Paul.
[00:42:18.810 --> 00:42:24.115]  He holds a bachelor's degree in history from Harvard and his master's and PhD from Columbia University.
[00:42:24.135 --> 00:42:35.644]  He's an author of nine books, including two New York Times bestsellers, Meltdown, A Free Market Look, and Why the Stock Market Collapsed, The Economy Tank, and Government Bailouts Will Make Things Worse, and The Politically Incorrect Guide to American History.
[00:42:36.707 --> 00:42:44.035]  So, he joins us right now, Thomas E. Woods, to give us his perspective on what's happening with the economy and where the government's taking us.
[00:42:44.315 --> 00:42:45.476]  Thanks for coming on, Mr. Woods.
[00:42:45.797 --> 00:42:46.277]  My pleasure.
[00:42:46.838 --> 00:42:47.138]  You bet.
[00:42:47.478 --> 00:42:51.443]  Okay, tell us from the Von Mies Austrian School angle.
[00:42:52.765 --> 00:42:54.787]  What's really happened here and where we're going?
[00:42:54.807 --> 00:43:00.153]  I think the only point of disagreement we may have is that I know this is engineered from the IMF World Bank documents.
[00:43:00.473 --> 00:43:05.358]  They implode things by design to then bring in even more control in the next phase of their Ponzi scheme.
[00:43:05.639 --> 00:43:11.565]  I don't know your view on that, but I do agree with you regardless that government's quote, making it worse for the common person.
[00:43:11.605 --> 00:43:11.965]  Go ahead.
[00:43:12.206 --> 00:43:15.169]  Well, there's certainly the case that regardless of where these
[00:43:16.563 --> 00:43:20.205]  I mean, I argue that it's what the Fed is doing to us.
[00:43:20.245 --> 00:43:22.606]  The Federal Reserve gives rise to these busts.
[00:43:23.106 --> 00:43:29.588]  The bottom line is that they always use the bust that they brought about as a pretext to get more power over us.
[00:43:29.688 --> 00:43:31.509]  It's a perverse dynamic.
[00:43:32.029 --> 00:43:43.294]  And unfortunately, we have so many people who are right now, because of Obama and his alleged charisma, we have people who are so zombified that they're just going to sit back and go along with what's being said.
[00:43:43.314 --> 00:43:45.895]  And I think it could not be more important.
[00:43:46.483 --> 00:43:59.950]  For people who believe in freedom and who actually believe in a real free economy, not a manipulated one, to be able to answer these people, to show that every single thing they're recommending would make things worse.
[00:44:00.031 --> 00:44:06.034]  All the fiscal stimulus nonsense, the monetary stimulus nonsense, printing up money, every one of these suggestions
[00:44:06.903 --> 00:44:20.664]  You could make a superficially plausible argument for, but if you get one millimeter beneath the surface, every bit of it makes us poorer and gives them pretext for still more power because they perpetuate the depression.
[00:44:21.986 --> 00:44:22.946]  Let's start with GM.
[00:44:22.966 --> 00:44:27.928]  Let's kind of start at the end, and then after the break, go back to the beginning of these monetary systems.
[00:44:28.709 --> 00:44:43.055]  $30 billion to give it to select globalist crony capitalism or monopoly capitalism, non-free market groups, to then give it to the Brazilians, give pieces to the Chinese and to the Russians and to the Europeans.
[00:44:43.515 --> 00:44:50.638]  Having it off where the President fires the CEO because he won't do it, hijacks it, and now it's confirmed in Congress, as I'm sure you know,
[00:44:51.158 --> 00:44:58.621]  That if you give Democratic donations to Democratic Congress people, they'll allow your GM dealership to stay open.
[00:44:58.701 --> 00:45:00.842]  If not, they grab it and give it to somebody else.
[00:45:01.122 --> 00:45:05.484]  So it's Chicago, big city machine robbing everybody.
[00:45:05.824 --> 00:45:09.666]  And that's, as you said, only one millimeter in to quote, saving GM.
[00:45:10.268 --> 00:45:10.869]  Absolutely.
[00:45:11.029 --> 00:45:15.173]  And meanwhile, we're being told that this is the last thing Obama wants to do.
[00:45:15.213 --> 00:45:16.434]  He doesn't want to run GM.
[00:45:16.594 --> 00:45:22.119]  So, you know, the usual, I think my usual rule of thumb is whatever they say, the opposite is true.
[00:45:22.199 --> 00:45:27.364]  So when he says he just absolutely hates the idea of running GM, you know, sorry, I guess I just don't buy that.
[00:45:27.404 --> 00:45:35.311]  But we're being told that eventually, don't worry, you know, the government is going to sell off its share of GM and return it to private hands and don't worry about it.
[00:45:35.971 --> 00:45:47.075]  After however long they're going to have it, I don't know, a year, two years, who knows how long, and they mismanage it inevitably, they use it as a big pork barrel thing, who would want to buy it?
[00:45:47.135 --> 00:45:49.235]  I mean, they're going to run the thing even further into the ground.
[00:45:49.535 --> 00:45:50.516]  Who are they going to sell it to?
[00:45:50.776 --> 00:45:54.297]  So they're going to wind up having it forever, as far as I can see.
[00:45:54.844 --> 00:46:00.888]  Well, I mean, having the skeleton, it's kind of like they've eaten all the meat off the turkey and there's bones laying there.
[00:46:00.968 --> 00:46:14.157]  They're giving it to little select cronies, you know, big pieces of it, and then making us finance, kind of like a new IMF World Bank boondoggle, but through the vehicle of GM.
[00:46:14.897 --> 00:46:19.962]  And it's worth noting that, you know, GM is obviously not the only bankruptcy we've had going on.
[00:46:19.982 --> 00:46:25.646]  We've had major, major bankruptcies of major chains, everything from Lennon's and things to Circuit City.
[00:46:26.107 --> 00:46:33.393]  And the rule is that if you can't get financing to keep your operation running during the bankruptcy proceedings, then you've got to liquidate, and that's the end of it.
[00:46:33.933 --> 00:46:38.517]  So, Circuit City and Lennon's and things, a lot of these companies couldn't get that financing, so they liquidated.
[00:46:38.917 --> 00:46:39.997]  Stay there, we got a break.
[00:46:40.457 --> 00:46:43.798]  And then now on top of it, they're saying they're going to bail out the media.
[00:46:44.098 --> 00:46:45.479]  That means merging with the government.
[00:46:45.499 --> 00:46:52.700]  ABC News is announcing they're getting fully behind socialized health care and will now become an organ officially of the White House.
[00:46:52.740 --> 00:46:54.421]  That's a headline at InfoWars.com.
[00:46:54.781 --> 00:46:57.402]  We've got the author Thomas Woods on ThomasWoods.com.
[00:46:57.682 --> 00:46:58.682]  Stay with us, we'll be right back.
[00:47:02.153 --> 00:47:12.460]  The New World Order Beast is genetically modifying your food, mixing vegetables with animals, and now experimenting with viruses.
[00:47:13.340 --> 00:47:18.844]  Without a long-term food solution, you will have just two options.
[00:47:19.324 --> 00:47:21.946]  Starve or surrender.
[00:47:22.787 --> 00:47:27.650]  All canned food supplies will eventually run out.
[00:47:28.150 --> 00:47:28.750]  What then?
[00:47:30.527 --> 00:47:33.369]  Grow your own healthy food and feed your family forever.
[00:47:33.589 --> 00:47:37.771]  SurvivalistSeeds.com is now the nation's largest bulk heirloom seed company.
[00:47:37.911 --> 00:47:40.793]  And it's owned by a real patriot, Big John Lipscomb.
[00:47:40.873 --> 00:47:47.916]  You can now have an infinite amount of healthy vegetables like a watermelon, a bundle of carrots or tomatoes for a little more than a penny each.
[00:47:48.116 --> 00:47:49.897]  SurvivalistSeeds.com.
[00:47:50.018 --> 00:47:55.420]  And now you can go into business with Big John at SurvivalistSeeds.com by becoming an affiliate.
[00:47:55.600 --> 00:47:57.421]  See his link at SurvivalistSeeds.com.
[00:48:01.403 --> 00:48:06.636]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:48:07.436 --> 00:48:12.781]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:48:13.301 --> 00:48:19.506]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:48:19.806 --> 00:48:21.628]  Well, Obama's already fudging.
[00:48:21.788 --> 00:48:24.170]  He's fudged since day one of this election.
