[00:00:00.908 --> 00:00:10.052]  Prepare yourself for a talk radio experience like no other.
[00:27:45.516 --> 00:27:46.776]  Again, that was in Newsweek.
[00:27:46.796 --> 00:27:52.539]  You can just Google, uh, New World Bank Newsweek a few issues ago.
[00:27:52.799 --> 00:27:54.299]  Let's go ahead and go to your phone calls.
[00:27:55.240 --> 00:27:56.060]  Let's talk to, uh,
[00:27:56.738 --> 00:27:58.400]  Joseph in California.
[00:27:58.440 --> 00:27:59.421]  You're on the air, Joseph.
[00:28:00.562 --> 00:28:01.182]  Hello, Alex.
[00:28:01.643 --> 00:28:01.943]  Yes, sir.
[00:28:03.104 --> 00:28:05.086]  I would like to give you a most sincere thank you.
[00:28:05.206 --> 00:28:09.390]  If it weren't for you, I wouldn't be awake right now to the horrible things that are occurring.
[00:28:10.511 --> 00:28:11.753]  I really, really do thank you.
[00:28:13.174 --> 00:28:19.340]  I would definitely like to get in on the subject about how Obama wants animals to be able to sue people.
[00:28:19.986 --> 00:28:25.048]  Now, we're pretty close to that as it is, with all these animal rights movements and laws.
[00:28:25.529 --> 00:28:37.234]  I dealt with something in Florida where when the economy went downhill, I lost work, I lost my place, and living out of my car, and we had two cats and my girlfriend, and looking inside for a job off the internet.
[00:28:38.228 --> 00:28:46.210]  Cops went out there and ticketed us for $285 apiece on tickets and then we had to have our cat's papers.
[00:28:46.610 --> 00:28:50.611]  So no longer can we, we have to leave the house with our papers before taking our pets.
[00:28:50.651 --> 00:28:52.191]  We have to have our pet's papers too.
[00:28:53.211 --> 00:28:54.032]  For their shots.
[00:28:54.132 --> 00:28:55.772]  Like they're going to have rabies or something.
[00:28:55.792 --> 00:28:56.932]  These are house cats.
[00:28:56.992 --> 00:29:04.414]  Well there's also, under the Animal ID and Primus Society, there's a lot of hobby farmers that have 10, 15, 20 chickens, a couple pigs, a few cows.
[00:29:05.114 --> 00:29:06.676]  You're going to have to register all those.
[00:29:07.016 --> 00:29:09.860]  The chickens for $20 apiece, the cows for $100 apiece.
[00:29:10.421 --> 00:29:13.945]  But then all the big farms and big agribusiness, they're all exempted.
[00:29:14.045 --> 00:29:16.188]  So, it's not about animal welfare.
[00:29:16.588 --> 00:29:24.018]  In fact, his new head of regulations, who wrote these papers about animals being able to sue you, says the government will represent the animals.
[00:29:24.822 --> 00:29:28.963]  And they say that then in a democracy, the animals will outvote the people.
[00:29:29.003 --> 00:29:32.004]  But again, it'll be the government saying they represent animals.
[00:29:32.404 --> 00:29:37.665]  That's a way to get around the quote, people's popular will, and say, well, we're representing these animals.
[00:29:38.826 --> 00:29:47.068]  It's the same thing where they'll, all over the country, they've been caught planting, and I appreciate your call, planting endangered species.
[00:29:47.208 --> 00:29:51.029]  Just Google environmentalists caught planting endangered species.
[00:29:52.160 --> 00:29:56.385]  There was a famous case in South Dakota where they were caught planting cougars.
[00:29:56.946 --> 00:29:58.307]  They've been caught planting birds.
[00:29:58.347 --> 00:30:05.555]  The government's been caught planting fish in ponds that, again, regionally are endangered.
[00:30:05.595 --> 00:30:07.637]  It means in that area there's not a lot of them.
[00:30:08.278 --> 00:30:10.841]  They've been caught planting cave bugs in Central Texas.
[00:30:12.016 --> 00:30:22.318]  So again, it's not about saving the environment, it's about, well take the case of the city of Austin, stole tens of thousands of acres, claimed it was going to be parkland, turned around and built million dollar ranchette houses all over it.
[00:30:23.098 --> 00:30:29.379]  And it turned out it was all these different city council people involved with the very banks that would then finance selling the property once they had control of it.
[00:30:29.839 --> 00:30:31.480]  So it's bad.
[00:30:31.500 --> 00:30:33.320]  It's all about regulation and control.
[00:30:33.660 --> 00:30:35.680]  Dan in Connecticut, you're on the air.
[00:30:37.001 --> 00:30:37.981]  Hey, how are you today?
[00:30:39.333 --> 00:30:40.759]  I actually have good news for you.
[00:30:40.799 --> 00:30:44.153]  You know that case that got Barry Cooper into Odessa, Texas?
[00:30:45.379 --> 00:30:55.383]  I actually talked to Yolanda Madden's father and I got a case narrative and I talked with one of your previous guests about it, Randy Kelton, he does a show called... Let me just stop you.
[00:30:55.923 --> 00:31:13.130]  A lot of folks that call in, we don't screen your calls, think we're having a private discussion and so a lot of people don't know that Barry Cooper is a former narcotics officer that has reported that 85% of narcotics officers plant drugs on people, he's done stings, now that he quit being a police officer,
[00:31:13.850 --> 00:31:16.432]  Of the police doing things like this or not having warrants.
[00:31:17.712 --> 00:31:19.934]  And so now you've brought people up to speed.
[00:31:21.194 --> 00:31:22.095]  Okay, excellent.
[00:31:22.355 --> 00:31:31.280]  Aside from the merits of the case, which I'm sure you're familiar with, the due process violations alone should be enough to get Yolanda out of jail.
[00:31:32.161 --> 00:31:34.982]  Yes, well let me tell people specifically about Yolanda's case.
[00:31:35.723 --> 00:31:39.945]  Well, Yolanda actually had a judge interfere with counsel
[00:31:40.780 --> 00:31:55.592]  And basically what happened is the judge ordered the counsel that she'd actually fired to file motions on her behalf anyway, did nothing through the trial, said file a motion for continuance, and the guy did it anyway and the judge denied it anyway.
[00:31:55.752 --> 00:32:05.941]  Well yeah, I mean routinely in these court cases, that's just one specific one, they cheat and violate every rule and that's why the judicial system is so corrupt now.
[00:32:06.425 --> 00:32:07.485]  I appreciate your call.
[00:32:08.025 --> 00:32:10.726]  Let's go ahead and talk to Steve in Pennsylvania.
[00:32:10.766 --> 00:32:11.566]  Steve, you're on the air.
[00:32:12.286 --> 00:32:13.146]  Good afternoon, Alex.
[00:32:13.686 --> 00:32:13.866]  Hi.
[00:32:15.227 --> 00:32:20.928]  In just seven days, on February 1st, 2009, in Tampa, Florida, they'll be playing the Super Bowl.
[00:32:21.088 --> 00:32:24.608]  Steelers will be going after the sixth Super Bowl ring.
[00:32:26.208 --> 00:32:29.389]  Years ago, a movie came out called The Sum of All Fears.
[00:32:29.729 --> 00:32:29.969]  Yes.
[00:32:30.469 --> 00:32:33.910]  And to get the people's minds off the banking crisis,
[00:32:35.518 --> 00:32:36.819]  Well, I hear what you're saying.
[00:32:36.839 --> 00:32:39.441]  The globalists like to brag before they do something.
[00:32:39.621 --> 00:32:42.162]  That's why I talked to the producers of the X-Files.
[00:32:42.182 --> 00:32:44.304]  They were approached by the CIA, had plots planted on them.
[00:33:05.325 --> 00:33:11.967]  And six months before 9-11, they had an episode where a hijacked jet is hijacked by the Pentagon.
[00:33:12.427 --> 00:33:20.109]  They use a drill to make the rest of NORAD stand down, saying it's a drill to fly it into the World Trade Center by remote control to blame it on Afghan terrorists.
[00:33:20.949 --> 00:33:32.832]  But when we start seeing every plot in a movie or television and thinking then, I mean, it's true on FX, they had a show called Oil Storm that even had the mayor of New Orleans in it.
[00:33:33.311 --> 00:33:40.814]  Where the city floods and exactly what happened in the film Oil Storm, that aired on FX one year before it actually happened in New Orleans.
[00:33:40.874 --> 00:33:41.734]  So it is bizarre.
[00:33:41.774 --> 00:33:42.494]  Is it coincidence?
[00:33:43.054 --> 00:33:43.474]  I don't know.
[00:33:43.534 --> 00:33:54.058]  What we do know is it's declassified that elements of the Pentagon have staged hundreds of terror attacks worldwide and proposed staging terror attacks in the United States in Operation Northwoods
[00:33:54.801 --> 00:34:01.529]  As a pretext to get people's minds off political things that are happening and to motivate the people to unify around the government's unpopular policy.
[00:34:02.490 --> 00:34:11.400]  And just a few months ago, it was all over the British and French and German and Chinese press that the RAM Corporation document leaked, a big Pentagon
[00:34:19.173 --> 00:34:25.596]  You just can't put a name or a date or a time on it.
[00:34:26.077 --> 00:34:32.700]  But do I think that the establishment to get the people to go along and to be distracted from the foreign banks taking over or openly the U.S.
[00:34:32.720 --> 00:34:36.902]  going into receivership to private banks and a world government bank openly being set up
[00:34:38.151 --> 00:34:39.391]  Will they stage a terror attack?
[00:34:39.431 --> 00:34:40.692]  Will they provocateur something?
[00:34:40.772 --> 00:34:43.993]  I had Congressman Ron Paul on the radio show Tuesday.
[00:34:46.334 --> 00:34:53.816]  Literally during the inauguration, he was on the show, and he agreed and said he believes it's a very serious danger, that they will stage some type of event.
[00:34:54.416 --> 00:34:59.458]  And he said in the past, a Gulf of Tonkin style event is what he thought Dick Cheney would do to go after Iran.
[00:34:59.478 --> 00:35:03.959]  He said that about two years ago, then it came out about eight months ago in New Yorker magazine.
[00:35:04.080 --> 00:35:05.420]  Cy Hirsch gave an interview and admitted
[00:35:05.970 --> 00:35:09.474]  That White House sources... Seymour Hersh, Pulitzer Prize winner, doesn't lie, folks.
[00:35:09.494 --> 00:35:10.355]  He's always been proven right.
[00:35:10.715 --> 00:35:11.456]  Back to Vietnam.
[00:35:11.957 --> 00:35:15.620]  That the White House wanted to stage a terror attack in the Strait of Hormuz.
[00:35:17.461 --> 00:35:19.102]  Hey Alex, how are you doing?
[00:35:41.036 --> 00:35:49.202]  I just wanted to talk about a possible civil war in the United States and I guess I wanted your input on it.
[00:35:49.762 --> 00:36:03.571]  I was on the internet last night and apparently there's a former KGB agent who was under, who 10 years ago he claimed, because everyone laughed at him.
[00:36:03.611 --> 00:36:05.112]  More than 10 years ago, he said it in 92.
[00:36:06.813 --> 00:36:16.618]  He said that the United States will collapse and break into six parts, and that it's part of the New Order plan.
[00:36:16.638 --> 00:36:18.940]  That's the piece of the issue you don't hear in our news.
[00:36:19.520 --> 00:36:22.421]  But it's not just him.
[00:36:23.402 --> 00:36:24.262]  I didn't hang up on you, sir.
[00:36:24.282 --> 00:36:25.063]  Your phone disconnected.
[00:36:25.083 --> 00:36:28.024]  You can call back if you want to hear more of what you have to say.
[00:36:28.264 --> 00:36:29.345]  But to fill folks in on that.
[00:36:31.053 --> 00:36:36.479]  The Army War College came out a month ago and said the United States could break up unless they put troops on the streets, basically.
[00:36:37.661 --> 00:36:42.767]  The British Ministry of Defense report in late 2007 said the same thing.
[00:36:43.708 --> 00:36:46.571]  The RAND Corporation, speak of the devil, said the same thing as well.
[00:36:47.532 --> 00:36:48.153]  We'll be right back.
[00:36:48.173 --> 00:36:51.136]  The news websites are InfoWars.com and PrisonPlanet.com.
[00:36:51.156 --> 00:36:51.557]  Stay with us.
[00:36:53.072 --> 00:37:03.155]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh, nutritious vegetables will make it to your dinner table?
[00:37:03.636 --> 00:37:04.696]  Garden in a Can!
[00:37:05.056 --> 00:37:08.617]  Garden in a Can is your source for premium, long-term, storable seeds.
[00:37:09.197 --> 00:37:10.958]  Garden in a Can is ready when you are.
[00:37:11.198 --> 00:37:13.539]  Plant them now or store them for when you really need them.
[00:37:13.979 --> 00:37:19.561]  There are 16 large, hermetically sealed, non-hybrid, open-pollinated packets of seeds, along with detailed
[00:37:19.701 --> 00:37:22.966]  Lighting instructions sealed in a can for ultimate long-term protection.
[00:37:23.644 --> 00:37:24.665]  Garden in a Can.
[00:37:25.065 --> 00:37:25.925]  It's that simple.
[00:37:26.265 --> 00:37:28.146]  Fresh, healthy, easy.
[00:37:28.667 --> 00:37:32.629]  Only $69.95 for over a half acre of safe fresh vegetables.
[00:37:33.009 --> 00:37:33.929]  Ready when you are.
[00:37:34.590 --> 00:37:38.211]  Stop procrastinating and start preparing with Garden in a Can.
[00:37:38.652 --> 00:37:41.753]  For more details visit GardenInACan.com today.
[00:37:42.133 --> 00:37:44.675]  That's GardenInACan.com or call 866-598-7396.
[00:37:44.695 --> 00:37:44.735]  866-598-7396.
[00:37:56.198 --> 00:37:58.979]  Are you one of the millions of people who make New Year's resolutions?
[00:37:59.259 --> 00:38:02.820]  Are you also one of the millions who wind up breaking those resolutions?
[00:38:03.221 --> 00:38:06.142]  Would you like to keep at least one of those resolutions this year?
[00:38:06.322 --> 00:38:09.283]  Well, right now, success is one click away.
[00:38:09.443 --> 00:38:13.124]  Let this be the year you are going to protect yourself year-round.
[00:38:13.364 --> 00:38:18.546]  Pepperspray.com can help keep you safe by offering you the largest assortment of pepper spray.
[00:38:18.646 --> 00:38:18.966]  I think so.
[00:38:38.456 --> 00:38:38.616]  1-800-908-9988.
[00:38:38.636 --> 00:38:38.897]  That's 1-800-908-9988.
[00:38:38.937 --> 00:38:41.200]  Pepperspray.com wishes you and yours a safe and happy 2009!
[00:38:53.307 --> 00:38:56.589]  The United States is bankrupt and the bankers want you bankrupt also.
[00:38:56.849 --> 00:38:59.191]  How would you like to be debt free in 90 days?
[00:38:59.311 --> 00:38:59.991]  Guaranteed!
[00:39:00.371 --> 00:39:07.015]  DebtCrisisSolutions.com has helped tens of thousands out of debt since 1993 and will free you from the debt trap.
[00:39:07.295 --> 00:39:15.020]  DebtCrisisSolutions.com legally guarantees to put an end to wage garnishment, bank levies and liens and you won't pay one dime to creditors.
[00:39:15.260 --> 00:39:18.962]  With Debt Crisis Solutions program, you'll also restore your credit history.
[00:39:19.102 --> 00:39:19.562]  We're good to go.
[00:39:41.491 --> 00:39:44.175]  That's 718-615-0123.
[00:39:45.016 --> 00:39:49.382]  Or visit them online at DebtCrisisSolutions.com.
[00:39:49.482 --> 00:39:52.467]  That's DebtCrisisSolutions.com today.
[00:39:52.887 --> 00:39:57.434]  Phase 1 of the Insiders Plan for a One World Government has been initiated with the recent bailout.
[00:39:57.794 --> 00:40:05.018]  International bankers and power brokers have engineered the current crisis to create a new currency and a new world bank to act as savior.
[00:40:05.258 --> 00:40:06.639]  But we've only seen the beginning.
[00:40:06.839 --> 00:40:10.741]  Their next engineered crisis will be on a scale never before seen in modern times.
[00:40:11.001 --> 00:40:14.603]  Shortages and empty shelves will spread fear and panic across the land.
[00:40:14.843 --> 00:40:18.885]  The insiders have discovered that they must control two things to seize total power.
[00:40:19.305 --> 00:40:23.307]  Phase one is a one world currency which we are currently being prepared to accept.
[00:40:23.647 --> 00:40:26.869]  Phase two of their insidious plan is complete control of our food
[00:40:27.089 --> 00:40:28.049]  We're good.
[00:40:54.980 --> 00:40:57.041]  Thank you for listening to GCN.
[00:40:57.602 --> 00:41:04.727]  Be sure to visit GCNlive.com today.
[00:41:04.767 --> 00:41:09.050]  Yeah, I do a four-hour radio show Monday through Friday from 11 to 3 central.
[00:41:10.471 --> 00:41:14.133]  That isn't enough, because so much happens on the weekend and the new week before us.
[00:41:14.153 --> 00:41:17.015]  I come in for two hours, 4 to 6 p.m.
[00:41:17.055 --> 00:41:19.477]  with the abbreviated final edition here.
[00:41:19.497 --> 00:41:22.879]  I'm taking your phone calls right now.
[00:41:22.899 --> 00:41:23.420]  Next hour,
[00:41:25.259 --> 00:41:31.342]  I'm going to get into Coast Guard can't start a rescue until they fill out a health and safety assessment form.
[00:41:32.463 --> 00:41:34.384]  Ebola may have passed from pigs to a human.
[00:41:35.464 --> 00:41:39.166]  Unreturned library book for $13 lands woman in jail.
[00:41:39.946 --> 00:41:41.407]  FDA says no to GMO labels.
[00:41:41.927 --> 00:41:44.549]  But first I'm going to get into what's happening on the financial front in the United States.
[00:41:45.109 --> 00:41:48.531]  As you're noticing, the establishment's known for many years they were going to implode the economy.
[00:41:48.911 --> 00:41:53.293]  They just keep lying to you saying, go along with our next policy, our next plan, and everything will be okay.
[00:41:53.313 --> 00:41:54.914]  And a few months later, give us even more power.
[00:41:55.509 --> 00:41:59.170]  Give us even more anonymity and secrecy, and everything will be okay, and then it just gets worse.
[00:41:59.211 --> 00:42:13.916]  That is being done by design, and they hope their frontman, Barack Obama, can fool the public long enough where they stand down, so that Congress doesn't rightfully take the power back from the executive, which has been sold out to foreign offshore banks and financial institutions.
[00:42:13.936 --> 00:42:19.959]  It's really that simple, and Congress has been threatened with martial law if they try to do their job and say no to all of this.
[00:42:21.900 --> 00:42:24.140]  Going back to your phone calls,
[00:42:26.445 --> 00:42:32.590]  Let's go ahead and talk to Rob in Pennsylvania.
[00:42:32.690 --> 00:42:33.611]  Rob, you're on the air.
[00:42:33.631 --> 00:42:35.152]  How you doing, Alex?
[00:42:35.172 --> 00:42:35.473]  Good, sir.
[00:42:35.493 --> 00:42:37.154]  I appreciate all the hard work that you do.
[00:42:37.654 --> 00:42:37.975]  Thank you.
[00:42:39.016 --> 00:42:51.806]  I wanted to report here in Allentown, PA, we have digital billboards through the Adams Outdoor Advertising Company, and I am seeing a plethora of these billboards.
[00:42:52.146 --> 00:42:53.768]  They are rotating advertisements.
[00:42:54.720 --> 00:43:00.984]  Which means support the agenda of starting more wars and keeping them in harm's way.
[00:43:24.912 --> 00:43:26.733]  This is what's happening and it's totally illegal.
[00:43:28.154 --> 00:43:34.357]  They're taking the Ad Council money, that's tax money, and then most stations run them for free, but the production costs money.
[00:43:34.397 --> 00:43:35.498]  It's billions of dollars a year.
[00:43:36.538 --> 00:43:43.102]  And Obama has set up usaservice.org, which is non-governmental.
[00:43:43.222 --> 00:43:49.906]  It's private under him and the Democratic Party, but they run the ads as if it's governmental, saying, come sign up with us to volunteer.
[00:43:51.092 --> 00:43:54.316]  And then separately, they're going to have compulsory service within the government.
[00:43:54.336 --> 00:43:56.679]  So they're setting up their own domestic squads.
[00:43:57.160 --> 00:43:59.823]  And they're now running Obama propaganda ads.
[00:44:00.304 --> 00:44:03.168]  And Bush got in trouble for this, but this is a lot more than what Bush did.
[00:44:03.809 --> 00:44:07.073]  And we criticized it then with the fake newscast and stuff, but this is overt.
[00:44:07.717 --> 00:44:16.544]  With these Obama ads, all about Obama, all over the government paid for billboards, all over TV, all over radio, all over newsprint.
[00:44:17.265 --> 00:44:19.487]  And again, that's not what happens in free societies.
[00:44:19.507 --> 00:44:23.971]  They have lots of propaganda about how great the leader is in North Korea, or even in Iran.
[00:44:24.731 --> 00:44:26.753]  This is not what a free society does or has.
[00:44:27.293 --> 00:44:29.175]  And so, yeah, it's just incredible.
[00:44:30.171 --> 00:44:44.262]  Yeah, and this is what I've been trying to convey to some people who I try to relate the information to, I try to, you know, report and just disseminate some of the things that I learned from you and I'm beginning to understand more and more fully.
[00:44:45.263 --> 00:44:54.971]  A, it's creeping me out because it's such overt propaganda, and B, it's pissing me off because the American taxpayer is footing the bill for these billboards.
[00:44:55.331 --> 00:44:57.573]  Absolutely, and it's not even pushing people
[00:44:59.091 --> 00:45:06.637]  I mean, literal giant... They started paying for signs about two years ago that would just say, George W. Bush, our leader, like we were in North Korea or something.
[00:45:07.118 --> 00:45:10.341]  Again, in a free society, there aren't big billboards with the leader's face.
[00:45:10.381 --> 00:45:14.765]  I mean, if the party wants to pay to put those up during campaigns, it's still a little creepy.
[00:45:16.566 --> 00:45:20.690]  But now there are billboards, TV ads, billions of dollars.
[00:45:23.027 --> 00:45:27.050]  of our tax money to put these up and then to recruit people into his own private army.
[00:45:27.090 --> 00:45:29.131]  I mean, I'm telling you folks, we're in a lot of trouble.
[00:45:30.032 --> 00:45:33.134]  Let's go ahead and talk to Hilde in Vermont.
[00:45:34.015 --> 00:45:35.056]  Welcome to the Airwaves.
[00:45:36.097 --> 00:45:36.717]  Hi Alex.
[00:45:36.877 --> 00:45:37.137]  Yes.
[00:45:37.598 --> 00:45:38.778]  Hi Alex, this is Hilde.
[00:45:38.859 --> 00:45:39.479]  How are you?
[00:45:39.559 --> 00:45:39.819]  Good.
[00:45:40.139 --> 00:45:40.660]  Good, good.
[00:45:40.740 --> 00:45:46.744]  I really wanted to talk to you about the FOCA Act that is coming up, the bill.
[00:45:47.225 --> 00:45:50.207]  It's really in opposition to human life.
[00:45:50.267 --> 00:45:51.788]  It's a radical threat to human life.
[00:45:52.248 --> 00:45:55.329]  It's in opposition to all of... Well, tell folks specifically what it is.
[00:45:55.349 --> 00:45:58.050]  A lot of people... And I just wanted to... A lot of people won't know what the acronym is.
[00:45:58.070 --> 00:45:58.850]  Tell them.
[00:45:58.870 --> 00:46:05.151]  Well, it is the Elimination of Regulations to Protect Women from Unsafe and Unscrupulous Abortionists.
[00:46:05.292 --> 00:46:07.872]  It forces American taxpayers to fund abortions.
[00:46:08.712 --> 00:46:18.255]  Yeah, what's happening is... And also, too... All the Planned Parenthood... Let me just tell you, we watched a movie, which I recommend, Judgment at Nuremberg, and it was about five judges
[00:46:20.477 --> 00:46:34.214]  Yeah, they said I was just following the law, I was just following orders, and it's based on the transcripts from the Nuremberg trials.
[00:46:34.735 --> 00:46:34.955]  Yes.
[00:46:35.315 --> 00:46:35.856]  That's excellent.
[00:46:36.607 --> 00:46:42.673]  Yes, and this FOCA is doing the same thing and is taking away human rights from people.
[00:46:42.713 --> 00:46:54.024]  Well, that's the first thing Obama did was double the amount of funding for forced abortions in China and abortions and eugenics operations known as family planning in Africa and Latin America and Asia.
[00:46:54.404 --> 00:46:54.985]  Great points.
[00:46:55.045 --> 00:46:56.526]  I'm just moving quicker to get to everybody.
[00:46:57.487 --> 00:46:59.469]  Let's go ahead and talk to Pam in Canada.
[00:46:59.509 --> 00:47:00.170]  Pam, you're on the air.
[00:47:02.173 --> 00:47:02.333]  Hi.
[00:47:02.673 --> 00:47:03.154]  Hey, Pam.
[00:47:03.174 --> 00:47:04.434]  Welcome.
[00:47:04.454 --> 00:47:04.494]  Hi.
[00:47:05.655 --> 00:47:06.516]  Good to talk to you.
[00:47:06.836 --> 00:47:07.296]  Thank you.
[00:47:07.756 --> 00:47:08.537]  Thank you, Alex.
[00:47:09.177 --> 00:47:11.219]  Thank you for taking my call.
[00:47:11.239 --> 00:47:11.559]  You bet.
[00:47:11.599 --> 00:47:12.740]  Let my dog go to the room.
[00:47:12.760 --> 00:47:13.620]  There you go.
[00:47:13.980 --> 00:47:14.641]  There you go, love.
[00:47:17.182 --> 00:47:27.989]  I'd like to say I have been listening to you for about two years, and I've only had a computer for that long myself.
[00:47:28.889 --> 00:47:30.270]  I'm a... So you're listening on the Internet?
[00:47:31.031 --> 00:47:31.251]  Yeah.
[00:47:32.003 --> 00:47:32.503]  Exactly.
[00:47:32.723 --> 00:47:34.044]  Okay, what's on your mind today?
[00:47:34.584 --> 00:47:50.251]  Well, I'd like to talk about microcosm tyranny in that I lived next door to a person who worked for the city of Edmonton for 33 years.
[00:47:50.271 --> 00:47:51.372]  And they're on a power trip?
[00:47:51.832 --> 00:47:53.253]  And got away with everything.
[00:47:54.953 --> 00:47:56.194]  And I was harassed.
[00:47:57.471 --> 00:48:07.681]  Well, that's what tyrannies do, is they empower all these little petty nobodies that don't have skills, that don't have ideas, who can't operate in the free market, and they just run around parasiting on the public.
[00:48:10.143 --> 00:48:10.764]  Exactly.
[00:48:11.525 --> 00:48:18.872]  Like, I was threatened for years, five years, because of this man who worked for the city.
[00:48:20.073 --> 00:48:22.155]  He didn't like me because I wouldn't talk to him.
[00:48:24.597 --> 00:48:31.562]  It was amazing because when he almost died he went to the hospital and the police actually guarded his house.
[00:48:32.743 --> 00:48:42.531]  They sat five houses across the street from us and guarded the house against all the riffraff which would visit him.
[00:48:43.732 --> 00:48:47.915]  Which previously before visited him for two years.
[00:48:49.116 --> 00:48:49.696]  I hear you ma'am.
[00:48:49.736 --> 00:48:51.518]  You ought to write it up in the email and send me the story.
[00:48:51.538 --> 00:48:54.200]  We don't really have the time to get into all the problems you're having with your
[00:48:54.867 --> 00:48:57.189]  With your neighbor.
[00:48:58.389 --> 00:49:00.551]  You just popped in my ear and said something and I didn't understand it.
[00:49:01.731 --> 00:49:02.332]  Okay, good.
[00:49:02.392 --> 00:49:04.533]  We're going to have Bob Chapman on The Economy with us.
[00:49:04.553 --> 00:49:11.218]  I've been having him on a lot lately because his track record of predicting what's happening in the economy has been more accurate than most.
[00:49:11.278 --> 00:49:12.779]  I'd say 95% accuracy.
[00:49:13.299 --> 00:49:16.541]  Of course, he's had one of the biggest financial newsletters in the world until he retired.
[00:49:17.356 --> 00:49:20.218]  And he was the largest private silver and gold broker as well.
[00:49:20.659 --> 00:49:22.760]  And he's been fighting the globalists for 45 years.
[00:49:22.800 --> 00:49:28.065]  He helped produce and publish an undercover conspiracy with Gary Allen, his partner.
[00:49:28.525 --> 00:49:31.127]  Worked with so many other leaders in the fight against the globalists.
[00:49:31.147 --> 00:49:38.293]  I wanted to get him on to get into the economy and what this bank nationalization, which isn't really nationalization, it's privatization, hijacking really means.
[00:49:38.993 --> 00:49:40.995]  But let's go ahead and go back to the calls.
[00:49:41.035 --> 00:49:42.776]  Let's talk to Nate in Maine.
[00:49:42.836 --> 00:49:43.537]  Nate, you're on the air.
[00:49:44.457 --> 00:49:44.817]  Hello, Alex.
[00:49:44.897 --> 00:49:45.818]  Good to talk to you again.
[00:49:45.838 --> 00:49:47.180]  Okay, good to talk to you.
[00:49:47.220 --> 00:49:47.560]  Go ahead.
[00:49:47.580 --> 00:49:52.665]  I just wanted to congratulate you on that interview with KRS-One.
[00:49:52.705 --> 00:49:54.867]  That was a groundbreaking interview.
[00:49:54.987 --> 00:49:57.329]  Very, very informative and insightful.
[00:49:58.790 --> 00:50:04.415]  The other thing I wanted to talk about was Barack Obama's inauguration when he swore in.
[00:50:04.816 --> 00:50:09.180]  I noticed that George Bush Jr., when he did his inauguration, he messed up a part of it too.
[00:50:10.825 --> 00:50:12.947]  I wouldn't be surprised if Clinton messed his up.
[00:50:13.027 --> 00:50:20.211]  Yeah, for those that don't know, the inauguration isn't official, the swearing in, unless they do it properly.
[00:50:20.612 --> 00:50:31.859]  And we pointed that out, so Obama then, two days later, because he didn't do large parts of it, he then was sworn in again, but this time they said secretly.
[00:50:32.512 --> 00:50:37.876]  But they had one camera person there, and secretly he wouldn't let them record it, and he didn't swear in on a Bible.
[00:50:38.296 --> 00:50:39.617]  And that was in the mainstream news.
[00:50:40.537 --> 00:50:44.540]  So they did that on purpose, so he could then go have a private one and not do it on the Bible.
[00:50:44.700 --> 00:50:52.265]  I guarantee you, there was all these big debates about would he swear in on a Bible, you know, was he really a Muslim, all this other stuff, and I kind of poo-pooed that.
[00:50:52.605 --> 00:50:54.146]  But now you gotta ask yourself the question.
[00:50:54.627 --> 00:50:59.470]  I mean, he messes it up once, then they have it again, and they let a White House pool photographer
[00:51:00.257 --> 00:51:05.939]  You know, I mean, in-house White House photographer was the only person allowed to take photos and there's no Bible.
[00:51:06.319 --> 00:51:07.760]  And they say, well, we just didn't use the Bible.
[00:51:08.240 --> 00:51:09.380]  And they put that in the newspaper.
[00:51:09.440 --> 00:51:11.321]  So, he can't get it right twice.
[00:51:12.981 --> 00:51:15.162]  Didn't get sworn in on George Washington's Bible.
[00:51:15.999 --> 00:51:23.506]  My theory also is that, uh, I think they do this on purpose so that that'll negate the oath, so they don't have to stand true to the Constitution.
[00:51:23.686 --> 00:51:29.632]  Oh, most police and government bureaucrats now don't even do their oaths, and there's big lawsuits about that because they're not duly sworn officers if they don't.
[00:51:30.012 --> 00:51:31.513]  Good to hear from you, appreciate the call.
[00:51:32.014 --> 00:51:36.518]  Here comes the news, ladies and gentlemen, and after the news and important messages, we'll come...
[00:51:42.310 --> 00:51:43.532]  Back with a second hour.
[00:51:43.933 --> 00:51:45.896]  Bob Chapman, your phone calls and a lot more.
[00:51:46.237 --> 00:51:46.778]  Stay with me.
[00:51:46.818 --> 00:51:48.060]  The website's InfoWars.com.
[00:51:48.883 --> 00:51:53.104]  It's no secret that Genesis Communications Network depends on listeners like you.
[00:51:53.245 --> 00:51:56.065]  Now you can do even more to hear Genesis shows in your area.
[00:51:56.125 --> 00:52:00.567]  Simply call your local radio stations and tell them about your favorite GCN programs.
[00:52:00.687 --> 00:52:01.227]  It's easy.
[00:52:01.387 --> 00:52:07.949]  Log on to GCNlive.com or call us toll free 877-807-4048.
[00:52:08.010 --> 00:52:08.690]  Make a difference.
[00:52:08.770 --> 00:52:14.052]  Call your local stations and contact us through affiliate relations at GCNlive.com or call 877-807-4048.
[00:52:14.152 --> 00:52:14.512]  Call today.
[00:52:18.553 --> 00:52:20.034]  Wondering about your retirement portfolio?
[00:52:20.174 --> 00:52:24.455]  Is your financial advisor experienced enough to combat rising interest rates, taxes, and inflation?
[00:52:24.696 --> 00:52:28.777]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
