[00:00:01.191 --> 00:00:01.611]  Michigan.
[00:40:42.540 --> 00:40:48.062]  And now good old boys are going, I guess I'll turn my guns in because I love Petraeus.
[00:40:50.824 --> 00:40:53.705]  And I'm like, but the flag symbolizes the Bill of Rights.
[00:40:53.725 --> 00:40:54.726]  They're like, shut up!
[00:40:56.195 --> 00:41:02.439]  If they say it's conservative, and you see the American flag right there, that means police state.
[00:41:03.319 --> 00:41:04.840]  That means no rights at all.
[00:41:06.101 --> 00:41:11.104]  Why don't you just leave America if you don't like the army deploying on the streets?
[00:41:12.805 --> 00:41:14.466]  Some kind of liberal commie.
[00:41:16.907 --> 00:41:17.747]  Oh, look at that, yeah.
[00:41:18.168 --> 00:41:25.312]  All the major phone companies, all the major cable guys, all the major groups are openly announcing they're spying on you.
[00:41:27.130 --> 00:41:29.615]  And they openly trained the plumber groups, everybody.
[00:41:29.675 --> 00:41:32.780]  When they're in your house, without a warrant, they're spying on you.
[00:41:33.301 --> 00:41:34.083]  And I told the story.
[00:41:34.103 --> 00:41:35.345]  I'm going to take calls and get to it later.
[00:41:35.365 --> 00:41:36.407]  I'm going to tell it in detail.
[00:41:37.386 --> 00:41:55.483]  I'm about to go home, Saturday morning, I'm going up the elevator, it opens on the third floor on the wrong floor, and there's Girl Scouts with police and Homeland Security, and I wasn't expecting it, so I stepped out, looked at it for about 10 seconds, and then actually started panicking, hitting the button, because it was too hard, it was like Body Snatcher!
[00:41:55.503 --> 00:41:58.706]  I was like, get me the hell out of here, what the hell, I'm in the Soviet Union!
[00:42:01.420 --> 00:42:04.583]  Before you throw away your used batteries, you need to listen to this.
[00:42:04.923 --> 00:42:06.664]  Now, going green can save money.
[00:42:06.925 --> 00:42:12.289]  Go green and save money by giving life to your used batteries by charging them with the Renaissance Charger.
[00:42:12.489 --> 00:42:20.235]  The Renaissance Charger uses a new revolutionary battery charging technology that effectively extends the life of new batteries and gives new life to used batteries.
[00:42:20.515 --> 00:42:29.823]  Invented by legendary audio genius John Bedini, this unique and patented charging system rejuvenates the electrochemical plate structure in the battery without additives.
[00:42:30.103 --> 00:42:33.165]  Increasing capacity and maintaining cell integrity.
[00:42:33.325 --> 00:42:38.208]  Renaissance Charge offers a full line of products made in the USA for all types and sizes of batteries.
[00:42:38.549 --> 00:42:43.972]  Find out why our customers tell us the Renaissance Charger is the only battery charger they will ever use.
[00:42:44.313 --> 00:42:44.993]  Save your money.
[00:42:45.213 --> 00:42:46.114]  Save the environment.
[00:42:46.314 --> 00:42:49.116]  Visit us online at r-charge.com.
[00:42:49.256 --> 00:42:51.157]  That's r-charge.com.
[00:42:51.357 --> 00:42:52.218]  Or call us at 208-772-4514.
[00:42:52.238 --> 00:42:52.598]  That's 208-772-4514.
[00:42:58.902 --> 00:43:06.924]  On September 11, 2001, along with hundreds of my fellow troops, I went to ground zero.
[00:43:07.164 --> 00:43:08.504]  And we knew what to do.
[00:43:08.524 --> 00:43:10.244]  Or at least we thought we did.
[00:43:10.484 --> 00:43:16.905]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[00:43:17.505 --> 00:43:26.027]  Whitman, EPA director on the 18th, made a statement that the air was safe to breathe.
[00:43:26.431 --> 00:43:33.220]  This film follows the growing momentum of 9-11 truth as brave souls throughout the world take action against their global masters.
[00:43:33.520 --> 00:43:36.564]  He had his hand over the radio while he was getting a countdown.
[00:43:36.685 --> 00:43:41.771]  He takes his hand off and you hear 3, 2, 1, and it was boom, boom, boom, boom, boom!
[00:43:42.452 --> 00:43:45.094]  This is an emergency transmission worldwide.
[00:43:45.535 --> 00:43:51.380]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide.
[00:43:51.580 --> 00:43:54.142]  Or order the DVD at Infowars.com.
[00:43:54.502 --> 00:43:59.447]  If we don't expose the government-sponsored terror, they're going to commit more acts and bring in martial law.
[00:44:01.989 --> 00:44:11.335]  Are you suffering from issues related to angina pain, high blood pressure, congestive heart failure, unbalanced cholesterol, irregular heartbeats, clogged arteries?
[00:44:11.875 --> 00:44:13.556]  If so, you are not alone.
[00:44:13.936 --> 00:44:17.158]  Millions of people are suffering from one or more of these problems.
[00:44:17.539 --> 00:44:30.687]  If you'd like to live your life free of sickness, pain, and fear, live your life with increased vitality, energy, and youthfulness, and experience your body healing itself, then this might be the most important message you'll ever hear.
[00:44:31.047 --> 00:44:35.570]  An effective 100% organic nutritional supplement is now available.
[00:44:35.931 --> 00:44:40.694]  Heart and Body Extract is an exclusive formula of wild, crafted and organic herbs.
[00:44:41.114 --> 00:44:44.217]  It is extremely effective and starts to work within days.
[00:44:44.617 --> 00:44:50.962]  Get your Heart and Body Extract today by visiting heartandbody.com or by calling 866-295-5305, 866-295-5305 or heartandbody.com.
[00:45:03.777 --> 00:45:07.180]  Okay, I've been ranting and raving and covering a lot of news.
[00:45:08.281 --> 00:45:15.847]  We're going to get to Gary, Dan, Catherine, Gary, and Andrew in just a few minutes, but we've got some breaking news.
[00:45:16.188 --> 00:45:19.510]  Then I'm going to break down what's really happening with the military, what's really happening with the flu.
[00:45:19.891 --> 00:45:21.112]  Huge big developments there.
[00:45:21.132 --> 00:45:24.234]  I've got a ton of news I haven't even gotten to yet.
[00:45:24.334 --> 00:45:28.758]  Stay with us in the third and fourth hour, because I really want folks to hear about all this that's coming up.
[00:45:28.958 --> 00:45:30.319]  We're going to go to Gary here in just a moment.
[00:45:30.439 --> 00:45:31.961]  I do want to remind listeners.
[00:45:33.311 --> 00:45:36.275]  My new film, Fall of the Republic, can be pre-order right now.
[00:45:36.896 --> 00:45:39.420]  You get Fall of the Republic early.
[00:45:39.440 --> 00:45:44.247]  We're probably going to be able to ship it out a few days early from the October release date.
[00:45:44.267 --> 00:45:49.214]  So if you want to be the first people to get the DVD, it's shipped out in the order it is received.
[00:45:50.094 --> 00:45:53.797]  And I've hired some extra seasonal people so we can ship this out, boom, really fast.
[00:45:54.337 --> 00:45:56.299]  So get your order in for Fall of the Republic.
[00:45:56.359 --> 00:45:58.360]  Go read about it at Infowars.com.
[00:45:59.061 --> 00:46:01.443]  It is the highest budget, most powerful film I've made.
[00:46:01.483 --> 00:46:06.907]  The banking takeover, the carbon tax takeover, the police state tattletale spy takeover.
[00:46:07.347 --> 00:46:09.489]  We expose the warmongering of both parties.
[00:46:10.209 --> 00:46:13.692]  You want to understand who the Globalists are and what their operation is, this is the film.
[00:46:13.812 --> 00:46:17.795]  Alan Watson and so many others.
[00:46:19.266 --> 00:46:21.367]  John Perkins, Confessions of an Economic Hitman.
[00:46:21.407 --> 00:46:22.487]  The list just goes on and on.
[00:46:23.768 --> 00:46:24.628]  Follow theRepublic.
[00:46:24.708 --> 00:46:27.490]  Infowars.com or 888-253-3139.
[00:46:27.510 --> 00:46:27.690]  888-253-3139.
[00:46:27.910 --> 00:46:37.314]  You'll also be able to see it coming up October 21st in super high quality at PrisonPlanet.tv, for all the great members of that.
[00:46:38.474 --> 00:46:48.579]  Okay, Josh Smith was with us at the G20, saw all the hellish stuff that happened up there, with the LRADs being used on citizens, no protest allowed in the city, just like Communist China.
[00:46:49.753 --> 00:46:52.254]  Not allowed to have neighbor kids over, not allowed to have a farmer's market.
[00:46:52.415 --> 00:46:53.215]  It's the new America.
[00:46:53.875 --> 00:46:58.558]  Sidney Sheehan was just arrested at the White House for protesting the Afghan war.
[00:46:58.598 --> 00:47:00.299]  Not allowed to protest without a permit.
[00:47:00.499 --> 00:47:01.540]  They don't issue permits.
[00:47:03.025 --> 00:47:05.166]  Josh Smith is associate of Cindy Sheehan.
[00:47:05.206 --> 00:47:06.827]  We met him at the G20 in Pittsburgh.
[00:47:07.467 --> 00:47:10.069]  And they are the true anti-war people.
[00:47:10.129 --> 00:47:17.272]  As Obama expands the war, the military gripes at him for not enough troops to give him left cover, to give a false choice.
[00:47:18.033 --> 00:47:20.494]  Josh, tell us what just happened there in D.C.
[00:47:21.695 --> 00:47:25.817]  We came to the White House, Alex, with three to four hundred people.
[00:47:26.317 --> 00:47:31.820]  We were just protesting directly across Lafayette Park at the fence of the White House.
[00:47:32.406 --> 00:47:40.408]  We had four main groups with us, which were Veterans for Peace, World Can't Wait, and the March of Death group.
[00:47:40.428 --> 00:47:42.868]  They do a kind of a performance act.
[00:47:42.888 --> 00:47:43.608]  With the coffins?
[00:47:44.388 --> 00:47:44.969]  Yeah, yes.
[00:47:45.069 --> 00:47:47.269]  Coffins, and they all lay down in the white masks.
[00:47:48.269 --> 00:47:52.370]  And Cindy chained herself to the fence.
[00:47:53.590 --> 00:48:01.292]  And they went after her first, and they took everybody off the sidewalk with the big horses and threatened to
[00:48:02.062 --> 00:48:03.963]  You know, basically run you over.
[00:48:04.863 --> 00:48:08.145]  And, uh, they've got about... Yeah, see, in China, they would stop with the tanks.
[00:48:08.585 --> 00:48:09.866]  Not at G-20, not here.
[00:48:10.126 --> 00:48:11.626]  They'll go ahead and run you over.
[00:48:11.907 --> 00:48:13.107]  They'll go ahead and attack you.
[00:48:13.387 --> 00:48:15.548]  They'll come up to women, full power, the belly club.
[00:48:15.588 --> 00:48:19.690]  And I've watched police over and over again, just with every bit of power, HYAH!
[00:48:19.770 --> 00:48:21.431]  You're just, like, really trying to kill you.
[00:48:21.451 --> 00:48:23.172]  And that's like, yeah, I love the police!
[00:48:23.472 --> 00:48:24.352]  I love the military!
[00:48:24.372 --> 00:48:25.653]  They work for the foreign banks!
[00:48:25.973 --> 00:48:26.593]  Rape us!
[00:48:26.633 --> 00:48:27.414]  We love it!
[00:48:27.754 --> 00:48:28.454]  Sorry, go ahead.
[00:48:29.074 --> 00:48:29.555]  Yes, Alex.
[00:48:30.819 --> 00:48:34.380]  We were initially told and warned many times to get off the sidewalk.
[00:48:34.460 --> 00:48:35.661]  We were pushed into the streets.
[00:48:36.321 --> 00:48:39.062]  Then we were pushed off the streets back into Lafayette Park.
[00:48:39.642 --> 00:48:46.605]  Then we had our lawyers from the National Lawyer Guild come out and contest everything that they were trying to do against us.
[00:48:47.465 --> 00:48:53.808]  They backed off for a while, but then they rolled in buses, about three buses, and they're still putting people in there now.
[00:48:54.248 --> 00:48:59.610]  I just saw David Swanson, the writer, author, he was just arrested and put in a bus.
[00:49:00.327 --> 00:49:02.028]  They're arresting women.
[00:49:03.068 --> 00:49:05.730]  There's many priests that are in handcuffs right now.
[00:49:05.770 --> 00:49:07.811]  And they said at the G-22, no protest allowed.
[00:49:07.831 --> 00:49:09.311]  We have the police chief on video.
[00:49:09.671 --> 00:49:10.932]  This is the new America.
[00:49:11.452 --> 00:49:13.453]  They told us we did not have a permit.
[00:49:13.493 --> 00:49:15.934]  We pulled out a pocket copy of the Constitution.
[00:49:16.355 --> 00:49:18.556]  And we told them, here's our permit right here.
[00:49:19.476 --> 00:49:20.717]  I talked to a guy yesterday.
[00:49:20.777 --> 00:49:22.497]  The police came in his house without a warrant.
[00:49:23.678 --> 00:49:25.459]  And he said, hey, I have a Constitution.
[00:49:25.479 --> 00:49:27.560]  And the guy said, what are you, one of them truthers?
[00:49:28.900 --> 00:49:31.062]  So, I mean, they just flip out.
[00:49:31.142 --> 00:49:33.624]  Stay there for one minute, so we're going to come back and get some more news from you.
[00:49:33.945 --> 00:49:39.049]  Then I promise we're going to go to your calls and take a lot of them at 1-800-259-9231.
[00:49:39.270 --> 00:49:41.051]  We just reached the halfway point in transmission.
[00:49:43.433 --> 00:49:45.015]  Thank you for listening to GCN.
[00:49:45.936 --> 00:49:48.258]  Be sure to visit GCNlive.com today.
[00:49:50.862 --> 00:49:54.846]  Hello friends, this is Alex Jones, and I want each of you to ask yourself this question.
[00:49:55.106 --> 00:49:56.888]  Do you really know what's in your tap water?
[00:49:57.108 --> 00:50:05.396]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:50:05.637 --> 00:50:10.862]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:50:11.182 --> 00:50:12.804]  Now, what are you going to do about it?
[00:50:13.044 --> 00:50:19.366]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:50:19.546 --> 00:50:30.310]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere and uses state-of-the-art carbon filtration, reverse osmosis, and ultraviolet light sterilization techniques.
[00:50:30.590 --> 00:50:31.110]  That's right.
[00:50:31.370 --> 00:50:33.671]  Clean water, right from the air you breathe.
[00:50:33.931 --> 00:50:35.491]  Order today by calling 1-800-691.
[00:50:37.472 --> 00:50:37.912]  Big Brother.
[00:51:06.866 --> 00:51:07.886]  Mainstream media.
[00:51:08.627 --> 00:51:09.707]  Government cover-ups.
[00:51:10.367 --> 00:51:11.187]  You want answers?
[00:51:11.968 --> 00:51:12.888]  Well, so does he.
[00:51:13.528 --> 00:51:17.109]  He's Alex Jones on the GCN Radio Network.
[00:51:17.709 --> 00:51:21.771]  And now, live from Austin, Texas, Alex Jones.
[00:51:30.549 --> 00:51:37.550]  Alright, Cindy Sheehan dared not allowed to protest in D.C., not allowed to protest at G20.
[00:51:38.011 --> 00:51:38.971]  I've been in D.C.
[00:51:39.711 --> 00:51:40.991]  several times the last few years.
[00:51:41.031 --> 00:51:46.012]  You can be 200 yards away from the Washington Monument, they walk over and say, no videotaping.
[00:51:46.732 --> 00:51:49.513]  And of course, if you call the city, they then say, well, there's no permit to tape.
[00:51:49.933 --> 00:51:50.533]  They don't care.
[00:51:50.593 --> 00:51:53.534]  They've been told to let you know you are lower than dirt.
[00:51:54.294 --> 00:51:55.734]  You will be harassed more in D.C.
[00:51:55.754 --> 00:51:59.555]  than you will be in Beijing, outside the Forbidden City.
[00:52:01.363 --> 00:52:04.705]  This is not Land of the Free, Home of the Brave, folks, and they're letting you know!
[00:52:05.186 --> 00:52:11.730]  You're here to pay money to offshore banks, and to give your kids over to CPS, and to supply kids for the military.
[00:52:12.090 --> 00:52:12.530]  That's it.
[00:52:14.412 --> 00:52:16.273]  You think you're allowed to have free association?
[00:52:16.313 --> 00:52:17.594]  You think you're allowed to protest?
[00:52:18.274 --> 00:52:21.096]  Well, we're allowed to fracture your skull with a billy club.
[00:52:21.856 --> 00:52:29.982]  Josh Smith finishing up with the police state you're witnessing as they're arresting peaceful protesters at Lafayette Park across the street from the Puppet House.
[00:52:30.919 --> 00:52:32.660]  Yes, very much Alex.
[00:52:33.100 --> 00:52:35.582]  Cindy Sheehan is arrested.
[00:52:35.602 --> 00:52:38.103]  I want to make it very clear that here in D.C.
[00:52:38.123 --> 00:52:46.608]  today and at the G20 in Pittsburgh, the only people instigating any conflict or any violence are the police.
[00:52:48.789 --> 00:52:50.650]  Well, they've got a severe hatred of this country.
[00:52:50.710 --> 00:52:55.232]  I mean, that's what I've noticed is they revel in what they do.
[00:52:55.292 --> 00:52:58.514]  They enjoy it.
[00:52:58.614 --> 00:52:59.695]  They are itching.
[00:53:00.200 --> 00:53:00.782]  I think so.
[00:53:09.870 --> 00:53:23.617]  I know, and that doesn't mean all police, but whoever they're selecting for these riot teams or for these police squads, these protest squads, whoever they're, or maybe it's the mass psychology, I don't know, but Rob Dew has been officially charged, by the way.
[00:53:24.117 --> 00:53:35.083]  They charged him, yeah, they charged him for the 24th, not the 25th, the Friday that he was at, they blocked him off at a park, wouldn't let him leave.
[00:53:36.072 --> 00:53:36.793]  And then arrested him.
[00:53:37.093 --> 00:53:38.013]  It's all on video.
[00:53:38.754 --> 00:53:41.356]  He wasn't even at the University, the 24th.
[00:53:41.696 --> 00:53:43.177]  They have charged him with that.
[00:53:44.438 --> 00:53:46.799]  Wrong day, wrong place, and they don't care.
[00:53:46.839 --> 00:53:48.160]  They say, we're going to court with it.
[00:53:49.021 --> 00:53:51.182]  And it doesn't matter if we got the wrong day down.
[00:53:52.023 --> 00:53:52.763]  We don't care.
[00:53:52.823 --> 00:53:56.286]  I mean, they're just... Well, we... I don't know what to say.
[00:53:56.306 --> 00:54:00.148]  I was down at the event Friday night where Rob was.
[00:54:00.208 --> 00:54:01.169]  I met up with Jason.
[00:54:01.969 --> 00:54:03.270]  I witnessed the...
[00:54:04.861 --> 00:54:08.082]  All sorts of, uh, the forces, police forces, military forces.
[00:54:08.462 --> 00:54:14.223]  I witnessed them attacking peaceful, innocent bystanders who were just watching what was going on.
[00:54:15.783 --> 00:54:20.264]  Yeah, they came on to the university and the news reported went into dorms looking for people.
[00:54:20.904 --> 00:54:21.104]  Yes.
[00:54:21.524 --> 00:54:25.565]  Because, see, the cops discovered they would go down empty streets, L-ratting little kids in their front yard.
[00:54:25.585 --> 00:54:26.585]  We have photos and videos.
[00:54:26.925 --> 00:54:30.026]  So they would think, where can we find people in Pittsburgh out at night?
[00:54:30.506 --> 00:54:31.246]  The university.
[00:54:33.648 --> 00:54:41.635]  They were chasing people back into the neighborhood and back across the dorms, and as they came across the dorms, they were still firing tear gas.
[00:54:42.436 --> 00:54:46.439]  I stood directly next to two students who were shot with bean bag rounds.
[00:54:47.620 --> 00:54:50.403]  It was the most fascist, horrible thing I've ever seen.
[00:54:52.352 --> 00:54:55.894]  Well, I told you, they will put us in pits and put lead into us.
[00:54:56.514 --> 00:54:57.694]  Many of these people have ordered.
[00:54:57.714 --> 00:54:58.335]  They want to.
[00:54:58.395 --> 00:54:59.995]  To them, it's a macho hunting.
[00:55:01.616 --> 00:55:07.438]  They've taken their regular hunting instincts, their predator instincts, and placed it onto their fellow humans.
[00:55:07.458 --> 00:55:09.099]  That's what unjust war is.
[00:55:09.479 --> 00:55:10.520]  It's a war of aggression.
[00:55:11.580 --> 00:55:13.121]  It is preemptive war against the people.
[00:55:13.181 --> 00:55:18.784]  They know the banks are going to steal everything, and they know we're going to resist, and so they're trying to intimidate us.
[00:55:19.024 --> 00:55:22.005]  Well, as soon as Cindy gets out, we'd like to have her on this week with us.
[00:55:23.086 --> 00:55:25.947]  Fire out the website for folks that want to try to give Cindy some support.
[00:55:27.028 --> 00:55:29.469]  Cindy Sheehan, Soapbox.com.
[00:55:29.489 --> 00:55:30.270]  It's her website.
[00:55:30.770 --> 00:55:38.634]  Also, Alex, I'd like to say that Cindy has just announced the International People's Declaration of Peace, which she just read in front of the White House.
[00:55:39.534 --> 00:55:40.455]  And got arrested for.
[00:55:42.907 --> 00:55:45.029]  And again, don't have the neighbor kids over with your kids.
[00:55:45.049 --> 00:55:46.630]  You're not allowed to without a government license.
[00:55:46.650 --> 00:55:48.491]  And don't have a garage sale or you'll get arrested.
[00:55:48.871 --> 00:55:51.013]  Don't sell eggs on a street corner or you'll get arrested.
[00:55:53.797 --> 00:55:56.860]  But if you're a foreign illegal mercenary, 14-time felon, you're good.
[00:55:57.380 --> 00:55:58.662]  It's the criminal's world!
[00:55:59.002 --> 00:56:00.223]  We'll be right back with your calls.
[00:56:00.864 --> 00:56:03.786]  Have you ever wanted to generate your own supply of electrical power?
[00:56:04.247 --> 00:56:07.430]  If so, this is going to be the most important message you will ever hear.
[00:56:07.870 --> 00:56:12.234]  Solar power generators are now available from Solutions from Science in Thompson, Illinois.
[00:56:12.434 --> 00:56:13.856]  These emergency backup systems.
[00:56:14.036 --> 00:56:16.578]  We'll provide life-saving electrical power when you need it most.
[00:56:16.978 --> 00:56:22.822]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity for free.
[00:56:23.083 --> 00:56:26.145]  It's like having an electric power plant running quietly in your own home.
[00:56:26.705 --> 00:56:31.128]  Run sump pumps, shortwave radios, computers, and even keep food from spoiling.
[00:56:31.529 --> 00:56:37.833]  Whether it's hurricanes, ice storms, brownouts, or blackouts, you'll never have to suffer through painful power outages again.
[00:56:38.093 --> 00:56:40.035]  When the power goes out, you'll be ready.
[00:56:40.515 --> 00:56:43.338]  With a solar power generator from Solutions from Science.
[00:56:43.718 --> 00:56:47.781]  Go to MySolarBackup.com and get off the grid today.
[00:56:48.222 --> 00:56:50.003]  That's MySolarBackup.com.
[00:56:50.023 --> 00:56:50.424]  Or call 877-327-0365.
[00:56:50.444 --> 00:56:50.484]  877-327-0365.
[00:56:50.764 --> 00:56:50.984]  Don't wait.
[00:56:51.004 --> 00:56:51.445]  Call today.
[00:57:01.013 --> 00:57:08.477]  Have you heard that millionaire, entrepreneur, businessman, your congressional candidate and author Robert Beatles wrote a new book called Here's What You Do.
[00:57:08.757 --> 00:57:17.462]  You can buy it at here'swhatyoudo.net as an e-book for six bucks or the book for ten bucks and we have an audio book on its way for you commuters as well.
[00:57:17.802 --> 00:57:23.729]  Here's What You Do tells you exactly what to do to survive and thrive in these harsh economic times.
[00:57:24.089 --> 00:57:27.934]  This book will work for anyone, rich, poor, middle class, it doesn't matter.
[00:57:28.154 --> 00:57:33.520]  This book truly has the information that can make you wealthy and it will tell you how to protect your wealth as well.
[00:57:33.760 --> 00:57:35.580]  You know the government isn't looking out for you.
[00:57:35.840 --> 00:57:37.261]  You need to look out for yourself.
[00:57:37.601 --> 00:57:39.841]  The economy is bad, but it's probably going to get worse.
[00:57:40.121 --> 00:57:44.482]  You must prepare and make sure you are able to financially take care of yourself and your loved ones.
[00:57:44.842 --> 00:57:48.223]  Go to here'swhatyoudo.net and start today.
[00:57:48.543 --> 00:57:51.184]  Again, it is here'swhatyoudo.net.
[00:57:51.684 --> 00:57:53.104]  That's here'swhatyoudo.net.
[00:57:53.564 --> 00:57:55.685]  One last time, it's here'swhatyoudo.net.
[00:58:01.325 --> 00:58:03.927]  Hello, this is Alex Jones with some important questions.
[00:58:04.328 --> 00:58:09.292]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:58:09.672 --> 00:58:11.394]  My answer would be all I can get.
[00:58:11.714 --> 00:58:16.519]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:58:16.719 --> 00:58:17.680]  How much do you want?
[00:58:17.900 --> 00:58:18.641]  When do you want it?
[00:58:19.021 --> 00:58:20.622]  Now or after the battle starts?
[00:58:20.903 --> 00:58:21.723]  When will you need it?
[00:58:21.984 --> 00:58:24.045]  Can you buy it without proper identification?
[00:58:24.185 --> 00:58:25.286]  Will there be any food?
[00:58:25.527 --> 00:58:26.828]  Will it make your children sick?
[00:58:27.028 --> 00:58:32.092]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[00:58:32.292 --> 00:58:35.494]  You wipe out all these problems if you have a good food supply.
[00:58:35.894 --> 00:58:39.377]  Food is your ammunition to fight for your freedom and your life.
[00:58:39.697 --> 00:58:40.698]  How much will you need?
[00:58:40.938 --> 00:58:41.539]  We don't know.
[00:58:41.839 --> 00:58:42.739]  How much do you want?
[00:58:42.940 --> 00:58:43.660]  All you can get.
[00:58:43.680 --> 00:58:44.681]  I'm Alex Jones.
[00:58:44.961 --> 00:58:47.722]  I want all of you good guys to live to fight another day.
[00:58:48.002 --> 00:58:49.123]  Call 1-800-409-5633.
[00:58:50.103 --> 00:58:55.285]  Or check it out on the web at efoodsdirect.com.
[00:58:55.545 --> 00:58:58.206]  Again, that number, 1-800-409-5633.
[00:58:58.346 --> 00:59:08.690]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:59:09.290 --> 00:59:12.291]  It's Alex Jones and the GCN Radio Network.
[00:59:12.671 --> 00:59:14.032]  Okay, here's the deal.
[00:59:16.522 --> 00:59:20.166]  I want to talk about the police state takeover.
[00:59:20.186 --> 00:59:21.767]  I want to talk more about Hardin, Montana.
[00:59:21.807 --> 00:59:24.290]  I want to get into the new stimulus plan.
[00:59:24.650 --> 00:59:26.472]  Incredible news on the flu front.
[00:59:26.492 --> 00:59:27.373]  I'm going to cover that first.
[00:59:27.813 --> 00:59:29.255]  But after, I take a bunch of calls.
[00:59:30.096 --> 00:59:31.917]  Now, these calls are going to be great.
[00:59:31.997 --> 00:59:32.758]  They're always great.
[00:59:33.199 --> 00:59:34.740]  Some are duds, but most of them are really good.
[00:59:35.721 --> 00:59:38.524]  So when we take calls, there's always a lot of great ones in there, to be technical.
[00:59:38.544 --> 00:59:39.385]  That's what I meant to say.
[00:59:42.668 --> 00:59:45.269]  But just have your point, your question ready so I can get to the next person.
[00:59:45.289 --> 00:59:46.249]  I know you've been holding a while.
[00:59:46.649 --> 00:59:51.030]  As you hear a caller hang up, that's your chance to get involved on air.
[00:59:51.050 --> 00:59:53.871]  We'd love to hear from you.
[00:59:53.891 --> 00:59:54.011]  1-800-259-9231.
[00:59:54.151 --> 00:59:55.491]  Let's talk to Gary in Mass.
[00:59:55.531 --> 00:59:56.851]  Gary, thanks for holding her on the air.
[00:59:57.511 --> 00:59:58.152]  Thanks, Alex.
[00:59:58.252 --> 00:59:59.112]  I really appreciate it.
[00:59:59.172 --> 01:00:04.173]  Wanted to chat with you about the flu and Codex Alimentarius, if you have a minute for that.
[01:00:04.233 --> 01:00:04.393]  Sure.
[01:00:05.362 --> 01:00:06.103]  Okay, a couple things.
[01:00:06.223 --> 01:00:13.548]  If you go to flu.gov, the government talks about the seasonal flu vaccine being separate from H1N1 flu vaccines.
[01:00:14.288 --> 01:00:27.177]  And yet, we're finding that at public schools across America this week, principals are being recommended to tell all the parents to send their kids in and sign that form and don't worry, there's no H1N1 in the normal flu shot.
[01:00:27.277 --> 01:00:27.537]  And yet,
[01:00:28.191 --> 01:00:43.539]  When I go to FDA.gov and I look at every single flu manufacturer's product for normal flu shots, Flumis, Fluzone, Fluvorix, Fluvorin, they're all containing not only the squalene that we've been talking about, they all contain H1N1,
[01:00:45.058 --> 01:00:47.100]  H3N2 and something else.
[01:00:47.340 --> 01:00:50.243]  I think Paul Watson and Curt Nemo have done reports on this.
[01:00:50.303 --> 01:00:51.444]  If they haven't, they need to.
[01:00:51.504 --> 01:00:53.285]  But yes, that is confirmed.
[01:00:54.086 --> 01:00:55.667]  That's why Horowitz flipped out.
[01:00:56.488 --> 01:01:02.052]  He noticed a month ago that they were saying their regular flu shot was going to have H1N1.
[01:01:02.433 --> 01:01:05.815]  How did they know this a year ago when this hadn't even come up on the radar?
[01:01:06.296 --> 01:01:08.678]  Then they lie and say, don't worry, it doesn't have it.
[01:01:09.238 --> 01:01:15.303]  Then they're also lying saying it's mandatory when you don't have to take the flu shot to go to school.
[01:01:15.783 --> 01:01:21.367]  So, you know, even if you're for vaccination, why are you for you and your kids being lied to?
[01:01:23.018 --> 01:01:26.501]  And yeah, the squalenes at at least five times regular levels.
[01:01:26.881 --> 01:01:27.641]  Super deadly.
[01:01:28.142 --> 01:01:28.602]  Adjuvant.
[01:01:28.942 --> 01:01:33.905]  All these top scientists and medical doctors we've had on saying that's what's frying out the brain.
[01:01:33.925 --> 01:01:36.527]  Neurological disorders.
[01:01:37.748 --> 01:01:39.029]  It just goes on and on.
[01:01:39.929 --> 01:01:41.730]  And yeah, I'm going to get into flu later.
[01:01:42.111 --> 01:01:47.134]  It's just so amazing to actually see this happening.
[01:01:48.092 --> 01:01:55.498]  And to then hear them lying and saying there's no such thing as adverse reactions, then the CDC says no, there's going to be a lot of adverse reactions, including deaths.
[01:01:56.619 --> 01:01:59.801]  I mean, it's just... But the public is gullible.
[01:01:59.841 --> 01:02:06.506]  I mean, I watch the public at bus stops and at grocery stores, and it's like they're willfully... They just look so stupid!
[01:02:07.106 --> 01:02:10.089]  And it's like self-induced.
[01:02:11.564 --> 01:02:16.627]  And I don't, I mean, I don't have some elitist view of myself, but I have become a sardonic person.
[01:02:17.147 --> 01:02:19.048]  Not in that I think I'm high and mighty.
[01:02:19.308 --> 01:02:21.669]  See, the elitists see all these dumb people and just want to kill them.
[01:02:22.250 --> 01:02:23.790]  And then try to dumb them down further.
[01:02:24.031 --> 01:02:27.592]  They're trying, you know, trying to make them stupid and dumb and mindless.
[01:02:29.173 --> 01:02:33.696]  I look at the public and it's like, dear God, they're like monkeys or something.
