[00:00:10.435 --> 00:00:10.695]  R-Charge.com.
[00:24:28.684 --> 00:24:30.145]  So we'll be going over that.
[00:24:30.165 --> 00:24:33.808]  And of course you'll be paying your taxes to the private IMF and World Bank.
[00:24:35.074 --> 00:24:42.078]  I've been telling you that for over a decade, but now it's big news as they unveil it and announce the new global currency already being issued bank to bank.
[00:24:42.538 --> 00:24:43.939]  They're already moving away from the dollar.
[00:24:44.379 --> 00:24:50.182]  That's why the Wall Street Journal had an article on Wednesday about China, Japan, Russia, Europe move away from dollar reserves.
[00:24:50.802 --> 00:24:57.986]  Massive dumping of the dollar the last few months as they move into the new SDRs being issued by the IMF and World Bank.
[00:24:59.126 --> 00:25:00.607]  That's bank to bank lending.
[00:25:01.367 --> 00:25:02.648]  It's digital money.
[00:25:05.560 --> 00:25:10.362]  Less than 1% of global, quote, money or liquidity is actual paper.
[00:25:12.563 --> 00:25:16.645]  So, we'll be getting more into that after I take calls in the next segment.
[00:25:16.665 --> 00:25:18.386]  I'm going to take a lot of calls today.
[00:25:19.927 --> 00:25:22.548]  Also, I saw this story in the New York Times.
[00:25:23.048 --> 00:25:27.090]  FBI and states vastly expand DNA databases.
[00:25:27.990 --> 00:25:33.733]  And the New York Times says it's a 17-fold increase on the amount of DNA they're going to be taking each year.
[00:25:34.588 --> 00:25:57.355]  And if you read the new regs, it's not a law, the new regs, just like England adopted this about five years ago, so did Europe proper, it says when you're detained, and detained is when the cops turn the lights on in their cars, they're going to take the tissue swab out of your cheek, those are some of the largest cells in the body, easily scraped off without bleeding, and they're going to put it in a DNA database.
[00:25:58.835 --> 00:26:00.356]  Guilty until proven innocent.
[00:26:01.621 --> 00:26:03.222]  This could all sound fine and dandy.
[00:26:03.483 --> 00:26:05.744]  The problem here is it violates the Fourth Amendment.
[00:26:06.625 --> 00:26:11.069]  Against unreasonable search and seizure, there has to be a probable cause with oath or affirmation.
[00:26:13.350 --> 00:26:15.332]  Particular place persons to be searched.
[00:26:16.693 --> 00:26:24.299]  And then of course you've got to Frederick Whitehurst, head of the FBI Crime Lab back in 1996, who quit saying they basically framed everybody.
[00:26:25.060 --> 00:26:30.244]  Every major city I've seen, just here in Texas, Houston Crime Lab, San Antonio Crime Lab, Dallas Crime Lab,
[00:26:31.004 --> 00:26:32.745]  Tulia Crime Lab and all over the country.
[00:26:32.785 --> 00:26:37.508]  Google the name of your town or city in the crime lab fraud and they've pretty much all been caught.
[00:26:37.588 --> 00:26:39.128]  I've never Googled a city that hadn't.
[00:26:39.429 --> 00:26:40.669]  And they just frame whoever they want.
[00:26:40.689 --> 00:26:42.230]  It's just an assembly line of lies.
[00:26:42.250 --> 00:26:46.553]  Remember a couple years ago, Houston Chronicle, a headline about thousands framed by the city?
[00:26:48.574 --> 00:26:54.677]  Or Dallas just pulls you over and they throw a bag of chalk in your car and say it's cocaine and they take your car and your house, but then they don't even charge you.
[00:26:54.717 --> 00:26:56.158]  They just say, asset forfeiture seizure.
[00:26:56.778 --> 00:26:58.179]  Totally illegal, but they just do it.
[00:26:59.415 --> 00:27:00.215]  No judge, no jury.
[00:27:00.256 --> 00:27:02.176]  I mean, this government is totally criminal.
[00:27:04.037 --> 00:27:06.738]  And so, where do they take the DNA?
[00:27:08.079 --> 00:27:15.362]  Well, they take it to Cold Springs Harbor in New York, and that's where the Eugenics Society was founded by the Rockefellers.
[00:27:15.863 --> 00:27:22.906]  It became a law to sterilize women and to kill their babies if they happened to be born after birth, before they could be aborted.
[00:27:22.926 --> 00:27:26.788]  Oh yeah, they didn't legalize abortion in 1973, like you heard.
[00:27:28.667 --> 00:27:29.187]  Roe v. Wade.
[00:27:29.688 --> 00:27:34.771]  In the family courts that weren't real courts, they didn't have juries or anything, they just grabbed you and sterilized you.
[00:27:34.811 --> 00:27:38.634]  You might want to research that.
[00:27:38.674 --> 00:27:42.016]  But that's where they send your blood.
[00:27:44.037 --> 00:27:55.645]  It's now known as the Human Genome Project, but you heard about Dr. Watson last year saying blacks weren't humans, and then as a Nobel Prize winner he discovered DNA helix.
[00:27:56.914 --> 00:28:05.997]  He was there in the 40s, back when it was openly the Eugenics Society, and he was the head of it up until a year ago when he was saying blacks weren't humans.
[00:28:06.998 --> 00:28:08.698]  That's the Human Genome Project.
[00:28:09.358 --> 00:28:10.919]  And see, let me give you a little newsflash.
[00:28:11.579 --> 00:28:16.701]  If you're under 36 years of age, this doesn't matter.
[00:28:16.721 --> 00:28:21.663]  Because see, they're talking about how when they pull you over, they're going to take your DNA now.
[00:28:25.336 --> 00:28:27.177]  Because you're, quote, detaining.
[00:28:29.237 --> 00:28:32.878]  Thirty-six and under, they already took it and put it in the Cold Springs Harbor.
[00:28:33.238 --> 00:28:36.279]  University of Texas, though, there's only four institutions that hold it.
[00:28:36.800 --> 00:28:45.022]  And for a multi-state, what is it, six-state area, I kept telling folks about this for the last decade, and now it was in the Austin American-Statesman, Dallas Morning News, but they said it was a good thing.
[00:28:45.822 --> 00:28:47.243]  They finally announced it to the slaves.
[00:28:48.343 --> 00:28:53.325]  They said, in fact, one day they were doing news here in the station, I do this syndicated show out of NewsRadio 590,
[00:28:54.770 --> 00:28:55.350]  Okay, I'll be Jan.
[00:28:55.370 --> 00:29:07.815]  I walked out and heard Sarah Hudeberg doing it on the news and I said, I said, you're announcing that they take blood without asking at birth and put it in a DNA database for studying people's DNA and for, and she goes, yo, here's the statesman.
[00:29:08.335 --> 00:29:09.315]  She just handed me the statesman.
[00:29:09.335 --> 00:29:09.775]  I went, oh.
[00:29:10.395 --> 00:29:13.396]  But anyways, oh yeah, they're going to take your blood at checkpoints.
[00:29:13.677 --> 00:29:15.377]  They already take your blood, slaves.
[00:29:15.737 --> 00:29:16.798]  And you know what they're making with it?
[00:29:17.078 --> 00:29:23.360]  Race-specific bioweapons to tailor to where they can kill people individually according to their DNA.
[00:29:24.719 --> 00:29:28.040]  Read the PNAC document, September 2000, Rebuilding American Defenses.
[00:29:28.361 --> 00:29:29.841]  Talks about race-specific bioweapons.
[00:29:30.261 --> 00:29:32.142]  We'll come back, take your calls after the news.
[00:29:32.202 --> 00:29:33.243]  Stay with me, fellows!
[00:29:33.423 --> 00:29:36.444]  Would you give someone $100 for a $10 bill?
[00:29:36.824 --> 00:29:41.046]  If you're taking vitamins and minerals in a pill form, that's exactly what you're doing.
[00:29:41.266 --> 00:29:43.407]  Hello, my name is Dr. David Friedman.
[00:29:43.787 --> 00:29:49.731]  According to the physician's desk reference, many vitamins and minerals in a pill form are 10% absorbed.
[00:29:50.031 --> 00:29:57.316]  It doesn't take a mathematician to figure out for every $100 you spend on these pills, you're flushing $90 down the toilet.
[00:29:57.617 --> 00:29:59.638]  Start absorbing the nutrients you swallow.
[00:29:59.878 --> 00:30:07.003]  Introducing Chews for Health, a delicious tasting chewable containing 16 super fruits, sea vegetables, and antioxidants.
[00:30:07.243 --> 00:30:09.145]  You know, you work hard for your money.
[00:30:09.405 --> 00:30:11.646]  Isn't it time to start getting what you pay for?
[00:30:11.986 --> 00:30:12.627]  Order today.
[00:30:13.428 --> 00:30:13.528]  1-800-210-1922.
[00:30:13.688 --> 00:30:19.616]  With Choose for Health, your body gets to keep the nutrients you swallow.
[00:30:19.856 --> 00:30:26.304]  The first 300 callers are going to receive a free copy of my best-selling CD, America's Unbalanced Diet.
[00:30:26.324 --> 00:30:26.384]  1-800-210-1922.
[00:30:26.404 --> 00:30:27.345]  Or go to orderchoose.com.
[00:30:33.642 --> 00:30:40.589]  You already know that drinking pure high alkaline pH water is the most important factor in maintaining high energy and vibrant health.
[00:30:40.829 --> 00:30:45.133]  Most experts agree that the water you drink should be at a pH level of 8 or higher.
[00:30:45.394 --> 00:30:50.479]  AlkaVision Plasma pH Drops combine a unique formula of the most alkaline ingredients.
[00:30:50.999 --> 00:30:58.080]  Using plasma pH drops is one of the best ways to make your water alkaline to help you get rid of acid and regain your health and energy.
[00:30:58.521 --> 00:31:03.482]  Simply put, 10 drops per liter of water you drink to raise the pH to the ultimate level.
[00:31:03.902 --> 00:31:09.363]  Alkalizing water helps your body rid itself of acidic waste and increases the oxygen content of your body.
[00:31:09.763 --> 00:31:15.224]  Disease organisms like bacteria and cancer cannot survive in an alkaline, high pH environment.
[00:31:15.544 --> 00:31:21.271]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to AlkaVision.com.
[00:31:21.492 --> 00:31:24.015]  That's A-L-K-A Vision dot com.
[00:31:24.275 --> 00:31:24.996]  Or by calling 269-216-9767.
[00:31:25.016 --> 00:31:25.176]  269-216-9767 today!
[00:31:37.850 --> 00:31:40.833]  Times are tough right now, and people are unsure about our future.
[00:31:41.153 --> 00:31:45.077]  The economy is hurting, even though there are powers that would make us believe differently.
[00:31:45.417 --> 00:31:47.980]  Banks are failing, and the gold buyers are buying.
[00:31:48.520 --> 00:31:55.027]  Question, with all the chemicals being put into our air, how do you use gold when you're very sick?
[00:31:55.845 --> 00:31:56.305]  Or dead.
[00:31:56.666 --> 00:31:58.387]  Investing in precious metals is smart.
[00:31:58.788 --> 00:32:00.909]  Investing in your health could be smarter.
[00:32:01.350 --> 00:32:05.373]  LifeChange Tea changes your life just by drinking our tea.
[00:32:05.774 --> 00:32:07.235]  Detox from deadly chemicals.
[00:32:07.595 --> 00:32:09.837]  Flush poisons that cause harm to your organs.
[00:32:10.357 --> 00:32:13.240]  And lose unwanted pounds that bog you down.
[00:32:13.740 --> 00:32:14.201]  Call us!
[00:32:14.221 --> 00:32:14.261]  928-308-9238
[00:32:17.824 --> 00:32:19.967]  0408.
[00:32:18.846 --> 00:32:19.967]  Again, 928-308-0408.
[00:32:22.110 --> 00:32:25.595]  Or you can order online at GetTheTea.com.
[00:32:25.755 --> 00:32:28.138]  That's GetTheTea.com.
[00:32:28.419 --> 00:32:29.220]  Life Change Tea.
[00:32:29.620 --> 00:32:30.602]  We're changing lives.
[00:32:32.987 --> 00:32:38.311]  With an economy that continues to plummet, many of us will have to make the difficult decision to cut back on our expenses.
[00:32:38.952 --> 00:32:41.634]  One thing we cannot afford to cut back on, though, is our health.
[00:32:42.074 --> 00:32:49.360]  If you suffer from chronic illness, stress, a weak immune system, or just always feel tired, you need to visit Shentrition.com.
[00:32:49.840 --> 00:32:54.364]  The philosophy at Shentrition is to feed the body what it needs, plus heal the body with food.
[00:32:55.104 --> 00:33:07.392]  One scoop a day with water, milk or juice will have you feeling better in no time, giving you more stamina and energy, helping to alleviate stress, boosting your natural healing power, strengthen your immune system, and it tastes great too.
[00:33:07.812 --> 00:33:12.776]  Shantritian is all-natural, wheat-free, dairy-free and 100% vegetarian.
[00:33:13.256 --> 00:33:14.937]  Discover the ancient secrets of healing.
[00:33:15.297 --> 00:33:18.438]  Are you tired of searching for great talk radio?
[00:33:18.658 --> 00:33:19.618]  Search no more!
[00:33:19.838 --> 00:33:23.099]  We are the GCN Radio Network.
[00:33:50.726 --> 00:33:51.627]  We are back live.
[00:33:51.727 --> 00:33:53.348]  Your call's coming up here in just a moment.
[00:33:53.368 --> 00:33:59.632]  A lot of calls I'm going to take today.
[00:33:59.653 --> 00:34:05.617]  877-590-5525.
[00:34:05.917 --> 00:34:06.297]  Okay.
[00:34:07.178 --> 00:34:10.400]  Finishing up with the DNA, and then I'm going to mention a few other stories that are coming up.
[00:34:10.420 --> 00:34:11.221]  We're going to go to your calls.
[00:34:12.141 --> 00:34:19.647]  The whole point is, police departments, the feds have been caught, local police, state police, the feds, over and over again, framing everybody.
[00:34:21.616 --> 00:34:27.620]  And so they keep drumming into your head, oh, all these people are innocent on death row, oh, DNA testing's so great!
[00:34:28.280 --> 00:34:31.443]  Selling you that it's 100%, just like they sell you that fingerprints are.
[00:34:31.923 --> 00:34:34.144]  But it's very easy to frame people with fingerprints as well.
[00:34:34.565 --> 00:34:37.887]  You just lift their prints from somewhere else, make castings of it, and place them.
[00:34:39.548 --> 00:34:46.052]  Just like they've now proven that lie detectors are a complete fraud of quackery that sent literally tens of thousands of innocent people to prison.
[00:34:46.632 --> 00:34:47.953]  This is just a bunch of quackery.
[00:34:50.215 --> 00:34:50.395]  So,
[00:34:52.930 --> 00:35:02.036]  They say law enforcement officials, not servants, officials, said that expanding the DNA database to include legally innocent people will help solve more violent crimes.
[00:35:02.836 --> 00:35:03.797]  And then they go on from there.
[00:35:05.057 --> 00:35:06.718]  Folks, they've already got your blood.
[00:35:08.840 --> 00:35:13.022]  And I learned about this before I was even on air about 15 years ago.
[00:35:14.183 --> 00:35:15.764]  And then I've had U.S.
[00:35:15.804 --> 00:35:17.345]  congressmen on complaining about it.
[00:35:17.365 --> 00:35:19.066]  I've interviewed lawmakers in
[00:35:19.980 --> 00:35:27.565]  From Australia, where about six years ago they started announcing, oh, we have DNA on everyone, you know, born in the last 30-something years.
[00:35:27.625 --> 00:35:28.525]  It started worldwide.
[00:35:28.545 --> 00:35:29.566]  There's already a global government.
[00:35:29.586 --> 00:35:30.406]  They're just announcing it.
[00:35:30.827 --> 00:35:32.828]  We have the same program, same names everywhere.
[00:35:33.128 --> 00:35:38.832]  But they announced a little bit early in Australia, oh, we've been taking your blood since birth, everybody, 31 years.
[00:35:39.372 --> 00:35:39.932]  Now it'd be 36.
[00:35:40.433 --> 00:35:44.535]  31 years and younger, and we're using this in criminal cases now.
[00:35:46.812 --> 00:35:49.873]  They take your baby's blood, they put it in the DNA database.
[00:35:50.433 --> 00:36:02.356]  There's also been court cases I've seen in the San Francisco Chronicle report on where somebody gets a genetic disease, they go in to have their own bone marrow be pulled to then, you know, breed up these antibodies.
[00:36:02.376 --> 00:36:03.316]  There's different procedures.
[00:36:03.736 --> 00:36:05.757]  And then they'll be told by the company, oh, guess what?
[00:36:06.257 --> 00:36:11.098]  We already had your blood from birth and we patented your DNA and you owe us all this money.
[00:36:12.699 --> 00:36:13.299]  Oh, that's right.
[00:36:14.864 --> 00:36:33.110]  When you read the mainstream articles about this, or you can go read the thousands of pages of documents where the universities are bragging about it, these little criminal enterprises working with the government and private industry, they take your baby's blood, don't tell you, and then don't just ship it off to a eugenics facility to check your baby's DNA, because they're obsessed with that.
[00:36:33.411 --> 00:36:35.331]  The elites are obsessed with that, with breeding.
[00:36:35.911 --> 00:36:37.892]  But they also have it to frame you and everything else.
[00:36:40.093 --> 00:36:41.613]  Okay, if I don't shut up, I'll never get to your calls.
[00:36:41.633 --> 00:36:43.014]  The point is, this is a complete fraud.
[00:36:44.341 --> 00:36:47.942]  Uh, Israel stands ready to bomb Iran's nuclear sites, Times of London.
[00:36:48.382 --> 00:36:49.543]  They say they're getting ready to hit them.
[00:36:49.603 --> 00:36:51.143]  It'll probably start World War III.
[00:36:52.264 --> 00:36:53.224]  So get ready for that.
[00:36:54.784 --> 00:36:55.945]  We'll talk about that later.
[00:36:58.166 --> 00:37:02.407]  You know, uh, this is a sophisticated issue, so later in the next hour I'm gonna cover it.
[00:37:02.427 --> 00:37:10.149]  I wanna go to calls now, but... You know, Keith Olbermann and all these people have really shown themselves to be shameful.
[00:37:11.110 --> 00:37:12.010]  I am non-partisan.
[00:37:14.281 --> 00:37:20.724]  But the level, the dumbing down of the information, the insult of everybody's intelligence has gotten too big for me.
[00:37:20.744 --> 00:37:24.145]  You know, I've talked to Lou Dobbs several times privately.
[00:37:24.185 --> 00:37:24.946]  He's aware of my work.
[00:37:24.966 --> 00:37:25.946]  I've interviewed him.
[00:37:25.966 --> 00:37:27.407]  I like Lou Dobbs.
[00:37:27.427 --> 00:37:28.067]  He's a good guy.
[00:37:28.167 --> 00:37:28.907]  Very credible.
[00:37:29.928 --> 00:37:31.769]  Very serious, non-partisan.
[00:37:31.809 --> 00:37:32.629]  I really respect him.
[00:37:34.310 --> 00:37:41.433]  She says he hates black people and that he doesn't want Obama to succeed because he hates black people.
[00:37:42.349 --> 00:37:45.351]  You know, Lou Dobbs is the only one that's been non-partisan in all of this.
[00:37:46.071 --> 00:37:48.673]  Fox has kind of played the right-wing card against the left-wing in this.
[00:37:49.133 --> 00:37:53.616]  Dobbs was very critical of Bush for being a globalist, wanting one world government, global taxes.
[00:37:53.656 --> 00:37:54.516]  I mean, it's all announced.
[00:37:56.758 --> 00:37:57.498]  I've talked to Dobbs.
[00:37:57.538 --> 00:37:58.559]  He has his own contract.
[00:37:58.579 --> 00:38:00.200]  That's why he's allowed to do whatever he wants to CNN.
[00:38:02.501 --> 00:38:04.362]  And she said he's a racist.
[00:38:05.283 --> 00:38:06.383]  I got like five clips.
[00:38:06.583 --> 00:38:09.325]  She went on MSNBC, a bunch of channels, and did this.
[00:38:09.755 --> 00:38:12.816]  I'm not going to play them all, but she said Dobbs is a vicious, evil racist.
[00:38:13.717 --> 00:38:16.498]  She said anybody who went to tea parties hates black people.
[00:38:18.939 --> 00:38:25.082]  Let me tell you something, these limousine liberal pimps, they're the ones that hate black people, and I mean literally.
[00:38:26.143 --> 00:38:34.547]  I don't know about Garofalo, who's just a clown, but I know that the founders of what we know of as liberalism
[00:38:35.848 --> 00:38:43.054]  Wrote in letters and documents and Ford Foundation documents and Rockefeller Brothers documents and Margaret Sanger documents.
[00:38:44.635 --> 00:38:47.617]  By the way, I didn't just read mainstream articles about this for my film, Endgame.
[00:38:48.638 --> 00:38:51.060]  I sent off to universities to get copies of the letters.
[00:38:51.760 --> 00:38:54.723]  From the papers of Margaret Sanger and the Colgate Foundation and others.
[00:38:57.645 --> 00:38:59.987]  She calls black people subhuman weeds.
[00:39:03.072 --> 00:39:07.895]  And it's like a sick joke that all these so-called black charities are called Margaret Sanger this, Margaret Sanger that.
[00:39:08.515 --> 00:39:20.142]  I went to, in kindergarten, one year in Dallas when we moved to Rockwall, I went to Margaret Sanger Elementary School with a statue of her out front.
[00:39:20.562 --> 00:39:23.323]  This was a woman who got awards from Hitler, gave awards to Hitler.
[00:39:23.343 --> 00:39:31.208]  Now, my whole issue is, they talked about how they had to hire blacks to fool the blacks into letting them
[00:39:31.809 --> 00:39:37.573]  Give them welfare to break up the family so there wouldn't be a man in the house knowing that would create a breakdown of society.
[00:39:37.613 --> 00:39:39.694]  They knew this so they could put young black men in jail.
[00:39:41.695 --> 00:39:42.555]  Go read it for yourself.
[00:39:42.816 --> 00:39:45.157]  These are cold-blooded people.
[00:39:47.058 --> 00:39:49.720]  Blacks had about 10% in legitimacy, now they're over 90%.
[00:39:50.921 --> 00:39:52.261]  I'm not knocking single families.
[00:39:52.301 --> 00:39:56.064]  These eugenicists who broke up their communities think, oh, you're against single mothers?
[00:39:56.544 --> 00:39:56.764]  No!
[00:39:57.064 --> 00:39:59.866]  But you're three to four times more likely to end up in drugs or prison.
[00:40:01.491 --> 00:40:02.011]  Just a fact.
[00:40:02.591 --> 00:40:03.491]  And you know what you did.
[00:40:04.492 --> 00:40:05.052]  Shame on you.
[00:40:07.172 --> 00:40:08.692]  Now that's how the real racists do.
[00:40:09.213 --> 00:40:10.293]  They're limousine liberals.
[00:40:11.093 --> 00:40:16.434]  And you get a bunch of good Americans, and we sent cameras down to the San Antonio Tea Party.
[00:40:16.474 --> 00:40:18.094]  Tons of black folks, Hispanics there.
[00:40:18.114 --> 00:40:26.816]  98%, most of the polls are 99%, thousand to one phone calls to Congress against the banker bailout takeover.
[00:40:27.536 --> 00:40:31.017]  It's non-partisan, libertarians, conservatives, liberals.
[00:40:31.980 --> 00:40:37.664]  But see, the media wants to make it conservative-liberal, so liberals go, well, I better be against the Tea Parties.
[00:40:37.704 --> 00:40:39.085]  I better be for the banker takeover.
[00:40:40.226 --> 00:40:43.548]  And $12.8 trillion bipartisan spent in six months.
[00:40:43.588 --> 00:40:46.250]  That's the GDP in six months.
[00:40:46.370 --> 00:40:48.332]  Half the year since they did that.
[00:40:49.232 --> 00:40:50.453]  October to last month.
[00:40:50.753 --> 00:40:51.174]  Six months.
[00:40:51.454 --> 00:40:53.916]  And they've already spent an entire U.S.
[00:40:53.956 --> 00:40:54.396]  GDP.
[00:40:54.416 --> 00:40:55.837]  It's $200 billion short.
[00:40:55.857 --> 00:40:55.957]  It's $12.8.
[00:40:58.081 --> 00:40:58.481]  Trillion.
[00:40:59.101 --> 00:41:00.482]  But, again, that was only five months.
[00:41:00.502 --> 00:41:02.403]  They always issue in a month late.
[00:41:02.443 --> 00:41:06.405]  So in five months, to be technical, but issued on the six-month anniversary of October 3rd.
[00:41:06.705 --> 00:41:07.925]  So it's actually over 13-trill.
[00:41:08.585 --> 00:41:10.326]  But the number is 12.8-trill we've got.
[00:41:12.947 --> 00:41:18.610]  And you say, hey, I don't want to devalue the dollar, bankrupt the country, owe all this fiat money to the private banks.
[00:41:18.650 --> 00:41:21.251]  We give the private offshore banks our 12.8 trillion.
[00:41:21.631 --> 00:41:24.672]  Then, we pay them interest to give them our money.
[00:41:24.712 --> 00:41:26.433]  That's how this new world order fraud works.
[00:41:29.565 --> 00:41:31.366]  It was the Ron Paul people, i.e.
[00:41:31.426 --> 00:41:38.447]  this show and other talk shows like it, that were having tea parties back in October.
[00:41:38.527 --> 00:41:42.108]  We had one in Austin, had them in D.C., had them in Boston, had them in San Diego.
[00:41:43.809 --> 00:41:47.110]  That gets partially hijacked by Glenn Beck and other fake conservatives.
[00:41:48.390 --> 00:41:48.970]  But so what?
[00:41:50.310 --> 00:41:52.051]  I got calls last week from all over the country.
[00:41:52.111 --> 00:41:54.212]  I sent a crew out to one of the things in San Antonio.
[00:41:54.452 --> 00:41:55.852]  There were about 7,000 people there.
[00:41:56.792 --> 00:41:59.454]  Keith Olbermann and others say there were less than 10,000 nationwide.
[00:41:59.774 --> 00:42:04.537]  Folks, I have seen videos of New York and Atlanta where there was more than 10,000 per city.
[00:42:05.337 --> 00:42:15.263]  But notice they cheerlead the illegal aliens, waving Mexican flags, protesting for literally the fall of the United States, and bankrupting the states further with all the welfare and Medicaid and Medicare.
[00:42:16.844 --> 00:42:25.790]  But then citizens go out, and are bipartisan, and they come out, not just on CNN and MSNBC, but everywhere and say,
[00:42:26.308 --> 00:42:26.808]  Period.
[00:42:27.389 --> 00:42:29.290]  They hate black people.
[00:42:31.632 --> 00:42:34.734]  Now that is just incredible race baiting.
[00:42:35.695 --> 00:42:36.836]  Incredible!
[00:42:37.836 --> 00:42:41.019]  But that's what the left does, the fake left, the foundation left.
[00:42:41.759 --> 00:42:43.761]  They're here to divide and conquer America.
[00:42:44.461 --> 00:42:49.865]  They're here to make sure we never come together against the offshore banks, the ultra-rich, the elite setting up world government.
[00:42:50.485 --> 00:42:55.449]  See, the big banks brag in Carol Quigley's book and in all these different documents
[00:42:56.045 --> 00:43:03.808]  By Rand Corporation and others, they brag that they want big governments that destroy the middle class to get rid of their competition, then transfer all the wealth.
[00:43:03.828 --> 00:43:05.328]  Well, here's an example.
[00:43:06.028 --> 00:43:06.468]  30 to 1.
[00:43:07.589 --> 00:43:13.211]  For every $1 in welfare, 29 of it goes to the bankers.
[00:43:15.451 --> 00:43:18.972]  So, that's the bottom line here, and to have her doing this is just incredible.
[00:43:18.992 --> 00:43:20.493]  Okay, I promise, your call is straight ahead.
[00:43:21.053 --> 00:43:23.594]  Forrest, Rick, Tom, Matthew, George, Paul, Brian, many others,
[00:43:24.398 --> 00:43:30.522]  I'm Alex Jones, InfoWars.com, PrisonPlanet.tv has been redesigned and updated with a ton of new info.
[00:43:30.562 --> 00:43:31.163]  Check it out.
[00:43:31.603 --> 00:43:32.283]  We'll be right back.
[00:43:33.284 --> 00:43:37.267]  If you have over $10,000 in credit card debt, you need to hear this.
[00:43:37.547 --> 00:43:38.868]  Have you been watching the bank's
[00:43:41.263 --> 00:43:41.564]  We're good.
[00:43:57.426 --> 00:43:58.206]  We're good to go.
[00:44:23.135 --> 00:44:27.857]  You have nothing to lose, except your credit card debt.
[00:44:28.078 --> 00:44:30.779]  Call 800-324-6554.
[00:44:30.799 --> 00:44:32.660]  800-324-6554 today.
[00:44:32.980 --> 00:44:38.103]  Have you ever read the ingredients in your skin creams, personal hygiene products, vitamins, or herbal supplements?
[00:44:38.383 --> 00:44:46.667]  Did you know that most skin creams, body lotions, shampoos, and toothpastes contain chemical additives such as sodium lauryl sulfate, the same type of detergent used in dish soap?
[00:44:46.947 --> 00:44:50.209]  Did you know that many multivitamin supplements are made from synthetic vitamins?
[00:44:50.509 --> 00:44:53.451]  Do your herbal remedies have unwanted additives and fillers?
[00:44:53.731 --> 00:44:55.852]  Have you ever tested your body's pH level?
[00:44:56.233 --> 00:44:58.954]  Make the change to organic health and beauty products.
[00:44:59.214 --> 00:45:02.056]  Visit 2benatural.com and order today.
[00:45:02.616 --> 00:45:11.262]  2benatural.com carries exclusive all-natural chemical-free skin care, hair care, whole food vitamins, herbal remedies, and alkaline body balance supplements.
[00:45:11.622 --> 00:45:13.503]  Visit 2benatural.com.
[00:45:13.723 --> 00:45:16.325]  That's T-O-B-E-natural.com.
[00:45:16.865 --> 00:45:18.006]  2benatural.com.
[00:45:18.386 --> 00:45:22.768]  Use coupon code RADIO for 15% discount and free alkaline food chart.
[00:45:22.968 --> 00:45:23.228]  Call 1-888-417-1375.
[00:45:23.248 --> 00:45:25.168]  That's 1-888-417-1375 to order or request your free catalog.
[00:45:33.177 --> 00:45:33.337]  Dex?
[00:45:54.534 --> 00:45:58.817]  Call 908-691-2608 or visit hempusa.org.
[00:45:59.037 --> 00:46:11.705]  This incredible food source is loaded with enzymes so your body can digest the food you eat, and it creates an alkaline environment where cancer can't grow and parasites cannot live, and brings funguses, viruses, and bacterial levels down and to a halt.
[00:46:11.906 --> 00:46:13.587]  Try our powder seeds and oil today.
[00:46:13.747 --> 00:46:17.889]  Call 908-691-2608 or visit hempusa.org.
[00:46:18.090 --> 00:46:20.771]  If the body has the proper nutrition it will heal itself.
[00:46:21.072 --> 00:46:21.612]  Ask yourself,
[00:46:21.912 --> 00:46:24.897]  Why does our government not allow this crop to grow in the US?
[00:46:25.138 --> 00:46:27.501]  This product is also great for pets and animals.
[00:46:27.662 --> 00:46:28.904]  Call 908-691-2608 or go to hempusa.org today!
[00:46:33.268 --> 00:46:33.808]  You worry.
[00:46:34.168 --> 00:46:35.889]  You see the signs and worry about the future.
[00:46:36.249 --> 00:46:38.469]  You worry about economic turmoil and food shortages.
[00:46:38.889 --> 00:46:40.690]  How to be prepared while preserving your sanity?
[00:46:41.010 --> 00:46:42.210]  Your answer may be at hand.
[00:46:42.610 --> 00:46:45.811]  Author Linda Runyon lived off the land, isolated from civilization.
[00:46:46.211 --> 00:46:51.072]  She knows that as long as the sun shines, there will be plenty of free food all over God's green earth.
[00:46:51.452 --> 00:46:54.772]  Perhaps the only sane insurance is knowledge of wild edible plants.
[00:46:55.412 --> 00:46:56.753]  The cost of learning is minimal.
[00:46:57.093 --> 00:46:59.713]  Wild food grows everywhere and you will see it everywhere.
[00:47:00.013 --> 00:47:02.954]  It's every bit organic and more nutritious than our modern diets.
[00:47:03.467 --> 00:47:11.631]  Well respected in her field, Linda's approach to teaching this subject includes books, flashcards, and video with an emphasis on health, safety, practicality, and joy.
[00:47:12.111 --> 00:47:16.493]  Learn how to identify it, where and when to find it, how to prepare, use, and store it.
[00:47:16.914 --> 00:47:20.615]  Go to Linda's website, ofthefield.com, and take advantage of special offers.
[00:47:20.956 --> 00:47:24.617]  Or if you're not online, call her 24-hour, toll-free order line at 888-51-EAT-FREE.
[00:47:34.446 --> 00:47:35.967]  You're listening to GCN.
[00:47:35.987 --> 00:47:40.389]  Genesis Communication Radio Network.
[00:47:43.311 --> 00:47:44.652]  We are back live.
[00:47:44.692 --> 00:47:47.934]  Going to your calls throughout this hour into the next.
[00:47:48.915 --> 00:47:51.576]  I've got a bunch of other news that is very important as well.
[00:47:51.596 --> 00:48:02.263]  We'll be getting into dealing with our liberties and freedoms, but just finishing up with the controlled corporate press owned by the military industrial complex posing as the liberal press.
