[00:00:00.109 --> 00:00:01.711]  You know, Ron Paul grills Ben Bernanke.
[00:26:46.910 --> 00:26:51.956]  It's all about getting off the grid, being self-sufficient so the slave masters can't control us.
[00:26:51.996 --> 00:26:53.918]  That's what it's all about is institutionalizing us.
[00:26:54.739 --> 00:27:02.368]  It's an emergency power backup kit which consists of the PowerSource 1800 power plant and high efficiency solar panel designed to provide endless electricity.
[00:27:03.129 --> 00:27:08.573]  Remember, too, that gas generators need gas, but in a blackout, gas pumps can't pump gas because they run on electricity.
[00:27:08.893 --> 00:27:11.796]  The solar generator is like having a silent power plant hidden in your home.
[00:27:12.216 --> 00:27:14.137]  It's the perfect emergency backup for troubled times.
[00:27:14.238 --> 00:27:15.559]  MySolarBackup.com.
[00:27:15.799 --> 00:27:17.800]  That's MySolarBackup.com.
[00:27:18.101 --> 00:27:18.781]  Or give them a call at 877-327-0365.
[00:27:18.801 --> 00:27:18.841]  877-327-0365.
[00:27:18.861 --> 00:27:20.222]  The great folks from Solutions Science.
[00:27:20.242 --> 00:27:20.703]  MySolarBackup.com.
[00:27:29.409 --> 00:27:44.570]  Alright, speaking of another plug, because I want him to plug it, he carries our books and videos, and I've talked to a lot of folks that have been there, an incredible selection for folks in the Georgia area or in the Atlanta metro area, and you've also got a
[00:27:45.311 --> 00:28:04.267]  Way folks can call and I guess get a brochure, because you've got a bunch of titles, especially that are particularly informative for African-Americans, but I think everybody should read these and see these films and understand that perspective of the true awakening happening in society, particularly with the black community out there.
[00:28:04.288 --> 00:28:06.970]  So Mr. Williams, put a plug in for your fine bookstore.
[00:28:07.976 --> 00:28:09.857]  Uh, my name is Marcus Williams.
[00:28:09.877 --> 00:28:17.320]  I'm the owner of Nubian Bookstores, located in Southlake Mall in Laurel, Georgia, which is right outside of Atlanta on the south side.
[00:28:17.340 --> 00:28:21.402]  I can reach you at 678-422-6120.
[00:28:21.822 --> 00:28:29.585]  And besides just having my primary line of books are African American, but I also have a large conspiracy section.
[00:28:29.805 --> 00:28:31.106]  I probably have one of the largest
[00:28:31.986 --> 00:28:37.808]  Um, conspiracy new orders sections as far as books and inside of any major shopping mall within the state of Georgia.
[00:28:38.648 --> 00:28:51.131]  So if you might not be interested in receiving books by any African Americans, I also carry like a lot of, uh, Ralph Epperson, uh, Fritz Springmeier, Eustace Mullins, uh, uh, kind of Ralph Epperson.
[00:28:51.171 --> 00:28:58.233]  I have a bar section of those books and if there's anything that I don't have that you want, I can order any book, black, white,
[00:28:58.926 --> 00:29:04.009]  Asian, Chinese, whatever you want, I can order and get it to you and mail it out to you immediately.
[00:29:04.029 --> 00:29:12.254]  And I think, Alex, that your Obama deception film, I'm most definitely going to place a large bulk order to get your film in my store next week.
[00:29:12.354 --> 00:29:13.334]  Are you kidding, my friend?
[00:29:13.354 --> 00:29:15.075]  I'm going to give you a couple hundred free.
[00:29:15.095 --> 00:29:16.156]  You just tell the guys that.
[00:29:16.816 --> 00:29:18.477]  Okay, so the first 200 are free.
[00:29:18.678 --> 00:29:18.998]  Boom.
[00:29:19.398 --> 00:29:23.700]  For what you did with the Professor Griffin interview, we're very, very thankful to you on that.
[00:29:23.760 --> 00:29:26.122]  Give the number out slowly for folks that might want to write it down.
[00:29:26.832 --> 00:29:28.812]  Okay, I'm a Nubian bookstore.
[00:29:29.012 --> 00:29:30.453]  I'm in Morro, Georgia.
[00:29:30.473 --> 00:29:34.353]  My phone number is 678-422-6120.
[00:29:35.134 --> 00:29:42.695]  And if there's any book on any subject matter, it doesn't matter, black, white, Asian, Mexican, or whatever, I can get it.
[00:29:43.095 --> 00:29:48.676]  I get a large request for like a lot of conspiracy books and stuff, too, to a lot of guys in prison.
[00:29:48.716 --> 00:29:54.417]  So if you even have like a family member who's locked up, I know a lot of prisons only allow books to be delivered to prisons
[00:29:54.909 --> 00:30:20.935]  to a bookstore to the publishing company so if you need me to mail out books to anybody that you might have incarcerated also I can take care of that for you I can reach you at 678-422-6120 and Alex I really appreciate you for even giving me this opportunity to come on your show to even discuss this issue and promote my story because when you called me I was shocked because I've been listening to you like over seven years I've been listening to you and I
[00:30:21.664 --> 00:30:23.085]  I've been playing your program in my source.
[00:30:23.125 --> 00:30:27.907]  I get a lot of people who's always listening who's always asking from time to time as far as, you know, who is that?
[00:30:27.947 --> 00:30:28.968]  And I tell them that it's you.
[00:30:29.028 --> 00:30:30.749]  And a lot of people in the room recognize your voice.
[00:30:31.489 --> 00:30:34.791]  And also, you know, identify, you know, as far as being a listener to your show too.
[00:30:34.811 --> 00:30:42.455]  So you have a large listening audience within the African American community who's also hip to a lot of the stuff going on with Obama.
[00:30:42.495 --> 00:30:47.258]  So I wanted a lot of your listeners who are, who might be non-black to know that.
[00:30:47.881 --> 00:30:54.127]  Don't be fooled by what you see in the media and stuff as far as thinking that everybody in the African American community is sold on Obama.
[00:30:54.147 --> 00:30:59.952]  There's a large, huge number of people who don't, but you just don't get to see them on TV.
[00:30:59.972 --> 00:31:04.476]  Let's say like a Republican or something like that, above the net, so there's a large...
[00:31:05.188 --> 00:31:06.910]  Number of people who are hip to the game.
[00:31:07.330 --> 00:31:12.174]  Well here's an example of stereotypes and judging a book by its cover normally being a fraud.
[00:31:12.274 --> 00:31:15.537]  Ron Paul goes before CPAC, the big neocon conservative.
[00:31:16.277 --> 00:31:21.182]  Thousands and thousands, look like tens of thousands in this giant auditorium as far as the eye can see.
[00:31:21.822 --> 00:31:24.565]  Sitting in chairs and Limbaugh was speaking and all these other people.
[00:31:25.265 --> 00:31:30.708]  Ron Paul gets up and says, we killed over a million Iraqis, the war was evil, the war was a fraud, the war was bad.
[00:31:31.709 --> 00:31:40.915]  We need to stop it, and the majority are clapping and whooping because the average conservative doesn't believe what they say a conservative is in the media.
[00:31:40.935 --> 00:31:44.617]  They love telling people who they are, telling people what they are.
[00:31:44.637 --> 00:31:48.299]  We need to just stop thinking that way and decide who we are for ourselves.
[00:31:48.659 --> 00:31:52.322]  But so many people stay, like David Icke says and others, in that little bubble.
[00:31:53.345 --> 00:32:08.034]  When we're spiritual beings, and we're on this planet for a reason, one time, and we're all together as humanity, and there's always been good and evil in the world, and as soon as we don't realize that there's evil, we fall prey to it.
[00:32:08.074 --> 00:32:09.395]  I want to go to some phone calls now.
[00:32:09.955 --> 00:32:11.296]  He called in earlier, but I couldn't go to him.
[00:32:11.316 --> 00:32:14.638]  Then he wants to give us a review of the Watchmen film.
[00:32:15.299 --> 00:32:16.960]  He got a chance to see it at a sneak peek.
[00:32:17.000 --> 00:32:18.701]  It comes out tomorrow.
[00:32:19.302 --> 00:32:21.043]  Tito in Canada.
[00:32:21.383 --> 00:32:22.965]  You're on the air, Tito.
[00:32:23.325 --> 00:32:24.586]  Finish up the point you wanted to add.
[00:32:25.365 --> 00:32:25.906]  Okay, great.
[00:32:26.266 --> 00:32:31.291]  I mean, just to make one thing clear, you know, I don't really feel comfortable giving a full review of the movie.
[00:32:31.331 --> 00:32:34.855]  It doesn't come out until tomorrow, you know, so I'd really like to preserve... Okay, whatever.
[00:32:34.915 --> 00:32:37.257]  You said you wanted to talk about the movie, so I'm giving you a chance to.
[00:32:37.277 --> 00:32:37.617]  Whatever.
[00:32:37.958 --> 00:32:38.778]  No, I appreciate it.
[00:32:38.919 --> 00:32:49.149]  I just wanted to let everyone know that it's a great talking point for those people who may not be familiar with the false flag attack, and it brings up a lot of... This movie touches on basically
[00:32:49.835 --> 00:33:11.013]  So many things that we talk about here on the show and so many things in the truth movement, you know, whether it's the one conspiracy figure who, who is trying to get the truth out and, and, uh, you know, fighting against the new world order, even, even right till the end to never compromise, even in the face of Armageddon, you know, and that's a message that we can all take to heart as well.
[00:33:11.353 --> 00:33:18.319]  It's a fantastic movie and I just, I just, just want everyone to see it so that when they have their friends and they want to talk about these kinds of things,
[00:33:18.772 --> 00:33:19.873]  This is another springboard.
[00:33:19.893 --> 00:33:29.121]  It's another opportunity, and it's another place for us to bring up these points about how these things happen, not only in the superhero world they're showing, but in our world as well.
[00:33:29.301 --> 00:33:31.022]  Yeah, but you say it's a fantastic movie.
[00:33:31.102 --> 00:33:35.086]  Weren't you saying that they stage a false flag attack to bring world peace?
[00:33:35.106 --> 00:33:37.388]  I mean, that's how the Illuminati operates and thinks.
[00:33:37.448 --> 00:33:44.654]  Are you saying it's fantastic, because it's a great way to get people to wake up, because they only operate in popular culture, to understand what false flag terror is?
[00:33:45.578 --> 00:33:46.138]  That's true.
[00:33:46.238 --> 00:33:58.645]  And secondly, the movie doesn't necessarily say that this is the right decision or a good decision, and allows the viewer to become engaged and sort of question what they're seeing, you know, and the motives behind it.
[00:33:58.965 --> 00:34:02.407]  It surely doesn't paint it in a good picture.
[00:34:02.427 --> 00:34:06.749]  Okay, let me ask you this question, and then I want to ask Mr. Williams this question.
[00:34:06.789 --> 00:34:09.551]  Marcus Williams, our guest, new bookstore owner outside Atlanta, Georgia.
[00:34:11.016 --> 00:34:17.100]  Children of Men, and scores of other films the last couple years come out, V for Vendetta.
[00:34:17.260 --> 00:34:22.103]  The government's putting the deadly bioweapon, the vaccines, to bring in martial law.
[00:34:22.463 --> 00:34:24.385]  The government sterilized the people.
[00:34:24.865 --> 00:34:29.908]  The government staging bombing attacks to bring in control in the film Children of Men.
[00:34:31.369 --> 00:34:43.616]  All these, and I've gotten a chance to actually know some high-level Hollywood people, and I've seen the tribulations they've gone through trying to get the truth out, because there's a group above Hollywood controlling them and threatening them, even threatening their families and doing smear campaigns.
[00:34:43.636 --> 00:34:59.265]  So I do know that all of Hollywood isn't controlled, but when I talk to them, they tell me who is controlled, and they admit the Pentagon and CIA, I've had the X-Files folks on, Dean Hagelin saying the CIA planted the story of flying a hijacked jet in the World Trade Center, the government uses a drill to make NORAD stand down,
[00:35:00.486 --> 00:35:00.986]  No, we're good.
[00:35:12.028 --> 00:35:13.669]  This is a rebellion in Hollywood?
[00:35:14.230 --> 00:35:18.333]  Or is this revelation of the method where they're subconsciously conditioning us?
[00:35:20.134 --> 00:35:23.216]  Why do you think so many of these movies are coming out now?
[00:35:23.236 --> 00:35:31.883]  I mean, almost every science fiction or action movie, you know, the last Die Hard movie, an evil guy in the government staging a thing to cause a fire cell to blow up the economy.
[00:35:32.103 --> 00:35:33.144]  What do you think's happening, Tito?
[00:35:33.988 --> 00:35:43.853]  Well, I think, first of all, for Watchmen, I mean, it was written in 1985, so it takes that sort of political, still a little bit with the Cold War mentality behind it.
[00:35:44.433 --> 00:35:48.755]  And so, you know, we're looking at it after that.
[00:35:48.815 --> 00:35:51.377]  But notice how we're entering back into that now, though.
[00:35:51.897 --> 00:35:53.258]  We're going back into the Cold War.
[00:35:53.278 --> 00:35:54.278]  It is very sophisticated.
[00:35:54.298 --> 00:35:56.059]  Go ahead.
[00:35:56.379 --> 00:36:01.942]  And I just feel like the movie is set in a different time, and it uses superheroes in place of government.
[00:36:02.355 --> 00:36:13.300]  Because in this movie, essentially, the superheroes act on behalf of governments, you know, sometimes, and even bigger than the government when they take in their full power over the world.
[00:36:13.720 --> 00:36:26.566]  And so, while it doesn't come out and necessarily say, hey, governments can do this or that, it puts the idea in your head that these people who may be benign appearing and wanting to help the world, sometimes in their cold logic,
[00:36:27.202 --> 00:36:29.443]  You know, make very horrific decisions.
[00:36:29.763 --> 00:36:31.024]  Alright, thanks for the call.
[00:36:31.404 --> 00:36:31.965]  Thanks for the call.
[00:36:32.045 --> 00:36:33.365]  I'll do a review coming up Monday.
[00:36:33.405 --> 00:36:34.946]  I'm going to see it Saturday with some of the guys.
[00:36:35.466 --> 00:36:36.947]  It's somebody's birthday here, so we're going out.
[00:36:37.668 --> 00:36:43.811]  A rarity, we're kind of celebrating the Obama Deception is done, take a few nights off and actually go out and eat and stuff.
[00:36:44.491 --> 00:36:54.577]  We do that, but that's what the higher level, Illuminist, Masons, Rosicrucians do, is when you see, people love these archetypal superheroes, those are
[00:36:55.768 --> 00:37:02.191]  Taking the place of the angels, the gods they worship at Skull and Bones and other things.
[00:37:02.591 --> 00:37:04.672]  And so that's that message they're giving.
[00:37:04.692 --> 00:37:05.973]  Give us your take on this, Marcus.
[00:37:06.854 --> 00:37:19.040]  I think that most definitely a lot of those movies are coming out with the government doing, I guess, evil things against the public.
[00:37:19.060 --> 00:37:23.282]  When you guys were talking, I was thinking back to the whole Oklahoma City bombing where
[00:37:24.511 --> 00:37:27.953]  It was the governor's brother, so it was the governor or the mayor who wrote a book.
[00:37:28.274 --> 00:37:30.115]  Yeah, the governor's brother wrote a book.
[00:37:30.435 --> 00:37:30.655]  Right.
[00:37:30.995 --> 00:37:35.458]  Where a Tim McVeigh bombs the federal building, exactly as it happened.
[00:37:35.478 --> 00:37:35.779]  Go ahead.
[00:37:36.219 --> 00:37:42.563]  And as a fact, I think the guy who did it had the exact same or so much spelled last name as Tim McVeigh in the book.
[00:37:43.244 --> 00:37:52.550]  And I think most people think a lot of it is just a lot of conditioning the people subconsciously through these movies to, I don't know, just to accept
[00:37:55.828 --> 00:37:58.670]  I really, it's really my bad.
[00:37:58.750 --> 00:37:59.250]  I agree with you.
[00:38:00.350 --> 00:38:11.195]  And that's why they'll allow directors, because I've looked into this, that are actually on our side, the big boys will say go ahead and let them do it, and the directors themselves don't realize they're being manipulated.
[00:38:11.796 --> 00:38:14.477]  But take Oliver Stone as any given Sunday.
[00:38:15.477 --> 00:38:17.398]  It's the Aztecs versus the Knights Templars.
[00:38:17.578 --> 00:38:19.139]  Everything is Illuminati in that film.
[00:38:19.459 --> 00:38:22.300]  That's Oliver Stone letting you know that he knows what's really going on.
[00:38:23.703 --> 00:38:28.345]  But we still, you know, a lot of times within the movies, we still have the symbolism and storylines and stuff.
[00:38:28.425 --> 00:38:34.267]  It's just another, it's just a mirror of what's going to happen in the future or what's going on right now in reality.
[00:38:34.748 --> 00:38:35.868]  Take New Orleans.
[00:38:36.428 --> 00:38:40.790]  Oil Storm aired nine months before Katrina hit.
[00:38:40.910 --> 00:38:47.273]  Mayor Ray Nagin took part in the film where exactly what happens, happens, and then it comes out nine months later.
[00:38:48.013 --> 00:38:48.233]  Right.
[00:38:48.593 --> 00:38:52.635]  And it was also reported that Mayor Nagin also had told
[00:38:53.832 --> 00:38:54.272]  I don't
[00:39:13.039 --> 00:39:14.660]  It's really crazy Alex.
[00:39:15.120 --> 00:39:16.240]  It's just mind boggling.
[00:39:16.481 --> 00:39:18.481]  These Luciferians are magicians.
[00:39:18.521 --> 00:39:19.462]  They believe in magic.
[00:39:19.542 --> 00:39:21.343]  They believe in numbers.
[00:39:21.643 --> 00:39:29.486]  I've bought the official black magic books that have been republished for 500 years and read them.
[00:39:29.706 --> 00:39:30.887]  They call it lesser magic.
[00:39:30.947 --> 00:39:35.809]  They believe that by showing you what they're going to do first, that gives them even more power later.
[00:39:37.149 --> 00:39:39.189]  The Native Americans called it counting coup.
[00:39:39.510 --> 00:39:59.973]  They would have a little soft club, and in a fight, if they were really a big warrior, you know, especially in fights within the village, you know, to test, you know, if somebody wanted to challenge them, they would do death blows repeatedly, and then after they'd counted coup five or six times, see, I could have already killed you six times, then they'd pull out the real club with the big rock and kill them.
[00:40:00.894 --> 00:40:02.014]  So this is counting coup.
[00:40:03.888 --> 00:40:28.488]  So, Alex, I got a quick question for you that I wanted to ask you as far as, you know, what would you, uh, with everything that's going down with the economy, uh, with, uh, Obama sitting more truth to Afghanistan, what do you think would be, like, the best, uh, action, I guess, that people would, I mean, what, what can the people do as far as trying to counterattack what's going on with the economy and everything?
[00:40:30.690 --> 00:40:33.272]  Specifically, uh, I mean, is that two questions, or?
[00:40:34.281 --> 00:40:39.362]  Uh, just specifically as far as, you know, what do you think that the people should do as this?
[00:40:39.563 --> 00:40:45.764]  I mean, like through my bookstore, like I always know, give away, you know, information and stuff to try to wake up people.
[00:40:45.784 --> 00:40:51.066]  So, you know, certain things that's going on within politics, uh, health and et cetera.
[00:40:51.786 --> 00:40:58.688]  But as far as I think that as far as trying to come up with some type of a group or network, I really didn't really have a real,
[00:40:59.440 --> 00:41:01.221]  Positive effect of real change.
[00:41:01.562 --> 00:41:03.383]  Yeah, well I think just resist.
[00:41:03.943 --> 00:41:06.985]  Demonstrate, call into talk shows, make films, make blogs.
[00:41:07.426 --> 00:41:10.208]  Point out there's a shadow government, it's what the Obama deception does.
[00:41:10.628 --> 00:41:12.269]  Point out that, hey, forget Obama.
[00:41:13.290 --> 00:41:14.811]  You know, forget Bush.
[00:41:15.752 --> 00:41:18.293]  There are the puppet masters behind the puppets.
[00:41:19.714 --> 00:41:24.018]  Things are only going to get worse until we arrest these bankers, until we arrest the New World Order.
[00:41:25.237 --> 00:41:46.236]  And talk about that as a solution, instead of getting caught up, I know you know this, but for the general folks out there, want a solution, to not get caught up in the false choices they give us, and debate just that limited universe of ideas they give us, and expand out of the larger universe of ideas, and really get more aggressive and say, you're a pack of made-off criminals,
[00:41:47.037 --> 00:42:08.075]  Like Bernard Madoff that are looting and robbing, you are criminal, you are destroying things by design and just basic educate people one person at a time to how illegitimate this is until the system just loses all credibility and then we can take it back and educate the police and military not to go along with martial law.
[00:42:08.715 --> 00:42:24.505]  and defend the second amendment and expose that uh... you know stand up to democrats and say look at you you you know you attack bush for doing all this evil but now you're for it because it's obama and you feel like he's your man you gotta seat at the table you're a sucker i think being aggressive and in people's faces
[00:42:25.505 --> 00:42:26.286]  Uh, is the way to go.
[00:42:26.306 --> 00:42:30.891]  So many people are nice about it and kind of, you know, creep up, and I know you think I'm a kook, but there's a new world order.
[00:42:31.551 --> 00:42:32.833]  All the time for that's over.
[00:42:32.893 --> 00:42:34.514]  We need people to be bold.
[00:42:34.895 --> 00:42:36.436]  You know, fortune favors the bold.
[00:42:36.877 --> 00:42:38.118]  What did Frederick Douglass say?
[00:42:38.518 --> 00:42:41.481]  Freedom is not given, it is taken, it is seized.
[00:42:43.316 --> 00:42:53.401]  We just have to get aggressive, and know we're right, and know we have power, and know we can affect change, and develop our communities, and love each other, like Mahatma Gandhi said, and fight against these corrupt people.
[00:42:53.421 --> 00:42:54.622]  Does that answer your question, Marcus?
[00:42:55.082 --> 00:42:56.663]  I think you hit the nail right on the head.
[00:42:56.723 --> 00:42:59.244]  You gave the answer I was looking for.
[00:42:59.264 --> 00:43:00.065]  Alright, stay there, sir.
[00:43:00.225 --> 00:43:01.506]  We'll all get answers from each other.
[00:43:01.966 --> 00:43:04.287]  We'll be right back with more calls from Marcus Williams.
[00:43:04.347 --> 00:43:05.268]  Stay with us.
[00:43:06.761 --> 00:43:11.042]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[00:43:11.282 --> 00:43:16.184]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[00:43:16.384 --> 00:43:17.724]  Hi folks, Alex Jones here.
[00:43:17.884 --> 00:43:21.385]  Why not go back to basics and be safe with Calbin Pure Soaps?
[00:43:21.505 --> 00:43:26.666]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
[00:43:26.906 --> 00:43:32.608]  Marty Schachter founded Calbin Soap Company in 1947 and provided products for health institutions.
[00:43:33.008 --> 00:43:35.449]  Now, Calvin Soaps are available to you and me.
[00:43:35.529 --> 00:43:37.849]  Triple concentrated for all your cleaning needs.
[00:43:38.049 --> 00:43:40.190]  From bathing and laundry to dishes, hair and more.
[00:43:40.470 --> 00:43:41.450]  No harsh chemicals.
[00:43:41.670 --> 00:43:42.610]  No animal testing.
[00:43:42.870 --> 00:43:44.191]  I use them and love them.
[00:43:44.211 --> 00:43:45.811]  Knowing they're all natural and safe.
[00:43:46.091 --> 00:43:47.151]  And I say big time.
[00:43:47.511 --> 00:43:48.732]  Call Calvin Pure Soap at 1-800-340-7091.
[00:43:48.752 --> 00:43:48.972]  That's 1-800-340-7091.
[00:43:48.992 --> 00:43:50.592]  Or log on to 5starsoap.com now for a free catalog.
[00:43:58.994 --> 00:44:05.523]  Again that number 1-800-340-7091 or 5starsoap.com for all your cleaning needs.
[00:44:06.504 --> 00:44:12.893]  Today unlike any other in the long course of American history a terrorist act of war against this country.
[00:44:13.253 --> 00:44:14.956]  The enemy struck America on September 11th.
[00:44:15.891 --> 00:44:16.912]  But who is the enemy?
[00:44:17.433 --> 00:44:17.953]  Bin Laden.
[00:44:18.233 --> 00:44:19.214]  This is his M.O.
[00:44:19.234 --> 00:44:20.556]  We have to look to the Middle East.
[00:44:20.596 --> 00:44:22.297]  We have to look to Osama Bin Laden.
[00:44:22.598 --> 00:44:29.344]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:44:29.745 --> 00:44:30.185]  Some U.S.
[00:44:30.225 --> 00:44:35.871]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:44:36.571 --> 00:44:40.014]  I'm aware that some Israeli citizens have been detained.
[00:44:40.034 --> 00:44:42.056]  Either you are with us, or you are with the terrorists.
[00:45:08.194 --> 00:45:10.176]  It's a new year full of uncertainties.
[00:45:10.776 --> 00:45:13.259]  People are being laid off in record numbers.
[00:45:13.839 --> 00:45:18.003]  The price of food continues to rise and the economy continues to falter.
[00:45:18.777 --> 00:45:20.538]  You know that you need to prepare.
[00:45:20.878 --> 00:45:23.901]  And maybe you've been putting it off, but the time to act is now.
[00:45:24.281 --> 00:45:27.283]  That's why you need to visit OrganicaSeed.com.
[00:45:27.583 --> 00:45:38.971]  At OrganicaSeed.com, you'll find one of the largest online selections of heirloom seeds and survival seed packs, as well as the giant vegetable seed collections that can feed you and your family for years.
[00:45:39.371 --> 00:45:45.795]  Imagine growing your very own fresh vegetables, wheatgrass, fruits, herbs, rice, tea, coffee, and tobacco.
[00:45:46.656 --> 00:45:48.477]  I was just talking to Paul Hartman.
[00:46:16.673 --> 00:46:24.555]  During the break, Mr. Williams and his barber is a Prince Hall black mason.
[00:46:25.195 --> 00:46:30.396]  They were having a big discussion about the New World Order and he was saying that his barber knew all about the New World Order and said they were puppets and it was bad.
[00:46:30.836 --> 00:46:32.596]  But then he thinks that being a mason's good.
[00:46:32.616 --> 00:46:36.777]  They wanted me to ask you, do you ever have a black mason's Prince Hall Lodge?
[00:46:37.077 --> 00:46:40.338]  It was before the masons were racist and wouldn't let black folks in.
[00:46:40.358 --> 00:46:41.218]  They had their own group.
[00:46:44.380 --> 00:46:45.541]  I mean, do you have any comments on that?
[00:46:45.641 --> 00:46:48.762]  Like, reportedly Jesse Jackson and others are really Masons.
[00:46:48.802 --> 00:46:53.144]  You never heard Jesse Jackson say, take down the statue behind the Supreme Court.
[00:46:53.444 --> 00:46:55.325]  We've been there, we videotaped it in D.C.
[00:46:56.046 --> 00:46:59.588]  of Albert Pike, the founder of the Ku Klux Klan, Supreme Grand Mason.
[00:47:00.868 --> 00:47:12.554]  Yeah, you know, here in Atlanta, Georgia, I'm originally from Michigan, but here in the South, the Masonic Order of the Eastern Star Movement is real, real big here in Georgia, in the South.
[00:47:13.197 --> 00:47:16.638]  I get a lot of Masons that come to my store.
[00:47:16.698 --> 00:47:25.099]  I do sell Masonic books and rituals because I have a large demand for people who want books dealing with Freemasonry.
[00:47:25.539 --> 00:47:32.260]  It's real big here and I get a lot of people who also know Reed who are familiar with your books and videos.
[00:47:32.300 --> 00:47:36.901]  I think that a lot of, in my personal opinion, I have a lot of relatives who are Masons.
[00:47:37.001 --> 00:47:37.481]  I'm not.
[00:47:38.301 --> 00:47:40.902]  In the Masonic Order, I've really never been impressed.
[00:47:42.406 --> 00:47:48.189]  With any of my family members as far as like any knowledge or anything like that, I guess they're learning in the lodges or whatever, so.
[00:47:50.550 --> 00:48:02.056]  I think, to me, I think it's, I think in the black community, to me personally, especially on the lower level, I think that it's, I don't really take the Masons as far as really being a real big
[00:48:04.165 --> 00:48:04.865]  I agree with you.
[00:48:04.965 --> 00:48:08.327]  I believe most masons, I know most masons, are porch masons.
[00:48:08.367 --> 00:48:09.107]  Let's take a call.
[00:48:09.467 --> 00:48:13.749]  Rob in California, you're on the air with the owner of the Nubian Bookstore in Atlanta, Georgia, Marcus Williams.
[00:48:15.010 --> 00:48:17.211]  Yeah, you guys were right on it with the movie industry.
[00:48:17.231 --> 00:48:19.852]  I just saw The International last weekend.
[00:48:19.892 --> 00:48:21.733]  That movie sent chills down my spine.
[00:48:22.794 --> 00:48:23.454]  Have you seen that one?
[00:48:24.105 --> 00:48:26.847]  No, but I've read the synopsis and talked to folks that have seen it.
[00:48:27.088 --> 00:48:33.293]  They claim there's one bad rogue bank that needs to be banned, and the big international banks need to stop it in the end.
[00:48:33.333 --> 00:48:36.976]  And notice they're introducing legislation to shut down the smaller banks internationally right now.
[00:48:37.276 --> 00:48:41.800]  So these movies come in perfectly, just like Blood Diamond says, stop the diamonds.
[00:48:41.840 --> 00:48:44.142]  That only means stop the diamonds that independents are putting out.
[00:48:44.502 --> 00:48:46.424]  It's actually De Beers that has the slave camps.
[00:48:46.704 --> 00:48:48.346]  But they imply that De Beers is fighting it.
[00:48:49.312 --> 00:48:53.995]  Yeah, he made a comment in there, he said, it's not about the money, he said, we want the debt.
[00:48:55.616 --> 00:48:58.057]  And that just, like, that summed it all up for me, you know.
[00:48:58.317 --> 00:49:02.079]  But I wanted to ask you, have you seen the series of films, The Arrivals?
[00:49:03.400 --> 00:49:03.620]  No.
[00:49:04.841 --> 00:49:08.663]  No, that's what, like, all the kids around here, that's what they're getting into.
[00:49:08.703 --> 00:49:13.546]  That's like, kind of like their new, their new zeitgeist or whatever, however you want to put it.
[00:49:14.085 --> 00:49:16.707]  It's a series of, like, 15 minute films.
[00:49:16.727 --> 00:49:17.968]  There's about 50 of them.
[00:49:18.188 --> 00:49:19.489]  I think I've seen one or two now, yeah.
[00:49:20.410 --> 00:49:29.778]  Yeah, I mean, I've got... I watched about three of them, but I'm just kind of up in the air about what it's... I didn't know if it was, like, just... It seemed to be kind of anti-Semitic.
[00:49:31.739 --> 00:49:37.444]  But I was just wondering if you had seen them and what your take was on those things before I get in and watch the rest of the 50 of them.
[00:49:37.704 --> 00:49:38.645]  I think I've seen one or two.
[00:49:38.705 --> 00:49:40.146]  It's like a YouTube release, right?
[00:49:40.993 --> 00:49:41.853]  Yeah, exactly.
[00:49:41.873 --> 00:49:45.254]  You gotta go click from one to the next to the next to the next and stuff.
[00:49:45.994 --> 00:49:53.456]  Well, you know, my whole issue is people that obsess on one group or another, that just plays into the balkanization.
[00:49:53.636 --> 00:49:55.256]  Can't we just all be against the New World Order?
[00:49:55.496 --> 00:49:58.017]  Can't we all be against tyranny and people being oppressed?
[00:49:58.837 --> 00:50:00.337]  And then we can come together against that.
[00:50:00.857 --> 00:50:04.298]  They love us fighting over race or religion or issues.
[00:50:04.338 --> 00:50:06.658]  That's how they break us down and control us.
[00:50:06.679 --> 00:50:08.639]  Do you have any comments on that, Marcus?
[00:50:09.958 --> 00:50:18.486]  I think that with the whole thing as far as what you was saying, I want to kind of bring this back up before I forget about what you had to say before the last Rick as far as being more aggressive.
[00:50:19.386 --> 00:50:27.473]  And I think that I really wish, that I wish that, that little clip I guess you're about to play with Senator Sanders, of grilling the Bernanke.
[00:50:28.114 --> 00:50:32.858]  I really wish Ron Paul had that same fire to be a little bit more aggressive.
[00:50:32.878 --> 00:50:34.840]  I was looking for that during the primaries.
[00:50:35.569 --> 00:50:38.832]  And I think that if Ron Paul had that same pie, it would be aggressive.
[00:50:38.933 --> 00:50:39.493]  I agree with you.
[00:50:39.553 --> 00:50:40.114]  Stay there.
[00:50:40.234 --> 00:50:41.215]  Stay there, Mr. Williams.
[00:50:41.235 --> 00:50:42.817]  We're going to come back in five more minutes.
[00:50:42.857 --> 00:50:45.139]  I'm going to play Senator Sanders' clip.
[00:50:46.600 --> 00:50:52.466]  Thank you for listening to GCN.
[00:50:52.486 --> 00:50:54.248]  Visit GCNlive.com today.
