[00:00:09.119 --> 00:00:10.260]  Kissed a renegade.
[00:26:32.629 --> 00:26:37.656]  And you're going to start representing us as a people, or you're not going to be around.
[00:26:37.676 --> 00:26:38.617]  You're going to be unemployed.
[00:26:38.637 --> 00:26:40.920]  That's what irritates me with this government.
[00:26:41.381 --> 00:26:44.165]  You know, which the Congress has bought in for themselves.
[00:26:44.405 --> 00:26:48.651]  They serve one term, Alex, and they get 80% of their pay for the rest of their life.
[00:26:49.031 --> 00:26:55.134]  Oh, I know, it's like... And then, plus their pension, welfare, and benefits, all that, they get 100% for the rest of their life.
[00:26:55.314 --> 00:26:56.375]  It's totally unfair.
[00:26:56.395 --> 00:26:58.596]  And they want more, more, more, more, more.
[00:26:59.117 --> 00:27:00.077]  And they still get more and more.
[00:27:00.157 --> 00:27:03.319]  Fannie Mae, you know, gave contributions to Chris Dodd.
[00:27:03.699 --> 00:27:12.584]  I mean, the money they're raking in from the companies that are bellied up, and the government is pouring billions upon billions of dollars into these companies.
[00:27:13.064 --> 00:27:13.464]  Chuck Norris!
[00:27:30.098 --> 00:27:31.599]  Chuck, that's what I wanted to say to you.
[00:27:31.879 --> 00:27:43.425]  The New World Order globalism, the foreign banks that are taking over our country right now, I mean, on air, I mean, you know there's a New World Order, you said you've heard my show for years, now they're openly announcing world government that the banks are going to run.
[00:27:43.465 --> 00:27:44.166]  Are you against that?
[00:27:44.626 --> 00:27:45.346]  Oh, absolutely.
[00:27:45.847 --> 00:27:46.427]  Definitely.
[00:27:46.487 --> 00:27:50.409]  You know, the thing is, is that, what is China going to want?
[00:27:50.469 --> 00:27:55.172]  You know, because Hillary Clinton is what they're trying to get, talk them into buying more of our debt.
[00:27:55.932 --> 00:27:57.633]  What are we going to give them for collateral?
[00:27:58.897 --> 00:28:04.583]  Are we going to give up our country as collateral for the debt that they've taken over from us?
[00:28:05.023 --> 00:28:09.348]  I mean, they could wind up taking over a big portion of our country.
[00:28:10.249 --> 00:28:11.931]  We've got to stop this.
[00:28:11.971 --> 00:28:13.472]  We've got to stop this, Alex.
[00:28:13.833 --> 00:28:15.875]  People don't realize just how serious...
[00:28:16.440 --> 00:28:17.220]  This is right now.
[00:28:17.760 --> 00:28:25.222]  And if they don't realize, if they don't come and realize just how serious things are right now, we're going to wind up losing everything that we've got.
[00:28:25.483 --> 00:28:28.143]  Everything that America stood for is going to be gone.
[00:28:34.665 --> 00:28:34.965]  You bet.
[00:28:35.025 --> 00:28:41.967]  Ron Paul said here, culprits of financial collapse should be arrested, that state grand juries, that they have committed crimes, not just Madoff and others.
[00:28:42.327 --> 00:28:50.608]  Do you support state investigations, if the feds won't do it, to go after these corrupt brokerage and bank heads that are doing all this criminal activity and shipping the money overseas?
[00:28:50.988 --> 00:28:52.489]  I think the issue's been life in prison.
[00:28:52.709 --> 00:29:00.050]  I think every one of them is a criminal and they should all face prison time for the horrible mess they've put our country into.
[00:29:00.670 --> 00:29:03.731]  And for them to get to receive these payout benefits is just
[00:29:04.231 --> 00:29:06.092]  Alright, Chuck Norris, we appreciate you.
[00:29:06.112 --> 00:29:08.092]  Thank you so much for joining us.
[00:29:34.261 --> 00:29:38.584]  The new World Order Beast is genetically modifying your food.
[00:29:38.644 --> 00:29:40.345]  Genetically modifying.
[00:29:40.445 --> 00:29:42.606]  Mixing vegetables with animals.
[00:29:42.906 --> 00:29:45.728]  And now experimenting with viruses.
[00:29:45.808 --> 00:29:46.448]  Viruses.
[00:29:46.848 --> 00:29:52.152]  Without a long-term food solution, you will have just two options.
[00:29:52.592 --> 00:29:54.673]  Starve or surrender.
[00:29:54.773 --> 00:29:55.313]  Surrender.
[00:29:55.554 --> 00:29:58.876]  All canned food supplies will eventually run out.
[00:29:59.356 --> 00:30:00.256]  What then?
[00:30:02.967 --> 00:30:05.829]  Grow your own healthy food and feed your family forever.
[00:30:06.050 --> 00:30:10.233]  SurvivalistSeeds.com is now the nation's largest bulk heirloom seed company.
[00:30:10.373 --> 00:30:13.215]  And it's owned by a real patriot, Big John Lipscomb.
[00:30:13.255 --> 00:30:20.301]  You can now have an infinite amount of healthy vegetables like a watermelon, a bundle of carrots, or tomatoes for a little more than a penny each.
[00:30:20.461 --> 00:30:22.263]  SurvivalistSeeds.com.
[00:30:22.363 --> 00:30:27.767]  And now you can go into business with Big John at SurvivalistSeeds.com by becoming an affiliate.
[00:30:27.787 --> 00:30:30.409]  See his link at SurvivalistSeeds.com.
[00:30:30.509 --> 00:30:31.730]  SurvivalistSeeds.com.
[00:30:34.437 --> 00:30:35.878]  Are you embarrassed by your legs?
[00:30:36.278 --> 00:30:37.979]  Are your legs sore and irritated?
[00:30:38.260 --> 00:30:41.462]  Millions of women suffer from leg pain due to varicose veins.
[00:30:41.702 --> 00:30:46.365]  When varicose veins prevent you from living and enjoying your everyday life, you need Venulux.
[00:30:46.665 --> 00:30:51.949]  Venulux is a dietary tool formulated to restore naturally beautiful legs from the inside out.
[00:30:52.189 --> 00:30:59.974]  As part of your healthy lifestyle, Venulux promotes antioxidant action throughout your body to calm varicose veins and support fit legs for life.
[00:31:00.294 --> 00:31:06.096]  VaniLuxe has helped women all over the world relieve varicose vein pain and restore the confidence to bare their legs.
[00:31:06.456 --> 00:31:10.978]  Now it's your chance to benefit with VaniLuxe free when you call 1-888-4FITLEG today.
[00:31:11.098 --> 00:31:14.240]  That's 1-888-4FITLEG or visit us on the web at 4fitleg.com.
[00:31:14.420 --> 00:31:17.081]  And remember, when you call 1-888-4FITLEG, ask how to get your VaniLuxe free.
[00:31:17.101 --> 00:31:18.001]  That's 1-888-4FITLEG.
[00:31:28.785 --> 00:31:35.771]  Hi, this is Peter Cronstein with Midas Resources.
[00:31:35.911 --> 00:31:39.614]  As you know, government spending is at an all-time high and inflation is on the rise.
[00:31:39.694 --> 00:31:42.356]  What are you doing right now to protect yourself financially?
[00:31:42.517 --> 00:31:49.742]  As the economy continues to deteriorate due to corporate greed and government intervention, more people will lose their jobs and, worse, their life savings.
[00:31:49.863 --> 00:31:54.807]  Having your hard-earned money in banks, the stock market, or any other paper asset is a lose-lose deal.
[00:31:55.407 --> 00:31:55.647]  I think so.
[00:32:16.212 --> 00:32:19.953]  With rising unemployment and an economy that continues to fail comes an increase in crime.
[00:32:20.033 --> 00:32:21.513]  Are you safe when you walk to your car?
[00:32:21.653 --> 00:32:23.554]  Are your kids safe when they go out?
[00:32:23.574 --> 00:32:24.134]  Everyone needs
[00:32:53.236 --> 00:32:58.439]  DPS is the strongest pepper spray on the market and is the same spray used by hundreds of law enforcement
[00:33:00.783 --> 00:33:01.583]  Need something more?
[00:33:01.983 --> 00:33:05.624]  The Stinger Keychain is a great way to surprise a potential attacker.
[00:33:06.124 --> 00:33:14.225]  Mr. Defense carries the largest selection of stun guns, air tasers, knives, swords, batons, survival, spy, and tactical gear.
[00:33:14.765 --> 00:33:17.306]  Mention this ad and receive 10% off your order.
[00:33:17.686 --> 00:33:19.366]  Visit mrdefense.com.
[00:33:19.706 --> 00:33:20.827]  That's mrdefense.com.
[00:33:21.007 --> 00:33:21.787]  Or call 1-800-313-6400.
[00:33:21.807 --> 00:33:21.887]  1-800-313-6400.
[00:33:21.927 --> 00:33:22.247]  That's 1-800-313-6400.
[00:33:34.512 --> 00:33:36.835]  You're listening to GCN.
[00:33:38.457 --> 00:33:40.979]  Genesis Communication Radio Network.
[00:33:43.422 --> 00:33:44.804]  Liars and disinformation.
[00:33:47.487 --> 00:33:48.648]  It's Alex Jones.
[00:33:59.105 --> 00:34:04.369]  We're joined in the next 20 minutes by Congressman Ron Paul, who's up there on the hill today, a very busy man.
[00:34:05.070 --> 00:34:15.598]  And everything he talked about for 30 years is unfortunately unfolding, so his credibility is at the gold standard right now, as the mainstream is forced to check in to the facts he's been laying out.
[00:34:15.978 --> 00:34:24.484]  I wanted to talk to him about the deepening depressionary system we're going into, what the private federal reserve is up to in his bill to abolish it, how we can support that.
[00:34:24.565 --> 00:34:25.926]  Congressman, thank you for coming on.
[00:34:26.606 --> 00:34:27.106]  You're welcome.
[00:34:27.126 --> 00:34:27.627]  Good to be with you.
[00:34:28.878 --> 00:34:33.445]  Every few weeks they come before the Banking Committee and you bring up the fact that what they're doing is destroying us.
[00:34:33.926 --> 00:34:37.692]  What do we need to do to bring the private Federal Reserve under control?
[00:34:39.150 --> 00:34:40.972]  Well, it has to be an uprising by the people.
[00:34:41.252 --> 00:34:46.377]  There has to be enough people who will demand that their congressmen respond.
[00:34:46.617 --> 00:34:47.738]  And that is building.
[00:34:47.758 --> 00:34:53.704]  You know, a year ago or two, nobody in Washington even thought about the Federal Reserve.
[00:34:54.085 --> 00:34:59.330]  Today, there's a lot more thinking going on and a lot more support for our position, so it is growing.
[00:35:00.170 --> 00:35:04.214]  And yet we're not on the verge of changing it.
[00:35:04.294 --> 00:35:06.816]  I have the bill to get rid of the Federal Reserve.
[00:35:06.876 --> 00:35:09.718]  That's the major step and the ultimate step.
[00:35:10.179 --> 00:35:13.341]  And they'll probably self-destruct before we actually pass legislation.
[00:35:13.722 --> 00:35:15.183]  But the bill that is
[00:35:15.683 --> 00:35:23.788]  What is more important in the short run is the auditing bill, the 1207 bill, because that means they have to start answering our questions.
[00:35:23.848 --> 00:35:24.909]  Today they're protected.
[00:35:24.949 --> 00:35:28.111]  They're in total secrecy and they're protected by the law.
[00:35:28.572 --> 00:35:32.334]  If 1207 is passed, we have an audit and they have to answer the questions.
[00:35:32.894 --> 00:35:42.561]  And I figure if we ever get that far and get the exposure and get the transparency that we need, then people will wake up and realize why do we have them at all.
[00:35:43.403 --> 00:35:55.764]  Senator Sanders grilled him, as you know, last week saying that he's supporting 1207 or a version in the Senate because Bernanke, private Fed chief, just said, I'm not going to tell you where the money went, buddy.
[00:35:56.474 --> 00:36:02.136]  I mean, that's amazing to see our elected Congress, the most powerful branch of government, according to the founders, being told, kiss off.
[00:36:02.616 --> 00:36:02.817]  Right.
[00:36:03.517 --> 00:36:05.478]  And I know Sanders real well.
[00:36:05.718 --> 00:36:09.919]  He was on the banking committee with me before he went into the Senate, and I called him after that.
[00:36:10.720 --> 00:36:13.781]  And I believe he has now introduced my version.
[00:36:14.521 --> 00:36:18.443]  Uh, of the Transparency Bill, and he, and I've introduced his version.
[00:36:18.503 --> 00:36:19.864]  So both bills exist.
[00:36:19.964 --> 00:36:26.388]  Mine's a little bit more conclusive, and it removes the total authority for them to, uh, non-answer questions.
[00:36:26.448 --> 00:36:33.812]  His is specifically designed to answer certain questions and reveal where so, you know, the trillion dollars went.
[00:36:34.352 --> 00:36:37.574]  Uh, they're very similar, but somewhat, uh, different in nature.
[00:36:37.594 --> 00:36:41.896]  So we both support each other's bill, and they've been introduced in, in both chambers.
[00:36:42.256 --> 00:36:51.607]  Well, public support for this, and the Congress itself, the majority are saying they're angry to not know where the money is, and Bloomberg sued to find out and has been told no on their foyer.
[00:36:52.007 --> 00:36:58.654]  I mean, if this gets media attention, I can see no way that Congress wouldn't vote for a proper audit of the private Federal Reserve.
[00:36:59.696 --> 00:37:03.179]  They're going to, if we can get it that far.
[00:37:03.940 --> 00:37:06.502]  And, you know, it's a good issue.
[00:37:06.542 --> 00:37:13.108]  Like so many of our issues, we bring different factions together, liberal and conservative, under the Constitution.
[00:37:13.589 --> 00:37:25.038]  Because if you're a good, honest liberal, like Bernie Sanders, he's an honest person, but he's very, very liberal and calls himself a socialist, but he agrees on the transparency issues.
[00:37:25.459 --> 00:37:27.961]  So this whole idea that we expose him should be
[00:37:27.981 --> 00:37:36.188]  Bring populists, libertarians, constitutionals, liberals, socialists, all together and say, you know, if we can't do this, what's left of representative government?
[00:37:36.208 --> 00:37:36.989]  There's nothing left.
[00:37:37.249 --> 00:37:38.310]  So it's a good unifier.
[00:37:38.350 --> 00:37:39.371]  I think it's a great issue.
[00:37:39.791 --> 00:37:46.217]  Bloomberg reports $9.7 trillion has disappeared in one form or another just out of the U.S., another $10 trillion globally.
[00:37:46.657 --> 00:37:52.783]  And now Larry Summers is saying they want more money, they want more unlimited cash.
[00:37:53.968 --> 00:37:54.629]  That's what they're doing.
[00:37:54.669 --> 00:37:55.970]  They keep coming back, you know.
[00:37:55.990 --> 00:37:57.711]  And what's the argument you hear up here?
[00:37:58.031 --> 00:38:05.017]  You hear this argument, which I know there's some disagreement even in our circles, this whole idea of earmarks.
[00:38:05.337 --> 00:38:07.419]  They're dealing with these 1% of earmarks.
[00:38:07.499 --> 00:38:09.961]  If you vote against them all, you don't cut one penny of spending.
[00:38:10.502 --> 00:38:12.463]  And they're talking about that endlessly.
[00:38:12.503 --> 00:38:15.766]  They're holding up the bill in the Congress over this so-called issue.
[00:38:16.186 --> 00:38:22.351]  At the same time, this number that you mentioned, the $9.7 trillion, we need to earmark every penny.
[00:38:22.371 --> 00:38:22.752]  Go ahead.
[00:38:23.527 --> 00:38:28.609]  Yeah, I was talking about the need to monitor everything that we do and the transparency.
[00:38:28.629 --> 00:38:34.132]  And too often people concentrate on a non-issue, which is 1% of the budget, called earmarks.
[00:38:34.532 --> 00:38:37.473]  And even if you eliminated it, it wouldn't eliminate one penny.
[00:38:38.054 --> 00:38:41.295]  The real earmarks need to be done, you know, like, say, TARP funds.
[00:38:41.355 --> 00:38:48.378]  We gave the Treasury $350 billion and then another $350 billion, and there are no instructions, no earmarks.
[00:38:48.799 --> 00:38:51.540]  The Congress needs to have more responsibility, more earmarks.
[00:38:52.080 --> 00:38:56.642]  Of course, all the spending should be voted down, but when they do spend, we ought to know where it's going.
[00:38:57.122 --> 00:39:01.884]  But the biggest, the largest amount, of course, is the Federal Reserve.
[00:39:01.944 --> 00:39:03.724]  They're totally off-budget.
[00:39:03.744 --> 00:39:05.365]  They're like a government unto itself.
[00:39:05.865 --> 00:39:07.166]  They can create trillions.
[00:39:07.266 --> 00:39:13.008]  It's probably eight or nine, ten trillion dollars that they've been involved in, and they have no legal responsibility to answer.
[00:39:13.148 --> 00:39:13.608]  That was that HR 207? 1207.
[00:39:43.459 --> 00:39:44.100]  Okay, HR 1207.
[00:39:44.200 --> 00:39:44.660]  Right.
[00:39:44.900 --> 00:39:46.841]  I didn't have the bill in front of me.
[00:39:47.402 --> 00:39:55.067]  And then I should have the Senate bill number, but somebody could find that rather easily because we want to help Sanders get support for his bill as well.
[00:39:55.988 --> 00:39:56.628]  Absolutely.
[00:39:56.648 --> 00:39:59.350]  In fact, I'll Google that and get that out after you leave us.
[00:40:00.751 --> 00:40:01.752]  Continuing with the economy.
[00:40:02.840 --> 00:40:05.283]  This is clearly entering depression level.
[00:40:05.683 --> 00:40:07.225]  The banks are doing what you said they would do.
[00:40:07.245 --> 00:40:09.247]  They're hoarding the money, buying up other good banks.
[00:40:09.768 --> 00:40:13.652]  CBS reported $250 billion of bailout money has gone to the Kamens alone.
[00:40:13.972 --> 00:40:15.274]  The biggest names out there.
[00:40:16.855 --> 00:40:24.484]  Bernard Madoff is keeping his $60 million penthouse and mailing gold and diamonds out of the country to his family that's run to South America.
[00:40:25.465 --> 00:40:26.746]  He's the founder of the Nasdaq.
[00:40:26.806 --> 00:40:30.369]  It turns out all the other big banks are involved in similar Ponzi schemes.
[00:40:30.709 --> 00:40:38.956]  Shouldn't we be having criminal investigations of these people instead of the very same banksters now telling us we're going to have a new bank of the world that we pay carbon taxes to?
[00:40:38.976 --> 00:40:53.068]  Yeah, well, we should have minimal government, but even in a minimalist government, your government is supposed to deal with theft and physical harm and fraud, and that's what's going on, and that's what they ignore or protect.
[00:40:53.688 --> 00:41:18.571]  They're supposed to protect contracts, but they are interfering with contracts all the time and trying to tell people exactly what Mortgage rates should be and interest rates should be and price fixing and all these things but no, I think it's it's horrible what they're doing and they're not addressing the subject that they should and They should be prosecuting these people these people should be in prison, but you know if you go back to Enron and
[00:41:20.290 --> 00:41:20.971]  We're good to go.
[00:41:44.029 --> 00:41:52.374]  But what was our response in Congress was to pass Sarbanes-Oxley, more regulations which have actually contributed to some of the weakness in the economy.
[00:41:52.754 --> 00:42:03.159]  You just can't regulate away the mistakes that are made when governments are too much involved with Community Reinvestment Acts and easy money that the Federal Reserve creates.
[00:42:03.640 --> 00:42:05.241]  Regulations cannot solve that problem.
[00:42:05.281 --> 00:42:11.404]  But your point, that the purpose of the federal government should be, under these circumstances, to prosecute fraud.
[00:42:12.426 --> 00:42:16.728]  Well, take the Securities and Exchange Commission testifying before Congress, what, almost a month ago.
[00:42:17.528 --> 00:42:30.114]  They declared presidential prerogative and executive authority, I guess under national security, to not talk about why for nine years they were given private investigations detailing Bernie Madoff's crimes.
[00:42:30.594 --> 00:42:34.576]  And they kept saying to the Congress people, well, he hasn't been convicted, he hasn't pled guilty.
[00:42:34.596 --> 00:42:39.118]  And they said, it's not alleged, he's admitted to this.
[00:42:40.298 --> 00:42:40.719]  Yeah.
[00:42:42.329 --> 00:42:47.671]  So, as bad as the executive branch is, so much of that responsibility falls on the Congress, too.
[00:42:47.751 --> 00:42:53.272]  I mean, we're so negligent as to allow the executive branch to run roughshod over us.
[00:42:53.712 --> 00:42:58.554]  But if we had some people in the Congress that would have a little bit of courage
[00:42:59.306 --> 00:43:01.868]  And they could deal with this and handle it, but no.
[00:43:03.249 --> 00:43:12.076]  If they spread national security interests, you know, whether it has to do with torture in secret prisons and prison camps and, you know, all those kind of things.
[00:43:12.096 --> 00:43:13.677]  Oh, national security.
[00:43:13.717 --> 00:43:17.320]  We can't interfere with that.
[00:43:17.380 --> 00:43:18.961]  So therefore, the Congress says nothing.
[00:43:33.528 --> 00:43:34.768]  Hi, this is Alex Jones.
[00:43:34.829 --> 00:43:40.152]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:43:40.412 --> 00:43:45.035]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[00:43:45.435 --> 00:43:45.816]  It's true.
[00:43:45.916 --> 00:43:48.477]  Seeds have outperformed even gold and silver before in this country.
[00:43:48.717 --> 00:43:50.499]  And it's possible they could even happen again.
[00:43:50.999 --> 00:43:55.682]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:43:56.206 --> 00:44:03.128]  They call it a Survival Seed Bank, and it can produce an endless supply of nutrient-dense food for you and your family.
[00:44:03.328 --> 00:44:04.229]  And here's the best part.
[00:44:04.449 --> 00:44:10.811]  These seeds have not been genetically modified in any way, and you actually get enough seeds to plant a full acre crisis garden.
[00:44:11.131 --> 00:44:13.972]  So visit them today at survivalseedbank.com.
[00:44:14.332 --> 00:44:17.453]  That's survivalseedbank.com, or give them a call at 877-327-0365.
[00:44:17.473 --> 00:44:17.653]  That's 877-327-0365.
[00:44:17.673 --> 00:44:17.913]  Remember,
[00:44:26.263 --> 00:44:29.852]  In a real crisis, non-hybrid seeds are the ultimate barter item.
[00:44:30.193 --> 00:44:32.559]  This is Alex Jones for survivalseedbank.com.
[00:44:33.200 --> 00:44:35.001]  Gardeners, you have the seeds.
[00:44:35.242 --> 00:44:37.503]  Now let us help you create the ultimate garden.
[00:44:37.683 --> 00:44:40.925]  And whether or not you've got good soil, we've got just the solution.
[00:44:41.226 --> 00:44:45.529]  Add Grand Liquid Organic Fertilizer at liquidorganicfertilizer.com.
[00:44:45.689 --> 00:44:48.911]  Restore life to your soil or apply directly to the crop.
[00:44:49.071 --> 00:44:51.373]  Visit liquidorganicfertilizer.com.
[00:44:51.553 --> 00:44:58.938]  Fuller feeding with our 4-3-3 or sulfate of potash with kelp is 20 times more efficient than applying amendments to the soil.
[00:44:59.218 --> 00:45:00.039]  Manhattan fish?
[00:45:00.319 --> 00:45:08.527]  Blood meal, potash, and North Atlantic kelp are combined with 10 micronutrients as well as vitamins and amino acids for max results.
[00:45:08.847 --> 00:45:09.708]  You have the seeds.
[00:45:10.048 --> 00:45:11.590]  Now you need the fertilizer.
[00:45:11.610 --> 00:45:11.830]  Call 1-800-579-0580.
[00:45:11.850 --> 00:45:12.190]  That's 1-800-579-0580.
[00:45:12.210 --> 00:45:13.131]  Or visit liquidorganicfertilizer.com.
[00:45:21.539 --> 00:45:21.999]  Thank you.
[00:45:33.759 --> 00:45:39.625]  How would you like to finally be debt-free without paying another cent to creditors and not have to file bankruptcy?
[00:45:39.925 --> 00:45:43.368]  DebtCrisisSolutions.com can help free you from the debt trap.
[00:45:43.548 --> 00:45:48.253]  This is not a debt settlement program which has tax consequences or debt consolidation.
[00:45:48.413 --> 00:45:51.876]  With our program, there are no more payments to creditors or collectors.
[00:45:52.116 --> 00:45:52.596]  We're good to go.
[00:46:07.841 --> 00:46:08.902]  We're good to go.
[00:46:33.980 --> 00:46:34.861]  Spring is here.
[00:46:35.101 --> 00:46:35.881]  Growing season.
[00:46:36.062 --> 00:46:38.043]  The economy is not getting any better.
[00:46:38.263 --> 00:46:39.664]  In fact, it's getting worse.
[00:46:39.984 --> 00:46:40.645]  Think about it.
[00:46:40.945 --> 00:46:44.807]  At this rate, how will your life be in a month or even a year?
[00:46:45.048 --> 00:46:48.530]  Maybe you've been putting things off, but the time to act is now.
[00:46:48.790 --> 00:46:50.411]  The country is running out of food.
[00:46:50.691 --> 00:46:53.253]  You need to get your seeds before it's too late.
[00:46:53.533 --> 00:47:03.720]  At OrganicaSeed.com, you'll find one of the largest online selections of heirloom seeds, survival seed packs, as well as the giant vegetable seed collections that can feed you
[00:47:03.780 --> 00:47:04.200]  I think so.
[00:47:33.756 --> 00:47:35.797]  The GCN Radio Network.
[00:47:36.177 --> 00:47:39.059]  Providing the world with hard-hitting talk radio.
[00:47:39.619 --> 00:47:40.479]  GCN.
[00:47:40.800 --> 00:47:42.820]  Great talk radio starts here.
[00:47:42.841 --> 00:47:47.823]  Coming to you from the capital of Texas.
[00:47:48.443 --> 00:47:51.805]  Broadcasting the truth coast to coast and worldwide.
[00:47:52.325 --> 00:47:54.446]  This is the Alex Jones Show.
[00:48:12.115 --> 00:48:24.270]  Specifically, sir, speaking of national security, Obama has said, Reuters headline, Obama backs Bush on no rights for detainees under Bill of Rights, Constitution, or Geneva Convention.
[00:48:25.071 --> 00:48:27.594]  He's increasing the troops in Afghanistan.
[00:48:27.614 --> 00:48:30.137]  He's saying he's going to keep troops indefinitely, at least 50,000.
[00:48:31.758 --> 00:48:42.346]  In Iraq, going back on that promise, he's declaring a lot of executive privilege that he criticized under Bush, and he's expanding the NORTHCOM 20,000 troops to patrol America.
[00:48:42.766 --> 00:48:46.088]  He's creating this quasi-governmental usaservice.org.
[00:48:46.108 --> 00:48:49.010]  I mean, can you comment on those points of Obama?
[00:48:49.530 --> 00:48:53.193]  And many people are saying it looks like he may be worse than Bush on liberties.
[00:48:54.102 --> 00:49:03.507]  Yeah, and I don't hesitate to make that point, especially if I happen to get on a liberal station that might be sympathetic with some of my views, but they still like Obama, and they're still hopeful.
[00:49:03.587 --> 00:49:08.590]  In a few places, I keep my fingers crossed, and I say, I hope he does what he said he was going to do.
[00:49:09.090 --> 00:49:10.691]  But early on in Bush's administration,
[00:49:15.643 --> 00:49:18.685]  They didn't involve a nation like that bad guy Clinton.
[00:49:19.146 --> 00:49:20.767]  Then he went and did it even more so.
[00:49:20.787 --> 00:49:41.544]  I think your concerns are justified, because even though Obama was the so-called peace candidate, he was going to bring our troops home and end that war in Iraq, I'm afraid there's evidence now that shows that he's going to, you know, pursue the same foreign policy, which was my argument during the campaign, that no matter what happens, both major parties
[00:49:41.804 --> 00:49:42.685]  We're good to go.
[00:50:06.118 --> 00:50:16.707]  Well, I mean, he's bringing in all the very Clinton people who are the ones that got rid of the Glass-Steagall Act and others, the literal engineers of what's happening now with derivatives, and then they're up there grandstanding as our saviors.
[00:50:17.327 --> 00:50:25.094]  Yeah, and they're pursuing all the spending and the secret tough stuff going on, whether it's with Treasury
[00:50:25.094 --> 00:50:25.494]  We're good
[00:50:47.313 --> 00:50:49.334]  With the BLS not going to solve the problem.
[00:50:49.394 --> 00:50:53.437]  And the free market people are actually right because you need liquidation.
[00:50:53.497 --> 00:50:56.538]  You need the elimination of the malinvestment.
[00:50:56.838 --> 00:51:03.002]  You need to get housing prices down so poor people can buy them and get rid of these 19 million empty houses.
[00:51:03.462 --> 00:51:06.744]  No, you can't stimulate housing until these houses are bought.
[00:51:07.264 --> 00:51:10.146]  And so far they haven't quite understood that.
[00:51:10.166 --> 00:51:15.329]  Alright, Congressman, with the four or five minutes we've got left, I want to blitz through some quick questions for you.
[00:51:16.155 --> 00:51:18.881]  I know when you were on Glenn Beck, he says, I've been looking at these camps.
[00:51:18.921 --> 00:51:19.763]  Is there anything to it?
[00:51:20.404 --> 00:51:24.432]  We have the Houston Chronicle admitting they built FEMA camps.
[00:51:25.551 --> 00:51:31.976]  We have the bill introduced to build more and then merge the police and local communities in with them.
[00:51:32.496 --> 00:51:36.920]  They have signed Pentagon directives, as you know, to use regular army.
[00:51:37.620 --> 00:51:39.762]  In Canada, they're announcing they're going to use the military.
[00:51:40.222 --> 00:51:44.285]  The Army War College says the military is preparing to engage the American people.
[00:51:44.325 --> 00:51:49.049]  And I know you're informed, because I've never talked to you about something that you weren't informed about.
[00:51:49.649 --> 00:52:11.520]  And so, you know, you did say on the show, well, the public's worried because Washington's out of control, but when John Warner Defense Authorization Act and some of the new executive orders that have come out, but also just Pentagon directives, I can pull them up, they're saying governors will be dual-headed federal officers, and now they have Marines at checkpoints looking for drunk drivers, you know, in California.
[00:52:12.001 --> 00:52:18.284]  I mean, all of this is going on, sir, so can you specifically speak to the danger of NORTHCOM taking over, or is that not a problem?
[00:52:18.920 --> 00:52:22.223]  No, I think it definitely is a problem.
[00:52:22.923 --> 00:52:31.469]  And yet, on the bright side, if we're looking for one, we've had 20 states now introduce resolutions.
[00:52:31.509 --> 00:52:35.632]  They were sick of the feds, and we might have to talk about state sovereignty again.
[00:52:35.672 --> 00:52:38.695]  So there's a healthy reaction to this.
[00:52:39.215 --> 00:52:40.876]  But yes, we should be concerned.
[00:52:42.017 --> 00:52:45.321]  Because I deal with these people although I know there's a lot of evil out there.
[00:52:45.341 --> 00:52:50.586]  I also know the average member of Congress probably isn't a participant in a grand conspiracy.
[00:52:50.667 --> 00:52:57.093]  They'll come along and they say, well all we're doing is states are inefficient and private sources don't work.
[00:52:57.574 --> 00:53:02.559]  We got to provide housing and if there's housing on a military base that's all we're doing.
[00:53:02.579 --> 00:53:03.781]  And a lot of them will
[00:53:04.381 --> 00:53:04.762]  We're good.
[00:53:25.523 --> 00:53:32.427]  Well, Congressman, you hit the nail exactly on the head.
[00:53:32.667 --> 00:53:43.132]  They're rolling this out like, oh, there'll be emergency medical centers at military bases and a brig for bad people, and the Army's going to have to maintain order when the government engineered this economic crisis.
[00:53:43.572 --> 00:53:48.355]  Yeah, and a lot of people will buy into that, and then too often in the past what happens is
[00:53:49.075 --> 00:53:51.117]  It gets too far along, and it's hard to reverse.
[00:53:51.577 --> 00:53:59.364]  But what we have to do is look on the bright side and say, well, we have to inform people to know what their rights are, know what the Constitution says, know what the states can do.
[00:53:59.984 --> 00:54:05.729]  And I'm delighted that a few states now are standing up, and they want to talk about nullification.
[00:54:05.969 --> 00:54:11.534]  You know, this is great stuff, and it's perfectly legal, and it's nonviolent, it's constitutional.
[00:54:11.974 --> 00:54:16.578]  And if our numbers grow, we can do it nonviolently and hope that we don't get to this.
[00:54:16.818 --> 00:54:17.839]  Congressman, in closing,
[00:54:28.954 --> 00:54:30.154]  What are other solutions?
[00:54:30.174 --> 00:54:31.795]  I mean, obviously, get behind the state's sovereignty.
[00:54:31.815 --> 00:54:32.956]  The state's created the feds.
[00:54:33.036 --> 00:54:34.916]  We can, you know, bring them to heel.
[00:54:35.476 --> 00:54:41.499]  Have grand juries move for indictments of these criminal bankers for all their racketeering and Ponzi schemes.
[00:54:41.659 --> 00:54:42.399]  That's solutions.
