[00:00:00.429 --> 00:00:01.670]  ...author many times over.
[00:39:42.225 --> 00:39:44.887]  Graph Undersafes are known as the Rolls-Royce of safes.
[00:39:45.207 --> 00:39:50.031]  Since 1968, they have operated based on their original principle, quality above all else.
[00:39:50.411 --> 00:39:55.555]  Whether it's a custom-fitted vault door or safe, you can rest assured that your valuables will be protected.
[00:39:55.855 --> 00:39:59.418]  Do not buy into the illusion of security at GraphUndersafes.com.
[00:39:59.458 --> 00:40:02.340]  The security of your valuables is their sole purpose.
[00:40:02.660 --> 00:40:07.303]  Go to GraphUndersafes.com today to see the entire line of amazing products available.
[00:40:07.644 --> 00:40:12.868]  Graph Undersafes use only the highest quality heavy metals and cold steel locking bolts.
[00:40:13.348 --> 00:40:17.411]  Graph Undersafes are fire and burglar resistant and they even come with a lifetime warranty.
[00:40:17.911 --> 00:40:19.352]  Protect the things you care about.
[00:40:19.632 --> 00:40:21.033]  Go to graphundersafes.com.
[00:40:21.313 --> 00:40:24.855]  That's G-R-A-F-F-U-N-D-E-R, safes.com.
[00:40:25.175 --> 00:40:26.096]  Or give them a call at 866-457-1801.
[00:40:26.156 --> 00:40:27.717]  Or click on their banner at infowars.com today.
[00:40:35.757 --> 00:40:41.680]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:40:41.720 --> 00:40:48.283]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:40:55.467 --> 00:40:57.308]  Well, Obama's already fudging.
[00:40:57.448 --> 00:40:59.849]  He's fudged since day one of this election.
[00:40:59.949 --> 00:41:10.892]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:41:11.513 --> 00:41:12.813]  It's not about left or right.
[00:41:13.193 --> 00:41:14.574]  It's about a one-world government.
[00:41:15.054 --> 00:41:21.276]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:41:21.954 --> 00:41:29.725]  Get your copy of the Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:41:30.226 --> 00:41:31.367]  The Obama Deception.
[00:41:31.808 --> 00:41:32.989]  The people strike back!
[00:41:35.126 --> 00:41:37.087]  It's a new year full of uncertainties.
[00:41:37.627 --> 00:41:39.708]  People are being laid off in record numbers.
[00:41:39.968 --> 00:41:43.949]  The price of food continues to rise, and the economy continues to falter.
[00:41:44.209 --> 00:41:46.130]  You know that you need to prepare.
[00:41:46.490 --> 00:41:49.971]  And maybe you've been putting it off, but the time to act is now.
[00:41:50.291 --> 00:41:53.352]  That's why you need to visit OrganicaSeed.com.
[00:41:53.892 --> 00:42:05.963]  At OrganicaSeed.com you'll find one of the largest online selections of heirloom seeds, survival seed packs, as well as the giant vegetable seed collections that can feed you and your family for years.
[00:42:06.283 --> 00:42:08.725]  Imagine growing your very own fresh vegetables!
[00:42:09.005 --> 00:42:09.285]  I think so.
[00:42:36.801 --> 00:42:44.043]  But I don't want the folks who created the mess... I don't want the folks who created the mess to do a lot of talking.
[00:42:44.083 --> 00:42:46.464]  I want them just to get out of the way so we can clean up the mess.
[00:42:46.704 --> 00:42:50.785]  We did not come this far by lowering our sights, sir.
[00:42:51.105 --> 00:42:52.325]  Or scaling back our dreams.
[00:42:52.365 --> 00:42:53.866]  That's not the American way.
[00:42:54.706 --> 00:42:56.086]  It's not about looking backwards.
[00:42:56.166 --> 00:42:57.487]  It's about looking forwards.
[00:42:57.507 --> 00:42:59.787]  You know, we haven't even gotten into the whole Bertha issue.
[00:43:00.207 --> 00:43:00.788]  Or Iran.
[00:43:00.868 --> 00:43:03.368]  With Jerome Corsi.
[00:43:03.508 --> 00:43:04.529]  Dr. Jerome Corsi.
[00:43:07.020 --> 00:43:12.545]  But it's outrageous to hear him say that anybody that opposes anything he's doing, we all cause the mess.
[00:43:12.985 --> 00:43:20.892]  See, that's why the Democrats need the Republicans, and the Republicans need the Democrats to always blame what's happening on the other party when they're all in bed together.
[00:43:22.173 --> 00:43:26.417]  But there's no doubt, Obama is very anti-liberty, anti-freedom.
[00:43:27.253 --> 00:43:30.955]  And, uh, the good news is, Dr. Corsi, I don't see him getting away with any of this.
[00:43:31.536 --> 00:43:39.901]  I think everybody knows he is a con artist, lying scammer, reading off a teleprompter, and I think he's gonna be one of the most unpopular presidents ever.
[00:43:40.341 --> 00:43:42.202]  I don't think there's any way he's gonna win re-election.
[00:43:42.923 --> 00:43:45.364]  Well, when I wrote the abomination, I compared him to Jimmy Carter.
[00:43:46.004 --> 00:43:48.006]  And I think he's gonna do worse than Jimmy Carter.
[00:43:48.046 --> 00:43:53.449]  I don't see him... I don't see President Obama surviving to get into a second term, to be re-elected.
[00:43:53.469 --> 00:43:56.731]  I mean, I don't think politically he's gonna survive to
[00:44:01.884 --> 00:44:04.045]  Well, I've never seen him look angry in any of these clips.
[00:44:04.785 --> 00:44:06.345]  He looks like an egomaniac.
[00:44:07.286 --> 00:44:09.446]  Somebody with an egomaniac doesn't care what people think.
[00:44:09.726 --> 00:44:12.487]  He looks upset in the eyes, which makes him dangerous.
[00:44:12.567 --> 00:44:17.648]  In closing, Doc, you've been talking to Hawaii about the birth certificate copies and all this.
[00:44:17.988 --> 00:44:20.149]  What do you really think is going on with the birth certificate?
[00:44:20.729 --> 00:44:25.213]  I mean, I mean, I mean, isn't there enough issues we can prove that destroy this criminal?
[00:44:25.933 --> 00:44:28.195]  Or, I mean, do you think the birth certificate really has something to it?
[00:44:28.295 --> 00:44:31.217]  Well, I think that the birth certificate, to me, this is the issue.
[00:44:32.298 --> 00:44:32.878]  Why is it?
[00:44:32.898 --> 00:44:34.960]  Let's just assume President Obama is telling the truth.
[00:44:35.020 --> 00:44:35.861]  He's born in Hawaii.
[00:44:36.641 --> 00:44:40.604]  So, why doesn't he just end this entire controversy today?
[00:44:41.005 --> 00:44:41.725]  President Obama.
[00:44:41.765 --> 00:44:45.508]  Say, okay, you want to see my long-form, original birth certificate?
[00:44:45.528 --> 00:44:45.988]  Here it is.
[00:44:46.909 --> 00:44:47.590]  I'll show it to you.
[00:44:47.650 --> 00:44:49.371]  It's supposed to be a transparent presidency.
[00:44:51.056 --> 00:44:53.658]  And now you're talking to Hawaii and they're being sacred of?
[00:45:07.728 --> 00:45:09.129]  Well, Hawaii won't answer questions.
[00:45:09.189 --> 00:45:18.994]  Hawaii will not even authenticate that the short form certificate of live birth that the campaign and sites like factcheck.org have put out are authentic.
[00:45:19.454 --> 00:45:20.835]  I can't get them to authenticate them.
[00:45:20.855 --> 00:45:23.757]  But again, Fact Check is one of their Soros organs, isn't it?
[00:45:23.777 --> 00:45:25.398]  It's an Annenberg organization.
[00:45:25.438 --> 00:45:27.679]  It has ties back into the left.
[00:45:28.479 --> 00:45:30.661]  Annenberg, again, is the foundation where then
[00:45:34.017 --> 00:45:39.619]  Prior to being Senator Obama, when he was Community Organizer Obama, Bill Ayers, both worked.
[00:45:39.759 --> 00:45:41.259]  I showed that in the Obama Nation.
[00:45:41.559 --> 00:45:43.160]  But my point, Alex, is this.
[00:45:43.980 --> 00:45:45.860]  There's a score of documents.
[00:45:45.880 --> 00:45:49.581]  This is the least vetted President, President Obama, that we've ever had.
[00:45:50.121 --> 00:45:51.922]  What about his passport records?
[00:45:52.540 --> 00:45:54.101]  How about his records in Indonesia?
[00:45:54.301 --> 00:45:55.642]  How about Barry Sitaro?
[00:45:55.702 --> 00:45:59.325]  I mean, he is the only president who had aliases and other names before.
[00:45:59.665 --> 00:46:00.686]  He really is creepy.
[00:46:01.026 --> 00:46:03.728]  I want to see his law firm record.
[00:46:03.828 --> 00:46:10.053]  He's admitted that as a lawyer, Obama worked with Tony Rescoe, who's now in federal prison.
[00:46:10.513 --> 00:46:16.438]  I'd like to see the hours that he billed and how much work he really did in that law firm for Tony Rescoe.
[00:46:17.102 --> 00:46:19.383]  How about his records at Occidental College?
[00:46:19.463 --> 00:46:21.885]  Did he was rooming with Pakistani students?
[00:46:22.085 --> 00:46:23.486]  Usually universities don't put U.S.
[00:46:23.506 --> 00:46:25.327]  students with foreign exchange students.
[00:46:26.007 --> 00:46:28.888]  Did Barack Obama apply as a foreign exchange student?
[00:46:29.609 --> 00:46:31.510]  He traveled to Pakistan with those students.
[00:46:31.550 --> 00:46:33.851]  Did he go on an Indonesian passport?
[00:46:33.871 --> 00:46:35.312]  Did he have an Indonesian passport?
[00:46:35.352 --> 00:46:38.594]  Yeah, we know they've sealed all his records like no president.
[00:46:38.874 --> 00:46:39.654]  Everything's sealed.
[00:46:40.255 --> 00:46:42.216]  They are acting very, very suspicious.
[00:46:44.251 --> 00:46:47.072]  Maybe the big secret is... I'm not saying he was born in Kenya.
[00:46:47.172 --> 00:46:48.853]  I'm an investigative reporter.
[00:46:48.973 --> 00:46:50.194]  I can't prove that.
[00:46:50.794 --> 00:46:52.635]  I'm just saying, give us the document.
[00:46:52.695 --> 00:46:53.775]  We want to see the document.
[00:46:53.875 --> 00:47:00.938]  And why does even a birth certificate of long form have to be a top secret document that's sealed?
[00:47:02.819 --> 00:47:03.939]  Hold on one second, Dr. Corsi.
[00:47:03.999 --> 00:47:07.281]  I know you've got other stuff to do here in a moment, but we're about to break for one minute.
[00:47:07.301 --> 00:47:09.502]  I wanted to talk to you off air for just a moment.
[00:47:09.862 --> 00:47:10.562]  So stay with us.
[00:47:11.002 --> 00:47:12.723]  And Bob Chapman's coming up on the economy.
[00:47:17.116 --> 00:47:18.637]  Thank you for listening to GCN.
[00:47:19.598 --> 00:47:24.421]  Be sure to visit GCNlive.com today.
[00:47:24.642 --> 00:47:28.625]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[00:47:28.865 --> 00:47:30.646]  Do you really know what's in your tap water?
[00:47:30.866 --> 00:47:39.152]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:47:39.413 --> 00:47:44.636]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:47:44.957 --> 00:47:46.578]  Now what are you going to do about it?
[00:47:46.798 --> 00:47:53.122]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:47:53.322 --> 00:48:04.068]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere and uses state-of-the-art carbon filtration, reverse osmosis, and ultraviolet light sterilization techniques.
[00:48:04.369 --> 00:48:04.829]  That's right.
[00:48:05.129 --> 00:48:07.430]  Clean water, right from the air you breathe.
[00:48:07.690 --> 00:48:11.030]  Order today by calling 1-800-691-6043.
[00:48:11.851 --> 00:48:14.371]  That's 1-800-691-6043.
[00:48:15.031 --> 00:48:22.193]  Or visit A Cola Blue on the web at www.ecoloble.com today.
[00:48:22.393 --> 00:48:23.714]  That's acolablue.com.
[00:48:27.735 --> 00:48:29.655]  Waging war on corruption.
[00:48:30.115 --> 00:48:32.816]  Alex Jones on the GCN Radio Network.
[00:48:39.474 --> 00:48:40.114]  Big Brother.
[00:48:40.795 --> 00:48:41.836]  Mainstream media.
[00:48:42.556 --> 00:48:43.657]  Government cover-ups.
[00:48:44.297 --> 00:48:45.138]  You want answers?
[00:48:45.899 --> 00:48:46.819]  Well, so does he.
[00:48:47.440 --> 00:48:51.082]  He's Alex Jones on the GCN Radio Network.
[00:48:51.642 --> 00:48:55.745]  And now, live from Austin, Texas, Alex Jones.
[00:48:59.148 --> 00:49:00.529]  It is Friday, August 7, 2009.
[00:49:00.589 --> 00:49:04.191]  We're at the halfway point of this transmission.
[00:49:04.551 --> 00:49:07.534]  Two hours, massive news blitzes on the economy.
[00:49:08.726 --> 00:49:13.591]  On the police state, on saber-rattling with Russia and Iran.
[00:49:14.132 --> 00:49:17.195]  It is all coming up, Bob Chapman, in the next segment.
[00:49:18.036 --> 00:49:24.122]  And we've got the lawyer for a black man beat up by Obama supporters on camera.
[00:49:24.863 --> 00:49:30.169]  And then the media spun it and was so disingenuous that I read the articles and thought they were talking about
[00:49:32.091 --> 00:49:36.232]  Anti-Obama people being arrested when it was pro-Obama people being arrested with some anti.
[00:49:36.652 --> 00:49:42.994]  So just amazing as we try to decipher this with eyewitnesses and others coming up, because this country's on the edge of revolution.
[00:49:43.034 --> 00:49:43.975]  And when I say that, I mean it.
[00:49:44.215 --> 00:49:58.639]  But Dr. Corsi, I held you over for four or five minutes because I mainly got you on about the birther situation, and then we got off into other issues, this SPP meeting going on under a new name this weekend, and the news blackout.
[00:49:58.679 --> 00:50:01.260]  But for those, for some stations that just joined us in a nutshell,
[00:50:02.352 --> 00:50:06.674]  And correct me if I'm wrong, you're saying you don't know whether he was born in Kenya or not.
[00:50:06.754 --> 00:50:11.656]  It's that he was in Indonesia, he lied about being in a Muslim school, now he brags about it.
[00:50:11.976 --> 00:50:13.276]  Wouldn't be bad if he was honest.
[00:50:14.317 --> 00:50:25.381]  He had this Barry Sitaro name, they've sealed all these documents, college documents, when he stayed in the Muslim Pakistani dorms, which they would only do with a Muslim.
[00:50:25.401 --> 00:50:29.283]  You know, the fact is he's lied about everything and they only give us this receipt
[00:50:30.183 --> 00:50:36.067]  ...of the birth certificate, and they brought that out early when nobody was pointing it out.
[00:50:36.887 --> 00:50:37.908]  Break that down for us.
[00:50:38.248 --> 00:50:41.831]  Well, we need to see the original long-form birth certificate.
[00:50:41.851 --> 00:50:44.673]  List the hospital, the doctor who was attending the birth.
[00:50:45.613 --> 00:50:48.935]  Why is that a top-secret document if President Obama is telling the truth?
[00:50:49.716 --> 00:50:51.577]  In one day, you could have this go away.
[00:50:51.637 --> 00:50:53.618]  Just show us the long-form birth certificate.
[00:50:54.059 --> 00:50:55.499]  But President Obama won't do that.
[00:50:55.900 --> 00:50:57.621]  And candidate Obama wouldn't either.
[00:50:58.666 --> 00:51:06.870]  Obama's now spent over a million dollars to prevent anybody in the public from seeing this top-secret document, his original long-form birth certificate.
[00:51:07.330 --> 00:51:09.971]  And it's one of a series of documents.
[00:51:10.492 --> 00:51:12.472]  We don't have his records in Indonesia.
[00:51:12.993 --> 00:51:14.974]  Was he adopted by his stepfather?
[00:51:15.014 --> 00:51:22.337]  I've got the records that say he was at school in Indonesia for four years, registered as an Indonesian citizen and a Muslim.
[00:51:22.884 --> 00:51:25.085]  Was that an official citizenship?
[00:51:25.325 --> 00:51:28.726]  Does Obama have an Indonesian passport, or did he ever?
[00:51:29.146 --> 00:51:31.407]  We can't see President Obama's passport record.
[00:51:32.007 --> 00:51:33.127]  None of the school records.
[00:51:33.927 --> 00:51:36.368]  Obama's kindergarten records are sealed.
[00:51:36.868 --> 00:51:39.149]  His high school records at Puno were sealed.
[00:51:39.629 --> 00:51:45.571]  You can't see the Occidental College records, or the Columbia records, or Harvard Law School records.
[00:51:46.191 --> 00:51:47.912]  We can't see his passport record.
[00:51:48.032 --> 00:51:49.172]  We don't have any of his
[00:51:49.813 --> 00:51:54.858]  Well, let's briefly talk about the Muslim issue, and then you've got to go in about a minute and a half.
[00:52:06.533 --> 00:52:13.238]  Well, I mean, if he was honest about being a Muslim, his dad's a Muslim, his cousin that he helps slaughter Christians with, on record's a Muslim.
[00:52:14.039 --> 00:52:16.361]  You know, he said, don't call me Hussein Obama.
[00:52:16.381 --> 00:52:18.362]  Now he says, you better call me Hussein Obama.
[00:52:18.683 --> 00:52:20.364]  He speaks Arabic perfectly.
[00:52:20.444 --> 00:52:21.845]  The Muslims are all stunned.
[00:52:22.946 --> 00:52:24.827]  He says, I have Muslim roots.
[00:52:25.268 --> 00:52:26.889]  I mean, he went to a madrasa.
[00:52:26.929 --> 00:52:29.211]  He's clearly a Muslim, and that's okay.
[00:52:29.511 --> 00:52:30.752]  But it's the lying about it.
[00:52:30.772 --> 00:52:32.994]  We now have our first Muslim president, basically.
[00:52:33.174 --> 00:52:34.554]  Well, here's what I've proved.
[00:52:35.015 --> 00:52:38.215]  I've been able to get the record in Indonesia.
[00:52:39.236 --> 00:52:43.617]  He was there from ages 6 to 10 with his stepfather, who was Muslim.
[00:52:44.197 --> 00:52:48.839]  Obama was registered at two schools as an Indonesian citizen and as a Muslim.
[00:52:49.439 --> 00:52:51.319]  Now, I can't prove we can't get any other record.
[00:52:51.999 --> 00:52:56.401]  I can't prove whether he was officially an Indonesian citizen or whether he was adopted.
[00:52:57.021 --> 00:53:00.642]  I did prove he attended at least one year of Islamic instruction.
[00:53:01.460 --> 00:53:02.461]  I think so.
[00:53:20.185 --> 00:53:23.027]  Well, listen, I really appreciate you, Dr. Corsi, joining us.
[00:53:23.047 --> 00:53:26.270]  We'll have you on again as the new book, America for Sale, comes out.
[00:53:26.590 --> 00:53:33.255]  How did we ever get a president in office with this weird, intelligence-like, strange background?
[00:53:33.335 --> 00:53:34.556]  It's definitely bad news.
[00:53:34.596 --> 00:53:34.816]  Thank you.
[00:53:34.836 --> 00:53:39.820]  An illusion created by the power elite is a lie that covers even the food they want you to eat.
[00:53:39.961 --> 00:53:44.324]  Will you continue to be their profit center, buying their processed food that makes you sick?
[00:53:44.484 --> 00:53:46.325]  Go to the doctor and buy their drugs?
[00:53:46.766 --> 00:53:48.107]  You don't have to cooperate.
[00:53:48.367 --> 00:53:49.408]  There is a solution.
[00:53:49.628 --> 00:53:57.655]  Inner Health Botanicals, a company that my wife and I just love, have been providing products for the last five years that give you the perfect solution to this madness.
[00:53:58.055 --> 00:54:05.121]  Try their Inner Food with 20 organic ingredients full of dense nutrition that gives you the energy you need and will keep you well.
[00:54:05.522 --> 00:54:11.127]  It even won the award for Best Superfood of 2009 from our friend Mike Adams, the health ranger.
[00:54:11.567 --> 00:54:17.152]  I love their Nutri-Cafe, great organic coffee infused with herbal extracts to boost your immune system.
[00:54:17.552 --> 00:54:21.374]  Try all of their truly honest products that will keep you alive and healthy.
[00:54:21.714 --> 00:54:27.917]  Go to enerfood.com or give them a call right now.
[00:54:27.937 --> 00:54:28.877]  866-762-9238.
[00:54:29.177 --> 00:54:32.519]  Click on their banner at infowars.com to see all the available discounts.
[00:54:34.909 --> 00:54:39.892]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:54:40.112 --> 00:54:43.914]  Number one, new climate legislation could easily double or triple your electric bill.
[00:54:44.134 --> 00:54:49.717]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:54:50.037 --> 00:54:50.477]  It's true.
[00:54:50.677 --> 00:54:55.620]  Total government control of electricity in the name of smart grid technology is coming.
[00:54:56.020 --> 00:55:01.463]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:55:02.304 --> 00:55:04.965]  The hurricane and dangerous summer storm season is here again.
[00:55:05.205 --> 00:55:09.088]  Every year, thousands of families lose their power from weather-related outages.
[00:55:09.728 --> 00:55:13.350]  A solar power generator provides powerful backup insurance and peace of mind.
[00:55:13.570 --> 00:55:19.072]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[00:55:19.312 --> 00:55:23.873]  You can get more information at www.mysolarbackup.com.
[00:55:23.994 --> 00:55:25.554]  That's mysolarbackup.com.
[00:55:25.774 --> 00:55:28.115]  Remember, the government doesn't own the sun yet.
[00:55:28.355 --> 00:55:30.976]  So go to mysolarbackup.com or call toll free 877-327-0365.
[00:55:34.477 --> 00:55:35.558]  This is Alex Jones.
[00:55:35.858 --> 00:55:37.638]  Have you heard of the Millionaire Patriot?
[00:55:37.838 --> 00:55:38.479]  Well, you should.
[00:55:38.499 --> 00:55:43.081]  He has a free handgun and five days of firearms training waiting for you.
[00:55:43.321 --> 00:55:43.801]  That's right.
[00:55:44.121 --> 00:55:52.565]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[00:55:52.785 --> 00:55:54.025]  All for pennies on the dollar.
[00:55:54.145 --> 00:55:55.266]  Plus, if you act fast.
[00:55:55.486 --> 00:56:01.130]  The Millionaire Patriot will give you a free Springfield Armory XD pistol in the caliber of your choice.
[00:56:01.471 --> 00:56:07.995]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:56:08.376 --> 00:56:13.580]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:56:13.900 --> 00:56:15.041]  This is real.
[00:56:15.361 --> 00:56:16.102]  Don't miss out.
[00:56:16.402 --> 00:56:23.267]  Secure a Front Sight defensive handgun course plus a 30 state concealed weapons permit for pennies on the dollar.
[00:56:23.507 --> 00:56:24.768]  And get your free handgun.
[00:56:24.949 --> 00:56:27.131]  Go to FrontSight.com today.
[00:56:27.311 --> 00:56:30.835]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:56:31.015 --> 00:56:33.938]  Go to FrontSight.com for your training and free gun.
[00:56:35.120 --> 00:56:40.162]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:56:40.522 --> 00:56:42.863]  Because there's a war on for your mind.
[00:56:42.883 --> 00:56:47.264]  Okay, we got a big two final hours lined up for you.
[00:56:47.304 --> 00:56:48.625]  We're going to cover a host of issues.
[00:56:48.705 --> 00:56:50.825]  Blackwater, worldwide.
[00:56:50.845 --> 00:56:52.746]  XZ as it's known.
[00:56:53.146 --> 00:56:55.427]  Implicated by some mercenaries in murder.
[00:56:56.247 --> 00:56:58.350]  Murdering people inside their own organization.
[00:56:58.871 --> 00:57:01.794]  Cheney's got hit teams, so do the Israelis inside the U.S.
[00:57:02.135 --> 00:57:04.138]  That's admitted, I told you that seven years ago.
[00:57:04.158 --> 00:57:05.740]  It's now mainstream news.
[00:57:06.901 --> 00:57:09.805]  But we also have a CNN piece, I'm gonna play a clip of, where they say...
[00:57:10.948 --> 00:57:11.448]  It's evil.
[00:57:11.548 --> 00:57:12.048]  It's bad.
[00:57:12.088 --> 00:57:14.809]  New Yorkers don't like this image.
[00:57:15.470 --> 00:57:16.650]  Now see, that's mind control.
[00:57:17.150 --> 00:57:20.651]  New Yorkers don't like people protesting the health care takeover.
[00:57:21.091 --> 00:57:23.992]  New Yorkers don't like people that are against the carbon tax.
[00:57:24.693 --> 00:57:27.294]  New Yorkers, you know, they tell you what to think.
[00:57:27.334 --> 00:57:32.615]  That targets the weak-minded, where people go, yeah, I don't like the Obama joker poster.
[00:57:32.715 --> 00:57:33.276]  I'm angry.
[00:57:33.636 --> 00:57:37.417]  And well, if people don't like something, then people better not put it up.
[00:57:37.797 --> 00:57:39.858]  And it's racist, but it's OK to show Bush
[00:57:40.638 --> 00:57:43.260]  As a joker, and we actually went back and looked at our archives.
[00:57:43.300 --> 00:57:43.820]  We did!
[00:57:45.501 --> 00:57:48.903]  So I saw the controversy on this last Saturday, Sunday.
[00:57:49.324 --> 00:57:53.726]  On Monday, I ordered a couple hundred t-shirts of Joker Socialism.
[00:57:53.746 --> 00:57:54.547]  They all sold out.
[00:57:55.447 --> 00:57:56.828]  But more are ordered today.
[00:57:57.208 --> 00:57:58.489]  They're coming next Tuesday.
[00:57:58.509 --> 00:57:59.290]  So you can order them now.
[00:57:59.310 --> 00:58:00.290]  We'll ship them out to you.
[00:58:00.811 --> 00:58:02.672]  We have eight different versions.
[00:58:04.494 --> 00:58:05.815]  Eight different versions.
[00:58:05.875 --> 00:58:07.916]  Actually, more socialism ones are showing up today.
[00:58:07.956 --> 00:58:09.097]  That's the best seller.
[00:58:09.117 --> 00:58:15.121]  But the others, some of the others with messages like fascism, InfoWars.com, New World Order.
[00:58:15.922 --> 00:58:17.763]  They're all up on InfoWars.com.
[00:58:17.883 --> 00:58:19.464]  Different variants of them.
[00:58:19.504 --> 00:58:21.465]  We've got some of the images over there on the wall.
[00:58:21.485 --> 00:58:22.266]  We can get a shot of them.
[00:58:22.746 --> 00:58:25.168]  And on the back, again, there's eight different t-shirts.
[00:58:25.228 --> 00:58:32.413]  It says, Wake Up Before It's Too Late, InfoWars.com, Stop the Criminal, InfoWars.com, In the Fed, InfoWars.com.
[00:58:34.591 --> 00:59:03.393]  and uh... we're having a thousand dollar contest a youtube videos going up by the end of the show today i have time i'll play it on air where i lay out the the rules just use the downloadable free obama ish uh... image with info wars dot com this is a fascism version info wars dot com version of the world order version and socialism version use the info wars dot com version and you can mix it in with the other versions too but we want info wars dot com in there and whoever
[00:59:04.318 --> 00:59:08.380]  In the most creative way that impacts the most people.
[00:59:09.001 --> 00:59:10.822]  I don't care if it's a small town or big city.
[00:59:10.842 --> 00:59:16.505]  We're going to look at all the entries and we're going to balance who reached the most people versus who did it in the most inventive way.
[00:59:17.594 --> 00:59:21.277]  I mean, somebody might win who just shows they put up a thousand copies.
[00:59:22.058 --> 00:59:28.403]  And regardless, you win by getting the truth out and exposing this guy and sending people to InfoWars.com where they get the big awakening.
[00:59:28.863 --> 00:59:30.465]  So a thousand dollars next Friday.
[00:59:30.725 --> 00:59:32.947]  We're going to play first place, second place, third place.
[00:59:32.987 --> 00:59:34.368]  In fact, I'll make it even funner.
[00:59:34.888 --> 00:59:36.550]  One thousand dollars for first place.
[00:59:38.320 --> 00:59:40.442]  $200 for second place.
[00:59:40.942 --> 00:59:43.044]  Now let's make it $1,000 for first place.
[00:59:43.064 --> 00:59:45.387]  $500 for second.
[00:59:45.407 --> 00:59:46.708]  $200 for third place.
[00:59:47.489 --> 00:59:49.511]  And then we'll have honorable mention.
[00:59:50.232 --> 00:59:56.958]  We'll get original Alex Jones art where I doodled yesterday on air and I made fun of Obama.
[00:59:57.879 --> 01:00:02.062]  And because they don't like me defacing their God, their Lord, I put a Hitler mustache on him.
[01:00:02.083 --> 01:00:05.265]  Because he is more closely politically associated with Hitler.
[01:00:05.605 --> 01:00:09.789]  He did double the funding for black abortion in Africa and forced abortion in China.
[01:00:09.829 --> 01:00:10.789]  That's mainstream news.
[01:00:10.829 --> 01:00:21.918]  His science advisor, the science czar, openly calls for sterilizing the water, forcibly drugging, taking all children at birth, being raised by the CPS as they're starting to phase in in England.
[01:00:22.398 --> 01:00:23.719]  So I think he's Hitler.
[01:00:24.400 --> 01:00:26.441]  In fact, I'm going to do this right now here on air.
[01:00:27.001 --> 01:00:33.125]  You will win, the Honorable Mention will get this original artwork, and they'll even get the original socialism artwork here.
[01:00:33.805 --> 01:00:34.905]  I'm customizing it.
[01:00:36.246 --> 01:00:42.409]  I'm customizing it right now for everybody on air.
[01:00:42.529 --> 01:00:47.112]  So the Honorable Mention may be the most coveted.
[01:00:47.332 --> 01:00:47.972]  Here, I'll sign it.
[01:00:50.863 --> 01:00:52.863]  Alex Jones, 2009.
[01:00:54.124 --> 01:00:54.724]  There you go.
[01:00:55.284 --> 01:01:01.865]  So that original's done, and then this one, a little bit more eclectic, a little bit more busy and wild, you will also get this one.
[01:01:01.885 --> 01:01:03.406]  So guys, please put this in an envelope.
[01:01:04.286 --> 01:01:09.687]  These here for the honorable mention person.
[01:01:10.287 --> 01:01:12.728]  We'll be getting both of these pieces of artwork.
[01:01:14.508 --> 01:01:16.671]  For folks listening on the radio, you can know later.
[01:01:16.711 --> 01:01:21.118]  This will be up on PrisonPlanet.tv or it will be repped to the four winds, of course, on YouTube.
[01:01:22.720 --> 01:01:25.524]  But regardless, there's another Obama-Hitler.
[01:01:26.466 --> 01:01:27.968]  We will call him what he is.
[01:01:28.028 --> 01:01:30.231]  We will pull down your god, your false idol.
[01:01:32.230 --> 01:01:33.551]  In fact, here's a little CNN piece.
[01:01:33.571 --> 01:01:35.131]  Let's just play this now and go to Bob Chapman.
[01:01:35.411 --> 01:01:36.152]  Here is CNN.
[01:01:36.172 --> 01:01:39.353]  They're saying, how dare you put out these t-shirts?
[01:01:39.393 --> 01:01:40.213]  How dare you?
[01:01:40.554 --> 01:01:41.474]  And I looked around.
[01:01:41.514 --> 01:01:43.495]  We were the first Monday to put up the t-shirts.
[01:01:43.515 --> 01:01:44.655]  A lot of people are copycatting.
[01:01:44.675 --> 01:01:45.156]  That's great.
