[00:00:19.507 --> 00:00:21.928]  43 days left.
[00:53:44.758 --> 00:53:52.225]  She was subjected to the withering cross-examination by Senator Arlen Specter and her case essentially fell apart.
[00:53:52.685 --> 00:53:56.248]  Then the liberals said, Specter will pay a terrible price for this at the polls.
[00:53:56.809 --> 00:53:57.770]  He was re-elected.
[00:53:58.585 --> 00:54:06.817]  One senator with guts right now could change history, but instead the Senate majority on judiciary says the questioning of Ms.
[00:54:06.877 --> 00:54:11.905]  Ford, the first witness, will be conducted by a female Senate staffer.
[00:54:12.679 --> 00:54:14.080]  A lack of courage, in my view.
[00:54:14.100 --> 00:54:14.681]  Think about that.
[00:54:14.901 --> 00:54:16.523]  Women are equal to men.
[00:54:16.703 --> 00:54:18.584]  Women can do anything men can do.
[00:54:19.665 --> 00:54:26.191]  And so, women are in a man's world, or men are in a woman's world, but now only a woman can talk to her.
[00:54:26.812 --> 00:54:32.157]  She gets to make these accusations that have already fallen completely apart, and then only a woman can question her.
[00:54:32.657 --> 00:54:37.762]  Oh, so see, this is the left trying to have chivalry, but also not having chivalry.
[00:54:37.962 --> 00:54:39.123]  So they jump back and forth.
[00:54:40.342 --> 00:54:49.686]  Well, it's also the cowardice of certain career politicians who don't want to risk a backlash back in their home states because they were tough in questioning a woman.
[00:54:50.126 --> 00:54:52.367]  Some senator simply needs to say, Ms.
[00:54:52.387 --> 00:54:55.548]  Ford, is there a witness to anything you're telling us?
[00:54:55.588 --> 00:54:58.149]  Do you have any corroboration whatsoever?
[00:54:58.209 --> 00:54:59.790]  Did you note it in a book?
[00:54:59.830 --> 00:55:02.191]  Did you tell one of your girlfriends at the time?
[00:55:02.291 --> 00:55:02.771]  Something?
[00:55:02.971 --> 00:55:03.411]  Anything?
[00:55:03.611 --> 00:55:04.191]  That's right, Roger.
[00:55:04.211 --> 00:55:05.172]  I want to shift gears briefly.
[00:55:05.192 --> 00:55:07.052]  You're going to be joining us again on The War Room today.
[00:55:07.072 --> 00:55:07.613]  We have a special
[00:55:08.373 --> 00:55:10.113]  A broadcast that's going to go from 8 a.m.
[00:55:10.174 --> 00:55:11.574]  to midnight on Wednesday.
[00:55:12.034 --> 00:55:12.834]  Stand with Trump.
[00:55:12.894 --> 00:55:13.975]  Stand with Infowar.
[00:55:14.015 --> 00:55:15.035]  Stand with free speech.
[00:55:15.735 --> 00:55:16.555]  Stand with victory.
[00:55:16.575 --> 00:55:20.896]  It's going to be a special broadcast we're going to be doing because we're being banned off PayPal.
[00:55:20.916 --> 00:55:22.897]  They're trying to take our payment processing completely away.
[00:55:23.177 --> 00:55:25.278]  That would shut us down if they're able to do it, listeners.
[00:55:25.518 --> 00:55:29.199]  So please financially support us at InfowarStore.com while you still can.
[00:55:29.459 --> 00:55:35.420]  And stock up on the great books, t-shirts, and videos that, I guess if they're successful shutting us down, they'll be real collector's items.
[00:55:35.461 --> 00:55:37.001]  But you know, I'm going down swinging.
[00:55:37.421 --> 00:55:40.664]  And I think our destruction will be an example to many, many others.
[00:55:40.724 --> 00:55:43.587]  But we are in a real battle for our lives here.
[00:55:43.867 --> 00:55:45.188]  James Woods has been banned now.
[00:55:45.828 --> 00:55:46.709]  Everybody's getting banned.
[00:55:46.749 --> 00:55:47.730]  This is total evil.
[00:55:48.130 --> 00:55:49.432]  But just very briefly, Roger,
[00:55:50.783 --> 00:55:53.545]  I think this signals Trump taking the gloves off.
[00:55:54.205 --> 00:55:56.907]  Him saying he'll declassify this stuff, which is still going to get declassified.
[00:55:56.927 --> 00:56:00.829]  It's just being reviewed by the Inspector General there at the Justice Department.
[00:56:01.410 --> 00:56:04.151]  I think Trump has really turned the corner, and I sense victory.
[00:56:04.372 --> 00:56:11.256]  And you see them caving in right now, and Rosenstein caving in, because Trump is finally acting like the President when it comes to standing up to the deep state.
[00:56:12.869 --> 00:56:14.990]  I think you're again, you're right, Alex.
[00:56:15.350 --> 00:56:19.131]  I think that if Rosenstein didn't resign today, he's going to get fired.
[00:56:19.171 --> 00:56:20.152]  It may not be today.
[00:56:20.572 --> 00:56:23.573]  Maybe it's two weeks from now, but I think his number is up.
[00:56:24.013 --> 00:56:28.815]  What's funny is seeing the NBC's and the others try to say, oh, no, he was only joking.
[00:56:29.215 --> 00:56:30.896]  No, he was not joking.
[00:56:31.296 --> 00:56:37.378]  He talked about wearing a wire to entrap the president of the United States to remove him under the 25th
[00:56:37.858 --> 00:56:42.200]  But you were the first person 20 months ago to predict what was already going on, and now it's all confirmed.
[00:56:42.220 --> 00:56:47.822]  Because they're all a bunch of yes-men cowards, of the deep state, carrying out crimes for the Bushes and the Clintons for 20 years.
[00:56:48.222 --> 00:56:55.325]  And they believe they own this country and the people, and they all thought they'd bring Trump down, but now it's blown up in their face, and now the real battle's been joined.
[00:56:55.505 --> 00:56:58.306]  But I think Trump is now in the maximum physical danger, Roger.
[00:57:00.298 --> 00:57:06.564]  I agree once again, and let's face it, the silencing of Infowars was always part of their plan.
[00:57:07.005 --> 00:57:15.333]  Shutting Alex Jones up, getting him off of social media, shutting him down, is a key part of their takedown plan for the president.
[00:57:15.333 --> 00:57:16.754]  That's the real canary in the coal mine.
[00:57:16.794 --> 00:57:17.994]  God bless you, Roger Stone.
[00:57:18.295 --> 00:57:22.677]  Coming up, James O'Keefe with more, then Mike Adams, then Matt Bracken.
[00:57:22.777 --> 00:57:28.720]  InfoWars.com, NewsWars.com, Tomorrow's News Today, the most banned broadcast in the world.
[00:57:29.101 --> 00:57:31.482]  Share the link, InfoWars.com forward slash show.
[00:57:31.782 --> 00:57:37.765]  Share the videos, download them, re-upload them, and tell folks about local stations you're watching and listening to.
[00:57:38.006 --> 00:57:42.648]  And while you still can get the Android app at InfoWars.com forward slash app, it's free.
[00:57:42.888 --> 00:57:43.929]  And tell folks about the app.
[00:57:45.908 --> 00:57:49.090]  InfoWars Life is bringing you a breakthrough in modern medicine.
[00:57:49.550 --> 00:57:50.871]  Introducing Pollen Block.
[00:57:51.351 --> 00:58:02.799]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[00:58:03.579 --> 00:58:12.482]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[00:58:12.882 --> 00:58:23.585]  They began studying this effect in published trials, and decades later, we now have the fruit of this research, a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[00:58:24.105 --> 00:58:26.427]  Pollen Block is natural and effective.
[00:58:26.768 --> 00:58:28.129]  It is not an antihistamine.
[00:58:28.510 --> 00:58:38.139]  In fact, current research has found that it actually acts by blocking the activity of tryptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[00:58:38.239 --> 00:58:40.401]  Go outside and enjoy the air you breathe.
[00:58:40.922 --> 00:58:45.807]  Head to Infowarslife.com and grab a pack of our Pollen Block chewable tablets.
[00:58:46.147 --> 00:58:48.109]  We all know the importance of fish oils.
[00:58:48.509 --> 00:58:54.756]  While we are sure to provide them for ourselves, it's just as important to make sure your kids get their EPA and DHA too.
[00:58:55.116 --> 00:58:59.080]  Honor Roll is a powerful DHA fish oil formula for your child.
[00:58:59.601 --> 00:59:05.587]  Built from the ground up to support your child's development, this formula uses wild anchovy fish oil,
[00:59:06.087 --> 00:59:12.092]  Ultra purified krill oil and wild salmon fish oil with vitamins to boost your child's mind and body.
[00:59:12.572 --> 00:59:24.061]  With this fish oil formula, you can support your child's optimal heart, joint, cognitive, and brain health while providing DHA, which has been shown to be essential for your child's brain growth spurts.
[00:59:24.562 --> 00:59:33.789]  Built on powerful ingredients with 580 milligrams of high DHA omega-3s, this formula is highly refined to eliminate nearly all heavy metals.
[00:59:34.389 --> 00:59:38.131]  If you're looking for a formula to help your child grow, look no further.
[00:59:38.712 --> 00:59:43.334]  Try Honor Roll from InfoWarsLife at InfoWarsStore.com.
[00:59:49.138 --> 00:59:53.040]  If you are receiving this transmission, you are the resistance.
[01:00:05.330 --> 01:00:13.019]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[01:00:14.844 --> 01:00:27.215]  Well, Bloomberg, AP, everyone reported an hour ago that Rosenstein resigned on Friday, but was summoned to the White House, and then we began hearing 30 minutes later that, well, he hadn't really resigned or it wasn't being accepted.
[01:00:27.255 --> 01:00:29.837]  Well, now Rosenstein has not resigned, still U.S.
[01:00:29.877 --> 01:00:30.738]  Deputy Attorney General.
[01:00:30.778 --> 01:00:34.281]  There's a Reuters headline, there's AP on screen breaking White House.
[01:00:34.782 --> 01:00:40.727]  Trump, Rosenstein spoke Monday, will meet Thursday at White House amid uncertainty about Deputy AG's fate.
[01:00:42.398 --> 01:00:45.380]  So it looks like they tried to get the president to jump the gun to get rid of him.
[01:00:46.001 --> 01:00:47.822]  They reportedly told Kelly he was resigning.
[01:00:48.342 --> 01:00:52.546]  Now the media tried to spin it that Trump's getting rid of him to say that he's purging the Mueller probe.
[01:00:52.566 --> 01:00:54.967]  The Mueller probe has fallen flat on its face.
[01:00:55.868 --> 01:00:59.471]  And what, gotten people convicted of not paying taxes 15 years ago?
[01:00:59.551 --> 01:01:03.514]  Or raided people over payments to girlfriends decades ago?
[01:01:04.114 --> 01:01:04.935]  It is incredible.
[01:01:05.335 --> 01:01:07.457]  What we have is a permanent deep state.
[01:01:08.277 --> 01:01:20.545]  Obama signed all these executive orders for the CIA, Defense Department, FBI, and Justice Department, we're going to James O'Keefe here in about 10 seconds, to basically be the resistance and stay behind.
[01:01:21.385 --> 01:01:23.327]  But it's not just in words they're doing it.
[01:01:23.647 --> 01:01:25.608]  Obama moved in down the street from the White House.
[01:01:26.469 --> 01:01:31.492]  Hillary and others and Brennan are saying, hold on, don't follow what the president says.
[01:01:32.412 --> 01:01:32.993]  Resist him.
[01:01:33.976 --> 01:01:37.680]  And so they basically have a parallel government operating, a rogue government.
[01:01:38.320 --> 01:01:46.348]  And we've known this for a long time, and now we know Rosenstein and others want to use the 25th Amendment to remove the president, which even CNN calls a political apocalypse.
[01:01:47.049 --> 01:01:50.372]  Well, James O'Keefe joins us for this segment and the next Project Veritas.
[01:01:51.127 --> 01:01:52.968]  With some of their biggest bombshells yet.
[01:01:53.028 --> 01:01:54.069]  He can only do two segments.
[01:01:54.089 --> 01:01:57.731]  So after he leaves, I'm going to play the boil-downs that he's going to be talking about here.
[01:01:58.351 --> 01:01:59.131]  Or we're live now.
[01:01:59.211 --> 01:02:01.553]  Cut him in later in the post when we re-upload this to the web.
[01:02:02.033 --> 01:02:02.993]  But this is a big deal.
[01:02:03.033 --> 01:02:06.335]  And your investigation couldn't come at a better time.
[01:02:06.375 --> 01:02:09.797]  Just like you exposed election fraud in 2016 and other big issues.
[01:02:09.837 --> 01:02:18.381]  So how does your investigation, before we get into the details of the next segment, fit in really perfectly?
[01:02:18.441 --> 01:02:19.302]  But I want you to elaborate.
[01:02:20.612 --> 01:02:27.864]  On this whole rogue deep state, now out in the open and Democrats cheering it on MSNBC saying, rogue state, kill Trump!
[01:02:28.224 --> 01:02:30.708]  I mean this really looks like they've jumped the shark, James.
[01:02:32.116 --> 01:02:35.480]  Well, Alex, it's great to be with you here, and I do have some breaking news.
[01:02:35.500 --> 01:02:37.722]  This happened like minutes ago.
[01:02:37.742 --> 01:02:39.724]  I got a statement from the Justice Department.
[01:02:40.285 --> 01:02:43.168]  Sarah Flores, Director of Public Affairs, says, quote,
[01:02:51.036 --> 01:02:55.260]  Two individuals we caught on tape no longer have jobs in the federal government.
[01:02:55.601 --> 01:03:02.708]  So when people talk about draining the swamp, Project Veritas actually, to some small way, has actually drained part of the swamp.
[01:03:03.148 --> 01:03:05.571]  The communist at GAO, self-described communist,
[01:03:07.152 --> 01:03:23.645]  Is out of a job, and now Alison Raybar is out of a job at the Justice Department, Alex, after these four individuals we caught on tape talking about resisting, resisting the Trump administration, resisting the will of the people, talking about how they can't get fired for anything!
[01:03:24.185 --> 01:03:29.729]  Is what Alison Raybar said, resisting inside the Justice Department, saying she has colleagues doing so.
[01:03:30.149 --> 01:03:32.391]  So Alex, this is about the separation of powers.
[01:03:32.891 --> 01:03:34.772]  It's about equal justice under the law.
[01:03:35.232 --> 01:03:40.416]  It's about subverting the will of the people and replacing the Constitution with political whim.
[01:03:40.856 --> 01:03:52.144]  This is about a lot of things, but of all the things it's about, it personifies, it puts a face to the name of who these deep state bureaucratic operators, who they are.
[01:03:52.604 --> 01:03:53.224]  Well, that's right.
[01:03:55.074 --> 01:04:04.464]  Again, you've got them on tape, different ones, talking about doxing people, going to their homes, how they work inside the government to sabotage the Trump agenda.
[01:04:04.725 --> 01:04:09.330]  I mean, these people are frightening in just how arrogant they are.
[01:04:10.649 --> 01:04:12.350]  Very arrogant, a lot of hubris.
[01:04:12.390 --> 01:04:18.953]  In fact, the State Department official, Alex, said, you know, it's impossible to fire a federal employee.
[01:04:18.973 --> 01:04:23.036]  And the face this guy makes, I'm assuming you're going to pull that video up here shortly.
[01:04:23.056 --> 01:04:29.579]  The amount of arrogance, the greed, and they're using the rules of our government, a.k.a.
[01:04:29.979 --> 01:04:34.962]  you can't get fired, civil service reform is not happening, so no one can ever get fired.
[01:04:35.382 --> 01:04:36.963]  These guys probably didn't get fired.
[01:04:37.243 --> 01:04:42.827]  They probably resigned after being put in a room and interrogated by their leadership.
[01:04:43.568 --> 01:04:46.830]  You can't get fired for anything being a federal government employee.
[01:04:46.850 --> 01:04:50.892]  Let's come back and talk about how we drain the swamp with James O'Keefe and what the next shoe to drop is.
[01:04:51.293 --> 01:04:53.474]  Straight ahead with James O'Keefe back in 60 seconds.
[01:05:01.294 --> 01:05:04.396]  Let's go ahead and go to Lloyd in Washington.
[01:05:04.436 --> 01:05:04.957]  You're on the air.
[01:05:04.977 --> 01:05:06.118]  Thanks for holding.
[01:05:06.218 --> 01:05:06.978]  Mr. Alex Jones.
[01:05:07.199 --> 01:05:07.599]  Hey, brother.
[01:05:07.619 --> 01:05:07.819]  Sir.
[01:05:08.099 --> 01:05:08.479]  Good, man.
[01:05:08.500 --> 01:05:09.300]  Thank you for calling.
[01:05:09.380 --> 01:05:09.921]  Hey, hey.
[01:05:09.941 --> 01:05:14.444]  Um, I just want to say thanks for your products and everything that you're doing to try to save the country.
[01:05:14.664 --> 01:05:21.049]  Um, I mean, I've tried your Secret 12, Super Male, Anthroplex, the Silver Bullet, Biome Defense, Micro ZX.
[01:05:21.169 --> 01:05:22.470]  I mean, it's all good stuff.
[01:05:22.670 --> 01:05:29.776]  Um, Secret 12, if everybody would just drop their energy drinks and get some Secret 12, um, take a shot of that.
[01:05:30.256 --> 01:05:31.377]  That's the thing about Secret 12.
[01:05:31.437 --> 01:05:33.878]  Just a half a dropper has way more energy.
[01:05:33.938 --> 01:05:35.439]  People ask, why is it sweet?
[01:05:35.840 --> 01:05:37.441]  Real organic B12 is sweet.
[01:05:37.901 --> 01:05:38.641]  And exactly.
[01:05:38.661 --> 01:05:42.924]  When I'm super tired, I go, hey, why am I drinking coffee at 10 at night if I'm going on some show like Coast to Coast?
[01:05:43.244 --> 01:05:43.525]  Boom!
[01:05:43.665 --> 01:05:46.486]  Secret 12, 30 minutes later, massive energy.
[01:05:46.546 --> 01:05:47.087]  It's amazing.
[01:05:47.147 --> 01:05:48.408]  Yeah, that stuff will wake you up.
[01:05:48.508 --> 01:05:51.370]  And the clarity of mind that comes along with that is just amazing.
[01:06:00.399 --> 01:06:04.402]  You are listening to an InfoWars.com Frontline Report.
[01:06:06.984 --> 01:06:10.887]  If you are receiving this transmission, you are the Resistance.
[01:06:18.490 --> 01:06:27.054]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[01:06:27.634 --> 01:06:32.256]  And I point that out because we have the deep state, we have the bureaucracy out of control.
[01:06:32.897 --> 01:06:35.678]  And it believes it runs things, not the Congress, not the President.
[01:06:36.078 --> 01:06:44.622]  And now we see on display Rod Rosenstein and these text messages, and we're going to have 25th Amendment, and we're going to ignore the President, and we're going to do whatever we want.
[01:06:45.282 --> 01:06:49.366]  And then you have James O'Keefe with all these undercover videos at ProjectVeritas.com.
[01:06:49.746 --> 01:06:51.067]  They're up on Infowars.com.
[01:06:51.087 --> 01:06:52.248]  He's with us for this segment.
[01:06:52.729 --> 01:06:57.092]  And when we come back next segment, I'm going to play some of the highlights of this, but he's breaking it down.
[01:06:57.793 --> 01:07:02.157]  Again, perfect timing with Trump battling the deep state and rogue government.
[01:07:03.226 --> 01:07:06.268]  Literally saying they're taking their orders from Hillary and Obama.
[01:07:06.288 --> 01:07:08.249]  They call her Madam President still.
[01:07:10.270 --> 01:07:14.672]  Just the arrogance, the attitude, the videos you have of them saying, we're never going to get fired.
[01:07:14.712 --> 01:07:16.653]  We're part of the Socialist and Communist Party.
[01:07:16.954 --> 01:07:18.334]  We're going to take over America.
[01:07:18.795 --> 01:07:21.096]  And then you look at how wimpy they are, but...
[01:07:21.736 --> 01:07:31.710]  Still, they're in charge, they live off our tax money, and so it's the arrogance, it's the chicken-neckness, it's the stupidness of them, but then it makes me feel stupid.
[01:07:32.010 --> 01:07:35.115]  How do we ever let this much scum run our lives, James O'Keefe?
[01:07:35.856 --> 01:07:51.664]  Well, Alex, you know, this is why maybe we need civil service reform, because the Deep State is not just the director of the intelligence agency and Rosenstein and whoever else, it's also millions of foot soldiers, thousands and thousands of these people that we've caught on tape.
[01:07:52.084 --> 01:08:04.410]  This is just a small cross-sampling of them, and yes, if you look at these tapes, what's remarkable is, I mean, the guy that we released Thursday, this self-described communist inside a government auditor's office,
[01:08:04.970 --> 01:08:24.756]  He says, what I do is explicitly prohibited, I'm hungover, I don't even go to work, I spend my time, this is what he says on the tape, I spend my time electing democratic socialists and I lied on my forms to the federal government, but nothing will ever happen to me because there's no oversight, nobody will care, it's impossible to get fired.
[01:08:25.076 --> 01:08:28.837]  This is what he is, there he is right there, Nate Sumeraney, an auditor at GAO.
[01:08:29.237 --> 01:08:34.359]  So it's just, these are what they call the democratic socialists of America, a lot of them are federal employees.
[01:08:34.599 --> 01:08:36.000]  This is not a conspiracy theory.
[01:08:36.400 --> 01:08:37.481]  This is videotape.
[01:08:37.581 --> 01:08:44.047]  And by the way, the man you're looking at right there, that man right there, he has been shown the door at GAO.
[01:08:44.327 --> 01:08:49.211]  While they may not be able to, quote, fire him, they have removed him from the building.
[01:08:49.231 --> 01:08:50.972]  This is like a Greek tragedy.
[01:08:50.992 --> 01:08:55.476]  They can't fire the people, so they just have to take them away from their computer systems.
[01:08:56.017 --> 01:09:05.679]  So, this is just a few of many, many things dropping at Project Veritas, but we're getting the results, we're drawing blood, and we're getting some serious reactions.
[01:09:07.734 --> 01:09:28.689]  You know, isn't this a form of racketeering and organized crime that you've got the Democratic Socialists of America hooked in with Sanders, all of them, and they've got thousands of people just in that one cult or syndicate, in my view, operating in government, obviously being directed, because you've got all these videos at different offices, different agencies, they're all saying the exact same things.
[01:09:28.989 --> 01:09:32.652]  They're getting programmed by a central big brain.
[01:09:34.207 --> 01:09:36.850]  Yeah, well, Alex, there is a conspiracy law.
[01:09:36.870 --> 01:09:41.194]  I don't have it in front of me, but we sent it out to our mailing list.
[01:09:41.694 --> 01:09:44.918]  There is a conspiracy to defraud the U.S.
[01:09:44.958 --> 01:09:45.298]  government.
[01:09:45.318 --> 01:09:46.299]  It's a federal felony.
[01:09:46.957 --> 01:09:48.359]  And it carries time in prison.
[01:09:48.399 --> 01:09:57.350]  And our lawyers have informed us that these Democratic Socialist federal workers, these deep state people, could be in violation of that federal statute.
[01:09:57.751 --> 01:09:59.192]  And don't take my word for it.
[01:09:59.733 --> 01:10:05.641]  The State Department, Mike Pompeo, the Secretary of State, has reacted to these videos.
[01:10:06.221 --> 01:10:11.966]  So has the Justice Department, so is Health and Human Services, and so is the Government Accountability Office.
[01:10:12.026 --> 01:10:13.908]  Everyone's taking this very seriously.
[01:10:14.328 --> 01:10:20.353]  To get two federal workers to effectively lose their jobs is a very big deal in this country.
[01:10:20.393 --> 01:10:21.955]  And you did it in just... It's very hard to do.
[01:10:22.155 --> 01:10:23.196]  And you did it just in one week.
[01:10:24.443 --> 01:10:25.284]  In three days.
[01:10:25.364 --> 01:10:26.926]  We've got a couple more coming here.
[01:10:27.647 --> 01:10:34.998]  We have the Kavanaugh distraction happening over the last two and a half weeks, which is making our jobs difficult to break through the news cycle.
[01:10:35.038 --> 01:10:38.523]  But we are getting the reactions from government, and obviously there's more to come.
[01:10:41.559 --> 01:10:48.982]  You broke news last year and this year at New York Times, YouTube, Google, where they say Alex Jones is our number one enemy.
[01:10:49.683 --> 01:10:52.464]  And I bring myself up because now they're taking our PayPal away.
[01:10:52.504 --> 01:10:53.904]  That's gone in eight business days.
[01:10:55.205 --> 01:10:59.207]  They're saying they want, they have Democrats in congressional hearings saying they want me off the air.
[01:10:59.847 --> 01:11:01.628]  Now James Woods has been taken off Twitter.
[01:11:02.328 --> 01:11:02.888]  Suspended.
[01:11:03.349 --> 01:11:06.791]  They're persecuting everyone I know that's a libertarian, a Christian, a patriot.
[01:11:07.491 --> 01:11:13.135]  People I know that are just Christians and just share Bible verses are being kicked off Twitter who've been on for years.
[01:11:13.575 --> 01:11:20.439]  There is a giant purge going on and it really is cartels in a conspiracy against our free speech.
[01:11:21.339 --> 01:11:28.664]  And again, this ties into this arrogance of government, the bureaucracies, the Democrats in Congress, and big tech.
[01:11:29.835 --> 01:11:34.583]  And Hollywood all ganged up on America, but still America's coming back from the dead.
[01:11:35.084 --> 01:11:39.311]  Can you speak to other investigations just into the big tech situations?
[01:11:39.351 --> 01:11:41.515]  Are the presidents now really paying attention to that?
[01:11:41.555 --> 01:11:42.417]  And what do you think should be done?
[01:11:43.351 --> 01:11:49.272]  Well, I saw the executive order or the discussion of the executive order from Trump, and I think that's interesting.
[01:11:49.352 --> 01:11:53.674]  I don't know what the solutions are, whether it's antitrust legislation or an executive order.
[01:11:53.694 --> 01:11:58.975]  Alex, I would, in previous segments with you, I've said that we just need to expose it.
[01:11:59.015 --> 01:12:00.055]  We need to illuminate it.
[01:12:00.075 --> 01:12:01.575]  We need to outrage people.
[01:12:02.696 --> 01:12:03.756]  I am concerned that
[01:12:04.412 --> 01:12:20.344]  That they're doing this in public now and maybe we don't need the hidden camera exposés in general, but I still think that the engineers, to get the engineers to admit like we did with those Twitter engineers, to admit how they ban you and why they ban you.
[01:12:20.364 --> 01:12:28.010]  I know James Woods was removed and the thinking was because, you know, he's influencing an election.
[01:12:29.352 --> 01:12:32.157]  That's what citizens do!
[01:12:32.337 --> 01:12:36.004]  They're trying some campaign finance law saying we can't have political views.
[01:12:36.724 --> 01:12:49.109]  But if we get them to admit, Alex, in the way that Project Veritas often does, the motivations more explicitly and inflammatory... They just say, we hate veterans, we hate Alex Jones, we hate the American flag.
[01:12:49.209 --> 01:12:50.170]  On video.
[01:12:50.230 --> 01:12:57.833]  Or just that we cannot allow Republicans to win office, therefore we have to remove... By the way, that's not a conspiracy.
[01:12:57.853 --> 01:12:58.753]  You have it on video.
[01:12:58.813 --> 01:13:01.014]  It's a foreshadowing to what we have coming out.
[01:13:01.414 --> 01:13:02.895]  We have sources on the inside.
[01:13:02.915 --> 01:13:05.456]  The difference is, I don't want to release documentation
[01:13:06.116 --> 01:13:06.557]  We're good.
[01:13:22.007 --> 01:13:26.010]  And there he is dancing with typical arrogance of a Project Veritas target.
[01:13:26.411 --> 01:13:31.314]  So, we have to get the visual confirmation because the media holds us to a higher standard.
[01:13:31.695 --> 01:13:34.677]  They will not believe me if I just report what a source told me.
[01:13:34.697 --> 01:13:35.818]  I have to actually catch the source.
[01:13:35.838 --> 01:13:38.780]  Oh, and they always say you selectively edit even though you put out hours of it.
[01:13:39.280 --> 01:13:40.201]  But they know they're liars.
[01:13:40.641 --> 01:13:51.627]  Bob Woodward, who wrote the book Fear, takes his quotes from anonymous sources who relay other quotes from other anonymous sources months after the incidents in question, and then he puts that information in quotation marks.
[01:13:52.027 --> 01:13:53.748]  If that is not selective editing...
[01:13:54.406 --> 01:13:55.126]  Then what is?
[01:13:55.146 --> 01:14:00.508]  I mean, it's a third standard they hold us to, Alex, but we have to live up to that standard.
[01:14:00.548 --> 01:14:01.168]  We have to.
[01:14:01.668 --> 01:14:06.250]  We have to show the American people the reality of what these people are saying and doing.
[01:14:06.270 --> 01:14:08.151]  The deep state stuff is drawing blood.
[01:14:08.571 --> 01:14:10.151]  The deep state stuff is effective.
[01:14:10.611 --> 01:14:19.634]  And I've had multiple reporters, Alex, from Washington Post, New York Times, privately email me and say, how the heck did you get these guys to talk?
[01:14:19.714 --> 01:14:21.395]  So they're quietly impressed.
[01:14:21.975 --> 01:14:26.539]  By the things that we're exposing, I just wish that they would do their jobs.
[01:14:27.680 --> 01:14:32.944]  Well, there's no doubt they've whipped themselves in government and in media into a criminal frenzy when Hillary lost.
[01:14:33.004 --> 01:14:35.086]  And I think they're going to lose in this midterm coming up.
[01:14:35.806 --> 01:14:37.748]  If they do lose, what do you expect them to do?
[01:14:37.768 --> 01:14:38.708]  I don't think they're going to give up.
[01:14:38.728 --> 01:14:40.810]  I think they're going to get even crazier.
[01:14:40.830 --> 01:14:44.393]  I think that there is, as everyone's talking about on Twitter right now, I think there's a
[01:14:45.123 --> 01:14:48.045]  There's this cabal in New York, Los Angeles and D.C.
[01:14:48.065 --> 01:14:49.206]  and they're all talking to each other.
[01:14:49.246 --> 01:15:00.474]  But if you go to anywhere outside of these major cities and talk to private citizens and women suburban voters, which I travel constantly, I interact with these people as you do, people are outraged.
[01:15:00.974 --> 01:15:08.696]  By the crap and the character assassination and the innuendo and just the lack of truth in media.
[01:15:09.016 --> 01:15:14.318]  CNN's been holding town halls and panicking when all the women say Kavanaugh's innocent, even liberals.
[01:15:14.598 --> 01:15:16.299]  People are just fed up, it's so obvious.
[01:15:17.059 --> 01:15:20.900]  People are fed up by a lot and our country is entering a strange
[01:15:21.727 --> 01:15:22.868]  Strange territory.
[01:15:22.908 --> 01:15:25.489]  It's an inflection point in American history for sure.
[01:15:25.929 --> 01:15:30.852]  Sometimes my point is that it just takes those small visual examples.
[01:15:31.956 --> 01:15:54.021]  reality for people to say wait a second is that how these people behave they think they can't get fired for anything my tax dollars at work I mean we've got some big things coming Alex not not just on the deep state here maybe tomorrow we have to see what happens with these Kavanaugh hearings because the media is so... I can't wait please join us when you do we'll all be watching at projectveritas.com thank you James O'Keefe
[01:15:55.848 --> 01:15:59.089]  Alex Jones was quite the spectacle today.
[01:15:59.149 --> 01:16:07.671]  The most relevant part of this so far has been an interaction that Marco Rubio had while talking to reporters with Alex Jones.
[01:16:07.911 --> 01:16:12.932]  You know, look, part of this I think you could argue and say, why are you guys giving him any attention for this nonsense?
[01:16:12.972 --> 01:16:14.893]  But I think there's a point to this that's important.
[01:16:15.373 --> 01:16:16.393]  Here is this sort of spectacle.
[01:16:16.413 --> 01:16:21.154]  Marco Rubio is doing an interview and Alex Jones bumbles up to him.
[01:16:21.254 --> 01:16:27.283]  Our interview was cut short because he was confronted by Alex Jones and InfoWars right here in the hallway.
[01:16:27.463 --> 01:16:33.793]  I think Facebook now, I think it's important for them not to comply with any efforts to sort of go after freedom.
[01:16:33.813 --> 01:16:36.216]  What about the Democrats purging conservatives?
[01:16:36.236 --> 01:16:36.797]  She's not answering.
[01:16:37.758 --> 01:16:39.580]  Just that the Republicans are acting like it isn't happening.
[01:16:39.960 --> 01:16:40.701]  Thank God Trump is.
[01:16:41.442 --> 01:16:41.922]  That's weird.
[01:16:42.443 --> 01:16:43.143]  Oh yeah, it's really weird.
[01:16:43.183 --> 01:16:44.304]  There's no purge of conservatives.
[01:16:44.364 --> 01:16:45.425]  There's no shadow banning.
[01:16:45.846 --> 01:16:48.268]  Are you concerned about bias in social media?
