[00:00:20.575 --> 00:00:26.477]  From the front lines!
[01:04:34.930 --> 01:04:35.870]  He says, oh, that guy's awesome.
[01:04:35.870 --> 01:04:37.131]  We're going to get him on the team.
[01:04:37.131 --> 01:04:40.033]  If we're talking about doing that, his liberal friends might crucify him, though.
[01:04:40.033 --> 01:04:41.134]  There's so much going on.
[01:04:41.134 --> 01:04:43.916]  There's the new Sandy Hook lawsuits against me.
[01:04:43.916 --> 01:04:46.498]  We're going to get into all that.
[01:04:46.498 --> 01:04:51.421]  We're going to talk about all of it when we return in T-minus 60 seconds.
[01:04:51.421 --> 01:04:56.905]  And then the countdown begins until we have the 30-year-old kid in here.
[01:04:58.399 --> 01:05:02.382]  Staying healthy on the go is just as important as staying healthy at home.
[01:05:02.382 --> 01:05:05.123]  But sometimes supplements don't work fast enough.
[01:05:05.123 --> 01:05:09.926]  That's why InfoWars Life has created a powerful new addition to the Super Blue line.
[01:05:09.926 --> 01:05:12.348]  Super Blue Silver Immune Gargle.
[01:05:12.348 --> 01:05:15.370]  Available in 1 oz., 3.5 oz., and 16 oz.
[01:05:15.370 --> 01:05:19.833]  bottles, Immune Gargle is perfect for the bathroom, kitchen, or wherever you go.
[01:05:20.453 --> 01:05:27.160]  The incredible new purifying formula is dentist recommended for daily use whenever you feel like you need to stay clean.
[01:05:27.160 --> 01:05:35.288]  As a powerful hand purifier or oral cleansing formula, just a small spray will help you stay clean when you feel surrounded by toxins.
[01:05:35.288 --> 01:05:42.055]  With powerful yet simple ingredients, Immune Gargle features Silver Soul Nano Silver for a powerful cleansing alternative.
[01:05:42.475 --> 01:05:47.658]  With Super Blue Silver Immune Gargle, staying toxin-free is easy and affordable.
[01:05:47.658 --> 01:05:52.961]  Help stop the spread of toxins and stay healthy with Super Blue Silver Immune Gargle.
[01:05:52.961 --> 01:05:55.623]  Only available at InfoWarsLife.com.
[01:05:55.623 --> 01:05:57.544]  That's InfoWarsLife.com.
[01:06:06.476 --> 01:06:10.418]  Waging war on corruption.
[01:06:10.418 --> 01:06:16.562]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:06:28.562 --> 01:06:35.664]  Well, Mark Randazzo, one of the top free speech first-minute lawyers in the country, is popping into the next two segments with us at Randazzo.com.
[01:06:35.664 --> 01:06:45.428]  He's got Randazzo Legal and a whole bunch of states, including Connecticut, where we just got sued by more of the Sandy Hook parents and an FBI agent.
[01:06:45.428 --> 01:06:55.431]  And my lawyers, and I even had some other lawyers look at it, like Mr. Randazzo, looked at it and they said, this is the next level of a frivolous lawsuit.
[01:06:55.431 --> 01:06:55.631]  I mean,
[01:06:58.712 --> 01:07:00.093]  They've got stuff out of context.
[01:07:00.093 --> 01:07:02.895]  It was in statute of limitations.
[01:07:02.895 --> 01:07:05.738]  So it's not even admissible, and it's not even accurate.
[01:07:05.738 --> 01:07:08.380]  And I don't even know who this FBI agent is.
[01:07:08.380 --> 01:07:10.181]  It's just a way to run this all through the media.
[01:07:10.181 --> 01:07:22.951]  But I wanted to get his take on that a little bit, but also on just the attacks on free speech in general, on conservatives, libertarians online, and where he thinks that's going.
[01:07:22.951 --> 01:07:24.753]  And then I want to tie it into Morgan Freedman.
[01:07:26.223 --> 01:07:38.728]  You've got 8 women and then you've got 8 other witnesses, or 16 total, so I guess that is 8 other witnesses, that he would tell women, you're really hot, I want to go out with you, man you're sexy.
[01:07:38.728 --> 01:07:42.489]  And the women on TV would go, oh, and kind of giggle about it, and then he would stop.
[01:07:42.489 --> 01:07:43.410]  Is it a creepy old man?
[01:07:43.410 --> 01:07:44.570]  Yeah.
[01:07:44.570 --> 01:07:48.892]  I mean he's acting like I acted when I was about 18.
[01:07:48.892 --> 01:07:50.913]  But, you know, that's how you
[01:07:52.025 --> 01:07:59.792]  Quite frankly, in this world, I mean, if you want to get game as quickly as possible, you may have to run through a bunch of women, but you're going to run into the women that are ready to go.
[01:07:59.792 --> 01:08:08.299]  And James Caan, one of my favorite actors from Rollerball, you name it.
[01:08:08.299 --> 01:08:11.882]  Of course, great job in The Godfather.
[01:08:11.882 --> 01:08:15.505]  He was asked about Friedman, which is no comparison to Weinstein.
[01:08:17.739 --> 01:08:21.302]  Any thoughts on Morgan Freeman being accused of sexual misconduct?
[01:08:45.342 --> 01:08:49.483]  What do you think about him losing endorsements just over allegations already?
[01:08:49.483 --> 01:08:50.543]  What did you say?
[01:08:50.543 --> 01:08:54.744]  He's already losing endorsements over the allegations that just came out.
[01:08:54.744 --> 01:08:56.265]  I know.
[01:08:56.265 --> 01:08:58.625]  We're becoming a very strange place.
[01:08:58.625 --> 01:09:00.806]  Yeah, Morgan's a great guy, we all know.
[01:09:00.806 --> 01:09:06.007]  I think that's why God made men and women so they could be attractive to each other.
[01:09:06.007 --> 01:09:06.247]  Thank you.
[01:09:07.662 --> 01:09:09.543]  Well, actually, there's an attack on men and women.
[01:09:09.543 --> 01:09:11.124]  There's an attack on regular biology.
[01:09:11.124 --> 01:09:12.205]  This is the deep state.
[01:09:12.205 --> 01:09:16.027]  It's in the way he's trying to make us all fight with each other and smokescreen, in my view.
[01:09:17.369 --> 01:09:20.071]  The real sexual abuse going on by elites in this country.
[01:09:20.071 --> 01:09:23.413]  But that's another issue that ties into speech.
[01:09:23.413 --> 01:09:30.198]  My right to tell a woman, I think you're gorgeous, on the street, or at a ticket counter, or wherever.
[01:09:30.198 --> 01:09:31.719]  She says, buzz off, pal.
[01:09:31.719 --> 01:09:32.840]  And I don't buzz off.
[01:09:32.840 --> 01:09:35.042]  You know, then there can be an issue.
[01:09:35.042 --> 01:09:36.763]  But men don't even do that now.
[01:09:36.763 --> 01:09:39.605]  Men are like all this in the West, and scared of women.
[01:09:39.605 --> 01:09:41.907]  Markum, it's another subject, but it does deal with speech.
[01:09:41.907 --> 01:09:44.789]  What's your take on that as we see Harvey Weinstein doing the perp walk?
[01:09:46.092 --> 01:09:54.497]  Look, you know, there certainly are legitimate sexual harassment and sexual abuse cases.
[01:09:54.497 --> 01:10:00.961]  And if somebody is an employer and has quid pro quo sexual harassment over an employee, that's wrong.
[01:10:01.501 --> 01:10:03.063]  Uh, you know, what Bill Cosby did?
[01:10:03.063 --> 01:10:03.623]  My God.
[01:10:03.623 --> 01:10:05.525]  I mean, I don't even, I don't even get it.
[01:10:05.525 --> 01:10:10.169]  I mean, a celebrity can walk into any bar and say, you know, say to five different women, do you want to go home with me?
[01:10:10.169 --> 01:10:12.832]  One of them is going to go home with him just because he's a celebrity.
[01:10:12.832 --> 01:10:13.793]  Drugging somebody?
[01:10:13.793 --> 01:10:15.534]  I hope the guy dies in prison.
[01:10:15.534 --> 01:10:20.879]  Uh, but you know, now it's, it's like this incremental movement.
[01:10:20.879 --> 01:10:23.662]  It can't ever be, we've stopped what's bad.
[01:10:24.494 --> 01:10:25.716]  And we're happy.
[01:10:25.716 --> 01:10:29.442]  Now it has to go to, even, the guy hits on a woman?
[01:10:29.442 --> 01:10:33.189]  I mean, come on, look, my advice to all men out there, play the numbers!
[01:10:34.796 --> 01:10:38.018]  I mean, let her decide she doesn't want to sleep with you.
[01:10:38.018 --> 01:10:39.319]  Don't you decide it.
[01:10:39.319 --> 01:10:40.160]  Ask everybody.
[01:10:40.160 --> 01:10:41.220]  Why not?
[01:10:41.220 --> 01:10:43.202]  I don't see a problem with that.
[01:10:43.202 --> 01:10:50.807]  But, you know, there has to be this constant drumbeat to beat down any semblance of masculinity in our culture.
[01:10:50.807 --> 01:11:04.336]  You know, frankly, because, you know, I don't know why, but there's this mental illness that seems to be going through us as a society that we want to completely purge any gender differences and any kind of, you know,
[01:11:04.976 --> 01:11:09.141]  Man, it's like the Fun Patrol showing up in a Jeep every single time.
[01:11:09.141 --> 01:11:10.022]  Well, exactly.
[01:11:10.022 --> 01:11:20.573]  Morgan Freeman's not accused of anything that I wouldn't be completely proud to do myself, at least from what I've seen in this segment so far.
[01:11:20.573 --> 01:11:21.034]  Absolutely.
[01:11:21.034 --> 01:11:23.236]  I mean, he's a little pushy.
[01:11:23.236 --> 01:11:25.739]  Some of it to me is creepy, but it's a free country.
[01:11:25.739 --> 01:11:26.500]  And the women, though,
[01:11:27.961 --> 01:11:28.301]  I don't know.
[01:11:38.007 --> 01:11:47.893]  Yeah, look, I wasn't there, but from what I've seen here, the only thing I've seen is that the guy was flirting with women, which I think is... Well, that's the allegation, too.
[01:11:47.893 --> 01:11:49.955]  They're just saying that he was aggressively flirting with them.
[01:11:49.955 --> 01:11:53.257]  And again, how is that as big a story as Weinstein?
[01:11:53.257 --> 01:11:59.461]  Which, if this is true, and I think there's so many people saying it, and a lot of evidence to it, then I think the guy should, you know, be sent to prison for life.
[01:12:01.091 --> 01:12:01.932]  Uh, yeah.
[01:12:01.932 --> 01:12:25.332]  I mean, again, just, you know, when, when men abuse their position, uh, when men, uh, use, uh, either abuse their position of authority or do something forceful or drug a woman, my God, I want to be the, you know, I'll be the first one out there with a pitchfork and a torch, but it's, it's this, you know, you've got this loud contingent of a very small group of people who really,
[01:12:25.976 --> 01:12:31.404]  You know, I think it comes from mental illness from women who just don't like their dads.
[01:12:31.404 --> 01:12:38.915]  They have this paradigm in their head that they think that every guy is somehow evil and they've got to beat this out of society.
[01:12:38.915 --> 01:12:41.779]  That there can be absolutely no masculinity at all.
[01:12:42.946 --> 01:12:48.227]  And it's ultimately going to create, I think, a crisis, if it hasn't already.
[01:12:48.227 --> 01:12:50.928]  I mean, we got to be worried about this?
[01:12:50.928 --> 01:13:03.511]  Well, there's a thing also with liberal Democrat Party women, with other Republicans that I know, that they, at like these hotels downtown in Austin, I'm married, I'm not involved in any of this, but I hear about it from people, the Democrat women
[01:13:04.830 --> 01:13:05.010]  Yeah.
[01:13:17.697 --> 01:13:22.522]  Say that all masculinity is bad, but in truth, they're really looking for somebody to treat them bad.
[01:13:22.522 --> 01:13:27.227]  And you've got 50 Shades of Grey and more and more women into all this bondage stuff.
[01:13:27.227 --> 01:13:31.091]  So, like you said, it really just sounds like insanity to me.
[01:13:31.091 --> 01:13:37.177]  And I think it distracts from real bad things that are happening to women, to conflate hitting on a girl with raping.
[01:13:38.535 --> 01:13:41.458]  Yeah, I mean look, that is the problem.
[01:13:41.458 --> 01:13:45.824]  That there is this argument that it's a continuum from flirting to rape.
[01:13:45.824 --> 01:13:50.569]  And no, rape and sexual assault is an act of violence.
[01:13:50.569 --> 01:13:54.915]  Flirting, hell, that's the first step in the reproductive process.
[01:13:54.915 --> 01:13:55.656]  Are you interested?
[01:13:57.284 --> 01:14:06.490]  You know, as far as these women at the hotels that want to be mistreated, I don't know, and I think that's a dangerous way for guys to look at it.
[01:14:06.490 --> 01:14:10.752]  I mean, I can certainly say that I've bumped into that.
[01:14:10.752 --> 01:14:12.073]  Not my thing.
[01:14:12.073 --> 01:14:20.258]  Not my thing either, but that's what I'm saying is, it's growing, and it's generally with women that claim they're liberal and hate all men.
[01:14:20.258 --> 01:14:25.522]  It's like well-known that interracial porn outsells 3-to-1, 4-to-1 in the Deep South to white males.
[01:14:27.190 --> 01:14:28.913]  I didn't know that, but yeah, maybe.
[01:14:42.286 --> 01:14:42.727]  I don't know.
[01:14:42.727 --> 01:14:43.987]  Well, I know what they mean.
[01:14:43.987 --> 01:14:49.130]  And that is that, look, it's everything is about power and domination.
[01:14:49.130 --> 01:14:50.011]  Everything.
[01:14:50.011 --> 01:15:01.438]  So imagine if you could walk into a room and everybody's supposed to play a certain game, but all you have to do is, you know, pull one card and you're automatically at a disadvantage.
[01:15:01.438 --> 01:15:08.563]  You know, this is a good way to target anyone and everyone who you might want to eliminate or climb on top of.
[01:15:08.563 --> 01:15:10.644]  It's it's the it's the victim Olympics.
[01:15:11.169 --> 01:15:14.391]  Let me ask you this before we go to break it and come back to the First Amendment.
[01:15:14.391 --> 01:15:15.993]  When do you think we hit the bottom of this?
[01:15:15.993 --> 01:15:20.256]  When do we hit peak political correctness?
[01:15:20.256 --> 01:15:23.878]  One day, in the future, there will be the Uber victim.
[01:15:23.878 --> 01:15:27.481]  It will be one victim to rule over all of them.
[01:15:27.481 --> 01:15:37.028]  There will be a black lesbian in a wheelchair with an eyepatch and every single possible victimization and she will rule.
[01:15:37.028 --> 01:15:38.329]  So it ends with
[01:15:39.443 --> 01:15:40.744]  It's dystopian.
[01:15:40.744 --> 01:15:49.908]  Look, it's a dystopian fairy tale, but you know, it really is like this race to see who can be strong through victimization.
[01:15:49.908 --> 01:15:51.229]  That's right.
[01:15:51.229 --> 01:15:55.391]  It's a race to make everybody be weak and lazy and stupid so they can be controlled.
[01:15:57.867 --> 01:16:02.930]  Fellow Patriots, my name is Todd Savage, founder of BlackRifleRealEstate.com.
[01:16:02.930 --> 01:16:08.294]  Like you, I was a prisoner of the Alt-Left Sanctuary State until one day I chose to leave my family to freedom.
[01:16:08.294 --> 01:16:16.339]  Today we live on a sustainable 20-acre homestead where we shoot, hunt, garden, and homeschool our children without the tyranny of the nanny state looking over us.
[01:16:16.339 --> 01:16:21.783]  If you're ready to flee the city to the freedom of Idaho or Montana, our Black Rifle Real Estate team is here to help.
[01:16:21.783 --> 01:16:23.784]  Go to BlackRifleRealEstate.com.
[01:16:23.784 --> 01:16:25.645]  That's BlackRifleRealEstate.com.
[01:16:27.193 --> 01:16:29.455]  Bacon lovers, we ship free!
[01:16:29.455 --> 01:16:33.758]  Try our amazing bacon, no refrigeration required.
[01:16:33.758 --> 01:16:43.364]  Proprietary value-added packaging provides 10-year shelf life and protects the leanest, thickest, center-cut, fully cooked bacon in America today.
[01:16:43.364 --> 01:16:46.807]  Ready to eat right from the pouch or warm and serve.
[01:16:46.807 --> 01:16:48.668]  Savory and delicious.
[01:16:48.668 --> 01:16:51.630]  Wholesale price for your everyday use.
[01:16:51.630 --> 01:16:54.532]  Order today at ReadyToEatBacon.com.
[01:16:54.532 --> 01:16:55.853]  ReadyToEatBacon.com.
[01:16:57.077 --> 01:17:03.839]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[01:17:03.839 --> 01:17:08.101]  Since 2005, thousands have depended on Berkey Purified Water.
[01:17:08.101 --> 01:17:12.722]  The Berkey guy provides the lowest price filtration systems in every size.
[01:17:12.722 --> 01:17:18.284]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
[01:17:18.284 --> 01:17:18.424]  877-886-3653.
[01:17:18.424 --> 01:17:18.764]  GoBerkey.com.
[01:17:26.927 --> 01:17:30.788]  Most of you know that heart disease is the number one silent killer in the U.S.
[01:17:30.788 --> 01:17:35.790]  What if I told you for just $54.95 a month you could fight against heart disease naturally?
[01:17:35.790 --> 01:17:40.611]  At Heart and Body Extract, we've been helping thousands of people get back to a healthier heart.
[01:17:40.611 --> 01:17:41.952]  Don't just take my word for it.
[01:17:41.952 --> 01:17:45.713]  Check out all of the success stories at HBExtract.com.
[01:17:45.713 --> 01:17:46.693]  Or to order, call 866-295-5305.
[01:17:46.693 --> 01:17:47.093]  That's 866-295-5305.
[01:17:47.093 --> 01:17:47.653]  HBExtract.com.
[01:17:47.653 --> 01:17:49.934]  Don't risk it when you can take charge of it.
[01:17:58.479 --> 01:18:04.762]  Choose to take control of your chemistry with Survival Shield X2 and BioTrue Selenium.
[01:18:04.762 --> 01:18:09.104]  This powerful combo is perfect for supporting your thyroid and health.
[01:18:09.104 --> 01:18:16.388]  BioTrue Selenium's formula is far from synthetic and is made from a source of 100% organic mustard seed.
[01:18:16.388 --> 01:18:18.589]  Our super high quality nascent iodine
[01:18:18.829 --> 01:18:25.033]  is an essential mineral sourced of 99.99% ultra-pure deep earth iodine crystals.
[01:18:25.033 --> 01:18:32.818]  This essential mineral is necessary in order to produce thyroid hormones which influence every cell, tissue and organ in the body.
[01:18:32.818 --> 01:18:39.723]  With inadequate thyroid hormones you may experience slow metabolism, lethargy, weight gain and overall brain fog.
[01:18:40.083 --> 01:18:46.307]  Survival Shield X2 and BioTrue Selenium work together to support the systems in your body.
[01:18:46.307 --> 01:18:50.149]  Take control of your chemistry today with this super combo.
[01:18:50.149 --> 01:18:57.174]  Discover the power of Survival Shield X2 and BioTrue Selenium at InfoWarsLife.com
[01:18:58.387 --> 01:19:00.728]  Fueling your body is hard work.
[01:19:00.728 --> 01:19:06.491]  That's why we've introduced the InfoWars Life Daily Digestive Pack to help you fuel it right.
[01:19:06.491 --> 01:19:14.936]  Combine FloraLife Everyday Maintenance and Carnivore to help you fuel your gut and body and take advantage of the powerful nutrients you receive.
[01:19:14.936 --> 01:19:17.157]  There's no better way to power your body.
[01:19:17.677 --> 01:19:24.562]  Floralife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[01:19:24.562 --> 01:19:35.730]  When paired with Carnivore, our incredible enzyme formula that helps you break down nutrients, these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[01:19:35.730 --> 01:19:42.635]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
[01:19:43.155 --> 01:19:49.321]  There's no better time to try Floralife and Carnivore to see how well they can support your body.
[01:19:49.321 --> 01:19:53.165]  Don't miss out on the chance to fuel your body and support recovery.
[01:19:53.165 --> 01:20:01.894]  Try the InfoWars Life Daily Digestive Pack today!
[01:20:01.894 --> 01:20:04.537]  You're listening to the Alex Jones Show.
[01:20:21.468 --> 01:20:28.973]  From the front lines of the Information War, it's Alex Jones.
[01:20:28.973 --> 01:20:32.576]  Okay, I got sidetracked over into the Harvey Weinstein situation.
[01:20:32.576 --> 01:20:36.259]  And from what I've heard, people that know him, and he is a monstrous pig.
[01:20:36.259 --> 01:20:38.280]  I said that he reportedly raped women first.
[01:20:38.280 --> 01:20:39.421]  I was attacked by, um...
[01:20:41.172 --> 01:20:45.797]  Major publications on the left, like Huffington Post, saying Jones made outrageous claims.
[01:20:45.797 --> 01:20:48.920]  He said there's a cult, too, where they brand women and torture them.
[01:20:48.920 --> 01:20:50.462]  Well, I didn't want to say the name and get sued.
[01:20:50.462 --> 01:20:54.186]  I knew about NXIVM from people that had been on the periphery of it.
[01:20:54.186 --> 01:20:56.488]  I'm going to leave it at that.
[01:20:56.488 --> 01:20:56.928]  But yeah.
[01:20:57.589 --> 01:20:58.650]  It's a lot bigger than that.
[01:20:58.650 --> 01:21:02.332]  And I heard Obama and Richard Branson were involved, and I said that.
[01:21:02.332 --> 01:21:03.533]  And now it's in the news.
[01:21:03.533 --> 01:21:04.473]  But I'm going to stop right there.
[01:21:04.473 --> 01:21:05.854]  You've got the floor for the time we have.
[01:21:05.854 --> 01:21:08.436]  You're going to be back in studio several hours with us.
[01:21:08.436 --> 01:21:11.037]  Mark Rondazza next Tuesday.
[01:21:11.037 --> 01:21:13.099]  Because I knew he was a top lawyer, but my lawyer is no...
[01:21:13.459 --> 01:21:16.062]  You know, when I look at a complaint like this, and I see that it's got what, 394 paragraphs?
[01:21:36.877 --> 01:21:44.163]  You know, that's not always an indication of something, but it usually is in a case like this, because it's relatively simple facts.
[01:21:44.163 --> 01:21:55.071]  If we look at the facts, they're saying you said something hurtful about them, you said something untrue about them, that shouldn't require 400 odd paragraphs to explain.
[01:21:55.071 --> 01:22:01.956]  And when I look at this complaint, and I look at how the, you know, the logical contortions that some of it went through, and I'm going to take
[01:22:02.739 --> 01:22:12.002]  At this point, a judge, if you file a motion to dismiss, is going to take everything in this complaint as true, just for the purpose of a motion to dismiss.
[01:22:12.002 --> 01:22:16.683]  Summary judgment or trial, that's later on when you evaluate the evidence.
[01:22:16.683 --> 01:22:22.025]  Let's look at this and just say every single thing in it is true from a factual perspective.
[01:22:22.774 --> 01:22:26.136]  It still seems like a pretty strange suit to me.
[01:22:26.136 --> 01:22:45.245]  It's trying to, you know, it's funny how when it accuses you of being a conspiracy theorist, but then it creates this, what seems like an implausible conspiracy among you and these other people who happen to just be some of your viewers.
[01:22:45.245 --> 01:22:52.069]  So, you know, if you want to bring, just as a theme, when you write a complaint, you write legal documents, you've got to remember
[01:22:52.853 --> 01:22:54.374]  You're talking to a human being.
[01:22:54.374 --> 01:22:59.017]  At the end of the day, a judge or the judge's clerks is going to read this.
[01:22:59.017 --> 01:23:09.845]  And if you if you create the theme of here's a conspiracy theory against this person we're accusing of being a conspiracy theorist, I think you lose a little rhetorical ground.
[01:23:09.845 --> 01:23:16.149]  Another thing I'm looking at and that I find curious is they've added one defendant.
[01:23:16.149 --> 01:23:18.831]  So this case is filed in Connecticut.
[01:23:18.831 --> 01:23:20.372]  They've added one defendant.
[01:23:20.993 --> 01:23:23.754]  Who's in Connecticut.
[01:23:23.754 --> 01:23:26.556]  So we've got plaintiffs in Connecticut and defendants in Connecticut.
[01:23:26.556 --> 01:23:31.358]  And why that's important is when you have diversity of citizenship.
[01:23:31.358 --> 01:23:36.420]  So you have plaintiffs and defendants from different states and they're seeking in excess of $75,000.
[01:23:36.420 --> 01:23:41.463]  You have the right to remove your case to federal court.
[01:23:41.463 --> 01:23:44.024]  That's something that's been enshrined in the law forever.
[01:23:44.719 --> 01:23:56.293]  Now, when you put somebody who's a nominal defendant on another side of the case so that you have defendant and plaintiffs on in the same state, you lose that right.
[01:23:56.293 --> 01:24:02.801]  So the concern here, I think, is that they really don't want this to get into federal court.
[01:24:03.405 --> 01:24:06.167]  Yeah, and there's a number of reasons for that.
[01:24:06.167 --> 01:24:09.429]  Federal court is perceived to be more defendant-friendly.
[01:24:09.429 --> 01:24:12.871]  That's not to say that... Sure, I mean, let's just say it.
[01:24:12.871 --> 01:24:16.254]  They want it in local court.
[01:24:16.254 --> 01:24:16.734]  Sure, yeah.
[01:24:16.734 --> 01:24:23.879]  I mean, Connecticut judges are appointed for eight years, and then they can be reappointed.
[01:24:23.879 --> 01:24:28.622]  So if you have something that might be a politically challenging case,
[01:24:29.489 --> 01:24:33.553]  You probably would prefer it to be in state court.
[01:24:33.553 --> 01:24:44.385]  I'm not saying that the judge here isn't going to make a completely above board decision, but the reason that we put into the law this ability to remove to federal court
[01:24:45.237 --> 01:24:51.001]  Is because there was a perception that people might get hometowned by state court judges.
[01:24:51.001 --> 01:24:57.425]  Meanwhile, a federal judge, say what you want about lifetime tenure, there are problems with that.
[01:24:57.425 --> 01:25:03.669]  But one of the good things about lifetime tenure for a federal judge is they are completely insulated from politics.
[01:25:03.669 --> 01:25:06.451]  A federal judge can make whatever decision they want.
[01:25:06.451 --> 01:25:10.574]  Article 3 of the Constitution means a judge never has to say he's sorry.
[01:25:10.574 --> 01:25:12.195]  Sure, so in the time we have left without
[01:25:12.555 --> 01:25:15.696]  You're giving away too much here about the defense here.
[01:25:15.696 --> 01:25:28.280]  I mean, I think the goal here is public relations to drag me through the mud, to bring the shooting back up for political purposes, not by the family, but by the Democrats and by the establishment doing this.
[01:25:28.280 --> 01:25:30.120]  And a lot of them admit that in the news.
[01:25:30.120 --> 01:25:30.761]  But that's their goal.
[01:25:30.761 --> 01:25:37.042]  And then to keep saying that I'm still saying when I never said the way they said I did those things.
[01:25:37.042 --> 01:25:38.363]  They misrepresent it.
[01:25:38.363 --> 01:25:41.904]  They reboot it and then create the trauma they say I created.
[01:25:43.362 --> 01:25:58.304]  themselves by always bringing it back up and then never saying all the apologies or all the clarifications over the years, they just reboot the crime against humanity they say I committed.
[01:25:59.642 --> 01:26:11.475]  Well, you know, there is something called the Streisand effect, which means that there's no better way to bring a spotlight to statements that you don't want to hear than to sue over it.
[01:26:11.475 --> 01:26:16.841]  So yes, they've kicked the beach ball back up in the air here by suing.
[01:26:16.841 --> 01:26:19.885]  As far as what this is part and parcel of, I think
[01:26:20.888 --> 01:26:31.476]  You know, I think we've, when you look at this, you know, you do have allegations in the complaint of people who really have had their feelings hurt by one thing or another.
[01:26:31.476 --> 01:26:32.977]  You can't discount that.
[01:26:32.977 --> 01:26:36.080]  That doesn't mean that I think it's definitely actionable.
[01:26:36.664 --> 01:26:39.746]  You know, you have some problems in this complaint.
[01:26:39.746 --> 01:26:44.148]  Look, a lot of these statements are outside the statute of limitations.
[01:26:44.148 --> 01:26:48.511]  The statute of limitations in Connecticut for defamation is two years.
[01:26:48.511 --> 01:26:49.631]  Three years for other torts.
[01:26:49.631 --> 01:26:50.812]  But it's further than that.
[01:26:50.812 --> 01:26:52.373]  We've gone and pulled some of the statements up.
[01:26:52.933 --> 01:27:01.065]  Some of them are not even accurate in their little snippet, but then right after it, I'm playing devil's advocate and saying, but I don't believe that.
[01:27:01.065 --> 01:27:06.593]  So this is the next level saying you can't even question or talk about what other people are questioning.
[01:27:06.593 --> 01:27:08.375]  It's like this other lawsuit against me here in Texas.
[01:27:09.529 --> 01:27:11.711]  In a complaint like this, you know,
[01:27:37.597 --> 01:27:42.862]  I've seen, I don't know if it's next level, it's a very common thing, to be honest.
[01:27:42.862 --> 01:28:00.958]  Throughout my career, I've seen defamation cases like this where somebody has either motivation to shut somebody up, or simply looking for money, or actually feels genuinely wronged and is looking for the strongest legal theory possible.
[01:28:01.764 --> 01:28:07.050]  So in any event, it's always a plaintiff's attorney in a defamation case.
[01:28:07.050 --> 01:28:12.375]  It's always their desire to cherry pick out the worst of the worst.
[01:28:12.375 --> 01:28:19.603]  And then it's the defense attorney's job to say, hey, wait a minute, you've got to look at what came before and after these quotes and put it all in context.
[01:28:19.603 --> 01:28:20.764]  Here's a decision we have to make.
[01:28:20.764 --> 01:28:22.206]  Context always matters.
[01:28:22.466 --> 01:28:22.926]  Absolutely.
[01:28:22.926 --> 01:28:26.128]  We'll talk again in person on Tuesday here in studio.
[01:28:26.128 --> 01:28:27.890]  Mark Randazzo, thanks for spending time with us.
[01:28:27.890 --> 01:28:33.914]  In 20 seconds left, the big question is, do we launch anti-slapback provisions in Texas and Connecticut?
[01:28:33.914 --> 01:28:36.535]  And I think you and I talking, the answer is yes.
[01:28:36.535 --> 01:28:40.978]  I would never forego the opportunity to bring a well-placed anti-slap motion.
[01:28:40.978 --> 01:28:43.280]  And Connecticut has a good anti-slap law.
[01:28:43.280 --> 01:28:48.863]  So, you know, that is something that I think should be considered.
[01:28:48.863 --> 01:28:49.924]  I'm going to direct that on both.
[01:28:49.924 --> 01:28:50.504]  We'll talk soon.
[01:28:50.504 --> 01:28:50.745]  Thank you.
[01:28:51.545 --> 01:28:52.066]  Okay.
[01:28:52.066 --> 01:28:56.170]  We got a big guest coming in studio, that fellow that was 30, got evicted from his parents' house.
[01:28:57.816 --> 01:29:02.878]  Fellow Patriots, my name is Todd Savage, founder of BlackRifleRealEstate.com.
[01:29:02.878 --> 01:29:08.240]  Like you, I was a prisoner of the Alt-Left Sanctuary State until one day I chose to leave my family to freedom.
[01:29:08.240 --> 01:29:16.283]  Today we live on a sustainable 20-acre homestead where we shoot, hunt, garden, and homeschool our children without the tyranny of the nanny state looking over us.
[01:29:16.283 --> 01:29:21.725]  If you're ready to flee the city to the freedom of Idaho or Montana, our Black Rifle Real Estate team is here to help.
[01:29:21.725 --> 01:29:23.726]  Go to BlackRifleRealEstate.com.
[01:29:23.726 --> 01:29:25.827]  That's BlackRifleRealEstate.com.
[01:29:27.605 --> 01:29:28.406]  This is Dan Pilla.
[01:29:28.406 --> 01:29:30.227]  Do you have the IRS money you can't pay?
[01:29:30.227 --> 01:29:31.868]  Are tax debts crippling you?
[01:29:31.868 --> 01:29:34.691]  I've defended people from the IRS for over 30 years.
[01:29:34.691 --> 01:29:36.992]  I've helped thousands and I can help you too.
[01:29:36.992 --> 01:29:41.496]  I wrote the book on IRS settlement and I'm telling you there's no such thing as a hopeless case.
[01:29:41.496 --> 01:29:45.439]  Call 800-34-NO-TAX to finally get free of IRS debt.
[01:29:45.439 --> 01:29:49.222]  With the IRS's new programs, there's never been a better time to solve your problem.
[01:29:49.222 --> 01:29:49.542]  Call 800-34-NO-TAX.
