[00:00:07.177 --> 00:00:12.481]  He aligns himself with the truth and it's time for you to choose a side.
[01:05:16.849 --> 01:05:23.210]  It might seem like a simple thing, but particularly these slogan t-shirts that you guys got up right now are absolutely
[01:05:23.530 --> 01:05:24.430]  Absolutely amazing.
[01:05:24.430 --> 01:05:24.971]  Well, thank you.
[01:05:24.971 --> 01:05:29.873]  My favorite new one is the Don't Tread on Me, but instead it says Won't Tread on Me.
[01:05:29.873 --> 01:05:32.835]  And it's a big Dayglo snake, Gadsden snake.
[01:05:32.835 --> 01:05:36.096]  And then it's got the American flag, Infowars.com on the right arm.
[01:05:36.096 --> 01:05:42.359]  I mean, that's a great way just to meet like-minded people and spread the word and also exercise free speech.
[01:05:42.359 --> 01:05:44.601]  And the newest one is Trigger Warning T-shirt.
[01:05:45.501 --> 01:05:52.367]  Trigger warning t-shirt, which is the symbol of a trigger, with a yield sign and then InfoWars.com on the back.
[01:05:52.367 --> 01:05:59.713]  That is the new Shirt of the Mind, available exclusively at InfoWarsStore.com.
[01:05:59.713 --> 01:06:04.657]  From the front lines of the information war, it's Alex Jones.
[01:06:07.300 --> 01:06:25.126]  Obviously this is a really tough tragedy to deal with, but I just wanted to talk to you about your perspective from a sheriff's standpoint with gun control and ask you how much of your call for gun control is rooted in your actual want for gun control as a sheriff, and how much is driven by your own political ideology as a registered Democrat?
[01:06:25.686 --> 01:06:27.829]  I don't have anything to do with ideologies.
[01:06:27.829 --> 01:06:30.732]  I just do what's right for the community.
[01:06:30.732 --> 01:06:35.137]  I don't worry about doing things to get re-elected or elected.
[01:06:35.137 --> 01:06:40.503]  I just do what's right and safe for the people of Oklahoma, first place.
[01:06:41.163 --> 01:06:46.465]  That's the video from Laura Loomer confronting the sheriff.
[01:07:06.874 --> 01:07:08.895]  Near the Florida shooting, very tragic.
[01:07:08.895 --> 01:07:22.644]  Before the break, we were talking about the era of Big Trans, a new study that shows that $400 million has been used to indoctrinate the American population on the subject of transgenderism.
[01:07:22.644 --> 01:07:27.468]  Replacing medical ethics and science with political ideology.
[01:07:27.468 --> 01:07:30.610]  Parents now being punished if they are insufficiently woke.
[01:07:32.771 --> 01:07:33.653]  On the trans question.
[01:07:33.653 --> 01:07:35.817]  This is the new era of big trans.
[01:07:35.817 --> 01:07:40.726]  But joining us is Laura Loomer, our intrepid reporter from the ground in Florida.
[01:07:40.726 --> 01:07:41.827]  Hello Pumpkin, how are you?
[01:07:42.955 --> 01:07:43.596]  I'm doing well.
[01:07:43.596 --> 01:07:44.757]  How are you, Milo?
[01:07:44.757 --> 01:07:45.517]  I'm good.
[01:07:45.517 --> 01:08:02.732]  Now, the sound on our sheriff video was not perfect, so give us a quick recap on what the sheriff told you about gun control, and then I want to ask you about some of the other stories that are coming out of that area, and also, of course, about the ongoing controversy in the media about these kids.
[01:08:02.732 --> 01:08:05.715]  What was the sheriff's line on gun control when you asked him?
[01:08:06.476 --> 01:08:15.019]  Well, I went to a memorial site and I saw the sheriff walking around, so I found him and had to ambush him.
[01:08:15.019 --> 01:08:21.421]  So the sheriff basically told me, I don't have a political ideology, I just do what's best for the community.
[01:08:21.421 --> 01:08:23.261]  Which is absolute garbage, right?
[01:08:23.261 --> 01:08:27.803]  Because this guy ran on the Democratic ticket to become the sheriff of Broward County.
[01:08:27.803 --> 01:08:35.645]  And not only that, but he's spotted in multiple pictures rubbing elbows with Hillary Clinton, Debbie Wasserman Schultz, Bernie Sanders, Joe Biden.
[01:08:35.725 --> 01:08:37.266]  All of your favorites.
[01:08:37.266 --> 01:08:39.268]  All of your favorite people.
[01:08:39.268 --> 01:08:44.892]  And so then what happened is at the end of the interview he walked away from me because he was pretty annoyed with me.
[01:08:44.892 --> 01:08:55.099]  So I followed him and I wouldn't let him get away and I shoved my camera in his face again and I said, you say you don't have an etiology but you're seen in pictures with Hillary and Debbie.
[01:08:55.099 --> 01:08:55.800]  What's up with that?
[01:08:55.800 --> 01:08:59.563]  And he got really angry and gave me the whole, ma'am, ma'am, this interview is over.
[01:09:01.186 --> 01:09:02.787]  Just like Sheriff Lombardo in Vegas.
[01:09:02.787 --> 01:09:09.773]  So I really am getting a reputation for being the most hated journalist among America's sheriffs.
[01:09:09.773 --> 01:09:15.278]  You're not going to get any sexy law enforcement boyfriends anytime soon, Laura.
[01:09:15.278 --> 01:09:17.219]  Also, Milo, I want to add as well.
[01:09:17.219 --> 01:09:25.526]  I asked him, I said, so your rhetoric and the department's rhetoric and the community's rhetoric is very anti-Trump.
[01:09:25.526 --> 01:09:28.329]  When are you going to hold the FBI accountable for dropping the ball?
[01:09:28.329 --> 01:09:29.550]  Do you agree that they're responsible?
[01:09:29.870 --> 01:09:30.010]  I don't
[01:09:47.657 --> 01:10:00.236]  Release the statement saying that they were responsible for this that they dropped the ball So the fact that the sheriff just wants to continue with this with this false narrative that the shooter was responsible And only responsible for this.
[01:10:00.236 --> 01:10:01.498]  I mean he's he's out of control
[01:10:02.850 --> 01:10:10.574]  People are starting to feel the consequences of stepping out of line and the official version of events here.
[01:10:10.574 --> 01:10:19.459]  Now I want to be careful about what we say, the words we use and the allegations that we're making and stick strictly to what we know for sure and we can prove.
[01:10:19.459 --> 01:10:28.804]  But many people have noticed that something's a little off about some of the testimony from the students who emerged after the shooting.
[01:10:30.085 --> 01:10:33.048]  And for discussing that, at least one person has lost their job.
[01:10:33.048 --> 01:10:37.032]  Florida lawmaker Aide has been fired.
[01:10:37.032 --> 01:10:39.795]  He's an aide to Sean Harrison, a Republican down in Tampa.
[01:10:39.795 --> 01:10:50.126]  He was fired for emailing the Tampa Bay Times the following, both kids in the picture are not students here, but actors that travel to various... you know the message.
[01:10:52.598 --> 01:10:56.101]  You know, we don't know anything for sure.
[01:10:56.101 --> 01:11:01.404]  What people are doing is asking questions because they've noticed something slightly odd.
[01:11:01.404 --> 01:11:16.955]  I happened to find the Twitter stream of the leading girl in this movement, the one who's supposedly organizing the march, of course she's doing no such thing, to be very peculiar and it reminds me of Malala Yousafzai, the young hijabed
[01:11:17.595 --> 01:11:36.486]  Muslim girl, of course with the UN dad, they've always got a parent in law enforcement or a parent in some globalist institution, who had lines fed to her by her father and read scripted responses out to try to persuade the international community that of course that Islam has nothing to do with terrorism and blah blah blah.
[01:11:39.124 --> 01:12:01.614]  Talk to us about, not necessarily about the allegation that these kids are being stitched up and we're going to find out the truth on that, but what does it say about America that we've gone from a country that used to pretty rigorously defend free speech to one in which sites of shootings are demolished
[01:12:02.987 --> 01:12:06.448]  to cover up any ability of the public to judge for themselves what happened.
[01:12:06.448 --> 01:12:14.352]  Intelligence agencies are silent or, you know, not complicit, at least negligent and unapologetic.
[01:12:14.352 --> 01:12:19.674]  And people who question the official version of events are forced out from their jobs.
[01:12:19.674 --> 01:12:20.134]  What's going on?
[01:12:23.291 --> 01:12:43.594]  Well, you know, I think that the idea of calling something a false flag or calling something, you know, not 100% real or really challenging the official narrative is becoming more mainstream, really in thanks to people like Alex Jones and yourself who are making it more culturally acceptable to question authority figures.
[01:12:44.054 --> 01:12:51.024]  And, you know, we always saw with these tragedies in the past that it was very taboo to even open your mouth about it and you would get, you know, shunned immediately.
[01:12:51.024 --> 01:13:01.378]  But now, you know, at least I would say almost half the country or really majority of the country is really starting to see that when these events take place, we're not getting the truth.
[01:13:01.778 --> 01:13:12.332]  And there is an aspect of a cover-up or there is an aspect of, you know, falsehood that is really leading the discussion about the quote-unquote official narrative.
[01:13:12.332 --> 01:13:18.861]  We saw that with the Las Vegas shooting and now we're seeing this as well with this student David Hogg who people are calling
[01:13:20.340 --> 01:13:28.403]  Uh, you know, an actor, whether or not you believe he's an actor or not, but the thing that I find most concerning about this student is the fact that his father is an FBI agent.
[01:13:28.403 --> 01:13:40.087]  Because it really makes you wonder if CNN, in combination with our intelligence agencies, is using this child as a prop to push forward anti-Trump rhetoric from the Bureau and the mainstream media.
[01:13:40.587 --> 01:13:43.613]  And, you know, I'm not really concerned as to whether he's a student there.
[01:13:43.613 --> 01:13:51.949]  I'm really concerned about how the FBI and CNN are using them in their efforts to undermine President Trump and other Republicans.
[01:13:52.540 --> 01:13:57.202]  And it's remarkable the extent to which this debate is becoming fact-free.
[01:13:57.202 --> 01:14:05.505]  There are numerous examples now springing up from all over the world about how to deal with this kind of thing effectively.
[01:14:05.505 --> 01:14:17.129]  Israel, for instance, after a school shooting, after a tragedy there, instituted armed teachers and there have been no shootings since.
[01:14:17.129 --> 01:14:19.990]  And this is in, you know, I mean all of Israel is a perpetual war zone.
[01:14:20.530 --> 01:14:26.616]  You know, I mean, it's Tel Aviv, which is relatively peaceful most of the time, of course, but, you know, there are examples now.
[01:14:26.616 --> 01:14:32.702]  There's clear evidence for what Second Amendment advocates have been saying for some time, which is just arm the teachers.
[01:14:32.702 --> 01:14:33.603]  That's what they did in Israel.
[01:14:33.603 --> 01:14:34.584]  It works.
[01:14:34.584 --> 01:14:38.368]  But law enforcement is so, it seems to me, so co-opted by
[01:14:40.590 --> 01:14:44.993]  The leftist, you know, globalist, democrat vision of the world.
[01:14:44.993 --> 01:14:51.859]  So united in hostility and opposition to the president, to guns, to everything.
[01:14:51.859 --> 01:14:55.922]  It's remarkable to hear a sheriff.
[01:14:55.922 --> 01:14:57.723]  I guess they're elected officials with a badge, right?
[01:14:57.723 --> 01:15:01.005]  They're not really like regular police officers.
[01:15:01.005 --> 01:15:03.347]  They're more like politicians, really.
[01:15:03.347 --> 01:15:05.368]  But it's remarkable to see somebody in a police badge.
[01:15:07.705 --> 01:15:12.488]  Spreading opinions and sharing views that are so obviously counterfactual.
[01:15:12.488 --> 01:15:21.814]  We've entered the realm now of emotion versus emotion, and whoever can tell the best story and tug on the greatest heartstrings is going to win factual debate.
[01:15:21.814 --> 01:15:23.935]  Seems to me a very worrying state of affairs, right?
[01:15:25.464 --> 01:15:26.365]  Yeah, no, and I agree.
[01:15:26.365 --> 01:15:41.233]  And if you're going to have the nerve to use your position as an authority figure, whether you be a sheriff or a politician, to use children and exploited tragedy to push liberal propaganda, you should have the nerve and the balls to talk to a reporter who asks you questions when a camera's shoved in your face.
[01:15:41.233 --> 01:15:42.094]  Quite right, too.
[01:15:42.094 --> 01:15:43.855]  We have to go to break.
[01:15:43.855 --> 01:15:48.558]  If you'd like to hang on just for a second afterwards, I lost you about a couple of other things, but that's all right, Laura.
[01:15:48.558 --> 01:15:49.038]  We'll be right back.
[01:15:57.575 --> 01:16:01.297]  One out of four people listening to my voice right now could die from heart disease.
[01:16:01.297 --> 01:16:06.040]  This could be your last year, and you don't even know it because you don't know the early warning signs.
[01:16:06.040 --> 01:16:13.965]  If you think you're safe because your cholesterol levels are normal, think again, because studies show that 75% of heart attack patients also had normal cholesterol levels.
[01:16:13.965 --> 01:16:19.448]  Let me introduce you to Strauss Heart Drops, a world-famous heart and brain formula made in Canada.
[01:16:19.448 --> 01:16:23.130]  It's time-tested and will give you clinical results in 90 days or your money back.
[01:16:23.130 --> 01:16:25.191]  Learn more at scienceofheartdisease.com.
[01:16:25.191 --> 01:16:26.392]  They are shipping free this month.
[01:16:27.344 --> 01:16:34.106]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[01:16:34.106 --> 01:16:38.387]  Since 2005, thousands have depended on Berkey Purified Water.
[01:16:38.387 --> 01:16:43.009]  The Berkey guy provides the lowest price filtration systems in every size.
[01:16:43.009 --> 01:16:48.550]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
[01:16:48.550 --> 01:16:48.710]  877-886-3653.
[01:16:48.710 --> 01:16:49.031]  GoBerkey.com
[01:16:57.654 --> 01:16:58.874]  Hear that?
[01:16:58.874 --> 01:17:04.256]  That's the sound of a house being trashed while a gang of thieves ransack the place.
[01:17:04.256 --> 01:17:07.157]  And what they don't steal will be destroyed.
[01:17:07.157 --> 01:17:10.738]  This year, resolve not to be the next victim of a break-in.
[01:17:10.738 --> 01:17:18.300]  Go to Faketv.com and discover a device that creates the illusion someone inside is watching TV, even when you're miles away.
[01:17:18.300 --> 01:17:22.902]  Security is a mindset, and Faketv should be part of your security solution.
[01:17:22.902 --> 01:17:25.343]  Be vigilant, but not fearful.
[01:17:25.343 --> 01:17:25.763]  Faketv.com
[01:17:27.301 --> 01:17:32.424]  The answer to being in control of your own health care is freedom from insurance.
[01:17:32.424 --> 01:17:38.127]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[01:17:38.127 --> 01:17:43.330]  Individual share amounts begin at $107 a month and $347 for families.
[01:17:43.330 --> 01:17:45.271]  Choose from three health sharing programs.
[01:17:45.271 --> 01:17:47.653]  Holistic treatments may be eligible for sharing.
[01:17:47.653 --> 01:17:48.613]  See guidelines.
[01:17:48.613 --> 01:17:51.895]  Discount programs available for dental, vision, and pharmacy.
[01:17:51.895 --> 01:17:53.836]  Go to LibertyOnCall.org.
[01:17:53.836 --> 01:17:55.397]  That's LibertyOnCall.org.
[01:17:58.689 --> 01:18:06.153]  I am very proud to announce the introduction of the highest quality InfoWars Biome Defense Probiotic.
[01:18:06.153 --> 01:18:19.360]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[01:18:20.300 --> 01:18:32.208]  Biome Defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[01:18:32.208 --> 01:18:38.172]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[01:18:38.912 --> 01:18:47.943]  Secure your biome defense in ultra strength or regular strength at InfoWarsLife.com today and get started supporting your digestive system naturally.
[01:18:47.943 --> 01:18:56.154]  We've been testing this formula for years, but this is the limited first run to the public, so please take advantage of it today, support your own health, and support the InfoWar.
[01:18:58.740 --> 01:18:59.521]  I'm so excited.
[01:18:59.521 --> 01:19:09.668]  The new product at m4warslife.com, in a glass bottle, two-month servings, filled to the brim, filled to the absolute top, the real red pill.
[01:19:09.668 --> 01:19:15.193]  This is a heart and brain pill, a nootropic that doesn't have any stimulants in it.
[01:19:15.193 --> 01:19:18.195]  But boy, does it stimulate, because it's beyond that.
[01:19:18.195 --> 01:19:26.982]  Quite frankly, I just went off what I saw medical doctors prescribing to their patients, but it wasn't prescription, but they were charging people $100, $200.
[01:19:29.059 --> 01:19:48.655]  For the formulae, and I came up with our own formula, working with some scientists and developers, non-GMO, made right here in America, 120 capsules, and ladies and gentlemen, you add the preglanone to it, which is the precursor to all the hormones that your body has to have to even make the hormones in your glands.
[01:19:48.655 --> 01:19:51.337]  It is amazing!
[01:19:51.337 --> 01:19:56.301]  Red Pill, now available at InfoWarsStore.com, and your purchase fucks the operation.
[01:20:01.013 --> 01:20:09.555]  You're listening to the Alex Jones Show.
[01:20:09.555 --> 01:20:18.277]  Yet our best trained, best educated, best equipped, best prepared troops refuse to fight.
[01:20:18.277 --> 01:20:25.098]  Matter of fact, it's safe to say that they would rather switch than fight.
[01:20:25.891 --> 01:20:27.992]  The Alex Jones Show.
[01:20:27.992 --> 01:20:34.315]  Because there is a war on for your mind.
[01:20:34.315 --> 01:20:36.456]  Never were truer words spoken.
[01:20:36.456 --> 01:20:41.618]  There is a war on for everyone's mind in the Florida shooting.
[01:20:41.618 --> 01:20:45.059]  I'm here with Laura Loomer who is in Florida for InfoWars.
[01:20:45.059 --> 01:20:47.680]  Now CNN reporters who are down there
[01:20:49.561 --> 01:21:00.304]  Taking the opportunity not just to spread propaganda about gun control, but to harass pensioners for the crime of supporting Trump on Facebook.
[01:21:00.304 --> 01:21:07.946]  CNN showed up in Broward County, presumably they were down there already for the Florida thing, and showed up at an old lady's home.
[01:21:09.212 --> 01:21:12.353]  Because she runs a Facebook group about Trump.
[01:21:12.353 --> 01:21:16.535]  They showed up at the old lady's home.
[01:21:16.535 --> 01:21:26.459]  Gruen Goldfarb runs the Team Trump Broward County Facebook page, which CNN claims posted numerous times about events that were promoted and encouraged by the Russians.
[01:21:26.459 --> 01:21:28.540]  Oh, you mean like Michael Moore's anti-Trump?
[01:21:29.240 --> 01:21:31.282]  Extravaganza outside Trump Tower.
[01:21:31.282 --> 01:21:31.962]  Give me a break.
[01:21:31.962 --> 01:21:35.144]  I'm going to get Laura Loomer's take on this after we play the clip.
[01:21:35.144 --> 01:21:46.051]  This clip is CNN showing up at an old lady's home to harass her about so-called Russian collusion because she runs a Facebook page about Trump on the Internet.
[01:21:46.051 --> 01:21:46.512]  Here's the clip.
[01:21:47.632 --> 01:21:50.774]  What part of it in this is a cover-up?
[01:21:50.774 --> 01:21:54.295]  You're saying that's not true or what?
[01:21:54.295 --> 01:21:55.136]  The Russians?
[01:21:55.136 --> 01:21:58.717]  I don't care if they were involved or not.
[01:21:58.717 --> 01:22:01.158]  That to me is the least important thing.
[01:22:01.158 --> 01:22:03.239]  But they were involved with you.
[01:22:03.239 --> 01:22:04.180]  Did you guys know that?
[01:22:05.427 --> 01:22:06.989]  They weren't involved with us.
[01:22:06.989 --> 01:22:13.495]  You know, just make sure that you report it correctly, that, you know... But you guys were involved with Being Patriotic, right?
[01:22:13.495 --> 01:22:22.004]  Very, very patriotic, but not... Being Patriotic was the group that contacted and helped organize some of these activities that you posted on your own Facebook account.
[01:22:23.172 --> 01:22:24.693]  Those were legitimate.
[01:22:24.693 --> 01:22:26.134]  Those were Russians.
[01:22:26.134 --> 01:22:27.215]  They were not Russians.
[01:22:27.215 --> 01:22:28.536]  I don't go with the Russians.
[01:22:39.303 --> 01:22:40.884]  Who are you?
[01:22:40.884 --> 01:22:42.765]  This lovely old lady.
[01:22:42.765 --> 01:22:52.792]  Meanwhile, while they're telling us, you know, not to believe in conspiracy theories and how dare we and calm it down and stop it, they're harassing an old lady about Russian collusion.
[01:22:52.792 --> 01:22:53.572]  Poor old dear.
[01:22:53.572 --> 01:22:54.753]  You should go and talk to her.
[01:22:54.753 --> 01:22:56.855]  What do you think?
[01:22:56.855 --> 01:23:01.098]  Well, you know, I just want to let her know there is the stand your ground policy in Florida.
[01:23:04.207 --> 01:23:16.791]  I would say, I would say, you know what, I think that, I would say, so stand your ground, you know the Castle Doctrine, all you have to establish is that you are genuinely in fear of your life or property.
[01:23:16.791 --> 01:23:25.253]  Well, I would say the presence of CNN reporters represents a clear and present danger to my family's security.
[01:23:25.253 --> 01:23:28.094]  There we go, that's why she gets the big bucks, great answer.
[01:23:28.094 --> 01:23:29.995]  Thanks for spending some time with us Laura today.
[01:23:31.495 --> 01:23:36.138]  CNN reporters on your property, representing a clear and present danger.
[01:23:36.138 --> 01:23:43.443]  Just, you know, as a health note to our Floridian viewers, don't pull your gun on reporters.
[01:23:43.443 --> 01:23:44.463]  Whatever you do.
[01:23:44.463 --> 01:23:47.885]  Now, moving on, Professor Snowflake.
[01:23:47.885 --> 01:23:54.830]  It isn't just students in America who are getting their feelings hurt and getting very, very, very upset about it.
[01:23:56.687 --> 01:24:06.572]  A professor in one of America's higher education establishments claims to have had their entire holiday ruined over an op-ed about free speech.
[01:24:06.572 --> 01:24:10.895]  Now you'll remember we talked yesterday about a story that was published on philly.com.
[01:24:10.895 --> 01:24:25.043]  It's a very erudite piece, it's interesting, it's a thought-provoking, by no means rabble-rousing piece about the erosion of bourgeois values in America and the resulting consequence for culture.
[01:24:25.663 --> 01:24:26.823]  You'll remember that.
[01:24:26.823 --> 01:24:32.704]  Well, the author of that, as a professor, is obviously quite right.
[01:24:32.704 --> 01:24:49.148]  And the way you know she's right is that the breakdown in masculinity, in male virtues, the attack on men, this idea of toxic masculinity that's run away, and men becoming increasingly less able to perform the functions that we traditionally associate with manhood.
[01:24:50.987 --> 01:24:52.108]  We know it's true.
[01:24:52.108 --> 01:24:52.328]  Why?
[01:24:52.328 --> 01:25:08.458]  A report out just this week that says that the armed forces, the army, cannot get enough recruits who are actually eligible to join the military because people are doing too many drugs, people are, you know, all kinds of bad lifestyle choices brought about by the crisis in masculinity.
[01:25:08.458 --> 01:25:11.280]  Well, anyway, she's writing about all this stuff.
[01:25:11.280 --> 01:25:18.465]  Fat, unhealthy Americans threatening Trump's defense surge thanks to a breakdown in the country's bourgeois culture, that sense of discipline.
[01:25:18.465 --> 01:25:19.486]  Anyway, her op-ed
[01:25:20.643 --> 01:25:27.464]  Which was anti-political correctness, has caused an uproar at the University of Pennsylvania.
[01:25:27.464 --> 01:25:33.586]  She says, her name is Amy Wax, some cultures are better than others, and I don't shrink from the word superior.
[01:25:33.586 --> 01:25:37.106]  And here's what she told the Wall Street Journal after it happened.
[01:25:37.106 --> 01:25:45.928]  Shortly after my op-ed appeared, and remember this is a perfectly reasonable, you know, mild-mannered op-ed, I ran into a colleague I hadn't seen for a while, and asked how his summer was going.
[01:25:47.629 --> 01:25:53.035]  He said he'd had a terrible summer and I'm saying he looked so serious I thought someone had died.
[01:25:53.035 --> 01:26:01.683]  He then explained that the reason his summer had been ruined was my op-ed and he accused me of attacking and causing damage to the university students and the faculty.
[01:26:01.683 --> 01:26:04.566]  One of my left-leaning friends at Yale Law School found this story funny.
[01:26:05.347 --> 01:26:08.969]  Who would have guessed an op-ed could ruin someone's summer?
[01:26:08.969 --> 01:26:11.410]  But beyond the absurdity, note the choice of words.
[01:26:11.410 --> 01:26:18.614]  Attack and damage are words that you typically use with your enemies, not colleagues or fellow citizens.
[01:26:18.614 --> 01:26:27.198]  At the very least, they're not words that encourage the expression of unpopular ideas, which is, of course, surely the purpose of higher education in the first place.
[01:26:27.198 --> 01:26:33.141]  Professor Wax, who wrote a very mild-mannered op-ed, which was anti-political correctness,
[01:26:34.295 --> 01:26:52.283]  Has now been asked by her dean, as a result of her colleagues feeling so attacked, personally victimized by someone expressing an opinion about the trajectory of American culture, has been asked by her dean to take a leave of absence and to cease teaching a mandatory first-year course.
[01:26:52.283 --> 01:26:57.966]  They're taking her away from students for the crime of expressing an opinion.
[01:26:58.746 --> 01:27:06.488]  He said the Dean said he was getting pressure to banish her for her unpopular points of view and hoped that her departure would quell the controversy.
[01:27:06.488 --> 01:27:20.132]  When Amy, Professor Amy, suggested it was his job as leader to resist such illiberal demands, he explained that he's a pluralistic Dean who must listen and listen to and accommodate all sides.
[01:27:20.132 --> 01:27:24.393]  Well, presumably that means all sides on the left.
[01:27:24.393 --> 01:27:25.714]  Free speech is under, in
[01:27:26.863 --> 01:27:29.945]  Under unprecedented threats in crisis like never before.
[01:27:29.945 --> 01:27:31.987]  A free speech related story from Spain.
[01:27:31.987 --> 01:27:37.131]  Spanish rapper has been jailed for a song in which
[01:27:38.376 --> 01:27:41.737]  And some listeners are going to have disagreements with me on this one.
[01:27:41.737 --> 01:27:55.840]  This is a song in which he glorifies terrorism and he says that the Palma de Mallorca, which is a palace where Spanish royals live and spend their summer holidays, deserved an atom bomb and people wanted the deaths of these pigs.
[01:27:55.840 --> 01:28:02.082]  The language of the rap, according to the judge, is extreme, provocative, allegorical and symbolic.
[01:28:02.082 --> 01:28:02.662]  Well, you know what?
[01:28:02.662 --> 01:28:04.142]  It is horrible.
[01:28:04.142 --> 01:28:06.623]  It is horrible to glorify terrorists.
[01:28:06.623 --> 01:28:07.343]  It's stupid.
[01:28:08.163 --> 01:28:11.929]  To attack people for no reason, but it is also his right as an artist.
[01:28:11.929 --> 01:28:23.406]  And I know some people listening to this are going to react with revulsion and displeasure and horror at this, you know, undoubtedly ignorant losers silly lyrics.
[01:28:25.128 --> 01:28:43.532]  But if you really want to go down the road of Europe, America, and start jailing people, not just for expressing opinions, but for creating art that reflects their political priorities, if you really want to go down that road where artists become jailed for wrong-think, you're going the right way about it.
[01:28:43.532 --> 01:28:45.353]  This is the path we're headed on.
[01:28:45.353 --> 01:28:51.054]  The erosion of the First Amendment just as bad as the attacks, thanks to Florida, on the second.
[01:28:51.054 --> 01:28:51.594]  We'll be right back.
[01:28:57.481 --> 01:28:59.382]  Fully cooked, ready-to-eat bacon.
[01:28:59.382 --> 01:29:02.604]  I'm talking thick, meaty, center-cut, presidential bacon.
[01:29:02.604 --> 01:29:04.206]  Savory and delicious.
[01:29:04.206 --> 01:29:07.027]  I buy some, I use some, I store some.
[01:29:07.027 --> 01:29:07.708]  Awesome.
[01:29:07.708 --> 01:29:10.790]  No refrigeration needed with a 10-year shelf life.
[01:29:10.790 --> 01:29:12.351]  NASA PAC Technology.
[01:29:12.351 --> 01:29:12.971]  Bacon.
[01:29:12.971 --> 01:29:17.134]  Fully cooked, fully hydrated, ready-to-eat right from the pack bacon.
[01:29:17.134 --> 01:29:18.575]  Or warm and served.
[01:29:18.575 --> 01:29:20.616]  Life-saving, ready-to-eat bacon.
[01:29:20.616 --> 01:29:22.558]  10-year shelf life bacon.
[01:29:22.558 --> 01:29:25.340]  Ships free at FullyCookedBacon.com.
[01:29:25.340 --> 01:29:26.641]  FullyCookedBacon.com.
[01:29:27.841 --> 01:29:28.682]  This is Dan Pilla.
[01:29:28.682 --> 01:29:30.463]  Do you have the IRS money you can't pay?
[01:29:30.463 --> 01:29:32.104]  Are tax debts crippling you?
[01:29:32.104 --> 01:29:34.946]  I've defended people from the IRS for over 30 years.
[01:29:34.946 --> 01:29:37.227]  I've helped thousands and I can help you too.
[01:29:37.227 --> 01:29:41.730]  I wrote the book on IRS settlement and I'm telling you there's no such thing as a hopeless case.
[01:29:41.730 --> 01:29:45.693]  Call 800-34-NO-TAX to finally get free of IRS debt.
[01:29:45.693 --> 01:29:49.456]  With the IRS's new programs, there's never been a better time to solve your problem.
[01:29:49.456 --> 01:29:49.776]  Call 800-34-NO-TAX.
[01:29:49.776 --> 01:29:51.517]  That's 800-34-NO-TAX or my website danpilla.com.
[01:29:58.872 --> 01:30:04.034]  Introducing Floralife, the new probiotic line developed exclusively by InfoWars Life.
[01:30:04.034 --> 01:30:08.797]  After years of research on the human microbiome, not all probiotics are made the same.
[01:30:08.797 --> 01:30:17.480]  Floralife probiotics use a unique targeted delivery system that bypasses the stomach and releases directly into the intestines for maximum effect.
[01:30:17.480 --> 01:30:20.722]  This is critical because stomach acid kills most probiotics
[01:30:20.982 --> 01:30:26.225]  So if you don't have a targeted delivery probiotic, then you're cheating your gut health and your wallet.
[01:30:26.225 --> 01:30:33.529]  Floralife supports your body's core, where you need it most, including digestion, regularity, immunity, the gut lining, and metabolism.
[01:30:33.529 --> 01:30:37.452]  Did you know that over 80% of your immune system is located in your gut?
[01:30:37.452 --> 01:30:42.175]  That's why increasing gut probiotic levels is so important for overall health.
[01:30:42.175 --> 01:30:46.197]  Floralife is sold as a 15 billion probiotic for everyday maintenance care and a
[01:30:46.417 --> 01:30:50.266]  Buy 50 billion probiotic for a 30-day advanced gut restoration program.
[01:30:50.266 --> 01:30:54.454]  Head to Infowarslife.com to pick up your bottle of Floralife probiotics today.
[01:30:54.454 --> 01:30:55.757]  That's Infowarslife.com.
[01:30:58.444 --> 01:31:02.267]  You know, I've got some talking points here about Caveman from Infowarsandlife.com.
[01:31:02.267 --> 01:31:07.010]  But instead of going on those talking points, let me just give you what I've experienced personally.
[01:31:07.010 --> 01:31:11.573]  From all the wives' tales in every culture, we know that the bones have the essence.
[01:31:11.573 --> 01:31:14.695]  We know chicken noodle soup is great for people that are sick.
[01:31:14.695 --> 01:31:17.817]  Again, in every culture, this has been reported because it works.
[01:31:19.338 --> 01:31:32.171]  And there's no way to quantify how strong this is but the amount of bone protein and the amount of marrow and the amount of concentrated life force that is in this is incredible.
[01:31:32.171 --> 01:31:39.017]  Ladies and gentlemen, whether it's for your joints, whether it's for your arteries and your veins, whether it's for your brain, whether it's for energy,
[01:31:39.918 --> 01:31:48.223]  This, ladies and gentlemen, is the strongest, most concentrated bone broth formula out there, and it's amazing.
[01:31:48.223 --> 01:31:52.485]  Find out for yourself today at InfoWareStore.com what it can do for your family.
[01:31:52.485 --> 01:31:54.226]  And again, I want to thank you all for your support.
