[00:00:12.310 --> 00:00:18.576]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:26:00.173 --> 00:26:00.573]  Nuh-uh.
[00:26:02.557 --> 00:26:04.698]  So it's the opposite.
[00:26:04.698 --> 00:26:08.839]  It's like the Jim Acosta video where he grabs the mic from the intern and pushes her arm down.
[00:26:08.839 --> 00:26:10.359]  They go, he didn't touch her.
[00:26:10.359 --> 00:26:12.440]  Fake video, Alex Jones.
[00:26:12.440 --> 00:26:13.380]  Everyone saw it.
[00:26:13.380 --> 00:26:15.381]  We didn't do anything but zoom in.
[00:26:15.381 --> 00:26:18.182]  But this is the games, the mind control they play.
[00:26:18.182 --> 00:26:24.504]  And they go on to say, Fox News can now tell you Trump is the target.
[00:26:25.404 --> 00:26:29.148]  Hell, we told you before the investigation started they were gonna do this and he was the target.
[00:26:29.148 --> 00:26:30.949]  We told you he was being illegally spied on!
[00:26:30.949 --> 00:26:36.255]  And CNN goes, InfoWars is the source of Trump being illegally spied on.
[00:26:36.255 --> 00:26:37.896]  Uh, yeah.
[00:26:37.896 --> 00:26:46.785]  Because we got the DEA documents with my personal phone numbers that nobody's got, and Trump's and everything else, and then more of it came out and they bragged they were spying on him!
[00:26:49.301 --> 00:26:50.102]  Illegally.
[00:26:50.102 --> 00:26:50.962]  And found nothing.
[00:26:50.962 --> 00:26:52.443]  That's all the real crimes.
[00:26:52.443 --> 00:26:55.885]  Nixon got kicked out of office for spying on one psychiatrist.
[00:26:55.885 --> 00:26:56.826]  They've all been doing it.
[00:26:56.826 --> 00:26:58.067]  Where's that?
[00:26:58.067 --> 00:27:08.073]  If Trump doesn't move against them now, because he can't find any good men that'll take action in the Justice Department, it just shows what a bucket of cowards America has become.
[00:27:08.073 --> 00:27:15.739]  And even though we had a good president in there, he couldn't find a dog that would hunt.
[00:27:15.739 --> 00:27:16.399]  In the whole world!
[00:27:19.957 --> 00:27:22.278]  So we're going to go to break and then I'm going to come back and play all three of the clips.
[00:27:22.278 --> 00:27:24.120]  I'm going to play Schiff.
[00:27:24.120 --> 00:27:27.502]  I'm going to play the Democrats saying they're going to start impeachment.
[00:27:27.502 --> 00:27:35.787]  And then I'm going to play Andrew C. McCarthy getting into the fact that they're going to indict the president.
[00:27:35.787 --> 00:27:37.088]  So there you go.
[00:27:37.088 --> 00:27:38.268]  And is it for Russia?
[00:27:38.268 --> 00:27:39.950]  No.
[00:27:39.950 --> 00:27:47.674]  It's for Cohen sending money to a woman the president had sex with 12, 13 years ago.
[00:27:52.056 --> 00:27:53.318]  And that's it.
[00:27:53.318 --> 00:27:54.821]  There's your Russia, ladies and gentlemen.
[00:27:54.821 --> 00:27:56.564]  He's not in a Russian hotel getting pissed on.
[00:27:56.564 --> 00:27:59.208]  None of that's true.
[00:27:59.208 --> 00:27:59.909]  All of it's lies.
[00:27:59.909 --> 00:28:03.355]  Oh, by the way, Comey admitted in testimony to Congress this week.
[00:28:03.355 --> 00:28:05.338]  It was closed door, but they released a transcript.
[00:28:06.257 --> 00:28:13.604]  He says he's such a liar, they demanded there be a transcript released, the Republicans did, and he admits, oh no, we know the Steele dossier's fake.
[00:28:13.604 --> 00:28:23.515]  And of course, remember, Comey lied to Congress and said that he never knew anything about the dossier, or Steele, or spying on the President, and he never knew anybody that leaked.
[00:28:23.515 --> 00:28:25.917]  Well, he was asked, have you talked to the media about any of this?
[00:28:25.917 --> 00:28:28.199]  Oh no, I've never talked to the media.
[00:28:28.199 --> 00:28:29.381]  I've never, I know nothing.
[00:28:30.561 --> 00:28:33.323]  I know nothing, nothing, no!
[00:28:33.323 --> 00:28:36.605]  Remember Hogan's Heroes, if you're old enough to remember that?
[00:28:36.605 --> 00:28:41.088]  I know nothing, nothing, no!
[00:28:41.088 --> 00:28:49.313]  All these criminals caught with their ass hanging out and now they want to get rid of this great president because he used his own money.
[00:28:49.313 --> 00:28:54.817]  They claim, well, through the campaigns they would know it was his to give a woman a hundred and something thousand dollars.
[00:28:54.817 --> 00:28:56.318]  Yeah, where's the Russiagate?
[00:28:56.318 --> 00:28:58.119]  Only in Hillary and Obama's plate.
[00:29:00.106 --> 00:29:04.809]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[00:29:04.809 --> 00:29:15.236]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[00:29:16.136 --> 00:29:20.939]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[00:29:20.939 --> 00:29:29.343]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[00:29:29.343 --> 00:29:37.068]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[00:29:37.068 --> 00:29:39.009]  Wake up refreshed and take on the day.
[00:29:39.489 --> 00:29:47.434]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[00:29:47.434 --> 00:29:51.096]  Get the sleep you deserve and experience the power of knockout.
[00:29:51.096 --> 00:29:55.478]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[00:29:55.478 --> 00:29:56.919]  That's InfoWarsLife.com
[00:30:00.160 --> 00:30:04.302]  We all know that the outside toxins in the water is a serious health issue.
[00:30:04.302 --> 00:30:11.346]  InfoWars is proud to sell incredible filters, but it's almost impossible to keep up with every faucet, shower, and sink in your home.
[00:30:11.346 --> 00:30:16.169]  That's why we're bringing you something to provide clean water for your whole house with one system.
[00:30:16.169 --> 00:30:23.053]  The Pro-Pure Whole House Water Filtration System is an advanced, four-stage, compact filtration system
[00:30:23.493 --> 00:30:29.499]  that will provide water filtration for your entire home, removing 220 plus contaminants from your water.
[00:30:29.499 --> 00:30:39.087]  It's compact in size, easy to install and maintain, and keeps fluoride and other dangerous toxins out of your water supply and away from you and your family.
[00:30:39.087 --> 00:30:46.194]  With its broad spectrum contaminant reduction, you'll only need this one filter for clean and refreshing water all over your home.
[00:30:46.554 --> 00:30:59.316]  Head to infowarsstore.com and whether it's your first water filtration purchase or you're looking to replace your current rundown systems, it's time to go big and go home with the Pro-Pure Whole House Filtration System today!
[00:31:05.242 --> 00:31:07.604]  The Real Red Pill Plus, ladies and gentlemen.
[00:31:07.604 --> 00:31:11.027]  Our team is constantly on the lookout for newer and better ways to improve our products.
[00:31:11.027 --> 00:31:17.413]  That's why we're bringing you a brand new version of one of the newest fan-favorite products, The Real Red Pill Plus.
[00:31:17.413 --> 00:31:22.918]  The Real Red Pill Plus is an all-new version of the powerhouse preglanone product.
[00:31:22.918 --> 00:31:30.605]  It features the same great formula that supports your heart, brain, healthy aging process, with an all-new natural caffeine boost included.
[00:31:31.045 --> 00:31:37.488]  A powerful, pregnant-owned base, the Real Red Pill, has quickly become one of our fellow InfoWarriors' favorite products.
[00:31:37.488 --> 00:31:47.892]  Now, with an extra proprietary energy blend inside, including Green Tea Extract, Aromante Leaf Extract, and more, you can get that extra pick-me-up, all supporting your mind and body in a healthy way.
[00:31:47.892 --> 00:31:50.633]  It's got all the great stuff that Real Red Pill has.
[00:31:50.633 --> 00:31:52.573]  It's also got the boost it is.
[00:31:52.573 --> 00:31:55.855]  Get the Real Red Pill Plus at InfoWarStore.com.
[00:31:59.833 --> 00:32:03.437]  InfoWars Life is bringing you a breakthrough in modern medicine.
[00:32:03.437 --> 00:32:05.198]  Introducing Pollen Block.
[00:32:05.198 --> 00:32:16.489]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[00:32:17.250 --> 00:32:26.434]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[00:32:26.434 --> 00:32:36.978]  They began studying this effect in published trials, and decades later, we now have the fruit of this research, a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[00:32:37.478 --> 00:32:40.099]  Pollen Block is natural and effective.
[00:32:40.099 --> 00:32:41.819]  It is not an antihistamine.
[00:32:41.819 --> 00:32:51.821]  In fact, current research has found that it actually acts by blocking the activity of tryptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[00:32:51.821 --> 00:32:54.462]  Go outside and enjoy the air you breathe.
[00:32:54.462 --> 00:33:03.264]  Head to Infowarslife.com and grab a pack of our Pollen Block chewable tablets.
[00:33:03.264 --> 00:33:05.945]  You're listening to the Alex Jones Show.
[00:33:23.732 --> 00:33:30.555]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:33:30.555 --> 00:33:44.640]  Well, if you want the news two years in advance, you want newswars.com, you want infowars.com, you want the Alex Jones Show, you want this team.
[00:33:44.640 --> 00:33:48.641]  Because we told you that we're running a legal spying operation on Trump.
[00:33:48.641 --> 00:33:49.722]  We told you specifically how.
[00:33:51.132 --> 00:33:58.034]  You don't just think little Bertie Tweety's told us, do you?
[00:33:58.034 --> 00:34:03.716]  It's not that I'm even that good, it's that most people aren't crazy enough to go up against these globalists.
[00:34:03.716 --> 00:34:05.676]  Somebody's got to do it, my God!
[00:34:05.676 --> 00:34:10.458]  Can't hand the whole world over a bunch of damn child molesters, but, sorry.
[00:34:10.458 --> 00:34:12.639]  Bunch of shycom.
[00:34:12.639 --> 00:34:17.380]  I can't believe the fact that Trump can't get enough people to move against these scum, but let me just stop right there.
[00:34:19.704 --> 00:34:23.626]  The entire Democratic Party is about destroying America and selling us out.
[00:34:23.626 --> 00:34:24.827]  They're globalists.
[00:34:24.827 --> 00:34:31.371]  Republicans have been a bunch of cowardly bluebloods, scared of the corporate media and scared of the left.
[00:34:31.371 --> 00:34:41.838]  Now Trump and the Nationalist Tea Party Liberty Movement has gained a major foothold in Congress and the presidency and most of the states.
[00:34:41.838 --> 00:34:44.780]  And so the Democrats are resorting to election fraud.
[00:34:44.780 --> 00:34:47.722]  They're resorting to indicting their political enemies.
[00:34:48.783 --> 00:34:53.146]  Like, ten members of the House got indicted by Democrats and ended up losing their seats?
[00:34:53.146 --> 00:34:54.787]  Two of them in California?
[00:34:54.787 --> 00:34:56.929]  They've taken the damn gloves off!
[00:34:56.929 --> 00:35:01.132]  And it's not like we're looking for a fight here, but it's kind of like once you get one, you're not scared anymore.
[00:35:01.132 --> 00:35:04.054]  It's like, wow, that guy just knocked me upside the head.
[00:35:04.054 --> 00:35:05.135]  I'm in a real fight.
[00:35:05.135 --> 00:35:05.615]  And you know what?
[00:35:05.615 --> 00:35:11.780]  Suddenly, things start going your way when you finally realize you're in a fight, don't they?
[00:35:11.780 --> 00:35:14.041]  Instead of always pretending you're not.
[00:35:14.041 --> 00:35:14.802]  We're in a fight!
[00:35:15.942 --> 00:35:18.723]  I'm getting my guts kicked out here, but you know what?
[00:35:18.723 --> 00:35:23.084]  I'm kicking and I'm biting and I'm punching back, baby.
[00:35:23.084 --> 00:35:29.205]  And I can tell you right now, our enemy ain't doing too well.
[00:35:29.205 --> 00:35:30.525]  All over the world.
[00:35:30.525 --> 00:35:32.146]  So, let's stop being wimps.
[00:35:32.146 --> 00:35:34.986]  You know, most of the men I know aren't like Trump.
[00:35:34.986 --> 00:35:37.607]  People say, the worse it gets for Trump, the worse it gets for you.
[00:35:37.607 --> 00:35:38.867]  Why do you get more pro-Trump?
[00:35:38.867 --> 00:35:40.847]  Because he's real, ladies and gentlemen.
[00:35:40.847 --> 00:35:42.768]  And I watch everybody else kind of move away.
[00:35:44.517 --> 00:35:47.822]  Because they want to sit there and secure their future.
[00:35:47.822 --> 00:35:55.913]  We're going to lose our whole future letting these anti-free market, anti-God globalists in control.
[00:35:55.913 --> 00:35:56.695]  Period.
[00:35:56.695 --> 00:36:00.180]  And if people don't have the instinct or the
[00:36:02.188 --> 00:36:04.949]  Understanding of that at a spiritual level, you have no discernment.
[00:36:04.949 --> 00:36:08.209]  And I just, I see the grand illusion of it.
[00:36:08.209 --> 00:36:10.310]  The whole do-world order is now admitted.
[00:36:10.310 --> 00:36:17.151]  World government, human cloning for decades, animal-human clones, plan to break up the family.
[00:36:17.151 --> 00:36:21.452]  They're putting toxins and nanotech carriers in the vaccines.
[00:36:21.452 --> 00:36:22.713]  Confirmed!
[00:36:22.713 --> 00:36:24.553]  GMO is designed to sterilize us.
[00:36:24.553 --> 00:36:26.153]  Cancer rates off the chart.
[00:36:26.153 --> 00:36:27.554]  Infertility off the chart.
[00:36:27.554 --> 00:36:28.854]  We're under attack!
[00:36:31.147 --> 00:36:42.017]  And Trump is trying to batter Ram into that deep state, into that secret shadow government system to get in there and stop it.
[00:36:42.017 --> 00:36:50.144]  And that's why they're so damn scared, because you ever had a business and you go away for a month or two and you come back and your employees think that they're your boss?
[00:36:51.360 --> 00:36:53.502]  Not really happened to me, but it's happened to people I know.
[00:36:53.502 --> 00:36:54.182]  How about this?
[00:36:54.182 --> 00:36:55.824]  Your parents go away.
[00:36:55.824 --> 00:36:57.005]  You're 17.
[00:36:57.005 --> 00:36:58.326]  This kind of happened.
[00:36:58.326 --> 00:37:03.410]  On a year-long, excuse me, a month-long trip to Europe.
[00:37:03.410 --> 00:37:04.191]  They deserve it.
[00:37:04.191 --> 00:37:05.792]  You know, it's their whatever anniversary.
[00:37:05.792 --> 00:37:11.557]  They come back, and you kind of are kicked up, doing whatever you want, almost like you own the place, until they set you straight.
[00:37:11.557 --> 00:37:12.658]  That's what's happened here.
[00:37:15.461 --> 00:37:19.502]  Or use the Ulysses and the Iliad.
[00:37:19.502 --> 00:37:23.323]  He's gone however many decades and he comes back, people taking over his house.
[00:37:23.323 --> 00:37:43.147]  It's the same archetype and now it's been done and the people that have done it are counting on the cowardice of the lawyers and the politicians and federal law enforcement and everyone to keep scratching each other's back, to keep being cowards, to keep going along with the same old crap over and over again while every institution we've got
[00:37:46.161 --> 00:37:58.888]  From the colleges, to the public schools, to the Catholic Church, to Protestant churches, to the UN, to everything gets caught in massive child molestation rings.
[00:37:58.888 --> 00:38:04.931]  It's caught in just all sorts of incredible out-of-control corruption, and you're like, why is this happening?
[00:38:04.931 --> 00:38:13.215]  Because we've allowed the worst of the worst to get into gangs and seize control of our culture and our world, and now they're raining down hell on everyone.
[00:38:14.178 --> 00:38:20.540]  And they're trying to finish the job and demoralize us and break our spirit.
[00:38:20.540 --> 00:38:24.621]  And it doesn't make me want to have my spirit broken when they do this.
[00:38:24.621 --> 00:38:31.804]  It makes me get angry that I don't have enough energy or enough will to tell, and I said I'd play all these clips this segment.
[00:38:31.804 --> 00:38:33.384]  I got at least five of them next time.
[00:38:33.384 --> 00:38:34.485]  I'm going to be judicious.
[00:38:34.485 --> 00:38:37.306]  I'm going to get to them all next segment.
[00:38:37.306 --> 00:38:38.486]  But, but I mean, we're here.
[00:38:40.882 --> 00:38:47.187]  And the President's own cowardly lawyers, all of them, told him, Sir, we've talked to Mueller, we've talked to Comey, we've talked to McCabe.
[00:38:47.187 --> 00:38:48.167]  You're not the focus.
[00:38:48.167 --> 00:38:49.288]  You're not the... No.
[00:38:49.288 --> 00:38:50.349]  No, sir, that's a lie.
[00:38:50.349 --> 00:38:51.370]  You weren't being spied on.
[00:38:51.370 --> 00:38:52.391]  No, sir.
[00:38:52.391 --> 00:38:52.791]  No, sir.
[00:38:52.791 --> 00:38:55.153]  Well, how does Alex Jones have all my private phone numbers?
[00:38:55.153 --> 00:38:59.676]  Well, look, just don't worry about it, Mr. President.
[00:38:59.676 --> 00:39:01.397]  And that's the level this goes to.
[00:39:01.397 --> 00:39:03.439]  Jones, here's all the numbers.
[00:39:03.439 --> 00:39:05.200]  They're spying on Trump and all the documents.
[00:39:05.200 --> 00:39:07.462]  I mean, we get all this, ladies and gentlemen.
[00:39:12.022 --> 00:39:13.223]  You understand that?
[00:39:13.223 --> 00:39:29.455]  And I sit here every day mad at myself with the weight of this, with the weight of an anti-human, truly evil, spiritually vampiric world government that is announcing mark of the beast, microchips to buy and sell,
[00:39:29.795 --> 00:39:44.385]  Global Social Scores, where if you don't tow the line to teach your five-year-old boy that they're a little girl or vice versa, and don't let the school sign your son up to have his testicles chopped off, you get put in a digital gulag and starved to death!
[00:39:44.385 --> 00:39:45.986]  That's their plan!
[00:39:45.986 --> 00:39:49.468]  They are already coming for us!
[00:39:49.468 --> 00:39:50.829]  The New World Order, is it coming?
[00:39:50.829 --> 00:39:51.290]  It's here!
[00:39:51.290 --> 00:39:53.651]  And I want to explain something.
[00:39:53.651 --> 00:39:54.492]  You're the target.
[00:39:55.424 --> 00:39:56.425]  I don't care if you're black.
[00:39:56.425 --> 00:39:57.445]  I don't care if you're white.
[00:39:57.445 --> 00:39:58.186]  I don't care if you're old.
[00:39:58.186 --> 00:39:59.147]  I don't care if you're young.
[00:39:59.147 --> 00:39:59.967]  I don't care if you're gay.
[00:39:59.967 --> 00:40:00.928]  I don't care if you're straight.
[00:40:00.928 --> 00:40:03.149]  I don't care if you're whatever you are!
[00:40:03.149 --> 00:40:06.412]  This New World Order wants your ass dead.
[00:40:06.412 --> 00:40:07.893]  It's taken over the planet.
[00:40:07.893 --> 00:40:09.234]  It thinks you're eating its food.
[00:40:09.234 --> 00:40:11.395]  It wants you gone.
[00:40:11.395 --> 00:40:21.502]  And it's introducing systems to absolutely, totally, and completely control every facet of what you do.
[00:40:21.502 --> 00:40:24.725]  And to make you as cowardly and as stupid
[00:40:25.788 --> 00:40:28.008]  And as controllable as possible.
[00:40:28.008 --> 00:40:30.029]  You know, I see the crew pulling up articles.
[00:40:30.029 --> 00:40:32.589]  When I talk about something, they search engine and pull it up.
[00:40:32.589 --> 00:40:35.130]  You don't need to pull up Infowars.com.
[00:40:35.130 --> 00:40:47.532]  It's on Fox, CNN, MSNBC, human animal clones, human baby clones, edited human genes that aren't really humans in China, cows that grow humanoids inside their uteruses.
[00:40:47.532 --> 00:40:49.653]  All of it is in MIT Quarterly.
[00:40:49.653 --> 00:40:50.593]  It's all public.
[00:40:52.881 --> 00:41:04.706]  The planned in the family as we know it, Germany, 10 years ago, banned by 2020, single family homes.
[00:41:04.706 --> 00:41:09.647]  They've now, it's this year.
[00:41:09.647 --> 00:41:10.968]  Next year, they're banned.
[00:41:11.872 --> 00:41:16.013]  They're banning families living in homes together.
[00:41:16.013 --> 00:41:17.874]  Now San Francisco's doing it.
[00:41:17.874 --> 00:41:19.634]  They're banning fireplaces.
[00:41:19.634 --> 00:41:25.416]  They don't want any primitive human activity because they want you totally domesticated.
[00:41:25.416 --> 00:41:27.777]  They are scientifically overriding you.
[00:41:29.428 --> 00:41:47.100]  The globalists say we don't believe in aliens, we don't believe in God, yet we're going to make aliens here on Earth, we're going to merge the machines, we're going to be the new advanced species, and we're going to wipe everyone out as just a psychotic will to power to conquer and control and dominate everything on this Earth.
[00:41:47.100 --> 00:41:54.666]  That's been the plan by megalomaniacs for thousands of years, but now they've got the technology to try it, and they'll fail!
[00:41:56.052 --> 00:41:59.174]  Will they kill all of us in the process of failing?
[00:41:59.174 --> 00:42:09.600]  That's the big question, and that's why anybody that sells out to this, and anybody that thinks you're gonna get away with working with this system and not be destroyed in the end, you're a fool!
[00:42:09.600 --> 00:42:11.721]  This thing stinks!
[00:42:11.721 --> 00:42:17.944]  This thing has evil and genocide and Satan written all over it!
[00:42:17.944 --> 00:42:24.148]  Only a person completely cut off from God wouldn't see how devilish and bad this is.
[00:42:26.109 --> 00:42:30.491]  So I sit here every day before I go on air and I think, man, this is such, this is so serious.
[00:42:30.491 --> 00:42:32.092]  Why don't people understand?
[00:42:32.092 --> 00:42:33.072]  I know they listen.
[00:42:33.072 --> 00:42:36.354]  Billions of people have tuned in over the years, but it's not enough.
[00:42:36.354 --> 00:42:41.116]  People have to get out of all the different flavors of media and disinfo out there.
[00:42:41.116 --> 00:42:42.616]  This is the truth.
[00:42:42.616 --> 00:42:44.237]  We know what we're talking about.
[00:42:44.237 --> 00:42:46.678]  We really study what the globalists are doing.
[00:42:46.678 --> 00:42:48.679]  And we have only told you the truth.
[00:42:49.722 --> 00:42:51.423]  I'm not worried about me.
[00:42:51.423 --> 00:42:53.303]  I'm worried about everybody.
[00:42:53.303 --> 00:42:59.125]  My God, I don't give a hell about myself, but I care about all of us together.
[00:42:59.125 --> 00:43:05.508]  In the last few months, InfoWars has been escalating our sales to clear out inventory of many of our best-selling items.
[00:43:05.508 --> 00:43:07.068]  And then I came up with the idea last week.
[00:43:07.068 --> 00:43:11.970]  Let's not just extend the sale of free shipping storewide, 50 to 75% off, double Patriot points.
[00:43:11.970 --> 00:43:14.891]  Let's extend that sale, but also add
[00:43:15.451 --> 00:43:18.194]  A free gift with every order.
[00:43:18.194 --> 00:43:27.041]  Even if it's a tube of fluoride-free, colloidal silver, iodine-fortified super blue, you'll get a free gift of a best-selling t-shirt while supplies last.
[00:43:27.041 --> 00:43:30.724]  And what I mean by that is, everyone will get a t-shirt, but these are going to be selling out.
[00:43:30.724 --> 00:43:36.089]  So whatever you order that day, they'll be the shirt of the day that's there until it sells out.
[00:43:36.089 --> 00:43:38.471]  Then there'll be another shirt that goes up for the next group of orders.
[00:43:39.011 --> 00:43:43.873]  In the next 12 days, we are going to have beyond any other sale we've ever had.
[00:43:43.873 --> 00:43:45.394]  So this is a loss leader.
[00:43:45.394 --> 00:43:46.995]  We are losing money on this.
[00:43:46.995 --> 00:43:48.415]  This is our biggest sale ever.
[00:43:48.415 --> 00:43:50.416]  Get your free gift, your free shipping, everything.
[00:43:50.416 --> 00:43:51.757]  And don't fight the crowds.
[00:43:51.757 --> 00:43:56.759]  InfoWarsStore.com, InfoWarsLife.com, or 888-253-3139.
[00:43:56.759 --> 00:44:00.581]  God bless you, and thank you for your support.
[00:44:00.581 --> 00:44:03.662]  Our grandparents, our great-grandparents, knew they canned food.
[00:44:03.662 --> 00:44:05.223]  During the falls, they'd have it during the winter.
[00:44:06.620 --> 00:44:09.541]  And that's what I'm talking about at MFootwearStore.com.
[00:44:09.541 --> 00:44:16.545]  With MFootwear Select, it's the full spectrum of my patronage supply, one of the top, most respected companies out there.
[00:44:16.545 --> 00:44:24.308]  But because I private label it, I'm able to go below cost on contracts that all their other distributors aren't able to do.
[00:44:24.308 --> 00:44:29.650]  But I want to be a market leader, and I want you to have storable food, so it's a total win-win.
[00:44:29.650 --> 00:44:35.053]  We have those incredible sell prices back at MFootwearStore.com on MFootwear Select storable foods.
[00:44:35.433 --> 00:44:36.914]  They've got special diet foods.
[00:44:36.914 --> 00:44:40.655]  They've got three-month supplies, year's supplies, week emergency supplies.
[00:44:40.655 --> 00:44:43.116]  They've got so many great products there.
[00:44:43.116 --> 00:44:44.677]  Maybe you've got a three-year supply.
[00:44:44.677 --> 00:44:46.658]  If stuff happens, you can feed your whole block.
[00:44:46.658 --> 00:44:49.179]  It's up to us to be self-sufficient.
[00:44:49.179 --> 00:44:54.181]  You're buying War Bonds, bringing you great products, and together, with God's help, we are unstoppable.
[00:44:54.181 --> 00:44:59.563]  InfoWareStore.com and InfoWare Select, high-quality, storable foods powered by my Patriot Supply.
[00:45:03.883 --> 00:45:13.307]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico, where the Chiapas farmers have spent years perfecting their techniques.
[00:45:13.307 --> 00:45:24.732]  Based on hundreds of years of traditional techniques and perfect conditions, we've sourced only the best to provide you with our immune support and Wake Up America Patriot Blend Coffee.
[00:45:24.732 --> 00:45:30.415]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee beans.
[00:45:30.675 --> 00:45:42.145]  Carefully harvested and free of toxic chemicals used in big agricultural productions, Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[00:45:42.145 --> 00:45:50.331]  You can even choose to start your morning healthier with the Immune Support Blend, infused with a powerful blend to support your immune response and stamina.
[00:45:50.331 --> 00:45:52.833]  It's time to take care of your morning routine.
[00:45:52.833 --> 00:45:58.518]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at InfoWarsStore.com.
[00:46:01.474 --> 00:46:09.361]  Introducing the final and biggest sale of 2018, InfoWars is proud to introduce the 12 Days of Christmas.
[00:46:09.361 --> 00:46:18.590]  And it's bigger than any previous sale before, as we attempt to clear out all of our amazing inventory to escape the dreaded inventory tax at the end of the year.
[00:46:18.590 --> 00:46:26.257]  So get great products and help fund the InfoWars right now with the 12 Days of Christmas that is special amongst a group of incredible sales.
[00:46:26.397 --> 00:46:26.697]  Now more
[00:46:42.273 --> 00:46:44.775]  You're listening to the Alex Jones Show!
[00:47:27.100 --> 00:47:28.862]  Ladies and gentlemen, thank you for joining us.
[00:47:28.862 --> 00:47:44.216]  I want to get into the open announcement with all the talking points by the Democrats and establishment operatives that President Trump will be criminally indicted, not for Russia, but for violating campaign finance law, giving money to women he dated more than a decade ago.
[00:47:45.353 --> 00:47:49.054]  Which, Cohen has been caught lying about that, so that's all a fraud as well.
[00:47:49.054 --> 00:47:51.215]  But notice, no Russia.
[00:47:51.215 --> 00:47:53.616]  As usual, this is their plan to derail the country.
[00:47:53.616 --> 00:47:55.677]  This is all they can dig up on the President?
[00:47:55.677 --> 00:47:57.998]  This is just simply amazing.
[00:47:57.998 --> 00:48:06.641]  And he's got total crimes by the Clintons, total crimes by Comey, Mueller, all the Obama, the illegal spying, the sellouts to China, Russia.
[00:48:07.341 --> 00:48:20.992]  But he can't get any of that swamp of lawyers and cowards at the Justice Department to do anything, because they're all just such incredible, effete pieces of trash.
[00:48:20.992 --> 00:48:22.793]  And that's how society collapses.
[00:48:22.793 --> 00:48:23.494]  There's no more men.
[00:48:23.494 --> 00:48:34.762]  That's why there's a war on Infowars, why there's a war on Gavin McGinnis to ban him, because you can't have anybody that tells men to act like men and stop rolling over and being a bunch of jackasses.
[00:48:34.762 --> 00:48:35.463]  But then coming up,
[00:48:37.608 --> 00:48:42.891]  Blue armored vehicles, EU troops, foreign troops.
[00:48:42.891 --> 00:48:49.636]  Not since the Nazis were kicked out in 1945 has France had foreign troops rolling in.
[00:48:49.636 --> 00:48:56.140]  But remember, Macron got sworn in almost two years ago to the EU anthem.
[00:48:56.140 --> 00:48:58.542]  Oh, the joy, not to the French anthem.
[00:48:58.542 --> 00:49:01.183]  I think sounds even better.
[00:49:01.183 --> 00:49:04.766]  That's how treason flies its flags openly in your face.
[00:49:07.093 --> 00:49:07.634]  That's coming up.
[00:49:07.634 --> 00:49:09.255]  We're going to play the audio to it and all of it.
[00:49:09.255 --> 00:49:12.298]  It is truly disgusting.
[00:49:12.298 --> 00:49:18.884]  Imagine Trump gets sworn in and we play some, you know, world government hymn.
[00:49:18.884 --> 00:49:20.586]  That's how they rub.
[00:49:20.586 --> 00:49:22.588]  Here's the good news.
[00:49:22.588 --> 00:49:26.972]  War in Paris, riots, Rock City, three weeks in, tear gas, fury.
[00:49:28.689 --> 00:49:30.551]  Looters raid shops!
[00:49:30.551 --> 00:49:31.752]  Russia on Presidential Palace!
[00:49:31.752 --> 00:49:33.193]  Pressure builds on Macron!
[00:49:33.193 --> 00:49:33.893]  Alarm in Europe!
[00:49:33.893 --> 00:49:34.794]  Clashes in Belgium!
[00:49:34.794 --> 00:49:35.455]  Netherlands!
[00:49:35.455 --> 00:49:36.676]  America next!
[00:49:36.676 --> 00:49:39.278]  That's on DrudgeReport.com and NewsWars.com.
[00:49:39.278 --> 00:49:42.661]  And our own reporter, Dan Lyman, filed incredible reports.
[00:49:42.661 --> 00:49:46.264]  Headlines on InfoWars.com.
[00:49:46.264 --> 00:49:51.288]  Footage from the Yellow Vest in Paris, shot by InfoWars reporter.
[00:49:53.345 --> 00:49:55.428]  It's on InfoWars.com right now.
[00:49:55.428 --> 00:50:02.780]  Again, it's your support of us that allows us to send people in to do this, like Dan Lyman and his team, and doing an incredible job.
