[00:00:10.893 --> 00:00:12.954]  ["Ramblin' Man"]
[00:50:07.035 --> 00:50:13.563]  So, there they are, while they got everybody organized to censor us, while they demonize us, while they lie about us, try to set the precedent.
[00:50:16.781 --> 00:50:24.025]  So that Fox News and everybody else will sit there and go, well, Alex Jones, you know, he bullied the families at Sandy Hook, blah, blah, blah.
[00:50:24.325 --> 00:50:25.846]  Totally out of context, not true.
[00:50:26.567 --> 00:50:28.348]  And the media just keeps saying it.
[00:50:28.368 --> 00:50:29.348]  Well, he keeps doing it.
[00:50:29.368 --> 00:50:30.289]  He won't stop.
[00:50:30.309 --> 00:50:31.610]  He keeps doing it.
[00:50:32.030 --> 00:50:33.291]  And he bullied another child.
[00:50:34.211 --> 00:50:35.652]  Forbes said, yeah, he beat a kid up.
[00:50:36.813 --> 00:50:37.613]  Everybody else picked it up.
[00:50:37.673 --> 00:50:38.133]  Wasn't true.
[00:50:38.153 --> 00:50:40.975]  And by the time they retracted it, it didn't matter.
[00:50:41.015 --> 00:50:42.376]  Now it's just, yeah.
[00:50:44.085 --> 00:50:45.507]  Stitcher took us down last week.
[00:50:45.527 --> 00:50:46.548]  We've been on there seven years.
[00:50:47.609 --> 00:50:48.730]  Because I bullied a child.
[00:50:49.370 --> 00:50:50.311]  And they republished that.
[00:50:50.431 --> 00:50:51.613]  They don't say where I bullied one.
[00:50:52.293 --> 00:50:58.660]  So, I talked to lawyers and I said, by the time we sue them to send a message to other companies, these companies don't care.
[00:50:59.340 --> 00:51:03.605]  They're ideologically kamikaze-ing to set the precedent with me to take everybody out.
[00:51:05.609 --> 00:51:07.650]  So it's all about the joining it, the joining it.
[00:51:07.710 --> 00:51:10.070]  First Hitler silenced his critics in 1933, 34, 35.
[00:51:10.770 --> 00:51:13.011]  Then he put them in ghettos.
[00:51:13.251 --> 00:51:14.351]  Then he arrested them.
[00:51:14.671 --> 00:51:15.732]  Then he worked them to death.
[00:51:15.932 --> 00:51:17.552]  Then he put bullets in the backs of their heads.
[00:51:17.972 --> 00:51:19.233]  And the communists did the same thing.
[00:51:20.493 --> 00:51:23.114]  Took the Bolsheviks a good 10 years to really take over Russia.
[00:51:24.194 --> 00:51:24.474]  Fully.
[00:51:25.174 --> 00:51:31.856]  And it was all about taking control and having full control over society because the people involved in it lusted after total power.
[00:51:35.217 --> 00:51:40.680]  So I told you, just last week, I said MSM follows Chinese censorship program to destroy InfoWars.
[00:51:40.960 --> 00:51:41.781]  We told you it was here.
[00:51:42.341 --> 00:51:43.121]  And now Apple?
[00:51:43.461 --> 00:51:44.262]  Let that sink in.
[00:51:45.222 --> 00:51:47.384]  Apple is publicly run by the Chinese government.
[00:51:47.404 --> 00:51:49.265]  Your code keys, your Apple keys, everything.
[00:51:49.885 --> 00:51:51.226]  Total national security violation.
[00:51:51.466 --> 00:51:52.586]  The iCloud is in China.
[00:51:58.237 --> 00:52:05.905]  Just like the left has no free speech on colleges and bullies everybody and then bullies you off the colleges, just like they want control of your children, they want it all.
[00:52:06.205 --> 00:52:08.247]  They want you, not me!
[00:52:08.268 --> 00:52:15.235]  I had an incredible long dream last night that I'm going to tell you about at the start of the next hour.
[00:52:20.822 --> 00:52:23.983]  I have a former FBI agent and others on about the whole Jihad situation.
[00:52:24.003 --> 00:52:27.464]  We're going to have him pop in, but I don't know if I can do a whole hour now, because all this came up.
[00:52:27.944 --> 00:52:31.425]  See if John Gondalo can move back to like 15 after.
[00:52:31.586 --> 00:52:33.646]  We've got the emergency breaking news, he'll understand that.
[00:52:33.986 --> 00:52:45.170]  And Matt Bracken's coming on, and we'll talk to Matt some as well, because I wanted to get into how, but it's good to have both John Gondalo and Matt Bracken on, because another thing they said was Islamophobia.
[00:52:46.991 --> 00:52:50.733]  That's just some word that academics came up with, like homophobia.
[00:52:51.633 --> 00:52:54.474]  And yeah, I'm actually scared of going to an Islamic country.
[00:52:54.494 --> 00:52:55.394]  I know they're most dangerous.
[00:52:55.434 --> 00:52:57.035]  The State Department says most of them you can't go to.
[00:52:57.055 --> 00:52:59.076]  I mean, are you scared to go to Somalia?
[00:52:59.896 --> 00:53:02.697]  They say the average Westerner lasts five minutes before being kidnapped.
[00:53:04.078 --> 00:53:05.298]  Yeah, I'm Islamophobic.
[00:53:05.719 --> 00:53:06.199]  It's true.
[00:53:06.819 --> 00:53:07.880]  Radical Islamophobic, for sure.
[00:53:08.120 --> 00:53:11.801]  It just says, he's transphobic, Islamophobic, and bullies children.
[00:53:12.661 --> 00:53:13.662]  Bullies children!
[00:53:15.868 --> 00:53:27.870]  My ex-wife had me in court last Friday with an injunction to try to take my children and of course the judge denied it because the judge was like looking at the videos going, what's the bullying?
[00:53:30.091 --> 00:53:31.871]  And she went, uh, denied?
[00:53:31.891 --> 00:53:41.353]  And my ex-wife would like hold up headlines, Jones guilty of child endangerment!
[00:53:43.115 --> 00:53:47.356]  And we're like, that's just because BuzzFeed says it, lady, don't mean it's true.
[00:53:47.937 --> 00:53:49.637]  It's like Moses is BuzzFeed up there.
[00:53:49.917 --> 00:53:51.798]  BuzzFeed says drinking milk is racist.
[00:53:54.459 --> 00:53:55.659]  It's all about dehumanization.
[00:53:55.719 --> 00:53:58.300]  It's all about just getting people to not care and be nihilistic.
[00:53:58.560 --> 00:54:00.341]  It's a weapons system against the country.
[00:54:02.241 --> 00:54:06.363]  But that's what I'm dealing with is just the left's derangement
[00:54:07.486 --> 00:54:12.228]  Where they think if they make, I had all these text messages coming in, the New York Times, Washington Post, BuzzFeed.
[00:54:12.889 --> 00:54:14.349]  Oh, you want to respond?
[00:54:14.409 --> 00:54:15.270]  How's it going?
[00:54:15.310 --> 00:54:16.290]  I mean, how do I respond?
[00:54:16.771 --> 00:54:17.591]  You've got my number.
[00:54:17.651 --> 00:54:19.332]  You've organized trying to bring me down.
[00:54:19.832 --> 00:54:25.195]  You literally are anti-American rats, by every definition, lying bullies.
[00:54:26.741 --> 00:54:31.103]  And you think you're on the winning team because you're trying to bring me down and you think you scare me?
[00:54:31.123 --> 00:54:31.924]  Uh-uh.
[00:54:32.184 --> 00:54:33.005]  This is what scares you.
[00:54:33.025 --> 00:54:34.165]  I want to play the Trump promo.
[00:54:34.525 --> 00:54:35.566]  This is what scares you.
[00:54:35.586 --> 00:54:44.251]  The country's coming back and you have been trained your entire life to be pseudo-intellectual, imperial intellectuals who believe you rule everyone and that's your identity.
[00:54:45.529 --> 00:54:48.410]  Even though most of you are complete losers and intellectual buffoons.
[00:54:48.990 --> 00:54:59.054]  And now that you see America coming back to life, you are pissed and you think if you can cut my head off, you've done something and won't make me a martyr by demonizing me, America sees through you.
[00:54:59.514 --> 00:55:02.255]  Trump didn't hurt children coming across the border, he helped them.
[00:55:03.716 --> 00:55:06.957]  Trump didn't say Mexicans were all rapists and criminals, you said that about him.
[00:55:07.617 --> 00:55:12.419]  I didn't say the things you said I said about the Sandy Hook parents, and I sure as hell didn't lie about WMDs in Iraq.
[00:55:18.479 --> 00:55:20.199]  I'm gonna play the Trump promo that they really hate.
[00:55:20.280 --> 00:55:20.840]  Let me come back.
[00:55:22.440 --> 00:55:23.280]  But this is what they hate.
[00:55:23.520 --> 00:55:24.681]  You saw them on election night.
[00:55:24.741 --> 00:55:25.681]  You saw them freaked out.
[00:55:25.741 --> 00:55:26.561]  You saw them scared.
[00:55:26.581 --> 00:55:31.623]  You saw the disdain of the type of physically ugly people, too, that are liberals.
[00:55:31.683 --> 00:55:37.404]  I mean, that they just have a disdain for successful people, good-looking people, loving people.
[00:55:38.064 --> 00:55:39.965]  They're just a legion of scum.
[00:55:41.630 --> 00:55:42.371]  And they know it.
[00:55:43.111 --> 00:55:57.720]  But if they could just defeat America, if they could just defeat culture and society, if they could just beat the superiority of Western culture and ideas, then they could be somebody.
[00:55:57.860 --> 00:55:59.121]  But we've got to be out of the way.
[00:56:00.161 --> 00:56:01.642]  That's the nature of authoritarianism.
[00:56:03.003 --> 00:56:07.806]  It always picks groups that it thinks are superior to take out so it can be in charge.
[00:56:08.606 --> 00:56:11.048]  But it always starts the persecution with a little subgroup first.
[00:56:12.560 --> 00:56:19.529]  Now, if you want to send him a very strong message, plus everybody needs it, go to InfoWarsStore.com and get an InfoWars t-shirt.
[00:56:20.050 --> 00:56:21.292]  Get a Mulanwabe shirt.
[00:56:21.332 --> 00:56:22.794]  Get a Trump 2020 shirt.
[00:56:24.436 --> 00:56:25.778]  Get a Trump is my president.
[00:56:27.003 --> 00:56:27.243]  Sure.
[00:56:27.283 --> 00:56:31.625]  We have hundreds of amazing shirts, and you meet like-minded people, and you exercise the free speech.
[00:56:31.725 --> 00:56:32.626]  They sow fear.
[00:56:32.646 --> 00:56:33.646]  You stand against the bullies.
[00:56:34.266 --> 00:56:35.307]  Mean like a wolverine.
[00:56:35.747 --> 00:56:36.507]  There's a new one we've got.
[00:56:37.168 --> 00:56:38.028]  I am the resistance.
[00:56:38.368 --> 00:56:41.670]  It's got a fist, a red fist, on the back.
[00:56:41.990 --> 00:56:42.750]  Show them the back, please.
[00:56:43.411 --> 00:56:44.731]  It's got another great message.
[00:56:44.771 --> 00:56:47.212]  It's got an American flag on the right shoulder.
[00:56:48.093 --> 00:56:50.074]  So there's a whole bunch of these babies.
[00:56:51.286 --> 00:56:54.270]  And it's I Am The Resistance, established 1776.
[00:56:54.730 --> 00:56:57.173]  I think that should be the shirt.
[00:56:57.713 --> 00:56:57.914]  Right?
[00:56:58.314 --> 00:56:59.976]  Arminfowars.com.
[00:57:00.857 --> 00:57:01.698]  You want to spread the word?
[00:57:01.718 --> 00:57:03.120]  You want to meet like-minded people?
[00:57:03.140 --> 00:57:04.421]  You want to wear your colors loud and proud?
[00:57:04.441 --> 00:57:04.902]  That's the way to do it.
[00:57:05.700 --> 00:57:07.941]  And then, look at all those five-star reviews.
[00:57:08.541 --> 00:57:12.463]  We've got the new Hexagon InfoWars logo shirt.
[00:57:13.424 --> 00:57:17.646]  We've got the George Washington in his prime shirt with the musket and the tomahawk.
[00:57:18.026 --> 00:57:20.187]  This is what they fear, the re-assurgence of Americana.
[00:57:20.427 --> 00:57:22.909]  They tried to bury it, but now they're failing.
[00:57:23.349 --> 00:57:26.010]  InfoWarsStore.com, InfoWarsLife.com, or 888-253-3139.
[00:57:26.050 --> 00:57:28.731]  Get our new fish oil, the highest quality, with the mercury removed.
[00:57:33.894 --> 00:57:37.478]  Honor roll for your children and the smaller capillaries of concentrated oils that are great for the brain.
[00:57:38.178 --> 00:57:39.460]  Get the krill oil that's amazing.
[00:57:39.480 --> 00:57:40.801]  40% off when you get them together.
[00:57:41.602 --> 00:57:42.202]  25% off individually.
[00:57:42.242 --> 00:57:42.803]  No reviews yet.
[00:57:42.843 --> 00:57:44.825]  It just came out, but it's the highest quality out there.
[00:57:45.426 --> 00:57:47.328]  Infowarsstore.com, Infowarslife.com.
[00:57:47.368 --> 00:57:47.608]  Okay.
[00:57:47.968 --> 00:57:49.029]  Tons more straight ahead.
[00:57:49.069 --> 00:57:50.030]  How to defeat the globalists.
[00:57:50.050 --> 00:57:50.471]  Stay with us.
[00:57:52.870 --> 00:57:57.934]  This is, without a prescription, the strongest FDA-cleared silver you can get.
[00:57:58.054 --> 00:58:02.939]  Just a slightly watered-down version of the top-selling prescription, Mega-Silver.
[00:58:02.999 --> 00:58:06.342]  That is the savior now at the hospitals, clinics, you name it.
[00:58:06.422 --> 00:58:15.149]  It is super-silver, wound dressing gel, trademarked for first-aid management of minor cuts, lacerations, abrasions, first and secondary burns, skin irritations.
[00:58:15.369 --> 00:58:17.611]  It is sold mainly to hospitals.
[00:58:17.731 --> 00:58:19.673]  Some medical-grade stores have it.
[00:58:20.213 --> 00:58:21.654]  It's just incredible.
[00:58:21.754 --> 00:58:22.654]  It's $29.95 out of the gates.
[00:58:22.734 --> 00:58:23.914]  This is next level.
[00:58:23.974 --> 00:58:25.535]  Bacteria and viruses don't like this.
[00:58:26.055 --> 00:58:30.196]  It's just a little bit less strong than the prescription silver.
[00:58:30.536 --> 00:58:34.958]  It's a well-known product sold to hospitals and clinics, and it's what people that are doctors and others use themselves.
[00:58:35.078 --> 00:58:38.539]  When all else fails, as you know, a lot of stuff isn't working now on infections.
[00:58:38.699 --> 00:58:39.959]  It's another weapon in the arsenal.
[00:58:40.099 --> 00:58:42.940]  I can tell you right now, my dad is an oral surgeon and dentist.
[00:58:43.300 --> 00:58:46.984]  And we were searching out the very best, most powerful silvers used by hospitals.
[00:58:47.584 --> 00:58:57.073]  And he ended up getting a hold of one of the top companies in the world, and it turned out they're listeners.
[00:58:57.694 --> 00:59:04.180]  I tasked my father, who's gotten stuff approved before, gotten FDA approval before with other stuff, I tasked him, I said, find me the ultimate silver.
[00:59:04.720 --> 00:59:08.966]  Find me what is the weapons grade they're using in the military, hospitals, you name it.
[00:59:09.346 --> 00:59:09.847]  This is it.
[00:59:10.107 --> 00:59:12.530]  There's only one other silver stronger and it's by prescription.
[00:59:12.630 --> 00:59:14.313]  This stuff is thermonuclear.
[00:59:14.493 --> 00:59:15.074]  Nanotech.
[00:59:15.254 --> 00:59:19.079]  Super small particles which, going electromagnetically, just goes right to the heart of something.
[00:59:20.200 --> 00:59:20.680]  It's gone.
[00:59:20.720 --> 00:59:30.728]  Super Silver Wound Dressing Gel contains the powerful Silver Sol technology that revolutionized the colloidal nano silver market.
[00:59:30.928 --> 00:59:41.716]  As the only FDA certified wound treatment product of its kind, this gel has been shown to fight infection and irritation while also helping
[00:59:42.076 --> 00:59:46.038]  Speed up the healing process, and that's the way I like it!
[00:59:46.118 --> 00:59:52.242]  Grab a bottle of Super Silver Wound Dressing Gel right now at InfoWarsLife.com.
[00:59:56.784 --> 01:00:00.666]  If you are receiving this transmission, you are the Resistance.
[01:00:19.600 --> 01:00:20.120]  Ah, man.
[01:00:21.101 --> 01:00:27.584]  YouTube puts out, that means Google, puts out all this BS about hate speech and bullying.
[01:00:29.746 --> 01:00:35.569]  And then they say, and Jones kept streaming on the YouTube platform even though he wasn't supposed to.
[01:00:36.909 --> 01:00:39.611]  Well, no, we, they blocked it on the Alex Jones channel.
[01:00:40.511 --> 01:00:44.774]  And then we have other channels, some of which aren't even my channels that people are streaming on, so they blocked those.
[01:00:45.614 --> 01:00:48.636]  So we stopped even trying about a week and a half ago.
[01:00:49.997 --> 01:01:11.144]  But then I noticed when we were doing live coverage yesterday of, and I knew it, I had a feeling, when we had live coverage of the Berkeley thing, with the march for prayer and all that against Marxism, it was the second day they marched in Portland, the day before that, I was like, oh look, there's a YouTube channel streaming us, how are they doing that?
[01:01:12.285 --> 01:01:14.886]  And they were either doing it on their own cameras,
[01:01:16.135 --> 01:01:21.920]  Or they were grabbing RStream off of Periscope.
[01:01:23.882 --> 01:01:30.448]  Plus, Owen Schroyer has had his personal account for like three years and he was doing it.
[01:01:33.220 --> 01:01:50.714]  Talk about arbitrary, where they just say some secret group said you bullied a kid, and so we're taking your videos down, and then they don't tell us you can't stream on other channels that are yours, but they block us so we don't do it, and then other people do it, and that's the legalese.
[01:01:50.754 --> 01:01:54.737]  I guarantee you their lawyers know they're on really shaky ground, so they just threw that in there as some other BS.
[01:01:56.159 --> 01:01:57.560]  Yeah, go to DrugsReport.com.
[01:01:57.680 --> 01:01:58.540]  It's updated.
[01:01:58.580 --> 01:01:59.942]  Just hit refresh on that story.
[01:02:00.842 --> 01:02:02.624]  It's Facebook, Apple, and YouTube.
[01:02:04.036 --> 01:02:05.397]  Let's go to my camera shot here and I'll show you.
[01:02:05.417 --> 01:02:06.697]  Let's just go to that camera.
[01:02:08.198 --> 01:02:09.239]  Because that's the wrong article.
[01:02:09.279 --> 01:02:09.599]  There you go.
[01:02:09.999 --> 01:02:14.982]  Facebook, Apple, and YouTube removed pages and podcasts from Alex Jones for hate speech.
[01:02:15.062 --> 01:02:19.704]  So did Spotify and a bunch of other stuff the same day.
[01:02:20.905 --> 01:02:27.388]  Apple confirmed on Monday that it had removed five out of six podcasts, which include Jones's infamous The Alex Jones Show.
[01:02:30.031 --> 01:02:32.892]  Facebook also had to remove four pages that belonged to Jones.
[01:02:33.432 --> 01:02:36.273]  YouTube followed suit later, removing his channel from its platform.
[01:02:36.733 --> 01:02:46.115]  Apple and Facebook said Jones violated hate speech policies, which is anything the left defines, whatever the latest from Berkeley is, on their respective platforms.
[01:02:47.256 --> 01:02:51.957]  Again, the East and West Coast tiny elites literally think they rule everyone.
[01:02:52.317 --> 01:02:52.877]  It's a cult.
[01:02:52.917 --> 01:02:55.378]  They just salivate over it.
[01:02:56.980 --> 01:03:06.053]  YouTube removed Jones' official channel because he continued to live stream on other channels even though he was banned for 90 days due to previous violations.
[01:03:07.034 --> 01:03:09.818]  Well no, they said you're banned from the Alex Jones channel streaming.
[01:03:10.619 --> 01:03:12.642]  So in the past, they didn't block the other ones.
[01:03:12.682 --> 01:03:13.864]  So, again.
[01:03:14.753 --> 01:03:29.165]  And they've got the New York Times with a whole bunch of people writing big profile deception pieces about, you know, how I should be totally silenced and just combing the earth for people to lie about me and just put it out so they can, again, set this precedent to ban everybody.
[01:03:30.666 --> 01:03:34.009]  Facebook to banks, give us your data, we'll give you our users.
[01:03:36.231 --> 01:03:40.234]  Share their financial information with your customers as it seeks to boost user engagement.
[01:03:40.355 --> 01:03:42.356]  Yeah, they want to be the one-stop shop gulag.
[01:03:43.462 --> 01:03:53.171]  And remember, they all work with Communist China now, especially Apple and Google, to help suppress their people, get them arrested, get their organs harvested, put them in forced labor.
[01:03:53.451 --> 01:03:57.775]  But nobody cares, because the left loves putting people in forced labor.
[01:03:58.316 --> 01:04:00.178]  They love the left of the monsters.
[01:04:00.198 --> 01:04:02.440]  They've killed hundreds and hundreds of millions of people.
[01:04:02.500 --> 01:04:02.980]  They love it.
[01:04:03.240 --> 01:04:05.102]  And they're doing the exact same thing.
[01:04:05.362 --> 01:04:08.926]  They always claim they occupy the moral high ground.
[01:04:10.498 --> 01:04:16.522]  Until they get control of your life and then all hell always breaks loose.
[01:04:18.383 --> 01:04:27.989]  And so they're just seeing if conservatives and libertarians and others realize they've been shadow banned 90 plus percent.
[01:04:29.209 --> 01:04:31.471]  And if you look at Paul Watson, it's 97 percent.
[01:04:31.911 --> 01:04:33.252]  Can you imagine how popular he'd be?
[01:04:33.532 --> 01:04:35.333]  His average video, half a million views, 97 percent ban.
[01:04:38.237 --> 01:04:39.377]  So I explain this to everybody.
[01:04:39.577 --> 01:04:42.398]  We were already essentially banned on these platforms.
[01:04:42.978 --> 01:04:48.500]  They're making this move to openly test with someone they've demonized if they can shut everybody down.
[01:04:49.680 --> 01:04:52.241]  Yeah, we should start playing the Final Countdown music intro every morning.
[01:04:52.541 --> 01:05:01.364]  How many days it's been since they began the plan to be able to give internet IDs to everyone, de-platform everyone with a global social score run by the Chi-Coms.
[01:05:07.304 --> 01:05:07.765]  Have you heard?
[01:05:08.245 --> 01:05:10.307]  InfoWars is getting banned across the internet.
[01:05:10.387 --> 01:05:11.688]  Facebook, YouTube, Twitter.
[01:05:11.868 --> 01:05:12.909]  They're all censoring us.
[01:05:13.270 --> 01:05:19.176]  I need you to share these links to the videos and the websites and the stories at InfoWars.com immediately.
[01:05:19.476 --> 01:05:22.499]  And remember, if you can hear my voice, you are the revolution.
[01:05:33.499 --> 01:05:37.682]  Everything we do here at InfoWars is possible with your support at InfoWarsStore.com.
[01:05:37.702 --> 01:05:38.823]  We have huge specials.
[01:05:38.843 --> 01:05:42.445]  If you've not seen the InfoWars Store yet, go check it out.
[01:05:42.885 --> 01:05:47.328]  New t-shirts at the InfoWars Store as well, including one that I just got.
[01:05:47.749 --> 01:05:50.330]  The new InfoWars hexagon logo.
[01:05:50.530 --> 01:05:58.596]  Very, very cool logo and kind of more discreet so a radical liberal might not come over and try to punch you in the face or spit on you.
[01:05:58.876 --> 01:06:01.738]  So it's all possible thanks to your support at InfoWarsStore.com.
[01:06:01.758 --> 01:06:03.219]  Huge discount store-wide right now.
[01:06:10.485 --> 01:06:18.932]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:06:20.479 --> 01:06:25.021]  Guys, a lot of people are saying they're going to listen to us or watch us on Vimeo, other places.
[01:06:25.481 --> 01:06:28.703]  You can always watch us at Infowars.com forward slash show.
[01:06:29.963 --> 01:06:34.945]  But remember, up until the mid-1980s, there was federal law that conservatives couldn't have talk radio shows.
[01:06:34.985 --> 01:06:36.546]  They said it's at least fair and balanced.
[01:06:36.586 --> 01:06:37.827]  They would have liberal programs.
[01:06:38.907 --> 01:06:39.787]  NPR, you name it.
[01:06:40.048 --> 01:06:41.288]  They were totally anti-American.
[01:06:42.509 --> 01:06:46.810]  And then Roger Ailes and others went, listen, AM radio is going out of business.
[01:06:46.991 --> 01:06:47.891]  It's about to turn off.
[01:06:49.452 --> 01:06:59.094]  All they gotta do is take some good talk show hosts that are popular, fire them up, get them advertisers, put some billboards up, and say, hey, you want an alternative?
[01:06:59.455 --> 01:07:00.375]  Use your AM radio.
[01:07:00.595 --> 01:07:02.135]  And it worked like a charm.
[01:07:03.456 --> 01:07:10.037]  Well, we're on UHF, VHF, local cable stations, AM, FM, you name it, and people are just going back to it.
[01:07:11.078 --> 01:07:12.458]  They're just going back to it.
[01:07:13.587 --> 01:07:14.668]  And so that's what it's all about.
[01:07:14.728 --> 01:07:16.449]  But also, they'll go to Vimeo.
[01:07:16.869 --> 01:07:19.111]  Or they'll go to Infowars.com forward slash show.
[01:07:19.631 --> 01:07:21.592]  So you gotta tell people, the purge is on!
[01:07:22.293 --> 01:07:23.714]  And are they gonna get away with this purge?
[01:07:23.794 --> 01:07:24.715]  By demonizing me?
[01:07:25.055 --> 01:07:25.835]  By building it up?
[01:07:26.195 --> 01:07:27.096]  By getting it set up?
[01:07:27.176 --> 01:07:28.157]  By lying about who I am?
[01:07:29.998 --> 01:07:35.041]  The very media that lied about WMDs and got a bunch of our troops killed and got millions of Iraqis killed?
[01:07:35.081 --> 01:07:37.683]  Madeleine Albright said a half million Iraqi kids a good price to pay?
[01:07:38.524 --> 01:07:40.705]  Ask the New York Times, what about the half million kids of Madeleine Albright?
[01:07:40.985 --> 01:07:42.146]  You feel bad or she a great lady?
[01:07:42.346 --> 01:07:42.867]  Say she's bad.
[01:07:43.604 --> 01:07:44.645]  Oh, I'm not going to say that.
[01:07:44.665 --> 01:07:45.025]  That's right.
[01:07:45.125 --> 01:07:46.386]  It's all about your moralizing.
[01:07:46.686 --> 01:07:48.687]  That I question public events that other people do.
[01:07:49.327 --> 01:07:54.510]  Hell, mainstream news is saying they think Maduro staged that attack and no drone shot missiles at him.
[01:07:55.751 --> 01:07:58.112]  Oh wow, AP, Reuters, Daily Mail.
[01:07:58.312 --> 01:07:59.212]  Wow, they're questioning.
[01:07:59.493 --> 01:08:00.613]  What if it turns out to be real?
[01:08:01.093 --> 01:08:02.114]  You don't care about the victims.
[01:08:02.714 --> 01:08:04.315]  No, we have to question events.
[01:08:05.456 --> 01:08:06.676]  Most of the time they're what they say.
[01:08:06.757 --> 01:08:07.397]  Sometimes they're not.
[01:08:09.805 --> 01:08:12.388]  They misrepresent what I say to build a straw man.
[01:08:12.628 --> 01:08:18.152]  They didn't have a thousand articles a day or more in every TV station I know of demonizing me for months for no reason.
[01:08:18.453 --> 01:08:19.534]  I'm not that important.
[01:08:21.495 --> 01:08:23.317]  They want to deplatform everyone.
[01:08:23.337 --> 01:08:24.978]  They've already done it 90 plus percent.
[01:08:25.679 --> 01:08:30.283]  There's graphs out showing it and Congress is sitting on its stupid moron ass.
[01:08:33.624 --> 01:08:37.388]  I don't care at the end of the day, except for my crew members and people about InfoWars.
[01:08:37.728 --> 01:08:41.451]  I've always said I'm giving this 110% until they wipe me out or we win.
[01:08:42.472 --> 01:08:55.744]  But if I get wiped out of the game, imagine you're in the end of the fourth quarter and you get, and you throw that touchdown pass, they take your knee out, you're already so exhausted they put the new quarterback in, you sit back and you watch everybody win in sudden death overtime.
[01:09:00.646 --> 01:09:02.266]  I've come to disrupt these people.
[01:09:02.326 --> 01:09:03.207]  I've come to stop them.
[01:09:03.627 --> 01:09:04.447]  That's what I'm here for.
[01:09:04.807 --> 01:09:06.047]  I'm not here to play patty cake.
[01:09:06.087 --> 01:09:06.848]  I'm not here to play games.
[01:09:07.108 --> 01:09:08.948]  But you read the danger of the headlines.
[01:09:09.288 --> 01:09:15.330]  Jones said Islamophobic things, bullied children, and anti-transphobic, or trans-whatever.
[01:09:16.470 --> 01:09:18.150]  And they don't even show you what I said.
[01:09:18.210 --> 01:09:25.892]  That's total Hollywood, Berkeley-speak, globalist-speak, Soviet-speak, EU-speak.
[01:09:27.332 --> 01:09:29.113]  Everybody hears, ooh, hate speech!
[01:09:30.071 --> 01:09:32.012]  We can't tell you what it was, it was so bad.
[01:09:32.572 --> 01:09:33.673]  Don't listen to it though.
[01:09:34.273 --> 01:09:39.356]  I believe they'd jump the shark if you take action and tell everybody you know about InfoWars.com forward slash show.
[01:09:39.936 --> 01:09:46.079]  And if people go check their spam filter, because most of those will block InfoWars emails to you, let the library tell people about it.
[01:09:46.139 --> 01:09:50.962]  At work, say, hey, regardless of what you think about Alex Jones, why don't you go hear for it yourself?
[01:09:51.042 --> 01:09:55.324]  And if they do hear, you know why they're panicking?
[01:09:56.145 --> 01:09:58.486]  They watch the live feeds from Berkeley and from
[01:10:00.885 --> 01:10:07.567]  The other areas that we went to this weekend with our crew were thousands of patriots from every race, color, and creed showed up, like the Portland Prayer Rally.
[01:10:08.528 --> 01:10:12.389]  And man, they saw tons of black people, and Hispanics, and Asians.
[01:10:13.129 --> 01:10:18.831]  And Antifa beat up a Hispanic man who has multiple, was it sclerosis or dystrophy?
[01:10:20.672 --> 01:10:22.292]  He was on a walker, he talks about it in the video.
[01:10:22.913 --> 01:10:23.793]  And they just beat him up.
[01:10:25.669 --> 01:10:31.934]  I mean, you look at the crazed, domesticated people, and they were almost all white, by the way.
[01:10:32.795 --> 01:10:38.399]  And then you look at this multiracial crowd wearing red, white, and blue, and it just scared the living daylights.
[01:10:38.459 --> 01:10:41.822]  And about a third of the people were wearing Infowars.com shirts.
[01:10:44.484 --> 01:10:48.788]  And if you look, most of our videos have already been taken down of it.
[01:10:49.869 --> 01:10:52.311]  But everybody, that's why I told everybody, download our videos.
[01:10:54.156 --> 01:10:55.076]  Before they take him down.
[01:10:55.096 --> 01:10:59.017]  And that's the next thing to say, oh, Jones himself is deplatformed.
[01:10:59.517 --> 01:11:03.318]  You can't, I told you this was coming, Jones himself, videos of him can't go up.
[01:11:03.358 --> 01:11:05.878]  And they've got algorithms of my voice to block it.
[01:11:07.798 --> 01:11:12.299]  So you're gonna have to make transcripts of what I've said as we go into this dark night, my friends.
[01:11:12.519 --> 01:11:14.160]  But we're gonna make it through the night together.
[01:11:15.600 --> 01:11:19.981]  So let me play for you what it is they don't want you to see.
[01:11:20.101 --> 01:11:20.861]  Why they're upset.
[01:11:21.261 --> 01:11:21.941]  What gets to them.
[01:11:23.151 --> 01:11:32.238]  This is really made for TV, but for radio, it's Trump, some of Trump's accomplishments, some of your accomplishments, and the country turning around, and why the globalists are so upset, because they've done this by design.
[01:11:32.498 --> 01:11:34.320]  When that comes out, it's over for them.
[01:11:34.340 --> 01:11:34.800]  Here it is.
[01:11:40.184 --> 01:11:44.547]  Nobody said it was going to be easy for us, that we will never be stopped.
[01:11:45.608 --> 01:11:50.172]  I will be the greatest jobs president that God ever created.
[01:11:52.179 --> 01:11:55.261]  Record low unemployment and a record high stock market.
[01:11:56.161 --> 01:11:57.922]  The Trump economy is red hot.
[01:12:01.764 --> 01:12:06.266]  Rocket man is on a suicide mission for himself and for his regime.
[01:12:06.526 --> 01:12:11.028]  They will be met with fire and fury like the world has never seen.
