[00:00:05.885 --> 00:00:08.086]  Hitler took the guns.
[01:05:48.379 --> 01:05:52.104]  Find out for yourself today at InfoWareStore.com what it can do for your family.
[01:05:52.104 --> 01:05:54.387]  And again, I want to thank you all for your support.
[01:05:54.387 --> 01:05:56.650]  You are funding the Information War in 2018.
[01:06:16.494 --> 01:06:23.059]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[01:06:23.059 --> 01:06:24.861]  It's Alex Jones.
[01:06:24.861 --> 01:06:27.703]  Alright, we're going to your phone calls right now.
[01:06:27.703 --> 01:06:35.889]  We're talking about the secret FISA memo, that is, secret exerted parts
[01:06:37.040 --> 01:06:47.794]  Out of reportedly multiple memos and the proof that Obama was directing illegal spying against the Trump campaign, president-elect, and right up until the time that the president was sworn in.
[01:06:49.710 --> 01:07:02.337]  We saw incredible hubris by Brennan, by Clapper, by Schumer, and others saying, oh, the intelligence agencies are going to get you, you're never going to make it into office, or you're going to be out very, very soon.
[01:07:02.337 --> 01:07:07.920]  And they've been all over TV saying, we're going to remove him in the next few months outside of impeachment.
[01:07:07.920 --> 01:07:11.362]  And Wolf Blitzer says to Brennan and to Clapper, well, how?
[01:07:11.362 --> 01:07:12.723]  They go, oh, extrajudicial.
[01:07:14.380 --> 01:07:23.842]  And then Phil Mudd goes on air two days later and says, the government's gonna kill this guy, President Trump.
[01:07:23.842 --> 01:07:28.723]  And then of course you saw Scalise shot in the attempt to take out the Republican Freedom Caucus leadership.
[01:07:28.723 --> 01:07:30.363]  So these guys aren't playing around.
[01:07:30.363 --> 01:07:36.785]  And I told you back when all that happened last year, this is the stay behind networks at the FBI.
[01:07:38.775 --> 01:07:45.320]  At the CIA, at the NSA, at the Justice Department, and other agencies.
[01:07:45.320 --> 01:07:47.902]  They were saying this in the Washington Post, New York Times.
[01:07:47.902 --> 01:07:49.704]  Hold on, he'll be gone in a few months.
[01:07:49.704 --> 01:07:50.905]  Don't follow orders.
[01:07:50.905 --> 01:07:52.786]  It's your duty to be mutinous.
[01:07:52.786 --> 01:07:53.647]  Sabotage!
[01:07:53.647 --> 01:07:56.469]  I mean, they were in the news.
[01:07:56.469 --> 01:07:59.251]  And so, they got more shrill saying, we're going to kill you.
[01:07:59.251 --> 01:08:00.933]  You're going to be out by November.
[01:08:00.933 --> 01:08:02.274]  You're going to be out by December.
[01:08:04.209 --> 01:08:09.674]  Because they knew their stay-behind networks were on burner phones by then.
[01:08:09.674 --> 01:08:13.898]  They were meeting secretly already for six, seven, eight months.
[01:08:13.898 --> 01:08:16.840]  Once the president had gotten into office, they were scared.
[01:08:16.840 --> 01:08:19.823]  They were being watched now.
[01:08:19.823 --> 01:08:20.263]  Oh, yes.
[01:08:22.256 --> 01:08:28.400]  So, they had to send McCabe out to go, that piece of crap will be gone in a few weeks, we're gonna kill him!
[01:08:28.400 --> 01:08:32.103]  And have them all go on TV and say, he's dead, he'll be gone.
[01:08:32.103 --> 01:08:41.008]  I told you, that was desperate, desperate disinfo to get their criminals to continue to man the post.
[01:08:41.008 --> 01:08:46.232]  And we now have the emails, we now have the text messages, Congress has them, they're gonna release them.
[01:08:46.232 --> 01:08:50.775]  These five congressmen, every time they say they got this, they release it a week later.
[01:08:52.694 --> 01:08:58.859]  And now they're saying, we've got FBI agents that blew the whistle to us, of course that probably happened a year ago, or more.
[01:08:58.859 --> 01:09:13.070]  We've got all the documents, we've got all the emails, we've got everything that this whole house of cards is coming down, that they're scared, that they're using burner phones, that they're hiding out.
[01:09:13.070 --> 01:09:16.333]  You don't think Congress wanted to bring all this out if they didn't have to, right?
[01:09:16.957 --> 01:09:19.698]  You think they wanted to really damage the FBI this much?
[01:09:19.698 --> 01:09:22.239]  You think they really wanted to bring it to this point?
[01:09:22.239 --> 01:09:23.360]  You think Trump wanted that?
[01:09:23.360 --> 01:09:24.940]  This isn't good for the stock market.
[01:09:24.940 --> 01:09:26.821]  It's not good for the economy.
[01:09:26.821 --> 01:09:28.742]  It's good, it'd be good if Hillary goes to prison.
[01:09:28.742 --> 01:09:45.229]  Some people need to go to prison, but this is gonna be huge now, because they pushed it all the way, and so now they're just watching the Democrats continue to perjure themselves, and they brought in McCabe, and they brought in Comey, and they brought in all these people, and they all perjured themselves,
[01:09:46.499 --> 01:09:59.744]  And they've got them all dead to rights, and the congressman would look right at Rosenstein, who wouldn't answer questions, but he perjured himself, and say, I kind of feel like this is how it happened.
[01:09:59.744 --> 01:10:02.005]  And then, of course, it's exactly how it happened.
[01:10:02.005 --> 01:10:06.187]  I kind of feel like, Rosenstein, this is how it might have happened.
[01:10:06.187 --> 01:10:15.971]  And Rosenstein sat there and squirmed around in his chair and wouldn't answer anything but with bizarre, sideways activities.
[01:10:17.278 --> 01:10:20.760]  Talking out of both sides of his mouth because they don't know what to do.
[01:10:20.760 --> 01:10:25.323]  So the $64 trillion question is also your answer.
[01:10:28.871 --> 01:10:34.017]  Program A was to stop the nomination and then steal the election or stop the president from being seated.
[01:10:34.017 --> 01:10:37.941]  Program B was the whole fake Russiagate and try to get some dirt.
[01:10:37.941 --> 01:10:41.245]  That didn't work, so now Plan C is obstruction.
[01:10:41.245 --> 01:10:45.329]  And then that kind of moves on into 25th Amendment.
[01:10:45.329 --> 01:10:47.592]  You're a lunatic, but that's gone nowhere.
[01:10:47.592 --> 01:10:48.332]  So, Plan D...
[01:10:50.580 --> 01:10:58.225]  Is kill the president, which they've already been kind of trying to get to happen behind the scenes, and trying to kill the congressman to send a message.
[01:10:58.225 --> 01:10:59.365]  I mean, I'll give it to them.
[01:10:59.365 --> 01:11:01.807]  They're some really evil people.
[01:11:01.807 --> 01:11:03.788]  They've already done a lot.
[01:11:03.788 --> 01:11:05.569]  I'm surprised they're walking around right now.
[01:11:05.569 --> 01:11:10.852]  I'll tell you, if I was the president, I guess I'd do what he's done.
[01:11:10.852 --> 01:11:13.694]  He's given them a long game, letting them hang themselves, but it's dangerous.
[01:11:13.694 --> 01:11:16.756]  Because you know they've got people in the White House.
[01:11:16.756 --> 01:11:18.277]  You know they've got people in the Secret Service.
[01:11:19.082 --> 01:11:20.463]  So folks should be praying for the President.
[01:11:20.463 --> 01:11:23.666]  This is beyond a thriller, beyond a movie, beyond anything.
[01:11:23.666 --> 01:11:27.488]  This is sudden death overtime for this country right now with these people.
[01:11:27.488 --> 01:11:36.095]  Because let me tell you, if they're able to kill the President, or able to get him out of there, they have said they're going out for everybody.
[01:11:36.095 --> 01:11:38.237]  And that's going to cause a civil war right there.
[01:11:38.237 --> 01:11:47.524]  I mean, they've had their butts handed to them on every crime they've committed, every dirty trick they've played, every scam they've run, every fraud they've engaged in.
[01:11:50.476 --> 01:12:00.580]  Everything they've pulled, so far, has blown up.
[01:12:00.580 --> 01:12:03.321]  So I'll ask you again, what are they going to pull now?
[01:12:03.321 --> 01:12:09.463]  Because now they're cornered like a bank robber that the cops run in, so he grabs a kid and says, I got a hostage!
[01:12:09.463 --> 01:12:10.503]  I'll blow his head off!
[01:12:10.503 --> 01:12:12.604]  I'll blow his head off!
[01:12:12.604 --> 01:12:17.446]  And that's Comey, and that's Mueller, and that's all of them.
[01:12:17.446 --> 01:12:19.947]  And oh, and then there's this, I forgot this, guys get the audio.
[01:12:21.232 --> 01:12:23.053]  I didn't see her on the list.
[01:12:23.053 --> 01:12:23.973]  CNN's got it.
[01:12:23.973 --> 01:12:26.654]  It's all over.
[01:12:26.654 --> 01:12:27.354]  It's audio.
[01:12:27.354 --> 01:12:30.295]  Trump says he will go under oath with Comey.
[01:12:30.295 --> 01:12:33.316]  He says, oh, I'll love to meet with him the next two to three weeks.
[01:12:33.316 --> 01:12:34.436]  And I love to go under oath.
[01:12:34.436 --> 01:12:37.477]  But you know, Hillary didn't go under oath when she met with Comey.
[01:12:37.477 --> 01:12:37.937]  No, no.
[01:12:37.937 --> 01:12:42.218]  Comey already gave her a letter absolving her, saying you're not under criminal investigation.
[01:12:42.218 --> 01:12:45.499]  But we're going to go to the media and say you are in the next six months.
[01:12:45.499 --> 01:12:46.740]  But it's all fake.
[01:12:46.740 --> 01:12:49.100]  And you're going to get to meet with Strzok and everybody.
[01:12:49.100 --> 01:12:50.581]  And it's not a real investigation.
[01:12:51.593 --> 01:12:53.435]  She wasn't under oath.
[01:12:53.435 --> 01:12:57.899]  And tarmac meetings with Bill Clinton, the Attorney General, on and on and on.
[01:12:57.899 --> 01:13:00.842]  So Trump says, oh, I'll meet with him and I'll go under oath.
[01:13:00.842 --> 01:13:03.765]  And I've said this a hundred times.
[01:13:03.765 --> 01:13:11.312]  Mr. President, the only way this is going to work, and you're all, literally, he's always a couple steps ahead of me, so I'm guessing this is what he's going to do.
[01:13:12.642 --> 01:13:14.342]  Have live cameras in there.
[01:13:14.342 --> 01:13:27.026]  Bring that crook Mueller in, that arrogant SOB, and set down that monster in front of you and say, all right, you got five minutes, buddy boy.
[01:13:27.026 --> 01:13:29.226]  And then I'm going to do the talking.
[01:13:29.226 --> 01:13:36.128]  And then lay into him with his whole history and Uranium One and the criminal activity and McCabe and everything.
[01:13:36.128 --> 01:13:42.050]  And it will be the giant nail in their fraud you've ever seen in your life.
[01:13:44.226 --> 01:13:47.788]  It will be beyond devastating.
[01:13:47.788 --> 01:13:55.612]  And I said that a week ago, and a little bird told me that Trump is intending to just say, come on in.
[01:13:55.612 --> 01:14:01.435]  It's under oath, and he's gonna sit right there with Mueller in the ultimate stare down.
[01:14:01.435 --> 01:14:02.456]  I should have led the show with this.
[01:14:02.456 --> 01:14:06.738]  There's just so much news.
[01:14:06.738 --> 01:14:10.860]  The ultimate showdown.
[01:14:10.860 --> 01:14:12.581]  And then he's gonna chew him out.
[01:14:14.724 --> 01:14:23.227]  And say, in case you don't know, former director, this person, this person, this email, this document, what do you say about that?
[01:14:23.227 --> 01:14:25.148]  What do you say about Hillary meeting secret?
[01:14:25.148 --> 01:14:26.148]  What do you say about all that?
[01:14:26.148 --> 01:14:27.869]  What do you say about not being under oath?
[01:14:27.869 --> 01:14:33.911]  What do you say about you guys saying you weren't surveilling us, but you were?
[01:14:33.911 --> 01:14:40.874]  Because when Mueller sits down in front of the president in the next three weeks, it's after they've timed all this out with the Freedom Caucus.
[01:14:42.130 --> 01:14:46.352]  When he... I'll be surprised if Mueller even goes.
[01:14:46.352 --> 01:14:51.574]  Because you talk about walking into the dragon's den, the lion's den.
[01:14:51.574 --> 01:14:53.955]  I mean, you are walking in there, buddy.
[01:14:53.955 --> 01:14:54.555]  Here's the president.
[01:14:57.433 --> 01:15:00.275]  I'm looking forward to it, actually.
[01:15:00.275 --> 01:15:03.517]  There's been no collusion whatsoever.
[01:15:03.517 --> 01:15:05.819]  There's no obstruction whatsoever.
[01:15:05.819 --> 01:15:07.019]  And I'm looking forward to it.
[01:15:07.019 --> 01:15:12.363]  I do worry when I look at all of the things that you people don't report about with what's happening.
[01:15:12.363 --> 01:15:16.326]  If you take a look at the five months worth of missing texts
[01:15:17.006 --> 01:15:19.106]  That's a lot of missing texts.
[01:15:19.106 --> 01:15:21.727]  And as I said yesterday, that's primetime.
[01:15:21.727 --> 01:15:25.328]  So you do sort of look at that and say, what's going on?
[01:15:25.328 --> 01:15:32.129]  You do look at certain texts where they talk about insurance policies or insurance, where they say the kinds of things they're saying.
[01:15:32.129 --> 01:15:33.490]  You've got to be concerned.
[01:15:33.490 --> 01:15:35.130]  But I would love to do that.
[01:15:35.130 --> 01:15:36.450]  I'd like to do it as soon as possible.
[01:15:36.450 --> 01:15:37.611]  Good luck, everybody.
[01:15:37.611 --> 01:15:38.871]  Do you have a date set?
[01:15:38.871 --> 01:15:39.691]  So here's the story.
[01:15:39.691 --> 01:15:40.811]  Do you have a date set?
[01:15:40.811 --> 01:15:41.311]  I don't know.
[01:15:41.311 --> 01:15:44.172]  No, I guess you're talking about two or three weeks, but I would love to do it.
[01:15:44.853 --> 01:15:51.360]  You know, again, I have to say, subject to my lawyers and all of that, but I would love to do it.
[01:15:51.360 --> 01:15:53.722]  We'll be right back and I'm going to your call, but then he finishes up.
[01:15:53.722 --> 01:15:55.665]  He says, oh yeah, I'll go under oath.
[01:15:55.665 --> 01:15:56.606]  But Hillary didn't.
[01:15:57.406 --> 01:16:03.250]  Here's a special message for those of you who owe the IRS at least $10,000 or more in back taxes.
[01:16:03.250 --> 01:16:09.394]  The IRS has special programs in place that could eliminate or reduce your tax debt by thousands of dollars.
[01:16:09.394 --> 01:16:12.596]  Call the Federal Tax Management Helpline that has been set up for you.
[01:16:12.596 --> 01:16:14.397]  800-503-8625.
[01:16:14.397 --> 01:16:19.100]  Stop the wage garnishments, levies, and tax liens now.
[01:16:19.100 --> 01:16:23.503]  Once you've qualified and enrolled, the IRS will stop all the collection activities against you.
[01:16:23.703 --> 01:16:29.927]  These unique programs have been allocated to help the economy and significantly reduce or eliminate your tax burden.
[01:16:29.927 --> 01:16:34.730]  The IRS is currently accepting reduced settlements and other favorable programs.
[01:16:34.730 --> 01:16:39.333]  You may qualify for substantial savings, so get the help you need.
[01:16:39.333 --> 01:16:42.995]  If you owe more than $10,000 in taxes, call for free information.
[01:16:43.015 --> 01:16:43.395]  We're good.
[01:16:59.051 --> 01:17:00.852]  Could your house go into foreclosure?
[01:17:00.852 --> 01:17:02.613]  Are you behind on your mortgage payments?
[01:17:02.613 --> 01:17:05.935]  Does it seem like the bank has no interest in helping you save your home?
[01:17:05.935 --> 01:17:08.217]  And you feel like you have nowhere to turn for help?
[01:17:08.217 --> 01:17:10.098]  Then we have good news for you!
[01:17:10.098 --> 01:17:15.742]  Foreclosure Protection Services can help save your home as they specialize in foreclosure assistance.
[01:17:15.742 --> 01:17:17.183]  That's all they do.
[01:17:17.183 --> 01:17:27.249]  If you're behind on your mortgage payments, being threatened with foreclosure, have been denied a loan modification, or been the victim of a predatory loan, it's critical that you call Foreclosure Protection Services now
[01:17:27.329 --> 01:17:27.709]  We're good to go!
[01:17:58.464 --> 01:18:00.347]  Mike in Arizona, you're on the air worldwide.
[01:18:00.347 --> 01:18:01.568]  Go ahead.
[01:18:01.568 --> 01:18:03.511]  Oh Alex, you can rant any day of the week.
[01:18:03.511 --> 01:18:12.904]  Thank you sir for doing what you do and being a patriot and doing your best to save America and encouraging us as fellow patriots to do that in our local areas as well.
[01:18:13.699 --> 01:18:20.484]  And as a long-time InfoWars listener, I want to say thanks for the awesome BrainForce AnthroPlex.
[01:18:20.484 --> 01:18:22.726]  My girlfriend would like to say thanks for the AnthroPlex, too.
[01:18:22.726 --> 01:18:23.786]  Thank you.
[01:18:23.786 --> 01:18:26.288]  I use the BioTrue Selenium, the Super Blue toothpaste.
[01:18:26.288 --> 01:18:30.591]  For you folks who aren't big normal toothpaste fans, the Super Blue is awesome.
[01:18:30.591 --> 01:18:33.614]  And thank you so much, Alex, for the InfoWars Life products.
[01:18:33.614 --> 01:18:34.934]  They are quality.
[01:18:34.934 --> 01:18:36.676]  I can't wait to get some more.
[01:18:36.676 --> 01:18:39.418]  And thank you so much for doing that for us to keep us healthy.
[01:18:39.418 --> 01:18:39.698]  Absolutely.
[01:18:40.619 --> 01:18:53.534]  Because then we could all, as educated patriots, help our other countrymen and women understand that there's bigger problems going on, and if we can get our houses in order and be good to each other and ourselves, we can take our country back.
[01:18:58.283 --> 01:19:01.705]  Introducing CellForce by InfoWars Life.
[01:19:01.705 --> 01:19:05.667]  CellForce focuses on mitochondria efficiency and protection.
[01:19:05.667 --> 01:19:09.009]  Mitochondria produce over 95% of your energy.
[01:19:09.009 --> 01:19:11.550]  They are your body's cellular engines.
[01:19:11.550 --> 01:19:16.273]  CellForce helps promote your cellular energy production by supporting mitochondria.
[01:19:16.273 --> 01:19:18.614]  Much like a cellular engine overhaul.
[01:19:18.614 --> 01:19:25.018]  Because when your mitochondria don't run at 100% efficiency, then they start producing reactive oxygen species.
[01:19:25.638 --> 01:19:33.821]  Top scientists agree that aging is most likely caused by cellular damage resulting from these reactive oxygen species.
[01:19:33.821 --> 01:19:38.882]  The antioxidants found in cell force are some of the most powerful available on the market.
[01:19:38.882 --> 01:19:45.865]  The stronger the antioxidant, the better its ability to scavenge for these reactive oxygen species and other free radicals.
[01:19:46.505 --> 01:19:51.430]  Boost, protect, and adapt with Cell Force from InfoWarsLife.
[01:19:51.430 --> 01:19:54.372]  Head to InfoWarsLife.com or call 1-888-253-3139.
[01:19:54.372 --> 01:19:55.994]  You're listening to the Alex Jones Show!
[01:20:18.567 --> 01:20:23.030]  Alex Jones, the cure to fake news.
[01:20:23.030 --> 01:20:36.900]  Coming to you live from Austin, Texas.
[01:20:36.900 --> 01:20:41.684]  Alright, let's finish up with the President since I was starting to get into the audio of him in the Oval Office yesterday.
[01:20:41.684 --> 01:20:44.486]  Telling reporters, yeah, I'll
[01:20:45.563 --> 01:20:47.204]  Meet with Mueller.
[01:20:47.204 --> 01:20:49.665]  And I'll go under oath, unlike Hillary Clinton did.
[01:20:49.665 --> 01:20:51.646]  But it was worse than that.
[01:20:51.646 --> 01:20:53.567]  They told her, you're not under investigation.
[01:20:53.567 --> 01:20:54.908]  But we're going to say you are.
[01:20:54.908 --> 01:20:55.728]  We're going to stage it.
[01:20:55.728 --> 01:20:56.529]  You won't be under oath.
[01:20:56.529 --> 01:20:57.149]  That came out.
[01:20:57.149 --> 01:21:01.651]  They gave her a memo saying, you're not under investigation.
[01:21:01.651 --> 01:21:03.032]  We're not coming after you.
[01:21:03.032 --> 01:21:05.053]  You're not under oath before she do it.
[01:21:05.053 --> 01:21:06.634]  Oh, but Mueller wants him under oath.
[01:21:06.634 --> 01:21:10.396]  So imagine if Trump brings him in, live video cameras.
[01:21:11.892 --> 01:21:15.093]  Let's go ahead and play this clip then I'm going to your calls.
[01:21:35.111 --> 01:21:37.212]  You mean like Hillary did it under, who said that?
[01:21:37.212 --> 01:21:38.512]  I said that.
[01:21:38.512 --> 01:21:39.973]  Did you do it under Rose?
[01:21:39.973 --> 01:21:40.473]  Oh, you said it.
[01:21:40.473 --> 01:21:41.413]  You say a lot.
[01:21:41.413 --> 01:21:42.554]  Did Hillary do it under Rose?
[01:21:42.554 --> 01:21:44.154]  I have no idea, but I'm not asking you.
[01:21:44.154 --> 01:21:45.215]  I think you have an idea.
[01:21:45.215 --> 01:21:46.695]  Don't you have an idea?
[01:21:46.695 --> 01:21:48.056]  Wait, wait, wait.
[01:21:48.056 --> 01:21:49.136]  Do you not have an idea?
[01:21:49.136 --> 01:21:51.157]  Do you really not have an idea?
[01:21:51.157 --> 01:21:52.617]  I'll give you an idea.
[01:21:52.617 --> 01:21:55.398]  She didn't do it under Rose, but I would do it under Rose.
[01:21:55.398 --> 01:21:58.980]  Listen, I would do it, and you know she didn't do it under Rose, right?
[01:21:58.980 --> 01:22:00.500]  She would do it under Rose.
[01:22:00.500 --> 01:22:02.061]  If you didn't know about Hillary, then you're not.
[01:22:02.541 --> 01:22:03.521]  Much of a reporter.
[01:22:03.521 --> 01:22:07.323]  To reach a higher standard, you would do it under oath.
[01:22:07.323 --> 01:22:08.683]  Oh, I would do it under oath, yeah.
[01:22:08.683 --> 01:22:09.624]  Absolutely.
[01:22:09.624 --> 01:22:11.004]  Do you trust the FBI?
[01:22:11.004 --> 01:22:11.764]  Well, we're gonna see.
[01:22:11.764 --> 01:22:18.027]  I mean, I am very disturbed, as is the general, as is everybody else that is intelligent.
[01:22:18.027 --> 01:22:21.368]  When you look at five months, this is
[01:22:22.308 --> 01:22:24.830]  The late, great Rosemary Woods, right?
[01:22:24.830 --> 01:22:26.692]  With a step, right?
[01:22:26.692 --> 01:22:28.353]  This is a large-scale version.
[01:22:28.353 --> 01:22:29.454]  18 minutes.
[01:22:29.454 --> 01:22:32.056]  That was 18 minutes, this is five months.
[01:22:32.056 --> 01:22:36.480]  They say it's 50,000 texts, and it's primetime.
[01:22:36.480 --> 01:22:37.741]  That's disturbing.
[01:22:37.741 --> 01:22:38.382]  Should McCabe go?
[01:22:38.382 --> 01:22:39.663]  Well, McCabe got more than $500,000.
[01:22:47.069 --> 01:22:51.011]  From essentially Hillary Clinton, and is he investigating Hillary Clinton?
[01:22:51.011 --> 01:22:51.592]  So should he go?
[01:22:51.592 --> 01:22:56.995]  Do you remember, did anybody hear many of my speeches where I talked about McCabe?
[01:22:56.995 --> 01:22:58.636]  He was the star of my speech.
[01:22:58.636 --> 01:23:00.157]  This isn't now.
[01:23:00.157 --> 01:23:08.121]  And I said a man who was more or less in charge of her, got, the wife's got $500,000 from Terry.
[01:23:08.121 --> 01:23:10.142]  Now Terry is Hillary.
[01:23:10.142 --> 01:23:10.702]  Mm-hm.
[01:23:10.702 --> 01:23:14.425]  And yeah, I mean- Do you regret having him as your acting FBI director then?
[01:23:14.425 --> 01:23:14.825]  You know what?
[01:23:15.549 --> 01:23:17.109]  I keep out of it.
[01:23:17.109 --> 01:23:18.330]  You'd find that hard to believe.
[01:23:18.330 --> 01:23:19.590]  I keep out of it.
[01:23:19.590 --> 01:23:21.130]  That's the way it fell.
[01:23:21.130 --> 01:23:21.870]  He's been there.
[01:23:21.870 --> 01:23:22.951]  It's one of those things.
[01:23:22.951 --> 01:23:32.533]  But he was the star of many of my speeches because he got from five to 700,000, whatever the number was, got that money for the wife.
[01:23:32.533 --> 01:23:35.673]  And you know, in Virginia, it's very interesting.
[01:23:35.673 --> 01:23:38.274]  Wait, in Virginia, you don't have to spend the money.
[01:23:39.195 --> 01:23:42.119]  So, I never checked as to whether or not they spent the money on the campaign.
[01:23:42.119 --> 01:23:44.062]  How much of the money did he spend on the campaign?
[01:23:44.062 --> 01:23:45.524]  Do you know?
[01:23:45.524 --> 01:23:46.445]  How much was it?
[01:23:46.445 --> 01:23:47.206]  Wait.
[01:23:47.206 --> 01:23:48.528]  How much of the money was spent?
[01:23:48.528 --> 01:23:49.930]  Did you ask him to vote for him?
[01:23:54.517 --> 01:23:55.718]  I don't think so, no.
[01:23:55.718 --> 01:23:56.358]  You don't think you did?
[01:23:56.358 --> 01:23:57.099]  No, I don't think I did.
[01:23:57.099 --> 01:23:57.859]  You did not.
[01:23:57.859 --> 01:24:03.303]  I don't know what's the big deal with that, because I would ask you, who did you vote for?
[01:24:03.303 --> 01:24:06.045]  I don't think it's a big deal, but I don't remember that.
[01:24:06.045 --> 01:24:08.607]  I saw that this morning, I don't remember asking him that question.
[01:24:08.607 --> 01:24:10.088]  Is it possible you did?
[01:24:10.088 --> 01:24:12.269]  I don't remember asking him that question.
[01:24:12.269 --> 01:24:17.273]  I think it's also a very unimportant question, but I don't remember asking him that.
[01:24:17.273 --> 01:24:21.456]  Now, that's bombshell audio, and imagine what else CNN decided to not give you.
[01:24:22.731 --> 01:24:24.813]  Okay, that's what they allowed you to hear.
[01:24:24.813 --> 01:24:33.482]  By the time it was on CNN last night, I was watching Wolf Blitzer just to tune in for like 10 minutes, and I go, that sounds edited.
[01:24:33.482 --> 01:24:39.268]  That's why I went and searched out the audio last night, because he was like going, I'll go under oath, it's prime time.
[01:24:39.268 --> 01:24:40.850]  And I went, that doesn't make sense.
[01:24:40.850 --> 01:24:45.815]  They were literally editing stuff he says one minute in with another minute to make him sound crazy.
[01:24:46.829 --> 01:24:53.090]  Now, CNN's website at least had a limited-edit, three-minute audio chunk we just played.
[01:24:53.090 --> 01:24:57.271]  But see, at every level, they're manipulating, they're lying.
[01:24:57.271 --> 01:24:58.611]  And then look at this headline.
[01:24:58.611 --> 01:25:01.632]  They made it, oh, Trump will go under oath.
[01:25:01.632 --> 01:25:02.832]  You know, like he's a criminal.
[01:25:02.832 --> 01:25:12.794]  When in the real news there is that the president's pointing out that McCabe got $500,000 from Hillary, which is on record, and then of course you've got
[01:25:15.083 --> 01:25:21.048]  The head of the operation of the Justice Department transferring millions of dollars to his wife at Fusion GPS.
[01:25:21.048 --> 01:25:22.129]  I mean, this is crazy.
[01:25:22.129 --> 01:25:22.950]  Okay, enough of that.
[01:25:22.950 --> 01:25:24.051]  I'm going to your calls now.
[01:25:24.051 --> 01:25:34.199]  I just forgotten about that bombshell, and it was very, very important to actually hear from the president before he got on an airplane and flew to Switzerland, where he's fighting for U.S.
[01:25:34.199 --> 01:25:36.001]  interest right now.
[01:25:36.001 --> 01:25:41.606]  Jason, Black Thumper, Kevin, Dan, Candace, Mitch, John, Mark, Brendan,
[01:25:44.244 --> 01:25:46.967]  We need to go to all your calls here.
[01:25:46.967 --> 01:25:53.914]  I'll probably get to one or two in this little segment, but let's go ahead and go to Black Thumper calling from Washington.
[01:25:53.914 --> 01:25:56.257]  Go ahead, Black Thumper.
[01:25:56.257 --> 01:25:57.859]  Hey, it's Black Thumper, Alex.
[01:25:57.859 --> 01:25:58.760]  Great to be on with you.
[01:25:58.760 --> 01:26:02.644]  I just wanted to say that as damning as this
[01:26:03.806 --> 01:26:04.247]  No, I don't.
[01:26:23.231 --> 01:26:25.854]  By the way, Black Thumper is kind of a new Disney movie.
[01:26:25.854 --> 01:26:28.136]  Cute little black rabbit, that'd be cute.
[01:26:28.136 --> 01:26:31.578]  I apologize that the monitor is so far away and the bright light looks like Thumper.
[01:26:31.578 --> 01:26:32.599]  It is Trumper.
[01:26:32.599 --> 01:26:37.484]  Look, everybody's pointed that out thousands of times about Sessions, and he's got to be compromised.
[01:26:37.484 --> 01:26:38.665]  Everybody agrees.
[01:26:38.665 --> 01:26:42.648]  Why in the world would he go along with McCabe to be the new FBI director?
[01:26:42.648 --> 01:26:45.150]  Rosenstein, this whole rogue group.
[01:26:45.150 --> 01:26:46.751]  It's clear that he's been intimidated.
[01:26:47.532 --> 01:26:54.077]  Who is doing a good job is the Inspector General of the Justice Department, and that's where the only sunshine's been coming from.
[01:26:54.077 --> 01:26:56.639]  What do you think's going on?
[01:26:56.639 --> 01:26:56.959]  Yeah.
[01:26:56.959 --> 01:26:59.621]  Alright, your phone's breaking up.
[01:26:59.621 --> 01:27:00.962]  I appreciate your call.
[01:27:00.962 --> 01:27:02.723]  Let's go ahead and go to Jason in Florida.
[01:27:02.723 --> 01:27:03.744]  Jason, you're on the air.
[01:27:03.744 --> 01:27:04.885]  Welcome.
[01:27:04.885 --> 01:27:05.445]  Hey, Alex.
[01:27:05.445 --> 01:27:06.426]  Love your show.
[01:27:06.426 --> 01:27:06.726]  Thank you.
[01:27:06.726 --> 01:27:07.707]  Go ahead.
[01:27:07.707 --> 01:27:11.890]  Hey, I wonder if you saw the latest post by QAnon?
[01:27:11.890 --> 01:27:13.932]  I guess it was two, three days ago.
[01:27:13.932 --> 01:27:15.513]  He said something to the effect that
[01:27:16.522 --> 01:27:20.843]  Missing text may have something to do with an assassination plot.
[01:27:20.843 --> 01:27:44.470]  And, um, I got one more point, too, about, I've been, uh, been in there 4chan probably the past two, three months, and, boy, there's a lot of criticism of you on there, and, uh, most of it centers around the Israel haters, of course, and, uh, I just thought maybe if you could spend a little more time, uh, debunking the Israel runs of the world
[01:27:45.760 --> 01:27:46.580]  B.S.
[01:27:46.580 --> 01:27:49.182]  You might be able to rope some of these guys in that are on there.
[01:27:49.182 --> 01:27:54.084]  They're pretty fanatical, and I don't know if some of them are even that serious about it.
[01:27:54.084 --> 01:27:55.925]  They might just be disinformation.
[01:27:55.925 --> 01:27:56.885]  Yeah, look, exactly.
[01:27:56.885 --> 01:28:02.127]  Most of that's bots and sock puppets and Southern Poverty Law Center and ADL people.
[01:28:02.127 --> 01:28:07.730]  I mean, they admit half the folks at one of those Klan rallies or whatever, ADL or Southern Poverty Law Center, or anti-fug.
[01:28:08.590 --> 01:28:09.151]  We're good to go.
[01:28:23.527 --> 01:28:33.914]  Our story was on DrudgeReport.com yesterday, actually dealing with the reports that that is some of what is in the secret text that Congress has that we've not seen.
[01:28:33.914 --> 01:28:37.896]  Some of these thousands and thousands of texts that is that planned report.
