[00:00:00.089 --> 00:00:02.174]  Beijing War on Corruption.
[00:24:54.190 --> 00:25:00.733]  I mean, I turn on television, I walk into a restaurant, it's the family with the 12 kids, and how bad Christians are.
[00:25:00.953 --> 00:25:02.753]  Christians, Christians, Christians, homeschoolers, homeschoolers.
[00:25:03.133 --> 00:25:08.115]  But then, I see on the news, oh look, poor Sudanese, they're being sold into slavery.
[00:25:08.655 --> 00:25:10.556]  Oh, since Libya is a failed state.
[00:25:10.856 --> 00:25:14.017]  No discussion of Anderson Cooper, CNN, everyone's cheerleading.
[00:25:15.305 --> 00:25:16.766]  Qaddafi, who'd been working with the U.S.
[00:25:16.786 --> 00:25:37.899]  for a decade, he'd invested all his money with us, he'd stopped being a terrorist, he'd built all this infrastructure, he was helping Africa, Obama double-crossed him, let him take over, Hillary went and said, I came, I saw, he died, they ruined the country, and you've got people from all over Southern Sudan, Central Sudan, Eastern, Niger,
[00:25:39.005 --> 00:25:45.467]  Algeria going up into Libya being promised they can get to Europe and instead they get sold into slavery by Muslims.
[00:25:45.787 --> 00:25:55.051]  Then they use the pain of the public seeing these poor people and they go, oh they're migrants, we've got to let more in.
[00:25:55.931 --> 00:25:57.092]  Or they'll be put into slavery.
[00:25:57.252 --> 00:26:11.084]  They're coming up out of Central Africa and out of Eastern Africa because they got kidnapped in Islamic slave trade of Boko Haram that's gone all the way to the west into Nigeria and is threatening to take the entire country!
[00:26:11.884 --> 00:26:17.149]  There's a giant Islamic invasion that Obama and his cousin Odinga run out of Kenya.
[00:26:17.189 --> 00:26:18.070]  This is all on record.
[00:26:19.010 --> 00:26:20.792]  Muslim Brotherhood, all of it, out of Egypt.
[00:26:21.943 --> 00:26:24.284]  We say, we the U.S.
[00:26:24.324 --> 00:26:29.165]  under Obama overthrew our allies in Egypt and they blew up hundreds of churches and killed tens of thousands.
[00:26:30.446 --> 00:26:41.429]  Oh, but James Franco once, his girlfriend movie star said he once aggressively shoved her head down in a car because she wasn't giving him good enough of a fellatio.
[00:26:42.378 --> 00:26:43.159]  Okay, he's a punk.
[00:26:43.259 --> 00:26:43.959]  Punch him in the nose.
[00:26:44.199 --> 00:26:45.760]  Call your daddy or brother and have him kick his ass.
[00:26:45.780 --> 00:26:46.821]  That's what you're supposed to do.
[00:26:47.141 --> 00:26:49.082]  The point is, oh, but see, you don't have a daddy.
[00:26:49.102 --> 00:26:49.983]  You're not supposed to have a family.
[00:26:50.263 --> 00:26:51.544]  You've got the state, don't you?
[00:26:52.445 --> 00:27:07.835]  But the very state that does all this helps the Islamicist run these massive operations and go in and kidnap black people from all over Africa as far south and west as Nigeria.
[00:27:08.575 --> 00:27:10.957]  And CNN has maps showing all of this.
[00:27:13.897 --> 00:27:15.798]  And, but does it tell you they're Muslims?
[00:27:15.818 --> 00:27:16.439]  They're Muslims!
[00:27:16.459 --> 00:27:17.059]  They're Muslims!
[00:27:17.280 --> 00:27:17.920]  They're Muslims!
[00:27:18.460 --> 00:27:19.721]  It's Muslims doing it!
[00:27:21.323 --> 00:27:21.743]  Libya.
[00:27:22.023 --> 00:27:23.684]  Slave footage sparks outrage.
[00:27:23.724 --> 00:27:24.325]  BBC.
[00:27:24.965 --> 00:27:30.429]  And if you dig deep enough, you'll finally find ISIS, but remember Obama told us ISIS is not Islam.
[00:27:30.910 --> 00:27:33.932]  Power is waning, but its child slave trade is booming!
[00:27:37.122 --> 00:27:38.723]  A Yazidi captive's tale.
[00:27:39.183 --> 00:27:40.844]  Sold by ISIS as a sex slave.
[00:27:41.264 --> 00:27:42.785]  Some little girls as young as five.
[00:27:43.245 --> 00:27:47.547]  ISIS captures 7,000 women and kids to sell them on social media as sex slaves.
[00:27:51.789 --> 00:27:56.932]  Meanwhile, here's what the children in the California torture house did to cope with the abuse.
[00:27:57.212 --> 00:27:57.792]  Okay, great.
[00:27:58.372 --> 00:27:58.873]  It's terrible.
[00:27:59.613 --> 00:28:02.895]  Mentally ill, crazy people that were doing this.
[00:28:02.935 --> 00:28:03.735]  Were they organized?
[00:28:03.755 --> 00:28:05.156]  Were they invading half of Africa?
[00:28:05.176 --> 00:28:05.216]  No!
[00:28:06.693 --> 00:28:08.514]  And fine, tell us they were Christians, okay?
[00:28:08.714 --> 00:28:12.295]  You got some bad so-called mentally ill people that call themselves Christians.
[00:28:12.555 --> 00:28:17.277]  They're not organized, taken over half the Middle East and other areas and backed by our government.
[00:28:17.777 --> 00:28:18.437]  That's the problem.
[00:28:18.497 --> 00:28:23.939]  And Trump comes in and ends that practice, to a great extent.
[00:28:23.959 --> 00:28:26.480]  The CIA and others are still kind of halfway doing it.
[00:28:27.785 --> 00:28:31.686]  And they act like he is Adolf Hitler returned in the flesh.
[00:28:32.107 --> 00:28:34.027]  Adolf Hitler was the one working with the Muslims, by the way.
[00:28:34.067 --> 00:28:34.427]  Look it up.
[00:28:34.887 --> 00:28:39.809]  And if you try to talk about it on German social media, they ban you, even if you're a professor or a journalist.
[00:28:40.069 --> 00:28:45.091]  You can't show pictures of Hitler going and meeting with all the top Muslims that universally pledge their allegiance to him.
[00:28:45.511 --> 00:28:49.232]  We'll be back with my huge breakdown, a key analysis.
[00:28:49.632 --> 00:28:50.273]  You don't want to miss.
[00:28:50.293 --> 00:28:50.993]  This is critical.
[00:28:51.213 --> 00:28:54.034]  Please spread the live links and tell folks about your local affiliates you're listening to.
[00:28:56.574 --> 00:29:01.417]  I have promoted and sold hundreds of great products in my 22 years on air.
[00:29:02.157 --> 00:29:05.519]  But this one right here is in the top three.
[00:29:05.919 --> 00:29:07.060]  Alexa Pure Breeze.
[00:29:07.380 --> 00:29:10.842]  You can buy filters similar to this one for $500 to $600 that are three stage.
[00:29:10.862 --> 00:29:13.544]  Alexa Pure Breeze is $200, has a four filter system,
[00:29:23.118 --> 00:29:26.963]  Including Ion, Cluster, Charcoal, and more.
[00:29:28.485 --> 00:29:34.673]  That is completely game-changing and costs less than half of leading competitors.
[00:29:35.594 --> 00:29:37.016]  And when you look at the specs,
[00:29:38.109 --> 00:29:39.009]  It's just amazing.
[00:29:39.129 --> 00:29:48.054]  When you first turn it on in a room, it's red, meaning it's picking up particulate, it's picking up pathogens, it's picking up gases, it's picking up toxins.
[00:29:48.434 --> 00:29:54.596]  And it might take 10 minutes, it might take an hour for it to turn pink and then blue when it's picking nothing up.
[00:29:54.677 --> 00:29:55.677]  And these are so strong.
[00:29:56.057 --> 00:29:58.858]  In my home, if I sneeze 20 feet away,
[00:30:00.399 --> 00:30:03.063]  In a few seconds, it goes from blue to red.
[00:30:03.423 --> 00:30:04.785]  It's picking up that particular.
[00:30:05.346 --> 00:30:14.397]  That's what's so amazing about this unit is the sensors are so strong and the four filtration systems are so compact but so powerful.
[00:30:14.518 --> 00:30:17.902]  Could you spend way more and get something that maybe has a little bit better specs?
[00:30:17.962 --> 00:30:18.122]  Yes.
[00:30:18.803 --> 00:30:24.068]  But there are a lot of filters out there that are $500, $600, $700 that aren't even as good.
[00:30:24.348 --> 00:30:28.231]  And again, these can go six months to a year, depending on how dirty the environment is.
[00:30:28.671 --> 00:30:31.053]  The replacement filters are very, very inexpensive.
[00:30:31.574 --> 00:30:35.537]  Do yourself a favor and go to infowarstore.com today.
[00:30:35.978 --> 00:30:37.139]  Read the specs for yourself.
[00:30:37.719 --> 00:30:39.280]  And then you have nothing to lose.
[00:30:39.701 --> 00:30:40.761]  Spend $200.
[00:30:41.262 --> 00:30:43.924]  Help us make $50 to fund our operation.
[00:30:44.284 --> 00:30:46.465]  Get an amazing unit in your home.
[00:30:46.746 --> 00:30:54.351]  I'm very confident that we're gonna see you come back and order several more, and then a few more for your office, and then to give them as gifts as well.
[00:30:54.631 --> 00:30:57.794]  There are studies, and listen to me carefully, all over the world
[00:30:58.797 --> 00:31:12.063]  And depending on the study, it's between 7 and 12 years that the average person loses off their life expectancy living in a big city alone because of the toxins and the particulates.
[00:31:12.363 --> 00:31:14.744]  You then add all the pollen and the rest of it.
[00:31:15.764 --> 00:31:23.948]  It is not a luxury to have the Alexa Pure Breeze that is the best filtration system out there at the lowest price.
[00:31:25.048 --> 00:31:26.549]  It is essential.
[00:31:28.007 --> 00:31:34.209]  We are doing everything we can to mitigate the toxic environment that industrial society has created.
[00:31:34.450 --> 00:31:35.670]  So support the Infowar.
[00:31:36.110 --> 00:31:43.913]  Fund folks that are fighting the globalists and having success, and get a system that purifies and cleans the air for yourself and your family.
[00:31:44.173 --> 00:31:46.754]  It's the Alexa Pure Breeze at InfowarStore.com.
[00:31:46.994 --> 00:31:52.316]  We also have their full line of amazing gravity-fed filters as well, which are a huge home run.
[00:31:52.616 --> 00:31:56.018]  But this, this is a grand slam.
[00:31:59.702 --> 00:32:04.024]  Proper B vitamin intake is essential to keep the body functioning at optimum levels.
[00:32:04.404 --> 00:32:05.905]  U-U-U-Optimum levels.
[00:32:06.946 --> 00:32:11.568]  With our modern diets, it can be hard to get the recommended amount of B vitamins we need every day.
[00:32:11.588 --> 00:32:13.509]  U-U-U-Optimum levels.
[00:32:13.929 --> 00:32:15.530]  B vitamins we need every day.
[00:32:15.710 --> 00:32:20.793]  Secret 12 combines two bioactive forms of vitamin B12 for optimal absorption.
[00:32:20.993 --> 00:32:22.594]  U-U-U-Optimal absorption.
[00:32:23.314 --> 00:32:28.398]  Being deficient in B vitamins can cause fatigue, depression, poor memory, and lethargy.
[00:32:28.958 --> 00:32:29.319]  Secret 12.
[00:32:30.800 --> 00:32:31.660]  Optimal absorption.
[00:32:31.960 --> 00:32:36.644]  B vitamins help the body convert food into energy by supporting your intercellular processes.
[00:32:37.084 --> 00:32:41.307]  B vitamins are also essential for the optimal functioning of the brain and nervous system.
[00:32:42.288 --> 00:32:43.009]  Optimum levels.
[00:32:44.429 --> 00:32:48.251]  Secret 12 is an easy way to increase your vitamin B12 intake.
[00:32:48.591 --> 00:32:52.954]  Head to InfoWarsLife.com and support optimal brain and body function with Secret 12.
[00:32:53.754 --> 00:32:55.555]  That's InfoWarsLife.com.
[00:33:00.137 --> 00:33:02.778]  You're listening to the Alex Jones Show!
[00:33:12.754 --> 00:33:14.816]  The Alex Jones Show.
[00:33:14.876 --> 00:33:17.379]  Because there is a war on for your mind.
[00:33:17.399 --> 00:33:18.940]  I was asked to speak three years ago.
[00:33:37.793 --> 00:33:49.256]  At the Oxford Union, it's one of the most historical and interesting places to give a speech, and it's been well known for having controversial speakers for hundreds and hundreds of years.
[00:33:50.157 --> 00:34:00.700]  I was unable to do it because I was in the middle of a contentious divorce and custody battle with my ex-wife at the time, so it wasn't a snub to the Oxford Union.
[00:34:01.180 --> 00:34:06.902]  But then it reminded me, the reason I tell this story is, that when I was talking to Roger Stone last night,
[00:34:07.955 --> 00:34:17.639]  About the fact that he's going to be traveling to the UK starting tomorrow to address the Oxford Union.
[00:34:19.400 --> 00:34:23.762]  I told Roger what I was intending to say even three years ago.
[00:34:26.678 --> 00:34:37.904]  at the Oxford Union and how, in the modern times, so much more has happened along that line, that visionary line, and that I thought he should speak on some of those topics.
[00:34:38.845 --> 00:34:42.046]  And he said, that's amazing, Alex, because here's my notes.
[00:34:42.987 --> 00:34:44.448]  They just asked me to speak last week.
[00:34:44.668 --> 00:34:46.008]  This is what I'm intending to talk about.
[00:34:46.369 --> 00:34:50.491]  In fact, I want to join you Monday before I fly out in the evening.
[00:34:50.531 --> 00:34:51.511]  That's how all those flights are.
[00:34:51.531 --> 00:34:52.412]  You fly out in the evening and
[00:34:53.410 --> 00:34:54.671]  Get there when it's the morning over there.
[00:34:54.691 --> 00:35:02.177]  And he said, so I will come on Monday and kind of give you the speech that I'm going to give to the Oxford Union.
[00:35:02.537 --> 00:35:07.501]  And we're going to send a crew as well that will be meeting up with him.
[00:35:07.941 --> 00:35:15.187]  So that is going to be something we'll maybe even carry live once we get in place over there.
[00:35:15.327 --> 00:35:16.508]  But that's all a side issue.
[00:35:18.689 --> 00:35:20.311]  It just reminded me
[00:35:22.958 --> 00:35:30.763]  Of the speech I wanted to give that was more of a Anglo-centric, Anglophile perspective.
[00:35:31.143 --> 00:35:32.404]  Doesn't mean I'm an Anglophile.
[00:35:33.744 --> 00:35:35.585]  It doesn't mean that I'm obsessed with the UK.
[00:35:36.846 --> 00:35:38.587]  Even though my surname is Welsh.
[00:35:38.607 --> 00:35:41.669]  I think it's a fine culture, beautiful country, great people.
[00:35:42.810 --> 00:35:48.013]  It's just that three years ago, that would have been a speech that I would have given them there.
[00:35:52.523 --> 00:35:56.288]  But now that speech is a speech you can give to the entire planet.
[00:35:57.950 --> 00:36:06.942]  And about five years ago I spoke outside Bilderberg, north of London, in the rolling grass hills above an elite meeting house where the Bilderberg Group was meeting.
[00:36:07.222 --> 00:36:09.185]  We had over 3,000 people in attendance.
[00:36:10.734 --> 00:36:30.598]  And I had the folks from the UK chanting, the answer to 1984 is 1776, with more gusto than they do here in the US, because I'd just given a prototype of the speech that I would give a year and a half later at Oxford, if I had gone, and then now, the complete speech, I would give today.
[00:36:32.399 --> 00:36:38.460]  And now that I'm up to the point of giving the speech, when you're sitting there thinking about a speech,
[00:36:40.290 --> 00:36:42.011]  It's so much more easy than just giving it.
[00:36:42.732 --> 00:36:44.413]  And by that, I can talk endlessly.
[00:36:45.655 --> 00:36:47.756]  It's just that it's such a big idea.
[00:36:48.557 --> 00:37:00.647]  It's so true that I don't want to just sit here and say these things and have it just be something that's mixed into the background of everything else we talk about, because it's all super important.
[00:37:01.307 --> 00:37:02.729]  In fact, things are so crazy.
[00:37:03.129 --> 00:37:06.492]  Going about our business, once you know this stuff, is obscene.
[00:37:10.407 --> 00:37:12.648]  And so now I don't even know if I can give that speech.
[00:37:14.149 --> 00:37:15.991]  It's not that my tongue is even tied.
[00:37:19.753 --> 00:37:28.679]  It's just so real, so important, that I don't feel worthy.
[00:37:34.723 --> 00:37:35.583]  I've done the research.
[00:37:35.703 --> 00:37:36.764]  I know who the globalists are.
[00:37:37.745 --> 00:37:38.665]  I know what their plan is.
[00:37:40.919 --> 00:37:47.122]  You notice everything I told you 15 years ago is word for word coming out of Elon Musk's mouth right now.
[00:37:48.303 --> 00:37:50.144]  And it's not because he plagiarized what I was saying.
[00:37:51.644 --> 00:37:53.225]  Finally, there's a break with the elite.
[00:37:55.386 --> 00:37:58.508]  And a bunch of people in the establishment don't want this plan to continue.
[00:37:58.928 --> 00:38:08.193]  And so people like Elon Musk have backing from people in NASA, in the Pentagon, in the Trump administration.
[00:38:11.820 --> 00:38:23.185]  How many times did I say they'll create a one world government where you worship an AI computer that can give you advanced technology or quote, eternal life, but you really won't get eternal life.
[00:38:23.205 --> 00:38:33.070]  You'll be told that you're going to get rid of this body and enter this silicon system and that you won't hurt the earth anymore.
[00:38:33.090 --> 00:38:35.951]  And so there's going to be pressure for everybody to do this.
[00:38:37.432 --> 00:39:04.903]  And they're gonna be able to tap into the pleasure centers, they're gonna be able to basically make it whatever you want, while you're still conscious and alive, plugged into it, and it's gonna be the greatest con of cons, the king of cons, that you'll believe your loved ones and things are inside the big computer system, and they'll have avatars and robot bodies they're in, and they'll even have biological bodies in the future, that are
[00:39:07.520 --> 00:39:11.623]  Completely artificial, but are biological, and you will think it's your family member.
[00:39:12.924 --> 00:39:32.977]  It'll have the sayings, it'll have the mannerisms, it'll have it all, because in the future, they'll be able to track everything you say, everything you do for years, and have an algorithm, just like Amazon can already, five years ago, tell you what you're gonna order with 99% accuracy, and already have your package preloaded days before you order it, and ready to ship to you.
[00:39:34.670 --> 00:39:41.153]  People are going to believe they're talking to their loved ones inside of these avatars, inside of these AI systems, and it's not.
[00:39:43.894 --> 00:39:44.914]  And that's the big line.
[00:39:45.274 --> 00:39:48.556]  And that's going to be the great abomination that's going to come.
[00:39:50.356 --> 00:39:53.578]  And the dehumanization and the genetic engineering and all of it.
[00:39:55.018 --> 00:40:01.061]  The speech has to be linear, though, with the development of humanity, the city-states, the nation-states, the elites.
[00:40:02.182 --> 00:40:16.555]  The eugenics, the robber barons, the mind wars, the 20th century, the war for the future, which we're now in, the decision humans are obsolete, the decision to go to this silicon-based system that the globalists believe is going to be eternal life.
[00:40:16.815 --> 00:40:21.480]  Ray Kurzweil is the top futurist technologist at Google, and he's completely insane.
[00:40:22.120 --> 00:40:25.844]  Okay, invented scan printers 40 years ago, 50 years ago, whatever, big deal.
[00:40:27.625 --> 00:40:33.108]  Ray Kurzweil says, off my father's papers and notes and things like telecomputer, it's going to recreate him.
[00:40:33.368 --> 00:40:34.669]  And I don't believe in God yet.
[00:40:34.809 --> 00:40:35.509]  I'm going to be God.
[00:40:36.170 --> 00:40:41.372]  Well, he may be crazy enough down the road to believe it's his dad off notebooks.
[00:40:41.672 --> 00:40:47.796]  But imagine computers and face scanners and all these ubiquitous systems in our houses that record everything we do.
[00:40:49.033 --> 00:41:00.375]  In 3D dimension, you will be able to take that data and put it in a humanoid, in a robot, whatever you want, and your mama won't be able to tell it's not you.
[00:41:01.436 --> 00:41:02.196]  But it's not you.
[00:41:04.556 --> 00:41:12.438]  We can't let this body live forever, but don't worry, you upload yourself into this computer, and into this system,
[00:41:13.959 --> 00:41:20.905]  It's going to be we, we're all going to be together, but you'll still have your individualism, and everything that's in you, everything you are, we're going to control.
[00:41:22.746 --> 00:41:41.841]  Because when you realize you read 2001 Space Odyssey, you read Childhood's End, that was MI6, OSS before that, Prairie of the Telecommunications Satellite, Arthur C. Clarke, he later gave speeches and things where he basically admitted, I'm a Luciferian, I believe all this, we're going to have to transcend our bodies,
[00:41:42.722 --> 00:41:49.429]  To become the new superhuman, and his thinking is the thinking of the insiders, and you know what?
[00:41:49.909 --> 00:41:51.791]  They'll argue, hey, we really are gonna be gods.
[00:41:51.911 --> 00:41:55.995]  Look, we did all this, and we envisioned it, and we used builders.
[00:41:57.477 --> 00:41:58.338]  We used people.
[00:42:01.401 --> 00:42:02.302]  We used people.
[00:42:03.936 --> 00:42:27.196]  To then have the idea, put it out there, and then enough money, enough taxpayer money, enough $700 toilet seats, the money siphoned off to actually build these Manhattan Project-type systems of AI, supercomputers, quantum, you know, engines, all of it, to then be able to build the breakaway mass civilization that the establishment thinks it's gonna get in.
[00:42:27.556 --> 00:42:31.819]  It believes the Earth's gonna fail, fall, all the rest of this, is consigned like an egg
[00:42:33.166 --> 00:42:42.731]  Being fertilized, the earth is simply the engine and the material to build the metamorphosis of what they're going to become.
[00:42:43.132 --> 00:42:47.134]  And so we're just the fuel for their operation.
[00:42:47.154 --> 00:42:47.714]  Well, guess what?
[00:42:48.655 --> 00:42:51.817]  We're going to have a discussion about this, but I haven't gotten to the next level.
[00:42:52.757 --> 00:42:53.938]  When we return, stay with us.
[00:42:56.916 --> 00:43:00.739]  With Alpha Power by InfoWars Life, you can be in charge of your energy again.
[00:43:01.039 --> 00:43:06.003]  Alpha Power helps with a large amount of functions for your body to help bring you to the peak of your optimal health.
[00:43:06.244 --> 00:43:09.907]  Alpha Power has a 4.8 star rating on InfoWarsStore.com.
[00:43:10.167 --> 00:43:13.710]  Listen to all these incredible 5 star reviews from verified buyers.
[00:43:14.050 --> 00:43:17.153]  Papa Black Wilson says, whatever's in this is doing something good.
[00:43:17.413 --> 00:43:19.575]  I take it daily as I would any other daily vitamin.
[00:43:19.815 --> 00:43:26.777]  And it's got me in a state where even the normal day of a few hours sleep, rest easy, and wake up positive, regardless of the amount of sleep I get.
[00:43:26.878 --> 00:43:29.238]  And what Alex was hinting at when he first released this product?
[00:43:29.458 --> 00:43:31.159]  Yeah, the missus surely enjoys it.
[00:43:31.359 --> 00:43:34.000]  Frank John says, this stuff is incredible!
[00:43:34.260 --> 00:43:38.782]  Wow, this is like taking brain force mixed with super male vitality at the same time!
[00:43:39.102 --> 00:43:45.164]  AlphaPower makes me feel well mentally, makes me want to exercise more, and helps me feel a little more confident.
[00:43:45.604 --> 00:43:50.147]  After about a week and a half or two, I started to really feel the huge raise in my male drive.
[00:43:50.608 --> 00:43:51.768]  That helps with focus, too.
[00:43:52.189 --> 00:43:53.169]  Like Brain Force Plus.
[00:43:53.690 --> 00:43:57.792]  I've tried about 15 InfoWars Life Health products, and they're always of supreme quality.
[00:43:58.213 --> 00:44:02.256]  LJ says, it's been five days since my boyfriend began taking Alpha Power.
[00:44:02.536 --> 00:44:04.077]  There's definitely been a change.
[00:44:04.337 --> 00:44:04.977]  For the better.
[00:44:05.418 --> 00:44:09.180]  Without getting too personal, our activity has increased, and that's fine by me.
[00:44:09.581 --> 00:44:11.262]  He also says he's got a bit more energy.
[00:44:11.682 --> 00:44:12.563]  I hope this lasts.
[00:44:13.403 --> 00:44:15.465]  One Eyed Jack says, Alpha Power.
[00:44:15.745 --> 00:44:21.870]  I took Alpha Power for the first time this morning, and after about 15 minutes I felt so awake and alert and full of energy.
[00:44:22.171 --> 00:44:27.095]  I take Super Mail and Brain Force as well, but I have to say, this blows them both out of the water.
[00:44:27.575 --> 00:44:30.878]  Defeat the Globalists said, more energy at the end of the day.
[00:44:31.478 --> 00:44:36.503]  Taking one capsule a day in the AM, and even after being on the go all day, there's no crash at night.
[00:44:37.063 --> 00:44:38.844]  I'd feel exhausted after 8pm.
[00:44:39.144 --> 00:44:39.644]  Not anymore.
[00:44:40.044 --> 00:44:41.225]  Seem to be sleeping better too.
[00:44:41.805 --> 00:44:43.626]  I seem to have upped my water intake as well.
[00:44:43.866 --> 00:44:45.246]  I will definitely buy this again.
[00:44:46.047 --> 00:44:49.368]  Head to infowarrestore.com and experience Alpha Power today.
[00:44:50.068 --> 00:44:51.829]  That's infowarrestore.com.
[00:44:57.148 --> 00:45:00.011]  Trace in New Jersey wants to talk about vaccines.
[00:45:00.031 --> 00:45:00.611]  Go ahead, Trace.
[00:45:01.112 --> 00:45:06.237]  First off, I wanted to start off with saying I've been waiting hours to talk to you, my man.
[00:45:06.277 --> 00:45:07.818]  You're one of my most favorite hosts.
[00:45:08.739 --> 00:45:15.846]  Second, I'd like to say Super Blue, Survival Shield, the Skelton Defense Pack,
[00:45:16.852 --> 00:45:26.434]  They're all amazing, and I just ordered them all again, along with the Organic Urban Garden Seed Kit at InfoWars.com.
[00:45:26.494 --> 00:45:32.936]  But back to my point, in the early 1990s, ADHD was on the rise.
[00:45:33.796 --> 00:45:37.557]  My parents, they didn't believe that vaccines could ever hurt anybody.
[00:45:38.137 --> 00:45:40.318]  Yet, I found out, yes, I do have ADHD.
[00:45:41.558 --> 00:45:44.999]  I've been taking RainForce now for about almost two years.
[00:45:46.128 --> 00:45:49.291]  And with BrainForce, I'm able to focus perfectly.
[00:45:50.472 --> 00:45:57.539]  And my parents said that before the age of seven, I was not as hyperactive.
[00:45:57.959 --> 00:46:09.890]  And that's what got me, you know, PQ'd, wondering, hey, maybe, maybe it was something in a vaccine that could have triggered this change in me that made me so hyperactive.
[00:46:10.670 --> 00:46:11.151]  What is it?
[00:46:12.242 --> 00:46:16.566]  I do think that we're seeing a lot of these behavior disabilities.
[00:46:16.906 --> 00:46:23.352]  For one, we're cramming kids into a classroom for eight hours a day and expecting them to sit and shut up and not talk.
[00:46:24.433 --> 00:46:25.533]  And put their hands on their lap.
[00:46:26.214 --> 00:46:27.415]  So I think that's part of the problem.
[00:46:27.715 --> 00:46:31.639]  And then I think the other part of the problem is we're also injecting them with vaccines.
[00:46:31.699 --> 00:46:36.763]  It's probably having an increased incidence of developmental disabilities.
[00:46:36.823 --> 00:46:37.804]  What's your take on that, Roy?
[00:46:38.024 --> 00:46:51.937]  I wanna, you know, say to Trace, I think it's really great that he's asking questions and he's, you know, he's looking at things like brain force and he's thinking about, you know, things that he can do to take control of his own health.
[00:47:00.125 --> 00:47:02.788]  You're listening to The Alex Jones Show.
[00:47:20.897 --> 00:47:23.159]  Welcome back, I am your host Alex Jones.
[00:47:23.459 --> 00:47:26.121]  Why am I so pro-Trump?
[00:47:26.221 --> 00:47:27.442]  Because the globalists hate him?
[00:47:28.062 --> 00:47:31.464]  He's trying to build a future pro-family, pro-God, pro-human.
[00:47:32.625 --> 00:47:36.748]  You can say, well I don't like the corruption of the big churches, and I don't like all the... I get it.
[00:47:38.354 --> 00:47:40.575]  What are the people coming and rebelling against that?
[00:47:41.395 --> 00:47:42.735]  What are they replacing it with?
[00:47:43.856 --> 00:47:47.297]  Well, if you don't believe in the world beast system, that's fine.
[00:47:47.737 --> 00:47:51.978]  The globalists definitely are taking it as a model and building it.
[00:47:52.899 --> 00:48:01.361]  And humans are able, when we have enough technological base and cultural base, to basically build and construct and create anything we want to.
[00:48:01.962 --> 00:48:03.102]  We are incredible creatures.
[00:48:05.595 --> 00:48:19.707]  And so the basis of the speech that I would give, so something like the Oxford Union, would be political first and just a snapshot historically to parallel.
[00:48:22.629 --> 00:48:26.352]  To focus in on the power of the individual, the power of people.
[00:48:26.692 --> 00:48:27.713]  And this is where I would begin.
[00:48:29.795 --> 00:48:33.158]  Hitler was funded
[00:48:34.462 --> 00:48:36.644]  By the Rockefeller Foundation on record.
[00:48:37.364 --> 00:48:38.145]  Have a PowerPoint.
[00:48:38.826 --> 00:48:39.666]  Put the articles up.
[00:48:40.067 --> 00:48:41.608]  New York Times articles, you name it.
[00:48:42.168 --> 00:48:48.033]  Showing Kaiser Wilhelm Institute, Adolf Hitler, Margaret Sanger, IBM, the Holocaust, all of it.
[00:48:49.254 --> 00:48:51.316]  And so I would first point out, there's a struggle.
[00:48:55.379 --> 00:49:01.204]  Where you've got the United States and our robber barons funding the Nazi party, starting in the late 20s.
[00:49:03.584 --> 00:49:08.048]  And simultaneously, and again this is just a small snapshot of history, but it's so frustrating.
[00:49:08.268 --> 00:49:11.510]  So I can go in on any little snapshot and then build out and connect it to everything.
[00:49:11.711 --> 00:49:13.492]  Because it's all there, we know exactly what happened.
[00:49:14.053 --> 00:49:17.595]  This is just the one little piece of the timeline we're jumping in on, you understand?
[00:49:17.996 --> 00:49:21.358]  Giant timeline, we're jumping in on one little piece of it.
[00:49:21.999 --> 00:49:29.165]  And just my limited knowledge of it, which is still way more expansive than most people out there except globalists who use this knowledge to control people.
[00:49:30.120 --> 00:49:34.242]  Trump and myself and others are trying to decentralize this knowledge.
[00:49:34.282 --> 00:49:35.683]  It's the only way to save humanity.
[00:49:35.903 --> 00:49:36.944]  And I'm going to get to that in a moment.
[00:49:36.984 --> 00:49:39.585]  They believe centralizing it is the way to save humanity.
[00:49:41.447 --> 00:49:47.890]  By ending humanity, by unifying it into one huge system so that, oh, we're all too powerful as individuals.
[00:49:48.210 --> 00:49:49.991]  We could all destroy the earth at any time.
[00:49:50.031 --> 00:49:51.092]  We're all like gods.
[00:49:51.552 --> 00:49:54.134]  So we all have to be one now to watch each other.
[00:49:55.114 --> 00:49:56.094]  That's total insanity.
[00:49:56.134 --> 00:49:57.975]  The answer is into space.
[00:49:58.696 --> 00:49:59.496]  That's the answer.
[00:50:00.436 --> 00:50:13.062]  And to have a moral system based on that and have a giant launch because we are so dangerous to get as far away from each other as possible to then set up competing systems and out of that new United States of the Galaxy.
[00:50:13.283 --> 00:50:13.903]  And I'm serious.
[00:50:15.069 --> 00:50:22.631]  In the future, it'll create new states, and then you can decide what human groups, or whatever humans become, deal with each other.
[00:50:23.191 --> 00:50:25.872]  And that's really the real quantum leap in this thinking.
[00:50:26.412 --> 00:50:38.516]  The decision has been made to wall off the future, give you football, give you iPhones, give you entertainment, have men strutting around acting tough, and women all, you know, freaked out and feeling alone and wondering what happened to them, or our species is being terminated.
[00:50:39.471 --> 00:50:46.077]  And then, just everybody would be a bunch of selfish idiots that buy into the AI and give up on their consciousness and get phased out.
[00:50:46.097 --> 00:50:51.061]  Because the globalists think they're going to get the real upgrade, where they're going to become gods.
[00:50:51.101 --> 00:50:51.702]  Of course they aren't.
[00:50:51.902 --> 00:50:55.045]  But believe me, what you get is not going to be that.
