[00:00:00.109 --> 00:00:01.310]  Agenda 2030.
[00:35:34.301 --> 00:35:35.323]  Roger, responding to that.
[00:35:36.983 --> 00:35:39.205]  Look, Caitlyn Collins is a roadkill.
[00:35:39.465 --> 00:35:42.627]  I mean, she was out of line the entire interview.
[00:35:42.988 --> 00:35:44.208]  She kept interrupting.
[00:35:44.288 --> 00:35:45.369]  She was argumentative.
[00:35:45.769 --> 00:35:48.131]  She wanted to dispute anything that he had to say.
[00:35:48.151 --> 00:35:55.896]  I think he basically annihilated her and still was able to get his message out.
[00:35:56.557 --> 00:36:05.343]  In terms of the situation in Ukraine, she kept repeatedly trying to get former President Trump to say that Putin is a war criminal.
[00:36:05.804 --> 00:36:12.764]   What you saw was a future commander-in-chief who was preserving his options to negotiate
[00:36:12.764 --> 00:36:17.163]  a settlement and back us off the verge of World War III.
[00:36:17.163 --> 00:36:23.322]   You can't call somebody a war criminal and then expect them to come to the negotiation
[00:36:23.322 --> 00:36:24.322]  table.
[00:36:24.322 --> 00:36:28.182]  This administration isn't even in peace talks.
[00:36:28.182 --> 00:36:31.322]  There are no talks going on between Ukraine.
[00:36:31.248 --> 00:36:38.812]  Is that really Dylan Mulvaney, that CNN anchor, that CNN interviewer?
[00:36:39.012 --> 00:36:40.993]  Is Collins really Dylan Mulvaney?
[00:36:40.813 --> 00:36:46.652]   I just figured something out. Is that really Dylan Mulvaney, that CNN anchor, that CNN
[00:36:46.652 --> 00:36:50.813]   interviewer? Is Collins really Dylan Mulvaney? Sorry, Roger, go ahead.
[00:36:50.813 --> 00:36:56.972]  You're not the first person who has noticed that resemblance.
[00:36:57.013 --> 00:37:05.562]  But look, there's a larger and more important issue here, and that is Trump is the one who cut off the Russian pipeline.
[00:37:05.882 --> 00:37:13.009]  Trump is the one who gave the Ukrainians offensive weapons when Barack Obama would only give them blankets.
[00:37:13.169 --> 00:37:15.669]  He has credibility in the region.
[00:37:15.669 --> 00:37:20.669]   He has credibility both with the Ukrainians and with the Russians.
[00:37:20.669 --> 00:37:22.969]  He could settle this war.
[00:37:22.969 --> 00:37:29.969]   People don't understand how incredibly and dangerously close we are to World War III.
[00:37:30.115 --> 00:37:41.285]  These recent documents which leaked, which appear to be authentic, indicate that virtually everything we're being told about the war in Ukraine is false.
[00:37:42.045 --> 00:37:46.950]  That if you thought that the Ukrainians were kicking the daylights out of the Russians, that's incorrect.
[00:37:47.590 --> 00:37:53.534]  If you thought that the Ukrainians were taking on far more casualties than the Russians, that's incorrect.
[00:37:53.894 --> 00:38:02.459]  If you think all the money that we've shipped over there, now about $170 billion, has been accounted for, that's incorrect.
[00:38:02.559 --> 00:38:05.438]  A lot of that money is missing.
[00:38:05.438 --> 00:38:13.199]   If you thought that the Ukrainians are prepared, both in terms of manpower and munitions, to
[00:38:13.199 --> 00:38:21.039]  launch a successful spring offensive, that is false.
[00:38:21.039 --> 00:38:24.159]  This is a disaster waiting to happen.
[00:38:24.211 --> 00:38:37.917]  And Donald Trump is the one person who I believe could really fulfill exactly what he said there, get a negotiated peace before the entire world moves into thermonuclear Armageddon.
[00:38:39.642 --> 00:38:50.989]  Now that we've had time, since you were on a few weeks ago, to really look at the timing of Allen Bragg and the Soros persecution, witch hunt in New York.
[00:38:51.649 --> 00:38:52.630]  They're in Manhattan.
[00:38:54.031 --> 00:38:59.074]  They're planning to have the trial during the primaries, total election meddling.
[00:39:00.115 --> 00:39:03.257]  But as you said, it's only boosting Trump, booing him.
[00:39:03.977 --> 00:39:08.480]  What's the latest on how this is going to play out and all the other federal and state indictments they've got planned?
[00:39:10.115 --> 00:39:13.397]  I'm not an attorney, and it's very hard to say.
[00:39:13.597 --> 00:39:20.516]   If you believe the coverage over this last week of the Washington Post and the Wall Street
[00:39:20.516 --> 00:39:28.797]   Journal, Special Counsel Jack Smith has slipped into high gear in both the January 6th matter
[00:39:28.797 --> 00:39:32.836]  and in the documents matter.
[00:39:32.836 --> 00:39:38.357]   Extraordinary amount of time yesterday spent on the question of Trump's disposition on
[00:39:38.357 --> 00:39:42.836]  handling of classified and top secret federal documents.
[00:39:42.836 --> 00:39:45.077]  I think that was a tip off as well.
[00:39:45.077 --> 00:39:46.077]  So we don't know.
[00:39:46.077 --> 00:39:53.877]   I have to presume that some illegitimate fabricated charges will be brought against the president.
[00:39:53.825 --> 00:39:59.127]  They just can't let him get to a general election unencumbered.
[00:40:00.127 --> 00:40:02.547]  They're scared to death by these newest poll numbers.
[00:40:02.928 --> 00:40:20.391]   This Washington Post The ABC poll, which came out the day before the New York judicial decision, has him with the largest lead yet over Biden, as well as the largest lead yet over the strongest potential challenger, Governor DeSantis.
[00:40:21.211 --> 00:40:27.694]  Believe me, those in the two-party duopoly, look at those poll numbers and their blood runs cold.
[00:40:27.794 --> 00:40:33.516]  So there will be further efforts to destroy Trump through the use of lawfare.
[00:40:34.617 --> 00:40:41.260]   This past week, Alex, you and I once again smeared, once again, No, I totally agree.
[00:40:41.300 --> 00:40:42.380]  Let's talk about that.
[00:40:42.200 --> 00:40:49.200]   We know nothing about something the FBI investigated thoroughly in March of that same year.
[00:40:49.200 --> 00:40:54.200]   But that doesn't mean that they won't come back and try to smear you again.
[00:40:54.200 --> 00:41:00.200]   No, I totally agree. Let's talk about that. Here he is talking about January 6th in the town hall last night.
[00:41:00.200 --> 00:41:07.890]   So when they went to the Capitol and they were breaking into the Capitol, smashing windows, injuring police
[00:41:07.890 --> 00:41:11.200]   officers, why did it take you three hours to tell them to go home?
[00:41:11.761 --> 00:41:12.621]  I don't believe it did.
[00:41:13.201 --> 00:41:14.061]  Oh, let me pull it out.
[00:41:13.901 --> 00:41:15.901]  I have to pause.
[00:41:15.901 --> 00:41:22.901]  [Applause]
[00:41:22.901 --> 00:41:24.901]  So if you look at...
[00:41:25.552 --> 00:41:30.776]  On January 5th, the day before, I said, please support our Capitol Police and law enforcement.
[00:41:31.116 --> 00:41:33.157]  They are truly on the side of our country.
[00:41:33.658 --> 00:41:34.438]  Stay peaceful.
[00:41:34.939 --> 00:41:35.519]  Stay peaceful.
[00:41:35.539 --> 00:41:38.921]  This was the day before, and this was in the form of Twitter.
[00:41:38.961 --> 00:41:39.802]  Now use truth.
[00:41:40.202 --> 00:41:40.883]  Truth social.
[00:41:40.943 --> 00:41:42.044]  I think it's far superior.
[00:41:42.164 --> 00:41:42.424]  Okay?
[00:41:42.664 --> 00:41:43.645]  I hope everybody's okay.
[00:41:44.617 --> 00:41:45.777]  I hope everybody's on truth.
[00:41:46.538 --> 00:41:52.379]  If you look, January 6th, before 2.30, I am asking for everyone at the U.S.
[00:41:52.419 --> 00:41:53.820]  Capitol to remain peaceful.
[00:41:53.960 --> 00:41:56.341]  This is right after, as it was happening.
[00:41:56.921 --> 00:42:00.082]  But what happened is they took it down.
[00:42:00.942 --> 00:42:01.543]  I don't know why.
[00:42:01.623 --> 00:42:05.105]  I think they took it down because it was so good, they didn't like it being up there.
[00:42:06.006 --> 00:42:14.072]  I am asking, this is, and we didn't know until I got it back, because now I have 90 million people waiting for me to go back, but I'm on truth and I'm staying on truth.
[00:42:14.412 --> 00:42:16.614]  Listen, I am asking for everyone at the U.S.
[00:42:16.634 --> 00:42:17.595]  Capitol to remain peaceful.
[00:42:18.055 --> 00:42:18.956]  No violation.
[00:42:19.616 --> 00:42:21.398]  We want no violation.
[00:42:21.458 --> 00:42:22.559]  We want no violence.
[00:42:23.059 --> 00:42:25.421]  Remember, we are the party of law and order.
[00:42:25.481 --> 00:42:28.223]  Respect the law and our great men and women in blue.
[00:42:28.543 --> 00:42:28.864]  Thank you.
[00:42:29.164 --> 00:42:29.484]  That was at 2.30.
[00:42:30.865 --> 00:42:31.766]  That was very early.
[00:42:31.786 --> 00:42:32.847]  Mr. President, I looked at the same time.
[00:42:35.689 --> 00:42:43.775]  So, they branded the American people terrorists, they're all over the news saying arrest us, that we masterminded it after the Proud Boys conviction that was another total kangaroo trial.
[00:42:45.316 --> 00:42:46.977]  What do you expect next to come out of this?
[00:42:46.997 --> 00:42:51.941]  Because polls show Americans, like 6% think January 6th is important in Gallup polls.
[00:42:51.981 --> 00:42:53.242]  People totally see through this.
[00:42:54.023 --> 00:42:55.704]  But they're not stopping their tactics, Roger.
[00:42:57.358 --> 00:43:07.632]  Well, I suspect that they would like to charge Donald Trump with the one infraction that would legally prohibit him from running for president.
[00:43:07.932 --> 00:43:14.401]  That would be a violation of the 14th Amendment, you know, something that was put in place after the Civil War.
[00:43:15.601 --> 00:43:17.902]  That's really where I think this is going.
[00:43:19.003 --> 00:43:33.208]  I hate to have to keep saying this again but any claim that either you or I knew in advance about, participated in, or condoned any illegal activity whatsoever on January 6th is categorically false.
[00:43:33.529 --> 00:43:41.412]  You can speculate about it as much as you want but there is no evidence that would prove that because it is false and frankly it grows tedious.
[00:43:41.752 --> 00:43:44.513]   I'm tired of I'm tired of getting attacked in restaurants.
[00:43:44.533 --> 00:43:46.314]  I'm tired of getting attacked in drugstores.
[00:43:46.334 --> 00:43:48.555]  I'm tired of getting attacked in grocery stores.
[00:43:48.575 --> 00:43:52.077]  I'm tired of getting attacked by lunatics in airports.
[00:43:52.937 --> 00:44:01.301]  The left in this country has gotten increasingly intolerant, increasingly militant, increasingly violent.
[00:44:01.841 --> 00:44:05.303]  And frankly, the whole thing is extraordinarily tedious.
[00:44:06.023 --> 00:44:10.124]  Uh, as well as defamatory, but that doesn't stop them.
[00:44:10.324 --> 00:44:12.605]  Uh, this is the tactic of the left.
[00:44:12.945 --> 00:44:17.606]  Repeat a lie over and over and over again until people believe it.
[00:44:19.106 --> 00:44:19.726]  Big picture.
[00:44:19.946 --> 00:44:23.167]  Biden literally wanders off worse than ever, can't even string a sentence together.
[00:44:23.327 --> 00:44:24.287]  It's a giant joke.
[00:44:24.967 --> 00:44:27.188]  I don't see how he stays in through this campaign.
[00:44:27.868 --> 00:44:32.269]  What's the inside intel on who they're planning to replace him with and how that would happen?
[00:44:34.227 --> 00:44:41.592]  Alex, I stand by my previous prediction that the Democratic Party nominee will be Michelle Obama.
[00:44:42.853 --> 00:45:02.601]   The fact that they have changed their Democratic primary selection process to do away with the historic Iowa caucuses, do away with the historic first-in-the-nation New Hampshire primary, begin the process in South Carolina, the state that Michelle Obama claims as
[00:45:02.601 --> 00:45:06.981]   her native state because her grandparents are from there, a state
[00:45:06.981 --> 00:45:12.721]   where there is a strong plurality of African-American voters that dominate that
[00:45:12.721 --> 00:45:14.661]  state's Democratic primary.
[00:45:14.661 --> 00:45:21.122]   I still believe, given the nature of Joe Biden's weak announcement a couple
[00:45:21.122 --> 00:45:26.082]   of weeks ago, where he announced by video, there's no rallies, there's
[00:45:26.082 --> 00:45:29.320]  There's no fundraising events, there's no announcement tour.
[00:45:29.386 --> 00:45:33.452]  That's because I don't believe in the end that he is really running.
[00:45:34.092 --> 00:45:50.266]  If you want to figure out whether the establishment and Barack Obama are going to replace Joe Biden, then I think you have to look and see what the news coverage is like in the next couple of days regarding these recent revelations.
[00:45:51.026 --> 00:46:04.990]  By Congressman Comer and the House Oversight Committee, which we have learned, shockingly, that members of the Biden family took millions of dollars from Chinese and other interests.
[00:46:05.770 --> 00:46:27.709]   If this ends up getting a very substantial amount of coverage, then I think we can conclude That the powers that be in the Democratic Party have decided to replace Joe Biden, that he is dispensable, that he is too damaged to go the distance.
[00:46:27.749 --> 00:46:29.130]  Well, we can already see the reportage.
[00:46:29.150 --> 00:46:30.292]  They're all turning against him now.
[00:46:32.769 --> 00:46:39.813]  I haven't had a chance to really look at today's coverage, but what normally happens is you have these bombshell revelations.
[00:46:40.093 --> 00:46:47.538]  They're all over the front page of today's New York Post, for example, but they become one day or two day stories and then the thread is gone.
[00:46:47.798 --> 00:46:58.244]  It was only days ago that a whistleblower came forward who claimed the Department of Justice and the IRS were shielding Hunter Biden from prosecution on various crimes.
[00:46:58.864 --> 00:46:59.966]  What happened to that story?
[00:47:00.186 --> 00:47:01.407]  Where is that whistleblower?
[00:47:01.627 --> 00:47:02.588]  When is that hearing?
[00:47:02.869 --> 00:47:03.830]  Where is the follow-up?
[00:47:04.070 --> 00:47:05.932]  I haven't seen anything more about it.
[00:47:06.593 --> 00:47:19.587]  If that were true, and if this whistleblower had proof, it would be proof essentially that the Attorney General perjured himself in his testimony in front of Congress, something that I was falsely accused of.
[00:47:20.267 --> 00:47:22.789]  But the story dies after a day.
[00:47:23.230 --> 00:47:32.777]  So you will know whether the CNNs and the New York Times and the Washington Post and the Wall Street Journal pick up the thread of this Biden corruption.
[00:47:33.097 --> 00:47:41.424]  Because if they do, it is a sure sign that the political establishment has decided that Joe Biden has got to go and he has to be replaced.
[00:47:42.064 --> 00:47:51.592]  With a with a stronger nominee, that's right bottom line living in crazy time stone zone calm they can find your weekday show 5 p.m Eastern and more at stone zone calm Roger stone.
[00:47:51.632 --> 00:47:57.296]  Thank you so much for joining us today Today five o'clock stone zone dot live check it out.
[00:47:57.417 --> 00:47:58.057]  Thank you Alex.
[00:47:58.117 --> 00:48:03.477]   God bless you don't zone dot live But you still got stones on calm to write Yes, that is correct.
[00:48:03.297 --> 00:48:07.297]   but to go to the show, go to stonezone.live at 5 o'clock Eastern.
[00:48:07.297 --> 00:48:08.797]  All right, thank you, Roger Stone.
[00:48:08.797 --> 00:48:10.797]  And again, that's how we spread the word.
[00:48:10.797 --> 00:48:12.797]   I know as an audience you know what's going on, but other people don't.
[00:48:12.797 --> 00:48:14.797]  Share that link, shareinfo@wars.com.
[00:48:14.797 --> 00:48:16.797]  Forward slash show.
[00:48:16.797 --> 00:48:17.797]  Band out video.
[00:48:17.797 --> 00:48:22.797]   Okay, next little segment, I've got some excerpts of Owen Shorter's reportage on the border.
[00:48:22.797 --> 00:48:27.797]   I'm going to come back, get all the other economic news, the Russian news, the new DOJ,
[00:48:27.797 --> 00:48:32.797]   trying to ban statistics on racial crime, so they can lie about white supremacy.
[00:48:32.867 --> 00:48:33.928]  That's all coming up next hour.
[00:48:33.948 --> 00:48:39.334]  Then Owen Schroer from the ground in about 35 minutes on the Texas-Mexico border with huge developments.
[00:48:39.655 --> 00:48:40.656]  Hour number two straight ahead.
[00:48:41.056 --> 00:48:41.997]  You are the Paul Reveres.
[00:48:41.878 --> 00:48:48.878]  please share the articles.
[00:48:48.878 --> 00:48:55.878]  InfoWars is known for being tomorrow's news today.
[00:48:56.878 --> 00:48:58.878]  InfoWars is known for being tomorrow's news today.
[00:48:58.878 --> 00:49:01.396]  Wars is known for being tomorrow's news today.
[00:49:01.397 --> 00:49:05.700]  InfoWars is known for having 98% accuracy on average.
[00:49:06.360 --> 00:49:10.842]  InfoWars is known as being a game changer and our products are not any different.
[00:49:11.482 --> 00:49:14.584]  Two amazing products that I really want you to try if you've never tried them.
[00:49:15.104 --> 00:49:17.845]  Or if you've been a regular buyer of them, they've been sold out for a long time, they're back in stock.
[00:49:18.045 --> 00:49:22.287]  I want to remind you, they're now back in stock, are the Real Red Pill Plus and Ultimate Bone Broth.
[00:49:22.607 --> 00:49:27.829]  I don't have time in 60 seconds to tell you about all the ingredients, but believe me, you want to go research.
[00:49:27.869 --> 00:49:33.892]  You want to go check out Real Red Pill Plus and Ultimate Bone Broth, back in stock.
[00:49:33.952 --> 00:49:35.012]  But they're selling out quick.
[00:49:35.332 --> 00:49:37.733]  And despite the fact they're selling out, they're both discounted.
[00:49:38.013 --> 00:49:41.195]  In fact, Real Red Pill Plus is 40% off right now.
[00:49:41.235 --> 00:49:43.315]  But in a week or so, it's going to go back to full price.
[00:49:43.576 --> 00:49:44.376]  It's about to sell out.
[00:49:44.676 --> 00:49:52.364]  This is your chance to experience Real Red Pill Plus and Ultimate Bone Broth exclusively at InfoWarsTore.com or by calling toll-free, 888-253-3139.
[00:49:52.384 --> 00:49:53.785]  Thank you for your support.
[00:49:53.805 --> 00:50:00.191]  If you are receiving this transmission, you offer assistance.
[00:50:00.052 --> 00:50:07.052]   If you are receiving this transmission, you are in the wrong.
[00:50:07.052 --> 00:50:10.052]  This is Alice Jones.
[00:50:10.052 --> 00:50:27.052]   So we are in downtown El Paso with the remnants, what is left of what was once more than 3,000
[00:50:27.052 --> 00:50:32.052]   illegal immigrants in this small downtown area, probably no more than a 10 block area.
[00:50:32.690 --> 00:51:10.297]   3,000 plus of them smushed in here and it was so bad that even local residents and local businesses who normally are able to walk the streets in peace are being forced to lock up and deadbolt Access to their homes their apartments their businesses because it's been so out of control, but Mayorkas sent Border Patrol down here last night to round up as many as possible and get them out of sight Anticipating that the media was on their way down here So there's a lot of similar things like the manila envelopes that you can see here that they have
[00:51:11.411 --> 00:51:13.393]  And that's where all their information is.
[00:51:14.134 --> 00:51:16.437]  Their bus tickets, plane tickets.
[00:51:17.018 --> 00:51:22.884]  If there's a language barrier problem, there's instructions written out for them in English and in a Spanish translation.
[00:51:23.645 --> 00:51:28.091]  And what we've learned is that they just write them a citation to appear in court.
[00:51:28.431 --> 00:51:30.033]  Their court date isn't for three years.
[00:51:30.513 --> 00:51:35.037]  Most of them never appear in court, disappear, go back and forth over across the border a dozen times.
[00:51:35.097 --> 00:51:35.658]  It doesn't matter.
[00:51:36.158 --> 00:51:37.960]  Now, they're also getting fed and clothed.
[00:51:38.000 --> 00:51:48.670]  As you can see here, they're going through some clothes by the local Catholic charity groups that are down here, just like what we saw in the Rio Grande Valley and McAllen and others.
[00:51:48.970 --> 00:51:52.073]  They also provide them with three meals a day, hot food.
[00:51:52.193 --> 00:51:52.954]  They come down here.
[00:51:53.494 --> 00:52:16.865]   And they basically get to take their pick out of bags of clothing as you can see here and then they have food services that come by and give them three hot meals a day but as you can see what is left In this alley, just a day ago, this whole alley was filled with people just shoulder to shoulder, not just this alley, but multiple alleys around here, all down the street corner.
[00:52:16.725 --> 00:52:23.274]   So the Biden border invasion is still on, but Mayorkas is trying to make sure that the American people and that the
[00:52:23.274 --> 00:52:28.225]   media can't cover it accurately, specifically right here in downtown El Paso.
[00:52:28.225 --> 00:52:40.295]   We are here with an El Paso resident who has witnessed the crazy activity here for the last 48 hours and beyond,
[00:52:40.295 --> 00:52:40.725]  really.
[00:52:40.930 --> 00:52:42.131]  Let's first start by asking you this.
[00:52:42.931 --> 00:52:49.117]  When did this area of El Paso start becoming overwhelmed with the illegal immigrants?
[00:52:49.737 --> 00:52:55.645]  It's been, it's been, gosh, over a month, you know, a couple weeks.
[00:52:56.026 --> 00:53:03.476]  I mean, it's just, it's just building, building, snowfall, snowball effect, but it finally, they just started cleaning up last night.
[00:53:03.696 --> 00:53:04.578]  They started moving them out.
[00:53:06.480 --> 00:53:12.725]  You know, according to people I talked to, they just started telling these people, hey, we'll get you in line for your registration paperwork.
[00:53:13.306 --> 00:53:16.769]  Take this packet and, you know, we'll move you on and get you out of town.
[00:53:17.109 --> 00:53:20.212]  But we hadn't seen or heard of that until last night, really?
[00:53:20.452 --> 00:53:21.173]  More or less, yes.
[00:53:21.733 --> 00:53:22.454]  Yeah.
[00:53:22.734 --> 00:53:26.057]  But you were also telling me that you witnessed the same thing before Biden came to town.
[00:53:26.297 --> 00:53:32.983]  So it appears that the Biden administration and Mayorkas don't want the media being able to report on what's actually happening here.
[00:53:33.303 --> 00:53:36.046]  They did the same thing right before Biden came to town.
[00:53:36.086 --> 00:53:38.588]  They had a little roundup and moved him out.
[00:53:38.608 --> 00:53:41.350]  A lot of it's a lot of smoke and mirrors, but it works.
[00:53:41.490 --> 00:53:46.174]  You know, the public perception, you know, the American people just don't remember too much.
[00:53:46.254 --> 00:53:48.977]  And now the media is down here too late.
[00:53:49.037 --> 00:53:51.299]  Most of them didn't see the scenes from the last couple of days.
[00:53:51.619 --> 00:53:53.401]  We're expecting it to get crazy again.
[00:53:53.761 --> 00:53:55.523]  What are the local residents talking about?
[00:53:55.543 --> 00:53:57.124]  I mean, is this a big story here locally?
[00:53:57.424 --> 00:53:58.405]  Yes, locally it is.
[00:53:58.585 --> 00:54:06.368]  You know, it's more of a human catastrophe, but, you know, we're seeing it in town on different streets, just, you know, at the bus stops, just people roaming around, walking.
[00:54:06.808 --> 00:54:08.569]  I mean, it's everywhere.
[00:54:08.589 --> 00:54:09.189]  You can't miss it.
[00:54:09.830 --> 00:54:10.610]  Come to El Paso.
[00:54:10.890 --> 00:54:12.831]  Of course, right here, they really cleaned it up.
[00:54:13.051 --> 00:54:13.751]  I'll give them credit.
[00:54:14.352 --> 00:54:15.372]  They cleaned it up real good.
[00:54:15.952 --> 00:54:23.276]  Now, do you expect them to try to clean it up permanently, or is it going to kind of remain trash like this, or are there going to be more illegals coming in?
[00:54:23.296 --> 00:54:23.896]  What do you expect?
[00:54:24.276 --> 00:54:24.977]  There's going to be more.
[00:54:25.177 --> 00:54:26.579]  I mean, they're just waiting across.
[00:54:26.980 --> 00:54:31.425]  But in my humble opinion, they cleaned it up because you guys are coming to town with the media.
[00:54:31.906 --> 00:54:35.070]  You know, if there's nobody to see anything, there's no story.
[00:54:35.791 --> 00:54:37.032]  But there will be a surge again.
[00:54:37.293 --> 00:54:39.375]  It's definitely coming.
[00:54:39.476 --> 00:54:40.277]  We'll be here to report it.
[00:54:40.317 --> 00:54:40.998]  Thank you for your time.
[00:54:41.258 --> 00:54:41.518]  Thank you.
[00:54:41.338 --> 00:54:59.338]  Thank you, appreciate it.
[00:54:59.378 --> 00:55:04.100]  Owen Troyer from the Texas-Mexico border in El Paso joins us in about 25 minutes from now.
[00:55:05.561 --> 00:55:13.766]  I'm gonna open the phones up the third hour after he leaves us, but man, I am sitting here looking at this news and it is just crazy.
[00:55:14.326 --> 00:55:17.848]  But for TV viewers, I first wanted to just show you an image.
[00:55:20.953 --> 00:55:31.863]  This is Dianne Feinstein, who's refused to step down, has been missing for months and months and months in Congress, finally was seen popping back up for the first time, and look at her.
[00:55:34.485 --> 00:55:40.530]  This is literally a globalist skexy, holding on to power, and that's what we're up against.
[00:55:40.590 --> 00:55:46.155]  People like her, and Biden, and all of these globalists.
[00:55:46.175 --> 00:55:47.777]  These are slaves of Satan.
[00:55:49.022 --> 00:55:53.043]  But they're willing to commit the crimes and they're in control of the Justice Department.
[00:55:53.283 --> 00:55:55.324]  But they're not all 100 years old.
[00:55:57.604 --> 00:56:02.585]  Some of them are like French President Macron, who reportedly had a relationship with his wife when he was 14.
[00:56:02.825 --> 00:56:05.646]  His wife's 25 years his senior.
[00:56:06.946 --> 00:56:10.727]  And reportedly was a child sex slave.
[00:56:12.288 --> 00:56:13.488]  Now that's come out in the news.
[00:56:13.568 --> 00:56:26.056]   And Francois Mitterrand, many presidents before him, back in the 90s, Literally pledged himself to Lucifer publicly and had the Louvre designed with 666 pieces of pink glass, the pyramids.
[00:56:27.577 --> 00:56:32.899]  But now, the French government put up in public what they call art.
[00:56:35.480 --> 00:56:37.141]  And these are big, giant paintings.
[00:56:38.861 --> 00:56:40.682]  And I'm going to go ahead and show the unredacted stuff.
[00:56:40.702 --> 00:56:42.123]  This is in public in France.
[00:56:42.143 --> 00:56:42.943]  I'll show the unredacted one.
[00:56:44.865 --> 00:56:45.786]  Back it up, there you go.
[00:56:46.487 --> 00:56:53.712]  Of children with their hands bound behind their backs, being raped by an adult man.
[00:56:54.813 --> 00:56:56.915]  The children look like they're about five.
[00:57:00.158 --> 00:57:14.029]  So, somebody threw purple paint on it, and the President of France came out and said, it's wrong to do that.
[00:57:15.916 --> 00:57:21.977]  He didn't criticize leftists when they throw paint on things for greenhouse gas emissions or whatever.
[00:57:21.997 --> 00:57:24.998]  When they go attack Van Gogh paintings of sunflowers.
[00:57:26.878 --> 00:57:28.599]  But this, this is just terrible.
[00:57:28.639 --> 00:57:30.279]  So he comes out and he's defending it.
[00:57:30.399 --> 00:57:34.020]  French President Macron condemns vandalism of art piece promoting pedophilia.
[00:57:35.200 --> 00:57:43.722]  Macron defends art piece featuring what appears to be a child, two children actually, in bondage performing fellatio on an adult male figure.
[00:57:44.628 --> 00:57:51.394]  French President Macron raised eyebrows this week after condemning the vandalism of a vile piece of art accused of promoting pedophilia.
[00:57:51.694 --> 00:57:53.876]  I don't think it's accused of promoting pedophilia, it is.
[00:57:54.236 --> 00:58:06.005]  And these are the type of books that Chelsea Clinton promotes for elementary and middle school students like genderqueer where it shows even more graphic images of adults having sex with children.
[00:58:08.147 --> 00:58:10.269]  So Macron felt like he should put out a tweet about this.
[00:58:11.935 --> 00:58:21.899]  On May 8th, when we celebrate the victory of freedom, I condemn the act of animalism committed yesterday at Palais de Tokyo, Macron tweeted Monday.
[00:58:23.300 --> 00:58:26.761]  The attack, a work, is to attack our values.
[00:58:28.102 --> 00:58:31.684]  In France, art is always free and respect for cultural creation is guaranteed.
[00:58:32.004 --> 00:58:37.106]  Really, you arrest people for their nationalist views, for criticizing Islam, BS.
[00:58:38.410 --> 00:58:45.754]  It's a direct attack on freedom of expression, which is quite serious, added French Minister of Culture, Reema Abdul-Malik.
[00:58:47.415 --> 00:58:49.696]  I love how the head of French culture is not even French.
[00:58:50.336 --> 00:58:51.437]  On Sunday, an elderly...
[00:58:52.560 --> 00:59:00.909]  Vandal spray-painted artist Miriam Kahn's painting, F-Obsession, inside the gallery in Paris.
[00:59:01.469 --> 00:59:12.741]  The perpetrator of the spray attack, described as elderly according to the source close to the case, was unhappy with the sexual portrayal of a child and an adult presented in the painting, but was not affiliated with an activist group.
[00:59:15.290 --> 00:59:16.170]  Times of Israel reported.
[00:59:16.710 --> 00:59:22.112]  So the media is reporting like this person's bad for not wanting a public display of pedophilia.
[00:59:22.712 --> 00:59:27.693]  The piece features what appears to be a child in bondage performing fellatio on a male figure.
[00:59:29.934 --> 00:59:42.957]  The piece, which has been on display since February, was condemned in March by a group associated with lawyers for children who argued the painting should be taken down for representing rape of a child, a naked child bound, being raped.
[00:59:44.013 --> 00:59:47.074]  Con Meantime Maintainer painting depicts war crimes in Ukraine.
[00:59:47.094 --> 00:59:47.495]  Yeah, right.
[00:59:48.055 --> 00:59:52.837]  This painting deals with the way in which sexuality is used as a weapon of war, as a crime against humanity.
[00:59:52.917 --> 00:59:53.337]  Sure.
[00:59:57.259 --> 01:00:06.063]  Lawyers for the children sued at the painting removed on grounds of the French law forbids the exhibition of pornographic representation of minors, according to Alternet.
[01:00:06.483 --> 01:00:08.484]  And of course, the new big con film festival.
[01:00:09.525 --> 01:00:11.346]  Winning movie is about kids being raped.
[01:00:12.352 --> 01:00:18.014]  Ladies and gentlemen, they're not just raping him sexually, they're raping them with the transgenderism, with the chemicals, and the mutilation.
[01:00:19.135 --> 01:00:20.235]  And then of course we've got this.
[01:00:22.456 --> 01:00:23.356]  InfoWars.com.
[01:00:23.756 --> 01:00:33.140]  Senator Ron Johnson, we have evidence Hunter Biden paid sex trafficked prostitutes, that's kidnapped women, a lot of them look underage, and the media isn't looking into it.
[01:00:34.240 --> 01:00:40.845]   Then there's pictures of him naked, sitting around with his nieces and nephews, In sexual poses.
[01:00:40.905 --> 01:00:42.186]  I mean, just these people are sick.
[01:00:42.687 --> 01:00:54.959]  During a Tuesday interview, Senator Ron Johnson asserted that Congressional Republicans have unequivocal proof that Hunter Biden paid tens of thousands of dollars to an international sex trafficking ring for prostitutes with money given to them by their father.
[01:00:56.581 --> 01:01:04.067]  Senator Grassley and I, in our September 2020 report, laid out as much evidence as anybody would need to lay out of the Bidens as corrupt.
[01:01:04.507 --> 01:01:11.192]  Johnson told Fox News, adding that it was well known that President Biden would be highly compromised, but the corrupt media ignored it and censored it.
[01:01:12.293 --> 01:01:14.215]  Yeah, I've looked through the laptop as much as I can stand.
[01:01:14.255 --> 01:01:15.075]  It is grisly.
[01:01:16.256 --> 01:01:17.537]  Absolutely grisly.
[01:01:17.858 --> 01:01:19.039]  But that's who these people are.
[01:01:20.939 --> 01:01:23.781]  Biden's family tried to hide $10 million in foreign payments.
