[00:00:00.069 --> 00:00:00.850]  I understand.
[00:38:43.580 --> 00:38:46.722]  You got to be asked questions gonna have your genitals grabbed in many cases.
[00:38:46.782 --> 00:38:49.745]   It's all a fraud This police state is for us.
[00:38:49.765 --> 00:38:55.371]  It was never for countering the Russians or countering the Chinese communists or countering the Islamicists.
[00:38:55.752 --> 00:38:56.372]  It's all about us.
[00:38:57.073 --> 00:39:07.245]  And the government thinks we're so stupid that when these terror attacks come, and I believe they will come regardless, if not tomorrow, in the next few weeks, the next few months, the next year, it will then not even be discussed in the media.
[00:39:07.265 --> 00:39:11.885]   That's our governments that allowed this to happen and that they have aided and abetted these
[00:39:11.885 --> 00:39:12.365]  individuals.
[00:39:12.365 --> 00:39:14.726]  This is beyond gross negligence.
[00:39:14.726 --> 00:39:16.606]  So everybody's head is going to be on a swivel.
[00:39:16.606 --> 00:39:19.847]   And if these attacks come, God forbid, we need to point out that it's the open
[00:39:19.847 --> 00:39:22.166]   borders and our government, all the rest of it that allowed this.
[00:39:22.166 --> 00:39:26.485]   Remember Trump banned people from these radical Jihad countries from flying here.
[00:39:26.485 --> 00:39:30.166]   When he first got into office in 2016, he was hugely criticized.
[00:39:30.166 --> 00:39:35.846]   Banned people from seven countries whose governments openly support attacks on America.
[00:39:35.916 --> 00:39:37.898]  That is just common sense.
[00:39:37.938 --> 00:39:41.521]  And that needs to be reinstated by Biden right now in major pressure.
[00:39:41.541 --> 00:39:47.487]  He's put legally, lawfully, culturally on them right now, and they need to be held responsible criminally in the courts.
[00:39:48.067 --> 00:39:52.231]  If these attacks come that they have basically greased and funded and green lit.
[00:39:52.772 --> 00:39:56.475]  Now, please remember we're up against the new world order and people are really waking up right now.
[00:39:57.316 --> 00:39:58.377]  That's why they want to silence us.
[00:39:58.877 --> 00:39:59.618]  That's why they want to shut us down.
[00:39:59.638 --> 00:40:00.798]  That's why they're working so hard to do it.
[00:40:01.399 --> 00:40:04.181]  So your word of mouth about the broadcast is critical and it's having a big effect.
[00:40:04.201 --> 00:40:05.502]  Without you, we'll be shut down.
[00:40:05.842 --> 00:40:08.564]  And we're fighting for you, ourselves, everybody else together.
[00:40:09.724 --> 00:40:11.546]  As Trump says, they've got to get through us to get to you.
[00:40:12.006 --> 00:40:15.388]  And that's why we've got the biggest sale, even bigger than our Christmas sale, going right now.
[00:40:15.949 --> 00:40:24.214]  Even though this will deplete our high quality products that we need to sell in the future, and they're not coming back in for a while, we are selling products from 40 to 60% off.
[00:40:24.294 --> 00:40:26.896]  Like Brain Force Plus, the incredible Brain Boost Natural.
[00:40:27.596 --> 00:40:36.942]  Neutropic DNA Force Plus that does so many incredible things and a lot of other powerful products at InfoWareStore.com like Real Red Pill Plus.
[00:40:37.862 --> 00:40:38.683]  60% off.
[00:40:39.043 --> 00:40:40.544]  That's how high some of these sales go.
[00:40:40.864 --> 00:40:47.827]   Folks, we're making like 10, 15 bucks, maybe, on these products when we sell them at that low.
[00:40:48.368 --> 00:40:49.748]  So we've got to sell a lot of the product.
[00:40:50.309 --> 00:40:51.009]  You're responding.
[00:40:51.569 --> 00:40:52.590]  We're selling a lot of the product.
[00:40:53.250 --> 00:40:56.071]  But we've got to sell even more of it to be able to fund ourselves, so it's a catch-22.
[00:40:56.752 --> 00:41:00.353]  So please get a t-shirt, get a book, get a film, while you're at InfoWareStore.com.
[00:41:00.394 --> 00:41:02.715]  Check out the InfoWare Platinum products that are back in stock.
[00:41:03.255 --> 00:41:06.937]  Get a copy of the unsigned or signed new book that starts shipping.
[00:41:07.757 --> 00:41:08.820]  In about, what, 10 days?
[00:41:08.840 --> 00:41:09.401]  11 days?
[00:41:10.785 --> 00:41:11.466]  I guess less now.
[00:41:11.747 --> 00:41:12.088]  Wait a minute.
[00:41:12.449 --> 00:41:14.514]  It's the 20th, so that's 7 days.
[00:41:15.156 --> 00:41:16.138]  Get your copy of...
[00:41:17.139 --> 00:41:26.609]  The companion book that's even bigger and more powerful to the Great Reset and the War for the World, and that is The Great Awakening, The Plan to Defeat the Globalists, and Bring in the Second Great Renaissance.
[00:41:27.049 --> 00:41:27.930]  So get that book as well.
[00:41:27.970 --> 00:41:29.591]  That funds the operation, and it's a great book.
[00:41:30.012 --> 00:41:33.796]  Infowarstore.com or AAA2533139.
[00:41:34.155 --> 00:41:38.235]   but pray for peace, pray for an awakening, and understand powerful global forces
[00:41:38.235 --> 00:41:41.235]  are funding all the different angles and sides of this.
[00:41:41.235 --> 00:41:46.195]   And Iran gets more powerful, Netanyahu gets more power, the West gets to sell more weapons,
[00:41:46.195 --> 00:41:48.875]   they get to crack down here and set up a larger police state.
[00:41:48.875 --> 00:41:52.795]   We've got to see through this, understand the bigger the security state gets,
[00:41:52.795 --> 00:41:53.875]  the more insecure we are.
[00:41:53.875 --> 00:41:56.034]  Israel clearly stood down.
[00:41:56.034 --> 00:41:59.395]   There's major pulls out of Israel where almost 90% believe there was a stand down
[00:41:59.395 --> 00:42:01.115]  because they know what's really going on.
[00:42:01.115 --> 00:42:03.916]  This is serious and it's very, very dangerous.
[00:42:03.825 --> 00:42:05.886]  So they're saying big attacks get launched tomorrow.
[00:42:05.906 --> 00:42:07.407]  I don't know if they're going to coordinate that.
[00:42:07.427 --> 00:42:08.607]  I don't know if that's going to happen.
[00:42:09.348 --> 00:42:11.308]  But we're definitely going to be watching this very, very closely.
[00:42:11.328 --> 00:42:13.529]  And I'll be in studio live tomorrow at 11 a.m.
[00:42:13.569 --> 00:42:14.009]  covering it.
[00:42:14.389 --> 00:42:15.810]  Harrison Smith will be in at 8 a.m.
[00:42:15.850 --> 00:42:16.230]  covering it.
[00:42:16.270 --> 00:42:17.110]  Owen Schroeder at 3 p.m.
[00:42:17.150 --> 00:42:17.531]  covering it.
[00:42:17.871 --> 00:42:21.912]  Now back to the live coverage with Owen Schroeder and others at InfoWars.com forward slash show.
[00:42:22.272 --> 00:42:23.953]  Don't forget, biggest sales of the year right now.
[00:42:23.973 --> 00:42:25.253]  Up to 60% off.
[00:42:25.293 --> 00:42:26.354]  These are flash sales.
[00:42:26.774 --> 00:42:29.215]  So they've got to end basically in the next day or so.
[00:42:29.575 --> 00:42:30.635]  InfoWarsStore.com.
[00:42:30.655 --> 00:42:31.516]  Thank you for keeping us on the air.
[00:42:32.315 --> 00:42:33.196]  All right, thank you, Alex.
[00:42:34.257 --> 00:42:39.023]  We may be hearing from Alex again before the end of the show, so stay tuned for more coverage from Alex.
[00:42:39.063 --> 00:42:44.008]  And by the way, he has remained consistent in that message since day one.
[00:42:44.829 --> 00:42:51.978]  And you know, I'm real proud of the consistency that we have here at InfoWars and the commitment to our values.
[00:42:53.957 --> 00:42:57.420]  And to our principles that you just don't see anywhere else.
[00:42:57.440 --> 00:43:05.065]  A lot of people, oh, you either completely agree with me, or you're a terrorist, or you completely agree with me, or you hate my people, or we have to completely go to war, or we're all gonna die.
[00:43:05.085 --> 00:43:19.476]  I mean, it's just like, these are irrational, not serious conversations that I'm hearing far too often dealing with these big issues, but specifically with what's going on between Israel and Palestine, yet again.
[00:43:19.496 --> 00:43:21.858]  And by the way, this has always been the case.
[00:43:23.140 --> 00:43:28.082]  I'm going to show a video from a decade ago that proves how insane this has always been, this conversation.
[00:43:28.982 --> 00:43:32.984]  And so, it just solidifies my approach of, hey, you know what?
[00:43:33.064 --> 00:43:35.285]  That's tragic what happened in Israel.
[00:43:36.005 --> 00:43:36.865]  Obviously it's tragic.
[00:43:36.885 --> 00:43:38.386]  The families, the individuals torn apart.
[00:43:38.686 --> 00:43:40.887]  It's tragic what goes on in all different parts of the world.
[00:43:41.912 --> 00:43:42.532]  We don't humanize.
[00:43:42.713 --> 00:43:43.353]  But it's tragic.
[00:43:43.553 --> 00:43:46.895]  There's a lot of things tragic that are happening in our country, in our backyard.
[00:43:46.955 --> 00:43:49.076]  There's a lot of very serious things going on in our country.
[00:43:49.256 --> 00:43:50.557]  But we're not supposed to talk about that.
[00:43:50.597 --> 00:43:51.837]  We're not supposed to get fired up over that.
[00:43:52.218 --> 00:43:59.802]  And I see people getting more fired up about things that happen 7,000 miles away that don't have to affect us at all, instead of their house burning down to the ground.
[00:44:00.142 --> 00:44:05.224]  Now, I'm so sick of talking about it, quite frankly, that I really want to move on to other news.
[00:44:05.304 --> 00:44:07.586]  But we do have some breaking news right now.
[00:44:08.906 --> 00:44:12.869]  And it appears that Steve Scalise might have to drop out of the House race.
[00:44:12.909 --> 00:44:18.393]  It looks like the struggle is no struggle, meaning he's not even going to move on with this.
[00:44:19.294 --> 00:44:20.374]  It's breaking right now.
[00:44:20.575 --> 00:44:22.836]  Scalise does not have the floor votes.
[00:44:24.097 --> 00:44:27.039]  At least 20 Republicans have now committed to not voting for him.
[00:44:27.399 --> 00:44:28.500]  Now check this out.
[00:44:29.741 --> 00:44:39.278]   Thomas Massie put up a poll yesterday, or excuse me, this morning rather, Saying, who do you want to be the Speaker of the House?
[00:44:39.479 --> 00:44:48.692]  Now, as of a few minutes ago, it had 75,000 votes, and Jim Jordan got 94% of the votes from the public, compared to Steve Scalise's 6%.
[00:44:50.945 --> 00:44:52.887]  So the people don't want Steve Scalise.
[00:44:53.627 --> 00:45:03.155]  Now the people didn't want Kevin McCarthy either, but the establishment Republicans and the establishment GOP like Ronald McDaniel and Mitch McConnell and the rest made sure that he was able to shoehorn in.
[00:45:03.595 --> 00:45:09.079]  Well now the people are saying we don't want Scalise and the Republicans in the House are responding to it.
[00:45:09.640 --> 00:45:11.021]  And so we're going to be following this.
[00:45:11.041 --> 00:45:15.201]   I've also got a clip from Jim Jordan talking about this when we come back from this break.
[00:45:15.201 --> 00:45:31.841]  I've not been this excited ever!
[00:45:32.045 --> 00:45:32.345]  Woo!
[00:45:33.226 --> 00:45:33.506]  Yeah!
[00:45:33.566 --> 00:45:34.567]  Mug Club, baby!
[00:45:34.627 --> 00:45:35.147]  Wow!
[00:45:35.428 --> 00:45:38.009]  The replatforming begins now.
[00:45:38.169 --> 00:45:50.218]  Join Mug Club and get one month free with promo code ALEX at jonescrowder.com Where were you when humanity was fighting for its life?
[00:45:51.513 --> 00:45:56.057]  Where were you when the globalists were caught trafficking millions of children for sex slavery worldwide?
[00:45:56.698 --> 00:45:59.620]  Where were you when the New World Order was starting World War III with Russia?
[00:46:00.141 --> 00:46:00.922]  Well, I know where you are.
[00:46:01.222 --> 00:46:05.185]  You're watching and listening to Infowars.com right now, and I salute you and thank you.
[00:46:05.686 --> 00:46:11.551]  And I want to encourage all of you who've been in this fight so long to realize we've reached the critical juncture in the battle now.
[00:46:12.112 --> 00:46:17.311]   And a key tool in that fight is the Great Awakening, defeating the globalists and launching
[00:46:17.311 --> 00:46:19.392]  the next great renaissance.
[00:46:19.392 --> 00:46:23.030]   This is my second book, part two of The Great Recent and War for the World.
[00:46:23.030 --> 00:46:26.652]  It's a longer book, quite frankly a more powerful book.
[00:46:26.652 --> 00:46:28.271]  And just like the last book went to number one.
[00:46:28.242 --> 00:46:29.643]  Folks, this is even better than I thought.
[00:46:29.463 --> 00:46:30.902]  this is the number one right now.
[00:46:30.902 --> 00:46:34.863]   This is a cultural fight against the globalists and it funds the InfoWar.
[00:46:34.863 --> 00:46:41.062]   Get signed or unsigned copies of The Great Awakening right now at InfoWarStore.com.
[00:46:41.062 --> 00:46:42.543]  I wanna thank you all for your support.
[00:46:42.543 --> 00:46:44.142]  This is a book everybody needs.
[00:46:44.142 --> 00:46:46.423]  Get your copy of The Great Awakening right now.
[00:46:46.423 --> 00:46:50.943]   Hour number two of the Alex Jones Show brought to you by InfoWarStore.com.
[00:46:50.943 --> 00:46:53.263]  So, the breaking news.
[00:46:53.263 --> 00:46:55.103]  Folks, this is even better than I thought.
[00:46:55.103 --> 00:46:57.623]  I gotta be perfectly honest with you.
[00:46:57.623 --> 00:46:59.623]  This is even better than I thought.
[00:47:00.287 --> 00:47:04.971]  And when we had McCarthy's ouster, I was talking about how great a news this is.
[00:47:05.011 --> 00:47:09.735]  This shows that we the people, the voters, are moving the ball down the field for our values.
[00:47:10.495 --> 00:47:22.265]  And that the establishment, the Republican establishment, the DC establishment, is losing their control over the Republican Party and over the Republican voter.
[00:47:22.325 --> 00:47:23.186]  And this was good news.
[00:47:24.767 --> 00:47:29.690]  And the McCarthy ouster was a major battle for the heart and soul of the Republican Party, and we won it!
[00:47:30.671 --> 00:47:31.211]  We won it!
[00:47:32.812 --> 00:48:02.484]   Now, but I didn't expect it was going to be this good, where now you have anti-establishment Democrats like Ro Khanna filing legislation with Matt Gaetz of things that are well overdue to be done, getting Congress members out of the lobbyist career business, getting Single-line, single-issue bills and votes, having a vote on term limits, all kinds of different stuff that should have been long overdue.
[00:48:03.244 --> 00:48:08.905]  And now you have true anti-establishment Democrats like Ro Khanna and anti-establishment Republicans actually working to get bills done.
[00:48:09.405 --> 00:48:13.846]  But I still thought, you know, that there's enough conservative swamp power in D.C.
[00:48:13.886 --> 00:48:16.547]  that they can still throw their weight around and get their way.
[00:48:17.407 --> 00:48:22.593]  And I suspected that Steve Scalise was kind of going to be that guy, but still probably a step up from Kevin McCarthy.
[00:48:22.613 --> 00:48:32.964]  I mean, hell, a Democrat tried to murder Steve Scalise, you know, with the Democrat mass murder attempt by James Hodkinson on June 14, 2017, that the Democrat media covers up and doesn't tell you about.
[00:48:33.956 --> 00:48:35.777]  Yeah, a Democrat tried to commit a mass shooting, a mass murder.
[00:48:35.797 --> 00:48:36.337]  Can you believe that?
[00:48:36.378 --> 00:48:37.138]  How did you hear about that?
[00:48:37.198 --> 00:48:38.099]  Because they covered it up.
[00:48:38.599 --> 00:48:40.180]  They don't want you to know that they're the real terrorists.
[00:48:40.780 --> 00:48:47.805]  And you don't think they're not opening the border, hoping terrorists come in here and fly in with BLM flags, like we saw in Israel with Hamas?
[00:48:47.825 --> 00:48:48.545]  That's what they want.
[00:48:49.966 --> 00:48:52.127]  But folks, this is even better than I thought!
[00:48:53.808 --> 00:48:56.750]  See, I'm telling you, what Kevin McCarthy did was so important.
[00:48:58.191 --> 00:49:02.534]  Because now, to be a successful Republican, you have to answer to your voters.
[00:49:03.365 --> 00:49:12.729]  And to be a successful Republican, you can't make empty promises, and you can't be an empty suit, and you can't sit up there and try to be charismatic like Kevin McCarthy and say all the right things and then do nothing.
[00:49:13.930 --> 00:49:17.751]  Steve Scalise does not currently have the floor votes to become the next Speaker.
[00:49:19.172 --> 00:49:22.254]  Now, I've been monitoring the different people who said they would not vote for Scalise.
[00:49:22.714 --> 00:49:28.696]  Apparently, it's now reached, behind the scenes, 20 people, meaning he does not have the votes.
[00:49:30.457 --> 00:49:31.978]  So, this is even better than I thought.
[00:49:33.863 --> 00:49:42.051]  And when Thomas Massie puts up polls, and guys let's put this on the screen, let's see what the latest results are, I'm guessing they haven't changed.
[00:49:42.612 --> 00:50:06.739]   But when Thomas Massie, who is one of the individuals who said he would not vote for Steve Scalise, puts out a poll that over 75,000 people have voted on, Since this morning, this poll was about five hours old, 75,000 votes from we the people, Republican voters, and 94% voted Jim Jordan, 6% voted Steve Scalise.
[00:50:08.360 --> 00:50:14.001]  And now, the Republicans in the House are saying, we will not be voting for Steve Scalise.
[00:50:14.041 --> 00:50:32.398]   So, Matt Gaetz has truly swung the pendulum on what it means to be a Republican, What it means to vote for conservative values and how much influence we, the Republican voters, have over Republican policy and action in Washington, D.C.
[00:50:34.740 --> 00:50:39.905]  Now, I'm going to rehash all of this when we come back in the next segment.
[00:50:41.021 --> 00:50:51.867]  Because this short five minute segment, we're syndicated on radio, we have a large terrestrial radio audience, but the first five is picked up by stations for local news updates and local ads and stuff like that.
[00:50:52.527 --> 00:50:55.429]  So, I'm gonna rehash this all on the other side because it's that important.
[00:50:56.910 --> 00:51:04.734]  But see, and that's part of my frustration here, is when I see other talk show hosts out there that get more fired up for what goes on in Israel than what goes on in their backyard.
[00:51:06.015 --> 00:51:06.795]  This is a big deal.
[00:51:07.456 --> 00:51:15.964]   The Speaker of the House is third in line to be the President, And the House of Representatives controls the purse, which essentially can control all government activity.
[00:51:15.984 --> 00:51:18.464]  I mean, this is a big deal!
[00:51:18.784 --> 00:51:25.786]  If we can get a true conservative America First Speaker of the House, I mean, folks, this changes the whole game!
[00:51:25.806 --> 00:51:28.026]  Alright, I'm going to do something radical here.
[00:51:29.226 --> 00:51:30.167]  No, guys, take that down.
[00:51:30.307 --> 00:51:31.767]  Put up a picture of Washington, D.C.
[00:51:32.087 --> 00:51:33.387]  Or put up a picture of Philadelphia.
[00:51:33.427 --> 00:51:34.567]  Put up a picture of Chicago.
[00:51:34.587 --> 00:51:35.668]  East St.
[00:51:35.708 --> 00:51:36.028]  Louis.
[00:51:37.108 --> 00:51:37.788]  San Francisco.
[00:51:39.110 --> 00:51:41.631]  No, I'm going to do something radical as an American.
[00:51:41.691 --> 00:51:43.072]  I know, this is crazy.
[00:51:43.772 --> 00:51:45.593]  I mean, oh boy, oh look out!
[00:51:46.353 --> 00:51:48.554]  I'm going to do something radical as an American here.
[00:51:48.794 --> 00:51:50.235]  I'm going to talk about America.
[00:51:51.195 --> 00:51:57.018]  I'm going to talk about stuff that's going on in our country, in our backyard, in our front yard, in our living room.
[00:51:58.239 --> 00:52:00.099]  I know that's radical in these times.
[00:52:02.340 --> 00:52:05.262]  But I'm going to talk about American issues here.
[00:52:06.322 --> 00:52:07.843]  Because we got a big one.
[00:52:11.519 --> 00:52:17.603]  Now, I expected there to be some struggle for Steve Scalise, but I did not expect it to be an outright rejection.
[00:52:18.464 --> 00:52:31.912]  And whatever has been going on behind the scenes in the last 48 hours has been enough for at least 20 Republicans to say they will not support Steve Scalise.
[00:52:34.254 --> 00:52:37.035]  And the people, the voters, have spoken.
[00:52:37.196 --> 00:52:39.717]  They want Jim Jordan and not Steve Scalise.
[00:52:39.857 --> 00:52:40.678]  And that makes sense.
[00:52:42.076 --> 00:52:45.520]  Because, I mean, look, again, I'm stunned here.
[00:52:46.040 --> 00:52:57.952]  You'd think Steve Scalise would be a lot more hardened as a Republican against the Democrats, where he was one of the victims of an attempted mass murder by a Democrat, James Hodgkinson, on June 14, 2017.
[00:52:58.413 --> 00:53:01.356]  You say, what are you talking about, Owen?
[00:53:01.556 --> 00:53:02.277]  Oh, you didn't hear about that?
[00:53:03.288 --> 00:53:03.608]  Yeah, yeah.
[00:53:03.768 --> 00:53:07.550]  A Democrat tried to commit a mass shooting, a mass murder of Republicans.
[00:53:07.790 --> 00:53:10.371]  Of course the media covered it up, because that goes against the narrative.
[00:53:10.691 --> 00:53:15.133]  That Republicans are the bad guys, and conservatives are the bad guys, and January 6th was the worst event in D.C.
[00:53:15.174 --> 00:53:15.454]  history.
[00:53:16.074 --> 00:53:16.374]  No.
[00:53:17.435 --> 00:53:26.579]  No, a Democrat, James Hodgkinson, on June 14th, 2017, tried to commit a mass shooting, a mass murder of Republicans.
[00:53:27.717 --> 00:53:30.420]  And Steve Scalise was one of the people he tried to murder.
[00:53:30.460 --> 00:53:32.942]  Steve Scalise got shot and was in the ICU.
[00:53:33.422 --> 00:53:35.084]  Thank God he survived.
[00:53:38.927 --> 00:53:46.554]  And so you'd think he'd be a lot more hardened to go after these demon crats after he was almost murdered by them.
[00:53:46.654 --> 00:53:52.740]  But he pretty much just became a non-factor in Congress even after that.
[00:53:54.488 --> 00:53:57.449]  So I can understand why the people want Jim Jordan.
[00:53:57.889 --> 00:54:00.730]  At least Jim Jordan is leading these House committees.
[00:54:01.590 --> 00:54:04.311]  And at least Jim Jordan is calling out the Biden crime family.
[00:54:04.811 --> 00:54:09.333]  At least Jim Jordan is dribbling the ball around the field, around the court.
[00:54:13.405 --> 00:54:15.287]  And so, the people obviously want Jim Jordan.
[00:54:15.327 --> 00:54:20.290]  Now, okay, we'll see what a Jim Jordan speakership potentially looks like, but it looks like Steve Scalise is out, folks.
[00:54:20.831 --> 00:54:23.213]  So, this is even better than I thought.
[00:54:23.593 --> 00:54:29.137]  I knew that when Matt Gaetz successfully got the ouster of Kevin McCarthy that the game in D.C.
[00:54:29.177 --> 00:54:29.738]  had changed.
[00:54:30.518 --> 00:54:53.847]   I knew that when Kevin McCarthy got the ouster that Matt Gaetz won the battle for the heart and soul of the Republican Party, which now exists in the Republican voters, and now means that if you want to be a Republican in Congress, or the Speaker of the House, then you can't be an empty suit, you can't make promises that don't get fulfilled, you can't just be charismatic and say all the right things, you better do a damn thing.
[00:54:54.847 --> 00:54:56.369]  And McCarthy didn't do a damn thing.
[00:54:57.690 --> 00:55:02.954]  And he didn't fulfill his promises, and he was an empty suit, and clearly to me at this point he was working for the Democrats the entire time.
[00:55:05.407 --> 00:55:06.908]  So it looks like Scalise is out.
[00:55:08.328 --> 00:55:25.117]  Now, what's interesting is, guys pull up, I may not have sent this to you guys, I apologize if I didn't, but Ana Paulina Luna sent out a message basically saying here are the things that Scalise is going to have to agree to if he wants to get in, and it was all the types of stuff that we, the people, would want.
[00:55:26.337 --> 00:55:27.418]  Getting rid of lobbyists.
[00:55:28.669 --> 00:55:32.233]  Term limits, single-issue votes, and stuff like that.
[00:55:32.273 --> 00:55:40.622]  And so these were the things the Freedom Caucus and the Matt Gaetz wing of the Republican Party wanted in the next speaker, and McCarthy promised it, then didn't deliver, so he got the ouster.
[00:55:41.623 --> 00:55:44.986]  So, I don't know if Steve Scalise wasn't willing to commit to those things.
[00:55:45.987 --> 00:55:51.133]  I don't know what changed for a lot of these Republicans that did nominate him, but now are saying we can't have it.
[00:55:52.136 --> 00:55:56.698]  Yeah, they wanted him to defund Jack Smith, have an impeachment vote on Biden, and subpoena Hunter Biden.
[00:55:56.858 --> 00:55:58.499]  Yeah, we could all get behind those things.
[00:55:58.539 --> 00:55:59.780]  Those are long overdue.
[00:56:00.080 --> 00:56:02.861]  And the Speaker of the House can do every single one of those things.
[00:56:04.022 --> 00:56:04.742]  McCarthy didn't.
[00:56:05.882 --> 00:56:12.225]  So... Did Scalise... Was Scalise not willing to commit to these things?
[00:56:14.306 --> 00:56:19.389]  So the Republicans have been meeting behind closed doors for the last 48 hours, trying to work this out.
[00:56:20.430 --> 00:56:22.752]  And they landed on Scalise or Jordan.
[00:56:23.332 --> 00:56:33.499]  Scalise pretty narrowly won the vote to get the nomination, but something has happened since that vote has gone down, and now too many Republicans are saying, nope, we're not going to vote for Scalise.
[00:56:33.599 --> 00:56:35.341]  Looks like he doesn't have the votes, he's going to have to drop out.
[00:56:35.701 --> 00:56:49.711]  Now here's an interesting moment with Jim Jordan, and maybe he's just kind of trying to avoid the press at this moment, but worth showing you in clip one, when Jim Jordan was asked about this showdown between himself and Steve Scalise in clip one.
[00:56:52.053 --> 00:56:53.095]  The conference is divided.
[00:56:53.135 --> 00:56:54.616]  We need to come together.
[00:56:54.656 --> 00:56:56.298]  I'm working on it.
[00:56:56.378 --> 00:56:58.600]  I'm gonna do that.
[00:56:58.660 --> 00:57:00.182]  Like I said, the conference is divided right now.
[00:57:00.202 --> 00:57:00.943]  We need to come together.
[00:57:01.143 --> 00:57:04.546]  What do you need to hear to get the conference unified for a vote today?
[00:57:04.907 --> 00:57:07.810]  Do you think the vote happens today?
[00:57:08.190 --> 00:57:09.331]  I certainly hope so.
[00:57:10.359 --> 00:57:12.440]  You're not whipping any support for yourself anymore?
[00:57:13.061 --> 00:57:13.261]  Nope.
[00:57:14.081 --> 00:57:16.863]  Have you urged all your supporters to vote for Mr. Scalise?
[00:57:16.903 --> 00:57:17.743]  We're a divided conference.
[00:57:17.763 --> 00:57:19.364]  I'm trying to figure out how we can come together.
[00:57:19.484 --> 00:57:20.405]  But I'm not whipping anyone.
[00:57:20.485 --> 00:57:21.886]  I'm not talking to my colleagues right now.
[00:57:21.906 --> 00:57:23.707]  I'm talking to Congressman Scalise.
[00:57:23.787 --> 00:57:25.788]  How was your conversation with Congressman Scalise?
[00:57:25.828 --> 00:57:26.008]  Good.
[00:57:26.128 --> 00:57:28.190]  Are you interested in a majority leader?
[00:57:28.210 --> 00:57:28.370]  Uh, no.
[00:57:28.390 --> 00:57:32.452]  Where do you vote from here, Congressman?
[00:57:32.272 --> 00:57:34.272]  [inaudible]
[00:57:34.272 --> 00:57:40.272]   Do you continue to talk with the judiciary committee? What is your next step?
[00:57:40.272 --> 00:57:45.272]  [inaudible]
[00:57:45.272 --> 00:57:47.272]  I don't know. We'll find out.
[00:57:47.272 --> 00:57:53.272]  Okay, here's another statement from Anna Paulina Luna.
[00:57:53.272 --> 00:57:58.272]  .
[00:57:54.693 --> 00:57:55.833]  But there's Jim Jordan.
[00:57:56.394 --> 00:57:57.554]  To me, the translation is...
[00:57:58.789 --> 00:58:02.455]  If the votes are for me and that unifies the party, I'll take it.
[00:58:02.896 --> 00:58:08.284]  If the votes are for Scalise and that unifies the party, I'll vote for Scalise, but that's pretty much all I can translate from that.
[00:58:10.061 --> 00:58:13.422]  Another update statement from Representative Paulina Luna.
[00:58:13.522 --> 00:58:16.584]  I don't know that we go to the floor to vote tomorrow.
[00:58:16.644 --> 00:58:19.605]  Jim Jordan is who I voted for today in a closed conference.
[00:58:20.025 --> 00:58:26.688]  I will back who he endorses for one vote series, but after that, if there's no consensus candidate, we must find one that the conference agrees on.
[00:58:27.108 --> 00:58:35.971]  We are currently without leadership in a divided conference, facing a weaponized government, while facing a war that has broken out in Israel where Americans have been killed by terrorists.
[00:58:36.211 --> 00:58:46.573]   By the way, speaking of that, Joe Biden still not contacted the families of the Americans that are over there or potentially held hostage or have been killed.
[00:58:47.713 --> 00:58:52.936]  But Representative Cory Mills is over there and he has brought Americans home.
[00:58:54.037 --> 00:58:57.359]  Republican Congressman Cory Mills rescues 32 Americans trapped in Israel.
[00:58:57.659 --> 00:59:00.260]  If I have to do Joe Biden's job, then so be it.
[00:59:01.841 --> 00:59:04.743]  This Biden administration is such an abysmal failure on all of this.
[00:59:06.063 --> 00:59:13.365]   Even John Kirby, he's like, John Kirby makes a statement, He urges Americans in Israel to escape via commercial airline.
[00:59:13.585 --> 00:59:16.606]  There are no commercial flights, you jackass!
[00:59:17.326 --> 00:59:21.307]  They're all suspended, you blithering idiot!
[00:59:21.327 --> 00:59:25.708]  I mean, this administration is just a complete embarrassment.
[00:59:26.588 --> 00:59:35.970]  And that's why yesterday, a member of the press from the New York Post told Corrine Jean-Pierre that she should be ashamed and that their entire thing is an embarrassment.
[00:59:36.330 --> 00:59:38.731]  Now, I'm surprised that hasn't happened more often.
[00:59:40.004 --> 00:59:56.591]  And Mike Cernovich, I mean, probably the greatest moment in, I mean, outside of Peter Doocy and maybe some Simon Atiba, when Mike Cernovich got his White House press pass, he did the only thing he knew that he should do, and he basically excoriated the press, excoriated the whole situation, because it's all a clown show!
[00:59:58.001 --> 01:00:00.383]  It's all propaganda and they just all sit there and take it.
[01:00:00.423 --> 01:00:03.846]  But maybe they finally had enough of the lies from Karine Jean-Pierre.
[01:00:03.886 --> 01:00:08.269]  Maybe they finally had enough of the miscommunications between the Biden administration.
[01:00:08.309 --> 01:00:09.630]  Oh, we got money for Ukraine.
[01:00:09.670 --> 01:00:10.831]  No, we don't have money for Ukraine.
[01:00:11.071 --> 01:00:12.052]  Oh, we can fund everybody.
[01:00:12.112 --> 01:00:13.193]  No, we can't fund everybody.
[01:00:14.314 --> 01:00:16.095]  Oh, you need to get out on a commercial flight.
[01:00:16.155 --> 01:00:17.477]  No, the commercial flights are shut down.
[01:00:18.718 --> 01:00:20.839]  And then they only take questions from their stooges.
[01:00:20.879 --> 01:00:23.021]  They only take questions from their controlled operations.
[01:00:23.862 --> 01:00:25.263]  Except maybe from Peter Doocy.
[01:00:26.786 --> 01:00:28.126]  But okay, getting back to this.
[01:00:28.206 --> 01:00:31.708]  So, there's obviously not going to be a vote today.
