[00:00:00.029 --> 00:00:00.509]  Guess what?
[00:41:10.401 --> 00:41:26.145]  Thought that was a joke from, uh, MASH, where, you know, the guy's always running out of the military, so he wants to get a Section 8 to say he's mentally ill, but, especially if you're younger, you don't know about MASH, but there's a comedy show in the 60s and 70s based around the Korean War.
[00:41:27.305 --> 00:41:33.567]  Can we play the theme song, maybe, of MASH, if we can find it?
[00:41:35.615 --> 00:41:39.217]  Now just totally destroy the force right as they convert over to robots.
[00:41:39.797 --> 00:41:41.138]  I've been telling you that for 20 years.
[00:41:41.198 --> 00:41:41.578]  Here it is.
[00:41:41.838 --> 00:41:42.379]  And here it is.
[00:41:42.899 --> 00:41:46.601]  AI brings the robot wingman to aerial combat.
[00:41:48.422 --> 00:41:50.043]  This is out of the Defense Department.
[00:41:52.064 --> 00:41:52.544]  How now?
[00:41:53.965 --> 00:41:56.646]  They're gonna have to make sure you've all got a robot wingman.
[00:41:57.086 --> 00:42:04.755]   Plus, the pilots can't Seem to be able to fly anymore because of all the heart attacks and blood clots and myocarditis.
[00:42:05.376 --> 00:42:09.458]  So they've got that all taken care of.
[00:42:11.540 --> 00:42:11.940]  All right.
[00:42:14.742 --> 00:42:20.066]  Let's now, because we're doing the whole next hour on Hawaii, and boy, the biggest developments yet are about to come out.
[00:42:21.307 --> 00:42:25.790]  Let's talk about how the system plans to block us as we try to wake up humanity.
[00:42:27.051 --> 00:42:41.702]   Now, I talked about this over a decade ago, and we learned about it, and then I Talked about it a lot when I was under attack by it and watched congressional hearings where they had the CIA and the Defense Department at the House Armed Services Committee and the Senate Intelligence Committee that I wasn't invited to.
[00:42:41.742 --> 00:42:44.863]  And even when I went up there later for more hearings, they wouldn't let me in.
[00:42:44.883 --> 00:42:48.264]  Oh, we're just going to accuse you of being a Russian spy in here.
[00:42:48.805 --> 00:42:54.026]  You can't come in here and... Yeah, I'm a Russian spy.
[00:42:56.047 --> 00:42:56.247]  Sure.
[00:42:57.774 --> 00:42:59.456]  So, uh, here it is.
[00:42:59.516 --> 00:43:04.962]  The Washington Post calls for reducing free speech to improve democracy.
[00:43:04.982 --> 00:43:10.528]  So we gotta silence everybody that doesn't agree with us and all their past lies, or we're surrendering.
[00:43:14.847 --> 00:43:15.968]  And look how we're surrendering.
[00:43:16.408 --> 00:43:17.569]  We're surrendering to them, actually.
[00:43:17.589 --> 00:43:18.910]  There's a video of this.
[00:43:18.950 --> 00:43:26.375]  A 12-year-old student in Colorado Springs was removed from class and bitched out in front of the class for having a Gadsden flag patch on his backpack.
[00:43:26.876 --> 00:43:32.876]   That's the oldest flag, the first flag that we had at the start of the Revolutionary War, even before
[00:43:32.876 --> 00:43:43.196]   the militia leader's wife famously came up with the flag and knitted it,
[00:43:43.196 --> 00:43:46.394]  according to George Washington's specifications.
[00:43:46.684 --> 00:43:48.265]  She made the flag in less than one day.
[00:43:48.285 --> 00:43:55.350]  And, well, the school claims the flag has origins of slavery.
[00:43:55.791 --> 00:43:57.072]  Well, you could say that about the U.S.
[00:43:57.112 --> 00:43:57.953]  flag or any other flag.
[00:43:59.254 --> 00:44:00.254]  Kid just grins.
[00:44:00.294 --> 00:44:03.157]  He knows his history better than the teachers.
[00:44:07.483 --> 00:44:08.444]  Let's go ahead and roll the audio.
[00:44:08.264 --> 00:44:36.503]   here it is. You can go to Africa where slavery is still legal in six countries
[00:44:36.503 --> 00:44:38.503]  and say take down their flags.
[00:44:37.841 --> 00:44:39.281]  Or Saudi Arabia that has it going on.
[00:44:40.842 --> 00:44:41.722]  There's the U.S.
[00:44:41.742 --> 00:44:42.382]  flag right there.
[00:44:43.363 --> 00:44:45.764]  That later fought a revolution and a civil war to end slavery.
[00:44:46.264 --> 00:44:49.345]  But they've already said they want that flag too.
[00:44:49.365 --> 00:44:54.387]  And the comeback is the Gadsden flag is the oldest U.S.
[00:44:54.427 --> 00:44:55.147]  flag there is.
[00:44:56.188 --> 00:44:57.108]  Different variants of it.
[00:44:57.488 --> 00:45:02.010]  It's the colony should unite snake, don't tread on me, and then it's the first Navy flag.
[00:45:02.310 --> 00:45:03.411]  That's the Navy flag.
[00:45:04.346 --> 00:45:05.627]  The John Paul Jones flag.
[00:45:08.989 --> 00:45:12.091]  That is the oldest flag in the United States.
[00:45:13.872 --> 00:45:16.673]  That's actually what Benjamin Franklin wanted it to be, was a rattlesnake.
[00:45:18.174 --> 00:45:20.315]  Yeah, wouldn't an eagle be a rattlesnake?
[00:45:24.458 --> 00:45:27.079]  You know, you can make the joke that only the Mexicans have a snake on their flag.
[00:45:27.159 --> 00:45:29.260]  Actually, they're probably stealing it from us.
[00:45:29.280 --> 00:45:32.983]  But the point is, that's the original American flag.
[00:45:34.008 --> 00:45:34.989]  And they're saying you can't have it.
[00:45:35.009 --> 00:45:36.690]  Again, that's the level of this crap.
[00:45:36.750 --> 00:45:37.831]  I'm sorry, go ahead and play the video.
[00:45:39.292 --> 00:45:45.317]  That is what was, um, that's the reasoning behind them not having this label.
[00:45:45.377 --> 00:45:46.057]  The Gadsden Club.
[00:45:46.618 --> 00:45:47.518]  The Don't Try It On Me.
[00:45:49.260 --> 00:45:49.340]  Okay.
[00:45:49.380 --> 00:45:50.361]  Which is the Gadsden Club.
[00:45:51.662 --> 00:45:51.922]  Okay.
[00:45:52.062 --> 00:45:53.903]  Um, okay.
[00:45:53.923 --> 00:45:59.728]  So he, he, um, he's, what's gonna happen if he doesn't take it off?
[00:46:01.548 --> 00:46:02.989]  I mean, he is able to go.
[00:46:03.089 --> 00:46:08.110]  I was actually just telling him, like, I was upset that he was missing so much school.
[00:46:08.170 --> 00:46:08.771]  I'm like, ah!
[00:46:08.791 --> 00:46:12.132]  So, I asked him, can you just take his stuff out of his bag and go back to class?
[00:46:12.172 --> 00:46:13.532]  Like, I just want him to go back to class.
[00:46:13.632 --> 00:46:15.333]  Alright, it goes on for another two and a half minutes.
[00:46:15.353 --> 00:46:18.614]  We're going to post it on the live show feed on InfoWars.com.
[00:46:18.674 --> 00:46:20.615]  So, that's who these people are.
[00:46:20.875 --> 00:46:21.755]  They want control of everything.
[00:46:22.216 --> 00:46:26.937]  Judge rejects sorority sister's lawsuit blocking trans women from joining.
[00:46:27.677 --> 00:46:28.878]  The court will not define a woman.
[00:46:31.087 --> 00:46:34.848]  But they'll define your quote, a minority for special benefits.
[00:46:36.649 --> 00:46:41.410]  Half of transgender prison inmates convicted of sex crimes, Wisconsin data shows.
[00:46:43.191 --> 00:46:47.992]  Parents slam California school for holding no whites allowed kids play date at school.
[00:46:48.452 --> 00:46:52.194]  The left's doing this everywhere to separate people, and it's weirdo white people running it.
[00:46:55.314 --> 00:46:58.535]  And again, judges are saying we're going to put a fat man in your sorority club.
[00:46:58.876 --> 00:46:59.856]  We can't define a woman.
[00:47:01.408 --> 00:47:03.070]  They're all waging war against us.
[00:47:03.591 --> 00:47:04.532]  Robert F. Kennedy Jr.
[00:47:04.772 --> 00:47:06.814]  tweeted a very powerful tablet mag report.
[00:47:07.695 --> 00:47:08.356]  Everybody should read it.
[00:47:08.396 --> 00:47:09.177]  It's very lengthy.
[00:47:09.197 --> 00:47:09.597]  How the U.S.
[00:47:09.638 --> 00:47:11.099]  government is information enterprise.
[00:47:11.480 --> 00:47:12.901]  It's destroying liberal democracy.
[00:47:13.602 --> 00:47:14.463]  I'm not exaggerating.
[00:47:14.523 --> 00:47:16.205]  Read this monumental article.
[00:47:16.245 --> 00:47:18.588]  Yeah, it's like 30, 40 pages long.
[00:47:18.608 --> 00:47:19.289]  I read the whole thing.
[00:47:19.309 --> 00:47:20.871]  Dead on.
[00:47:22.290 --> 00:47:34.502]  Meanwhile, Ireland's media minister says under the UN rules and the EU rules, the DSA, every state will designate a body when it comes to misinformation on the internet and fining, banning and arresting people.
[00:47:35.763 --> 00:47:36.483]  There's video of that.
[00:47:37.404 --> 00:47:42.930]  Fauci talks about having to go after people that say that masks don't work and that his shots don't work.
[00:47:44.371 --> 00:47:47.534]  The censorship is everywhere.
[00:47:51.263 --> 00:47:53.404]  All right, we're gonna go to break, start the next hour.
[00:47:54.264 --> 00:47:59.287]  We've got huge guests on, eyewitness reporters in Lahaina, in Maui.
[00:48:00.507 --> 00:48:02.348]  And this is a cautionary tale to everybody.
[00:48:03.068 --> 00:48:04.749]  Over a thousand dead children missing.
[00:48:04.929 --> 00:48:06.950]  They're putting up black curtains all around the town.
[00:48:07.590 --> 00:48:09.271]  I mean, this is a desperate cover-up.
[00:48:11.263 --> 00:48:12.144]  Happening right now.
[00:48:12.164 --> 00:48:13.485]  We're going to be talking about that.
[00:48:14.306 --> 00:48:16.207]  Coming up, we have huge Ukraine news.
[00:48:16.708 --> 00:48:17.989]  Ukraine has definitely lost the war.
[00:48:18.009 --> 00:48:19.430]  It's not Ukraine, the globalists have.
[00:48:20.451 --> 00:48:21.512]  That's all coming up.
[00:48:22.132 --> 00:48:24.154]  We've got a big second, third, and fourth hour.
[00:48:24.174 --> 00:48:25.475]  I'm hosting all four hours today.
[00:48:25.875 --> 00:48:29.438]  Please spread the word and tell people to tune in right now to InfoWars.com forward slash show.
[00:48:29.559 --> 00:48:36.559]  When you do that, it changes the world.
[00:48:36.559 --> 00:48:43.559]  [Music]
[00:48:44.559 --> 00:48:50.559]  [Music]
[00:48:50.559 --> 00:48:52.559]  I need financing to fight the Globalist Plus.
[00:48:52.779 --> 00:48:53.960]  We've got great products you need.
[00:48:54.420 --> 00:48:55.221]  These are historic.
[00:48:55.701 --> 00:48:56.541]  They're one-of-a-kind.
[00:48:56.641 --> 00:48:58.662]  We sold out of Alex Jones for President shirt.
[00:48:59.123 --> 00:49:00.543]  Told you, these are all limited editions now.
[00:49:01.464 --> 00:49:11.529]  And we have a few of the Political Prisoner original mugshot, which is not the real mugshot, that you can get at infowarestore.com for $17.76.
[00:49:11.649 --> 00:49:18.242]   But what we do have being printed right now, Is the real Trump mugshot Never Surrender t-shirt.
[00:49:18.962 --> 00:49:20.383]  And on the front says Trump 2024.
[00:49:20.764 --> 00:49:22.745]  On the back it says Never Surrender.
[00:49:22.765 --> 00:49:23.786]  That's what he said yesterday.
[00:49:23.926 --> 00:49:25.507]  Infowars.com.
[00:49:25.607 --> 00:49:30.891]  So Trump 2024 in black and white and in gold with Never Surrender on the back.
[00:49:31.311 --> 00:49:33.873]  And that's a designer shirt, ladies and gentlemen.
[00:49:34.113 --> 00:49:35.874]  High quality fabric, high quality printing.
[00:49:36.535 --> 00:49:40.478]  So when we're selling these for $17.76, we paid like 15 bucks for these.
[00:49:41.158 --> 00:49:43.019]  So we're just selling that one almost at cost.
[00:49:43.480 --> 00:49:44.340]  It's almost gone.
[00:49:44.380 --> 00:49:50.380]   So the original limited edition political prisoner shirt that is not the accurate mug shot,
[00:49:50.380 --> 00:49:53.139]   something we came up with, when they were originally gonna do it, didn't.
[00:49:53.139 --> 00:49:56.860]  Then we now have the real mug shot.
[00:49:56.860 --> 00:49:59.059]  And if you want those, they're being printed right now.
[00:49:59.059 --> 00:50:02.980]   Anybody tells you you've got the shirt, it isn't a two week wait, is full of it.
[00:50:02.980 --> 00:50:04.860]  We put the order in this morning.
[00:50:04.860 --> 00:50:07.180]  They'll be done in about a week and a half.
[00:50:07.180 --> 00:50:09.219]  They're making them right here in Texas.
[00:50:09.219 --> 00:50:10.300]  They'll be shipping out.
[00:50:10.300 --> 00:50:16.059]   So get your orders in now to get a piece of history, Trump 2024 in black and white,
[00:50:16.059 --> 00:50:19.860]   the real mug shot, never surrender on the back, Infowars.com.
[00:50:19.860 --> 00:50:21.778]  And we have the gold one as well.
[00:50:21.778 --> 00:50:25.260]   I think the gold will be the most popular, but we will see.
[00:50:25.544 --> 00:50:26.865]  All three shirts now available.
[00:50:27.186 --> 00:50:28.226]  The original, ready to ship.
[00:50:28.567 --> 00:50:30.048]  Limited edition, about to sell out.
[00:50:30.448 --> 00:50:31.929]  And we also have a flash sale of X3.
[00:50:31.989 --> 00:50:33.690]  Limited supply came in.
[00:50:33.810 --> 00:50:34.731]  And Vita Mineral Fusion.
[00:50:35.051 --> 00:50:36.533]  Both are selling out very, very quickly.
[00:50:36.873 --> 00:50:38.474]  But despite that, they're 40% off.
[00:50:38.814 --> 00:50:40.335]  That's what finances this operation.
[00:50:40.155 --> 00:50:59.354]  I want to thank you all for your support.
[00:50:59.526 --> 00:51:01.688]  You better believe you've got one!
[00:51:03.629 --> 00:51:09.629]   From the front lines of the information war, it's Alex Jones.
[00:51:33.129 --> 00:51:38.629]   In 1972, The Limits to Growth was published by the Club of Rome.
[00:51:38.917 --> 00:51:45.180]  The book suggested that swift human depopulation would save the planet.
[00:51:45.240 --> 00:51:52.004]  In 2018, The Limits to Growth co-author Dennis Meadows explained how we need to murder billions of people.
[00:51:52.324 --> 00:51:59.308]  The planet can support something like a billion people.
[00:52:01.648 --> 00:52:07.616]  Maybe two billion, depending on how much liberty and how much material consumption you want to have.
[00:52:07.636 --> 00:52:13.222]  If you want more liberty and more consumption, you have to have fewer people.
[00:52:13.843 --> 00:52:16.306]  And conversely, you can have more people.
[00:52:16.326 --> 00:52:24.113]   I mean, we could even have Eight or nine billion, probably, if we have a very strong dictatorship, which is smart.
[00:52:24.934 --> 00:52:27.336]  Unfortunately, you never have smart dictatorships.
[00:52:27.356 --> 00:52:28.336]  They're always stupid.
[00:52:28.636 --> 00:52:32.459]  But if you had a smart dictatorship and a low standard of living, you could have it.
[00:52:33.239 --> 00:52:35.901]  But we want to have freedom and we want to have a high sentence.
[00:52:36.241 --> 00:52:37.542]  So we're going to have a billion people.
[00:52:37.983 --> 00:52:38.843]  And we're now at seven.
[00:52:39.484 --> 00:52:40.504]  So we have to get back down.
[00:52:41.285 --> 00:52:48.810]  I hope that this can be slow, relatively slow, and that it can be done in a way which is relatively equal.
[00:52:49.410 --> 00:52:51.152]  Overpopulation is a lie.
[00:52:51.532 --> 00:52:58.977]  With old-school sustainable farming and the end of big government, there is enough room on this planet for several billion.
[00:52:59.598 --> 00:53:05.282]  And while the Earth's climate does change, most of what we are seeing is contrived.
[00:53:05.782 --> 00:53:10.206]  The fires breaking out all across the world are being blamed on climate change.
[00:53:10.626 --> 00:53:13.827]  Even though hundreds of arsonists have been caught starting them.
[00:53:14.187 --> 00:53:19.229]  Most recently, 79 people were arrested for starting fires in Greece.
[00:53:19.850 --> 00:53:29.793]  Direct energy weapons, or DEWS, are able to start fires from above and can utilize microwave technology to burn homes from within.
[00:53:31.094 --> 00:53:36.056]  In 2013, the mainstream media reported that we were able to make rain and lightning.
[00:53:36.076 --> 00:53:37.456]  I mean, lasers?
[00:53:37.796 --> 00:53:38.237]  Really?
[00:53:38.337 --> 00:53:39.197]  To change the weather?
[00:53:39.457 --> 00:53:43.860]  By firing trillion-watt lasers, you rip apart the electrons, creating what I call ions.
[00:53:44.180 --> 00:53:49.384]  And these ions act like seeds, like dust particles, bringing down rain and even lightning.
[00:53:49.644 --> 00:53:54.688]  This week in Michigan, residents reported a strange strobe-like lightning.
[00:53:55.308 --> 00:54:00.592]  The event was captured on weather radar, which showed a very unnatural-looking spiral.
[00:54:02.173 --> 00:54:04.375]  That's some conspiracy theory shit right there.
[00:54:05.094 --> 00:54:09.377]  Making it rain has been possible for decades, and we have come a long way since then.
[00:54:09.757 --> 00:54:24.306]  With the High Frequency Active Auroral Research Program, known as HAARP, we can now create hurricanes, and we can control their direction with next-generation weather radar transmitters, known as NEXRAD.
[00:54:25.086 --> 00:54:37.932]  By building up an electromagnetic charge and dispersing it underground as direct current VLF waves or very low frequency waves, the NEXRAD radar transmitters are able to trigger earthquakes.
[00:54:38.732 --> 00:54:41.674]  Earthquakes and explosives can trigger tsunamis.
[00:54:42.854 --> 00:54:48.516]  These are the technologies that we know of, and that only leaves volcanoes and tornadoes.
[00:54:49.477 --> 00:54:59.941]  Funded by Peter Thiel, AVE Tech Energy Corporation began work in 2012 on a device to produce a 130-foot-tall tornado.
[00:55:00.261 --> 00:55:01.161]  And a former U.S.
[00:55:01.221 --> 00:55:05.723]  intelligence officer recently told State of the Nation that the U.S.
[00:55:05.923 --> 00:55:07.804]  has already triggered a volcano.
[00:55:08.604 --> 00:55:16.408]  Climate change is not only a hoax, it's a depopulation program, and our entire government is going along with it.
[00:55:17.389 --> 00:55:20.588]  Reporting for InfoWars, this is Greg Reese.
[00:55:45.228 --> 00:55:52.827]   It's been more than two weeks, what, 20 days or so since the tragic, historic fires hit
[00:55:52.827 --> 00:55:59.309]   Maui, Hawaii, in Lahaina, a place I've been many, many times for well watching and
[00:55:59.309 --> 00:56:06.827]   luau's, you name it, one of the best places in my favorite place to visit in the 50 states, Hawaii.
[00:56:06.827 --> 00:56:07.669]  Bye.
[00:56:08.195 --> 00:56:17.297]  And when we first saw eyewitnesses like Fish and others, who I looked up in our town fixtures, who are very credible, saying that they blocked off the roads, I was blown away.
[00:56:18.097 --> 00:56:19.277]  I believed him, but I had to prove it.
[00:56:19.997 --> 00:56:22.618]  Then the locals came forward and said, no, same thing happened to us.
[00:56:22.658 --> 00:56:27.498]  And then countless videos of people that went ahead and broke through the blockade that survived.
[00:56:28.038 --> 00:56:29.319]  Thousands others didn't.
[00:56:29.679 --> 00:56:31.239]  But the big question is, where are the children?
[00:56:32.859 --> 00:56:36.500]  Now, Fish called it a coordinated event.
[00:56:37.563 --> 00:56:39.484]  Or choreographed destruction.
[00:56:40.125 --> 00:56:41.646]  I called it administrative mass murder.
[00:56:41.686 --> 00:56:42.987]  We don't blame the police themselves.
[00:56:43.847 --> 00:56:46.830]  They were compartmentalized and didn't know that both ends had been blocked.
[00:56:46.850 --> 00:56:48.531]  They didn't know the fire was coming in.
[00:56:48.611 --> 00:56:52.293]  Once they did, basically too late, they tried to let the folks through.
[00:56:52.414 --> 00:56:52.994]  Some got out.
[00:56:53.935 --> 00:56:57.037]  So for the balance of the hour, Eric West joins us.
[00:56:58.017 --> 00:57:01.980]  He's a well-known real estate agent and businessman in the area, very respected.
[00:57:02.501 --> 00:57:03.701]  He's also a citizen journalist.
[00:57:04.765 --> 00:57:09.587]  And he has been showing the black tarps they're putting up around the town, the 12-mile exclusion zone.
[00:57:10.067 --> 00:57:12.988]  He was manhandled and thrown out yesterday.
[00:57:13.668 --> 00:57:19.090]  We've got that video coming up, but we know they left almost all the power on.
[00:57:19.110 --> 00:57:20.250]  They did turn off one system.
[00:57:21.691 --> 00:57:24.192]  Now, Blackrock that owns it's denying it, but it's all confirmed.
[00:57:24.212 --> 00:57:30.534]  We see the power lines falling, the fires, countless videos of people's ring doorbells.
[00:57:32.230 --> 00:57:46.976]  We see them not delivering in the water, denying it that day, during the fires, admitting they did it, with the local water district that is headed up by an Obama Foundation member, who's big in Hawaii, obviously.
[00:57:49.017 --> 00:57:53.718]  And then we learn about the blockade, and the sirens not being turned on.
[00:57:54.459 --> 00:57:55.939]  It's simply staggering.
[00:57:56.920 --> 00:57:59.961]  So I've got a lot of videos to play here, and we're going to be getting to them.
[00:58:00.976 --> 00:58:10.179]  Of this citizen being thrown out of his own town yesterday in a live stream of the cover-up.
[00:58:11.580 --> 00:58:14.001]  And the big question is, who gave the orders?
[00:58:14.781 --> 00:58:23.664]  Who coordinated this symphony of destruction, or as Fish called it, coordinated destruction?
[00:58:23.984 --> 00:58:28.926]  Because you can have, as Fish said and as Eric West said, one thing fail.
[00:58:30.319 --> 00:58:31.279]  Maybe he should say it in his own words.
[00:58:31.299 --> 00:58:33.500]  He says it better than I. You'd say, well, that can happen.
[00:58:33.560 --> 00:58:34.341]  Or two, yeah, maybe.
[00:58:34.781 --> 00:58:45.685]  But when everything fails perfectly, and it's the most valuable land in the United States, per square inch, in that little town, it's incredible.
[00:58:47.046 --> 00:58:48.406]  Absolutely incredible.
[00:58:49.167 --> 00:58:53.348]  And some of these families are completely wiped away, and we're not hearing anything about them.
[00:58:53.508 --> 00:58:55.249]  The mainstream media is not asking, where are the children?
[00:58:56.550 --> 00:58:59.011]  So, joining us is Eric West of hawaiirealestate.org.
[00:59:00.242 --> 00:59:06.207]  MauiLFG.org and I'm told by locals he's doing a great job actually getting aid to them.
[00:59:07.287 --> 00:59:13.072]  We have FEMA getting $1,000 a night rooms at the Four Seasons owned by Bill Gates.
[00:59:15.194 --> 00:59:18.196]  Hawaii is very expensive because the billionaires that have all moved there, over 100 of them.
[00:59:20.871 --> 00:59:28.536]  And the cheapest hotels, $200, $300 a night, $700 one-time payment for whole families, when almost $200 billion has been shipped to Ukraine.
[00:59:28.576 --> 00:59:36.161]  This is a sick joke, but it's really captured the soul of America and the world, and people are really having a big wake-up here.
[00:59:36.441 --> 00:59:40.504]  Biden refused in four different events for the first couple of weeks to even talk about it.
[00:59:41.144 --> 00:59:42.405]  Then he did show up.
[00:59:43.286 --> 00:59:52.707]   So to talk about the waterfront, and what really happened is Eric West, And we'll go through these videos if you want to.
[00:59:53.786 --> 00:59:54.706]  And ask which one you want.
[00:59:54.946 --> 00:59:55.486]  We'll play them.
[00:59:55.626 --> 00:59:57.687]  We're getting the clip right now of them handling you.
[00:59:58.047 --> 00:59:58.967]  We just learned about that.
[00:59:59.347 --> 01:00:00.287]  They've done it to other reporters.
[01:00:00.307 --> 01:00:00.847]  We've seen the footage.
[01:00:00.867 --> 01:00:07.809]  But first, here's a short two-and-a-half-minute compilation from a 30-something minute interview we did with Fish a couple other days ago.
[01:00:07.829 --> 01:00:10.949]  And again, Fish is somebody who's not from there.
[01:00:11.009 --> 01:00:12.450]  I call him a local, but he's a fixture.
[01:00:12.490 --> 01:00:13.010]  They all love him.
[01:00:13.770 --> 01:00:14.670]  And he's very respected.
[01:00:14.930 --> 01:00:15.890]  And he told us what he saw.
[01:00:16.510 --> 01:00:17.851]  He was the first voice that got out.
[01:00:18.191 --> 01:00:18.771]  Barely survived.
[01:00:19.491 --> 01:00:20.612]  But now we have the videos.
[01:00:20.692 --> 01:00:21.332]  It's all confirmed.
[01:00:21.372 --> 01:00:22.693]  They admit they left the power on.
[01:00:22.993 --> 01:00:24.154]  They admit they didn't give them the water.
[01:00:24.494 --> 01:00:26.675]  They admit they didn't trim the trees and brush.
[01:00:27.495 --> 01:00:29.036]  They admit they didn't activate the sirens.
[01:00:29.056 --> 01:00:30.677]  They admit they blockaded them inside.
[01:00:32.758 --> 01:00:37.441]  But here is what Fish said a few days ago with Eric West.
[01:00:38.021 --> 01:00:40.902]  The only people survived are the ones that went through the barricade.
[01:00:40.922 --> 01:00:45.505]  It was a choreographed disaster.
[01:00:46.303 --> 01:00:48.606]  You know, the pattern of it is just too obvious.
[01:00:48.626 --> 01:01:00.121]  You know, not only were they blocking where I was at, the other end of town I found out they had, Maui Electric was trying to set the poles up during the wind, and they had the highway blocked off with that.
[01:01:02.244 --> 01:01:06.566]  The lack of communication, the sirens not going off, the water not being used.
[01:01:06.587 --> 01:01:08.848]  I mean, you could go on and on.
[01:01:10.769 --> 01:01:14.952]  And then they're lying to us about the people and the children.
[01:01:14.972 --> 01:01:18.675]  That's why a lot of people have been contacting me because they want to know what happened to the kids.
[01:01:19.095 --> 01:01:20.536]  All you have to do is extrapolate.
[01:01:20.576 --> 01:01:24.518]  There's 3,001 students in Lahaina.
[01:01:24.538 --> 01:01:25.939]  1,000 of them have been accounted for.
[01:01:26.400 --> 01:01:29.041]  They're going to either alternative schools or online.
[01:01:29.602 --> 01:01:30.062]  That's 2,000 children.
[01:01:31.343 --> 01:01:37.663]   not accounted for. And I looked over at the policeman and I said, "What are you doing?"
[01:01:37.663 --> 01:01:43.102]   He says, "I'm just following orders." I said, "There's a fire back there."
[01:01:43.102 --> 01:01:50.862]   And he goes, "I'm just following orders and I'm wondering what is going on."
[01:01:51.123 --> 01:02:05.551]  Well, it's something probably anyone who's been on the internet for 30 years like I have knows, that BlackRock and Vanguard are the owners of the Hawaiian Electric Company, where FEMA's stand at their $1,000 plus rooms is owned by Bill Gates.
[01:02:07.092 --> 01:02:09.013]  All the same names keep popping up.
[01:02:09.553 --> 01:02:16.459]  The sheriff who was involved with the Las Vegas Duplico, he was here for five weeks.
[01:02:16.919 --> 01:02:19.441]  He wants a 29% increase in pay.
[01:02:19.461 --> 01:02:22.323]  And he's not only the police chief, but he's the coroner.
[01:02:22.823 --> 01:02:23.043]  Right.
[01:02:23.204 --> 01:02:25.025]  Which is against the statute, right?
[01:02:25.065 --> 01:02:26.586]  Against the statute of the Hawaii law.
[01:02:26.666 --> 01:02:27.847]  But there it is.
[01:02:28.087 --> 01:02:29.428]  You know, what are you going to do about it?
[01:02:29.969 --> 01:02:30.189]  Right.
[01:02:30.269 --> 01:02:32.070]  So, he's in charge as the coroner.
[01:02:33.431 --> 01:02:39.720]  Well, it's the same as Hunter Thompson who wrote a book on George Bush and he was very excited about getting it published.
[01:02:40.181 --> 01:02:44.387]  Two days before it was getting published, he committed suicide by shooting himself in the head twice.
[01:02:44.407 --> 01:02:48.072]  Turner put it out as a suicide.
[01:02:48.893 --> 01:02:49.073]  So...
[01:02:51.098 --> 01:02:59.105]  And the same video, we'll play clips coming up, he witnessed them block the road out and, after they directed people into the town, the road out the other direction.
[01:02:59.886 --> 01:03:01.467]  So, who gave the orders?
[01:03:01.967 --> 01:03:04.049]  Eric West, thank you for joining us today.
[01:03:04.069 --> 01:03:13.858]  I'm going to try to give you the floor until we got a break in about 15 minutes to talk about what you witnessed, what you've seen, the bizarreness of this, the ongoing obvious cover-up.
[01:03:15.137 --> 01:03:16.158]  How the people are responding.
[01:03:16.198 --> 01:03:17.760]  I've seen the different council meetings.
[01:03:18.480 --> 01:03:20.142]  The Hawaiians are usually pretty calm and nice.
[01:03:20.182 --> 01:03:21.063]  They're hopping mad.
[01:03:21.483 --> 01:03:25.527]  Both the people that are indigenous, but also folks that have now called Hawaii home.
[01:03:26.048 --> 01:03:27.249]  So you're right in the middle of it.
[01:03:27.910 --> 01:03:29.972]  You've got a lot of courage to be going up against this system.
[01:03:30.552 --> 01:03:31.253]  Give us your breakdown.
[01:03:33.680 --> 01:03:35.442]  First of all, thanks Alex for having me on the show.
[01:03:35.462 --> 01:03:36.383]  I appreciate it.
[01:03:36.423 --> 01:03:58.189]   I've been following you for years and I just want to just give you a shout out for what you've done as a patriot and for leading the charge in this thing and everything that they say was a conspiracy as always seems to come true and I want to get in front of this thing so we'll talk about what's happened but I really want to encourage your listeners Let's get into action here.
[01:03:58.751 --> 01:04:03.843]  Let's make this a call to action, not just to fellow patriots, but to the world because I believe this is...
[01:04:04.736 --> 01:04:28.063]   The beginning of something really bad or can be the beginning of something really amazing in terms of an awakening and this is now in the world stage and this needs to be played out in the world court if you will because there's people that died here that were from all different countries and as you know a lot of things become an issue as jurisdiction and I don't believe this is is no longer in the jurisdiction of Hawaii?
[01:04:28.123 --> 01:04:30.625]  I believe this is not even in the jurisdiction of the federal courts.
[01:04:30.665 --> 01:04:34.888]  I believe this is in the jurisdiction of the world, and the world needs to pay attention and needs to wake up.
[01:04:35.668 --> 01:04:41.993]  But I'll walk you through what's happened so far, and I could go through the colossal list of items that have gone wrong.
[01:04:42.013 --> 01:04:42.233]  Please!
[01:04:42.273 --> 01:04:42.593]  You live there?
[01:04:42.613 --> 01:04:42.933]  Break it down.
[01:04:46.514 --> 01:04:53.442]  Okay, the colossal list of everything that went wrong simultaneously, and I'm not here to point the finger at who or what.
[01:04:53.963 --> 01:04:57.026]  I'm just going to show you what we are seeing and what we've seen.
[01:04:57.046 --> 01:05:05.035]  But let's begin with the first thing, which is the total, utter lack of communication that we've had on the west side of Maui.
[01:05:05.115 --> 01:05:08.978]   I'm here Just north of the burn zone, north of Lahaina, very close.
[01:05:08.998 --> 01:05:11.879]  The fire came within a mile or two of my home.
[01:05:12.259 --> 01:05:14.681]  We've been evacuated three times.
