[00:00:00.249 --> 00:00:01.410]  Z for defeat.
[00:34:23.621 --> 00:34:28.024]  But remember, as Julian Assange taught us, the point, the goal of the war is not to win.
[00:34:28.084 --> 00:34:29.926]  The goal of the war is to be continuous.
[00:34:30.246 --> 00:34:33.488]  The goal of the war is to continue the war on.
[00:34:33.608 --> 00:34:36.390]  Their goal here is regime change in Russia.
[00:34:36.430 --> 00:34:39.292]   And the only way that they can continue Well, they don't care.
[00:34:39.112 --> 00:34:43.871]   because they've already destroyed, and you and I spoke to Elon Musk about this on Sunday
[00:34:43.871 --> 00:34:47.711]   night and he talked about it, they've already destroyed the flower of Ukrainian youth.
[00:34:47.711 --> 00:34:52.811]   That country or whatever's left of Ukraine, the dysfunctional rump state that Ukraine
[00:34:52.811 --> 00:34:55.432]  will become at the end of this, they don't care about that.
[00:34:55.432 --> 00:34:56.432]  They don't care about how many Ukrainian sons and daughters.
[00:34:56.432 --> 00:35:00.951]   Remember Lloyd Austin said at the beginning, "This is great, we're going to degrade Russia."
[00:35:00.951 --> 00:35:04.311]  They admitted day one, this is about degrading Russia.
[00:35:04.311 --> 00:35:05.552]  Ukraine would never win.
[00:35:05.552 --> 00:35:11.932]   The Washington Post said that all of the objectives are being achieved and it's actually been
[00:35:11.932 --> 00:35:17.072]  a huge success, except for of course for the Ukrainians.
[00:35:17.694 --> 00:35:19.556]  Except, of course, for the Ukrainian people.
[00:35:19.776 --> 00:35:20.496]  So guess what?
[00:35:21.137 --> 00:35:22.158]  Who's next on the block?
[00:35:22.278 --> 00:35:23.379]  It's going to be NATO troops.
[00:35:23.539 --> 00:35:24.780]  It's going to be NATO forces.
[00:35:25.020 --> 00:35:26.561]  They might try to get the Poles involved.
[00:35:26.781 --> 00:35:30.104]  They might try to get other forces from Lithuania, maybe get the Germans.
[00:35:30.604 --> 00:35:32.245]  Finland is now talking about joining NATO.
[00:35:32.586 --> 00:35:37.630]  And so, of course, but we all know that the majority of NATO would be American troops.
[00:35:37.730 --> 00:35:39.071]  And guess what, boys and girls?
[00:35:39.291 --> 00:35:43.594]  There's already American troops that are situated right there in Europe right now.
[00:35:43.614 --> 00:35:44.555]  Those are not boys and girls.
[00:35:44.575 --> 00:35:48.355]   that are waiting to go over. We've already got troops in Europe in the
[00:35:48.355 --> 00:35:53.334]   theater which could be activated through EUCOM very very quickly at a moment's
[00:35:53.334 --> 00:35:57.254]   notice. And Jack we know because I know people very close to me they don't give
[00:35:57.254 --> 00:36:01.474]   me the you know they get her they didn't tell me the details but yeah juniors in
[00:36:01.474 --> 00:36:11.238]   Poland wink wink this is a year and a half ago So I've got people very close to me that are in army special operations and stuff and like, you know, we're waiting, he hopefully comes back for Thanksgiving, hopefully he doesn't get killed.
[00:36:11.258 --> 00:36:12.058]  And it's like, well, where is he?
[00:36:12.078 --> 00:36:13.479]  They're like, where do you think he is?
[00:36:13.899 --> 00:36:15.760]  I know some other guys whose sons are over there.
[00:36:16.060 --> 00:36:16.820]  I'll just leave it at that.
[00:36:16.840 --> 00:36:19.601]  This goes back years even before this started.
[00:36:20.141 --> 00:36:23.642]  So but but they're sheep dipped as contractors or liaisons with NATO.
[00:36:23.683 --> 00:36:25.923]  So how do they roll out the false flags?
[00:36:26.203 --> 00:36:27.364]  What type of false flag?
[00:36:27.984 --> 00:36:37.850]  Alex, remember, when those leaked documents came out from that National Guard and National Air Guardsman up in Massachusetts, they told us that special forces are already all over Ukraine.
[00:36:38.290 --> 00:36:39.051]  All over Ukraine.
[00:36:39.071 --> 00:36:44.954]  And when I was in Ukraine, when I met with people, they said, yeah, we've got American forces here, we've got special forces, CIA, we've got everyone soft.
[00:36:45.294 --> 00:36:46.875]  That they've been in Ukraine since day one.
[00:36:46.915 --> 00:36:48.016]  Since before day one.
[00:36:48.276 --> 00:36:49.476]  They were all over Ukraine.
[00:36:49.497 --> 00:36:50.997]  So of course we're going to put people in there.
[00:36:51.258 --> 00:36:52.858]  And then what happens, right?
[00:36:53.159 --> 00:36:53.879]  What happens, Alex?
[00:36:53.919 --> 00:37:00.123]  Then they say something goes wrong and then we hear in the press that, oh, there was a helicopter accident.
[00:37:00.203 --> 00:37:03.665]  Or there was a very sad training situation that went bad.
[00:37:03.685 --> 00:37:06.526]  Oh, some Delta Force guys crashed in a Black Hawk in the Mediterranean.
[00:37:06.546 --> 00:37:10.308]  It just happened to be in the Mediterranean, which was I think more related to Hamas.
[00:37:10.328 --> 00:37:11.209]  But you get what I'm saying.
[00:37:11.489 --> 00:37:25.438]   That the helicopter crash will be used as a cover For something that went sideways on people, on a mission, on the ground, in a theater that we do not want to acknowledge that American Special Forces are currently operating.
[00:37:25.958 --> 00:37:26.499]  Well that's right.
[00:37:26.539 --> 00:37:27.620]  So, and that's all come out.
[00:37:27.660 --> 00:37:28.400]  So let's talk.
[00:37:29.181 --> 00:37:30.682]  What type of false flag do you think they'll use?
[00:37:31.042 --> 00:37:33.884]  Let's put a bow on that and move on to the open devil worship here in America.
[00:37:34.983 --> 00:37:40.109]  Well look, Alex, we said before that Kinetic would obviously be the strongest.
[00:37:40.130 --> 00:37:41.872]  We've seen these Kinetic false flag attacks.
[00:37:42.272 --> 00:37:51.524]  They've just conducted a massive false flag economic attack and also environmental attack on Nord Stream 2, which was an energy project between Russia and Germany.
[00:37:51.604 --> 00:37:53.887]  Germany, by the way, which is a NATO country.
[00:37:54.267 --> 00:37:55.307]  Which is a NATO country.
[00:37:55.347 --> 00:38:00.128]  Now they're blaming it on the Ukrainians, and so they're trying to get out of it.
[00:38:00.148 --> 00:38:08.490]  But if you want me to believe that the CIA and MI6 played no role in that whatsoever, then you know what?
[00:38:08.510 --> 00:38:10.151]  I got a hard drive to sell you, right?
[00:38:10.231 --> 00:38:12.171]  I got some Russian spies to sell you.
[00:38:12.471 --> 00:38:13.772]  Because this is ridiculous.
[00:38:13.892 --> 00:38:20.993]  Of course Western intelligence played a role in the bombing of Nord Stream 2, and they used it as a false flag to blame on Russia.
[00:38:21.013 --> 00:38:23.114]  So that's number one, kinetic false flag attack.
[00:38:23.434 --> 00:38:27.874]   Number two is one of these cyber attacks, the same way that we had one of these cyber
[00:38:27.874 --> 00:38:33.713]   attacks, we had a cyber attack in 2016, which was used politically here in the United States
[00:38:33.713 --> 00:38:40.234]   domestically to blame Trump, blame all Trump supporters, say you hacked the DNC when we
[00:38:40.234 --> 00:38:44.034]   know that it was WikiLeaks and they were never able to definitively prove what happened there
[00:38:44.034 --> 00:38:48.653]   and they blamed that cyber attack on Russia and they said that you were doing it in conjunction
[00:38:48.653 --> 00:38:49.653]  with them.
[00:38:49.653 --> 00:38:52.133]  Roger Stone, they tried to put him in jail over this.
[00:38:52.133 --> 00:38:54.074]  They tried to put Steve Bannon in jail over this.
[00:38:54.074 --> 00:38:56.394]  They tried to go after you, Alex, regarding this.
[00:38:56.394 --> 00:39:00.134]  That was a cyber attack that was blamed on Russia.
[00:39:00.134 --> 00:39:03.914]   So this already happened the last cycle when we weren't already involved.
[00:39:03.914 --> 00:39:04.914]  That's what I was about to say.
[00:39:04.914 --> 00:39:10.473]   They're just replaying 2016, 17, 18, where, oh, Trump's not legitimate.
[00:39:10.473 --> 00:39:11.914]  It's a Russian cyber attack.
[00:39:11.914 --> 00:39:13.234]  They're getting ready to run it again.
[00:39:13.234 --> 00:39:15.513]  Why do they run the same place?
[00:39:15.513 --> 00:39:18.274]  Well, they have so much invested in this, Alex.
[00:39:18.150 --> 00:39:19.791]  Well, number one, they have so much invested in this.
[00:39:20.111 --> 00:39:23.634]  Number two, it's because they are just, they are completely obsessed with Russia.
[00:39:23.895 --> 00:39:26.257]  They are just utterly, utterly obsessed with Russia.
[00:39:26.357 --> 00:39:29.519]  Russia, which did, it did not threaten the United States.
[00:39:29.559 --> 00:39:33.663]  It did not pose a threat to the United States, has never attacked the United States.
[00:39:34.476 --> 00:39:40.479]  They viewed this as an existential enemy because it is their existential enemy in their writings, in their ideology.
[00:39:40.519 --> 00:39:41.339]  You and I talked about this.
[00:39:41.599 --> 00:39:48.602]  Whether you're Azov or whether you're Trotskyites that make up so much of our elite, they have a heart on because they got their ass kicked.
[00:39:49.468 --> 00:39:50.409]  Yeah, for 80 years.
[00:39:50.430 --> 00:39:54.936]  They want to get rid of the regime that's in Russia, and they want control of this massive state.
[00:39:55.337 --> 00:39:59.043]  This massive state which exists outside of the central government.
[00:39:59.083 --> 00:40:00.685]  Look, what's Putin doing right now?
[00:40:00.745 --> 00:40:04.170]  Because he's broken off all trade relations with the West and with the EU.
[00:40:04.651 --> 00:40:10.372]  So he's now instituting free trade agreements within all of the Central European states with Belarus and others.
[00:40:10.652 --> 00:40:12.513]  He's signing military deals with Iran.
[00:40:12.773 --> 00:40:13.533]  And then what is it?
[00:40:13.613 --> 00:40:15.173]  The rise of the BRICS nations.
[00:40:15.553 --> 00:40:23.475]  They do not want BRICS to be able to rise, to exist as a parallel track to what they want their one world financial leader.
[00:40:23.595 --> 00:40:25.496]  And let me add this, let me add this, Jack.
[00:40:25.536 --> 00:40:26.576]  Why did Napoleon...
[00:40:27.316 --> 00:40:29.039]  Why did Napoleon invade Russia?
[00:40:29.479 --> 00:40:34.446]  Because Russia didn't do a trade deal with France, instead they did it with England.
[00:40:34.486 --> 00:40:36.569]  It's the same damn thing over and over again.
[00:40:37.544 --> 00:40:38.605]  It's imperial trade.
[00:40:39.025 --> 00:40:41.406]  It was the centralized imperial trade of the time.
[00:40:42.046 --> 00:40:43.047]  It was France.
[00:40:43.187 --> 00:40:45.328]  Now we talk about it more in terms of Brussels.
[00:40:45.568 --> 00:40:46.729]  It's a bit more decentralized.
[00:40:46.789 --> 00:40:47.729]  It's not nationalized.
[00:40:48.009 --> 00:40:49.370]  But of course, many people could focus on that.
[00:40:49.490 --> 00:40:55.173]  Obviously, Germany is one of the highest central powers of the EU in terms of that.
[00:40:55.233 --> 00:40:57.654]  But really, what you have is this Atlanticist axis.
[00:40:58.734 --> 00:40:59.495]  It's the UK.
[00:41:00.154 --> 00:41:01.075]  It's the United States.
[00:41:01.315 --> 00:41:04.077]  They are driving the globalist American empire.
[00:41:04.117 --> 00:41:05.017]  They are driving it.
[00:41:05.297 --> 00:41:06.178]  So they're in conjunction.
[00:41:06.238 --> 00:41:07.419]  Klaus Schwab, WABF.
[00:41:07.939 --> 00:41:11.502]  And by the way, Alex, people say, you're just making this up.
[00:41:11.762 --> 00:41:12.883]  Where did Zelensky go yesterday?
[00:41:12.903 --> 00:41:14.023]  Two places he went yesterday.
[00:41:14.304 --> 00:41:16.525]  Two places he went yesterday here in Washington, D.C.
[00:41:16.565 --> 00:41:19.527]  The first was to the military.
[00:41:19.627 --> 00:41:20.368]  He spoke to the U.S.
[00:41:20.408 --> 00:41:20.708]  military.
[00:41:20.728 --> 00:41:21.408]  He said, I want the U.S.
[00:41:21.428 --> 00:41:22.269]  military to come fight.
[00:41:22.944 --> 00:41:27.925]  And then the second place he went to, I'm talking other than Congress, second place he went to, Alex, the World Bank.
[00:41:28.325 --> 00:41:29.826]  Second place he went to was the World Bank.
[00:41:30.166 --> 00:41:30.766]  So it's right there.
[00:41:30.926 --> 00:41:32.866]  It's right in the middle.
[00:41:32.946 --> 00:41:34.567]  Let's expand.
[00:41:35.247 --> 00:41:43.309]  I want to get, before we run here, I really want to hit the fact that, and we talked about this yesterday, that if you don't believe that there are satanic forces at work, then you're not paying attention.
[00:41:43.849 --> 00:41:48.310]  And this, when you and I were speaking, I didn't even know about this.
[00:41:48.991 --> 00:41:59.796]  Satanic display that is currently publicly being supported by the government of Iowa, which is a Republican conservative government.
[00:41:59.856 --> 00:42:04.738]  Governor Kim Reynolds, the Republicans in the state legislature, they are allowing this.
[00:42:04.778 --> 00:42:08.139]  They are currently allowing this, which is not a religion, by the way.
[00:42:08.159 --> 00:42:10.900]  The Temple of Satan will even tell you that they're not a religion.
[00:42:10.940 --> 00:42:13.442]  They're saying, oh no, First Amendment, we gotta put it up.
[00:42:13.782 --> 00:42:14.762]  Gotta put up Bamafet.
[00:42:15.182 --> 00:42:16.623]  That is a ritual altar.
[00:42:17.347 --> 00:42:21.733]  To the pagan idol, Bamafet, who is one of the lieutenants of Satan in hell.
[00:42:23.348 --> 00:42:26.829]  And I want to get back to that in the few minutes we have, but just back to this issue.
[00:42:27.209 --> 00:42:29.849]  And I'm not just talking about Napoleon, because the new movie's out, and by the way, it's excellent.
[00:42:30.830 --> 00:42:52.334]  If you study globalists, Zbigniew Brzezinski, all of it, they'll tell you a bigger event than Bretton Woods and the dollar becoming the world currency after World War II was the Battle of Waterloo in 1815 there, when the Prussian-British Pinscher attack finally defeated Napoleon for the second time, then he was exiled to the South Atlantic.
[00:42:53.942 --> 00:43:04.146]  They admit that from that point on, the British Empire became dominant worldwide, and they're still defending, though it's merged with the American Empire, they're still defending that from 1215.
[00:43:05.206 --> 00:43:11.028]  And that's why Russia and all these people have been gotten rid of, is because they're literally trying to open up new trade since 1815.
[00:43:11.288 --> 00:43:14.410]  That was the collapse of the French Empire on the continent.
[00:43:18.564 --> 00:43:23.988]  And since then the Anglo, so it really was the Anglo Empire, the British Empire, now it's become the Anglo-American Empire.
[00:43:24.308 --> 00:43:35.357]  They seek dominance over, and by the way, I would argue currently do have the vast degree of influence over European governments all the way up to the border.
[00:43:35.977 --> 00:43:37.159]  And that's the new world order!
[00:43:36.999 --> 00:43:42.439]   Russia at this point on the continent of Europe and then they of course seek dominance worldwide.
[00:43:42.439 --> 00:43:46.858]   This has been the essential, it's so, you know, because after World War II you couldn't
[00:43:46.858 --> 00:43:51.559]   have these land empires anymore but now the empire is a financial empire, it's a military
[00:43:51.559 --> 00:43:53.038]  empire, it exists in the back.
[00:43:53.038 --> 00:43:54.038]  And that's the new world order.
[00:43:54.038 --> 00:43:55.038]  And their police force, their military force is NATO.
[00:43:55.038 --> 00:43:56.038]  Bingo.
[00:43:56.038 --> 00:43:57.038]  And that's the new world order.
[00:43:57.241 --> 00:43:58.402]  And so you've totally got it.
[00:43:58.803 --> 00:44:00.284]  What you're hearing is how the world really works.
[00:44:00.344 --> 00:44:02.305]  It's not the British run things or Americans do.
[00:44:02.845 --> 00:44:10.851]  Our power was parlayed into a global corporate system out of the British East India Company, out of 1815, out of all of this, and that's the dominant force.
[00:44:10.911 --> 00:44:16.676]  It is the monopole, and it's against everybody, and it's against free market, and it's crony capitalism at best.
[00:44:18.817 --> 00:44:35.292]  Through the decade of the 1990s, at one point they did become the monopole by crushing the Soviet Union, because when the Soviet Union collapsed, now suddenly they were able to dip their beaks into Russia itself, Russia proper, the way that they're currently dipping their beaks into Ukraine.
[00:44:35.312 --> 00:44:40.837]   And this is why you've got Black Rock, And you've got the GMOs and every, you know, Monsanto and everybody's running into Ukraine right now.
[00:44:40.857 --> 00:44:41.817]  They want that black dirt.
[00:44:42.117 --> 00:44:43.699]  They want that, that dirt there.
[00:44:43.719 --> 00:44:44.599]  Because why, Alex?
[00:44:44.659 --> 00:44:45.340]  It's very simple.
[00:44:45.780 --> 00:44:48.422]  Because that Ukraine is not part of the EU.
[00:44:48.442 --> 00:44:52.364]  They're not under European Union regulations.
[00:44:52.605 --> 00:44:53.125]  It's an open zone.
[00:44:53.145 --> 00:44:54.526]  GMOs can be built there.
[00:44:54.586 --> 00:45:00.490]  Now you've got the child trafficking, the baby incubators, the surrogates, but anything you want.
[00:45:00.630 --> 00:45:03.292]  It is the globalist playground, the globalist playground.
[00:45:03.732 --> 00:45:06.516]  Right there in Ukraine, and it has been for a long time.
[00:45:06.857 --> 00:45:11.944]  They want Russia to be an even bigger one, because Russia stands as an existential threat to all of that.
[00:45:12.505 --> 00:45:15.008]  Back to the devil worshippers, and you gotta go, and I don't need to hit the Southern News.
[00:45:16.149 --> 00:45:21.532]  We're on the air saying it's a spiritual battle and they wrecked Bathom and even Christian pastors say, well it's okay, it's their free speech.
[00:45:22.012 --> 00:45:27.194]  The point is, is that they're playing their flag, they're pissing on us, and you put a great point out.
[00:45:27.454 --> 00:45:35.078]  They've taken down George Washington, Thomas Jefferson, and even Teddy Roosevelt statues, and now, so they can take those down, people can say those are unacceptable.
[00:45:36.141 --> 00:45:46.438]  But, those are obscene, but then, a God that children are sacrificed to on Black Sabbath, where children are bled out and raped, that's what happens with Batman, that's okay.
[00:45:46.758 --> 00:45:47.599]  Let that sink in.
[00:45:47.660 --> 00:45:48.200]  Final comment.
[00:45:49.232 --> 00:46:12.391]   The fact that you have a lack of Republican leadership in the state of Iowa and anywhere that would allow something like this to go on shows the absolute rot that has made its way through the Republican movement, the conservative movement, this is why so many people turn away from Republicans, and this is why, Alex, that you are seeing people who May not be the best Christians in the world.
[00:46:12.411 --> 00:46:23.397]  I don't consider myself the best Christian in the world, but you see people who are at least trying to tap into the spiritual elements, the spiritual energy, the spiritual warfare that is currently going on.
[00:46:23.437 --> 00:46:24.718]  We are reading Ephesians.
[00:46:24.758 --> 00:46:27.960]  We are understanding that we are in a spiritual battle.
[00:46:28.320 --> 00:46:29.681]  With these principalities.
[00:46:29.922 --> 00:46:36.168]  We are putting on the spiritual armor and we understand what is actually at stake here.
[00:46:36.328 --> 00:46:37.569]  This is a false religion.
[00:46:37.889 --> 00:46:43.475]  The founders that wrote the First Amendment would be aghast at us for allowing something like this.
[00:46:43.515 --> 00:46:53.144]  And by the way, because this is a state government, not the federal government, the state government can determine whatever religious display they want and whatever they don't want because it's a state government, not the federal government.
[00:46:53.444 --> 00:46:56.889]  The governor has full authority, this thing should be removed right now.
[00:46:57.209 --> 00:46:59.973]  And I'll say this, Kim Reynolds, take this all the way to the Supreme Court.
[00:47:00.213 --> 00:47:02.015]  Take it to the court, you'll be fine.
[00:47:02.216 --> 00:47:02.816]  Just act!
[00:47:03.237 --> 00:47:03.758]  Just act!
[00:47:04.138 --> 00:47:05.160]  Just do something!
[00:47:05.320 --> 00:47:07.923]  I'm calling on the police, because I know this group, I've tracked them.
[00:47:08.624 --> 00:47:09.885]  They're real devil worshippers.
[00:47:10.366 --> 00:47:12.307]  All they've got to do is investigate them.
[00:47:12.327 --> 00:47:13.669]  They're going to find really bad stuff.
[00:47:14.429 --> 00:47:16.271]  And we need to see their hard drives.
[00:47:16.471 --> 00:47:18.413]  And it's time to take this group out.
[00:47:18.993 --> 00:47:19.834]  Legally, awfully.
[00:47:19.874 --> 00:47:21.295]  They've got to find out who's funding them.
[00:47:21.556 --> 00:47:23.237]  Find out where their money's coming from.
[00:47:23.517 --> 00:47:24.738]  Find out where it's coming from.
[00:47:24.799 --> 00:47:26.840]  Find out what other activities these people are into.
[00:47:26.860 --> 00:47:28.222]  These people are disgusting.
[00:47:28.562 --> 00:47:32.005]  These people are putting up ritual altars in your areas.
[00:47:32.045 --> 00:47:33.046]  That's what the left is doing.
[00:47:34.158 --> 00:47:38.761]  The right is sitting back and saying, oh, we have to do it, we have to be tolerant, we have to be loving.
[00:47:38.801 --> 00:47:42.503]  We will be cursed, we will lose the blessing if we allow this.
[00:47:42.964 --> 00:47:44.124]  It's not about free speech.
[00:47:44.164 --> 00:47:45.625]  They've taken down our presidents.
[00:47:47.426 --> 00:47:48.587]  They can do that, but we can't.
[00:47:49.047 --> 00:47:51.829]  No, they can have their stupid altars at their filthy houses.
[00:47:52.249 --> 00:47:53.070]  They're not going to have it there.
[00:47:53.090 --> 00:47:56.692]  And the same group says aborting babies is a religious sacrament in federal court cases.
[00:47:57.012 --> 00:47:58.173]  Jack Posobiec, God bless you.
[00:47:58.193 --> 00:48:00.114]  We're going to post this to X. Thank you so much.
[00:48:00.908 --> 00:48:01.088]  All right.
[00:48:01.108 --> 00:48:01.629]  Thank you, Alex.
[00:48:01.669 --> 00:48:02.249]  HumanEvents.com.
[00:48:02.068 --> 00:48:03.068]  We'll be up there all day, folks.
[00:48:03.068 --> 00:48:04.068]  All right.
[00:48:04.068 --> 00:48:05.068]  I just did an hour with no plugs.
[00:48:05.068 --> 00:48:07.028]  If we don't plug, we're not going to be here.
[00:48:07.028 --> 00:48:08.228]  We have great products you need.
[00:48:08.228 --> 00:48:10.148]  Storewide free shipping, double page repoints.
[00:48:10.148 --> 00:48:12.427]  Please do your Christmas shopping at Infowarsstore.com.
[00:48:12.427 --> 00:48:15.108]  TurboForce is the best clean 10-hour energy.
[00:48:15.108 --> 00:48:17.188]  Nobody else has got an energy formula like this.
[00:48:17.188 --> 00:48:18.188]  It's the very best.
[00:48:18.188 --> 00:48:21.188]  TurboForce, TurboForce, TurboForce.
[00:48:21.188 --> 00:48:22.188]  Infowarsstore.com.
[00:48:22.188 --> 00:48:24.668]  X2, back in stock, selling out.
[00:48:25.066 --> 00:48:25.607]  Find out about X2.
[00:48:25.807 --> 00:48:26.268]  Just look it up.
[00:48:26.608 --> 00:48:28.791]  Infowarsstore.com X2.
[00:48:29.511 --> 00:48:30.913]  And we're selling out on my book!
[00:48:31.394 --> 00:48:32.775]  Infowarsstore.com.
[00:48:33.136 --> 00:48:34.517]  We'll be right back.
[00:48:34.858 --> 00:48:36.279]  Get a copy of The Great Awakening.
[00:48:36.299 --> 00:48:37.020]  Signed or unsigned.
[00:48:37.080 --> 00:48:38.142]  Infowarsstore.com.
[00:48:37.961 --> 00:48:39.121]  Come on, hour number two's right ahead.
[00:48:39.121 --> 00:48:44.121]  [Sounds of a rocket launching]
[00:48:44.121 --> 00:48:46.121]  [Explosion]
[00:48:46.121 --> 00:48:53.121]  [Music]
[00:48:53.121 --> 00:48:55.121]  I want to make a quick note here.
[00:48:55.380 --> 00:48:56.061]  It is wonderful.
[00:48:56.101 --> 00:48:59.803]  It is a very good reason for celebration that Alex Jones is back.
[00:48:59.983 --> 00:49:02.385]  The InfoWars account is officially back.
[00:49:02.665 --> 00:49:07.288]  But I want to make the point that InfoWars was not created on Twitter.
[00:49:07.308 --> 00:49:09.529]  This is not something that we need.
[00:49:09.869 --> 00:49:19.355]  It's amazing to think that since we've been kicked off of Twitter, not only have we continued to exist, we've continued to thrive despite the censorship.
[00:49:19.415 --> 00:49:37.390]   Now that the censorship has in part been lifted, We'll only see this power grow and expand and become even more dominant, but thanks to you going to InfoWarsStore.com, thanks to you supporting us and keeping us on air and going to InfoWars.com and sharing the articles, or going to Band.Video and sharing the videos, we have not required
[00:49:37.970 --> 00:49:41.453]  Permission from Big Tech to succeed and spread our message.
[00:49:41.713 --> 00:49:52.863]  So thank you for your participation in this and for keeping us on air and in the fight on our own systems as well as now on the Big Tech systems that we once so thoroughly dominated and will again soon.
[00:49:52.883 --> 00:50:01.590]  Now let's see if we can't figure out what you are my little giant 400 pound maggot down the stairs just slithering in.
[00:50:02.371 --> 00:50:03.512]  Pus dripping out of it.
[00:50:03.592 --> 00:50:05.374]  Smell of rotting dead children in his belly.
[00:50:06.585 --> 00:50:08.606]  There's the big giant pus worm.
[00:50:08.627 --> 00:50:11.288]  Come to save its baby.
[00:50:11.689 --> 00:50:12.989]  The baby's bleeding.
[00:50:14.531 --> 00:50:17.312]  Baby broke its leg when baby fell down in the dark.
[00:50:19.894 --> 00:50:22.876]  And so... We're getting our bearings.
[00:50:23.357 --> 00:50:24.517]  The light's coming back in our eyes.
[00:50:25.598 --> 00:50:28.060]  We weigh about 85 pounds, but you know what we're fighting for our lives.
[00:50:28.120 --> 00:50:29.120]  Here comes that big worm.
[00:50:32.483 --> 00:50:35.445]  And what are we gonna do to that big giant stinking worm?
[00:50:39.321 --> 00:50:45.610]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:50:45.930 --> 00:50:50.496]  Visit InfoWars.com forward slash show and share the link today.
[00:50:53.360 --> 00:50:54.862]  I've studied their attack profile.
[00:50:56.149 --> 00:51:01.293]  What they're doing at every angle to bring down civilization, cutting off the energy, dissolving the borders, creating race war.
[00:51:01.793 --> 00:51:04.675]  Their next moves will be cyber attacks and power outages.
[00:51:04.815 --> 00:51:06.957]  Globalists are going to cut our power off and say the Russians did it.
[00:51:07.117 --> 00:51:10.339]  It might be, oh, hackers took down a part of the power grid.
[00:51:10.519 --> 00:51:13.541]  How many times have I said they're going to blow the power grid up and say Trump supporters did it?
[00:51:13.822 --> 00:51:19.486]  Well, tonight, the nation's intelligence agencies are warning of cyber threats from Russia and are urging U.S.
[00:51:19.546 --> 00:51:22.428]  critical infrastructure defenses to be reinforced.
[00:51:22.848 --> 00:51:28.332]  Homeland Security is warning of a potential troubling escalation in tactics from right-wing extremists.
[00:51:28.652 --> 00:51:32.014]  It wouldn't take much to throw the entire country into darkness.
[00:51:32.155 --> 00:51:36.197]  We've seen the FBI say the number one terror threat is domestic right-wingers.
[00:51:36.398 --> 00:51:40.420]  Specifically those who advocated for the superiority of the white race.
[00:51:40.661 --> 00:51:43.382]  They've now defined it as fascism, if you support President Trump.
[00:51:43.623 --> 00:51:45.064]  What do you mean by, come on, fascism?
[00:51:45.264 --> 00:51:46.004]  You know what I mean.
[00:51:46.244 --> 00:51:48.366]  Fascist, pro-Trump paramilitary groups.
[00:51:48.446 --> 00:51:51.208]  And then now we start seeing headlines at the top of drug charts today.
[00:51:51.914 --> 00:51:52.615]  You know, imminent.
[00:51:52.715 --> 00:51:54.116]  Trump's calling for violence.
[00:51:54.176 --> 00:51:56.877]  Trump's calling for insurrection.
[00:51:57.218 --> 00:51:58.078]  January 6, 2.0.
[00:51:58.578 --> 00:52:05.063]  Threats of violence from homegrown extremists are growing in the wake of the insurrectionist attack on the Capitol, January 6.
[00:52:05.743 --> 00:52:11.107]  And if you look at all the pre-programming data points that are there, they're hyping this up.
[00:52:11.387 --> 00:52:13.589]  The grid is a sprawling target.
[00:52:13.969 --> 00:52:16.010]  There are actually three in the U.S.
[00:52:16.270 --> 00:52:19.272]  The Eastern, Western, and Texas has its own.
[00:52:20.834 --> 00:52:28.081]  Should a transformer explode, the system is designed to trigger a localized grid-preserving blackout.
[00:52:28.221 --> 00:52:34.968]  But if several sections of the grid go down at the same time, the shutdowns can cascade like dominoes.
[00:52:35.128 --> 00:52:40.514]  There's very few number of substations you need to take out in the entire United States to knock out the entire grid.
[00:52:42.853 --> 00:52:50.355]  Pay insufficient attention to the frightening scenario of a comprehensive cyber attack.
[00:52:50.375 --> 00:52:58.058]  The COVID-19 crisis would be seen as a small disturbance in comparison.
[00:52:58.118 --> 00:53:04.240]  Growing concerns over white supremacy in America as President Biden issues this new warning about the threat that it poses.
[00:53:04.280 --> 00:53:08.241]  The most dangerous terrorist threat to our homeland is white supremacy.
[00:53:09.775 --> 00:53:12.718]  This is not going to be the end of MAGA terrorism.
[00:53:13.479 --> 00:53:15.701]  This will only be the beginning.
[00:53:16.702 --> 00:53:28.214]  When you have US senators in both parties saying, we may need to go ahead and nuke Russia first, and the Russians are aware that's almost happened before, what do you think that makes the Russians do?
[00:53:28.494 --> 00:53:29.916]  Well, it makes them go into war mode.
[00:53:32.890 --> 00:53:34.371]  So I don't like them invading Ukraine.
[00:53:34.391 --> 00:53:37.794]  I don't like him putting his nuclear forces on maximum alert.
[00:53:38.214 --> 00:53:42.457]  Only one level above that on their DEFCON, just like our system, and that's fire the weapons.
[00:53:43.438 --> 00:53:50.163]  And so now we have Democrats all over the news saying, let's just use nuclear weapons on Russia.
[00:53:50.523 --> 00:53:51.824]  Think of their ignorance.
[00:53:52.544 --> 00:54:01.790]  Russia has hundreds of submarines off our coast with sea-launched missiles that would vaporize our cities within five minutes on average of being launched.
[00:54:02.351 --> 00:54:04.972]  Sea-launched cruise missiles that fly at Mach 5.
[00:54:06.233 --> 00:54:11.897]  Land-launched systems they can also launch from ships that are at Mach 9 and cannot be shot down.
[00:54:12.437 --> 00:54:14.078]  And yes, the United States has those too.
[00:54:15.419 --> 00:54:18.601]  That's a Pentagon lie that Russia developed systems that we don't have.
[00:54:19.001 --> 00:54:20.101]  It's on record the U.S.
