[00:00:00.000 --> 00:00:02.480]  [BEEPING]
[00:31:41.436 --> 00:31:45.921]  Vitamin Mineral Fusion goes above and beyond the standard of vitamins and trace minerals.
[00:31:46.621 --> 00:32:03.418]   Our exclusive formula is loaded with 34 key ingredients, including Vitamin C, E, D, B12, calcium, magnesium, zinc, selenium, L-glutamine, CoQ10, alpha-lipoic acid, folic acid riboflavin, and much more.
[00:32:04.159 --> 00:32:08.904]  Aside from bolstering your bodily functions, this drink makes us naturally delicious.
[00:32:09.584 --> 00:32:13.668]  And unlike capsules and vitamin pills, it's truly a pleasure to the taste buds.
[00:32:14.329 --> 00:32:22.731]  Thanks in large part to using naturally occurring corn free xylitol to create a delicious fruit punch flavor that may actually help support the health of your teeth.
[00:32:23.311 --> 00:32:29.053]  So if you haven't already, mix it up and take your health to the next level with Vitamin Mineral Fusion today.
[00:32:29.553 --> 00:32:31.413]  Now 25% off at infowarsstore.com.
[00:32:33.874 --> 00:32:37.577]  In a world filled with uncertainty, you can prepare with InfoWars Life Select.
[00:32:37.878 --> 00:32:44.023]  Our storable food is not only delicious, but it's your first line of defense against food shortages and unpredictable times.
[00:32:44.463 --> 00:32:49.708]  Our high quality meals are packed with nutrition your body needs and packed for long term secure storage.
[00:32:49.848 --> 00:32:55.693]  Whether it's a natural disaster or societal disruptions, ensure your family's future with InfoWars Life Select.
[00:32:55.953 --> 00:32:57.374]  Don't wait for the unexpected.
[00:32:57.575 --> 00:33:01.358]  Visit preparewithalex.com and stock up on storable food today.
[00:33:05.160 --> 00:33:09.243]  Leading a frontal assault on the lies of the New World Order.
[00:33:09.563 --> 00:33:11.242]  It's Alex Jones.
[00:33:11.242 --> 00:33:24.683]  And welcome back to the Alex Jones InfoWars show.
[00:33:24.753 --> 00:33:34.898]  Ann Banner Steele and Michael Young here down in Central America tracking the migrant invasion, but more specifically giving you a global perspective on what you need to see, hear, and understand.
[00:33:34.978 --> 00:33:39.540]  And it's time to get off the couch, get out from behind the keyboard, and get engaged, get on the battlefield.
[00:33:39.580 --> 00:33:45.263]  If you heard Alex's transmission at the beginning of this broadcast, you heard he's asking for everybody to get engaged.
[00:33:45.743 --> 00:33:59.778]  The war is here and it is real and America is going down right now because the globalists have instituted a evil genius plan to destabilize the world through weaponized human migration and we're seeing it happen here in Central America.
[00:34:00.199 --> 00:34:04.221]   Panama has for all intents and purposes, is on the verge of collapsing
[00:34:04.221 --> 00:34:07.821]   and losing their government based on the weaponized migration that is currently
[00:34:07.821 --> 00:34:12.161]   underway with thousands and thousands of people coming from all over the world through the Darien
[00:34:12.161 --> 00:34:17.491]   Gap. And now because the city has basically been shut down or the country's been shut down as
[00:34:17.491 --> 00:34:22.152]   people are now protesting over government contracts that are going sideways as the
[00:34:22.152 --> 00:34:28.891]   government is unfortunately doing dirty deals with the CCP, with BlackRock and other global organizations,
[00:34:28.891 --> 00:34:30.461]  the people are unhappy.
[00:34:30.881 --> 00:34:36.485]  They're very unhappy with their government and the people are standing up and rising up, but they're also unhappy with the migrant invasion.
[00:34:36.865 --> 00:34:43.109]  Just talk to the Ambara Indians who live down in the Gap, who are watching their culture be destroyed, their environment be destroyed.
[00:34:43.409 --> 00:34:47.849]   They live in the rainforest with endemic species that are being destroyed as thousands and thousands
[00:34:47.849 --> 00:34:51.768]   of people are trampling through that protected UNESCO habitat.
[00:34:51.768 --> 00:34:56.088]   And again, the Biden regime, along with Mexicans President Obrador
[00:34:56.088 --> 00:35:01.489]   and the Prime Minister of Canada, Justin Trudeau, all signing the Declaration of North America
[00:35:01.489 --> 00:35:06.768]   on January 10th of this year, basically dissolving the borders of these three countries
[00:35:06.768 --> 00:35:12.329]   and facilitating the weaponized human migration at the expense of the American taxpayer
[00:35:12.329 --> 00:35:16.568]   who's gonna be paying the interest on all the money that the international banking cabal,
[00:35:16.568 --> 00:35:19.729]  known as the Federal Reserve, prints to fund all of this.
[00:35:19.715 --> 00:35:25.878]  These migrants are getting paid $2,200 a month, while the American average retiree on Social Security gets $1,400.
[00:35:27.059 --> 00:35:31.881]  Some migrants in Chicago, for instance, are getting paid upwards of $9,000 a month.
[00:35:32.221 --> 00:35:42.406]   So again, the push and pull of human migration, of human osmotic pressure, as my colleague Michael Yan here says, It's being weaponized and it's to the fall of this great country here.
[00:35:42.726 --> 00:35:54.670]  And before we went to break, we were talking about the Belt and Road Initiative and how the World Economic Forum and the CCP are really collaborating at this time, Michael, to facilitate what is true globalism and the destruction of sovereignty.
[00:35:55.450 --> 00:35:55.670]  Right.
[00:35:55.770 --> 00:36:00.652]  Notice how these human osmotic pressure flows, the push and that pull of that migration.
[00:36:01.172 --> 00:36:06.754]  Much of the flow is happening right where they wish to build these Belt and Road Initiative main corridors.
[00:36:06.853 --> 00:36:12.963]   For instance, Panama is a main corridor, and the aliens flowing through are going right along the
[00:36:12.963 --> 00:36:17.292]   lines where they wish to make the railway and the roadway through,
[00:36:17.292 --> 00:36:22.393]   plus the Panama Canal, where 6% of global trade passes through that canal, right?
[00:36:22.393 --> 00:36:24.393]  That is absolutely a vital --
[00:36:24.393 --> 00:36:27.572]  Panama is, again, one of the most vital terrains on Earth.
[00:36:27.572 --> 00:36:32.653]   Likewise, huge numbers being pushed into Netherlands and other places like that,
[00:36:32.653 --> 00:36:38.653]   which are very key terrain in the future of what's unfolding.
[00:36:38.781 --> 00:36:43.868]  Likewise, you see Japan preparing Okinawa Prefecture for eventual same thing.
[00:36:44.057 --> 00:36:49.418]   happening. Masako Kanaha and Chuck Holton and I were in Okinawa Prefecture earlier this year.
[00:36:49.418 --> 00:36:55.257]   We were on Ishigaki Island talking with the mayor and others there about their preparations,
[00:36:55.257 --> 00:37:00.297]   for instance, for an invasion. If something happens to Taiwan, the mayor of Ishigaki was
[00:37:00.297 --> 00:37:09.416]   concerned that many of the Taiwanese will then flow into Ishigaki and then the Japanese who
[00:37:09.416 --> 00:37:11.978]  live in Ishigaki will then have to leave, right?
[00:37:12.227 --> 00:37:25.895]  And meanwhile, the mainlanders who live in Taiwan and who will just come straight from the mainland will then occupy part of Okinawa Prefecture, which will then, of course, that's like taking the keys in Florida.
[00:37:26.215 --> 00:37:30.778]  Eventually, you'll then move up into greater Florida and throughout the rest of the bloodstream.
[00:37:31.107 --> 00:37:32.607]  And this is clearly what's happening.
[00:37:33.807 --> 00:37:42.609]  Yeah, so if you want to get even more nitty-gritty into the context of all of this, you're going to have to take a closer look at actually what's happening down here in Central America.
[00:37:43.069 --> 00:37:50.310]  Anthony Rubin, known as Muckraker, the real Muckraker on Twitter, has done an incredible job of actually becoming part of the migrant flow.
[00:37:51.011 --> 00:37:58.352]  He arrived in Quito, Ecuador and assimilated into a group of migrants predominantly of Syrian and Chinese descent.
[00:37:58.832 --> 00:38:02.993]  And traveled with them through the dangerous trek of the Darien Gap.
[00:38:03.033 --> 00:38:09.535]  It's about a six-day journey through a very rugged mountainous terrain that is truly a jungle environment.
[00:38:09.554 --> 00:38:13.794]   but because again, as I mentioned just earlier, the thousands of people that have come through there,
[00:38:13.794 --> 00:38:18.393]   they've trampled the environment, therefore making the pathway a lot more hospitable,
[00:38:18.393 --> 00:38:22.233]   if you can even believe it, in an area that is particularly overrun
[00:38:22.233 --> 00:38:27.273]   with deadly diseases, animals, and of course then the individuals
[00:38:27.273 --> 00:38:29.375]  that are there to rob you along the way.
[00:38:29.375 --> 00:38:35.393]   Some of the unfortunate people that are coming through are posing just like migrants that are there to rob you.
[00:38:35.393 --> 00:38:38.194]   Some of them even wear uniforms to look like they're military there
[00:38:38.194 --> 00:38:40.355]  to facilitate your journey through.
[00:38:40.355 --> 00:38:43.114]   And in fact, they're there to make sure that you either don't make it out alive
[00:38:43.114 --> 00:38:47.514]   or you don't make it out with any of the goods and money that you are trying to make it through to the other side.
[00:38:47.514 --> 00:38:52.754]   So he actually came out, he and his brother, Josh, amazing that they went through this entire ordeal.
[00:38:53.038 --> 00:39:00.761]  They never got sick, which is really a kudos to their fortitude, their health, and that they practiced really good, safe water drinking, etc.
[00:39:01.102 --> 00:39:06.144]  But they got to the other side and they are now in, they were in Camp Vicente, which as you call China Camp.
[00:39:06.384 --> 00:39:08.165]  San Vicente, they were there this morning.
[00:39:08.365 --> 00:39:09.906]  Yeah, they got there this morning.
[00:39:10.446 --> 00:39:11.567]  Panama has lost power.
[00:39:11.607 --> 00:39:14.290]  As I said, they're going through some serious issues right now.
[00:39:14.330 --> 00:39:17.052]  I think we just got power back up, so we were able to get comms on them.
[00:39:17.472 --> 00:39:21.696]  But Michael had them equipped with GPS, so we were able to track the journey.
[00:39:22.216 --> 00:39:26.720]  And unlike anybody else going through there, they actually saw up close and personal.
[00:39:27.100 --> 00:39:37.630]  Just how dangerous it is, but also the ferocity of these people that are in this migrant battalion, if you will, the wave of the invading army that's coming to our country.
[00:39:37.971 --> 00:39:39.272]  These are people that hate America.
[00:39:39.292 --> 00:39:43.016]  6,000 just yesterday through the gap, according to Embraer Indians.
[00:39:43.096 --> 00:39:44.457]  Just yesterday, 6,000 in one day.
[00:39:46.084 --> 00:39:47.205]  Just the dairying gap.
[00:39:47.385 --> 00:39:48.585]  And this is what Anthony's talking about.
[00:39:48.645 --> 00:39:49.746]  The looks in their eyes.
[00:39:49.766 --> 00:39:50.866]  They hate Americans.
[00:39:51.026 --> 00:39:52.027]  I mean, Anthony was warned.
[00:39:52.067 --> 00:39:57.970]  Don't be filming these people because they are going to suspect that you're there to report on them or give them up or whatever, right?
[00:39:57.990 --> 00:39:59.290]  Yeah, especially the Syrians.
[00:39:59.310 --> 00:40:00.691]  They're straight up hardcore.
[00:40:01.055 --> 00:40:01.215]  Yeah.
[00:40:01.295 --> 00:40:05.178]  So, I mean, you know, if you put this in context, right, you've got global war happening everywhere.
[00:40:05.198 --> 00:40:09.081]  And like Alex said in the beginning of the broadcast, again, spot on about all of this.
[00:40:09.181 --> 00:40:10.402]  Shout out to you, Alex Jones.
[00:40:10.482 --> 00:40:11.863]  You've been right about everything.
[00:40:12.224 --> 00:40:17.468]  And for, you know, for the people that are just now figuring that out, I'm glad they're on board, but you need to look at this thing in a global perspective.
[00:40:17.868 --> 00:40:25.394]  These wars that are being generated all over the place right now is because the system that they have is broken and they need to reset it.
[00:40:25.434 --> 00:40:27.135]  This is what the global reset is about.
[00:40:27.615 --> 00:40:38.409]  All assets deployed, they're using everything they can from the COVID pandemic to creating and manufacturing wars and funding both sides of it because they've printed into an oblivion and the money supply just won't last.
[00:40:38.649 --> 00:40:45.278]  And the pressure of the BRICS economy coming up with all of the gold-backed currencies that they're, you know, facilitating in their basket of currencies.
[00:40:45.919 --> 00:40:46.920]  They're waiting for the day.
[00:40:47.200 --> 00:40:49.382]  China's already turning back in treasuries.
[00:40:49.743 --> 00:40:53.848]  They are not using the dollar, the petrodollar, in Saudi Arabia anymore.
[00:40:53.868 --> 00:41:00.175]  They are destabilizing the international banking cabal, which is what runs our fiat currency here in the States.
[00:41:00.495 --> 00:41:16.669]  So the Americans are going to be unwitting victims in all of this, while the destabilization as manufactured by these global elites and by countries like the BRICS nations that are, you know, being booted out of the global cabal because Joe Biden kicked Russia out of SWIFT, lucky for Russia.
[00:41:16.949 --> 00:41:24.716]  They are, you know, this whole confluence of events is the perfect storm that is going to crush the United States and it's going to crush the Americans.
[00:41:25.077 --> 00:41:32.042]   So while the United States government And all the oligarchs in the government, which is the unelected bureaucrats, will survive just fine because they always do.
[00:41:32.602 --> 00:41:38.546]  We, the people, are the ones that are going to suffer, and the only way we can fight back is if we just stand up and say no.
[00:41:39.027 --> 00:41:39.347]  No!
[00:41:39.887 --> 00:41:41.388]  Listen, no!
[00:41:42.249 --> 00:41:45.411]  And listen, I want to say something about those Syrians.
[00:41:45.972 --> 00:41:53.617]  Anthony, out there with his brother, noticed that they all had, they were wearing crosses, and they had Jesus tattoos, okay?
[00:41:54.238 --> 00:41:55.581]  Like we actually believe you.
[00:41:55.601 --> 00:41:56.944]  Yeah, fresh tattoos.
[00:41:57.164 --> 00:41:57.364]  Right.
[00:41:58.226 --> 00:41:58.687]  There you go.
[00:41:58.867 --> 00:42:00.050]  And they were very aggressive.
[00:42:00.551 --> 00:42:02.936]  Like, you know, and anyway, bottom line is...
[00:42:04.577 --> 00:42:05.837]  Things are not as they appear.
[00:42:06.077 --> 00:42:09.138]  Beware of these people coming across the border.
[00:42:09.898 --> 00:42:11.279]  They are hardcore.
[00:42:11.319 --> 00:42:15.520]  The Syrians broke off at one point in the jungle and took some other trail.
[00:42:15.980 --> 00:42:22.562]  We've already suspected that some of those people, some of the jihadists, were taking a separate trail.
[00:42:23.202 --> 00:42:25.903]  And we reconned part of that earlier this year.
[00:42:26.863 --> 00:42:31.364]  And now the Syrians just magically reappeared late last evening.
[00:42:31.764 --> 00:42:39.769]  So they went into the jungle at one place with the Chinese and the Venezuelans and others, and then the Syrians disappeared.
[00:42:40.209 --> 00:42:46.493]  And we suspect they went down this trail that we reconned, like I said earlier this year, and we think that's the jihadist trail.
[00:42:46.934 --> 00:42:49.095]  Anyway, bottom line, there's a lot going on.
[00:42:49.455 --> 00:42:53.758]  We have clear Hezbollah, Hamas, ISIS, everybody else under the sun is coming in.
[00:42:54.819 --> 00:42:56.861]  Meanwhile, everybody's running off to Israel.
[00:42:56.881 --> 00:42:58.203]  Ukraine, that war's lost.
[00:42:58.503 --> 00:43:09.977]  Bottom line, it's going exactly how a lot of us predicted it would go, like Doug McGregor and so many of us, and Anne and I and Alex, and it's going exactly... Alex, I mean, look at Alex.
[00:43:10.058 --> 00:43:11.800]  As he says, he's got like a 95% batting average.
[00:43:13.081 --> 00:43:14.622]  I mean, he's pretty off the top.
[00:43:14.662 --> 00:43:15.902]  He's Babe Ruth on this stuff.
[00:43:16.263 --> 00:43:17.163]  And he saw it coming.
[00:43:18.424 --> 00:43:19.144]  Ukraine's dead.
[00:43:19.664 --> 00:43:24.186]  And in my opinion, Israel is also a dead man walking.
[00:43:24.386 --> 00:43:27.168]  I do not see how it's going to militarily survive this.
[00:43:27.808 --> 00:43:29.089]  I don't see it at all, actually.
[00:43:29.409 --> 00:43:34.351]  Meanwhile, if you want to cause a global war, you can do things like this.
[00:43:34.551 --> 00:43:35.552]  Open your borders up.
[00:43:35.872 --> 00:43:39.974]  Go waste all your time and money in places like Afghanistan, Ukraine.
[00:43:41.014 --> 00:43:42.255]  Destroy our currency.
[00:43:42.908 --> 00:43:44.509]  And go ahead and put U.S.
[00:43:44.549 --> 00:43:45.390]  troops in Gaza.
[00:43:45.971 --> 00:43:54.277]  While we've got massive numbers of jihadists coming through the Darien Gap and across our border every minute of the day.
[00:43:54.657 --> 00:44:02.663]  Literally every, not every hour, not every day, every minute they are coming across and there's already millions of them in the United States.
[00:44:03.084 --> 00:44:04.265]  This is very serious.
[00:44:04.885 --> 00:44:07.887]  This is going into a very serious civil war.
[00:44:08.228 --> 00:44:09.729]  I've been saying it for a long time.
[00:44:10.049 --> 00:44:11.990]  That's why I returned to the United States in 2020.
[00:44:12.851 --> 00:44:20.938]  I had been overseas for almost the entire 20 years before that, and I realized the United States was going into a civil war, and I finally flew back to the United States.
[00:44:21.038 --> 00:44:21.899]  It's coming to pass.
[00:44:23.018 --> 00:44:28.101]  Can we talk a little bit, Michael, about the genesis of all these terror organizations?
[00:44:28.121 --> 00:44:36.325]  Because to me, you know, if you just look at the microcosm, Hillary Clinton saying, you know, the boogeyman is Russia and our current government calling Russia the boogeyman.
[00:44:36.345 --> 00:44:37.585]  They always have to have a boogeyman.
[00:44:37.625 --> 00:44:40.747]  It seems like every government has to have some sort of a boogeyman enemy.
[00:44:41.147 --> 00:44:50.073]   But what I believe we're waking up to the fact is the boogeyman enemy really is the surveillance industrial state which creates These boogie men, right?
[00:44:50.253 --> 00:44:51.695]  Our own governments create these.
[00:44:51.955 --> 00:44:53.077]  Look, John McCain, right?
[00:44:53.237 --> 00:44:53.517]  ISIS.
[00:44:54.398 --> 00:44:54.959]  Al-Qaeda.
[00:44:55.360 --> 00:44:58.083]  Look at how Hamas and Hezbollah have been created.
[00:44:58.143 --> 00:45:04.652]  These are manufactured terror organizations from the governments that basically are saying they're fighting these organizations.
[00:45:04.777 --> 00:45:09.277]   and they're being weaponized against the people to get the people to submit to the government
[00:45:09.277 --> 00:45:11.956]  to say please help us Mr. or Mrs. Government.
[00:45:11.956 --> 00:45:13.135]  We can't do it without you.
[00:45:13.135 --> 00:45:14.536]  We don't have the power.
[00:45:14.536 --> 00:45:19.317]   So let's talk about this, the weaponization of these organizations and how they have infiltrated
[00:45:19.317 --> 00:45:24.557]   here through the Darien Gap and what it means to the rest of the world because again, look
[00:45:25.247 --> 00:45:25.667]  Fallen.
[00:45:26.067 --> 00:45:28.929]  Absolutely cratered to the jihadi invasion.
[00:45:29.189 --> 00:45:31.771]  We have a chemical jihad invasion coming out of China.
[00:45:32.031 --> 00:45:39.355]  We have so many different deep state operative, you know, formations of terror organizations, including the cartels, which have been funded by our government for a long time.
[00:45:39.415 --> 00:45:40.836]  Look at Operation Wide Receiver.
[00:45:40.856 --> 00:45:42.417]  Look at Operation Fast and Furious.
[00:45:42.517 --> 00:45:47.156]   the gun running operation. We gave them everything they need, leaving all that ammunition and 85
[00:45:47.156 --> 00:45:51.077]   billion dollars worth of military gear in Afghanistan, only to have it filter right
[00:45:51.077 --> 00:45:55.557]   back down to the cartels. I mean, they are out gunning us at this particular moment in time.
[00:45:55.557 --> 00:46:00.517]   It is absolutely a fabrication and a manufacturing crisis from the United States government against
[00:46:00.517 --> 00:46:06.117]   we the people. It is. And let me tell you what, the weaponized NGOs, uh,
[00:46:06.305 --> 00:46:25.415]  We clearly see that Red Cross, for instance, and the Catholic Charities, and the HIAS, and the Norwegian Refugee Council, United Nations, and World Food Program, UNESCO, and one that most people haven't heard of, even highly educated people whose names that you know because I brief them constantly, is OIM.
[00:46:25.595 --> 00:46:26.015]  OIM.
[00:46:27.176 --> 00:46:29.737]  IOM, depending on your language.
[00:46:30.758 --> 00:46:33.919]  Sometimes it's O-I-M and then in other languages it's I-O-M.
[00:46:33.999 --> 00:46:36.280]  It's an international organization for migration.
[00:46:36.761 --> 00:46:39.062]  It's led by an American woman named Amy Pope.
[00:46:39.102 --> 00:46:41.203]  She was installed maybe seven weeks ago or so.
[00:46:41.223 --> 00:46:43.984]  The United States is the principal funder of IOM.
[00:46:44.444 --> 00:46:50.567]  IOM is the principal pump house for migration across, you know, invasion across the world.
[00:46:50.827 --> 00:46:51.868]  They're an arm of the UN.
[00:46:52.598 --> 00:46:59.081]  Uh, when Secretary Mayorkas came down here on April 18th of 2022, I was waiting.
[00:46:59.321 --> 00:47:04.123]  He went straight inside of the IOM camp at San Vicente camp, China camp.
[00:47:04.583 --> 00:47:09.325]  He promised the Panamanian government he would then, uh, you should see the footage I have of that.
[00:47:09.665 --> 00:47:14.006]  He's right in front of a sand table where there's the current camp and then the future camp.
[00:47:14.226 --> 00:47:16.387]  Well now the future camp has been built.
[00:47:16.787 --> 00:47:17.887]  It's much larger now.
[00:47:17.927 --> 00:47:19.988]  There's Chinese in it right now as we speak.
[00:47:20.028 --> 00:47:22.929]  They just more come in from the jungle every morning.
[00:47:23.209 --> 00:47:32.391]  So that group that Anthony Rubin just came through the jungle with, they are actually in the camp right now waiting for buses that are not coming because roads aren't open in Panama.
[00:47:32.771 --> 00:47:37.552]  So I mean, so many are actually walking up Highway 1 now towards Panama City.
[00:47:37.832 --> 00:47:39.673]  I don't think they realize how far that walk is.
[00:47:39.993 --> 00:47:41.233]  Or actually, they are smart people.
[00:47:41.273 --> 00:47:42.134]  It'll be several days.
[00:47:42.474 --> 00:47:47.353]   So we're getting reports right now this morning from Imbra, Indians and others down there
[00:47:47.353 --> 00:47:51.114]   that the aliens are actually knocking on Panamanian's doors to get food,
[00:47:51.114 --> 00:47:53.554]  sleeping in their yards, they're hungry.
[00:47:53.554 --> 00:47:56.854]  And so this is it, Panama is being destabilized.
[00:47:56.854 --> 00:48:02.033]   And this is from the, listen, these organizations like ANGESAT and Masako Kanaha,
[00:48:02.033 --> 00:48:05.394]   we were just down in Panama again, right by the Panama Canal,
[00:48:05.394 --> 00:48:10.193]   a former US military headquarters area, is now IOM headquarters.
[00:48:10.193 --> 00:48:16.233]   It's Red Cross headquarters, UN, World Food Program, the who's who in the zoo have taken over
[00:48:17.048 --> 00:48:21.751]  military base and it's now an invasion base.
[00:48:22.072 --> 00:48:22.992]  These are all U.N.
[00:48:23.072 --> 00:48:24.053]  organizations.
[00:48:24.093 --> 00:48:26.715]  Just because they have a different moniker doesn't mean they're not related.
[00:48:26.755 --> 00:48:29.817]  They are all related back to the one world government, United Nations.
[00:48:30.837 --> 00:48:36.181]  We have been fighting a proxy war with Russia through Ukraine for the longest time now and guess what?
[00:48:36.361 --> 00:48:37.442]  America is losing.
[00:48:37.482 --> 00:48:43.586]  We have given hundreds of billions of dollars of weapons and aid to Ukraine and what do we have to show for it?
[00:48:43.866 --> 00:48:45.767]  We have a military that's been decimated.
[00:48:45.807 --> 00:48:48.749]  We have armaments that are actually low on supply.
[00:48:49.149 --> 00:48:57.773]  Our strategic petroleum reserve, we're down I think in the 30 percentile range for actual SPRs on hand should we go into war.
[00:48:58.153 --> 00:49:02.256]  We have a military that's been decimated by the bioweapon.
[00:49:02.616 --> 00:49:15.519]   These are all the ingredients that were put forth By the people behind the United Nations, the Committee of 300, the global elites, whatever you want to call these demons, these are the architects of the destruction of humanity.
[00:49:15.839 --> 00:49:21.600]  But they, again, targeting the United States of America and Americans, not our government, our government officials.
[00:49:21.620 --> 00:49:24.281]  They're going to be A-OK because they always are.
[00:49:24.621 --> 00:49:32.042]  There's no accountability there because they're not even really, you know, they're not even elected, first of all, and most of them are selected bureaucrats.
[00:49:32.469 --> 00:49:36.010]  But more importantly, they don't even swear in a proper oath of office.
[00:49:36.030 --> 00:49:38.290]  That has all been uncovered with Freedom of Information Acts.
[00:49:38.310 --> 00:49:40.431]  We filed all these lawsuits, got all the FOIAs back.
[00:49:40.471 --> 00:49:44.432]  We can prove that the Biden cabinet doesn't even have proper oaths of office on file.
[00:49:44.672 --> 00:49:46.332]  All 100% legitimate.
[00:49:46.713 --> 00:49:50.954]  All this information has been given to the Trump team attorneys so that they can sort out how to handle this.
[00:49:51.294 --> 00:49:56.575]  This is a complete fabrication, like President Trump said in the opening message when the show started at 12 o'clock.
[00:49:56.975 --> 00:49:58.216]  You know, it's a kangaroo court.
[00:49:58.276 --> 00:49:59.097]  It's a fake court.
[00:49:59.137 --> 00:50:00.317]  The whole thing is fake.
[00:50:00.598 --> 00:50:01.598]  Well, it is fake.
[00:50:01.658 --> 00:50:10.685]  These people are not even legitimately installed in office properly, and yet we, the people, are tacitly giving them the power because we agree to their authority.
[00:50:11.125 --> 00:50:14.807]  We need to stand up and say, no, Alex Jones said this is the second revolution.
[00:50:15.168 --> 00:50:20.211]  History is going to reflect, where were you and what did you do right now at this moment in time?
[00:50:20.651 --> 00:50:32.655]   Our Constitution, our Declaration of Independence demands that we perform our civic duty, and it talks about When, you know, tyranny has usurped our freedoms, we have an obligation, a duty, a civic duty, to alter and abolish.
[00:50:32.755 --> 00:50:41.881]  And it's written right in paper, on that parchment paper that is extremely valuable, that again, the people sitting up there in Capitol Hill do not even acknowledge is legitimate.
[00:50:41.921 --> 00:50:44.462]  Nancy Pelosi calls it a relic, for God's sakes.
[00:50:44.502 --> 00:50:46.083]  I mean, this is what we're dealing with, Michael.
[00:50:46.364 --> 00:50:47.484]  This is the moment of truth.
[00:50:47.745 --> 00:50:49.286]  This is it.
[00:50:49.406 --> 00:50:50.186]  This is that moment.
[00:50:50.226 --> 00:50:52.739]   You either stand up now, Or you don't.
[00:50:52.979 --> 00:51:00.041]  You're either an American now, or a Japanese now, patriot, or you are a leech, or a coward.
[00:51:00.442 --> 00:51:01.002]  This is it.
[00:51:01.882 --> 00:51:02.322]  It's on.
[00:51:02.702 --> 00:51:03.322]  Game on.
[00:51:03.703 --> 00:51:10.205]  If we don't stop this invasion at the border, if we don't start mass deportations, you're dead.
[00:51:10.785 --> 00:51:11.385]  Bottom line.
[00:51:11.725 --> 00:51:12.585]  It's that simple.
[00:51:12.605 --> 00:51:13.966]  And it's the same with Europe.
[00:51:14.326 --> 00:51:14.806]  You're dead.
[00:51:15.413 --> 00:51:26.578]  You know, when I was on Jordan Peterson's show earlier this year with Ava Lardingerbroek, Ava and I both warned that the BBB party in Netherlands was a plant by the World Economic Forum.
[00:51:26.818 --> 00:51:32.761]   The BBB in Dutch language is Vordenburgerbeweging, which means Farmer Citizens Movement.
[00:51:33.222 --> 00:51:36.243]  It was a clear World Economic Forum plan, right?
[00:51:36.623 --> 00:51:39.544]  And yet the farmers voted for it overwhelmingly.
[00:51:39.924 --> 00:51:51.629]  They voted for it overwhelmingly, despite our protestations, even though their signs all over Europe, all over Netherlands, were BB Better, Build Back Better, Vordenburgerbeweging.
[00:51:52.216 --> 00:51:53.957]  The enemy tells you what it's going to do.
[00:51:54.137 --> 00:51:54.998]  It tells you.
[00:51:55.118 --> 00:52:01.141]  It's practically got 666 written on its forehead and Satan written across its chest.
[00:52:01.641 --> 00:52:03.603]  And yet people still voted for it.
[00:52:04.003 --> 00:52:08.165]  People that, and when I would talk with Dutch farmers, they would say, no, you don't understand.
[00:52:08.505 --> 00:52:09.446]  They're on our side.
[00:52:09.566 --> 00:52:10.507]  Now they're taking their farms.
[00:52:10.527 --> 00:52:11.227]  That was in March.
[00:52:11.547 --> 00:52:17.831]  I was over there for those elections in March of this year and already instantly Borenberger bevaging.
[00:52:18.011 --> 00:52:25.924]   They got in charge of, they got not in charge, but they got, uh, a great deal of seats in Netherlands,
[00:52:25.924 --> 00:52:30.585]   and now they're working to take those farms away because who's gonna be in charge?
[00:52:30.585 --> 00:52:33.905]   Bill and Melinda Gates Foundation have put hundreds of millions of dollars
[00:52:33.905 --> 00:52:38.725]   into the picnic food distribution centers, many of which are around Netherlands, right?
[00:52:38.725 --> 00:52:42.545]   It's a vertical food production, crickets and printed meat.
[00:52:42.545 --> 00:52:46.145]   Masako and Genaha, Masako Genaha and I, the Japanese journalists,
[00:52:46.145 --> 00:52:52.825]   we went to a restaurant in Netherlands last year, and they were printing meat, printing it with a printer,
[00:52:52.825 --> 00:52:54.085]  like an inkjet printer.
[00:52:54.085 --> 00:52:55.045]  They sell it in restaurants.
[00:52:55.045 --> 00:52:57.725]  We bought some, we didn't eat it, but we made vote.
[00:52:57.725 --> 00:52:59.725]  Yeah, I mean, we smelled it and that sort of thing.
[00:52:59.725 --> 00:53:01.365]  I hope we didn't get too close to it.
[00:53:01.365 --> 00:53:06.344]   And they're actually selling it on nice, beautiful white plates, and it's printed meat.
[00:53:06.344 --> 00:53:07.425]  You can't make up this stuff.
[00:53:07.425 --> 00:53:08.365]  Just look it up online.
[00:53:08.365 --> 00:53:11.524]  You'll see it's like an inkjet printer that prints meat.
[00:53:11.439 --> 00:53:12.279]  What's in that stuff?
[00:53:12.700 --> 00:53:18.346]  Well, clearly these are the anti-God globalists, because if you believe in God, you would never consider eating printed meat, right?
[00:53:18.406 --> 00:53:20.568]  You know, God gave us everything on the planet, Michael, that we need.
[00:53:20.908 --> 00:53:25.279]   He gave us all of the, as we learned, From the Mennonites.
[00:53:25.339 --> 00:53:28.741]  There's a pretty significant population of Mennonites that live right here in Belize.
[00:53:29.081 --> 00:53:35.164]  And these are the people, by the way, that are going to survive the global holocaust, as we call it, because they're living off the land.
[00:53:35.184 --> 00:53:36.725]  They're the super preppers, if you will.
[00:53:37.065 --> 00:53:44.189]  These are the people that know how to live and eat and treat themselves for medicinal purposes, just off the stuff that's growing on the ground.
[00:53:44.629 --> 00:53:47.010]  And again, Americans aren't prepared for this.
