[00:00:00.409 --> 00:00:05.912]  The Doomsday Clock was established in the 1950s to warn of the danger of nuclear war.
[00:47:44.625 --> 00:47:52.910]  And they're in the banks, they're in the police departments, they're in the law firms, they're in the universities, they're in the schools, they're in the... they're everywhere.
[00:47:53.530 --> 00:48:01.995]  Because when you have this type of consolidation, apostasy is much easier when people band together.
[00:48:02.870 --> 00:48:07.612]  The whole Tower of Babel episode needs to be understood in the light of Genesis 3.15.
[00:48:08.092 --> 00:48:27.561]  The devil in this story is trying to consolidate humanity in open rebellion against God to destroy the Holy Line, to totally corrupt and demoralize the world, so that the promised Messiah, who would crush the serpent's head, would not be able to come.
[00:48:28.141 --> 00:48:33.564]  In one great apostate united system against God.
[00:48:33.844 --> 00:48:35.925]  You might call this a New World Order.
[00:48:36.145 --> 00:48:44.469]  One like Vladimir Putin has now upset this balance of the New World Order that they were trying to achieve by going into Ukraine.
[00:48:44.509 --> 00:48:52.573]  The evil people want to run things and I know that people like General Flynn is like kind of a military Amish person.
[00:48:52.814 --> 00:49:00.595]   Not only is he against technology, he thinks it's He thinks it's, at a subconscious level, a little too worldly to want to be the leader.
[00:49:01.256 --> 00:49:09.321]  A little too pushy to come out and, you know, it's just not, well, it's a little arrogant, it's a little egotistical.
[00:49:09.361 --> 00:49:09.902]  No, it's not!
[00:49:09.922 --> 00:49:11.443]  No, it's not!
[00:49:11.943 --> 00:49:18.943]  We're gonna lead or we're gonna die.
[00:49:18.943 --> 00:49:22.542]  A poll went up on Infowars.com this morning.
[00:49:22.544 --> 00:49:26.516]  It's got 15,700 votes as of a few minutes ago when I printed this off.
[00:49:27.626 --> 00:49:30.328]  And we asked, what issue is most concerning to you right now?
[00:49:30.368 --> 00:49:33.571]  Illegal immigration, economy, censorship, medical tyranny.
[00:49:34.192 --> 00:49:38.495]  Illegal immigration was 26%, economy 25%, censorship 11%, medical tyranny 37%.
[00:49:39.636 --> 00:49:53.909]  And whoever the crew put that up, it's a good poll, but I would have just added the other point of the war in Ukraine leading to nuclear war with the doomsday clock moved by the International Committee to 90 seconds to total Armageddon.
[00:49:55.216 --> 00:50:01.338]  But I would ask our next guest, what does he think is a bigger issue, the medical tyranny or the world marching towards thermonuclear war?
[00:50:01.438 --> 00:50:06.860]  And I think both of them are the same subject of an establishment that's gone quite mad.
[00:50:07.480 --> 00:50:30.931]   Well, we've had a lot of big guests on here, but of the top two or three people that from the beginning have exposed this, The guy that first, well over two years ago, that specifically predicted everything that was going to happen, filed emergency motions in the European Union Parliament that I saw with Wolfgang Wuderg and others, was Dr. Michael Yedon, and he couldn't have a better curriculum vitae or a background.
[00:50:32.052 --> 00:50:34.934]  Dr. Gidon is a professional research scientist.
[00:50:34.954 --> 00:50:42.921]  He's a lifelong career in big pharma and biotech R&D, preceded by training with joint first-class honors in biochemistry and toxicology.
[00:50:42.941 --> 00:50:47.085]  He also did three years of research based on impact of opiates on receptors.
[00:50:47.144 --> 00:50:52.224]   even more noteworthy is that he used the fentanyl class of synthetic opiates
[00:50:52.224 --> 00:50:56.384]   invented at Janssen Labs, now part of Johnson & Johnson, which places him in a
[00:50:56.384 --> 00:50:59.465]   unique position to offer expert testimony as well. He has trained and
[00:50:59.465 --> 00:51:03.224]   practiced research across a wide range of relevant life sciences. For 40 years
[00:51:03.224 --> 00:51:07.264]   he retired, what, four years ago or so, or he can correct me, from Pfizer as their
[00:51:07.264 --> 00:51:10.625]   vice president, one of their main directors. But I'm gonna let him give you his
[00:51:10.625 --> 00:51:14.625]   background so I don't get it wrong, but you couldn't have a more credentialed
[00:51:14.625 --> 00:51:19.543]   individual, and I'd call him literally establishment whistleblower, than Dr.
[00:51:19.543 --> 00:51:23.625]   Michael Yudon. I'm gonna do my best because we have millions of people tuned in to try
[00:51:23.625 --> 00:51:28.583]   to let him just lead this discussion where he wants to go here in the next 50
[00:51:28.583 --> 00:51:35.025]   minutes we have. So Dr. Yudon, take it over. Thank you very much Alex.
[00:51:33.149 --> 00:51:39.831]  It's a real privilege to speak to you and through you, hopefully to a large audience, some of whom have not heard from me before.
[00:51:40.391 --> 00:51:50.193]  So, yes, I think it would be fair to say I'm the most qualified former pharmaceutical company executive speaking anywhere in the world.
[00:51:50.253 --> 00:51:52.794]  That was true early in 2020 and it's still true now.
[00:51:53.514 --> 00:52:02.485]  Sadly, as you say, I have a proper training in biochemistry, toxicology, and then a research-based PhD on opiates and respiration.
[00:52:02.906 --> 00:52:10.435]  Then I spent 23 years in Big Pharma, leaving Pfizer as their vice president and worldwide head of respiratory research in 2011.
[00:52:12.117 --> 00:52:13.939]  And then I worked for 10 years in biotech.
[00:52:14.119 --> 00:52:16.121]  I founded a biotech company myself.
[00:52:16.402 --> 00:52:23.149]  I was the CEO and I led that through financing clinical trials and it was acquired by Novartis in 2017.
[00:52:23.189 --> 00:52:25.031]  So the point of saying this.
[00:52:26.793 --> 00:52:45.919]  I think I am the peer, scientifically, of anyone you will hear on the TV in public health like Dr Fauci or Sir Patrick Vallance in the UK or any of the senior pharmaceutical R&D staff that are running the vaccine R&D programmes right now.
[00:52:46.099 --> 00:52:57.382]   I know personally three of the four people running it and I realised Very early on, March 2020, that basically we were under attack.
[00:52:58.142 --> 00:52:59.682]  And I knew this for this reason.
[00:53:00.103 --> 00:53:06.182]   we had imposed upon us lockdowns, an absurd prison slang type of approach
[00:53:06.182 --> 00:53:08.983]  for which there was no precedent anywhere in public health.
[00:53:08.983 --> 00:53:14.663]  All right.
[00:53:16.665 --> 00:53:18.506]  Sorry, sir, your Skype broke up for five seconds.
[00:53:18.726 --> 00:53:19.266]  Please continue.
[00:53:19.506 --> 00:53:19.646]  Okay.
[00:53:20.393 --> 00:53:29.978]  So, yeah, so basically the lockdown told us that there was a supranational plot, I'm afraid, to impose these measures upon us.
[00:53:30.859 --> 00:53:36.002]  And then if I just make three quick points, the first is we've been lied to.
[00:53:37.062 --> 00:53:47.028]  By government officials and corporate types about absolutely everything to do with this so-called virus pandemic.
[00:53:47.068 --> 00:53:59.274]  The severity of the public health threats, the necessity to lock down, asymptomatic transmission, the use of masks, mass testing and finally vaccines.
[00:53:59.814 --> 00:54:05.939]  Every single part of the narrative, every single part, is a lie, scientifically proven.
[00:54:06.299 --> 00:54:15.747]  And I know that the people like Fauci, like Sir Patrick Balance, were lying through the TVs to the audience because we share a common training.
[00:54:16.287 --> 00:54:19.550]  I trained at the same kind of universities at the same time.
[00:54:19.570 --> 00:54:30.361]   That meant we had the same Foundational training, for example, in immunology, and then when they said things I knew were not true, I knew that they knew that too, and that they were lying to you.
[00:54:30.661 --> 00:54:34.185]  And that was what kick-started me from very early on.
[00:54:35.384 --> 00:54:43.406]  Well, I'm not a famous, well-known scientist, top of your class like you, but I know basic things like learned immunity is better than artificial immunity.
[00:54:43.426 --> 00:54:44.746]  And they said, no, that's not the case.
[00:54:44.946 --> 00:54:48.527]  Or they said this was a vaccine when it wasn't a classic vaccine.
[00:54:48.547 --> 00:54:55.528]  I mean, they were attacking therapeutics that the Pentagon had tested years ago and said were really good, but these type of viruses.
[00:54:55.548 --> 00:54:58.329]  So I was having the same concerns as a layperson.
[00:54:58.369 --> 00:55:03.150]  And then I saw your research and it really validated my basic understanding.
[00:55:04.215 --> 00:55:04.715]  No, you're right.
[00:55:04.775 --> 00:55:08.918]  And in fact, I've got a couple of phrases people told me were very powerful.
[00:55:08.938 --> 00:55:09.899]  I just threw them out there.
[00:55:10.239 --> 00:55:12.160]  So I've got this rhetorical question, Alex.
[00:55:12.640 --> 00:55:19.525]  What's the right number of times your public health officials should lie to you in a way that could cost you your health or your life?
[00:55:19.565 --> 00:55:20.446]  What's the right number?
[00:55:20.666 --> 00:55:22.787]  Now, I think the answer is zero, right?
[00:55:23.187 --> 00:55:26.449]  It shouldn't deliberately tell you things that they know to be untrue.
[00:55:26.910 --> 00:55:28.251]  Well, you've just listed three or four.
[00:55:28.631 --> 00:55:33.991]   I found six, seven, eight, there is no question. These people are lying to you.
[00:55:33.991 --> 00:55:38.951]   When people lie to you, it's to hide something or to introduce something.
[00:55:39.168 --> 00:55:53.279]  And I think they are introducing these so-called vaccines and while the lot cut to the chase, there was no necessity whatsoever to introduce something called a vaccine.
[00:55:53.299 --> 00:55:54.520]  Let me just explain why.
[00:55:54.540 --> 00:56:03.528]  The younger people, people my age, I'm 62, so a youngish fit person or younger, almost none of them died.
[00:56:04.268 --> 00:56:05.850]  Uh, of this so-called virus.
[00:56:06.290 --> 00:56:12.056]  So why would you want to vaccinate all the population when most people have got perfectly satisfactory immunity?
[00:56:12.397 --> 00:56:19.704]  So that was one thing, and yet Bill Gates and others wanted a needle in every arm, and they still want a needle in every arm.
[00:56:19.984 --> 00:56:22.627]  But I've got something even more faithful to the narrative.
[00:56:23.346 --> 00:56:29.029]  Most people will know that you're offered, usually free, an annual flu vaccine.
[00:56:29.429 --> 00:56:42.516]  Well, the thing is, I had a look at the meta-analysis over a decade in the UK, and it turns out that flu vaccines do not reduce severe flu or deaths from flu in the UK.
[00:56:42.796 --> 00:56:44.897]  And I can tell you why they don't work.
[00:56:45.638 --> 00:56:52.661]  The reason that elderly, frail people are vulnerable is their immune system slowed down and doesn't respond well to new challenges.
[00:56:53.061 --> 00:56:53.301]  Right?
[00:56:53.421 --> 00:56:54.962]  That sounds uncontroversial.
[00:56:55.242 --> 00:56:59.224]  Why in the world, Alex, would you think they'd respond well to vaccines?
[00:56:59.604 --> 00:57:00.244]  And they don't!
[00:57:00.825 --> 00:57:06.487]  So the people who get benefit don't need it, and the people who are at risk of death don't get the benefit.
[00:57:06.707 --> 00:57:08.788]  The whole thing is a lie.
[00:57:08.968 --> 00:57:12.670]  Don't go near these so-called vaccines, which I will talk about in depth.
[00:57:13.427 --> 00:57:25.574]  We've got a few minutes to break and we'll come back, but you really called it years ago, it was happening, but you've now said, I don't want to put words in your mouth, but your own words, that this is a premeditated, poisonous, or dangerous thing.
[00:57:26.334 --> 00:57:30.236]  Speak to how you know it's premeditated, and then why would they do it?
[00:57:30.356 --> 00:57:31.737]  Why would they think they're going to get away with it?
[00:57:32.017 --> 00:57:34.859]  Because now it looks like they're not getting away with it, thanks to you.
[00:57:36.294 --> 00:57:37.355]  Well, I'm not the only one.
[00:57:37.936 --> 00:57:43.341]  I think the main weapon they have against people like me, and you will know all about this, is censorship.
[00:57:43.841 --> 00:57:46.624]  I'm probably one of the most censored people.
[00:57:47.405 --> 00:57:52.189]  I've been ejected off Twitter and I've not been allowed back despite my appeals.
[00:57:52.670 --> 00:57:55.332]  I can't comment under a YouTube video or post any.
[00:57:55.372 --> 00:57:57.755]  They get deleted in real time as I type them.
[00:57:58.375 --> 00:58:03.978]  I can't, you know, if you Google me, you'll find I'm a conspiracy theorist.
[00:58:04.018 --> 00:58:11.223]  But if you use something like Yandex, which is a Russian browser, you will find 80 interviews by me.
[00:58:11.563 --> 00:58:18.727]  So, you know, so basically, they're not frightened of people like me, because they figure that I won't be heard.
[00:58:18.767 --> 00:58:27.594]   So here's the thing, please, Listen, what I ask you to do is memorize two or three of the most powerful things I told you.
[00:58:28.374 --> 00:58:30.836]  Please, you must go and tell ten other people.
[00:58:31.517 --> 00:58:32.678]  Please don't tell me it's hard.
[00:58:32.718 --> 00:58:33.499]  I know it's hard.
[00:58:33.519 --> 00:58:35.300]  I've been trying to do this film for three years.
[00:58:35.680 --> 00:58:38.983]  But the only way we'll win is if you tell ten other people.
[00:58:39.343 --> 00:58:41.085]  The mass media is never going to tell them.
[00:58:41.545 --> 00:58:41.746]  Right?
[00:58:41.766 --> 00:58:42.707]  They're never going to tell them.
[00:58:43.188 --> 00:58:44.650]  And they weren't working out on their own.
[00:58:44.690 --> 00:58:46.152]  They're still in the narrative.
[00:58:46.332 --> 00:58:46.753]  Well, that's right.
[00:58:46.773 --> 00:58:47.114]  Stand there.
[00:58:47.154 --> 00:58:48.235]  That's so powerful, though.
[00:58:48.275 --> 00:58:49.497]  The people have to mobilize.
[00:58:49.537 --> 00:58:51.420]  They tell 10, they tell 10, tell them, tell 10.
[00:58:51.740 --> 00:58:52.521]  Chain Reaction.
[00:58:52.542 --> 00:58:53.463]  Stand there, Dr. Michael Yeadon.
[00:58:53.483 --> 00:58:54.004]  We'll come right back.
[00:58:55.413 --> 00:59:01.555]  I've been following Dr. Michael Yeadon for almost three years and totally admiring him and of course I get his name wrong and say Yeadon, it's Yeadon.
[00:59:02.455 --> 00:59:09.016]  And we've got him until the end of the hour and I really want him to just know he has the floor and laser focus on what he saw.
[00:59:09.196 --> 00:59:18.799]  He's already on his curriculum, the background, his predictions that came exactly true in that emergency filing he did in the EU in December of 2000 that was so powerful.
[00:59:18.819 --> 00:59:22.480]  The predicted blood clots, the heart attacks, the myocarditis, the infertility.
[00:59:23.400 --> 00:59:30.902]  And then now the vindication is all this comes out as a confirmed, and then where does he see this needs to go to bring justice to these people?
[00:59:30.942 --> 00:59:42.545]  Because he's right, the censorship day one is what allowed them to get away with this attack, to obviously bring in their global social credit score, their vaccine passports, all of that.
[00:59:42.585 --> 00:59:43.785]  So sir, please continue.
[00:59:44.730 --> 00:59:45.651]  Yeah, no, certainly.
[00:59:45.771 --> 00:59:53.341]  You asked me, Alex, before the break how I was so sure that this was deliberate rather than some sort of accidental overreaction.
[00:59:53.982 --> 01:00:05.033]   Well, what I can tell you is that the this idea or telling us that there's a pandemic And using coordinated media to terrify people in every country.
[01:00:05.073 --> 01:00:09.276]  And then, as you said, using the lockdown, a kind of prison term.
[01:00:10.777 --> 01:00:14.379]  That didn't just get worked out in the first quarter of 2020.
[01:00:15.740 --> 01:00:20.983]  I didn't realise till about a year, but at least 10 rehearsals.
[01:00:21.623 --> 01:00:22.623]  have taken place.
[01:00:22.623 --> 01:00:29.461]   And I prompted your researchers to look and pick up a video by a German journalist called Paul Schreier,
[01:00:29.461 --> 01:00:37.903]   S-C-H-R-E-Y-E-R, on YouTube, surprisingly, called "Pandemic Simulations, Preparation for a New Era."
[01:00:37.903 --> 01:00:42.583]   They have been running simulations of worldwide pandemics,
[01:00:42.583 --> 01:00:46.063]  mostly for respiratory disease, since 1997.
[01:00:46.063 --> 01:00:52.302]   And they've involved every country and institution, including coming up to the Bill Gates-sponsored event,
[01:00:52.302 --> 01:00:54.342]  201, at the end of 2019.
[01:00:54.342 --> 01:00:57.182]  They've rehearsed this again and again and again and again.
[01:00:57.182 --> 01:01:01.302]   That tells me it's deliberate, that they intended to execute this plan.
[01:01:01.302 --> 01:01:02.903]  That's the first thing to say.
[01:01:02.903 --> 01:01:07.742]   And then the second thing, like I've said, is all the things they told us about the virus were lies.
[01:01:07.804 --> 01:01:08.585]  Absolutely everything.
[01:01:08.805 --> 01:01:10.146]  It's not very serious.
[01:01:10.646 --> 01:01:12.087]  It doesn't kill many people.
[01:01:12.167 --> 01:01:14.628]  Children are not faintly at risk, and so on.
[01:01:14.888 --> 01:01:21.312]  And that was so that they could get you used to taking orders from mass media people.
[01:01:21.652 --> 01:01:25.194]  You know, who are these people that they think they can order you and I around?
[01:01:25.674 --> 01:01:30.337]  So they frightened people and got them used to jumping to order.
[01:01:30.357 --> 01:01:31.057]  So that's one thing.
[01:01:31.097 --> 01:01:38.041]   But the main thing they wanted I think was to get people ready to roll their sleeves up and take a jab.
[01:01:38.141 --> 01:01:44.924]  Now, just before the break, I told you that flu vaccines do not reduce serious illness and death in the vulnerable.
[01:01:45.184 --> 01:01:46.285]  They don't reduce death.
[01:01:48.627 --> 01:01:52.948]  Vaccines have been made well and delivered appropriately.
[01:01:52.968 --> 01:02:01.331]  This still wouldn't work because the people who would die of this so-called COVID-19 are the people who could not be helped by vaccination.
[01:02:01.771 --> 01:02:06.873]  Vaccination is the wrong strategy for any new outbreak like this.
[01:02:06.953 --> 01:02:09.194]  It should always be early treatment.
[01:02:09.834 --> 01:02:10.734]  So what are they doing?
[01:02:10.754 --> 01:02:11.434]  They've lied.
[01:02:11.835 --> 01:02:22.977]  They're going forward with a strategy that I've just explained as an expert, could not possibly work, does not work in the case of flu, and yet they've injected, I think, five and a half billion people.
[01:02:23.317 --> 01:02:25.798]  For goodness sake, five and a half billion people.
[01:02:26.778 --> 01:02:54.043]   And then I'm going to tell you, I don't know why other people aren't saying this in the industry, If you introduce to the human body mRNA, basically wrapped in lipid, which is like the Pfizer and Moderna products, if they get expressed, taken up in your body, you hijack the manufacturing machinery in your body and you make whatever's encoded, Alex, you will turn yourself into a virus protein or foreign protein factory.
[01:02:54.776 --> 01:02:55.697]  This is terrible.
[01:02:56.177 --> 01:03:00.542]  Your body demarks the inside and keeps it as self.
[01:03:01.162 --> 01:03:02.664]  And the outside is non-self.
[01:03:02.744 --> 01:03:06.127]  And when they mix you get an immune reaction.
[01:03:06.187 --> 01:03:17.638]  So when the shot skips the sinus and your body's first line of defense is it goes in, explain this, you're a scientist, it programs your cells to make the spike protein similar to prions, right?
[01:03:19.279 --> 01:03:24.421]  Not necessarily, but the main thing is they're making a protein that does not belong in your body.
[01:03:24.961 --> 01:03:31.543]  Your body notices that those cells and tissues are expressing non-self.
[01:03:32.283 --> 01:03:37.724]  Your immune soldiers, your platoon, heavy weapons go to work and their job is to destroy that cell.
[01:03:38.085 --> 01:03:40.745]  That's how they stop you getting cancer every day.
[01:03:40.925 --> 01:03:46.467]  If there's a single cell that goes aberrant, tumorous... So they know that it's going to cause an autoimmune response to the body?
[01:03:47.580 --> 01:03:48.440]  Definitely.
[01:03:48.940 --> 01:03:49.621]  Every time.
[01:03:50.361 --> 01:04:03.645]  And here's the worst part, the thing that's... I mean, I wish it didn't, but things keep confirming what I guessed in 2020, which was this is totalitarian control, and ultimately they're going to depopulate, which sounds crazy.
[01:04:03.885 --> 01:04:08.026]  I was the sort of person who listened to the BBC and read the Times newspaper until 2020.
[01:04:08.086 --> 01:04:15.350]   I have no history It's absolutely obvious that if you inject people with mRNA, it doesn't matter what it encodes for.
[01:04:15.190 --> 01:04:17.829]  conspiracy theorists, present company accepted.
[01:04:17.829 --> 01:04:18.990]  But I'm now joining you.
[01:04:18.990 --> 01:04:25.230]   It's absolutely obvious that if you inject people with mRNA, it doesn't matter what it encodes for.
[01:04:25.230 --> 01:04:27.510]  What did we hear a month ago?
[01:04:27.510 --> 01:04:36.028]   The pharmaceutical companies are remanufacturing all the old vaccines in mRNA form.
[01:04:36.028 --> 01:04:42.510]   And they've ordered, or there are business terms with each government to buy 10 injections per man,
[01:04:42.510 --> 01:04:44.269]  woman, and baby.
[01:04:44.796 --> 01:04:55.726]  In every country, and I can assure you, you could not possibly stand up to 10 of these injections, but I can see how easily they could put us in a position where you get no choice.
[01:04:55.746 --> 01:05:04.114]  So just cutting to the chase, what I think is going to happen, and I wish I wasn't being right, I think they will make digital IV mandatory.
[01:05:04.893 --> 01:05:07.014]  Not necessarily a vaccine passport, but that would do.
[01:05:07.475 --> 01:05:09.136]  Digital ID will become mandatory.
[01:05:09.156 --> 01:05:13.118]  You will not be able to shop or travel or work without it or get healthcare.
[01:05:13.538 --> 01:05:19.302]  And I think the other thing they'll do is withdraw cash and replace all currency with central bank digital currencies.
[01:05:19.842 --> 01:05:33.513]   At that point, Alex, If they say, if you don't get your next jab, we will not allow you to buy gasoline or travel or buy food, the system I've just described is already ready to go.
[01:05:33.533 --> 01:05:39.098]  So I say to people, use cash, diversify the businesses you buy from.
[01:05:40.479 --> 01:05:43.961]  Any business that won't take cash tell me you're not you're not going to work with them anymore.
[01:05:45.282 --> 01:05:49.624]  And for goodness sake, tell people I don't care if it might be a little embarrassing.
[01:05:49.884 --> 01:05:52.286]  I can assure you what I've been doing the last few years.
[01:05:52.346 --> 01:05:56.908]  It has not enhanced my reputation with people I used to work with the cowards.
[01:05:57.209 --> 01:05:58.249]  I'll call them out again.
[01:05:58.609 --> 01:05:59.390]  Patrick balance.
[01:06:00.290 --> 01:06:00.910]  You're a liar.
[01:06:01.410 --> 01:06:10.572]  Mattai Mammon, who was the head of R&D at Johnson & Johnson, I told him that he should resign before he gets imprisoned, and he's resigned.
[01:06:11.092 --> 01:06:13.853]  He resigned making no announcement as to the reason why.
[01:06:14.593 --> 01:06:15.053]  Who else?
[01:06:15.593 --> 01:06:22.655]  Manny Pangolos at AstraZeneca, you're a criminal, you need to sue me, otherwise everyone will know what I've just said is true.
[01:06:24.556 --> 01:06:35.244]  Every person who's injected with a product that contains messenger RNA that codes for something that doesn't belong in your body will induce an autoimmune reaction.
[01:06:35.304 --> 01:06:37.726]  So here's the thing, this I think will resonate.
[01:06:38.553 --> 01:06:39.534]  No one else has said this.
[01:06:39.994 --> 01:06:44.978]  Have you noticed that there's a wide range of side effects from the existing mRNA vaccines?
[01:06:45.058 --> 01:06:52.583]  Myocarditis, neurological conditions, brain blood clots, deep vein thrombosis and so on.
[01:06:52.983 --> 01:06:53.864]  I think I know why.
[01:06:54.504 --> 01:07:00.145]  When you get injected with one of these materials, they don't deposit evenly around the body.
[01:07:00.825 --> 01:07:04.066]  Sometimes more of it will go to one vascular bed than another.
[01:07:04.426 --> 01:07:09.907]  So if it goes mostly to your heart, I think those are the people who've got myocarditis.
[01:07:09.927 --> 01:07:11.107]  Stay there, this is too important.
[01:07:11.147 --> 01:07:12.187]  Longer segment coming up.
[01:07:12.527 --> 01:07:13.828]  Incredibly important information.
[01:07:14.128 --> 01:07:16.508]  Dr. Michael Yeadon, stay right there.
[01:07:16.968 --> 01:07:18.308]  Oh man, this is so important.
[01:07:18.709 --> 01:07:20.749]  And it's all been vindicated, everything he said has come true.
[01:07:21.249 --> 01:07:23.512]  We're going to talk about it all and what he believes is coming next.
[01:07:23.572 --> 01:07:26.435]  We're going to stop this takeover, this biomedical tyranny together.
[01:07:26.455 --> 01:07:26.816]  Stay with us.
[01:07:27.757 --> 01:07:30.540]  Well, this is such life-saving information.
[01:07:31.061 --> 01:07:32.462]  Dr. Michael Yeadon is our guest.
[01:07:32.482 --> 01:07:36.407]  I would invite him back for a commercial-free podcast that we tape on Saturdays.
[01:07:36.447 --> 01:07:39.510]  We can tape at any time, but those are usually about 2-3 million views.
[01:07:40.231 --> 01:07:44.533]  People love those commercial-free podcasts, that way he can even send us a PowerPoint if he wants, we can put slides.
[01:07:44.934 --> 01:07:47.235]  They're going to do a whole presentation without me even talking.
[01:07:47.995 --> 01:07:51.977]  But we ran another break, sir, you're trying to make a point that was really key as we went to break.
[01:07:53.398 --> 01:07:54.378]  Yeah, sure, thank you.
[01:07:54.819 --> 01:08:03.635]   I was talking just before the break that when a person's injected with one of these mRNA so-called vaccines, They don't distribute evenly around the body.
[01:08:03.715 --> 01:08:05.537]  There'll be kind of lumpy distribution.
[01:08:05.897 --> 01:08:21.953]  And so I believe that wherever it lands in your body, in the heart or blood vessels in the brain or in your legs, whatever, if it gets taken up and expressed there, you end up showing non-self to your immune system, which comes in and destroys that tissue.
[01:08:23.022 --> 01:08:25.604]  Maybe cell by cell, it won't kill you on day one.
[01:08:25.904 --> 01:08:30.027]  That's why people get progressive illness quite often and they're just constantly sick.
[01:08:30.548 --> 01:08:36.993]  So here's the thing, if you get a lot of deposition in the heart, you'll get myocarditis or pericarditis.
[01:08:37.473 --> 01:08:55.264]   If you get a lot of distribution in your brain or spinal cord or peripheral nervous system, any one of a number of horrible neurological conditions that you've seen, people shaking uncontrollably and so on, if it lands in the back of your eye, You'll get loss of vision suddenly in one eye and that's happened to two people I know.
[01:08:55.284 --> 01:08:57.025]  What else?
[01:08:57.065 --> 01:09:00.087]  If it lands in your ovaries, infertility.
[01:09:00.587 --> 01:09:05.069]  Your immune system will destroy the egg cells in your ovary.
[01:09:05.550 --> 01:09:10.753]   If it lands in pregnant uterus, Stillbirth or premature delivery?
[01:09:11.133 --> 01:09:11.874]  So you get the point.
[01:09:12.635 --> 01:09:15.817]  What I've told you explains all the effects.
[01:09:15.857 --> 01:09:23.363]  The fact that people are becoming ill and dying and the huge diversity of adverse events that they are just ignoring.
[01:09:23.483 --> 01:09:28.147]  It's all clearly there in public databases like VAERS in the US.
[01:09:28.207 --> 01:09:28.988]  Very good system.
[01:09:29.008 --> 01:09:32.090]  The military has a similar system.
[01:09:32.371 --> 01:09:33.251]  Shows same pattern.
[01:09:33.772 --> 01:09:35.073]  Yellow card and so on.
[01:09:35.613 --> 01:09:42.061]  Everywhere in the world, honest public health officials can see what I'm saying is true, but they're just lying, lying, lying.
[01:09:42.161 --> 01:09:47.127]  And the insurance company actuaries are showing a massive increase in death never before seen, correct?
[01:09:48.120 --> 01:09:49.601]  They are, absolutely.
[01:09:49.961 --> 01:09:51.942]  And then when people say, oh, well, it's COVID.
[01:09:52.362 --> 01:09:53.002]  No, it isn't.
[01:09:53.523 --> 01:09:56.864]  The people who are dying now are the people who've been injected.
[01:09:57.164 --> 01:10:04.668]  And a lot of those people are young and middle-aged people, which is why lots of workforces have enormous sickness absence rates at the moment.
[01:10:04.888 --> 01:10:09.971]  So you're right, the life insurance excess claims is for the working age population.
[01:10:10.271 --> 01:10:15.753]  They're not the people who typically would have perished with flu at 80 or 90 years of age.
[01:10:15.854 --> 01:10:16.614]  It's young people.
[01:10:17.094 --> 01:10:24.259]  It's all around the world, almost without exception, where COVID-19 vaccines have been rained upon the population.
[01:10:25.440 --> 01:10:31.424]  And just again, just a quick point so that people will know you're being lied to.
[01:10:31.764 --> 01:10:35.887]  So, for example, we were told it's safe to give to pregnant women.
[01:10:36.847 --> 01:10:45.253]   Well, I can tell you 60 years of experience since thalidomide, Has that produced a red line that operated all the way through my career?
[01:10:45.353 --> 01:10:49.255]  You never give experimental medical interventions to a pregnant woman.
[01:10:49.415 --> 01:10:50.556]  And actually, you never do it.
[01:10:51.256 --> 01:10:58.000]  Even if it might save her life, you still have to have that argument about whether it's worth risking birth malformations or killing the fetus.
[01:10:58.361 --> 01:10:59.021]  That's one group.
[01:10:59.541 --> 01:11:03.844]  We never should inject people who already apparently had this disorder.
[01:11:04.484 --> 01:11:10.328]  As you said, immunity from prior illness of the same type is the strongest defence.
[01:11:10.788 --> 01:11:13.330]  And then thirdly, we should never inject children.
[01:11:13.390 --> 01:11:16.973]  Not one of them in Europe died because of this so-called virus.
[01:11:17.313 --> 01:11:25.738]  So they're chasing pregnant women, your children or grandchildren, and they're chasing you if you've not been jabbed, even if you think you've had it already.
[01:11:26.179 --> 01:11:29.361]  These guys are literally, they are psychopaths at this point.
[01:11:30.481 --> 01:11:39.445]  And one thing I wanted to mention, people might say, well, you know, if it wasn't as bad as you say, you know, this virus and it wasn't an emergency, how did they all die?
[01:11:39.505 --> 01:11:42.426]  And I can tell you, medical murder.
[01:11:42.446 --> 01:11:44.247]  I mean, it's absolutely shocking.
[01:11:44.267 --> 01:11:46.748]  A lot of people were admitted to hospital.
[01:11:47.508 --> 01:11:54.009]  And if they had a positive PCR test, then we were told they were a COVID admission.
[01:11:54.409 --> 01:12:03.271]  Those people were given Remdesivir, which is a supposed antiviral, but it actually destroys the kidneys in about 20 to 30% of patients.
[01:12:03.591 --> 01:12:05.772]  It's so toxic, you shouldn't give it.
[01:12:06.172 --> 01:12:16.074]  And by the way, since you're a world-leading expert in opiates and drugs for surgery, I forget the name of the drug, but I saw it in the UK that the government stocked up on before COVID.
[01:12:16.614 --> 01:12:24.565]  And that they gave patients that had COVID and were on respirators, but the drug was known to kill respiration.
[01:12:24.605 --> 01:12:25.166]  What was that drug?
[01:12:25.767 --> 01:12:32.977]  Yeah, that's called Midazolam, and the mixture of Midazolam, which is, it's like a granddaddy of Valium.
[01:12:33.397 --> 01:12:40.182]  So it's a real strong sedative, the Midazolam, and they were also giving them morphine, which is like a fentanyl type drug.
[01:12:40.923 --> 01:12:42.824]  Midazolam, morphine and remdesivir.
[01:12:43.025 --> 01:12:46.687]  But here's the thing, they're also giving them mechanical ventilation.
