[00:00:00.149 --> 00:00:01.670]  So this is now in our country, folks.
[00:54:57.864 --> 00:54:59.785]  I take two DNA Force Plus every morning.
[00:54:59.905 --> 00:55:04.849]  I take two DNA Force Plus every night for cellular energy production and telomere support.
[00:55:05.350 --> 00:55:06.551]  You're just not getting it anywhere else.
[00:55:07.412 --> 00:55:09.533]  DNA Force Plus, 50% off flash sale.
[00:55:09.713 --> 00:55:11.055]  InfoWarsStore.com.
[00:55:11.075 --> 00:55:13.076]  Take advantage of this while supplies last.
[00:55:14.698 --> 00:55:15.678]  And of course, also...
[00:55:16.974 --> 00:55:21.379]  As I tease, there's going to be big Alex Jones news coming up soon.
[00:55:22.200 --> 00:55:23.861]  It might be tonight, it might be tomorrow.
[00:55:24.001 --> 00:55:26.604]  I'm kind of expecting it to drop tonight, but we're not sure.
[00:55:27.385 --> 00:55:31.910]  But let's just say, Alex, he's been missing from the studio here for a couple days.
[00:55:32.310 --> 00:55:33.631]  He's going to be back before the end of the week.
[00:55:34.372 --> 00:55:36.893]  But it's going to be groundbreaking stuff when you find out what he's been up to.
[00:55:37.473 --> 00:55:39.234]  But also groundbreaking stuff from Alex Jones.
[00:55:39.254 --> 00:55:40.814]  The new book, The Great Awakening.
[00:55:41.295 --> 00:55:42.775]  This is the follow-up to The Great Reset.
[00:55:42.835 --> 00:55:46.317]  It's The Great Awakening, defeating the globalists and launching the next great renaissance.
[00:55:46.797 --> 00:55:48.998]  It is now available at InfoWarsTore.com.
[00:55:49.538 --> 00:55:55.040]  And you can also get your autographed copy by Alex Jones exclusively at InfoWarsTore.com.
[00:55:55.080 --> 00:55:56.160]  And this is how we fund ourselves.
[00:55:56.801 --> 00:55:57.601]  This is a fundraiser.
[00:55:58.652 --> 00:56:05.337]  So when Alex Jones sits over there on the other side of the studio and signs thousands of these, that's so we can fund this operation.
[00:56:05.737 --> 00:56:26.111]  So, the signed copy of Alex's new book, exclusively available at Infowarsstore.com, and for the collectors out there, you want to complete your collection, you already got the signed copy of The Great Reset, get your signed copy of The Great Awakening, limited supplies, the latest Alex Jones book, now available, Infowarsstore.com.
[00:56:27.915 --> 00:56:31.457]  All right, support InfoWars, support free speech, keep us on the air.
[00:56:32.878 --> 00:56:39.081]  Now, getting back to the war propaganda.
[00:56:40.122 --> 00:56:43.163]  So you've got conflicting reports, obviously, with all of this.
[00:56:43.744 --> 00:56:47.506]  Hamas denies false media reports about targeting civilians and attacking children.
[00:56:49.522 --> 00:56:53.246]  And again, I don't know what to believe, I don't know what not to believe.
[00:56:53.787 --> 00:57:02.557]  What I know is that this centuries-old holy war is now reaching our cities and our streets, and that really upsets me.
[00:57:06.221 --> 00:57:09.124]  And that's what I get emotional about.
[00:57:10.037 --> 00:57:12.179]  Yeah, it's sad what's going on in the Middle East.
[00:57:12.239 --> 00:57:14.680]  It's sad what goes on in all these different war-torn countries.
[00:57:14.740 --> 00:57:17.683]  That's why I'm grateful to be in America.
[00:57:17.963 --> 00:57:23.967]  That's why I'm grateful and proud to be an American citizen, where I can have peace and prosperity.
[00:57:24.207 --> 00:57:26.209]  Now that's all under threat by the Democrats right now.
[00:57:30.712 --> 00:57:36.276]  But it's funny as I see the pro-Palestinian protesters, and I'm going to dig more into this on the other side.
[00:57:37.216 --> 00:57:41.639]  But it's funny, I see all the pro-Palestinian protesters, I see all the pro-Israel protesters.
[00:57:42.000 --> 00:57:46.983]  You fled your war-torn, dangerous countries to come to America to experience peace and prosperity.
[00:57:47.304 --> 00:57:49.405]  And where is your appreciation of that?
[00:57:50.206 --> 00:57:52.407]  And now you want to bring your holy war to our streets?
[00:57:52.808 --> 00:57:55.530]  And you want to call for genocide of people on our streets?
[00:57:57.625 --> 00:58:06.475]  And this is only allowed to happen because of the political correct cucking of the American and the politically correct cucking of the Christian.
[00:58:06.876 --> 00:58:09.419]  American Christians should not be putting up with this.
[00:58:11.321 --> 00:58:12.963]  Oh, Israeli flags all over the streets.
[00:58:13.344 --> 00:58:15.206]  Oh, Palestinian flags all over the streets.
[00:58:15.446 --> 00:58:16.708]  Where are the American flags?
[00:58:18.922 --> 00:58:29.087]  Where is your appreciation that you can flee your war-torn countries and come to America in a Christian nation and experience peace and prosperity?
[00:58:29.407 --> 00:58:31.308]  Where is your appreciation?
[00:58:33.789 --> 00:58:34.549]  I'm not seeing it.
[00:58:34.689 --> 00:58:35.429]  I'm not hearing it.
[00:58:35.870 --> 00:58:37.010]  I just hear hatred.
[00:58:38.971 --> 00:58:42.933]  And American Christians have nothing to say because they've been cucked by political correctness.
[00:58:44.353 --> 00:58:45.434]  And look at the church now.
[00:58:46.773 --> 00:58:48.814]  Look at the church now.
[00:58:48.994 --> 00:58:53.956]  You go to your local church, it's likely supporting all the LGBTQ plus leftist propaganda.
[00:58:54.296 --> 00:58:57.617]  You go to your local church now, it's promoting all the open borders propaganda.
[00:58:57.897 --> 00:59:06.100]  You go to your church now, it's promoting coexist and being tolerant of Islam and everything else.
[00:59:06.780 --> 00:59:13.243]  Hey, that's all fine, that's all good, but let's not forget, why do you flee your war-torn country?
[00:59:14.690 --> 00:59:28.954]  Because you want to come to the Christian nation of the United States of America to experience peace and prosperity, and then you take it for granted, and you bring your holy war to our streets, and we're supposed to sit here and take it?
[00:59:32.055 --> 00:59:36.856]  Well, unfortunately, that's exactly what's going on, but the war is now expanding, ladies and gentlemen.
[00:59:38.257 --> 00:59:46.989]   The war is now expanding, and I hope it doesn't reach our streets, but The culture war certainly is.
[00:59:48.429 --> 00:59:50.090]  Let's hope it doesn't get violent.
[00:59:51.710 --> 00:59:53.371]  But I'm going to get more into that on the other side.
[00:59:53.391 --> 00:59:54.731]  I'm going to show you how this war is expanding.
[00:59:54.751 --> 00:59:56.912]  I'm going to show you what Americans are really concerned about now.
[00:59:57.012 --> 01:00:05.094]  And I'm going to show you all the videos of all the pro-Israel, pro-Palestinian protests happening in our streets, facing off in our streets.
[01:00:06.087 --> 01:00:12.548]  All right, I've got to call an audible here as I become a victim of the very thing I'm trying to avoid.
[01:00:13.368 --> 01:00:14.208]  You can believe that.
[01:00:15.409 --> 01:00:21.970]  Because here I am focusing on the stuff going on on the other side of the planet, even though it is in our backyards now.
[01:00:22.770 --> 01:00:26.890]  I will explain that, but I'm going to have to call a bit of an audible here because we have breaking news.
[01:00:28.191 --> 01:00:38.101]   And guys, since I'm calling this audible too, will you see if John Kirby, that pathetic fop, He's still doing his press conference.
[01:00:38.121 --> 01:00:41.842]  He was supposed to be live at noon.
[01:00:41.982 --> 01:00:44.503]  It's now 1220 here Central Time.
[01:00:44.563 --> 01:00:45.364]  It was 1 Eastern.
[01:00:45.724 --> 01:00:51.086]  I haven't seen any news about anything he's said or done as far as the press conference was concerned.
[01:00:51.466 --> 01:00:55.548]  When Joe Biden was supposed to do the press conference, he showed up 90 minutes late, took no questions from the press.
[01:00:55.888 --> 01:00:56.888]  I've got some news on that too.
[01:00:56.908 --> 01:01:00.430]  But guys, let's see if John Kirby did end up speaking to the press or not.
[01:01:01.330 --> 01:01:02.311]  But here's the breaking news.
[01:01:03.982 --> 01:01:07.104]  I fall victim to the thing I'm warning you about today.
[01:01:07.985 --> 01:01:10.246]  Yeah, so they still haven't started it, so they're over 20 minutes late.
[01:01:10.266 --> 01:01:11.267]  That's just par for the course.
[01:01:15.409 --> 01:01:16.330]  We have big news today.
[01:01:16.350 --> 01:01:17.150]  This is breaking.
[01:01:17.310 --> 01:01:23.014]  A new Speaker has been elected in the House, and it is Steve Scalise.
[01:01:24.255 --> 01:01:25.235]  So, breaking news.
[01:01:25.536 --> 01:01:28.918]  Republicans nominate Steve Scalise for House Speaker over Jim Jordan.
[01:01:30.287 --> 01:01:34.270]  He won a 113 to 99 vote over Jim Jordan.
[01:01:35.230 --> 01:01:42.615]  Needs more GOP support to win on the floor, however, I don't suspect it will be too much of an uphill battle.
[01:01:43.356 --> 01:01:45.017]  Maybe at most two or three votes.
[01:01:45.837 --> 01:01:55.224]  The Freedom Caucus, or you might say the Matt Gaetz-led wing of the anti-establishment right, might put up a little fight to get some promises out of Steve Scalise.
[01:01:56.195 --> 01:02:01.376]  But I suspect there'll be enough pressure just to get a speaker in that they'll be a little more lenient.
[01:02:02.276 --> 01:02:04.977]  And I suspect Steve Scalise will be the next Speaker of the House.
[01:02:06.257 --> 01:02:14.918]  Now, I don't want to get too much into what I think about that, because even though I was very anti-McCarthy, I said, let's give Kev McCarthy a shot.
[01:02:15.298 --> 01:02:16.039]  We gave him a shot.
[01:02:16.279 --> 01:02:18.179]  He went 0-4, and so now he's out.
[01:02:19.419 --> 01:02:21.060]  So I'm willing to give Steve Scalise a shot.
[01:02:22.020 --> 01:02:27.133]   Again, I suspect that He will be able to get the votes and become the speaker.
[01:02:27.193 --> 01:02:29.416]  There might be a bit of an uphill battle or struggle.
[01:02:29.476 --> 01:02:35.423]  The Freedom Caucus or the Matt Gaetz Anti-Establishment Right may have to get some promises to get their votes.
[01:02:36.084 --> 01:02:41.310]  But I suspect that this should probably go down relatively painlessly.
[01:02:42.251 --> 01:02:44.073]  Now here's what's interesting to me about this.
[01:02:45.279 --> 01:02:48.161]  And again, you want to see how the media propaganda works?
[01:02:48.922 --> 01:02:52.765]  You want to see how the media slant and bias works in America?
[01:02:53.505 --> 01:02:55.807]  Steve Scalise might be the greatest example.
[01:02:57.168 --> 01:02:58.869]  Because many people probably don't even know this.
[01:03:00.090 --> 01:03:03.313]  Many people probably don't even know who James Hodgkinson is.
[01:03:03.333 --> 01:03:06.735]  In fact, you in the audience might not know who James Hodgkinson is.
[01:03:06.775 --> 01:03:11.659]  In fact, I don't even know the date of that attempted mass murder.
[01:03:12.927 --> 01:03:14.788]  But I certainly know the date of January 6th.
[01:03:15.428 --> 01:03:16.509]  So guys, let's do this.
[01:03:17.650 --> 01:03:25.574]  Pull up the story of James Hodgkinson, the Democrat who tried to commit a mass shooting, a mass murder of Republicans.
[01:03:26.314 --> 01:03:28.015]  Steve Scalise got shot that day.
[01:03:29.816 --> 01:03:31.757]  And I don't even know the date.
[01:03:32.858 --> 01:03:34.378]  So guys, let's have the date of that.
[01:03:34.438 --> 01:03:36.119]  So June 14th, thank you very much.
[01:03:36.339 --> 01:03:38.841]  I believe that's also Trump's birthday and Flag Day.
[01:03:39.881 --> 01:03:45.744]  So of course a Democrat tries to commit a mass shooting on Flag Day, but did you know?
[01:03:46.284 --> 01:03:55.870]  Did you know that a Democrat named James Hodgkinson traveled from Missouri to Washington D.C.
[01:03:55.890 --> 01:03:59.772]  to commit a mass shooting and a mass murder of Republicans?
[01:04:00.252 --> 01:04:00.932]  Did you know that?
[01:04:03.334 --> 01:04:04.554]  No, you didn't probably.
[01:04:05.235 --> 01:04:09.177]  The left doesn't know it, or they want to be in denial of it, or they want to cover it up, and they have.
[01:04:10.865 --> 01:04:18.309]  But imagine, all the hype, all the propaganda, all the lies, all the fear-mongering about January 6th.
[01:04:18.689 --> 01:04:21.170]  Not a single person on January 6th had a gun.
[01:04:22.151 --> 01:04:27.713]  Not a single person on January 6th got shot, except Ashley Babbitt, whose birthday would have been yesterday.
[01:04:27.753 --> 01:04:32.796]  Her 38th birthday would have been yesterday, but she was shot and killed by a police officer.
[01:04:33.056 --> 01:04:34.617]  The Democrats celebrated that one, by the way.
[01:04:35.871 --> 01:04:39.053]  George Floyd overdoses on drugs, dies in police custody resisting arrest.
[01:04:39.413 --> 01:04:41.074]  That's, he's the good guy.
[01:04:42.175 --> 01:04:45.817]  Police officer shoots an unarmed woman and veteran in the Capitol.
[01:04:45.898 --> 01:04:46.558]  She dies.
[01:04:47.198 --> 01:04:47.959]  He's the good guy.
[01:04:48.059 --> 01:04:51.481]  So again, it just shows you how the left standards, they have no standards.
[01:04:51.581 --> 01:04:52.562]  It's just all bias.
[01:04:53.262 --> 01:04:53.983]  It's all hierarchy.
[01:04:55.486 --> 01:04:56.166]  But imagine that.
[01:04:56.606 --> 01:04:57.767]  June 14th.
[01:04:58.127 --> 01:05:02.989]  Nobody knows why June 14th, 2017 is an important date in D.C.
[01:05:03.029 --> 01:05:03.329]  history.
[01:05:03.669 --> 01:05:10.572]  Nobody knows the name James Hodgkinson because that's the bias of the American media.
[01:05:11.932 --> 01:05:15.974]  A Democrat can literally attempt a mass murder.
[01:05:17.594 --> 01:05:24.777]  A Democrat can literally attempt a mass shooting, a mass murder, and the media covers it up.
[01:05:26.550 --> 01:05:43.182]  And the media tells you that a grandmother, a doctor, a veteran, a journalist, waving an American flag, chanting USA, those are the real criminals, that's the real threat to America, not a Democrat who tried to kill and murder dozens of Republicans.
[01:05:43.982 --> 01:05:46.604]  Luckily, he was a Democrat, so he was a bad shot, I guess.
[01:05:48.385 --> 01:05:51.928]  And he didn't kill anybody, but he did shoot multiple people, including Steve Scalise.
[01:05:53.089 --> 01:05:54.930]  And now Steve Scalise is the Speaker of the House.
[01:05:58.604 --> 01:06:24.952]  Now I wonder, I wonder if the fact that the Democrats tried to murder Steve Scalise, and the Democrats and their friends in the media tried to cover up the attempted murder of Steve Scalise, and how the media doesn't want you to know about June 14th, 2017 and James Hodgkinson, I wonder if Steve Scalise is going to bring that with him to his role as Speaker of the House.
[01:06:26.833 --> 01:06:27.573]  I wonder.
[01:06:31.141 --> 01:06:41.808]  Because you'd think if you're Steve Scalise and you had a Democrat try to commit a mass murder and you got shot, that you would have a pretty good recognition of what the Democrat Party represents.
[01:06:42.309 --> 01:06:49.373]  And when you saw the mass media and the Democrat Party ignore that and cover it up, you'd think you'd have a pretty good idea of what the Democrat Party represents.
[01:06:49.713 --> 01:06:56.578]  But I suppose we shall find out if and when Steve Scalise officially becomes Speaker of the House.
[01:06:58.199 --> 01:07:00.661]  But I do think it's worth reiterating one more time.
[01:07:01.989 --> 01:07:13.218]  On June 14th, 2017, a Democrat tried to commit a mass murder and a mass shooting of Republicans in Washington, D.C.
[01:07:13.538 --> 01:07:14.979]  Did you hear about that in the media?
[01:07:16.060 --> 01:07:17.761]  Did they make a big deal about that in the media?
[01:07:17.802 --> 01:07:20.444]  Did they cover that for days or years in the media?
[01:07:21.464 --> 01:07:24.727]  Did the Democrat Party disavow that attempted mass murder?
[01:07:25.247 --> 01:07:30.732]  Did they talk about their own gunman when they talk about Second Amendment rights being infringed upon?
[01:07:32.591 --> 01:07:33.332]  Of course they didn't.
[01:07:34.913 --> 01:07:41.117]  And it's yet another example of left-wing bias, left-wing media control, left-wing propaganda, and left-wing hierarchy.
[01:07:42.478 --> 01:07:45.340]  When a liberal Democrat goes to Washington D.C.
[01:07:45.380 --> 01:07:48.282]  to commit a mass murder, that's okay.
[01:07:49.212 --> 01:07:51.533]  When a Liberal Democrat goes to Washington D.C.
[01:07:51.553 --> 01:07:54.474]  to commit a mass shooting, they don't talk about it.
[01:07:55.034 --> 01:07:57.075]  But if your grandma goes to Washington D.C.
[01:07:57.095 --> 01:08:00.196]  and waves an American flag, she's an insurrectionist.
[01:08:00.596 --> 01:08:03.057]  If a journalist goes to Washington D.C.
[01:08:03.077 --> 01:08:05.978]  to cover a historical event, he's going to be arrested.
[01:08:07.399 --> 01:08:09.340]  If a veteran goes to Washington D.C.
[01:08:09.360 --> 01:08:12.581]  to execute a First Amendment right, she gets shot and killed, and they celebrate.
[01:08:14.909 --> 01:08:18.230]  But when a Democrat goes to Washington D.C.
[01:08:18.250 --> 01:08:24.892]  to commit a mass shooting, mass murder, they don't talk about it, they don't humanize it, they don't care.
[01:08:26.213 --> 01:08:29.133]  What more do you need to know about the political left?
[01:08:30.234 --> 01:08:33.935]  And will Steve Scalise bring that with him to his role as Speaker of the House?
[01:08:35.765 --> 01:08:42.109]  Now Greg Reese has a channel on Band.Video and puts together some of the most powerful reports.
[01:08:42.129 --> 01:08:54.437]  We air them on the show here all the time and I started the show with one Greg Reese report and this report is so powerful that Alex has asked me to air it again to make sure the audience sees and hears it.
[01:08:54.777 --> 01:09:02.472]   Now this is some of the most esoteric information, deep dive information that you're going to get from the great Gregg Reese.
[01:09:02.512 --> 01:09:05.074]  You can find it and share it from Band.Video.
[01:09:05.514 --> 01:09:11.273]   Three World Wars to Usher in a One World Religion from Greg Rees at Band.Video.
[01:09:11.273 --> 01:09:24.993]   The infamous Albert Pike letter to Mazzini, known as the Illuminati plan for three world
[01:09:24.993 --> 01:09:29.073]  wars, was allegedly written by Albert Pike in 1876.
[01:09:29.043 --> 01:09:35.946]  The letter outlines a plan to foment three world wars in an attempt to take over the world.
[01:09:36.506 --> 01:09:41.828]  It is claimed that the letter was on display in the British Museum Library until 1977, but the British Museum denies this claim.
[01:09:45.169 --> 01:09:54.072]  Some suggest that the use of the word Nazism in 1871 proves that the letter is a fraud, and others say the same about Zionism.
[01:09:54.552 --> 01:09:56.313]  But Zionism existed back then.
[01:09:57.073 --> 01:10:16.420]   Zionism was made official in the late 1800s as a non-religious nationalist movement arguing that the Bible was proof that Jews had a lawful claim to the land of Palestine, an area that was currently inhabited by a population that has lived there Relatively peacefully for centuries.
[01:10:17.020 --> 01:10:32.264]  Around the alleged writing of this Albert Pike letter, Jews began immigrating to Palestine with the intention of someday creating a state of Israel, which did not happen until 1948, after World War II and the creation of the United Nations.
[01:10:32.984 --> 01:10:38.046]  Albert Pike joined the Fraternal Independent Order of Oddfellows in 1840.
[01:10:38.786 --> 01:10:49.169]  By 1859, he was elected Sovereign Grand Commander of the Scottish Rites Southern Jurisdiction and remained Sovereign Grand Commander for the rest of his life.
[01:10:49.989 --> 01:10:57.638]  He was definitely aware of Zionism, and if this Illuminati plan is true, then his use of the word Nazi is plausible.
[01:10:58.159 --> 01:11:04.987]  Either way, the letter is worth a read, and the closer we get to the endgame, the more accurate this letter appears to be.
[01:11:05.868 --> 01:11:08.449]  The Illuminati plan for three world wars.
[01:11:09.249 --> 01:11:18.911]  The first world war must be brought about in order to overthrow the Tsars in Russia and make that country a fortress of atheistic communism.
[01:11:19.471 --> 01:11:27.913]  The divergences caused by agents of the Illuminati between the British and Germanic empires will be used to foment this war.
[01:11:28.673 --> 01:11:34.158]  After the war, communism will be used to destroy other governments and weaken the religions.
[01:11:34.799 --> 01:11:42.265]  The Second World War must be fomented by taking advantage of the differences between the fascists and the political Zionists.
[01:11:42.806 --> 01:11:53.095]  This war must be brought about so that Nazism is destroyed and political Zionism is strong enough to institute a sovereign state of Israel in Palestine.
[01:11:53.695 --> 01:12:07.744]  During the Second World War, international communism must become strong enough to balance Christendom, which would be restrained and held in check until the time when we would need it for the final social cataclysm.
[01:12:08.465 --> 01:12:18.953]   The Third World War must be fomented by taking advantage of the differences ...caused by the agents of the Illuminati between the political Zionists and the leaders of Islam.
[01:12:19.393 --> 01:12:26.199]  The war must be conducted in such a way that Islam and political Zionism mutually destroy each other.
[01:12:26.920 --> 01:12:38.750]  Meanwhile, the other nations, once more divided on this issue, will be constrained to fight to the point of complete physical, moral, spiritual and economic exhaustion.
[01:12:39.511 --> 01:12:56.301]  We shall unleash the nihilists and the atheists, and we shall provoke a formidable social cataclysm, which in all its horror will show clearly to the nations the effect of absolute atheism, origin of savagery, and of the most bloody turmoil.
[01:12:56.821 --> 01:13:08.268]  Then, everywhere, the citizens, obliged to defend themselves against the world minority of revolutionaries, will exterminate those destroyers of civilization.
[01:13:08.968 --> 01:13:31.334]  And the multitude, disillusioned with Christianity, whose deistic spirits will from that moment be without compass or direction, anxious for an ideal, but without knowing where to render its adoration, will receive the true light through the universal manifestation of the pure doctrine of Lucifer, brought finally out in the public view.
[01:13:31.974 --> 01:13:43.618]  This manifestation will result from the general reactionary movement which will follow the destruction of Christianity and Atheism, both conquered and exterminated at the same time.
[01:13:45.359 --> 01:13:49.120]  Whoever wrote this letter had the vision to see where this is all going.
[01:13:49.740 --> 01:13:57.283]  By manipulating our beliefs and emotions, mankind has been herded into these wars like cattle to the slaughter.
[01:13:58.403 --> 01:14:01.043]  Reporting for InfoWars, this is Greg Reese.
[01:14:01.043 --> 01:14:10.162]   There you go, there you have it ladies and gentlemen, the latest Greg Reese report.
[01:14:10.301 --> 01:14:13.082]  Download it, share it, far and wide.
[01:14:15.303 --> 01:14:19.365]  Man, that's just powerful stuff from the great Gregg Reese.
[01:14:21.046 --> 01:14:22.187]  Think about it like this, too.
[01:14:23.087 --> 01:14:40.322]   Gregg Reese was once just a member of the InfoWars audience, just a great American patriot, a veteran, and he submitted for a Challenge we did a report and it was so good.
[01:14:40.342 --> 01:14:55.269]  We decided to go ahead and hire him and I mean talk about the talent pool in our audience That we were able to get Greg Reese To now be a contributor at band dot video So just that's just big credit to the audience.
[01:14:55.549 --> 01:15:00.171]  You guys are incredible I know there's so many people so well informed so talented just in this audience.
[01:15:00.211 --> 01:15:09.697]   In fact, it motivates me to Find some time to take phone calls today Because I'll be back hosting the War Room as well, 3 to 6 p.m.
[01:15:09.717 --> 01:15:20.360]  Central, so I'm going to make sure I can devote some time to the phone lines today to get the great, wonderfully talented audience to weigh in on all things that are going on right now.
[01:15:21.120 --> 01:15:23.161]  Agree with me, disagree with me, we like it all.
[01:15:24.041 --> 01:15:27.682]  And so I'm going to make sure I dedicate some time to that on the War Room today.
[01:15:28.502 --> 01:15:30.643]  But nonetheless, the great Gregory's spanned out video.
[01:15:32.742 --> 01:15:39.346]  Thanks to your support at InfoWarsTore.com, we're able to have Greg Reese at Band.Video.
[01:15:39.386 --> 01:15:46.250]  We're able to even have Band.Video so that these transmissions can still be on the air every day.
[01:15:47.679 --> 01:15:50.922]  So please continue to support us by shopping at Infowarsstore.com.
[01:15:50.942 --> 01:16:00.269]  But let me just tell you, you see that report, you realize how drastic things could get, how desperate things might be, and the threat of a world war, a nuclear war, very real stuff.
[01:16:01.069 --> 01:16:02.591]  So how are you getting prepared?
[01:16:03.740 --> 01:16:07.082]  Let's not be like the dodo bird here and think we have no predators.
[01:16:07.622 --> 01:16:18.867]  Let's not be like the dodo bird here and be so naive that we are somehow above and beyond what has happened to so many great nation states in human history with the rise and fall.
[01:16:19.927 --> 01:16:21.568]  Folks, you better be prepared for the worst.
[01:16:22.568 --> 01:16:27.530]  You'd rather be prepared and not need it than not be prepared and then need it.
[01:16:27.610 --> 01:16:30.552]  And emergency food supplies, this needs to be at the top of your list.
[01:16:31.875 --> 01:16:39.558]  And I know for myself, even, I've gotten myself prepared in many ways and even I'm kind of looking at this now like, well, do I need to do more?
[01:16:39.598 --> 01:16:40.439]  Do I need to double down?
[01:16:41.719 --> 01:16:44.280]  Get your storable food right now at InfoWarsStore.com.
[01:16:44.380 --> 01:16:49.142]  We went out and found the highest quality storable foods at the lowest price.
[01:16:49.242 --> 01:16:50.563]  That's the Nexus we found.
[01:16:50.743 --> 01:16:52.884]  It's available at InfoWarsStore.com.
[01:16:54.335 --> 01:16:59.157]  And this isn't just the high-quality food that you could open it up and eat it as soon as it gets there.
[01:17:00.017 --> 01:17:04.099]  It's also the high-quality storage containers that it comes in.
[01:17:04.219 --> 01:17:07.800]  It's the most high-quality storage containers as well.
[01:17:07.860 --> 01:17:12.582]  So it's the high-quality food and the high-quality storage containers ready to be stored.
[01:17:13.062 --> 01:17:15.703]  So ready to be eaten or ready to be stored, either way.
[01:17:16.463 --> 01:17:18.303]  InfoWarsTore.com is your source.
[01:17:18.723 --> 01:17:29.385]  The 12-month supply, the 6-month supply, the 3-month supply, and everything else in between 25 years of shelf life.
[01:17:29.585 --> 01:17:41.008]  So, get yourself prepared with emergency food supplies at InfoWarsTore.com, support yourself, and support Free Speech and the InfoWar in the process.
[01:17:41.288 --> 01:17:52.384]   Okay, when we come back, I'll get into how this centuries-old holy war is now reaching the streets of America, and it really should be upsetting.
[01:17:53.505 --> 01:17:57.767]  And it upsets me, but I'll lay it all out for you coming back on the other side of this break.
[01:17:57.867 --> 01:17:59.988]  It's the Alex Jones Show, brought to you by Infowarsstore.com.
[01:18:01.029 --> 01:18:03.430]  So, the escalation in the Middle East is already going on.
[01:18:03.490 --> 01:18:09.353]  It's not just Israel, it's not just the Gaza Strip, it's Syria, it's Jordan, it's Lebanon, it's potentially Egypt.
[01:18:11.337 --> 01:18:14.279]  Syria launches missiles on Golan Heights as U.S.
[01:18:14.339 --> 01:18:16.580]  begins surging defense aid to Israel.
[01:18:16.960 --> 01:18:22.883]  They're also announcing in Congress there's going to be a new defense aid going for Israel, Ukraine, and they're already gearing up.
[01:18:22.943 --> 01:18:27.765]  I guess they're expecting something in Taiwan soon, because they're already saying they're going to send defense packages to Taiwan as well.
[01:18:29.066 --> 01:18:35.249]  Hey, you can't afford a home, you can't afford a car, you can't afford groceries, you can't afford to put gas in your car, but we got plenty of money for war!
[01:18:35.589 --> 01:18:36.650]  How does that feel, American?
[01:18:38.510 --> 01:18:39.251]  How does that feel?
[01:18:41.035 --> 01:18:42.876]  Well, I think we got a pretty good idea.
[01:18:42.996 --> 01:18:49.701]  And let's remember, historically speaking, in times of economic distress, the government sends us to war.
[01:18:51.903 --> 01:19:02.911]  And so the rich men, the warmongers, the defense contractors and all their stockholders, they're not poor, so they don't have to go to war to make money, but the poor people do.
[01:19:02.991 --> 01:19:07.334]  So yet again, it'll be another example of the poor people having to go fight the rich man's war.
[01:19:08.539 --> 01:19:12.020]  And it looks like this reality might already be sitting in.
[01:19:13.741 --> 01:19:16.322]  American searching, will I get drafted to war?
[01:19:16.342 --> 01:19:21.924]  Hits highest levels since Iraq in 2007 surge amid World War III threat.
[01:19:24.845 --> 01:19:26.966]  American searching, will I get drafted to war?
[01:19:27.046 --> 01:19:30.047]  Highest levels in 15 years.
[01:19:31.167 --> 01:19:32.968]  Joe Biden's America.
[01:19:36.929 --> 01:19:40.672]  So you're getting crushed economically, and now you're concerned you're going to be drafted to war.
[01:19:40.972 --> 01:19:44.835]  Or you're thinking, it might be my only option to make a paycheck and make a living is to go to war.
[01:19:46.216 --> 01:19:47.037]  Into the meat grinder.
[01:19:48.578 --> 01:19:49.199]  War is Iraq.
[01:19:49.239 --> 01:19:50.019]  It's Smedley Butler, 1942.
[01:19:50.099 --> 01:19:51.741]  I suggest you read it.
[01:19:53.602 --> 01:19:56.825]  And you know, I think about those destroyer ships that the U.S.
[01:19:56.865 --> 01:19:58.546]  has sent right outside the Gaza Strip.
[01:19:59.186 --> 01:19:59.787]  And it breaks my heart.
[01:19:59.807 --> 01:20:01.068]  I've got military in my family.
[01:20:03.550 --> 01:20:04.250]  My grandparents.
[01:20:05.726 --> 01:20:16.470]  And I'm a patriotic American, but you know, I see them sending that destroyer ship right outside the Gaza Strip, and I just think, man, it's unfortunate because the U.S.
[01:20:16.510 --> 01:20:31.435]  military, the Army's older than the country, and some of the best Americans are in the Marines and the Navy and everything else, but I mean, I could not in good conscience encourage anybody to join the military, because they'll send you to die.
[01:20:32.576 --> 01:20:33.016]  Period.
[01:20:34.383 --> 01:20:44.495]  Your commander-in-chief Joe Biden and the military-industrial complex will send you to die for a different political agenda that has nothing to do with the United States of America.
[01:20:45.156 --> 01:20:52.866]  And when I see them sending that ship out to the Gaza Strip like sitting ducks, like lambs to the slaughter, it makes me sick.
[01:20:55.109 --> 01:20:55.650]  I feel bad.
[01:20:55.670 --> 01:20:57.412]  We've got great veterans that tune in here.
[01:20:57.452 --> 01:20:59.294]  We've got great active duty that tune in here.
[01:20:59.334 --> 01:21:01.676]  You're some of the best Americans this country has to offer.
[01:21:02.037 --> 01:21:03.879]  And it breaks my heart that the U.S.
[01:21:03.979 --> 01:21:06.722]  government uses you like cannon fodder.
[01:21:09.225 --> 01:21:09.925]  Breaks my heart.
[01:21:10.706 --> 01:21:11.387]  But it's the truth.
[01:21:12.989 --> 01:21:14.989]  And they've done it before and they'll do it again.
[01:21:14.989 --> 01:21:27.549]   Mayor of New York warns of terror attack by lone wolves radicalized by Hamas.
[01:21:27.681 --> 01:21:29.302]  Well, how did they get into that country?
