[00:00:00.369 --> 00:00:01.290]  FBI report?
[00:51:26.019 --> 00:51:26.599]  Explain that.
[00:51:26.919 --> 00:51:27.359]  I don't know.
[00:51:27.379 --> 00:51:35.283]  I didn't cover the story, but basically it was an attempt to cover- kidnap the governor of Whitmer, right?
[00:51:35.663 --> 00:51:35.863]  Yeah.
[00:51:36.644 --> 00:51:41.026]  And they found out that a higher percentage of the people involved were FBI informants.
[00:51:42.126 --> 00:51:43.147]  I just sent Jamie this.
[00:51:47.206 --> 00:51:49.308]  It's the greatest meme.
[00:51:49.588 --> 00:51:59.257]  They're all dressed up like Spider-Man and all of them says Fed, Fed, Fed, another Fed, and then one says some autistic, some poor guy that they trick into doing something.
[00:51:59.477 --> 00:52:14.008]   It was notorious in the 60s and 70s This idea of having, you know, agents provocateurs in the crowd, when they had COINTELPRO, and the assassination of Fred Hampton, the infiltration of the Black Panthers, like, you know, all this stuff.
[00:52:14.228 --> 00:52:16.970]  It was understood that the FBI did this stuff.
[00:52:17.090 --> 00:52:22.655]  Now, suddenly, people on the left disbelieve instantly that this happens.
[00:52:25.936 --> 00:52:26.816]  Did you just take my phone?
[00:52:26.836 --> 00:52:27.717]  You're video taping us?
[00:52:27.857 --> 00:52:28.717]  That's not acceptable.
[00:52:28.817 --> 00:52:30.237]  This is a public place.
[00:52:30.257 --> 00:52:31.918]  You're trying to get us in trouble, sir.
[00:52:31.998 --> 00:52:32.578]  I need a copy.
[00:52:32.838 --> 00:52:33.358]  Go find one.
[00:52:33.778 --> 00:52:34.599]  I'm deleting the video.
[00:52:34.899 --> 00:52:36.619]  No, you're not going to touch my phone.
[00:52:36.819 --> 00:52:38.040]  You're not taking a video of us.
[00:52:38.880 --> 00:52:40.880]  Look, dude, I recognize you.
[00:52:41.080 --> 00:52:42.861]  Yeah, I know you do.
[00:52:42.881 --> 00:52:43.661]  So give me my phone.
[00:52:43.681 --> 00:52:44.541]  I'm deleting the video.
[00:52:45.162 --> 00:52:48.963]  We need, we need to go, I'll say it, we need to go in.
[00:52:50.697 --> 00:52:51.217]  To the Capitol.
[00:52:51.237 --> 00:52:53.578]  Tomorrow, we need to go into the Capitol!
[00:52:53.738 --> 00:52:54.319]  Into the Capitol!
[00:52:54.339 --> 00:52:54.459]  What?
[00:52:54.499 --> 00:52:54.599]  No!
[00:52:54.679 --> 00:52:54.759]  No!
[00:52:54.819 --> 00:52:55.139]  Peacefully!
[00:52:55.199 --> 00:52:55.459]  Zen!
[00:52:55.759 --> 00:52:55.879]  Zen!
[00:52:56.299 --> 00:52:56.399]  Zen!
[00:52:56.800 --> 00:52:57.160]  Zen!
[00:52:57.600 --> 00:52:57.820]  Zen!
[00:52:59.101 --> 00:52:59.441]  Zen!
[00:53:00.781 --> 00:53:00.921]  Zen!
[00:53:01.222 --> 00:53:01.322]  Zen!
[00:53:01.602 --> 00:53:01.722]  Zen!
[00:53:02.142 --> 00:53:02.202]  Zen!
[00:53:02.482 --> 00:53:02.562]  Zen!
[00:53:02.802 --> 00:53:03.002]  Zen!
[00:53:03.362 --> 00:53:03.462]  Zen!
[00:53:03.903 --> 00:53:04.043]  Zen!
[00:53:04.403 --> 00:53:04.463]  Zen!
[00:53:05.303 --> 00:53:05.543]  Zen!
[00:53:05.863 --> 00:53:05.944]  Zen!
[00:53:06.224 --> 00:53:06.484]  Zen!
[00:53:06.804 --> 00:53:06.904]  Zen!
[00:53:07.164 --> 00:53:07.264]  Zen!
[00:53:07.444 --> 00:53:07.544]  Zen!
[00:53:07.924 --> 00:53:07.984]  Zen!
[00:53:08.305 --> 00:53:08.505]  Zen!
[00:53:08.805 --> 00:53:08.965]  Zen!
[00:53:09.325 --> 00:53:09.525]  Zen!
[00:53:09.765 --> 00:53:09.845]  Zen!
[00:53:10.225 --> 00:53:10.405]  Zen!
[00:53:10.806 --> 00:53:10.906]  Zen!
[00:53:11.146 --> 00:53:11.366]  Zen!
[00:53:11.866 --> 00:53:11.986]  Zen!
[00:53:12.386 --> 00:53:12.506]  Zen!
[00:53:12.826 --> 00:53:12.947]  Zen!
[00:53:13.187 --> 00:53:13.327]  Zen!
[00:53:13.347 --> 00:53:13.407]  Zen!
[00:53:13.227 --> 00:53:25.227]  Ladies and gentlemen, I have been on the air 29 years.
[00:53:26.119 --> 00:53:30.182]  And in the first 10 years I was on air, the Feds tried to infiltrate my organization.
[00:53:30.202 --> 00:53:33.864]  And I would go out and do events, and they would show up and do all sorts of stuff.
[00:53:33.884 --> 00:53:35.346]  So I learned about it very, very quickly.
[00:53:36.787 --> 00:53:41.370]  And I did a lot of things that exposed them.
[00:53:41.430 --> 00:53:45.273]  But the fact that Joe Rogan gets it now is a very, very good thing.
[00:53:45.854 --> 00:53:48.756]  The Patriot Front is run by the globalists.
[00:53:51.069 --> 00:53:52.270]  Their leaders are controlled.
[00:53:53.250 --> 00:53:54.751]  They get some useful idiots to join them.
[00:53:55.631 --> 00:54:01.855]  But it's a bunch of people going through their ROTC at college or about to get a job at the FBI.
[00:54:02.715 --> 00:54:06.257]  Let's pull up the famous photos of a rally outside the Capitol a few weeks after January 6.
[00:54:06.877 --> 00:54:15.362]  There were hundreds of young men wearing the same watches, the same shoes, so they could all identify each other, out there posing as patriots.
[00:54:16.382 --> 00:54:20.180]   And that's Guys in the FBI Academy.
[00:54:20.520 --> 00:54:23.283]  I mean, that's what they... In fact, they identified some of them as that.
[00:54:24.044 --> 00:54:24.724]  And that's who they are!
[00:54:26.166 --> 00:54:35.736]  But after that happened, they said, okay, we're gonna put masks on, and we're gonna go out and do all of our white supremacy stuff, and the public's gonna believe it.
[00:54:35.916 --> 00:54:36.597]  And that's what this is.
[00:54:36.617 --> 00:54:37.177]  Synthetic...
[00:54:38.067 --> 00:54:38.528]  Garbage.
[00:54:38.608 --> 00:54:40.469]  And the good news is, everyone sees through it.
[00:54:40.910 --> 00:54:46.355]  So they thought, coming after me, law-fearing me to not talk about this stuff, would shut us down.
[00:54:46.635 --> 00:54:48.196]  The good news is, the whole public gets it now.
[00:54:48.777 --> 00:54:50.018]  This is Feds.
[00:54:51.700 --> 00:54:59.247]  Even in Idaho, they had staged arrests of them, the charges were all dropped, for a photo op, and the cops left their mask on them, and put them in the police cars in their mask.
[00:54:59.787 --> 00:55:02.650]  Under local law, national law, you don't do that.
[00:55:04.511 --> 00:55:08.054]  They gotta protect their identities so people don't find out who they are.
[00:55:10.255 --> 00:55:12.777]  Something this organized, I would say they're all feds.
[00:55:15.039 --> 00:55:21.064]  You know, even Texas Monthly, back when it was a half-piece of publication 25 years ago, did stories how they investigated the KKK and found out...
[00:55:21.997 --> 00:55:32.861]  That you go to a KKK rally, they would go to it, and the leader, the Grand Dragon was a KKK, the Grand Cyclops, that's the guy under him, was a KKK, was a Fed.
[00:55:33.542 --> 00:55:37.403]  So the head KKK guy and all their adjuncts were Feds.
[00:55:38.924 --> 00:55:40.845]  And it's the same thing, ladies and gentlemen.
[00:55:41.860 --> 00:55:49.043]  And they staged this because there's no real white supremacy other than a lunatic goes and shoots up a South Carolina church.
[00:55:49.083 --> 00:55:49.624]  That was real.
[00:55:50.224 --> 00:55:53.005]  Or a guy goes in and shoots up a black grocery store, mainly.
[00:55:53.345 --> 00:55:53.686]  Horrible.
[00:55:53.726 --> 00:55:54.046]  It's real.
[00:55:54.066 --> 00:55:54.846]  There are some lunatics.
[00:55:56.427 --> 00:55:58.628]  Turned out both those people had federal handlers.
[00:55:58.748 --> 00:56:00.089]  It came out in the news.
[00:56:01.069 --> 00:56:03.330]  So are there real lunatic white supremacists?
[00:56:03.850 --> 00:56:04.451]  Absolutely.
[00:56:05.091 --> 00:56:05.751]  Do they attack?
[00:56:06.892 --> 00:56:07.072]  Yeah.
[00:56:09.218 --> 00:56:13.184]  It's like, very rare, but it still goes on.
[00:56:17.478 --> 00:56:28.140]  And so what happens is, local jurisdictions get hooked up with the ADL, Southern Poverty Law Center, they get money, they get told, wink, wink, we're doing a drill, arrest these guys, the charges will be dropped.
[00:56:28.960 --> 00:56:31.861]  Because people weren't taking the Patriot Front serious the last few years.
[00:56:32.401 --> 00:56:41.102]  So in Idaho, where they have massive, you know, anti-white supremacist funding, just because folks are going there to hide and be away from tyranny, remember what happened at Ruby Ridge?
[00:56:42.443 --> 00:56:44.503]  They needed somebody to infiltrate the quote, white supremacists.
[00:56:45.356 --> 00:56:54.522]  So they go to Randy Weaver, who recently passed, great patriot, Reamer Ray, and they say, we'll give you tens of thousands of dollars a month just to infiltrate this group.
[00:56:55.182 --> 00:56:56.123]  He said, I don't want to.
[00:56:57.043 --> 00:56:59.044]  So then they found out he sold a shotgun in a gun show.
[00:56:59.064 --> 00:57:04.087]  They said, we're gonna take you to jail, put a warrant out, went and killed his wife, killed his kids, you know, you know the rest of the story.
[00:57:05.948 --> 00:57:11.532]  But they do it over and over and over and over and over again.
[00:57:12.827 --> 00:57:14.008]  Remember the Viper Militia?
[00:57:14.088 --> 00:57:18.210]  It was a meth-dealing motorcycle gang on the West Coast.
[00:57:18.691 --> 00:57:20.692]  The Feds didn't have a real militia that was criminal.
[00:57:21.433 --> 00:57:29.098]  So they infiltrated, they led it for several years, they gave them hundreds of thousands of dollars, and then they busted them as soon as they could call it a militia.
[00:57:29.698 --> 00:57:32.940]  So you'd have a headline, Meth-Dealing Militia Planned All These Attacks.
[00:57:33.981 --> 00:57:40.505]  It's the same story over and over and over again.
[00:57:42.381 --> 00:57:43.121]  This is what they do.
[00:57:44.963 --> 00:57:45.663]  And it's shameful.
[00:57:46.924 --> 00:57:48.425]  It's absolutely criminal in my view.
[00:57:49.045 --> 00:57:50.786]  Toll-free number to join us, 877-789-2539.
[00:57:52.527 --> 00:57:54.388]  We're taking first-time callers on the U.N.
[00:57:54.408 --> 00:57:59.271]  saying we got rid of the last COVID emergency because we're getting ready for a new pandemic that targets children.
[00:57:59.531 --> 00:58:01.152]  Hey, print me that Bill Gates article, I forgot that.
[00:58:02.953 --> 00:58:09.257]  We're talking about the Durham report, confirming what we already knew, that the feds made it all up and the CIA was involved.
[00:58:10.517 --> 00:58:13.754]   We can talk about The Russia situation, Ukraine.
[00:58:13.794 --> 00:58:15.495]  We can talk about the economy.
[00:58:15.535 --> 00:58:16.796]  We can talk about Patriot Front.
[00:58:16.816 --> 00:58:17.916]  We can talk about AI.
[00:58:19.197 --> 00:58:20.198]  We can talk about all of it.
[00:58:20.238 --> 00:58:25.961]  I've got so much news I haven't gotten to that I'm going to intersperse coming up here today.
[00:58:26.001 --> 00:58:32.445]  But the good news is everybody's Alex Jones now, or at least a large portion of the population.
[00:58:32.465 --> 00:58:34.586]  It's not just Joe Rogan.
[00:58:35.981 --> 00:58:37.261]  It's not just Tucker Carlson.
[00:58:37.281 --> 00:58:38.862]  It's not just Steve Bannon.
[00:58:39.642 --> 00:58:41.843]  It's not just Jack Posobiec.
[00:58:42.003 --> 00:58:43.243]  It's not just Charlie Kirk.
[00:58:44.424 --> 00:58:45.704]  It's not just Drew Hernandez.
[00:58:46.684 --> 00:58:47.845]  It's not just Owen Schroer.
[00:58:49.545 --> 00:59:01.689]  It is the general public now figures out who gains, what's the history, how's this work, how's this scam work, and now our people, black, white, Hispanic, Asian, you name it, are everywhere.
[00:59:04.370 --> 00:59:05.050]  Are everywhere.
[00:59:06.644 --> 00:59:08.785]  Saying, we don't want to be part of this.
[00:59:09.285 --> 00:59:10.466]  We see what's going on.
[00:59:10.526 --> 00:59:14.668]  And once you see it, somebody can't be told about the Matrix like Morpheus says.
[00:59:15.969 --> 00:59:17.569]  You gotta see it for yourself.
[00:59:18.010 --> 00:59:24.833]  And once you see the Matrix, there is no going back from that.
[00:59:26.534 --> 00:59:29.715]  That's an exciting point to be at historically with humanity.
[00:59:30.276 --> 00:59:32.337]  So we got so much news today.
[00:59:33.017 --> 00:59:33.377]  Woo!
[00:59:34.478 --> 00:59:37.906]   We've only reached 30% of the show.
[00:59:38.587 --> 00:59:40.088]  So there's so much more coming up.
[00:59:40.449 --> 00:59:41.490]  Please be Paul Reveres.
[00:59:41.870 --> 00:59:42.911]  Tell folks to tune in now.
[00:59:42.931 --> 00:59:43.492]  We'll be right back.
[00:59:44.252 --> 00:59:47.396]  All right, we have loaded phone lines, and it's always great to take your calls.
[00:59:47.516 --> 00:59:49.958]  You take us in so many amazing directions.
[00:59:49.978 --> 00:59:56.085]  But let me give you a little prelude to some of the other stuff we're going to be covering here today.
[00:59:57.441 --> 01:00:02.423]  Cable news ratings dropped to all-time low in their history of CNN.
[01:00:02.443 --> 01:00:04.284]  They have less viewers than Newsmax.
[01:00:05.004 --> 01:00:05.704]  That's exciting.
[01:00:05.824 --> 01:00:10.126]  Old video of E. Jean Carroll, the one that says Trump raped her.
[01:00:10.226 --> 01:00:12.987]  The jury found him not guilty, but said he's not allowed to say he's innocent.
[01:00:13.387 --> 01:00:16.209]  Confirms she's a wackadoodle in a crazy video we're going to air.
[01:00:16.909 --> 01:00:26.833]  We've got a bunch of chilling videos where women now tell eight-month-old babies that asking for milk or touching them is assault.
[01:00:27.984 --> 01:00:28.524]  Not joking.
[01:00:28.844 --> 01:00:29.404]  It's coming up.
[01:00:31.245 --> 01:00:36.087]  We also have Elon Musk subpoenaed by U.S.
[01:00:36.107 --> 01:00:39.288]  Virgin Islands as part of lawsuit to Jeffrey Epstein's sex trafficking ring.
[01:00:40.428 --> 01:00:42.489]  Is Elon Musk connected?
[01:00:42.529 --> 01:00:44.289]  And I'm not an apologist for Elon Musk.
[01:00:45.430 --> 01:00:46.830]  But wait till we get to this article.
[01:00:48.471 --> 01:00:54.933]  The Virgin Islands admits that they have no evidence he was ever with Jeffrey Epstein or on the island.
[01:00:56.638 --> 01:01:07.806]  But that Epstein's documents show he, quote, turned over information from high-value rich people to someone else so that because he's rich, he's now a suspect.
[01:01:08.886 --> 01:01:13.229]  Meanwhile, Bill Gates is on the list dozens of times going to the island.
[01:01:13.890 --> 01:01:15.131]  He's not being investigated.
[01:01:15.631 --> 01:01:17.412]  This, we're going to get to that.
[01:01:19.639 --> 01:01:25.443]  Big article on Zero Hedge, America's powerful intellectual class finds joy in making us obey and be compliant.
[01:01:25.723 --> 01:01:26.763]  Warren's top scholar.
[01:01:27.824 --> 01:01:29.085]  We've got a backlash.
[01:01:29.145 --> 01:01:32.747]  Miller Lite has said, hey, hold my beer to Budweiser.
[01:01:35.649 --> 01:01:39.311]  Putting out a video just as crazy as the Dylan Mulvaney video.
[01:01:40.552 --> 01:01:42.013]  We've got a bunch of economy news.
[01:01:42.613 --> 01:01:45.095]  So much here to cover today.
[01:01:47.409 --> 01:01:58.615]  But right now, ladies and gentlemen, we're going to go to your phone calls to Rockstar, Patrick, Zion, John, Pete, Wayne, Steve, Jim, Jordan, Doug, and others.
[01:01:59.055 --> 01:02:00.876]  First up, Zion in Maine.
[01:02:00.917 --> 01:02:01.557]  Thanks for calling.
[01:02:04.657 --> 01:02:06.277]  Yes, hi, glad to be on your show.
[01:02:06.317 --> 01:02:07.158]  Thank you for having me.
[01:02:07.218 --> 01:02:09.258]  I have a bit of breaking news.
[01:02:09.698 --> 01:02:14.339]  So with the Title 42, and I know it's a bit off topic, but with the... No, no, there's no topic.
[01:02:14.359 --> 01:02:17.060]  That's why it's totally open phones, any subject you want.
[01:02:17.140 --> 01:02:19.880]  I threw out some topics I'd like to hear from you on, but it's open phones, brother.
[01:02:21.461 --> 01:02:26.762]  So with this Title 42 thing, I'm sitting right next to Portland International Jetport right now.
[01:02:28.722 --> 01:02:38.491]   And overnight, I actually have been kept up because There have been airplanes, and I know the airplane route, have been coming in from different angles.
[01:02:38.751 --> 01:02:44.635]  There's actually big things about noise ordinances near the airport, so they come in a different angle.
[01:02:44.996 --> 01:02:53.322]  But they've been coming in the old route, these planes, and I'm actually so close to the airport that I can just walk over there and see what's going on.
[01:02:53.942 --> 01:02:58.365]  And there is a bunch of black vans and feds and antifa garbage.
[01:02:59.938 --> 01:03:10.486]  I'm pretty sure they're bringing in immigrants because I've been seeing planes full of people getting unloaded and sent off on buses throughout the great state of Maine.
[01:03:11.347 --> 01:03:23.276]  Well, sir, there's no doubt they're shipping a ton of people to the areas in the East Coast, particularly Maine, and into that big military base that's up there.
[01:03:23.436 --> 01:03:24.978]  Is that the airport you're by?
[01:03:26.816 --> 01:03:29.418]  Uh, there's no, well, I don't know.
[01:03:29.558 --> 01:03:30.418]  Are you at Bangor?
[01:03:31.919 --> 01:03:32.900]  No, I'm in Portland.
[01:03:33.340 --> 01:03:33.961]  That's why.
[01:03:34.001 --> 01:03:35.021]  That's a couple hours north.
[01:03:35.041 --> 01:03:36.322]  Yeah, but this is what I love.
[01:03:36.422 --> 01:03:39.544]  You know, you've called him with an anecdotal example and that's important, that's great.
[01:03:39.964 --> 01:03:45.608]  Sir, it's confirmed, hundreds of thousands a month come across, they put them on planes and fly them across the country.
[01:03:45.948 --> 01:03:54.353]  So, yeah, they have secret 2 in the morning flights to New York, to Florida, to North Texas, to California, to Maine.
[01:03:54.813 --> 01:03:55.853]  That's what I'm going to do tonight.
[01:03:55.873 --> 01:03:57.274]  I'd be glad to send it to y'all.
[01:03:57.114 --> 01:04:00.833]   flying them to so yeah I mean if you're seeing vans pull up in the middle of
[01:04:00.833 --> 01:04:03.773]   night for a bunch of planes and only normal and there you should go up the
[01:04:03.773 --> 01:04:06.673]   fence and get video of it and put it out but yeah I've been of course it's going
[01:04:06.673 --> 01:04:11.713]   on that's what I'm gonna do tonight I'd be glad to send it to y'all I'm gonna
[01:04:11.713 --> 01:04:16.114]   put it on my channel and everything what is your channel and CC it to show tips
[01:04:16.114 --> 01:04:23.833]   and then full wars calm but - what's your channel my channel is maga one four eight
[01:04:24.049 --> 01:04:26.331]  I'm on YouTube and on Rumble.
[01:04:27.311 --> 01:04:28.072]  Well do it, brother.
[01:04:28.092 --> 01:04:29.433]  That is what you should be doing.
[01:04:29.473 --> 01:04:30.734]  But yes, it's going on.
[01:04:31.735 --> 01:04:32.235]  It's happening.
[01:04:32.355 --> 01:04:34.557]  Our government facilitates the illegal invasion.
[01:04:34.997 --> 01:04:35.918]  Thank you, Zion.
[01:04:36.639 --> 01:04:37.680]  John in Texas.
[01:04:37.700 --> 01:04:38.320]  You're on the air.
[01:04:40.222 --> 01:04:40.662]  Hi, Alex.
[01:04:42.323 --> 01:04:44.845]  Well, four weeks ago, I came down with a virus.
[01:04:46.126 --> 01:04:48.148]  On Monday, it started out with a small cough.
[01:04:49.116 --> 01:04:52.917]  Tuesday, it was a major cough and I just took a nose dive right into my lungs.
[01:04:53.338 --> 01:04:53.618]  Oh yeah.
[01:04:54.358 --> 01:05:00.780]  Now for eight days, I couldn't lay down and sleep at night because all my lungs were gurgling and I was coughing.
[01:05:00.820 --> 01:05:02.681]  I had to sleep in a chair for eight days.
[01:05:02.821 --> 01:05:03.601]  Yeah, that's COVID.
[01:05:04.182 --> 01:05:05.762]  Yeah, and they say COVID's dead.
[01:05:05.822 --> 01:05:06.302]  It's not.
[01:05:06.943 --> 01:05:11.064]  It keeps mutating because they gave those vaccines that caused the mutation.
[01:05:11.804 --> 01:05:17.527]  Well, my lady friend's daughter, who's a schoolteacher in Austin, has been going through the Austin School District.
[01:05:17.567 --> 01:05:18.307]  She came down with it.
[01:05:18.846 --> 01:05:22.208]  She went to the doctor, and they took tests, and they said, well, it's not the COVID.
[01:05:22.628 --> 01:05:24.129]  They said, we've never seen this before.
[01:05:24.149 --> 01:05:24.890]  We don't know what it is.
[01:05:26.231 --> 01:05:30.053]  Yeah, because once it mutates, they can't track it with that test.
[01:05:30.073 --> 01:05:32.294]  But it's a mutation.
[01:05:32.654 --> 01:05:33.455]  It's happening everywhere.
[01:05:33.695 --> 01:05:35.796]  There's more COVID deaths this year than last year.
[01:05:35.816 --> 01:05:38.078]  And it's not the killing of folks with ventilators.
[01:05:38.518 --> 01:05:42.160]  They created this mutagenic system.
[01:05:43.201 --> 01:05:44.322]  It took, you know, eight days.
[01:05:44.702 --> 01:05:46.223]  Luckily, I know everything about what it was.
[01:05:46.243 --> 01:05:47.664]  You don't have to tell me about it.
[01:05:49.148 --> 01:05:51.390]  I've never had anything like it when I had it two years ago.
[01:05:51.911 --> 01:05:53.532]  People say it isn't real, they're full of crap.
[01:05:53.652 --> 01:05:55.014]  It is, it is something else.
[01:05:55.634 --> 01:06:00.979]  Well, I've had the regular COVID, I've had the Della variant, and I had the Omicron a couple times, the milder version.
[01:06:01.500 --> 01:06:02.521]  This was worse than that.
[01:06:02.541 --> 01:06:05.143]  There was a couple days where I thought maybe I ain't gonna make it.
[01:06:05.463 --> 01:06:06.865]  I hear you, it's scary as hell.
[01:06:06.965 --> 01:06:08.646]  No, they've hit us hard, brother.
[01:06:08.987 --> 01:06:12.490]  And they're using the COVID release as a cover for a bunch of other stuff they're releasing, believe me.
[01:06:13.561 --> 01:06:20.226]  And that's what they mean by, oh, it's over, the new thing's coming, is because they are mad scientists, eugenicists, John.
[01:06:20.606 --> 01:06:21.667]  And John, I recognize your voice.
[01:06:21.687 --> 01:06:23.208]  You've been calling decades.
[01:06:24.128 --> 01:06:24.889]  So good to have you call.
[01:06:24.929 --> 01:06:25.949]  I'm glad I didn't kill you, brother.
[01:06:26.670 --> 01:06:27.130]  Yeah, I'm glad.
[01:06:27.150 --> 01:06:28.411]  I'm still hanging in there, too, Alex.
[01:06:28.591 --> 01:06:29.172]  What'd you take?
[01:06:29.192 --> 01:06:36.357]  Because let me tell you, inhalable steroids, ivermectin, zinc, hydroxychloroquine, ivermectin work like a charm.
[01:06:37.117 --> 01:06:42.601]  Yeah, well, I took vitamins, anything antiviral, the supplements.
[01:06:43.493 --> 01:06:51.336]  I took quinine water, I boosted it with my own home-brewed quinine, boosted it up.
[01:06:51.917 --> 01:06:54.118]  I took about four aspirin a day.
[01:06:54.878 --> 01:07:04.002]  And of course, the Dr. Zelenko, when I had the Jell-O variant, when Dr. Zelenko was on there, he basically saved my life because it was going down on my lungs too.
[01:07:04.362 --> 01:07:11.085]  And when I started taking Quercetin, after he told me, it came right up out of my lungs and then went away.
[01:07:11.670 --> 01:07:16.415]  Well, that's right, and we have a lowering life expectancy worldwide.
[01:07:16.495 --> 01:07:17.115]  They have hit us.
[01:07:17.756 --> 01:07:21.660]  Did you hear about the military 500% increase in HIV since the vaccine?
[01:07:23.442 --> 01:07:24.943]  Yeah, I heard you talking about it.
[01:07:25.204 --> 01:07:27.966]  I mean, they are, brother, they are hitting us hard.
[01:07:28.347 --> 01:07:29.448]  Good to hear you're better, John.
[01:07:29.488 --> 01:07:30.048]  God bless you.
[01:07:30.169 --> 01:07:30.769]  Yeah, it's bad.
[01:07:31.630 --> 01:07:32.271]  These bastards.
[01:07:33.575 --> 01:07:35.176]  In fact, the bastard's a great person, apparently.
[01:07:35.216 --> 01:07:35.976]  That's not a fair name.
[01:07:36.016 --> 01:07:38.017]  He's murdering satanic criminals.
[01:07:38.757 --> 01:07:40.078]  Steve and Tennessee are on the air.
[01:07:40.118 --> 01:07:40.458]  Go ahead.
[01:07:40.778 --> 01:07:41.098]  Oh, nope.
[01:07:41.198 --> 01:07:41.659]  Gotta go to break.
[01:07:41.679 --> 01:07:41.959]  Sorry.
[01:07:42.319 --> 01:07:43.860]  Didn't look at the clock.
[01:07:44.460 --> 01:07:45.740]  We'll come right back to you, Steve.
[01:07:46.801 --> 01:07:49.662]  Everybody else, the orders, your calls are received.
[01:07:50.743 --> 01:07:51.803]  Infowars.com.
[01:07:51.843 --> 01:07:52.563]  Band.video.
[01:07:52.924 --> 01:07:53.824]  Newswars.com.
[01:07:54.444 --> 01:07:55.425]  Have you shared those links?
[01:07:55.445 --> 01:07:56.805]  Because you're the real power.
[01:07:57.165 --> 01:07:59.927]  When you decide to get off the bench and take action, nothing stops you.
[01:08:00.407 --> 01:08:01.287]  You don't, we lose.
[01:08:02.028 --> 01:08:02.328]  Share.
[01:08:03.311 --> 01:08:04.592]  Madmaxworld.tv.
[01:08:04.972 --> 01:08:07.034]  Madmaxworld.tv.
[01:08:07.074 --> 01:08:07.674]  It's one word.
[01:08:08.155 --> 01:08:09.176]  Madmaxworld.tv.
[01:08:09.276 --> 01:08:14.900]  All right, we're going to go right back to your phone calls here in just a moment, but I just want to say this again.
[01:08:15.901 --> 01:08:17.322]  We have millions of viewers and listeners.
[01:08:17.342 --> 01:08:17.922]  You're amazing.
[01:08:17.942 --> 01:08:18.603]  You spread the word.
[01:08:18.663 --> 01:08:19.243]  It's incredible.
[01:08:20.144 --> 01:08:21.805]  But you really are the power of this broadcast.
[01:08:21.845 --> 01:08:23.506]  If you don't take action, the dog does not.
[01:08:24.267 --> 01:08:31.512]  And separately, we have great products, water filtration, air filtration, that are the highest quality, highest rated, for the lowest price you're going to find.
[01:08:32.253 --> 01:08:34.074]  Do your shopping at InfoWarsTore.com.
[01:08:34.194 --> 01:08:39.216]  And we have amazing supplements like X3, the very best iodine, the missing link.
[01:08:39.717 --> 01:08:42.758]  Two billion people have cognitive disabilities in the world because of iodine.
[01:08:43.098 --> 01:08:44.619]  Most people are deficient in iodine.
[01:08:44.959 --> 01:08:47.381]  The government's lowered the daily allowance you're supposedly going to have.
[01:08:48.181 --> 01:08:51.983]  It is the thing that energizes your brain, your cells, and so much more.
[01:08:52.563 --> 01:08:54.124]  X3, back in stock, discounted.
[01:08:54.564 --> 01:08:56.085]  InfoWarsTore.com.
[01:08:57.588 --> 01:09:00.710]  And we also have the Ultimate Krill Oil, the official highest quality there.
[01:09:01.050 --> 01:09:02.551]  So good for your brain, your body, your heart.
[01:09:03.431 --> 01:09:03.991]  It's incredible.
[01:09:04.011 --> 01:09:10.114]  We have 10-hour clean energy, BrainForce Ultra back in stock, discounted, all at InfoWarsTore.com.
[01:09:10.134 --> 01:09:14.477]  While you're there, get a great reset in the War for the World, my book, either signed or unsigned.
[01:09:15.137 --> 01:09:16.598]  Get a film, get a t-shirt.
[01:09:16.678 --> 01:09:18.139]  I want to thank you all for your support.
[01:09:18.159 --> 01:09:20.380]  We have other great products there, like the Nitric Boost.
[01:09:20.420 --> 01:09:23.683]  It's so good for your heart and your blood to clean that out.
[01:09:24.183 --> 01:09:25.764]  God has given us so many great compounds.
[01:09:25.784 --> 01:09:31.668]  We have the highest quality CBD oil at more than half off what any competitors sell the same thousand milligram systems for.
[01:09:31.988 --> 01:09:35.690]  So CBD oil, whatever it is you need, infowarstore.com.
[01:09:35.730 --> 01:09:39.372]   We have turmeric, 95, 95% curcuminoid.
[01:09:40.232 --> 01:09:42.834]  It's the same from a different manufacturer, the same thing as bodies.
[01:09:43.554 --> 01:09:48.176]  Infowarsstore.com or 888-253-3139.
[01:09:48.936 --> 01:09:55.239]  A very small percentage of you ever go to the store or buy anything, you really need these products you're missing out, plus we need to stay on air.
[01:09:55.499 --> 01:09:56.260]  That's a win-win.
[01:09:57.080 --> 01:09:58.181]  Hey Alex, thanks for getting me on.
[01:09:58.221 --> 01:10:00.223]  Hey, I just want to call out, where are the dang Republicans on anything?
[01:10:00.763 --> 01:10:02.464]  You know, they're not anywhere on the border.
[01:10:02.284 --> 01:10:07.284]   you on the fence. Take action now. Infowars.com and I thank you humbly for your support and
[01:10:07.284 --> 01:10:13.284]   salute you. All right. Up next, Steve in Tennessee, you're on the air. Go ahead.
[01:10:13.284 --> 01:10:17.643]   Hey, Alex, thanks for getting me on. Hey, I just want to call out where are the dang
[01:10:17.643 --> 01:10:23.483]   Republicans on anything? You know, they're not they're not anywhere on the border. They're
[01:10:23.483 --> 01:10:27.284]  not talking about trying to get out of the U.N. or the W.F.
[01:10:27.284 --> 01:10:30.604]   They're not talking about arresting Gates or Fauci. You're moving on him.
[01:10:30.730 --> 01:10:31.130]  Nothing.
