[00:00:00.169 --> 00:00:00.910]  It's official.
[00:42:53.806 --> 00:42:54.867]  Elon knows.
[00:42:54.887 --> 00:43:12.695]  I mean, he's genius enough to know that when he turns that into AI, just by basically using all the conversations and posts and language to build the neural networks of the Twitter or X AI system, that is worth far more than any advertiser could ever pay X. So he doesn't need advertisers.
[00:43:12.995 --> 00:43:16.257]  He can focus on freedom of speech and he can build the world's best AI system.
[00:43:16.277 --> 00:43:19.539]  Because controlling the culture will control what people buy anyways.
[00:43:21.260 --> 00:43:22.541]  Yeah, yeah, exactly.
[00:43:23.041 --> 00:43:32.287]  And look, we are entering an era where it's going to be post-human in most interactions, where you're going to be talking to an AI system or chatting with an AI system.
[00:43:32.707 --> 00:43:37.810]  And even, you know, text-to-speech or voice recognition back and forth, you're going to be on the phone, you think it's a customer service rep.
[00:43:38.090 --> 00:43:39.231]  No, it's just an AI system.
[00:43:39.964 --> 00:43:43.670]  And what those AI systems believe is critical to the future of humanity.
[00:43:44.211 --> 00:43:55.468]  And like I said, right now they're being programmed with woke nonsense about gender, about vaccines, about money printing, and finance, and even history, about Trump, everything.
[00:43:55.888 --> 00:43:57.129]  But that doesn't have to be.
[00:43:57.569 --> 00:44:05.274]  We can choose a better future and within our reach now we have the ability to build AI systems or large language model systems that actually work for us.
[00:44:05.374 --> 00:44:12.839]  So, you know, I'm not going to be out there, Alex, saying that we have to completely reject technology, reject AI and distance ourselves from it.
[00:44:12.899 --> 00:44:14.620]  No, if we do that, it's going to take us over.
[00:44:15.000 --> 00:44:21.464]  We need to understand what it is and we need to program it to work for us, work for humanity instead of enslaving humanity.
[00:44:21.584 --> 00:44:22.705]  No, I totally agree with you.
[00:44:22.825 --> 00:44:29.473]  The mainstream media has tried to say it's the devil, it's going to get us, don't touch it because they want to be the only ones in control of it.
[00:44:29.974 --> 00:44:36.161]  It's just like the left says, don't have guns because they've got armed bodyguards and they've got a police state.
[00:44:36.581 --> 00:44:37.602]  They wouldn't be the only ones with it.
[00:44:37.662 --> 00:44:37.982]  No, no, no.
[00:44:38.282 --> 00:44:49.649]  If we have decentralized AI and a million different AIs and people learning how to use it, it becomes a tool that empowers humanity instead of one forcing a woke agenda to sabotage human civilization.
[00:44:49.950 --> 00:45:00.736]  What they're feeding into all their main AI models, other than must model, which is just true, I'm not lionizing them, it's true, is an anti-human AI that is directed against humanity and they're scared.
[00:45:00.796 --> 00:45:06.060]  I mean, I think they realize that they need to be the leaders of this, but I think the genie's already gotten away from them.
[00:45:07.455 --> 00:45:16.003]  Well yeah, this is kind of like the rise of the internet and for so many decades the internet was a free speech platform and the establishment did not have control over it.
[00:45:16.363 --> 00:45:22.709]  Now with AI we have the same opportunity to once again use this technology for freedom for many decades to come.
[00:45:23.049 --> 00:45:27.553]  The establishment's trying to gain control but it turns out the open source movement is very strong in this.
[00:45:27.653 --> 00:45:38.019]   Right now the open source language models are only about one year behind open AI and its chat GPT So just in terms of the ability of these models to do
[00:45:38.019 --> 00:45:42.367]   reasoning, to engage in conversation, to answer questions and so on, open source is
[00:45:42.367 --> 00:45:48.057]   only about a year behind and we can actually enhance that and we can do that
[00:45:48.057 --> 00:45:48.739]  by working together outside of these corporations.
[00:45:48.739 --> 00:45:53.619]   Let me give you a microcosm. AI's power is how many humans use it.
[00:45:51.685 --> 00:45:56.306]  Like, stoplights aren't sophisticated, but we obey them, so they're very, very powerful.
[00:45:57.007 --> 00:46:02.389]  And so it isn't even how sophisticated it is, it's what system do we adopt and do we decide to use.
[00:46:02.449 --> 00:46:09.212]   And just remember, Microsoft's AI that you just mentioned, In the last six months, everybody had a lot of fun.
[00:46:09.272 --> 00:46:20.683]  Billions and billions of people saw it, where they hijacked Disney's computer-generated cartoons and turned it against the left with all those great memes.
[00:46:20.743 --> 00:46:25.648]  So then Microsoft said, OK, we're going to program it so you can't use Disney.
[00:46:25.688 --> 00:46:27.490]  So we said, fine, we'll use Pixar.
[00:46:27.850 --> 00:46:29.152]  But it doesn't matter.
[00:46:29.712 --> 00:46:32.215]  The point is it's how we, it's already scraped us.
[00:46:32.816 --> 00:46:33.737]  It isn't that smart.
[00:46:33.857 --> 00:46:35.779]  It's just giving us back to ourselves.
[00:46:36.059 --> 00:46:41.025]  So we have to realize we just then understand that we interface with it and we take it back over.
[00:46:42.406 --> 00:46:43.646]  Well, yeah, exactly.
[00:46:43.666 --> 00:46:54.008]  If we apply this technology correctly, those of us on Team Humanity, then this can become a decentralized knowledge base that puts knowledge at the fingertips of people, even offline.
[00:46:54.428 --> 00:47:01.889]  See, so it doesn't, you don't even have to have an internet connection to use these systems once you've downloaded the base models, which are not that big, just a few gigabytes, for example.
[00:47:02.290 --> 00:47:29.126]   Whereas the corporate control centralized system, OpenAI, IBM, Watson X, you know, Microsoft, Orca, and all these other models, You have to you it's a cloud-based hosted system so all your queries all your corporate information is being sent to them all these companies that are using chat GPT they are funneling all their corporate secrets over to open AI and even the name of the company is wrong it's not open it's closed it's closed source AI
[00:47:29.927 --> 00:47:36.069]  But they are, in essence, just scraping up all these corporate secrets from all over the world because people don't know how this works.
[00:47:36.449 --> 00:47:42.691]  In the same way that Google is spying on your search queries, OpenAI is spying on your AI queries, and that's got to stop.
[00:47:43.211 --> 00:47:50.493]  And again, we the people, we have the technology to do this, and thank God there are so many people who care about freedom right now, Alex.
[00:47:51.093 --> 00:47:55.357]  You know, just walking in line with all the work that you've done over all these years.
[00:47:55.657 --> 00:47:59.501]  There's so many people that are ready to be free that they want decentralization.
[00:47:59.981 --> 00:48:03.304]  They want to use technology to free humanity rather than enslave humanity.
[00:48:03.344 --> 00:48:05.146]  And that's exactly what we're going to do.
[00:48:05.166 --> 00:48:07.468]  Let me elaborate on that because I should have done what you've done.
[00:48:07.948 --> 00:48:12.012]  You've been in here in Texas now 15 years or whatever it is, time flies, 10 years.
[00:48:12.052 --> 00:48:12.993]  How long have you been in Texas?
[00:48:14.261 --> 00:48:15.662]  Yeah, 15 years, something like that.
[00:48:15.882 --> 00:48:29.014]  Okay, so you're an engineer and a scientist and a publisher around the world and hundreds of websites and do all this stuff, but you also have a big farm with cows and sheep and goats and everything else and are self-sufficient.
[00:48:29.034 --> 00:48:30.235]  So I see everything is balanced.
[00:48:30.796 --> 00:48:44.400]   Everybody should strive, whether it's a garden or whatever you can do, be absolutely zero tech We're very low-tech in one way, so that you're not hooked into the matrix in any way, so that there's large swaths that aren't under its control.
[00:48:44.981 --> 00:48:52.112]  And then, have other areas of your life that are hyper-tech, totally as deep as you can get into it, so that we're balanced, and so we're multifaceted.
[00:48:53.829 --> 00:48:54.730]  Well, right, exactly.
[00:48:54.790 --> 00:49:00.033]  Look, if we don't understand and use AI for humanity, we will be overrun by it.
[00:49:00.773 --> 00:49:08.117]  It's kind of like, you know, in the competition between the Native American Indians... I was about to say, they didn't have the guns, they didn't want to adopt it, they didn't have factories, they lost.
[00:49:09.158 --> 00:49:09.758]  Yeah, exactly.
[00:49:10.118 --> 00:49:13.440]  And, you know... I was about to say Native Americans when you said that.
[00:49:14.081 --> 00:49:14.661]  We are synced up.
[00:49:14.761 --> 00:49:17.062]  I'm telling you, that's crazy.
[00:49:17.322 --> 00:49:21.725]  But, you know, you can't beat a rifle company with better bows and arrows, okay?
[00:49:22.279 --> 00:49:23.000]  You just can't.
[00:49:23.400 --> 00:49:27.183]  You've got to learn how to make rifles yourself.
[00:49:27.423 --> 00:49:29.805]  Maybe that's the wrong metaphor because we're not talking about violence here.
[00:49:29.845 --> 00:49:32.046]  We're talking about information and knowledge.
[00:49:33.579 --> 00:49:45.321]  The great news is the open source community is so strong and so powerful and humanity is so ready to be free that we're going to be building on the backs of some really great intellectual giants out there who believe in human freedom.
[00:49:45.341 --> 00:49:50.762]  And we're going to give them all credit, obviously, because we're using a lot of open source code in order to build this.
[00:49:51.522 --> 00:49:53.042]  But here's the trick, Alex.
[00:49:53.722 --> 00:50:06.599]   The microchip factories in Taiwan that produce the NVIDIA GPUs, which are basically the Skynet Terminator microchips that power the AI systems, They don't control who they sell them to.
[00:50:07.100 --> 00:50:10.823]  So, you know, centralized corporations are buying them, but we can buy them, too.
[00:50:11.244 --> 00:50:16.609]  And we can use those microchips to free humanity, to be the anti-Skynet answer to everything.
[00:50:16.889 --> 00:50:17.970]  And that's exactly what we're doing.
[00:50:17.990 --> 00:50:22.174]  You know, computational power can be used for good or for bad, just like any other technology.
[00:50:22.194 --> 00:50:22.935]  It's just like a gun.
[00:50:22.995 --> 00:50:23.896]  Just like Internet.
[00:50:24.477 --> 00:50:25.157]  Yeah, exactly.
[00:50:25.177 --> 00:50:26.938]  So we're just going to use it to set people free.
[00:50:27.018 --> 00:50:27.658]  And freedom wins.
[00:50:28.238 --> 00:50:28.638]  Beautiful.
[00:50:28.698 --> 00:50:30.859]  Mike, I can't wait to have the Deep Dive Tuesday.
[00:50:30.879 --> 00:50:32.959]  You're going to have documents, clips, everything.
[00:50:32.979 --> 00:50:36.901]  We're going to do a deep two-hour dive on this, because this really is the future.
[00:50:37.301 --> 00:50:39.621]  NaturalNews.com, congratulations on your incredible work.
[00:50:40.702 --> 00:50:41.442]  Looking forward to it, Alex.
[00:50:41.462 --> 00:50:42.022]  We'll see you Friday.
[00:50:42.182 --> 00:50:42.542]  Thank you.
[00:50:42.682 --> 00:50:43.883]  Mike Adams, NaturalNews.com.
[00:50:44.403 --> 00:50:45.143]  All right.
[00:50:45.583 --> 00:50:48.664]  We've got another guest coming up in the third hour.
[00:50:50.123 --> 00:50:55.443]   that's the great Steve Quayle to talk about this Armageddon situation he's
[00:50:55.443 --> 00:50:58.163]   been predicting and NATO officially saying they're getting ready to go to
[00:50:58.163 --> 00:51:05.243]   war with Russia and it's happening so hopefully they're just using it to seize
[00:51:05.243 --> 00:51:09.723]   control domestically as bad as that is but they they've already done some
[00:51:09.723 --> 00:51:14.802]   really aggressive stuff that is reckless. I got some big developments on the
[00:51:14.802 --> 00:51:20.228]   January 6th front The biggest yet, the Supreme Court may strike down the whole January 6th hoax.
[00:51:20.728 --> 00:51:21.649]  We're going to hit some of that.
[00:51:21.730 --> 00:51:27.897]  We've got West Virginia's Secretary of State says that the 2020 election was stolen by the CIA, which it was.
[00:51:28.298 --> 00:51:30.981]  That's what I've been telling you for three plus years.
[00:51:32.537 --> 00:51:36.939]  We've got so much more here we're going to be hitting, ladies and gentlemen, absolutely jam-packed.
[00:51:36.999 --> 00:51:37.419]  And you know what?
[00:51:37.459 --> 00:51:40.961]  I am going to open the phones up, but I'm not going to put 20 callers on the board and only get to half of you.
[00:51:41.301 --> 00:51:46.483]  We'll take 10 calls on one subject that I'll tell you about when we start the next hour.
[00:51:46.503 --> 00:51:49.104]  It's going to be Elon Musk, my reinstatement to Twitter.
[00:51:49.585 --> 00:51:50.645]  What do you think of all this?
[00:51:51.005 --> 00:51:51.926]  The Great Awakening is here.
[00:51:54.287 --> 00:51:55.327]  What do you make of all of that?
[00:51:55.807 --> 00:51:57.268]  And the whole World War III thing.
[00:51:57.288 --> 00:51:58.248]  So that's two big subjects.
[00:51:58.649 --> 00:52:01.350]  What do you think of the NATO going directly into mobilization?
[00:52:02.666 --> 00:52:06.412]  At the best, the CIA and the Defense Department and all the craziness.
[00:52:06.852 --> 00:52:17.248]  And Zelensky's saying, shut up, stop crying, no roads get built for you, nothing for your veterans, none of your pension funds, your Social Security is ours, give it all to me, I'm going to add the video, I'm going to read the transcript.
[00:52:18.385 --> 00:52:19.346]  That's a huge subject.
[00:52:19.366 --> 00:52:21.868]  877-789-2539.
[00:52:21.908 --> 00:52:23.649]  The phone system hasn't been turned on yet.
[00:52:23.709 --> 00:52:24.189]  It's digital.
[00:52:24.209 --> 00:52:28.172]  We'll flip it on in a minute.
[00:52:28.192 --> 00:52:28.393]  877-789-2539.
[00:52:28.413 --> 00:52:30.934]  First time callers.
[00:52:30.954 --> 00:52:31.795]  877-789-2539.
[00:52:32.656 --> 00:52:33.616]  Got some good news.
[00:52:33.937 --> 00:52:34.997]  We got store-wide free shipping.
[00:52:35.918 --> 00:52:37.159]  We got double Patriot points.
[00:52:37.779 --> 00:52:40.141]  And this has been sold out for almost a year.
[00:52:40.261 --> 00:52:47.467]  The highest quality, highest rated vitamin that you need for your body.
[00:52:48.573 --> 00:52:49.494]  Winner, Sun.
[00:52:49.895 --> 00:52:53.299]  If you don't get Sun, that's why you get most of the viral infections.
[00:52:53.379 --> 00:53:00.329]  It's the highest quality, the two types of vitamin D3 you need, and it funds the InfoWarp back in stock.
[00:53:02.457 --> 00:53:04.499]  50, no it's 40% off.
[00:53:04.519 --> 00:53:05.119]  40% off.
[00:53:05.479 --> 00:53:07.121]  And you notice we only have two five-star reviews.
[00:53:07.141 --> 00:53:09.722]  We have thousands of five-star reviews.
[00:53:09.742 --> 00:53:14.706]  But the big company that did that with us for over a decade took it away from us and said, you can't have our reviews anymore.
[00:53:15.026 --> 00:53:16.787]  So we had to launch another review system.
[00:53:17.067 --> 00:53:18.588]  But we had thousands of five-star reviews.
[00:53:19.048 --> 00:53:20.549]  Winter Sun, finally back in stock.
[00:53:21.070 --> 00:53:23.712]  Infowarstore.com.
[00:53:23.852 --> 00:53:27.114]  Everybody should take a few drops of this under the tongue every day to boost your immune system.
[00:53:27.774 --> 00:53:29.756]  Almost all these viral cases and problems are D3.
[00:53:32.037 --> 00:53:33.777]  Lack of D3.
[00:53:33.797 --> 00:53:38.459]  D3 is so critical to everything we do in our lives.
[00:53:39.199 --> 00:53:43.080]  And when you have a serious deficiency in it, it can be lethal.
[00:53:47.201 --> 00:53:51.102]  Visit InfoWars.com forward slash show and share the link today.
[00:53:55.282 --> 00:53:56.663]  I want to make a quick note here.
[00:53:57.223 --> 00:53:57.903]  It is wonderful.
[00:53:57.943 --> 00:54:01.645]  It is a very good reason for celebration that Alex Jones is back.
[00:54:01.865 --> 00:54:04.227]  The InfoWars account is officially back.
[00:54:04.507 --> 00:54:09.129]  But I want to make the point that InfoWars was not created on Twitter.
[00:54:09.149 --> 00:54:11.370]  This is not something that we need.
[00:54:11.730 --> 00:54:21.215]  It's amazing to think that since we've been kicked off of Twitter, not only have we continued to exist, we've continued to thrive despite the censorship.
[00:54:21.255 --> 00:54:28.760]   Now that the censorship has in part been lifted, We'll only see this power grow and expand and become even more dominant.
[00:54:29.000 --> 00:54:41.050]  But thanks to you going to InfoWarsStore.com, thanks to you supporting us and keeping us on air, and going to InfoWars.com and sharing the articles, or going to Band.Video and sharing the videos, we have not required permission from Big Tech.
[00:54:41.590 --> 00:54:43.291]  To succeed and spread our message.
[00:54:43.352 --> 00:54:49.352]   So thank you for your participation in this and for keeping us on air and in the fight on our own systems as well as
[00:54:49.352 --> 00:54:54.852]   now on the big tech systems that we once so thoroughly dominated and will again soon.
[00:54:54.852 --> 00:54:55.852]  [Click]
[00:54:55.852 --> 00:55:01.352]  [Rapid gunfire]
[00:55:01.352 --> 00:55:06.531]   And it's time for humanity to stand up in the Info War and say, "I don't know what's going to happen at the end of
[00:55:06.531 --> 00:55:08.352]  this, but you want to fight?"
[00:55:08.451 --> 00:55:09.152]  You better believe it!
[00:55:12.528 --> 00:55:19.528]   From the front lines of the information war, it's Alex Jones.
[00:55:36.528 --> 00:55:42.848]   Former Italian Health Minister Roberto Sporanza is under investigation for homicide after
[00:55:42.848 --> 00:55:48.188]   emails reveal that from the very start of the vaccinations, he knew the shots were killing
[00:55:48.188 --> 00:55:54.688]   people and gave orders to local health authorities to conceal deaths and serious side effects
[00:55:54.688 --> 00:56:00.488]   in order to reassure Italian citizens of their safety and to not jeopardize the vaccination
[00:56:00.488 --> 00:56:01.247]  campaign.
[00:56:01.714 --> 00:56:05.615]  The story has been reported on both German and Italian news networks.
[00:56:06.295 --> 00:56:08.496]  I will now provide an English translation.
[00:56:09.757 --> 00:56:19.083]  The Rome Public Prosecutor's Office is investigating Roberto Speranza, the Italian government's health minister, during the time of COVID measures.
[00:56:19.563 --> 00:56:22.105]  He was responsible for the vaccination campaign.
[00:56:22.725 --> 00:56:30.312]  The investigations are the result of complaints related to the so-called AIFA emails from the Italian Medicines Agency.
[00:56:30.892 --> 00:56:36.137]  The former director of AIFA, Nicola Magrini, is also under investigation.
[00:56:36.718 --> 00:56:44.587]   The publication of these internal emails Revealed that they had been aware of the dangers of the COVID vaccination from the start.
[00:56:45.128 --> 00:56:56.023]  The accusation is that the responsible minister and the head of the drug authority knowingly and deliberately exposed the unsuspecting Italian population to this risk.
[00:56:56.644 --> 00:57:00.025]  Yes, they encouraged Italians to get vaccinated.
[00:57:00.505 --> 00:57:04.387]  Vaccination was even made mandatory for certain professional groups.
[00:57:04.867 --> 00:57:09.428]  Consequently, many side effects, including fatal ones, came to light.
[00:57:09.888 --> 00:57:33.120]   The investigations are for murder, serious bodily harm, and more, because Speranza and Magrini evidently gave instructions to the local health authorities To conceal the deaths and serious side effects that occurred immediately after the vaccinations began, in order not to jeopardize the vaccination campaign and to reassure the citizens about their safety.
[00:57:33.680 --> 00:57:39.004]  The responsible minister and the head of AIFA are now expected to answer for these actions.
[00:57:39.484 --> 00:57:47.049]  According to the complaints from the police unions and the financial police, as well as from the private organization, listen to me.
[00:57:47.429 --> 00:57:51.293]  Which represents 4,200 people damaged by vaccines.
[00:57:52.214 --> 00:57:57.880]  In Italy, police officers and teachers were subjected to mandatory COVID vaccination.
[00:57:58.300 --> 00:58:05.267]  Here is the former health minister, Roberto Speranza, proudly announcing vaccination statistics in Italy.
[00:58:06.141 --> 00:58:10.965]  We have now reached a massively significant percentage of vaccinated people in Italy, 89.41%.
[00:58:10.805 --> 00:58:18.245]   89.41 percent. Therefore, currently in Italy, just over 10 percent of the
[00:58:18.245 --> 00:58:24.285]   population remains unvaccinated. Well, today Roberto Speranza is under
[00:58:24.285 --> 00:58:30.125]  investigation for lies he allegedly told about vaccines.
[00:58:28.812 --> 00:58:33.214]  Among the crimes he is accused of are ideological falsehood and murder.
[00:58:33.714 --> 00:58:37.196]  Look, this is the document we are showing you tonight exclusively.
[00:58:37.656 --> 00:58:49.883]   It states the former minister, Roberto Speranza, along with Nicola Magrini, the former general manager of AIFA, Are both registered in the investigative records of the Rome Prosecutor's Office.
[00:58:50.723 --> 00:59:01.670]  Last week, the House of Representatives of the Philippines passed a resolution to investigate over 260,000 unexplained excess deaths in 2021 and 67,000 unexplained excess deaths in 2022.
[00:59:01.530 --> 00:59:06.530]  in 2021 and 67,000 unexplained excess deaths in 2022.
[00:59:06.530 --> 00:59:13.650]  The next day, they were hit by a 7.6 magnitude earthquake.
[00:59:13.650 --> 00:59:17.269]  Reporting for InfoWars, this is Greg Reese.
[00:59:17.269 --> 00:59:20.810]  (upbeat music)
[00:59:20.810 --> 00:59:23.389]  (upbeat music)
[00:59:23.389 --> 00:59:33.990]  (upbeat music)
[00:59:33.990 --> 00:59:36.569]  (upbeat music)
[00:59:36.990 --> 00:59:39.569]  (upbeat music)
[00:59:39.569 --> 00:59:42.149]  (upbeat music)
[00:59:42.149 --> 00:59:44.730]  (upbeat music)
[00:59:44.730 --> 00:59:47.310]  (upbeat music)
[00:59:48.310 --> 00:59:50.889]  (upbeat music)
[00:59:50.889 --> 00:59:53.469]  (upbeat music)
[00:59:54.272 --> 00:59:57.674]  Alright, look, I can go back to tally sticks 800 years ago in England.
[00:59:57.694 --> 01:00:05.400]  I can, you know, talk about gold and silver coins and Babylon or Egypt 3-4,000 years ago.
[01:00:05.420 --> 01:00:07.921]  This has been an ongoing cycle.
[01:00:09.002 --> 01:00:19.299]   But private megabanks, controlled by the Rothschilds predominantly, and the British Empire got global domination Of most areas.
[01:00:20.140 --> 01:00:23.761]  At the defeat of Napoleon Bonaparte at Runnymede.
[01:00:24.621 --> 01:00:30.104]  Actually Runnymede was in 1100 or whatever with the Magna Carta.
[01:00:30.324 --> 01:00:33.145]  At Battle of Waterloo.
[01:00:34.005 --> 01:00:36.886]  My brain is just like exploding right now.
[01:00:38.467 --> 01:00:42.788]  If you go back to the Battle of Waterloo in continental Europe in 1215.
[01:00:45.529 --> 01:00:49.853]  The British Empire got control of like 80% of the most important countries.
[01:00:50.814 --> 01:00:57.180]  And then out of that you get World War I and World War II, and it's the same forces basically battling each other then.
[01:00:57.200 --> 01:01:08.334]   And now Europe and the United States and what was left of the British Empire has merged into the Anglo-American globalist New World Order.
[01:01:08.934 --> 01:01:10.274]  And that's in mainline history books.
[01:01:11.275 --> 01:01:14.436]  Zbigniew Brzezinski, Carol Quigley, Henry Kissinger.
[01:01:15.016 --> 01:01:16.677]  This is all in their books.
[01:01:16.837 --> 01:01:17.637]  It's history.
[01:01:17.677 --> 01:01:18.577]  It's not debatable.
[01:01:19.037 --> 01:01:22.699]  You go to the British Royal Museum, it's all right there.
[01:01:23.819 --> 01:01:27.460]  And then you talk about it and the ADL comes out and says you're a Nazi.
[01:01:27.520 --> 01:01:29.261]  You're like, well, what does that have to do with this?
[01:01:29.501 --> 01:01:31.962]  Or the Southern Primary Law Center says, no, none of it exists.
[01:01:33.968 --> 01:01:34.849]  This is just history.
[01:01:35.849 --> 01:01:46.556]  So the end of fractional reserve banking that the Rothschilds have been engaged in in Europe for 500 years, where they own pawn shops in Germany.
[01:01:47.897 --> 01:01:51.239]  And people have done this before, but they just got to be the monopoly.
[01:01:52.980 --> 01:01:59.384]  And people didn't want to leave their gold or silver at home because you could get robbed for it, so they had big vaults and armed guards at their pawn shops.
[01:02:00.788 --> 01:02:03.230]  And the red shield is what Rothschild means.
[01:02:03.671 --> 01:02:09.716]  Their sign, like McDonald's golden arches around Germany, was a red shield hanging out front.
[01:02:11.117 --> 01:02:14.380]  And they would go put 10 ounces of gold in.
[01:02:14.420 --> 01:02:15.140]  Your family would.
[01:02:17.703 --> 01:02:18.924]  And you didn't want to carry that around.
[01:02:18.964 --> 01:02:19.724]  You'd get robbed.
[01:02:20.645 --> 01:02:23.608]  So when people came to get it, they had to prove that they had a receipt.
[01:02:23.628 --> 01:02:24.248]  It was a check.
[01:02:24.849 --> 01:02:28.352]  You would write receipts that, okay, I'm buying this horse.
[01:02:29.764 --> 01:02:31.245]  And it's one ounce of gold.
[01:02:32.685 --> 01:02:37.827]  And you would write them a check, a receipt, to go to the Red Shield.
[01:02:37.847 --> 01:02:39.248]  They had a bunch of other pawn shops, too.
[01:02:40.088 --> 01:02:44.730]  And the Red Shield would give you an ounce of gold.
[01:02:46.030 --> 01:02:52.152]  Or you'd go get your ounce of gold and take it, but you kept it at the bank, which was a Red Shield.
[01:02:54.293 --> 01:02:55.013]  And you'd go there.
[01:02:55.093 --> 01:03:24.530]   Well, the Red Shield's figured out That they could take the deposits of gold and silver and things they had, and sterling silver tea sets and coffee sets and all the rest of it, and they could loan out, they figured ten times the amount of gold and silver they had, and that no one would ever do a run on the pawn shop or the bank.
[01:03:26.946 --> 01:03:34.892]  Now, they parlayed that into British government, global domination, the whole monetary system, Federal Reserve banking law work.
[01:03:35.532 --> 01:03:44.139]  If you deposit $1 in your local bank or credit union, they're allowed to loan $10 out.
[01:03:44.799 --> 01:03:46.480]  Now, by the 70s, they got away from that.
[01:03:47.041 --> 01:03:49.643]  And they went to, hey, we'll take one mortgage and sell it 100 times.
[01:03:50.783 --> 01:03:51.304]  Derivatives.
[01:03:52.990 --> 01:03:57.834]  So they've built hundreds of quadrillions in fake money.
[01:03:57.874 --> 01:03:59.836]  They could buy the world up hundreds of times.
[01:04:02.978 --> 01:04:08.102]  But they don't want inflation to hit, so they hold that money back, and they only buy big companies.
[01:04:10.164 --> 01:04:13.106]  Or intellectual property, or land.
[01:04:13.727 --> 01:04:18.570]  So the general public never gets access to those quadrillions, because that would be devalued right away.
[01:04:19.191 --> 01:04:20.132]  But still, it's already begun.
[01:04:21.647 --> 01:04:24.308]  But they wanted the inflation to be a little bit slower, so you wouldn't notice.
[01:04:24.408 --> 01:04:28.730]  And the reason I'm hitting this one on your calls is, if you don't know this, you don't know anything.
[01:04:31.571 --> 01:04:33.752]  The bubble is in the thousands of quadrillions.
[01:04:35.673 --> 01:04:39.794]  With a couple quadrillion, you could buy up everything on Earth, every asset, everything.
[01:04:40.454 --> 01:04:42.535]  Well, where are the thousands of quadrillions?
[01:04:42.575 --> 01:04:45.276]  Well, that's in the fractionization of it.
[01:04:45.917 --> 01:04:53.093]   So, they'll create this giant debt, this giant bubble, Because they're making money on the fees of the transactions.
[01:04:53.874 --> 01:05:00.599]  And they'll also give the corporations through BlackRock to do what they say and behave the way they want, unlimited funds.
[01:05:01.140 --> 01:05:05.763]  That's why Target doesn't care if they promote pedophilia and lose half their customers or Anheuser-Busch.
[01:05:08.005 --> 01:05:10.447]  Because they'll just be given unlimited funds.
[01:05:10.467 --> 01:05:11.127]  It doesn't matter.
[01:05:11.388 --> 01:05:12.388]  It's a war machine.
[01:05:12.749 --> 01:05:15.611]  Hollywood doesn't care if they're discredited and destroy themselves and everybody hates them.
[01:05:15.871 --> 01:05:17.072]  They'll just remake themselves later.
[01:05:17.252 --> 01:05:17.993]  They have unlimited money.
[01:05:19.056 --> 01:05:21.337]  But that bubble is coming to an end.
[01:05:22.017 --> 01:05:23.697]  It got bigger than they ever thought it could get.
[01:05:24.818 --> 01:05:32.700]  So they need crises to get you to accept the new system, the new digital currency that they control and program.
[01:05:33.400 --> 01:05:39.042]  And they're going to have to shut down the old system and make it worthless so you'll adopt and accept the new system.
[01:05:39.302 --> 01:05:42.143]  And they'll say, we'll take your records and we'll transfer it over.
[01:05:42.383 --> 01:05:45.004]  But as long as you abide by these rules, you'll get your assets back.
[01:05:46.886 --> 01:05:49.167]  But how do they not get in trouble for what they did?
[01:05:50.587 --> 01:05:52.208]  The giant Ponzi scheme comes to an end.
[01:05:52.468 --> 01:05:58.871]  They don't want to go to jail for doing something a billion times worse than what Bernie Madoff did or Sam Bankman Freed.
[01:06:00.391 --> 01:06:01.331]  They're too big to fail.
[01:06:02.032 --> 01:06:13.236]  They need wars and race war and division so they can pose as the arbiter, as the referee during this transition.
[01:06:17.133 --> 01:06:17.814]  And that's where we are.
[01:06:19.215 --> 01:06:20.377]  Viruses they release.
[01:06:20.577 --> 01:06:21.258]  Lockdowns.
[01:06:21.899 --> 01:06:22.599]  Open borders.
[01:06:23.140 --> 01:06:24.361]  Collapsing third world.
[01:06:25.543 --> 01:06:26.484]  Migrant surges.
[01:06:27.205 --> 01:06:27.986]  Huge wars.
[01:06:30.148 --> 01:06:33.993]  We're at the end of their last 500 years of corruption.
[01:06:34.914 --> 01:06:35.815]  And they're not going away.
[01:06:36.954 --> 01:06:40.496]  They're taking over everything, including your body with the U.N.
[01:06:40.536 --> 01:06:40.837]  Treaty.
[01:06:41.077 --> 01:06:42.958]  They've released the official final.
[01:06:43.579 --> 01:06:44.519]  They said they may change the game.
[01:06:44.539 --> 01:06:46.260]  They said, this is what we think's the final draft.
[01:06:46.501 --> 01:06:47.601]  We'd like to pass this.
[01:06:48.022 --> 01:06:49.823]  And I've got the article today, Infowars.com.
[01:06:49.843 --> 01:06:51.964]  It's got the subsections all right there.
[01:06:53.705 --> 01:06:54.706]  They own your body.
[01:06:54.746 --> 01:06:55.807]  They run your government.
[01:06:55.847 --> 01:06:56.828]  They run your borders.
[01:06:57.248 --> 01:06:58.969]  Liability protection for Big Pharma.
[01:06:59.209 --> 01:07:02.371]  They make you take shots to even leave your house or start your car.
[01:07:02.531 --> 01:07:03.992]  There's kill switches in all the new cars.
[01:07:04.353 --> 01:07:05.554]  I mean, it ain't coming, folks.
[01:07:05.674 --> 01:07:05.954]  It's here.
[01:07:08.134 --> 01:07:09.715]  So you ask, why is it so reckless?
[01:07:09.755 --> 01:07:10.495]  Why is it so dangerous?
[01:07:10.535 --> 01:07:12.816]  Because they've never been defeated yet.
