[00:00:00.000 --> 00:00:02.080]  (static)
[00:24:21.929 --> 00:24:28.271]  And Jack has been warning for six months that Biden would threaten physical war right before the election.
[00:24:28.691 --> 00:24:38.326]   Biden represents The worst war hawks, the people that took us to all these illegal wars, the people that killed millions of Iraqis with sanctions, Madeleine Albright, the Democrats, the Republicans.
[00:24:38.346 --> 00:24:46.852]  Let's not forget Madeleine Albright on 60 Minutes was asked by Leslie Stahl, OK, you guys tripled the sanctions that George Herbert Walker Bush had on before.
[00:24:47.669 --> 00:24:51.171]  And over a million Iraqis have died, a half million of them children.
[00:24:51.211 --> 00:24:54.334]  That number later doubled to a million children, a million adults, not debated.
[00:24:54.874 --> 00:24:56.375]  And they said, is that a good price to pay?
[00:24:56.855 --> 00:24:59.917]  And she said, yes, it's a good price to pay.
[00:24:59.977 --> 00:25:01.238]  We basically do it again.
[00:25:01.698 --> 00:25:07.983]  Now, that's the mindset of the Republican Democrat Warhawk leadership that is so crazy.
[00:25:08.023 --> 00:25:14.547]  They've been putting out white papers that are being circulated by the highest levels of the Pentagon that nuclear war is survivable.
[00:25:14.987 --> 00:25:21.731]  So all I'm saying is, is that we have to get control of our governments again to literally stop them destroying the planet.
[00:25:21.771 --> 00:25:23.412]  And I don't think I'm exaggerating to say that.
[00:25:23.452 --> 00:25:24.493]  And Jack's been warning about this.
[00:25:25.073 --> 00:25:25.254]  Yeah.
[00:25:25.294 --> 00:25:25.734]  Hey, Mario.
[00:25:25.754 --> 00:25:26.254]  Hey, Alex.
[00:25:27.075 --> 00:25:30.897]  Great to see you back here on X in its new iteration.
[00:25:31.117 --> 00:25:56.374]   And I do think that Because we face such a complex and unique series of threats right now, one of which I would include, and I would not put it beyond, this current establishment to find an excuse to, as we saw in 2020, they used the crisis of COVID to change the way that we hold elections fundamentally in the United States, right?
[00:25:56.394 --> 00:25:57.194]  That's without question.
[00:25:57.234 --> 00:25:57.874]  They did do that.
[00:25:59.110 --> 00:26:22.086]  That they would look or seek for a crisis on a military, right, on a military footing to, whether it be Gaza, whether it be Ukraine, whether it be a crisis involving the Taiwan Strait, whether it be something else that we haven't even talked about at this point, to then go in and find a new way to put controls on our election.
[00:26:22.126 --> 00:26:27.129]  Because look, you know, I was with President Trump last night in New York.
[00:26:27.169 --> 00:26:28.270]  We had a huge gala dinner.
[00:26:29.143 --> 00:26:42.495]   And we talked about the importance of this next election and how it really plays into the censorship and these ideas of what the What the ability of the distribution channels of truth are.
[00:26:42.856 --> 00:27:04.071]   And so, whether or not you have someone who has an opinion on, okay, I'm a Trump supporter, I'm not a Trump supporter, I'm an Alex Jones supporter, I'm not an Alex Jones supporter, I'm pro-Ukraine, I'm pro-Russia, I'm pro-Israel, I'm pro-Gaza, whichever it is, if you don't have one central hub, as Alex just said, That's allowing for these ideas and allowing for this information to be disseminated.
[00:27:04.111 --> 00:27:13.557]  And you've got people that decide that they can put their finger on the trigger and take out somebody like Alex Jones, who was the first one to do this.
[00:27:13.577 --> 00:27:16.559]  I mean, Alex, I was with you the day this happened down there in Congress.
[00:27:16.599 --> 00:27:18.460]  That was the picture I posted of the two of us.
[00:27:19.081 --> 00:27:22.443]  Because this has been the problem since really 2018.
[00:27:23.263 --> 00:27:28.385]   And if Trump hadn't, because people need to remember, What the internet was like before Trump won the election.
[00:27:28.445 --> 00:27:29.807]  It really wasn't Trump won the election.
[00:27:30.227 --> 00:27:41.433]   Because you had the head of Google go up there and say on election night In an internal meeting, and Alan Bakari at Breitbart has the video on this, said, we will not let this happen again.
[00:27:42.054 --> 00:27:49.241]  Big Tech said, we will not let a populist uprising take over and put a candidate in office.
[00:27:49.562 --> 00:27:49.762]  Right?
[00:27:49.942 --> 00:27:52.565]  Left or right, they said they will choose from now on.
[00:27:52.865 --> 00:27:55.207]  And that's when the censorship industrial complex began.
[00:27:55.608 --> 00:28:01.568]   So prior to Alex Jones' Just really public execution in terms of the digital square.
[00:28:01.588 --> 00:28:04.032]  It was a digital public execution that we saw.
[00:28:04.532 --> 00:28:12.563]  Prior to that, the idea that people would be getting suspended on Twitter, you know, Twitter 1.0, or even Facebook or YouTube or any of these things, it was ridiculous.
[00:28:12.623 --> 00:28:19.287]   You had to either You know, really, you know, seriously violate terms of service, death threats, doxing.
[00:28:19.307 --> 00:28:20.407]  That was pretty much it.
[00:28:20.487 --> 00:28:23.868]  That was pretty much the only thing, or like actually hacking the system was the only thing to get you out.
[00:28:24.368 --> 00:28:31.170]  But when they did that to Alex Jones, it fundamentally changed the way that we operate on social media and the way that we share information.
[00:28:31.330 --> 00:28:42.394]  And up until the point where Elon Musk purchasing Twitter and transforming it now into X, we have not had the ability to freely share information.
[00:28:44.312 --> 00:28:53.659]  We'll be right back with more of Elon Musk X's, Elon Musk Spaces on X. There's so much more about to discuss.
[00:28:53.499 --> 00:28:55.897]  Please stay with us and share the live feed.
[00:28:55.897 --> 00:29:01.899]  [Music]
[00:29:01.899 --> 00:29:03.899]  [Music]
[00:29:03.899 --> 00:29:09.898]   While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:29:10.644 --> 00:29:14.345]  Visit InfoWars.com forward slash show and share the link today.
[00:29:14.865 --> 00:29:16.166]  Please do your Christmas shopping with us.
[00:29:17.546 --> 00:29:18.547]  We're fighting the globalists.
[00:29:18.827 --> 00:29:19.747]  We're winning the battles.
[00:29:19.767 --> 00:29:21.008]  We're having huge effects.
[00:29:21.048 --> 00:29:23.289]  Plus, these are amazing products.
[00:29:24.312 --> 00:29:25.673]  That will enrich and empower your life.
[00:29:25.733 --> 00:29:28.635]  I was on with Elon Musk for two and a half hours about eight days ago.
[00:29:28.655 --> 00:29:33.378]  He said, I don't know the term we should use for being against this depopulation New World Order.
[00:29:33.398 --> 00:29:36.079]  And I said, how about Team Humanity?
[00:29:36.099 --> 00:29:37.660]  He said, yeah, let's call it Team Humanity.
[00:29:37.700 --> 00:29:38.681]  So I'm making some shirts.
[00:29:38.741 --> 00:29:39.722]  I'm sending some to him.
[00:29:39.782 --> 00:29:40.782]  They're getting printed right now.
[00:29:40.802 --> 00:29:44.004]  You'll get them after Christmas, but pretty close after Christmas, probably before the new year.
[00:29:44.124 --> 00:29:44.705]  Order them now.
[00:29:44.825 --> 00:29:48.407]  It's a black shirt that says Team Humanity on the top, under it, InfoWars.com.
[00:29:48.607 --> 00:29:50.508]  And it has a nuclear family in the middle.
[00:29:50.688 --> 00:29:51.769]  It says Team Humanity on the back.
[00:29:51.869 --> 00:29:52.810]  It's a unisex shirt.
[00:29:52.910 --> 00:29:53.910]  It'll fund the operation.
[00:29:53.930 --> 00:29:54.911]  It's a fundraiser shirt.
[00:29:54.971 --> 00:29:57.072]  Please go and get the shirt today.
[00:29:57.212 --> 00:29:58.093]  Team Humanity.
[00:29:58.113 --> 00:29:59.073]  Two different designs.
[00:29:59.253 --> 00:30:03.255]  Infowarsstore.com or 888-253-3139.
[00:30:03.676 --> 00:30:08.198]  Also, please do not forget that my book has gone number one on a bunch of the different subcharts.
[00:30:08.218 --> 00:30:09.879]  I want to push it all the way because it has a big effect.
[00:30:09.919 --> 00:30:12.020]  The Great Awakening Part 2 of The Great Reset.
[00:30:12.040 --> 00:30:12.741]  Twice as long.
[00:30:12.801 --> 00:30:13.741]  The Plan to Defeat the Globals.
[00:30:13.761 --> 00:30:14.902]  Launch of the Next Great Renaissance.
[00:30:14.922 --> 00:30:15.582]  The Great Awakening.
[00:30:15.662 --> 00:30:16.683]  Infowarsstore.com.
[00:30:16.723 --> 00:30:18.284]  Or if you want to get it, Amazon.com.
[00:30:18.464 --> 00:30:24.909]  And just don't forget, for big fans of it, TurboForce is 10 hours of clean energy, the highest quality, best products, and ingredients.
[00:30:24.929 --> 00:30:25.610]  It'll blow you away.
[00:30:25.670 --> 00:30:30.093]  TurboForce is back in stock at InfowarsStore.com or call toll free, AAA, 253-3139.
[00:30:34.727 --> 00:30:39.410]  In a galaxy of endless energy needs, the power of Turbo Force rises above the rest.
[00:30:39.871 --> 00:30:43.673]  The force that propels you to tackle your day and face the dark side of fatigue.
[00:30:44.074 --> 00:30:47.896]  Turbo Force ensures you stay sharp, alert, and at the top of your game.
[00:30:48.477 --> 00:30:50.698]  Don't let fatigue pull you into the dark side.
[00:30:51.038 --> 00:30:52.479]  Be the hero of your own saga.
[00:30:53.000 --> 00:30:56.782]  Harness the power, feel the rush, and take control with Turbo Force.
[00:30:57.363 --> 00:31:01.566]  Visit InfoWarsStore.com today, and may the Turbo Force be with you.
[00:31:02.253 --> 00:31:03.634]  I want to make a quick note here.
[00:31:04.215 --> 00:31:04.895]  It is wonderful.
[00:31:04.935 --> 00:31:08.618]  It is a very good reason for celebration that Alex Jones is back.
[00:31:08.858 --> 00:31:11.220]  The InfoWars account is officially back.
[00:31:11.500 --> 00:31:16.124]  But I want to make the point that InfoWars was not created on Twitter.
[00:31:16.144 --> 00:31:18.366]  This is not something that we need.
[00:31:18.706 --> 00:31:28.193]  It's amazing to think that since we've been kicked off of Twitter, not only have we continued to exist, we have continued to thrive despite the censorship.
[00:31:28.253 --> 00:31:48.030]   Now that the censorship has in part been lifted, We'll only see this power grow and expand and become even more dominant, but thanks to you going to InfoWarsStore.com, thanks to you supporting us and keeping us on air and going to InfoWars.com and sharing the articles, or going to Band.Video and sharing the videos, we have not required permission from Big Tech.
[00:31:48.329 --> 00:31:50.329]  to succeed and spread our message.
[00:31:50.329 --> 00:31:54.569]   So thank you for your participation in this and for keeping us on air and in the fight
[00:31:54.569 --> 00:32:01.688]   on our own systems, as well as now on the big tech systems that we once so thoroughly dominated and will again soon.
[00:32:01.688 --> 00:32:11.688]   If by Rudyard Kipling, if you can keep your head when all about you
[00:32:11.688 --> 00:32:17.609]   are losing theirs and blaming it on you, if you can trust yourself when all men doubt you,
[00:32:18.168 --> 00:32:23.849]   but make allowance for their doubting too, if you can wait and not be tired by waiting,
[00:32:23.849 --> 00:32:30.649]   or being lied about, don't deal in lies, or being hated, don't give way to hating,
[00:32:30.649 --> 00:32:35.529]  and yet don't look too good nor talk too wise.
[00:32:35.714 --> 00:32:38.695]  If you can dream, and not make dreams your master.
[00:32:39.335 --> 00:32:41.735]  If you can think and not make thoughts your aim.
[00:32:42.516 --> 00:32:48.017]  If you can meet with triumph and disaster, and treat those two impostors just the same.
[00:32:48.037 --> 00:32:54.858]  If you can bear to hear the truth you've spoken, twisted by knaves to make a trap for fools.
[00:32:55.479 --> 00:33:01.480]  Or watch the things you gave your life to, broken, and stoop and build them up with worn out tools.
[00:33:04.286 --> 00:33:08.407]  Leading a frontal assault on the lies of the New World Order.
[00:33:08.726 --> 00:33:15.726]  It's Alex Jones.
[00:33:15.726 --> 00:33:22.526]   Daddy, Mommy, for Christmas I want America back in free speech.
[00:33:22.526 --> 00:33:24.165]  [MUSIC PLAYING]
[00:33:24.191 --> 00:33:26.312]  Well, honey, we're going to do our best to try to do that for you.
[00:33:26.972 --> 00:33:28.992]  But you know, Santa Claus can't do that.
[00:33:29.132 --> 00:33:31.853]  Only we can, working through God and hard work.
[00:33:33.556 --> 00:33:35.325]  Just like the one...
[00:33:38.183 --> 00:33:42.744]  All right, let's get back to this Spaces on X historic, record-breaking interview.
[00:33:43.744 --> 00:33:45.165]  Hundreds of millions of views, the clubs.
[00:33:45.665 --> 00:33:46.905]  20 million views, the full show.
[00:33:47.725 --> 00:33:49.005]  And we're not airing the whole thing here.
[00:33:49.886 --> 00:33:59.648]  We'll post it at Infowars.com on the live show feed for this Christmas Eve transmission if you want to listen to the entire two-hour, 49-minute transmission.
[00:33:59.668 --> 00:34:03.909]  But here is more large excerpts of this historic discussion.
[00:34:04.958 --> 00:34:15.664]  Up until the point of Elon Musk purchasing Twitter and transforming it now into X, we have not had the ability to freely share information.
[00:34:15.724 --> 00:34:37.659]   And that's why, in the past year, it's basically been about a year and change since he purchased it, that's why you've suddenly started to see people, and not even just on X, but out in the real world, out in normal conversations, we're finally starting to move past that point of intense censorship, where if you've lived in any country, That has an authoritarian regime, you know that the censorship isn't external, it's internal.
[00:34:37.939 --> 00:34:45.305]  So it's internal, it's in your mind, you know you're not allowed to hold certain opinions, you know you're not allowed to say certain things, and so you censor yourself before you speak.
[00:34:45.345 --> 00:35:01.219]   And so Alex, I just commend you for being able to always walk through these things, to never stop fighting, and then, you know, really just you have to look at Elon Musk and say thank you for what he has done Again, I literally don't say this to sound like I love everybody and I'm this gracious guy.
[00:35:01.519 --> 00:35:03.380]  This is not about me, it's about all of us.
[00:35:03.820 --> 00:35:10.325]  But once you get censored and once people are scared to defend you, they can lie about you, they can attack you, they can demonize you.
[00:35:10.345 --> 00:35:18.089]   But more importantly, I was then used as a tool To scare everybody else and say, look what we did to Alex Jones.
[00:35:18.549 --> 00:35:20.991]  You better behave yourself or we'll Alex Jones you.
[00:35:21.271 --> 00:35:22.411]  And of course, I love Twitter.
[00:35:22.431 --> 00:35:24.772]  It's my favorite platform, even though I've not been on there for years.
[00:35:25.233 --> 00:35:29.075]  I'm on it morning, noon and night, getting news, reading things, seeing what's happening.
[00:35:29.095 --> 00:35:31.936]  And I can't tell you the tens of thousands of times.
[00:35:31.956 --> 00:35:33.397]  I mean, I'd see it a hundred times a day.
[00:35:34.503 --> 00:35:41.833]  Establishment leftists, but this is bipartisan tyranny, also established Republicans saying, you're going to get it like Alex Jones.
[00:35:41.873 --> 00:35:43.575]  We're going to Alex Jones all of you.
[00:35:43.895 --> 00:35:47.821]  So these totalitarians were tearing out a tried and trusted formula.
[00:35:48.899 --> 00:35:53.341]  Another example of someone that's gone through the same thing is obviously Andrew Tate, which you retweeted earlier.
[00:35:53.861 --> 00:35:55.301]  We've got Tristan on stage.
[00:35:55.942 --> 00:36:02.924]  Tristan, we've got Alex Jones back on X. We'd love your thoughts on your experience getting censored and congratulations on finally being able to walk free.
[00:36:03.744 --> 00:36:11.567]  My quick thoughts on Alex Jones being reinstated to X. To be fair, today has been the happiest day of my life this year.
[00:36:11.967 --> 00:36:13.968]  And that includes my release from prison.
[00:36:14.708 --> 00:36:18.490]  I feel like Alex Jones is the canary in the coal mine.
[00:36:18.590 --> 00:36:21.471]  As he said, he was the guy who they cancelled first.
[00:36:21.951 --> 00:36:22.751]  They hit first.
[00:36:22.951 --> 00:36:25.752]  And he actually set an example, I think, for all of us guys.
[00:36:26.193 --> 00:36:30.854]  Myself, my brother included, who have been cancelled, who've been through the same shit that he's went through.
[00:36:31.255 --> 00:36:34.216]  Because I have platforms like Rumble to fall back on.
[00:36:34.236 --> 00:36:37.057]  X obviously reinstated me the moment Elon bought it.
[00:36:37.337 --> 00:36:50.187]   But Alex Jones was fighting in the ...trenches, pardon my French, for years and years and years by himself, InfoWars.com, with, you know, me and his loyal fans and, you know, people tuning in and supporting him.
[00:36:50.207 --> 00:37:01.817]  And, you know, the fact that he's now made it through the fire and he's back on X is a massive, massive moment, I think, for the movement of everybody who believes in what I think we all believe.
[00:37:02.297 --> 00:37:10.184]   And, you know, as I said, we can disagree on certain issues, but Basics like the democratically elected leaders of countries need to lead the countries.
[00:37:10.244 --> 00:37:11.185]  Basic shit like this.
[00:37:11.265 --> 00:37:21.115]  I mean, Alex Jones is a real voice for truth, a voice for reason, a voice for what's right, a voice against evil, and I'm just absolutely ecstatic that he's back.
[00:37:21.415 --> 00:37:23.517]  I can't wipe the smile off my face.
[00:37:24.403 --> 00:37:25.084]  Thank you, Tristan.
[00:37:25.304 --> 00:37:25.644]  Love you.
[00:37:25.964 --> 00:37:28.886]  I'd like to... I can link that to another question before going to Brian.
[00:37:28.906 --> 00:37:30.027]  I know you're waiting for a while, Brian.
[00:37:30.748 --> 00:37:32.269]  What's your plan now that you're back on XG?
[00:37:32.289 --> 00:37:33.449]  Do you have any plans?
[00:37:33.770 --> 00:37:36.131]  Were you expecting this in any way after seeing the poll?
[00:37:36.652 --> 00:37:45.038]  I plan to be extremely careful, and that doesn't mean that I'm letting the censors dampen what I say or what I do.
[00:37:46.525 --> 00:37:49.327]  I just realized anything I say or do, they're going to try to twist.
[00:37:49.627 --> 00:37:56.412]  And so I'm really going to try to not let Elon's gamble down or any of the people that supported me's gamble down.
[00:37:56.432 --> 00:38:00.435]  I'm going to try to be very serious, very focused.
[00:38:01.116 --> 00:38:27.680]   And I intend to do like Tucker's done with the nightly monologue that goes out on X. And I'm really going to try to promote all the other voices and all the other great people that are out there because There's real safety in numbers, and the more people we have with big followings that know what's going on, that stand up for basic human freedom, and transcend left or right, and really just want renaissance, is where we need to go.
[00:38:27.740 --> 00:38:32.784]  And really what Elon Musk has been saying, if we don't have 2.1 children on average, civilization is going to collapse.
[00:38:32.804 --> 00:38:34.505]  Technology is not bad if it's our tool.
[00:38:35.386 --> 00:38:44.112]  So really, I'm going to try to get behind people being prepared, stabilizing the economy, innovating the economy, just like the world economy.
[00:38:45.077 --> 00:38:50.722]  Was stagnant within the things we got out of the space race and NASA helped create the whole new world we have.
[00:38:51.323 --> 00:38:56.827]  I really want to push to get all the disruptive technologies that have been suppressed out to the public.
[00:38:57.068 --> 00:38:59.009]  And again, I think that Elon's the forefront of that.
[00:38:59.049 --> 00:39:00.130]  I'm not trying to kiss his ass.
[00:39:00.170 --> 00:39:00.731]  It's just true.
[00:39:01.491 --> 00:39:04.294]  And so I'm really just going to try to push for peace and justice.
[00:39:05.131 --> 00:39:07.152]  And transparency and unity.
[00:39:07.752 --> 00:39:13.955]  And I'm not going to try to do the clickbait and, you know, buy into the Carnegie and CIA groups that are trying to create racial division.
[00:39:13.975 --> 00:39:19.357]  And I'm not going to try to get into the whole Russian-Ukrainian division or Hamas-Israel division.
[00:39:19.377 --> 00:39:27.320]  I'm going to try to show all the sides of it and just try to find the common ground for peace and justice into the future, not to rebrand myself.
[00:39:28.396 --> 00:39:39.587]  But to show people who I really am, because sure, I was big on hundreds of radio stations and to my own audience, and people would still just see the little clips that would go viral, you know, the more hilarious or extreme or even satirical things.
[00:39:40.448 --> 00:39:43.872]  And so now I'm going to really, really try to get my identity back.
[00:39:44.772 --> 00:39:48.754]  Really from a selfish position, too, because it's hurt my family a lot.
[00:39:48.774 --> 00:39:50.655]  So I don't care much about myself, really.
[00:39:50.675 --> 00:39:52.536]  I've got thick skin.
[00:39:53.016 --> 00:39:56.938]  But it's been rough for my family, you know, what they did turning me into Hitler 2.0.
[00:39:57.998 --> 00:40:04.461]  And so I'm really going to try to put a lot of content out, like I did on Tucker, so people can actually hear who I really am.
[00:40:04.661 --> 00:40:07.102]  And so we can just come together and move forward, not kill each other.
[00:40:08.463 --> 00:40:13.705]  Brian, before we move on to the war in Ukraine and the war in Gaza, I'll give you the mic for a quick question.
[00:40:14.699 --> 00:40:22.785]  Yeah, so before I ask you a question, I just want to say we're probably about as far politically away from each other as anybody can get.
[00:40:23.226 --> 00:40:25.287]  I disagree with you on probably so much.
[00:40:26.568 --> 00:40:28.209]  But I think dialogue is key.
[00:40:29.070 --> 00:40:35.435]  And I think I even advocated for your banning at one point, probably in 2017 or something like that.
[00:40:35.915 --> 00:40:41.680]  And when we were banned in 2019, you were literally the only person to actually speak out for us.
[00:40:42.120 --> 00:40:43.581]  So I thank you for that.
[00:40:45.459 --> 00:40:53.803]  So, I guess my question would be, like, what are your thoughts about the Nuax community notes?
[00:40:53.883 --> 00:40:55.623]  Obviously, that's going to help fact-checking.
[00:40:56.344 --> 00:40:57.864]  Have you played around with community notes?
[00:40:57.884 --> 00:40:59.085]  Do you understand how that works?
[00:40:59.465 --> 00:41:03.827]  And how do you think that's going to be used, whether it's for you or against you?
[00:41:04.887 --> 00:41:06.268]  I welcome community notes.
[00:41:06.788 --> 00:41:09.909]  I mean, I think that it's not censorship, it's a community square.
[00:41:09.929 --> 00:41:14.807]   So if I got up in the community square and I said the moon was made out of cheese, or
[00:41:14.807 --> 00:41:20.168]   that we should kill all the black people, both things are not true, then people come
[00:41:20.168 --> 00:41:23.447]   up to the square and say, "No, the moon's not made out of cheese," or they come up and
[00:41:23.447 --> 00:41:26.288]  say, "No, we shouldn't kill all the white people or anybody."
[00:41:26.288 --> 00:41:31.608]   So whatever the crazy statement is, the answer is being able to respond to it.
[00:41:31.608 --> 00:41:37.608]   And so I really welcome community notes because then it's not some big corporation like Microsoft
[00:41:37.608 --> 00:41:41.729]   with their news guard, who's got one of the worst records actually of truthfulness out
[00:41:41.729 --> 00:41:46.449]   there, telling you that they're the arbiter of truth and using sly methods like Snopes
[00:41:46.449 --> 00:41:49.489]  and others do to deceive people.
[00:41:49.530 --> 00:41:52.892]  I welcome, I welcome people correcting me.
[00:41:52.932 --> 00:41:57.980]   You know, when I'm on the radio slash TV doing my weekday shows, The globalists want everything to be ugly.
[00:41:57.800 --> 00:42:01.000]   I've got a crew and they're running it and they don't tell me what to say or do, but
[00:42:01.000 --> 00:42:05.200]   a couple times a day they said, "Hey, you just set a date wrong," or "You just said
[00:42:05.200 --> 00:42:10.880]   something that they know is wrong," and then I correct it because I never consciously get
[00:42:10.880 --> 00:42:11.880]  something wrong.
[00:42:11.880 --> 00:42:16.080]  The globalists want everything to be ugly.
[00:42:16.080 --> 00:42:20.120]   The CIA admits that to demoralize you, but no, the world's beautiful.
[00:42:20.120 --> 00:42:21.760]  Our minds are beautiful.
[00:42:21.710 --> 00:42:22.871]  Our potential is incredible.
[00:42:23.391 --> 00:42:29.275]  So for myself and the InfoWars family, to all the InfoWarriors, we love you on this Christmas Eve.
[00:42:30.196 --> 00:42:35.579]  The whole universe is a wonderland of free will and consciousness.
[00:42:36.660 --> 00:42:43.744]  So, for myself and the whole crew and my family, we love you InfoWarriors, and we care about you, and we're thinking about you tonight.
[00:42:45.085 --> 00:42:47.667]  And we're fighting hard for all our future destinies together.
[00:42:49.087 --> 00:42:55.336]  We're gonna go to break and come back with more of Spaces on X with myself, Elon Musk, and so many others.
[00:42:55.576 --> 00:42:56.576]  Please stay with us.
[00:42:56.576 --> 00:43:06.215]  I've been on air close to 30 years.
[00:43:06.798 --> 00:43:16.482]  And going back more than, wow, 15 years ago, we began to get massively censored and debanked and harassed in different ways by the globalist deep state.
[00:43:17.162 --> 00:43:24.725]  So when their total censorship and tyranny arrived, the last five years, we were ready to resist it as best as we could.
[00:43:25.405 --> 00:43:29.947]  So, Nietzsche's definitely right that that which does not kill you only makes you stronger.
[00:43:30.507 --> 00:43:41.433]  But really, it's been God working through the audience of viewers and listeners who've been steadfast supporters, spreading the word, praying for us, buying the products, sharing the clips, the articles, the videos.
[00:43:42.270 --> 00:43:47.273]  This really allowed us to survive, and when it comes to exposing the globalists, thrive.
[00:43:47.854 --> 00:44:00.642]  So as Christmas approaches 2023, I wanted to take some time out to say that I'm thankful for all the viewers and listeners, and I meet you all over the streets of Austin and all over the country and all over the world, and I really love you and I appreciate you.
[00:44:01.223 --> 00:44:12.130]  And because they started taking our sponsors away from us more than 15 years ago, we began to move away from sponsors and sell products directly to the population.
[00:44:12.650 --> 00:44:16.792]  And we always went out and tried to find hot, cool products that already had great reviews.
[00:44:17.312 --> 00:44:18.772]  That way, we knew we were selling a good product.
[00:44:18.872 --> 00:44:19.773]  I would try them out myself.
[00:44:20.373 --> 00:44:25.375]  And over the last 15 years, we've gotten really, really good at bringing you amazing products.
[00:44:26.095 --> 00:44:29.516]  And now, we have the best books, the best films.
[00:44:30.136 --> 00:44:35.498]  Really, everything we sell on the site is very high quality, but at a very, very competitive price.
[00:44:35.918 --> 00:44:44.372]   Whether it's the storable foods, Whether it's the water filtration, whether it's the supplements, whether it's the books, the films, they're amongst the very, very best.
[00:44:45.033 --> 00:44:48.035]  And you're funding an operation fighting the globalists.
[00:44:48.575 --> 00:44:54.139]  So even if you bought this stuff at a big box store, whose owners are anti-freedom, anti-human, you'd still be getting a great product.
[00:44:54.539 --> 00:45:01.484]  But when you buy these products from us, you are supporting an organization, an operation that's not submitting to tyranny.
[00:45:01.804 --> 00:45:08.364]   So we kind of created the model of a political talk show, funding itself with direct sales.
[00:45:08.364 --> 00:45:12.043]   And now more and more are doing it because they've been censored, they've been shut down.
[00:45:12.043 --> 00:45:17.443]   So for all the years we've been fighting together, I want to thank all the InfoWars viewers and listeners,
[00:45:17.443 --> 00:45:20.443]   the InfoWars family, because we're still here because of you.
[00:45:20.443 --> 00:45:27.084]   And now Christmas 2023 is here, and we have the biggest sales of the year every Christmas,
[00:45:27.084 --> 00:45:29.804]   and a lot of products that have been sold that are now back in stock.
[00:45:29.896 --> 00:45:37.322]  I'm happy to announce we have storewide free shipping, double Patriot points, 10% off when you sign up for auto ship on your next order.
[00:45:37.362 --> 00:45:40.445]  That way, stuff that's sold out is held back for you, so it's not sold out.
[00:45:41.005 --> 00:45:44.226]  And up to 60% off on these best-selling products.
[00:45:44.326 --> 00:45:46.747]  And finally, TurboForce.
[00:45:46.767 --> 00:45:50.988]  10 hours of clean energy is finally back in stock.
[00:45:51.629 --> 00:45:55.690]  The top of the line, the strongest, the Godzilla of nootropics.
[00:45:56.050 --> 00:45:59.272]  of energy, a brain boost, turbo force back in stock.
[00:45:59.832 --> 00:46:03.014]  X2 sold out for more than a year, got a limited supply in.
[00:46:03.414 --> 00:46:05.335]  Unfortunately, it's about to sell out.
[00:46:05.355 --> 00:46:12.559]  Despite that, we've got it at 25% off, but it's going to go to full price before Christmas hits, so take advantage of that right now.
[00:46:12.919 --> 00:46:22.825]  We also have down-and-out sleep support, a whole bunch of natural, known, strong, organic compounds that give you deep, restful sleep that's so good for your immune system, your body, everything.
[00:46:23.105 --> 00:46:27.067]   Real Red Pill Plus, VitaMineral Fusion, Body's Ultimate Turmeric Formula.
[00:46:27.948 --> 00:46:31.131]  It's all there at infowarstore.com.
[00:46:31.151 --> 00:46:32.312]  You can also call toll-free.
[00:46:32.352 --> 00:46:39.478]  If you'd like to order that way, 888-253-3139.
[00:46:39.498 --> 00:46:39.698]  888-253-3139.
[00:46:39.979 --> 00:46:43.302]  But these are great products that enrich your life and to keep us on the air.
[00:46:43.602 --> 00:46:47.165]  That's why I coined the term many years ago, 360Win.
[00:46:47.205 --> 00:46:49.727]  This is a non-zero-sum game.
[00:46:50.027 --> 00:46:51.389]  This is beyond symbiotic.
[00:46:51.889 --> 00:46:53.770]  This doesn't just make us all okay.
[00:46:54.011 --> 00:46:54.671]  We work together.
[00:46:54.911 --> 00:46:56.573]  This empowers us all together.
[00:46:56.873 --> 00:46:59.595]  So please do your Christmas shopping at mfootworkstore.com.
[00:47:00.035 --> 00:47:01.016]  Thank you for your support.
[00:47:01.256 --> 00:47:02.117]  God bless.
[00:47:03.858 --> 00:47:07.941]  Leading a frontal assault on the lies of the New World Order.
[00:47:08.260 --> 00:47:10.260]  It's Alex Jones.
[00:47:10.260 --> 00:47:18.460]  Hey!
[00:47:18.627 --> 00:47:22.410]  We didn't have a nuclear war yet.
[00:47:22.430 --> 00:47:23.670]  2023 is still here.
[00:47:23.690 --> 00:47:27.113]  Hopefully we don't kill ourselves in 2024.
[00:47:27.253 --> 00:47:28.754]  Let it snow.
[00:47:29.194 --> 00:47:34.398]  Let it snow, let it snow.
[00:47:34.418 --> 00:47:35.038]  Woo!
[00:47:35.078 --> 00:47:36.959]  What an adventure to be alive with all of you.
[00:47:37.099 --> 00:47:37.720]  What a blessing.
[00:47:38.340 --> 00:47:39.261]  I am so honored to be here.
[00:47:39.921 --> 00:47:46.985]   Alright, let's go back to this Elon Musk Space is on X. This is the future of things.
[00:47:47.085 --> 00:47:48.768]  And now they're gonna bring video soon.
[00:47:48.788 --> 00:47:50.470]  So you'll have like dozens of people on video.
[00:47:51.030 --> 00:47:52.452]  People calling in via video.
[00:47:52.833 --> 00:47:53.694]  This is the future.
[00:47:53.714 --> 00:47:56.017]  This is... Dinosaur Media is dead a long time ago.
