[00:00:00.109 --> 00:00:01.030]  They will destroy us?
[00:23:39.994 --> 00:23:44.818]  Too old to join a militia, and I was kicked out of Oprah's book club, that fat fuck.
[00:23:46.159 --> 00:23:50.583]  I blame half the shit on her, nobody does, but she started this fucking anti-white whore shit.
[00:23:51.024 --> 00:23:53.446]  I'm trying, I'm fucking very nervous, big day for me.
[00:23:55.467 --> 00:23:57.149]  My career hinges on this gig.
[00:24:00.567 --> 00:24:18.072]  I'm part of my club, honestly, because it's the only source for the truth right now as far as letting people know what's being done to this country and what deep shit we're in thanks to the leftist elitist scum that make up both the mainstream media and that vast criminal enterprise known as the Democrat Party.
[00:24:19.072 --> 00:24:20.713]  Ah, fuck, I want to kill him.
[00:24:23.261 --> 00:24:33.585]  Whether it's confronting brainwashed students on a college campus, calling out politicians on their bullshit, no one has been doing it longer and better than our fearless leader here, Steven Crowder.
[00:24:33.825 --> 00:24:40.825]  Please, more applause for Crowder.
[00:24:40.825 --> 00:24:42.825]  It's Crowder, right?
[00:24:42.808 --> 00:24:43.388]  Is it Crowder?
[00:24:45.529 --> 00:24:51.751]  Mud Club gives you the unvarnished truth, but it does... Jesus, my eyes are going halfway through this thing.
[00:24:53.046 --> 00:24:56.309]  It's like trying to read the ingredients on a protein bar in the fucking font.
[00:24:59.192 --> 00:25:00.834]  But it does it in an entertaining way.
[00:25:01.074 --> 00:25:03.837]  It's a place where you can get the latest news, opinions.
[00:25:05.058 --> 00:25:14.908]  But what makes it different is he backs it up with facts, and all while you're laughing your ass off at the same time, you can't find it anywhere other than here and MSNBC.
[00:25:18.675 --> 00:25:25.840]  I noticed that Crowder and Mug Club were being consistently attacked by platforms that I fucking despise on social media.
[00:25:26.240 --> 00:25:36.788]  YouTube, Facebook, LatinoHouseWives.org, and of course that, you know, that human feces that makes up Twitter.
[00:25:39.510 --> 00:25:44.774]  I was thinking to myself, this guy must be doing something right to be perceived as such a threat to these Stalinist-loving fuckstains.
[00:25:48.475 --> 00:25:48.836]  It is.
[00:25:50.056 --> 00:25:50.877]  No c-word here.
[00:25:51.497 --> 00:25:56.839]  So, when I was approached by Mug Club to enlist in this army, I was like, it was a no-brainer.
[00:25:57.379 --> 00:26:08.504]  I get to say exactly what I want, no matter how offensive this is, without being cancelled or worrying about offending these bed-wetting, thumb-and-cock-sucking leftists.
[00:26:11.693 --> 00:26:16.217]  And without being cancelled on the spot, so I said, put me in coach, I'm ready to play.
[00:26:16.337 --> 00:26:20.720]  So, sure I have two bad hips and I'm a week away from death.
[00:26:20.740 --> 00:26:24.803]  This fucking... I'm scrolling up, you motherfucker!
[00:26:24.964 --> 00:26:27.145]  What the hell's in here?
[00:26:27.225 --> 00:26:27.566]  Nothing.
[00:26:28.867 --> 00:26:29.907]  Here's your real mug club.
[00:26:30.168 --> 00:26:30.368]  Empty.
[00:26:31.434 --> 00:26:44.318]  The fact that Crowder has almost six million subs on his platform, run by people who detest everything he, myself, and all the other shows on his network stand for, speaks to how powerful Mug Club has become.
[00:26:44.338 --> 00:26:55.802]  I just gotta say, stand up... I'm a stand-up comic, and the freedom I get being a part of this, it's priceless.
[00:26:55.862 --> 00:26:57.162]  And Steven, I want to thank you again.
[00:26:57.321 --> 00:27:04.321]  and Long Live Mug Club everybody.
[00:27:04.321 --> 00:27:11.760]   Well you really must be close with Colin Quinn with the prompter issue.
[00:27:11.760 --> 00:27:15.522]   *laughter* You two are enjoined twins.
[00:27:15.542 --> 00:27:16.223]  You're sensitive.
[00:27:16.283 --> 00:27:18.924]  You fucking touch it, it goes 40 feet.
[00:27:20.145 --> 00:27:21.706]  And by the way, Nick's show is still going on.
[00:27:22.026 --> 00:27:25.648]  Our show, Light of the Sky, is going to be coming back Monday, August 14th.
[00:27:27.229 --> 00:27:29.110]  We were hard at work with a lot behind the scenes.
[00:27:29.150 --> 00:27:30.771]  And Nick, your show is Monday through Thursday?
[00:27:30.791 --> 00:27:31.652]  Monday through Thursday.
[00:27:31.672 --> 00:27:32.132]  5 p.m.
[00:27:32.332 --> 00:27:33.573]  Eastern.
[00:27:33.593 --> 00:27:34.153]  5 p.m.
[00:27:34.414 --> 00:27:35.654]  Eastern, so you can still watch that.
[00:27:38.991 --> 00:27:43.113]  So let me get into now some of the new developments here.
[00:27:43.694 --> 00:27:44.834]  And these are some major announcements.
[00:27:44.854 --> 00:27:47.716]  They've taken a long time, and I can't thank the people behind the scenes enough.
[00:27:47.756 --> 00:27:50.157]  And all of this is truly supported by you.
[00:27:50.738 --> 00:27:53.239]  And if you watch the show, you know there are very few sponsorship placements.
[00:27:53.719 --> 00:27:57.141]  We don't generate ad revenue like we've talked about on YouTube and big tech platforms.
[00:27:57.181 --> 00:27:58.542]  So I want to be clear here.
[00:27:59.583 --> 00:28:00.984]  This is Mug Club as a business.
[00:28:02.335 --> 00:28:08.518]  And that's important, because unfortunately there's far too much non-profit influence in the conservative sphere that isn't beholden to you.
[00:28:09.298 --> 00:28:12.120]  These people are appointed, not necessarily elected.
[00:28:12.220 --> 00:28:16.942]  So Mug Club is a business run by you, but it's never been just business.
[00:28:17.542 --> 00:28:18.402]  I've heard that phrase a lot.
[00:28:19.603 --> 00:28:21.504]  If that's what it was, we wouldn't be announcing this next part.
[00:28:21.664 --> 00:28:28.467]  It doesn't make sense from a business standpoint, but it certainly does from a pivotally important for our country point of view.
[00:28:29.508 --> 00:28:30.429]  Investigative journalism.
[00:28:30.969 --> 00:28:31.710]  It's largely dead.
[00:28:32.551 --> 00:28:32.771]  Why?
[00:28:32.791 --> 00:28:37.135]  And we've identified some problems out there and we're doing our best to solve them.
[00:28:37.155 --> 00:28:38.056]  That's what this is about too.
[00:28:38.537 --> 00:28:39.418]  Why is it largely dead?
[00:28:39.758 --> 00:28:41.259]  Because it's not a money-making endeavor.
[00:28:42.188 --> 00:28:49.769]  In a world where journalism is only as valuable as its clicks, or how it exploits the algorithm that day, telling a story from scratch is hard.
[00:28:50.530 --> 00:28:52.930]  Educating an audience from square one is difficult.
[00:28:53.130 --> 00:29:06.733]  Now, finding a story, or in the case of subterfuge, so pervasive, it runs so deep that no one even knows about it in the public, meaning that you are effectively creating that story in the public view.
[00:29:07.453 --> 00:29:08.413]  It's almost impossible.
[00:29:09.246 --> 00:29:14.512]  And this is a problem, by the way, that the industry faces if the algorithm favors regular uploads and consistent clicks.
[00:29:14.712 --> 00:29:15.753]  And that's across all of them.
[00:29:15.793 --> 00:29:16.294]  You know that.
[00:29:16.414 --> 00:29:17.315]  Content creators know that.
[00:29:17.736 --> 00:29:22.841]  You can't really disappear undercover for months and expect to gain any traction when you break your silence.
[00:29:23.547 --> 00:29:25.248]  You're dead, according to the algorithm.
[00:29:25.328 --> 00:29:25.949]  You don't exist.
[00:29:26.289 --> 00:29:36.975]  Even more, depending on the people that you may be exposing, at best the big platforms won't cover it, and media outlets, and most likely they'll actively try to bury it.
[00:29:37.516 --> 00:29:40.057]  Because the enemies of our country, their pockets run deep.
[00:29:41.238 --> 00:29:42.359]  That's a fact that we have to face.
[00:29:43.527 --> 00:29:45.168]  But so does our will, your will.
[00:29:45.308 --> 00:29:56.834]  And so, because this is about a whole lot more than just business, uh, I'm very excited today to announce our first full-time investigative unit, Mug Club Undercover.
[00:29:59.475 --> 00:30:05.518]  ...and our tactics, and I don't think they'll know what hit them, because they're not prepared for what we're planning.
[00:30:06.659 --> 00:30:08.800]  I think the knife explains a lot.
[00:30:08.840 --> 00:30:10.661]  His last ditch is gonna be where I'm down here.
[00:30:14.622 --> 00:30:23.965]  I have 10 years of investigative journalism with sleeper cells in every major metropolitan area from coast to coast.
[00:30:23.985 --> 00:30:34.388]  The Mud Club Army will for the first time allow our experienced field operatives to track down leads, expose corruption, bring light to the shadows, whatever it is.
[00:30:39.121 --> 00:30:39.982]  Are there children in there?
[00:30:40.542 --> 00:30:41.442]  I haven't been in there.
[00:30:41.261 --> 00:30:42.261]  I do not think so.
[00:30:42.261 --> 00:30:48.511]   Through MudClippers, we can now do so free from any constraints of corporate media or the strings of the
[00:30:48.511 --> 00:30:49.261]  government laws.
[00:30:49.261 --> 00:30:55.491]   Beyond the infrastructure support, MudClippers yourself will be able to play a role in holding the Fed Senate and
[00:30:55.491 --> 00:30:57.261]  in our country accountable.
[00:30:57.261 --> 00:31:04.261]   For sending us your own leads and stories, we will be protected with ironclad anonymity.
[00:31:04.354 --> 00:31:17.622]  We have set up an encrypted tip line at LWCTipsAtProtonMail.com, where our investigative journalists await your alerts and will work with you to ensure a voice for the horses.
[00:31:20.489 --> 00:31:26.353]  You have his text, and you have confirmation, photographic confirmation, that he was at a place where he would have been with his dad!
[00:31:26.673 --> 00:31:30.156]  That, in and of itself, does open you up to a national security issue.
[00:31:30.176 --> 00:31:31.177]  So this is the problem.
[00:31:31.277 --> 00:31:33.518]  Is the law enforced equally?
[00:31:33.538 --> 00:31:35.320]  I'm not trying to, like, be a provocateur.
[00:31:35.340 --> 00:31:36.640]  I'm just trying to get a real answer.
[00:31:36.660 --> 00:31:38.162]  Because they never give a real answer.
[00:31:38.922 --> 00:31:48.922]   How do you thread that needle of inclusivity, being welcoming while also stopping some fentanyl?
[00:31:48.922 --> 00:31:59.922]   We will never surrender our sources. We will never compromise on the truth. And our pursuit
[00:31:59.922 --> 00:32:04.312]  of those who live in the shadows deep will never, ever stop.
[00:32:04.312 --> 00:32:06.922]  Our eyes and ears are everywhere.
[00:32:06.922 --> 00:32:13.922]   We are America. We are America. We are America. We are Mexico. America.
[00:32:13.922 --> 00:32:26.922]  A little scarier than I intended, but you...
[00:32:26.813 --> 00:32:31.114]  We're not going to kill anybody, just to be clear.
[00:32:32.314 --> 00:32:40.595]  So, we have the Mug Club Undercover Investigative Journalism Unit, we have Brian Callen's special, his new show, and of course you already have our show, you have Nick DiPaolo, you have the Friday Show, all this stuff at Mug Club.
[00:32:41.556 --> 00:32:46.296]  Guns and Gear, of course, who's been, thank God he was a consultant, because that would have been wildly unsafe that day at the range.
[00:32:47.417 --> 00:32:49.697]  Heat stroke and automatic weapons, legal.
[00:32:50.857 --> 00:32:53.058]  The next creator announcement.
[00:32:53.378 --> 00:32:54.478]  What can I say about these guys?
[00:32:56.033 --> 00:33:04.158]  And this is also the story today, if you look at Nick and you look at Brian and you look at our show, you look at Mr. Guns and Gear, it's from the bottom up.
[00:33:05.174 --> 00:33:08.317]  No one told you that these are the guys you should be paying attention to.
[00:33:08.357 --> 00:33:10.920]  These are people who built this over the long haul.
[00:33:10.940 --> 00:33:12.762]  They had to play the long game, and it's a lot harder to.
[00:33:12.842 --> 00:33:17.587]  So these next guys, they didn't come through this with a non-profit, their backing.
[00:33:17.907 --> 00:33:19.649]  They weren't built by a conservative billionaire.
[00:33:19.850 --> 00:33:20.791]  They weren't even political.
[00:33:21.571 --> 00:33:26.617]  They were just massively popular YouTubers in the bodybuilding community when YouTube was really just getting started.
[00:33:27.498 --> 00:33:27.998]  I was a fan.
[00:33:28.579 --> 00:33:30.160]  And so I invited them on the show as guests.
[00:33:30.500 --> 00:33:39.968]  And on that very show, we not only found out that we shared values, but the world literally found out for the first time that they voted for Mitt Romney because they were just that disappointed with Barack Obama.
[00:33:41.029 --> 00:33:41.949]  As black twins.
[00:33:44.631 --> 00:33:45.953]  So that began their journey.
[00:33:45.993 --> 00:33:48.675]  And as they began to speak out more, they were penalized more.
[00:33:48.715 --> 00:33:49.735]  Videos were demonetized.
[00:33:49.775 --> 00:33:50.756]  Social media was throttled.
[00:33:50.776 --> 00:33:51.437]  They were shadowbanned.
[00:33:51.637 --> 00:33:52.738]  But something else changed.
[00:33:53.732 --> 00:33:59.676]  Their audience, suddenly their live shows, were filled with people who were there not just to laugh, but who had their backs.
[00:34:00.056 --> 00:34:01.918]  And that really is one of the beautiful things about Mug Club.
[00:34:01.938 --> 00:34:08.502]  No matter how much the enemy tries to create cracks, we have each other's backs here, and we know that you have ours, and we're incredibly grateful.
[00:34:08.723 --> 00:34:13.566]  We'd much rather owe you a favor than Big Tech or some sponsors.
[00:34:14.246 --> 00:34:15.147]  That's why we keep it limited.
[00:34:15.507 --> 00:34:23.093]  This is, again, the organic story of already successful men who transformed their priorities right in front of your eyes.
[00:34:23.985 --> 00:34:25.365]  From the bottom up, not the top down.
[00:34:25.645 --> 00:34:31.167]  And I think their transition could be considered complete at this point when they started using the username, uh, Conservative Twins.
[00:34:32.387 --> 00:34:38.809]  So now, with no more Patreon, no more tip jars, and that's a big part of Mug Club too, I think a lot of people have tip jar fatigue.
[00:34:38.889 --> 00:34:40.330]  This Patreon, this tip jar.
[00:34:40.630 --> 00:34:45.051]  You want to support people, but it's tough to do because everyone is there with their hand out because they have to make a living.
[00:34:45.351 --> 00:34:48.652]  Well, here at Mug Club, these people get to make the same living.
[00:34:49.392 --> 00:34:51.873]  They get to leave whenever they want because we want to be a family.
[00:34:51.893 --> 00:34:53.414]  We want to trust in each other.
[00:34:53.834 --> 00:34:57.036]  But you get one place with more bang for your buck.
[00:34:57.716 --> 00:34:59.817]  So now these guys, no more Patreon tip jars.
[00:34:59.837 --> 00:35:00.698]  I don't know what they're using anymore.
[00:35:00.718 --> 00:35:02.358]  If it's Stripe, they'll be banned soon.
[00:35:03.899 --> 00:35:07.921]  They're going to be exclusively members of the Mug Club Army and their show is launching October 1st.
[00:35:08.581 --> 00:35:10.522]  A full weekly show for the first time.
[00:35:11.003 --> 00:35:12.223]  Hodgetwins Uncensored.
[00:35:12.043 --> 00:35:19.043]   They couldn't be here today, so I give you the reel of the Hodge twins.
[00:35:19.043 --> 00:35:26.043]  [music]
[00:35:26.043 --> 00:35:29.043]  My dad is a peaceful cat.
[00:35:29.288 --> 00:35:29.588]  What?
[00:35:29.789 --> 00:35:30.950]  Like, black Africa?
[00:35:30.970 --> 00:35:32.491]  Gays from Zimbabwe.
[00:35:32.792 --> 00:35:33.973]  That place is a shithole.
[00:35:34.213 --> 00:35:38.718]  We talk about my reparations for my ancestors' pain and suffering.
[00:35:38.758 --> 00:35:39.039]  Yeah.
[00:35:39.079 --> 00:35:40.540]  It's time for me to get paid.
[00:35:40.881 --> 00:35:41.942]  Time to make us whole.
[00:35:42.382 --> 00:35:42.642]  Damn.
[00:35:42.662 --> 00:35:42.783]  Damn.
[00:35:43.063 --> 00:35:45.485]  That's just gays sending me pictures of you flexing.
[00:35:45.666 --> 00:35:46.266]  Who do I look like?
[00:35:46.326 --> 00:35:47.047]  Justin Smollett?
[00:35:47.087 --> 00:35:48.168]  You gay as hell, man.
[00:35:48.989 --> 00:35:50.330]  I don't do that Dave stuff.
[00:35:50.390 --> 00:35:53.571]  Well, just because you use Dave Prodan doesn't mean you can't talk trash about him.
[00:35:53.751 --> 00:35:55.872]  You know Dave's a dumbass, right?
[00:35:55.912 --> 00:35:58.193]  You guys said you voted for Obama at least the first time, right?
[00:35:58.213 --> 00:35:59.554]  First time, second time, Mitt Romney.
[00:35:59.934 --> 00:36:00.314]  Yeah.
[00:36:00.574 --> 00:36:01.174]  Oh, wow.
[00:36:01.635 --> 00:36:02.435]  That's surprising.
[00:36:02.615 --> 00:36:04.356]  Because he's like the whitest guy ever.
[00:36:04.436 --> 00:36:05.096]  He's pretty white.
[00:36:05.116 --> 00:36:08.138]  I get a little scared of being falsely accused of rape.
[00:36:08.918 --> 00:36:09.758]  It's dark sometimes.
[00:36:10.679 --> 00:36:15.679]   I'm saying that Mug Club might be more necessary than ever because YouTube has become a liberal f***hole.
[00:36:15.679 --> 00:36:34.689]   And by the way, there's a video that they'll be releasing on social regarding their new show and what you can expect
[00:36:34.689 --> 00:36:35.679]  from them here at Mug Club.
[00:36:35.797 --> 00:36:37.938]  And frankly, we don't entirely know.
[00:36:39.139 --> 00:36:40.560]  It's gonna be good.
[00:36:40.580 --> 00:36:40.780]  Yeah.
[00:36:40.940 --> 00:36:42.741]  I mean, they do everything together.
[00:36:42.761 --> 00:36:44.061]  They live in a duplex next to each other.
[00:36:44.081 --> 00:36:46.102]  They go to the bathroom together when they're here in the studio.
[00:36:47.343 --> 00:36:48.003]  But they're gentlemen.
[00:36:48.203 --> 00:36:48.924]  Not a joke.
[00:36:49.004 --> 00:36:49.604]  It's not a joke.
[00:36:51.963 --> 00:37:04.991]  So, of comedy specials, we have new shows, The Investigative Unit, which we've discussed, and again, you get a free shirt at ladoscreditor.com slash Mug Club, but we have another announcement to make regarding a new acquisition here.
[00:37:05.071 --> 00:37:07.193]  And by the way, I'll be taking your chats here after this.
[00:37:07.233 --> 00:37:15.057]  We'll be taking some questions from the press, so you can send your chats in right now on Mug Club, and we'll be releasing more information regarding some of the developments.
[00:37:15.778 --> 00:37:19.185]   But this is one that we're all Pretty excited about.
[00:37:19.886 --> 00:37:23.428]  And again, if it was just business, it wouldn't make sense.
[00:37:27.930 --> 00:37:37.294]  This is a man who was removed from the platforms of Apple, Spotify, Google, Facebook, Meta, X, whatever the hell it is, all on the same day.
[00:37:37.594 --> 00:37:38.615]  But there's no coordination.
[00:37:38.635 --> 00:37:40.536]  It's just coincidence.
[00:37:41.903 --> 00:37:44.904]  And there were, by the way, many people back then who said, well, that's just him.
[00:37:45.604 --> 00:37:46.484]  He's too extreme.
[00:37:46.984 --> 00:37:47.984]  That's just an isolated case.
[00:37:48.024 --> 00:37:48.805]  It won't happen to me.
[00:37:49.185 --> 00:37:51.485]  Well, are you paying attention now?
[00:37:54.146 --> 00:38:01.408]  And so people, who we all expect to stand in the line of fire, who are supposed to be brothers in arms, tucked tail and ran.
[00:38:02.368 --> 00:38:08.869]  They struck plea bargains with the platforms, who for a period of time would punish anyone who even hosted him as a guest.
[00:38:10.390 --> 00:38:11.390]  This is the canary in the coal mine.
[00:38:13.117 --> 00:38:16.559]  These people at these big tech platforms, they tell you that they'll never come for you.
[00:38:17.059 --> 00:38:26.643]  That you can keep your tens of millions in revenue, or millions that you make from their platforms, and really all that means is that if you're lucky, really lucky, they'll kill you last.
[00:38:27.584 --> 00:38:30.645]  Well, they tried to kill this next man first.
[00:38:32.066 --> 00:38:34.387]  And if he's honest, he'll tell you they almost did.
[00:38:34.407 --> 00:38:36.768]  They did a lot of damage.
[00:38:37.779 --> 00:38:47.023]  But if there's one thing you can say about this man, love him or hate him, is that he will fight for this country with every last breath in his body, and he just won't die.
[00:38:47.823 --> 00:39:04.090]  So it's with as much pride that I can convey, and as much surprise, by the way, as you, in landing this white whale, the number one draft pick, without a doubt, out there, that for the first time he will launch his subscription network exclusively under the Mug Club umbrella, starting with his new Friday show.
[00:39:04.955 --> 00:39:18.184]  On August 18th, ladies and gentlemen... I don't like them putting chemicals in the water that turn the friggin' frogs gay!
[00:39:20.186 --> 00:39:21.106]  Hitler took the guns.
[00:39:21.386 --> 00:39:22.427]  Stalin took the guns.
[00:39:22.667 --> 00:39:23.588]  Mao took the guns.
[00:39:23.608 --> 00:39:25.089]  Manel Castro took the guns.
[00:39:25.109 --> 00:39:26.510]  Hugo Chavez took the guns.
[00:39:27.971 --> 00:39:32.371]  And if you try to take our guns, 1776 will commence again!
[00:39:32.371 --> 00:39:34.371]  [music]
[00:39:34.371 --> 00:39:36.371]  [music]
[00:39:36.371 --> 00:39:41.721]   Sticking with Facebook, it is one of several companies today that are limiting the content of Far Right podcast
[00:39:41.721 --> 00:39:42.371]  InfoWars.
[00:39:42.374 --> 00:39:47.617]  Facebook, Apple, and YouTube have all taken down content from Jones and his InfoWars channel.
[00:39:47.717 --> 00:39:51.598]  Whenever I talk about Alex Jones, my wife will not let me into the house until I've been deloused.
[00:39:51.959 --> 00:39:56.961]  Anyone who believes in Alex Jones and believes these theories, you really gotta go get help.
[00:39:56.881 --> 00:40:01.881]  Alex Jones has been ordered to pay 965 million dollars.
[00:40:01.881 --> 00:40:06.881]  Look how there's a move to control information.
[00:40:06.842 --> 00:40:07.743]  It's always been.
[00:40:08.143 --> 00:40:12.246]  And it ought to scare people, but you've got a move to indoctrinate the children of America.
[00:40:12.466 --> 00:40:16.729]  If they can get you to be part of a group, an environmentalist, or part of your minority group.
[00:40:16.769 --> 00:40:21.552]  Black, Latino, and indigenous people are suffering and dying disproportionately.
[00:40:21.572 --> 00:40:24.754]  The most dangerous terrorist threat to our homeland is white supremacy.
[00:40:24.774 --> 00:40:28.917]  They'll have their little tailor-made people that they're bought and paid for to claim to be your leader.
[00:40:29.417 --> 00:40:31.879]  We're looking at a giant war in February right now.
[00:40:32.439 --> 00:40:33.700]  Currently, that's the projection.
[00:40:35.141 --> 00:40:47.427]  There's an entire agenda afoot to force the population to undergo different type of medical treatments, namely vaccines.
[00:40:47.947 --> 00:40:57.853]   In 2002, there is a tyrannical organization calling itself the New World Order, pushing for Worldwide government.
[00:40:58.213 --> 00:40:59.634]  A cashless society.
[00:40:59.934 --> 00:41:01.835]  If any terrorism comes, it's from this government.
[00:41:02.296 --> 00:41:13.724]  And if there was an outside threat like a Bin Laden, who was a known CIS in the 80s, running the Mujahideen War, and whose family builds all the military bases over in Saudi Arabia right now, this isn't the board of Iridium Satellite.
[00:41:13.924 --> 00:41:15.105]  He's the boogeyman they need.
[00:41:16.314 --> 00:41:17.394]  I've been shadowbanned.
[00:41:18.174 --> 00:41:19.475]  I've been called a liar.
[00:41:20.195 --> 00:41:23.656]  I've been silenced on virtually every platform created by man.
[00:41:24.336 --> 00:41:26.657]  My life has been threatened, repeatedly.
[00:41:27.237 --> 00:41:29.797]  They've tried to destroy me, but I've survived.
[00:41:31.338 --> 00:41:33.518]  And that's why I'm joining Mug Club.
[00:41:37.599 --> 00:41:40.599]  Alex Jones, everybody!
[00:41:40.599 --> 00:41:52.599]  [applause]
[00:41:52.599 --> 00:41:53.599]  Thank you.
[00:41:53.759 --> 00:41:55.161]  Listen, I want to thank everybody tuning in.
[00:41:55.181 --> 00:41:58.506]  I want to thank everybody tuning in right now, but I'm going to be deadly serious here.
[00:41:58.767 --> 00:42:00.767]  I've not been this excited ever!
[00:42:00.767 --> 00:42:02.767]  [Cheering]
[00:42:02.767 --> 00:42:04.767]  Mud Club baby! Wow!
[00:42:04.767 --> 00:42:06.767]  So, I've known Stephen for more than 10 years.
[00:42:06.767 --> 00:42:08.327]  Don't, Steven, for more than 10 years.
[00:42:08.268 --> 00:42:09.909]  I used to, you know, beg him to come on my show.
[00:42:09.949 --> 00:42:12.651]  Always a really busy guy, and he's been a bit of a popper forever.
[00:42:14.092 --> 00:42:19.296]  But we kind of knew each other, but as soon as I got deplatformed, he saw it as a threat and he said, I want you on immediately.
[00:42:19.316 --> 00:42:25.140]  The day after, when everybody else was running away, including my friends, he was like, no, this is a danger to everybody.
[00:42:25.180 --> 00:42:25.921]  I see what this is.
[00:42:26.721 --> 00:42:29.483]  And then again, everybody else was shutting down during the lockdown.
[00:42:29.503 --> 00:42:30.183]  I didn't.
[00:42:30.383 --> 00:42:30.743]  He didn't.
[00:42:31.224 --> 00:42:33.925]  And so it's that type of instinctive courage that I really respect.
[00:42:33.945 --> 00:42:35.966]  We've become good friends the last three or four years.
[00:42:36.026 --> 00:42:37.747]  Since then, I love coming up here.
[00:42:37.767 --> 00:42:38.388]  I love the energy.
[00:42:38.408 --> 00:42:51.787]   And let's be clear, InfoWars isn't going anywhere or Austin Operation, my regular show that's on talk radio everywhere, but We've been talking for years about some type of collaboration and he had to move from where he was to trailblaze and do this.
[00:42:52.588 --> 00:42:54.429]  And what's incredible is it's succeeding.
[00:42:54.629 --> 00:42:55.470]  But here's the key.
[00:42:56.171 --> 00:43:00.494]  We don't just have the left and the globalists and big tech and the intelligence agencies.
[00:43:00.934 --> 00:43:10.341]  We now know that we're censoring and controlling and suppressing election information and vaccine information and open border and human trafficking information, fentanyl info and Afghan withdrawal info.
[00:43:11.481 --> 00:43:27.408]   It's the big think tanks that Crowder alluded to earlier that are so-called conservative that have billions of dollars over the last decade to buy and control the populist, nationalist, common-sense capitalist movement that this country was founded on that made it the apple of the world's eye.
[00:43:28.129 --> 00:43:34.311]  And so we're not just challenging the left and Hollywood and Big Tech, we're challenging Conservative Inc.
[00:43:34.331 --> 00:43:44.253]   And that didn't make sense to some people that weren't You clued in on the inside of what really goes on six months ago when Crowder was making a big deal about the other big conservative platforms that aren't conservative.
[00:43:44.493 --> 00:43:54.179]  They interface with YouTube and Facebook and before Twitter was sold to Musk and literally sit around in smoky rooms laughing at the conservatives.
[00:43:54.479 --> 00:43:55.159]  And I've been around it.
[00:43:55.199 --> 00:44:00.063]  It's disgusting to people that have authenticity like Steven Crowder and this incredible crew.
[00:44:00.643 --> 00:44:01.964]  These are real people.
[00:44:02.004 --> 00:44:02.184]  No.
[00:44:02.364 --> 00:44:03.645]  These are real people right here.
[00:44:04.738 --> 00:44:11.065]  Gerald Morgan, all of these comedians, all these people have turned down tens of millions of dollars to tell the truth.
[00:44:11.726 --> 00:44:17.872]  I mean, there's people out there like Ted Nugent lost probably a hundred million dollars the last six, seven years supporting Trump.
[00:44:17.892 --> 00:44:18.513]  It's been in the news.
[00:44:18.753 --> 00:44:20.435]  Just no more stadiums, no more nothing.
[00:44:21.096 --> 00:44:22.157]  It's over for him.
[00:44:22.197 --> 00:44:23.658]  So there's not many people like that.
[00:44:23.698 --> 00:44:25.060]  Probably should bring Ted Nugent over here.
[00:44:27.302 --> 00:44:30.884]  What I'm getting down to is we need an independent network that isn't controlled.
[00:44:31.124 --> 00:44:37.868]  And I'm sorry, Twitter is better than some of the other so-called conservative or open platforms, but it's still not even halfway free.
[00:44:38.469 --> 00:44:43.511]  Yeah, halfway free feels better than no free, and I'm not even criticizing Twitter, it's just not free.
[00:44:43.972 --> 00:44:50.656]  So many really effective people that expose Communist China and certain owners of Twitter's connection to it, they're all still censored.
[00:44:51.516 --> 00:44:55.755]   not Mug Club. And I know the plan that Crowder has, he's told me about it, he's told you a lot about it,
[00:44:55.755 --> 00:45:00.795]   is to literally bring on hundreds of providers, and I guess the long term even thousands,
[00:45:00.795 --> 00:45:05.755]   and then use the great folks at Rumble that really are free and open to energize this.
[00:45:05.755 --> 00:45:09.675]   So people always say, "Hey, if you want your own internet, why don't you build it? Or you want your
[00:45:09.675 --> 00:45:14.555]   own platform, build it." Well, it's very hard to do, but he's been able to do it because of you,
[00:45:14.555 --> 00:45:16.875]  the Mug Club members, and that gives him that independence.
[00:45:17.075 --> 00:45:28.424]  So you literally aren't just the tail of the dog, you're the whole shoot match, you're the whole dog, the teeth, the brain, you know, the feet, the guts, the heart, the brain, the eyes and ears with the investigative unit and everything.
[00:45:28.684 --> 00:45:32.627]  You are this operation, and if you get excited about this, it's game over for the New World Order.
[00:45:32.947 --> 00:45:36.146]   Listen, we came and founded a new country to get away from tyranny.
[00:45:36.146 --> 00:45:39.267]   We weren't perfect, but it became the freest, greatest thing ever.
[00:45:39.267 --> 00:45:45.907]   So it's that the Israelites left Egypt under Rameses II, and they've now dug up all the
[00:45:45.907 --> 00:45:47.987]  tablets and the history, and that's a true story.
[00:45:47.987 --> 00:45:48.986]  It really happened.
[00:45:48.986 --> 00:45:50.986]  It's on the Egyptian hieroglyphs as well.
[00:45:50.986 --> 00:45:55.347]   So Stephen Crowder and the Mug Club and this whole operation is literally leading everybody
[00:45:55.347 --> 00:45:59.907]   out of Egypt, and we don't have to wait 50 years or 40 years to cross the River Jordan,
[00:46:00.271 --> 00:46:01.372]  We're doing it right now.
[00:46:01.672 --> 00:46:03.772]  It's already launched, out of the gate successful.
[00:46:04.012 --> 00:46:11.996]   That is a true American success story of dedication, work, not backing down, and it challenges The entire system.
[00:46:12.036 --> 00:46:27.866]  So when this is successful, and it already is, but I mean super successful, it will then be the example to all the other big so-called conservative populist talk show hosts who don't like serving the globalists but are too scared to buck them to let them then have the courage to follow us.
[00:46:28.226 --> 00:46:30.268]  So this is true leadership.
[00:46:30.828 --> 00:46:33.630]  and history that you're watching right now today.
