[00:00:04.622 --> 00:00:08.035]  You're gonna pay somewhere between 20% and 40% less than those other countries.
[00:24:11.118 --> 00:24:23.549]   It looks like making accessible spaces and having conversations that are aware of the fact The fact that people have different bodies and that they are interacting with space and people and institutions and communities in a different way.
[00:24:23.809 --> 00:24:29.814]  Fat Liberation looks like fully embracing those differences and having those conversations instead of shying away from them.
[00:24:30.054 --> 00:24:38.542]  To learn more about Fat Liberation and the campaign for size freedom that Dove is supporting, visit dove.com forward slash size freedom.
[00:24:38.642 --> 00:24:41.324]  Tap in, join the campaign, support the campaign.
[00:24:41.364 --> 00:24:43.346]  This is important and we should all be talking about it.
[00:24:44.281 --> 00:24:56.891]  The Dove Soap Company is facing criticism for promoting the fat acceptance and body positivity movement by hiring a morbidly obese BLM activist who at one time falsely accused a female college student of making a racist remark.
[00:24:57.751 --> 00:25:08.956]  Last week, the Unilever-owned soap brand announced it had partnered with University of Virginia student Zianna Bryant to lead their movement to end body size discrimination.
[00:25:08.996 --> 00:25:12.778]  It's funny how they call it a movement, given that it involves people who don't move at all.
[00:25:13.098 --> 00:25:14.498]  The new face of Dove soap.
[00:25:14.578 --> 00:25:17.360]  Will you still buy at Dove products after this?
[00:25:18.180 --> 00:25:25.183]  My belief is that we should be centering the voices and brand experiences of the most marginalized people and communities at all times, Brandt22 said in the video that we just watched.
[00:25:25.864 --> 00:25:31.986]  And this all in the context of the fact that she defamed someone and falsely accused them of racism.
[00:25:32.006 --> 00:25:34.588]  This ties in directly with what we were talking about with Russell Brandt, right?
[00:25:34.608 --> 00:25:36.909]  They'll come out, they'll falsely accuse you of sexual assault.
[00:25:38.349 --> 00:25:43.952]  They'll defame you and they will do everything they can to do things like alienate best friends from over 10 years of wanting to be associated with you.
[00:25:45.219 --> 00:25:56.187]  And then when they are proven to falsely come out against you with accusations of either sexual assault or racism, they will still be sponsored by major brands like Dove.
[00:25:57.909 --> 00:26:06.876]  And given major opportunities, is this Dove moment synonymous with what we saw with the Bud Light issues earlier this year?
[00:26:07.316 --> 00:26:14.862]  Why is it that these major corporations are making these decisions that they know or they must know from a business perspective?
[00:26:15.101 --> 00:26:17.581]  are only going to alienate half of their audience.
[00:26:17.581 --> 00:26:23.181]   Like the smart businesses out there don't take a political stance on controversial issues
[00:26:23.181 --> 00:26:28.061]   like this because they know that it's going to alienate the market, divide their market,
[00:26:28.061 --> 00:26:29.981]  split their consumer base in half.
[00:26:29.981 --> 00:26:32.861]   It happens time and time again, yet they keep making these decisions.
[00:26:32.861 --> 00:26:37.421]   Is it just because they're hiring stupid people who don't understand business and only think
[00:26:37.421 --> 00:26:41.741]  in the context of social justice and collectivism and Marxism?
[00:26:41.915 --> 00:26:43.996]  Is it literally just incompetence?
[00:26:44.476 --> 00:26:46.017]  Or is there a reason that they're doing this?
[00:26:46.057 --> 00:26:50.939]  Like, we've seen in recent reports that ESG is something that sort of seems to be on the fall.
[00:26:51.519 --> 00:27:06.151]  Right, this environmental sustainability and governance initiative which was pushed by organizations like the WEF and people like Klaus Schwab as a new way of controlling which businesses receive financing from central banks.
[00:27:06.970 --> 00:27:12.170]   and major investors, we've seen that major entities, those we're typically antagonistic
[00:27:12.170 --> 00:27:16.009]   toward, have come out and said they're going to take ESG less seriously. They're going to
[00:27:16.009 --> 00:27:21.130]   not consider ESG as much because it is this sort of arbitrary subjective litmus test for
[00:27:21.130 --> 00:27:24.569]   which businesses can get funding, which businesses can be financed or not.
[00:27:24.569 --> 00:27:30.089]   And so even though we see that ESG seems to be on the decline, we seem to see this
[00:27:30.089 --> 00:27:36.009]   backpedaling or this pulling away from ESG as a litmus test, these ESG scores,
[00:27:36.009 --> 00:27:38.410]  We still see businesses making decisions to do this.
[00:27:38.396 --> 00:27:48.100]  I don't understand why these businesses are doing this at all when they know that it's just going to totally compromise the integrity of their business altogether.
[00:27:48.860 --> 00:27:56.813]  Like, is something major coming where it doesn't even matter whether or not these businesses are successful and they're just trying to make sure they're on the quote, right side of history?
[00:27:58.817 --> 00:28:02.660]  The other thing I was thinking about this week is just the notion of the right side of history.
[00:28:02.700 --> 00:28:03.941]  We constantly see the left.
[00:28:04.401 --> 00:28:07.764]  I certainly do in my replies say, Oh, you're going to be on the wrong side of history.
[00:28:07.784 --> 00:28:11.387]  You're going to be on the wrong side of history when everything shakes out.
[00:28:11.667 --> 00:28:15.069]  And when good finally prevails, they're going to look back and say, you are the problem.
[00:28:15.129 --> 00:28:16.070]  You are the evil ones.
[00:28:16.310 --> 00:28:26.878]  And I think that's so interesting because for a political philosophy that doesn't seem to believe in the objective truth of good versus evil or in objective truth at all.
[00:28:27.895 --> 00:28:30.797]  This is a philosophy that believes only in subjectivism, right?
[00:28:30.837 --> 00:28:32.478]  Your truth versus my truth.
[00:28:34.159 --> 00:28:37.262]  How can they come out and say that we're going to be on the wrong side of history?
[00:28:37.722 --> 00:28:43.486]  Because to say that anyone is going to wind up on the wrong side of history at all is to say a couple of things implicitly.
[00:28:43.806 --> 00:28:46.628]  The first thing is to say that there is a good versus evil.
[00:28:47.269 --> 00:28:52.933]  And the second thing is that it is to say that good will prevail and evil will fail.
[00:28:53.996 --> 00:28:54.216]  Right?
[00:28:54.696 --> 00:28:58.218]  How can anyone be on the wrong side of history if good doesn't always win?
[00:28:58.558 --> 00:29:08.521]  So they're inherently sort of making a Christian claim, though they don't believe in Christianity whatsoever or any of the values that our founders established this country on.
[00:29:10.602 --> 00:29:14.624]  And the other factor of that is they're implicitly stating that good is going to win.
[00:29:14.644 --> 00:29:20.906]  If you're going to be on the wrong side of history, do they actually believe that good always wins?
[00:29:22.776 --> 00:29:34.327]  And that evil is always overcome because we know here at InfoWars that history is written by the victors and just because it is written doesn't necessarily make it true.
[00:29:37.116 --> 00:29:45.979]  So I just think it's very interesting that we're seeing these decisions being made, and we're seeing these accusations of who's going to be on the right side of history, who's going to be on the good side of history.
[00:29:46.219 --> 00:29:50.680]  And I agree that there is a good versus evil and that there is objective truth.
[00:29:50.980 --> 00:29:54.061]  And I do believe that in the end, good always wins.
[00:29:54.921 --> 00:30:06.385]  But I'm not so self-righteous that I would presume to accuse someone else of going to be on the wrong side of history.
[00:30:07.423 --> 00:30:17.123]  I may reiterate the claims made in the Bible or the claims of my faith to that effect, that judgment will come for the evil, that the evil will face judgment and the voice of God.
[00:30:19.329 --> 00:30:25.654]  But to claim that we'll be on the wrong side of history is such a threat, especially in the context of everything that happened in the 20th century.
[00:30:26.254 --> 00:30:32.619]  I mean, the wrong side of history just inherently triggers thoughts of what happened in the Holocaust and with the Nuremberg Trials, right?
[00:30:32.959 --> 00:30:36.002]  All those Nazis are on the wrong side of history.
[00:30:36.682 --> 00:30:41.026]  So, is the left suggesting that there will be trials and tribunes?
[00:30:41.726 --> 00:30:47.450]  And that we will be faced with an international court which will judge us for our sins of thought crime?
[00:30:48.271 --> 00:30:59.699]  And that when we are found guilty and it is written in the books of history, what happened in the 21st century when the right-wing insurrectionists attempted to compromise the integrity and threaten our democracy?
[00:30:59.719 --> 00:31:09.345]  Are we being threatened implicitly by being accused of being on the wrong side of history with the death penalty?
[00:31:10.166 --> 00:31:11.307]  With imprisonment?
[00:31:12.805 --> 00:31:13.465]  I think we are.
[00:31:13.706 --> 00:31:37.340]  I think that when they say, we'll be on the wrong side of history, what they're really saying is, we're going to classify you as a domestic terrorist, akin to the Nazis after World War II, you are going to face a rigged court for your crimes, you are going to be found guilty, and you are going to face punishment of the state beyond anything you could possibly imagine.
[00:31:37.580 --> 00:31:38.841]  And we are the evil ones.
[00:31:40.836 --> 00:31:41.416]  Stick with us, folks.
[00:31:41.456 --> 00:31:42.657]  We will be back after this break.
[00:31:42.737 --> 00:31:46.020]  Make sure you visit InfoWarsStore.com.
[00:31:46.140 --> 00:31:48.421]  It is how we keep this broadcast coming to you.
[00:31:48.802 --> 00:31:58.048]  As we age, pregnenolone levels decrease with age by as much as 60% between the ages of 20 and 75, making you tired and lazy.
[00:31:58.068 --> 00:32:03.812]  With the Real Red Pill Plus, you can defy that test of time and keep your pregnenolone up for hormone balance.
[00:32:03.832 --> 00:32:04.412]  Stick with us, folks.
[00:32:04.453 --> 00:32:05.493]  We will be back after this break.
[00:32:05.513 --> 00:32:07.675]  Visit InfoWarsStore.com.
[00:32:12.032 --> 00:32:14.834]  Welcome back to the Alex Jones Show, folks.
[00:32:15.014 --> 00:32:22.259]  I am your host today, Chase Geiser, filling in for Alex Jones himself, covering all the news that has been breaking this weekend.
[00:32:22.319 --> 00:32:23.299]  Thank you so much for being with us.
[00:32:23.359 --> 00:32:26.521]  Make sure that you call in 877-789-2539 as we will be taking calls in the next hour.
[00:32:26.541 --> 00:32:26.982]  Again, that's 877-789-2539.
[00:32:27.122 --> 00:32:29.964]  The earlier you call, the more likely we can get to you on the show today.
[00:32:29.803 --> 00:32:36.443]   the next hour. Again, that's 877-789-2539. The earlier you call, the more likely we can
[00:32:36.443 --> 00:32:41.402]   get to you on the show today. Thank you so much for tuning in. I do want to talk about
[00:32:41.402 --> 00:32:48.083]   the German MEP urging citizens worldwide to peacefully disobey COVID tyranny.
[00:32:48.898 --> 00:33:07.806]  German European Parliament member Christine Anderson told the group this week she'd continue fighting for the freedoms of people across the globe, but asked that in return citizens everywhere peacefully reject the incoming wave of COVID mandates and lockdowns, as Alex Jones predicted weeks ago on this show.
[00:33:08.466 --> 00:33:09.307]  Let's go to clip 01.
[00:33:12.162 --> 00:33:19.667]  Now I would like to make a promise to the people and I'm pretty sure I can speak or speak on behalf of my colleagues.
[00:33:20.347 --> 00:33:25.671]  We will continue to stand with you, the people.
[00:33:26.171 --> 00:33:30.914]  We will continue to fight for freedom, democracy and the rule of law.
[00:33:31.615 --> 00:33:42.341]   We will not shut up and we will not stop going after Those despicable, globalitarian misanthropists.
[00:33:44.302 --> 00:33:50.305]  But, we would also like to have you make a promise to us.
[00:33:51.485 --> 00:33:53.626]  You may have heard, it's all coming back.
[00:33:55.007 --> 00:33:59.329]  The first countries are already starting about talking mass mandates in Israel.
[00:33:59.649 --> 00:34:01.170]  They're already imposing it.
[00:34:01.230 --> 00:34:03.951]  I've heard of a few universities in the United States.
[00:34:04.232 --> 00:34:06.973]  They're already bringing it all.
[00:34:09.215 --> 00:34:17.439]  And I would really like for you, the people, to not go along.
[00:34:18.519 --> 00:34:21.321]  Simply say no.
[00:34:22.321 --> 00:34:23.542]  They want you to wear a mask?
[00:34:23.882 --> 00:34:24.842]  Say no.
[00:34:25.142 --> 00:34:27.604]  They want you to put in another mRNA shot?
[00:34:28.004 --> 00:34:29.004]  Say no.
[00:34:29.284 --> 00:34:31.245]  They want to impose a curfew on you?
[00:34:31.726 --> 00:34:33.126]  Say no!
[00:34:34.407 --> 00:34:35.547]  That's really all you have to do.
[00:34:37.483 --> 00:34:42.326]  Might sound a little hard, but it's actually not that hard.
[00:34:43.267 --> 00:34:54.095]  Because once you've made it clear to them that you will no longer go along, once you've let them know, they cannot scare you anymore.
[00:34:55.295 --> 00:35:01.620]  Because as long as you're afraid of what they might do, if you don't comply, they have power over you.
[00:35:02.776 --> 00:35:05.981]  Take the power away from them.
[00:35:06.442 --> 00:35:08.786]  Simply say no.
[00:35:09.427 --> 00:35:13.794]  Once you do that, they don't have power over you anymore.
[00:35:15.236 --> 00:35:16.899]  You will feel so free.
[00:35:17.435 --> 00:35:20.037]  Simply say no.
[00:35:21.138 --> 00:35:42.797]  And considering what we've heard today, and considering what we've seen in the last three years, considering what we know they want to implement, heck, you might even be well within your right to tell them to screw themselves and go to hell.
[00:35:44.018 --> 00:35:45.459]  That's where they belong.
[00:35:46.650 --> 00:35:47.730]  What will you get out of that?
[00:35:48.591 --> 00:35:49.191]  I can tell you.
[00:35:49.671 --> 00:35:59.256]  Once you've done that, once you've told them to just go to hell, they no longer have power over you, you will have an incredible feeling.
[00:36:00.776 --> 00:36:05.178]  Kind of like a sensation of freedom will swamp through your body.
[00:36:05.898 --> 00:36:06.439]  I promise.
[00:36:06.759 --> 00:36:08.620]  You will feel so relieved.
[00:36:09.867 --> 00:36:15.069]  And this is the state of mind that I would ask all of you to get to.
[00:36:15.789 --> 00:36:19.551]  Simply don't let them grind you down anymore.
[00:36:20.171 --> 00:36:21.332]  You are worth it.
[00:36:21.752 --> 00:36:28.955]  You are deserving of just standing up for yourselves and tell them all to go to hell.
[00:36:29.515 --> 00:36:30.275]  Thank you very much.
[00:36:33.657 --> 00:36:43.895]   This of course all in the context of recent Revelations Bill Gates massive COVID profiteering exposed in a viral social media post.
[00:36:44.275 --> 00:36:53.082]  So we talk a lot about on the show about globalism in general, the New World Order and these moves or motions for depopulation.
[00:36:53.923 --> 00:36:59.745]  And I know there's a lot of theories out there as to why things like these vaccines come in place.
[00:36:59.785 --> 00:37:17.072]  A lot of people suggest that these pandemics, these emergencies, are used as a pretext to compromise, weaken, or mitigate the rights of individual people so that the state can continuously become increasingly empowered to subjugate the people of the world.
[00:37:18.972 --> 00:37:25.293]   Perhaps these lockdowns are done because small businesses are seen as competitors to major
[00:37:25.293 --> 00:37:30.811]   corporate corporations and companies like Amazon or major fast food chains understand
[00:37:30.811 --> 00:37:37.532]   that they can sustain the hardship of lockdowns much better than mom and pop shops or small
[00:37:37.532 --> 00:37:38.532]  businesses.
[00:37:38.532 --> 00:37:44.972]   So a great way to eradicate the middle class competition is to enact lockdowns that put
[00:37:44.972 --> 00:37:50.052]   small business owners out of business so that major corporations can buy up the property,
[00:37:50.052 --> 00:37:55.932]   buy up the assets, merge and conglomerate their control over the market.
[00:37:55.932 --> 00:38:04.552]   We hear that these pandemics are a great way to mitigate individual rights as far as choosing
[00:38:04.552 --> 00:38:06.692]  what one does with their own body is concerned, right?
[00:38:06.654 --> 00:38:16.825]  So we have these emergencies and we're not going to officially say that we're mandating the vaccine, but we're going to create such an environment where millions upon millions of Americans feel like they have to take a vaccine even if they don't want to.
[00:38:17.245 --> 00:38:23.312]  Because they are afraid of losing their job or not being able to travel or see loved ones or go to the funeral of loved ones.
[00:38:23.592 --> 00:38:36.327]  But one thing is for sure, despite all of those previous speculations which I happen to agree with, one thing is for sure, there were some people among us who had a tremendous amount of money.
[00:38:38.137 --> 00:38:40.539]  To be made off of this pandemic.
[00:38:40.639 --> 00:38:47.605]  A viral social media post revealing how much Bill Gates profited from the COVID pandemic was viewed over two million times in just two days.
[00:38:47.685 --> 00:38:50.467]  I'm sure it's up since the publication of this article on the 16th.
[00:38:50.587 --> 00:38:54.851]  Let's go into clip 02 and I will dive into the story more after that.
[00:38:57.168 --> 00:38:59.810]  The deaths, it's been completely horrific.
[00:39:00.470 --> 00:39:09.377]  And I would expect that will lead the R&D budgets to be focused on things we didn't have today.
[00:39:09.397 --> 00:39:12.439]  You know, we didn't have vaccines that block transmission.
[00:39:12.979 --> 00:39:17.623]  We got vaccines that help you with your health, but they only slightly reduce the transmissions.
[00:39:17.643 --> 00:39:20.625]  We need a new way of doing the vaccines.
[00:39:22.196 --> 00:39:33.170]  Bill Gates purchased shares in BioNTech, Pfizer's partner for its mRNA COVID shots, in September of 2019, just months before the pandemic was announced.
[00:39:33.590 --> 00:40:09.664]   And keep in mind that September of 2019 is when many experts believe that the COVID-19 Virus actually leaked from the Wuhan labs there are bits and pieces of evidence that seem to imply that is the case one of them I believe is that there was an RFP a request for proposal for new ventilation systems That was put out by the CCP in September of 2019 specifically for the Wuhan lab I believe that this RFP was later removed from their site But it does imply that there might have been some sort of leak or contamination issue at the lab at that time and Bill Gates being
[00:40:10.677 --> 00:40:19.959]  Bill Gates, the billionaire known worldwide who is intimately involved in vaccinations worldwide, would be among those first to know if such an event were to take place.
[00:40:20.879 --> 00:40:31.201]  So in September 2019, just months before the pandemic was announced, but when the pandemic actually started, Bill Gates is buying shares in BioNTech.
[00:40:31.260 --> 00:40:41.099]  He purchased 1,038,674 shares at an offering price of $18.10.
[00:40:41.099 --> 00:40:45.900]   This is a pre-public offering price, by the way, so he was definitely an insider here.
[00:40:45.900 --> 00:40:53.460]   And Gates dumped his stocks in November of 2021 for an astronomical amount of $340,000.
[00:40:53.437 --> 00:40:55.418]  $300 per share on average.
[00:40:55.818 --> 00:41:14.208]  So I'm not in a position to do the math right now on that, but he made millions upon millions upon millions of dollars investing in this mRNA technology and lying about the vaccine for years in order to ensure that his share prices went up.
[00:41:14.428 --> 00:41:20.171]  And frankly, I think that this is one of the main reasons that the J&J vaccine was taken off the market so quickly.
[00:41:20.951 --> 00:41:49.963]   Because when you have the likes of Bill Gates investing in this technology at prices of $18 a share, later to be sold for an average of $300 a share, and then you have a competitor come out with a vaccine that is not an mRNA-based technology, but rather a traditional vaccine, which is just, you know, a piece of the dead or weakened virus injected into the body for the immune system to respond to, that really does harm The potential gains of these investments.
[00:41:50.523 --> 00:42:02.688]  So my thinking is that the J&J vaccine was not taken off of the market because it was perceived as increasingly dangerous or less effective than the mRNA vaccines, because we know that the mRNA vaccines were dangerous and ineffective.
[00:42:03.473 --> 00:42:11.298]  But it was taken off the market because billionaire Bill Gates and the political class were invested in the mRNA tech.
[00:42:11.719 --> 00:42:21.886]  They did insider trading, buying shares, $18 a share, later to sell them for $300 a share, and they wanted to make sure that everybody got their vaccine so they could make millions upon millions of dollars.
[00:42:22.146 --> 00:42:29.231]  Even though there was probably a safer alternative on the market, they had to take that one off because eight people got blood clots in their legs after they got vaccinated.
[00:42:29.271 --> 00:42:29.791]  Stick with us, folks.
[00:42:29.811 --> 00:42:30.832]  We'll be back after this break.
[00:42:30.952 --> 00:42:37.952]   make sure you visit InfoWarsStore.com and support keeping InfoWars on the air.
[00:42:37.952 --> 00:42:44.952]  [Music]
[00:42:44.952 --> 00:42:52.671]   The last beacon of truth in a world of deception, it's Alex Jones.
[00:42:52.671 --> 00:42:55.252]  (upbeat music)
[00:42:55.252 --> 00:42:58.252]  [Music]
[00:42:56.474 --> 00:42:57.996]  Welcome back to the Alex Jones Show.
[00:42:58.056 --> 00:43:00.859]  I'm your host today, Chase Geiser, filling in for the great Alex Jones.
[00:43:00.899 --> 00:43:12.010]  I know Alex said when we first played that liner, I didn't write that, I'm not the last beacon of hope, but I wrote that liner and I think he's the last beacon of hope against a world of deception, against the New World Order.
[00:43:12.030 --> 00:43:14.533]  But there are many that are in the fight.
[00:43:15.614 --> 00:43:26.803]   But it's so important to support InfoWars because we truly are A very special network in this fight for freedom against the establishment of the globalist elite and the New World Order.
[00:43:27.564 --> 00:43:29.285]  Make sure you visit infowarrestore.com and support us.
[00:43:29.325 --> 00:43:38.269]  And make sure you call in 877-789-2539 because I do want to take your calls for the duration of this hour, specifically starting in the next segment.
[00:43:38.309 --> 00:43:39.470]  We might take a call this segment too.
[00:43:40.150 --> 00:43:48.475]  But before we go into calls, I do want to talk a little bit about James O'Keefe, who is filing a lawsuit against Hawaii governor over criminalization of journalism.
[00:43:49.508 --> 00:44:00.514]  James O'Keefe is teaming up with attorney Mike Yoder to sue the governor of Hawaii after a new provision prohibits journalists from investigating in the wake of the Maui wildfires.
[00:44:00.554 --> 00:44:04.096]  Let's go ahead and play clip 06 and then we'll dive in after that.
[00:44:04.116 --> 00:44:11.820]  So I'm with attorney Mike Yoder who has decided to file a lawsuit in light of some of these revelations.
[00:44:11.900 --> 00:44:13.041]  Mike, what do you intend to do?
[00:44:13.922 --> 00:44:27.492]  The first and most important thing is just so people in Hawaii and behind us understand that what we're trying to do is ensure that the land that they are so, you know, sincere about and that they care so much about isn't taken from them a second time.
[00:44:28.213 --> 00:44:47.185]   A lot of the animosity and hostility is understandable based on the history and the culture that It's very deeply rooted in Hawaii, but if we don't have the freedom of the press, we don't have the freedom of speech, and people are kept in the dark as to what the government's doing and what is going on, then there's no way to ever have a people-led or people-controlled society.
[00:44:47.266 --> 00:44:53.449]  So the first step we're going to take down is the suppression of electronic media, make sure people are able to speak freely.
[00:44:53.810 --> 00:44:58.533]  Second step is to take out the criminal provisions of people exercising the rights that are guaranteed under both the U.S.
[00:44:58.573 --> 00:45:00.514]  Constitution and the Hawaiian Constitution.
[00:45:00.494 --> 00:45:03.994]   And this is the statute, the revised statute that we've been hearing about.
[00:45:03.994 --> 00:45:08.354]  The revised statute 127A-13 is where the provisions are.
[00:45:08.354 --> 00:45:10.353]  They're criminalizing it under section 29.
[00:45:10.353 --> 00:45:13.233]  And when people want to support you, how can they do that?
[00:45:13.233 --> 00:45:15.693]  You guys can go to mauilegalpreservationfund.org.
[00:45:15.693 --> 00:45:17.754]  I'm not taking a dollar from any of the people here.
[00:45:17.754 --> 00:45:19.494]  I'm representing them entirely for free.
[00:45:19.494 --> 00:45:21.114]  I'm also not doing it on contingency.
[00:45:21.114 --> 00:45:23.233]  There's nothing that's coming out of these people's pockets.
[00:45:23.233 --> 00:45:25.274]  It's mainly to preserve and protect their land.
[00:45:25.274 --> 00:45:28.994]   And we're just trying to make sure that the government is kept in check.
[00:45:28.994 --> 00:45:30.994]  Otherwise, they will go unhinged.
[00:45:30.994 --> 00:45:34.634]  [MUSIC]
[00:45:34.634 --> 00:45:39.634]   So we can see there that James O'Keefe is fighting for truth against corruption as always, which is.
[00:45:40.370 --> 00:45:42.831]  Probably why he is no longer with Project Veritas.
[00:45:43.591 --> 00:45:48.053]  I tell you what, man, as soon as you get a board of directors, that's how you know that a company is about ready to go under.
[00:45:48.253 --> 00:45:57.537]  I mean, not necessarily under financially, but all of its integrity, all of its mission statements, all of its values are about to be compromised as soon as a board of directors comes in place instead of a CEO.
[00:45:57.837 --> 00:45:59.198]  We saw this happen with Google.
[00:45:59.678 --> 00:46:00.298]  It goes public.
[00:46:00.678 --> 00:46:04.020]  Within a number of years, they remove don't be evil from their mission statement.
[00:46:04.420 --> 00:46:05.641]  We saw this happen with Facebook.
[00:46:05.681 --> 00:46:07.461]  Used to be the best social media platform in the world.
[00:46:07.481 --> 00:46:08.042]  It went public.
[00:46:08.082 --> 00:46:10.983]  Now it's totally woke and it totally sucks to be on, right?
[00:46:11.203 --> 00:46:12.263]  We saw this happen with Apple.
[00:46:12.323 --> 00:46:12.884]  It went public.
[00:46:12.904 --> 00:46:13.804]  They fired Steve Jobs.
[00:46:13.824 --> 00:46:14.824]  The company almost went over.
[00:46:15.024 --> 00:46:19.046]  Then they had to bring Steve back and basically give him executive authority over everything in order to save the company.
[00:46:19.326 --> 00:46:20.307]  We saw it happen with Twitter.
[00:46:20.527 --> 00:46:21.107]  They went public.
[00:46:21.127 --> 00:46:21.727]  They got a board.
[00:46:21.767 --> 00:46:22.307]  They went woke.
[00:46:22.327 --> 00:46:23.408]  They started censoring everyone.
[00:46:23.488 --> 00:46:27.930]  And now it's finally good again because it's reprivatized and there's actually a CEO at the helm.
[00:46:29.130 --> 00:46:31.912]  Make sure that you call 877-789-2539.
[00:46:32.713 --> 00:46:35.775]  Again, that is 877-789-2539.
[00:46:36.676 --> 00:46:40.519]  After this break, coming up in a minute, we are going to be taking your calls.
[00:46:40.820 --> 00:46:47.625]  I want to hear what you think about everything that's going on as far as Bill Gates is concerned, as far as Russell Brand is concerned, as far as these Maui wildfires are concerned.
[00:46:47.645 --> 00:46:50.828]  I'm going to dive in a little bit more on that in the next segment, too, right as we take calls.
[00:46:51.168 --> 00:46:54.531]  In the meantime, make sure you visit InfoWarsStore.com.
[00:46:55.151 --> 00:47:03.695]  Because sometimes you need an added boost, and that's why the Real Red Pill Plus is the perfect pregnenolone-fueled formula for you at 25% off.
[00:47:04.215 --> 00:47:10.478]  Add this whole body support with a boost of zinc and pregnenolone to your daily routine and see the difference.
[00:47:11.223 --> 00:47:16.829]  Remember folks, the real Red Pill Plus is back at 25% off at InfoWarsStore.com.
[00:47:17.250 --> 00:47:27.300]  Everything you buy at InfoWarsStore.com is not only in exchange for a great product, but it is in support of the greatest network fighting the greatest evil this world has ever seen.
[00:47:27.320 --> 00:47:32.166]  That is the New World Order and the globalist conglomeration of all power and subjugation of humanity.
[00:47:35.123 --> 00:47:37.465]  Welcome back to the Alex Jones Show, folks.
[00:47:37.745 --> 00:47:39.667]  I'm Chase Geiser, filling in for the great Alex Jones.
[00:47:39.687 --> 00:47:50.137]  And what you're hearing there is a beautiful song, I believe, called The Ecstasy of Gold, which was famously featured at the end of The Good, the Bad, and the Ugly with Clint Eastwood.
[00:47:52.459 --> 00:47:59.885]  Sort of a prescient theme, given that scene at the end of The Good Guy, of course, Clint Eastwood.
[00:48:00.799 --> 00:48:07.364]  The bad guy and the ugly man all knowing a piece of the puzzle to find the hidden gold.
[00:48:07.384 --> 00:48:13.369]  And you see their desperation as they're willing to do anything to compromise any value, any morality.
[00:48:16.112 --> 00:48:20.855]  In order to trick the others out of their share of the gold and take it all for themselves.
[00:48:21.095 --> 00:48:22.196]  That's what's happening today.
[00:48:22.496 --> 00:48:23.597]  That's what's going on today.
[00:48:23.657 --> 00:48:33.863]  We have the bad and the ugly in power trying to do everything they can to trick good people, honest people, out of their share of the earnings from the work that they do.
[00:48:34.784 --> 00:48:46.028]  We see this in that we're hypertaxed, and that our taxes aren't spent on any goods or infrastructure for these people, or to empower America, but are given to the morally compromised and corrupt in Ukraine.
[00:48:47.009 --> 00:48:59.753]  We see that these resources are used to help all of our enemies all over the world, whether in the Middle East, whether in Europe, whether in Taiwan, even in China.
[00:49:00.914 --> 00:49:08.437]   All these resources go away from us, Towards our enemies so that our political class can get the kick back.
[00:49:09.959 --> 00:49:11.942]  It's exactly what we're experiencing in the world today.
[00:49:13.052 --> 00:49:24.442]  I don't know if you noticed this week, but millions of dollars were diverted from Egypt, from the United States, to Taiwan to bolster their defense in the face of the warships that are now surrounding the island.
[00:49:24.482 --> 00:49:33.789]  It looks like China is in a position to invade Taiwan, given all of the resources and distractions the United States is committed to in Ukraine.
[00:49:34.150 --> 00:49:36.552]  This would be an ideal time for China to act.
[00:49:36.912 --> 00:49:40.195]  We are at the weakest that we have ever been as a nation since the Civil War.
[00:49:41.641 --> 00:49:51.070]  So if China is ever going to take Taiwan, now would be the time to do it because we in the United States aren't in a position to mitigate that, to counteract that.
[00:49:51.090 --> 00:49:53.193]  And I'm not suggesting that we ever go to war with China over Taiwan.
[00:49:53.213 --> 00:49:58.498]  I don't think that we should go to war with superpowers on behalf of other nations at all.
[00:49:58.778 --> 00:50:00.099]  I am a populist.
[00:50:00.139 --> 00:50:01.601]  I believe in America first, 100%.
[00:50:02.542 --> 00:50:07.134]   But I also do believe in protecting the interests of the the United States of America in protecting the national
[00:50:07.134 --> 00:50:11.124]   security of the United States of America in such a way that through trade
[00:50:11.124 --> 00:50:15.584]   and negotiation and international relations we don't ever arrive at a problem
[00:50:15.584 --> 00:50:19.113]   where we have to actually make a decision whether to go to war or not with a
[00:50:19.113 --> 00:50:25.564]   superpower on behalf of our interests. But when you have weak leaders
[00:50:25.564 --> 00:50:29.443]   this is what we're faced with. Jordan Peterson famously said if you're
[00:50:29.443 --> 00:50:35.073]   concerned about what a strong man in power will do, someone like Donald Trump, just wait
[00:50:35.073 --> 00:50:40.524]   till you see what a weak man in power will do.
[00:50:38.887 --> 00:50:40.567]  And that's what we've seen here in the United States.
[00:50:40.607 --> 00:50:44.908]  We have seen what America looks like when a weak man is in leadership.
[00:50:45.008 --> 00:50:46.828]  And it is hell to pay.
[00:50:48.189 --> 00:50:51.289]  Make sure you call in 877-789-2539.
[00:50:51.329 --> 00:50:53.830]  First up, I want to take a call from John in Tallahassee.
[00:50:54.210 --> 00:50:55.170]  John, how are you, sir?
[00:50:56.390 --> 00:50:57.211]  Doing okay.
[00:50:57.251 --> 00:50:57.891]  How about you?
[00:50:58.071 --> 00:50:58.611]  I'm doing well.
[00:50:58.651 --> 00:50:59.251]  Thank you for your call.
[00:51:00.057 --> 00:51:02.499]  Alright, well, a.k.a.
[00:51:02.519 --> 00:51:04.761]  Johnny Frank Train, but that's besides the point.
