[00:00:00.169 --> 00:00:07.411]  Elon Musk's brain computer company Neuralink receives FDA approval to launch human clinical trial.
[00:42:39.839 --> 00:42:40.980]  They can't find Q either.
[00:42:41.200 --> 00:42:42.181]  They can't find Q, you know.
[00:42:43.197 --> 00:42:51.240]  And 18 years for Rhodes, Ray Epps, he's a poor schmuck that everyone has to feel bad about, and it's a conspiracy theory to suggest that he might have done exactly what we saw he did on camera.
[00:42:51.620 --> 00:42:56.181]  But the issue is, even when there's not the violence that the government then weaponizes, they don't need it.
[00:42:56.261 --> 00:43:12.047]  You can look up in Canada, there could be the most peaceful protests on earth, and they will just fabricate the violence, they'll fabricate the extremism, out of thin air, whole cloth, just make it up, get their media to run the nonsense, and enough people will be convinced by the propaganda.
[00:43:13.763 --> 00:43:18.466]  The way to change things, it's not going to be through violence because the government kind of actually wants that.
[00:43:18.607 --> 00:43:21.769]  I say Justin Trudeau wanted nothing more than a January 6th in Ottawa.
[00:43:21.829 --> 00:43:22.329]  He didn't get it.
[00:43:22.589 --> 00:43:23.670]  He still did what he wanted to do.
[00:43:24.391 --> 00:43:35.739]  It has to be bottom-up, top-down, a populist movement where politicians at the top start understanding nobody's going to put up with this anymore politically, and then it becomes cool politically to put an end to it.
[00:43:36.989 --> 00:43:38.050]  Viva Fry!
[00:43:38.190 --> 00:43:43.053]  Viva BarnesLaw.Locals.com and your great podcast on Rumble as well.
[00:43:43.094 --> 00:43:44.635]  Thank you for joining us so much today.
[00:43:45.515 --> 00:43:46.216]  Thank you for having me.
[00:43:46.236 --> 00:43:46.656]  It was great.
[00:43:46.896 --> 00:43:47.216]  All right.
[00:43:47.317 --> 00:43:50.079]  You have a great weekend up there in Canada.
[00:43:50.179 --> 00:43:54.422]  All right, ladies and gentlemen, we now go into the second hour of the Alex Jones Show.
[00:43:54.782 --> 00:43:56.782]  Don't go anywhere.
[00:43:56.782 --> 00:44:04.782]  [Music]
[00:44:04.782 --> 00:44:07.782]  Sold out for more than a year.
[00:44:07.782 --> 00:44:14.782]   We now have back in stock a limited run of our extremely popular tooth whitening coral calcium toothpaste.
[00:44:14.782 --> 00:44:18.782]  Full of essential oils. Back in stock at InfoWarsTore.com.
[00:44:19.128 --> 00:44:25.056]  Another great product, sold out for almost a year, is our Activated Charcoal Essential Oil Toothpaste as well.
[00:44:25.376 --> 00:44:31.398]  These are both incredible for your gums, polish your teeth, amazing to counter gingivitis, and they fund the InfoWar.
[00:44:31.638 --> 00:44:33.619]  There are no fillers in these products.
[00:44:34.199 --> 00:44:42.962]  These are fluoride-free, next-level toothpaste, 10,000 of each tube, limited run, available exclusively at InfoWarStore.com.
[00:44:43.542 --> 00:44:45.783]  And your purchase funds the operation.
[00:44:46.163 --> 00:44:47.744]  Plus, these are incredible products you need.
[00:44:48.084 --> 00:44:55.988]  So, the Coral Calcium Tooth Lightening and the Activated Charcoal Essential Oil Toothpaste are now both back in stock at infoawarestore.com.
[00:44:56.368 --> 00:44:59.630]  I thank you for your support, but regardless, these are great products you need.
[00:44:59.890 --> 00:45:00.890]  So, take action now.
[00:45:01.150 --> 00:45:04.592]  Go to infoawarestore.com for both this great toothpaste back in stock.
[00:45:05.663 --> 00:45:10.966]  Well, the same people that are politically persecuting you are also trying to disarm you.
[00:45:11.306 --> 00:45:12.867]  That's how a slave gets treated.
[00:45:13.667 --> 00:45:14.307]  Get the picture?
[00:45:15.688 --> 00:45:26.193]  So, O'Keefe Media Group finds Special Assistant to John Fetterman in an open moment admitting that, yes, the Democrats are planning to overturn the Second Amendment.
[00:45:26.253 --> 00:45:27.814]  Here it is in clip five.
[00:45:30.143 --> 00:45:33.164]  He'd probably, he'd be okay with overturning the Second Amendment, probably.
[00:45:33.264 --> 00:45:35.725]  As a human rights fan, I prefer nobody has guns at all.
[00:45:35.785 --> 00:45:46.249]  When you're so exclusive with who you give interviews to, it's like... The ones you pick will just say exactly what they want to say, you know?
[00:45:46.269 --> 00:45:52.212]  It's so interesting, but I wouldn't know who they are because I'll listen to those people.
[00:45:52.312 --> 00:46:05.702]   There's like puppets, though, of big reporters who are like, they aren't like, you know, Well, we'd like to introduce you to special assistant Luke Warwicken, who told us, quote, everyone wants a story on Federman.
[00:46:05.542 --> 00:46:07.542]  in a bad light, you know?
[00:46:07.542 --> 00:46:11.542]   Well, we'd like to introduce you to special assistant Luke Borrigan,
[00:46:11.542 --> 00:46:15.542]  who told us, quote, "Everyone wants a story on Fetterman."
[00:46:15.542 --> 00:46:22.542]   Because, like, everybody wants a story about John Fetterman, and we only give it to certain people.
[00:46:22.542 --> 00:46:28.542]   Well, leave it to the O'Keefe Media Group to bring you that story.
[00:46:28.542 --> 00:46:31.542]  That's like if you have... I mean, like...
[00:46:31.542 --> 00:46:35.542]  They also realize that...
[00:46:35.542 --> 00:46:42.542]  (Ominous music)
[00:46:42.734 --> 00:46:48.658]  James O'Keefe with OMG here in our nation's capital to report on a story involving U.S.
[00:46:49.239 --> 00:46:50.620]  Senator John Fetterman.
[00:46:51.160 --> 00:46:57.385]  Associates, colleagues, constituents have long been fascinated with Fetterman's mental and cognitive issues.
[00:46:58.245 --> 00:46:59.906]  Everyone wants a story on John Fetterman.
[00:47:00.367 --> 00:47:08.012]  Well, we'd like to introduce you to Special Assistant Luke Berwigan, who told us, quote, everyone wants a story on Fetterman.
[00:47:08.533 --> 00:47:13.824]   Well, leave it to the O'Keefe Media Group to bring you that story.
[00:47:13.824 --> 00:47:22.714]   My job is to be the in-between between him and the rest of the staff. I have an iPad I carry around, which live transcribes
[00:47:22.714 --> 00:47:31.644]   everything everyone's saying. But sometimes it misses stuff or it'll just cut out based on self-service and shit. My
[00:47:31.644 --> 00:47:37.824]   job is to hold the iPad there so he can pick up on everything they're saying. So that's my job.
[00:47:38.756 --> 00:47:42.736]  I have the fucking strong arm of these journalists.
[00:47:42.776 --> 00:47:44.117]  That's not my job.
[00:47:44.677 --> 00:47:46.117]  There's so many reporters.
[00:47:46.157 --> 00:47:52.878]  We shouldn't just be telling them to fuck off if they're reporters we like.
[00:47:53.018 --> 00:47:56.839]  It's good to have a good relationship with them.
[00:47:56.999 --> 00:48:00.260]  Our press operation is like a fucking work of art.
[00:48:02.567 --> 00:48:17.199]  Reporters, we can tell them to fuck themselves and they can't do anything because they need us more than we need them because everybody wants a fucking story about Jon Federer and we only give it to certain people.
[00:48:17.219 --> 00:48:22.303]  I think reporters who we know will paint the narrative the way we want.
[00:48:22.323 --> 00:48:32.972]   So it's like when Jon tries himself for the first time to tell one reporter Um, in particular because, like, they will hate the fact that you love them too much.
[00:48:33.092 --> 00:48:37.816]  It's like, we pick reporters who, like, we know will give us, like, a good treatment.
[00:48:37.996 --> 00:48:40.478]  They're desperate for an interview with Jon.
[00:48:40.658 --> 00:48:46.343]  I mean, like, it doesn't mean they're bad reporters, but, like, if you want access to journalism, it's... No.
[00:48:46.383 --> 00:48:47.424]  It's like reporters who...
[00:48:49.608 --> 00:48:54.673]  We'll basically tell whatever fucking story the subject wants as long as they get the interview.
[00:48:54.973 --> 00:49:01.820]  There's certain Trump journalists who are accused of that because everybody wants an interview with the guy.
[00:49:04.045 --> 00:49:13.429]  That's the thing, when you're so exclusive with who you give interviews to, it's like... The ones you pick, like, will just say exactly what the fuck you want them to, you know?
[00:49:13.589 --> 00:49:18.332]  So that's why you pick the journalist that you pick, because they'll say whatever you want them to?
[00:49:18.372 --> 00:49:19.352]  Yeah, yeah, pretty much.
[00:49:19.412 --> 00:49:21.413]  Like, they won't paint it in a bad light, you know?
[00:49:21.773 --> 00:49:29.317]  Borrigan's special assistant to Jon Fetterman says that they pick journalists that will quote, say exactly what the fuck you want them to.
[00:49:30.165 --> 00:49:32.647]  He also says that the journalists are puppets.
[00:49:32.667 --> 00:49:35.149]  Alright, you can find the full video at InfoWars.com.
[00:49:35.169 --> 00:49:37.951]  Alright, I gotta tell you, the crew is sitting here, we're listening to this.
[00:49:38.892 --> 00:49:40.193]  Is that Laura Loomer?
[00:49:41.875 --> 00:49:47.179]  If you're getting undercovered by Laura Loomer, you are truly living under a rock.
[00:49:47.259 --> 00:49:48.660]  I don't know, we may have to investigate this.
[00:49:49.841 --> 00:49:51.383]  Oh, hell yeah!
[00:49:54.090 --> 00:49:56.091]  Alright, we're going to start covering some news here.
[00:49:56.271 --> 00:50:00.093]  I probably will open up the phone lines as well.
[00:50:00.854 --> 00:50:03.555]  We're dealing with the two big monsters in the room here.
[00:50:05.076 --> 00:50:11.499]  The left sexually targeting children with the LGBTQ plus propaganda.
[00:50:13.240 --> 00:50:14.241]  Got more news on that.
[00:50:15.402 --> 00:50:18.743]  And then I got a stack of news dealing with the political corruption here as well.
[00:50:18.944 --> 00:50:19.184]  But!
[00:50:20.069 --> 00:50:28.353]  Let me just pause and take care of some business here really fast, ladies and gentlemen, and ask the audience a favor.
[00:50:29.473 --> 00:50:31.534]  Alex Jones has been off this week.
[00:50:31.594 --> 00:50:36.116]  It's always an honor and a privilege to fill in for Alex here hosting the show.
[00:50:36.576 --> 00:50:41.859]  Problem is, when Alex is away, the funding that normally comes in goes down.
[00:50:41.979 --> 00:50:44.060]  So, do me a favor on this Friday.
[00:50:44.580 --> 00:50:56.927]  Make your way over to InfoWarsStore.com and make a small donation to us so that we can stay on air and Alex doesn't have to be worrying about funding while he is taking a much-needed break.
[00:50:57.407 --> 00:51:02.290]  So, InfoWarsStore.com, you can go hit that donate tab.
[00:51:02.310 --> 00:51:04.731]  $5, $10, whatever you can give us today is greatly appreciated.
[00:51:04.971 --> 00:51:09.594]  Now, if you want to get one of our great products, Survival Shield X3, this is a no-brainer.
[00:51:10.734 --> 00:51:18.097]  Ladies and gentlemen, it's well known that a lot of people, if not the majority of people, are deficient in iodine.
[00:51:18.137 --> 00:51:20.597]  It's just not in the diet, and they're just not getting it.
[00:51:20.737 --> 00:51:26.039]  And so we have the solution, and that's Survival Shield X3 nascent triiodine at InfoWarsTore.com.
[00:51:26.479 --> 00:51:31.461]  Discover the power of activated triiodine right now, because Survival Shield X3 is 25% off, back in stock.
[00:51:34.222 --> 00:51:36.063]  25% off, InfoWarStore.com.
[00:51:36.403 --> 00:51:44.205]  We want to make sure that all InfoWarriors can experience the next evolution in activated nascent iodine with a massive sale on Survival Shield X3.
[00:51:44.485 --> 00:51:47.006]  Limited time, 25% off, while in stock.
[00:51:47.306 --> 00:52:01.510]  Derived from ancient sea salts deep beneath the Earth's surface, Survival Shield X3 uses newly discovered process to stabilize the nascent iodine in an activated triiodine form to bring nascent iodine amplitude off the charts.
[00:52:02.330 --> 00:52:12.318]  Survival Shield X3, the formula was manufactured in a state-licensed facility using powerful ingredients to bring you the most powerful and affordable nascent iodine formula anywhere.
[00:52:13.038 --> 00:52:21.405]  With the incredible triiodine formula, Survival Shield X3 can help support your thyroid and help with a healthy metabolism to assist your overall well-being.
[00:52:21.825 --> 00:52:27.750]  A new version of the fan-favorite formula, Survival Shield X3 is an improvement on the old nascent iodine system.
[00:52:28.610 --> 00:52:29.711]  Now's the time, folks!
[00:52:29.811 --> 00:52:37.818]  Get to InfoWarStore.com, secure Survival Shield X3 for 25% off while supplies last.
[00:52:38.259 --> 00:52:42.903]  And of course, it is your support there that keeps us on the air.
[00:52:43.403 --> 00:52:45.886]  And we are thankful for that.
[00:52:47.687 --> 00:52:52.832]  Now then, let me, before I really focus on the two big stories, let's pick some other news stories up.
[00:52:54.580 --> 00:52:55.741]  And, uh, cover them.
[00:52:55.881 --> 00:52:57.022]  Like, did you know?
[00:52:57.262 --> 00:53:03.926]  So we're sitting here obsessing over this Pride Month thing, and that's obviously due to the overwhelming propaganda and nature of it.
[00:53:05.319 --> 00:53:18.430]  You know, yesterday came and went, and you may have not heard, as I'm even a day late myself, that yesterday, May 25th, is National Missing Children's Day.
[00:53:19.251 --> 00:53:21.532]  National Missing Children's Day.
[00:53:22.273 --> 00:53:31.518]   And I think it's even more imperative that we remember this Considering the amount of children that are going missing now at the southern border every day.
[00:53:32.398 --> 00:53:46.063]  And it's even more disgusting because we realize the Biden administration is facilitating this process of the human trafficking, specifically of children, by not doing the DNA testing.
[00:53:47.544 --> 00:53:54.831]   So look, You would think there'd be an issue that wouldn't be polarized.
[00:53:55.511 --> 00:54:11.258]  You would think there'd be an issue that wouldn't be political, that everybody would agree on, and that would be stopping children from getting trafficked, stopping children from getting kidnapped, stopping children from going missing.
[00:54:12.577 --> 00:54:20.303]  And yet here we are, the Biden administration is doing everything to make sure those situations at the southern border continue.
[00:54:22.045 --> 00:54:28.090]  They are not doing DNA testing when children come across the border.
[00:54:29.291 --> 00:54:40.556]   It's also well known, specifically to the coyotes, If you bring a minor across the border with you, many times, if not all times, that's basically a free pass.
[00:54:41.177 --> 00:54:52.465]  And so the coyotes and the human traffickers use children to bring people across the border and get them in, and now they don't even do the DNA testing.
[00:54:52.505 --> 00:55:06.952]   So any guy, gal, what have you, Can take a minor across the border and say, oh, that's my daughter, that's my niece, that's my nephew, what have you, and they get a free entry, and they don't even do the DNA testing to make sure that's the case.
[00:55:07.393 --> 00:55:09.215]  A totally dangerous situation.
[00:55:09.535 --> 00:55:15.301]  A lot of these children just end up becoming, um, mules, essentially, a mule, like...
[00:55:16.428 --> 00:55:22.190]  Metro pass, and they just get passed back and forth over the border being used for illegal border crossings.
[00:55:22.470 --> 00:55:23.351]  Many of them die.
[00:55:23.611 --> 00:55:25.852]  Many of them get dropped from the 30-foot wall.
[00:55:26.212 --> 00:55:27.753]  All of this has been well documented.
[00:55:29.033 --> 00:55:30.454]  All of this has been well documented.
[00:55:30.494 --> 00:55:40.358]  In fact, they even had to admit 80,000 children have gone missing because of the open southern border phenomenon.
[00:55:40.378 --> 00:55:43.639]  80,000 children, ladies and gentlemen.
[00:55:45.245 --> 00:55:52.567]  If just 1% of those children end up in a trafficking situation, that should break every person's heart on this planet.
[00:55:55.267 --> 00:55:57.368]  And yet, we don't even think about it.
[00:55:57.928 --> 00:55:59.228]  We don't even make a big deal of it.
[00:55:59.408 --> 00:56:00.728]  We barely even talk about it.
[00:56:00.928 --> 00:56:02.009]  I'm guilty of it as well.
[00:56:02.129 --> 00:56:03.909]  I'm not above this criticism.
[00:56:04.809 --> 00:56:07.570]  And we sit here and talk about Pride Month.
[00:56:08.370 --> 00:56:29.080]   And we sit here and have to deal with the sexual propaganda aimed at children Instead of on the one day, the one day, where we at least should pretend to care about all the children being trafficked, we just completely skip over it and ignore it and it's not even a big national story.
[00:56:29.100 --> 00:56:31.583]  It's really sad.
[00:56:34.082 --> 00:56:47.410]  And I will tell you, this also ties into the situation in Ukraine, because that vassal state, that CIA, western-backed vassal state, is a major trafficking hub, specifically with children.
[00:56:48.510 --> 00:57:13.295]   And in fact, I talked to individuals, some publicly, some privately, that work in the field of saving children from sex trafficking or going after child abusers and pedophiles, and they say a lot of the disgusting stuff that you find on the internet involving children comes out of Ukraine.
[00:57:16.377 --> 00:57:19.220]   Now, You think about that.
[00:57:19.240 --> 00:57:26.760]   You think about two of the major problem areas in the world when it comes to child abuse
[00:57:26.760 --> 00:57:32.440]   and child sex trafficking, the United States southern border and Ukraine, and it's got
[00:57:32.440 --> 00:57:42.279]  the Biden family fingerprints all over it.
[00:57:42.279 --> 00:57:43.759]  You know, maybe we should just do.
[00:57:43.759 --> 00:57:53.760]  [BLANK_AUDIO]
[00:57:46.069 --> 00:57:56.213]  You know, I don't know if we can actually do this because we have automated stuff that kicks in for radio silence here, but maybe we should do a moment of silence.
[00:57:59.094 --> 00:58:00.735]  Maybe we should do a moment of silence.
[00:58:01.495 --> 00:58:02.656]  I can't even fathom, folks.
[00:58:03.076 --> 00:58:03.676]  Your heart breaks.
[00:58:03.696 --> 00:58:04.937]  I mean, I look at my situation.
[00:58:04.957 --> 00:58:06.237]  I look at what I might be going through.
[00:58:06.277 --> 00:58:10.439]  I look at maybe they try to put me in jail the rest of my life or destroy me or kill me.
[00:58:11.702 --> 00:58:18.302]   All of those fates for Owen Schroer would be better than any child that ends up in the arms of a trafficker.
[00:58:18.302 --> 00:58:31.103]  So, I think just pull the music down to break guys.
[00:58:31.247 --> 00:58:32.507]  I don't want any music going to break.
[00:58:34.528 --> 00:58:37.148]  We need to ground ourselves on this issue, folks.
[00:58:40.229 --> 00:58:50.347]   The Lord God Here's the cries of those innocent children and asks, why are we letting this happen?
[00:58:52.709 --> 00:59:02.356]  So, in honor of National Missing Children's Day, here on the Alex Jones Show, I want to go to this break with a moment of silence.
[00:59:04.457 --> 00:59:14.020]  And just for this ten seconds to break, just give your heart to them, pray for them, pray God's protection over them, and that somehow, someway, we can save them.
[00:59:15.460 --> 00:59:17.080]  Oh, hell yeah!
[00:59:17.100 --> 00:59:21.722]  Alright, we're gonna start covering some news here.
[00:59:21.902 --> 00:59:25.723]  I probably will open up the phone lines as well.
[00:59:26.483 --> 00:59:29.204]  We're dealing with the two big monsters in the room here.
[00:59:30.704 --> 00:59:37.132]   The left sexually targeting children with the LGBTQ plus propaganda.
[00:59:38.873 --> 00:59:39.874]  Got more news on that.
[00:59:41.015 --> 00:59:44.357]  And then I got a stack of news dealing with the political corruption here as well.
[00:59:44.557 --> 00:59:53.925]  But let me just pause and take care of some business here really fast, ladies and gentlemen, and ask the audience a favor.
[00:59:55.111 --> 00:59:57.172]  Alex Jones has been off this week.
[00:59:57.212 --> 01:00:01.734]  It's always an honor and a privilege to fill in for Alex here hosting the show.
[01:00:02.214 --> 01:00:07.496]  Problem is, when Alex is away, the funding that normally comes in goes down.
[01:00:07.596 --> 01:00:09.677]  So, do me a favor on this Friday.
[01:00:10.217 --> 01:00:22.562]  Make your way over to InfoWarsStore.com and make a small donation to us so that we can stay on air and Alex doesn't have to be worrying about funding while he is taking a much-needed break.
[01:00:23.043 --> 01:00:27.905]  So, InfoWarsStore.com, you can go hit that donate tab.
[01:00:27.925 --> 01:00:30.366]  $5, $10, whatever you can give us today is greatly appreciated.
[01:00:30.606 --> 01:00:35.228]  Now, if you want to get one of our great products, Survival Shield X3, this is a no-brainer.
[01:00:36.365 --> 01:00:43.728]  Ladies and gentlemen, it's well known that a lot of people, if not the majority of people, are deficient in iodine.
[01:00:43.768 --> 01:00:46.229]  It's just not in the diet, and they're just not getting it.
[01:00:46.369 --> 01:00:51.671]  And so we have the solution, and that's Survival Shield X3 nascent triiodine at InfoWarsTore.com.
[01:00:52.111 --> 01:00:57.093]  Discover the power of activated triiodine right now, because Survival Shield X3 is 25% off, back in stock.
[01:00:59.854 --> 01:01:01.695]  25% off, InfoWarStore.com.
[01:01:02.015 --> 01:01:09.817]  We want to make sure that all InfoWarriors can experience the next evolution in activated nascent iodine with a massive sale on Survival Shield X3.
[01:01:10.117 --> 01:01:12.637]  Limited time, 25% off, while in stock.
[01:01:12.937 --> 01:01:27.141]  Derived from ancient sea salts deep beneath the Earth's surface, Survival Shield X3 uses newly discovered process to stabilize the nascent iodine in an activated triiodine form to bring nascent iodine amplitude off the charts.
[01:01:27.961 --> 01:01:37.947]  Survival Shield X3, the formula was manufactured in a state-licensed facility using powerful ingredients to bring you the most powerful and affordable nascent iodine formula anywhere.
[01:01:38.667 --> 01:01:47.052]  With the incredible triiodine formula, Survival Shield X3 can help support your thyroid and help with a healthy metabolism to assist your overall well-being.
[01:01:47.452 --> 01:01:53.376]  A new version of the fan-favorite formula, Survival Shield X3 is an improvement on the old nascent iodine system.
[01:01:54.256 --> 01:01:55.337]  Now's the time, folks!
[01:01:55.437 --> 01:02:11.513]  Get to InfoWarStore.com, secure Survival Shield X3 for 25% off while supplies last, and of course, it is your support there that keeps us on the air, and we are thankful for that.
[01:02:13.335 --> 01:02:18.460]  Now then, let me, uh, before I really focus on the two big stories, let's pick some other news stories up.
[01:02:20.211 --> 01:02:21.392]  And, uh, cover them.
[01:02:21.512 --> 01:02:22.653]  Like, did you know?
[01:02:22.893 --> 01:02:29.558]  So, so we're sitting here obsessing over this Pride Month thing, and then that's obviously due to the overwhelming propaganda and nature of it.
[01:02:30.950 --> 01:02:44.061]  You know, yesterday came and went, and you may have not heard, as I'm even a day late myself, that yesterday, May 25th, is National Missing Children's Day.
[01:02:44.882 --> 01:02:47.183]  National Missing Children's Day.
[01:02:47.904 --> 01:02:57.152]   And I think it's even more imperative that we remember this Considering the amount of children that are going missing now at the southern border every day.
[01:02:58.033 --> 01:03:11.707]  And it's even more disgusting because we realize the Biden administration is facilitating this process of the human trafficking, specifically of children, by not doing the DNA testing.
[01:03:13.188 --> 01:03:13.528]  So, look.
[01:03:15.700 --> 01:03:20.481]  You would think there'd be an issue that wouldn't be polarized.
[01:03:21.142 --> 01:03:36.886]  You would think there'd be an issue that wouldn't be political, that everybody would agree on, and that would be stopping children from getting trafficked, stopping children from getting kidnapped, stopping children from going missing.
[01:03:38.228 --> 01:03:45.935]  And yet here we are, the Biden administration is doing everything to make sure those situations at the southern border continue.
[01:03:47.676 --> 01:03:53.722]  They are not doing DNA testing when children come across the border.
[01:03:54.923 --> 01:04:06.204]   It's also well known, specifically to the coyotes, If you bring a minor across the border with you, many times, if not all times, that's basically a free pass.
[01:04:06.804 --> 01:04:18.087]  And so the coyotes and the human traffickers use children to bring people across the border and get them in, and now they don't even do the DNA testing.
[01:04:18.127 --> 01:04:32.580]   So any guy, gal, what have you, Can take a minor across the border and say, oh, that's my daughter, that's my niece, that's my nephew, what have you, and they get a free entry, and they don't even do the DNA testing to make sure that's the case.
[01:04:33.021 --> 01:04:34.842]  A totally dangerous situation.
[01:04:35.162 --> 01:04:40.927]  A lot of these children just end up becoming mules, essentially, a mule, like...
[01:04:42.060 --> 01:04:47.823]  Metro pass, and they just get passed back and forth over the border being used for illegal border crossings.
[01:04:48.103 --> 01:04:48.984]  Many of them die.
[01:04:49.244 --> 01:04:51.485]  Many of them get dropped from the 30-foot wall.
[01:04:51.865 --> 01:04:53.386]  All of this has been well documented.
[01:04:54.666 --> 01:04:56.087]  All of this has been well documented.
[01:04:56.127 --> 01:05:05.992]  In fact, they even had to admit 80,000 children have gone missing because of the open southern border phenomenon.
[01:05:06.012 --> 01:05:09.274]  80,000 children, ladies and gentlemen.
[01:05:10.876 --> 01:05:18.201]  If just 1% of those children end up in a trafficking situation, that should break every person's heart on this planet.
[01:05:20.902 --> 01:05:23.004]  And yet, we don't even think about it.
[01:05:23.564 --> 01:05:24.865]  We don't even make a big deal of it.
[01:05:25.045 --> 01:05:26.346]  We barely even talk about it.
[01:05:26.566 --> 01:05:27.647]  I'm guilty of it as well.
[01:05:27.767 --> 01:05:29.568]  I'm not above this criticism.
[01:05:30.448 --> 01:05:33.210]  And we sit here and talk about Pride Month.
[01:05:34.011 --> 01:05:54.711]   And we sit here and have to deal with the sexual propaganda aimed at children Instead of on the one day, the one day, where we at least should pretend to care about all the children being trafficked, we just completely skip over it and ignore it and it's not even a big national story.
[01:05:54.731 --> 01:05:57.214]  It's really sad.
[01:05:59.714 --> 01:06:13.041]  And I will tell you, this also ties into the situation in Ukraine, because that vassal state, that CIA, Western-backed vassal state, is a major trafficking hub, specifically with children.
[01:06:14.141 --> 01:06:38.929]   And in fact, I talked to individuals, some publicly, some privately, that work in the field of saving children from sex trafficking or going after child abusers and pedophiles, and they say a lot of the disgusting stuff that you find on the internet involving children comes out of Ukraine.
[01:06:42.011 --> 01:06:44.852]   Now, You think about that.
[01:06:44.872 --> 01:06:52.392]   You think about two of the major problem areas in the world when it comes to child abuse
[01:06:52.392 --> 01:06:58.072]   and child sex trafficking, the United States southern border and Ukraine, and it's got
[01:06:58.072 --> 01:07:07.952]  the Biden family fingerprints all over it.
[01:07:07.952 --> 01:07:09.432]  You know, maybe we should just do.
[01:07:09.432 --> 01:07:19.432]  [BLANK_AUDIO]
[01:07:11.701 --> 01:07:21.844]  You know, I don't know if we can actually do this because we have automated stuff that kicks in for radio silence here, but maybe we should do a moment of silence.
[01:07:24.725 --> 01:07:26.365]  Maybe we should do a moment of silence.
[01:07:27.125 --> 01:07:28.286]  I can't even fathom, folks.
[01:07:28.706 --> 01:07:29.306]  Your heart breaks.
[01:07:29.326 --> 01:07:30.566]  I mean, I look at my situation.
[01:07:30.586 --> 01:07:31.867]  I look at what I might be going through.
[01:07:31.907 --> 01:07:36.068]  I look at maybe they try to put me in jail the rest of my life or destroy me or kill me.
[01:07:37.335 --> 01:07:43.894]   All of those fates for Owen Schroer would be better than any child that ends up in the arms of a trafficker.
[01:07:43.894 --> 01:07:56.775]  So, I think just pull the music down to break guys.
[01:07:56.881 --> 01:07:58.141]  I don't want any music going to break.
[01:08:00.162 --> 01:08:02.743]  We need to ground ourselves on this issue, folks.
[01:08:05.868 --> 01:08:15.973]  The Lord God hears the cries of those innocent children and asks, why are we letting this happen?
[01:08:18.334 --> 01:08:27.979]  So, in honor of National Missing Children's Day here on the Alex Jones Show, I want to go to this break with a moment of silence.
[01:08:30.089 --> 01:08:39.634]  And just for this 10 seconds to break, just give your heart to them, pray for them, pray God's protection over them, and that somehow, someway, we can save them.
[01:08:39.654 --> 01:08:42.956]  Alright, let's dig into some of this news now.
[01:08:44.397 --> 01:08:51.581]  Target partners with organization pushing for kids' genders to be secretly changed in schools without parental consent.
[01:08:52.561 --> 01:08:57.664]  We continue to support their mission, Target Corporation said about GLSEN, that's the group.
[01:08:59.318 --> 01:09:07.440]  Now again, how is there... You just can't even believe this exists!
[01:09:09.001 --> 01:09:10.261]  You can't even believe this exists!
[01:09:12.402 --> 01:09:16.963]  Let me try to explain why this is going on to the best of my ability here.
[01:09:18.944 --> 01:09:19.864]  It's very complex.
[01:09:20.004 --> 01:09:20.905]  I'm going to try to sum it up.
[01:09:22.185 --> 01:09:32.881]   American culture, generally speaking, which Has been influenced more by the liberal left than the conservative right in this country for decades.
[01:09:34.161 --> 01:09:40.183]  American culture has become degenerative, immoral filth for the most part.
[01:09:42.223 --> 01:09:47.244]  And so you're just supposed to accept that now, that that's normal.
[01:09:48.544 --> 01:10:08.783]   So now they push it to the next level Using the LGBTQ plus pedophile propaganda as their shield, saying you can't say anything a negative that is ever labeled LGBTQ plus or you're a bigot.
[01:10:10.364 --> 01:10:34.578]   So now they promote this idea, this concept, and this is totally Marxist, this is totally communist, this concept that you don't have the right to raise your children, or that Children shouldn't be protected, whether that's by the government, by the parents, what have you, that minors don't deserve protection from predators.
[01:10:35.499 --> 01:10:43.061]  And so they use the smokescreen, they use the shield of LGBTQ plus pride to target your children for abuse.
[01:10:43.441 --> 01:10:45.222]  Because that's exactly what this is.
[01:10:46.622 --> 01:10:54.292]   If some predator convinces your child to chop their arm off, Oh, hi little boy.
[01:10:55.173 --> 01:10:57.113]  My poor daughter is missing an arm.
[01:10:57.633 --> 01:11:00.154]  Do you think maybe you could donate yours?
[01:11:00.554 --> 01:11:02.054]  And then they go chop that boy's arm off.
[01:11:02.354 --> 01:11:03.875]  Well, that's a crime.
[01:11:04.255 --> 01:11:12.057]  But oh, when it's LGBTQ+, and it's in the classroom, or it's a drag queen, and they're saying, hey, you could be trans too.
[01:11:12.477 --> 01:11:13.817]  We'll take you to the doctor.
[01:11:14.117 --> 01:11:15.457]  We'll chop your genitals off.
[01:11:15.497 --> 01:11:16.038]  Don't worry.
[01:11:16.098 --> 01:11:17.458]  We won't tell mommy and daddy.
[01:11:20.283 --> 01:11:24.907]  100% of people that hear that should say, nope, that's a predator, that's a crime, you shouldn't be allowed to do it.
[01:11:24.947 --> 01:11:25.708]  But, oh!
[01:11:25.788 --> 01:11:26.148]  Whoa, whoa!
[01:11:26.428 --> 01:11:27.909]  Oh, it's LGBTQ pride?
[01:11:28.130 --> 01:11:29.331]  Well, I don't want to touch that, then.
[01:11:30.992 --> 01:11:32.313]  I don't want to be considered a bigot.
[01:11:33.974 --> 01:11:35.756]  I don't want that mafia coming after me.
