[00:00:00.029 --> 00:00:01.792]  Drudge Report captured operation.
[00:33:58.598 --> 00:34:05.923]  They put all these George Soros idiots in there to try to set up the judicial tyranny against us, and it's backfiring.
[00:34:05.963 --> 00:34:07.544]  But I gotta warn you again.
[00:34:12.122 --> 00:34:13.663]  All they keep doing is doubling down.
[00:34:13.743 --> 00:34:15.544]  So, you don't need to be a rocket scientist.
[00:34:15.604 --> 00:34:16.104]  I've said this.
[00:34:16.124 --> 00:34:17.005]  Tucker Carlson said it.
[00:34:18.125 --> 00:34:19.366]  Congressman Matt Gage has said it.
[00:34:20.467 --> 00:34:21.467]  Jack Posobiec said it.
[00:34:22.708 --> 00:34:24.549]  Oh, I dropped the ball.
[00:34:25.949 --> 00:34:26.870]  I forgot to tell the crew.
[00:34:26.910 --> 00:34:28.171]  Roger Stone's supposed to be on right now.
[00:34:29.571 --> 00:34:30.132]  I dropped the ball.
[00:34:32.533 --> 00:34:33.473]  Jeez, it's my fault.
[00:34:34.294 --> 00:34:35.054]  I get so busy.
[00:34:35.274 --> 00:34:36.035]  So much goes on.
[00:34:36.055 --> 00:34:37.255]  I set him up myself.
[00:34:38.676 --> 00:34:39.877]  Let me just call Roger right now.
[00:34:42.918 --> 00:34:45.640]  I talked to him, uh, last night.
[00:34:46.921 --> 00:34:47.622]  He's calling right now.
[00:34:47.642 --> 00:34:50.324]  We need to hear from Roger Stone right now.
[00:34:50.805 --> 00:34:51.165]  Hello?
[00:34:51.465 --> 00:34:53.247]  Hey, I apologize, I got you on air right now.
[00:34:53.347 --> 00:34:54.688]  I dropped the ball, didn't tell him you were on.
[00:34:54.708 --> 00:34:56.930]  Can we, uh, can we dial into you right now?
[00:34:57.871 --> 00:35:01.073]  Uh, yeah, give me, uh, three seconds.
[00:35:01.213 --> 00:35:02.114]  Did you forget to?
[00:35:02.134 --> 00:35:07.038]  Uh, no, actually, I just had a conference call that ran over, so let me go on.
[00:35:07.299 --> 00:35:08.219]  Oh, so perfect.
[00:35:08.900 --> 00:35:11.022]  You want to wait until the start of the next hour, or you want to go now?
[00:35:13.284 --> 00:35:13.864]  15 minutes from now.
[00:35:14.205 --> 00:35:16.045]  Yeah, let's go in 15 minutes.
[00:35:16.165 --> 00:35:16.526]  I'll be up.
[00:35:16.566 --> 00:35:18.306]  All right, we'll do 30 minutes next hour.
[00:35:18.486 --> 00:35:19.147]  Vivek's coming on.
[00:35:19.907 --> 00:35:20.507]  All right, perfect.
[00:35:20.527 --> 00:35:21.127]  All right, thanks, bye.
[00:35:23.748 --> 00:35:24.449]  Well, that works out.
[00:35:25.709 --> 00:35:26.930]  He forgot to, basically.
[00:35:27.190 --> 00:35:27.970]  All right, we're all busy.
[00:35:28.430 --> 00:35:28.670]  Okay.
[00:35:29.331 --> 00:35:31.532]  I was about to talk about Roger Stone.
[00:35:31.552 --> 00:35:34.733]  I'm like, wait, we need Roger on, and he has to talk to the big guy.
[00:35:34.773 --> 00:35:35.333]  I'll leave it at that.
[00:35:37.474 --> 00:35:39.535]  Oh, boy, we were up late last night, I tell you.
[00:35:41.584 --> 00:35:43.584]  And all the globalist fears are coming true.
[00:35:46.345 --> 00:35:48.566]  Because I didn't used to advise Trump heavily.
[00:35:49.166 --> 00:35:55.087]  They just thought, well, this is a colorful character, and we can take stuff out of context he's done to make Trump look bad.
[00:35:55.127 --> 00:35:56.588]  So they blew me up.
[00:35:56.668 --> 00:35:58.368]  And I was already huge with conservatives and stuff.
[00:35:58.408 --> 00:36:04.489]  I mean, hell, at the RNC in 2016, a third of the 100,000 people there were wearing my T-shirt.
[00:36:04.509 --> 00:36:06.490]  So you go out there, just T-shirts everywhere.
[00:36:07.530 --> 00:36:10.891]  The left finally went and their arrogance kind of deflated, which was a bad thing.
[00:36:10.951 --> 00:36:17.654]  We love them being arrogant and blind to the fact that we're taking the country back peacefully, intellectually, politically, financially, spiritually.
[00:36:19.214 --> 00:36:21.775]  And they're like, we'll say he's Trump's brain.
[00:36:24.296 --> 00:36:28.497]  And it became a self-fulfilling prophecy.
[00:36:29.518 --> 00:36:36.460]  And I'm not going to, it's not with even me and Roger and Trump, but the main advisors to Trump listen every day.
[00:36:39.002 --> 00:36:42.646]  And a lot of my analysis and my game plan gets put in there.
[00:36:42.886 --> 00:36:43.367]  It's beautiful.
[00:36:43.387 --> 00:36:45.749]  It's absolutely beautiful.
[00:36:46.410 --> 00:36:49.493]  And of course, you never even hear in the news who his main advisors are.
[00:36:51.416 --> 00:36:53.416]  They don't even know.
[00:36:53.416 --> 00:36:55.416]  They don't even know.
[00:36:55.416 --> 00:36:59.416]  They don't even know.
[00:36:59.416 --> 00:37:01.416]  We're 10 steps ahead of them.
[00:37:01.416 --> 00:37:11.416]  [BLANK_AUDIO]
[00:37:03.737 --> 00:37:05.358]  That's why we know how much danger we're in.
[00:37:06.178 --> 00:37:11.761]  Because the left creeps up to the edge every time they escalate and think, well, we'll just do a little more and see what happens.
[00:37:12.222 --> 00:37:15.803]  But if you look at the continuum, you are going straight up with the escalation.
[00:37:16.524 --> 00:37:18.805]  It is cuckoo for Cocoa Puffs what you're doing.
[00:37:19.505 --> 00:37:23.628]  And we're thinking 3, 4, 5, 6, 7, 8, 9, 10, 12 moves out.
[00:37:24.008 --> 00:37:27.490]  And not just linear, we've got major dialectic scans.
[00:37:27.890 --> 00:37:28.750]  We don't need AI to do it.
[00:37:28.810 --> 00:37:31.452]  We got the advanced intelligence, not the artificial intelligence.
[00:37:32.881 --> 00:37:45.549]  To algorithm it with the autistics we've got, and they know they're autistics, Asperger's geniuses, and they concur with my analysis, and so I bounce this off and I'm basically autistic in a way.
[00:37:45.629 --> 00:37:52.753]  Anybody that's really got advanced knowledge, it's not magic, the brain knows it, but how do you compute it down?
[00:37:54.134 --> 00:37:56.876]  It's Luke Skywalker blows up the Death Star without the computer, folks.
[00:37:58.818 --> 00:37:59.778]  And that's what we're doing here.
[00:37:59.798 --> 00:38:02.199]  So I don't say that to brag.
[00:38:03.500 --> 00:38:06.061]  It's just become a giant self-fulfilling prophecy.
[00:38:07.181 --> 00:38:11.963]  Because they said I was Trump's brain and I... I mean we were like 10% of what he was doing.
[00:38:12.403 --> 00:38:13.904]  And like 30% of his talking points.
[00:38:13.944 --> 00:38:15.225]  But they're right.
[00:38:15.365 --> 00:38:19.766]  The new Trump presidency will be the people's presidency.
[00:38:19.926 --> 00:38:23.048]  It'll be the Alex Jones presidency show.
[00:38:24.249 --> 00:38:25.930]  We know your next move's ahead of you.
[00:38:26.150 --> 00:38:26.690]  Just know that.
[00:38:27.390 --> 00:38:30.271]  You may have the, quote, power, but not for long, scumbags.
[00:38:30.732 --> 00:38:34.733]  Conspiracy theorists just means somebody that's informed that the establishment doesn't want to debate.
[00:38:35.934 --> 00:38:37.374]  Just means somebody that's done their research.
[00:38:38.014 --> 00:38:40.195]  Yeah, we're running out of conspiracy theories that haven't come true.
[00:38:40.615 --> 00:38:41.916]  Here's Harrison Smith's breakdown.
[00:38:41.936 --> 00:38:47.018]  Some of these conspiracy theories have turned out to be true.
[00:38:48.283 --> 00:38:48.843]  Which ones?
[00:38:49.284 --> 00:39:20.861]   The Trump-Russia witch hunt, Jeffrey Epstein, JFK assassination, the misuse of the Patriot Act, the Iraq War, the weapons of mass destruction, the war in Ukraine, the bombing of the Nord Stream Pipeline, the open border migration caravans, the climate change scam, Kim Trails, and HAARP, and 9-11 being an inside job, and the Internet of Things surveillance grid, and PFAs, and chemicals in the water turning everyone gay, and the 2020 election being stolen, and January 6 being filled with undercover feds, and Bilderberg, and Bohemian Grove, and global government, not to mention gain of function Drugs report, captured operation, MAGA nightmare before Christmas, Don kicked out ballots, Supremes to make final decision.
[00:39:20.681 --> 00:39:24.161]   ballots and big tech censorship and disinformation agencies and Obama's
[00:39:24.161 --> 00:39:27.681]   birth certificate and probably some others I can't think of I mean so a few
[00:39:27.681 --> 00:39:31.840]  of them I guess a couple of them have been true.
[00:39:31.840 --> 00:39:39.001]   Drudge report captured operation MAGA nightmare before Christmas Don kicked
[00:39:39.001 --> 00:39:45.199]   out ballots Supremes to make final decision no it's your nightmare a snail
[00:39:45.199 --> 00:40:01.241]   going along the edge of a straight razor and surviving While the left are all delusional in their ivory towers, giggling and laughing and celebrating and taking drugs, we're out here in the jungle getting stronger.
[00:40:01.862 --> 00:40:05.862]   getting persecuted, getting attacked, getting run through the drills.
[00:40:05.862 --> 00:40:11.862]  [laughs]
[00:40:11.862 --> 00:40:13.862]  They're gonna lose, ladies and gentlemen.
[00:40:13.862 --> 00:40:23.862]  [BLANK_AUDIO]
[00:40:15.199 --> 00:40:16.199]  But it's gonna be rough.
[00:40:17.240 --> 00:40:20.221]  They should just surrender now, but they don't know how to.
[00:40:20.921 --> 00:40:23.903]  Because on average, they're a 65-year-old lawyer.
[00:40:26.744 --> 00:40:27.704]  On methamphetamines.
[00:40:30.785 --> 00:40:33.347]  That are soulless trash.
[00:40:35.447 --> 00:40:38.949]  With Ivy League educations, taught to hate America.
[00:40:40.287 --> 00:40:43.829]  If they had half a brain, they would want to lead it, even if they were evil.
[00:40:44.289 --> 00:40:45.929]  They want to empower it and use it.
[00:40:46.650 --> 00:40:49.591]  But they've got Little Ding Dong Syndrome.
[00:40:50.932 --> 00:40:52.292]  The Polionic Syndrome.
[00:40:55.374 --> 00:40:56.354]  Little Man Syndrome.
[00:40:57.975 --> 00:41:00.096]  And they don't like seeing you have prosperity.
[00:41:01.236 --> 00:41:02.437]  They don't like seeing you strong.
[00:41:02.677 --> 00:41:04.298]  They want you weak, because they're weak.
[00:41:06.478 --> 00:41:09.540]  They want to look down on you so they can feel powerful.
[00:41:10.845 --> 00:41:13.448]  They're so stupid, they don't know it all blows back on them.
[00:41:13.268 --> 00:41:20.268]   them. They don't even understand you reap what you sow or what you can call karma. Or
[00:41:20.268 --> 00:41:23.867]  dharma.
[00:41:24.138 --> 00:41:28.202]  I'm not a Hindu, I'm not promoting that, but those ideas are certainly real.
[00:41:32.068 --> 00:41:34.609]  I mean, I'm scared to do anything wrong.
[00:41:35.069 --> 00:41:37.130]  A, I want to be good because it feels good to be good.
[00:41:37.150 --> 00:41:37.891]  It gets me closer to God.
[00:41:37.911 --> 00:41:39.771]  I can feel myself, by degrees, getting closer to God.
[00:41:40.131 --> 00:41:48.715]  The more honest I am, the more courage I have, the stronger I am, the more focused I am, the harder working I am, the more I sacrifice, I just get happier.
[00:41:49.916 --> 00:41:50.676]  I get smarter.
[00:41:51.256 --> 00:41:57.459]  And any time I tell a lie, and I still do it sometimes, not on air, I do not lie on air, but we all lie.
[00:41:59.963 --> 00:42:00.925]  I do it very rarely now.
[00:42:01.866 --> 00:42:04.170]  And when I do, I feel like I've been brought down a couple levels.
[00:42:04.190 --> 00:42:05.693]  Like, whoa, this is like, bzzzzzzz.
[00:42:07.376 --> 00:42:10.602]  I'm like, oh, wow, that's not, wow, I didn't even mean to tell that lie.
[00:42:14.093 --> 00:42:16.715]  It's so much better when your mom's like, so you really like that woman, think she's hot.
[00:42:17.455 --> 00:42:19.697]  I'm like, yeah, I mean, God made humans.
[00:42:19.737 --> 00:42:20.498]  I'm attracted to women.
[00:42:20.558 --> 00:42:23.300]  I'm, you know, I'm, yeah, you're super attractive and way more, you know, way more attractive.
[00:42:23.340 --> 00:42:26.802]  But I mean, I mean, she said, oh no, I don't think she's attractive at all.
[00:42:26.962 --> 00:42:30.144]  I, you know, I'm like, yeah, she's, she's, she's hot.
[00:42:30.905 --> 00:42:31.185]  Sorry.
[00:42:34.488 --> 00:42:35.548]  Just stop lying folks.
[00:42:36.429 --> 00:42:37.149]  It's much easier.
[00:42:38.090 --> 00:42:40.592]  Cause then your brain gets trained to not think about what it's going to say.
[00:42:40.852 --> 00:42:41.913]  It just spits the truth out.
[00:42:43.424 --> 00:43:00.838]  The deepest thing Trump ever said, and man, it's philosophy, is he said in one of his books, I've read the book, I forget the book, he said, the deepest thing I ever discovered was to be shallow.
[00:43:04.081 --> 00:43:05.001]  Roll that over your head.
[00:43:06.563 --> 00:43:13.008]  The deepest thing and the most important thing in my life is to be shallow.
[00:43:17.216 --> 00:43:25.303]  And then he went to say, what I mean by shallow is, I instantly go with what I think is right immediately.
[00:43:28.525 --> 00:43:29.546]  Well, that's not shallow.
[00:43:30.287 --> 00:43:40.495]  That's all your ancestors, all your instincts, your spirit, your discernment, everything, and you instantly know the right thing to do.
[00:43:40.555 --> 00:43:45.920]  You know what's going on, but you lie to yourself because at another level, you've got another desire.
[00:43:47.369 --> 00:43:55.735]  And as you get older, you learn, okay, well, part of me, my flesh wants to do this, but my gut tells me it's a bad idea.
[00:43:56.576 --> 00:43:58.417]  And I can make excuses of why it's okay.
[00:44:00.779 --> 00:44:05.142]  But every time you go against the instinct, you're wrong.
[00:44:08.404 --> 00:44:10.666]  Man, my instincts are so strong.
[00:44:11.186 --> 00:44:13.248]  When I was young, they were like razor sharp.
[00:44:14.158 --> 00:44:20.274]  God, as you get older, you get more numb to so much contact, so much habit, you get scarred, you learn to shut things down.
[00:44:20.515 --> 00:44:21.898]  That's the problem, when you don't feel pain.
[00:44:23.120 --> 00:44:29.002]  It's easy to compartmentalize things and bad things that happen to be tough, but I've learned to really just sit down and take in the pain.
[00:44:29.843 --> 00:44:31.163]  I was doing that at 5 a.m.
[00:44:31.183 --> 00:44:36.045]  this morning and I was really upset about some things in my family and loss and things like that.
[00:44:36.065 --> 00:44:41.627]  So I just, I got a cup of coffee and I sat in the chair in the dark and I just said, I want all the pain.
[00:44:41.767 --> 00:44:43.188]  I just want to feel this pain right now.
[00:44:43.208 --> 00:44:45.068]  I'm going to just absorb it.
[00:44:45.148 --> 00:44:45.909]  I just sat there.
[00:44:46.089 --> 00:44:46.649]  It was horrible.
[00:44:46.669 --> 00:44:55.475]   But I externalized it, I took it into the consciousness, from the subconscious.
[00:44:59.118 --> 00:45:00.699]  And it was like having my heart ripped out.
[00:45:02.841 --> 00:45:08.205]  When I did that, it wiped it clean.
[00:45:09.926 --> 00:45:10.947]  Like I threw it in the garbage.
[00:45:13.549 --> 00:45:23.362]   But I had to fully say, I want to feel every ounce of pain, and every ounce of regret, And every ounce of how some of it was my fault.
[00:45:23.822 --> 00:45:24.883]  And God, I'm sorry.
[00:45:25.003 --> 00:45:26.443]  Please help me be better.
[00:45:27.944 --> 00:45:30.765]  I'm so sorry for things I did in the past when I didn't understand.
[00:45:30.945 --> 00:45:32.266]  Please heal me.
[00:45:33.426 --> 00:45:34.227]  Please help me.
[00:45:34.507 --> 00:45:34.967]  Please.
[00:45:38.629 --> 00:45:40.409]  And that's what a man is supposed to do.
[00:45:42.210 --> 00:45:43.591]  Don't run away from your problems.
[00:45:45.336 --> 00:45:46.477]  Don't hide from the truth.
[00:45:47.738 --> 00:45:48.778]  Don't hide from the pain.
[00:45:50.099 --> 00:45:52.099]  embrace the pain.
[00:45:52.099 --> 00:45:58.698]  It's not that I don't mind the pain.
[00:45:58.698 --> 00:46:08.699]  [BLANK_AUDIO]
[00:46:01.807 --> 00:46:02.667]  I love the pain.
[00:46:05.009 --> 00:46:06.290]  Because the pain is the truth.
[00:46:07.971 --> 00:46:08.971]  The hurt is the truth.
[00:46:10.772 --> 00:46:12.714]  And the getting humble before God is the truth.
[00:46:13.780 --> 00:46:21.987]  And realizing my hair is all gonna fall out, my teeth are gonna fall out, and I'm gonna be brought low because I'm not God.
[00:46:23.448 --> 00:46:24.429]  But I was made by God.
[00:46:25.410 --> 00:46:31.975]  And I'm experiencing God's plan, and I am turning loose like a leaf thrown in a stream in God's plan.
[00:46:32.115 --> 00:46:39.001]  And then God directs you through that river, through that stream, through that brook, where you're supposed to go.
[00:46:39.661 --> 00:46:42.484]  And then the real adventure begins.
[00:46:44.645 --> 00:46:45.447]  I always tell the crew.
[00:46:46.649 --> 00:46:47.991]  I want to know the worst.
[00:46:48.532 --> 00:46:50.075]  I don't want stuff hidden from me.
[00:46:51.197 --> 00:46:51.838]  Give it to me!
[00:46:53.052 --> 00:46:57.153]  Because I can't defend innocence and freedom without really knowing how bad it is.
[00:46:57.453 --> 00:46:58.074]  I'm going to go to break.
[00:46:58.094 --> 00:47:00.054]  I want to thank you all for keeping us on air.
[00:47:00.074 --> 00:47:00.674]  You've been amazing.
[00:47:00.714 --> 00:47:02.295]  Plus, we've got products you really need.
[00:47:02.835 --> 00:47:04.236]  Store-wide free shipping is still going.
[00:47:04.296 --> 00:47:10.237]  Double Patriot Points, Turbo Force, 10 hours of energy, X2, the highest quality vitamin D3.
[00:47:10.678 --> 00:47:11.198]  So important.
[00:47:11.218 --> 00:47:12.638]  I remind myself I should be taking it every day.
[00:47:12.658 --> 00:47:13.078]  I am now.
[00:47:13.418 --> 00:47:13.939]  Out of the tongue.
[00:47:13.959 --> 00:47:14.999]  You're not getting sun during the winter.
[00:47:15.399 --> 00:47:16.159]  I don't want to get sick.
[00:47:18.280 --> 00:47:18.840]  Winter sun.
[00:47:19.020 --> 00:47:20.401]  Infowarstore.com.
[00:47:20.541 --> 00:47:32.193]   And finally, My dad's company, drjonesnaturals.com, has brought back the original silver toothpaste with the nano-silver and a whole silver lineup.
[00:47:32.233 --> 00:47:37.998]  The wound gel, the silver gargle, it's all available exclusively at drjonesnaturals.com.
[00:47:40.302 --> 00:47:41.803]  DrJonesNaturals.com.
[00:47:41.923 --> 00:47:43.424]  Doctor is one word.
[00:47:43.544 --> 00:47:50.807]  DrJonesNaturals.com and the organic toothpaste and mouthwash and everything's there.
[00:47:50.867 --> 00:47:56.810]  Some of it's on InfoWarsaw.com, but all the silver stuff and PMS Guard and Primal Youth.
[00:47:56.870 --> 00:47:57.811]  Wow, that's powerful.
[00:47:58.431 --> 00:47:59.472]  And all of that stuff.
[00:48:00.352 --> 00:48:01.052]  Go back to all those.
[00:48:01.353 --> 00:48:03.474]  Those are finally all back in stock.
[00:48:05.134 --> 00:48:06.175]  It's all back in stock.
[00:48:06.195 --> 00:48:07.235]  A lot of it's limited supplies.
[00:48:07.576 --> 00:48:07.956]  DR.
[00:48:10.868 --> 00:48:11.729]  Naturals.com.
[00:48:11.769 --> 00:48:12.930]  Dr. Jones Naturals.
[00:48:13.870 --> 00:48:18.013]  DrJonesNaturals.com.
[00:48:19.655 --> 00:48:22.357]  You can get those right now.
[00:48:24.618 --> 00:48:29.042]  So take advantage of that at DrJonesNaturals.com.
[00:48:29.062 --> 00:48:31.704]  Just DrJonesNaturals.com.
[00:48:32.184 --> 00:48:38.389]  And you can get Turbo Force 10-hour incredible clean energy at InfoWarsTore.com.
[00:48:41.052 --> 00:48:42.273]  We're launching Operation Team Humanity.
[00:48:42.293 --> 00:48:42.814]  Please get the shirt.
[00:48:42.854 --> 00:48:43.635]  Keeps us on air.
[00:48:43.655 --> 00:48:44.095]  Team Humanity shirt.
[00:48:44.115 --> 00:48:44.516]  Infowarstore.com.
[00:48:44.876 --> 00:48:47.876]  Back in stock, 40% off, free shipping right now.
[00:48:47.876 --> 00:48:49.876]  I want to thank you all for your incredible support.
[00:48:49.876 --> 00:48:53.876]   And we have the Team Humanity limited edition Elon Musk-inspired Alex Jones.
[00:48:53.876 --> 00:48:55.876]  I had the idea, he loves it.
[00:48:55.876 --> 00:48:57.876]  We're launching Operation Team Humanity.
[00:48:57.876 --> 00:48:58.876]  Please get the shirt.
[00:48:58.876 --> 00:48:59.876]  Keeps us on air.
[00:48:59.876 --> 00:49:01.876]  Team Humanity shirt, infowarestore.com.
[00:49:01.876 --> 00:49:02.876]  We'll be right back.
[00:49:02.876 --> 00:49:10.876]   On March 6, 2001, Alex Jones first predicted the September 11th attack on the World Trade Center.
[00:49:11.248 --> 00:49:21.515]  You've got an element of the FBI and these war game scenarios where they can remote control a 747 and they're going to crash it into the World Trade Center.
[00:49:22.335 --> 00:49:28.440]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:49:28.960 --> 00:49:33.463]  Visit InfoWars.com forward slash show and share the link today.
[00:49:33.863 --> 00:49:35.986]  What if you had a chance to take on the globalists?
[00:49:36.327 --> 00:49:43.676]  What if you had a chance to stand up against everything the UN and Bill Clinton and Barack Obama and all these globalists are doing?
[00:49:44.117 --> 00:49:45.038]  Would you support it?
[00:49:45.378 --> 00:49:46.059]  Well, guess what?
[00:49:46.239 --> 00:49:48.242]  We're not some fly-by-night operation.
[00:49:48.262 --> 00:49:49.324]  I've been on the air 29 years.
[00:49:49.684 --> 00:49:52.185]  And we have devastated the New World Order together.
[00:49:52.725 --> 00:49:55.126]  But now more than ever, I need your support.
[00:49:55.186 --> 00:50:02.648]  And I make it easy by bringing you the best books, the best films, the best supplements, the best water filtration, the best everything.
[00:50:03.288 --> 00:50:15.452]  And right now for Christmas, only a week or so left, free shipping store-wide, double Patreon points, X2 back in stock, massively discounted, Vitamineral Fusion about to sell out, still discounted.
[00:50:16.152 --> 00:50:19.034]  TurboForce, 10 hours of energy, back in stock.
[00:50:19.415 --> 00:50:26.600]  Please go to InfowarStore.com right now, ladies and gentlemen, and get great products and fund the Infowar.
[00:50:26.921 --> 00:50:29.823]  I respectfully ask for your support, and I thank you for your support.
[00:50:30.043 --> 00:50:30.504]  God bless.
[00:50:33.553 --> 00:50:36.796]  Roger Jones coming up, Vivek Ramaswamy and more.
[00:50:37.697 --> 00:50:43.762]  Big news on the open coup against America and our right to vote for who we see fit coming up.
[00:50:44.582 --> 00:50:46.124]  The enemy has taken off the mask.
[00:50:46.804 --> 00:50:48.906]  They are now out in the open.
[00:50:49.206 --> 00:50:50.447]  We just launched a new report.
[00:50:50.828 --> 00:50:53.170]  It went up on X a few minutes ago at Real Alex Jones.
[00:50:53.530 --> 00:50:55.952]  Hope you repost it, retweet it.
[00:50:57.506 --> 00:50:57.766]  U.S.
[00:50:57.826 --> 00:51:00.607]  court orders release of 180 Epstein-linked names.
[00:51:00.708 --> 00:51:02.488]  Will Bill Gates be on the list?
[00:51:02.508 --> 00:51:05.410]  I get into that in the special report we're about to play.
[00:51:06.010 --> 00:51:10.512]  And these photos coming out with Bill Gates and the rest of them with the abusers of children.
[00:51:10.532 --> 00:51:14.934]  But the real abuse is more polio cases now caused by vaccine than by wild viruses.
[00:51:15.534 --> 00:51:16.274]  AP reports.
[00:51:16.335 --> 00:51:17.075]  And who was behind that?
[00:51:18.527 --> 00:51:21.309]  Bill Gates, ladies and gentlemen.
[00:51:22.010 --> 00:51:26.534]  So, whether he's raping kids or not, he's raping them with these bio-weapons.
[00:51:26.594 --> 00:51:30.557]  So, I'm going to play this very, very important short report.
[00:51:31.217 --> 00:51:40.285]  And I know you already know about this, folks, so why don't you go get it at X, or we'll post it at Infowars.com and share it, because that's what the establishment's scared of.
[00:51:40.365 --> 00:51:42.366]  That's what keeps them up at night, is you.
[00:51:42.707 --> 00:51:44.008]  You got all the power!
[00:51:45.467 --> 00:51:46.328]  I'm just one of you.
[00:51:47.109 --> 00:51:49.010]  It's when you take action we're unstoppable.
[00:51:49.531 --> 00:51:50.292]  Here's the report.
[00:51:50.612 --> 00:51:51.473]  Share the hell out of it.
[00:51:52.094 --> 00:52:00.353]   Yesterday, a federal judge in New York ordered the Epstein client list of men having sex
[00:52:00.353 --> 00:52:10.534]  with children to be released to the world.
[00:52:10.534 --> 00:52:14.693]   If this really happens, it's going to send shockwaves throughout the political structure.
[00:52:15.122 --> 00:52:22.608]  Because we now know that Epstein was working with the CIA, MI6, and primarily Mossad.
[00:52:23.749 --> 00:52:26.911]  Israeli leaders were caught going in and out of the building many, many times.
[00:52:28.433 --> 00:52:31.655]  The King of England's brother is deeply implicated as well.
[00:52:32.536 --> 00:52:43.960]   Now, the big question is, will Bill Gates and the Prince and others be on the list or is this just a partial list they're going to be releasing?
[00:52:44.600 --> 00:52:52.244]  From our intel though it looks like some of the really high-end people that were involved in this and being knowingly compromised may not have had their names on the list.
[00:52:52.284 --> 00:53:04.509]   What really matters is the flight logs and Bill Gates and Bill Clinton and all these guys are all over those flight logs going On the Lolita Express to Epstein's Little St.
[00:53:04.609 --> 00:53:05.349]  John's Island.
[00:53:05.869 --> 00:53:11.431]  We're going to be breaking all of this down today at Infowars.com forward slash show.
[00:53:11.471 --> 00:53:15.932]  We'll also put links up here on the Real Alex Jones on X. But I want to make something very clear.
[00:53:17.052 --> 00:53:23.253]  Whether Bill Gates is on the list or not, Bill Gates was heavily involved with Epstein and denied it and lied about it.
[00:53:23.273 --> 00:53:26.114]  And that was the main reason his wife said that she left him.
[00:53:26.174 --> 00:53:27.214]  That was one of the main reasons.
[00:53:27.975 --> 00:53:28.735]  But here's the facts.
[00:53:30.003 --> 00:53:40.335]  Bill Gates, the AP, Reuters, they've all reported, funded the programs in different parts of the third world that have been proven to be the main cause of polio.
[00:53:40.495 --> 00:53:43.739]  The majority of new polio cases are vaccine-induced.
[00:53:44.479 --> 00:53:48.184]  This is the same guy that talks about, well, we just shoot experimental stuff right in the little kid's arms.
[00:53:48.584 --> 00:53:55.610]  We're taking things that are, you know, genetically modified organisms and we're injecting them in little kids' arms.
[00:53:55.630 --> 00:53:57.191]  We just shoot them right into the vein.
[00:53:57.772 --> 00:53:59.834]  Who died and made Bill Gates our doctor?
[00:54:00.334 --> 00:54:02.736]  Who made him the person over our bodies?
[00:54:03.056 --> 00:54:10.062]  And now he's supporting the UN treaty to turn control of our bodies and major medical responses over to the United Nations.
[00:54:10.563 --> 00:54:14.806]  So I don't know if Bill Gates ever had sex or molested any children.
[00:54:15.046 --> 00:54:15.547]  I don't know that.
[00:54:15.667 --> 00:54:16.508]  There's no evidence of that.
[00:54:17.108 --> 00:54:22.132]  But there is massive evidence of him trying to bring in a bio-medical tyranny worldwide.
[00:54:22.833 --> 00:54:33.281]  And at the end of the day, being raped by some experimental shot that gives you polio, I think is even worse than being sexually raped, but I'm certainly not lessening that.
[00:54:34.242 --> 00:54:35.102]  But this is the reality.
[00:54:35.182 --> 00:54:43.509]  This man, and the people that he has basically had working for him setting up this planetary medical dictatorship, are monsters, ladies and gentlemen.
[00:54:44.878 --> 00:55:00.324]  They're not our doctors, they're not our bosses, they don't control our bodies, and we need a worldwide declaration of independence against Bill Gates, the UN, Klaus Schwab, and all of them, and this UN treaty, which the official draft is out right now, that literally takes control of our nation's medical responses and our bodies.
[00:55:00.864 --> 00:55:06.906]  I'll see you at Infowars.com forward slash show, and I can't wait to see who's on that list when it gets released January 1st.
[00:55:08.976 --> 00:55:11.196]  All other networks lie to you about what's happening now.
[00:55:11.557 --> 00:55:14.177]  InfoWars tells you the truth about what's happening next.
[00:55:14.617 --> 00:55:18.918]  Visit InfoWars.com forward slash show and share the link today.
[00:55:18.938 --> 00:55:21.539]  All right, there's Roger Stone right there on screen.
[00:55:21.559 --> 00:55:23.159]  We're going to break in 60 seconds.
[00:55:23.179 --> 00:55:28.220]  He's got the down low on this Colorado operation against the American voter.
[00:55:28.780 --> 00:55:35.701]  Roger Stone is about to lay out what really happened in Colorado yesterday and what it means to America and the deep state coup.
[00:55:37.162 --> 00:55:46.372]   The Democratic Party is the greatest threat to planetary peace and survival the world has ever seen.
[00:55:46.412 --> 00:55:52.958]  They've established judicial tyranny in many areas of the nation and they are the totalitarians.
[00:55:53.038 --> 00:55:56.281]  They are the ones establishing a bureaucratic dictatorship.
[00:55:56.682 --> 00:56:00.886]  They are the ones surveilling and censoring and targeting their political opposition.
[00:56:01.346 --> 00:56:09.712]   They are the tyrants and everything they do Blows up in their tyrannical faces.
[00:56:10.552 --> 00:56:13.792]  The problem is they keep doubling down.
[00:56:15.453 --> 00:56:19.714]  President Trump was never convicted of insurrection, never charged with it.
[00:56:20.074 --> 00:56:32.857]  How do you then get precluded under a Civil War law from running for office when you're the front runner and you're taking off the ballot when you've not been convicted?
