[00:00:00.029 --> 00:00:00.571]  Oh, no!
[00:37:50.647 --> 00:37:52.267]  Yes, let me, thank you Alex.
[00:37:52.547 --> 00:37:56.448]  Let me first explain, because a lot of people don't seem to understand this.
[00:37:57.808 --> 00:38:00.529]  It is like having a layaway plan.
[00:38:00.969 --> 00:38:04.330]  You go to a store and you're going to buy something, but you don't have all the money yet.
[00:38:04.830 --> 00:38:09.111]  So you just keep adding money into it, until you have enough money, and then you go pick it up.
[00:38:09.813 --> 00:38:15.034]  Now imagine that you go pick it up and you go to the place where the store was, and the store is no longer there.
[00:38:15.914 --> 00:38:16.954]  And you put all the money in.
[00:38:17.735 --> 00:38:20.635]  That's exactly what happened to me.
[00:38:20.655 --> 00:38:26.956]  I was building the account, having planned it out, that I would take delivery this month.
[00:38:27.477 --> 00:38:30.957]  And I kept putting money into my account, building my account, until I had enough money.
[00:38:31.377 --> 00:38:39.299]  So all those morons out there that are saying what I'm doing, you know, oh, you believe in paper, this and that, you don't know what you're talking about.
[00:38:39.719 --> 00:38:40.320]  Number two.
[00:38:40.760 --> 00:38:42.462]  I just got off the phone with the broker.
[00:38:43.062 --> 00:38:43.823]  Here's the deal.
[00:38:44.463 --> 00:38:51.009]  People like myself that had money in the account and the position to pick up the gold, we're getting nothing.
[00:38:51.730 --> 00:38:52.310]  Zero.
[00:38:53.211 --> 00:38:56.274]  Some people are getting 60 cents on their dollar.
[00:38:57.195 --> 00:38:58.856]  Now here's the big lie.
[00:38:59.356 --> 00:39:06.162]  And those guys, I mean anybody that watches CNBC and believes those little, those little
[00:39:06.923 --> 00:39:12.730]  Guys out there that are always, you know, sucking up and bowing down to the money men.
[00:39:12.750 --> 00:39:14.912]  You know, they should have their head examined.
[00:39:15.313 --> 00:39:16.654]  Because here's the deal.
[00:39:16.674 --> 00:39:22.501]  The CME Group, and this is a story that we broke with you last night.
[00:39:23.885 --> 00:39:30.929]  The CME Group is the exchange that handles all the derivatives and the commodities.
[00:39:31.429 --> 00:39:32.410]  That's the exchange.
[00:39:32.450 --> 00:39:35.151]  Like the New York Stock Exchange handles stocks.
[00:39:35.672 --> 00:39:39.674]  The CME Group handles derivatives and commodities.
[00:39:40.134 --> 00:39:42.916]  Now commodities isn't just speculation.
[00:39:43.416 --> 00:39:44.497]  Farmers use it.
[00:39:44.837 --> 00:39:45.978]  Airlines use it.
[00:39:46.978 --> 00:39:54.706]  Millions, millions and millions of people use exchanges and businesses buying futures for delivery.
[00:39:55.167 --> 00:39:58.470]  Now, here is what the CEO
[00:40:00.934 --> 00:40:16.585]  Of the CME Group, Terence Duffy said last year, we picked this up after doing research, we pulled it up, this was at a press conference with the former Mayor Daley, who he called his great friend.
[00:40:17.765 --> 00:40:24.370]  No customer has ever lost a penny as a result of the clearing member defaulting.
[00:40:25.333 --> 00:40:26.594]  Through the CME Group.
[00:40:26.994 --> 00:40:28.154]  That's number one, he said.
[00:40:28.474 --> 00:40:31.155]  Number two, and this is the most important part.
[00:40:32.156 --> 00:40:44.821]  Since we are the guarantor of every transaction that happens in our markets, we have to guarantee the performance of each and every one of these contracts.
[00:40:45.481 --> 00:40:57.845]  To do this, we hold more than 100 billion of collateral to support the transactions that are being done on our markets.
[00:40:58.485 --> 00:41:09.569]  Okay, Terry Boy, over there in Chicago, with your good buddy, Daly from the machine, where's the guarantee?
[00:41:11.169 --> 00:41:12.250]  I know how to read.
[00:41:12.930 --> 00:41:14.331]  I understand English.
[00:41:14.832 --> 00:41:21.216]  The CME is either a fraud, or this guy's a con, or he's a liar.
[00:41:21.917 --> 00:41:22.758]  You pick it.
[00:41:23.318 --> 00:41:24.959]  It's one of those three.
[00:41:25.600 --> 00:41:33.806]  Because they're saying they guarantee it, and we haven't gotten our money, and they're saying it's only 700 million dollars short.
[00:41:34.918 --> 00:41:37.360]  That's why the markets are falling apart.
[00:41:37.740 --> 00:41:39.401]  There is no guarantor.
[00:41:39.901 --> 00:41:42.903]  It's a lie, a con, or a fraud.
[00:41:44.945 --> 00:41:50.488]  Gerald, this is news of which the magnitude... I don't even have words to describe.
[00:41:51.329 --> 00:41:52.490]  Let me ask you this question.
[00:41:52.550 --> 00:41:54.951]  I think I know I'm going to know the answer, but you're on the inside of this now.
[00:41:54.971 --> 00:41:58.374]  I want to go back over exactly what this broker creature was telling you.
[00:41:59.134 --> 00:41:59.995]  I want to break this down.
[00:42:01.025 --> 00:42:22.499]  If they're admitting that the markets are falling apart, especially the futures markets, because this is destroying confidence, if it's well known to even a layman like myself who just studies this as a novice, that if you've got money in your account and then it's yours and it says on the account that it is segregated, that is your money to take that as total fraud.
[00:42:22.800 --> 00:42:27.263]  It's equivalent of wire fraud or basically bank robbery without a weapon.
[00:42:27.823 --> 00:42:30.565]  It's a serious felony and you can spend life in prison for this.
[00:42:31.365 --> 00:42:32.627]  So, why over 650, 700, 900?
[00:42:35.629 --> 00:42:36.430]  We see different numbers.
[00:42:36.650 --> 00:42:37.951]  Let's just say it's 700 million.
[00:42:38.612 --> 00:42:46.458]  Why over 700 million with a company that has tens of millions of customers tied into trillions in different forms of assets?
[00:42:47.039 --> 00:42:55.186]  Why would they endanger the entire structure at this juncture over 700, 900 million, whatever it really is, less than a billion dollars?
[00:42:55.526 --> 00:42:57.888]  I think the answer is what you said three days ago here.
[00:42:58.666 --> 00:42:59.387]  That's right.
[00:42:59.707 --> 00:43:01.068]  They don't have the product.
[00:43:01.428 --> 00:43:03.470]  They don't have the gold to deliver.
[00:43:03.990 --> 00:43:06.652]  And the same thing's going to happen with ETFs.
[00:43:07.373 --> 00:43:08.574]  This is a big fraud.
[00:43:08.994 --> 00:43:18.081]  This guy is shooting off his mouth, saying that they're going to guarantee it, and they have a hundred billion dollars in collateral.
[00:43:18.542 --> 00:43:24.586]  A hundred billion dollars, and Terry, boy, you can't come up with seven hundred million?
[00:43:25.547 --> 00:43:28.348]  So, my belief is there's no money in there.
[00:43:28.768 --> 00:43:31.589]  My belief this whole thing is one big scam.
[00:43:32.069 --> 00:43:34.049]  Pick up the papers, look what's going on.
[00:43:34.069 --> 00:43:34.669]  No, no, no, no, no.
[00:43:34.709 --> 00:43:35.409]  Gerald, that's it.
[00:43:35.469 --> 00:43:36.710]  This is bigger than Madoff.
[00:43:36.950 --> 00:43:37.910]  This is the beginning.
[00:43:38.090 --> 00:43:45.932]  There's no doubt, and that's why all of them on CNBC, when this got brought up, were scared to death, like they were in front of a firing squad, Gerald.
[00:43:46.132 --> 00:43:49.493]  This is bigger than Madoff, and they now admit the money isn't there.
[00:43:49.673 --> 00:43:53.235]  That's why they said three days ago, oh, it's there, it's an accident, we'll give it back.
[00:43:53.556 --> 00:43:56.978]  Now they're saying, okay, the money isn't there, just forget about it.
[00:43:57.258 --> 00:44:02.001]  You've talked to them, and they say, listen, Gerald, you want your 500,000 or whatever it is?
[00:44:02.021 --> 00:44:03.362]  I mean, you won't say it's over 100,000?
[00:44:04.282 --> 00:44:05.123]  You're not getting it.
[00:44:05.423 --> 00:44:06.284]  I mean, these people are...
[00:44:07.602 --> 00:44:08.903]  You're right, you're not getting it.
[00:44:09.183 --> 00:44:19.888]  And the whole thing, how did they come up with this whole idea that they're going to take our money, they took the money out of our accounts, and they put it with a trustee?
[00:44:20.408 --> 00:44:22.149]  Oh yeah, trust that!
[00:44:22.789 --> 00:44:23.550]  Trustee.
[00:44:23.790 --> 00:44:25.030]  Who made this one up?
[00:44:25.431 --> 00:44:30.913]  As I said, what did the Lanskys get together with the Capones, and we're giving it to this guy?
[00:44:30.933 --> 00:44:34.275]  I mean, they just make these rules up as they go along.
[00:44:34.515 --> 00:44:36.036]  And here's my big rub.
[00:44:37.034 --> 00:44:38.656]  Where's Corzine?
[00:44:39.516 --> 00:44:42.559]  Where is he, the guy that brought this company down?
[00:44:42.899 --> 00:44:46.062]  Oh, by the way, Alex, betting 40 to 1.
[00:44:46.523 --> 00:44:50.426]  That's right, putting down $1 and betting 40 on it.
[00:44:50.726 --> 00:44:52.108]  Who gets away with this?
[00:44:52.408 --> 00:44:59.134]  The only people that get away with it are the criminals that have connections to the White House and Wall Street.
[00:44:59.394 --> 00:45:00.075]  Let's stop right there!
[00:45:00.095 --> 00:45:02.259]  The Corzine was up, by the way.
[00:45:02.600 --> 00:45:08.771]  He was up, as it goes, to be the next Treasury Secretary under Obama's new term.
[00:45:10.080 --> 00:45:11.001]  Wow, let me inject this.
[00:45:11.061 --> 00:45:12.862]  He ain't doing any time.
[00:45:12.902 --> 00:45:15.123]  He's still, nobody's going after him.
[00:45:15.423 --> 00:45:18.645]  Why doesn't he go to jail until this thing is cleared up?
[00:45:18.985 --> 00:45:22.307]  Why don't they get his passport so he can't leave the country?
[00:45:22.687 --> 00:45:26.149]  Why isn't he doing a perp walk like you or I would do?
[00:45:26.409 --> 00:45:28.090]  Boy, would they love to bring us down.
[00:45:28.390 --> 00:45:37.215]  Where are all those tough New York City finest that are spraying pepper spray at all ladies and beating up kids?
[00:45:37.675 --> 00:45:38.276]  Where are they?
[00:45:39.377 --> 00:45:40.337]  You know where they are?
[00:45:40.977 --> 00:45:46.959]  They're nothing more than enforcers for the financial crime bosses as they close off Wall Street.
[00:45:47.199 --> 00:45:48.680]  You know, am I losing it, Alex?
[00:45:48.980 --> 00:45:49.240]  Yes.
[00:45:49.940 --> 00:45:51.780]  Just like Jesus Christ did.
[00:45:52.100 --> 00:46:02.123]  The only time, the only time the man of peace lost his temper and pulled out the whip was to beat the money changers out of the temple.
[00:46:02.543 --> 00:46:05.884]  And the temple in this country has become the banks.
[00:46:06.404 --> 00:46:08.425]  We must bow to the bankers.
[00:46:08.985 --> 00:46:09.946]  Look at Fox!
[00:46:10.246 --> 00:46:14.408]  They run this piece today about, oh, poor Corzine.
[00:46:14.768 --> 00:46:17.329]  Oh, falling down from his heights.
[00:46:18.010 --> 00:46:22.732]  This is what got Christ angry, and boy, it has me angry.
[00:46:23.012 --> 00:46:27.475]  And everybody out there, I don't care what company you have your money with.
[00:46:28.035 --> 00:46:37.598]  As I said, Raymond James, Infidelity, Charlie Schwab, if they go bust, you're going to get the shaft.
[00:46:37.838 --> 00:46:39.998]  You're not going to get your money out of the bank.
[00:46:40.338 --> 00:46:42.339]  Read the headlines in the papers.
[00:46:42.619 --> 00:46:51.762]  The banks in Europe are coming up with all kinds of schemes, trying to figure out how to keep this Ponzi scheme going.
[00:46:52.102 --> 00:46:53.022]  And you hit it.
[00:46:53.402 --> 00:46:54.843]  You nailed it, Alex.
[00:46:55.223 --> 00:47:03.448]  Those little boys on CNBC, they know it's a Ponzi scheme.
[00:47:03.828 --> 00:47:05.009]  It's collapsing.
[00:47:05.269 --> 00:47:08.511]  They can't come up with $700 million to quiet this thing down.
[00:47:12.498 --> 00:47:13.159]  Unbelievable.
[00:47:14.280 --> 00:47:16.622]  But Gerald, that was my question for you.
[00:47:17.283 --> 00:47:30.055]  Is that some people spend this, about the 33,000 customers that have had their life savings stolen in many cases, many of them widows, you name it, out of just plain old cash accounts where they take a delivery.
[00:47:30.936 --> 00:47:34.879]  of cash in their accounts, this will destroy confidence.
[00:47:34.940 --> 00:47:38.623]  And it's not like he went and invested with Corzine, who's betting 41.
[00:47:38.943 --> 00:47:44.728]  He came and gobbled up the established company you've been using since the mid-70s.
[00:47:44.768 --> 00:47:45.829]  But here's my question then.
[00:47:47.313 --> 00:47:49.055]  Why are they letting this happen now?
[00:47:49.195 --> 00:47:52.138]  Why have they just decided to hide this in plain view?
[00:47:52.418 --> 00:48:00.385]  I mean, even if they can't come up with $700 million, you know the Treasury could go somewhere and scrounge up $700 million in gold.
[00:48:00.745 --> 00:48:07.071]  Have they gone ahead and decided to set the precedent now with this and test it and see if they can get away with it?
[00:48:07.351 --> 00:48:09.814]  A. B. I don't think they're getting away with it.
[00:48:10.274 --> 00:48:20.481]  Everybody I know, including myself, I've got to decide with the operating capital we've got in the business account to run my radio TV system and my 35 employees.
[00:48:20.881 --> 00:48:22.922]  I've got to decide what to do with that because it's true.
[00:48:23.222 --> 00:48:27.986]  Even though I've got some local banks and things, those can't be trusted because they're all tied into this.
[00:48:28.046 --> 00:48:35.510]  I mean, they are literally pulling out all confidence and I don't see how they're going to spend this and how they're going to get away with it.
[00:48:35.550 --> 00:48:37.372]  I mean, why did the one host, Gerald,
[00:48:38.112 --> 00:48:43.154]  The actual anchor at the news desk say, this is theft, plain and simple, it's destroying the markets.
[00:48:43.454 --> 00:48:51.316]  He cuts to the guys, they cover it up, they cut back to him, he goes to break and he comes back and says, oh no, nothing's going on here.
[00:48:51.876 --> 00:48:54.657]  I mean, and by the way, again, they all look scared, Gerald.
[00:48:55.327 --> 00:48:56.849]  Oh yeah, they're scared.
[00:48:57.129 --> 00:48:59.852]  You've covered the bases, Alex.
[00:49:00.293 --> 00:49:02.095]  It's those possibilities.
[00:49:02.455 --> 00:49:07.160]  It's number one, they can't come up with the dough, just like Bernie Madoff couldn't come up with it.
[00:49:07.541 --> 00:49:08.962]  It's a Ponzi scheme.
[00:49:09.423 --> 00:49:11.745]  Number two, yes, they're setting us up.
[00:49:12.146 --> 00:49:15.149]  They're seeing what public reaction is going to be.
[00:49:16.090 --> 00:49:21.217]  And number three, the whole system is collapsing.
[00:49:21.658 --> 00:49:28.227]  Look how they tried to promote, they brought in the saviors over in Europe into Greece and into Italy.
[00:49:28.648 --> 00:49:31.351]  The Goldman Sachs gang to run the show.
[00:49:31.812 --> 00:49:37.657]  And by the way, the Rothschilds would be jealous to see what the Goldman boys have pulled off.
[00:49:38.017 --> 00:49:40.579]  This is far greater than what they've ever done!
[00:49:40.960 --> 00:49:45.984]  We got the Goldman Sachs boys that have been in the White House, running the White House.
[00:49:46.304 --> 00:49:48.626]  We got them in the Treasury.
[00:49:48.646 --> 00:49:50.968]  You know, they're all over the world!
[00:49:51.548 --> 00:49:53.169]  You know, this is huge!
[00:49:53.509 --> 00:49:54.710]  It's collapsing.
[00:49:55.170 --> 00:49:59.453]  It's collapsing, and they're going to keep trying to prop it up.
[00:49:59.833 --> 00:50:01.814]  They can't come up with the dough.
[00:50:02.294 --> 00:50:04.115]  Yes, it is fraud.
[00:50:04.736 --> 00:50:06.417]  Yes, it is a con.
[00:50:06.917 --> 00:50:08.197]  Who is behind it?
[00:50:08.617 --> 00:50:11.338]  And there may be other people behind it.
[00:50:11.738 --> 00:50:15.639]  And that's what we have to, we will be, maybe never find out.
[00:50:16.039 --> 00:50:19.380]  To me, that's one of the reasons why they're quieting this down.
[00:50:19.660 --> 00:50:22.281]  This is a lot bigger than anybody knows.
[00:50:22.581 --> 00:50:30.503]  To risk the whole commodities and derivatives exchange for 700 million dollars?
[00:50:31.103 --> 00:50:32.103]  It's ridiculous.
[00:50:32.643 --> 00:50:33.364]  Stay there, Gerald.
[00:50:33.604 --> 00:50:41.449]  Well, as you know, Reuters admitted the CFTC chief is in business with Corzine and had to recuse himself two weeks ago, so we don't know what's really going on.
[00:50:41.689 --> 00:50:45.332]  We'll get Aaron Dyke's take with Gerald Cilente straight ahead on the other side.
[00:50:45.372 --> 00:50:46.273]  This is big news.
[00:50:46.493 --> 00:50:47.293]  It affects us all.
[00:50:47.534 --> 00:50:47.954]  Stay with us.
[00:51:00.137 --> 00:51:05.138]  We all know that Berkey water purification systems are the most trusted name in water filtration.
[00:51:05.338 --> 00:51:14.480]  As an authorized Berkey dealer for over six years and serving thousands of satisfied customers, the Berkey guy offers amazing specials for Berkey water filtration systems.
[00:51:14.700 --> 00:51:28.742]  The Berkey light systems include a set of self-sterilizing and re-cleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and remove harmful chemicals such as herbicides and pesticides.
[00:51:29.022 --> 00:51:32.866]  Order the Berkey Light System today, complete with two black Berkey elements for only $231.
[00:51:33.426 --> 00:51:36.970]  And the Berkey Guy will ship your order free of charge.
[00:51:37.170 --> 00:51:42.715]  With the purchase of a Berkey Light, the Berkey Guy is also offering a set of fluoride and arsenic filters for only $39.99.
[00:51:42.755 --> 00:51:44.017]  That's over 30% off the retail price.
[00:51:46.499 --> 00:51:47.841]  Call the Berkey guy at 1-877-886-3653.
[00:51:47.861 --> 00:51:48.221]  That's 1-877-886-3653.
[00:51:48.321 --> 00:51:49.603]  Or order online at GoBerkey.com.
[00:51:49.783 --> 00:51:50.784]  That's GoBerkey.com today.
[00:51:50.844 --> 00:51:51.765]  Hello, I'm Alex Jones.
[00:52:01.896 --> 00:52:11.704]  My family, the InfoWars.com team, want to relay to you and your families that we are intensifying our efforts against the globalists on every front.
[00:52:11.944 --> 00:52:18.830]  InfoWars.com is leading the fight against the technocrats, but we can't do that without your help.
[00:52:19.150 --> 00:52:29.919]  By getting the films, bumper stickers, and t-shirts at InfoWars.com, you will wake up people in your area and support our operation as we move to the next level.
[00:52:30.399 --> 00:52:33.660]  We need your help to spread the word like never before.
[00:52:33.900 --> 00:52:39.543]  They wish to hide themselves during this tectonic battle between the forces of freedom and darkness.
[00:52:40.023 --> 00:52:49.527]  You are the response to the globalist technocrats and their program of global eugenics dehumanization and ultimate extermination.
[00:52:49.927 --> 00:52:51.108]  The war is here.
[00:52:51.428 --> 00:52:52.828]  It's an info war.
[00:52:53.328 --> 00:52:56.010]  The spirit of 1776 versus the mindset of 1984.
[00:52:59.591 --> 00:53:04.173]  With new financial dominoes falling each day, do you know who really runs this country?
[00:53:04.473 --> 00:53:08.095]  This is Alex Jones with a special message about the gangster economy.
[00:53:08.375 --> 00:53:14.798]  Folks, if you're lucky enough to have a little money set aside for a rainy day, this could be the most important message you'll ever hear.
[00:53:15.158 --> 00:53:21.221]  I want to tell you about an exciting new book that reveals how to keep the gangster economy from murdering your money.
[00:53:21.581 --> 00:53:22.121]  That's right.
[00:53:22.481 --> 00:53:23.603]  Murdering your money.
[00:53:23.943 --> 00:53:30.071]  Learn about the 14 vicious dominoes of destruction set to unleash hell on earth for savers and investors.
[00:53:30.512 --> 00:53:34.777]  Learn the 11 ways to play gangster economy judo and win.
[00:53:35.298 --> 00:53:37.641]  Learn how to beat the bad guys at their own game.
[00:53:38.161 --> 00:53:41.782]  Learn ingenious ways to profit in the new gangster economy.
[00:53:42.202 --> 00:53:44.963]  To read more about this amazing new book, don't wait.
[00:53:45.163 --> 00:53:46.944]  Go to gangstereconomy.com.
[00:53:47.064 --> 00:53:48.924]  That's gangstereconomy.com.
[00:53:49.284 --> 00:53:51.505]  Don't let the bad guys destroy your money.
[00:53:51.725 --> 00:53:53.726]  Go to gangstereconomy.com.
[00:54:00.248 --> 00:54:03.929]  No matter how hard you try, you can't stop us now.
[00:54:07.952 --> 00:54:14.734]  No matter how hard you try, you can't stop us now!
[00:54:14.754 --> 00:54:25.098]  Alright, obviously Gerald Salente is very, very busy, but I notice that the fact that this money had been stolen wasn't admitted until Tuesday and Wednesday when Gerald went public.
[00:54:25.518 --> 00:54:29.059]  Before it was just a bankruptcy, and yeah, they're figuring out the accounts and things.
[00:54:29.419 --> 00:54:36.862]  Then it's okay, don't worry, we've got the money, it's in a trustee, you'll get it later, and no, you'll get some of it, now you won't get any of it.
[00:54:38.109 --> 00:54:40.551]  An incredible precedent, ladies and gentlemen.
[00:54:40.791 --> 00:54:45.555]  All the pension funds, everything, is in one way or another tied to all these derivatives and all this garbage.
[00:54:45.975 --> 00:54:52.740]  And now, if it's a pure cash gold account, it's Geraldson money, and they just take it, nobody is safe.
[00:54:52.760 --> 00:54:54.101]  And that's why the markets are going down.
[00:54:54.622 --> 00:55:01.847]  And the host today admitted that the emperor has no clothes, and then somebody spanked him during the break, and he came back on CNBC and changed his tune.
[00:55:01.887 --> 00:55:04.850]  Now, continuing, you heard the last break.
[00:55:04.890 --> 00:55:07.291]  Did you hear the ad that I cut three months ago?
[00:55:08.152 --> 00:55:08.352]  Yes.
[00:55:08.492 --> 00:55:10.814]  Where I said, ladies and gentlemen, this is the plunge.
[00:55:11.154 --> 00:55:12.655]  The technocrats are taking over.
[00:55:12.956 --> 00:55:14.317]  We're going all in.
[00:55:14.637 --> 00:55:17.619]  The battle is about to start, because I can see the convergence.
[00:55:18.680 --> 00:55:20.741]  Things are going crazy right now.
[00:55:21.602 --> 00:55:28.167]  Aaron Dykes, this is a short segment, but do you have any quick questions or comments for Gerald Cilente?
[00:55:30.286 --> 00:55:31.687]  Well, I just find it very telling.
[00:55:31.727 --> 00:55:36.808]  I didn't realize that they were planning to tap John Corzine for the next Treasury Secretary.
[00:55:36.868 --> 00:55:46.392]  I mean, who knew it could get even worse than Geithner, a direct protege of Robert Rubin and Larry Summers, the guys who busted Glass-Steagall, the former Federal Reserve?
[00:55:46.952 --> 00:55:48.534]  ...head of the New York branch.
[00:55:48.594 --> 00:56:00.144]  Now they've got John Corzine, and there's quotes here from Obama talking about how he was a supporter back when no one knew how to pronounce his name, and yet Obama, you know, does the posturing as though he supports Occupy Wall Street.
[00:56:00.164 --> 00:56:06.050]  And it's all Goldman Sachs people, and all these fake conservatives that demonize Occupy Wall Street when it's a diverse group.
[00:56:07.031 --> 00:56:08.572]  You're calling them communist and stuff.
[00:56:08.612 --> 00:56:11.635]  What about the megabanks stealing and destroying everything?
[00:56:11.675 --> 00:56:12.376]  Gerald Solente.
[00:56:14.192 --> 00:56:24.216]  I want to read to you yesterday's headline of the Wall Street Journal because everybody should listen carefully so they know what's going to happen.
[00:56:24.577 --> 00:56:26.417]  It's right here for everyone to see.
[00:56:27.518 --> 00:56:29.679]  Banks face funding stress.
[00:56:30.746 --> 00:56:39.492]  European institutions resort to potentially risky swaps to generate liquidity.
[00:56:40.312 --> 00:56:40.733]  London.
[00:56:40.853 --> 00:56:58.164]  European banks increasingly concerned about their ability to access funding are devising complex and potentially risky new deals that enable them to continue borrowing from the European Central Bank
[00:56:59.105 --> 00:57:12.818]  The bank's moves, which include behind-the-scenes swapping of assets among financial institutions, could heighten risk across Europe's already fragile financial system.
[00:57:13.459 --> 00:57:15.360]  It says it right here!
[00:57:16.221 --> 00:57:30.726]  This is white shoe boy language for they're gonna come up with any scheme they can to make up another game to steal money from anybody they can steal it from to keep the Ponzi scheme going.
[00:57:31.126 --> 00:57:33.107]  This is the Wall Street Journal.
[00:57:33.587 --> 00:57:39.149]  This is Rupert Murdoch's newspaper and they're saying the thing is
[00:57:40.729 --> 00:57:43.250]  In the process of collapsing.
[00:57:43.570 --> 00:57:45.530]  And no doubt they've already swapped your money.
[00:57:45.590 --> 00:57:46.330]  That's what's happening.
[00:57:46.350 --> 00:57:50.171]  And folks, they're going to feed everything into the black hole, as Webster Tarpley and others have said.
[00:57:50.511 --> 00:57:54.752]  It's impossible, times 100, to pay back all these fake derivatives that we don't owe.
[00:57:55.032 --> 00:57:57.333]  They're going to feed everything into it, Gerald.
[00:57:57.593 --> 00:57:58.953]  How do we stop these criminals?
[00:57:59.173 --> 00:58:01.514]  Go ahead and just pull everything out now while we still can?
[00:58:02.771 --> 00:58:15.561]  I'm pulling, as I've been telling you, I keep pulling my money out of the bank, and that's why it was in this also, this other place, this MF Global, was to take delivery.
[00:58:15.961 --> 00:58:21.946]  So yes, I would not, again, we have to look at really what's going on and bring it into the bigger picture.
[00:58:22.286 --> 00:58:27.650]  I've said this over and over again, the MF story is only one part of the bigger picture.
[00:58:28.050 --> 00:58:29.171]  It's a takeover.
[00:58:29.611 --> 00:58:31.293]  It's a takeover in every sector.
[00:58:31.753 --> 00:58:32.434]  Stay there, Gerald.
[00:58:32.474 --> 00:58:32.994]  Gotta go to break.
[00:58:33.014 --> 00:58:34.296]  We'll be back in one minute.
[00:58:34.316 --> 00:58:35.878]  20 more minutes with Gerald Cilente and Aaron Dyches.
[00:58:42.565 --> 00:58:46.549]  This is GCN, the Genesis Communications Radio Network.
[00:58:49.912 --> 00:58:51.113]  Hi, this is Alex Jones.
[00:58:51.513 --> 00:58:57.299]  This holiday season, more than half of our nation is in need of help due to the shattered economy.
[00:58:57.819 --> 00:59:01.442]  So now is the time to express the holiday spirit more than ever.
[00:59:01.843 --> 00:59:05.026]  Consider helping those you love with the most important gift.
[00:59:05.426 --> 00:59:11.111]  A supply of delicious, easy to fix, and very storable foods from efoodsdirect.com.
[00:59:11.431 --> 00:59:14.294]  Their holiday gift and family pack start at $99 or a 16-day supply.
[00:59:16.836 --> 00:59:23.781]  All their five-week supply of quick and easy-to-fix meals includes a personal backpack in case of a grab-and-go emergency.
[00:59:24.101 --> 00:59:29.726]  Order their Combo Gift Pack and you'll save hundreds, plus get free shipping on your entire order.
[00:59:29.986 --> 00:59:32.427]  Call eFoods today at 800-409-5633 or visit them online at
[00:59:35.950 --> 00:59:39.572]  At efoodsdirect.com forward slash Alex to find the special.
[00:59:39.832 --> 00:59:45.916]  That's 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:59:46.156 --> 00:59:48.598]  You can bet your life on efoods direct.
[00:59:52.840 --> 00:59:54.762]  Waging war on corruption.
[00:59:55.242 --> 00:59:58.004]  Alex Jones on the GCM radio network.
[01:00:04.622 --> 01:00:08.806]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:09.447 --> 01:00:10.268]  You want answers?
[01:00:11.049 --> 01:00:12.010]  Well, so does he.
[01:00:12.590 --> 01:00:16.154]  He's Alex Jones on the GCN Radio Network.
[01:00:16.775 --> 01:00:20.859]  And now, live from Austin, Texas, Alex Jones.
[01:00:24.798 --> 01:00:25.758]  We're in deep trouble.
[01:00:25.899 --> 01:00:31.361]  Incredibly ruthless swindlers that make Madoff look like an angel are in control.
[01:00:31.381 --> 01:00:33.202]  They've got our military under their control.
[01:00:33.742 --> 01:00:35.443]  Strike anywhere on the earth in an hour.
[01:00:35.543 --> 01:00:35.983]  Missiles.
[01:00:37.064 --> 01:00:38.744]  Drudge is top-linked to our article.
[01:00:38.764 --> 01:00:40.325]  We'll talk about it after the break with Gerald.
[01:00:40.665 --> 01:00:42.426]  Sprint launches soon to be mandatory.
[01:00:42.486 --> 01:00:44.267]  Emergency alert messages.
[01:00:44.287 --> 01:00:45.987]  They're taking over the computers, the phones.
[01:00:46.468 --> 01:00:48.168]  Jumbotron tattletale screens.
[01:00:48.509 --> 01:00:51.930]  The crooks are going to use the threat of terrorism to clamp down.
[01:00:51.970 --> 01:00:53.491]  Gerald's with us in this segment, the next.
[01:00:53.931 --> 01:00:55.792]  Very gracious to spend time with us.
[01:00:56.393 --> 01:01:00.316]  I will also tell you in the next segment how you can subscribe to his amazing Trends Journal.
[01:01:01.417 --> 01:01:04.179]  And he did predict they'd start grabbing people's accounts and things.
[01:01:04.519 --> 01:01:08.542]  This was him just getting gold and had his money in an account to buy it, and they stole that.
[01:01:08.602 --> 01:01:09.723]  He was getting the physical gold.
[01:01:10.143 --> 01:01:12.965]  So, let me tell you, this is pushing my timetable forward.
[01:01:13.305 --> 01:01:14.786]  Gerald, you got cut off by the break.
[01:01:14.826 --> 01:01:15.727]  This is a short segment.
[01:01:16.047 --> 01:01:19.970]  Aaron Dykes is up there in the command chair at InfoWars headquarters in Austin.
[01:01:20.270 --> 01:01:21.111]  I'm here in Arizona.
[01:01:21.531 --> 01:01:22.652]  We're good to go.
[01:01:44.433 --> 01:01:47.675]  First of all, finishing what I was saying, it's bigger than MF Global.
[01:01:47.996 --> 01:01:49.637]  It's a takeover in every way.
[01:01:50.377 --> 01:02:00.144]  Look, Alex, those of us that are old enough to remember, and I think about this, whole generations, two generations have no idea what this country used to be like.
[01:02:01.085 --> 01:02:03.166]  People could open up a hardware store.
[01:02:03.386 --> 01:02:06.949]  You didn't have to go to work as a clerk for Lowe's or Home Depot.
[01:02:07.229 --> 01:02:08.510]  You could have your own store.
[01:02:09.588 --> 01:02:14.852]  People used to open up their own pharmacies, their drugstores with soda fountains in them.
[01:02:15.012 --> 01:02:18.314]  I was a soda jerk during the end of that era.
