[00:00:33.251 --> 00:00:35.172]  It is Friday, September 23rd, 2011.
[00:25:41.903 --> 00:25:46.687]  These new findings reveal important visual evidence as to how mercury causes neurodegeneration.
[00:25:47.407 --> 00:25:58.096]  More importantly, the study provides the first direct evidence that low-level mercury exposure is indeed a precipitating factor that can initiate this neurodegenerative process within the brain.
[00:26:02.697 --> 00:26:08.658]  Mercury-containing vaccines may help not harm kids, according to two new studies in the journal Pediatrics.
[00:26:09.159 --> 00:26:15.580]  There have been widespread concerns that mercury-based preservatives in vaccines might impair the neurological development of children.
[00:26:16.060 --> 00:26:22.942]  These new studies suggest that the opposite, that the preservatives may actually be associated with improved behavior and mental performance.
[00:26:24.324 --> 00:26:33.930]  So, mercury literally annihilates brain cells like no other heavy metal in microscopic amounts, much lower than what they're injecting into kids.
[00:26:34.710 --> 00:26:36.872]  But if you read off a teleprompter, it's magic!
[00:26:38.713 --> 00:26:40.434]  It's absolute magic!
[00:26:41.604 --> 00:26:48.952]  And all these brain damaged kids, and the lowering IQs in the West, and the skyrocketing cancer, it's all just a big accident.
[00:26:49.673 --> 00:26:54.498]  But that Merck scientist said, we just gave it to the Russians to kill their ass!
[00:26:59.865 --> 00:27:01.047]  It's so much fun!
[00:27:01.428 --> 00:27:02.349]  Trust the government.
[00:27:02.389 --> 00:27:04.092]  They love you now and you know they do.
[00:27:04.432 --> 00:27:05.814]  I shouldn't get upset, should I?
[00:27:06.536 --> 00:27:08.639]  I shouldn't be up here at night fighting the globalists.
[00:27:08.679 --> 00:27:09.841]  I shouldn't be obsessed with this.
[00:27:10.081 --> 00:27:12.886]  I shouldn't have had those nightmares last night knowing they're killing us on purpose.
[00:27:14.042 --> 00:27:17.024]  I should just shave my head for all the kids dying around me of cancer.
[00:27:17.745 --> 00:27:21.528]  I've got a bunch of people in the office with girlfriends and young people dying of cancer.
[00:27:21.828 --> 00:27:29.634]  I should just shave my head and go for a jog and feel real good and give some money to the killers instead of actually finding out they're doing it to us on purpose.
[00:27:30.235 --> 00:27:32.837]  Because you don't want to actually save anybody, you just want to feel good!
[00:27:33.538 --> 00:27:35.179]  So I apologize, I really do.
[00:27:37.221 --> 00:27:41.144]  Well, I uh... I don't know what to say right now, we're gonna...
[00:27:43.251 --> 00:27:53.090]  We're going to go to a Darren McBreen report here from the Marshall Law Takeover Federalization Drills in Denver, Colorado, and then we'll be right back.
[00:27:53.110 --> 00:27:53.550]  Stay with us.
[00:28:01.294 --> 00:28:05.255]  Hey, we're here in Denver, Colorado, and we're covering Operation Mountain Guardian.
[00:28:05.616 --> 00:28:12.278]  Now, this is a large-scale terrorism drill, and 100 different agencies actually took part in the exercise.
[00:28:12.598 --> 00:28:23.062]  Now, this was a test for Homeland Security and FEMA to test their capabilities in what they referred to as a catastrophic situation involving a terrorist attack.
[00:28:24.252 --> 00:28:37.936]  One of the primary locations of the drill took place right behind me at the Sports Authority field where the exercise involved participants processing children in and out of the FEMA camp that they set up inside of the stadium.
[00:28:38.456 --> 00:28:47.579]  Now authorities kept us from entering the stadium compound but we have confirmed that it was indeed, it was indeed used as a relocation facility
[00:28:47.939 --> 00:28:49.060]  Obama is notoriously a liar.
[00:29:12.486 --> 00:29:20.592]  We need to go to where the real architecture of government is and it's not in a precedent.
[00:29:21.413 --> 00:29:24.235]  Wall Street has hijacked Washington in broad daylight.
[00:29:26.476 --> 00:29:30.139]  While Obama's already fudging.
[00:29:34.215 --> 00:29:36.636]  He's fudged since day one of this election.
[00:29:36.916 --> 00:29:47.162]  The elite are using Obama to pacify the public, so they can usher in the North American Union by stealth, launch a new Cold War, and continue the occupation of Iraq and Afghanistan.
[00:29:47.842 --> 00:29:49.523]  The globalists are outside all the nations.
[00:29:49.543 --> 00:29:52.185]  That gives them safety, and they play countries off against each other.
[00:29:52.205 --> 00:29:57.468]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:29:57.948 --> 00:30:01.550]  Partnership and cooperation among nations is not a choice.
[00:30:04.357 --> 00:30:16.846]  What they're doing is using the existence of the United States to act out their Wall Street fantasies of world domination and maintaining their capital structures and maintaining their system of looting.
[00:30:17.166 --> 00:30:25.172]  The fight that this country has been waging since its inception is for the central bankers not to take over the country.
[00:30:25.492 --> 00:30:29.395]  President Barack Obama is only the tool of a larger agenda.
[00:30:30.615 --> 00:30:33.577]  Senator Obama had a desire to do some meetings.
[00:30:33.658 --> 00:30:38.121]  Others have a desire to meet with him tonight in a private way, and that's what we're doing.
[00:30:39.723 --> 00:30:49.310]  Presidential candidate Barack Obama was publicly criticizing the North American Free Trade Agreement in a bid for votes, but privately telling Canadian officials not to worry about it.
[00:30:50.247 --> 00:30:58.793]  If you talk to our generals, they are desperate for is a civilian counterpart to our military force.
[00:30:59.113 --> 00:31:05.798]  What do you call this thing where you get this false sense of gratification, but because a black man is in office, everything's going to be alright.
[00:31:06.258 --> 00:31:07.739]  No, everything's not going to be alright.
[00:31:08.680 --> 00:31:16.365]  So I know how unpopular it is to be seen as helping banks right now, especially when everyone is suffering in part from their bad decisions.
[00:31:16.825 --> 00:31:17.926]  I promise you, I get it.
[00:31:19.155 --> 00:31:21.096]  Okay, we're recording now Jones, so whenever
[00:31:49.122 --> 00:31:49.403]  Alright.
[00:31:50.404 --> 00:31:51.466]  Stupid monkey suit.
[00:31:51.486 --> 00:31:53.610]  Alright.
[00:31:54.031 --> 00:31:54.211]  Um.
[00:31:56.755 --> 00:31:56.996]  Okay.
[00:33:14.520 --> 00:33:15.601]  All right, my friends, we're back.
[00:33:15.641 --> 00:33:30.288]  It's InfoWars Nightly News, and in studio we've got Tad Lumpkin, the director of the amazing animated film documenting the history of the banking cartel, American Dream, because you've got to be asleep to believe it.
[00:33:30.488 --> 00:33:33.050]  This is definitely cyanide to the globalists.
[00:33:33.070 --> 00:33:34.070]  Tad, great to have you here with us.
[00:33:34.090 --> 00:33:34.370]  Hey, great.
[00:33:34.390 --> 00:33:35.331]  Thanks for having me, Alex.
[00:33:35.891 --> 00:33:37.953]  Listen, obviously we're promoting the film.
[00:33:37.973 --> 00:33:39.435]  We've got it at the Infowars store.
[00:33:39.475 --> 00:33:40.396]  You guys have been great.
[00:33:40.456 --> 00:33:45.642]  You've put it out for free on the web, showing us really about the passion for liberty to fight the collectivist board.
[00:33:46.202 --> 00:33:50.387]  I wanted to have you here because last time, you know, we had you via video connection.
[00:33:50.407 --> 00:33:51.448]  It was powerful stuff.
[00:33:51.929 --> 00:33:56.674]  I wanted to have you here to talk about your philosophy and give us a hint of some of the new projects coming out.
[00:33:57.133 --> 00:34:10.764]  Well, I mean, our overall philosophy is one where we feel like the path to human prosperity and the path to having the greatest life that you can is one that's based on individual liberty.
[00:34:11.304 --> 00:34:26.337]  And so all our media, and the reason we made the Federal Reserve doc was because we felt like people don't understand how these things work and how they go towards this sort of collectivist mentality that takes
[00:34:27.037 --> 00:34:34.400]  All people's individual identity puts them into a collective and just merely makes them sort of a cog in a machine.
[00:34:34.420 --> 00:34:36.241]  And you're looking at who's running the collective.
[00:34:36.781 --> 00:34:39.182]  The collective is never thinking about, well, who programs this?
[00:34:39.202 --> 00:34:43.123]  They're always saying, we'll have a giant computer, that's one of their things, that will run everything.
[00:34:43.143 --> 00:34:44.324]  Well, who programs the computer?
[00:34:45.171 --> 00:34:48.915]  Well, I mean, basically what happens is you've sort of got two levels of people.
[00:34:48.975 --> 00:34:57.043]  You have people who are completely sold into this philosophy and understand it and have reached a level of power that they can install it.
[00:34:57.143 --> 00:35:01.147]  And then there's the people who sort of zombie follow the power.
[00:35:01.167 --> 00:35:09.155]  A lot of politicians and things like that, they do these things because they just want to get ahead in the world and they want to get rich, they want to have more power.
[00:35:09.375 --> 00:35:10.456]  Sure, short term.
[00:35:10.796 --> 00:35:27.106]  Right, and then there's other people who are wholly sold out to an idea that, you know, we need to control things not only for our own wealth and gain, but to make sure that our personal long-term existence comes at all costs regardless of what that is.
[00:35:27.146 --> 00:35:32.710]  So basically you want to legalize freedom and let individual free will be the ultimate goal.
[00:35:33.190 --> 00:35:34.851]  Basically you're an extremist terrorist.
[00:35:36.627 --> 00:35:38.168]  By some people, yes.
[00:35:38.229 --> 00:35:41.391]  I'm sure that the extreme left would probably call.
[00:35:41.411 --> 00:35:44.813]  But if we look at history, collectivism, command and control does not work.
[00:35:44.873 --> 00:35:48.335]  It creates unspeakable travesties, monstrosities.
[00:35:49.316 --> 00:35:50.437]  And that's what the globalists say.
[00:35:50.477 --> 00:35:52.778]  Well, we're trying to be scientifically tyrannical.
[00:35:53.118 --> 00:35:54.179]  It'll be different this time.
[00:35:54.199 --> 00:35:56.241]  But we've seen it's not been different.
[00:35:56.301 --> 00:35:59.763]  I mean, even the best laid plans of mice and men often go astray.
[00:35:59.803 --> 00:36:01.964]  And that's what's scary about a centralized tyranny.
[00:36:02.285 --> 00:36:05.827]  Its mistakes are even that much bigger, and then it strives to cover them up.
[00:36:06.207 --> 00:36:17.715]  Yeah, no, that's exactly right and I think what happens is somehow there's this tolerance for a certain type of dehumanization of people and then there's not of another one.
[00:36:17.735 --> 00:36:34.146]  I was actually talking to my partner on the way over here and we were talking about the whole idea that it's like somehow you have movie stars wearing Che Guevara stuff and it's cool, you know, and it's like in Los Angeles there's, you know, a restaurant called Chairman Mao's Kitchen.
[00:36:34.426 --> 00:36:35.687]  I mean, these people killed
[00:36:36.307 --> 00:36:42.613]  Tens of millions of people in brutal ways because they were bent on building their collective.
[00:36:42.653 --> 00:36:45.675]  Well now, admittedly, the Chinese say he killed 80 plus million.
[00:36:45.715 --> 00:36:47.757]  Our government says 64 million.
[00:36:47.797 --> 00:36:52.501]  But I mean, and exactly, I see young people wearing Shea shirts and Mao shirts.
[00:36:52.541 --> 00:36:52.741]  Right.
[00:36:53.022 --> 00:36:56.765]  And like, do they have any idea just how out of control this is?
[00:36:57.145 --> 00:37:10.316]  And what it shows you is, is that if you brand things right, and you market ideas right, and you soften people to these things, they not only accept them, they actually elevate them and embrace them.
[00:37:10.356 --> 00:37:13.839]  And I mean, that's what we see all over.
[00:37:14.600 --> 00:37:21.686]  You take one horrific thing, and if you package it upright, somehow it no longer not only isn't horrific, it actually becomes cool.
[00:37:21.986 --> 00:37:26.750]  It's sexy, it's stylish, and they'll defend these people.
[00:37:28.311 --> 00:37:35.837]  It's truly sickening, because the last time I checked, Denver, Toronto, all these mega-cities have mal-worship restaurants.
[00:37:36.277 --> 00:37:41.001]  Absolutely, and that extends to the political movement.
[00:37:41.041 --> 00:37:47.066]  Part of the role that we really want to play is being able to market liberty in the way that
[00:37:47.606 --> 00:37:50.968]  That the leftist control agenda has been marketed.
[00:37:51.028 --> 00:37:55.250]  I mean... Well notice, notice they will market, they will sell books, films, everything.
[00:37:55.270 --> 00:37:55.570]  That's right.
[00:37:55.590 --> 00:38:04.215]  And so you've got to support us, but anytime a libertarian, a constitutionalist, a pro-human, a pro-freedom person tries to ever build anything, it's like, how dare you make money?
[00:38:05.295 --> 00:38:12.080]  And then they use this guilt trip on us when they use government to take our money and then fund MSNBC with bailout money.
[00:38:12.361 --> 00:38:17.985]  That's moral at the point of a gun to take money, but if I sell a DVD or a book or if you do, we're evil.
[00:38:18.225 --> 00:38:19.546]  Yeah, no, that's exactly right.
[00:38:19.586 --> 00:38:27.172]  And people, we need to go in and we need to get into the system that makes money and is profitable because the reason mass
[00:38:27.552 --> 00:38:34.293]  Media and the media oligarchy is what it is, is primarily because they do it at a big scale.
[00:38:34.573 --> 00:38:40.515]  So, I mean, if we want to get our ideas out there, we have to find a way to reach a mass audience, and that's what we want to do.
[00:38:40.555 --> 00:38:46.416]  We want to be able to tell the story of liberty in a way that connects to a mass market.
[00:38:46.536 --> 00:38:50.697]  Not dilute the message, but tell it in a way that can rebrand it the same way.
[00:38:51.017 --> 00:38:54.457]  Barack Obama says the same thing that Bush says before him.
[00:38:54.497 --> 00:38:56.978]  They're all control guys, but all they do is
[00:38:57.438 --> 00:38:58.199]  Hope and change.
[00:38:58.540 --> 00:38:59.121]  And you know what?
[00:38:59.622 --> 00:39:00.783]  It doesn't mean anything.
[00:39:01.024 --> 00:39:02.226]  But people want to be a part of it.
[00:39:02.246 --> 00:39:04.950]  They'll have a new slogan but continue the exact same agenda.
[00:39:04.970 --> 00:39:05.471]  That's right.
[00:39:05.491 --> 00:39:10.118]  And because, well, this guy's got browner skin than Bush, things must be different than folks figure that out.
[00:39:10.178 --> 00:39:10.599]  That's right.
[00:39:10.619 --> 00:39:12.322]  So now the Democrats want to throw him under the bus.
[00:39:12.702 --> 00:39:17.705]  We've got a new puppet, and people like a cowboy, so here comes Rick Perry to control the conservatives.
[00:39:17.725 --> 00:39:27.290]  Doesn't matter if he supports carbon taxes, doesn't matter if he supports Al Gore, or Hillary Care, or gun control, or forced inoculations, or Napa superhighways, or Bilderberg group meetings.
[00:39:27.531 --> 00:39:28.671]  He says he's conservative.
[00:39:28.951 --> 00:39:33.374]  We've got to get folks past the label down to real, real action and what they stand for.
[00:39:33.454 --> 00:39:36.076]  We've got to build platforms to challenge them.
[00:39:36.096 --> 00:39:36.836]  That's what we're doing here.
[00:39:37.636 --> 00:39:38.957]  And that's already starting to happen.
[00:39:38.997 --> 00:39:39.778]  I mean, the system
[00:39:40.638 --> 00:39:43.379]  Still has that old idea left.
[00:39:43.399 --> 00:39:46.981]  The last domino to fall is that they're still the mainstream media.
[00:39:47.181 --> 00:39:47.941]  They're not really.
[00:39:49.682 --> 00:39:56.105]  I want you to speak to where you see this clash going in the future of collectivist control freaks versus people that love freedom.
[00:39:56.485 --> 00:40:06.030]  Well, I think what's going to happen is that as we move towards a sort of rebalancing of the system, because right now, and we're seeing it in Europe,
[00:40:06.670 --> 00:40:21.109]  You've got all the leaders over there sticking their fingers in the leaks of the financial system, just like we bailed out all the banks and we keep doubling down on a systemically not stable system.
[00:40:21.649 --> 00:40:23.672]  That system will have to
[00:40:23.752 --> 00:40:24.012]  Sure.
[00:40:41.098 --> 00:40:45.540]  Widen the sort of spectrum that they're open to.
[00:40:45.880 --> 00:40:54.703]  So I think what we have to do is we need to make sure people are aware and organized and that we have the message ready to go for all the people who currently won't hear it.
[00:40:55.023 --> 00:40:58.504]  But we'll hear it when the pain gets a little higher.
[00:40:58.624 --> 00:40:59.144]  Well that's right.
[00:40:59.164 --> 00:41:05.506]  If you study political science, at least from the mainline perspective, they talk about a freezing and then an unfreezing.
[00:41:05.886 --> 00:41:07.027]  And during crises,
[00:41:07.987 --> 00:41:08.267]  I think?
[00:41:38.007 --> 00:41:53.120]  Yeah, well I do think it's a critical juncture and I do think that's what's got to happen and I think that people, like I said, as things get worse, there will be the opportunity to grab huge amounts of people and look, movements don't happen, it's not
[00:41:53.925 --> 00:41:55.025]  Gradual per se.
[00:41:55.045 --> 00:42:01.107]  What ends up happening is, and I try to encourage every freedom fighter out there, I say, it's more like a dam.
[00:42:01.707 --> 00:42:08.009]  The pressure is building behind the dam and when you're on the other side, you can't, it doesn't look any different.
[00:42:08.289 --> 00:42:12.690]  And then little cracks start to form and just a little bit of water starts to come out.
[00:42:12.950 --> 00:42:15.931]  The next thing you know, there's one drop that's one drop too many.
[00:42:16.491 --> 00:42:17.592]  And the whole thing comes down.
[00:42:17.612 --> 00:42:23.014]  And that's why Homeland Security's racing around for the whole apparatus of police state for patriots.
[00:42:23.454 --> 00:42:24.835]  That's why they're so scared.
[00:42:24.875 --> 00:42:26.336]  That's why they've got fear in their eyes.
[00:42:26.676 --> 00:42:28.997]  Because they've already done the analysis of the water.
[00:42:29.277 --> 00:42:30.718]  They know the dam's about to fail.
[00:42:31.178 --> 00:42:32.118]  And I got news for them.
[00:42:32.158 --> 00:42:34.219]  No matter what they do, nothing's going to save them.
[00:42:34.519 --> 00:42:35.540]  We've gotten the word out.
[00:42:35.600 --> 00:42:36.500]  You've gotten the word out.
[00:42:37.041 --> 00:42:39.842]  The question is, how painful is it going to be when that dam breaks?
[00:42:40.302 --> 00:42:43.464]  We need the globalists to go ahead and just give up, run up the white flag.
[00:42:43.904 --> 00:42:50.969]  That's why their only hope and prayer is to tell us that we should capitulate, that we should surrender, that tyranny is invincible.
[00:42:51.269 --> 00:42:56.253]  That's why they're throwing everything at us right now in an attempt to run a PSYOP on us.
[00:42:56.693 --> 00:42:58.074]  And I'm here to tell you, Tad, it ain't gonna work.
[00:42:58.334 --> 00:43:13.798]  No, well, and I think that the great thing is that most revolutions, whether they're actual war revolutions or whether they're political and thought revolutions, are generally led and won by very convicted minorities.
[00:43:14.199 --> 00:43:22.361]  It's not necessarily that you've got to get 51% of people to show up to a voting booth someday to get something done, it's like when you get
[00:43:22.901 --> 00:43:30.087]  You know, for better and for worse, things can change rather rapidly with a small percentage of highly convicted people.
[00:43:30.127 --> 00:43:34.731]  And you look at, like, for the worse, Cuba or, you know, Russia.
[00:43:34.831 --> 00:43:36.472]  Those were very small overthrows.
[00:43:36.512 --> 00:43:38.534]  I mean, Germany, things got really bad.
[00:43:38.594 --> 00:43:39.815]  That's how you end up getting the Nazis.
[00:43:39.855 --> 00:43:44.859]  On the other hand, who are the, like, the patriots of some country to take on the greatest empire of the world?
[00:43:45.679 --> 00:44:09.782]  10% started the war, 5% won it, and that's why the globalists want to teach us we have no power, we're going to lose, we're pathetic, nothing can beat the evil, give up, you know, go home, GI, you're dead, Tokyo Road stuff, because they understand, they just had another big university study out, it was common sense, but they did a big decade long study and found when 10% of people believe something passionately and won't back off, they will convert the other.
[00:44:10.242 --> 00:44:10.442]  Yes.
[00:44:10.602 --> 00:44:17.467]  And so whether it's global warming, man-made garbage, or whether it's Liberty 1776, it's whoever wants it most.
[00:44:17.507 --> 00:44:21.850]  So there's this big middle mass that's kind of stuck on their thumbs and just wants to watch the football game.
[00:44:22.110 --> 00:44:24.271]  There's the little evil group and the little good group.
[00:44:24.651 --> 00:44:25.992]  And I've looked at the math.
[00:44:26.313 --> 00:44:27.854]  That little good group is not little.
[00:44:28.314 --> 00:44:31.056]  In fact, it's one of the biggest surges I've ever seen.
[00:44:33.357 --> 00:44:35.658]  When you really think about it, we're going to kick their ass!
[00:44:35.939 --> 00:44:37.660]  The New World Order's in deep shit, brother!
[00:44:37.800 --> 00:44:39.201]  Yeah, well, let me tell you what, though.
[00:44:39.241 --> 00:44:47.406]  The whole reason that they tell you, and you see so many people scoff and laugh it off, is because it's all a confidence scam.
[00:44:47.446 --> 00:44:50.628]  Just like the banking system and the global finances... Yeah, they just act confident!
[00:44:50.728 --> 00:44:50.988]  Right!
[00:44:51.068 --> 00:44:57.732]  No one's ever got sick from Gardasil, and it's like thousands and tens of thousands and... But it's just all a scammer.
[00:44:57.952 --> 00:44:59.153]  There's no mercury in the shots.
[00:44:59.173 --> 00:45:00.353]  They tried that for about five years.
[00:45:00.393 --> 00:45:01.694]  Well, it's on the insert.
[00:45:01.734 --> 00:45:01.854]  Yeah.
[00:45:02.995 --> 00:45:03.475]  Al Gore!
[00:45:03.955 --> 00:45:07.056]  Everyone knows the sea level's rising when it's dropping.
[00:45:07.176 --> 00:45:07.416]  Yes.
[00:45:07.716 --> 00:45:08.796]  Well, and I mean, you even see it.
[00:45:08.876 --> 00:45:09.796]  Or polar bears can't swim.
[00:45:09.896 --> 00:45:15.638]  Well, I mean, it's the whole thing that's like, look at all this uproar over the argument of whether Social Security's a Ponzi scheme or not.
[00:45:15.718 --> 00:45:21.879]  It's like, no, it 100% is a Ponzi scheme, regardless of if you like it and want to keep it.
[00:45:21.979 --> 00:45:25.239]  It's like, they promised things they couldn't deliver on.
[00:45:25.299 --> 00:45:26.820]  And they stole the money to begin with.
[00:45:26.840 --> 00:45:32.561]  They steal the money that's in there, and then the only reason they can keep it going is because they come to your house and say, we'll throw you in jail.
[00:45:32.921 --> 00:45:34.002]  If you don't pay us more.
[00:45:34.022 --> 00:45:38.906]  And they're always cutting how much you get, freezing the cola, stealing it through the inflation tax.
[00:45:38.926 --> 00:45:39.246]  That's right.
[00:45:39.367 --> 00:45:43.090]  But because you're going to get a little bit, okay, I'll go ahead and they take half of that little bit.
[00:45:43.270 --> 00:45:43.630]  You know what?
[00:45:43.670 --> 00:45:45.392]  I'm going to give you the last two or three minutes here.
[00:45:45.632 --> 00:45:47.614]  I want you to look right into that camera.
[00:45:47.834 --> 00:45:48.895]  You're hosting the show.
[00:45:49.155 --> 00:45:53.198]  You're absolutely dynamite when it comes to the fact we're going to kick their butt.
[00:45:53.419 --> 00:45:54.339]  We're going to win this thing.
[00:45:54.700 --> 00:45:56.141]  You've got the floor, my friend.
[00:45:57.822 --> 00:45:59.344]  Tell them where we are right now, Tad.
[00:45:59.964 --> 00:46:04.286]  Look, we're at an extremely important interchange in America.
[00:46:04.587 --> 00:46:13.151]  And, you know, it's coming up not just in election, but it's coming up in the way people behave and what they're willing to stand for and if they're willing to be courageous.
[00:46:13.511 --> 00:46:21.636]  Because it's really going to take courage to go out and deal with the fear that not only is real fear, but also
[00:46:22.276 --> 00:46:31.019]  Fear that is not real, but can feel so, and is part of, sort of, the scam of keeping you frozen and not willing to move.
[00:46:31.359 --> 00:46:40.543]  And I would just go and tell people that, you know, we've got to seize this opportunity, and freedom is this amazing adventure that you can have.
[00:46:40.603 --> 00:46:42.883]  But adventure takes courage.
[00:46:43.104 --> 00:46:49.686]  And if you can't show the courage to live, then really, at the end of the day, what's the point?
[00:46:50.006 --> 00:46:59.992]  So it's kind of like for the sake of our lives, for the sake of our children's lives, the point of life is having that life experience.
[00:47:00.552 --> 00:47:05.655]  And without it, it's kind of like we all leave this earth anyway in a pretty short period of time.
[00:47:05.935 --> 00:47:09.457]  So we're either going to pass on a more free and more adventurous life to our children,
[00:47:09.897 --> 00:47:10.357]  We're good to go.
[00:47:27.825 --> 00:47:38.873]  And so, you know, I would just, I hope people just take the opportunity to go out and not be afraid of the truth, but convicted to find the truth, you know, regardless of what it tells you.
[00:47:39.233 --> 00:47:46.117]  And I think often we think, well, if we believe something, then somehow that changes what's true or not.
[00:47:46.398 --> 00:47:49.740]  And it's like the truth is the truth, and that is what will set you free.
[00:47:50.040 --> 00:47:54.083]  So I hope people that will take that and embrace that and go in search of that.
[00:47:54.403 --> 00:47:55.603]  Well, Ted, well said.
[00:47:56.184 --> 00:47:57.524]  Facts are stubborn things.
[00:47:57.544 --> 00:47:58.084]  Yes, they are.
[00:47:58.764 --> 00:48:00.365]  And thank God they're stubborn.
[00:48:01.005 --> 00:48:05.406]  Look, our forebears weren't perfect, but they lived in a more real world where you made mistakes, you died.
[00:48:05.906 --> 00:48:11.548]  Now we've had such incredible technology, such great largesse, it's allowed us to get
[00:48:12.028 --> 00:48:12.588]  Pretty stupid.
[00:48:12.929 --> 00:48:17.551]  It's allowed us to go further down the road of uncommon sense than we've ever seen.
[00:48:18.052 --> 00:48:25.596]  But when that pendulum swings, it's going to be violent and we can feel it stopping and beginning to swing back and the system is bracing itself.
[00:48:25.997 --> 00:48:30.680]  The greatest challenge our species has ever faced, the greatest crossroads, is now here.
[00:48:31.598 --> 00:48:41.841]  Well, it is so exciting to know that you and the fellow that helped you, Harold, write this great film, are involved, and you were talking about some of your new projects coming out.
[00:48:42.341 --> 00:48:49.723]  So exciting, even more powerful than the last, and it's the fact that the individual is transcendent.
[00:48:50.343 --> 00:48:57.065]  The individual is just magic, and what free association can do is unbelievable.
[00:48:57.345 --> 00:48:58.686]  I go back to myself 17 years ago,
[00:49:00.326 --> 00:49:05.511]  You just got access TV, and I'm still learning every day, and I'm not using a teleprompter.
[00:49:05.571 --> 00:49:06.592]  This isn't calculated.
[00:49:06.812 --> 00:49:16.560]  This is just blood, sweat, tears, guts, and a love of liberty, and I reach conservatively more than 10 million people a week, and it's exponentially growing, and I know, and I've seen it.
[00:49:17.000 --> 00:49:23.445]  So many other people I've influenced, and others have influenced, that together we're going to kick this tyranny signed in.
[00:49:23.706 --> 00:49:24.466]  God bless you, my friend.
[00:49:24.486 --> 00:49:24.967]  Yes, thank you.
[00:49:25.447 --> 00:49:26.588]  Thank you so much for coming in.
[00:49:26.868 --> 00:49:29.169]  The film is American Dream.
[00:49:29.229 --> 00:49:32.111]  It's available at Infowars.com and free all over the internet.
[00:49:32.151 --> 00:49:37.514]  We hope you get the high-quality DVD and support what the filmmakers are doing, what we're doing, and get it out to folks.
[00:49:37.814 --> 00:49:39.715]  And hopefully you're on AXS TV in your area.
[00:49:39.755 --> 00:49:43.797]  All right, we're going to go to break, and we're going to come back with Peter Dale Scott.
[00:49:43.837 --> 00:49:50.441]  Straight ahead, continuity of government, government drug dealing, and 9-11, the staged event.
[00:49:51.381 --> 00:49:51.742]  Stay with us.
[00:49:51.762 --> 00:49:52.262]  We'll be right back.
[00:50:05.029 --> 00:50:06.470]  The American Dream.
[00:50:07.750 --> 00:50:09.711]  There's a reason they call it a dream.
[00:50:10.291 --> 00:50:11.832]  Who's there?
[00:50:12.632 --> 00:50:14.173]  Cock-a-doodle-doo, pal.
[00:50:19.375 --> 00:50:21.255]  No, no, no, no, no!
[00:50:21.595 --> 00:50:22.796]  I don't have any more money!
[00:50:23.496 --> 00:50:24.877]  My job sucks right now!
[00:50:24.917 --> 00:50:25.517]  Please!
[00:50:25.577 --> 00:50:27.198]  I'll have more money next month!
[00:50:28.891 --> 00:50:30.453]  You can't take my house!
[00:50:30.793 --> 00:50:31.834]  Is that your signature?
[00:50:32.014 --> 00:50:34.677]  It is a private bank, owned by private stockholders.
[00:50:35.037 --> 00:50:36.358]  A private bank?
[00:50:36.498 --> 00:50:39.882]  Do not let the name Federal fool you.
[00:50:40.082 --> 00:50:47.129]  If I got this money from the bank, and the bank got it from the Federal Reserve dump trucks, where does the Federal Reserve get their money?
[00:50:59.124 --> 00:51:02.731]  They take our property away, just like Thomas Jefferson said they would.
[00:51:03.171 --> 00:51:05.115]  Those sons of bitches!
[00:51:06.578 --> 00:51:08.862]  It's the greatest theft in human history.
[00:51:40.933 --> 00:51:46.217]  We're back, it's InfoWars Nightly News, another extended transmission because we're desperate to warn you.
[00:51:46.737 --> 00:51:51.220]  We know this information and my God, how can we not try to warn you?
[00:51:51.461 --> 00:51:56.604]  Hopefully you'll take that same spirit of enlightenment and spread it on to others because...
[00:51:57.825 --> 00:52:00.926]  Night is falling fast on free societies worldwide.
[00:52:01.466 --> 00:52:04.207]  We've got to defeat this tyranny before it's too late.
[00:52:05.427 --> 00:52:07.708]  Before we go to Peter Del Scott, I've got a few more stories here.
[00:52:08.108 --> 00:52:18.410]  Maryland motor vehicle system has come out with a trial in-car system that bosses you around when you go over the speed limit and later will report you to police.
[00:52:18.910 --> 00:52:20.911]  They're just beta testing a system.
[00:52:22.298 --> 00:52:25.381]  That I've seen the Federal Government Transportation Department talk about.
[00:52:25.401 --> 00:52:28.363]  They're going to have these systems in your cars that track everything you do.
[00:52:28.663 --> 00:52:32.467]  They already admit OnStar sells all your data to the Feds and insurance companies.
[00:52:32.847 --> 00:52:36.470]  They've actually told their minions that that's happening.
[00:52:37.110 --> 00:52:45.778]  Here's a letter we were sent where one of our listeners has basically begun to opt in to being part of the system.
[00:52:46.158 --> 00:52:48.540]  That's all up at InfoWars.com.
[00:52:49.981 --> 00:53:02.610]  And finally, before we go to Peter Del Scott, Ahmed Dinejid, who's an engineer, the leader of Iran, spoke at the UN yesterday, and he said that as an engineer, there's no way the towers fell from jet fuel.
[00:53:03.130 --> 00:53:03.850]  Well, what about Building 7?
[00:53:04.291 --> 00:53:06.572]  It wasn't even hit by an aircraft.
[00:53:07.032 --> 00:53:13.217]  And of course, the media now seizes on this and says, well, if you don't believe the official story, you're with the evil, you know, Iranians.
[00:53:14.217 --> 00:53:14.478]  I don't know.
[00:53:14.558 --> 00:53:15.358]  I'm with physics.
[00:53:15.839 --> 00:53:16.819]  I'm with common sense.
