[00:00:00.009 --> 00:00:00.309]  Got it.
[00:26:08.847 --> 00:26:15.351]  They confiscated papayas, watermelons, raw milk cheese that, by the way, is sold at supermarkets all over Austin, the same brands.
[00:26:15.952 --> 00:26:16.672]  Not even illegal.
[00:26:17.012 --> 00:26:17.413]  They don't care.
[00:26:17.433 --> 00:26:18.694]  They'll show a jury an armed raid.
[00:26:18.714 --> 00:26:20.315]  The jury will say, well, you raided them with guns.
[00:26:20.655 --> 00:26:21.836]  That means they must be bad men.
[00:26:22.696 --> 00:26:29.421]  And the footage of the cops that we posted on Infowars.com and that the Drudge Report linked to back on, what, Wednesday,
[00:26:30.821 --> 00:26:34.662]  The police look like something out of central casting of gangbangers.
[00:26:34.982 --> 00:26:35.362]  All of them.
[00:26:35.982 --> 00:26:42.164]  Didn't matter if they were white, hispanic, black, all of them look like what you would think of as a hardcore violent conflict.
[00:26:42.704 --> 00:26:51.586]  I mean, they looked evil, their eyes looked vicious, they looked slimy, their mannerism, their enjoyment.
[00:26:51.686 --> 00:26:53.026]  I mean, it's simple.
[00:26:53.086 --> 00:26:54.406]  I mean, you know when somebody gives you the willies?
[00:26:54.947 --> 00:26:56.227]  These guys looked
[00:26:57.732 --> 00:27:01.413]  These guys didn't look like Clark Kent or something, you know, that archetypal cop type.
[00:27:01.913 --> 00:27:09.634]  They didn't look like something like Sheriff Mac, who's confident, nice, and you get a friendly feeling from, but also, you know, comes off like a strong guy.
[00:27:09.654 --> 00:27:10.635]  No, no, no, no.
[00:27:10.655 --> 00:27:12.795]  They didn't look like a lawman.
[00:27:13.195 --> 00:27:15.015]  They looked like criminals.
[00:27:15.555 --> 00:27:23.237]  Like if these guys were walking down the street, because our cops don't look so criminal here in Austin, if these cops were walking down the street in Austin, Texas,
[00:27:23.917 --> 00:27:24.438]  I don't know.
[00:27:43.604 --> 00:27:44.825]  And dumping the milk in the gutter.
[00:27:44.845 --> 00:27:50.730]  I just... And then you can't have a... All over the country they're announcing, we've got to have inspections of your home garden.
[00:27:50.750 --> 00:27:52.011]  You might be growing drugs.
[00:27:52.411 --> 00:27:53.672]  Guilty until proven innocent.
[00:27:54.253 --> 00:27:55.253]  You can't have a garden.
[00:27:55.994 --> 00:27:57.255]  You can't have one in your front yard.
[00:27:57.275 --> 00:27:59.076]  Well, there's no law, but we're going to arrest you.
[00:27:59.357 --> 00:28:00.618]  You can't have that tomato box.
[00:28:01.633 --> 00:28:09.439]  Now the good news is, in Oak Park, Michigan, everybody rebelled and it's reported that thousands began planting gardens in their front yard, so they finally backed off.
[00:28:10.120 --> 00:28:13.242]  They were on record coming to arrest her for 93 days in jail.
[00:28:14.143 --> 00:28:21.649]  But this is the mindset of a control freak government that doesn't think it's the servants, it thinks it's the masters.
[00:28:21.749 --> 00:28:25.752]  Now, I haven't even gotten into the economy yet.
[00:28:27.406 --> 00:28:45.095]  But in the interest of time, I'm going to get more into what a downgrade means, where the bankers are going to lead us, how they're psychologically preparing us that it's our fault, that we're going to have a total depression, if they continue on this course, and consolidate and engage in what is known as austerity.
[00:28:45.695 --> 00:28:53.790]  As Obama says, his job now is to get us all to ship in, unless you're General Electric, running his economic council that's exempt from taxes, and their own carbon taxes.
[00:28:54.151 --> 00:28:55.574]  We'll be right back after this break.
[00:29:00.765 --> 00:29:02.266]  Hi folks, this is Alex Jones.
[00:29:02.486 --> 00:29:07.508]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[00:29:07.788 --> 00:29:09.148]  Saving means to make money.
[00:29:09.328 --> 00:29:18.112]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[00:29:18.852 --> 00:29:25.954]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[00:29:26.374 --> 00:29:33.997]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[00:29:34.377 --> 00:29:39.298]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[00:29:39.618 --> 00:29:41.779]  Getting a free catalog is easy by calling 800-340-7091.
[00:29:44.560 --> 00:29:47.484]  Or see Calvin on the web at 5starsub.com.
[00:29:47.764 --> 00:29:49.947]  Take charge of your health now by calling 800-340-7091.
[00:29:49.967 --> 00:29:51.309]  Or see Calvin on the web at 5starsub.com.
[00:30:03.624 --> 00:30:04.545]  Tyranny is here.
[00:30:04.885 --> 00:30:08.569]  The grim future foretold in 1984 has become reality.
[00:30:08.809 --> 00:30:11.031]  It really says that the state is God.
[00:30:11.051 --> 00:30:16.476]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:30:16.916 --> 00:30:23.142]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:30:23.582 --> 00:30:29.106]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:30:29.526 --> 00:30:33.228]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[00:30:33.729 --> 00:30:37.731]  Prepare to enter the secretive world of emergency dictatorship.
[00:30:38.011 --> 00:30:43.535]  Body scanners, sound cannons, citizen spies, stage terror and cameras on every street corner.
[00:30:43.975 --> 00:30:46.917]  It's only the beginning of the New World Order's hellish plan.
[00:30:47.517 --> 00:30:48.958]  The police state isn't coming.
[00:30:49.498 --> 00:30:49.919]  It's here.
[00:30:50.600 --> 00:30:57.434]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv
[00:30:59.659 --> 00:31:02.681]  Congratulations to our friends at eFoodsDirect.com.
[00:31:03.001 --> 00:31:07.384]  In August, they celebrate 30 years in the long-term storable food business.
[00:31:07.605 --> 00:31:15.570]  To celebrate, eFoodsDirect.com is offering the lowest price ever on their one-year Freedom Food Supply, even less than the price in 1981.
[00:31:16.311 --> 00:31:23.936]  For a limited time, you get 30% off a one-year Freedom Supply, which provides three hearty meals per day for one adult.
[00:31:24.116 --> 00:31:31.300]  The Freedom Supply includes a large variety of fruits and vegetables, dairy, legumes, grains, sprouting seeds and more.
[00:31:31.480 --> 00:31:34.422]  Plus you get a generous supply of their quick fix meals.
[00:31:34.722 --> 00:31:39.025]  This is the most complete, extensive and affordable unit they have ever offered.
[00:31:39.305 --> 00:31:47.530]  Call 800-409-5633 or go to efoodsdirect.com forward slash alex and get 30% off a one year food supply.
[00:31:47.650 --> 00:31:49.971]  If you have ever considered getting a supply, now
[00:31:59.634 --> 00:32:05.095]  When you're out on the road, the last place you want to be is on the road.
[00:32:06.296 --> 00:32:11.037]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:32:11.437 --> 00:32:18.179]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[00:32:20.168 --> 00:32:26.499]  They sew pride in every stitch Guarantee you love the way they fit
[00:32:38.312 --> 00:32:40.193]  We turn jeans inside out.
[00:32:40.453 --> 00:32:41.974]  Diamond Gusset Jeans.
[00:32:42.254 --> 00:32:44.816]  Made in the USA with unparalleled quality.
[00:32:45.136 --> 00:32:51.379]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection, so you can ride all day with confidence.
[00:32:51.760 --> 00:32:53.961]  Order yours at gusset.com.
[00:32:54.461 --> 00:32:55.882]  Diamond Gusset Jeans.
[00:32:56.042 --> 00:32:56.502]  Got it.
[00:32:56.822 --> 00:32:57.703]  Others don't.
[00:33:00.566 --> 00:33:03.431]  Coast to coast, direct from Austin.
[00:33:04.152 --> 00:33:07.357]  You're listening to the Alex Jones Broadcasting Network.
[00:33:24.000 --> 00:33:34.206]  I can go into the control room and look at the gauges of traffic visitors to InfoWars.com and PrisonPlanet.com.
[00:33:34.246 --> 00:33:36.128]  It is surging.
[00:33:37.308 --> 00:33:53.934]  Near a record level right now and of course massive amounts of people listening to the free audio streams at Infowars.com not just the AM and FM dial global shortwave and satellite of course and I do the Sunday show 4 to 6 p.m.
[00:33:53.954 --> 00:33:55.335]  Because there's so much news.
[00:33:55.895 --> 00:34:01.777]  I'm not gonna just sit idle on the weekend I work around the clock, but we also come in weekdays 11 a.m.
[00:34:01.838 --> 00:34:02.078]  To 2 p.m.
[00:34:02.098 --> 00:34:02.858]  Central 12 to 3 p.m.
[00:34:02.978 --> 00:34:03.238]  Eastern
[00:34:05.959 --> 00:34:29.302]  Adjust that for Mountain or Pacific Now I want to give the toll-free number out to talk about what's happening with our economy And to also then get into the whole steel team six situation The biggest one-day death of US troops in the close to 10-year war it'll be 10 years coming up in September
[00:34:30.911 --> 00:34:36.215]  And of course, we predicted that you would see the rest of SEAL Team 6 killed off.
[00:34:37.216 --> 00:34:41.239]  And we're going to be getting to some of those predictions here in a moment.
[00:34:41.299 --> 00:34:47.283]  And I'll break down exactly why we've been basically going that direction.
[00:34:47.784 --> 00:34:57.451]  And it's, of course, because the official story of the Bin Laden killing is as phony as George Herbert Walker Bush's pledge, read my lips, no new taxes.
[00:34:58.772 --> 00:35:07.878]  Or Obama saying he wouldn't hire any lobbyists, or Bill Clinton saying I didn't have sex with that woman, or Richard Nixon saying I'm not a crook.
[00:35:09.359 --> 00:35:11.820]  No, the official story has been proven to be a fraud.
[00:35:11.840 --> 00:35:17.543]  We don't know exactly what happened with the whole Bin Laden raid, but it's been admitted, every facet of it, to be a lie.
[00:35:18.144 --> 00:35:21.566]  And so we predicted that SEAL Team 6 would start going bye-bye.
[00:35:22.046 --> 00:35:24.648]  We're going to get to that in a moment and break down exactly why.
[00:35:26.949 --> 00:35:39.502]  I know listeners are tuned in to find out my view on that, but I also want to discover your view, and so the toll-free number to join us, it's a different number on the Sunday show than the weekday show, is 877-789-ALEX, 877-789-2539, and we will get you up and on the air.
[00:35:49.832 --> 00:35:56.314]  But first, just in case you just joined us, I want to play Geithner from two months ago on Fox Business, saying that we would not lose our AAA rating.
[00:35:57.275 --> 00:36:00.516]  But he said we would lose it if we didn't up the debt limit.
[00:36:00.996 --> 00:36:04.717]  And then, within one day, they'd spent most of the debt limit increase.
[00:36:05.317 --> 00:36:06.378]  One day, they'd already spent it.
[00:36:06.878 --> 00:36:07.258]  Half of it.
[00:36:07.718 --> 00:36:09.059]  And then within two days, it was all gone.
[00:36:09.439 --> 00:36:11.980]  But this is the trap they get you in.
[00:36:13.000 --> 00:36:15.261]  So, let's go ahead and play that clip.
[00:36:15.281 --> 00:36:15.621]  Here it is.
[00:36:16.383 --> 00:36:17.264]  Alright, Connell, thank you.
[00:36:17.284 --> 00:36:19.265]  Mr. Secretary, thanks for joining Fox Business.
[00:36:20.305 --> 00:36:25.388]  Is there a risk that the United States could lose its AAA credit rating, yes or no?
[00:36:25.568 --> 00:36:26.149]  No risk of that.
[00:36:26.489 --> 00:36:26.869]  No risk?
[00:36:26.909 --> 00:36:27.249]  No risk.
[00:36:27.289 --> 00:36:39.416]  Again, if you look, if you listen carefully now, you see the leadership of the United States of America, the President, the Republican leadership in both houses, and the Democrats, recognizing now that this is the right thing to do for the economy.
[00:36:39.516 --> 00:36:40.777]  That we have to put in place now
[00:36:41.377 --> 00:36:45.867]  Yeah, they've had all these other debt limit increases in the past, so how was this one different?
[00:36:46.309 --> 00:36:47.291]  Well, it was a bait-and-switch.
[00:36:47.331 --> 00:36:49.015]  It wasn't about the debt limit increase.
[00:36:50.017 --> 00:36:53.139]  Okay, that was pretty much a standard position.
[00:36:54.540 --> 00:36:57.002]  It's all the tax increases and things they want in there.
[00:36:57.342 --> 00:37:02.025]  But that itself pales in significance to the new legislative body that was created.
[00:37:02.485 --> 00:37:04.166]  Well, everybody's, we got to get a deal.
[00:37:04.206 --> 00:37:05.087]  We got to get a deal.
[00:37:05.147 --> 00:37:06.048]  Can't they get together?
[00:37:06.068 --> 00:37:07.108]  Can't they get something done?
[00:37:07.529 --> 00:37:10.771]  The founders actually said separation of powers is good.
[00:37:10.971 --> 00:37:11.952]  Gridlock is good.
[00:37:12.512 --> 00:37:19.477]  Because if they could ram things through, powerful men in history have a tendency of wanting to turn themselves into dictators.
[00:37:20.377 --> 00:37:29.122]  And even if the first generation doesn't do that, they amass more and more power into their hands until it always moves into a dictatorship.
[00:37:29.483 --> 00:37:36.727]  And now this country, on all things monetary, and Harry Reid's on record saying it affects all legislation, including guns.
[00:37:37.888 --> 00:37:44.331]  So the leader of the Senate says it affects everything, but the way I read it, strictly, it only deals with spending, cutting, taxes.
[00:37:44.351 --> 00:37:48.114]  But that's pretty much, you know, the most powerful power right there alone.
[00:37:49.580 --> 00:37:56.524]  And so now a super Congress, six House, six Senate, and El Presidente, a total of 13, they bring forward bills.
[00:37:56.804 --> 00:38:04.869]  Not when you watch Schoolhouse Rock as a kid that any member can introduce it and it's debated and there's amendments and there can be filibusters.
[00:38:05.069 --> 00:38:06.010]  No, no, no, no.
[00:38:06.450 --> 00:38:09.231]  Sure, for 200 plus years we've had that, but who needs that?
[00:38:09.271 --> 00:38:15.315]  In fact, for 200 years the Congress had to authorize war, but who needs that, as Obama said four months ago?
[00:38:15.675 --> 00:38:16.155]  I've got the UN.
[00:38:17.276 --> 00:38:19.037]  Who needs Congress to pass carbon taxes?
[00:38:19.458 --> 00:38:27.784]  The ATF couldn't get them a couple months ago to pass new gun rules, gun laws, and so now they're just implementing them outside of law, and the NRA's suing them over it.
[00:38:28.684 --> 00:38:36.890]  They just come in and say, ah, you just do what we say, because guns are being shipped to Mexico, and the gun dealers say, but wait a minute, you're the one shipping them down there to blame the Second Amendment.
[00:38:36.910 --> 00:38:38.632]  They're like, we don't care we got caught.
[00:38:39.562 --> 00:38:40.702]  And it's coming out in federal court.
[00:38:40.722 --> 00:38:42.123]  The government's bringing in the cocaine.
[00:38:42.683 --> 00:38:44.823]  That's in the El Paso Times Chicago Tribune.
[00:38:44.863 --> 00:38:47.444]  I'll be getting to that later in the next hour if I have time.
[00:38:47.764 --> 00:38:50.105]  I covered it a lot on Friday and over the weekend.
[00:38:50.125 --> 00:38:52.825]  We have a lot of special reports up at Infowars.com.
[00:38:52.865 --> 00:38:59.607]  And I'm now, of course, doing Infowars special report, hour-long and two-hour-long video reports.
[00:39:00.127 --> 00:39:02.308]  And then starting September 1st, we're gonna have a 30-minute
[00:39:02.828 --> 00:39:08.493]  Show every night new show that's gonna cover a lot of information condensed down 7 p.m.
[00:39:08.573 --> 00:39:18.662]  Central and that of course will debut at prison planet TV We've already got literally scores of cable and satellite networks wanting to pick it up a lot of them wanting to just pick up the regular
[00:39:19.343 --> 00:39:21.824]  Now, let me get into the mysterious report of the helicopter being shot down
[00:39:43.421 --> 00:40:03.173]  And a few days ago and it being the highest number of US forces ever killed in the close to 10 year action in Afghanistan to secure the 500 billion dollar a year opium fields and now they put it on Fox News, CNN, ABC News that the troops give them the fertilizer, grow it, load it on trucks and ship it out.
[00:40:04.946 --> 00:40:06.267]  You want me to play those news clips again?
[00:40:06.487 --> 00:40:07.749]  That's how dumb they think you are.
[00:40:08.149 --> 00:40:09.050]  But that's why they're there.
[00:40:09.150 --> 00:40:12.033]  Pat Tillman spoke out against it, and they had to take him out.
[00:40:12.813 --> 00:40:16.177]  They said Al-Qaeda killed him, and then later it was admitted the military killed him.
[00:40:16.677 --> 00:40:18.779]  And the head coroner said it was homicide.
[00:40:18.819 --> 00:40:20.701]  But again, the government's good.
[00:40:21.061 --> 00:40:24.585]  I guess the football star had to die for the patriotism.
[00:40:24.605 --> 00:40:26.947]  Because you're not patriotic if you don't bring narcotics in.
[00:40:29.108 --> 00:40:32.249]  Continuing here, we've got a clip coming up in a little while.
[00:40:32.469 --> 00:40:34.530]  I know I made these predictions over and over again.
[00:40:36.050 --> 00:40:40.351]  We haven't been able to dig out the videos or audio yet, but I'm looking for listeners to do that.
[00:40:40.371 --> 00:40:57.156]  I'm sure it's in our email inbox, but InfoWars Ireland, our spinoff over there, did predict SEAL Team 6 demise, and the video is time-stamped, and I remember the article back on May 11th, and we have a link to that, and I'll be playing a clip of that a little bit later.
[00:40:58.716 --> 00:41:01.038]  But here's the issue.
[00:41:02.059 --> 00:41:05.442]  We know that the official Bin Laden killing was a hoax.
[00:41:06.403 --> 00:41:19.515]  Dr. Steve Pachinik, who wrote the book on psychological warfare for the Pentagon and who was the Undersecretary of State back in 2002, laid out how Bin Laden had died from marfans and kidney failure.
[00:41:20.953 --> 00:41:23.297]  And have been treated by American doctors and the CIA.
[00:41:23.517 --> 00:41:28.385]  Later that actually came out on CBS News that he had been treated by American doctors before and after 9-11.
[00:41:30.188 --> 00:41:30.408]  I think?
[00:41:54.056 --> 00:42:06.745]  That I'm getting at is, if the official story of Obama and the way they claim that they killed Bin Laden is a fraud, then we have to look closely at SEAL Team 6 people dying.
[00:42:07.848 --> 00:42:13.411]  And I need to look at it with a little bit of a critical eye, you could say.
[00:42:13.831 --> 00:42:15.932]  Now let's just briefly review what happened.
[00:42:17.493 --> 00:42:25.677]  They released a Situation Room photo and said Obama was watching Bin Laden be killed live on video cam connections with the SEALs.
[00:42:26.277 --> 00:42:30.880]  And you could see it was stage photos with Hillary's hand over her mouth and all the men acting tough.
[00:42:30.920 --> 00:42:31.900]  You could tell a stage photo.
[00:42:32.301 --> 00:42:33.901]  They later admitted it was a stage photo.
[00:42:33.941 --> 00:42:34.922]  They weren't watching it live.
[00:42:35.262 --> 00:42:38.383]  Then they claim Bin Laden was in a big shootout with him and used his wife as a shield.
[00:42:38.764 --> 00:42:39.564]  That wasn't true.
[00:42:39.984 --> 00:42:45.307]  Then they claim they threw him in the ocean as his Islamic, uh, you know, he has cement shoes now.
[00:42:47.108 --> 00:42:49.649]  It went on and on and on and the whole story was a fraud.
[00:42:49.929 --> 00:42:54.431]  Then eyewitnesses said the SEALs got on the helicopter and it blew up.
[00:42:55.051 --> 00:42:58.593]  Now, we predicted... Stay with us, we'll break it down.
[00:43:01.044 --> 00:43:05.347]  Alex Jones here with vital information concerning our nation's fragile food supply.
[00:43:05.748 --> 00:43:11.612]  Folks, there are some truly dangerous trends forming, and I think it's important for my listeners to do three things right away.
[00:43:12.173 --> 00:43:13.934]  Number one, study the past.
[00:43:14.455 --> 00:43:16.196]  History really does repeat itself.
[00:43:16.837 --> 00:43:20.579]  Number two, learn to spot the dangerous food shortage trends.
[00:43:21.690 --> 00:43:23.952]  Number three, take decisive action.
[00:43:24.773 --> 00:43:28.055]  A perfect storm is brewing, or a global food crisis.
[00:43:28.616 --> 00:43:33.359]  That's why I'm telling everyone to read the new book, Rising Prices, Empty Shelves.
[00:43:33.680 --> 00:43:37.122]  Warning signs that trigger the deadliest famines in history.
[00:43:37.683 --> 00:43:40.545]  Don't get caught unprepared when the crisis hits.
[00:43:41.086 --> 00:43:44.668]  This book is only available at risingpricesemptyshelves.com.
[00:43:45.569 --> 00:43:49.810]  You'll also get a free copy of Supermarket Survival, How to Cut Your Grocery Bills in Half.
[00:43:50.490 --> 00:43:54.611]  Again, that website is risingpricesemptyshelves.com.
[00:43:55.111 --> 00:43:57.872]  That's risingpricesemptyshelves.com.
[00:44:00.252 --> 00:44:14.676]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:44:15.717 --> 00:44:19.439]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:44:20.419 --> 00:44:32.405]  Not only does the Silver Lungs System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:44:33.165 --> 00:44:40.429]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:44:41.129 --> 00:44:50.714]  Be sure to watch our new 7 minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:44:51.495 --> 00:44:54.757]  As well, we are always ready to answer any questions you may have.
[00:44:55.417 --> 00:44:58.539]  That's www.SilverLungs.com
[00:45:00.287 --> 00:45:01.789]  Hi folks, this is Alex Jones.
[00:45:02.009 --> 00:45:07.034]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[00:45:07.314 --> 00:45:08.676]  Saving means to make money.
[00:45:08.856 --> 00:45:17.645]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[00:45:18.366 --> 00:45:25.471]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[00:45:25.912 --> 00:45:33.517]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[00:45:33.918 --> 00:45:41.303]  If you want something better, if you want something you've never had before, you had to do something you've never done before, getting a free catalog is easy by calling 800-340-7091.
[00:45:44.085 --> 00:45:46.988]  Or see Calvin on the web at FiveStarSoap.com.
[00:45:47.288 --> 00:45:49.590]  Take charge of your health now by calling 800-340-7091.
[00:45:49.610 --> 00:45:51.792]  Or see Calvin on the web at FiveStarSoap.com.
[00:45:58.903 --> 00:46:06.747]  A very wealthy US citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[00:46:07.007 --> 00:46:09.268]  He says it will change everything about our lives.
[00:46:09.568 --> 00:46:14.750]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your own family.
[00:46:14.931 --> 00:46:17.712]  Now this man has made some outrageous predictions over the years.
[00:46:17.972 --> 00:46:20.033]  The crazy part is, he's usually right.
[00:46:20.293 --> 00:46:26.218]  You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[00:46:26.538 --> 00:46:29.741]  In fact, Barron's called his work a dire prophecy.
[00:46:29.921 --> 00:46:35.466]  Recently, he created a video, which you can watch online for free, detailing his biggest and most important prediction yet.
[00:46:35.706 --> 00:46:37.007]  And it's a real eye-opener.
[00:46:37.348 --> 00:46:38.509]  I can't stress this enough.
[00:46:38.649 --> 00:46:41.191]  You should at least watch this free video online today.
[00:46:41.311 --> 00:46:45.375]  He explains everything you need to know, including simple steps you can take to protect yourself.
[00:46:45.555 --> 00:46:47.256]  You can find the video at www.
[00:46:48.337 --> 00:46:50.019]  End of America 3.com.
[00:46:50.159 --> 00:46:52.601]  That's End of America, the number 3.com.
[00:46:52.741 --> 00:46:56.445]  Watch the free video at www.EndOfAmerica3.com.
[00:46:56.605 --> 00:46:58.346]  That's EndOfAmerica3.com.
[00:47:00.568 --> 00:47:01.729]  Coast to Coast.
[00:47:02.110 --> 00:47:03.491]  Direct from Austin.
[00:47:04.172 --> 00:47:07.375]  You're listening to the Alex Jones Broadcasting Network.
[00:47:09.676 --> 00:47:10.237]  We've got it.
[00:47:10.257 --> 00:47:16.705]  This transmission is coming to you.
[00:47:16.785 --> 00:47:20.930]  Waging war on corruption.
[00:47:21.190 --> 00:47:22.612]  It's Alex Jones.
[00:47:23.173 --> 00:47:26.857]  Coming to you live from the front lines of the InfoWar.
[00:47:31.161 --> 00:47:41.304]  Look, when you study history, you know when something stinks to high heaven because you understand the modus operandi of the different organizations that are involved.
[00:47:41.804 --> 00:47:43.365]  You understand propaganda.
[00:47:46.205 --> 00:47:56.788]  And I know I predicted many, many times that they would kill large portions of SEAL Team 6 because it's already super secretive.
[00:47:56.808 --> 00:47:58.689]  They don't even know how many units are in it.
[00:47:59.917 --> 00:48:03.320]  Um, governments routinely flush soldiers down the toilet.
[00:48:03.741 --> 00:48:10.727]  They also do something called sheep dipping that's been declassified, where they stage the deaths of a lot of military who don't really die.
[00:48:11.328 --> 00:48:20.736]  They give them plastic surgery, change their ears, um, even get rid of their fingerprints or alter them so they can carry out clandestine operations.
[00:48:21.797 --> 00:48:22.658]  More than 4,000 U.S.
[00:48:22.999 --> 00:48:32.207]  troops died from 60 to 64 in Vietnam, and it's now been declassified that they would send letters home that they died in automobile accidents, helicopter crashes, plane crashes.
[00:48:32.688 --> 00:48:35.690]  Sometimes there'd be real plane crashes and they'd just tag their names onto it.
[00:48:37.091 --> 00:48:43.274]  Other times, they would just claim that they died in an accident in a warehouse, the pallet had fallen over on them.
[00:48:44.454 --> 00:48:51.737]  They would ship a sealed casket back home with a rotten body in it of somebody else, or you really would have died in combat.
[00:48:51.797 --> 00:48:54.298]  I mean, there's all sorts of scrambling going on.
[00:48:55.938 --> 00:49:02.341]  And Dr. Pchenik and others that we've interviewed have broken down the fact that this is a complete hoax and a fraud.
[00:49:02.361 --> 00:49:03.181]  We've gone over that.
[00:49:04.382 --> 00:49:04.522]  Now,
[00:49:05.822 --> 00:49:12.029]  We, I have two military sources off air, uh, who I don't know, but have been accurate in the past.
[00:49:12.169 --> 00:49:20.258]  And then another source who's called in on the show and has been very accurate, who told us that McChrystal was going to be stepping down from a scandal months and months before he did.
[00:49:21.569 --> 00:49:35.556]  Um, all confirmed that reportedly SEALs were killed when the stealth helicopter, again another example, there's a lot of stuff we don't know about, a lot of secrecy, when that big troop carrying helicopter blew up.
[00:49:36.176 --> 00:49:42.840]  Now, Pakistani TV and eyewitnesses said that nobody was shooting at it, they got off, got back on, and it blew up on the ground.
[00:49:43.888 --> 00:49:50.095]  So we don't know if it really crashed by pilot error, or if the helicopter failed, or if it was shot at, or if it blew up with a bomb on it.
[00:49:50.516 --> 00:49:52.838]  But you send the SEALs in to think they're killing bin Laden.
[00:49:53.761 --> 00:49:55.942]  There's CIA safe houses all over the area.
[00:49:55.982 --> 00:49:56.602]  That's now admitted.
[00:49:56.622 --> 00:49:59.502]  It's right by a Pakistani military base that the U.S.
[00:49:59.542 --> 00:50:01.023]  government admits they work closely with.
[00:50:01.423 --> 00:50:02.923]  This guy's hiding out in this thing.
[00:50:03.543 --> 00:50:05.764]  The whole story changes over and over again.
[00:50:05.784 --> 00:50:18.066]  I mean, do you really believe they threw him in the ocean and they admit he had a big firefight with folks and that wasn't true and Obama was watching it and that wasn't true and fake photos and the whole way it was rolled out as a PR stunt, as an election ploy.
[00:50:19.387 --> 00:50:20.347]  His approval rating went up.
[00:50:21.397 --> 00:50:22.698]  That's what we're dealing with here.
[00:50:23.238 --> 00:50:30.704]  And so then, you get the biggest one-day loss of life in the close to 10 years of the Afghanistan War.
[00:50:31.084 --> 00:50:32.925]  They call it a conflict or kinetic action.
[00:50:33.886 --> 00:50:43.333]  And we're to believe that it's SEAL Team, elements of SEAL Team 6, flying around on a National Guard helicopter.
[00:50:44.193 --> 00:50:46.995]  And I've got a lot of military contacts here.
[00:50:47.015 --> 00:50:49.937]  And I've been looking at a lot of the military sites.
[00:50:51.637 --> 00:50:52.438]  They're not buying it.
[00:50:52.458 --> 00:50:59.303]  They're saying almost immediately after news of the crash began to spread, we were placed in a internet and phone blackout.
[00:50:59.343 --> 00:51:04.928]  That means communications with family, friends, and others back home is on real time, is prevented until further notice.
[00:51:05.488 --> 00:51:11.893]  The Chinook shot down belonged to a National Guard unit, which is causing people to whisper in astonishment because that's not used by them.
[00:51:13.194 --> 00:51:20.300]  Why were some of the most elite American military in such large numbers tooling around a National Guard helicopter right over the capital city?
[00:51:21.727 --> 00:51:28.693]  Continuing, people were working in a military base in Kabul Airport, north of the city where the helicopter flew from, say the story hit the news too quickly.
[00:51:29.213 --> 00:51:31.876]  I was told it popped up on CNN way too fast.
[00:51:31.936 --> 00:51:32.676]  Yeah, within minutes.
[00:51:33.517 --> 00:51:35.179]  Showing again, it was a staged event.
[00:51:35.239 --> 00:51:44.827]  Now, we don't know if they were killing off some of the members that were part of SEAL Team 6 that were involved in the raid.
[00:51:45.647 --> 00:51:49.431]  Or were they people speaking out about the official story not being true?
[00:51:50.573 --> 00:52:01.660]  Or did they just tag on the SEALs as dead who really died when the helicopter crashed and blew up months and months ago during the OBL Osama Bin Laden rape?
[00:52:02.921 --> 00:52:03.441]  We don't know.
[00:52:04.682 --> 00:52:05.182]  We don't know.
