[00:00:00.407 --> 00:00:01.507]  We've got it.
[00:25:49.039 --> 00:25:56.705]  Kind of like we now learn 11 years ago, the big insurance company signed a private deal, now public in Bloomberg, to steal all the death benefits of the troops.
[00:25:57.225 --> 00:26:01.468]  You think they care about Yemenis, Bahrainians, Iraqis?
[00:26:01.849 --> 00:26:03.970]  You think they care about Venezuela?
[00:26:04.290 --> 00:26:04.571]  Anybody.
[00:26:04.591 --> 00:26:05.952]  These bankers don't care about anybody.
[00:26:06.332 --> 00:26:12.316]  They are totally and completely 110% ruthless.
[00:26:12.817 --> 00:26:15.419]  And so know this, while you're cheering this new war,
[00:26:17.179 --> 00:26:20.441]  They lie to you and tell you every year, we'll be out in two years from Afghanistan.
[00:26:20.661 --> 00:26:21.622]  It's always two more years.
[00:26:21.642 --> 00:26:22.742]  They just announced that last month.
[00:26:23.543 --> 00:26:26.264]  They just announced that in February.
[00:26:27.945 --> 00:26:28.886]  This is never ending.
[00:26:28.926 --> 00:26:39.772]  The military is full of good men and women, but it's controlled at the top by the big mega offshore corporations that control this country.
[00:26:40.232 --> 00:26:45.235]  And they now admit the rebels the entire time, listen to me, were Western funded.
[00:26:45.255 --> 00:26:46.076]  So what does this say?
[00:26:47.344 --> 00:26:55.766]  If Western-funded rebels, a lot of them are legitimately angry against dictators, like Hazi Mubarak in Egypt, our big ally.
[00:26:56.066 --> 00:27:00.487]  Or Muammar Gaddafi, who'd been the big enemy until six years ago, when he became a good guy in our media.
[00:27:00.507 --> 00:27:01.807]  And I said then, this is a fraud.
[00:27:03.147 --> 00:27:04.428]  Why is our media endorsing him?
[00:27:04.648 --> 00:27:10.269]  And all the British Prime Ministers and Italian Presidents and French Presidents openly hugging him.
[00:27:10.609 --> 00:27:16.110]  You go to the top of the Drudge Report right now, it's Gaddafi with his arms around Obama just a year ago.
[00:27:17.205 --> 00:27:17.786]  It's a joke.
[00:27:17.826 --> 00:27:18.827]  It's like 1984.
[00:27:19.147 --> 00:27:21.129]  We've always been at war against East Asia.
[00:27:21.409 --> 00:27:24.693]  We've never been at war against East Asia.
[00:27:24.733 --> 00:27:25.474]  They're our friend.
[00:27:26.815 --> 00:27:27.676]  And you read this.
[00:27:27.756 --> 00:27:31.680]  Now here's the big, fat, super juicy key.
[00:27:33.842 --> 00:27:38.167]  I would love for real freedom to be in North Africa, though Africa has never had a history of freedom.
[00:27:39.025 --> 00:27:39.565]  I would love that.
[00:27:39.865 --> 00:27:41.446]  But let's talk about the real world.
[00:27:42.067 --> 00:27:43.327]  Let's talk about reality.
[00:27:43.347 --> 00:27:48.110]  Let's not talk about lies and fraud and just buy a comic book fiction we're being handed.
[00:27:48.370 --> 00:27:49.490]  Let's talk about reality.
[00:27:51.391 --> 00:27:53.713]  This article was out.
[00:27:54.333 --> 00:28:00.176]  I called Paul Watson last night and he said, I got a splitting headache, it's 10 o'clock at night here, I can't write this now, I'll write it in the morning.
[00:28:00.596 --> 00:28:01.096]  I said, fine.
[00:28:01.777 --> 00:28:03.658]  He wrote it this morning at PrisonPlanet.com.
[00:28:04.637 --> 00:28:04.957]  U.S.
[00:28:04.997 --> 00:28:09.200]  government backs Libyan al-Qaeda while hyping terror attack inside the U.S.
[00:28:09.380 --> 00:28:10.801]  Let me read that again.
[00:28:11.982 --> 00:28:12.242]  U.S.
[00:28:12.282 --> 00:28:16.765]  government backs Libyan al-Qaeda while hyping terror attack inside the U.S.
[00:28:17.385 --> 00:28:18.606]  What are the headlines today?
[00:28:18.986 --> 00:28:26.030]  Qaddafi says al-Qaeda forces backed by Egypt and Saudi Arabia are attacking him, says the Western terrorist.
[00:28:27.369 --> 00:28:28.251]  That's actually true.
[00:28:28.632 --> 00:28:29.574]  He's a terrorist too.
[00:28:30.577 --> 00:28:35.288]  What did the London Telegraph run with hours after we published our article?
[00:28:36.741 --> 00:28:37.241]  Libya.
[00:28:37.821 --> 00:28:40.182]  The West and Al-Qaeda are on the same side.
[00:28:40.222 --> 00:28:40.602]  They are.
[00:28:41.082 --> 00:28:44.643]  Saudi Arabia is sending an Al-Qaeda through Egypt and weapons.
[00:28:44.983 --> 00:28:50.185]  And Al-Qaeda, it says in the London Telegraph, has endorsed the U.S.
[00:28:50.945 --> 00:28:53.686]  Osama bin Laden, Anwar al-Awlaki.
[00:28:54.226 --> 00:28:57.327]  Well, who do you think the West used against the Russians or against the Serbs?
[00:28:58.267 --> 00:28:58.807]  Al-Qaeda.
[00:29:00.216 --> 00:29:04.459]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:29:04.759 --> 00:29:05.039]  Number 1.
[00:29:05.680 --> 00:29:08.822]  New climate legislation could easily double or triple your electric bill.
[00:29:09.102 --> 00:29:09.662]  Number 2.
[00:29:09.963 --> 00:29:14.506]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:29:14.846 --> 00:29:15.306]  It's true.
[00:29:15.606 --> 00:29:20.169]  Total government control of electricity in the name of smart grid technology is coming.
[00:29:20.470 --> 00:29:21.010]  Number 3.
[00:29:21.290 --> 00:29:24.592]  In some areas of the country, the power grid is dangerously overloaded.
[00:29:24.872 --> 00:29:28.595]  And now, new socialist legislation is only compounding the problem.
[00:29:28.775 --> 00:29:29.316]  Number 4.
[00:29:29.576 --> 00:29:31.938]  Dangerous weather is always a threat to local grids.
[00:29:32.339 --> 00:29:35.722]  Every year, thousands of families lose their power from weather-related outages.
[00:29:36.023 --> 00:29:36.223]  Number 5.
[00:29:36.803 --> 00:29:40.728]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:29:40.968 --> 00:29:45.733]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:29:46.013 --> 00:29:50.016]  You can get more information at www.mysolarbackup.com.
[00:29:50.177 --> 00:29:51.738]  That's mysolarbackup.com.
[00:29:51.958 --> 00:29:54.040]  Remember, the government doesn't own the sun.
[00:29:54.200 --> 00:29:56.802]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:29:56.822 --> 00:30:01.226]  A very wealthy U.S.
[00:30:01.266 --> 00:30:07.932]  citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[00:30:08.192 --> 00:30:10.474]  He says it will change everything about our lives.
[00:30:10.734 --> 00:30:15.917]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your own family.
[00:30:16.118 --> 00:30:18.899]  Now, this man has made some outrageous predictions over the years.
[00:30:19.160 --> 00:30:21.261]  The crazy part is, he's usually right.
[00:30:21.481 --> 00:30:27.425]  You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[00:30:27.725 --> 00:30:30.927]  In fact, Barron's called his work a dire prophecy.
[00:30:31.107 --> 00:30:36.631]  Recently, he created a video, which you can watch online for free, detailing his biggest and most important prediction yet.
[00:30:36.891 --> 00:30:38.192]  And it's a real eye-opener.
[00:30:38.532 --> 00:30:39.653]  I can't stress this enough.
[00:30:39.813 --> 00:30:42.354]  You should at least watch this free video online today.
[00:30:42.494 --> 00:30:46.536]  He explains everything you need to know, including simple steps you can take to protect yourself.
[00:30:46.716 --> 00:30:51.198]  You can find the video at www.EndOfAmerica3.com.
[00:30:51.338 --> 00:30:53.779]  That's End of America, the number 3.com.
[00:30:53.919 --> 00:30:57.600]  Watch the free video at www.EndOfAmerica3.com.
[00:30:57.780 --> 00:30:58.801]  That's EndOfAmerica3.com.
[00:31:01.047 --> 00:31:07.731]  Alex has told you that the Mideast uprisings over food prices and shortages caused by fuel costs are spreading worldwide.
[00:31:08.071 --> 00:31:10.312]  We're seeing the impact right here in the United States.
[00:31:10.752 --> 00:31:19.557]  Ethanol, that was supposed to reduce petroleum use and fuel prices, hit a 30-month high in February, and pump prices are expected to reach $5 a gallon.
[00:31:19.777 --> 00:31:27.681]  Because of shipping costs, food is being priced out of the reach of millions of Americans, with an expected 35% jump in the next 60 days.
[00:31:28.042 --> 00:31:28.882]  Move quickly while
[00:31:28.882 --> 00:31:29.122]  I think so.
[00:32:01.489 --> 00:32:03.391]  You're subject to other police action.
[00:32:03.652 --> 00:32:04.553]  Tyranny is here.
[00:32:04.913 --> 00:32:08.437]  The grim future foretold in 1984 has become reality.
[00:32:08.457 --> 00:32:11.060]  It really says that the state is God.
[00:32:11.080 --> 00:32:16.506]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:32:16.946 --> 00:32:23.193]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:32:23.593 --> 00:32:29.135]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:32:29.576 --> 00:32:33.257]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[00:32:33.757 --> 00:32:37.799]  Prepare to enter the secretive world of emergency dictatorship.
[00:32:38.039 --> 00:32:43.541]  Body scanners, sound cannons, citizen spies, stage terror, and cameras on every street corner.
[00:32:43.981 --> 00:32:46.983]  It's only the beginning of the New World Order's hellish plan.
[00:32:47.543 --> 00:32:48.963]  The police state isn't coming.
[00:32:49.524 --> 00:32:49.944]  It's here.
[00:32:50.624 --> 00:32:57.047]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:33:19.670 --> 00:33:20.331]  We're good.
[00:33:31.981 --> 00:33:53.104]  Okay, my friends, coming up in the second hour, we're gonna open the phones, I'll get into the latest radiation plumes that have already reached the United States, the whitewash of that, the ongoing meltdowns at Fukushima in Japan.
[00:33:54.044 --> 00:33:56.685]  So that is coming up.
[00:33:57.961 --> 00:33:58.902]  In the next hour.
[00:33:58.962 --> 00:34:00.824]  But I've got a clip here of Obama.
[00:34:01.304 --> 00:34:06.009]  I've got a clip of a member of the British Parliament who we've interviewed, George Galloway, that I'm going to play.
[00:34:06.049 --> 00:34:13.016]  I've also got a clip of Louis Farrakhan, who I don't agree with on a lot of issues, but I agree with him on his statements on Libya.
[00:34:13.676 --> 00:34:14.797]  That is coming up.
[00:34:14.858 --> 00:34:15.798]  Just get this straight.
[00:34:16.739 --> 00:34:19.382]  None of this has to do with anything humanitarian.
[00:34:21.055 --> 00:34:22.135]  Who is Al-Qaeda?
[00:34:22.375 --> 00:34:30.897]  Al-Qaeda was set up in 1979 by Zbigniew Brzezinski, the International Foreign Affairs National Security Advisor for Jimmy Carter.
[00:34:31.077 --> 00:34:32.077]  He's written two books on it.
[00:34:32.437 --> 00:34:32.897]  It's public.
[00:34:33.257 --> 00:34:34.058]  It's declassified.
[00:34:34.878 --> 00:34:40.599]  They attacked the Russians, who were tyrants, to get them to actually come into Afghanistan.
[00:34:40.619 --> 00:34:45.740]  You're told it started by 83, that they invaded a few years before and then we got involved.
[00:34:45.940 --> 00:34:46.040]  No.
[00:34:47.455 --> 00:34:52.258]  Russia was attacked by Muslim extremists, funded out of Saudi Arabia.
[00:34:53.219 --> 00:35:02.466]  Same thing happened in the 1990s, repeatedly, dealing with the situation in Serbia.
[00:35:03.288 --> 00:35:04.089]  Out of Albania.
[00:35:04.949 --> 00:35:19.937]  Now, Al-Qaeda is run by Saudi Arabia, the most corrupt Arab nation out there, who have their child kidnapping rings, their kidnapped women, their pleasure palaces, their attacks on Christians, their hatred of Israel, the list goes on and on.
[00:35:19.977 --> 00:35:21.918]  But they're our big ally.
[00:35:23.019 --> 00:35:30.963]  Now, Saudi Arabia, it's now admitted, we told you this a month ago, but it's now admitted, is on record financing through Egypt, they had to get that ready first,
[00:35:32.148 --> 00:35:37.011]  Weapons and rebels going into eastern Libya to attack Muammar Gaddafi.
[00:35:38.311 --> 00:35:40.532]  Okay, so all of that is going on.
[00:35:42.714 --> 00:35:45.275]  And we wrote the story.
[00:35:50.060 --> 00:35:50.360]  U.S.
[00:35:50.400 --> 00:35:54.642]  government backs Libyan Al Qaeda while hyping terror attack inside the U.S.
[00:35:55.342 --> 00:36:06.527]  Our government thinks you're so stupid that four years ago, George W. Bush at WhiteHouse.gov put out a press release, we covered at the time, saying the U.S.
[00:36:06.607 --> 00:36:11.610]  is backing four rebel groups out of Iraq, in Iran, to try to overthrow the country.
[00:36:12.010 --> 00:36:14.191]  Three of the four were admittedly Al Qaeda.
[00:36:16.479 --> 00:36:20.122]  The number one group was headed by the number two guy in Al Qaeda.
[00:36:20.602 --> 00:36:24.465]  Just like Anwar al-Awlaki, Fox News and AP reported six months ago.
[00:36:25.126 --> 00:36:25.746]  You can just search.
[00:36:26.227 --> 00:36:29.990]  Anwar al-Awlaki dined secretly at Pentagon two months after 9-11.
[00:36:30.190 --> 00:36:33.012]  These guys work for the people that have hijacked our country.
[00:36:33.492 --> 00:36:34.353]  So get this straight.
[00:36:34.793 --> 00:36:41.739]  Qaddafi is, when he comes out and says the Western terrorists, they're bringing Al Qaeda in, this is admitted.
[00:36:43.083 --> 00:36:47.066]  They are the radical Muslim brigade used to overthrow countries.
[00:36:48.307 --> 00:36:51.610]  Now here's the London Telegraph headline today, in case you're doubting me.
[00:36:52.231 --> 00:36:52.691]  Libya.
[00:36:53.011 --> 00:36:55.753]  The West and Al-Qaeda are on the same side.
[00:36:55.994 --> 00:36:57.455]  CNN has a similar headline.
[00:36:58.075 --> 00:37:02.239]  Statements of support for Libya's revolution by Al-Qaeda and leading Islamicists.
[00:37:03.120 --> 00:37:08.423]  have led to fears that military action by the West might be playing into the hands of its ideological enemies.
[00:37:09.103 --> 00:37:11.384]  It is not their ideological enemies.
[00:37:11.424 --> 00:37:12.805]  In fact, scroll down on that article.
[00:37:12.825 --> 00:37:19.148]  Actually, click on the one in Telegraph so folks can see the photo of the Al-Qaeda operative in Benghazi.
[00:37:19.788 --> 00:37:22.169]  People are like, what do you mean Al-Qaeda works for the West?
[00:37:22.909 --> 00:37:23.990]  Study the history.
[00:37:24.130 --> 00:37:28.672]  No one could believe this because it's so brazen and so in your face.
[00:37:28.692 --> 00:37:32.174]  But our article at InfoWars.com and PrisonPlanet.com
[00:37:33.291 --> 00:37:35.411]  By Paul Watson breaks it down.
[00:37:37.112 --> 00:37:37.432]  U.S.
[00:37:37.472 --> 00:37:43.633]  government backs Libyan Al-Qaeda while hyping terror attacks inside the U.S.
[00:37:43.653 --> 00:37:44.933]  and that's the next big issue.
[00:37:46.794 --> 00:37:54.375]  Simultaneously, as we said three weeks ago, Western media is saying terrorists are set to strike Europe and the U.S.
[00:37:54.835 --> 00:37:57.936]  because Qaddafi is going to authorize them and they're Al-Qaeda.
[00:37:58.837 --> 00:38:04.242]  When Qaddafi is openly fighting Al-Qaeda out of Egypt and Saudi Arabia, that's not debated.
[00:38:05.783 --> 00:38:09.326]  Meanwhile, Al-Qaeda is being used against Iran that is Shiite.
[00:38:09.486 --> 00:38:14.430]  Al-Qaeda is Sunni, which is 80% of the Muslim faith, out of Saudi Arabia.
[00:38:15.791 --> 00:38:17.833]  Do you realize how dumb they think you are?
[00:38:18.313 --> 00:38:20.675]  Do you realize how stupid they think you are?
[00:38:20.695 --> 00:38:24.919]  Do you realize how they do this brazenly in front of everyone?
[00:38:26.040 --> 00:38:27.121]  I'm no fan of Qaddafi.
[00:38:28.387 --> 00:38:32.650]  But I'm also an even bigger enemy of globalist-controlled Al-Qaeda.
[00:38:32.890 --> 00:38:37.373]  Many of the young Arabs that are part of Al-Qaeda are useful idiots who don't even know they're working for the West.
[00:38:38.014 --> 00:38:41.236]  This is how the military-industrial complex takes over America.
[00:38:41.576 --> 00:38:44.578]  It's how the European military-industrial complex takes over Europe.
[00:38:44.859 --> 00:38:46.680]  This is how they put TSA on the streets.
[00:38:47.100 --> 00:38:51.844]  This is how they put slave training in the airports to condition you to give up your rights.
[00:38:52.124 --> 00:38:54.145]  This is how they set up the threat fusion centers.
[00:38:55.346 --> 00:38:55.906]  Al-Qaeda!
[00:38:57.199 --> 00:39:02.381]  All over mainstream news is admittedly battling against Muammar Gaddafi.
[00:39:02.681 --> 00:39:03.141]  Choose.
[00:39:03.581 --> 00:39:06.542]  Are you with Gaddafi or are you with Al Qaeda?
[00:39:06.842 --> 00:39:07.623]  I'm with none of them.
[00:39:08.443 --> 00:39:17.366]  But those of you cheering this attack on Gaddafi, you are cheering Al Qaeda, period, out of Saudi Arabia.
[00:39:18.243 --> 00:39:19.824]  This is outrageous.
[00:39:20.164 --> 00:39:21.925]  I'd actually cheer Saudi Arabia falling.
[00:39:21.985 --> 00:39:22.885]  I'll just be honest with you.
[00:39:23.225 --> 00:39:25.066]  They are so much more evil than Qaddafi.
[00:39:25.326 --> 00:39:26.707]  He's a smaller demon.
[00:39:27.267 --> 00:39:29.528]  See, governments corrupt as the founding fathers taught.
[00:39:29.969 --> 00:39:32.310]  It isn't just Qaddafi bad, U.S.
[00:39:32.370 --> 00:39:32.670]  good.
[00:39:33.290 --> 00:39:34.030]  No, it's U.S.
[00:39:34.070 --> 00:39:38.272]  controlled by foreign banks, Qaddafi bad, people that run the U.S.
[00:39:38.312 --> 00:39:38.653]  bad.
[00:39:39.553 --> 00:39:43.395]  Now, this is all about oil.
[00:39:44.744 --> 00:39:50.953]  And we're now been committed in our tax money committed to this and the UN passed the resolution.
[00:39:51.033 --> 00:39:52.235]  Congress wasn't involved.
[00:39:54.417 --> 00:40:00.079]  Speaker of the House Boehner, I gotta commend him, has gone public and pointed this out, and said, you gotta define the mission.
[00:40:00.159 --> 00:40:01.300]  We've gotta vote for this.
[00:40:01.820 --> 00:40:02.640]  What are you doing?
[00:40:03.180 --> 00:40:14.865]  The President under the Constitution can't do these things, but since World War II, in Korea, Vietnam, and countless other wars like Desert Storm, the invasion in 2003, it happens.
[00:40:16.085 --> 00:40:18.066]  Via the United Nations.
[00:40:18.086 --> 00:40:21.167]  So you might as well just get rid of the American flag and have the UN up there.
[00:40:22.216 --> 00:40:23.076]  So that's going on.
[00:40:23.576 --> 00:40:30.519]  And you've got Obama saying, anytime rebels rebel and get crushed, we've got to invade.
[00:40:30.679 --> 00:40:32.679]  That's the New World Order globalist model.
[00:40:32.979 --> 00:40:35.780]  They finance the rebels, whether it's good, bad, or indifferent.
[00:40:36.020 --> 00:40:36.841]  Good, bad, or ugly.
[00:40:37.141 --> 00:40:38.701]  Whether it's a good country or a bad country.
[00:40:39.241 --> 00:40:47.444]  What's going to happen when 70 to 80 million, what is it, 76 million Iranians, the globalists two years ago already tried to finance an overthrow there.
[00:40:47.704 --> 00:40:49.725]  What's going to happen when they rise up again?
[00:40:50.822 --> 00:40:51.942]  Against that corrupt system.
[00:40:52.702 --> 00:40:57.223]  And then our government is going to say, well the UN says we've got to bombard Iran.
[00:40:57.884 --> 00:41:03.305]  Just like what happened with Serbia when they had the Muslims out of Albania run by Al-Qaeda attack the Serbs.
[00:41:03.365 --> 00:41:06.025]  Not that the Serbs were good, but is Al-Qaeda good?
[00:41:06.826 --> 00:41:08.766]  This is about taking control of regions.
[00:41:09.006 --> 00:41:12.867]  They stole one-third of Serbia that had been in their hands for a thousand years.
[00:41:13.127 --> 00:41:16.288]  They defeated the Muslims in the Crusades three times!
[00:41:17.228 --> 00:41:18.810]  Three times in Kosovo!
[00:41:19.270 --> 00:41:20.952]  They handed it over to the Muslims!
[00:41:21.512 --> 00:41:26.036]  Don't tell me we're fighting Muslims all day when the globalists control the Muslims!
[00:41:26.857 --> 00:41:29.199]  Now, the Muslim Brotherhood, for a week, backed these attacks.
[00:41:29.539 --> 00:41:31.121]  The Muslim Brotherhood has now come out.
[00:41:31.241 --> 00:41:34.424]  Arab League split from West over Libya bombing.
[00:41:35.265 --> 00:41:36.426]  So now there's a split there.
[00:41:38.188 --> 00:41:39.848]  We can't pay for this.
[00:41:39.888 --> 00:41:53.272]  We're about to go out to break, but I want to play George Galloway, member of British Parliament, the whole four minute clips up on Infowars.com, George Galloway on Sky Television, that's Fox in England, Rupert Murdoch owns it, telling the truth.
[00:41:53.932 --> 00:41:55.073]  This is the truth.
[00:41:55.153 --> 00:41:55.573]  Here it is.
[00:41:55.593 --> 00:41:58.674]  ...duty to stop a humanitarian crisis from unfolding.
[00:41:58.694 --> 00:41:59.574]  Do you agree with him?
[00:42:00.174 --> 00:42:02.136]  Well, it's the double standards that get me.
[00:42:02.816 --> 00:42:08.200]  There's more people being gunned down, innocent protesters, in Yemen, for example.
[00:42:08.721 --> 00:42:15.046]  And no one would dream of invading or imposing a no-fly zone on Yemen, because Yemen doesn't have oil.
[00:42:15.726 --> 00:42:27.114]  It's so transparently an attempt to protect British companies and other Western companies' massive investments in Libya that it is discredited in the Arab world.
[00:42:27.534 --> 00:42:30.937]  I saw your package saying there are Arab representatives at this meeting.
[00:42:31.537 --> 00:42:33.358]  Who are these Arab representatives?
[00:42:33.899 --> 00:42:37.021]  They can't even name themselves or the countries that they come from.
[00:42:37.301 --> 00:42:41.485]  But we know that the Arab League came out publicly and backed the UN resolution.
[00:42:41.645 --> 00:42:43.747]  But the Arab League is a collection of dictatorships.
[00:42:43.807 --> 00:42:45.808]  So we shouldn't be dealing with Arab nations is what you're saying?
[00:42:45.828 --> 00:42:52.494]  No, but don't pray them in aid of an operation that's supposed to be standing up for human rights and democracy.
[00:42:52.834 --> 00:42:58.379]  The Arab League, without exception... Alright, we're going to come back and finish up this clip.
[00:42:58.819 --> 00:42:59.220]  Stay with us.
[00:43:00.728 --> 00:43:06.132]  When you're out on the road, the last place you want to be is on the road.
[00:43:07.373 --> 00:43:12.136]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:43:12.516 --> 00:43:19.301]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[00:43:21.242 --> 00:43:23.444]  They sew pride in every stitch.
[00:43:25.305 --> 00:43:27.447]  Guarantee you'll love the way they fit.
[00:43:39.391 --> 00:43:41.272]  We turn jeans inside out.
[00:43:41.532 --> 00:43:43.033]  Diamond Gusset Jeans.
[00:43:43.313 --> 00:43:45.894]  Made in the USA with unparalleled quality.
[00:43:46.214 --> 00:43:52.478]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection, so you can ride all day with confidence.
[00:43:52.838 --> 00:43:55.039]  Order yours at gusset.com.
[00:43:55.540 --> 00:43:56.961]  Diamond Gusset Jeans.
[00:43:57.121 --> 00:43:57.561]  Got it.
[00:43:57.901 --> 00:43:58.401]  Others don't.
[00:43:59.892 --> 00:44:04.115]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:44:04.435 --> 00:44:05.036]  Number 1.
[00:44:05.356 --> 00:44:08.498]  New climate legislation could easily double or triple your electric bill.
[00:44:08.779 --> 00:44:09.339]  Number 2.
[00:44:09.639 --> 00:44:14.183]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:44:14.523 --> 00:44:14.983]  It's true.
[00:44:15.263 --> 00:44:19.827]  Total government control of electricity in the name of smart grid technology is coming.
[00:44:20.147 --> 00:44:20.687]  Number 3.
[00:44:20.968 --> 00:44:24.250]  In some areas of the country, the power grid is dangerously overloaded.
[00:44:24.550 --> 00:44:28.253]  And now, new socialist legislation is only compounding the problem.
[00:44:28.453 --> 00:44:29.014]  Number 4.
[00:44:29.254 --> 00:44:31.616]  Dangerous weather is always a threat to local grids.
[00:44:32.016 --> 00:44:35.400]  Every year, thousands of families lose their power from weather-related outages.
[00:44:35.700 --> 00:44:35.900]  Number 5.
[00:44:36.481 --> 00:44:40.404]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:44:40.624 --> 00:44:45.389]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:44:45.669 --> 00:44:49.693]  You can get more information at www.mysolarbackup.com.
[00:44:49.854 --> 00:44:51.415]  That's mysolarbackup.com.
[00:44:51.635 --> 00:44:53.718]  Remember, the government doesn't own the sun.
[00:44:53.898 --> 00:44:56.240]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:44:59.875 --> 00:45:01.476]  Hello friends, this is Alex Jones.
[00:45:01.516 --> 00:45:04.319]  You've heard me talk about Calden 5 Star Soaps for years.
[00:45:04.879 --> 00:45:09.803]  This is an American made product of the highest quality and compares to nothing you will find in stores.
[00:45:10.103 --> 00:45:13.286]  You can buy factory direct, shipped via UPS right to your door.
[00:45:13.546 --> 00:45:15.888]  Check them out on the web at 5starsoap.com.
[00:45:16.508 --> 00:45:17.389]  Or call 800-340-7091.
[00:45:20.051 --> 00:45:20.991]  Take my word for it.
[00:45:21.172 --> 00:45:23.513]  Once you've used pure soap, you won't buy anything else.
[00:45:23.834 --> 00:45:30.038]  Since 1947, Calvin Soap Company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[00:45:30.339 --> 00:45:31.740]  Buy American and stay clean.
[00:45:31.860 --> 00:45:35.042]  As well as support InfoWars, visit 5StarsSoap.com today.
[00:45:35.162 --> 00:45:35.523]  Or call 1-800-340-7091.
[00:45:35.543 --> 00:45:36.884]  Well, Marty, what do you have to say?
[00:45:40.166 --> 00:45:47.428]  As founder and owner for over 63 years, satisfaction is guaranteed on W Dirtback.
[00:45:48.088 --> 00:45:52.209]  Call us at 1-800-340-7091 for a free catalog or visit our website 5starsoap.com.
[00:45:52.249 --> 00:45:53.029]  Thank you!
[00:46:00.706 --> 00:46:04.327]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:46:04.728 --> 00:46:07.729]  This is our last chance to not relive history.
[00:46:07.969 --> 00:46:12.751]  As we're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[00:46:12.771 --> 00:46:18.993]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:46:19.153 --> 00:46:21.394]  I think it's incumbent upon all of us
[00:46:21.934 --> 00:46:22.214]  Tim Geithner?
[00:46:22.234 --> 00:46:22.654]  Bernanke?
[00:46:22.754 --> 00:46:23.354]  They're arsonists!
[00:46:23.414 --> 00:46:24.635]  They're asking for more matches!
[00:46:24.655 --> 00:46:26.935]  And the Congress is saying, who do we make the check out to?
[00:46:40.839 --> 00:46:42.700]  Today seems like nobody does care.
[00:46:42.940 --> 00:46:47.723]  And right now in Washington, D.C., we have seen a fall of the republic.
[00:46:48.103 --> 00:46:58.029]  Get your copy of Fall of the Republic on DVD at Infowars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[00:47:01.151 --> 00:47:02.312]  Coast to Coast.
[00:47:02.672 --> 00:47:04.113]  Direct from Austin.
[00:47:04.733 --> 00:47:07.955]  You're listening to the Alex Jones Broadcasting Network.
[00:47:10.546 --> 00:47:15.510]  From the front lines of the information war, it's Alex Jones.
[00:47:19.172 --> 00:47:30.641]  So, many Americans, many Europeans think it's like a sport or something to see shock and awe in major cities in Libya being bombed and confirm reports of civilian deaths.
[00:47:31.722 --> 00:47:38.667]  When our own government has a thousand plus drones operating in Iraq, Afghanistan and Pakistan,
[00:47:40.353 --> 00:47:47.396]  Then it's humanitarian, though they admit, oh, if we kill 200 people to kill one terrorist at a wedding or at a market, it's OK.
[00:47:48.036 --> 00:47:52.537]  But then they tell us a month ago that Qaddafi might have strafed crowds.
[00:47:52.577 --> 00:47:53.778]  Turned out that wasn't true.
[00:47:55.134 --> 00:47:56.935]  We've got to do something right now.
[00:47:57.776 --> 00:48:00.758]  Or if he goes after protesters, we've got to do something right now.
[00:48:01.278 --> 00:48:10.005]  But when Communist China machine guns protesters on a routine basis, going back decades ago to Tiananmen Square, oh, we're going to step back from that.
[00:48:10.885 --> 00:48:24.355]  So what's being said here is, the globalists can go in and finance an attempted overthrow of a country, and then if the rebels don't win, the United Nations will have a ruling
[00:48:25.598 --> 00:48:37.444]  Or will come out with an announcement and say that, well, we've got to have a no-fly zone, which is really a bombing campaign, with U.S.
[00:48:37.544 --> 00:48:44.928]  amphibious Marine Corps ships off the shore with open talks about ground invasions, even though Obama is lying about that.
[00:48:44.968 --> 00:48:48.389]  And then, meanwhile, I have the London Telegraph, I have CNN.
[00:48:49.010 --> 00:48:53.092]  No one is denying that al-Qaeda, out of Saudi Arabia and Egypt,
