[00:00:00.009 --> 00:00:00.780]  Radio Network.
[00:40:00.724 --> 00:40:11.329]  But at the top, they are being financed by the globalists to bring down the liberties of the West, but also as a pretext to invade the Middle East and Central Asia.
[00:40:11.609 --> 00:40:18.352]  And I'm going to break this down, then we're going to get Webster Tarpley on to go over it more, because it's finally really starting to catch fire.
[00:40:18.672 --> 00:40:22.814]  More and more mainline conservatives are saying, whoa, Alex Jones is right.
[00:40:24.215 --> 00:40:26.636]  The head of Al-Qaeda is dining at the Pentagon.
[00:40:26.976 --> 00:40:28.016]  They are being funded.
[00:40:28.357 --> 00:40:32.658]  The West was already in there months ago, setting up this rebellion against Gaddafi.
[00:40:32.678 --> 00:40:37.241]  We're going to go ahead and go to this nine and a half minute report titled, Al-Qaeda 100% Pentagon Run.
[00:40:37.281 --> 00:40:37.661]  Here it is.
[00:40:47.728 --> 00:40:49.710]  The system thinks you're stupid.
[00:40:49.870 --> 00:40:51.251]  They think you're morons.
[00:40:52.592 --> 00:40:55.935]  And I'm about to cover one of the biggest examples of this in modern history.
[00:40:56.295 --> 00:40:58.858]  One of the biggest hoaxes I've ever seen.
[00:41:00.180 --> 00:41:18.029]  Anyone who's followed the news for the last few decades, anyone who's researched admitted mainline history knows that Al-Qaeda was CIA created with the backing and support of the Saudi Arabians and the Israelis as well as Pakistani intelligence.
[00:41:18.529 --> 00:41:29.074]  Zbigniew Brzezinski has written two books bragging that in 79 they created the group, had them attack the Russians to get them to then invade Afghanistan so that the Soviets could have their quote Vietnam.
[00:41:29.454 --> 00:41:30.095]  This is a fact.
[00:41:30.797 --> 00:41:35.085]  And the Muslim brigades being controlled by British intelligence goes back to Lawrence of Arabia.
[00:41:35.406 --> 00:41:40.155]  And then Hitler took over the Middle East during the first few years of World War II, and they went over to his control.
[00:41:40.987 --> 00:41:51.335]  But the hoax is that in the attack against the Serbs to take over Serbia, it was admitted Al-Qaeda and Osama Bin Laden running those operations.
[00:41:51.936 --> 00:42:02.604]  And then NATO came in and bombed all of Serbia and they were forced to give up one third of their land basically to Albanian backed Muslim rebels who were calling themselves Al-Qaeda.
[00:42:02.905 --> 00:42:05.086]  Then of course we have the attacks of 9-11.
[00:42:05.947 --> 00:42:09.228]  And the Newsweek headlines about hijackers trained at U.S.
[00:42:09.308 --> 00:42:15.211]  bases and the Dean of the Defense Language School coming out and saying that they were trained at U.S.
[00:42:15.271 --> 00:42:15.651]  bases.
[00:42:16.151 --> 00:42:20.433]  And then you have the Times of London as well reporting on the airlift of evil.
[00:42:20.814 --> 00:42:23.655]  Months after the Afghanistan war started, U.S.
[00:42:23.715 --> 00:42:34.940]  military and British military captured thousands of top al-Qaeda and Taliban commanders, and they would be ordered to release them and fly them out into Pakistan to start the next wave
[00:42:35.640 --> 00:42:36.741]  of destabilization.
[00:42:37.361 --> 00:42:46.204]  So Al-Qaeda, on record, is a CIA slash British slash Israeli slash Saudi Arabian creation.
[00:42:47.105 --> 00:42:49.446]  And they're used all over the world.
[00:42:50.286 --> 00:42:59.070]  And then you add to that Fox News AP, last October 2010, reporting Amr al-Awlaki, the guy they're now saying is more powerful than Osama bin Laden.
[00:42:59.730 --> 00:43:09.596]  Trained in the U.S., ran the underwear bombing, the Christmas Day event, ran the Fort Hood shooting, ran the Times Square attack, the list goes on and on.
[00:43:09.616 --> 00:43:10.236]  The shoe bomber.
[00:43:11.257 --> 00:43:25.025]  He's always handling these patsies and it turns out he's secretly hanging out at the Pentagon when he's been on the most wanted list and getting orders and having dinner with the Secretary of the Army in top brass while he's on the news as the head of Al Qaeda.
[00:43:25.405 --> 00:43:27.006]  Julie Kurtz transits from Washington.
[00:43:27.466 --> 00:43:28.627]  You've got to be kidding me.
[00:43:29.713 --> 00:43:30.754]  Yeah, here's what we know.
[00:43:30.894 --> 00:43:41.959]  Fox News has learned that Anwar al-Awlaki, the American Muslim cleric, remember him with a worldwide following, dined with military brass at the Pentagon within months of the 9-11 attacks.
[00:43:42.719 --> 00:43:51.764]  Now, you add to this hoax, now, that the openly Western-funded rebels in the east of Libya, and I'm not saying Gaddafi's a good guy.
[00:43:52.304 --> 00:43:55.926]  The point is, the West overthrew Egypt in its own puppet.
[00:43:57.250 --> 00:44:20.234]  to the east of libya they brought down tunisia now it's admitted that british special forces were inside eastern libya even before the latest rebellion started so al-qaeda rebels and it's admitted that the head of the libyan rebels was trained by the cia for decades in virginia and he admits that he's working with al-qaeda
[00:44:20.814 --> 00:44:21.275]  Al Qaeda!
[00:44:21.875 --> 00:44:28.380]  And so I have to get up here and either say no to this hoax and expose the facts or say I'm a bad American.
[00:44:28.981 --> 00:44:32.844]  Because I refuse to say that now Al Qaeda are freedom fighters and great people.
[00:44:33.865 --> 00:44:38.109]  I must refuse to be ignorant and not face the facts of history.
[00:44:38.669 --> 00:44:45.316]  But the average gullible person out there who buys into the system will make the decision to say, oh, I guess Al-Qaeda's good.
[00:44:45.777 --> 00:44:46.738]  It's like 1984.
[00:44:46.798 --> 00:44:48.459]  We've never been at war with East Asia.
[00:44:48.700 --> 00:44:51.042]  And the next day, we've always been at war with East Asia.
[00:44:51.803 --> 00:44:58.050]  And if you pointed out that, well, you said we were at war with them yesterday, but we're not at war today, and that we were never at war,
[00:44:59.488 --> 00:45:08.496]  then you get arrested in that system and that's basically where this country and where the west is going where the system thinks we're so stupid
[00:45:10.782 --> 00:45:22.705]  Western intelligence is in the east of Libya, usling radical Muslim Al-Qaeda, backed out of Saudi Arabia and arms out of Saudi Arabia and Egypt, to destabilize Gaddafi.
[00:45:23.005 --> 00:45:26.166]  Gaddafi then fights armed force trying to overthrow the government.
[00:45:26.827 --> 00:45:28.407]  And our media calls them protesters.
[00:45:28.907 --> 00:45:33.809]  Protesters who had tanks and missile launchers and Western weapons.
[00:45:33.989 --> 00:45:35.149]  Oh, the poor protesters.
[00:45:35.589 --> 00:45:37.650]  And the media lied and said he strafed protesters.
[00:45:37.670 --> 00:45:38.591]  Turned out that wasn't true.
[00:45:38.851 --> 00:45:43.394]  The media lied and said that he'd run to Venezuela to try to give the rebels support, think they would win.
[00:45:44.034 --> 00:45:50.118]  It doesn't mean that there aren't groups in Libya who don't like the goofy dictator Muammar Gaddafi.
[00:45:51.340 --> 00:45:57.003]  But Muammar Gaddafi is independent and has tried to build a strong Africa outside of the New World Order.
[00:45:57.443 --> 00:45:59.144]  And that's why he must be brought down.
[00:45:59.204 --> 00:46:02.806]  He doesn't have an international private central bank running his country.
[00:46:03.066 --> 00:46:04.346]  They have their own central bank.
[00:46:04.787 --> 00:46:06.387]  And that's why the system is doing this.
[00:46:07.688 --> 00:46:14.234]  They think we have no memory where they're telling us Al-Qaeda is horrible, we've got to take all your liberties in America because they may attack you any minute.
[00:46:14.674 --> 00:46:16.636]  The end of the Bill of Rights, freedom is dead.
[00:46:16.956 --> 00:46:23.121]  America surrenders and gives up all its rights to homeland security to keep us safe because of Al-Qaeda.
[00:46:23.702 --> 00:46:35.852]  But then Al-Qaeda, who wants to overthrow the secular Arab leader, Gaddafi, is being brought in to do this and then we're being told it's humanitarian and we've got to bomb them and attack them to protect them.
[00:46:37.076 --> 00:46:38.036]  I mean, think about it, folks.
[00:46:38.737 --> 00:46:43.379]  Amir al-Awlaki, the number one guy under bin Laden, secretly hanging out at the Pentagon.
[00:46:43.799 --> 00:46:49.181]  The Taliban and Al-Qaeda being flown out to safety in the first few months of the Afghan war to start the next crisis.
[00:46:49.682 --> 00:46:51.442]  Al-Qaeda being used to attack the Serbs.
[00:46:51.462 --> 00:46:54.524]  When the Serbs fight back, oh, it's humanitarian, we've got to bomb them.
[00:46:55.204 --> 00:47:04.228]  They just move Al-Qaeda around all over the world, call them humanitarian freedom fighters if anybody resists them, and then the UN and NATO comes in and bombs the daylights out of them.
[00:47:05.230 --> 00:47:11.972]  But at least with the attack in the 90s against Serbia, they went and got congressional authorization for force.
[00:47:12.272 --> 00:47:21.575]  At least Bush, with his illegal wars, because they were still wars of aggression, but he went and got the Congress to sign off on it, wasn't engaged in that form of brazen treason.
[00:47:22.656 --> 00:47:30.338]  Obama, less than 48 hours after the UN gave that resolution to invade, openly, in front of everyone,
[00:47:31.704 --> 00:47:32.605]  He ordered the U.S.
[00:47:32.625 --> 00:47:39.311]  military to start bombing and firing cruise missiles when, out in the open, the U.N.
[00:47:39.351 --> 00:47:42.835]  had given the order and Obama hadn't even consulted Congress.
[00:47:43.255 --> 00:47:50.542]  This is a huge issue that's taking place here, my friends, and I hope you'll research the fact that Al-Qaeda is an arm of the globalists.
[00:47:50.662 --> 00:47:52.544]  Al-Qaeda is an arm of the New World Order.
[00:47:54.125 --> 00:48:08.461]  is a system that the New World Order uses to menace civilizations into giving up their liberties in the name of protection and also to go stir up revolutions and wars to then pose as freedom fighters so the globalists have an excuse to come in and take over countries.
[00:48:08.781 --> 00:48:14.928]  This is 21st century imperialism and Al-Qaeda is the key set piece on this game of chess
[00:48:15.689 --> 00:48:18.210]  to bring us into the world government.
[00:48:18.470 --> 00:48:29.815]  They are a creation of the private banking cartels who are waging wars against the nation-state and all basic liberties that defend the rights of the indigenous populations of the nation-states.
[00:48:30.255 --> 00:48:35.858]  Al Qaeda is CIA, is MI6, is Mossad, is Saudi Arabian intelligence.
[00:48:36.778 --> 00:48:44.901]  And they've caught British SAS dressed up like Al-Qaeda shooting at police in Basra to get Sunnis and Shiites killing each other.
[00:48:45.361 --> 00:48:48.662]  I mean, Al-Qaeda is the Swiss Army knife of destabilization.
[00:48:49.022 --> 00:48:56.124]  They are that magic go-to tool that's used to foment the crisis so the globalists have the excuse to offer the solution.
[00:48:56.384 --> 00:49:04.907]  We've broken down one of the biggest, modern, ongoing hoaxes in history where you're un-American if you don't support the freedom fighters of Al-Qaeda.
[00:49:05.307 --> 00:49:10.590]  Well, I don't support them, and I don't agree with what Ronald Reagan said about them, saying that they were founding father material.
[00:49:11.011 --> 00:49:12.031]  I don't like Al Qaeda.
[00:49:12.672 --> 00:49:14.893]  Now, you may hate me because I don't love Al Qaeda.
[00:49:15.573 --> 00:49:16.694]  I'm not gonna apologize.
[00:49:17.094 --> 00:49:17.615]  I'm sorry.
[00:49:18.135 --> 00:49:20.576]  I hate Al Qaeda, and I hate their handlers even more.
[00:49:24.079 --> 00:49:26.760]  Ask yourselves, what are you doing in this time of great challenge?
[00:49:27.721 --> 00:49:29.202]  What are you doing to unlock mine?
[00:49:35.216 --> 00:49:35.978]  All right, folks.
[00:49:37.802 --> 00:49:39.185]  We are back live.
[00:49:39.245 --> 00:49:40.969]  Thank you so much for joining us.
[00:49:43.103 --> 00:49:56.292]  That was powerful audio for radio listeners, but when you watch the nine-and-a-half-minute video, every statement I make is congressional reports, mainstream news articles, admissions, Brzezinski's own book.
[00:49:56.772 --> 00:49:59.494]  Aaron Dykes did an off-the-chart job again.
[00:49:59.514 --> 00:50:01.516]  He did a lot of the research, I did a lot of it.
[00:50:01.556 --> 00:50:06.079]  We print up the articles before I do the breakdown, then he has them all to put in the video.
[00:50:06.539 --> 00:50:09.521]  When somebody watches that, and this video is freaking people out.
[00:50:09.881 --> 00:50:11.982]  It's free on YouTube, get it out to everybody you know.
[00:50:13.203 --> 00:50:22.288]  We put a lot of hours in, I'd say collectively, 20 hours in the last two days into putting together that nine minute video to really break it down.
[00:50:22.348 --> 00:50:24.529]  But still we've only broken down one facet.
[00:50:25.030 --> 00:50:30.373]  And later, after we've had Tarpley on for 30 minutes, when he leaves us, I'm going to explain
[00:50:32.196 --> 00:50:33.977]  That it's real, but it's not real.
[00:50:34.037 --> 00:50:41.162]  You see, the low-level Al-Qaeda operatives are criminals, psychopaths, jihadists, who believe they're fighting the West, the great Satan, in their mind.
[00:50:41.602 --> 00:50:48.527]  But their master controllers actually were funded and created by the globalists, and are protected and hang out at the Pentagon.
[00:50:49.187 --> 00:50:51.249]  So see, the Al-Qaeda really is killing our troops.
[00:50:52.970 --> 00:50:55.411]  But that's because the empire has to have an enemy to fight.
[00:50:55.471 --> 00:50:56.672]  That's full-spectrum dominance.
[00:50:56.932 --> 00:51:00.675]  They create the entire military universe, the enemy and the responder.
[00:51:03.055 --> 00:51:07.516]  We all know that Berkey water purification systems are the most trusted name in water filtration.
[00:51:07.716 --> 00:51:16.378]  As an authorized Berkey dealer for over five years and serving thousands of satisfied customers, the Berkey guy offers amazing specials for Berkey water filtration systems.
[00:51:16.618 --> 00:51:30.502]  The Berkey light systems include a set of self-sterilizing and recleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and remove harmful chemicals such as herbicides and pesticides.
[00:51:30.922 --> 00:51:35.944]  Order the Berkey Light System today, complete with two black Berkey elements for only $220.
[00:51:36.544 --> 00:51:41.846]  And the Berkey Guy will include three sport Berkey water bottles and ship everything to you free of charge.
[00:51:42.066 --> 00:51:45.367]  That's right, three sport Berkey water bottles and free shipping.
[00:51:45.527 --> 00:51:46.207]  An $87 value, yours free.
[00:51:46.247 --> 00:51:47.168]  Call the Berkey Guy at 1-877-886-3653.
[00:51:47.188 --> 00:51:47.468]  That's 1-877-886-3653.
[00:51:47.488 --> 00:51:48.868]  Or order online at GoBerkey.com.
[00:51:59.352 --> 00:52:01.513]  That's goberky.com today!
[00:52:03.874 --> 00:52:07.516]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:52:07.896 --> 00:52:10.897]  This is our last chance to not relive history.
[00:52:11.137 --> 00:52:15.919]  As we're finishing off this agenda, they'll be pulling the rug from underneath the Americans at home.
[00:52:15.939 --> 00:52:22.182]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:52:22.322 --> 00:52:24.563]  I think it's incumbent upon all of us
[00:52:25.103 --> 00:52:25.383]  Tim Geithner?
[00:52:25.403 --> 00:52:25.823]  Bernanke?
[00:52:25.923 --> 00:52:26.544]  They're arsonists!
[00:52:26.584 --> 00:52:27.724]  They're asking for more matches!
[00:52:27.744 --> 00:52:30.106]  And the Congress is saying, who do we make the check out to?
[00:52:44.013 --> 00:52:45.834]  Today seems like nobody does care.
[00:52:46.134 --> 00:52:50.976]  And right now in Washington, D.C., we have seen a fall of the Republic.
[00:52:51.277 --> 00:53:00.401]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[00:53:02.282 --> 00:53:03.544]  Hi, this is Alex Jones.
[00:53:03.584 --> 00:53:08.951]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:53:09.191 --> 00:53:13.817]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[00:53:14.217 --> 00:53:14.598]  It's true.
[00:53:14.678 --> 00:53:19.243]  Seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:53:19.764 --> 00:53:24.466]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:53:24.986 --> 00:53:26.927]  They call it a survival seed bank.
[00:53:27.307 --> 00:53:31.909]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:53:32.110 --> 00:53:33.010]  And here's the best part.
[00:53:33.230 --> 00:53:35.991]  These seeds have not been genetically modified in any way.
[00:53:36.291 --> 00:53:39.573]  And you actually get enough seeds to plant a full acre crisis garden.
[00:53:39.913 --> 00:53:42.756]  So visit them today at survivalseedbank.com.
[00:53:43.097 --> 00:53:44.999]  That's survivalseedbank.com.
[00:53:45.339 --> 00:53:46.260]  Or give them a call at 877-327-0365.
[00:53:46.280 --> 00:53:46.460]  That's 877-327-0365.
[00:53:46.480 --> 00:53:49.423]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:53:49.924 --> 00:53:51.666]  This is Alex Jones for survivalseedbank.com.
[00:54:14.853 --> 00:54:22.136]  Alright, we're going to continue with the globalist secret stratagem of controlling both sides of a conflict.
[00:54:23.016 --> 00:54:33.761]  And how they, throughout history, have carried off this masterful feat, really in the last 200 to 250 years in Europe, is where the system was developed by the banking cartels to finance both sides.
[00:54:34.161 --> 00:54:36.122]  This is just a more sophisticated form of that.
[00:54:36.202 --> 00:54:43.345]  So the grunts in the US military, or the NATO military, they don't know that Al-Qaeda is being financed and protected by the globalists.
[00:54:44.025 --> 00:54:44.505]  On record.
[00:54:44.946 --> 00:54:57.073]  And the low-level Al-Qaeda, the young, poor men that they recruit out of Palestine, they recruit out of Libya, Saudi Arabia, Pakistan, Afghanistan, they're not aware of it as well.
[00:54:57.975 --> 00:55:04.359]  And many of the young men they capture, they then take to torture centers and recruit them to then be the leaders of Al-Qaeda.
[00:55:04.659 --> 00:55:06.681]  And I've been telling you that for years, it's come out in the news.
[00:55:07.501 --> 00:55:16.107]  The main rebel leader was captured and put, years ago, in one of these torture brainwashing centers, and now openly works for the CIA.
[00:55:16.167 --> 00:55:23.812]  That's all over the news, and we have links to that in the big article that we wrote that accompanies the video of the same name, Al-Qaeda, 100% Pentagon run.
[00:55:26.033 --> 00:55:26.814]  From the top!
[00:55:56.033 --> 00:56:02.479]  During an emergency in a few hours, when it takes regular firms weeks or months, then they blew it up and said, oh, it fell on its own.
[00:56:02.499 --> 00:56:04.181]  But we said, but you just said you blew it up.
[00:56:04.941 --> 00:56:07.063]  Again, this is all in your face.
[00:56:07.123 --> 00:56:09.125]  They think you're too afraid to face the facts.
[00:56:09.666 --> 00:56:10.747]  This is mind control.
[00:56:11.167 --> 00:56:12.548]  This is psychological warfare.
[00:56:12.588 --> 00:56:14.230]  But it's not even our government doing this.
[00:56:14.570 --> 00:56:16.952]  It's rogue synthetic terror elements.
[00:56:17.393 --> 00:56:20.295]  And of course, Tarpley has written the book that we carry at InfoWars.com.
[00:56:21.096 --> 00:56:26.119]  9-11 Synthetic Terror that breaks down with all the documents how this is done.
[00:56:26.159 --> 00:56:32.002]  We'll be talking to him about Synthetic Terror and how these networks work coming up at the 8 After Second segment of the next hour.
[00:56:32.662 --> 00:56:34.543]  That said, we are listener supported.
[00:56:34.563 --> 00:56:40.766]  When you support our sponsors, when you support our local AM and FM sponsors, when you sponsor our local stations, please support them.
[00:56:41.407 --> 00:56:42.767]  Also, we have two new books.
[00:56:42.827 --> 00:56:45.629]  Jesse Ventura's 63 Documents the Government Doesn't Want You to Read.
[00:56:47.116 --> 00:56:47.956]  His best book to date.
[00:56:47.976 --> 00:56:48.877]  They just get better and better.
[00:56:48.937 --> 00:56:50.637]  This sucker is a page-turner.
[00:56:50.657 --> 00:56:51.598]  You cannot put it down.
[00:56:53.098 --> 00:56:54.179]  Government-sponsored terror.
[00:56:54.219 --> 00:56:54.899]  Drug dealing.
[00:56:55.179 --> 00:56:55.599]  Torture.
[00:56:55.719 --> 00:56:56.379]  White slavery.
[00:56:56.419 --> 00:56:56.959]  It's all there.
[00:56:57.560 --> 00:56:58.820]  Just every subject you can imagine.
[00:56:58.880 --> 00:56:59.981]  Sixty-three subjects covered.
[00:57:00.281 --> 00:57:00.701]  Big Brother.
[00:57:00.721 --> 00:57:01.621]  The Orwellian Nightmare.
[00:57:01.661 --> 00:57:04.462]  Incredible new book by Mark Dice.
[00:57:04.882 --> 00:57:05.623]  Only place you can get it.
[00:57:05.663 --> 00:57:06.683]  Infowars.com.
[00:57:06.923 --> 00:57:09.424]  When you get these two books together, already discounted,
[00:57:09.864 --> 00:57:17.046]  You can get a free film that I produced or directed of your choice, like Invisible Empire, Police State 4, Endgame, Obama Deception.
[00:57:17.326 --> 00:57:20.547]  Free $20 DVD with the books when you get the two books.
[00:57:20.687 --> 00:57:24.928]  And we're almost out of these, and then he's got to print more, and that may take a month or two.
[00:57:25.388 --> 00:57:29.529]  Strategic Relocation, North American Guide to Safe Places by Joel Skousen.
[00:57:29.589 --> 00:57:33.230]  Incredible full-color coffee table book.
[00:57:33.690 --> 00:57:36.151]  Infowars.com to order that.
[00:57:36.251 --> 00:57:36.911]  And lastly,
[00:57:38.154 --> 00:57:40.656]  We shipped out almost all the potassium iodate we had.
[00:57:40.676 --> 00:57:41.897]  We sold it all in three days.
[00:57:42.337 --> 00:57:50.703]  The guys shipped it out in the next three days after that, and we waited till all the orders got out, any that got broken got reshipped out, or any that got lost in the mail.
[00:57:50.964 --> 00:57:52.705]  We have a very limited supply.
[00:57:52.745 --> 00:57:57.529]  I expect them to be gone in literally a few hours of this potassium iodate.
[00:57:57.689 --> 00:58:02.372]  It's 20 adult, 10-day doses, 200 doses total.
[00:58:02.432 --> 00:58:05.154]  It'll treat 20 adults and more than 400 children.
[00:58:06.875 --> 00:58:07.796]  You don't take it yet.
[00:58:07.876 --> 00:58:09.176]  It's good to have in your medicine cabinet.
[00:58:09.216 --> 00:58:10.096]  Consult a physician.
[00:58:10.497 --> 00:58:14.598]  We have limited amounts of this available at InfoWars.com.
[00:58:14.638 --> 00:58:19.019]  It just went up on the shopping cart at InfoWars.com.
[00:58:19.179 --> 00:58:19.780]  Very limited.
[00:58:19.820 --> 00:58:21.420]  Probably gone in the next few hours.
[00:58:21.500 --> 00:58:22.121]  And then that's it.
[00:58:22.141 --> 00:58:23.281]  We've talked to all the suppliers.
[00:58:23.321 --> 00:58:25.942]  They're all completely out all over the country.
[00:58:26.602 --> 00:58:28.324]  So, limited supply that we held back.
[00:58:28.904 --> 00:58:30.646]  Selling it now, should be gone in the next few hours.
[00:58:31.406 --> 00:58:34.149]  Infowars.com, potassium iodine, available right now.
[00:58:34.509 --> 00:58:37.671]  And the new RAD stickers that are only $5 a piece.
[00:58:38.012 --> 00:58:39.673]  Little radiation detector that's $5.
[00:58:39.933 --> 00:58:41.014]  Those will sell out as well.
[00:58:41.074 --> 00:58:42.015]  Infowars.com.
[00:58:45.718 --> 00:58:49.001]  Thank you for listening to GCN.
[00:58:49.041 --> 00:58:50.883]  Visit GCNlive.com today.
[00:58:52.685 --> 00:58:53.846]  A very wealthy U.S.
[00:58:53.866 --> 00:59:00.532]  citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[00:59:00.793 --> 00:59:03.075]  He says it will change everything about our lives.
[00:59:03.355 --> 00:59:08.560]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your own family.
[00:59:08.740 --> 00:59:11.503]  Now this man has made some outrageous predictions over the years.
[00:59:11.783 --> 00:59:13.845]  The crazy part is, he's usually right.
[00:59:14.085 --> 00:59:20.008]  You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[00:59:20.329 --> 00:59:23.530]  In fact, Barron's called his work a dire prophecy.
[00:59:23.711 --> 00:59:29.234]  Recently, he created a video, which you can watch online for free, detailing his biggest and most important prediction yet.
[00:59:29.494 --> 00:59:30.815]  And it's a real eye-opener.
[00:59:31.135 --> 00:59:32.295]  I can't stress this enough.
[00:59:32.436 --> 00:59:34.977]  You should at least watch this free video online today.
[00:59:35.097 --> 00:59:36.518]  He explains everything you need to know.
[00:59:36.798 --> 00:59:39.139]  Including simple steps you can take to protect yourself.
[00:59:39.319 --> 00:59:43.821]  You can find the video at www.endofamerica3.com.
[00:59:43.941 --> 00:59:46.402]  That's End of America, the number 3.com.
[00:59:46.522 --> 00:59:50.244]  Watch the free video at www.endofamerica3.com.
[00:59:50.404 --> 00:59:52.144]  That's endofamerica3.com.
[00:59:55.586 --> 00:59:57.546]  Waging war on corruption.
[00:59:58.007 --> 01:00:00.788]  Alex Jones on the GCN Radio Network.
[01:00:07.298 --> 01:00:11.481]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:12.141 --> 01:00:12.941]  You want answers?
[01:00:13.722 --> 01:00:15.623]  Well, so does he.
[01:00:15.643 --> 01:00:18.865]  He's Alex Jones on the GCN Radio Network.
[01:00:19.465 --> 01:00:23.528]  And now, live from Austin, Texas, Alex Jones.
[01:00:26.124 --> 01:00:27.884]  Well, a lot of really good things are happening.
[01:00:27.944 --> 01:00:30.485]  Obviously, a lot of really bad things are happening as well.
[01:00:31.045 --> 01:00:38.827]  But now, hundreds and hundreds of mainstream news articles, London Telegraph, BBC, Washington Post, New York Times, Fox News.
[01:00:39.327 --> 01:00:42.188]  Why is Al-Qaeda commander dining secretly at the Pentagon?
[01:00:42.608 --> 01:00:44.949]  Why is Al-Qaeda, the core group, being armed?
[01:00:45.649 --> 01:00:48.532]  I mean, they admitted four weeks ago SAS was arming the rebels.
[01:00:48.572 --> 01:00:59.922]  Now, the head of NATO rules out arming rebels, rules out ground invasion, says this isn't a war, the bombing, but that there will be some humanitarian troops they're looking at helping on the ground.
[01:01:00.302 --> 01:01:04.445]  Humanitarian bombing, humanitarian DU, humanitarian troops on the ground.
[01:01:05.106 --> 01:01:10.349]  We're going to be walking through that with Webster Griffin Tarpley, doctor of history, also a degreed economist.
[01:01:11.109 --> 01:01:13.731]  Graduated, of course, top of his class from prestigious university.
[01:01:13.771 --> 01:01:14.731]  Very intelligent guy.
[01:01:15.051 --> 01:01:20.174]  Written the unauthorized biography on Obama three years ago that's proven to be the treatise on him.
[01:01:20.835 --> 01:01:22.876]  Wrote the unauthorized biography on George Herbert Walker Bush.
[01:01:23.516 --> 01:01:26.438]  By the way, all those books are available at Infowars.com discounted.
[01:01:26.818 --> 01:01:28.519]  But he's coming up in a few minutes.
[01:01:28.539 --> 01:01:30.660]  We're going to get back into what's happening at Fukushima.
[01:01:31.020 --> 01:01:32.721]  Low levels of radiation found in U.S.
[01:01:32.761 --> 01:01:37.544]  milk, San Francisco Chronicle, Associated Press, Wall Street Journal also reporting on it.
[01:01:38.264 --> 01:01:41.106]  Japan nuclear rescuers, inevitable.
[01:01:41.146 --> 01:01:42.066]  Some of them may die.
[01:01:42.107 --> 01:01:44.088]  The head of the plant is in the hospital.
[01:01:44.848 --> 01:01:46.989]  Fukushima 50, death unavoidable.
[01:01:47.670 --> 01:01:51.232]  The Japanese government is saying it's going to be a lot more than the Fukushima 50, unfortunately.
[01:01:52.052 --> 01:01:58.455]  Uh, radiation levels in seawater off Japan, uh, have now gone up to over 4,000 times safe levels.
[01:01:58.875 --> 01:02:07.038]  Japan nuclear crisis, even hospitals are refusing people from in and around Fukushima, uh, because of the higher levels of radiation on their bodies and clothing.
[01:02:07.438 --> 01:02:10.860]  Of course, when these people fly into the U.S., radiation detectors go off.
[01:02:11.340 --> 01:02:13.201]  Homeland Security says, come on in.
[01:02:13.881 --> 01:02:16.162]  In Japan, the doctors are like, I'm not gonna treat you.
[01:02:16.502 --> 01:02:17.563]  You're so radioactive.
[01:02:17.603 --> 01:02:20.564]  Here, when they get out of the country and come here, it's like, come on in.
[01:02:22.180 --> 01:02:23.801]  They're also lying big time.
[01:02:24.461 --> 01:02:34.027]  The Food and Drug Administration is saying, well, there is some radiation in the milk, but it precipitates out in the large cows and then precipitates out in their udders and their mammary glands.
[01:02:34.627 --> 01:02:38.309]  They're now running around saying, well, that was radiation from a few weeks ago that got here.
[01:02:38.329 --> 01:02:39.210]  We think it's going to go down now.
[01:02:39.943 --> 01:02:47.149]  Well, the radiation that blew over here from a few weeks ago that's now gotten here and then gotten into the food chain, that's from the early leaks and the explosions.
[01:02:47.810 --> 01:02:50.772]  Now, there's full meltdown in at least reactor number two.
[01:02:50.832 --> 01:02:54.775]  It's melted out from a crack in the containment facility through into the ground.
[01:02:55.236 --> 01:02:56.677]  It's smoking up into the air.
[01:02:57.418 --> 01:02:59.019]  It could go completely Chernobyl.
[01:02:59.339 --> 01:03:02.522]  Mainstream News is reporting levels of radiation at least double Chernobyl.
[01:03:03.783 --> 01:03:05.725]  So, what do you think's really going on here?
[01:03:06.536 --> 01:03:07.097]  It's incredible.
[01:03:07.817 --> 01:03:12.801]  And I just mentioned earlier that we... I was looking for potassium iodide for my family because the stuff I had was...
[01:03:14.198 --> 01:03:17.999]  Over 10 years old and you weren't supposed to, you know, if we needed to take it, we couldn't.
[01:03:18.939 --> 01:03:22.100]  And we found the third biggest manufacturer of the pills.
