[00:00:21.894 --> 00:00:24.475]  Good evening, and welcome to the InfoWars Nightly News.
[00:24:57.283 --> 00:25:06.310]  They went on and said he was drunk and drugs in his system, and then it was later revealed that, oh no, we did the toxicology test and no, he didn't have any drugs or alcohol in his system.
[00:25:07.151 --> 00:25:16.417]  So this is a case of killing the messenger, somebody who saw something that he shouldn't have seen, and the FBI made sure he didn't say anything about it.
[00:25:17.537 --> 00:25:22.360]  And also I want to give a quick shout out to my two boys who are watching tonight.
[00:25:22.761 --> 00:25:23.281]  How y'all doing?
[00:25:24.201 --> 00:25:35.828]  But now let's go to this clip, and then we're going to bring in Don Browning, retired OKC K9 unit police officer, and Holland Vanden Neuwenhoff, one of the researchers and producers of A Noble Lie.
[00:25:35.948 --> 00:25:36.649]  Let's go to that clip.
[00:25:37.868 --> 00:25:41.849]  One of the things that surprised me was that there was no autopsy performed.
[00:25:42.990 --> 00:25:58.075]  The other thing that really bothered me was we were being told that Terry was high on drugs and drunk and of course the medical examiner's office did a report on Terry and his injuries which was really not an autopsy but just a
[00:25:59.545 --> 00:26:00.225]  An overview.
[00:26:00.746 --> 00:26:05.588]  And it showed that his BAC was zero.
[00:26:06.088 --> 00:26:08.309]  Meaning no blood alcohol content.
[00:26:08.429 --> 00:26:09.810]  There was no drugs in his system.
[00:26:10.950 --> 00:26:15.832]  It bothered me that they didn't treat Terry like a police officer like he was.
[00:26:16.773 --> 00:26:19.054]  He was a good guy.
[00:26:19.514 --> 00:26:22.835]  A deputy sheriff recorded this footage during one of the evacuations.
[00:26:23.656 --> 00:26:28.938]  Here the ATF is seen pulling out several weapons and blocks of what appeared to be plastic explosive.
[00:26:30.014 --> 00:26:31.695]  Was this the source of the bomb scare?
[00:26:32.136 --> 00:26:37.541]  Or did this ordinance come from an illegal armory that witnesses report the ATF kept in the Murrah building?
[00:26:38.421 --> 00:26:41.324]  The ATF denies they kept any weapons or explosives in the building.
[00:26:44.266 --> 00:27:01.406]  And you just saw an excerpt from A Noble Lie with an interview with Don Browning, retired OKC police officer, and then we went into what is being referred to as the Sumter tape, and that was just a little snippet of some tape that was shot during the rescue effort, and it shows
[00:27:02.367 --> 00:27:09.893]  In verifiable proof of ATF agents removing guns and what appears to be plastic explosives from the rubble.
[00:27:10.793 --> 00:27:13.555]  And so without further ado, we turn to our guests.
[00:27:13.815 --> 00:27:22.782]  We have Holland Vanden Neuwenhoff and Don Browning, OKC retired police officer.
[00:27:23.102 --> 00:27:23.883]  Fellas, how are you doing today?
[00:27:24.557 --> 00:27:26.198]  Great, excellent.
[00:27:26.418 --> 00:27:42.450]  When you guys left off with Alex's interview yesterday, Alex was talking about how come not more of the police officers came out and you were saying you felt that you didn't have enough to circle the wagons.
[00:27:42.470 --> 00:27:44.371]  Why don't you elaborate on that a little more?
[00:27:44.411 --> 00:27:51.096]  How many officers during the time that you were in contact with felt that something was fishy, something was going on?
[00:27:52.674 --> 00:27:57.776]  I think maybe any that were really outspoken was less than a half a dozen.
[00:27:59.336 --> 00:28:10.000]  I had good friends that I really felt I could trust become really irritated with me and I refused to even speak about the bombing.
[00:28:11.880 --> 00:28:20.243]  So it was kind of a disappointing time frame as well as being a cautious time frame.
[00:28:21.340 --> 00:28:27.028]  About who you did talk to and who you'd believe with what information that you got.
[00:28:29.832 --> 00:28:38.563]  And at any point did you guys get together and formulate a plan if you were going to come forward what you were going to say or did it even make it into that stages?
[00:28:39.631 --> 00:28:41.352]  I never really made it into that stages.
[00:28:41.392 --> 00:28:46.615]  There was one or two that I really held as confidence.
[00:28:48.977 --> 00:28:55.281]  Especially when I was getting ready to go to the grand jury over Terry Yakey and some of the other issues.
[00:28:57.582 --> 00:29:00.003]  Even by then I was warned that I really needed to be careful.
[00:29:00.524 --> 00:29:07.288]  And was this really something that I was willing to do career wise more than anything else.
[00:29:08.599 --> 00:29:11.241]  How long did you stay on the force after OKC?
[00:29:12.582 --> 00:29:18.525]  I retired in 1999, so four years, almost five years later.
[00:29:20.748 --> 00:29:25.772]  The wind had gone out of my sails and I just really did not enjoy the job anymore.
[00:29:25.792 --> 00:29:30.395]  Alex Jones I think has interviewed you in the past and the OKC guys were making a noble lie.
[00:29:44.980 --> 00:29:49.161]  Pretty much started, I guess, within the first couple, two or three weeks, beginning with J.D.
[00:29:49.201 --> 00:29:56.524]  Cash on into Roger Charles and some of the other ones that were doing some investigative work to start with.
[00:29:58.044 --> 00:30:00.685]  And did you work with Charles Key at all during his investigation?
[00:30:01.065 --> 00:30:01.405]  Yes, sir.
[00:30:02.025 --> 00:30:03.506]  I did make meetings with him.
[00:30:03.566 --> 00:30:14.069]  However, at that time I was told that I needed to cease my contacts that I was having, that I was running with the wrong group, that I apparently was part of the militia.
[00:30:14.995 --> 00:30:18.318]  And that I was being monitored.
[00:30:21.260 --> 00:30:31.709]  So I did not want to bring any heat down on Charles or BZ or any of the guys, Hoppy, any of the ones that were really in the forefront of this.
[00:30:31.749 --> 00:30:37.293]  So I did curtail as much as I could meetings with them.
[00:30:38.836 --> 00:30:44.320]  And so, you said that in Alex's interview about how people were saying you were in a militia.
[00:30:46.942 --> 00:30:54.807]  Was the mode going around at the time, like if you had anything to do with any type of militia movement, you were deemed a suspect, I guess?
[00:30:54.827 --> 00:30:57.029]  To a degree.
[00:30:58.650 --> 00:31:05.715]  At least that you didn't hold the same views as what the government viewpoint was on especially the bombing.
[00:31:07.259 --> 00:31:09.221]  Uh, and persons that were behind it.
[00:31:27.303 --> 00:31:31.027]  Well, I mean, this has been an interesting process because I started out just as a researcher.
[00:31:31.207 --> 00:31:34.110]  And so I was reading all these names and studying up on the bombing.
[00:31:34.130 --> 00:31:36.412]  Then I meet State Representative Charles Key.
[00:31:36.452 --> 00:31:37.453]  I meet Don Browning.
[00:31:37.493 --> 00:31:42.818]  I've read about these men's work before, so that was very interesting to go through that.
[00:31:43.658 --> 00:31:49.424]  Don Browning, I mean, he took part in the rescue and recovery from day one, from hour one.
[00:31:50.085 --> 00:31:51.587]  And he was one of the first to raise questions.
[00:31:51.607 --> 00:31:52.769]  He was an Oklahoma City police officer.
[00:31:53.069 --> 00:31:56.354]  He's also a former Marine, a veteran of Vietnam.
[00:31:56.494 --> 00:31:58.978]  I'm also a former Marine, so we formed kind of a connection there.
[00:31:59.519 --> 00:32:03.705]  But it's, you know, we're dealing with a very...
[00:32:06.300 --> 00:32:20.895]  Could be called crazy information or something like that, but when you're talking about police officers, state representatives who are presenting evidence that there was something wrong with the bombing, that there was foreknowledge, that there were warnings, that there were other bombs in the building.
[00:32:20.935 --> 00:32:21.876]  This is my hometown.
[00:32:22.356 --> 00:32:24.837]  It is our duty to try to find out what happened.
[00:32:24.917 --> 00:32:27.998]  168 people were killed in Oklahoma City that we know of.
[00:32:28.038 --> 00:32:32.240]  There was an extra leg found in the rubble that no one knows who that leg belongs to.
[00:32:32.560 --> 00:32:37.222]  And that person, whoever that was, remains unacknowledged by the official account whatsoever.
[00:32:37.782 --> 00:32:39.323]  There are so many unanswered questions.
[00:32:39.623 --> 00:32:41.383]  There are so many people who died as a result of this.
[00:32:41.844 --> 00:32:44.284]  During the bombing and after, several witnesses have been killed.
[00:32:44.565 --> 00:32:45.165]  Terry Yakey,
[00:32:46.005 --> 00:32:57.491]  Dr. Plumlee, a lot of other people, and we need to find out what happened, because if we don't find out what happened, and who ultimately is responsible, it's going to happen again, and it's going to get worse.
[00:32:58.291 --> 00:32:59.232]  Yeah, I agree.
[00:32:59.412 --> 00:33:01.513]  And the next one, it's not going to be pretty.
[00:33:01.593 --> 00:33:07.456]  They've got the infrastructure set up to really come down on anybody who's outspoken against the government for any reason.
[00:33:08.021 --> 00:33:14.266]  Yeah, I mean, they just passed the NDAA, where they can detain American citizens in the homeland, which is counted as a battlefield.
[00:33:14.646 --> 00:33:15.727]  Well, I'm on that list.
[00:33:15.947 --> 00:33:19.850]  Our website has been classified as a domestic extremist terrorism website.
[00:33:20.751 --> 00:33:21.751]  But it doesn't do anything.
[00:33:21.911 --> 00:33:23.052]  We just sell books through it.
[00:33:23.072 --> 00:33:23.913]  I mean, that's all it is.
[00:33:24.193 --> 00:33:30.518]  So under the new law that's being passed, I, Don, people who ask questions, his life has already been threatened for asking questions.
[00:33:30.858 --> 00:33:31.879]  Now it's going to become legal.
[00:33:32.399 --> 00:33:36.543]  To snatch you, literally snatch you up off the streets if you ask questions about the official story.
[00:33:36.563 --> 00:33:44.511]  And that's why the Noble Lie is so important because this is used, they waved the bloody shirt of Oklahoma City to invoke all these police state powers.
[00:33:45.331 --> 00:33:48.094]  But they don't actually go after the perpetrators, they use it against the American people.
[00:33:48.334 --> 00:33:49.075]  Right, right.
[00:33:49.355 --> 00:33:51.378]  The investigation seemed to be the afterthought.
[00:33:52.099 --> 00:33:56.504]  What seemed to be more on the forefront was getting this new terrorist legislation passed at the time.
[00:33:57.024 --> 00:33:58.646]  Don, let's go back to OKC.
[00:33:58.666 --> 00:34:02.010]  What were you actually doing on that morning before the bombing went off?
[00:34:03.010 --> 00:34:04.691]  I was at my residence.
[00:34:06.132 --> 00:34:08.993]  Wednesday night was our canine training evening.
[00:34:09.513 --> 00:34:17.778]  I normally would work a day shift, so what I would do is sleep in late on Wednesday morning and prepare to train all night Wednesday evening.
[00:34:20.679 --> 00:34:21.860]  I was at my residence.
[00:34:24.941 --> 00:34:26.242]  Built the house shake.
[00:34:27.102 --> 00:34:32.104]  Interestingly, we had had an earthquake a month prior to that, so I thought it was just another earth tremor.
[00:34:32.904 --> 00:34:40.868]  And then almost immediately the phone was ringing and warning canine units downtown.
[00:34:41.148 --> 00:34:41.388]  Right.
[00:34:41.848 --> 00:34:47.150]  And so from the time it happened to the time you arrived, how much time had elapsed during that point?
[00:34:48.151 --> 00:34:48.691]  Probably 35 to 40 minutes.
[00:34:52.342 --> 00:34:56.469]  And then, you know, with the dog, you're not really doing much rescue.
[00:34:56.489 --> 00:34:58.792]  Were you looking for bodies or bombs?
[00:34:58.832 --> 00:35:00.235]  What was the purpose of the dog?
[00:35:01.465 --> 00:35:10.950]  When we first arrived at the scene, of course I exited the vehicle with the dog, and that very intent was to look for victims.
[00:35:11.390 --> 00:35:22.116]  However, we were told to take the dogs away from the scene, to put them back in the car, so that if we were going to help with any of the recovery, we were going to have to do it alone.
[00:35:24.850 --> 00:35:27.393]  So that's one way they impeded the rescue effort right there.
[00:35:27.913 --> 00:35:28.233]  Yes, sir.
[00:35:28.594 --> 00:35:29.455]  Okay, continue.
[00:35:29.495 --> 00:35:30.816]  Go ahead.
[00:35:31.757 --> 00:35:34.139]  We did put the dogs up, came back in.
[00:35:34.179 --> 00:35:42.388]  There was two other K-9 officers, Ron Burks and Randy Claypool, were there at the scene with me at that time.
[00:35:42.428 --> 00:35:43.068]  We went back.
[00:35:45.434 --> 00:35:56.739]  I think it was a fire chief grabbed Randy and had him guard a door that would be close to where the daycare center was on the south side to not allow any admission into it.
[00:35:56.799 --> 00:35:59.480]  It was a pretty sure drop off from that point.
[00:36:00.980 --> 00:36:14.726]  Berks and I did go back down into the Bowser building and again worked in that area around Dana Bradley trying to secure debris in that area to keep it from shifting while they were working on her recovery.
[00:36:15.658 --> 00:36:15.999]  Okay.
[00:36:16.440 --> 00:36:22.770]  And then when did the bomb threats at that point start coming in where they found the second and third bomb that was reported on television?
[00:36:23.696 --> 00:36:26.639]  There was one of those that already occurred at that point.
[00:36:26.699 --> 00:36:29.421]  The second one came shortly thereafter.
[00:36:31.242 --> 00:36:39.869]  But again, like I said, I had already talked to one of our bomb techs and he had told me that it was a toy bomb, that nothing really to be worried about.
[00:36:39.909 --> 00:36:43.412]  So I wasn't really concerned about evacuating the building.
[00:36:44.793 --> 00:36:50.818]  And of course, at that point, we really didn't feel like we had any choice but to stay where we were at.
[00:36:52.486 --> 00:36:59.890]  What kinds of things were the government officials doing, or government servants I should say, what were they doing during this rescue effort?
[00:36:59.910 --> 00:37:02.792]  What kind of presence were they having on the building?
[00:37:04.588 --> 00:37:06.950]  More monitoring than anything else.
[00:37:09.492 --> 00:37:09.612]  U.S.
[00:37:09.672 --> 00:37:14.895]  Marshals were, it was interesting, it was really scrutinizing who was in the building.
[00:37:17.176 --> 00:37:28.263]  At one point, unless you were a Oklahoma City firefighter, they were not going to allow you to be inside and we were actually ordered out of the building by a federal marshal.
[00:37:29.972 --> 00:37:30.832]  We're in uniform.
[00:37:30.872 --> 00:37:33.253]  We're easily identified as Oklahoma City Police officers.
[00:37:35.413 --> 00:37:36.754]  That had no bearing.
[00:37:37.374 --> 00:37:39.454]  We went ahead and disregarded him.
[00:37:40.134 --> 00:37:47.936]  Stayed until we did have enough help down there to where we were to the point we felt we could leave the building.
[00:37:48.836 --> 00:37:49.917]  Get ready to get the dogs.
[00:37:49.937 --> 00:37:54.998]  They were forming up search teams through the fire department and we were going to coordinate with them.
[00:37:57.791 --> 00:38:20.729]  But about the same time everybody was ordered out of the building and that's when we were more or less sequestered in the courtyard area and eventually was told by a blonde female FBI agent or at least had an FBI raid jacket on that until files that were so critical to the government were located there would be no more recovery performed.
[00:38:21.330 --> 00:38:23.412]  And this is while people are bleeding inside the building.
[00:38:23.452 --> 00:38:26.174]  They actually stopped the evacuation to recover these documents.
[00:38:26.474 --> 00:38:41.449]  Yeah, I remember watching the news footage, the raw news footage that was off VHS tape that was in Alex's film, 9-11 Road to Tyranny, and that probably more than even the 9-11 information woke me up because I remember Oklahoma City vividly.
[00:38:41.469 --> 00:38:44.212]  I was 15 at the time.
[00:38:47.947 --> 00:39:05.134]  And it really, it kind of burned me up after seeing all this footage and then seeing, you know, it was one truck bomb, no one else was involved, it was one lone nut with an accomplice, and then you go back and actually look at the evidence and the evidence is, you know, you guys have gone over the evidence.
[00:39:05.514 --> 00:39:06.695]  Let's talk about a few things.
[00:39:07.235 --> 00:39:08.595]  Let's talk about the surveillance cameras.
[00:39:08.615 --> 00:39:10.116]  You guys talked about that on Alex's show.
[00:39:11.176 --> 00:39:11.477]  Yes, sir.
[00:39:13.633 --> 00:39:20.379]  I was real familiar with the Federal Bureau of the Murrah Building because prior to being in the K-9 unit, I was in the motor patrol.
[00:39:21.340 --> 00:39:32.189]  If we had dignitary coming into town, such as the President or Vice President, we would meet with Secret Service there in the Murrah Building and go over that itinerary.
[00:39:34.344 --> 00:39:45.305]  But was in and around that building frequently and saw all the cameras that were mounted both on the north and south side and particularly on the corners of the building.
[00:39:47.095 --> 00:40:06.128]  The morning of the bombing when we were sequestered there in the courtyard there were FBI agents or men in FBI raid jackets that brought a ladder around and they were removing not only the cameras and the housings but actually the wire from the corners of the building and taking the cameras down.
[00:40:07.099 --> 00:40:11.483]  So to make it appear like there were no cameras there, or just to take the whole unit out?
[00:40:12.123 --> 00:40:15.726]  At the time, I thought they were... I didn't, of course, wasn't really thinking.
[00:40:15.766 --> 00:40:17.828]  I was assuming they were just securing evidence.
[00:40:17.888 --> 00:40:21.651]  I never dreamed that it would come out to the point that, no, they never existed.
[00:40:23.447 --> 00:40:28.212]  So, as an afterthought, it may have even been like they were trying to conceal evidence.
[00:40:28.632 --> 00:40:28.972]  Yes, sir.
[00:40:29.993 --> 00:40:40.484]  In fact, one of our witnesses, Mike Nations, who lived in the Regency Tower, he observed a couple days or a week before the bombing Tim McVeigh at a phone booth with another man, a John Doe No.
[00:40:40.504 --> 00:40:40.484]  2.
[00:40:41.284 --> 00:40:43.947]  Mike went to the FBI and told them about this.
[00:40:44.307 --> 00:40:47.851]  Their response was to go down and remove the phone booth
[00:40:48.371 --> 00:40:49.171]  From that corner.
[00:40:49.372 --> 00:40:56.715]  They actually took out the phone booth in response to Mike saying, I saw McVeigh there, I'm 100% sure it was him, and he had a partner.
[00:40:57.215 --> 00:40:57.515]  Wow.
[00:40:58.436 --> 00:41:02.917]  And so now if the phone booth doesn't exist, the story doesn't have any corroboration.
[00:41:03.518 --> 00:41:03.858]  Exactly.
[00:41:04.645 --> 00:41:05.085]  Interesting.
[00:41:05.665 --> 00:41:09.027]  There's also reports of the horse patrols being mobilized.
[00:41:09.387 --> 00:41:11.608]  Did you actually see this, Don, when you were on-site?
[00:41:12.228 --> 00:41:13.049]  No, sir.
[00:41:13.229 --> 00:41:22.713]  I saw them on-site and talking with friends who were in the office together between the K-9 and the Kauai units.
[00:41:22.753 --> 00:41:23.954]  We officed in the same building.
[00:41:26.601 --> 00:41:37.285]  I was curious how they had gotten there so soon because they form up with the Reserve Deputy Program and respond as a mutual aid type thing to larger events.
[00:41:38.745 --> 00:41:40.165]  And they were all down there that morning.
[00:41:43.010 --> 00:41:47.657]  Later when I actually had a chance to talk, I was curious as to why they came down.
[00:41:47.897 --> 00:41:56.730]  We were just coming down for the day just to work the downtown area, which was not normal for them.
[00:41:59.102 --> 00:41:59.603]  I think so.
[00:42:20.507 --> 00:42:21.928]  Right around downtown Oklahoma City.
[00:42:22.268 --> 00:42:22.468]  Right.
[00:42:22.988 --> 00:42:26.850]  Did you ever provide testimony to a grand jury or any investigators?
[00:42:26.870 --> 00:42:30.471]  Were you even called as a witness at any point?
[00:42:30.972 --> 00:42:31.332]  Yes sir.
[00:42:31.772 --> 00:42:37.915]  I did go to the grand jury twice and then testified against McVeigh and Nichols both in Denver.
[00:42:39.716 --> 00:42:41.976]  And what exactly did you testify against Nichols about?
[00:42:44.137 --> 00:42:47.319]  Primarily it was just the aftermath of the bombing itself.
[00:42:48.419 --> 00:42:49.140]  Same with McVeigh.
[00:42:50.806 --> 00:42:53.628]  You never actually saw Timothy McVeigh at the Murrah Building?
[00:42:54.108 --> 00:42:54.408]  No, sir.
[00:42:54.688 --> 00:42:55.049]  No, sir.
[00:42:56.750 --> 00:42:59.671]  Well, let's get into the FBI threats.
[00:42:59.791 --> 00:43:03.274]  You said they came up and threatened you personally on several occasions.
[00:43:03.954 --> 00:43:06.776]  Why don't you describe that for the audience out there who's watching?
[00:43:07.436 --> 00:43:08.417]  Yes, sir.
[00:43:08.837 --> 00:43:17.002]  At one point, probably four to six weeks after the actual recovery effort had ended,
[00:43:18.342 --> 00:43:24.224]  They set up a mobile communication post, the FBI did, at our canine client center.
[00:43:25.665 --> 00:43:30.807]  They were using our facility pretty frequently, both between the offices and the trailer they had set up.
[00:43:31.887 --> 00:43:38.410]  It was not uncommon for one of the newer agents to come through the hallway.
[00:43:40.783 --> 00:43:46.125]  I would be pointed out by one of the other agents that, yeah, that's him there.
[00:43:46.165 --> 00:43:46.745]  That's Browning.
[00:43:48.186 --> 00:44:01.131]  And then as they were there, in passing in the hallway, I would be told by one or two different agents that I need to be careful that people like my wife and I ended up dead.
[00:44:01.151 --> 00:44:03.012]  That's incredible.
[00:44:03.272 --> 00:44:04.672]  Holland, what's your response to that?
[00:44:07.614 --> 00:44:08.735]  Well, outrage, honestly.
[00:44:08.755 --> 00:44:09.396]  This is the FBI.
[00:44:09.416 --> 00:44:10.497]  These are federal investigators.
[00:44:10.517 --> 00:44:14.441]  They're supposed to be trying to solve the greatest mass murder at that time in American history.
[00:44:14.741 --> 00:44:19.546]  But what they do spend time doing is threatening local police officers, threatening their families' lives.
[00:44:20.006 --> 00:44:23.470]  And this tells you what their mission, their mission was not to solve the case.
[00:44:23.490 --> 00:44:24.731]  Their mission was to cover up.
[00:44:24.991 --> 00:44:25.712]  Let's go over a laundry list.
[00:44:25.752 --> 00:44:27.614]  What did the FBI do to thwart the investigation?
[00:44:48.942 --> 00:44:51.083]  Well, obviously the videotapes.
[00:44:51.984 --> 00:44:53.704]  The videotapes recorded everything that happened.
[00:44:53.725 --> 00:44:54.825]  There were dozens, hundreds.
[00:44:54.865 --> 00:44:58.887]  In fact, we interview the man who duplicated the tapes all in order from the FBI.
[00:44:58.927 --> 00:45:00.248]  He wasn't allowed to view the footage.
[00:45:00.528 --> 00:45:01.829]  They would wheel it in on dollies.
[00:45:02.129 --> 00:45:06.071]  Two armed agents would watch while he put the tapes in and duplicated them, and he was not allowed to watch them.
[00:45:06.411 --> 00:45:10.174]  Then those armed agents would wheel the tapes out at the end of the day and take them back to the office.
[00:45:10.194 --> 00:45:16.117]  This lasted two to three weeks of eight, nine hour days of recording videotapes.
[00:45:16.237 --> 00:45:23.582]  Obviously a lot or most of those tapes have nothing but some of them have something and some of them recorded what exactly happened in front of the Murrah Building.
[00:45:23.602 --> 00:45:29.206]  Don is talking about the FBI taking down the tapes during the evacuations while people are bleeding to death inside.
[00:45:29.486 --> 00:45:32.288]  They're taking down the tapes and now they claim the tapes don't exist
[00:45:32.848 --> 00:45:33.249]  We're good to go.
[00:45:50.177 --> 00:45:53.840]  What it would cause is a case of national insecurity.
[00:45:54.200 --> 00:46:02.485]  If people knew from day one, from day one that the federal government knew there were more people involved and lied about it, the people would be outraged.
[00:46:02.525 --> 00:46:03.886]  They cannot allow that to get out.
[00:46:04.046 --> 00:46:07.429]  Yeah, national security at this point should not be an excuse because
[00:46:08.149 --> 00:46:10.110]  Well, they supposedly killed Tim McVeigh.
[00:46:10.170 --> 00:46:11.271]  Terry Nichols is in jail.
[00:46:11.331 --> 00:46:14.392]  Those were the only two guys involved according to the official story.
[00:46:14.932 --> 00:46:16.813]  So, what would be the harm?
[00:46:16.833 --> 00:46:18.774]  You know, that's usually the icing on the cake.
[00:46:18.794 --> 00:46:21.115]  They always come out with the tape later after the case is done.
[00:46:21.395 --> 00:46:22.176]  Here's all the tapes.
[00:46:22.196 --> 00:46:23.036]  Here's what they show.
[00:46:23.696 --> 00:46:25.557]  And there was even an investigation at one point.
[00:46:25.617 --> 00:46:35.022]  I remember watching an old news clip where they interviewed people who had saw tapes and they were talking about John Doe number two that supposedly didn't exist after a two-day manhunt.
[00:46:35.842 --> 00:46:41.826]  Yes, several FBI offices were leaking information to the media that they had seen the tapes, that there were other people involved.
[00:46:42.226 --> 00:46:46.569]  But as the story became managed, that information was shut off and we were never allowed to see the tapes.
[00:46:47.070 --> 00:46:51.152]  I mean, almost every day I have to watch airliners crashing into the Twin Towers.
[00:46:51.172 --> 00:46:52.133]  Almost every day I have to see that.
[00:46:52.453 --> 00:46:54.234]  How come we can't see what happened in front of the Murrah Building?
[00:46:54.374 --> 00:46:54.595]  Right.
[00:46:54.835 --> 00:46:57.116]  Well, the same reason why you can't see what happened in front of the Pentagon.
[00:46:57.356 --> 00:46:58.257]  Except for two frames.
[00:46:58.797 --> 00:46:59.318]  Yeah.
[00:46:59.618 --> 00:47:03.821]  Don, did you participate in the manhunt for John Doe No.
[00:47:03.841 --> 00:47:05.362]  2 that ended up being called off?
[00:47:06.422 --> 00:47:26.611]  No sir, other than, I think what was confusing to me at first was when they first started putting out the descriptions, in particular that first day, descriptions that they gave us and were broadcast to all law enforcement in a five state area, they later told us was disinformation and it was only to throw the press off.
[00:47:29.494 --> 00:47:34.840]  Again, you're hampering all law enforcement in that big quadrant of the United States.
[00:47:36.062 --> 00:47:37.784]  Going after a wild goose chase, essentially.
[00:47:37.804 --> 00:47:39.566]  Going after an intentional wild goose chase.
[00:47:39.646 --> 00:47:39.887]  Sure.
[00:47:40.287 --> 00:47:43.872]  That information that led to that original witness description was from Local PD.
[00:47:44.372 --> 00:47:44.912]  Yeah.
[00:47:45.032 --> 00:47:46.472]  And those were the suspects.
[00:47:47.653 --> 00:47:55.354]  And as the federal government came in and took control of the investigation, that description, they labeled it disinformation so people would stop following it.
[00:47:55.374 --> 00:47:56.675]  Those actually were the suspects.
[00:47:57.055 --> 00:48:00.675]  They were seen running from the scene, getting into a brown pickup truck, speeding from the scene.
[00:48:01.436 --> 00:48:03.176]  One car was en route to Dallas.
[00:48:03.816 --> 00:48:06.537]  Those people were arrested with bomb-making material in Dallas.
[00:48:06.877 --> 00:48:07.457]  They were let go.
[00:48:08.857 --> 00:48:11.719]  The story does not hold up to scrutiny whatsoever.
[00:48:11.739 --> 00:48:19.525]  The official story of the Oklahoma City bombing is a complete whitewash and does not hold up to the weight of evidence whatsoever.
[00:48:19.545 --> 00:48:20.065]  Right.
[00:48:20.485 --> 00:48:22.507]  Well, Holland, the film's been out less than a month now.
[00:48:22.987 --> 00:48:27.030]  What kind of reaction are you guys getting from other people, filmmakers?
[00:48:28.571 --> 00:48:30.613]  What are the plans for this film, A Noble Lie?
[00:48:31.365 --> 00:48:39.269]  Well, the reaction we're getting is stunned disbelief that all of this could happen right under our noses and the media and the government does not tell us about it.
[00:48:39.669 --> 00:48:44.332]  A lot of people who knew some funny things about the bombing, they knew a couple things were wrong.
[00:48:44.452 --> 00:48:50.835]  They were not aware of the weight of evidence and how documented it was that the official story is wrong and is a lie.
[00:48:51.676 --> 00:48:54.178]  They were stunned by the quality of information.
[00:48:54.739 --> 00:48:55.920]  We've shown this to skeptics.
[00:48:56.341 --> 00:49:02.027]  We've shown this to people who, you know, think I'm crazy and they walk away and they're like, uh, the government did it.
[00:49:02.047 --> 00:49:03.689]  I was like, yeah.
[00:49:03.809 --> 00:49:06.412]  And now we're not saying that the government did it.
[00:49:06.572 --> 00:49:09.134]  What we're saying is that they knew it was going down.
[00:49:09.335 --> 00:49:10.096]  That is obvious.
[00:49:10.156 --> 00:49:11.557]  They knew McVeigh was going to do it.
[00:49:11.797 --> 00:49:13.019]  They watched it happen.
[00:49:13.579 --> 00:49:15.400]  For some reason, they didn't stop it.
[00:49:15.880 --> 00:49:22.262]  And the cover-up after that, it's not that every street agent, every FBI agent on the scene is trying to cover up government complicity.
[00:49:22.842 --> 00:49:23.602]  It was their truck.
[00:49:24.343 --> 00:49:25.283]  It was their informant.
[00:49:25.783 --> 00:49:26.763]  It was their bomb.
[00:49:27.143 --> 00:49:33.486]  How are they going to explain to the American people that something went wrong and their truck, their bomb, and their informant killed 168 people?
[00:49:33.506 --> 00:49:34.866]  They were in the agency.
[00:49:35.106 --> 00:49:49.794]  Right, and since then, every FBI entrapped bomb maker or bomb plotter, they've been given deliberately fake bombs we've seen, or bombs that wouldn't work, or they get stopped before it even comes to fruition.
[00:49:50.254 --> 00:49:56.557]  I remember seeing an article about the guy with the remote control bomb, but he was getting it from the FBI and the informant.
[00:49:57.097 --> 00:50:01.379]  They were providing him the materials to create this remote controlled airplane bomb.
[00:50:03.001 --> 00:50:04.582]  You know, did you see that story?
[00:50:04.602 --> 00:50:05.502]  Do you have any comments on that?
[00:50:05.843 --> 00:50:06.423]  Oh yes, yes.
[00:50:06.703 --> 00:50:17.890]  When you're looking at the last couple years, all these FBI sting operations on terrorist operations, what usually happens is it's like an unemployed drifter, he gets on a jihadi website and he starts talking trash about the U.S.
[00:50:17.910 --> 00:50:18.210]  government.
[00:50:18.630 --> 00:50:22.192]  And then someone approaches him and they start cultivating a relationship.
[00:50:22.212 --> 00:50:27.414]  Well, that person obviously is an FBI undercover informant or an agent trying to cultivate this disgruntled loner.
[00:50:27.854 --> 00:50:29.175]  And then they give him a job.
[00:50:29.575 --> 00:50:34.478]  They brainwash him into wanting to bomb something in the United States.
[00:50:34.498 --> 00:50:35.378]  They tell him to do it.
[00:50:35.918 --> 00:50:37.879]  They give him fake bombs.
[00:50:38.219 --> 00:50:40.340]  Then they give him the cell phone to set it off.
[00:50:40.380 --> 00:50:41.101]  Then they arrest him.
[00:50:42.101 --> 00:50:43.402]  That obviously is entrapment.
[00:50:43.442 --> 00:50:46.064]  If the FBI had left these people alone, they'd still be working in McDonald's.
[00:50:46.084 --> 00:50:46.884]  That's all they'd be doing.
[00:50:46.924 --> 00:50:48.105]  They wouldn't be trying to bomb things.
[00:50:48.465 --> 00:50:55.570]  But the danger of that is, if they ever try to make this go live again, all they have to do is take one of these existing sting operations.
[00:50:55.590 --> 00:50:56.991]  They're going on right now all over the country.
[00:50:57.011 --> 00:51:00.253]  It's like every two weeks they arrest someone for trying to bomb something.
[00:51:00.533 --> 00:51:02.334]  These operations are going off all the time.
