[00:00:23.157 --> 00:00:24.818]  It's Infowars Nightly News.
[00:24:36.073 --> 00:24:37.454]  Now it's mainline news.
[00:24:37.774 --> 00:24:40.455]  They were stalling you until they thought it was too late.
[00:24:40.736 --> 00:24:41.736]  Let's go ahead and go to this clip.
[00:24:42.756 --> 00:24:49.680]  But he'd have to shake a label that gets assigned to people like Pat who run for the presidency, and that is that he's a tool of the rich.
[00:24:51.641 --> 00:24:53.221]  I personally like that very much.
[00:24:58.524 --> 00:25:01.085]  My father told me that's the way the system is meant to work.
[00:25:11.459 --> 00:25:13.140]  You know, I think Pat's coming quickly.
[00:25:14.220 --> 00:25:17.263]  Soon, I think he's going to be in a position for the Trilateral Commission.
[00:25:20.125 --> 00:25:22.646]  And if he shows promise beyond that, there's Bilderberg.
[00:25:25.828 --> 00:25:27.009]  World control, Pat.
[00:25:28.190 --> 00:25:29.311]  Subtle for nothing else.
[00:25:36.658 --> 00:25:37.139]  All right.
[00:25:37.159 --> 00:25:41.903]  Again, I'm going to dig out the date of that because I had it on a printout, but I want to give you the actual date of that.
[00:25:41.943 --> 00:25:48.489]  We've got it again at Infowars.com in the Hot News section.
[00:25:48.509 --> 00:25:48.489]  1991.
[00:25:49.030 --> 00:25:55.396]  So October 19, 1991 is the date of that, right when George Herbert Walker Bush was calling for a new world order.
[00:25:56.577 --> 00:26:00.098]  Out of these troubled times, how the great transformation would take place.
[00:26:00.478 --> 00:26:01.558]  Great job getting that up, guys.
[00:26:01.938 --> 00:26:12.040]  Now, I wanted to play Olympia Snowe, because both these senators voted last Thursday to have the military on the streets of America and secretly arrest you and your family anytime they want and throw you in a dungeon or even kill you.
[00:26:12.460 --> 00:26:16.741]  And Obama came out and said, I'm going to veto that bill because I don't need congressional approval.
[00:26:17.021 --> 00:26:19.321]  I can do that on my own, including killing citizens.
[00:26:19.661 --> 00:26:22.522]  And that was hailed by the ACLU as, oh, how democratic.
[00:26:22.802 --> 00:26:24.762]  Only the Fuhrer can kill people for no reason.
[00:26:25.762 --> 00:26:32.624]  Let's go ahead and go to Senator Olympia Snowe, another trader, called for a new world order back in 1996, and she thought it was real funny.
[00:26:32.664 --> 00:26:33.104]  Here it is.
[00:26:34.005 --> 00:26:41.927]  In this day and age, when we need a new world order, when it comes to our own State Department-related agencies, we have to reorganize.
[00:26:42.847 --> 00:26:48.669]  And it's important to have a unified, singular voice when it comes to delivering our foreign policy.
[00:26:49.716 --> 00:26:53.259]  And that was the basic intent of this agency consolidation.
[00:26:53.299 --> 00:26:57.163]  But we have met resistance at every step of the way by the administration.
[00:26:58.304 --> 00:27:00.586]  And you've gotten what you wanted.
[00:27:00.666 --> 00:27:02.248]  You've got your consolidation.
[00:27:02.268 --> 00:27:06.972]  Now the government can deal the drugs and launder the money properly, federalize the police, launch all these illegal wars.
[00:27:07.693 --> 00:27:12.918]  America is now known as an engine of total wickedness and danger and Hitlerian pain.
[00:27:14.039 --> 00:27:14.600]  It's incredible.
[00:27:15.964 --> 00:27:20.489]  Yeah, checks and balances, separation of powers, is what the founders called for.
[00:27:20.549 --> 00:27:22.031]  You call for something else, don't you?
[00:27:22.291 --> 00:27:24.614]  Because it's not our country, it's you criminals' country.
[00:27:25.034 --> 00:27:35.105]  Now, continuing, US evacuates Pakistan airbase, at least they're saying they're getting ready to evacuate it after bombing and killing a bunch of Pakistani military people.
[00:27:37.259 --> 00:27:42.485]  Again, very, very dangerous escalation worldwide with these drones flying around, killing people.
[00:27:43.185 --> 00:27:46.229]  And the Russians have moved ships into the Mediterranean, they're off Syria.
[00:27:46.769 --> 00:27:57.601]  Also, there's a big London Guardian reporting that revealing the true cost of Christmas toys we buy from China's factories, late wages and fines for using the toilet.
[00:27:59.209 --> 00:28:16.359]  They work up to 140 hours of overtime a month, were paid up to a month late, claim they were expected to work with dangerous tools and machines without training or safety measures, had to work in silence, and were fined up to five pounds or about eight dollars for going to the toilet without permission.
[00:28:17.239 --> 00:28:27.586]  And again, we're competing with all of this, with all the regulations they put on us to shut us down because the globalists have all moved to China, and it doesn't raise up the Chinese people, it's a race to the bottom.
[00:28:28.047 --> 00:28:30.729]  Mexico can't even keep factories now because they're all going to China.
[00:28:31.544 --> 00:28:34.146]  And they had to put suicide nets up around most their factories.
[00:28:34.206 --> 00:28:34.867]  It's that bad.
[00:28:35.287 --> 00:28:37.889]  By the way, no child welfare taking your kids there.
[00:28:38.930 --> 00:28:47.537]  Many of them chain their children, this is in mainstream news, to light poles outside the factories all day, and the children get one meal if they're lucky.
[00:28:48.277 --> 00:28:49.098]  Sometimes go days.
[00:28:49.178 --> 00:28:51.640]  So the children are chained outside, defecating on the ground.
[00:28:52.200 --> 00:28:54.582]  There's some incredible online photos of it, like dogs.
[00:28:55.102 --> 00:28:56.163]  And that's what we're competing with.
[00:28:56.824 --> 00:28:58.385]  It's just unbelievable.
[00:28:59.206 --> 00:29:00.467]  Talk about the big sucking sound.
[00:29:01.656 --> 00:29:04.757]  Meanwhile, the Weekly Standard reports big business sides with Iran.
[00:29:05.237 --> 00:29:19.920]  In a letter, the USA Engage Director states, given the reported announcement and intent of sanctions and amendments to target Iran's crude oil sales in the world market, the adverse effects on the world economy and on vile U.S.
[00:29:19.980 --> 00:29:21.000]  interests could be considerable.
[00:29:21.360 --> 00:29:24.921]  Such hasty, draconian unilateral legislation would be ill-advised.
[00:29:25.581 --> 00:29:26.642]  And now they're threatening.
[00:29:26.822 --> 00:29:28.462]  By the way, this is cutting China's oil off.
[00:29:28.922 --> 00:29:30.063]  Which is basically an act of war.
[00:29:30.083 --> 00:29:34.786]  That's what the Japanese ended up attacking us in World War II, because we cut off their oil.
[00:29:35.246 --> 00:29:36.147]  Very, very serious.
[00:29:36.407 --> 00:29:37.748]  And we'll drive up prices here.
[00:29:37.788 --> 00:29:39.068]  But the globalists don't care.
[00:29:39.108 --> 00:29:39.409]  So what?
[00:29:39.429 --> 00:29:40.169]  They're selling the oil.
[00:29:40.710 --> 00:29:44.152]  Continuing the Chinese situation.
[00:29:45.473 --> 00:29:46.573]  Again, it's really escalating.
[00:29:46.633 --> 00:29:46.953]  Oh, look!
[00:29:47.614 --> 00:29:49.015]  They found a photo of it.
[00:29:49.475 --> 00:29:52.137]  There is the child chained up to the light pole.
[00:29:53.416 --> 00:29:54.938]  And that's daycare in China.
[00:29:55.458 --> 00:29:56.680]  You think you're going to compete with that?
[00:29:56.780 --> 00:29:57.020]  No.
[00:29:57.460 --> 00:29:59.342]  Our standard will be lowered to that.
[00:29:59.683 --> 00:30:05.589]  The Chinese will not be lifted up unless they're Communist Party insiders all part of this parasitic activity.
[00:30:06.350 --> 00:30:07.311]  Okay, continuing.
[00:30:08.292 --> 00:30:12.817]  The Tokyo Electric Power Company says radioactive water may have leaked into the sea.
[00:30:12.857 --> 00:30:14.318]  That's been known for six, eight months.
[00:30:15.239 --> 00:30:17.541]  Just, they're not telling us the obvious there.
[00:30:18.201 --> 00:30:20.122]  And it's all drifting towards the United States, of course.
[00:30:20.182 --> 00:30:26.707]  In fact, the first radioactive isotopes from the water, from the ocean, actually hit just a few weeks ago, and all that debris.
[00:30:27.287 --> 00:30:30.590]  But they're telling people in California and Oregon and Washington, don't worry about it, it's good for you.
[00:30:31.430 --> 00:30:44.939]  Also, protesters marching against Bill that could designate them as terrorists exercising First Amendment defined as low-level terrorism by the DOD and we have those documents in this PrisonPlanet.com and Infowars.com article by Paul Joseph Watson.
[00:30:44.959 --> 00:30:48.142]  The actual memos we're protesting is now an act of terrorism.
[00:30:49.082 --> 00:30:51.004]  Continuing, I wanted to get into this because
[00:30:52.108 --> 00:30:55.631]  Remember the Pokemon TV show a decade ago caused seizures all over the world?
[00:30:55.651 --> 00:30:57.472]  In some cases thousands of kids.
[00:30:58.012 --> 00:31:00.734]  Sometimes they would fall down and bust their head open and die on the spot.
[00:31:01.595 --> 00:31:04.557]  This is because the flicker rate of televisions...
[00:31:07.359 --> 00:31:08.180]  It's not that it can.
[00:31:08.240 --> 00:31:13.645]  It always puts you into a highly suggestible state, as Derren McBrain's report a few weeks ago showed.
[00:31:13.925 --> 00:31:16.868]  But a lot of times it actually lowers you into an actual dream state.
[00:31:17.088 --> 00:31:17.889]  You're sleepwalking.
[00:31:18.529 --> 00:31:21.152]  And there's an article here out of the Vancouver Sun.
[00:31:21.552 --> 00:31:30.680]  Rash of twilight-induced seizures prompts warning at the beginning of the film because of some of the sequences they have, the flicker rate.
[00:31:30.981 --> 00:31:32.622]  And again, they figured this out 60, 70 years ago.
[00:31:33.823 --> 00:31:48.275]  I've been at the University of Texas, psychology department was shown secret stuff by an insider years ago that I covered where they have monkeys with wires in their brains who sit there and they test flicker rates on them to make it more highly suggestible and they euthanize them afterwards.
[00:31:48.656 --> 00:31:55.101]  So when you're watching television, especially broadcast TV, especially high-def TV, it's no joke, folks, what they can do with that.
[00:31:55.742 --> 00:31:58.724]  Okay, continuing here, I wanted to
[00:31:59.765 --> 00:32:01.526]  In the transmission was something interesting.
[00:32:02.066 --> 00:32:06.647]  Woolly mammoth to be brought back to life from cloned bone marrow within five years.
[00:32:06.707 --> 00:32:17.490]  Scientists believe it may be possible to clone a woolly mammoth within five years after finding well-preserved marrow of the thigh bone recovered from permafrost soil in Siberia, Russia.
[00:32:18.812 --> 00:32:31.896]  Very, very interesting, and they're talking about trying to do it with some of the prehistoric dinosaurs, because they may be able to have new technologies they're developing to be able to uncrystallize, fossilize DNA, and then rebuild it and do it.
[00:32:32.756 --> 00:32:37.777]  But what kind of ancient viruses or other microplasms could this release?
[00:32:39.278 --> 00:32:43.399]  What can releasing genetically modified insects and mosquitoes do?
[00:32:44.418 --> 00:32:46.219]  What has GMO crops already done?
[00:32:46.259 --> 00:32:51.682]  Especially when those directing this build Trojan horses into the vaccines and GMO foods.
[00:32:51.982 --> 00:32:54.244]  But it is amazing and very, very interesting.
[00:32:54.624 --> 00:32:55.765]  All right, great job to the crew.
[00:32:55.805 --> 00:32:58.866]  That's it for this edition of InfoWars Nightly News.
[00:32:58.926 --> 00:33:02.108]  Lord willing, we'll be back tomorrow night, 7 o'clock Central.
[00:33:02.509 --> 00:33:06.451]  The system more and more wants to censor this information because we're actually having effect.
[00:33:06.731 --> 00:33:09.373]  So please don't forget that we are listener-supported.
[00:33:09.753 --> 00:33:13.035]  Even if you don't become a subscriber at PrisonPlanet.tv to see it first.
[00:33:13.815 --> 00:33:17.818]  Almost nine years of films and material that are posted at PrisonPlanet.tv.
[00:33:18.018 --> 00:33:23.642]  You can certainly spread the word about InfoWars.com and PrisonPlanet.com and pay forward this information.
[00:33:24.123 --> 00:33:25.224]  All right, great job of the crew.
[00:33:25.484 --> 00:33:28.646]  I'm Alex Jones signing off from the front lines of the InfoWar.
[00:33:29.086 --> 00:33:30.928]  Until tomorrow, Vaya con Dios!
[00:33:32.378 --> 00:33:34.379]  What's up with these sorry politicians?
[00:33:34.619 --> 00:33:35.300]  Lots of bark.
[00:33:35.420 --> 00:33:38.281]  When it's showtime, whimpering like little shih tzus.
[00:33:38.561 --> 00:33:39.702]  You want big cuts?
[00:33:40.002 --> 00:33:41.943]  Ron Paul's been screaming it for years.
[00:33:42.303 --> 00:33:43.023]  Budget crisis?
[00:33:43.264 --> 00:33:43.944]  No problem.
[00:33:44.144 --> 00:33:45.685]  Got a trillion bucks year one.
[00:33:45.885 --> 00:33:48.926]  That's trillion with a T. Department of Education?
[00:33:49.166 --> 00:33:49.587]  Gone.
[00:33:49.847 --> 00:33:50.387]  Interior?
[00:33:50.587 --> 00:33:50.967]  Energy?
[00:33:51.087 --> 00:33:51.408]  HUD?
[00:33:51.588 --> 00:33:52.008]  Commerce?
[00:33:52.208 --> 00:33:52.608]  Gone.
[00:33:52.988 --> 00:33:54.209]  Later bureaucrats.
[00:33:54.469 --> 00:33:56.350]  That's how Ron Paul rolls.
[00:33:56.750 --> 00:33:57.971]  Want to drain the swamp?
[00:33:58.171 --> 00:33:58.871]  Ron Paul.
[00:33:59.252 --> 00:33:59.632]  Do it.
[00:34:00.032 --> 00:34:01.973]  I'm Ron Paul and I approve this message.
