[00:00:00.009 --> 00:00:01.982]  This is Alex Jones.
[00:45:29.697 --> 00:45:41.402]  And it was signed between David Willibrand of the UK and Richard Boucher from the American side and of course President Zardari from this side and Benazir at that time.
[00:45:41.822 --> 00:45:47.885]  But Benazir became a little violent and she started reacting so she had to be removed by them.
[00:45:47.945 --> 00:45:56.008]  If you remember, John Negroponte came here and he wanted to talk to her that she was becoming rebellious and she refused to meet him.
[00:45:56.529 --> 00:45:58.835]  And then thereafter, she was no more.
[00:45:59.316 --> 00:46:03.207]  I think this is a very dirty game which is being played by this group.
[00:46:05.918 --> 00:46:07.019]  Incredible information.
[00:46:07.039 --> 00:46:11.782]  Sir, I'd like to go back to the American recently arrested by Pakistani intelligence.
[00:46:11.842 --> 00:46:13.102]  Thank God you stopped him.
[00:46:13.563 --> 00:46:24.869]  It's now been confirmed he was trying to get uranium to some of their cut-out al-Qaeda patsies to claim that your nuclear weapons program is leaking.
[00:46:25.609 --> 00:46:26.110]  Clearly,
[00:46:26.690 --> 00:46:27.071]  I don't
[00:46:42.690 --> 00:46:48.713]  Bombardments going in, getting the nukes, and then starting a larger attack, and then having India attack.
[00:46:49.053 --> 00:46:51.074]  But the word is China's not going to put up with this.
[00:46:51.114 --> 00:46:53.235]  I mean, we're talking about World War III.
[00:46:53.295 --> 00:46:57.837]  General, please give us the possible scenarios and the time frame on this.
[00:46:58.888 --> 00:47:16.712]  Well, I think it was McChrystal's idea, and he, in a briefing to the President, he had said that all he needs is a couple of helicopters, and some commandos, and an abseiling rope, and then he can go and pluck out anything that you have.
[00:47:16.812 --> 00:47:24.674]  And I mean, he said, I'll require a packing of three helicopters, and they can take out Pakistan's, all the nuclear triggers.
[00:47:25.394 --> 00:47:29.357]  But then they thought the better of it, because Pakistan's nuclear assets are dispersed.
[00:47:29.898 --> 00:47:36.382]  And if you touch Pakistan's nuclear assets, a lot of countries in the region who are very dear to America may be in trouble.
[00:47:36.402 --> 00:47:45.409]  Besides that, I think right behind our back, China, who is a very reliable friend, Pakistan will be left with no option but to lean upon China.
[00:47:45.889 --> 00:47:50.233]  And that could, as you are very rightly pointing out, that could start a third world war.
[00:47:50.693 --> 00:47:51.814]  It is very dangerous.
[00:47:51.874 --> 00:47:54.296]  I don't know what, why are they trying to play with fire?
[00:47:54.816 --> 00:47:59.339]  Because it will ignite an inferno which will consume the entire region.
[00:48:00.019 --> 00:48:11.587]  They're completely power-mad, sir, and they've been setting up a secret police grid, a demonization grid of real American patriots that just want to be a good country, with a Bill of Rights and Constitution, who don't want to be an empire.
[00:48:11.987 --> 00:48:16.130]  But we have this wicked group that has seized us, and it just gives me chills.
[00:48:16.690 --> 00:48:16.930]  I don't
[00:48:40.663 --> 00:48:47.207]  In the few minutes we've got left with you, General, getting back to your intel connections in government.
[00:48:47.507 --> 00:48:50.949]  I know you don't like to speculate, but we know this official story.
[00:48:51.869 --> 00:48:55.131]  Now they admit he didn't fire back, that he didn't use the wife as a shield.
[00:48:55.151 --> 00:48:57.492]  They've already put out a fake photo a day and a half ago.
[00:48:57.532 --> 00:48:59.093]  They say more fake photos coming.
[00:48:59.614 --> 00:49:01.975]  We know their history of faking documents and photos.
[00:49:02.655 --> 00:49:04.296]  This whole thing stinks to high heaven.
[00:49:04.596 --> 00:49:09.079]  Much of our media is turning against the President, saying people are not buying this.
[00:49:10.179 --> 00:49:12.901]  But what best do you know?
[00:49:12.961 --> 00:49:17.104]  Because now the Pakistani military has been able to go in, but it's all been scooped out.
[00:49:17.784 --> 00:49:18.405]  What was there?
[00:49:18.845 --> 00:49:19.766]  What is the intel?
[00:49:19.846 --> 00:49:25.590]  What does Pakistani ISI, what does the Pakistani army think really went on in that compound?
[00:49:25.610 --> 00:49:33.215]  I mean, obviously it's the frame up of Pakistan, but do you have any intel on how this theater was executed?
[00:49:33.999 --> 00:49:40.508]  Yeah, I think much of it what they have said, the helicopter sneaking in and this and the other, that is true.
[00:49:41.089 --> 00:49:44.594]  Because they did come and there are eyewitnesses who have reported this.
[00:49:44.774 --> 00:49:51.023]  And I was just watching on the TV channel, a lot of people in the neighborhood were giving the stories.
[00:49:51.503 --> 00:49:55.187]  But whether Osama bin Laden was there or not, it is not clear.
[00:49:55.207 --> 00:49:56.989]  And they have hidden this fact.
[00:49:57.409 --> 00:49:59.631]  And the ISI is embarrassed.
[00:49:59.852 --> 00:50:04.656]  And Pakistani nation is up in arms against the ISI and the army.
[00:50:04.676 --> 00:50:07.119]  They look, this is what you have done to us.
[00:50:07.359 --> 00:50:11.924]  You have allowed invaders to come in and do things on their own.
[00:50:12.664 --> 00:50:16.627]  And you have allowed the coverage gaps.
[00:50:17.287 --> 00:50:17.668]  Why?
[00:50:17.708 --> 00:50:21.090]  Because we are investing so much money in you and this is what you have done to us.
[00:50:21.610 --> 00:50:29.835]  So I think very soon there is going to be a policy shift as far as Pakistan is concerned because pressure is mounting on the regime, on the government.
[00:50:30.336 --> 00:50:35.339]  And they will have to simply say, if you were to ask me, that you have done now your job.
[00:50:35.359 --> 00:50:41.063]  If you think that this was the target that you were looking for and you ravaged the whole world because of this,
[00:50:41.563 --> 00:50:47.366]  Now you've got him, so please finish us, leave us alone, and Yankee, please go home.
[00:50:48.286 --> 00:50:49.987]  You will be also at rest.
[00:50:50.027 --> 00:50:52.648]  Your boys and girls are being killed unnecessarily.
[00:50:52.668 --> 00:50:54.029]  You're squandering your dollars.
[00:50:54.049 --> 00:50:58.091]  135 billion dollars a year, for heaven's sake.
[00:50:58.431 --> 00:51:02.533]  Taxpayers' money being squandered in Afghanistan on a war which has already been lost.
[00:51:03.720 --> 00:51:07.242]  General, we've only got a few minutes left with you, and we appreciate your time.
[00:51:07.262 --> 00:51:10.923]  General Hamid Gul joins us, former head of Pakistani intelligence.
[00:51:11.764 --> 00:51:23.509]  Unfortunately, I want to have to relay to you and the rest of the world that I'm monitoring liberal, conservative, mainline radio and TV, and I want to give you the bad news that they are in just a matter of hours.
[00:51:23.649 --> 00:51:31.233]  First, it was cut the couple billion you're given that, as you point out, you spend way, you know, many times more trying to carry out
[00:51:31.713 --> 00:51:32.153]  I don't.
[00:51:47.245 --> 00:51:59.995]  But now the drum is beginning that you need to be struck, that you are Al-Qaeda, that you run Bin Laden, and that you love the destabilization of all these people brought in.
[00:52:00.115 --> 00:52:07.001]  And they are, I want to confirm, you need to know, they are trying to get the American people ready to attack you.
[00:52:08.042 --> 00:52:12.866]  And what would you like to say to the American people about the propaganda they're hearing?
[00:52:13.638 --> 00:52:15.259]  Yes, this is total propaganda.
[00:52:15.279 --> 00:52:18.222]  This is fixing Pakistan, who has been a long time your friend.
[00:52:18.622 --> 00:52:29.151]  You are the sole superpower today because of Pakistan and because of the blood of the Afghan people, whom you have, with impunity and with great callousness, you have destroyed them.
[00:52:29.851 --> 00:52:30.872]  Please don't do that.
[00:52:31.252 --> 00:52:32.932]  People of America are very good.
[00:52:33.012 --> 00:52:34.953]  They are all very innocent.
[00:52:35.053 --> 00:52:38.875]  I think gullibility is acceptable to an extent.
[00:52:38.895 --> 00:52:44.977]  But please do not buy all the theories of these ambitious generals who are political generals.
[00:52:45.037 --> 00:52:46.578]  They are not professional generals.
[00:52:46.938 --> 00:52:48.739]  I can assure you I'm a professional man.
[00:52:48.759 --> 00:52:55.282]  I've spent 36 years in the Army and since then also I've been studying and reading and I've been thinking about things.
[00:52:55.902 --> 00:52:57.883]  I can assure you your generals are wrong.
[00:52:58.423 --> 00:53:06.067]  They have got Obama beleaguered, or he has fallen into their trap, and this is going to be a disaster for everybody.
[00:53:06.547 --> 00:53:19.234]  General, in closing, the average American from New York, when they come to Texas, they think that we don't even really have houses, and that we live outdoors and ride horses when we're heavily industrialized, like any other western area.
[00:53:19.794 --> 00:53:22.936]  Also, many Americans believe that Pakistan is in the Middle East.
[00:53:22.976 --> 00:53:24.017]  They call you Arabs.
[00:53:24.617 --> 00:53:29.521]  They don't understand that it's a completely different system and culture.
[00:53:29.961 --> 00:53:38.607]  And they don't understand that in the war with the Indians, several wars, that Pakistan fighting five to one has basically defeated them.
[00:53:38.627 --> 00:53:44.111]  And I don't think the average American kind of thinks it's, oh, some more push over Arabs.
[00:53:44.411 --> 00:53:46.775]  I don't think the Arabs are weak, they're just not well coordinated.
[00:53:46.795 --> 00:53:55.109]  I don't think they understand that trying to go into Pakistan will make Vietnam and Korea look like a cakewalk.
[00:53:55.149 --> 00:53:55.890]  Can you speak to that?
[00:53:56.946 --> 00:53:58.207]  Yes, exactly like that!
[00:53:58.307 --> 00:54:00.948]  And I tell you, we'll stand and fight, I can assure you this.
[00:54:01.588 --> 00:54:05.429]  And this is a very large nation, it's 180 million people.
[00:54:05.889 --> 00:54:11.872]  We are nuclear, and we are the fifth nuclear power which has been described by none other than the American media.
[00:54:12.452 --> 00:54:22.496]  And we are ideological, we are self-sufficient in food, and we have China at our back, and we have the Muslim world sentiment supporting us.
[00:54:23.280 --> 00:54:26.421]  I can assure you it's going to be a very difficult proposition.
[00:54:27.101 --> 00:54:28.501]  Let's not even think of it.
[00:54:28.661 --> 00:54:31.142]  Please, people of America, stop these guys.
[00:54:31.522 --> 00:54:37.723]  They're cheating you, they're deceiving you, and they have personal ambitions which they want to satisfy.
[00:54:37.743 --> 00:54:45.005]  They're bloodthirsty people, they have wild ideas, and these must be checked by people of America.
[00:54:45.287 --> 00:54:47.109]  Final point, General Ghul, we'll let you go.
[00:54:47.129 --> 00:54:48.050]  We appreciate the time.
[00:54:48.090 --> 00:54:50.532]  General Hamid Ghul joins us from Pakistan.
[00:54:51.373 --> 00:54:55.597]  What is the general sentiment of the population there?
[00:54:55.797 --> 00:54:58.120]  Are they buying this latest hoax?
[00:54:58.720 --> 00:55:04.826]  And are you concerned, because they're hyping this here now, about a new 9-11, this time to be blamed on Pakistan?
[00:55:04.846 --> 00:55:05.847]  Because that's in the works.
[00:55:06.108 --> 00:55:07.950]  From the propaganda, you can see the preparation.
[00:55:08.979 --> 00:55:10.880]  Yes, people of Pakistan are very aware of it.
[00:55:10.980 --> 00:55:14.263]  And that's why I think Pakistan government is going to be under tremendous pressure.
[00:55:14.803 --> 00:55:19.846]  And you will have a revolution unless it is rectified in time in Pakistan.
[00:55:19.886 --> 00:55:23.909]  And a revolution in Pakistan will absolutely turn the world around.
[00:55:23.969 --> 00:55:24.830]  I can assure you this.
[00:55:25.810 --> 00:55:26.251]  All right.
[00:55:26.671 --> 00:55:32.015]  Thank you so much, General Hamid Gul, for checking in with us with this information.
[00:55:32.035 --> 00:55:33.236]  We'll talk to you again soon.
[00:55:33.256 --> 00:55:33.556]  Thank you.
[00:55:35.603 --> 00:55:40.325]  All right, late at night over there, but he did join us.
[00:55:40.745 --> 00:55:42.526]  That guy's a very serious person.
[00:55:43.507 --> 00:55:50.890]  That is the former head of the Mujahideen and the guy that led the war against the Russians.
[00:55:51.470 --> 00:55:52.571]  That's him.
[00:55:52.751 --> 00:55:56.093]  That's the real deal, ladies and gentlemen, here on this broadcast.
[00:55:56.893 --> 00:56:00.635]  And I would disagree with him on any point if I disagreed.
[00:56:01.491 --> 00:56:02.772]  I have studied this in depth.
[00:56:02.832 --> 00:56:04.994]  I have had the foremost scholars on this show.
[00:56:05.474 --> 00:56:08.317]  I have read all three books by Brzezinski about it.
[00:56:08.917 --> 00:56:10.078]  And Brzezinski admits it all.
[00:56:10.799 --> 00:56:11.959]  And I'm getting chills right now.
[00:56:12.420 --> 00:56:19.746]  Folks, you look at those college students that showed up when the government put that Twitter out to create that false flash mob out there.
[00:56:20.126 --> 00:56:21.587]  Yeah, yeah, Osama's dead.
[00:56:21.988 --> 00:56:24.169]  And the Globalist too, that is a gauge that they bought it.
[00:56:25.610 --> 00:56:27.512]  I've seen videos of them speaking.
[00:56:27.572 --> 00:56:29.714]  Those college students could hardly talk.
[00:56:30.856 --> 00:56:32.197]  White, black, hispanic.
[00:56:32.778 --> 00:56:38.322]  They were fluoride head, TV head, soft, intellectually dead people.
[00:56:40.344 --> 00:56:43.107]  And the globalists are planning massive terror attacks.
[00:56:43.127 --> 00:56:44.308]  They're hyping nuke attacks here.
[00:56:44.608 --> 00:56:45.769]  I'm telling you that's in the cards.
[00:56:46.449 --> 00:56:49.852]  And they're going to take those idiot kids and they're going to clap them in uniforms.
[00:56:50.553 --> 00:56:58.300]  And they're going to try to draft the strong rural people of the South and other areas of the country and march us off in World War III.
[00:57:00.171 --> 00:57:01.171]  Against the Pakistanis.
[00:57:01.892 --> 00:57:03.112]  Backed up by the Chaikoms.
[00:57:03.132 --> 00:57:04.172]  This is not good.
[00:57:04.672 --> 00:57:05.893]  Okay, I'm getting chills right now.
[00:57:06.553 --> 00:57:07.653]  I'm getting bad chills.
[00:57:07.793 --> 00:57:13.115]  And let me tell you, I go back to Saturday here at the office working, and I was literally about to shake.
[00:57:13.195 --> 00:57:14.055]  And they're like, what's wrong?
[00:57:14.095 --> 00:57:16.316]  And I go, I am having hardcore dread.
[00:57:20.397 --> 00:57:24.558]  I can intellectually see all of this, but also I can feel it, ladies and gentlemen.
[00:57:24.618 --> 00:57:25.299]  I can feel it.
[00:57:26.179 --> 00:57:27.339]  I called my wife Saturday.
[00:57:27.459 --> 00:57:28.680]  I worked up here till late at night.
[00:57:28.740 --> 00:57:29.600]  I said, honey, I am.
[00:57:31.514 --> 00:57:33.234]  I am physically shaken right now.
[00:57:36.395 --> 00:57:39.035]  Now there's a chance to avert this, but we are at the edge of the cliff.
[00:57:39.155 --> 00:57:43.396]  My spirit, my gut, my intellectual analysis, we are at the edge.
[00:57:44.476 --> 00:57:45.357]  Is there a cliff near you?
[00:57:47.157 --> 00:57:52.658]  Be safe, but if you want to go experience it, it's called common sense, it's called sixth sense, it's called your gut, your instincts.
[00:57:53.858 --> 00:57:54.858]  You know, go to the edge.
[00:57:55.579 --> 00:57:56.079]  Look over.
[00:57:56.419 --> 00:57:56.959]  That feeling?
[00:57:58.154 --> 00:57:59.495]  You should all have it right now.
[00:57:59.515 --> 00:58:00.857]  You don't need to stand at the edge of a cliff.
[00:58:01.698 --> 00:58:03.980]  Every minute I'm awake, I've got it now.
[00:58:05.041 --> 00:58:06.482]  Never before have I felt this.
[00:58:07.904 --> 00:58:09.445]  I told you a few weeks ago, I was starting to feel it.
[00:58:09.826 --> 00:58:19.075]  I only felt a small tremor like this before 9-11, and I was able to calculate off enemy propaganda, they would attack the World Trade Center and blame it on their former asset, Osama bin Laden.
[00:58:24.608 --> 00:58:28.592]  This is GCN, the Genesis Communications Radio Network.
[00:58:31.434 --> 00:58:36.879]  When you're out on the road, the last place you want to be is on the road.
[00:58:38.081 --> 00:58:42.865]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:58:43.225 --> 00:58:49.992]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[00:58:51.943 --> 00:58:55.747]  They sew pride in every stitch.
[00:58:56.007 --> 00:58:57.849]  Guarantee you'll love the way they fit.
[00:58:57.949 --> 00:59:04.335]  They put a diamond gusset in the crotch where you need it most.
[00:59:05.076 --> 00:59:08.119]  Blue diamond gussets got it.
[00:59:10.096 --> 00:59:11.956]  We turn jeans inside out.
[00:59:12.236 --> 00:59:13.737]  Diamond Gusset Jeans.
[00:59:14.017 --> 00:59:16.598]  Made in the USA with unparalleled quality.
[00:59:16.898 --> 00:59:23.160]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection, so you can ride all day with confidence.
[00:59:23.541 --> 00:59:25.741]  Order yours at gusset.com.
[00:59:26.242 --> 00:59:28.262]  Diamond Gusset Jeans got it.
[00:59:28.602 --> 00:59:29.463]  Others don't.
[00:59:33.931 --> 00:59:35.851]  Waging war on corruption.
[00:59:36.311 --> 00:59:39.152]  Alex Jones on the GCN Radio Network.
[00:59:45.613 --> 00:59:46.253]  Big Brother.
[00:59:46.913 --> 00:59:47.973]  Mainstream media.
[00:59:48.674 --> 00:59:49.994]  Government cover-ups.
[00:59:50.434 --> 00:59:51.254]  You want answers?
[00:59:52.034 --> 00:59:53.014]  Well, so does he.
[00:59:53.414 --> 00:59:57.155]  He's Alex Jones on the GCN Radio Network.
[00:59:57.755 --> 01:00:01.836]  And now, live from Austin, Texas, Alex Jones.
[01:00:08.194 --> 01:00:11.575]  We're fighting as hard as we can to deprogram the public.
[01:00:12.296 --> 01:00:15.497]  Not with our new information, but by simply getting people to question.
[01:00:16.217 --> 01:00:16.998]  And that's happening.
[01:00:17.578 --> 01:00:20.899]  The globalists are still masters at launching the hoax.
[01:00:21.739 --> 01:00:25.341]  And we have undoubtedly seen one of the greatest hoaxes in modern history.
[01:00:26.321 --> 01:00:27.382]  I am going to do a...
[01:00:29.318 --> 01:00:33.422]  Hour of overdrive today because I want to be able to take your phone calls.
[01:00:33.482 --> 01:00:35.044]  Many stations do carry our fourth hour.
[01:00:35.544 --> 01:00:45.033]  For many years I did a fourth hour but now I'm developing this new TV show that's very close to launching and I need that time to get preparation for it every day and do the TV show.
[01:00:46.328 --> 01:00:48.991]  My own private model that it's taken us three years to get to this point.
[01:00:49.032 --> 01:00:51.475]  That's what Glenn Beck's now doing, going with his own TV system.
[01:00:52.316 --> 01:00:53.778]  But we're doing it from the grassroots.
[01:00:54.619 --> 01:01:01.748]  But a lot of days I do do the fourth hour and I'm pulling the trigger on that right now so that we can take your phone calls.
[01:01:01.788 --> 01:01:02.549]  It will be nothing
[01:01:03.450 --> 01:01:10.834]  But phone calls in the fourth hour today, and I will attempt to actually just take one call after the other.
[01:01:10.855 --> 01:01:15.157]  Also, later in the broadcast, we'll get into the unbelievable financial developments.
[01:01:15.177 --> 01:01:16.478]  I'm going to mention some of those in a moment.
[01:01:17.919 --> 01:01:25.203]  We've got James Corbett, a Corbett report coming on from Japan, because I want to get his take as a teacher, a scholar, a TV
[01:01:28.465 --> 01:01:31.027]  Researcher who studies media and propaganda.
[01:01:31.588 --> 01:01:32.909]  I want to get his take on this.
[01:01:33.329 --> 01:01:34.530]  Then we have Owen J.J.
[01:01:34.570 --> 01:01:38.473]  Stone, computer expert and popular technology commentator.
[01:01:38.493 --> 01:01:40.395]  He contacted us and wanted to come on.
[01:01:40.435 --> 01:01:41.456]  He says he's not buying it.
[01:01:42.397 --> 01:01:44.258]  We've got incredible statements by Cindy Sheehan.
[01:01:45.379 --> 01:01:46.420]  Dealing with the propaganda.
[01:01:47.140 --> 01:01:49.641]  Some of her quotes that I want to go over.
[01:01:49.661 --> 01:01:52.042]  I want to get her on the show, too, in the next few days.
[01:01:52.062 --> 01:01:56.965]  I had promised my children that I was going to take them fishing Thursday and Friday.
[01:01:57.285 --> 01:02:00.307]  And every time I try to take a vacation, everybody's noticed this happens.
[01:02:00.367 --> 01:02:02.428]  But I'm going to have Watson
[01:02:03.508 --> 01:02:08.069]  And Aaron Dykes sitting in on Thursday and Friday.
[01:02:08.089 --> 01:02:09.170]  We're going to have Watson and Watson.
[01:02:09.190 --> 01:02:10.370]  We're going to have both Watson brothers.
[01:02:11.270 --> 01:02:12.871]  Steve Watson has a degree in political science.
[01:02:12.891 --> 01:02:13.391]  Great writer.
[01:02:13.411 --> 01:02:15.451]  Of course, Paul, the head honcho over there.
[01:02:15.471 --> 01:02:17.192]  Just a great political mind.
[01:02:17.232 --> 01:02:18.472]  That's why I hired him nine years ago.
[01:02:19.072 --> 01:02:22.193]  Watching him write for years on his own website, Propagandamatrix.com.
[01:02:24.614 --> 01:02:26.795]  They're going to be filling in and I think they're going to do an excellent job.
[01:02:26.815 --> 01:02:27.936]  They'll also take a lot of your calls.
[01:02:27.996 --> 01:02:34.720]  So people that like to call in and folks like to hear callers, that's going to be a great bounty for you Thursday and Friday.
[01:02:34.740 --> 01:02:35.761]  Then I'll be back Sunday.
[01:02:36.741 --> 01:02:40.744]  But I've got to, even though World War III is hurtling towards us,
[01:02:42.406 --> 01:02:50.791]  In a way, I was thinking about canceling, and if stuff continues to blow up or they attack Pakistan, I think it'll take a few weeks of hyping at first, or even months.
[01:02:51.731 --> 01:02:53.392]  Or they could stage a terror attack any time.
[01:02:55.574 --> 01:02:59.736]  All these pieces, the things I see them getting ready for, this signifies big moves.
[01:03:00.317 --> 01:03:02.378]  And you notice the financial stuff's going on in the background.
[01:03:02.638 --> 01:03:07.521]  How many years did we say, when they get ready to finally hammer the dollar, and when it starts plunging, get ready for war.
[01:03:08.081 --> 01:03:10.123]  And I read Rand Corporation documents on Aaron.
[01:03:10.563 --> 01:03:11.604]  Had political scientists.
[01:03:12.284 --> 01:03:13.945]  I had Gerald Cilente on two weeks ago.
[01:03:15.046 --> 01:03:15.747]  That's a good point.
[01:03:15.787 --> 01:03:23.512]  Let's get Gerald Cilente and Paul Craig Roberts to pop in as mini-guests when Watson is here on Thursday and Friday.
[01:03:24.473 --> 01:03:24.933]  And Aaron.
[01:03:25.914 --> 01:03:26.815]  I think that's the answer.
[01:03:27.035 --> 01:03:28.156]  Aaron can interview him too.
[01:03:28.896 --> 01:03:31.438]  Let's just get Cilente on for an hour with Aaron when he sits in.
[01:03:31.878 --> 01:03:32.899]  Watson will be the first half.
[01:03:32.999 --> 01:03:34.160]  Aaron the second half.
[01:03:34.800 --> 01:03:35.781]  We'll get Cilente.
[01:03:35.841 --> 01:03:36.201]  We'll get...
[01:03:37.711 --> 01:03:44.775]  Dr. Paul Greg Robertson, because you heard them in the last two weeks before all this started saying, get ready for war, get ready for some pretext, get ready for something.
[01:03:44.815 --> 01:03:50.798]  And this is a false flag to say Pakistan's involved with Al Qaeda, which of course they are, so is our government.
[01:03:51.839 --> 01:03:54.700]  You heard Gould earlier, he goes, your government's commanding our forces.
[01:03:56.521 --> 01:03:58.162]  So again, it's true, but to a point.
[01:03:58.182 --> 01:04:01.464]  I mean, Pakistan has to deal with these people.
[01:04:02.565 --> 01:04:06.107]  And obviously the CIA knew bin Laden was there, but that's even a lie.
[01:04:06.752 --> 01:04:07.773]  They just had a compound.
[01:04:07.793 --> 01:04:08.794]  They did a staged event.
[01:04:09.214 --> 01:04:10.595]  Probably had the frozen body in there.
[01:04:10.635 --> 01:04:11.936]  Now they're admitting he didn't resist.
[01:04:14.418 --> 01:04:20.323]  Going off how the Russians have done it, how the CIA's been caught, the British would do these things with fake German officers.
[01:04:20.343 --> 01:04:27.849]  You know, they'd use real cadavers and throw them in the ocean and have... They had to throw out a whole bunch of them before the Germans found one with fake codes on it.
[01:04:28.769 --> 01:04:30.170]  It was fake British dead soldiers.
[01:04:30.190 --> 01:04:31.551]  They also had some fake dead German ones.
[01:04:31.992 --> 01:04:35.555]  They probably had the frozen body, got the cadaver in there, shot it up,
[01:04:37.191 --> 01:04:39.112]  These seals are deader than a hammer.
[01:04:39.432 --> 01:04:40.933]  These guys are gonna be killed real quick.
[01:04:40.953 --> 01:04:45.035]  This is Alex Jones with five good reasons you should consider buying a solar-powered generator.
[01:04:45.355 --> 01:04:49.417]  Number one, new climate legislation could easily double or triple your electric bill.
[01:04:49.697 --> 01:04:55.079]  Number two, our new Energy Czar wants to control how much power your electric company allows you to have.
[01:04:55.439 --> 01:04:55.880]  It's true.
[01:04:56.180 --> 01:05:01.605]  Total government control of electricity in the name of smart grid technology is coming.
[01:05:01.886 --> 01:05:05.169]  In some areas of the country, the power grid is dangerously overloaded.
[01:05:05.469 --> 01:05:09.633]  And now, new socialist legislation is only compounding the problem.
[01:05:10.174 --> 01:05:12.556]  Dangerous weather is always a threat to local grids.
[01:05:12.937 --> 01:05:16.280]  Every year, thousands of families lose their power from weather-related outages.
[01:05:17.401 --> 01:05:21.325]  A solar power generator provides powerful backup, insurance, and peace of mind.
[01:05:21.545 --> 01:05:26.330]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[01:05:26.610 --> 01:05:30.634]  You can get more information at www.mysolarbackup.com.
[01:05:30.774 --> 01:05:32.336]  That's mysolarbackup.com.
[01:05:32.556 --> 01:05:37.161]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[01:05:41.707 --> 01:05:43.168]  Hi folks, this is Alex Jones.
[01:05:43.388 --> 01:05:48.432]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[01:05:48.712 --> 01:05:50.053]  Saving means to make money.
[01:05:50.233 --> 01:05:59.020]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[01:05:59.760 --> 01:06:06.867]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[01:06:07.287 --> 01:06:14.914]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[01:06:15.295 --> 01:06:22.702]  If you want something better, if you want something you've never had before, you had to do something you've never done before, getting a free catalog is easy by calling 800-340-7091.
[01:06:25.464 --> 01:06:28.388]  Or see Calvin on the web at FiveStarSoap.com.
[01:06:28.669 --> 01:06:30.852]  Take charge of your health now by calling 800-340-7091.
[01:06:30.872 --> 01:06:33.175]  Or see Calvin on the web at FiveStarSoap.com.
[01:06:41.545 --> 01:06:45.168]  Hundreds of nations have fallen to tyranny in the last century alone.
[01:06:45.568 --> 01:06:48.571]  This is our last chance to not relive history.
[01:06:48.811 --> 01:06:53.595]  As we're finishing off this agenda, they'll be pulling the rug from underneath the Americans at home.
[01:06:53.615 --> 01:06:59.860]  I have tremendous influence on our President and Congress, and they really are calling the shots.
[01:07:00.000 --> 01:07:02.242]  I think it's incumbent upon all of us
[01:07:02.782 --> 01:07:03.062]  Tim Geithner?
[01:07:03.082 --> 01:07:03.503]  Bernanke?
[01:07:03.603 --> 01:07:04.223]  They're arsonists!
[01:07:04.263 --> 01:07:05.524]  They're asking for more matches!
[01:07:05.544 --> 01:07:07.786]  And the Congress is saying, who do we make the check out to?
[01:07:21.676 --> 01:07:23.517]  Today seems like nobody does care.
[01:07:23.818 --> 01:07:28.601]  And right now in Washington, D.C., we have seen a fall of the Republic.
[01:07:28.961 --> 01:07:38.908]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[01:07:41.009 --> 01:07:46.053]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[01:07:46.413 --> 01:07:48.675]  Because there's a war on for your mind.
[01:07:50.666 --> 01:08:13.281]  Well, we just had the former head of Pakistani intelligence who ran the Mujahideen under Ronald Reagan, who Ghul liked and admired and who Reagan commended, on saying that 9-11 is an inside job stage, that CIA is commanding their forces against the Taliban and Al Qaeda in Pakistan.
[01:08:13.321 --> 01:08:14.362]  They've lost 30,000 troops in this fracas.
[01:08:17.655 --> 01:08:23.821]  And that here it is in the middle of a major defense complex with their West Point right down the street.
[01:08:24.842 --> 01:08:34.751]  And that he was supposedly there six years and nobody noticed a six foot four guy including US intelligence and US troops that are crawling all over Pakistan.
[01:08:35.392 --> 01:08:37.274]  And he mentioned the CIA agent.
[01:08:37.294 --> 01:08:38.795]  In fact, print me that article guys.
[01:08:39.836 --> 01:08:41.777]  I want to go off even the Washington Post.
[01:08:41.977 --> 01:08:48.740]  Remember a few weeks ago CIA agent caught with uranium trying to give it to Muslims so they could blame it on the Pakistani government?
[01:08:49.180 --> 01:08:51.281]  Folks, they're framing Pakistan now.
[01:08:51.361 --> 01:08:53.202]  We can't have wars with everybody.
[01:08:54.122 --> 01:08:57.163]  Now all these US senators are calling for bombardments of Syria.
[01:09:00.345 --> 01:09:03.226]  The CIA is admitting that they
[01:09:04.776 --> 01:09:07.838]  Are fomenting the people in the South, the Muslim Brotherhood again?
[01:09:08.498 --> 01:09:13.481]  They put the Muslim Brotherhood in Egypt now, and they're banning any protest.
[01:09:13.821 --> 01:09:15.822]  Now they're using Al-Qaeda against Gaddafi.
[01:09:15.862 --> 01:09:18.724]  You can't make this stuff up!
