[00:00:00.049 --> 00:00:01.230]  More on corruption.
[00:47:55.836 --> 00:47:57.559]  They are the worst of the worst.
[00:47:59.422 --> 00:48:00.705]  And there's no utopia.
[00:48:00.725 --> 00:48:02.328]  A lot of people say, oh, what are you going to do?
[00:48:02.368 --> 00:48:03.289]  The world's always been bad.
[00:48:03.349 --> 00:48:04.852]  No, it hadn't always been like this.
[00:48:06.032 --> 00:48:11.813]  There have been a lot of elites who were in control, but actually wanted to build up society and educate people.
[00:48:12.133 --> 00:48:15.034]  Those have been called golden ages in different societies.
[00:48:15.814 --> 00:48:29.436]  This is people that want a dark age, a technocratic nightmare dark age, where they enjoy all the high-tech systems, and then we, those of us that are allowed to live, live in post-industrial squalor for their power-tripping enjoyment.
[00:48:31.616 --> 00:48:33.317]  And I believe in humanity.
[00:48:33.717 --> 00:48:34.457]  I believe in life.
[00:48:35.464 --> 00:48:40.986]  And so I've got to not even bet myself and my family and my treasure and my sacred honor.
[00:48:41.446 --> 00:48:42.386]  It's not my betting.
[00:48:42.807 --> 00:48:48.128]  I have to make the decision to be on the side of good for my soul.
[00:48:48.649 --> 00:48:53.270]  You can call it your psyche, who you are, what you stand for if you don't believe in spiritual issues.
[00:48:53.290 --> 00:48:58.532]  The point is that the decision is the most important thing.
[00:48:58.932 --> 00:49:00.953]  It's about what's in here, okay?
[00:49:02.253 --> 00:49:04.834]  It's about what's in here, and I have to be an example to others.
[00:49:05.355 --> 00:49:11.778]  I have to face the threats and the things that go on and move forward, just like Ron Paul does.
[00:49:12.838 --> 00:49:19.962]  Because it is in that service to humanity that we build on society and make things better.
[00:49:20.182 --> 00:49:27.966]  There were countless people, who we don't even know their names, of every color and creed before us, who gave everything they had for human dignity.
[00:49:29.551 --> 00:49:33.775]  And we are the brothers and sisters of those people in eternity.
[00:49:34.455 --> 00:49:40.660]  The value of that to my soul is the greatest gift and the ultimate treasure.
[00:49:42.081 --> 00:49:43.602]  To be with the good.
[00:49:44.343 --> 00:49:45.844]  To stand with the light.
[00:49:46.645 --> 00:49:48.286]  To stand in goodness.
[00:49:50.788 --> 00:49:53.350]  In a wicked world where they tell you there is no good or evil.
[00:49:53.631 --> 00:49:54.852]  That is the greatest lie.
[00:49:55.132 --> 00:49:56.653]  To say there isn't good and evil.
[00:49:57.113 --> 00:49:58.975]  To say there isn't that choice and free will.
[00:50:02.648 --> 00:50:04.890]  Alright, look, I've talked for 50 minutes.
[00:50:05.090 --> 00:50:08.292]  I want to give the number out, and I want to get to our top story.
[00:50:08.812 --> 00:50:13.576]  I've mentioned it some, and I hope it's not pearls before swine, because this is so big.
[00:50:14.797 --> 00:50:17.819]  You go to InfoWars.com, exclusive military to designate U.S.
[00:50:17.839 --> 00:50:20.361]  citizens as enemies during collapse, period.
[00:50:20.721 --> 00:50:22.202]  The entire population is the enemy.
[00:50:22.482 --> 00:50:26.205]  Even mainstream news is writing separately how they're preparing for war against the general public.
[00:50:27.577 --> 00:50:32.100]  So the government's help with foreign banks destroy the country, now they're going to pose as the saviors as everything melts down.
[00:50:32.680 --> 00:50:40.646]  FEMA continuity of government plans prep total takeover of society, dispatching military domestically under economic collapse emergency.
[00:50:41.506 --> 00:50:52.073]  And it's set up on the blue slash red contingency operation of the Pentagon, where the United States under NORTHCOM has declared a war zone, as they've already told you, but that all U.S.
[00:50:52.093 --> 00:50:57.257]  citizens are enemies, unless carrying blue, blue team transponders.
[00:50:58.352 --> 00:50:58.576]  Chop!
[00:51:09.212 --> 00:51:13.354]  Burglars love easy targets, like a dark house that looks like no one is home.
[00:51:13.634 --> 00:51:15.736]  Don't let your home be the next target.
[00:51:15.936 --> 00:51:19.438]  Make it look like someone is home watching television with Fake TV.
[00:51:19.838 --> 00:51:26.722]  Fake TV is a small electronic device that makes the same light as a real television, so from outside it looks like someone is home watching TV.
[00:51:26.962 --> 00:51:31.164]  Fake TV plugs in just like a lamp on a timer, but is far more convincing to burglars.
[00:51:31.384 --> 00:51:38.108]  Fake TV deters burglars, costs far less than an alarm, comes with AC adapter, and is highly recommended by numerous police departments.
[00:51:38.388 --> 00:51:39.949]  Use it anytime you're away from home.
[00:51:40.169 --> 00:51:45.951]  To order your fake TV for only $34.95, go to faketv.com or call 1-877-5-FAKE-TV.
[00:51:46.271 --> 00:51:52.213]  Each additional fake TV is only $29.95, so get one for you and give one or more for Christmas.
[00:51:52.473 --> 00:51:55.774]  Now through Christmas, get free standard shipping on any quantity fake TV purchase.
[00:51:55.954 --> 00:52:01.276]  Call 877-5-F-A-K-E-TV or go to faketv.com.
[00:52:01.536 --> 00:52:04.217]  Faketv.com, the burglar deterrent.
[00:52:08.775 --> 00:52:12.817]  Folks, have you lost your power and wanted to simply flip a switch to get the lights back on?
[00:52:13.237 --> 00:52:16.219]  If so, this is going to be the most important message you'll ever hear.
[00:52:16.579 --> 00:52:20.661]  Because there's never been a better time to get ready for the winter power outages ahead.
[00:52:20.981 --> 00:52:21.581]  Here's why.
[00:52:21.982 --> 00:52:27.785]  Solar power generators are now available from our friends at Solutions from Science, one of our oldest sponsors.
[00:52:28.105 --> 00:52:32.587]  Their emergency backup systems provide life-saving electrical power when you need it most.
[00:52:32.967 --> 00:52:39.051]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity from the sun.
[00:52:39.331 --> 00:52:42.954]  It's like having an electric power plant running quietly in your own home.
[00:52:43.194 --> 00:52:48.738]  Whether it's ice storms, brownouts, or blackouts, you'll never have to suffer through painful power outages again.
[00:52:49.138 --> 00:52:54.501]  When the power goes out this winter, you'll be ready with a solar-powered generator from Solutions from Science.
[00:52:54.762 --> 00:52:57.604]  Go to MySolarBackup.com for more information.
[00:52:57.764 --> 00:53:00.025]  That's MySolarBackup.com or call 877-327-0365.
[00:53:05.808 --> 00:53:19.353]  Hey, this is James from the Van Golden State.
[00:53:19.393 --> 00:53:22.955]  There's only one man that can end these wars, and that's Ron Paul.
[00:53:23.415 --> 00:53:28.897]  This Christmas, let's get him to number one on iTunes with our song, Bombs, the Ron Paul song.
[00:53:57.012 --> 00:53:59.474]  Okay, here's the toll-free number to join us in the next hour.
[00:53:59.494 --> 00:54:01.175]  I want to hear from you.
[00:54:16.584 --> 00:54:19.966]  In fact, I want to do this again, but I promise I'm going to get to you quick so you're not going to be on hold.
[00:54:20.367 --> 00:54:24.469]  Police and military in the first ten calls or so, the first few rounds, then everybody.
[00:54:25.130 --> 00:54:33.775]  I want to hear now that you see all this happening, and these open announcements that the government will kill citizens, arrest, now this secret document.
[00:54:35.256 --> 00:54:36.357]  They're now saying it's secret.
[00:54:36.517 --> 00:54:40.280]  It was on the Department of Defense website with a link to it.
[00:54:43.144 --> 00:54:49.587]  And then they pulled it and put a notice saying that it was classified last night.
[00:54:49.647 --> 00:54:52.168]  We have screenshots of all of this and we saved the document.
[00:54:52.528 --> 00:54:53.949]  It's up at InfoWars.com.
[00:54:54.789 --> 00:55:02.973]  Now, Joe Joseph, and I'm getting him on tomorrow because that's the day he can take off early, works in highly classified areas.
[00:55:02.993 --> 00:55:08.415]  He's a former naval veteran, but he works in stuff connected to Space Command.
[00:55:09.679 --> 00:55:13.066]  Man, a bunch of other areas, obviously dealing with satellites, but...
[00:55:14.983 --> 00:55:17.284]  It was his wife kept calling in and saying, look at this, look at that.
[00:55:17.304 --> 00:55:18.745]  And I said, how are you finding this stuff?
[00:55:19.065 --> 00:55:21.786]  She said, well, my husband works at the Department of Defense.
[00:55:21.826 --> 00:55:23.086]  Well, I had him on last night.
[00:55:23.527 --> 00:55:25.427]  His interview, we're going to post it right now.
[00:55:25.447 --> 00:55:26.968]  Aaron's in there posting it right now.
[00:55:27.568 --> 00:55:33.291]  The video interview from the Nightly News is going up in the area that says, exclusive military to designate U.S.
[00:55:33.331 --> 00:55:35.912]  citizens as enemies during collapse, period.
[00:55:35.952 --> 00:55:37.512]  Your wife, your children, all of you.
[00:55:37.852 --> 00:55:39.413]  And we already know that, how they treat us.
[00:55:40.433 --> 00:55:42.514]  That's what the shoving their hands down our pants is about.
[00:55:42.614 --> 00:55:43.755]  It's all about breaking our will.
[00:55:44.807 --> 00:55:47.009]  They have body scanners now in Iraq and other areas.
[00:55:47.590 --> 00:55:50.673]  In Afghanistan, they face scan you, put you through it, search you.
[00:55:51.014 --> 00:55:52.796]  This is total prisoner processing.
[00:55:54.477 --> 00:55:56.660]  So I just want to warn everybody about how real this is.
[00:55:56.700 --> 00:55:58.202]  I want to hear from police and military.
[00:55:58.382 --> 00:55:59.463]  Active duty, current.
[00:55:59.483 --> 00:56:01.145]  800-259-9231.
[00:56:01.165 --> 00:56:01.205]  800-259-9231.
[00:56:07.199 --> 00:56:11.301]  But get this article out to everybody, go read it, go read the documents.
[00:56:12.061 --> 00:56:21.384]  But what's creepy is within an hour of us talking about it on air, before we even had put an article up, they were changing it and erasing stuff, but we already had it saved and we have that original one.
[00:56:21.924 --> 00:56:28.287]  Then they just totally pulled it and put it up saying, Department of Defense employees should not be posting classified things on here.
[00:56:32.188 --> 00:56:33.929]  Implying that that was classified.
[00:56:35.503 --> 00:56:42.176]  The point is, folks, this is where they talk about the government wears transponders and is blue, everybody else is the enemy.
[00:56:42.858 --> 00:56:44.401]  The military mans the camps.
[00:56:44.862 --> 00:56:45.844]  They're activating them.
[00:56:47.165 --> 00:56:50.266]  President Obama just stated that he is going to maintain a policy that he can have any American citizen killed.
[00:57:06.238 --> 00:57:10.720]  Without any charge, without any review, except his own.
[00:57:10.801 --> 00:57:17.404]  If he's satisfied that you are a terrorist, he says that he can kill you anywhere in the world, including the United States.
[00:57:17.444 --> 00:57:21.306]  Two of his aides were just at a panel a couple weeks ago, and they reaffirmed.
[00:57:21.606 --> 00:57:27.169]  They believe that American citizens can be killed on the order of the President anywhere, including the United States.
[00:57:27.730 --> 00:57:30.931]  That has left civil libertarians' heads exploding.
[00:57:31.512 --> 00:57:32.292]  The polls!
[00:57:33.253 --> 00:57:35.494]  We've had three polls in the last year.
[00:57:36.298 --> 00:57:37.979]  Um, and they all show the same thing.
[00:57:38.300 --> 00:57:44.524]  The American people say that they are more afraid of the government than they are outside forces, like terrorists.
[00:57:46.205 --> 00:57:55.692]  Well, that's because the American people, yeah, even the most hardcore liberals are now buying guns in these big studies that he was just mentioning that we posted last week at InfoWars and Prison Planet.
[00:57:56.352 --> 00:58:00.876]  Even the liberals are buying guns and now say they're more afraid of big government than big business.
[00:58:01.741 --> 00:58:04.304]  Now, you have to understand, big business runs the big government.
[00:58:04.965 --> 00:58:06.807]  The Republican leadership will not tell you that.
[00:58:06.827 --> 00:58:08.889]  That's the big, dirty secret.
[00:58:09.269 --> 00:58:14.675]  It's mega-corporations against the free market, using government power to get the job done.
[00:58:15.433 --> 00:58:16.293]  Oldest trick in the book.
[00:58:16.373 --> 00:58:17.294]  John D. Rockefeller.
[00:58:17.654 --> 00:58:18.514]  Competitions of Sin.
[00:58:18.534 --> 00:58:20.675]  We're coming back with your phone calls.
[00:58:20.895 --> 00:58:24.996]  They keep getting mad at me because I never plug this and it's important to the fight.
[00:58:25.737 --> 00:58:27.457]  We are running the 15-day free trial again.
[00:58:27.477 --> 00:58:30.618]  It was so popular with the nightly news at PrisonPlanet.TV.
[00:58:30.758 --> 00:58:31.418]  All the films.
[00:58:31.618 --> 00:58:33.219]  Nine years up there in April.
[00:58:33.299 --> 00:58:34.860]  Everything at PrisonPlanet.TV.
[00:58:35.540 --> 00:58:37.921]  It's a great way to still give the gift, too.
[00:58:38.181 --> 00:58:43.102]  You can go sign up and give it as an e-card to friends and family for this Christmas.
[00:58:43.142 --> 00:58:44.503]  The Gift of Truth at InfoWars.com.
[00:58:48.971 --> 00:58:52.973]  This is GCN, the Genesis Communications Radio Network.
[00:58:57.374 --> 00:59:11.840]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:59:12.840 --> 00:59:16.522]  My name is Mario Cifaldi, and I'm the developer of the Silver Lungs Generator.
[00:59:17.526 --> 00:59:29.538]  Not only does the Silver Lung System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:59:30.298 --> 00:59:37.565]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:59:38.246 --> 00:59:47.833]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:59:48.614 --> 00:59:51.876]  As well, we are always ready to answer any questions you may have.
[00:59:52.537 --> 00:59:55.739]  That's www.SilverLungs.com.
[00:59:59.362 --> 01:00:01.283]  Waging war on corruption.
[01:00:01.744 --> 01:00:04.506]  Alex Jones on the GCM Radio Network.
[01:00:11.141 --> 01:00:15.302]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:15.963 --> 01:00:16.783]  You want answers?
[01:00:17.543 --> 01:00:18.483]  Well, so does he.
[01:00:19.104 --> 01:00:22.705]  He's Alex Jones on the GCN Radio Network.
[01:00:23.285 --> 01:00:27.386]  And now, live from Austin, Texas, Alex Jones.
[01:00:28.066 --> 01:00:35.789]  Alright, we're now into hour number two, and I want to open the phones up as we've been doing it once a week or so in the last month for active duty police, military,
[01:00:38.783 --> 01:00:43.984]  But also, if you just retired or you're the wife of a police officer or husband, whatever, I want your view.
[01:00:44.565 --> 01:00:46.085]  I'll ask for judges to call in.
[01:00:46.105 --> 01:00:48.106]  I know there's a lot of judges even here in town that listen.
[01:00:48.466 --> 01:00:49.206]  I've talked to some of them.
[01:00:49.226 --> 01:00:52.007]  They're pretty freaked out about all of this.
[01:00:52.867 --> 01:00:57.808]  What do you think of the government saying, we'll kill citizens, not just secretly arrest you and the president's a dictator?
[01:00:58.129 --> 01:00:59.369]  Doesn't mean he won't leave office.
[01:00:59.409 --> 01:01:02.710]  The office has been turned into a dictatorial post of the elite.
[01:01:04.255 --> 01:01:05.236]  1-800-259-9231, 800-259-9231.
[01:01:06.537 --> 01:01:13.141]  Open phones for police and military right now.
[01:01:13.602 --> 01:01:16.224]  And I'll get more into this exclusive military to designate U.S.
[01:01:16.244 --> 01:01:17.785]  citizens as enemies during collapse.
[01:01:18.525 --> 01:01:21.587]  And it confirms the Pentagon to run the FEMA camps against U.S.
[01:01:21.627 --> 01:01:24.629]  citizens, that it's military, domestically.
[01:01:24.649 --> 01:01:26.651]  Then we've got other crazy articles.
[01:01:27.111 --> 01:01:29.773]  Flashpoint, Falcons, Britain's talking about a new war again.
[01:01:31.305 --> 01:01:32.586]  With Argentina and Brazil.
[01:01:33.167 --> 01:01:34.808]  IBM predicts mind-reading machines.
[01:01:35.649 --> 01:01:39.492]  I've got another report here of a whole bunch of Stinger missiles going to China.
[01:01:40.053 --> 01:01:41.474]  Things are crazy.
[01:01:41.834 --> 01:01:43.516]  In a ship they caught in Europe.
[01:01:44.136 --> 01:01:46.018]  A bunch on Ron Paul, how they're coming after him.
[01:01:46.038 --> 01:01:47.259]  I haven't even gotten into that yet.
[01:01:47.600 --> 01:01:54.386]  But Rinaldo, who is a current police officer somewhere in New York.
[01:01:54.426 --> 01:01:55.567]  Rinaldo, thanks for calling in.
[01:01:55.587 --> 01:01:56.568]  What's your view on all this?
[01:01:58.252 --> 01:02:01.737]  I'm very shocked, well I'm not shocked at what's going on.
[01:02:01.817 --> 01:02:08.305]  I've been listening to you for years and it's just a shock to see everything taking place as the way you said it.
[01:02:08.806 --> 01:02:15.114]  You know, and I remember I seen you years ago when you were in New York and then I started doing research on you.
[01:02:15.634 --> 01:02:16.856]  I seen everything you said.
[01:02:17.876 --> 01:02:18.956]  It's come to pass now.
[01:02:19.317 --> 01:02:21.517]  As they say, the chicken is coming on the roof.
[01:02:21.838 --> 01:02:24.659]  And it's like the public is just brain dead.
[01:02:24.699 --> 01:02:29.721]  You know, I try to talk to my co-workers, and you know, some of them listen, and some of them don't.
[01:02:30.001 --> 01:02:33.382]  And it's just sad, you know, the state that we're heading here in this nation.
[01:02:34.202 --> 01:02:38.104]  Well, I tell you, New York City is going to be a scary place to be in a total collapse.
[01:02:40.961 --> 01:02:41.622]  Well, you know what?
[01:02:42.622 --> 01:02:43.543]  I'll tell you this, Alex.
[01:02:43.744 --> 01:02:52.152]  Some of my co-workers kind of know something is going on, and a lot of them are getting their guns and food, you know, ready for what's going to go on.
[01:02:52.312 --> 01:02:58.078]  You know, and I've been doing that already, you know, so I wouldn't be surprised if it looks like New Orleans here.
[01:02:58.098 --> 01:03:00.100]  I hope not.
[01:03:00.120 --> 01:03:04.344]  I mean, the colleagues that are waking up, what are they saying?
[01:03:06.408 --> 01:03:07.168]  Oh, well, you know what?
[01:03:07.208 --> 01:03:19.854]  They feel that something's not right, you know, as far as, like, the way the economy, just everything is going on, but they just can't, you know, put two and two together, that everything is, you know, being, we're being directed, like you said, into this.
[01:03:20.572 --> 01:03:21.373]  Well, God bless them then.
[01:03:21.393 --> 01:03:25.716]  That's good because I would not want the job the police are going to have in this situation.
[01:03:25.736 --> 01:03:28.879]  Again, there's a good chance because we got the jump on the globalist.
[01:03:44.272 --> 01:03:46.394]  That a lot of this isn't going to go the way they want.
[01:03:46.434 --> 01:03:50.797]  The problem is, it's like a big war machine, a juggernaut, a big engine.
[01:03:50.837 --> 01:03:54.499]  They've turned it loose and I don't think they can even stop it now, so...
[01:03:56.127 --> 01:03:59.029]  It is going to be a very interesting time to be alive.
[01:03:59.569 --> 01:04:03.731]  I got news here where they're saying they're going to hit Iran soon, that Obama's behind it.
[01:04:03.771 --> 01:04:05.232]  The Israeli press is saying that.
[01:04:06.273 --> 01:04:16.058]  And the globalists aren't just going to try to take over domestically without launching a war, because they know that people at a primitive level tend to rally around the government, even if it's run by criminals.
[01:04:17.158 --> 01:04:18.319]  I mean, look what happened in Germany.
[01:04:18.819 --> 01:04:22.341]  I mean, Hitler wasn't very popular the last four or five years, but he had them in a big war.
[01:04:23.062 --> 01:04:25.123]  And so 20 million Germans died.
[01:04:26.089 --> 01:04:27.690]  I mean, there were only 60-something million.
[01:04:28.191 --> 01:04:29.012]  Think of that.
[01:04:29.132 --> 01:04:31.654]  Think of what following orders got them into.
[01:04:34.376 --> 01:04:35.177]  Exactly, Alex.
[01:04:35.237 --> 01:04:42.383]  And I've been telling my, just telling people in general just about, you know, we need to make sure that this war does not happen.
[01:04:42.863 --> 01:04:45.265]  You know, or else it's going to lead to World War III.
[01:04:45.566 --> 01:04:46.787]  That's the last thing we need.
[01:04:46.807 --> 01:04:49.329]  And that's why I'm telling everybody to vote for Ron Paul.
[01:04:49.729 --> 01:04:51.511]  I've been pushing, you know, out that message.
[01:04:52.128 --> 01:04:53.230]  Well, God bless you, sir.
[01:04:53.630 --> 01:04:54.512]  I appreciate you calling.
[01:04:54.572 --> 01:04:56.334]  Anything else you wanted to add, Rinaldo?
[01:04:56.354 --> 01:05:01.782]  Um, first of all, one thing about the racist thing around Paul, I remind you... Stay there, stay there.
[01:05:01.802 --> 01:05:02.403]  We gotta go to break.
[01:05:02.423 --> 01:05:03.224]  Stay right there, Rinaldo.
[01:05:03.244 --> 01:05:03.945]  We'll be right back to you.
[01:05:06.448 --> 01:05:07.649]  Hi, this is Alex Jones.
[01:05:08.050 --> 01:05:13.856]  This holiday season, more than half of our nation is in need of help due to the shattered economy.
[01:05:14.356 --> 01:05:17.960]  So now is the time to express the holiday spirit more than ever.
[01:05:18.380 --> 01:05:21.563]  Consider helping those you love with the most important gift.
[01:05:21.964 --> 01:05:24.066]  A supply of delicious, easy to fix
[01:05:24.886 --> 01:05:27.607]  Call eFoods today at 800-409-5633 or visit them online
[01:05:52.438 --> 01:05:55.759]  When you're out on the road, the last place you want to be is on the road.
[01:05:55.779 --> 01:05:59.059]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[01:05:59.119 --> 01:06:01.480]  There's a place down in Tennessee
[01:06:22.537 --> 01:06:33.393]  Well they make blue diamond gusset jeans They sew pride in every stitch Guarantee you love the way they fit
[01:06:35.558 --> 01:06:39.559]  They put a Diamond Gusset in the crotch where you need it most.
[01:06:40.279 --> 01:06:43.380]  Blue Diamond Gussets got it.
[01:06:44.120 --> 01:06:44.940]  Others don't.
[01:06:45.360 --> 01:06:47.240]  We turn jeans inside out.
[01:06:47.500 --> 01:06:49.001]  Diamond Gusset Jeans.
[01:06:49.281 --> 01:06:51.841]  Made in the USA with unparalleled quality.
[01:06:52.161 --> 01:06:58.423]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection so you can ride all day with confidence.
[01:06:58.783 --> 01:07:01.003]  Order yours at gusset.com.
[01:07:01.483 --> 01:07:03.524]  Diamond Gusset Jeans got it.
[01:07:03.864 --> 01:07:04.724]  Others don't.
[01:07:06.485 --> 01:07:09.288]  You may be arrested and or subject to other police action.
[01:07:10.089 --> 01:07:11.049]  Tyranny is here.
[01:07:11.370 --> 01:07:14.893]  The grim future foretold in 1984 has become reality.
[01:07:14.913 --> 01:07:17.516]  It really says that the state is God.
[01:07:17.536 --> 01:07:22.981]  The United States is now recognized globally as one of the most oppressive police states on earth.
[01:07:23.401 --> 01:07:29.627]  This film conclusively proves the existence of a secret network of FEMA camps now being expanded nationwide.
[01:07:30.047 --> 01:07:35.611]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[01:07:36.031 --> 01:07:39.694]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[01:07:40.214 --> 01:07:44.257]  Prepare to enter the secretive world of emergency dictatorship.
[01:07:44.497 --> 01:07:50.021]  Body scanners, sound cannons, citizen spies, stage terror and cameras on every street corner.
[01:07:50.441 --> 01:07:53.404]  It's only the beginning of the New World Order's hellish plan.
[01:07:54.004 --> 01:07:55.445]  The police state isn't coming.
[01:07:55.985 --> 01:07:56.406]  It's here.
[01:07:57.086 --> 01:08:03.573]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[01:08:16.741 --> 01:08:20.924]  We are now into hour number two on this Thursday, 22nd day of December 2011.
[01:08:22.065 --> 01:08:23.506]  Only eight days or so left.
[01:08:23.767 --> 01:08:33.775]  It'll be 2012 time as the globalists openly try to establish world government based on an anti-human eugenics or Nazi type situation.
[01:08:34.878 --> 01:08:37.320]  Uh, Freeman, Matt, Mike, Perry and others, you're coming up.
[01:08:37.360 --> 01:08:52.934]  A lot of times when I open the phones up for police and military, uh, active duty or currently serving, I say, you know, I want to hear what you think about this legislation to arrest citizens we've covered in the last month and let the military engage in domestic operations and even kill citizens outside of law or charges.
[01:08:53.735 --> 01:08:54.916]  And normally the phones load up.
[01:08:54.936 --> 01:08:57.939]  We got one police officer from New York City to call in.
[01:08:58.439 --> 01:09:00.441]  He was almost the last segment of you just joined us.
[01:09:01.201 --> 01:09:04.584]  And he said some of the other peace officers are waking up.
[01:09:04.624 --> 01:09:13.031]  They are know that a big collapse is obviously a serious probability now from being a possibility to a probability.
[01:09:13.091 --> 01:09:15.193]  Unfortunately, we're in a depression undoubtedly.
[01:09:15.834 --> 01:09:17.675]  It's just incrementally getting worse.
[01:09:18.616 --> 01:09:18.816]  But
[01:09:20.385 --> 01:09:41.754]  If you just joined us, we also have been talking about this new document that was pointed out to us on the federal bid website, you know, .gov site, saying, you know, military to run the camps, to take over all of society, to take over local government, government will wear transponders, that they're blue friendlies, everyone else is an enemy.
[01:09:43.655 --> 01:09:46.876]  And I had the Department of Defense whistleblower on who pointed it out to us.
[01:09:46.936 --> 01:09:49.217]  Now, an hour after we linked to it,
[01:09:50.925 --> 01:09:51.585]  It was pulled.
[01:09:51.785 --> 01:09:54.826]  When I mentioned it on air, they started changing it and removing stuff.
[01:09:54.846 --> 01:09:55.626]  We'd already saved it.
[01:09:56.386 --> 01:09:57.667]  But a lot of the key stuff was still there.
[01:09:57.927 --> 01:10:05.588]  Then they just pulled it and said, you know, Department of Defense employees are not supposed to, remember, do not post classified material, implying it was classified.
[01:10:05.868 --> 01:10:08.529]  But we have it saved up at InfoWars.com.
[01:10:08.549 --> 01:10:11.630]  And there's other files of it online as well.
[01:10:12.810 --> 01:10:15.351]  And we also put it up on a Flickr account, images of it.
[01:10:17.671 --> 01:10:18.312]  It's all there.
[01:10:18.512 --> 01:10:21.514]  And we've also found some other versions of it, People Save, so we're going to link to those.
[01:10:21.554 --> 01:10:22.555]  I meant to tell Aaron to do that.
[01:10:23.396 --> 01:10:27.819]  But going back, Rinaldo wanted to bring up the Ron Paul thing, and I was going to get to that later.
[01:10:28.880 --> 01:10:30.301]  They're bringing up newsletters.
[01:10:31.482 --> 01:10:34.024]  This is a controversy since he ran for Congress.
[01:10:34.144 --> 01:10:37.988]  He was in one term back in the 80s, lost because he was a Libertarian member.
[01:10:38.508 --> 01:10:40.330]  Then he got in as a Republican in, what, 96.
[01:10:40.830 --> 01:10:41.691]  I supported him.
[01:10:42.091 --> 01:10:43.792]  I mean, I interviewed him when he was campaigning in 96.
[01:10:46.049 --> 01:10:48.930]  And so I've been interviewing Ron Paul for almost 17 years.
[01:10:49.670 --> 01:10:51.611]  Because his district used to come right up into Austin.
[01:10:51.631 --> 01:10:56.172]  But I'm going to go to our guest, he wanted to, or our guest caller, I wanted to just point this out.
[01:10:56.192 --> 01:10:58.853]  Because I'm not an apologist for anybody.
[01:11:00.254 --> 01:11:05.115]  Ron Paul put, back then, newsletters were the hottest thing in the world.
[01:11:05.155 --> 01:11:05.816]  They're still hot.
[01:11:07.156 --> 01:11:08.876]  But political newsletters were churned out.
[01:11:08.896 --> 01:11:10.897]  And at one time, by 92, he had 14 newsletters
[01:11:15.879 --> 01:11:16.619]  Under his name.
[01:11:17.400 --> 01:11:22.201]  And I remember learning later why he fired some people, and no one knew this, and I probably shouldn't talk about it.
[01:11:22.842 --> 01:11:28.324]  He ended up firing a whole group of people that worked for him because of it, before it was ever an issue.
[01:11:28.564 --> 01:11:36.546]  When he was first in Congress in the 80s, and this is on record, you can go look it up, he voted for the Martin Luther King Day, the only time he's voted for something that's unconstitutional.
[01:11:36.807 --> 01:11:37.347]  He's on record.
[01:11:37.607 --> 01:11:40.228]  Because it is unconstitutional just to have, quote, days for a person.
[01:11:40.748 --> 01:11:42.210]  That's not in the Constitution, but he did it.
[01:11:42.690 --> 01:11:43.651]  And he said that's the one time.
[01:11:44.011 --> 01:11:48.856]  He admires him for standing up for what he believed in and fighting corruption and the power of liberty.
[01:11:49.177 --> 01:11:50.058]  That's what Ron Paul's into.
[01:11:50.098 --> 01:11:50.658]  He's always been.
[01:11:50.899 --> 01:11:52.760]  You can pull him up on Morton Downey Jr.
[01:11:52.841 --> 01:11:57.425]  in the 80s talking about stuff like this and AIDS being manufactured to kill black people.
[01:11:57.726 --> 01:11:58.667]  Somebody who wants to...
[01:12:00.768 --> 01:12:04.712]  He's racist towards black people but doesn't want the HIV put in the vaccines to kill them.
[01:12:05.393 --> 01:12:11.759]  And so, yeah, there's some stuff like, yeah, you know, they'll stop, you know, the black folks in LA will stop rioting when the welfare check gets there.
[01:12:12.840 --> 01:12:14.622]  Well, I mean, that is what dependency does.
[01:12:14.982 --> 01:12:18.966]  And I don't, Ron Paul says he didn't write that particular one because it'd be like JonesReport.com.
[01:12:20.745 --> 01:12:24.047]  And I've had a lot of articles written, probably 95% of it I haven't written.
[01:12:24.367 --> 01:12:33.673]  I mean, you just pick through it, 14 different newsletters simultaneously being published, and one was a special supplement edition that on record he didn't write.
[01:12:33.693 --> 01:12:34.954]  And they go, well, but your name's on it.
[01:12:35.194 --> 01:12:36.875]  Yeah, at the top, Ron Paul report.
[01:12:38.296 --> 01:12:39.156]  So that's what goes on.
[01:12:39.176 --> 01:12:44.739]  So Ron Paul fired people back whenever he noticed this had became an issue in the mid-90s.
