[00:00:22.591 --> 00:00:26.354]  Welcome, ladies and gentlemen, to another edition of InfoWars Nightly News.
[00:32:06.690 --> 00:32:12.456]  And he kept his data, he's got a great box of data, talking about all of these experimentations.
[00:32:13.217 --> 00:32:22.348]  And what they concluded was that A, extrasensory perceptions, these odd little things that people could do, were real.
[00:32:23.294 --> 00:32:28.597]  Not in all instances, but in enough instances to cause them some alarm, military planners.
[00:32:29.057 --> 00:32:38.861]  Because what also they discovered is that human beings generally have these innate capabilities that we used to call extrasensory perception.
[00:32:39.262 --> 00:32:41.263]  Some have referred to as gifts of the spirit.
[00:32:41.643 --> 00:32:43.404]  They come by a lot of different names.
[00:32:44.124 --> 00:32:47.706]  But what they are is natural attributes of what human beings are.
[00:32:48.026 --> 00:32:50.167]  We're created in the image of a creator.
[00:32:51.021 --> 00:32:53.103]  That means more than how we look.
[00:32:53.703 --> 00:32:55.725]  It has to do with what we are.
[00:32:56.465 --> 00:33:00.268]  And what we are are very capable individuals.
[00:33:00.369 --> 00:33:12.739]  But in order to reach those higher capabilities, in order to reach those higher states of awareness, in order to actualize your full potential as a human being, you have to be able to slow the mind.
[00:33:13.419 --> 00:33:23.486]  You have to be able to create a situation where the mind, if you were to look at it with an EEG and look at the brain activity, you get very coherent, very rhythmic patterns.
[00:33:23.886 --> 00:33:28.109]  The kind associated with the emotions of love and empathy and compassion.
[00:33:28.549 --> 00:33:29.970]  Same kind of patterns show up.
[00:33:30.491 --> 00:33:35.354]  Higher ordered thinking is associated with these coherent patterns, these rhythmic patterns.
[00:33:36.226 --> 00:33:49.098]  Fear, flight, responses, anger, hate, you get incoherent patterns all over the map at a higher amplitude, at a higher pulse rate, that indicate agitation, confusion, inability to think.
[00:33:49.818 --> 00:34:01.529]  What we do know is that in states of fear, worry and anxiety, you cannot, you cannot ever reach your higher capacity as a human being.
[00:34:02.594 --> 00:34:13.376]  So the easiest mind control technique, keep people in a state of fear and worry and agitation and we're defeated before the first volley is fired.
[00:34:14.705 --> 00:34:16.748]  That's not what we need to be about.
[00:34:17.449 --> 00:34:32.487]  You know, when you think about it, when you're walking confidently, consciously doing what you know you're capable of doing, how empowering it is to step into each act that you take on as a human being in a productive and meaningful way,
[00:34:33.408 --> 00:34:46.502]  Without fear, without worry, it's when your mind falls into what some call that zone that the athlete knows, and the artist knows, and every one of us knows, in those instances where those sparks of creativity come through.
[00:34:47.223 --> 00:34:49.925]  That is our normal state of consciousness.
[00:34:50.406 --> 00:34:56.472]  If you were to look at it in the lower range of the alpha range, where you are in that most creative mindset,
[00:34:57.153 --> 00:35:01.796]  You'd be between 7 and 8, 7 and 9 hertz, pulses per second.
[00:35:02.256 --> 00:35:08.040]  The planet naturally oscillates at 7.83 hertz, pulses per second.
[00:35:08.701 --> 00:35:09.822]  Isn't that interesting?
[00:35:10.342 --> 00:35:17.127]  Correlates perfectly with the ideal state for awake, conscious living, when you're awake.
[00:35:18.484 --> 00:35:36.676]  And yet the fields that we surround ourselves with in this room right now, in every room where everyone's watching this because the power grid is operating at 60 Hertz, 60 pulses per second, an agitating signal all the time in our background noise, if you will, our noise.
[00:35:37.256 --> 00:35:47.043]  Because think about it, in a crowded room all the noise you hear and you're having a conversation with your friend, and you block out all that background noise.
[00:35:47.563 --> 00:35:49.584]  We do the same thing with electromagnetic fields.
[00:35:49.604 --> 00:35:50.785]  I'll tell you when you notice it.
[00:35:51.606 --> 00:35:53.587]  I couldn't use this analogy in Germany.
[00:35:53.667 --> 00:35:55.168]  I'll tell you why in a minute.
[00:35:55.929 --> 00:36:02.833]  But think about when the power fails in your community, when the power goes out, completely goes out, the power grid's down.
[00:36:02.873 --> 00:36:06.155]  Now everybody remembers it, given all the winter storm activity.
[00:36:06.996 --> 00:36:13.900]  And the first thing you notice, how quiet it is, because the refrigerator's not humming along, the air conditioner or the heaters aren't blowing air around.
[00:36:14.841 --> 00:36:21.589]  The second thing you notice is how your whole body exhales as you relax.
[00:36:22.150 --> 00:36:34.384]  Same feeling when you come in from a hard day of work and you're wearing your insulated soles on your shoes and the first thing you do is you kick them off and you come back into ground with the pulse rate of the planet and you relax.
[00:36:36.209 --> 00:36:39.212]  That relaxation is the silence.
[00:36:39.232 --> 00:36:42.574]  Do you know what the sound of being born into an explosion is?
[00:36:43.555 --> 00:36:44.136]  Silence.
[00:36:44.856 --> 00:36:49.240]  We're living in that explosion, in the fields that surround us every moment of every day.
[00:36:49.740 --> 00:36:57.707]  When I used that analogy this last year in Stuttgart, everybody looked at me like I was crazy when I said, you know, when the power fails.
[00:36:58.788 --> 00:37:01.230]  It never fails in Germany.
[00:37:02.253 --> 00:37:07.916]  People with gray hair never remember a power failure since World War II ended.
[00:37:08.576 --> 00:37:08.976]  You know?
[00:37:09.437 --> 00:37:12.238]  I mean, we don't even think about that.
[00:37:12.258 --> 00:37:14.539]  I mean, you're talking about the contrast in technology.
[00:37:14.599 --> 00:37:16.320]  I can't even use the same analogy in Europe.
[00:37:16.340 --> 00:37:17.281]  It just doesn't make sense.
[00:37:17.981 --> 00:37:20.182]  Because our technology happens to run smoother.
[00:37:20.202 --> 00:37:23.804]  And we invented the power grid for all practical purposes.
[00:37:24.898 --> 00:37:32.751]  But again, I say it humorously, but at the same time recognizing under all this are these very real effects that we have to recognize.
[00:37:32.771 --> 00:37:35.155]  So how do you learn how to control
[00:37:36.198 --> 00:37:42.322]  You know, people ask me all the time, you know, you talk about a lot of technologies generate a lot of concern, some levels of anxiety.
[00:37:42.362 --> 00:37:43.442]  That's not my intention.
[00:37:43.482 --> 00:37:50.066]  My intention is to inform so we can begin to think about this stuff in a productive, constructive way and how we address it.
[00:37:50.507 --> 00:38:02.414]  But more importantly, the more important part of this message and anything that I've said in the last couple of days is about the fact that we are more than we think we are.
[00:38:02.754 --> 00:38:04.156]  There are no small things.
[00:38:04.196 --> 00:38:06.299]  There's only things that are undone.
[00:38:07.220 --> 00:38:09.443]  Each thing that we do as individuals matters.
[00:38:10.104 --> 00:38:10.986]  It matters a lot.
[00:38:11.386 --> 00:38:13.689]  More than you might even realize or recognize.
[00:38:13.729 --> 00:38:14.971]  And there are no small things.
[00:38:15.011 --> 00:38:19.257]  And what I do versus what you do, it's not a size issue.
[00:38:20.447 --> 00:38:22.089]  It's getting the work done.
[00:38:22.329 --> 00:38:26.753]  All of us have a sphere of influence and we need to assert ourselves in that sphere of influence.
[00:38:26.833 --> 00:38:31.798]  What that means is, it might mean that we have a conversation with our family or our close friends.
[00:38:31.898 --> 00:38:34.000]  We don't feel any anxiety having done that.
[00:38:34.881 --> 00:38:37.983]  When the anxiety creeps in, back off!
[00:38:38.717 --> 00:38:40.118]  Think about what you're doing.
[00:38:40.638 --> 00:38:45.281]  It should be like breathing if you're working outside of fear and outside of worry.
[00:38:45.321 --> 00:38:49.444]  And you're working in a way that is possible, where you acknowledge it's possible.
[00:38:50.064 --> 00:38:54.387]  Do what you know you can do to further your version and your view of the truth.
[00:38:54.848 --> 00:38:56.329]  And do it in a respectful way.
[00:38:57.129 --> 00:38:58.270]  And do it with confidence.
[00:38:58.750 --> 00:39:00.732]  And don't lift the burden if it's too heavy.
[00:39:00.772 --> 00:39:02.533]  There's someone else that'll lift it for you.
[00:39:03.073 --> 00:39:03.894]  Or lift it with you.
[00:39:04.554 --> 00:39:05.655]  But do something.
[00:39:06.992 --> 00:39:21.363]  in favor of what you believe to be right and true whether it's on any of the issues we've covered today or on some other issue but something that you care about and recognize there's a billion other people doing the same thing and we're not waiting for an organization to form we're already standing in it.
[00:39:21.844 --> 00:39:22.824]  It's called the human race.
[00:39:23.625 --> 00:39:24.426]  Participate in it.
[00:39:25.100 --> 00:39:38.694]  Be what you were created to be, and assert yourself in the world today by effecting change, by direct action, in a respectful and rational way, and without fear and without worry, because that is the zone in which things can happen.
[00:39:39.134 --> 00:39:44.960]  Fear is the adversary, it has always been the adversary, and it's the easiest method of controlling human behavior.
[00:39:54.804 --> 00:40:04.835]  When you think of the whole 1984 scenarios, which I think are here now, I mean certainly are here now, on steroids, those guys are rolling over in their grave because it's a lot worse than they thought.
[00:40:05.656 --> 00:40:14.425]  Huxley, you know, he wrote Brave New World, and the essay most people missed of his was one of the very last ones he wrote, which was Brave New World Revisited.
[00:40:14.966 --> 00:40:20.629]  When he went back and sort of looked at it and said, oh no, it's 40 years ahead of where I thought it was.
[00:40:20.689 --> 00:40:24.732]  Now this is in the late 1950s and I think he died in 62 or 63.
[00:40:25.172 --> 00:40:32.216]  So the very end of his life and the things that are most important to read aren't what somebody wrote early in their career, it's what they wrote at the end.
[00:40:32.776 --> 00:40:34.137]  Sort of how they evaluate.
[00:40:34.157 --> 00:40:39.100]  You know, when I look at studying someone's work, I start with the last thing they wrote.
[00:40:39.560 --> 00:40:40.861]  And work my way backwards.
[00:40:40.881 --> 00:40:42.962]  Because there's the pinnacle of their knowledge.
[00:40:43.383 --> 00:40:56.352]  And Huxley's pinnacle of the knowledge was the last warning, the last shout in the movie theater saying, hey, it's 40 years ahead of the game, and it probably isn't going to be chemistry that does it.
[00:40:57.125 --> 00:41:00.706]  It's going to be something else, and it's the electronics of this century.
[00:41:01.106 --> 00:41:04.768]  It's the tools that we've been talking about misapplied to the population.
[00:41:05.348 --> 00:41:14.411]  Those are the things that are causing Huxley today to roll over in his grave, because even that warning was 40 years too old.
[00:41:15.012 --> 00:41:21.214]  I mean, that warning in the late 50s, and his conclusion then, was nothing.
[00:41:22.017 --> 00:41:27.441]  compared to what has emerged in the 21st century and what came out of the last of the last century.
[00:41:28.081 --> 00:41:35.847]  This technology to change not just our emotional states but the way we perceive the world is already exists on the planet.
[00:41:36.387 --> 00:41:39.750]  New breakthroughs are being anticipated by military planners.
[00:41:40.050 --> 00:41:48.997]  This last year, 2010, DARPA let two contracts, University of California, for developing methods and means for creating electronic telepathy.
[00:41:49.557 --> 00:41:58.422]  Where we can electronically transfer thoughts into the mind of another person in a way that they cannot distinguish the artificial from their own.
[00:41:58.883 --> 00:42:01.884]  Now think about that in the 21st century.
[00:42:02.184 --> 00:42:11.330]  If you can create a complete memory set, one of the stated goals of Air Force planners, to complete a complete memory set that you cannot distinguish the real from the fiction.
[00:42:13.174 --> 00:42:17.879]  Is that the witness you want on your trial in the courts of the 21st century?
[00:42:18.519 --> 00:42:23.604]  The guy who can swear by that memory, and yet that memory is as false as a $3 bill.
[00:42:25.717 --> 00:42:27.558]  That's the technology of this century.
[00:42:27.578 --> 00:42:35.883]  It'll challenge the very institutions that we depend on for justice, for liberty, for freedom, synthetic memory.
[00:42:36.203 --> 00:42:43.187]  It's being even played off in terms of Gulf War syndrome and in terms of the shock that people come out of the war with.
[00:42:43.527 --> 00:42:45.688]  You know, the shock, the fear, the memories,
[00:42:47.389 --> 00:42:51.416]  Post Traumatic Stress Syndrome that boils out of these war efforts.
[00:42:51.817 --> 00:42:53.059]  And so what are we hearing about?
[00:42:53.400 --> 00:42:58.248]  Ways to wipe the memory clean so people can forget all those bad experiences.
[00:42:59.210 --> 00:43:00.332]  Do they really go away?
[00:43:01.127 --> 00:43:08.755]  Or do they just get driven deeper into the subconscious where they do their real work at breaking down the consciousness of a human being?
[00:43:09.235 --> 00:43:12.979]  Where they can't get played out, they can't get worked out, they get suppressed.
[00:43:13.419 --> 00:43:19.145]  And suppressed conflicting ideas are the root to a lot of the psychosis we see in the world today.
[00:43:20.020 --> 00:43:22.242]  This is the solution to military planners.
[00:43:22.622 --> 00:43:26.745]  Wipe out the memory of the gladiator so they don't know what they did.
[00:43:27.445 --> 00:43:31.428]  And somehow that will excuse the behavior and save that person's soul.
[00:43:32.229 --> 00:43:32.849]  No, it won't.
[00:43:33.650 --> 00:43:34.951]  It'll mask the pain.
[00:43:35.632 --> 00:43:36.152]  We're good to go.
[00:44:00.134 --> 00:44:05.738]  Instead of bearing because now we have a technology that can mask the behavior of our troops in combat?
[00:44:06.659 --> 00:44:07.700]  That's not the answer.
[00:44:09.461 --> 00:44:26.335]  In the past wars, the wars that our fathers fought and our grandfathers fought, when they returned from battle, the stench of death was still in their noses and they worked hard to avoid wars in future wars to save the next generation from experiencing the same trauma they did.
[00:44:27.611 --> 00:44:36.035]  Trauma is the outcome of war, but it also makes us, as human beings, resist war, make it our last effort, not our first effort.
[00:44:36.455 --> 00:44:45.740]  If we take it out, we make it neutral, where there's no pain, there's no residual memory, it becomes easier and easier to inflict war on others.
[00:44:46.460 --> 00:44:51.663]  It becomes easier and easier to use that as the solution, rather than diplomacy and fair play.
[00:44:52.648 --> 00:44:53.569]  Is that what we want?
[00:44:54.029 --> 00:45:01.496]  Is that the reflection of American values we want our military paranoid closet planners to engage in for us?
[00:45:02.036 --> 00:45:16.709]  Or do we want them to uphold the values, instill those values on the next generation of military planners so that American values are what's projected to the world by our example, not by our hidden agenda?
[00:45:30.370 --> 00:45:34.095]  You're thinking about Alaska strategically, and most Americans don't.
[00:45:34.215 --> 00:45:39.963]  But let's talk about Alaska just for a minute, and how this feeds in to what's happening around the world.
[00:45:40.063 --> 00:45:42.926]  Firstly, Alaska is 18% of all the land in the United States.
[00:45:45.686 --> 00:45:48.408]  It has a greater coastline, Alaska alone.
[00:45:48.808 --> 00:45:57.533]  If you take all the western states, all the west coast, all the east coast, and all the gulf coast, and you add it all up, Alaska's coastline is bigger.
[00:45:58.293 --> 00:46:03.656]  And we have a 200-mile federal limit in those coastal waters, which is significant.
[00:46:04.036 --> 00:46:05.938]  Now, let's look at where Alaska sits.
[00:46:06.878 --> 00:46:07.438]  On the map.
[00:46:07.899 --> 00:46:08.779]  Here's Alaska.
[00:46:09.439 --> 00:46:12.541]  Place Alaska just for a moment as if it were the top of the world.
[00:46:13.441 --> 00:46:14.902]  And then look at where it sits.
[00:46:15.462 --> 00:46:16.382]  North America.
[00:46:17.323 --> 00:46:18.123]  Here's L.A.
[00:46:19.204 --> 00:46:20.844]  The same distance to L.A.
[00:46:20.985 --> 00:46:21.865]  I hit Japan.
[00:46:22.605 --> 00:46:26.707]  The same distance I hit Northern Europe.
[00:46:28.048 --> 00:46:34.271]  Same distance as for me as Alaskan to fly to Tokyo, to L.A.
[00:46:35.666 --> 00:46:36.987]  Or to Oslo.
[00:46:37.707 --> 00:46:41.729]  I can get there in virtually the same amount of time from Alaska.
[00:46:42.049 --> 00:46:53.053]  Which is why Federal Express located their international hub in Anchorage, Alaska, and UPS put their international hub in Fairbanks, Alaska.
[00:46:53.574 --> 00:47:01.317]  Because they could serve Asia, Europe, and the United States with the shortest distance between points, hubbing out of Alaska.
[00:47:01.917 --> 00:47:11.765]  Now, if you think about it, the Aleutian Chain, which actually, you can't see it so easily on this, but it comes down right to here, and here's Japan.
[00:47:11.785 --> 00:47:13.206]  Okay?
[00:47:13.667 --> 00:47:15.729]  So, Alaska to Japan is this distance.
[00:47:17.270 --> 00:47:19.572]  Alaska, I don't even hit Seattle.
[00:47:21.178 --> 00:47:24.180]  I can't get to the next state, but I can get to Japan.
[00:47:24.860 --> 00:47:25.641]  Now think about it.
[00:47:26.261 --> 00:47:30.064]  Raw materials coming out of Alaska feeding the Pacific Rim.
[00:47:30.104 --> 00:47:32.886]  The best markets are to feed the Asian markets.
[00:47:32.926 --> 00:47:37.909]  Now there's no railroad link, so I mentioned yesterday we can't get from Alaska into the Midwest.
[00:47:37.969 --> 00:47:40.731]  If we could link approximately right here,
[00:47:41.591 --> 00:47:42.512]  At Prince Rupert.
[00:47:43.032 --> 00:47:57.544]  If we could link at Prince Rupert to the railroad system in Canada, we could then move Alaskan commodities all the way into the Midwest, the industrial belt, and be able to use those mineral commodities to do value-added and re-industrialize the nation.
[00:47:58.264 --> 00:48:03.368]  One quarter of all the oil and gas left undiscovered in the world exists right here.
[00:48:04.289 --> 00:48:05.350]  In the Arctic Circle.
[00:48:06.110 --> 00:48:07.011]  That's the estimate.
[00:48:07.251 --> 00:48:12.494]  Alaska has hundreds of trillions, trillions of cubic feet of natural gas.
[00:48:12.914 --> 00:48:18.717]  Now think about the North Slope of Alaska, which is right here where our oil and gas is.
[00:48:19.117 --> 00:48:23.400]  Now think about us moving oil and gas through an empty Arctic.
[00:48:23.860 --> 00:48:28.643]  The Arctic Sea is almost to the point where we can start to move freight from
[00:48:30.072 --> 00:48:33.776]  Europe to North America across the pole.
[00:48:34.336 --> 00:48:35.037]  Think about it.
[00:48:35.537 --> 00:48:38.200]  Instead of bringing freight from Europe
[00:48:40.185 --> 00:48:58.154]  To the United States, this distance, a third of the way around the world, we can shorten that distance to a quarter of its distance and move freight directly into Northern Europe and into their rail systems, connecting into their commodity flow, or into Russia and Asia.
[00:48:58.675 --> 00:49:02.877]  Jumping over the poles with our freight, not just in the air,
[00:49:03.357 --> 00:49:04.218]  But in the sea.
[00:49:04.799 --> 00:49:12.847]  This will change everything and puts Alaska in the most strategic place because commodities are equal in price no matter where they're produced.
[00:49:13.408 --> 00:49:16.872]  The differences then become how cheap is it to get it to the next point.
[00:49:17.856 --> 00:49:25.799]  So we need rail to get it into the Midwest of the United States, where then it has the opportunity of being exported off of our western ports, or through the St.
[00:49:25.839 --> 00:49:29.240]  Lawrence Seaway, or off of our eastern ports.
[00:49:29.680 --> 00:49:37.883]  Or we have the option, in the not too distant future, of shipping direct into these markets raw goods, or adding value here in Alaska.
[00:49:37.983 --> 00:49:40.284]  Alaska has the greatest energy resources.
[00:49:40.344 --> 00:49:45.425]  All these minerals require energy for value added, and we have the opportunity to do that now.
[00:49:45.805 --> 00:49:46.486]  Now what would that mean?
[00:49:47.506 --> 00:49:57.996]  If we began to move these commodities, these energy resources in the United States, half of our trade deficit is energy-related and the other is buying value-added products back from China.
[00:49:58.596 --> 00:50:04.501]  If we could eliminate 50% of our trade deficits by eliminating imported energy,
[00:50:05.461 --> 00:50:07.062]  We strengthen the dollar again.
[00:50:07.282 --> 00:50:09.604]  We reinvigorate our economy again.
[00:50:09.644 --> 00:50:17.149]  We now have a domestic supply of energy and we keep our money rolling in our own economies.
[00:50:17.569 --> 00:50:20.211]  The same is true with value added to our commodities.
[00:50:20.571 --> 00:50:25.555]  We have an opportunity to take a big chunk of our economy back from the rest of the world
[00:50:26.295 --> 00:50:29.998]  Embed it back into our nation and use the advantage that we have.
[00:50:30.538 --> 00:50:32.720]  Alaska is the stepchild.
[00:50:33.340 --> 00:50:34.741]  Recognize our state.
[00:50:34.881 --> 00:50:42.587]  Recognize this place as an incredible opportunity for Americans to be liberated by looking at the balance sheet.
[00:50:42.647 --> 00:50:43.267]  Think about it.
[00:50:44.068 --> 00:50:51.393]  We always talk about the profit and loss statement, the income and expenses of the nation when we talk about the debt and how we're going to fix it.
[00:50:51.833 --> 00:50:54.555]  It's always about the taxpayer and putting it on our backs.
[00:50:55.175 --> 00:51:03.681]  The balance sheet are the assets of the nation, which includes our energy resources, our mineral wealth, our force, our public lands.
[00:51:04.121 --> 00:51:11.346]  How do we make them pay in a way that offsets the Treasury demands against the taxpayer?
[00:51:12.369 --> 00:51:14.870]  Get full value for our commodities.
[00:51:15.290 --> 00:51:19.051]  Make sure those multinationals pay money here.
[00:51:19.071 --> 00:51:20.111]  Because here's what happens.
[00:51:20.131 --> 00:51:22.012]  And we play it out in Alaska every year.
[00:51:23.252 --> 00:51:25.833]  Here we have oil and gas that the nation needs.
[00:51:25.973 --> 00:51:28.714]  We have a pipeline that can run it down to Valdez.
[00:51:28.754 --> 00:51:32.955]  And the pipeline is running at 616,000 barrels a day today.
[00:51:33.796 --> 00:51:36.417]  It's designed to handle 2.1 million barrels.
[00:51:37.777 --> 00:51:39.017]  Why aren't we moving U.S.
[00:51:39.157 --> 00:51:40.018]  oil through a U.S.
[00:51:40.078 --> 00:51:40.698]  pipeline
[00:51:42.000 --> 00:51:50.089]  Is because it's cheaper to corrupt a third world government somewhere else on the planet, keep the oil and gas in the ground in the U.S.
[00:51:50.109 --> 00:51:55.575]  because a multinational doesn't have any care about our national needs or our national priorities.
[00:51:55.855 --> 00:51:57.117]  It's about the bottom line.
[00:51:58.385 --> 00:52:05.547]  If it were a national oil company that cared first about the national priorities, then that oil and gas would be developed and be feeding U.S.
[00:52:05.607 --> 00:52:10.289]  markets, even if it cost a little more, because the offset is U.S.
[00:52:10.369 --> 00:52:11.549]  jobs, U.S.
[00:52:11.609 --> 00:52:13.710]  taxes generated, U.S.
[00:52:13.790 --> 00:52:24.333]  rollover in our economy of every one of those dollars spent domestically seven times, a seven times multiplier in the economy and the tax base when we spend money at home.
[00:52:24.974 --> 00:52:25.834]  That's the difference.
[00:52:26.454 --> 00:52:31.618]  Bring it back because it's a domestic priority, not a multinational priority.
[00:52:32.058 --> 00:52:40.025]  Our domestic priorities need to carry forward, or these companies that are retaining these rights need to be put under performance.
[00:52:40.485 --> 00:52:43.868]  You know, these leases on the North Slope don't require any performance.
[00:52:44.858 --> 00:52:45.558]  They hold them.
[00:52:46.399 --> 00:52:47.139]  They hold them.
[00:52:47.359 --> 00:52:48.279]  They pay the fee.
[00:52:48.739 --> 00:52:50.160]  They don't have to ever produce them.
[00:52:50.800 --> 00:52:54.081]  In Russia, if you didn't produce, you lost your right.
[00:52:54.141 --> 00:52:57.123]  Later they took them anyway, but at least they had the incentive.
[00:52:57.143 --> 00:52:58.523]  You're going to spend the money.
[00:52:58.563 --> 00:53:00.524]  You're going to produce these fields, or you're out of here.
[00:53:01.064 --> 00:53:01.705]  So they did.
[00:53:02.105 --> 00:53:02.646]  In the U.S.
[00:53:02.686 --> 00:53:04.549]  we don't make them produce anything.
[00:53:04.809 --> 00:53:14.301]  We just give them the right to tie up the public resource, call it their safety deposit box in our safe economy, because our men and women are defending this turf.
[00:53:16.462 --> 00:53:27.968]  To defend them, to save their bacon, after we're done trying to save it from whatever third world country they've corrupted, they always can come back home and produce it domestically.
[00:53:27.988 --> 00:53:36.512]  And by then, they've screwed us down so much on the royalties and taxes under the guise of, well, if it's not cheap enough, we'll do it elsewhere.
[00:53:36.912 --> 00:53:37.992]  We understand all that.
[00:53:38.052 --> 00:53:39.413]  We know how economics works.
[00:53:39.453 --> 00:53:40.934]  We know how capitalism works.
[00:53:41.434 --> 00:53:48.680]  But we also understand how our national interests work and multinational companies don't, because they don't care.
[00:53:49.180 --> 00:53:51.181]  It's not in their self-interest to care.
[00:53:52.603 --> 00:54:03.511]  They're looking at the six billion other consumers that don't live here, who are their potential future markets, because this economy, from their perspective, doesn't have those opportunities.
[00:54:03.591 --> 00:54:04.251]  It's dead.
[00:54:05.012 --> 00:54:10.156]  They want to go where people are changing from bicycles to automobiles, and that's the rest of the world.
[00:54:21.550 --> 00:54:23.632]  People have asked me about my father.
[00:54:23.652 --> 00:54:26.855]  He was lost on a plane with Hale Boggs in the early seventies.
[00:54:27.696 --> 00:54:30.419]  Hale was a majority leader at the time.
[00:54:30.519 --> 00:54:31.821]  I mean, you can look at all of the
[00:54:32.958 --> 00:54:48.813]  Interesting coincidences, you know, the guy that took Hale Boggs to the airport, he was working in Texas at the time for another campaign, and Boggs got a ride to the airport by a young Democrat from Oklahoma, William Jefferson Clinton.
[00:54:48.993 --> 00:54:51.175]  Yeah, the same one that later became president.
[00:54:51.195 --> 00:54:51.516]  Now this is 1972.
[00:54:54.238 --> 00:55:01.982]  Boggs gets on the plane, he goes to D.C., makes a connection to Alaska, comes to Alaska, gives a speech, breaks the story a little bit about what was coming.
[00:55:02.383 --> 00:55:06.345]  We didn't know, it wasn't known as Watergate then, it was just this big scandal he mentioned.
[00:55:06.945 --> 00:55:11.388]  And the next day he gets on a plane flying to Juneau from Anchorage and disappears, never heard from again.
[00:55:12.248 --> 00:55:12.508]  I think?
[00:55:27.375 --> 00:55:32.739]  perversions, Hoovers, he used knowledge to blackmail the Congress.
[00:55:32.779 --> 00:55:41.006]  He had the inside track on every congressman because he had tapped their phones, intercepted their mail, basically violated all their personal privacy rights.
[00:55:41.346 --> 00:55:43.748]  And this is the leadership of the country for goodness sakes.
[00:55:43.768 --> 00:55:49.933]  This is our entire Congress that he corrupted so that he could maintain his position in the FBI.
[00:55:50.613 --> 00:55:51.714]  Boggs wanted him out.
[00:55:53.766 --> 00:56:06.356]  Boggs came to Alaska, by then Hoover was gone, but the plane disappears, the Hoover administration continues, the Warren Commission never reopens, and Watergate breaks three weeks later.
[00:56:06.957 --> 00:56:08.038]  October 16, 1972, the plane goes down.
[00:56:10.700 --> 00:56:16.001]  You know, McGovern's in his last throes of his death race because he isn't winning anything.
[00:56:16.401 --> 00:56:18.101]  Richard Nixon's the clear winner.
[00:56:18.582 --> 00:56:19.582]  Everybody knows it.
[00:56:20.282 --> 00:56:27.443]  Hale Boggs is the Majority Leader of the House, standing in line to be the next Speaker, the third most powerful position in the Congress.
[00:56:27.483 --> 00:56:28.284]  And what happens?
[00:56:29.384 --> 00:56:32.064]  He disappears at the most critical time in our history.
[00:56:32.104 --> 00:56:35.245]  In fact, if you remember what happened right after
[00:56:36.195 --> 00:56:41.476]  Watergate broke, and then Agnew got bounced, you know, as the Vice President.
[00:56:42.996 --> 00:56:44.796]  Ford slid in behind him.
[00:56:45.417 --> 00:56:46.577]  Nixon resigns.
[00:56:46.757 --> 00:56:47.817]  Ford moves up.
[00:56:47.997 --> 00:56:52.038]  Ford pardons Nixon, and Rockefeller rolls in as the Vice President.
[00:56:52.658 --> 00:56:57.599]  And then, if you remember, it was, I think it was Squeaky Fromm, wasn't it, Squeaky Fromm?
[00:56:57.739 --> 00:57:04.080]  It was one of the Manson girls that takes a pot shot at Ford to knock him off, because she wanted him dead.
[00:57:04.120 --> 00:57:05.240]  And who would have been President?
[00:57:06.397 --> 00:57:07.178]  Rockefeller.
[00:57:07.758 --> 00:57:09.160]  Now isn't that interesting?
[00:57:09.901 --> 00:57:12.443]  You know, I mean, talk about conspiracy theory.
[00:57:13.124 --> 00:57:14.966]  How about conspiracy reality?
[00:57:14.986 --> 00:57:16.167]  That's how it played out.
[00:57:16.247 --> 00:57:17.448]  Everybody's forgotten it.
[00:57:18.151 --> 00:57:20.413]  You know, if you're not 50, you don't remember.
[00:57:20.433 --> 00:57:24.496]  You know, but a lot of us remember when all this happened and it played out.
[00:57:24.596 --> 00:57:27.659]  Now Boggs is off the scene, Carl Elbert is the speaker.
[00:57:28.520 --> 00:57:30.021]  Carl was an alcoholic.
[00:57:30.361 --> 00:57:36.206]  I mean, he's come to my house all the time, talked to my dad, the guy could barely sit on a bar stool and he was speaker of the house.
[00:57:36.506 --> 00:57:42.111]  You know, those were the days when you got stopped by the police for drunk driving and they said, hey, drive on home and sleep it off.
[00:57:42.651 --> 00:57:45.572]  You know, it was a different world and a different era.
[00:57:46.213 --> 00:57:51.735]  But Carl Albert was not in a position at that time to step into the presence of the United States.
[00:57:52.596 --> 00:57:55.077]  What I think would have happened had Boggs lived.
[00:57:56.238 --> 00:57:57.979]  Carl Albert would have stepped down.
[00:57:58.279 --> 00:57:59.599]  Boggs would have stepped up.
[00:57:59.719 --> 00:58:02.141]  They would have got rid of Agnew and Nixon at the same time.
[00:58:02.181 --> 00:58:05.562]  And the third in line to be president would have been, and that would have been, Hale Boggs.
[00:58:05.922 --> 00:58:08.103]  And the whole game would have changed in this country.
[00:58:08.464 --> 00:58:10.945]  And personal freedom and liberty would have been restored then.
[00:58:11.525 --> 00:58:14.407]  Instead of going into disrepair even further now.
[00:58:15.027 --> 00:58:18.169]  Now, Dad brought Boggs to Alaska to campaign.
[00:58:19.349 --> 00:58:21.290]  Dad had that campaign in the bag.
[00:58:21.751 --> 00:58:28.494]  He brought him here to show him, to talk about the same issues, many of the same issues that we've talked about over this video.
[00:58:29.015 --> 00:58:33.817]  The idea that Alaska has this tremendous potential for the United States that ought to be realized.
[00:58:33.837 --> 00:58:40.541]  This was right before the Native Land Claims, the biggest settlement in indigenous history in the United States as a freshman.
