[00:00:06.190 --> 00:00:12.232]  Yes, my friends, you've got the right radio broadcast.
[00:29:00.748 --> 00:29:16.221]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:29:16.221 --> 00:29:19.884]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:29:20.908 --> 00:29:33.678]  Not only does the Silver Lung System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:29:33.678 --> 00:29:40.944]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:29:41.624 --> 00:29:51.994]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.silverlungs.com to learn more about how the Silver Lungs System works.
[00:29:51.994 --> 00:29:55.918]  As well, we are always ready to answer any questions you may have.
[00:29:55.918 --> 00:29:59.041]  That's www.silverlungs.com.
[00:29:59.762 --> 00:30:01.364]  Hi, this is Alex Jones.
[00:30:01.364 --> 00:30:07.669]  This holiday season, more than half of our nation is in need of help due to the shattered economy.
[00:30:07.669 --> 00:30:11.693]  So now is the time to express the holiday spirit more than ever.
[00:30:11.693 --> 00:30:16.357]  Consider helping those you love with the most important gift, a supply of delicious
[00:30:16.357 --> 00:30:16.737]  I think so.
[00:30:31.768 --> 00:30:39.833]  In case of a grab-and-go emergency, order their Combo Gift Pack and you'll save hundreds, plus get free shipping on your entire order.
[00:30:39.833 --> 00:30:49.698]  Call eFoods today at 800-409-5633 or visit them online at efoodsdirect.com forward slash Alex to find the special.
[00:30:49.698 --> 00:30:56.022]  That's 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:30:56.022 --> 00:30:58.383]  You can bet your life on eFoods Direct.
[00:31:00.120 --> 00:31:06.764]  When you're out on the road, the last place you want to be is on the road.
[00:31:06.764 --> 00:31:11.928]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:31:11.928 --> 00:31:20.654]  There's a place down in Tennessee, where they make blue diamond gusset jeans.
[00:31:20.654 --> 00:31:24.716]  They sew pride in every stitch.
[00:31:24.716 --> 00:31:27.018]  Guarantee you'll love the way they fit.
[00:31:28.988 --> 00:31:33.732]  They put a Diamond Gusset in the crotch, where you need it most.
[00:31:33.732 --> 00:31:38.796]  Blue Diamond Gussets got it, others don't.
[00:31:38.796 --> 00:31:40.937]  We turn jeans inside out.
[00:31:40.937 --> 00:31:42.739]  Diamond Gusset Jeans.
[00:31:42.739 --> 00:31:45.621]  Made in the USA with unparalleled quality.
[00:31:45.621 --> 00:31:52.246]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection, so you can ride all day with confidence.
[00:31:52.246 --> 00:31:54.948]  Order yours at gusset.com.
[00:31:54.948 --> 00:31:58.191]  Diamond Gusset Jeans got it, others don't.
[00:32:01.406 --> 00:32:03.568]  You're subject to other police action.
[00:32:03.568 --> 00:32:04.830]  Tyranny is here.
[00:32:04.830 --> 00:32:08.413]  The grim future foretold in 1984 has become reality.
[00:32:08.413 --> 00:32:11.016]  It really says that the state is God.
[00:32:11.016 --> 00:32:16.862]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:32:16.862 --> 00:32:23.088]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:32:23.528 --> 00:32:29.510]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:32:29.510 --> 00:32:33.671]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[00:32:33.671 --> 00:32:37.972]  Prepare to enter the secretive world of emergency dictatorship.
[00:32:37.972 --> 00:32:43.914]  Body scanners, sound cannons, citizen spies, stage terror and cameras on every street corner.
[00:32:43.914 --> 00:32:47.475]  It's only the beginning of the New World Order's hellish plan.
[00:32:47.475 --> 00:32:49.436]  The police state isn't coming.
[00:32:49.436 --> 00:32:49.876]  It's here.
[00:32:50.556 --> 00:33:00.662]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:33:00.662 --> 00:33:02.203]  Coast to Coast.
[00:33:02.203 --> 00:33:04.244]  Direct from Austin.
[00:33:04.244 --> 00:33:07.466]  You're listening to the Alex Jones Broadcasting Network.
[00:33:22.833 --> 00:33:32.443]  The stars are brightly shining It is the night of the dear Savior's birth
[00:33:47.585 --> 00:33:50.246]  I'm Alex Jones and this is the InfoWars.
[00:33:50.246 --> 00:33:51.366]  It's December 25th, 2011.
[00:33:51.366 --> 00:33:57.647]  We're 33 minutes, well now 34 minutes into this worldwide broadcast.
[00:33:57.647 --> 00:33:59.668]  Lasting out on the AM and FM dial.
[00:33:59.668 --> 00:34:01.748]  Weekday shows on XM, 166.
[00:34:01.748 --> 00:34:03.309]  11 to 2 p.m.
[00:34:03.309 --> 00:34:04.309]  Central.
[00:34:04.309 --> 00:34:08.190]  And also number one on the internet at InfoWars.com and of course PrisonPlanet.tv.
[00:34:10.089 --> 00:34:13.911]  And so much incredible information is up there on the site.
[00:34:13.911 --> 00:34:31.541]  Last Thursday, I interviewed one of the heroes of the Oklahoma City bombing, one of the police officers in there who witnessed the feds and all of their involvement and how they death-threaded he and his wife face-to-face if he didn't shut up and actually killed some of the Oklahoma City police.
[00:34:31.541 --> 00:34:33.362]  Yeah, oh yeah, name names, everything.
[00:34:33.362 --> 00:34:35.563]  That's up at InfoWars.com.
[00:34:35.563 --> 00:34:38.265]  That incredible report, and we break it all down.
[00:34:39.105 --> 00:34:43.548]  I'm in the film, one of the advisors on it, A Noble Lie, Oklahoma City, 1995.
[00:34:43.548 --> 00:34:49.371]  Get it on DVD at Infowars.com and get it out to all the police and military you know, and federal employees.
[00:34:49.371 --> 00:35:04.159]  Once you realize that criminals in the government bomb themselves look like victims in a false flag frame-up, just like Fast and Furious shipping guns into Mexico to blame the Second Amendment's now been confirmed by CBS News, you understand a lot.
[00:35:04.159 --> 00:35:05.860]  And the truth will set us free.
[00:35:06.420 --> 00:35:12.906]  And we can bring these people to justice in the court of public opinion where everybody knows who they are and what they did.
[00:35:12.906 --> 00:35:20.153]  Because there's one thing that's bad enough to know the Globalist carried out these events, 9-11 and Oklahoma City and Gulf of Tonkin.
[00:35:20.153 --> 00:35:24.978]  But it's another thing to watch them grandstand as our saviors and launch all these wars on our name that we pay for.
[00:35:25.518 --> 00:35:29.880]  Going back to historian, doctor of history, also economist, Webster Tarpley.
[00:35:29.880 --> 00:35:34.022]  So Webster, why are the powers that be?
[00:35:34.022 --> 00:35:35.823]  I mean, take MF Global.
[00:35:35.823 --> 00:35:42.125]  Now the head of the CME, Chicago Mercantile, testified, as you know, a few weeks ago and said, no, he had the money.
[00:35:42.125 --> 00:35:44.386]  He took the money and put it in the British Bank.
[00:35:44.386 --> 00:35:46.367]  And then still, Corzine's gotten in no trouble.
[00:35:46.367 --> 00:35:49.849]  It's a new level where they take people's private accounts now.
[00:35:51.098 --> 00:35:54.460]  And because, you know, he's a former Goldman Sachs head, it's okay.
[00:35:54.460 --> 00:36:00.563]  And he was making 40-to-1 bets with people's brokerage accounts that was illegal.
[00:36:00.563 --> 00:36:02.264]  And it's all confirmed.
[00:36:02.264 --> 00:36:04.385]  And it just shows a level of insanity.
[00:36:04.385 --> 00:36:06.826]  Who makes a 40-to-1 bet, Webster?
[00:36:06.826 --> 00:36:10.548]  I mean, I think that illustrates the type of psychosis we're dealing with.
[00:36:11.519 --> 00:36:21.581]  Well, 40 to 1 leverage sounds like a lot, but it's not really that much in terms of what goes on in Wall Street and the city of London.
[00:36:21.581 --> 00:36:30.622]  Even 10 years ago or so, long-term capital management had a crony bailout from Greenspan back in 1998, 1999.
[00:36:30.622 --> 00:36:34.003]  They were, I think, well over 40.
[00:36:34.003 --> 00:36:36.243]  But there are two sides to this question, right?
[00:36:36.243 --> 00:36:39.424]  One is the specifics of what Corazon seems to have done.
[00:36:39.904 --> 00:36:41.686]  Notice that he did it through London.
[00:36:41.686 --> 00:36:49.573]  The British market is the most deregulated, the most criminal, therefore, of any place on Earth.
[00:36:49.573 --> 00:36:51.415]  And it's very interesting.
[00:36:51.415 --> 00:36:52.856]  You look at AIG, right?
[00:36:52.856 --> 00:37:04.507]  When AIG blew up, the center of that activity was the AIG financial branch in London, which sold $3 trillion of credit default swaps, that is, of derivatives.
[00:37:04.967 --> 00:37:10.490]  So it was a derivative of his bubble in London that actually brought down AIG.
[00:37:10.490 --> 00:37:12.512]  And similarly, you can look at some of these others.
[00:37:12.512 --> 00:37:17.195]  Madoff, all the swindles done by Madoff, all conduited through London.
[00:37:17.195 --> 00:37:25.980]  So when Cameron, the Prime Minister of Britain, and Osborne, the Chancellor of the Exchequer, stand up and say they're separating from Europe,
[00:37:26.961 --> 00:37:36.951]  What they're trying to do is to preserve this wild west of totally savage speculation that is the City of London.
[00:37:36.951 --> 00:37:45.400]  Well isn't that just a globalist fighting over who gets the reins of the New World Order, whether it's going to be in Frankfurt, Germany or City of London, London?
[00:37:45.720 --> 00:37:53.623]  Well, you can say the European Union is bad, but the British are the worst, without any doubt.
[00:37:53.623 --> 00:38:02.286]  I mean, Scrooge, if Scrooge came back to life this Christmas, he would recognize the city of London as being what it always has been.
[00:38:02.746 --> 00:38:06.949]  If you look at the European Union, you have countries in there that still have some industry.
[00:38:06.949 --> 00:38:11.712]  The Germans have high-quality, high-tech, high-capital-added industry.
[00:38:11.712 --> 00:38:13.833]  The Italians have some exports.
[00:38:13.833 --> 00:38:15.234]  The French have some.
[00:38:15.234 --> 00:38:16.915]  The Spanish probably not so much.
[00:38:16.915 --> 00:38:19.517]  But you look at the British, what's left in Britain?
[00:38:20.317 --> 00:38:23.019]  There's nothing but financial services, that's it.
[00:38:23.019 --> 00:38:29.583]  And in particular, the thing that Cameron is trying to avoid is this tiny little Tobin tax, right?
[00:38:29.583 --> 00:38:39.850]  The tax on speculative turnover, the sales tax on the city of London that the people in Brussels and Frankfurt wanted to have, that they'd be paying to.
[00:38:39.850 --> 00:38:42.172]  Let me ask you the question this way.
[00:38:42.172 --> 00:38:47.695]  We know that Merkel, earlier this year, it was like nine, ten months ago, it was in February, said
[00:38:49.235 --> 00:38:53.236]  The banks are engaging in terrorism, the big megabanks, and we're going to stop them.
[00:38:53.236 --> 00:38:57.356]  Now I know she's a globalist and into all this stuff, but that was actually true.
[00:38:57.356 --> 00:39:08.618]  Then we see the media blaming Germany for quote, taking over Europe, when it is the big six megabanks that sold all this fraudulent garbage, put their people in or take it over Greece, Portugal, Spain, all of that.
[00:39:08.618 --> 00:39:13.419]  So there is some internal fighting and jockeying going on, and you're right.
[00:39:13.419 --> 00:39:18.360]  You know, Cameron won't give the Brits a vote on being part of Euro, but he won't
[00:39:18.940 --> 00:39:23.063]  Give the power that the City of London has over to this show-show.
[00:39:23.063 --> 00:39:27.267]  I mean, if you had to crystallize it, where is this struggle going?
[00:39:27.267 --> 00:39:43.199]  Well, it's going into a world depression because the people in the European Union have tremendous problems so that they're not in a position to do anything so far that would even slow the onset of the depression.
[00:39:43.199 --> 00:39:45.681]  And the other problem that you have in the European Union is
[00:39:46.261 --> 00:40:06.811]  As a result of these coups, right, as a result of what amount to people power coups, CIA and related activity with the help of the credit rating agencies, Standard & Poor's, Pitch Moody's, and so forth, we now have an agent of the Boston Federal Reserve is now the Prime Minister of Greece, that's Papademos.
[00:40:06.811 --> 00:40:08.892]  We have an agent of Goldman Sachs.
[00:40:09.592 --> 00:40:31.633]  Monty, who's the Prime Minister of Italy, and we have an agent of Goldman Sachs, Draghi, who's the head of the European Central Bank, and now we've got a veteran of Lehman Brothers, who is now in the cabinet, the new right-wing, sort of quasi-fascist cabinet in Spain, and I say that because the parties involved descend from the Franco period of
[00:40:32.653 --> 00:40:33.474]  No, I understand that.
[00:40:33.474 --> 00:40:35.695]  I mean, there's literally no end to them.
[00:40:35.695 --> 00:40:39.697]  And in Europe, they're activating the military saying they'll squeeze money out of people.
[00:40:39.697 --> 00:40:42.558]  Here, they're openly saying they're preparing for collapse internally.
[00:40:42.558 --> 00:40:46.741]  And they've got CNN saying we need troops on the streets to keep us safe from crime.
[00:40:46.741 --> 00:40:49.322]  I mean, Webster, it is getting twilight zone.
[00:40:49.322 --> 00:40:53.244]  Even Alex Jones, Mr. Know-it-all about this system.
[00:40:53.764 --> 00:40:56.486]  I can't believe how fast it's moving, Webster.
[00:40:56.486 --> 00:41:07.175]  I mean, how close until the depression that we've been in, as you said, for over three years, which they're now more and more admitting is a depression, goes into just absolute plunging?
[00:41:07.175 --> 00:41:13.440]  Well, the European banking system is spending the Christmas holidays absolutely on the brink.
[00:41:13.440 --> 00:41:17.483]  And part of it, there's a big artificial element.
[00:41:17.483 --> 00:41:19.665]  In other words, we have a world depression.
[00:41:19.665 --> 00:41:20.266]  Fine.
[00:41:20.266 --> 00:41:22.848]  There's a world depression in the background, which is real.
[00:41:23.476 --> 00:41:32.258]  But then, the way in which this depression is channeled, and the forms in which it appears, this is all subject to tremendous manipulation.
[00:41:32.258 --> 00:41:45.962]  And for the past two years, the main US-British strategy has been, dump the depression on continental Europe, export the depression to Frankfurt and Paris and Milan, beggar my neighbor.
[00:41:45.962 --> 00:41:47.983]  But it's gonna blow back, it's like a teeter tot.
[00:41:48.323 --> 00:41:49.644]  Absolutely.
[00:41:49.644 --> 00:41:55.286]  But they'll say, yeah, it'll blow back, but it'll blow back two weeks later or three weeks later, whatever it is.
[00:41:55.286 --> 00:41:57.327]  And we're dealing with a crazed ruling class.
[00:41:57.327 --> 00:42:00.368]  And I guess this is where your question was going also.
[00:42:00.368 --> 00:42:06.151]  The specifics of the breakdown that you were mentioning have something to do with the fact that the
[00:42:06.451 --> 00:42:08.672]  The London market is the most deregulated, right?
[00:42:08.672 --> 00:42:11.473]  The London market is where your gas price is set.
[00:42:11.473 --> 00:42:18.916]  If you're paying $3.25 a gallon or $3.50 a gallon, you can thank London, because that's where that's being done, and that's what Cameron's defending.
[00:42:18.916 --> 00:42:24.418]  The broader picture now, let's look at the psychology of the entire Anglo-American ruling elite.
[00:42:24.418 --> 00:42:28.180]  Because again, globalism I don't think captures the fact that this is London.
[00:42:28.820 --> 00:42:30.081]  New York and Washington.
[00:42:59.080 --> 00:43:02.722]  Hi folks, this is Alex Jones.
[00:43:02.722 --> 00:43:08.024]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[00:43:08.024 --> 00:43:09.564]  Saving means to make money.
[00:43:09.564 --> 00:43:18.348]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[00:43:19.088 --> 00:43:26.611]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[00:43:26.611 --> 00:43:34.614]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[00:43:34.614 --> 00:43:39.856]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[00:43:39.856 --> 00:43:42.017]  Getting a free catalog is easy by calling 800-340-7091.
[00:43:44.798 --> 00:43:48.001]  Or see Calvin on the web at FiveStarSoap.com.
[00:43:48.001 --> 00:43:50.243]  Take charge of your health now by calling 800-340-7091.
[00:43:50.243 --> 00:43:52.505]  Or see Calvin on the web at FiveStarSoap.com.
[00:43:59.642 --> 00:44:01.223]  Hi, this is Alex Jones.
[00:44:01.223 --> 00:44:07.525]  This holiday season, more than half of our nation is in need of help due to the shattered economy.
[00:44:07.525 --> 00:44:11.546]  So now is the time to express the holiday spirit more than ever.
[00:44:11.546 --> 00:44:15.128]  Consider helping those you love with the most important gift.
[00:44:15.128 --> 00:44:20.350]  A supply of delicious, easy to fix, and very storable foods from eFoodsDirect.com.
[00:44:21.130 --> 00:44:26.555]  Their holiday gift and family pack start at $99 or a 16-day supply.
[00:44:26.555 --> 00:44:33.822]  All their five-week supply of quick and easy to fix meals includes a personal backpack in case of a grab-and-go emergency.
[00:44:33.822 --> 00:44:39.707]  Order their combo gift pack and you'll save hundreds plus get free shipping on your entire order.
[00:44:39.707 --> 00:44:41.929]  Call eFoods today at 800-409-5633 or visit them online
[00:44:45.652 --> 00:44:49.556]  At efoodsdirect.com forward slash Alex to find the special.
[00:44:49.556 --> 00:44:55.882]  That's 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:44:55.882 --> 00:44:58.244]  You can bet your life on efoods direct.
[00:44:59.346 --> 00:45:03.908]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:45:03.908 --> 00:45:04.809]  Number one.
[00:45:04.809 --> 00:45:08.251]  New climate legislation could easily double or triple your electric bill.
[00:45:08.251 --> 00:45:09.111]  Number two.
[00:45:09.111 --> 00:45:13.994]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:45:13.994 --> 00:45:14.734]  It's true.
[00:45:14.734 --> 00:45:19.617]  Total government control of electricity in the name of smart grid technology is coming.
[00:45:19.617 --> 00:45:20.437]  Number three.
[00:45:20.437 --> 00:45:24.019]  In some areas of the country, the power grid is dangerously overloaded.
[00:45:24.019 --> 00:45:27.721]  And now, new socialist legislation is only compounding the problem.
[00:45:27.921 --> 00:45:28.721]  Number four.
[00:45:28.721 --> 00:45:31.483]  Dangerous weather is always a threat to local grids.
[00:45:31.483 --> 00:45:35.165]  Every year, thousands of families lose their power from weather-related outages.
[00:45:35.165 --> 00:45:35.945]  Number five.
[00:45:35.945 --> 00:45:40.107]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:45:40.107 --> 00:45:45.150]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:45:45.150 --> 00:45:49.332]  You can get more information at www.mysolarbackup.com.
[00:45:49.332 --> 00:45:51.113]  That's mysolarbackup.com.
[00:45:51.113 --> 00:45:55.715]  Remember, the government doesn't own the sun, so go to mysolarbackup.com, or call 1-866-422-9000.
[00:45:56.015 --> 00:45:56.055]  877-327-0365.
[00:46:01.052 --> 00:46:05.013]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:46:05.013 --> 00:46:13.876]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:46:13.876 --> 00:46:18.517]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:46:18.517 --> 00:46:29.321]  The Silver Lungs Generator infuses the respiratory system with your self-produced nanosilver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:46:29.961 --> 00:46:39.470]  With continued legislation threatening the sale of nano-silver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:46:39.470 --> 00:46:44.915]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:46:44.915 --> 00:46:52.401]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:46:52.401 --> 00:46:54.823]  That's www.silverlungs.com.
[00:47:00.700 --> 00:47:04.301]  Coast to coast, direct from Austin.
[00:47:04.301 --> 00:47:07.502]  You're listening to the Alex Jones Broadcasting Network.
[00:47:29.776 --> 00:47:39.865]  The federal government's funding Al-Qaeda.
[00:47:39.865 --> 00:47:51.796]  The federal government is run by foreign megabanks.
[00:47:51.796 --> 00:47:55.599]  Devaluing your dollars
[00:47:56.518 --> 00:48:07.912]  And militarizing police They'll kick down your door while you sleep Silent night
[00:48:20.114 --> 00:48:20.915]  That was really weird.
[00:48:20.915 --> 00:48:25.718]  I was doing some silly singing over Elvis, and it caused the microphone to do some squeal.
[00:48:25.718 --> 00:48:27.399]  I don't know if that went out over air.
[00:48:27.399 --> 00:48:28.759]  Whatever.
[00:48:28.759 --> 00:48:36.724]  I tell ya, Webster Tarpley's our guest, and I shouldn't be screwing around here when we're talking about such heavy-duty issues, but you gotta have some gallows humor every once in a while.
[00:48:36.724 --> 00:48:40.407]  You know, joking around before they hang you.
[00:48:40.407 --> 00:48:41.908]  Webster Tarpley, a historian.
[00:48:42.748 --> 00:49:02.916]  And economists, we were talking about the psychosis of the ruling elite making 40 to 1 bets with money that's not theirs and calling it free market to get tens of trillions in public bailout money and then leveraging that again and then lying and trying to start giant wars and thinking NORTHCOM and a military dictatorship will save them from the American people.
[00:49:03.916 --> 00:49:10.483]  Uh, and the prostitute media lying for them that loses more and more credibility, and open calls to censor the alternative media.
[00:49:10.483 --> 00:49:13.226]  I mean, we are in crazy land now.
[00:49:13.226 --> 00:49:15.168]  We ain't in Kansas anymore.
[00:49:15.168 --> 00:49:20.213]  It is the Christmas transmission, hour number one's got about ten minutes left in it.
[00:49:20.213 --> 00:49:21.675]  Webster, finishing up, my friend.
[00:49:21.675 --> 00:49:25.679]  Uh, you were, uh, who knows, I might even keep you in a little five minute.
[00:49:25.939 --> 00:49:30.143]  The big problem is the psychosis of this Anglo-American financial elite.
[00:49:30.143 --> 00:49:32.005]  There are two main points.
[00:49:32.005 --> 00:49:33.666]  One is this Mayaguez moment.
[00:49:33.666 --> 00:49:36.749]  The Mayaguez moment is getting more bitter for them.
[00:49:36.749 --> 00:49:37.790]  If you look at the U.S.
[00:49:37.790 --> 00:49:43.876]  leaving Iraq after eight years of this futile war with all those GIs killed and the trillions of dollars.
[00:49:44.716 --> 00:49:52.860]  This really corresponds to the fall of Saigon in April-May 1975, with the helicopters taking off from the roof of the U.S.
[00:49:52.860 --> 00:49:53.821]  Embassy.
[00:49:53.821 --> 00:50:04.367]  Now, we have Maliki, I believe, representing the Iranian party in Iraq, who's trying to essentially crush
[00:50:05.047 --> 00:50:17.342]  The Sunni Party in Iraq, and it looks to me like the Sunni Party, based on what we've seen in other parts of the Arab world, they may be getting their money and orders from Saudi Arabia, which means everything bad, right?
[00:50:17.342 --> 00:50:21.507]  Because the Saudis are this reactionary relic, this feudal
[00:50:22.128 --> 00:50:27.590]  And by the way, it's in the news that admitted al-Qaeda-connected groups are at former U.S.
[00:50:27.590 --> 00:50:30.710]  bases launching attacks, probably the ones in Iraq, but certainly the ones in Iran.
[00:50:51.201 --> 00:50:57.870]  Right, and remember when you think Al-Qaeda is the CIA Arab Legion, so don't ever get confused about that for the listeners.
[00:50:57.870 --> 00:51:04.359]  And by the way, the good ol' boys can't laugh at that anymore, because you got London Telegraph headline, Al-Qaeda flag now flies over Libya.
[00:51:04.359 --> 00:51:08.905]  You were there, you first reported on the black genocide, Webster, that's now in Newsweek.
[00:51:09.025 --> 00:51:19.549]  Yeah, and Belhadj, here's the thing, Belhadj, the Al-Qaeda killer who had been made the military commander of Tripoli, has now been sent, I believe, to southern Turkey.
[00:51:19.549 --> 00:51:36.756]  He is now the commander of the so-called pre-Syrian army, which is simply the people from Chechnya, from Afghanistan, from the fighters from Libya, the fighters from Iraq, have all been recycled, at least a lot of them have, by the CIA, into this South Turkish
[00:51:38.137 --> 00:51:39.117]  No, that's all admitted.
[00:51:39.117 --> 00:51:49.244]  I mean, Al-Qaeda is this skeleton key that the bankers, henchmen, the CIA and others use, I mean, to take our liberties, to take over countries.
[00:51:49.244 --> 00:51:51.585]  I mean, it's incredible.
[00:51:51.585 --> 00:51:52.746]  And you tell adults this.
[00:51:52.746 --> 00:51:55.088]  You go, you know, bin Laden was CIA.
[00:51:55.088 --> 00:51:56.028]  Here's the BBC.
[00:51:56.028 --> 00:51:58.210]  And they're like, shut up.
[00:51:58.210 --> 00:52:00.351]  You're like, but our government put him in charge in Libya.
[00:52:00.351 --> 00:52:01.192]  Well, that's OK.
[00:52:01.192 --> 00:52:04.274]  I just want to give my rights up because it's fun to get scared of people.
[00:52:05.194 --> 00:52:07.375]  There are a lot of people who want to be duped.
[00:52:07.375 --> 00:52:07.815]  It's true.
[00:52:07.815 --> 00:52:09.015]  Not just leftists, either.
[00:52:09.015 --> 00:52:12.116]  We saw them with Obama, the leftist, but then there were others.
[00:52:12.116 --> 00:52:13.757]  But look, here's the thing.
[00:52:13.757 --> 00:52:16.018]  The psychosis comes from this mayaguez.
[00:52:16.018 --> 00:52:18.198]  It's an aggravated mayaguez moment.
[00:52:18.198 --> 00:52:23.080]  Mayaguez was this incident that was then chinned up by Kissinger and Ford in 1975.
[00:52:23.080 --> 00:52:28.782]  If we're being kicked out of South Vietnam, we've got to do something to show how powerful we are.
[00:52:28.782 --> 00:52:31.563]  So they decided to take a city in Cambodia.
[00:52:32.123 --> 00:52:36.327]  It was controlled by the Khmer Rouge and then bombed that to smithereens.
[00:52:36.327 --> 00:52:47.398]  But now, in the current moment, we've got the Mayaguez moment going, and we've got the psychosis, the hysteria that comes from the fact that they see their capital structures, their derivatives are collapsing, right?
[00:52:47.398 --> 00:52:49.840]  MF Global is simply a symptom of this.
[00:52:49.840 --> 00:52:55.366]  We have Commerzbank of Germany, which is one of the big three or big two that are left
[00:52:57.147 --> 00:53:08.934]  And they keep spinning it that Europe has to raise their taxes, cut their benefits, because they're lazy.
[00:53:08.934 --> 00:53:10.475]  It has nothing to do with it.
[00:53:10.475 --> 00:53:17.319]  The megabanks created derivatives and scammed everybody, but the media, bought and paid for by them, will not report it.
[00:53:17.779 --> 00:53:20.342]  All right, and so this also drives them crazy.
[00:53:20.342 --> 00:53:26.790]  And again, it's Societe Generale and probably Crédit Agricole on the French side, Unicredito on the Italian side.
[00:53:26.790 --> 00:53:32.016]  So we've got four or five Lehman Brothers candidates on the European side.
[00:53:32.937 --> 00:53:35.899]  That is leading to a banking panic already.
[00:53:35.899 --> 00:53:43.522]  In other words, if you have a euro deposit, say, in an Italian bank, a lot of people are saying, sell that and put it into Switzerland, right?
[00:53:43.522 --> 00:53:49.145]  Put it into Swiss francs or put it into the friendly pound, although I think that's a very, very dangerous...
[00:53:49.825 --> 00:53:55.527]  So these two things now determine the mood of absolute hysteria in the ruling class.
[00:53:55.527 --> 00:53:56.908]  This impinges on Obama.
[00:53:56.908 --> 00:54:09.392]  We're told that one of the key moments in Libya, when Obama was essentially prevailed upon by three furies, three harpies, Hillary Clinton,
[00:54:10.072 --> 00:54:17.174]  Susan Rice and Samantha Power pushed Obama to embrace this lunatic adventure.
[00:54:17.174 --> 00:54:21.895]  Man, jeez, and now Israel is very excited in their newspapers.
[00:54:21.895 --> 00:54:32.838]  You've got the head of the Joint Chiefs and others coming out and saying, we're ready to wipe them off the face of the earth, and the good old boys will put hot dogs in their sticks and roast them in the radioactive flame.
[00:54:32.838 --> 00:54:36.519]  So you've got that, that's for Lebanon, for Syria,
[00:54:37.279 --> 00:54:41.380]  For Pakistan, for Iran, there's a threat of immediate war.
[00:54:41.380 --> 00:54:55.223]  But I think even more dangerous than this, if possible, is the manic mood, this manic flight forward in the ruling elite, which is that now that they've done the Arab Spring, Summer, Fall, and now we're into the Arab Winter starting today, right?
[00:54:55.223 --> 00:54:56.964]  This is now the Arab Winter.
[00:54:56.964 --> 00:54:57.464]  They say,
[00:54:58.164 --> 00:55:00.346]  This wave is our only hope.
[00:55:00.346 --> 00:55:05.892]  We've got to essentially wipe out all centers of resistance in the world.
[00:55:05.892 --> 00:55:11.657]  And if we can do that, we can have another 100 years of US-British financial dictatorship over the world.
[00:55:11.657 --> 00:55:16.161]  And make even bigger profits on militarizing domestically and arresting whoever you don't like.
[00:55:16.161 --> 00:55:19.945]  So they're going to go the pure, hyper, fascist, tyranny route.
[00:55:19.945 --> 00:55:20.065]  Yes.
[00:55:20.885 --> 00:55:34.834]  There's an international dimension to doing that, because there are certain limits beyond which they cannot go, as long as they don't control Moscow, if they don't control Beijing, and they don't control terror.
[00:55:34.834 --> 00:55:42.299]  And we're out of time, but Webster, we're seeing chilling statements by Hu two weeks ago, the Chinese president, about prepare for war with the U.S.
[00:55:42.299 --> 00:55:43.740]  You've got Putin saying the U.S.
[00:55:43.740 --> 00:55:45.341]  ruling class is quote, insane.
[00:55:46.261 --> 00:55:50.666]  Yes, and I think that's a very germane concept.
