[00:00:27.202 --> 00:00:29.084]  You wanted it, you've got it.
[00:27:42.759 --> 00:27:44.200]  The American Dream.
[00:27:45.500 --> 00:27:47.461]  There's a reason they call it a dream.
[00:27:49.122 --> 00:27:49.562]  Who's there?
[00:27:50.382 --> 00:27:51.763]  Cock-a-doodle-doo, pal.
[00:27:57.106 --> 00:27:58.967]  No, no, no, no, no!
[00:27:59.347 --> 00:28:00.548]  I don't have any more money!
[00:28:01.208 --> 00:28:03.250]  My job sucks right now, please!
[00:28:03.310 --> 00:28:04.811]  I'll have more money next month!
[00:28:06.592 --> 00:28:08.173]  You can't take my house!
[00:28:08.533 --> 00:28:09.574]  Is that your signature?
[00:28:09.754 --> 00:28:12.416]  It is a private bank, owned by private stockholders.
[00:28:12.876 --> 00:28:14.177]  A private bank?
[00:28:14.237 --> 00:28:16.138]  Do not let the name Federal fool you.
[00:28:16.418 --> 00:28:23.423]  If I got this money from the bank, and the bank got it from the Federal Reserve Duntraps, where does the Federal Reserve get their money?
[00:28:35.455 --> 00:28:39.064]  They take our property away, just like Thomas Jefferson said they would.
[00:28:39.505 --> 00:28:41.470]  Those sons of bitches!
[00:28:42.913 --> 00:28:45.199]  It's the greatest theft in human history.
[00:29:14.585 --> 00:29:16.907]  Welcome back to InfoWars Nightly News.
[00:29:16.987 --> 00:29:18.348]  I'm your host, Alex Jones.
[00:29:19.069 --> 00:29:34.042]  And all week we've been focusing in on vaccines because all over the United States, but also in other parts of the world like Mexico, governments are now moving towards forced inoculation of children without parental consent.
[00:29:34.142 --> 00:29:39.767]  That bill has now passed the House and Senate in California and is on Governor Brown's desk.
[00:29:40.367 --> 00:29:47.392]  So I wanted to go back and look at some of the big stories we've seen the last few years concerning vaccines.
[00:29:47.412 --> 00:29:57.898]  The H1N1 for flu, Gardasil now being a big national story with Rick Perry being attacked by all the other Republican candidates saying that he was wrong to have attempted that.
[00:29:58.339 --> 00:30:00.060]  This is a big breakthrough.
[00:30:00.740 --> 00:30:10.787]  Really showing that Americans and people all over the world are starting to wake up to the fraud, to the danger, to the carnage that is Big Pharma and the vaccine industry.
[00:30:11.067 --> 00:30:30.260]  So they're striking back boldly and launching all sorts of hoaxes saying nobody's been hurt by Gardasil, despite the fact that the CDC's own adverse reaction report says 18 to 20 plus thousand, depending on what report you look at, despite the fact that it's well-known Gardasil has resulted in deaths.
[00:30:30.740 --> 00:30:36.022]  And joining us to talk about this is author, filmmaker, medical doctor, Sherry Tenpenny.
[00:30:36.383 --> 00:30:41.765]  Her new DVD film is out, Flu and Flu Vaccines, What's Coming Through the Needle.
[00:30:42.265 --> 00:30:47.447]  By the way, it's available at InfoWars.com if you'd like to support our work that we're doing here.
[00:30:47.728 --> 00:30:57.232]  I want to talk to Dr. Sherry Tenpenny because she's probably the most respected and well-known medical doctor out there breaking down exactly what's happening with these
[00:30:58.292 --> 00:30:58.813]  Thank you so much, Alex.
[00:30:58.833 --> 00:30:59.333]  Thanks for asking me.
[00:31:15.376 --> 00:31:16.818]  Where do you want to start first?
[00:31:17.519 --> 00:31:19.902]  The new contaminants in the Gardasil?
[00:31:20.282 --> 00:31:22.846]  The move for forced inoculations without parental consent?
[00:31:23.246 --> 00:31:29.093]  Or the fact that in 2009, in hindsight, we learned that you were absolutely on target with what that was going to do?
[00:31:30.411 --> 00:31:32.152]  Well, it's all in the news, isn't it?
[00:31:32.212 --> 00:31:36.314]  And it's one thing after another these days, because what you said was exactly right.
[00:31:36.354 --> 00:31:53.302]  There are millions and millions of people that are now waking up and looking around, and every single time one of these events happen, whether it was bird flu in 2005, whether it was swine flu in 2009, and then the H1N1, all the difficulties that we had when we saw the H1N1 given to young children and also to pregnant women.
[00:31:54.483 --> 00:32:09.200]  And now we've got this whole thing with Gardasil and showing that we've got a biohazard contaminant that's been documented from samples that have been tested from five countries and several different states and the FDA says that this recombinant HPV which has been bound
[00:32:09.400 --> 00:32:10.120]  Thank you for joining us.
[00:32:34.858 --> 00:32:55.129]  Well, if you read the package inserts for H1N1, regular flu shot and others, it says neurological disorders, cancer, brain damage, convulsions, but then you turn on the news and they've got vaccine company spokespeople not telling you that they work for them or on their payroll saying no one's ever been hurt by a vaccine.
[00:32:56.790 --> 00:33:00.052]  Are we seeing more and more desperate lying because they're scared?
[00:33:01.019 --> 00:33:01.940]  I believe that's true.
[00:33:02.601 --> 00:33:15.074]  Every time I hear Dr. Nancy Snyderman on the news talking about how safe and effective vaccines are, trying to assure all of the scared little parents out there, what she's been saying has been absolutely false.
[00:33:15.114 --> 00:33:17.157]  She's actually been giving bad and wrong information.
[00:33:17.657 --> 00:33:29.245]  Instead of promoting the Gardasil vaccine for young girls, because now we're trying to give it to young girls and boys starting at nine years of age, the clinical trials were actually done on 16 to 24 year olds, not on little girls.
[00:33:29.646 --> 00:33:31.767]  We have no idea how long this is going to last.
[00:33:32.067 --> 00:33:36.450]  We know there's a hundred different HPV strains, 15 of which have been associated with cancer.
[00:33:36.811 --> 00:33:38.272]  The vaccine only covers two.
[00:33:38.792 --> 00:33:45.955]  And we have no idea of whether this vaccine is going to have any impact on cervical cancer at all when these girls get to be 30 to 40 years of age.
[00:33:46.376 --> 00:33:53.839]  What she should be, what Dr. Nancy Snyderman should be promoting, is that young girls need to be getting regular pap smears.
[00:33:54.499 --> 00:34:01.383]  And that that has been shown forever to be the most effective way and the most cost-effective way of preventing cervical cancer for the long run.
[00:34:02.063 --> 00:34:16.427]  Well, without getting too graphic, I'm no doctor, but I went and read the insert when the Gardasil first came out, and it said there on the insert, this is not even proven to actually protect you from the cancer.
[00:34:17.268 --> 00:34:32.899]  And then even in the trials we saw the autoimmune problems, the convulsions, the bleeding, people becoming paralyzed, and then lo and behold now there's scientists just in the news a few days ago were saying this DNA, the virus more whole than we first thought,
[00:34:33.479 --> 00:34:41.647]  Bound to the aluminum, this is the exact type of thing that would cause an autoimmune disease like lupus.
[00:34:42.067 --> 00:34:45.010]  And I heard you hinting at the fact that it had been actively bound.
[00:34:46.251 --> 00:34:53.779]  I know they looked at multiple sub-manufacturers of the scar to sell and found this it accidentally happened just like the UN accidentally
[00:34:54.099 --> 00:34:58.640]  With the tetanus shot had female hormone bound to it to cause miscarriages in women.
[00:34:58.660 --> 00:35:04.002]  Doc, do you think this is being done on purpose and this vaccine could have some other use in it than we're being told?
[00:35:04.642 --> 00:35:05.342]  Well, certainly.
[00:35:05.362 --> 00:35:12.304]  I mean, it certainly could, Alex, because one of the other ingredients in the Gardasil vaccine is polysorbate 80.
[00:35:12.764 --> 00:35:21.687]  Polysorbate 80 is a preservative that they use in things like ice cream as a stabilizer, and it has been shown to cause infertility in female mice.
[00:35:22.407 --> 00:35:25.771]  It causes testicular atrophy in male mice.
[00:35:25.851 --> 00:35:28.454]  This is in the medical literature.
[00:35:28.494 --> 00:35:30.235]  People aren't making this up.
[00:35:30.416 --> 00:35:35.681]  They also know that repeated doses of polysorbate 80 can lead to anaphylactic shock.
[00:35:36.142 --> 00:35:43.870]  Polysorbate 80 is also in the DTP vaccine, the DTaP, which they are now pushing on pregnant women for them to get the DTaP vaccine.
[00:35:44.210 --> 00:35:45.251]  So it's endless.
[00:35:45.271 --> 00:35:48.914]  I want to go back and address what you said about are they pushing back very strongly.
[00:35:49.254 --> 00:35:50.015]  Of course they are.
[00:35:50.355 --> 00:35:59.503]  Because you cannot make a living, you cannot make an 800 billion dollar a year industry on the backs of unvaccinated healthy children.
[00:36:00.123 --> 00:36:02.786]  Most children who are unvaccinated are rarely sick.
[00:36:03.186 --> 00:36:07.069]  They may get the occasional cold or flu or a little bit of a fever but it comes and goes.
[00:36:07.489 --> 00:36:10.332]  And so they are not chronically lifetime ill.
[00:36:10.572 --> 00:36:12.960]  Well, it's like the Amish.
[00:36:13.080 --> 00:36:16.150]  The epidemic of autism is unknown in their population.
[00:36:17.214 --> 00:36:20.277]  That's correct, and in many other populations.
[00:36:20.317 --> 00:36:33.408]  I mean, what we've been pushing for, you and I and all of us who are big vaccine advocates, what we've been pushing for for decades, now more than a decade, is for the CDC to finally do the vaccinated versus the unvaccinated study.
[00:36:34.228 --> 00:36:39.533]  It seems as though at some point we're going to have to just raise the money and do it ourselves because the CDC doesn't want to know the answer.
[00:36:39.853 --> 00:36:45.938]  They don't want to see a whole bunch of unvaccinated kids who never miss school, are on no chronic daily medications,
[00:36:46.258 --> 00:36:48.982]  Who are doing extraordinarily well, never get sick.
[00:36:49.002 --> 00:36:56.871]  They do not want to stand that up against a bunch of vaccinated kids who are on a whole bunch of medications and have a lifetime worth of injuries.
[00:36:57.392 --> 00:37:04.020]  Well doctor, what you pointed out back in 2009, out of the gates, you said look from previous studies
[00:37:04.961 --> 00:37:12.786]  We know that when you take this H1N1 flu shot or one that's similar, it's going to reduce your regular immunity to regular flu.
[00:37:13.186 --> 00:37:23.272]  And then they had the big Canadian mainline study that showed, what was it, a doubling in your chances of getting regular seasonal flu if you took the H1N1.
[00:37:23.572 --> 00:37:28.735]  And then I remember it was you and others that discovered that they were admitting that
[00:37:29.887 --> 00:37:39.920]  They might have had a plan previously to put simulants in the previous year's vaccine and there's a lot of evidence they were actually triggering this H1N1 program.
[00:37:40.321 --> 00:37:41.062]  Can you speak to that?
[00:37:42.119 --> 00:37:43.280]  Yeah, I can Alex.
[00:37:43.320 --> 00:37:49.464]  It's also the fact that it does lower the immune system and you can get the flu shot and still get sick.
[00:37:49.905 --> 00:37:54.748]  I've looked back and I talk about this in the flu DVD that is now available through InfoWars.
[00:37:55.268 --> 00:37:59.591]  I've looked at all the data from the CDC over the last 11 years.
[00:38:00.572 --> 00:38:00.672]  Yes.
[00:38:16.621 --> 00:38:19.803]  The antibodies wear off and you have to have an exact match.
[00:38:19.863 --> 00:38:24.025]  The one that's in the flu shot has to match the one that's in circulation in order to keep you from getting sick.
[00:38:24.585 --> 00:38:34.029]  The exact amount of people who actually get sick from the flu that it matches what's in the flu shot over the last 11 years has been less than 13%.
[00:38:35.150 --> 00:38:40.892]  If the flu shot works at all, which I don't think that it does, in fact I know it doesn't, it will only match 13% of the time.
[00:38:42.153 --> 00:38:53.925]  So you take on all the risk of the flu, the flu shot, all of its ingredients, the fact you can get Guillain-Barre, you can have all sorts of immunosuppressive types of things that can happen from a flu shot, and you can still get the flu anyways.
[00:38:54.085 --> 00:38:55.347]  It's absolutely not worth it.
[00:38:55.787 --> 00:39:02.374]  And the multi-dose flu shots that they start giving at children from 6 months of age, the multi-dose flu shots still have mercury in them.
[00:39:03.601 --> 00:39:12.247]  Wow, and while you're talking, we're playing some video over of your documentary presentation, flu and flu vaccines, what's coming through the needle.
[00:39:12.267 --> 00:39:23.375]  I want to talk to you before we end this discussion about that, but Dr. Tenpenny, we've discovered Rockefeller Foundation documents, perhaps we'll put some up while you're speaking, from 1966-68, saying we need to develop
[00:39:27.344 --> 00:39:31.929]  Sterilants hidden in vaccines, so basically piggybacking or Trojan horsing.
[00:39:32.369 --> 00:39:39.717]  Then we have the report from 85 where they say this is wonderful, we've actually discovered it, we're going into the implementation phase.
[00:39:40.237 --> 00:39:48.285]  And then as you know, the UN got caught in the mid-90s in Africa and Asia, India and places, with the tetanus shots that really had a sterilant in them.
[00:39:49.887 --> 00:39:51.207]  Well, not really even a sterilant.
[00:39:52.388 --> 00:39:57.030]  It caused women to have violent miscarriages in the second trimester.
[00:39:57.050 --> 00:39:58.970]  I mean, I know you're a doctor.
[00:39:59.010 --> 00:40:04.592]  You just focus on the effects of these, but in the final equation, they know what they're doing.
[00:40:04.972 --> 00:40:07.633]  And this is more than just profit-making.
[00:40:08.173 --> 00:40:17.577]  This is really a medical tyranny from my research, and I think that's really evidenced by the fact that they, on national news over the weekend, put
[00:40:18.417 --> 00:40:21.261]  Frontman for Merck, up on all the major news shows.
[00:40:21.301 --> 00:40:35.097]  It was bombarding the population, saying not one person's been hurt by Gardasil, and issuing a fake $10,000 challenge at Congresswoman Michelle Bachmann, who followed Ron Paul's lead and raised the issue to Rick Perry.
[00:40:36.280 --> 00:40:42.085]  I mean, that's amazing, because all we did was go to the CDC's own report, and we had a press release from a few months ago.
[00:40:42.105 --> 00:40:42.705]  It was 17,000.
[00:40:43.646 --> 00:40:44.927]  I was corrected yesterday.
[00:40:44.987 --> 00:40:46.369]  It's actually 22,000 now.
[00:40:46.429 --> 00:40:52.934]  It's grown in just a few months, and they admitted deaths, Guillain-Barré, all on their own paperwork, which we'll show again in a moment.
[00:40:52.954 --> 00:40:54.856]  We just showed the Rockefeller Foundation documents.
[00:40:55.676 --> 00:41:00.901]  I mean, this is bold hoaxing, and so clearly they know what they're doing.
[00:41:02.659 --> 00:41:10.424]  How I always try to explain that to people, Alex, that maybe can't get their head around that, is I always refer to Enron and Arthur Anderson.
[00:41:10.464 --> 00:41:14.406]  Who would have ever thought one of the big eight accounting firms would have just completely imploded and gone away?
[00:41:14.806 --> 00:41:19.069]  Who would have ever thought that one of the top Fortune 200 companies in this country
[00:41:19.429 --> 00:41:20.931]  Would have just blown up and gone away.
[00:41:20.951 --> 00:41:23.013]  Who had tens of thousands of employees.
[00:41:23.594 --> 00:41:26.997]  It was the 8 or 10 rotten apples at the top that knew all along.
[00:41:27.438 --> 00:41:31.462]  And I believe, it's my personal belief, that that's the way it is inside of the vaccine industry.
[00:41:31.863 --> 00:41:36.668]  And when you get big food, big pharma, and big oil together that control and own everything.
[00:41:36.928 --> 00:41:38.830]  They don't like the population to be where it is.
[00:41:39.851 --> 00:41:41.513]  I think that there are some issues with that.
[00:41:41.653 --> 00:41:46.997]  I also truly believe that the vaccine industry is the bedrock of the entire pharmaceutical industry.
[00:41:47.037 --> 00:41:47.618]  The bedrock.
[00:41:47.638 --> 00:41:49.940]  That is why they are fighting this so hard.
[00:41:50.320 --> 00:41:56.705]  Because if you took out all of those vaccines, which by the way, there are 330 vaccines in development right now.
[00:41:57.506 --> 00:42:01.048]  96 about to be approved, targeted towards adolescents and adults.
[00:42:01.088 --> 00:42:04.651]  So if parents think that, who are listening to this, say, my kids are all grown up.
[00:42:04.691 --> 00:42:05.852]  I don't have to worry about that anymore.
[00:42:06.112 --> 00:42:06.653]  Guess again.
[00:42:06.833 --> 00:42:07.714]  They're coming after you.
[00:42:08.434 --> 00:42:11.777]  Did you see the doctor on the news this weekend, one of their pushers?
[00:42:12.237 --> 00:42:12.857]  I forget his name.
[00:42:12.877 --> 00:42:13.698]  We've got it in the clips.
[00:42:13.718 --> 00:42:14.679]  We played it earlier in the week.
[00:42:15.099 --> 00:42:18.241]  He said you could give a baby 10,000 vaccines at once.
[00:42:18.902 --> 00:42:19.962]  Yeah, that was Paul Offit.
[00:42:19.982 --> 00:42:21.644]  That was a paper that came out in 2003.
[00:42:22.064 --> 00:42:30.770]  And I actually wrote a rebuttal to that back in 2003 where he said that you could take 10,000 vaccine antigens all at the same time.
[00:42:30.810 --> 00:42:32.992]  And it's like, OK, Paul Offit, roll up your sleeve.
[00:42:33.252 --> 00:42:36.274]  Just let's do it to you and see what happens to your health.
[00:42:36.414 --> 00:42:39.876]  But isn't this going to destroy them in the end when it gets so obvious?
[00:42:39.916 --> 00:42:43.217]  We're now 1 in 36 in South Korea have autism.
[00:42:43.578 --> 00:42:50.541]  Where you go to a movie theater and maybe 20% of the kids in there are behaving like zombies.
[00:42:51.481 --> 00:42:53.823]  Clearly this is an environmental situation.
[00:42:54.163 --> 00:42:56.224]  They can't cover it up forever.
[00:42:56.644 --> 00:43:02.793]  And as you just alluded to, they have hundreds of vaccines coming down the pipeline that they want to get government to mandate we take.
[00:43:03.213 --> 00:43:07.719]  And as I know you said two years ago, over and over again, you said, Alex, people are waking up.
[00:43:08.280 --> 00:43:12.826]  They used to just sell this through soft power and trick everybody.
[00:43:13.967 --> 00:43:18.231]  You said they're going to try to force it, and that brings me to one of the final points.
[00:43:18.691 --> 00:43:24.977]  As you know, the bill has passed the House and Senate in California, most populous state, 36 million people or whatever it is, 37 million.
[00:43:25.357 --> 00:43:26.738]  It's gone to Brown's desk.
[00:43:26.758 --> 00:43:31.142]  He's saying he's going to sign it to inject the kids without parental consent.
[00:43:31.262 --> 00:43:32.903]  I mean, my God!
[00:43:33.824 --> 00:43:36.046]  I want to know where the liability in that is going to be.
[00:43:36.547 --> 00:43:47.417]  If a 12-year-old girl who's in her little girl clatch and they all decide they're going to get the Gardasil vaccine together and one of them dies, where is the liability in that going to be?
[00:43:47.437 --> 00:43:49.138]  Is it going to be with the school nurse?
[00:43:49.479 --> 00:43:50.800]  With the school district?
[00:43:51.100 --> 00:43:52.361]  With the governor?
[00:43:52.722 --> 00:43:54.924]  Where is the liability going to lie in that?
[00:43:56.045 --> 00:44:11.684]  Because if they've passed a law saying that these young girls and boys can make a decision for their own on vaccines, are they going to say that girls can make a decision of their own on some other drug like Ritalin or any other type of pharmaceutical psychotropic drug?
[00:44:12.225 --> 00:44:14.506]  And where is the liability going to lie?
[00:44:14.606 --> 00:44:16.367]  I don't think anybody has addressed that.
[00:44:16.668 --> 00:44:23.552]  Because someone as large as that state, as we know for sure, as you've already said, there are at least 23,000 VAERS reports.
[00:44:23.852 --> 00:44:29.055]  That could represent as little as 1% of the actual number of reported injuries out there.
[00:44:29.355 --> 00:44:36.600]  We know that there's at least 32 confirmed deaths and 100 other deaths that they are investigating with the Gardasil vaccine.
[00:44:37.000 --> 00:44:43.565]  What's going to happen if some of these girls walk into the school nurses area and they get a vaccine and they fall on the floor and have a seizure and die?
[00:44:43.985 --> 00:44:44.766]  Who's responsible?
[00:44:45.126 --> 00:44:46.187]  Nobody's talking about that.
[00:44:46.227 --> 00:44:50.208]  By the way, that's another point I've made on the radio and play clip after clip.
[00:44:50.228 --> 00:45:09.197]  If you just type girl died after Gardasil, you get the US, you get Canada, you get England, you get Indian newscasts where they inject them in the classrooms and girls collapse, have convulsions and in some cases die of shock within minutes
[00:45:10.237 --> 00:45:11.198]  I mean, this is incredible.
[00:45:11.459 --> 00:45:14.102]  How are they... That's my question.
[00:45:14.462 --> 00:45:15.864]  How are they so bold?
[00:45:16.184 --> 00:45:17.546]  How are they so wild?
[00:45:17.886 --> 00:45:26.216]  I mean, how are they just so brazen when they knew it was killing people in the trials, and they still went ahead and had Perry lie and say it was the law.
[00:45:26.576 --> 00:45:30.721]  Well, he got caught, it wasn't the law, and so now they've just moved to go ahead and have a law.
[00:45:31.582 --> 00:45:32.963]  Alex, think about this for a minute.
[00:45:33.323 --> 00:46:01.162]  If you took your two-year-old, your two-year-old child, and you four-postered them on your dining room table, you had four adults hold them down on the table, and you took needle syringes, you took four needles and jabbed them into their thighs, and you injected chemicals, aluminum, formaldehyde, animal cells, human DNA into their legs, and then you went and told your neighbor, and you left that child to cry and scream hysterically for hours, and then you told your neighbor, well, yeah, we were just doing a little procedure.
[00:46:01.522 --> 00:46:04.645]  How soon would CPS show up at your door and take those kids away?
[00:46:05.025 --> 00:46:14.995]  But because it's done in a doctor's office, because somebody has on a white coat and somebody trusts you, we think that this is okay, it's harmless, and because it's good for you, it's torture.
[00:46:16.116 --> 00:46:24.063]  It should not be allowed to be happening anywhere, let alone in a school system where some adolescent gets to make a decision about what's injected in their body.
[00:46:24.083 --> 00:46:24.884]  It's a travesty.
[00:46:24.964 --> 00:46:25.505]  It really is.
[00:46:25.885 --> 00:46:36.599]  Well I know this, I was a tough kid and I'd play around in construction zones and have nails go through my foot and break arms and break fingers and was tough and didn't care and wasn't afraid of anything.
[00:46:36.999 --> 00:46:43.888]  But I was horrified of shots and would beg and would plead and I only had a few vaccines in my life.
[00:46:44.449 --> 00:46:47.653]  And now it's more than 50 I know they give children.
[00:46:47.693 --> 00:46:51.839]  Now they want it to be hundreds and they're setting the precedent to try to give them thousands.
[00:46:52.460 --> 00:46:53.521]  This is just incredible.
[00:46:53.841 --> 00:46:57.566]  Now I want to close, Doctor, with their ace in the hole.
[00:46:57.646 --> 00:47:01.091]  You raised this when I was talking to you during the break before we went live here.
[00:47:01.992 --> 00:47:06.476]  And you said their ace in the hole is things like contagion with Matt Damon and all this.
[00:47:07.096 --> 00:47:15.062]  There are so many TV shows, movies about mega death, billions dead, not a question of if but when, you've got to get the shot.
[00:47:15.923 --> 00:47:28.153]  And when you learn that this vaccine industry is a hundred billion dollar industry a year or more, you really see that this is product placement, propaganda placement, and that that's the race in the hole is just scaring the daylights out of people.
[00:47:29.156 --> 00:47:45.779]  Absolutely, and the vision statement of the pharmaceutical industry, which I learned this from a pharmaceutical insider, said that the vision statement of the entire industry is to have every single human on the planet on a minimum of two daily pharmaceutical drugs for their entire life.
[00:47:46.340 --> 00:47:56.908]  Well, how better to do that than to start with young children and making them terribly sick and have all sorts of things from asthma, allergies, eczema, ADD, ADHD, that you can't really connect.
[00:47:57.248 --> 00:48:07.255]  Somebody told me that there was a line from that movie Contagion that said, you know, we need to make this vaccine because if 10 years from now it's causing autism, nobody will be able to connect the dots.
[00:48:07.936 --> 00:48:09.457]  And that's exactly what they're setting up.
[00:48:09.497 --> 00:48:12.239]  They want everybody sick because that promotes their widgets.
[00:48:13.450 --> 00:48:20.396]  It certainly does, and then they have the treatments in development for things that they know in the trials with lab animals it's going to cause in Homo Sapien.
[00:48:20.916 --> 00:48:25.260]  Sapien, the diabolical nature, the weaponization of this.
[00:48:25.620 --> 00:48:39.912]  I know you've done deep research, but in my film, In Game, and just through pure research trying to discover what the globalists, the Rockefellers, stood for, the Rockefellers, the British royalty, the King of England had to advocate over it, funded Hitler.
[00:48:40.712 --> 00:48:42.493]  And wanted worldwide eugenics.
[00:48:42.553 --> 00:48:45.855]  And it was a medical tyranny that the Nazis first engaged in.
[00:48:46.316 --> 00:48:47.837]  Forced inoculation, all of it.
[00:48:48.557 --> 00:48:50.918]  And that's basically now what's come here.
[00:48:51.359 --> 00:48:57.943]  It's just an underground program, and that's why Bayer Pharmaceutical and others that came out in court knowingly shipped out HIV blood.
[00:48:57.983 --> 00:48:59.724]  And, hey, it's get rid of the hemophiliacs.
[00:48:59.744 --> 00:49:00.584]  We're doing you a favor.
[00:49:01.065 --> 00:49:03.026]  This is a cold-blooded group.
[00:49:03.726 --> 00:49:06.648]  From my research, it's much bigger than profit.
[00:49:06.968 --> 00:49:09.450]  Have you found the eugenics angle in your research?
[00:49:10.430 --> 00:49:23.688]  I have, and I think that it's what a lot of people say, and I would have to agree, that when World War II was over, everybody just traded in their uniforms for white coats and business suits.
[00:49:24.688 --> 00:49:25.949]  Nothing changed.
[00:49:26.389 --> 00:49:28.111]  Things just went on as usual.
[00:49:28.631 --> 00:49:31.533]  And I do believe that there is definitely a sinister side.
[00:49:31.553 --> 00:49:38.578]  And the problem that bothers me the most, Alex, is what's wrong with the 800,000 physicians in this country?
[00:49:39.019 --> 00:49:44.663]  That they just march to the tomb of the drug companies, that they're not willing to look at any of this information, or very little of it,
[00:49:44.983 --> 00:49:48.987]  They don't know what's coming through that needle and being injected into adults and children.
[00:49:49.307 --> 00:50:00.037]  And they just absolutely stand by it and take people like me and you and other people who are exposing the truth and tell colleagues and other physicians, say, you're just saying all the wrong things.
[00:50:00.097 --> 00:50:00.718]  It's just really not true.
[00:50:00.738 --> 00:50:01.358]  Well, I'll tell you why.
[00:50:01.378 --> 00:50:02.680]  I mean, you're a doctor.
[00:50:03.020 --> 00:50:05.582]  Correct me if I'm wrong, but I've got family that are physicians.
[00:50:06.443 --> 00:50:23.895]  Look, they are brought up that you're part of the elite now, you know best, and then they're kept so busy that they just receive what the American Medical Association says and they follow it, and they've been following this system so long, they don't want to admit they were conned and were wrong.
[00:50:24.355 --> 00:50:26.197]  And so they're now committed to it.
[00:50:27.017 --> 00:50:28.758]  And that's basically how tyrannies work.
[00:50:29.719 --> 00:50:36.583]  Once a tyrant or once a corrupt system gets you to join it, then you will rationalize greater and greater crimes.
[00:50:38.464 --> 00:50:39.104]  Well stated.
[00:50:39.404 --> 00:50:40.265]  I'm sure that's true.
[00:50:41.526 --> 00:50:43.767]  But we are seeing more and more medical doctors come out.
[00:50:45.424 --> 00:50:46.245]  Not nearly enough.
[00:50:46.525 --> 00:50:59.963]  I mean, really, even physicians who do integrative medicine like I do here in Cleveland, Ohio, even doctors that have a practice of holistic medicine, they still are sort of a supporter of vaccinations.
[00:51:00.003 --> 00:51:00.864]  I mean, they really are.
[00:51:01.024 --> 00:51:02.246]  They have really an issue with that.
[00:51:02.799 --> 00:51:13.043]  Well, I mean, I want to be clear, certainly from the medical history and the 400 years of vaccination, you can't get some immunity from having something attenuated or weakened.
[00:51:13.563 --> 00:51:16.584]  But then there's the whole issue of, then what does that do to the rest of your immune system?
[00:51:16.884 --> 00:51:20.546]  But now, I think they deceive us by even calling these vaccines.
[00:51:21.006 --> 00:51:25.848]  These are more nanotech, re-engineered viruses
[00:51:26.368 --> 00:51:35.235]  I mean, now they've got the new classes coming out that re-engineer the brain and attack neurons that would uptake endorphins that, you know... The Funvax.
[00:51:36.236 --> 00:51:36.556]  Exactly.
[00:51:36.576 --> 00:51:38.657]  They're saying, don't be depressed anymore.
[00:51:38.978 --> 00:51:47.724]  I mean, this is really Buck Rogers-type re-engineering of society, and they just call it vaccines, and they think, well, this is like the polio vaccine.
[00:51:47.744 --> 00:51:48.545]  We're saving people.
[00:51:49.085 --> 00:51:52.368]  Yeah, saving them with hundreds of millions exposed to cancer viruses.
[00:51:52.788 --> 00:51:58.771]  Well, think about all of these girls that we were talking about just a few minutes ago that would get these injections of Gardasil.
[00:51:58.851 --> 00:52:00.311]  And it could be any of them.
[00:52:01.112 --> 00:52:05.974]  Kids now get 40 doses of 16 different vaccines by the time they start kindergarten.
[00:52:06.554 --> 00:52:15.298]  And one of the things that people have to realize when they're listening to this, and it's school season, school just started, and across the country they've been telling people that parents, no shots, no school.
[00:52:15.678 --> 00:52:19.040]  Well, my answer to that is no shots, no school, not true.
[00:52:19.600 --> 00:52:29.987]  Every state except West Virginia and Mississippi have either a philosophical exemption or a medical exemption for you to opt out of your children being inoculated with all of these things.
[00:52:30.587 --> 00:52:33.309]  So there are a lot of ways that you could stop it.
[00:52:33.349 --> 00:52:38.012]  But every one of these vaccines all have horrible potential side effects.
[00:52:38.253 --> 00:52:49.180]  There is nothing that can come through a needle and try to keep you healthy that you can't do for yourself just by your own diet, exercise, vitamin D, vitamin C and all those things.
[00:52:49.360 --> 00:52:51.301]  Well, Doc, that's another example of a hoax.
[00:52:51.982 --> 00:52:52.502]  Exactly.
[00:52:52.522 --> 00:52:58.187]  They continue to say it's the law, you've got to take it, and that's what's so wonderful about Perry being caught.
[00:52:58.567 --> 00:53:05.012]  We called him, it came out he didn't have the authority, it wasn't the law, and now he has to apologize and all the other candidates are against him.
[00:53:05.332 --> 00:53:10.276]  That has certainly gotten the death merchants of the vaccine makers
[00:53:11.617 --> 00:53:15.503]  On the defensive, like I've never seen them before.
[00:53:16.325 --> 00:53:18.829]  Now, what about the other two states?
[00:53:18.849 --> 00:53:20.752]  There are still ways to get exemptions there, correct?
[00:53:21.880 --> 00:53:26.621]  Well, West Virginia and Mississippi really only have a medical exemption and it's very hard to get.
[00:53:27.061 --> 00:53:29.722]  Their state health departments are very adamant about it.
[00:53:29.782 --> 00:53:36.124]  In fact, I've even had some parents in Mississippi tell me that the state health department wants them to vaccinate their kids even if they're homeschooling.
[00:53:36.664 --> 00:53:41.225]  And so, those two states are the only two states that just have a medical exemption.
[00:53:41.365 --> 00:53:42.926]  Most of the time you can only get that
[00:53:43.306 --> 00:53:45.909]  For a particular vaccine for which you've had a reaction.
[00:53:45.969 --> 00:53:55.839]  I mean, even if you have an ill child and you say, I don't want them to have the vaccines, the medical doctors, who again are the problems, will say, oh, well, it's because your child is sick.
[00:53:55.899 --> 00:54:00.044]  They need the vaccines more than ever because you don't want them to get those vaccine preventable diseases.
