[00:00:26.220 --> 00:00:27.080]  Thank you for joining us.
[00:27:09.778 --> 00:27:15.284]  For the third time today, it's reminiscent of those pictures we've all seen too much on television before, when a building was deliberately destroyed by well-placed dynamite to knock it down.
[00:27:30.595 --> 00:27:33.137]  He then backed up that statement when asked years later.
[00:27:33.157 --> 00:27:41.124]  I was reporting live at 9-11 and I reported what I saw and tried to describe it as accurately as I know how.
[00:27:41.544 --> 00:27:44.747]  Luke Radowski, founder of We Are Change, has confronted
[00:27:45.391 --> 00:27:52.134]  WTC7 owner Larry Silverstein on several occasions and Larry refuses to answer his questions.
[00:27:52.154 --> 00:27:53.915]  You made an infamous quote saying pull it.
[00:27:54.315 --> 00:27:59.318]  Now you later released a press release saying that that was the firefighters outside WTC7 and not 11.
[00:28:00.078 --> 00:28:00.898]  It's two questions.
[00:28:01.018 --> 00:28:04.480]  If you meant to pull the firefighters out, why didn't you say evacuate the firefighters?
[00:28:04.820 --> 00:28:10.883]  And there's also FEMA reports and first responders that I know personally that firefighters were already out that building before you made that statement.
[00:28:11.323 --> 00:28:12.864]  So can you please clarify your statement?
[00:28:17.299 --> 00:28:20.887]  This is Luke's latest attempt, which is on the heels of the 10th anniversary.
[00:28:21.626 --> 00:28:29.031]  Last time we talked, sir, I asked you if you could address some of the 9-11 conspiracy theories that you were accused of.
[00:28:29.831 --> 00:28:32.173]  Sadly, your response has actually invited more of them.
[00:28:32.553 --> 00:28:40.298]  I mean, for the record, everybody knows your infamous comments on PBS where you said pull Building 7 on 525 on the day of 9-11.
[00:28:40.338 --> 00:28:42.619]  Your official response was that it was the firefighters.
[00:28:43.180 --> 00:28:49.503]  My question is, it was pretty clear that you meant the building, and if it was the firefighters, they already are outside the building by 12.
[00:28:50.484 --> 00:28:51.986]  Because the water lines were broken?
[00:28:52.246 --> 00:28:52.947]  Ask the question.
[00:28:53.147 --> 00:28:59.253]  And the fire chief that you said you spoke to, Fire Chief Nagro, denies talking to you on that day of 9-11.
[00:28:59.273 --> 00:29:02.016]  Can you answer those questions and address the theories against you?
[00:29:03.157 --> 00:29:05.480]  I suggest everybody
[00:29:10.131 --> 00:29:21.436]  Are you aware of testimony of bombs in the building before the building collapsed, sir?
[00:29:21.876 --> 00:29:23.096]  Are you aware of that testimony?
[00:29:24.277 --> 00:29:26.518]  Sir, there's testimony by Bear Gettysburg.
[00:29:26.538 --> 00:29:27.678]  Sir, you don't have to touch me.
[00:29:28.118 --> 00:29:29.459]  Listen, I'll walk away.
[00:29:29.479 --> 00:29:31.240]  All I'm asking is a question.
[00:29:31.480 --> 00:29:32.560]  I don't have to be kicked out.
[00:29:32.720 --> 00:29:34.641]  It's a legitimate question.
[00:29:34.941 --> 00:29:39.185]  You don't have to put your hands on me, but all I'm saying is... No, I'm not.
[00:29:39.245 --> 00:29:42.047]  I'm here asking... The question was not answered, that's why I have a grievance.
[00:29:42.327 --> 00:29:48.732]  Larry Silverstein was told not to come into work, that's why him, his daughter, and his son never showed up to work on 9-11.
[00:29:49.153 --> 00:29:51.675]  He put an insurance policy on the buildings.
[00:29:52.255 --> 00:29:53.736]  Reporters, do your job!
[00:29:53.996 --> 00:29:54.557]  Please!
[00:29:54.837 --> 00:29:55.938]  Ask some questions!
[00:29:56.338 --> 00:29:59.561]  As you can see, Larry is still not answering his questions.
[00:30:00.083 --> 00:30:03.733]  This is Rob Dew, reporting for InfoWars.com, Special Report.
[00:30:09.082 --> 00:30:10.564]  Why don't you do your job?
[00:30:11.104 --> 00:30:13.087]  Why don't you ask real questions?
[00:30:13.627 --> 00:30:19.814]  That, my friends, is why the mainstream dinosaur media is losing almost all of its viewers, listeners, and readers.
[00:30:20.415 --> 00:30:25.761]  It's because the people know they're a bunch of bought-and-paid-for corporate prostitutes.
[00:30:26.441 --> 00:30:30.166]  Joining us is Luke Rudowsky of We Are Change.
[00:30:31.212 --> 00:30:32.433]  Luke, great job.
[00:30:32.473 --> 00:30:36.095]  You've confronted Larry Silverstein many times over the years.
[00:30:37.096 --> 00:30:41.478]  They threw you out of there, and they certainly looked shook up by you.
[00:30:42.459 --> 00:30:43.280]  Oh, they definitely did.
[00:30:43.340 --> 00:30:48.102]  I mean, I'm not like the regular prostitutes just asking questions from the press release that they give you.
[00:30:48.423 --> 00:30:57.388]  I mean, I personally believe it's the job of a journalist to ask real questions, to be the eyes and ears of the American people, to spur the lazy, to expose corruption.
[00:30:57.708 --> 00:30:58.449]  And when you do that,
[00:30:58.729 --> 00:31:02.052]  I mean, the same thing happens every time I go out to a major press conference.
[00:31:02.293 --> 00:31:03.133]  It's always the same thing.
[00:31:03.514 --> 00:31:12.603]  You ask a legitimate question, never get an answer, they duck and dive, sometimes they even run away, and then they have a manhandler waiting there just to drag you out.
[00:31:12.983 --> 00:31:15.365]  And that's what I'm trying to point out to the people online.
[00:31:15.425 --> 00:31:17.988]  Why are these questions so hard to answer?
[00:31:18.608 --> 00:31:21.632]  And that's what I'm hoping people will get from the videos that I put out there.
[00:31:21.893 --> 00:31:26.299]  So they can actually find out what's really happening in this world because the journalists aren't doing their jobs.
[00:31:26.339 --> 00:31:27.580]  And if they're not, fine.
[00:31:27.861 --> 00:31:29.182]  The mainstream media, forget them.
[00:31:29.463 --> 00:31:30.845]  We are the new mainstream media.
[00:31:30.885 --> 00:31:32.126]  We're going to make them obsolete.
[00:31:32.226 --> 00:31:33.548]  We're going to do their job for them.
[00:31:33.768 --> 00:31:35.371]  And that's what we're doing here at We Are Change.
[00:31:36.417 --> 00:31:37.278]  You're a New Yorker.
[00:31:37.838 --> 00:31:39.119]  You were there on 9-11.
[00:31:40.140 --> 00:31:44.102]  We have Larry Silverstein saying they pulled Building 7, a controlled demolition term.
[00:31:44.142 --> 00:31:45.163]  We have the CNN footage.
[00:31:45.503 --> 00:31:47.284]  Cops saying, get back, they're bringing it down.
[00:31:47.665 --> 00:31:52.108]  We have BBC announcing the building had fallen into its own footprint 25 minutes before.
[00:31:53.068 --> 00:31:54.709]  The list just goes on and on.
[00:31:54.809 --> 00:31:57.071]  Then NIST said it didn't fall at free-fall speed.
[00:31:57.451 --> 00:31:58.752]  Now they've had to admit it did.
[00:31:59.192 --> 00:32:01.314]  It's a classical controlled demolition.
[00:32:01.334 --> 00:32:06.137]  We've got 1,500 architects and engineers on record now saying this is a cover-up.
[00:32:07.058 --> 00:32:10.502]  Yeah, let's not also forget the survivors, the people who lived through 9-11.
[00:32:10.542 --> 00:32:13.846]  People like William Rodriguez and Barry Jennings and Kevin McPadden.
[00:32:14.166 --> 00:32:20.894]  I mean, those stories of people who survived and lived through those horrible attacks conflict with the official version of the story.
[00:32:20.934 --> 00:32:22.837]  I mean, there was a countdown from witnesses.
[00:32:23.257 --> 00:32:25.498]  From 10 to 0 when building 7 came down.
[00:32:25.798 --> 00:32:28.979]  I mean, everybody was saying, let's go back, they're gonna blow up this building.
[00:32:29.299 --> 00:32:31.579]  And now the official story that it wasn't blown up?
[00:32:31.639 --> 00:32:32.960]  I mean, it doesn't make any sense.
[00:32:33.220 --> 00:32:34.140]  It never adds up.
[00:32:34.600 --> 00:32:39.562]  And to find out the truth, all you have to do is look at the people who lived through it, the eyewitnesses who survived it.
[00:32:39.882 --> 00:32:42.122]  All you have to do is just do a little bit of research.
[00:32:42.162 --> 00:32:44.023]  Don't believe anything I say, ever.
[00:32:44.303 --> 00:32:48.244]  Don't question everything, but just people, just please, do your homework.
[00:32:48.604 --> 00:32:50.145]  And you know, I've been here in Washington, D.C.
[00:32:50.205 --> 00:32:59.672]  I've been doing other interviews with people on the streets, and sadly, you know, when I'm doing a man on the street interview, I'm showing a picture of Snooki, and people know automatically who that is.
[00:32:59.992 --> 00:33:04.835]  And then I show them a picture of their representative, their congresswoman, and they don't know who the hell that is.
[00:33:04.915 --> 00:33:09.358]  And that's sad, but what we're trying to show and highlight is, just people go out there and think.
[00:33:09.438 --> 00:33:10.299]  It's not dangerous.
[00:33:10.859 --> 00:33:12.420]  Think for yourself, people.
[00:33:12.440 --> 00:33:16.023]  I mean, we have one life, it's short, and we deserve to know what's really happening.
[00:33:17.483 --> 00:33:28.833]  The 10-year anniversary is coming up, and I want to get back into the control demolition of the towers in a moment, Luke, and all the harassment you've gone through over the years trying to simply expose it.
[00:33:30.071 --> 00:33:42.441]  But looking at the articles that have come out in CNN, Fox News, you name it, where the White House has said no 9-11 first responders are allowed at Ground Zero.
[00:33:42.942 --> 00:33:53.110]  Now I know in past years first responders have confronted people and said you lied about the deadly asbestos dust, there were controlled demolitions, we want to talk about the countdown we all heard for Building 7.
[00:33:54.131 --> 00:34:04.940]  Is that the real reason that 10 years later, that down in that wound in the earth where they built no new structures, where they could hold thousands of people, that no first responders are allowed?
[00:34:05.281 --> 00:34:06.662]  Or is there something else involved?
[00:34:07.168 --> 00:34:11.792]  I mean, first responders have been disrespected for 10 years now.
[00:34:11.852 --> 00:34:17.176]  I mean, from the beginning, they were denied basic health benefits that were entitled to them by their job.
[00:34:17.236 --> 00:34:18.677]  Not even asking for more things.
[00:34:18.697 --> 00:34:22.781]  They were asking for workers' comp, unemployment benefits, and they weren't even getting those.
[00:34:23.101 --> 00:34:27.865]  I mean, even when they were getting sick, the government came out and said, they're not getting sick.
[00:34:27.925 --> 00:34:29.126]  No, it's psychological.
[00:34:29.686 --> 00:34:33.249]  And it's just a slap in the face of what they're doing to first responders.
[00:34:33.289 --> 00:34:36.652]  They have to fight tooth and nail to get all the proper help and support.
[00:34:37.392 --> 00:34:43.298]  That was a huge uphill battle, and they're just pretty much spitting in the face of the Heroes of 9-11.
[00:34:43.338 --> 00:34:45.299]  They deserve to be there more than anybody.
[00:34:46.220 --> 00:34:50.124]  And the mistreatment, actually right now, it's not even a surprise.
[00:34:50.164 --> 00:34:55.128]  I mean, they've been getting disrespected for 10 years now, so this is only a continuation of the policy test.
[00:34:55.128 --> 00:34:55.969]  We're good to go.
[00:35:14.505 --> 00:35:26.995]  So bottom line, the establishment wants to use the heroics of the 9-11 first responders to sell their police state agenda, but they don't actually want the first responders there.
[00:35:27.056 --> 00:35:30.739]  Now Luke, I have three news articles in closing I want to talk to you about.
[00:35:31.419 --> 00:35:36.623]  Number one, there's a Daily Mail article dealing with the BBC propaganda piece
[00:35:37.764 --> 00:35:43.687]  that came out a few nights ago that demonizes myself and others and it says one in seven believe U.S.
[00:35:43.707 --> 00:35:46.748]  government staged 9-11 attacks in conspiracy.
[00:35:47.028 --> 00:35:52.270]  But I've seen scientific polls in the New York Times where 83% question the official story.
[00:35:52.350 --> 00:35:56.072]  Other polls where 60 plus percent on CNN.
[00:35:56.152 --> 00:36:01.374]  I know in my own personal life the majority of people I talk to don't believe the official story.
[00:36:01.394 --> 00:36:02.375]  So this itself
[00:36:03.355 --> 00:36:12.646]  Is a spin and I wanted to get your take on that before we get into State Department says don't invade the privacy of cleric on CIA kill list.
[00:36:12.666 --> 00:36:13.587]  We'll break that down in a moment.
[00:36:13.607 --> 00:36:18.053]  But first, what do you think of these poll numbers only claiming that one in seven think the government did it?
[00:36:18.775 --> 00:36:20.997]  I mean, polls are very objective.
[00:36:21.037 --> 00:36:22.519]  It depends what questions you ask.
[00:36:22.819 --> 00:36:26.844]  And sometimes, based on the certain question you ask, that's the kind of answer you're going to get.
[00:36:27.124 --> 00:36:32.369]  We've seen different polls, but I think many of Americans are supportive of a new 9-11 investigation.
[00:36:32.409 --> 00:36:33.931]  That's clear that we were lied to.
[00:36:33.991 --> 00:36:34.632]  That's clear that...
[00:36:35.012 --> 00:36:43.496]  People that were responsible for keeping us safe that day failed us, and they did more than that, and we are still yet to find out because of all the documents that they're hiding from us.
[00:36:44.176 --> 00:36:53.060]  FBI documents, the Pentagon pictures, and I could go on and on... Well, the establishment, Luke, tries to claim that you're a three-headed monster if you talk about a new investigation.
[00:36:53.600 --> 00:36:58.403]  Six of the ten 9-11 commission members have said it's a criminal cover-up.
[00:36:58.823 --> 00:37:01.124]  Two of the three lawyers say it's a criminal cover-up.
[00:37:01.684 --> 00:37:05.488]  I mean, right there, several of them called for a new investigation.
[00:37:06.348 --> 00:37:10.532]  Exactly, and it was set up to fail from the beginning, from the 9-11 commissioners themselves.
[00:37:10.873 --> 00:37:12.754]  We don't know the whole truth behind 9-11.
[00:37:12.774 --> 00:37:15.497]  There's so many unanswered questions by the victims' family members.
[00:37:15.717 --> 00:37:17.258]  There's so many conflicting testimony.
[00:37:17.338 --> 00:37:24.265]  There's so much evidence out there that people should definitely look at, and need to look at, if they care about this country, to save this country from the
[00:37:24.925 --> 00:37:30.049]  Incredible hardships that we are facing because 9-11 it's going to keep affecting us for the next hundred years.
[00:37:30.110 --> 00:37:31.070]  It's not going to go away.
[00:37:31.391 --> 00:37:39.297]  It's still going to keep affecting us and that's why we need to find out the truth behind 9-11 and demand demand all those classified information that's being kept from us public.
[00:37:41.030 --> 00:37:48.095]  Luke, the next reports I've got here is the fact that Fox News, CNN, you name it, are being forced to report.
[00:37:49.015 --> 00:38:01.244]  Remember last year it came out that Ammar al-Awlaki, the number three in Al-Qaeda, was a CIA asset and was two weeks after 9-11 at the Pentagon in a secret meeting with the Secretary of the Army.
[00:38:01.924 --> 00:38:13.173]  Now, media and others have requested the State Department file on Anwar al-Awlaki, and have been told they're not going to release it for his privacy, even though he's on a CIA hit list.
[00:38:13.253 --> 00:38:16.615]  I mean, right here, you have the hijackers in the news trained at U.S.
[00:38:16.655 --> 00:38:17.036]  bases.
[00:38:17.516 --> 00:38:18.597]  You have the head of the U.S.
[00:38:18.717 --> 00:38:22.119]  Embassy in Saudi Arabia saying they were ordered to let him back into the U.S.
[00:38:22.160 --> 00:38:22.940]  and told they were U.S.
[00:38:22.960 --> 00:38:23.621]  government agents.
[00:38:24.221 --> 00:38:51.943]  You have the FBI paying for their houses and credit cards in San Diego, and now it comes out they're protecting Anwar al-Awlaki, and in closing, Pepe Escobar, who we interviewed earlier, who's an Asia Times roving global reporter in war zones for a decade, has confirmed that the leader of the rebels is CIA-NATO backed, and is al-Qaeda, and that Libya is being given to al-Qaeda.
[00:38:52.603 --> 00:38:54.204]  They used Al-Qaeda against the Serbs.
[00:38:54.244 --> 00:38:56.426]  They used Al-Qaeda against the Russians.
[00:38:56.906 --> 00:39:00.769]  Al-Qaeda is just a cut-out for the globalists to stage terror.
[00:39:01.350 --> 00:39:03.211]  Your view on that, Luke Rudowsky, in closing?
[00:39:03.592 --> 00:39:08.415]  You're definitely right about that, and that's why real journalists need to ask these questions to our elected officials.
[00:39:08.455 --> 00:39:09.856]  That's what I did with Joe Lieberman.
[00:39:09.876 --> 00:39:11.638]  You can see the video on our YouTube channel.
[00:39:11.898 --> 00:39:13.199]  I went up to Joe Lieberman about
[00:39:13.339 --> 00:39:14.039]  We're good to go.
[00:39:32.886 --> 00:39:48.714]  So, that just showed you how much evidence, how much important things that they're keeping away from us, that conflicts with their official fairy-tale version of the war on terror, which is really the war on you, the war on the people, the war on our freedom and sovereignty, and that's why they don't want to tell you any of this important information that we deserve.
[00:39:48.954 --> 00:39:56.798]  The people of America, we deserve to know the truth behind 9-11, we have to demand it, we have to stand for it, and that's why I'm calling for everybody to be in New York City on 9-11.
[00:39:56.858 --> 00:40:01.120]  Friday, Saturday, Sunday, on the weekend, I want you there, I want to be in the streets, I want to stand up.
[00:40:01.440 --> 00:40:02.301]  I want to convince people.
[00:40:02.641 --> 00:40:04.782]  I want to make a difference in this country.
[00:40:04.943 --> 00:40:13.329]  Perhaps you should have your own event for the 9-11 first responders that aren't included and invite the so-called media there to talk about it.
[00:40:13.369 --> 00:40:17.011]  You've got Adam Gadon, grandson of the head of the ADL, Adam Perlman.
[00:40:17.311 --> 00:40:18.012]  That's all staged.
[00:40:18.072 --> 00:40:24.997]  I saw an article admitting that four of the five top Al-Qaeda guys that are battling to be the new Bin Laden were all from the U.S., U.S.
[00:40:25.037 --> 00:40:25.537]  intelligence.
[00:40:25.858 --> 00:40:26.858]  This is as phony as a $3 bill.
[00:40:27.879 --> 00:40:37.445]  This is a secret army used to take over countries but also menace the West so the system can take our liberty and the TSA can stick their hands down our pants.
[00:40:37.845 --> 00:40:40.447]  Luke, how do activists out there join We Are Change?
[00:40:40.467 --> 00:40:41.668]  How do they find you on the web?
[00:40:42.270 --> 00:40:48.313]  Right now, our website is having trouble, so just look us up on Twitter, on Facebook, subscribe to our YouTube channel on WeAreChange.org.
[00:40:48.653 --> 00:40:53.756]  I'm not contributing to Adam vs. The Man anymore, which means I'm going out to bigger and better things.
[00:40:53.776 --> 00:40:56.738]  We're going to start a new website, a new video platform.
[00:40:56.778 --> 00:40:57.818]  This is only the beginning.
[00:40:57.858 --> 00:40:58.799]  We're getting started here.
[00:40:58.819 --> 00:40:59.859]  We're stepping our game up.
[00:40:59.899 --> 00:41:01.140]  We're not going away anywhere.
[00:41:01.480 --> 00:41:05.862]  And just watch us, subscribe, be there with us, and be the change you want to see in this world.
[00:41:05.882 --> 00:41:07.163]  We're going to make history, and I know it.
[00:41:07.423 --> 00:41:09.424]  Well, Luke, people can watch the video online.
[00:41:09.464 --> 00:41:16.707]  It's in Truth Rising, 9-11 Chronicles, where the police come over when you're protesting with a permit in front of Building 7.
[00:41:17.467 --> 00:41:22.509]  People want to watch this, and they come and they say, we know your backpack's not a bomb, we know your camera's not a gun.
[00:41:22.529 --> 00:41:25.310]  We're going to go ahead and say it doesn't put you in jail unless you leave.
[00:41:26.250 --> 00:41:28.331]  And then the police grab your camera and say it's a gun.
[00:41:28.672 --> 00:41:29.992]  And they give you your camera back.
[00:41:30.433 --> 00:41:34.455]  I mean, that's a felony to sit there and call it a fake bomb threat, but they did it.
[00:41:34.475 --> 00:41:37.937]  It just shows how scared they are of the truth.
[00:41:38.517 --> 00:41:43.760]  If we were just kooks concerning the fact that 9-11 is an inside job, they would just ignore us.
[00:41:43.800 --> 00:41:45.001]  They wouldn't try to demonize us.
[00:41:45.081 --> 00:41:50.064]  But the good news is... Why were we dragged out of the vents for asking a simple question that never got answered?
[00:41:51.223 --> 00:41:53.865]  Yes, they are scared to death of it.
[00:41:53.885 --> 00:41:57.008]  If we were just kooks, they wouldn't spend all this time trying to debunk us.
[00:41:57.028 --> 00:42:01.612]  But I love the debunking, because it makes people question and look at the facts and learn the truth.
[00:42:02.032 --> 00:42:04.935]  Luke Rudowsky of We Are Change, thank you so much for talking to us tonight.
[00:42:05.395 --> 00:42:06.036]  Thanks for having me.
[00:42:07.014 --> 00:42:11.795]  Luke Rudowsky, ladies and gentlemen, defending liberty, resisting tyranny.
[00:42:12.155 --> 00:42:16.557]  Well, that's it for this edition of InfoWars Special Report.
[00:42:16.817 --> 00:42:26.839]  Don't forget, we premiere the nightly news coming up September 1st, 7 p.m., right here at PrisonPlanet.tv and InfoWars.com.
[00:42:27.359 --> 00:42:28.520]  I'm Alex Jones signing off.
[00:42:28.760 --> 00:42:29.620]  Great job with the crew.
[00:42:30.040 --> 00:42:32.681]  We'll see you all out there on the front lines of the InfoWars.
